context: I'm going to separate Takeo-kun and Yamato-san. response:	You should tell him how you feel.
context: I'm starving...\Takeo-kun, let's go get something to eat.\What? What?\Do you have a problem with it, if it's just Takeo-kun and me?\Takeo-kun, how did you guys start dating?\Who confessed their feelings first?\I guess Yamato, in a way.\Oh, okay. response:	Yeah.
context: Takeo-kun, let's go get something to eat.\What? What?\Do you have a problem with it, if it's just Takeo-kun and me?\Takeo-kun, how did you guys start dating?\Who confessed their feelings first?\I guess Yamato, in a way.\Oh, okay.\Yeah. response:	I'd like to let Sunakawa-san confess her feelings, too...
context: What? What?\Do you have a problem with it, if it's just Takeo-kun and me?\Takeo-kun, how did you guys start dating?\Who confessed their feelings first?\I guess Yamato, in a way.\Oh, okay.\Yeah.\I'd like to let Sunakawa-san confess her feelings, too... response:	I'd like to let the other guy know how she's been feeling all this time.
context: Do you have a problem with it, if it's just Takeo-kun and me?\Takeo-kun, how did you guys start dating?\Who confessed their feelings first?\I guess Yamato, in a way.\Oh, okay.\Yeah.\I'd like to let Sunakawa-san confess her feelings, too...\I'd like to let the other guy know how she's been feeling all this time. response:	Otherwise, how could Sunakawa-san find closure, right?
context: Takeo-kun, how did you guys start dating?\Who confessed their feelings first?\I guess Yamato, in a way.\Oh, okay.\Yeah.\I'd like to let Sunakawa-san confess her feelings, too...\I'd like to let the other guy know how she's been feeling all this time.\Otherwise, how could Sunakawa-san find closure, right? response:	I see...
context: Who confessed their feelings first?\I guess Yamato, in a way.\Oh, okay.\Yeah.\I'd like to let Sunakawa-san confess her feelings, too...\I'd like to let the other guy know how she's been feeling all this time.\Otherwise, how could Sunakawa-san find closure, right?\I see... response:	But if she ended up together with the other guy, what would you do?
context: I guess Yamato, in a way.\Oh, okay.\Yeah.\I'd like to let Sunakawa-san confess her feelings, too...\I'd like to let the other guy know how she's been feeling all this time.\Otherwise, how could Sunakawa-san find closure, right?\I see...\But if she ended up together with the other guy, what would you do? response:	You like her, right?
context: Oh, okay.\Yeah.\I'd like to let Sunakawa-san confess her feelings, too...\I'd like to let the other guy know how she's been feeling all this time.\Otherwise, how could Sunakawa-san find closure, right?\I see...\But if she ended up together with the other guy, what would you do?\You like her, right? response:	If it works out okay, it'll be for the best.
context: Yeah.\I'd like to let Sunakawa-san confess her feelings, too...\I'd like to let the other guy know how she's been feeling all this time.\Otherwise, how could Sunakawa-san find closure, right?\I see...\But if she ended up together with the other guy, what would you do?\You like her, right?\If it works out okay, it'll be for the best. response:	I'll just cry a little, that's all.
context: I'd like to let Sunakawa-san confess her feelings, too...\I'd like to let the other guy know how she's been feeling all this time.\Otherwise, how could Sunakawa-san find closure, right?\I see...\But if she ended up together with the other guy, what would you do?\You like her, right?\If it works out okay, it'll be for the best.\I'll just cry a little, that's all. response:	I see...
context: I'd like to let the other guy know how she's been feeling all this time.\Otherwise, how could Sunakawa-san find closure, right?\I see...\But if she ended up together with the other guy, what would you do?\You like her, right?\If it works out okay, it'll be for the best.\I'll just cry a little, that's all.\I see... response:	Aren't those hot?
context: Otherwise, how could Sunakawa-san find closure, right?\I see...\But if she ended up together with the other guy, what would you do?\You like her, right?\If it works out okay, it'll be for the best.\I'll just cry a little, that's all.\I see...\Aren't those hot? response:	Don't point!
context: I see...\But if she ended up together with the other guy, what would you do?\You like her, right?\If it works out okay, it'll be for the best.\I'll just cry a little, that's all.\I see...\Aren't those hot?\Don't point! response:	Whoa!
context: But if she ended up together with the other guy, what would you do?\You like her, right?\If it works out okay, it'll be for the best.\I'll just cry a little, that's all.\I see...\Aren't those hot?\Don't point!\Whoa! response:	My hands have thick skin.
context: You like her, right?\If it works out okay, it'll be for the best.\I'll just cry a little, that's all.\I see...\Aren't those hot?\Don't point!\Whoa!\My hands have thick skin. response:	Wow!
context: If it works out okay, it'll be for the best.\I'll just cry a little, that's all.\I see...\Aren't those hot?\Don't point!\Whoa!\My hands have thick skin.\Wow! response:	Hey!
context: I'll just cry a little, that's all.\I see...\Aren't those hot?\Don't point!\Whoa!\My hands have thick skin.\Wow!\Hey! response:	Was it crowded?
context: I see...\Aren't those hot?\Don't point!\Whoa!\My hands have thick skin.\Wow!\Hey!\Was it crowded? response:	Thankfully Takeo-kun was with me
context: Aren't those hot?\Don't point!\Whoa!\My hands have thick skin.\Wow!\Hey!\Was it crowded?\Thankfully Takeo-kun was with me response:	It sure was!
context: Don't point!\Whoa!\My hands have thick skin.\Wow!\Hey!\Was it crowded?\Thankfully Takeo-kun was with me\It sure was! response:	I see.
context: Whoa!\My hands have thick skin.\Wow!\Hey!\Was it crowded?\Thankfully Takeo-kun was with me\It sure was!\I see. response:	You'd better not have said anything to Takeo!
