context: Chikusei-so response:	4/29 Tokyo Sport Uni Track Meet!!
context: Everyone else get ready.\How can he say that after driving like he did?\One of us needs to get a license before we train anymore.\Does anyone have a plastic bag?!\Just stick it into some bushes.\We can't do that!\Where's the bathroom?\I see the friendly jogging club is as lively as ever. response:	Sakaki.
context: How can he say that after driving like he did?\One of us needs to get a license before we train anymore.\Does anyone have a plastic bag?!\Just stick it into some bushes.\We can't do that!\Where's the bathroom?\I see the friendly jogging club is as lively as ever.\Sakaki. response:	What's up?
context: One of us needs to get a license before we train anymore.\Does anyone have a plastic bag?!\Just stick it into some bushes.\We can't do that!\Where's the bathroom?\I see the friendly jogging club is as lively as ever.\Sakaki.\What's up? response:	That's him.
context: Does anyone have a plastic bag?!\Just stick it into some bushes.\We can't do that!\Where's the bathroom?\I see the friendly jogging club is as lively as ever.\Sakaki.\What's up?\That's him. response:	My high school teammate.
context: Just stick it into some bushes.\We can't do that!\Where's the bathroom?\I see the friendly jogging club is as lively as ever.\Sakaki.\What's up?\That's him.\My high school teammate. response:	That one, huh?
context: We can't do that!\Where's the bathroom?\I see the friendly jogging club is as lively as ever.\Sakaki.\What's up?\That's him.\My high school teammate.\That one, huh? response:	Prince, you okay?
context: Where's the bathroom?\I see the friendly jogging club is as lively as ever.\Sakaki.\What's up?\That's him.\My high school teammate.\That one, huh?\Prince, you okay? response:	One of you is dropping out already?
context: I see the friendly jogging club is as lively as ever.\Sakaki.\What's up?\That's him.\My high school teammate.\That one, huh?\Prince, you okay?\One of you is dropping out already? response:	I guess it beats running.
context: Sakaki.\What's up?\That's him.\My high school teammate.\That one, huh?\Prince, you okay?\One of you is dropping out already?\I guess it beats running. response:	After all, you'll only embarrass yourselves.
context: What's up?\That's him.\My high school teammate.\That one, huh?\Prince, you okay?\One of you is dropping out already?\I guess it beats running.\After all, you'll only embarrass yourselves. response:	What? You got a problem?
context: That's him.\My high school teammate.\That one, huh?\Prince, you okay?\One of you is dropping out already?\I guess it beats running.\After all, you'll only embarrass yourselves.\What? You got a problem? response:	Or...
context: My high school teammate.\That one, huh?\Prince, you okay?\One of you is dropping out already?\I guess it beats running.\After all, you'll only embarrass yourselves.\What? You got a problem?\Or... response:	Sorry, but
context: That one, huh?\Prince, you okay?\One of you is dropping out already?\I guess it beats running.\After all, you'll only embarrass yourselves.\What? You got a problem?\Or...\Sorry, but response:	Kiyose?
context: Prince, you okay?\One of you is dropping out already?\I guess it beats running.\After all, you'll only embarrass yourselves.\What? You got a problem?\Or...\Sorry, but\Kiyose? response:	Kiyose!
context: One of you is dropping out already?\I guess it beats running.\After all, you'll only embarrass yourselves.\What? You got a problem?\Or...\Sorry, but\Kiyose?\Kiyose! response:	Fujioka.
context: I guess it beats running.\After all, you'll only embarrass yourselves.\What? You got a problem?\Or...\Sorry, but\Kiyose?\Kiyose!\Fujioka. response:	Shit!
context: After all, you'll only embarrass yourselves.\What? You got a problem?\Or...\Sorry, but\Kiyose?\Kiyose!\Fujioka.\Shit! response:	It's Rikudo University.
context: What? You got a problem?\Or...\Sorry, but\Kiyose?\Kiyose!\Fujioka.\Shit!\It's Rikudo University. response:	Who's he?
context: Or...\Sorry, but\Kiyose?\Kiyose!\Fujioka.\Shit!\It's Rikudo University.\Who's he? response:	It's been a while.
context: Sorry, but\Kiyose?\Kiyose!\Fujioka.\Shit!\It's Rikudo University.\Who's he?\It's been a while. response:	Yeah. I didn't think I'd see you.
context: Kiyose?\Kiyose!\Fujioka.\Shit!\It's Rikudo University.\Who's he?\It's been a while.\Yeah. I didn't think I'd see you. response:	Are you running?
context: Kiyose!\Fujioka.\Shit!\It's Rikudo University.\Who's he?\It's been a while.\Yeah. I didn't think I'd see you.\Are you running? response:	Of course.
context: Fujioka.\Shit!\It's Rikudo University.\Who's he?\It's been a while.\Yeah. I didn't think I'd see you.\Are you running?\Of course. response:	You're better now?
context: Shit!\It's Rikudo University.\Who's he?\It's been a while.\Yeah. I didn't think I'd see you.\Are you running?\Of course.\You're better now? response:	Finally.
context: It's Rikudo University.\Who's he?\It's been a while.\Yeah. I didn't think I'd see you.\Are you running?\Of course.\You're better now?\Finally. response:	Oh, sorry for interrupting your conversation.
context: Who's he?\It's been a while.\Yeah. I didn't think I'd see you.\Are you running?\Of course.\You're better now?\Finally.\Oh, sorry for interrupting your conversation. response:	It's fine...
context: It's been a while.\Yeah. I didn't think I'd see you.\Are you running?\Of course.\You're better now?\Finally.\Oh, sorry for interrupting your conversation.\It's fine... response:	5000m, right?
context: Yeah. I didn't think I'd see you.\Are you running?\Of course.\You're better now?\Finally.\Oh, sorry for interrupting your conversation.\It's fine...\5000m, right? response:	Yeah.
context: Are you running?\Of course.\You're better now?\Finally.\Oh, sorry for interrupting your conversation.\It's fine...\5000m, right?\Yeah. response:	I'm excited.
context: Of course.\You're better now?\Finally.\Oh, sorry for interrupting your conversation.\It's fine...\5000m, right?\Yeah.\I'm excited. response:	It's really him...
context: You're better now?\Finally.\Oh, sorry for interrupting your conversation.\It's fine...\5000m, right?\Yeah.\I'm excited.\It's really him... response:	Later.
context: Finally.\Oh, sorry for interrupting your conversation.\It's fine...\5000m, right?\Yeah.\I'm excited.\It's really him...\Later. response:	Yeah.
context: Oh, sorry for interrupting your conversation.\It's fine...\5000m, right?\Yeah.\I'm excited.\It's really him...\Later.\Yeah. response:	What army are they part of?
context: It's fine...\5000m, right?\Yeah.\I'm excited.\It's really him...\Later.\Yeah.\What army are they part of? response:	Rikudo University Fourth-year Fujioka Kazuma.
context: 5000m, right?\Yeah.\I'm excited.\It's really him...\Later.\Yeah.\What army are they part of?\Rikudo University Fourth-year Fujioka Kazuma. response:	Remember that name.
context: Yeah.\I'm excited.\It's really him...\Later.\Yeah.\What army are they part of?\Rikudo University Fourth-year Fujioka Kazuma.\Remember that name. response:	Sorry, but we've got to get ready.
context: I'm excited.\It's really him...\Later.\Yeah.\What army are they part of?\Rikudo University Fourth-year Fujioka Kazuma.\Remember that name.\Sorry, but we've got to get ready. response:	You must be busy, too...
context: It's really him...\Later.\Yeah.\What army are they part of?\Rikudo University Fourth-year Fujioka Kazuma.\Remember that name.\Sorry, but we've got to get ready.\You must be busy, too... response:	with your chores.
context: Later.\Yeah.\What army are they part of?\Rikudo University Fourth-year Fujioka Kazuma.\Remember that name.\Sorry, but we've got to get ready.\You must be busy, too...\with your chores. response:	Hey, don't just stand there! Move, move!
context: Yeah.\What army are they part of?\Rikudo University Fourth-year Fujioka Kazuma.\Remember that name.\Sorry, but we've got to get ready.\You must be busy, too...\with your chores.\Hey, don't just stand there! Move, move! response:	Yes, sir!
context: What army are they part of?\Rikudo University Fourth-year Fujioka Kazuma.\Remember that name.\Sorry, but we've got to get ready.\You must be busy, too...\with your chores.\Hey, don't just stand there! Move, move!\Yes, sir! response:	Tokyo Sport University
context: Rikudo University Fourth-year Fujioka Kazuma.\Remember that name.\Sorry, but we've got to get ready.\You must be busy, too...\with your chores.\Hey, don't just stand there! Move, move!\Yes, sir!\Tokyo Sport University response:	Athletic Field
context: Remember that name.\Sorry, but we've got to get ready.\You must be busy, too...\with your chores.\Hey, don't just stand there! Move, move!\Yes, sir!\Tokyo Sport University\Athletic Field response:	Wow!
context: Sorry, but we've got to get ready.\You must be busy, too...\with your chores.\Hey, don't just stand there! Move, move!\Yes, sir!\Tokyo Sport University\Athletic Field\Wow! response:	It's like we're a real track team!
context: You must be busy, too...\with your chores.\Hey, don't just stand there! Move, move!\Yes, sir!\Tokyo Sport University\Athletic Field\Wow!\It's like we're a real track team! response:	We are a real track team!
context: with your chores.\Hey, don't just stand there! Move, move!\Yes, sir!\Tokyo Sport University\Athletic Field\Wow!\It's like we're a real track team!\We are a real track team! response:	Oh, right!
context: Hey, don't just stand there! Move, move!\Yes, sir!\Tokyo Sport University\Athletic Field\Wow!\It's like we're a real track team!\We are a real track team!\Oh, right! response:	This is so amazing!
context: Yes, sir!\Tokyo Sport University\Athletic Field\Wow!\It's like we're a real track team!\We are a real track team!\Oh, right!\This is so amazing! response:	Let's get changed and start warming up.
context: Tokyo Sport University\Athletic Field\Wow!\It's like we're a real track team!\We are a real track team!\Oh, right!\This is so amazing!\Let's get changed and start warming up. response:	Time's a-wastin'.
context: Athletic Field\Wow!\It's like we're a real track team!\We are a real track team!\Oh, right!\This is so amazing!\Let's get changed and start warming up.\Time's a-wastin'. response:	Whoa!
context: Wow!\It's like we're a real track team!\We are a real track team!\Oh, right!\This is so amazing!\Let's get changed and start warming up.\Time's a-wastin'.\Whoa! response:	These are surprisingly cool!
context: It's like we're a real track team!\We are a real track team!\Oh, right!\This is so amazing!\Let's get changed and start warming up.\Time's a-wastin'.\Whoa!\These are surprisingly cool! response:	Let's take a photo!
context: We are a real track team!\Oh, right!\This is so amazing!\Let's get changed and start warming up.\Time's a-wastin'.\Whoa!\These are surprisingly cool!\Let's take a photo! response:	I'm freezing. These don't cover much.
context: Oh, right!\This is so amazing!\Let's get changed and start warming up.\Time's a-wastin'.\Whoa!\These are surprisingly cool!\Let's take a photo!\I'm freezing. These don't cover much. response:	Isn't yours a little small?
context: This is so amazing!\Let's get changed and start warming up.\Time's a-wastin'.\Whoa!\These are surprisingly cool!\Let's take a photo!\I'm freezing. These don't cover much.\Isn't yours a little small? response:	I'm just big.
context: Let's get changed and start warming up.\Time's a-wastin'.\Whoa!\These are surprisingly cool!\Let's take a photo!\I'm freezing. These don't cover much.\Isn't yours a little small?\I'm just big. response:	You're as good as they are, Musa.
context: Time's a-wastin'.\Whoa!\These are surprisingly cool!\Let's take a photo!\I'm freezing. These don't cover much.\Isn't yours a little small?\I'm just big.\You're as good as they are, Musa. response:	This is upsetting. This is truly upsetting.
context: Whoa!\These are surprisingly cool!\Let's take a photo!\I'm freezing. These don't cover much.\Isn't yours a little small?\I'm just big.\You're as good as they are, Musa.\This is upsetting. This is truly upsetting. response:	I have no redeeming qualities.
context: These are surprisingly cool!\Let's take a photo!\I'm freezing. These don't cover much.\Isn't yours a little small?\I'm just big.\You're as good as they are, Musa.\This is upsetting. This is truly upsetting.\I have no redeeming qualities. response:	They've surely come to Japan in order to devote their lives to running.
context: Let's take a photo!\I'm freezing. These don't cover much.\Isn't yours a little small?\I'm just big.\You're as good as they are, Musa.\This is upsetting. This is truly upsetting.\I have no redeeming qualities.\They've surely come to Japan in order to devote their lives to running. response:	Their hunger is different.
context: I'm freezing. These don't cover much.\Isn't yours a little small?\I'm just big.\You're as good as they are, Musa.\This is upsetting. This is truly upsetting.\I have no redeeming qualities.\They've surely come to Japan in order to devote their lives to running.\Their hunger is different. response:	I can't possibly beat them!
context: Isn't yours a little small?\I'm just big.\You're as good as they are, Musa.\This is upsetting. This is truly upsetting.\I have no redeeming qualities.\They've surely come to Japan in order to devote their lives to running.\Their hunger is different.\I can't possibly beat them! response:	Jota, you look sweet.
context: I'm just big.\You're as good as they are, Musa.\This is upsetting. This is truly upsetting.\I have no redeeming qualities.\They've surely come to Japan in order to devote their lives to running.\Their hunger is different.\I can't possibly beat them!\Jota, you look sweet. response:	Yeah.
context: You're as good as they are, Musa.\This is upsetting. This is truly upsetting.\I have no redeeming qualities.\They've surely come to Japan in order to devote their lives to running.\Their hunger is different.\I can't possibly beat them!\Jota, you look sweet.\Yeah. response:	Hey, Musa's in some weird mode.
context: This is upsetting. This is truly upsetting.\I have no redeeming qualities.\They've surely come to Japan in order to devote their lives to running.\Their hunger is different.\I can't possibly beat them!\Jota, you look sweet.\Yeah.\Hey, Musa's in some weird mode. response:	You're right. Musa's making a weird face.
context: I have no redeeming qualities.\They've surely come to Japan in order to devote their lives to running.\Their hunger is different.\I can't possibly beat them!\Jota, you look sweet.\Yeah.\Hey, Musa's in some weird mode.\You're right. Musa's making a weird face. response:	What? Let me see.
context: They've surely come to Japan in order to devote their lives to running.\Their hunger is different.\I can't possibly beat them!\Jota, you look sweet.\Yeah.\Hey, Musa's in some weird mode.\You're right. Musa's making a weird face.\What? Let me see. response:	Look at this!
context: Their hunger is different.\I can't possibly beat them!\Jota, you look sweet.\Yeah.\Hey, Musa's in some weird mode.\You're right. Musa's making a weird face.\What? Let me see.\Look at this! response:	His eyes are sticking out!
context: I can't possibly beat them!\Jota, you look sweet.\Yeah.\Hey, Musa's in some weird mode.\You're right. Musa's making a weird face.\What? Let me see.\Look at this!\His eyes are sticking out! response:	I'm surprised you can read manga right now.
context: Jota, you look sweet.\Yeah.\Hey, Musa's in some weird mode.\You're right. Musa's making a weird face.\What? Let me see.\Look at this!\His eyes are sticking out!\I'm surprised you can read manga right now. response:	It's to lift my spirits.
context: Yeah.\Hey, Musa's in some weird mode.\You're right. Musa's making a weird face.\What? Let me see.\Look at this!\His eyes are sticking out!\I'm surprised you can read manga right now.\It's to lift my spirits. response:	Now is the time to lift my spirits.
context: Hey, Musa's in some weird mode.\You're right. Musa's making a weird face.\What? Let me see.\Look at this!\His eyes are sticking out!\I'm surprised you can read manga right now.\It's to lift my spirits.\Now is the time to lift my spirits. response:	The stories I write are perfect.
context: You're right. Musa's making a weird face.\What? Let me see.\Look at this!\His eyes are sticking out!\I'm surprised you can read manga right now.\It's to lift my spirits.\Now is the time to lift my spirits.\The stories I write are perfect. response:	In my mind, anyway.
context: What? Let me see.\Look at this!\His eyes are sticking out!\I'm surprised you can read manga right now.\It's to lift my spirits.\Now is the time to lift my spirits.\The stories I write are perfect.\In my mind, anyway. response:	I knew it.
context: Look at this!\His eyes are sticking out!\I'm surprised you can read manga right now.\It's to lift my spirits.\Now is the time to lift my spirits.\The stories I write are perfect.\In my mind, anyway.\I knew it. response:	That guy won Section Two last year.
context: His eyes are sticking out!\I'm surprised you can read manga right now.\It's to lift my spirits.\Now is the time to lift my spirits.\The stories I write are perfect.\In my mind, anyway.\I knew it.\That guy won Section Two last year. response:	Champion of Hakone and captain of the Rikudo University team, Fujioka Kazuma.
context: I'm surprised you can read manga right now.\It's to lift my spirits.\Now is the time to lift my spirits.\The stories I write are perfect.\In my mind, anyway.\I knew it.\That guy won Section Two last year.\Champion of Hakone and captain of the Rikudo University team, Fujioka Kazuma. response:	He's been a key member of Rikudo's Hakone Ekiden team three years in a row.
context: It's to lift my spirits.\Now is the time to lift my spirits.\The stories I write are perfect.\In my mind, anyway.\I knew it.\That guy won Section Two last year.\Champion of Hakone and captain of the Rikudo University team, Fujioka Kazuma.\He's been a key member of Rikudo's Hakone Ekiden team three years in a row. response:	He's the pinnacle of college running.
context: Now is the time to lift my spirits.\The stories I write are perfect.\In my mind, anyway.\I knew it.\That guy won Section Two last year.\Champion of Hakone and captain of the Rikudo University team, Fujioka Kazuma.\He's been a key member of Rikudo's Hakone Ekiden team three years in a row.\He's the pinnacle of college running. response:	Wow!
context: The stories I write are perfect.\In my mind, anyway.\I knew it.\That guy won Section Two last year.\Champion of Hakone and captain of the Rikudo University team, Fujioka Kazuma.\He's been a key member of Rikudo's Hakone Ekiden team three years in a row.\He's the pinnacle of college running.\Wow! response:	What? You mean Haiji knows that guy?
context: In my mind, anyway.\I knew it.\That guy won Section Two last year.\Champion of Hakone and captain of the Rikudo University team, Fujioka Kazuma.\He's been a key member of Rikudo's Hakone Ekiden team three years in a row.\He's the pinnacle of college running.\Wow!\What? You mean Haiji knows that guy? response:	I suppose that's what this means.
context: I knew it.\That guy won Section Two last year.\Champion of Hakone and captain of the Rikudo University team, Fujioka Kazuma.\He's been a key member of Rikudo's Hakone Ekiden team three years in a row.\He's the pinnacle of college running.\Wow!\What? You mean Haiji knows that guy?\I suppose that's what this means. response:	Wow! There's a crazy number of people on the roadside.
context: That guy won Section Two last year.\Champion of Hakone and captain of the Rikudo University team, Fujioka Kazuma.\He's been a key member of Rikudo's Hakone Ekiden team three years in a row.\He's the pinnacle of college running.\Wow!\What? You mean Haiji knows that guy?\I suppose that's what this means.\Wow! There's a crazy number of people on the roadside. response:	Which section do you want to run?
context: Champion of Hakone and captain of the Rikudo University team, Fujioka Kazuma.\He's been a key member of Rikudo's Hakone Ekiden team three years in a row.\He's the pinnacle of college running.\Wow!\What? You mean Haiji knows that guy?\I suppose that's what this means.\Wow! There's a crazy number of people on the roadside.\Which section do you want to run? response:	I have no idea.
context: He's been a key member of Rikudo's Hakone Ekiden team three years in a row.\He's the pinnacle of college running.\Wow!\What? You mean Haiji knows that guy?\I suppose that's what this means.\Wow! There's a crazy number of people on the roadside.\Which section do you want to run?\I have no idea. response:	Yeah, yeah.
context: He's the pinnacle of college running.\Wow!\What? You mean Haiji knows that guy?\I suppose that's what this means.\Wow! There's a crazy number of people on the roadside.\Which section do you want to run?\I have no idea.\Yeah, yeah. response:	Take a picture with us.
context: Wow!\What? You mean Haiji knows that guy?\I suppose that's what this means.\Wow! There's a crazy number of people on the roadside.\Which section do you want to run?\I have no idea.\Yeah, yeah.\Take a picture with us. response:	I'm good. Let's just get this over with.
context: What? You mean Haiji knows that guy?\I suppose that's what this means.\Wow! There's a crazy number of people on the roadside.\Which section do you want to run?\I have no idea.\Yeah, yeah.\Take a picture with us.\I'm good. Let's just get this over with. response:	It's okay. You can totally beat them.
context: I suppose that's what this means.\Wow! There's a crazy number of people on the roadside.\Which section do you want to run?\I have no idea.\Yeah, yeah.\Take a picture with us.\I'm good. Let's just get this over with.\It's okay. You can totally beat them. response:	Hey!
context: Wow! There's a crazy number of people on the roadside.\Which section do you want to run?\I have no idea.\Yeah, yeah.\Take a picture with us.\I'm good. Let's just get this over with.\It's okay. You can totally beat them.\Hey! response:	I've got your number tags, guys.
context: Which section do you want to run?\I have no idea.\Yeah, yeah.\Take a picture with us.\I'm good. Let's just get this over with.\It's okay. You can totally beat them.\Hey!\I've got your number tags, guys. response:	Let's head to the track after we get these on.
context: I have no idea.\Yeah, yeah.\Take a picture with us.\I'm good. Let's just get this over with.\It's okay. You can totally beat them.\Hey!\I've got your number tags, guys.\Let's head to the track after we get these on. response:	Huh? What's wrong?
context: Yeah, yeah.\Take a picture with us.\I'm good. Let's just get this over with.\It's okay. You can totally beat them.\Hey!\I've got your number tags, guys.\Let's head to the track after we get these on.\Huh? What's wrong? response:	Nothing.
context: Take a picture with us.\I'm good. Let's just get this over with.\It's okay. You can totally beat them.\Hey!\I've got your number tags, guys.\Let's head to the track after we get these on.\Huh? What's wrong?\Nothing. response:	Whoops.
context: I'm good. Let's just get this over with.\It's okay. You can totally beat them.\Hey!\I've got your number tags, guys.\Let's head to the track after we get these on.\Huh? What's wrong?\Nothing.\Whoops. response:	Sorry.
context: It's okay. You can totally beat them.\Hey!\I've got your number tags, guys.\Let's head to the track after we get these on.\Huh? What's wrong?\Nothing.\Whoops.\Sorry. response:	He's the pinnacle of college running.
context: Hey!\I've got your number tags, guys.\Let's head to the track after we get these on.\Huh? What's wrong?\Nothing.\Whoops.\Sorry.\He's the pinnacle of college running. response:	Nothing.
context: I've got your number tags, guys.\Let's head to the track after we get these on.\Huh? What's wrong?\Nothing.\Whoops.\Sorry.\He's the pinnacle of college running.\Nothing. response:	Tokyo Sport University
context: Let's head to the track after we get these on.\Huh? What's wrong?\Nothing.\Whoops.\Sorry.\He's the pinnacle of college running.\Nothing.\Tokyo Sport University response:	All athletes participating in the 5000m race,
context: Huh? What's wrong?\Nothing.\Whoops.\Sorry.\He's the pinnacle of college running.\Nothing.\Tokyo Sport University\All athletes participating in the 5000m race, response:	please gather in front of Gate 1.
context: Nothing.\Whoops.\Sorry.\He's the pinnacle of college running.\Nothing.\Tokyo Sport University\All athletes participating in the 5000m race,\please gather in front of Gate 1. response:	Once again,
context: Whoops.\Sorry.\He's the pinnacle of college running.\Nothing.\Tokyo Sport University\All athletes participating in the 5000m race,\please gather in front of Gate 1.\Once again, response:	all athletes participating in the 5000m race,
context: Sorry.\He's the pinnacle of college running.\Nothing.\Tokyo Sport University\All athletes participating in the 5000m race,\please gather in front of Gate 1.\Once again,\all athletes participating in the 5000m race, response:	please gather in front of Gate 1.
context: He's the pinnacle of college running.\Nothing.\Tokyo Sport University\All athletes participating in the 5000m race,\please gather in front of Gate 1.\Once again,\all athletes participating in the 5000m race,\please gather in front of Gate 1. response:	It's true that we need official records,
context: Nothing.\Tokyo Sport University\All athletes participating in the 5000m race,\please gather in front of Gate 1.\Once again,\all athletes participating in the 5000m race,\please gather in front of Gate 1.\It's true that we need official records, response:	but first, I want you to feel what it means to race.
context: Tokyo Sport University\All athletes participating in the 5000m race,\please gather in front of Gate 1.\Once again,\all athletes participating in the 5000m race,\please gather in front of Gate 1.\It's true that we need official records,\but first, I want you to feel what it means to race. response:	We don't have that kind of time.
context: All athletes participating in the 5000m race,\please gather in front of Gate 1.\Once again,\all athletes participating in the 5000m race,\please gather in front of Gate 1.\It's true that we need official records,\but first, I want you to feel what it means to race.\We don't have that kind of time. response:	It's your first race. Let's all have fun.
context: please gather in front of Gate 1.\Once again,\all athletes participating in the 5000m race,\please gather in front of Gate 1.\It's true that we need official records,\but first, I want you to feel what it means to race.\We don't have that kind of time.\It's your first race. Let's all have fun. response:	Let's go.
context: Once again,\all athletes participating in the 5000m race,\please gather in front of Gate 1.\It's true that we need official records,\but first, I want you to feel what it means to race.\We don't have that kind of time.\It's your first race. Let's all have fun.\Let's go. response:	Oh, right.
context: all athletes participating in the 5000m race,\please gather in front of Gate 1.\It's true that we need official records,\but first, I want you to feel what it means to race.\We don't have that kind of time.\It's your first race. Let's all have fun.\Let's go.\Oh, right. response:	The mountains of Hakone are?
context: please gather in front of Gate 1.\It's true that we need official records,\but first, I want you to feel what it means to race.\We don't have that kind of time.\It's your first race. Let's all have fun.\Let's go.\Oh, right.\The mountains of Hakone are? response:	The steepest in the world! Let's go!
context: It's true that we need official records,\but first, I want you to feel what it means to race.\We don't have that kind of time.\It's your first race. Let's all have fun.\Let's go.\Oh, right.\The mountains of Hakone are?\The steepest in the world! Let's go! response:	Someone answer him.
