context: So, it's going pretty well with your girlfriend? response:	Yeah, it is. T-To tell the truth...
context: meet a new friend today.\All right. Go ahead and come in.\I won't be able to find him that easi\Hatate Souta\My name is Hatate Souta.\Nice to meet all of you.\She stood up and then sat right back down...\Was she stretching? response:	Why did she...
context: All right. Go ahead and come in.\I won't be able to find him that easi\Hatate Souta\My name is Hatate Souta.\Nice to meet all of you.\She stood up and then sat right back down...\Was she stretching?\Why did she... response:	So where should we have our Souta-chan sit?
context: I won't be able to find him that easi\Hatate Souta\My name is Hatate Souta.\Nice to meet all of you.\She stood up and then sat right back down...\Was she stretching?\Why did she...\So where should we have our Souta-chan sit? response:	Chan?!
context: Hatate Souta\My name is Hatate Souta.\Nice to meet all of you.\She stood up and then sat right back down...\Was she stretching?\Why did she...\So where should we have our Souta-chan sit?\Chan?! response:	Let's see...
context: My name is Hatate Souta.\Nice to meet all of you.\She stood up and then sat right back down...\Was she stretching?\Why did she...\So where should we have our Souta-chan sit?\Chan?!\Let's see... response:	Let's see...
context: Nice to meet all of you.\She stood up and then sat right back down...\Was she stretching?\Why did she...\So where should we have our Souta-chan sit?\Chan?!\Let's see...\Let's see... response:	How about...
context: She stood up and then sat right back down...\Was she stretching?\Why did she...\So where should we have our Souta-chan sit?\Chan?!\Let's see...\Let's see...\How about... response:	There's an open seat right there.
context: Was she stretching?\Why did she...\So where should we have our Souta-chan sit?\Chan?!\Let's see...\Let's see...\How about...\There's an open seat right there. response:	The seat right behind Nanami-chan.
context: Why did she...\So where should we have our Souta-chan sit?\Chan?!\Let's see...\Let's see...\How about...\There's an open seat right there.\The seat right behind Nanami-chan. response:	H-Hi there.
context: So where should we have our Souta-chan sit?\Chan?!\Let's see...\Let's see...\How about...\There's an open seat right there.\The seat right behind Nanami-chan.\H-Hi there. response:	There's no doubt about it.
context: Chan?!\Let's see...\Let's see...\How about...\There's an open seat right there.\The seat right behind Nanami-chan.\H-Hi there.\There's no doubt about it. response:	This is the same man.
context: Let's see...\Let's see...\How about...\There's an open seat right there.\The seat right behind Nanami-chan.\H-Hi there.\There's no doubt about it.\This is the same man. response:	That weird guy from this morning.
context: Let's see...\How about...\There's an open seat right there.\The seat right behind Nanami-chan.\H-Hi there.\There's no doubt about it.\This is the same man.\That weird guy from this morning. response:	Hey there, Hotate-kun.
context: How about...\There's an open seat right there.\The seat right behind Nanami-chan.\H-Hi there.\There's no doubt about it.\This is the same man.\That weird guy from this morning.\Hey there, Hotate-kun. response:	It's Hatate.
context: There's an open seat right there.\The seat right behind Nanami-chan.\H-Hi there.\There's no doubt about it.\This is the same man.\That weird guy from this morning.\Hey there, Hotate-kun.\It's Hatate. response:	Hatate-kun, nice to meet you.
context: The seat right behind Nanami-chan.\H-Hi there.\There's no doubt about it.\This is the same man.\That weird guy from this morning.\Hey there, Hotate-kun.\It's Hatate.\Hatate-kun, nice to meet you. response:	Nice to meet you, too.
context: H-Hi there.\There's no doubt about it.\This is the same man.\That weird guy from this morning.\Hey there, Hotate-kun.\It's Hatate.\Hatate-kun, nice to meet you.\Nice to meet you, too. response:	Stare.
context: There's no doubt about it.\This is the same man.\That weird guy from this morning.\Hey there, Hotate-kun.\It's Hatate.\Hatate-kun, nice to meet you.\Nice to meet you, too.\Stare. response:	Anyway, see you around.
context: This is the same man.\That weird guy from this morning.\Hey there, Hotate-kun.\It's Hatate.\Hatate-kun, nice to meet you.\Nice to meet you, too.\Stare.\Anyway, see you around. response:	Hotate I mean, Hatate.
context: That weird guy from this morning.\Hey there, Hotate-kun.\It's Hatate.\Hatate-kun, nice to meet you.\Nice to meet you, too.\Stare.\Anyway, see you around.\Hotate I mean, Hatate. response:	If you need something, just let me know.
context: Hey there, Hotate-kun.\It's Hatate.\Hatate-kun, nice to meet you.\Nice to meet you, too.\Stare.\Anyway, see you around.\Hotate I mean, Hatate.\If you need something, just let me know. response:	Also if you want to know about any of the girls, I've got your back.
context: It's Hatate.\Hatate-kun, nice to meet you.\Nice to meet you, too.\Stare.\Anyway, see you around.\Hotate I mean, Hatate.\If you need something, just let me know.\Also if you want to know about any of the girls, I've got your back. response:	All the ladies like me, so I don't think I'll be needing your help.
context: Hatate-kun, nice to meet you.\Nice to meet you, too.\Stare.\Anyway, see you around.\Hotate I mean, Hatate.\If you need something, just let me know.\Also if you want to know about any of the girls, I've got your back.\All the ladies like me, so I don't think I'll be needing your help. response:	But no one likes me...
context: Nice to meet you, too.\Stare.\Anyway, see you around.\Hotate I mean, Hatate.\If you need something, just let me know.\Also if you want to know about any of the girls, I've got your back.\All the ladies like me, so I don't think I'll be needing your help.\But no one likes me... response:	I'll let you be my servant. Be grateful.
context: Stare.\Anyway, see you around.\Hotate I mean, Hatate.\If you need something, just let me know.\Also if you want to know about any of the girls, I've got your back.\All the ladies like me, so I don't think I'll be needing your help.\But no one likes me...\I'll let you be my servant. Be grateful. response:	I'm sorry.
context: Anyway, see you around.\Hotate I mean, Hatate.\If you need something, just let me know.\Also if you want to know about any of the girls, I've got your back.\All the ladies like me, so I don't think I'll be needing your help.\But no one likes me...\I'll let you be my servant. Be grateful.\I'm sorry. response:	I'm quite the sadist.
context: Hotate I mean, Hatate.\If you need something, just let me know.\Also if you want to know about any of the girls, I've got your back.\All the ladies like me, so I don't think I'll be needing your help.\But no one likes me...\I'll let you be my servant. Be grateful.\I'm sorry.\I'm quite the sadist. response:	Two sadists won't get along!
context: If you need something, just let me know.\Also if you want to know about any of the girls, I've got your back.\All the ladies like me, so I don't think I'll be needing your help.\But no one likes me...\I'll let you be my servant. Be grateful.\I'm sorry.\I'm quite the sadist.\Two sadists won't get along! response:	Want to join us in our quest to become the number one high school baseball team?
context: Also if you want to know about any of the girls, I've got your back.\All the ladies like me, so I don't think I'll be needing your help.\But no one likes me...\I'll let you be my servant. Be grateful.\I'm sorry.\I'm quite the sadist.\Two sadists won't get along!\Want to join us in our quest to become the number one high school baseball team? response:	Sorry, I like soccer.
context: All the ladies like me, so I don't think I'll be needing your help.\But no one likes me...\I'll let you be my servant. Be grateful.\I'm sorry.\I'm quite the sadist.\Two sadists won't get along!\Want to join us in our quest to become the number one high school baseball team?\Sorry, I like soccer. response:	Wait a second! Hotate Souta!
context: But no one likes me...\I'll let you be my servant. Be grateful.\I'm sorry.\I'm quite the sadist.\Two sadists won't get along!\Want to join us in our quest to become the number one high school baseball team?\Sorry, I like soccer.\Wait a second! Hotate Souta! response:	It's Hatate Souta.
context: I'll let you be my servant. Be grateful.\I'm sorry.\I'm quite the sadist.\Two sadists won't get along!\Want to join us in our quest to become the number one high school baseball team?\Sorry, I like soccer.\Wait a second! Hotate Souta!\It's Hatate Souta. response:	You shall give me a moment of your time.
context: I'm sorry.\I'm quite the sadist.\Two sadists won't get along!\Want to join us in our quest to become the number one high school baseball team?\Sorry, I like soccer.\Wait a second! Hotate Souta!\It's Hatate Souta.\You shall give me a moment of your time. response:	You see, I can't stand not solving any mystery that catches my eye.
context: I'm quite the sadist.\Two sadists won't get along!\Want to join us in our quest to become the number one high school baseball team?\Sorry, I like soccer.\Wait a second! Hotate Souta!\It's Hatate Souta.\You shall give me a moment of your time.\You see, I can't stand not solving any mystery that catches my eye. response:	Now you shall tell me everything!
context: Two sadists won't get along!\Want to join us in our quest to become the number one high school baseball team?\Sorry, I like soccer.\Wait a second! Hotate Souta!\It's Hatate Souta.\You shall give me a moment of your time.\You see, I can't stand not solving any mystery that catches my eye.\Now you shall tell me everything! response:	Huh? T-Tell you what?
context: Want to join us in our quest to become the number one high school baseball team?\Sorry, I like soccer.\Wait a second! Hotate Souta!\It's Hatate Souta.\You shall give me a moment of your time.\You see, I can't stand not solving any mystery that catches my eye.\Now you shall tell me everything!\Huh? T-Tell you what? response:	Don't play dumb.
context: Sorry, I like soccer.\Wait a second! Hotate Souta!\It's Hatate Souta.\You shall give me a moment of your time.\You see, I can't stand not solving any mystery that catches my eye.\Now you shall tell me everything!\Huh? T-Tell you what?\Don't play dumb. response:	I can see it glistening in front of me.
context: Wait a second! Hotate Souta!\It's Hatate Souta.\You shall give me a moment of your time.\You see, I can't stand not solving any mystery that catches my eye.\Now you shall tell me everything!\Huh? T-Tell you what?\Don't play dumb.\I can see it glistening in front of me. response:	Glistening?
context: It's Hatate Souta.\You shall give me a moment of your time.\You see, I can't stand not solving any mystery that catches my eye.\Now you shall tell me everything!\Huh? T-Tell you what?\Don't play dumb.\I can see it glistening in front of me.\Glistening? response:	Like fresh fish or something?
context: You shall give me a moment of your time.\You see, I can't stand not solving any mystery that catches my eye.\Now you shall tell me everything!\Huh? T-Tell you what?\Don't play dumb.\I can see it glistening in front of me.\Glistening?\Like fresh fish or something? response:	You keep looking above people's heads
context: You see, I can't stand not solving any mystery that catches my eye.\Now you shall tell me everything!\Huh? T-Tell you what?\Don't play dumb.\I can see it glistening in front of me.\Glistening?\Like fresh fish or something?\You keep looking above people's heads response:	right hereand then making some sort of decision based on that, aren't you?!
context: Now you shall tell me everything!\Huh? T-Tell you what?\Don't play dumb.\I can see it glistening in front of me.\Glistening?\Like fresh fish or something?\You keep looking above people's heads\right hereand then making some sort of decision based on that, aren't you?! response:	Wh-What are you going on about?
context: Huh? T-Tell you what?\Don't play dumb.\I can see it glistening in front of me.\Glistening?\Like fresh fish or something?\You keep looking above people's heads\right hereand then making some sort of decision based on that, aren't you?!\Wh-What are you going on about? response:	You looked again!
context: Don't play dumb.\I can see it glistening in front of me.\Glistening?\Like fresh fish or something?\You keep looking above people's heads\right hereand then making some sort of decision based on that, aren't you?!\Wh-What are you going on about?\You looked again! response:	You can't fool my eyes!
context: I can see it glistening in front of me.\Glistening?\Like fresh fish or something?\You keep looking above people's heads\right hereand then making some sort of decision based on that, aren't you?!\Wh-What are you going on about?\You looked again!\You can't fool my eyes! response:	I can tell you keep worrying about
context: Glistening?\Like fresh fish or something?\You keep looking above people's heads\right hereand then making some sort of decision based on that, aren't you?!\Wh-What are you going on about?\You looked again!\You can't fool my eyes!\I can tell you keep worrying about response:	whatever's above my head!
context: Like fresh fish or something?\You keep looking above people's heads\right hereand then making some sort of decision based on that, aren't you?!\Wh-What are you going on about?\You looked again!\You can't fool my eyes!\I can tell you keep worrying about\whatever's above my head! response:	That truck from this morning.
context: You keep looking above people's heads\right hereand then making some sort of decision based on that, aren't you?!\Wh-What are you going on about?\You looked again!\You can't fool my eyes!\I can tell you keep worrying about\whatever's above my head!\That truck from this morning. response:	I know you haven't forgotten.
context: right hereand then making some sort of decision based on that, aren't you?!\Wh-What are you going on about?\You looked again!\You can't fool my eyes!\I can tell you keep worrying about\whatever's above my head!\That truck from this morning.\I know you haven't forgotten. response:	You were doing something strange.
context: Wh-What are you going on about?\You looked again!\You can't fool my eyes!\I can tell you keep worrying about\whatever's above my head!\That truck from this morning.\I know you haven't forgotten.\You were doing something strange. response:	I know that's why all of that happened.
context: You looked again!\You can't fool my eyes!\I can tell you keep worrying about\whatever's above my head!\That truck from this morning.\I know you haven't forgotten.\You were doing something strange.\I know that's why all of that happened. response:	I don't know what it was, but I'm certain you did something.
context: You can't fool my eyes!\I can tell you keep worrying about\whatever's above my head!\That truck from this morning.\I know you haven't forgotten.\You were doing something strange.\I know that's why all of that happened.\I don't know what it was, but I'm certain you did something. response:	You see something, don't you?!
context: I can tell you keep worrying about\whatever's above my head!\That truck from this morning.\I know you haven't forgotten.\You were doing something strange.\I know that's why all of that happened.\I don't know what it was, but I'm certain you did something.\You see something, don't you?! response:	So you were at that intersection...
context: whatever's above my head!\That truck from this morning.\I know you haven't forgotten.\You were doing something strange.\I know that's why all of that happened.\I don't know what it was, but I'm certain you did something.\You see something, don't you?!\So you were at that intersection... response:	Yeah, I saw something.
context: That truck from this morning.\I know you haven't forgotten.\You were doing something strange.\I know that's why all of that happened.\I don't know what it was, but I'm certain you did something.\You see something, don't you?!\So you were at that intersection...\Yeah, I saw something. response:	There was this fly
context: I know you haven't forgotten.\You were doing something strange.\I know that's why all of that happened.\I don't know what it was, but I'm certain you did something.\You see something, don't you?!\So you were at that intersection...\Yeah, I saw something.\There was this fly response:	Don't try to fool me with that rubbish!
context: You were doing something strange.\I know that's why all of that happened.\I don't know what it was, but I'm certain you did something.\You see something, don't you?!\So you were at that intersection...\Yeah, I saw something.\There was this fly\Don't try to fool me with that rubbish! response:	Now tell me what you did.
context: I know that's why all of that happened.\I don't know what it was, but I'm certain you did something.\You see something, don't you?!\So you were at that intersection...\Yeah, I saw something.\There was this fly\Don't try to fool me with that rubbish!\Now tell me what you did. response:	Do you know about flags?
context: I don't know what it was, but I'm certain you did something.\You see something, don't you?!\So you were at that intersection...\Yeah, I saw something.\There was this fly\Don't try to fool me with that rubbish!\Now tell me what you did.\Do you know about flags? response:	Flags?
context: You see something, don't you?!\So you were at that intersection...\Yeah, I saw something.\There was this fly\Don't try to fool me with that rubbish!\Now tell me what you did.\Do you know about flags?\Flags? response:	I can actually see them.
context: So you were at that intersection...\Yeah, I saw something.\There was this fly\Don't try to fool me with that rubbish!\Now tell me what you did.\Do you know about flags?\Flags?\I can actually see them. response:	Y-You can see them?
context: Yeah, I saw something.\There was this fly\Don't try to fool me with that rubbish!\Now tell me what you did.\Do you know about flags?\Flags?\I can actually see them.\Y-You can see them? response:	These flags, or whatever.
context: There was this fly\Don't try to fool me with that rubbish!\Now tell me what you did.\Do you know about flags?\Flags?\I can actually see them.\Y-You can see them?\These flags, or whatever. response:	Not just see them.
context: Don't try to fool me with that rubbish!\Now tell me what you did.\Do you know about flags?\Flags?\I can actually see them.\Y-You can see them?\These flags, or whatever.\Not just see them. response:	I instinctively know what I have to do to destroy those flags,
context: Now tell me what you did.\Do you know about flags?\Flags?\I can actually see them.\Y-You can see them?\These flags, or whatever.\Not just see them.\I instinctively know what I have to do to destroy those flags, response:	as well.
context: Do you know about flags?\Flags?\I can actually see them.\Y-You can see them?\These flags, or whatever.\Not just see them.\I instinctively know what I have to do to destroy those flags,\as well. response:	That's why I...
context: Flags?\I can actually see them.\Y-You can see them?\These flags, or whatever.\Not just see them.\I instinctively know what I have to do to destroy those flags,\as well.\That's why I... response:	That business deal is never going to go through.
context: I can actually see them.\Y-You can see them?\These flags, or whatever.\Not just see them.\I instinctively know what I have to do to destroy those flags,\as well.\That's why I...\That business deal is never going to go through. response:	I destroyed the death flag that was waving above his head.
context: Y-You can see them?\These flags, or whatever.\Not just see them.\I instinctively know what I have to do to destroy those flags,\as well.\That's why I...\That business deal is never going to go through.\I destroyed the death flag that was waving above his head. response:	So did you do the same thing in the classroom, then?
context: These flags, or whatever.\Not just see them.\I instinctively know what I have to do to destroy those flags,\as well.\That's why I...\That business deal is never going to go through.\I destroyed the death flag that was waving above his head.\So did you do the same thing in the classroom, then? response:	With that guy who was talking about helping you with girls...
context: Not just see them.\I instinctively know what I have to do to destroy those flags,\as well.\That's why I...\That business deal is never going to go through.\I destroyed the death flag that was waving above his head.\So did you do the same thing in the classroom, then?\With that guy who was talking about helping you with girls... response:	I shattered his friendship flag.
context: I instinctively know what I have to do to destroy those flags,\as well.\That's why I...\That business deal is never going to go through.\I destroyed the death flag that was waving above his head.\So did you do the same thing in the classroom, then?\With that guy who was talking about helping you with girls...\I shattered his friendship flag. response:	And that girl who was coming on to you?
context: as well.\That's why I...\That business deal is never going to go through.\I destroyed the death flag that was waving above his head.\So did you do the same thing in the classroom, then?\With that guy who was talking about helping you with girls...\I shattered his friendship flag.\And that girl who was coming on to you? response:	That was her romance flag.
context: That's why I...\That business deal is never going to go through.\I destroyed the death flag that was waving above his head.\So did you do the same thing in the classroom, then?\With that guy who was talking about helping you with girls...\I shattered his friendship flag.\And that girl who was coming on to you?\That was her romance flag. response:	That's funny.
context: That business deal is never going to go through.\I destroyed the death flag that was waving above his head.\So did you do the same thing in the classroom, then?\With that guy who was talking about helping you with girls...\I shattered his friendship flag.\And that girl who was coming on to you?\That was her romance flag.\That's funny. response:	That's ridiculous.
context: I destroyed the death flag that was waving above his head.\So did you do the same thing in the classroom, then?\With that guy who was talking about helping you with girls...\I shattered his friendship flag.\And that girl who was coming on to you?\That was her romance flag.\That's funny.\That's ridiculous. response:	My stomach hurts.
context: So did you do the same thing in the classroom, then?\With that guy who was talking about helping you with girls...\I shattered his friendship flag.\And that girl who was coming on to you?\That was her romance flag.\That's funny.\That's ridiculous.\My stomach hurts. response:	Give those bad gags of yours a rest.
context: With that guy who was talking about helping you with girls...\I shattered his friendship flag.\And that girl who was coming on to you?\That was her romance flag.\That's funny.\That's ridiculous.\My stomach hurts.\Give those bad gags of yours a rest. response:	I understand the death flag,
context: I shattered his friendship flag.\And that girl who was coming on to you?\That was her romance flag.\That's funny.\That's ridiculous.\My stomach hurts.\Give those bad gags of yours a rest.\I understand the death flag, response:	but why destroy those friendship and romance flags?
context: And that girl who was coming on to you?\That was her romance flag.\That's funny.\That's ridiculous.\My stomach hurts.\Give those bad gags of yours a rest.\I understand the death flag,\but why destroy those friendship and romance flags? response:	Are you trying to be a hero, who doesn't use his powers for his own good?
context: That was her romance flag.\That's funny.\That's ridiculous.\My stomach hurts.\Give those bad gags of yours a rest.\I understand the death flag,\but why destroy those friendship and romance flags?\Are you trying to be a hero, who doesn't use his powers for his own good? response:	Everything you said was just a bad joke, correct?
context: That's funny.\That's ridiculous.\My stomach hurts.\Give those bad gags of yours a rest.\I understand the death flag,\but why destroy those friendship and romance flags?\Are you trying to be a hero, who doesn't use his powers for his own good?\Everything you said was just a bad joke, correct? response:	I don't mind if you laugh at me.
context: That's ridiculous.\My stomach hurts.\Give those bad gags of yours a rest.\I understand the death flag,\but why destroy those friendship and romance flags?\Are you trying to be a hero, who doesn't use his powers for his own good?\Everything you said was just a bad joke, correct?\I don't mind if you laugh at me. response:	I didn't tell you because I wanted you to believe me.
context: My stomach hurts.\Give those bad gags of yours a rest.\I understand the death flag,\but why destroy those friendship and romance flags?\Are you trying to be a hero, who doesn't use his powers for his own good?\Everything you said was just a bad joke, correct?\I don't mind if you laugh at me.\I didn't tell you because I wanted you to believe me. response:	Misfortune comes to people who get too close to me.
context: Give those bad gags of yours a rest.\I understand the death flag,\but why destroy those friendship and romance flags?\Are you trying to be a hero, who doesn't use his powers for his own good?\Everything you said was just a bad joke, correct?\I don't mind if you laugh at me.\I didn't tell you because I wanted you to believe me.\Misfortune comes to people who get too close to me. response:	I don't want to
context: I understand the death flag,\but why destroy those friendship and romance flags?\Are you trying to be a hero, who doesn't use his powers for his own good?\Everything you said was just a bad joke, correct?\I don't mind if you laugh at me.\I didn't tell you because I wanted you to believe me.\Misfortune comes to people who get too close to me.\I don't want to response:	see people get hurt any longer.
context: but why destroy those friendship and romance flags?\Are you trying to be a hero, who doesn't use his powers for his own good?\Everything you said was just a bad joke, correct?\I don't mind if you laugh at me.\I didn't tell you because I wanted you to believe me.\Misfortune comes to people who get too close to me.\I don't want to\see people get hurt any longer. response:	I need to be alone.
context: Are you trying to be a hero, who doesn't use his powers for his own good?\Everything you said was just a bad joke, correct?\I don't mind if you laugh at me.\I didn't tell you because I wanted you to believe me.\Misfortune comes to people who get too close to me.\I don't want to\see people get hurt any longer.\I need to be alone. response:	Alone...
context: Everything you said was just a bad joke, correct?\I don't mind if you laugh at me.\I didn't tell you because I wanted you to believe me.\Misfortune comes to people who get too close to me.\I don't want to\see people get hurt any longer.\I need to be alone.\Alone... response:	Anyway,
context: I don't mind if you laugh at me.\I didn't tell you because I wanted you to believe me.\Misfortune comes to people who get too close to me.\I don't want to\see people get hurt any longer.\I need to be alone.\Alone...\Anyway, response:	don't involve yourself with me anymore.
context: I didn't tell you because I wanted you to believe me.\Misfortune comes to people who get too close to me.\I don't want to\see people get hurt any longer.\I need to be alone.\Alone...\Anyway,\don't involve yourself with me anymore. response:	It shouldn't matter to you if I'm a loner or not.
context: Misfortune comes to people who get too close to me.\I don't want to\see people get hurt any longer.\I need to be alone.\Alone...\Anyway,\don't involve yourself with me anymore.\It shouldn't matter to you if I'm a loner or not. response:	Don't talk about being alone so trivially!
context: I don't want to\see people get hurt any longer.\I need to be alone.\Alone...\Anyway,\don't involve yourself with me anymore.\It shouldn't matter to you if I'm a loner or not.\Don't talk about being alone so trivially! response:	In the end, you're just rejecting anyone who approaches you.
context: see people get hurt any longer.\I need to be alone.\Alone...\Anyway,\don't involve yourself with me anymore.\It shouldn't matter to you if I'm a loner or not.\Don't talk about being alone so trivially!\In the end, you're just rejecting anyone who approaches you. response:	Have you heard about the Premium Ambriel disaster?
context: I need to be alone.\Alone...\Anyway,\don't involve yourself with me anymore.\It shouldn't matter to you if I'm a loner or not.\Don't talk about being alone so trivially!\In the end, you're just rejecting anyone who approaches you.\Have you heard about the Premium Ambriel disaster? response:	The luxury liner that sank the other day? What of it?
context: Alone...\Anyway,\don't involve yourself with me anymore.\It shouldn't matter to you if I'm a loner or not.\Don't talk about being alone so trivially!\In the end, you're just rejecting anyone who approaches you.\Have you heard about the Premium Ambriel disaster?\The luxury liner that sank the other day? What of it? response:	All of the passengers are missing, except one.
context: Anyway,\don't involve yourself with me anymore.\It shouldn't matter to you if I'm a loner or not.\Don't talk about being alone so trivially!\In the end, you're just rejecting anyone who approaches you.\Have you heard about the Premium Ambriel disaster?\The luxury liner that sank the other day? What of it?\All of the passengers are missing, except one. response:	Only a single person was rescued.
context: don't involve yourself with me anymore.\It shouldn't matter to you if I'm a loner or not.\Don't talk about being alone so trivially!\In the end, you're just rejecting anyone who approaches you.\Have you heard about the Premium Ambriel disaster?\The luxury liner that sank the other day? What of it?\All of the passengers are missing, except one.\Only a single person was rescued. response:	The truth behind the Premium Ambriel
context: It shouldn't matter to you if I'm a loner or not.\Don't talk about being alone so trivially!\In the end, you're just rejecting anyone who approaches you.\Have you heard about the Premium Ambriel disaster?\The luxury liner that sank the other day? What of it?\All of the passengers are missing, except one.\Only a single person was rescued.\The truth behind the Premium Ambriel response:	Hatate Souta: the lone survivor
context: Don't talk about being alone so trivially!\In the end, you're just rejecting anyone who approaches you.\Have you heard about the Premium Ambriel disaster?\The luxury liner that sank the other day? What of it?\All of the passengers are missing, except one.\Only a single person was rescued.\The truth behind the Premium Ambriel\Hatate Souta: the lone survivor response:	That was me.
context: In the end, you're just rejecting anyone who approaches you.\Have you heard about the Premium Ambriel disaster?\The luxury liner that sank the other day? What of it?\All of the passengers are missing, except one.\Only a single person was rescued.\The truth behind the Premium Ambriel\Hatate Souta: the lone survivor\That was me. response:	What of it?!
