context: Hey! Come one, come all! response:	Cigarettes
context: Playing shop keeper, huh?\What're you selling?\Shells.\May I have one, too?\Yes, here.\You like children?\For publicity's sake.\You're a pretty nasty guy. response:	Do you dislike them, Kawafuji-san?
context: What're you selling?\Shells.\May I have one, too?\Yes, here.\You like children?\For publicity's sake.\You're a pretty nasty guy.\Do you dislike them, Kawafuji-san? response:	I think I'd come to like her, given another ten years.
context: Shells.\May I have one, too?\Yes, here.\You like children?\For publicity's sake.\You're a pretty nasty guy.\Do you dislike them, Kawafuji-san?\I think I'd come to like her, given another ten years. response:	That's not liking children, that's liking women.
context: May I have one, too?\Yes, here.\You like children?\For publicity's sake.\You're a pretty nasty guy.\Do you dislike them, Kawafuji-san?\I think I'd come to like her, given another ten years.\That's not liking children, that's liking women. response:	Furthermore, I prefer mature women.
context: Yes, here.\You like children?\For publicity's sake.\You're a pretty nasty guy.\Do you dislike them, Kawafuji-san?\I think I'd come to like her, given another ten years.\That's not liking children, that's liking women.\Furthermore, I prefer mature women. response:	That's gross!
context: You like children?\For publicity's sake.\You're a pretty nasty guy.\Do you dislike them, Kawafuji-san?\I think I'd come to like her, given another ten years.\That's not liking children, that's liking women.\Furthermore, I prefer mature women.\That's gross! response:	What're you doing?
context: For publicity's sake.\You're a pretty nasty guy.\Do you dislike them, Kawafuji-san?\I think I'd come to like her, given another ten years.\That's not liking children, that's liking women.\Furthermore, I prefer mature women.\That's gross!\What're you doing? response:	Yuck, now my hand's slimy! It's filthy!
context: You're a pretty nasty guy.\Do you dislike them, Kawafuji-san?\I think I'd come to like her, given another ten years.\That's not liking children, that's liking women.\Furthermore, I prefer mature women.\That's gross!\What're you doing?\Yuck, now my hand's slimy! It's filthy! response:	You trying to break my glasses?!
context: Do you dislike them, Kawafuji-san?\I think I'd come to like her, given another ten years.\That's not liking children, that's liking women.\Furthermore, I prefer mature women.\That's gross!\What're you doing?\Yuck, now my hand's slimy! It's filthy!\You trying to break my glasses?! response:	You dig it out with a needle like this, and eat it.
context: I think I'd come to like her, given another ten years.\That's not liking children, that's liking women.\Furthermore, I prefer mature women.\That's gross!\What're you doing?\Yuck, now my hand's slimy! It's filthy!\You trying to break my glasses?!\You dig it out with a needle like this, and eat it. response:	*Good children boil them before eating!
context: That's not liking children, that's liking women.\Furthermore, I prefer mature women.\That's gross!\What're you doing?\Yuck, now my hand's slimy! It's filthy!\You trying to break my glasses?!\You dig it out with a needle like this, and eat it.\*Good children boil them before eating! response:	Ick ick ick!
context: Furthermore, I prefer mature women.\That's gross!\What're you doing?\Yuck, now my hand's slimy! It's filthy!\You trying to break my glasses?!\You dig it out with a needle like this, and eat it.\*Good children boil them before eating!\Ick ick ick! response:	Young lady...
context: That's gross!\What're you doing?\Yuck, now my hand's slimy! It's filthy!\You trying to break my glasses?!\You dig it out with a needle like this, and eat it.\*Good children boil them before eating!\Ick ick ick!\Young lady... response:	Does someone named Handa Seishuu live around here?
context: What're you doing?\Yuck, now my hand's slimy! It's filthy!\You trying to break my glasses?!\You dig it out with a needle like this, and eat it.\*Good children boil them before eating!\Ick ick ick!\Young lady...\Does someone named Handa Seishuu live around here? response:	Handa...
context: Yuck, now my hand's slimy! It's filthy!\You trying to break my glasses?!\You dig it out with a needle like this, and eat it.\*Good children boil them before eating!\Ick ick ick!\Young lady...\Does someone named Handa Seishuu live around here?\Handa... response:	Seishuu...
context: You trying to break my glasses?!\You dig it out with a needle like this, and eat it.\*Good children boil them before eating!\Ick ick ick!\Young lady...\Does someone named Handa Seishuu live around here?\Handa...\Seishuu... response:	Not around here.
context: You dig it out with a needle like this, and eat it.\*Good children boil them before eating!\Ick ick ick!\Young lady...\Does someone named Handa Seishuu live around here?\Handa...\Seishuu...\Not around here. response:	Wha? No way!
context: *Good children boil them before eating!\Ick ick ick!\Young lady...\Does someone named Handa Seishuu live around here?\Handa...\Seishuu...\Not around here.\Wha? No way! response:	But...
context: Ick ick ick!\Young lady...\Does someone named Handa Seishuu live around here?\Handa...\Seishuu...\Not around here.\Wha? No way!\But... response:	there's a Sensei who goes by a stylish name like that.
context: Young lady...\Does someone named Handa Seishuu live around here?\Handa...\Seishuu...\Not around here.\Wha? No way!\But...\there's a Sensei who goes by a stylish name like that. response:	Sensei?
context: Does someone named Handa Seishuu live around here?\Handa...\Seishuu...\Not around here.\Wha? No way!\But...\there's a Sensei who goes by a stylish name like that.\Sensei? response:	Our penmanship teacher.
context: Handa...\Seishuu...\Not around here.\Wha? No way!\But...\there's a Sensei who goes by a stylish name like that.\Sensei?\Our penmanship teacher. response:	Yeah, that's him!
context: Seishuu...\Not around here.\Wha? No way!\But...\there's a Sensei who goes by a stylish name like that.\Sensei?\Our penmanship teacher.\Yeah, that's him! response:	Do you know where Handa-sensei's house is?
context: Not around here.\Wha? No way!\But...\there's a Sensei who goes by a stylish name like that.\Sensei?\Our penmanship teacher.\Yeah, that's him!\Do you know where Handa-sensei's house is? response:	I'll tell you if you buy a shell.
context: Wha? No way!\But...\there's a Sensei who goes by a stylish name like that.\Sensei?\Our penmanship teacher.\Yeah, that's him!\Do you know where Handa-sensei's house is?\I'll tell you if you buy a shell. response:	Very shrewd...
context: But...\there's a Sensei who goes by a stylish name like that.\Sensei?\Our penmanship teacher.\Yeah, that's him!\Do you know where Handa-sensei's house is?\I'll tell you if you buy a shell.\Very shrewd... response:	Okay, sell me that one.
context: there's a Sensei who goes by a stylish name like that.\Sensei?\Our penmanship teacher.\Yeah, that's him!\Do you know where Handa-sensei's house is?\I'll tell you if you buy a shell.\Very shrewd...\Okay, sell me that one. response:	You have fine judgment, sir.
context: Sensei?\Our penmanship teacher.\Yeah, that's him!\Do you know where Handa-sensei's house is?\I'll tell you if you buy a shell.\Very shrewd...\Okay, sell me that one.\You have fine judgment, sir. response:	But, I can only sell this to someone wealthy, like an eye-tea company head or major leaguer.
context: Our penmanship teacher.\Yeah, that's him!\Do you know where Handa-sensei's house is?\I'll tell you if you buy a shell.\Very shrewd...\Okay, sell me that one.\You have fine judgment, sir.\But, I can only sell this to someone wealthy, like an eye-tea company head or major leaguer. response:	Well then...
context: Yeah, that's him!\Do you know where Handa-sensei's house is?\I'll tell you if you buy a shell.\Very shrewd...\Okay, sell me that one.\You have fine judgment, sir.\But, I can only sell this to someone wealthy, like an eye-tea company head or major leaguer.\Well then... response:	Would you accept this card?
context: Do you know where Handa-sensei's house is?\I'll tell you if you buy a shell.\Very shrewd...\Okay, sell me that one.\You have fine judgment, sir.\But, I can only sell this to someone wealthy, like an eye-tea company head or major leaguer.\Well then...\Would you accept this card? response:	C-Card?!
context: I'll tell you if you buy a shell.\Very shrewd...\Okay, sell me that one.\You have fine judgment, sir.\But, I can only sell this to someone wealthy, like an eye-tea company head or major leaguer.\Well then...\Would you accept this card?\C-Card?! response:	How much are you willing to sell for?
context: Very shrewd...\Okay, sell me that one.\You have fine judgment, sir.\But, I can only sell this to someone wealthy, like an eye-tea company head or major leaguer.\Well then...\Would you accept this card?\C-Card?!\How much are you willing to sell for? response:	Since I want you to show me the way, I'll splurge.
context: Okay, sell me that one.\You have fine judgment, sir.\But, I can only sell this to someone wealthy, like an eye-tea company head or major leaguer.\Well then...\Would you accept this card?\C-Card?!\How much are you willing to sell for?\Since I want you to show me the way, I'll splurge. response:	I, I
context: You have fine judgment, sir.\But, I can only sell this to someone wealthy, like an eye-tea company head or major leaguer.\Well then...\Would you accept this card?\C-Card?!\How much are you willing to sell for?\Since I want you to show me the way, I'll splurge.\I, I response:	I'll give you a deal at a million yen, you thief!
context: But, I can only sell this to someone wealthy, like an eye-tea company head or major leaguer.\Well then...\Would you accept this card?\C-Card?!\How much are you willing to sell for?\Since I want you to show me the way, I'll splurge.\I, I\I'll give you a deal at a million yen, you thief! response:	That's not a deal at all.
context: Well then...\Would you accept this card?\C-Card?!\How much are you willing to sell for?\Since I want you to show me the way, I'll splurge.\I, I\I'll give you a deal at a million yen, you thief!\That's not a deal at all. response:	Don't call me a thief.
context: Would you accept this card?\C-Card?!\How much are you willing to sell for?\Since I want you to show me the way, I'll splurge.\I, I\I'll give you a deal at a million yen, you thief!\That's not a deal at all.\Don't call me a thief. response:	It's my first time seein' one.
context: C-Card?!\How much are you willing to sell for?\Since I want you to show me the way, I'll splurge.\I, I\I'll give you a deal at a million yen, you thief!\That's not a deal at all.\Don't call me a thief.\It's my first time seein' one. response:	So, this is a card...
context: How much are you willing to sell for?\Since I want you to show me the way, I'll splurge.\I, I\I'll give you a deal at a million yen, you thief!\That's not a deal at all.\Don't call me a thief.\It's my first time seein' one.\So, this is a card... response:	Here.
context: Since I want you to show me the way, I'll splurge.\I, I\I'll give you a deal at a million yen, you thief!\That's not a deal at all.\Don't call me a thief.\It's my first time seein' one.\So, this is a card...\Here. response:	All right, young lady!
context: I, I\I'll give you a deal at a million yen, you thief!\That's not a deal at all.\Don't call me a thief.\It's my first time seein' one.\So, this is a card...\Here.\All right, young lady! response:	Show me the way to
context: I'll give you a deal at a million yen, you thief!\That's not a deal at all.\Don't call me a thief.\It's my first time seein' one.\So, this is a card...\Here.\All right, young lady!\Show me the way to response:	Wait, I'm gonna show this to Gramma.
context: That's not a deal at all.\Don't call me a thief.\It's my first time seein' one.\So, this is a card...\Here.\All right, young lady!\Show me the way to\Wait, I'm gonna show this to Gramma. response:	Hold it! This comes first.
context: Don't call me a thief.\It's my first time seein' one.\So, this is a card...\Here.\All right, young lady!\Show me the way to\Wait, I'm gonna show this to Gramma.\Hold it! This comes first. response:	Stop it!
context: It's my first time seein' one.\So, this is a card...\Here.\All right, young lady!\Show me the way to\Wait, I'm gonna show this to Gramma.\Hold it! This comes first.\Stop it! response:	Let me go!
context: So, this is a card...\Here.\All right, young lady!\Show me the way to\Wait, I'm gonna show this to Gramma.\Hold it! This comes first.\Stop it!\Let me go! response:	Hurry up and take me
context: Here.\All right, young lady!\Show me the way to\Wait, I'm gonna show this to Gramma.\Hold it! This comes first.\Stop it!\Let me go!\Hurry up and take me response:	Where're you guys from?
context: All right, young lady!\Show me the way to\Wait, I'm gonna show this to Gramma.\Hold it! This comes first.\Stop it!\Let me go!\Hurry up and take me\Where're you guys from? response:	Uh... well...
context: Show me the way to\Wait, I'm gonna show this to Gramma.\Hold it! This comes first.\Stop it!\Let me go!\Hurry up and take me\Where're you guys from?\Uh... well... response:	What's goin' on, Teacher?
context: Wait, I'm gonna show this to Gramma.\Hold it! This comes first.\Stop it!\Let me go!\Hurry up and take me\Where're you guys from?\Uh... well...\What's goin' on, Teacher? response:	They're suspicious.
context: Hold it! This comes first.\Stop it!\Let me go!\Hurry up and take me\Where're you guys from?\Uh... well...\What's goin' on, Teacher?\They're suspicious. response:	Snatchin' a child?
context: Stop it!\Let me go!\Hurry up and take me\Where're you guys from?\Uh... well...\What's goin' on, Teacher?\They're suspicious.\Snatchin' a child? response:	Ya got tattoos.
context: Let me go!\Hurry up and take me\Where're you guys from?\Uh... well...\What's goin' on, Teacher?\They're suspicious.\Snatchin' a child?\Ya got tattoos. response:	Uh, that's not what's going on...
context: Hurry up and take me\Where're you guys from?\Uh... well...\What's goin' on, Teacher?\They're suspicious.\Snatchin' a child?\Ya got tattoos.\Uh, that's not what's going on... response:	Call the fire brigade.
context: Where're you guys from?\Uh... well...\What's goin' on, Teacher?\They're suspicious.\Snatchin' a child?\Ya got tattoos.\Uh, that's not what's going on...\Call the fire brigade. response:	We got a village meetin' now.
context: Uh... well...\What's goin' on, Teacher?\They're suspicious.\Snatchin' a child?\Ya got tattoos.\Uh, that's not what's going on...\Call the fire brigade.\We got a village meetin' now. response:	Won't ya come tell us all'bout it?
context: What's goin' on, Teacher?\They're suspicious.\Snatchin' a child?\Ya got tattoos.\Uh, that's not what's going on...\Call the fire brigade.\We got a village meetin' now.\Won't ya come tell us all'bout it? response:	Get movin'!
context: They're suspicious.\Snatchin' a child?\Ya got tattoos.\Uh, that's not what's going on...\Call the fire brigade.\We got a village meetin' now.\Won't ya come tell us all'bout it?\Get movin'! response:	Wait!
context: Snatchin' a child?\Ya got tattoos.\Uh, that's not what's going on...\Call the fire brigade.\We got a village meetin' now.\Won't ya come tell us all'bout it?\Get movin'!\Wait! response:	Kawafuji-san!
context: Ya got tattoos.\Uh, that's not what's going on...\Call the fire brigade.\We got a village meetin' now.\Won't ya come tell us all'bout it?\Get movin'!\Wait!\Kawafuji-san! response:	Barakamon
context: Uh, that's not what's going on...\Call the fire brigade.\We got a village meetin' now.\Won't ya come tell us all'bout it?\Get movin'!\Wait!\Kawafuji-san!\Barakamon response:	Yosonmon
context: Call the fire brigade.\We got a village meetin' now.\Won't ya come tell us all'bout it?\Get movin'!\Wait!\Kawafuji-san!\Barakamon\Yosonmon response:	Translation: Guys From Tokyo
context: We got a village meetin' now.\Won't ya come tell us all'bout it?\Get movin'!\Wait!\Kawafuji-san!\Barakamon\Yosonmon\Translation: Guys From Tokyo response:	Thank you for this food.
context: Won't ya come tell us all'bout it?\Get movin'!\Wait!\Kawafuji-san!\Barakamon\Yosonmon\Translation: Guys From Tokyo\Thank you for this food. response:	Thank you for this food.
context: Get movin'!\Wait!\Kawafuji-san!\Barakamon\Yosonmon\Translation: Guys From Tokyo\Thank you for this food.\Thank you for this food. response:	Thank you for this food!
context: Wait!\Kawafuji-san!\Barakamon\Yosonmon\Translation: Guys From Tokyo\Thank you for this food.\Thank you for this food.\Thank you for this food! response:	Wait, why are you guys eating dinner at my house?
context: Kawafuji-san!\Barakamon\Yosonmon\Translation: Guys From Tokyo\Thank you for this food.\Thank you for this food.\Thank you for this food!\Wait, why are you guys eating dinner at my house? response:	Dad and Mom went to the community center for the village meeting.
context: Barakamon\Yosonmon\Translation: Guys From Tokyo\Thank you for this food.\Thank you for this food.\Thank you for this food!\Wait, why are you guys eating dinner at my house?\Dad and Mom went to the community center for the village meeting. response:	Grampa, too.
context: Yosonmon\Translation: Guys From Tokyo\Thank you for this food.\Thank you for this food.\Thank you for this food!\Wait, why are you guys eating dinner at my house?\Dad and Mom went to the community center for the village meeting.\Grampa, too. response:	And it's tastier than when eating alone, right?
context: Translation: Guys From Tokyo\Thank you for this food.\Thank you for this food.\Thank you for this food!\Wait, why are you guys eating dinner at my house?\Dad and Mom went to the community center for the village meeting.\Grampa, too.\And it's tastier than when eating alone, right? response:	Right?
context: Thank you for this food.\Thank you for this food.\Thank you for this food!\Wait, why are you guys eating dinner at my house?\Dad and Mom went to the community center for the village meeting.\Grampa, too.\And it's tastier than when eating alone, right?\Right? response:	I prefer eating alone.
context: Thank you for this food.\Thank you for this food!\Wait, why are you guys eating dinner at my house?\Dad and Mom went to the community center for the village meeting.\Grampa, too.\And it's tastier than when eating alone, right?\Right?\I prefer eating alone. response:	Sensei, you've gained weight since you came to the island.
context: Thank you for this food!\Wait, why are you guys eating dinner at my house?\Dad and Mom went to the community center for the village meeting.\Grampa, too.\And it's tastier than when eating alone, right?\Right?\I prefer eating alone.\Sensei, you've gained weight since you came to the island. response:	No way!
context: Wait, why are you guys eating dinner at my house?\Dad and Mom went to the community center for the village meeting.\Grampa, too.\And it's tastier than when eating alone, right?\Right?\I prefer eating alone.\Sensei, you've gained weight since you came to the island.\No way! response:	Seriously.
context: Dad and Mom went to the community center for the village meeting.\Grampa, too.\And it's tastier than when eating alone, right?\Right?\I prefer eating alone.\Sensei, you've gained weight since you came to the island.\No way!\Seriously. response:	The languid country air is ruining me!
context: Grampa, too.\And it's tastier than when eating alone, right?\Right?\I prefer eating alone.\Sensei, you've gained weight since you came to the island.\No way!\Seriously.\The languid country air is ruining me! response:	A man oughta be a little plump.
context: And it's tastier than when eating alone, right?\Right?\I prefer eating alone.\Sensei, you've gained weight since you came to the island.\No way!\Seriously.\The languid country air is ruining me!\A man oughta be a little plump. response:	You know, I've been wondering about this for a while.
context: Right?\I prefer eating alone.\Sensei, you've gained weight since you came to the island.\No way!\Seriously.\The languid country air is ruining me!\A man oughta be a little plump.\You know, I've been wondering about this for a while. response:	What's this scribbling?
context: I prefer eating alone.\Sensei, you've gained weight since you came to the island.\No way!\Seriously.\The languid country air is ruining me!\A man oughta be a little plump.\You know, I've been wondering about this for a while.\What's this scribbling? response:	Dog
context: Sensei, you've gained weight since you came to the island.\No way!\Seriously.\The languid country air is ruining me!\A man oughta be a little plump.\You know, I've been wondering about this for a while.\What's this scribbling?\Dog response:	Earlier, I met a fella with scribblin' on his arm.
context: No way!\Seriously.\The languid country air is ruining me!\A man oughta be a little plump.\You know, I've been wondering about this for a while.\What's this scribbling?\Dog\Earlier, I met a fella with scribblin' on his arm. response:	Probably shady.
context: Seriously.\The languid country air is ruining me!\A man oughta be a little plump.\You know, I've been wondering about this for a while.\What's this scribbling?\Dog\Earlier, I met a fella with scribblin' on his arm.\Probably shady. response:	Scribbling? Isn't that a tattoo?
context: The languid country air is ruining me!\A man oughta be a little plump.\You know, I've been wondering about this for a while.\What's this scribbling?\Dog\Earlier, I met a fella with scribblin' on his arm.\Probably shady.\Scribbling? Isn't that a tattoo? response:	A flower and Dog and...
context: A man oughta be a little plump.\You know, I've been wondering about this for a while.\What's this scribbling?\Dog\Earlier, I met a fella with scribblin' on his arm.\Probably shady.\Scribbling? Isn't that a tattoo?\A flower and Dog and... response:	Dog
context: You know, I've been wondering about this for a while.\What's this scribbling?\Dog\Earlier, I met a fella with scribblin' on his arm.\Probably shady.\Scribbling? Isn't that a tattoo?\A flower and Dog and...\Dog response:	What are these round things?
context: What's this scribbling?\Dog\Earlier, I met a fella with scribblin' on his arm.\Probably shady.\Scribbling? Isn't that a tattoo?\A flower and Dog and...\Dog\What are these round things? response:	Chocolate Marbles.
context: Dog\Earlier, I met a fella with scribblin' on his arm.\Probably shady.\Scribbling? Isn't that a tattoo?\A flower and Dog and...\Dog\What are these round things?\Chocolate Marbles. response:	Was the guy's tattoo a hawk?
context: Earlier, I met a fella with scribblin' on his arm.\Probably shady.\Scribbling? Isn't that a tattoo?\A flower and Dog and...\Dog\What are these round things?\Chocolate Marbles.\Was the guy's tattoo a hawk? response:	It was all muddled up, so I couldn't tell.
context: Probably shady.\Scribbling? Isn't that a tattoo?\A flower and Dog and...\Dog\What are these round things?\Chocolate Marbles.\Was the guy's tattoo a hawk?\It was all muddled up, so I couldn't tell. response:	Actually, I've gotten a number of texts since yesterday.
context: Scribbling? Isn't that a tattoo?\A flower and Dog and...\Dog\What are these round things?\Chocolate Marbles.\Was the guy's tattoo a hawk?\It was all muddled up, so I couldn't tell.\Actually, I've gotten a number of texts since yesterday. response:	Kawafuji
context: A flower and Dog and...\Dog\What are these round things?\Chocolate Marbles.\Was the guy's tattoo a hawk?\It was all muddled up, so I couldn't tell.\Actually, I've gotten a number of texts since yesterday.\Kawafuji response:	I think that guy's my friend.
context: Dog\What are these round things?\Chocolate Marbles.\Was the guy's tattoo a hawk?\It was all muddled up, so I couldn't tell.\Actually, I've gotten a number of texts since yesterday.\Kawafuji\I think that guy's my friend. response:	Since it fell into the sea,
context: What are these round things?\Chocolate Marbles.\Was the guy's tattoo a hawk?\It was all muddled up, so I couldn't tell.\Actually, I've gotten a number of texts since yesterday.\Kawafuji\I think that guy's my friend.\Since it fell into the sea, response:	Inbox
context: Chocolate Marbles.\Was the guy's tattoo a hawk?\It was all muddled up, so I couldn't tell.\Actually, I've gotten a number of texts since yesterday.\Kawafuji\I think that guy's my friend.\Since it fell into the sea,\Inbox response:	the keys are messed up, so I can't send a reply.
context: Was the guy's tattoo a hawk?\It was all muddled up, so I couldn't tell.\Actually, I've gotten a number of texts since yesterday.\Kawafuji\I think that guy's my friend.\Since it fell into the sea,\Inbox\the keys are messed up, so I can't send a reply. response:	Never mind your phone...
context: It was all muddled up, so I couldn't tell.\Actually, I've gotten a number of texts since yesterday.\Kawafuji\I think that guy's my friend.\Since it fell into the sea,\Inbox\the keys are messed up, so I can't send a reply.\Never mind your phone... response:	What surprises me is you having a friend.
context: Actually, I've gotten a number of texts since yesterday.\Kawafuji\I think that guy's my friend.\Since it fell into the sea,\Inbox\the keys are messed up, so I can't send a reply.\Never mind your phone...\What surprises me is you having a friend. response:	I'll hit you for that.
context: Kawafuji\I think that guy's my friend.\Since it fell into the sea,\Inbox\the keys are messed up, so I can't send a reply.\Never mind your phone...\What surprises me is you having a friend.\I'll hit you for that. response:	Sensei!
context: I think that guy's my friend.\Since it fell into the sea,\Inbox\the keys are messed up, so I can't send a reply.\Never mind your phone...\What surprises me is you having a friend.\I'll hit you for that.\Sensei! response:	Oh, Miwa.
context: Since it fell into the sea,\Inbox\the keys are messed up, so I can't send a reply.\Never mind your phone...\What surprises me is you having a friend.\I'll hit you for that.\Sensei!\Oh, Miwa. response:	What's going on?
context: Inbox\the keys are messed up, so I can't send a reply.\Never mind your phone...\What surprises me is you having a friend.\I'll hit you for that.\Sensei!\Oh, Miwa.\What's going on? response:	You really gotta ask?
context: the keys are messed up, so I can't send a reply.\Never mind your phone...\What surprises me is you having a friend.\I'll hit you for that.\Sensei!\Oh, Miwa.\What's going on?\You really gotta ask? response:	These two...
context: Never mind your phone...\What surprises me is you having a friend.\I'll hit you for that.\Sensei!\Oh, Miwa.\What's going on?\You really gotta ask?\These two... response:	Hey, you guys!
context: What surprises me is you having a friend.\I'll hit you for that.\Sensei!\Oh, Miwa.\What's going on?\You really gotta ask?\These two...\Hey, you guys! response:	I said come in this way!
context: I'll hit you for that.\Sensei!\Oh, Miwa.\What's going on?\You really gotta ask?\These two...\Hey, you guys!\I said come in this way! response:	That's the front door!
context: Sensei!\Oh, Miwa.\What's going on?\You really gotta ask?\These two...\Hey, you guys!\I said come in this way!\That's the front door! response:	Uh... it'd be better for me if they entered through the front door.
context: Oh, Miwa.\What's going on?\You really gotta ask?\These two...\Hey, you guys!\I said come in this way!\That's the front door!\Uh... it'd be better for me if they entered through the front door. response:	Guests?
context: What's going on?\You really gotta ask?\These two...\Hey, you guys!\I said come in this way!\That's the front door!\Uh... it'd be better for me if they entered through the front door.\Guests? response:	They're sayin' they're yer friends.
context: You really gotta ask?\These two...\Hey, you guys!\I said come in this way!\That's the front door!\Uh... it'd be better for me if they entered through the front door.\Guests?\They're sayin' they're yer friends. response:	Hey!
context: These two...\Hey, you guys!\I said come in this way!\That's the front door!\Uh... it'd be better for me if they entered through the front door.\Guests?\They're sayin' they're yer friends.\Hey! response:	Drunk
context: Hey, you guys!\I said come in this way!\That's the front door!\Uh... it'd be better for me if they entered through the front door.\Guests?\They're sayin' they're yer friends.\Hey!\Drunk response:	Kawa
context: I said come in this way!\That's the front door!\Uh... it'd be better for me if they entered through the front door.\Guests?\They're sayin' they're yer friends.\Hey!\Drunk\Kawa response:	Why is he so drunk?
context: That's the front door!\Uh... it'd be better for me if they entered through the front door.\Guests?\They're sayin' they're yer friends.\Hey!\Drunk\Kawa\Why is he so drunk? response:	He was suspected of tryin' to kidnap a child in broad daylight,
context: Uh... it'd be better for me if they entered through the front door.\Guests?\They're sayin' they're yer friends.\Hey!\Drunk\Kawa\Why is he so drunk?\He was suspected of tryin' to kidnap a child in broad daylight, response:	so they lectured him good at the village meetin'...
context: Guests?\They're sayin' they're yer friends.\Hey!\Drunk\Kawa\Why is he so drunk?\He was suspected of tryin' to kidnap a child in broad daylight,\so they lectured him good at the village meetin'... response:	That is correct, sir!
context: They're sayin' they're yer friends.\Hey!\Drunk\Kawa\Why is he so drunk?\He was suspected of tryin' to kidnap a child in broad daylight,\so they lectured him good at the village meetin'...\That is correct, sir! response:	But every time folks gather, it turns into a drinkin' party.
context: Hey!\Drunk\Kawa\Why is he so drunk?\He was suspected of tryin' to kidnap a child in broad daylight,\so they lectured him good at the village meetin'...\That is correct, sir!\But every time folks gather, it turns into a drinkin' party. response:	No, I am truly sorry!
context: Drunk\Kawa\Why is he so drunk?\He was suspected of tryin' to kidnap a child in broad daylight,\so they lectured him good at the village meetin'...\That is correct, sir!\But every time folks gather, it turns into a drinkin' party.\No, I am truly sorry! response:	Ah, now I get it...
context: Kawa\Why is he so drunk?\He was suspected of tryin' to kidnap a child in broad daylight,\so they lectured him good at the village meetin'...\That is correct, sir!\But every time folks gather, it turns into a drinkin' party.\No, I am truly sorry!\Ah, now I get it... response:	Handa!
