context: I can't take any more... I'm at my limit... response:	Let me off...
context: Huh? That's strange!\I'll try it once more!\It's not really making a difference...\Troia! Troia! Troia!\It's not having any effect!\Why not?!\Usually, he feels better right away...\A power shortage? response:	It can only be one thing...
context: I'll try it once more!\It's not really making a difference...\Troia! Troia! Troia!\It's not having any effect!\Why not?!\Usually, he feels better right away...\A power shortage?\It can only be one thing... response:	With the spell cast on him every time he got on some form of transportation...
context: It's not really making a difference...\Troia! Troia! Troia!\It's not having any effect!\Why not?!\Usually, he feels better right away...\A power shortage?\It can only be one thing...\With the spell cast on him every time he got on some form of transportation... response:	A-A Troia resistance?!
context: Troia! Troia! Troia!\It's not having any effect!\Why not?!\Usually, he feels better right away...\A power shortage?\It can only be one thing...\With the spell cast on him every time he got on some form of transportation...\A-A Troia resistance?! response:	I don't believe it! Is that even possible?!
context: It's not having any effect!\Why not?!\Usually, he feels better right away...\A power shortage?\It can only be one thing...\With the spell cast on him every time he got on some form of transportation...\A-A Troia resistance?!\I don't believe it! Is that even possible?! response:	It certainly is possible.
context: Why not?!\Usually, he feels better right away...\A power shortage?\It can only be one thing...\With the spell cast on him every time he got on some form of transportation...\A-A Troia resistance?!\I don't believe it! Is that even possible?!\It certainly is possible. response:	He's slow on the uptake, though, which is why it worked as long as it did.
context: Usually, he feels better right away...\A power shortage?\It can only be one thing...\With the spell cast on him every time he got on some form of transportation...\A-A Troia resistance?!\I don't believe it! Is that even possible?!\It certainly is possible.\He's slow on the uptake, though, which is why it worked as long as it did. response:	There's nothing we can do about it, Natsu.
context: A power shortage?\It can only be one thing...\With the spell cast on him every time he got on some form of transportation...\A-A Troia resistance?!\I don't believe it! Is that even possible?!\It certainly is possible.\He's slow on the uptake, though, which is why it worked as long as it did.\There's nothing we can do about it, Natsu. response:	You'll just have to rely on will power alone
context: It can only be one thing...\With the spell cast on him every time he got on some form of transportation...\A-A Troia resistance?!\I don't believe it! Is that even possible?!\It certainly is possible.\He's slow on the uptake, though, which is why it worked as long as it did.\There's nothing we can do about it, Natsu.\You'll just have to rely on will power alone response:	to get you through the next two hours.
context: With the spell cast on him every time he got on some form of transportation...\A-A Troia resistance?!\I don't believe it! Is that even possible?!\It certainly is possible.\He's slow on the uptake, though, which is why it worked as long as it did.\There's nothing we can do about it, Natsu.\You'll just have to rely on will power alone\to get you through the next two hours. response:	My goodness...
context: A-A Troia resistance?!\I don't believe it! Is that even possible?!\It certainly is possible.\He's slow on the uptake, though, which is why it worked as long as it did.\There's nothing we can do about it, Natsu.\You'll just have to rely on will power alone\to get you through the next two hours.\My goodness... response:	You people...
context: I don't believe it! Is that even possible?!\It certainly is possible.\He's slow on the uptake, though, which is why it worked as long as it did.\There's nothing we can do about it, Natsu.\You'll just have to rely on will power alone\to get you through the next two hours.\My goodness...\You people... response:	Easy for you to say...
context: It certainly is possible.\He's slow on the uptake, though, which is why it worked as long as it did.\There's nothing we can do about it, Natsu.\You'll just have to rely on will power alone\to get you through the next two hours.\My goodness...\You people...\Easy for you to say... response:	This time, Natsu and the others have accepted a job from a wealthy person,
context: He's slow on the uptake, though, which is why it worked as long as it did.\There's nothing we can do about it, Natsu.\You'll just have to rely on will power alone\to get you through the next two hours.\My goodness...\You people...\Easy for you to say...\This time, Natsu and the others have accepted a job from a wealthy person, response:	their mission to safely escort a great deal of gold by freight
context: There's nothing we can do about it, Natsu.\You'll just have to rely on will power alone\to get you through the next two hours.\My goodness...\You people...\Easy for you to say...\This time, Natsu and the others have accepted a job from a wealthy person,\their mission to safely escort a great deal of gold by freight response:	to their client's connection.
context: You'll just have to rely on will power alone\to get you through the next two hours.\My goodness...\You people...\Easy for you to say...\This time, Natsu and the others have accepted a job from a wealthy person,\their mission to safely escort a great deal of gold by freight\to their client's connection. response:	The trip takes six hours from Magnolia, heading due west across the continent.
context: to get you through the next two hours.\My goodness...\You people...\Easy for you to say...\This time, Natsu and the others have accepted a job from a wealthy person,\their mission to safely escort a great deal of gold by freight\to their client's connection.\The trip takes six hours from Magnolia, heading due west across the continent. response:	Thus far, four hours have passed without incident,
context: My goodness...\You people...\Easy for you to say...\This time, Natsu and the others have accepted a job from a wealthy person,\their mission to safely escort a great deal of gold by freight\to their client's connection.\The trip takes six hours from Magnolia, heading due west across the continent.\Thus far, four hours have passed without incident, response:	but Natsu and the rest had no way of knowing
context: You people...\Easy for you to say...\This time, Natsu and the others have accepted a job from a wealthy person,\their mission to safely escort a great deal of gold by freight\to their client's connection.\The trip takes six hours from Magnolia, heading due west across the continent.\Thus far, four hours have passed without incident,\but Natsu and the rest had no way of knowing response:	that a terrible evil was silently creeping towards them...
context: Easy for you to say...\This time, Natsu and the others have accepted a job from a wealthy person,\their mission to safely escort a great deal of gold by freight\to their client's connection.\The trip takes six hours from Magnolia, heading due west across the continent.\Thus far, four hours have passed without incident,\but Natsu and the rest had no way of knowing\that a terrible evil was silently creeping towards them... response:	Alright! You two better get fired up!
context: This time, Natsu and the others have accepted a job from a wealthy person,\their mission to safely escort a great deal of gold by freight\to their client's connection.\The trip takes six hours from Magnolia, heading due west across the continent.\Thus far, four hours have passed without incident,\but Natsu and the rest had no way of knowing\that a terrible evil was silently creeping towards them...\Alright! You two better get fired up! response:	Yes, sir!
context: their mission to safely escort a great deal of gold by freight\to their client's connection.\The trip takes six hours from Magnolia, heading due west across the continent.\Thus far, four hours have passed without incident,\but Natsu and the rest had no way of knowing\that a terrible evil was silently creeping towards them...\Alright! You two better get fired up!\Yes, sir! response:	For we're the notorious robbers...
context: to their client's connection.\The trip takes six hours from Magnolia, heading due west across the continent.\Thus far, four hours have passed without incident,\but Natsu and the rest had no way of knowing\that a terrible evil was silently creeping towards them...\Alright! You two better get fired up!\Yes, sir!\For we're the notorious robbers... response:	The Jiggle Butt Gang!
context: The trip takes six hours from Magnolia, heading due west across the continent.\Thus far, four hours have passed without incident,\but Natsu and the rest had no way of knowing\that a terrible evil was silently creeping towards them...\Alright! You two better get fired up!\Yes, sir!\For we're the notorious robbers...\The Jiggle Butt Gang! response:	Sound off, Lackey A!
context: Thus far, four hours have passed without incident,\but Natsu and the rest had no way of knowing\that a terrible evil was silently creeping towards them...\Alright! You two better get fired up!\Yes, sir!\For we're the notorious robbers...\The Jiggle Butt Gang!\Sound off, Lackey A! response:	Yes, sir!
context: but Natsu and the rest had no way of knowing\that a terrible evil was silently creeping towards them...\Alright! You two better get fired up!\Yes, sir!\For we're the notorious robbers...\The Jiggle Butt Gang!\Sound off, Lackey A!\Yes, sir! response:	Lackey B!
context: that a terrible evil was silently creeping towards them...\Alright! You two better get fired up!\Yes, sir!\For we're the notorious robbers...\The Jiggle Butt Gang!\Sound off, Lackey A!\Yes, sir!\Lackey B! response:	Yes, sir!
context: Alright! You two better get fired up!\Yes, sir!\For we're the notorious robbers...\The Jiggle Butt Gang!\Sound off, Lackey A!\Yes, sir!\Lackey B!\Yes, sir! response:	Right now, we're about to embark on
context: Yes, sir!\For we're the notorious robbers...\The Jiggle Butt Gang!\Sound off, Lackey A!\Yes, sir!\Lackey B!\Yes, sir!\Right now, we're about to embark on response:	Operation: Steal the Gold Cargo from the Freight Train and Good Riddance!
context: For we're the notorious robbers...\The Jiggle Butt Gang!\Sound off, Lackey A!\Yes, sir!\Lackey B!\Yes, sir!\Right now, we're about to embark on\Operation: Steal the Gold Cargo from the Freight Train and Good Riddance! response:	Alright!
context: The Jiggle Butt Gang!\Sound off, Lackey A!\Yes, sir!\Lackey B!\Yes, sir!\Right now, we're about to embark on\Operation: Steal the Gold Cargo from the Freight Train and Good Riddance!\Alright! response:	Sneak!
context: Sound off, Lackey A!\Yes, sir!\Lackey B!\Yes, sir!\Right now, we're about to embark on\Operation: Steal the Gold Cargo from the Freight Train and Good Riddance!\Alright!\Sneak! response:	Sneak!
context: Yes, sir!\Lackey B!\Yes, sir!\Right now, we're about to embark on\Operation: Steal the Gold Cargo from the Freight Train and Good Riddance!\Alright!\Sneak!\Sneak! response:	Sneak!
context: Lackey B!\Yes, sir!\Right now, we're about to embark on\Operation: Steal the Gold Cargo from the Freight Train and Good Riddance!\Alright!\Sneak!\Sneak!\Sneak! response:	Sneak-sneak-sneak-sneak-sneak...
context: Yes, sir!\Right now, we're about to embark on\Operation: Steal the Gold Cargo from the Freight Train and Good Riddance!\Alright!\Sneak!\Sneak!\Sneak!\Sneak-sneak-sneak-sneak-sneak... response:	Sneak!
context: Right now, we're about to embark on\Operation: Steal the Gold Cargo from the Freight Train and Good Riddance!\Alright!\Sneak!\Sneak!\Sneak!\Sneak-sneak-sneak-sneak-sneak...\Sneak! response:	Okay. That's the freight car!
context: Operation: Steal the Gold Cargo from the Freight Train and Good Riddance!\Alright!\Sneak!\Sneak!\Sneak!\Sneak-sneak-sneak-sneak-sneak...\Sneak!\Okay. That's the freight car! response:	Just one more step to the treasure.
context: Alright!\Sneak!\Sneak!\Sneak!\Sneak-sneak-sneak-sneak-sneak...\Sneak!\Okay. That's the freight car!\Just one more step to the treasure. response:	Our plan is flawless...
context: Sneak!\Sneak!\Sneak!\Sneak-sneak-sneak-sneak-sneak...\Sneak!\Okay. That's the freight car!\Just one more step to the treasure.\Our plan is flawless... response:	W-W-W-Who the hell is he?!
context: Sneak!\Sneak!\Sneak-sneak-sneak-sneak-sneak...\Sneak!\Okay. That's the freight car!\Just one more step to the treasure.\Our plan is flawless...\W-W-W-Who the hell is he?! response:	What's he doing in there?!
context: Sneak!\Sneak-sneak-sneak-sneak-sneak...\Sneak!\Okay. That's the freight car!\Just one more step to the treasure.\Our plan is flawless...\W-W-W-Who the hell is he?!\What's he doing in there?! response:	What do we do?!
context: Sneak-sneak-sneak-sneak-sneak...\Sneak!\Okay. That's the freight car!\Just one more step to the treasure.\Our plan is flawless...\W-W-W-Who the hell is he?!\What's he doing in there?!\What do we do?! response:	Revise the plan?!
context: Sneak!\Okay. That's the freight car!\Just one more step to the treasure.\Our plan is flawless...\W-W-W-Who the hell is he?!\What's he doing in there?!\What do we do?!\Revise the plan?! response:	Don't panic. True evil doesn't revise its plans!
context: Okay. That's the freight car!\Just one more step to the treasure.\Our plan is flawless...\W-W-W-Who the hell is he?!\What's he doing in there?!\What do we do?!\Revise the plan?!\Don't panic. True evil doesn't revise its plans! response:	At a time like this, true evil gets crafty!
context: Just one more step to the treasure.\Our plan is flawless...\W-W-W-Who the hell is he?!\What's he doing in there?!\What do we do?!\Revise the plan?!\Don't panic. True evil doesn't revise its plans!\At a time like this, true evil gets crafty! response:	Listen, you two! While I distract that guy, you scout out the freight car!
context: Our plan is flawless...\W-W-W-Who the hell is he?!\What's he doing in there?!\What do we do?!\Revise the plan?!\Don't panic. True evil doesn't revise its plans!\At a time like this, true evil gets crafty!\Listen, you two! While I distract that guy, you scout out the freight car! response:	Roger!
context: W-W-W-Who the hell is he?!\What's he doing in there?!\What do we do?!\Revise the plan?!\Don't panic. True evil doesn't revise its plans!\At a time like this, true evil gets crafty!\Listen, you two! While I distract that guy, you scout out the freight car!\Roger! response:	Are you okay?! Pull yourself together!
context: What's he doing in there?!\What do we do?!\Revise the plan?!\Don't panic. True evil doesn't revise its plans!\At a time like this, true evil gets crafty!\Listen, you two! While I distract that guy, you scout out the freight car!\Roger!\Are you okay?! Pull yourself together! response:	Skulk-butt...
context: What do we do?!\Revise the plan?!\Don't panic. True evil doesn't revise its plans!\At a time like this, true evil gets crafty!\Listen, you two! While I distract that guy, you scout out the freight car!\Roger!\Are you okay?! Pull yourself together!\Skulk-butt... response:	Slink-butt...
context: Revise the plan?!\Don't panic. True evil doesn't revise its plans!\At a time like this, true evil gets crafty!\Listen, you two! While I distract that guy, you scout out the freight car!\Roger!\Are you okay?! Pull yourself together!\Skulk-butt...\Slink-butt... response:	What's wrong, laddy, you got motion sickness?!
context: Don't panic. True evil doesn't revise its plans!\At a time like this, true evil gets crafty!\Listen, you two! While I distract that guy, you scout out the freight car!\Roger!\Are you okay?! Pull yourself together!\Skulk-butt...\Slink-butt...\What's wrong, laddy, you got motion sickness?! response:	Sneak-butt...
context: At a time like this, true evil gets crafty!\Listen, you two! While I distract that guy, you scout out the freight car!\Roger!\Are you okay?! Pull yourself together!\Skulk-butt...\Slink-butt...\What's wrong, laddy, you got motion sickness?!\Sneak-butt... response:	Yeah, well... I don't know who you are, but I feel a little better now.
context: Listen, you two! While I distract that guy, you scout out the freight car!\Roger!\Are you okay?! Pull yourself together!\Skulk-butt...\Slink-butt...\What's wrong, laddy, you got motion sickness?!\Sneak-butt...\Yeah, well... I don't know who you are, but I feel a little better now. response:	Worrying about a complete stranger, old man...
context: Roger!\Are you okay?! Pull yourself together!\Skulk-butt...\Slink-butt...\What's wrong, laddy, you got motion sickness?!\Sneak-butt...\Yeah, well... I don't know who you are, but I feel a little better now.\Worrying about a complete stranger, old man... response:	That makes you a good guy in my book...
context: Are you okay?! Pull yourself together!\Skulk-butt...\Slink-butt...\What's wrong, laddy, you got motion sickness?!\Sneak-butt...\Yeah, well... I don't know who you are, but I feel a little better now.\Worrying about a complete stranger, old man...\That makes you a good guy in my book... response:	A good guy?!
context: Skulk-butt...\Slink-butt...\What's wrong, laddy, you got motion sickness?!\Sneak-butt...\Yeah, well... I don't know who you are, but I feel a little better now.\Worrying about a complete stranger, old man...\That makes you a good guy in my book...\A good guy?! response:	Compared to the jerks in there, who accepted this job
context: Slink-butt...\What's wrong, laddy, you got motion sickness?!\Sneak-butt...\Yeah, well... I don't know who you are, but I feel a little better now.\Worrying about a complete stranger, old man...\That makes you a good guy in my book...\A good guy?!\Compared to the jerks in there, who accepted this job response:	even though they knew I'd get motion sickness...
context: What's wrong, laddy, you got motion sickness?!\Sneak-butt...\Yeah, well... I don't know who you are, but I feel a little better now.\Worrying about a complete stranger, old man...\That makes you a good guy in my book...\A good guy?!\Compared to the jerks in there, who accepted this job\even though they knew I'd get motion sickness... response:	Job? What kind of job is that?
context: Sneak-butt...\Yeah, well... I don't know who you are, but I feel a little better now.\Worrying about a complete stranger, old man...\That makes you a good guy in my book...\A good guy?!\Compared to the jerks in there, who accepted this job\even though they knew I'd get motion sickness...\Job? What kind of job is that? response:	We're escorting this freight.
context: Yeah, well... I don't know who you are, but I feel a little better now.\Worrying about a complete stranger, old man...\That makes you a good guy in my book...\A good guy?!\Compared to the jerks in there, who accepted this job\even though they knew I'd get motion sickness...\Job? What kind of job is that?\We're escorting this freight. response:	Oh... So your comrades are bodyguards, eh?
context: Worrying about a complete stranger, old man...\That makes you a good guy in my book...\A good guy?!\Compared to the jerks in there, who accepted this job\even though they knew I'd get motion sickness...\Job? What kind of job is that?\We're escorting this freight.\Oh... So your comrades are bodyguards, eh? response:	We can sneak a peek through here.
context: That makes you a good guy in my book...\A good guy?!\Compared to the jerks in there, who accepted this job\even though they knew I'd get motion sickness...\Job? What kind of job is that?\We're escorting this freight.\Oh... So your comrades are bodyguards, eh?\We can sneak a peek through here. response:	Quietly, quietly...
context: A good guy?!\Compared to the jerks in there, who accepted this job\even though they knew I'd get motion sickness...\Job? What kind of job is that?\We're escorting this freight.\Oh... So your comrades are bodyguards, eh?\We can sneak a peek through here.\Quietly, quietly... response:	Open-butt...
context: Compared to the jerks in there, who accepted this job\even though they knew I'd get motion sickness...\Job? What kind of job is that?\We're escorting this freight.\Oh... So your comrades are bodyguards, eh?\We can sneak a peek through here.\Quietly, quietly...\Open-butt... response:	Don't worry about it, Wendy!
context: even though they knew I'd get motion sickness...\Job? What kind of job is that?\We're escorting this freight.\Oh... So your comrades are bodyguards, eh?\We can sneak a peek through here.\Quietly, quietly...\Open-butt...\Don't worry about it, Wendy! response:	It's no use. When something like this happens,
context: Job? What kind of job is that?\We're escorting this freight.\Oh... So your comrades are bodyguards, eh?\We can sneak a peek through here.\Quietly, quietly...\Open-butt...\Don't worry about it, Wendy!\It's no use. When something like this happens, response:	it takes a long time for her to snap out of it.
context: We're escorting this freight.\Oh... So your comrades are bodyguards, eh?\We can sneak a peek through here.\Quietly, quietly...\Open-butt...\Don't worry about it, Wendy!\It's no use. When something like this happens,\it takes a long time for her to snap out of it. response:	And Natsu knew he'd get sick on this job,
context: Oh... So your comrades are bodyguards, eh?\We can sneak a peek through here.\Quietly, quietly...\Open-butt...\Don't worry about it, Wendy!\It's no use. When something like this happens,\it takes a long time for her to snap out of it.\And Natsu knew he'd get sick on this job, response:	so maybe he shouldn't have signed on from the start.
context: We can sneak a peek through here.\Quietly, quietly...\Open-butt...\Don't worry about it, Wendy!\It's no use. When something like this happens,\it takes a long time for her to snap out of it.\And Natsu knew he'd get sick on this job,\so maybe he shouldn't have signed on from the start. response:	You're right, but he seemed to have nothing else going on...
context: Quietly, quietly...\Open-butt...\Don't worry about it, Wendy!\It's no use. When something like this happens,\it takes a long time for her to snap out of it.\And Natsu knew he'd get sick on this job,\so maybe he shouldn't have signed on from the start.\You're right, but he seemed to have nothing else going on... response:	Still, for magic not to work at a time when it's really needed,
context: Open-butt...\Don't worry about it, Wendy!\It's no use. When something like this happens,\it takes a long time for her to snap out of it.\And Natsu knew he'd get sick on this job,\so maybe he shouldn't have signed on from the start.\You're right, but he seemed to have nothing else going on...\Still, for magic not to work at a time when it's really needed, response:	that makes me a failure as a wizard.
context: Don't worry about it, Wendy!\It's no use. When something like this happens,\it takes a long time for her to snap out of it.\And Natsu knew he'd get sick on this job,\so maybe he shouldn't have signed on from the start.\You're right, but he seemed to have nothing else going on...\Still, for magic not to work at a time when it's really needed,\that makes me a failure as a wizard. response:	That's taking it too far!
context: It's no use. When something like this happens,\it takes a long time for her to snap out of it.\And Natsu knew he'd get sick on this job,\so maybe he shouldn't have signed on from the start.\You're right, but he seemed to have nothing else going on...\Still, for magic not to work at a time when it's really needed,\that makes me a failure as a wizard.\That's taking it too far! response:	Wizard?!
context: it takes a long time for her to snap out of it.\And Natsu knew he'd get sick on this job,\so maybe he shouldn't have signed on from the start.\You're right, but he seemed to have nothing else going on...\Still, for magic not to work at a time when it's really needed,\that makes me a failure as a wizard.\That's taking it too far!\Wizard?! response:	I know how you feel, laddy.
context: And Natsu knew he'd get sick on this job,\so maybe he shouldn't have signed on from the start.\You're right, but he seemed to have nothing else going on...\Still, for magic not to work at a time when it's really needed,\that makes me a failure as a wizard.\That's taking it too far!\Wizard?!\I know how you feel, laddy. response:	It's tough when things don't work out smoothly with your colleagues...
context: so maybe he shouldn't have signed on from the start.\You're right, but he seemed to have nothing else going on...\Still, for magic not to work at a time when it's really needed,\that makes me a failure as a wizard.\That's taking it too far!\Wizard?!\I know how you feel, laddy.\It's tough when things don't work out smoothly with your colleagues... response:	Even more so when you're the leader!
context: You're right, but he seemed to have nothing else going on...\Still, for magic not to work at a time when it's really needed,\that makes me a failure as a wizard.\That's taking it too far!\Wizard?!\I know how you feel, laddy.\It's tough when things don't work out smoothly with your colleagues...\Even more so when you're the leader! response:	You understand my viewpoint, old man?!
context: Still, for magic not to work at a time when it's really needed,\that makes me a failure as a wizard.\That's taking it too far!\Wizard?!\I know how you feel, laddy.\It's tough when things don't work out smoothly with your colleagues...\Even more so when you're the leader!\You understand my viewpoint, old man?! response:	Hey, you gonna be okay?!
context: that makes me a failure as a wizard.\That's taking it too far!\Wizard?!\I know how you feel, laddy.\It's tough when things don't work out smoothly with your colleagues...\Even more so when you're the leader!\You understand my viewpoint, old man?!\Hey, you gonna be okay?! response:	Boss!
context: That's taking it too far!\Wizard?!\I know how you feel, laddy.\It's tough when things don't work out smoothly with your colleagues...\Even more so when you're the leader!\You understand my viewpoint, old man?!\Hey, you gonna be okay?!\Boss! response:	W-What?! You scared the crap out of me!
context: Wizard?!\I know how you feel, laddy.\It's tough when things don't work out smoothly with your colleagues...\Even more so when you're the leader!\You understand my viewpoint, old man?!\Hey, you gonna be okay?!\Boss!\W-What?! You scared the crap out of me! response:	There are people inside!
context: I know how you feel, laddy.\It's tough when things don't work out smoothly with your colleagues...\Even more so when you're the leader!\You understand my viewpoint, old man?!\Hey, you gonna be okay?!\Boss!\W-What?! You scared the crap out of me!\There are people inside! response:	I know. They're guarding the cargo.
context: It's tough when things don't work out smoothly with your colleagues...\Even more so when you're the leader!\You understand my viewpoint, old man?!\Hey, you gonna be okay?!\Boss!\W-What?! You scared the crap out of me!\There are people inside!\I know. They're guarding the cargo. response:	It turns out they're wizards!
context: Even more so when you're the leader!\You understand my viewpoint, old man?!\Hey, you gonna be okay?!\Boss!\W-What?! You scared the crap out of me!\There are people inside!\I know. They're guarding the cargo.\It turns out they're wizards! response:	They've all got this mark!
context: You understand my viewpoint, old man?!\Hey, you gonna be okay?!\Boss!\W-What?! You scared the crap out of me!\There are people inside!\I know. They're guarding the cargo.\It turns out they're wizards!\They've all got this mark! response:	Then they're in a guild, eh?
context: Hey, you gonna be okay?!\Boss!\W-What?! You scared the crap out of me!\There are people inside!\I know. They're guarding the cargo.\It turns out they're wizards!\They've all got this mark!\Then they're in a guild, eh? response:	That's a bit of a nuisance.
context: Boss!\W-What?! You scared the crap out of me!\There are people inside!\I know. They're guarding the cargo.\It turns out they're wizards!\They've all got this mark!\Then they're in a guild, eh?\That's a bit of a nuisance. response:	I'm all out of stuff to throw up!
context: W-What?! You scared the crap out of me!\There are people inside!\I know. They're guarding the cargo.\It turns out they're wizards!\They've all got this mark!\Then they're in a guild, eh?\That's a bit of a nuisance.\I'm all out of stuff to throw up! response:	Huh? There are more of you?
context: There are people inside!\I know. They're guarding the cargo.\It turns out they're wizards!\They've all got this mark!\Then they're in a guild, eh?\That's a bit of a nuisance.\I'm all out of stuff to throw up!\Huh? There are more of you? response:	These are my buddies!
context: I know. They're guarding the cargo.\It turns out they're wizards!\They've all got this mark!\Then they're in a guild, eh?\That's a bit of a nuisance.\I'm all out of stuff to throw up!\Huh? There are more of you?\These are my buddies! response:	They're nice guys too, so they came to look after you!
context: It turns out they're wizards!\They've all got this mark!\Then they're in a guild, eh?\That's a bit of a nuisance.\I'm all out of stuff to throw up!\Huh? There are more of you?\These are my buddies!\They're nice guys too, so they came to look after you! response:	When someone's in need, it's not in their nature to look the other way.
context: They've all got this mark!\Then they're in a guild, eh?\That's a bit of a nuisance.\I'm all out of stuff to throw up!\Huh? There are more of you?\These are my buddies!\They're nice guys too, so they came to look after you!\When someone's in need, it's not in their nature to look the other way. response:	You're all good guys!
context: Then they're in a guild, eh?\That's a bit of a nuisance.\I'm all out of stuff to throw up!\Huh? There are more of you?\These are my buddies!\They're nice guys too, so they came to look after you!\When someone's in need, it's not in their nature to look the other way.\You're all good guys! response:	Don't throw in the towel, laddy! Us good guys are behind you all the way!
context: That's a bit of a nuisance.\I'm all out of stuff to throw up!\Huh? There are more of you?\These are my buddies!\They're nice guys too, so they came to look after you!\When someone's in need, it's not in their nature to look the other way.\You're all good guys!\Don't throw in the towel, laddy! Us good guys are behind you all the way! response:	Natsu? Come on in.
context: I'm all out of stuff to throw up!\Huh? There are more of you?\These are my buddies!\They're nice guys too, so they came to look after you!\When someone's in need, it's not in their nature to look the other way.\You're all good guys!\Don't throw in the towel, laddy! Us good guys are behind you all the way!\Natsu? Come on in. response:	I wonder if he feels better...
context: Huh? There are more of you?\These are my buddies!\They're nice guys too, so they came to look after you!\When someone's in need, it's not in their nature to look the other way.\You're all good guys!\Don't throw in the towel, laddy! Us good guys are behind you all the way!\Natsu? Come on in.\I wonder if he feels better... response:	He's dense, so maybe it just took time for the magic to take effect.
context: These are my buddies!\They're nice guys too, so they came to look after you!\When someone's in need, it's not in their nature to look the other way.\You're all good guys!\Don't throw in the towel, laddy! Us good guys are behind you all the way!\Natsu? Come on in.\I wonder if he feels better...\He's dense, so maybe it just took time for the magic to take effect. response:	Natsu-san, what's wrong?!
context: They're nice guys too, so they came to look after you!\When someone's in need, it's not in their nature to look the other way.\You're all good guys!\Don't throw in the towel, laddy! Us good guys are behind you all the way!\Natsu? Come on in.\I wonder if he feels better...\He's dense, so maybe it just took time for the magic to take effect.\Natsu-san, what's wrong?! response:	Hello, there!
