context: Auw! response:	eye catch
context: That I had fallen in love\Twenty-four hours a day thinking of you, you and nothing more than you!\It's something I wasn't consciously aware of\Somehow ( somehow) I'm feeling different from the usual\With you ( the two of us) and our dull chatter\Don't tell me ( mutual love?) Nope, it's a one-sided crush\This is bad! Our gazes met!\What, what? Why is my heart pounding like this? response:	Did a short circuit just make a mess out of my mind?
context: Twenty-four hours a day thinking of you, you and nothing more than you!\It's something I wasn't consciously aware of\Somehow ( somehow) I'm feeling different from the usual\With you ( the two of us) and our dull chatter\Don't tell me ( mutual love?) Nope, it's a one-sided crush\This is bad! Our gazes met!\What, what? Why is my heart pounding like this?\Did a short circuit just make a mess out of my mind? response:	This is my first time... feeling like this...
context: It's something I wasn't consciously aware of\Somehow ( somehow) I'm feeling different from the usual\With you ( the two of us) and our dull chatter\Don't tell me ( mutual love?) Nope, it's a one-sided crush\This is bad! Our gazes met!\What, what? Why is my heart pounding like this?\Did a short circuit just make a mess out of my mind?\This is my first time... feeling like this... response:	I wonder if I have a fever
context: Somehow ( somehow) I'm feeling different from the usual\With you ( the two of us) and our dull chatter\Don't tell me ( mutual love?) Nope, it's a one-sided crush\This is bad! Our gazes met!\What, what? Why is my heart pounding like this?\Did a short circuit just make a mess out of my mind?\This is my first time... feeling like this...\I wonder if I have a fever response:	Suddenly and precipitately, love has arrived.
context: With you ( the two of us) and our dull chatter\Don't tell me ( mutual love?) Nope, it's a one-sided crush\This is bad! Our gazes met!\What, what? Why is my heart pounding like this?\Did a short circuit just make a mess out of my mind?\This is my first time... feeling like this...\I wonder if I have a fever\Suddenly and precipitately, love has arrived. response:	Instantly igniting my face into a bright red
context: Don't tell me ( mutual love?) Nope, it's a one-sided crush\This is bad! Our gazes met!\What, what? Why is my heart pounding like this?\Did a short circuit just make a mess out of my mind?\This is my first time... feeling like this...\I wonder if I have a fever\Suddenly and precipitately, love has arrived.\Instantly igniting my face into a bright red response:	T-That's stupid?! My hands are shaking
context: This is bad! Our gazes met!\What, what? Why is my heart pounding like this?\Did a short circuit just make a mess out of my mind?\This is my first time... feeling like this...\I wonder if I have a fever\Suddenly and precipitately, love has arrived.\Instantly igniting my face into a bright red\T-That's stupid?! My hands are shaking response:	Is this really what they call love?
context: What, what? Why is my heart pounding like this?\Did a short circuit just make a mess out of my mind?\This is my first time... feeling like this...\I wonder if I have a fever\Suddenly and precipitately, love has arrived.\Instantly igniting my face into a bright red\T-That's stupid?! My hands are shaking\Is this really what they call love? response:	I-I did it! A conversation filled with stutters
context: Did a short circuit just make a mess out of my mind?\This is my first time... feeling like this...\I wonder if I have a fever\Suddenly and precipitately, love has arrived.\Instantly igniting my face into a bright red\T-That's stupid?! My hands are shaking\Is this really what they call love?\I-I did it! A conversation filled with stutters response:	This awkward silence... *mumble mumble*
context: This is my first time... feeling like this...\I wonder if I have a fever\Suddenly and precipitately, love has arrived.\Instantly igniting my face into a bright red\T-That's stupid?! My hands are shaking\Is this really what they call love?\I-I did it! A conversation filled with stutters\This awkward silence... *mumble mumble* response:	Your... ( Your...) I want to know your feelings.
context: I wonder if I have a fever\Suddenly and precipitately, love has arrived.\Instantly igniting my face into a bright red\T-That's stupid?! My hands are shaking\Is this really what they call love?\I-I did it! A conversation filled with stutters\This awkward silence... *mumble mumble*\Your... ( Your...) I want to know your feelings. response:	O-One-sided love
context: Suddenly and precipitately, love has arrived.\Instantly igniting my face into a bright red\T-That's stupid?! My hands are shaking\Is this really what they call love?\I-I did it! A conversation filled with stutters\This awkward silence... *mumble mumble*\Your... ( Your...) I want to know your feelings.\O-One-sided love response:	First love! The usual way to school
context: Instantly igniting my face into a bright red\T-That's stupid?! My hands are shaking\Is this really what they call love?\I-I did it! A conversation filled with stutters\This awkward silence... *mumble mumble*\Your... ( Your...) I want to know your feelings.\O-One-sided love\First love! The usual way to school response:	The shining light. I do fall in love!
context: T-That's stupid?! My hands are shaking\Is this really what they call love?\I-I did it! A conversation filled with stutters\This awkward silence... *mumble mumble*\Your... ( Your...) I want to know your feelings.\O-One-sided love\First love! The usual way to school\The shining light. I do fall in love! response:	I feel I could fly towards the sky
context: Is this really what they call love?\I-I did it! A conversation filled with stutters\This awkward silence... *mumble mumble*\Your... ( Your...) I want to know your feelings.\O-One-sided love\First love! The usual way to school\The shining light. I do fall in love!\I feel I could fly towards the sky response:	O-One-sided love
context: I-I did it! A conversation filled with stutters\This awkward silence... *mumble mumble*\Your... ( Your...) I want to know your feelings.\O-One-sided love\First love! The usual way to school\The shining light. I do fall in love!\I feel I could fly towards the sky\O-One-sided love response:	10
context: This awkward silence... *mumble mumble*\Your... ( Your...) I want to know your feelings.\O-One-sided love\First love! The usual way to school\The shining light. I do fall in love!\I feel I could fly towards the sky\O-One-sided love\10 response:	H H!
context: Your... ( Your...) I want to know your feelings.\O-One-sided love\First love! The usual way to school\The shining light. I do fall in love!\I feel I could fly towards the sky\O-One-sided love\10\H H! response:	Woke up in the morning, brushed my teeth
context: O-One-sided love\First love! The usual way to school\The shining light. I do fall in love!\I feel I could fly towards the sky\O-One-sided love\10\H H!\Woke up in the morning, brushed my teeth response:	In the blink of an eye, it's 10pm
context: First love! The usual way to school\The shining light. I do fall in love!\I feel I could fly towards the sky\O-One-sided love\10\H H!\Woke up in the morning, brushed my teeth\In the blink of an eye, it's 10pm response:	Today, we laughed a whole lot
context: The shining light. I do fall in love!\I feel I could fly towards the sky\O-One-sided love\10\H H!\Woke up in the morning, brushed my teeth\In the blink of an eye, it's 10pm\Today, we laughed a whole lot response:	We had a great time
context: I feel I could fly towards the sky\O-One-sided love\10\H H!\Woke up in the morning, brushed my teeth\In the blink of an eye, it's 10pm\Today, we laughed a whole lot\We had a great time response:	At times, with my friends, acting like fools, being noisy
context: O-One-sided love\10\H H!\Woke up in the morning, brushed my teeth\In the blink of an eye, it's 10pm\Today, we laughed a whole lot\We had a great time\At times, with my friends, acting like fools, being noisy response:	Fluttering, our eyes met.
context: 10\H H!\Woke up in the morning, brushed my teeth\In the blink of an eye, it's 10pm\Today, we laughed a whole lot\We had a great time\At times, with my friends, acting like fools, being noisy\Fluttering, our eyes met. response:	It's a coincidence, right?
context: H H!\Woke up in the morning, brushed my teeth\In the blink of an eye, it's 10pm\Today, we laughed a whole lot\We had a great time\At times, with my friends, acting like fools, being noisy\Fluttering, our eyes met.\It's a coincidence, right? response:	I wouldn't call this my first love
context: Woke up in the morning, brushed my teeth\In the blink of an eye, it's 10pm\Today, we laughed a whole lot\We had a great time\At times, with my friends, acting like fools, being noisy\Fluttering, our eyes met.\It's a coincidence, right?\I wouldn't call this my first love response:	It's not my character.
context: In the blink of an eye, it's 10pm\Today, we laughed a whole lot\We had a great time\At times, with my friends, acting like fools, being noisy\Fluttering, our eyes met.\It's a coincidence, right?\I wouldn't call this my first love\It's not my character. response:	Say, will we be able to meet again tomorrow?
context: Today, we laughed a whole lot\We had a great time\At times, with my friends, acting like fools, being noisy\Fluttering, our eyes met.\It's a coincidence, right?\I wouldn't call this my first love\It's not my character.\Say, will we be able to meet again tomorrow? response:	As my eyelids close
context: We had a great time\At times, with my friends, acting like fools, being noisy\Fluttering, our eyes met.\It's a coincidence, right?\I wouldn't call this my first love\It's not my character.\Say, will we be able to meet again tomorrow?\As my eyelids close response:	I see you sparkling all over the place
context: At times, with my friends, acting like fools, being noisy\Fluttering, our eyes met.\It's a coincidence, right?\I wouldn't call this my first love\It's not my character.\Say, will we be able to meet again tomorrow?\As my eyelids close\I see you sparkling all over the place response:	Today was fun, too, wasn't it?
context: Fluttering, our eyes met.\It's a coincidence, right?\I wouldn't call this my first love\It's not my character.\Say, will we be able to meet again tomorrow?\As my eyelids close\I see you sparkling all over the place\Today was fun, too, wasn't it? response:	I'm in love
context: It's a coincidence, right?\I wouldn't call this my first love\It's not my character.\Say, will we be able to meet again tomorrow?\As my eyelids close\I see you sparkling all over the place\Today was fun, too, wasn't it?\I'm in love response:	So happy, so happy
context: I wouldn't call this my first love\It's not my character.\Say, will we be able to meet again tomorrow?\As my eyelids close\I see you sparkling all over the place\Today was fun, too, wasn't it?\I'm in love\So happy, so happy response:	It is my pleasure to meet you, my new-found love.
context: It's not my character.\Say, will we be able to meet again tomorrow?\As my eyelids close\I see you sparkling all over the place\Today was fun, too, wasn't it?\I'm in love\So happy, so happy\It is my pleasure to meet you, my new-found love. response:	Surely, we'll meet again tomorrow
context: Say, will we be able to meet again tomorrow?\As my eyelids close\I see you sparkling all over the place\Today was fun, too, wasn't it?\I'm in love\So happy, so happy\It is my pleasure to meet you, my new-found love.\Surely, we'll meet again tomorrow response:	Have a good night
context: As my eyelids close\I see you sparkling all over the place\Today was fun, too, wasn't it?\I'm in love\So happy, so happy\It is my pleasure to meet you, my new-found love.\Surely, we'll meet again tomorrow\Have a good night response:	We'll meet immediately in our dreams
context: I see you sparkling all over the place\Today was fun, too, wasn't it?\I'm in love\So happy, so happy\It is my pleasure to meet you, my new-found love.\Surely, we'll meet again tomorrow\Have a good night\We'll meet immediately in our dreams response:	So have a good night
context: Today was fun, too, wasn't it?\I'm in love\So happy, so happy\It is my pleasure to meet you, my new-found love.\Surely, we'll meet again tomorrow\Have a good night\We'll meet immediately in our dreams\So have a good night response:	TL note: sepak takraw = kick ball
context: I'm in love\So happy, so happy\It is my pleasure to meet you, my new-found love.\Surely, we'll meet again tomorrow\Have a good night\We'll meet immediately in our dreams\So have a good night\TL note: sepak takraw = kick ball response:	Dear Mio, I'm off to to the sepak takraw game with the people from the neighbourhood association.. From, Your Mother
context: So happy, so happy\It is my pleasure to meet you, my new-found love.\Surely, we'll meet again tomorrow\Have a good night\We'll meet immediately in our dreams\So have a good night\TL note: sepak takraw = kick ball\Dear Mio, I'm off to to the sepak takraw game with the people from the neighbourhood association.. From, Your Mother response:	Best of Three
context: It is my pleasure to meet you, my new-found love.\Surely, we'll meet again tomorrow\Have a good night\We'll meet immediately in our dreams\So have a good night\TL note: sepak takraw = kick ball\Dear Mio, I'm off to to the sepak takraw game with the people from the neighbourhood association.. From, Your Mother\Best of Three response:	Male Restroom
context: Surely, we'll meet again tomorrow\Have a good night\We'll meet immediately in our dreams\So have a good night\TL note: sepak takraw = kick ball\Dear Mio, I'm off to to the sepak takraw game with the people from the neighbourhood association.. From, Your Mother\Best of Three\Male Restroom response:	Best of Three
context: Have a good night\We'll meet immediately in our dreams\So have a good night\TL note: sepak takraw = kick ball\Dear Mio, I'm off to to the sepak takraw game with the people from the neighbourhood association.. From, Your Mother\Best of Three\Male Restroom\Best of Three response:	Best of Three
context: We'll meet immediately in our dreams\So have a good night\TL note: sepak takraw = kick ball\Dear Mio, I'm off to to the sepak takraw game with the people from the neighbourhood association.. From, Your Mother\Best of Three\Male Restroom\Best of Three\Best of Three response:	Nichijou 05
context: So have a good night\TL note: sepak takraw = kick ball\Dear Mio, I'm off to to the sepak takraw game with the people from the neighbourhood association.. From, Your Mother\Best of Three\Male Restroom\Best of Three\Best of Three\Nichijou 05 response:	Spell
context: TL note: sepak takraw = kick ball\Dear Mio, I'm off to to the sepak takraw game with the people from the neighbourhood association.. From, Your Mother\Best of Three\Male Restroom\Best of Three\Best of Three\Nichijou 05\Spell response:	Chiyota
context: Dear Mio, I'm off to to the sepak takraw game with the people from the neighbourhood association.. From, Your Mother\Best of Three\Male Restroom\Best of Three\Best of Three\Nichijou 05\Spell\Chiyota response:	Nikera
context: Best of Three\Male Restroom\Best of Three\Best of Three\Nichijou 05\Spell\Chiyota\Nikera response:	Hatoho
context: Male Restroom\Best of Three\Best of Three\Nichijou 05\Spell\Chiyota\Nikera\Hatoho response:	Rasute
context: Best of Three\Best of Three\Nichijou 05\Spell\Chiyota\Nikera\Hatoho\Rasute response:	Nohate
context: Best of Three\Nichijou 05\Spell\Chiyota\Nikera\Hatoho\Rasute\Nohate response:	Kirato
context: Nichijou 05\Spell\Chiyota\Nikera\Hatoho\Rasute\Nohate\Kirato response:	Nariha
context: Spell\Chiyota\Nikera\Hatoho\Rasute\Nohate\Kirato\Nariha response:	Shite
context: Chiyota\Nikera\Hatoho\Rasute\Nohate\Kirato\Nariha\Shite response:	The spell is wrong.
context: Nikera\Hatoho\Rasute\Nohate\Kirato\Nariha\Shite\The spell is wrong. response:	Nichijou 06
context: Hatoho\Rasute\Nohate\Kirato\Nariha\Shite\The spell is wrong.\Nichijou 06 response:	Shinonome Institute
context: Rasute\Nohate\Kirato\Nariha\Shite\The spell is wrong.\Nichijou 06\Shinonome Institute response:	I won't let you do it.
context: Nohate\Kirato\Nariha\Shite\The spell is wrong.\Nichijou 06\Shinonome Institute\I won't let you do it. response:	I won't let you.
context: Kirato\Nariha\Shite\The spell is wrong.\Nichijou 06\Shinonome Institute\I won't let you do it.\I won't let you. response:	Nichijou 07
context: Nariha\Shite\The spell is wrong.\Nichijou 06\Shinonome Institute\I won't let you do it.\I won't let you.\Nichijou 07 response:	Coconut Milk
context: Shite\The spell is wrong.\Nichijou 06\Shinonome Institute\I won't let you do it.\I won't let you.\Nichijou 07\Coconut Milk response:	Coconut Milk
context: The spell is wrong.\Nichijou 06\Shinonome Institute\I won't let you do it.\I won't let you.\Nichijou 07\Coconut Milk\Coconut Milk response:	Coconut Milk
context: Nichijou 06\Shinonome Institute\I won't let you do it.\I won't let you.\Nichijou 07\Coconut Milk\Coconut Milk\Coconut Milk response:	Our Goal: Sweat Buckets And Enjoy Youth Together
context: Shinonome Institute\I won't let you do it.\I won't let you.\Nichijou 07\Coconut Milk\Coconut Milk\Coconut Milk\Our Goal: Sweat Buckets And Enjoy Youth Together response:	Tidying Up
context: I won't let you do it.\I won't let you.\Nichijou 07\Coconut Milk\Coconut Milk\Coconut Milk\Our Goal: Sweat Buckets And Enjoy Youth Together\Tidying Up response:	Student Guidance
context: I won't let you.\Nichijou 07\Coconut Milk\Coconut Milk\Coconut Milk\Our Goal: Sweat Buckets And Enjoy Youth Together\Tidying Up\Student Guidance response:	Sweet Buns
context: Nichijou 07\Coconut Milk\Coconut Milk\Coconut Milk\Our Goal: Sweat Buckets And Enjoy Youth Together\Tidying Up\Student Guidance\Sweet Buns response:	TickMart
context: Coconut Milk\Coconut Milk\Coconut Milk\Our Goal: Sweat Buckets And Enjoy Youth Together\Tidying Up\Student Guidance\Sweet Buns\TickMart response:	Sold Out
context: Coconut Milk\Coconut Milk\Our Goal: Sweat Buckets And Enjoy Youth Together\Tidying Up\Student Guidance\Sweet Buns\TickMart\Sold Out response:	Home-Style Sweet Bun
context: Coconut Milk\Our Goal: Sweat Buckets And Enjoy Youth Together\Tidying Up\Student Guidance\Sweet Buns\TickMart\Sold Out\Home-Style Sweet Bun response:	55 Count
context: Our Goal: Sweat Buckets And Enjoy Youth Together\Tidying Up\Student Guidance\Sweet Buns\TickMart\Sold Out\Home-Style Sweet Bun\55 Count response:	Super
context: Tidying Up\Student Guidance\Sweet Buns\TickMart\Sold Out\Home-Style Sweet Bun\55 Count\Super response:	Full of vigor
context: Student Guidance\Sweet Buns\TickMart\Sold Out\Home-Style Sweet Bun\55 Count\Super\Full of vigor response:	Super
context: Sweet Buns\TickMart\Sold Out\Home-Style Sweet Bun\55 Count\Super\Full of vigor\Super response:	Manager's Choice Adult Flavor
context: TickMart\Sold Out\Home-Style Sweet Bun\55 Count\Super\Full of vigor\Super\Manager's Choice Adult Flavor response:	Super
context: Sold Out\Home-Style Sweet Bun\55 Count\Super\Full of vigor\Super\Manager's Choice Adult Flavor\Super response:	Delicious
context: Home-Style Sweet Bun\55 Count\Super\Full of vigor\Super\Manager's Choice Adult Flavor\Super\Delicious response:	Cheap Sweet Bun
context: 55 Count\Super\Full of vigor\Super\Manager's Choice Adult Flavor\Super\Delicious\Cheap Sweet Bun response:	55 Count
context: Super\Full of vigor\Super\Manager's Choice Adult Flavor\Super\Delicious\Cheap Sweet Bun\55 Count response:	Nichijou 08
context: Full of vigor\Super\Manager's Choice Adult Flavor\Super\Delicious\Cheap Sweet Bun\55 Count\Nichijou 08 response:	Word of
context: Super\Manager's Choice Adult Flavor\Super\Delicious\Cheap Sweet Bun\55 Count\Nichijou 08\Word of response:	the Day
context: Manager's Choice Adult Flavor\Super\Delicious\Cheap Sweet Bun\55 Count\Nichijou 08\Word of\the Day response:	Narration: Ikeda Masako
context: Super\Delicious\Cheap Sweet Bun\55 Count\Nichijou 08\Word of\the Day\Narration: Ikeda Masako response:	All right!
context: Delicious\Cheap Sweet Bun\55 Count\Nichijou 08\Word of\the Day\Narration: Ikeda Masako\All right! response:	Here goes!
context: Cheap Sweet Bun\55 Count\Nichijou 08\Word of\the Day\Narration: Ikeda Masako\All right!\Here goes! response:	Rock, paper, scissors!
context: 55 Count\Nichijou 08\Word of\the Day\Narration: Ikeda Masako\All right!\Here goes!\Rock, paper, scissors! response:	Okay!
context: Nichijou 08\Word of\the Day\Narration: Ikeda Masako\All right!\Here goes!\Rock, paper, scissors!\Okay! response:	I'll be starting, then.
context: Word of\the Day\Narration: Ikeda Masako\All right!\Here goes!\Rock, paper, scissors!\Okay!\I'll be starting, then. response:	P-i-ne-app-le-s!
context: the Day\Narration: Ikeda Masako\All right!\Here goes!\Rock, paper, scissors!\Okay!\I'll be starting, then.\P-i-ne-app-le-s! response:	Rock, paper, scissors!
context: Narration: Ikeda Masako\All right!\Here goes!\Rock, paper, scissors!\Okay!\I'll be starting, then.\P-i-ne-app-le-s!\Rock, paper, scissors! response:	All right!
context: All right!\Here goes!\Rock, paper, scissors!\Okay!\I'll be starting, then.\P-i-ne-app-le-s!\Rock, paper, scissors!\All right! response:	Here I go!
context: Here goes!\Rock, paper, scissors!\Okay!\I'll be starting, then.\P-i-ne-app-le-s!\Rock, paper, scissors!\All right!\Here I go! response:	You can't do that!
context: Rock, paper, scissors!\Okay!\I'll be starting, then.\P-i-ne-app-le-s!\Rock, paper, scissors!\All right!\Here I go!\You can't do that! response:	The rule is to go up one step at a time.
context: Okay!\I'll be starting, then.\P-i-ne-app-le-s!\Rock, paper, scissors!\All right!\Here I go!\You can't do that!\The rule is to go up one step at a time. response:	I know!
context: I'll be starting, then.\P-i-ne-app-le-s!\Rock, paper, scissors!\All right!\Here I go!\You can't do that!\The rule is to go up one step at a time.\I know! response:	Gu... ri... co... bonus!
context: P-i-ne-app-le-s!\Rock, paper, scissors!\All right!\Here I go!\You can't do that!\The rule is to go up one step at a time.\I know!\Gu... ri... co... bonus! response:	H-Hey!
context: Rock, paper, scissors!\All right!\Here I go!\You can't do that!\The rule is to go up one step at a time.\I know!\Gu... ri... co... bonus!\H-Hey! response:	Heh?
context: All right!\Here I go!\You can't do that!\The rule is to go up one step at a time.\I know!\Gu... ri... co... bonus!\H-Hey!\Heh? response:	What is it?
context: Here I go!\You can't do that!\The rule is to go up one step at a time.\I know!\Gu... ri... co... bonus!\H-Hey!\Heh?\What is it? response:	Why are you putting that at the end?
context: You can't do that!\The rule is to go up one step at a time.\I know!\Gu... ri... co... bonus!\H-Hey!\Heh?\What is it?\Why are you putting that at the end? response:	Eh?
context: The rule is to go up one step at a time.\I know!\Gu... ri... co... bonus!\H-Hey!\Heh?\What is it?\Why are you putting that at the end?\Eh? response:	You don't normally put bonus after it?
context: I know!\Gu... ri... co... bonus!\H-Hey!\Heh?\What is it?\Why are you putting that at the end?\Eh?\You don't normally put bonus after it? response:	What do you say, Mai-chan?
context: Gu... ri... co... bonus!\H-Hey!\Heh?\What is it?\Why are you putting that at the end?\Eh?\You don't normally put bonus after it?\What do you say, Mai-chan? response:	Fifty-fifty.
context: H-Hey!\Heh?\What is it?\Why are you putting that at the end?\Eh?\You don't normally put bonus after it?\What do you say, Mai-chan?\Fifty-fifty. response:	I get it.
context: Heh?\What is it?\Why are you putting that at the end?\Eh?\You don't normally put bonus after it?\What do you say, Mai-chan?\Fifty-fifty.\I get it. response:	It's fine like that.
context: What is it?\Why are you putting that at the end?\Eh?\You don't normally put bonus after it?\What do you say, Mai-chan?\Fifty-fifty.\I get it.\It's fine like that. response:	But if you're going to do that,
context: Why are you putting that at the end?\Eh?\You don't normally put bonus after it?\What do you say, Mai-chan?\Fifty-fifty.\I get it.\It's fine like that.\But if you're going to do that, response:	then I'll put my own rules into effect, okay?
context: Eh?\You don't normally put bonus after it?\What do you say, Mai-chan?\Fifty-fifty.\I get it.\It's fine like that.\But if you're going to do that,\then I'll put my own rules into effect, okay? response:	Rock, paper, scissors!
context: You don't normally put bonus after it?\What do you say, Mai-chan?\Fifty-fifty.\I get it.\It's fine like that.\But if you're going to do that,\then I'll put my own rules into effect, okay?\Rock, paper, scissors! response:	You're next, then, Mai-chan.
context: What do you say, Mai-chan?\Fifty-fifty.\I get it.\It's fine like that.\But if you're going to do that,\then I'll put my own rules into effect, okay?\Rock, paper, scissors!\You're next, then, Mai-chan. response:	chi-yo-ta ni-ke-ra ha-to-ho ra-su-te no-ha-te ki-ra-to na-ri-ha shi-te-to
context: Fifty-fifty.\I get it.\It's fine like that.\But if you're going to do that,\then I'll put my own rules into effect, okay?\Rock, paper, scissors!\You're next, then, Mai-chan.\chi-yo-ta ni-ke-ra ha-to-ho ra-su-te no-ha-te ki-ra-to na-ri-ha shi-te-to response:	It's the spell for revival.
context: I get it.\It's fine like that.\But if you're going to do that,\then I'll put my own rules into effect, okay?\Rock, paper, scissors!\You're next, then, Mai-chan.\chi-yo-ta ni-ke-ra ha-to-ho ra-su-te no-ha-te ki-ra-to na-ri-ha shi-te-to\It's the spell for revival. response:	It stopped.
context: It's fine like that.\But if you're going to do that,\then I'll put my own rules into effect, okay?\Rock, paper, scissors!\You're next, then, Mai-chan.\chi-yo-ta ni-ke-ra ha-to-ho ra-su-te no-ha-te ki-ra-to na-ri-ha shi-te-to\It's the spell for revival.\It stopped. response:	Argh, Mum, I told you to wake me up at seven!
context: But if you're going to do that,\then I'll put my own rules into effect, okay?\Rock, paper, scissors!\You're next, then, Mai-chan.\chi-yo-ta ni-ke-ra ha-to-ho ra-su-te no-ha-te ki-ra-to na-ri-ha shi-te-to\It's the spell for revival.\It stopped.\Argh, Mum, I told you to wake me up at seven! response:	Mum!
context: then I'll put my own rules into effect, okay?\Rock, paper, scissors!\You're next, then, Mai-chan.\chi-yo-ta ni-ke-ra ha-to-ho ra-su-te no-ha-te ki-ra-to na-ri-ha shi-te-to\It's the spell for revival.\It stopped.\Argh, Mum, I told you to wake me up at seven!\Mum! response:	Sepak...
context: Rock, paper, scissors!\You're next, then, Mai-chan.\chi-yo-ta ni-ke-ra ha-to-ho ra-su-te no-ha-te ki-ra-to na-ri-ha shi-te-to\It's the spell for revival.\It stopped.\Argh, Mum, I told you to wake me up at seven!\Mum!\Sepak... response:	Argh.
context: You're next, then, Mai-chan.\chi-yo-ta ni-ke-ra ha-to-ho ra-su-te no-ha-te ki-ra-to na-ri-ha shi-te-to\It's the spell for revival.\It stopped.\Argh, Mum, I told you to wake me up at seven!\Mum!\Sepak...\Argh. response:	Even though I'm on day duty today.
context: chi-yo-ta ni-ke-ra ha-to-ho ra-su-te no-ha-te ki-ra-to na-ri-ha shi-te-to\It's the spell for revival.\It stopped.\Argh, Mum, I told you to wake me up at seven!\Mum!\Sepak...\Argh.\Even though I'm on day duty today. response:	Setting the alarm clock aside,
context: It's the spell for revival.\It stopped.\Argh, Mum, I told you to wake me up at seven!\Mum!\Sepak...\Argh.\Even though I'm on day duty today.\Setting the alarm clock aside, response:	why did they have to cut the power today, of all days?
context: It stopped.\Argh, Mum, I told you to wake me up at seven!\Mum!\Sepak...\Argh.\Even though I'm on day duty today.\Setting the alarm clock aside,\why did they have to cut the power today, of all days? response:	Really, I wish they'd warn us in advance if they're going to cut the power!
context: Argh, Mum, I told you to wake me up at seven!\Mum!\Sepak...\Argh.\Even though I'm on day duty today.\Setting the alarm clock aside,\why did they have to cut the power today, of all days?\Really, I wish they'd warn us in advance if they're going to cut the power! response:	This sucks!
context: Mum!\Sepak...\Argh.\Even though I'm on day duty today.\Setting the alarm clock aside,\why did they have to cut the power today, of all days?\Really, I wish they'd warn us in advance if they're going to cut the power!\This sucks! response:	I'll just have to hammer out the fastest lap that I can.
context: Sepak...\Argh.\Even though I'm on day duty today.\Setting the alarm clock aside,\why did they have to cut the power today, of all days?\Really, I wish they'd warn us in advance if they're going to cut the power!\This sucks!\I'll just have to hammer out the fastest lap that I can. response:	That should be enough to...
context: Argh.\Even though I'm on day duty today.\Setting the alarm clock aside,\why did they have to cut the power today, of all days?\Really, I wish they'd warn us in advance if they're going to cut the power!\This sucks!\I'll just have to hammer out the fastest lap that I can.\That should be enough to... response:	I mean, just now...
context: Even though I'm on day duty today.\Setting the alarm clock aside,\why did they have to cut the power today, of all days?\Really, I wish they'd warn us in advance if they're going to cut the power!\This sucks!\I'll just have to hammer out the fastest lap that I can.\That should be enough to...\I mean, just now... response:	There was something freaky there!
context: Setting the alarm clock aside,\why did they have to cut the power today, of all days?\Really, I wish they'd warn us in advance if they're going to cut the power!\This sucks!\I'll just have to hammer out the fastest lap that I can.\That should be enough to...\I mean, just now...\There was something freaky there! response:	Above that...
context: why did they have to cut the power today, of all days?\Really, I wish they'd warn us in advance if they're going to cut the power!\This sucks!\I'll just have to hammer out the fastest lap that I can.\That should be enough to...\I mean, just now...\There was something freaky there!\Above that... response:	It's coming!
context: Really, I wish they'd warn us in advance if they're going to cut the power!\This sucks!\I'll just have to hammer out the fastest lap that I can.\That should be enough to...\I mean, just now...\There was something freaky there!\Above that...\It's coming! response:	What what what what!?
context: This sucks!\I'll just have to hammer out the fastest lap that I can.\That should be enough to...\I mean, just now...\There was something freaky there!\Above that...\It's coming!\What what what what!? response:	This sprinter!
context: I'll just have to hammer out the fastest lap that I can.\That should be enough to...\I mean, just now...\There was something freaky there!\Above that...\It's coming!\What what what what!?\This sprinter! response:	Why... is it... following me!?
