context: Using the power of LIfPrasir is response:	essentially shaving off a part of his life.
context: The Awakening of Calamity\Saito, Miss Valliere, I'm coming in.\I know you were up very late last night, but you should\still get up soon...\Good morning, Siesta.\Miss Valliere, what's wrong?\Nothing.\Something happened, didn't it? response:	I told you, it's nothing.
context: Saito, Miss Valliere, I'm coming in.\I know you were up very late last night, but you should\still get up soon...\Good morning, Siesta.\Miss Valliere, what's wrong?\Nothing.\Something happened, didn't it?\I told you, it's nothing. response:	I think it's time you realized that you're a terrible liar.
context: I know you were up very late last night, but you should\still get up soon...\Good morning, Siesta.\Miss Valliere, what's wrong?\Nothing.\Something happened, didn't it?\I told you, it's nothing.\I think it's time you realized that you're a terrible liar. response:	Well, to be honest, Saito is...
context: still get up soon...\Good morning, Siesta.\Miss Valliere, what's wrong?\Nothing.\Something happened, didn't it?\I told you, it's nothing.\I think it's time you realized that you're a terrible liar.\Well, to be honest, Saito is... response:	Excuse me.
context: Good morning, Siesta.\Miss Valliere, what's wrong?\Nothing.\Something happened, didn't it?\I told you, it's nothing.\I think it's time you realized that you're a terrible liar.\Well, to be honest, Saito is...\Excuse me. response:	Is Miss Valliere awake?
context: Miss Valliere, what's wrong?\Nothing.\Something happened, didn't it?\I told you, it's nothing.\I think it's time you realized that you're a terrible liar.\Well, to be honest, Saito is...\Excuse me.\Is Miss Valliere awake? response:	I am.
context: Nothing.\Something happened, didn't it?\I told you, it's nothing.\I think it's time you realized that you're a terrible liar.\Well, to be honest, Saito is...\Excuse me.\Is Miss Valliere awake?\I am. response:	Queen Henrietta has summoned you.
context: Something happened, didn't it?\I told you, it's nothing.\I think it's time you realized that you're a terrible liar.\Well, to be honest, Saito is...\Excuse me.\Is Miss Valliere awake?\I am.\Queen Henrietta has summoned you. response:	I need Miss Valliere, Miss Westwood,
context: I told you, it's nothing.\I think it's time you realized that you're a terrible liar.\Well, to be honest, Saito is...\Excuse me.\Is Miss Valliere awake?\I am.\Queen Henrietta has summoned you.\I need Miss Valliere, Miss Westwood, response:	and Saito to come with me at once.
context: I think it's time you realized that you're a terrible liar.\Well, to be honest, Saito is...\Excuse me.\Is Miss Valliere awake?\I am.\Queen Henrietta has summoned you.\I need Miss Valliere, Miss Westwood,\and Saito to come with me at once. response:	What's going on?
context: Well, to be honest, Saito is...\Excuse me.\Is Miss Valliere awake?\I am.\Queen Henrietta has summoned you.\I need Miss Valliere, Miss Westwood,\and Saito to come with me at once.\What's going on? response:	We'll be right there!
context: Excuse me.\Is Miss Valliere awake?\I am.\Queen Henrietta has summoned you.\I need Miss Valliere, Miss Westwood,\and Saito to come with me at once.\What's going on?\We'll be right there! response:	Excuse us.
context: Is Miss Valliere awake?\I am.\Queen Henrietta has summoned you.\I need Miss Valliere, Miss Westwood,\and Saito to come with me at once.\What's going on?\We'll be right there!\Excuse us. response:	Thank you for coming, Saito, Louise, and Tiffania.
context: I am.\Queen Henrietta has summoned you.\I need Miss Valliere, Miss Westwood,\and Saito to come with me at once.\What's going on?\We'll be right there!\Excuse us.\Thank you for coming, Saito, Louise, and Tiffania. response:	Is something wrong?
context: Queen Henrietta has summoned you.\I need Miss Valliere, Miss Westwood,\and Saito to come with me at once.\What's going on?\We'll be right there!\Excuse us.\Thank you for coming, Saito, Louise, and Tiffania.\Is something wrong? response:	His Holiness sent a messenger when he returned
context: I need Miss Valliere, Miss Westwood,\and Saito to come with me at once.\What's going on?\We'll be right there!\Excuse us.\Thank you for coming, Saito, Louise, and Tiffania.\Is something wrong?\His Holiness sent a messenger when he returned response:	to Romalia after the coronation ceremony.
context: and Saito to come with me at once.\What's going on?\We'll be right there!\Excuse us.\Thank you for coming, Saito, Louise, and Tiffania.\Is something wrong?\His Holiness sent a messenger when he returned\to Romalia after the coronation ceremony. response:	The message was that he wishes
context: What's going on?\We'll be right there!\Excuse us.\Thank you for coming, Saito, Louise, and Tiffania.\Is something wrong?\His Holiness sent a messenger when he returned\to Romalia after the coronation ceremony.\The message was that he wishes response:	the three of you to go to Romalia as soon as possible.
context: We'll be right there!\Excuse us.\Thank you for coming, Saito, Louise, and Tiffania.\Is something wrong?\His Holiness sent a messenger when he returned\to Romalia after the coronation ceremony.\The message was that he wishes\the three of you to go to Romalia as soon as possible. response:	To Romalia?
context: Excuse us.\Thank you for coming, Saito, Louise, and Tiffania.\Is something wrong?\His Holiness sent a messenger when he returned\to Romalia after the coronation ceremony.\The message was that he wishes\the three of you to go to Romalia as soon as possible.\To Romalia? response:	But why?
context: Thank you for coming, Saito, Louise, and Tiffania.\Is something wrong?\His Holiness sent a messenger when he returned\to Romalia after the coronation ceremony.\The message was that he wishes\the three of you to go to Romalia as soon as possible.\To Romalia?\But why? response:	It seems
context: Is something wrong?\His Holiness sent a messenger when he returned\to Romalia after the coronation ceremony.\The message was that he wishes\the three of you to go to Romalia as soon as possible.\To Romalia?\But why?\It seems response:	that a village at the foot of the Fire Dragon mountains
context: His Holiness sent a messenger when he returned\to Romalia after the coronation ceremony.\The message was that he wishes\the three of you to go to Romalia as soon as possible.\To Romalia?\But why?\It seems\that a village at the foot of the Fire Dragon mountains response:	was destroyed overnight.
context: to Romalia after the coronation ceremony.\The message was that he wishes\the three of you to go to Romalia as soon as possible.\To Romalia?\But why?\It seems\that a village at the foot of the Fire Dragon mountains\was destroyed overnight. response:	What happened?
context: The message was that he wishes\the three of you to go to Romalia as soon as possible.\To Romalia?\But why?\It seems\that a village at the foot of the Fire Dragon mountains\was destroyed overnight.\What happened? response:	I'm not certain, only that something terrible has happened.
context: the three of you to go to Romalia as soon as possible.\To Romalia?\But why?\It seems\that a village at the foot of the Fire Dragon mountains\was destroyed overnight.\What happened?\I'm not certain, only that something terrible has happened. response:	If His Holiness thinks your presence is necessary,
context: To Romalia?\But why?\It seems\that a village at the foot of the Fire Dragon mountains\was destroyed overnight.\What happened?\I'm not certain, only that something terrible has happened.\If His Holiness thinks your presence is necessary, response:	it might mean that...
context: But why?\It seems\that a village at the foot of the Fire Dragon mountains\was destroyed overnight.\What happened?\I'm not certain, only that something terrible has happened.\If His Holiness thinks your presence is necessary,\it might mean that... response:	You don't have to look so worried.
context: It seems\that a village at the foot of the Fire Dragon mountains\was destroyed overnight.\What happened?\I'm not certain, only that something terrible has happened.\If His Holiness thinks your presence is necessary,\it might mean that...\You don't have to look so worried. response:	But, Saito...
context: that a village at the foot of the Fire Dragon mountains\was destroyed overnight.\What happened?\I'm not certain, only that something terrible has happened.\If His Holiness thinks your presence is necessary,\it might mean that...\You don't have to look so worried.\But, Saito... response:	Let's just go and see for ourselves.
context: was destroyed overnight.\What happened?\I'm not certain, only that something terrible has happened.\If His Holiness thinks your presence is necessary,\it might mean that...\You don't have to look so worried.\But, Saito...\Let's just go and see for ourselves. response:	It's not like we can refuse His Holiness, anyway.
context: What happened?\I'm not certain, only that something terrible has happened.\If His Holiness thinks your presence is necessary,\it might mean that...\You don't have to look so worried.\But, Saito...\Let's just go and see for ourselves.\It's not like we can refuse His Holiness, anyway. response:	That's true, but...
context: I'm not certain, only that something terrible has happened.\If His Holiness thinks your presence is necessary,\it might mean that...\You don't have to look so worried.\But, Saito...\Let's just go and see for ourselves.\It's not like we can refuse His Holiness, anyway.\That's true, but... response:	Then I'm counting on you, Saito.
context: If His Holiness thinks your presence is necessary,\it might mean that...\You don't have to look so worried.\But, Saito...\Let's just go and see for ourselves.\It's not like we can refuse His Holiness, anyway.\That's true, but...\Then I'm counting on you, Saito. response:	Julio will come meet you
context: it might mean that...\You don't have to look so worried.\But, Saito...\Let's just go and see for ourselves.\It's not like we can refuse His Holiness, anyway.\That's true, but...\Then I'm counting on you, Saito.\Julio will come meet you response:	once you're near Aquileia's border.
context: You don't have to look so worried.\But, Saito...\Let's just go and see for ourselves.\It's not like we can refuse His Holiness, anyway.\That's true, but...\Then I'm counting on you, Saito.\Julio will come meet you\once you're near Aquileia's border. response:	Yes, Your Highness.
context: But, Saito...\Let's just go and see for ourselves.\It's not like we can refuse His Holiness, anyway.\That's true, but...\Then I'm counting on you, Saito.\Julio will come meet you\once you're near Aquileia's border.\Yes, Your Highness. response:	I asked Queen Charlotte to aid you with a dragon, so...
context: Let's just go and see for ourselves.\It's not like we can refuse His Holiness, anyway.\That's true, but...\Then I'm counting on you, Saito.\Julio will come meet you\once you're near Aquileia's border.\Yes, Your Highness.\I asked Queen Charlotte to aid you with a dragon, so... response:	Sorry I'm late!
context: It's not like we can refuse His Holiness, anyway.\That's true, but...\Then I'm counting on you, Saito.\Julio will come meet you\once you're near Aquileia's border.\Yes, Your Highness.\I asked Queen Charlotte to aid you with a dragon, so...\Sorry I'm late! response:	When my sister heard about this, she was worried, too.
context: That's true, but...\Then I'm counting on you, Saito.\Julio will come meet you\once you're near Aquileia's border.\Yes, Your Highness.\I asked Queen Charlotte to aid you with a dragon, so...\Sorry I'm late!\When my sister heard about this, she was worried, too. response:	That's why I'm going to do you a favor
context: Then I'm counting on you, Saito.\Julio will come meet you\once you're near Aquileia's border.\Yes, Your Highness.\I asked Queen Charlotte to aid you with a dragon, so...\Sorry I'm late!\When my sister heard about this, she was worried, too.\That's why I'm going to do you a favor response:	and carry you to Romalia!
context: Julio will come meet you\once you're near Aquileia's border.\Yes, Your Highness.\I asked Queen Charlotte to aid you with a dragon, so...\Sorry I'm late!\When my sister heard about this, she was worried, too.\That's why I'm going to do you a favor\and carry you to Romalia! response:	Really? Thanks!
context: once you're near Aquileia's border.\Yes, Your Highness.\I asked Queen Charlotte to aid you with a dragon, so...\Sorry I'm late!\When my sister heard about this, she was worried, too.\That's why I'm going to do you a favor\and carry you to Romalia!\Really? Thanks! response:	You should consider yourself lucky that a proud
context: Yes, Your Highness.\I asked Queen Charlotte to aid you with a dragon, so...\Sorry I'm late!\When my sister heard about this, she was worried, too.\That's why I'm going to do you a favor\and carry you to Romalia!\Really? Thanks!\You should consider yourself lucky that a proud response:	rhyme dragon is doing this for you.
context: I asked Queen Charlotte to aid you with a dragon, so...\Sorry I'm late!\When my sister heard about this, she was worried, too.\That's why I'm going to do you a favor\and carry you to Romalia!\Really? Thanks!\You should consider yourself lucky that a proud\rhyme dragon is doing this for you. response:	Yes, we know.
context: Sorry I'm late!\When my sister heard about this, she was worried, too.\That's why I'm going to do you a favor\and carry you to Romalia!\Really? Thanks!\You should consider yourself lucky that a proud\rhyme dragon is doing this for you.\Yes, we know. response:	Please be careful.
context: When my sister heard about this, she was worried, too.\That's why I'm going to do you a favor\and carry you to Romalia!\Really? Thanks!\You should consider yourself lucky that a proud\rhyme dragon is doing this for you.\Yes, we know.\Please be careful. response:	We will. Please keep an eye on things here.
context: That's why I'm going to do you a favor\and carry you to Romalia!\Really? Thanks!\You should consider yourself lucky that a proud\rhyme dragon is doing this for you.\Yes, we know.\Please be careful.\We will. Please keep an eye on things here. response:	Oh, Miss Valliere.
context: and carry you to Romalia!\Really? Thanks!\You should consider yourself lucky that a proud\rhyme dragon is doing this for you.\Yes, we know.\Please be careful.\We will. Please keep an eye on things here.\Oh, Miss Valliere. response:	I don't know what exactly is happening,
context: Really? Thanks!\You should consider yourself lucky that a proud\rhyme dragon is doing this for you.\Yes, we know.\Please be careful.\We will. Please keep an eye on things here.\Oh, Miss Valliere.\I don't know what exactly is happening, response:	but I'm sure everything will be fine.
context: You should consider yourself lucky that a proud\rhyme dragon is doing this for you.\Yes, we know.\Please be careful.\We will. Please keep an eye on things here.\Oh, Miss Valliere.\I don't know what exactly is happening,\but I'm sure everything will be fine. response:	Once you're back in des Ornieres,
context: rhyme dragon is doing this for you.\Yes, we know.\Please be careful.\We will. Please keep an eye on things here.\Oh, Miss Valliere.\I don't know what exactly is happening,\but I'm sure everything will be fine.\Once you're back in des Ornieres, response:	we can eat, take baths and fight over the beds again.
context: Yes, we know.\Please be careful.\We will. Please keep an eye on things here.\Oh, Miss Valliere.\I don't know what exactly is happening,\but I'm sure everything will be fine.\Once you're back in des Ornieres,\we can eat, take baths and fight over the beds again. response:	And then we'll all grow old together!
context: Please be careful.\We will. Please keep an eye on things here.\Oh, Miss Valliere.\I don't know what exactly is happening,\but I'm sure everything will be fine.\Once you're back in des Ornieres,\we can eat, take baths and fight over the beds again.\And then we'll all grow old together! response:	If you believe it, it will happen.
context: We will. Please keep an eye on things here.\Oh, Miss Valliere.\I don't know what exactly is happening,\but I'm sure everything will be fine.\Once you're back in des Ornieres,\we can eat, take baths and fight over the beds again.\And then we'll all grow old together!\If you believe it, it will happen. response:	Siesta...
context: Oh, Miss Valliere.\I don't know what exactly is happening,\but I'm sure everything will be fine.\Once you're back in des Ornieres,\we can eat, take baths and fight over the beds again.\And then we'll all grow old together!\If you believe it, it will happen.\Siesta... response:	So please, come home quickly.
context: I don't know what exactly is happening,\but I'm sure everything will be fine.\Once you're back in des Ornieres,\we can eat, take baths and fight over the beds again.\And then we'll all grow old together!\If you believe it, it will happen.\Siesta...\So please, come home quickly. response:	Saito, Miss Westwood, and you.
context: but I'm sure everything will be fine.\Once you're back in des Ornieres,\we can eat, take baths and fight over the beds again.\And then we'll all grow old together!\If you believe it, it will happen.\Siesta...\So please, come home quickly.\Saito, Miss Westwood, and you. response:	Okay. We will.
context: Once you're back in des Ornieres,\we can eat, take baths and fight over the beds again.\And then we'll all grow old together!\If you believe it, it will happen.\Siesta...\So please, come home quickly.\Saito, Miss Westwood, and you.\Okay. We will. response:	Good luck!
context: we can eat, take baths and fight over the beds again.\And then we'll all grow old together!\If you believe it, it will happen.\Siesta...\So please, come home quickly.\Saito, Miss Westwood, and you.\Okay. We will.\Good luck! response:	Take care!
context: And then we'll all grow old together!\If you believe it, it will happen.\Siesta...\So please, come home quickly.\Saito, Miss Westwood, and you.\Okay. We will.\Good luck!\Take care! response:	I'm sure they'll be fine.
context: If you believe it, it will happen.\Siesta...\So please, come home quickly.\Saito, Miss Westwood, and you.\Okay. We will.\Good luck!\Take care!\I'm sure they'll be fine. response:	I wonder where Julio is.
context: Siesta...\So please, come home quickly.\Saito, Miss Westwood, and you.\Okay. We will.\Good luck!\Take care!\I'm sure they'll be fine.\I wonder where Julio is. response:	Huh?
context: So please, come home quickly.\Saito, Miss Westwood, and you.\Okay. We will.\Good luck!\Take care!\I'm sure they'll be fine.\I wonder where Julio is.\Huh? response:	Is that the sunset?
context: Saito, Miss Westwood, and you.\Okay. We will.\Good luck!\Take care!\I'm sure they'll be fine.\I wonder where Julio is.\Huh?\Is that the sunset? response:	No... Hurry, please!
context: Okay. We will.\Good luck!\Take care!\I'm sure they'll be fine.\I wonder where Julio is.\Huh?\Is that the sunset?\No... Hurry, please! response:	What's going on?
context: Good luck!\Take care!\I'm sure they'll be fine.\I wonder where Julio is.\Huh?\Is that the sunset?\No... Hurry, please!\What's going on? response:	The city, it's... But that's impossible!
context: Take care!\I'm sure they'll be fine.\I wonder where Julio is.\Huh?\Is that the sunset?\No... Hurry, please!\What's going on?\The city, it's... But that's impossible! response:	It's Aquileia!
context: I'm sure they'll be fine.\I wonder where Julio is.\Huh?\Is that the sunset?\No... Hurry, please!\What's going on?\The city, it's... But that's impossible!\It's Aquileia! response:	There's someone down there!
context: I wonder where Julio is.\Huh?\Is that the sunset?\No... Hurry, please!\What's going on?\The city, it's... But that's impossible!\It's Aquileia!\There's someone down there! response:	We have to help them!
context: Huh?\Is that the sunset?\No... Hurry, please!\What's going on?\The city, it's... But that's impossible!\It's Aquileia!\There's someone down there!\We have to help them! response:	Hey, pal, they're coming from the right!
context: Is that the sunset?\No... Hurry, please!\What's going on?\The city, it's... But that's impossible!\It's Aquileia!\There's someone down there!\We have to help them!\Hey, pal, they're coming from the right! response:	Damn you! Go away!
context: No... Hurry, please!\What's going on?\The city, it's... But that's impossible!\It's Aquileia!\There's someone down there!\We have to help them!\Hey, pal, they're coming from the right!\Damn you! Go away! response:	Damn it!
context: What's going on?\The city, it's... But that's impossible!\It's Aquileia!\There's someone down there!\We have to help them!\Hey, pal, they're coming from the right!\Damn you! Go away!\Damn it! response:	Looks like they're not in their right minds.
context: The city, it's... But that's impossible!\It's Aquileia!\There's someone down there!\We have to help them!\Hey, pal, they're coming from the right!\Damn you! Go away!\Damn it!\Looks like they're not in their right minds. response:	What?
context: It's Aquileia!\There's someone down there!\We have to help them!\Hey, pal, they're coming from the right!\Damn you! Go away!\Damn it!\Looks like they're not in their right minds.\What? response:	What's that?
context: There's someone down there!\We have to help them!\Hey, pal, they're coming from the right!\Damn you! Go away!\Damn it!\Looks like they're not in their right minds.\What?\What's that? response:	Saito, fly up!
context: We have to help them!\Hey, pal, they're coming from the right!\Damn you! Go away!\Damn it!\Looks like they're not in their right minds.\What?\What's that?\Saito, fly up! response:	Sylphid!
context: Hey, pal, they're coming from the right!\Damn you! Go away!\Damn it!\Looks like they're not in their right minds.\What?\What's that?\Saito, fly up!\Sylphid! response:	What is going on here?
context: Damn you! Go away!\Damn it!\Looks like they're not in their right minds.\What?\What's that?\Saito, fly up!\Sylphid!\What is going on here? response:	Saito, stay calm.
context: Damn it!\Looks like they're not in their right minds.\What?\What's that?\Saito, fly up!\Sylphid!\What is going on here?\Saito, stay calm. response:	I'm sorry I'm late.
context: Looks like they're not in their right minds.\What?\What's that?\Saito, fly up!\Sylphid!\What is going on here?\Saito, stay calm.\I'm sorry I'm late. response:	Julio!
context: What?\What's that?\Saito, fly up!\Sylphid!\What is going on here?\Saito, stay calm.\I'm sorry I'm late.\Julio! response:	What's happening?
context: What's that?\Saito, fly up!\Sylphid!\What is going on here?\Saito, stay calm.\I'm sorry I'm late.\Julio!\What's happening? response:	I'll explain later.
context: Saito, fly up!\Sylphid!\What is going on here?\Saito, stay calm.\I'm sorry I'm late.\Julio!\What's happening?\I'll explain later. response:	Right now, we've got to get away from here.
context: Sylphid!\What is going on here?\Saito, stay calm.\I'm sorry I'm late.\Julio!\What's happening?\I'll explain later.\Right now, we've got to get away from here. response:	Unfortunately, it's too late...
context: What is going on here?\Saito, stay calm.\I'm sorry I'm late.\Julio!\What's happening?\I'll explain later.\Right now, we've got to get away from here.\Unfortunately, it's too late... response:	Julio, what's with those dragons?
context: Saito, stay calm.\I'm sorry I'm late.\Julio!\What's happening?\I'll explain later.\Right now, we've got to get away from here.\Unfortunately, it's too late...\Julio, what's with those dragons? response:	All the dragons in this region went insane.
context: I'm sorry I'm late.\Julio!\What's happening?\I'll explain later.\Right now, we've got to get away from here.\Unfortunately, it's too late...\Julio, what's with those dragons?\All the dragons in this region went insane. response:	I've managed to keep this one
context: Julio!\What's happening?\I'll explain later.\Right now, we've got to get away from here.\Unfortunately, it's too late...\Julio, what's with those dragons?\All the dragons in this region went insane.\I've managed to keep this one response:	under control using my Windalfr powers.
context: What's happening?\I'll explain later.\Right now, we've got to get away from here.\Unfortunately, it's too late...\Julio, what's with those dragons?\All the dragons in this region went insane.\I've managed to keep this one\under control using my Windalfr powers. response:	You don't have to worry about Sylphid.
context: I'll explain later.\Right now, we've got to get away from here.\Unfortunately, it's too late...\Julio, what's with those dragons?\All the dragons in this region went insane.\I've managed to keep this one\under control using my Windalfr powers.\You don't have to worry about Sylphid. response:	Rhyme dragons are not like ordinary dragons.
context: Right now, we've got to get away from here.\Unfortunately, it's too late...\Julio, what's with those dragons?\All the dragons in this region went insane.\I've managed to keep this one\under control using my Windalfr powers.\You don't have to worry about Sylphid.\Rhyme dragons are not like ordinary dragons. response:	But why on earth did this happen?
context: Unfortunately, it's too late...\Julio, what's with those dragons?\All the dragons in this region went insane.\I've managed to keep this one\under control using my Windalfr powers.\You don't have to worry about Sylphid.\Rhyme dragons are not like ordinary dragons.\But why on earth did this happen? response:	The noxious gases coming out of his body are causing this.
context: Julio, what's with those dragons?\All the dragons in this region went insane.\I've managed to keep this one\under control using my Windalfr powers.\You don't have to worry about Sylphid.\Rhyme dragons are not like ordinary dragons.\But why on earth did this happen?\The noxious gases coming out of his body are causing this. response:	His?
context: All the dragons in this region went insane.\I've managed to keep this one\under control using my Windalfr powers.\You don't have to worry about Sylphid.\Rhyme dragons are not like ordinary dragons.\But why on earth did this happen?\The noxious gases coming out of his body are causing this.\His? response:	What is that?
context: I've managed to keep this one\under control using my Windalfr powers.\You don't have to worry about Sylphid.\Rhyme dragons are not like ordinary dragons.\But why on earth did this happen?\The noxious gases coming out of his body are causing this.\His?\What is that? response:	It's the legendary dragon of old...
context: under control using my Windalfr powers.\You don't have to worry about Sylphid.\Rhyme dragons are not like ordinary dragons.\But why on earth did this happen?\The noxious gases coming out of his body are causing this.\His?\What is that?\It's the legendary dragon of old... response:	The Ancient Dragon.
context: You don't have to worry about Sylphid.\Rhyme dragons are not like ordinary dragons.\But why on earth did this happen?\The noxious gases coming out of his body are causing this.\His?\What is that?\It's the legendary dragon of old...\The Ancient Dragon. response:	As you all know,
context: Rhyme dragons are not like ordinary dragons.\But why on earth did this happen?\The noxious gases coming out of his body are causing this.\His?\What is that?\It's the legendary dragon of old...\The Ancient Dragon.\As you all know, response:	the Ancient Dragon has suddenly appeared and
context: But why on earth did this happen?\The noxious gases coming out of his body are causing this.\His?\What is that?\It's the legendary dragon of old...\The Ancient Dragon.\As you all know,\the Ancient Dragon has suddenly appeared and response:	it has leveled Aquileia.
context: The noxious gases coming out of his body are causing this.\His?\What is that?\It's the legendary dragon of old...\The Ancient Dragon.\As you all know,\the Ancient Dragon has suddenly appeared and\it has leveled Aquileia. response:	And now that monster is headed
context: His?\What is that?\It's the legendary dragon of old...\The Ancient Dragon.\As you all know,\the Ancient Dragon has suddenly appeared and\it has leveled Aquileia.\And now that monster is headed response:	towards the sacred city of Romalia.
context: What is that?\It's the legendary dragon of old...\The Ancient Dragon.\As you all know,\the Ancient Dragon has suddenly appeared and\it has leveled Aquileia.\And now that monster is headed\towards the sacred city of Romalia. response:	Do not be afraid.
context: It's the legendary dragon of old...\The Ancient Dragon.\As you all know,\the Ancient Dragon has suddenly appeared and\it has leveled Aquileia.\And now that monster is headed\towards the sacred city of Romalia.\Do not be afraid. response:	If we use all our strength, we can certainly defeat it.
context: The Ancient Dragon.\As you all know,\the Ancient Dragon has suddenly appeared and\it has leveled Aquileia.\And now that monster is headed\towards the sacred city of Romalia.\Do not be afraid.\If we use all our strength, we can certainly defeat it. response:	Before the Ancient Dragon reaches our city,
context: As you all know,\the Ancient Dragon has suddenly appeared and\it has leveled Aquileia.\And now that monster is headed\towards the sacred city of Romalia.\Do not be afraid.\If we use all our strength, we can certainly defeat it.\Before the Ancient Dragon reaches our city, response:	we will strike at the Valley of Oltia.
context: the Ancient Dragon has suddenly appeared and\it has leveled Aquileia.\And now that monster is headed\towards the sacred city of Romalia.\Do not be afraid.\If we use all our strength, we can certainly defeat it.\Before the Ancient Dragon reaches our city,\we will strike at the Valley of Oltia. response:	You holy knights blessed by the strength of our founder Brimir,
context: it has leveled Aquileia.\And now that monster is headed\towards the sacred city of Romalia.\Do not be afraid.\If we use all our strength, we can certainly defeat it.\Before the Ancient Dragon reaches our city,\we will strike at the Valley of Oltia.\You holy knights blessed by the strength of our founder Brimir, response:	now is the time to show us your strength.
context: And now that monster is headed\towards the sacred city of Romalia.\Do not be afraid.\If we use all our strength, we can certainly defeat it.\Before the Ancient Dragon reaches our city,\we will strike at the Valley of Oltia.\You holy knights blessed by the strength of our founder Brimir,\now is the time to show us your strength. response:	Do not let this holy city be defiled.
context: towards the sacred city of Romalia.\Do not be afraid.\If we use all our strength, we can certainly defeat it.\Before the Ancient Dragon reaches our city,\we will strike at the Valley of Oltia.\You holy knights blessed by the strength of our founder Brimir,\now is the time to show us your strength.\Do not let this holy city be defiled. response:	Protect the innocent people!
context: Do not be afraid.\If we use all our strength, we can certainly defeat it.\Before the Ancient Dragon reaches our city,\we will strike at the Valley of Oltia.\You holy knights blessed by the strength of our founder Brimir,\now is the time to show us your strength.\Do not let this holy city be defiled.\Protect the innocent people! response:	Long live His Holiness!
context: If we use all our strength, we can certainly defeat it.\Before the Ancient Dragon reaches our city,\we will strike at the Valley of Oltia.\You holy knights blessed by the strength of our founder Brimir,\now is the time to show us your strength.\Do not let this holy city be defiled.\Protect the innocent people!\Long live His Holiness! response:	Our founder Brimir will protect us!
context: Before the Ancient Dragon reaches our city,\we will strike at the Valley of Oltia.\You holy knights blessed by the strength of our founder Brimir,\now is the time to show us your strength.\Do not let this holy city be defiled.\Protect the innocent people!\Long live His Holiness!\Our founder Brimir will protect us! response:	Let's move out!
context: we will strike at the Valley of Oltia.\You holy knights blessed by the strength of our founder Brimir,\now is the time to show us your strength.\Do not let this holy city be defiled.\Protect the innocent people!\Long live His Holiness!\Our founder Brimir will protect us!\Let's move out! response:	Your Holiness,
context: You holy knights blessed by the strength of our founder Brimir,\now is the time to show us your strength.\Do not let this holy city be defiled.\Protect the innocent people!\Long live His Holiness!\Our founder Brimir will protect us!\Let's move out!\Your Holiness, response:	I have brought them here.
