context: I've been thinking, and well, response:	I thought maybe I could do the play after all...
context: Maho-san!\Maho, you thought that screenplay was good too, didn't you?\The characters were originally inspired...\No matter what we always say about her, Aya-chan really observes us well.\Ever since I read it,\the Professor's been inside my head, and talks.\This must mean that the role is starting to come alive inside you.\It's wonderful. response:	I can do a task that is given to me,
context: Maho, you thought that screenplay was good too, didn't you?\The characters were originally inspired...\No matter what we always say about her, Aya-chan really observes us well.\Ever since I read it,\the Professor's been inside my head, and talks.\This must mean that the role is starting to come alive inside you.\It's wonderful.\I can do a task that is given to me, response:	but I've never created something myself,
context: The characters were originally inspired...\No matter what we always say about her, Aya-chan really observes us well.\Ever since I read it,\the Professor's been inside my head, and talks.\This must mean that the role is starting to come alive inside you.\It's wonderful.\I can do a task that is given to me,\but I've never created something myself, response:	So come on, let's do it.
context: No matter what we always say about her, Aya-chan really observes us well.\Ever since I read it,\the Professor's been inside my head, and talks.\This must mean that the role is starting to come alive inside you.\It's wonderful.\I can do a task that is given to me,\but I've never created something myself,\So come on, let's do it. response:	If you would be there, I'd feel much braver.
context: Ever since I read it,\the Professor's been inside my head, and talks.\This must mean that the role is starting to come alive inside you.\It's wonderful.\I can do a task that is given to me,\but I've never created something myself,\So come on, let's do it.\If you would be there, I'd feel much braver. response:	I'm not doing it.
context: the Professor's been inside my head, and talks.\This must mean that the role is starting to come alive inside you.\It's wonderful.\I can do a task that is given to me,\but I've never created something myself,\So come on, let's do it.\If you would be there, I'd feel much braver.\I'm not doing it. response:	What's your problem?
context: This must mean that the role is starting to come alive inside you.\It's wonderful.\I can do a task that is given to me,\but I've never created something myself,\So come on, let's do it.\If you would be there, I'd feel much braver.\I'm not doing it.\What's your problem? response:	That's my stomach...
context: It's wonderful.\I can do a task that is given to me,\but I've never created something myself,\So come on, let's do it.\If you would be there, I'd feel much braver.\I'm not doing it.\What's your problem?\That's my stomach... response:	You're the one who got the whole class to ignore me!
context: I can do a task that is given to me,\but I've never created something myself,\So come on, let's do it.\If you would be there, I'd feel much braver.\I'm not doing it.\What's your problem?\That's my stomach...\You're the one who got the whole class to ignore me! response:	I act bright and cheerful,
context: but I've never created something myself,\So come on, let's do it.\If you would be there, I'd feel much braver.\I'm not doing it.\What's your problem?\That's my stomach...\You're the one who got the whole class to ignore me!\I act bright and cheerful, response:	but I've been afraid of people since then. Just a little distrust of humanity...
context: So come on, let's do it.\If you would be there, I'd feel much braver.\I'm not doing it.\What's your problem?\That's my stomach...\You're the one who got the whole class to ignore me!\I act bright and cheerful,\but I've been afraid of people since then. Just a little distrust of humanity... response:	No fair!
context: If you would be there, I'd feel much braver.\I'm not doing it.\What's your problem?\That's my stomach...\You're the one who got the whole class to ignore me!\I act bright and cheerful,\but I've been afraid of people since then. Just a little distrust of humanity...\No fair! response:	Once your heart is wounded it never goes away.
context: I'm not doing it.\What's your problem?\That's my stomach...\You're the one who got the whole class to ignore me!\I act bright and cheerful,\but I've been afraid of people since then. Just a little distrust of humanity...\No fair!\Once your heart is wounded it never goes away. response:	You're lying! Lying! Goddammit!
context: What's your problem?\That's my stomach...\You're the one who got the whole class to ignore me!\I act bright and cheerful,\but I've been afraid of people since then. Just a little distrust of humanity...\No fair!\Once your heart is wounded it never goes away.\You're lying! Lying! Goddammit! response:	Maho-san said she'd do it too. (Text:She realized that resistance was futile)
context: That's my stomach...\You're the one who got the whole class to ignore me!\I act bright and cheerful,\but I've been afraid of people since then. Just a little distrust of humanity...\No fair!\Once your heart is wounded it never goes away.\You're lying! Lying! Goddammit!\Maho-san said she'd do it too. (Text:She realized that resistance was futile) response:	A play put on by interested students?
context: You're the one who got the whole class to ignore me!\I act bright and cheerful,\but I've been afraid of people since then. Just a little distrust of humanity...\No fair!\Once your heart is wounded it never goes away.\You're lying! Lying! Goddammit!\Maho-san said she'd do it too. (Text:She realized that resistance was futile)\A play put on by interested students? response:	Yes. Do you know what we'd need to do?
context: I act bright and cheerful,\but I've been afraid of people since then. Just a little distrust of humanity...\No fair!\Once your heart is wounded it never goes away.\You're lying! Lying! Goddammit!\Maho-san said she'd do it too. (Text:She realized that resistance was futile)\A play put on by interested students?\Yes. Do you know what we'd need to do? response:	Do you know?
context: but I've been afraid of people since then. Just a little distrust of humanity...\No fair!\Once your heart is wounded it never goes away.\You're lying! Lying! Goddammit!\Maho-san said she'd do it too. (Text:She realized that resistance was futile)\A play put on by interested students?\Yes. Do you know what we'd need to do?\Do you know? response:	No...
context: No fair!\Once your heart is wounded it never goes away.\You're lying! Lying! Goddammit!\Maho-san said she'd do it too. (Text:She realized that resistance was futile)\A play put on by interested students?\Yes. Do you know what we'd need to do?\Do you know?\No... response:	I hear our school's theater club ceased to exist a long time ago.
context: Once your heart is wounded it never goes away.\You're lying! Lying! Goddammit!\Maho-san said she'd do it too. (Text:She realized that resistance was futile)\A play put on by interested students?\Yes. Do you know what we'd need to do?\Do you know?\No...\I hear our school's theater club ceased to exist a long time ago. response:	But this might be difficult.
context: You're lying! Lying! Goddammit!\Maho-san said she'd do it too. (Text:She realized that resistance was futile)\A play put on by interested students?\Yes. Do you know what we'd need to do?\Do you know?\No...\I hear our school's theater club ceased to exist a long time ago.\But this might be difficult. response:	A play would use a stage for a couple hours, right?
context: Maho-san said she'd do it too. (Text:She realized that resistance was futile)\A play put on by interested students?\Yes. Do you know what we'd need to do?\Do you know?\No...\I hear our school's theater club ceased to exist a long time ago.\But this might be difficult.\A play would use a stage for a couple hours, right? response:	Something like a food stand would be a different story,
context: A play put on by interested students?\Yes. Do you know what we'd need to do?\Do you know?\No...\I hear our school's theater club ceased to exist a long time ago.\But this might be difficult.\A play would use a stage for a couple hours, right?\Something like a food stand would be a different story, response:	but the brass band and the music ensembles wouldn't like that at all.
context: Yes. Do you know what we'd need to do?\Do you know?\No...\I hear our school's theater club ceased to exist a long time ago.\But this might be difficult.\A play would use a stage for a couple hours, right?\Something like a food stand would be a different story,\but the brass band and the music ensembles wouldn't like that at all. response:	You can't just say you want to do it, there are things that are physically impossible to do in a play.
context: Do you know?\No...\I hear our school's theater club ceased to exist a long time ago.\But this might be difficult.\A play would use a stage for a couple hours, right?\Something like a food stand would be a different story,\but the brass band and the music ensembles wouldn't like that at all.\You can't just say you want to do it, there are things that are physically impossible to do in a play. response:	Even for you, Miyazawa-san.
context: No...\I hear our school's theater club ceased to exist a long time ago.\But this might be difficult.\A play would use a stage for a couple hours, right?\Something like a food stand would be a different story,\but the brass band and the music ensembles wouldn't like that at all.\You can't just say you want to do it, there are things that are physically impossible to do in a play.\Even for you, Miyazawa-san. response:	And you're all beginners right? Are you sure you can pull it off?
context: I hear our school's theater club ceased to exist a long time ago.\But this might be difficult.\A play would use a stage for a couple hours, right?\Something like a food stand would be a different story,\but the brass band and the music ensembles wouldn't like that at all.\You can't just say you want to do it, there are things that are physically impossible to do in a play.\Even for you, Miyazawa-san.\And you're all beginners right? Are you sure you can pull it off? response:	I wonder if this was too sudden after all.
context: But this might be difficult.\A play would use a stage for a couple hours, right?\Something like a food stand would be a different story,\but the brass band and the music ensembles wouldn't like that at all.\You can't just say you want to do it, there are things that are physically impossible to do in a play.\Even for you, Miyazawa-san.\And you're all beginners right? Are you sure you can pull it off?\I wonder if this was too sudden after all. response:	No, just leave this to me! Negotiating is my area of expertise.
context: A play would use a stage for a couple hours, right?\Something like a food stand would be a different story,\but the brass band and the music ensembles wouldn't like that at all.\You can't just say you want to do it, there are things that are physically impossible to do in a play.\Even for you, Miyazawa-san.\And you're all beginners right? Are you sure you can pull it off?\I wonder if this was too sudden after all.\No, just leave this to me! Negotiating is my area of expertise. response:	I'll work something out.
context: Something like a food stand would be a different story,\but the brass band and the music ensembles wouldn't like that at all.\You can't just say you want to do it, there are things that are physically impossible to do in a play.\Even for you, Miyazawa-san.\And you're all beginners right? Are you sure you can pull it off?\I wonder if this was too sudden after all.\No, just leave this to me! Negotiating is my area of expertise.\I'll work something out. response:	Ooh?You're so reliable!
context: but the brass band and the music ensembles wouldn't like that at all.\You can't just say you want to do it, there are things that are physically impossible to do in a play.\Even for you, Miyazawa-san.\And you're all beginners right? Are you sure you can pull it off?\I wonder if this was too sudden after all.\No, just leave this to me! Negotiating is my area of expertise.\I'll work something out.\Ooh?You're so reliable! response:	They told you it wouldn't work,
context: You can't just say you want to do it, there are things that are physically impossible to do in a play.\Even for you, Miyazawa-san.\And you're all beginners right? Are you sure you can pull it off?\I wonder if this was too sudden after all.\No, just leave this to me! Negotiating is my area of expertise.\I'll work something out.\Ooh?You're so reliable!\They told you it wouldn't work, response:	I'm not going to do anything to help.
context: Even for you, Miyazawa-san.\And you're all beginners right? Are you sure you can pull it off?\I wonder if this was too sudden after all.\No, just leave this to me! Negotiating is my area of expertise.\I'll work something out.\Ooh?You're so reliable!\They told you it wouldn't work,\I'm not going to do anything to help. response:	All I'm going to do is say my lines, got it?
context: And you're all beginners right? Are you sure you can pull it off?\I wonder if this was too sudden after all.\No, just leave this to me! Negotiating is my area of expertise.\I'll work something out.\Ooh?You're so reliable!\They told you it wouldn't work,\I'm not going to do anything to help.\All I'm going to do is say my lines, got it? response:	Ooh, scary.
context: I wonder if this was too sudden after all.\No, just leave this to me! Negotiating is my area of expertise.\I'll work something out.\Ooh?You're so reliable!\They told you it wouldn't work,\I'm not going to do anything to help.\All I'm going to do is say my lines, got it?\Ooh, scary. response:	Maho-san's reverting to her old punk ways.
context: No, just leave this to me! Negotiating is my area of expertise.\I'll work something out.\Ooh?You're so reliable!\They told you it wouldn't work,\I'm not going to do anything to help.\All I'm going to do is say my lines, got it?\Ooh, scary.\Maho-san's reverting to her old punk ways. response:	Wow, so you're really going to do it.
context: I'll work something out.\Ooh?You're so reliable!\They told you it wouldn't work,\I'm not going to do anything to help.\All I'm going to do is say my lines, got it?\Ooh, scary.\Maho-san's reverting to her old punk ways.\Wow, so you're really going to do it. response:	Yeah, but it's hard to be aggressive to the Student Council President by myself.
context: Ooh?You're so reliable!\They told you it wouldn't work,\I'm not going to do anything to help.\All I'm going to do is say my lines, got it?\Ooh, scary.\Maho-san's reverting to her old punk ways.\Wow, so you're really going to do it.\Yeah, but it's hard to be aggressive to the Student Council President by myself. response:	I hate to ask when you're busy,
context: They told you it wouldn't work,\I'm not going to do anything to help.\All I'm going to do is say my lines, got it?\Ooh, scary.\Maho-san's reverting to her old punk ways.\Wow, so you're really going to do it.\Yeah, but it's hard to be aggressive to the Student Council President by myself.\I hate to ask when you're busy, response:	I'd do anything for you.
context: I'm not going to do anything to help.\All I'm going to do is say my lines, got it?\Ooh, scary.\Maho-san's reverting to her old punk ways.\Wow, so you're really going to do it.\Yeah, but it's hard to be aggressive to the Student Council President by myself.\I hate to ask when you're busy,\I'd do anything for you. response:	Do you think the PTA would like the story?
context: All I'm going to do is say my lines, got it?\Ooh, scary.\Maho-san's reverting to her old punk ways.\Wow, so you're really going to do it.\Yeah, but it's hard to be aggressive to the Student Council President by myself.\I hate to ask when you're busy,\I'd do anything for you.\Do you think the PTA would like the story? response:	Yeah, theme-wise?
context: Ooh, scary.\Maho-san's reverting to her old punk ways.\Wow, so you're really going to do it.\Yeah, but it's hard to be aggressive to the Student Council President by myself.\I hate to ask when you're busy,\I'd do anything for you.\Do you think the PTA would like the story?\Yeah, theme-wise? response:	In that case, you should get the teachers on your side.
context: Maho-san's reverting to her old punk ways.\Wow, so you're really going to do it.\Yeah, but it's hard to be aggressive to the Student Council President by myself.\I hate to ask when you're busy,\I'd do anything for you.\Do you think the PTA would like the story?\Yeah, theme-wise?\In that case, you should get the teachers on your side. response:	Getting teachers with power to recommend that it's appropriate to be performed at...
context: Wow, so you're really going to do it.\Yeah, but it's hard to be aggressive to the Student Council President by myself.\I hate to ask when you're busy,\I'd do anything for you.\Do you think the PTA would like the story?\Yeah, theme-wise?\In that case, you should get the teachers on your side.\Getting teachers with power to recommend that it's appropriate to be performed at... response:	Oh yeah! I knew I could count on you.
context: Yeah, but it's hard to be aggressive to the Student Council President by myself.\I hate to ask when you're busy,\I'd do anything for you.\Do you think the PTA would like the story?\Yeah, theme-wise?\In that case, you should get the teachers on your side.\Getting teachers with power to recommend that it's appropriate to be performed at...\Oh yeah! I knew I could count on you. response:	Arima, you're so good to have around.
context: I hate to ask when you're busy,\I'd do anything for you.\Do you think the PTA would like the story?\Yeah, theme-wise?\In that case, you should get the teachers on your side.\Getting teachers with power to recommend that it's appropriate to be performed at...\Oh yeah! I knew I could count on you.\Arima, you're so good to have around. response:	What?
context: I'd do anything for you.\Do you think the PTA would like the story?\Yeah, theme-wise?\In that case, you should get the teachers on your side.\Getting teachers with power to recommend that it's appropriate to be performed at...\Oh yeah! I knew I could count on you.\Arima, you're so good to have around.\What? response:	Just call on me whenever you're busy. I'll help out.
context: Do you think the PTA would like the story?\Yeah, theme-wise?\In that case, you should get the teachers on your side.\Getting teachers with power to recommend that it's appropriate to be performed at...\Oh yeah! I knew I could count on you.\Arima, you're so good to have around.\What?\Just call on me whenever you're busy. I'll help out. response:	Oh yeah Miyazawa, I got my hands on a bit of inside information about the Asaba Hideaki Dinner Show.
context: Yeah, theme-wise?\In that case, you should get the teachers on your side.\Getting teachers with power to recommend that it's appropriate to be performed at...\Oh yeah! I knew I could count on you.\Arima, you're so good to have around.\What?\Just call on me whenever you're busy. I'll help out.\Oh yeah Miyazawa, I got my hands on a bit of inside information about the Asaba Hideaki Dinner Show. response:	Say what?! 1-F has totally hardened their...
context: In that case, you should get the teachers on your side.\Getting teachers with power to recommend that it's appropriate to be performed at...\Oh yeah! I knew I could count on you.\Arima, you're so good to have around.\What?\Just call on me whenever you're busy. I'll help out.\Oh yeah Miyazawa, I got my hands on a bit of inside information about the Asaba Hideaki Dinner Show.\Say what?! 1-F has totally hardened their... response:	What kind of seductive stage are they planning?
context: Getting teachers with power to recommend that it's appropriate to be performed at...\Oh yeah! I knew I could count on you.\Arima, you're so good to have around.\What?\Just call on me whenever you're busy. I'll help out.\Oh yeah Miyazawa, I got my hands on a bit of inside information about the Asaba Hideaki Dinner Show.\Say what?! 1-F has totally hardened their...\What kind of seductive stage are they planning? response:	Come on baby! Ole!
context: Oh yeah! I knew I could count on you.\Arima, you're so good to have around.\What?\Just call on me whenever you're busy. I'll help out.\Oh yeah Miyazawa, I got my hands on a bit of inside information about the Asaba Hideaki Dinner Show.\Say what?! 1-F has totally hardened their...\What kind of seductive stage are they planning?\Come on baby! Ole! response:	Come on baby!
context: Arima, you're so good to have around.\What?\Just call on me whenever you're busy. I'll help out.\Oh yeah Miyazawa, I got my hands on a bit of inside information about the Asaba Hideaki Dinner Show.\Say what?! 1-F has totally hardened their...\What kind of seductive stage are they planning?\Come on baby! Ole!\Come on baby! response:	Takarazuka?!
context: What?\Just call on me whenever you're busy. I'll help out.\Oh yeah Miyazawa, I got my hands on a bit of inside information about the Asaba Hideaki Dinner Show.\Say what?! 1-F has totally hardened their...\What kind of seductive stage are they planning?\Come on baby! Ole!\Come on baby!\Takarazuka?! response:	Come on!
context: Just call on me whenever you're busy. I'll help out.\Oh yeah Miyazawa, I got my hands on a bit of inside information about the Asaba Hideaki Dinner Show.\Say what?! 1-F has totally hardened their...\What kind of seductive stage are they planning?\Come on baby! Ole!\Come on baby!\Takarazuka?!\Come on! response:	What?! Julie?!
context: Oh yeah Miyazawa, I got my hands on a bit of inside information about the Asaba Hideaki Dinner Show.\Say what?! 1-F has totally hardened their...\What kind of seductive stage are they planning?\Come on baby! Ole!\Come on baby!\Takarazuka?!\Come on!\What?! Julie?! response:	Casablanca!
context: Say what?! 1-F has totally hardened their...\What kind of seductive stage are they planning?\Come on baby! Ole!\Come on baby!\Takarazuka?!\Come on!\What?! Julie?!\Casablanca! response:	Character goods!
context: What kind of seductive stage are they planning?\Come on baby! Ole!\Come on baby!\Takarazuka?!\Come on!\What?! Julie?!\Casablanca!\Character goods! response:	Notebooks, pencil boards, pencil cases, telephone cards,
context: Come on baby! Ole!\Come on baby!\Takarazuka?!\Come on!\What?! Julie?!\Casablanca!\Character goods!\Notebooks, pencil boards, pencil cases, telephone cards, response:	celphone straps, watches, ballpoint pens, laminated cards, posters,
context: Come on baby!\Takarazuka?!\Come on!\What?! Julie?!\Casablanca!\Character goods!\Notebooks, pencil boards, pencil cases, telephone cards,\celphone straps, watches, ballpoint pens, laminated cards, posters, response:	handkerchiefs, charms, keychains, diaries, 1/6 scale figures!
context: Takarazuka?!\Come on!\What?! Julie?!\Casablanca!\Character goods!\Notebooks, pencil boards, pencil cases, telephone cards,\celphone straps, watches, ballpoint pens, laminated cards, posters,\handkerchiefs, charms, keychains, diaries, 1/6 scale figures! response:	A specially made picture book and fanzines.
context: Come on!\What?! Julie?!\Casablanca!\Character goods!\Notebooks, pencil boards, pencil cases, telephone cards,\celphone straps, watches, ballpoint pens, laminated cards, posters,\handkerchiefs, charms, keychains, diaries, 1/6 scale figures!\A specially made picture book and fanzines. response:	Oh boy, that'll sell.
context: What?! Julie?!\Casablanca!\Character goods!\Notebooks, pencil boards, pencil cases, telephone cards,\celphone straps, watches, ballpoint pens, laminated cards, posters,\handkerchiefs, charms, keychains, diaries, 1/6 scale figures!\A specially made picture book and fanzines.\Oh boy, that'll sell. response:	Asapin Official Guidebook!
context: Casablanca!\Character goods!\Notebooks, pencil boards, pencil cases, telephone cards,\celphone straps, watches, ballpoint pens, laminated cards, posters,\handkerchiefs, charms, keychains, diaries, 1/6 scale figures!\A specially made picture book and fanzines.\Oh boy, that'll sell.\Asapin Official Guidebook! response:	Asapin Calendar?!
context: Character goods!\Notebooks, pencil boards, pencil cases, telephone cards,\celphone straps, watches, ballpoint pens, laminated cards, posters,\handkerchiefs, charms, keychains, diaries, 1/6 scale figures!\A specially made picture book and fanzines.\Oh boy, that'll sell.\Asapin Official Guidebook!\Asapin Calendar?! response:	Asapin Illustrated
context: Notebooks, pencil boards, pencil cases, telephone cards,\celphone straps, watches, ballpoint pens, laminated cards, posters,\handkerchiefs, charms, keychains, diaries, 1/6 scale figures!\A specially made picture book and fanzines.\Oh boy, that'll sell.\Asapin Official Guidebook!\Asapin Calendar?!\Asapin Illustrated response:	Asapin Poetry Collection?
context: celphone straps, watches, ballpoint pens, laminated cards, posters,\handkerchiefs, charms, keychains, diaries, 1/6 scale figures!\A specially made picture book and fanzines.\Oh boy, that'll sell.\Asapin Official Guidebook!\Asapin Calendar?!\Asapin Illustrated\Asapin Poetry Collection? response:	Arima-kun!
context: handkerchiefs, charms, keychains, diaries, 1/6 scale figures!\A specially made picture book and fanzines.\Oh boy, that'll sell.\Asapin Official Guidebook!\Asapin Calendar?!\Asapin Illustrated\Asapin Poetry Collection?\Arima-kun! response:	Going to practice?
context: A specially made picture book and fanzines.\Oh boy, that'll sell.\Asapin Official Guidebook!\Asapin Calendar?!\Asapin Illustrated\Asapin Poetry Collection?\Arima-kun!\Going to practice? response:	No, the reference room.
context: Oh boy, that'll sell.\Asapin Official Guidebook!\Asapin Calendar?!\Asapin Illustrated\Asapin Poetry Collection?\Arima-kun!\Going to practice?\No, the reference room. response:	Arima-kun, I heard you won the Interhigh!
context: Asapin Official Guidebook!\Asapin Calendar?!\Asapin Illustrated\Asapin Poetry Collection?\Arima-kun!\Going to practice?\No, the reference room.\Arima-kun, I heard you won the Interhigh! response:	You really are amazing!
context: Asapin Calendar?!\Asapin Illustrated\Asapin Poetry Collection?\Arima-kun!\Going to practice?\No, the reference room.\Arima-kun, I heard you won the Interhigh!\You really are amazing! response:	Can I come watch you practice some time?
context: Asapin Illustrated\Asapin Poetry Collection?\Arima-kun!\Going to practice?\No, the reference room.\Arima-kun, I heard you won the Interhigh!\You really are amazing!\Can I come watch you practice some time? response:	It's not worth seeing.
context: Asapin Poetry Collection?\Arima-kun!\Going to practice?\No, the reference room.\Arima-kun, I heard you won the Interhigh!\You really are amazing!\Can I come watch you practice some time?\It's not worth seeing. response:	Perhaps he's in a bad mood.
context: Arima-kun!\Going to practice?\No, the reference room.\Arima-kun, I heard you won the Interhigh!\You really are amazing!\Can I come watch you practice some time?\It's not worth seeing.\Perhaps he's in a bad mood. response:	What do you think?
context: Going to practice?\No, the reference room.\Arima-kun, I heard you won the Interhigh!\You really are amazing!\Can I come watch you practice some time?\It's not worth seeing.\Perhaps he's in a bad mood.\What do you think? response:	Sawada wrote this?
context: No, the reference room.\Arima-kun, I heard you won the Interhigh!\You really are amazing!\Can I come watch you practice some time?\It's not worth seeing.\Perhaps he's in a bad mood.\What do you think?\Sawada wrote this? response:	My specialty is math so I'm not...an expert at literature,
context: Arima-kun, I heard you won the Interhigh!\You really are amazing!\Can I come watch you practice some time?\It's not worth seeing.\Perhaps he's in a bad mood.\What do you think?\Sawada wrote this?\My specialty is math so I'm not...an expert at literature, response:	Nope,
context: You really are amazing!\Can I come watch you practice some time?\It's not worth seeing.\Perhaps he's in a bad mood.\What do you think?\Sawada wrote this?\My specialty is math so I'm not...an expert at literature,\Nope, response:	I just wrote down whatever popped in my head and dressed it up as I saw fit.
context: Can I come watch you practice some time?\It's not worth seeing.\Perhaps he's in a bad mood.\What do you think?\Sawada wrote this?\My specialty is math so I'm not...an expert at literature,\Nope,\I just wrote down whatever popped in my head and dressed it up as I saw fit. response:	It's just a bunch of lies.
context: It's not worth seeing.\Perhaps he's in a bad mood.\What do you think?\Sawada wrote this?\My specialty is math so I'm not...an expert at literature,\Nope,\I just wrote down whatever popped in my head and dressed it up as I saw fit.\It's just a bunch of lies. response:	It's a work into which Sawada-san gave her all to express the themes she wanted to entreat!
context: Perhaps he's in a bad mood.\What do you think?\Sawada wrote this?\My specialty is math so I'm not...an expert at literature,\Nope,\I just wrote down whatever popped in my head and dressed it up as I saw fit.\It's just a bunch of lies.\It's a work into which Sawada-san gave her all to express the themes she wanted to entreat! response:	So you're saying you'd like to do this at the Culture Fair?
context: What do you think?\Sawada wrote this?\My specialty is math so I'm not...an expert at literature,\Nope,\I just wrote down whatever popped in my head and dressed it up as I saw fit.\It's just a bunch of lies.\It's a work into which Sawada-san gave her all to express the themes she wanted to entreat!\So you're saying you'd like to do this at the Culture Fair? response:	I think it's good.
context: Sawada wrote this?\My specialty is math so I'm not...an expert at literature,\Nope,\I just wrote down whatever popped in my head and dressed it up as I saw fit.\It's just a bunch of lies.\It's a work into which Sawada-san gave her all to express the themes she wanted to entreat!\So you're saying you'd like to do this at the Culture Fair?\I think it's good. response:	This is the sort of thing appropriate for the Culture Fair.
context: My specialty is math so I'm not...an expert at literature,\Nope,\I just wrote down whatever popped in my head and dressed it up as I saw fit.\It's just a bunch of lies.\It's a work into which Sawada-san gave her all to express the themes she wanted to entreat!\So you're saying you'd like to do this at the Culture Fair?\I think it's good.\This is the sort of thing appropriate for the Culture Fair. response:	I'll give it my recommendation.
context: Nope,\I just wrote down whatever popped in my head and dressed it up as I saw fit.\It's just a bunch of lies.\It's a work into which Sawada-san gave her all to express the themes she wanted to entreat!\So you're saying you'd like to do this at the Culture Fair?\I think it's good.\This is the sort of thing appropriate for the Culture Fair.\I'll give it my recommendation. response:	Thank you very much.
context: I just wrote down whatever popped in my head and dressed it up as I saw fit.\It's just a bunch of lies.\It's a work into which Sawada-san gave her all to express the themes she wanted to entreat!\So you're saying you'd like to do this at the Culture Fair?\I think it's good.\This is the sort of thing appropriate for the Culture Fair.\I'll give it my recommendation.\Thank you very much. response:	And about the procedures in going about actually making it work...
context: It's just a bunch of lies.\It's a work into which Sawada-san gave her all to express the themes she wanted to entreat!\So you're saying you'd like to do this at the Culture Fair?\I think it's good.\This is the sort of thing appropriate for the Culture Fair.\I'll give it my recommendation.\Thank you very much.\And about the procedures in going about actually making it work... response:	we don't really know what to do, so we would like your guidance.
context: It's a work into which Sawada-san gave her all to express the themes she wanted to entreat!\So you're saying you'd like to do this at the Culture Fair?\I think it's good.\This is the sort of thing appropriate for the Culture Fair.\I'll give it my recommendation.\Thank you very much.\And about the procedures in going about actually making it work...\we don't really know what to do, so we would like your guidance. response:	It would be best to get a teacher to be an advisor.
context: So you're saying you'd like to do this at the Culture Fair?\I think it's good.\This is the sort of thing appropriate for the Culture Fair.\I'll give it my recommendation.\Thank you very much.\And about the procedures in going about actually making it work...\we don't really know what to do, so we would like your guidance.\It would be best to get a teacher to be an advisor. response:	You have such a fine work here.
context: I think it's good.\This is the sort of thing appropriate for the Culture Fair.\I'll give it my recommendation.\Thank you very much.\And about the procedures in going about actually making it work...\we don't really know what to do, so we would like your guidance.\It would be best to get a teacher to be an advisor.\You have such a fine work here. response:	You could get this qualified as a temporary club.
