context: Help me! response:	Help me...!
context: This is all my fault. Go ahead and say it.\Yeah, that's right.\You ruined my plan.\But... I was stupid too.\I let go of the crane controls... when I saw you fall.\We're both idiots.\I'm sure everyone's fed up with us by now.\That's why we can't die like this. response:	We have to make it right!
context: Yeah, that's right.\You ruined my plan.\But... I was stupid too.\I let go of the crane controls... when I saw you fall.\We're both idiots.\I'm sure everyone's fed up with us by now.\That's why we can't die like this.\We have to make it right! response:	So we are getting out of here, Nameless!
context: You ruined my plan.\But... I was stupid too.\I let go of the crane controls... when I saw you fall.\We're both idiots.\I'm sure everyone's fed up with us by now.\That's why we can't die like this.\We have to make it right!\So we are getting out of here, Nameless! response:	Can't we just turn back?
context: But... I was stupid too.\I let go of the crane controls... when I saw you fall.\We're both idiots.\I'm sure everyone's fed up with us by now.\That's why we can't die like this.\We have to make it right!\So we are getting out of here, Nameless!\Can't we just turn back? response:	There is no way we can make it past that monster!
context: I let go of the crane controls... when I saw you fall.\We're both idiots.\I'm sure everyone's fed up with us by now.\That's why we can't die like this.\We have to make it right!\So we are getting out of here, Nameless!\Can't we just turn back?\There is no way we can make it past that monster! response:	Could we fell back towards Nagi Mountain Pass?
context: We're both idiots.\I'm sure everyone's fed up with us by now.\That's why we can't die like this.\We have to make it right!\So we are getting out of here, Nameless!\Can't we just turn back?\There is no way we can make it past that monster!\Could we fell back towards Nagi Mountain Pass? response:	We won't get any speed.
context: I'm sure everyone's fed up with us by now.\That's why we can't die like this.\We have to make it right!\So we are getting out of here, Nameless!\Can't we just turn back?\There is no way we can make it past that monster!\Could we fell back towards Nagi Mountain Pass?\We won't get any speed. response:	If it were to chase us, we won't be able to get away.
context: That's why we can't die like this.\We have to make it right!\So we are getting out of here, Nameless!\Can't we just turn back?\There is no way we can make it past that monster!\Could we fell back towards Nagi Mountain Pass?\We won't get any speed.\If it were to chase us, we won't be able to get away. response:	However, the Black Smoke is scattered all about right now.
context: We have to make it right!\So we are getting out of here, Nameless!\Can't we just turn back?\There is no way we can make it past that monster!\Could we fell back towards Nagi Mountain Pass?\We won't get any speed.\If it were to chase us, we won't be able to get away.\However, the Black Smoke is scattered all about right now. response:	Maybe it would be possible to force our way through.
context: So we are getting out of here, Nameless!\Can't we just turn back?\There is no way we can make it past that monster!\Could we fell back towards Nagi Mountain Pass?\We won't get any speed.\If it were to chase us, we won't be able to get away.\However, the Black Smoke is scattered all about right now.\Maybe it would be possible to force our way through. response:	The tower has been lifted halfway.
context: Can't we just turn back?\There is no way we can make it past that monster!\Could we fell back towards Nagi Mountain Pass?\We won't get any speed.\If it were to chase us, we won't be able to get away.\However, the Black Smoke is scattered all about right now.\Maybe it would be possible to force our way through.\The tower has been lifted halfway. response:	If we brace ourselves for some damage, we might be able to squeeze through.
context: There is no way we can make it past that monster!\Could we fell back towards Nagi Mountain Pass?\We won't get any speed.\If it were to chase us, we won't be able to get away.\However, the Black Smoke is scattered all about right now.\Maybe it would be possible to force our way through.\The tower has been lifted halfway.\If we brace ourselves for some damage, we might be able to squeeze through. response:	Indeed, it does seem worth the gamble.
context: Could we fell back towards Nagi Mountain Pass?\We won't get any speed.\If it were to chase us, we won't be able to get away.\However, the Black Smoke is scattered all about right now.\Maybe it would be possible to force our way through.\The tower has been lifted halfway.\If we brace ourselves for some damage, we might be able to squeeze through.\Indeed, it does seem worth the gamble. response:	Wait.. but...
context: We won't get any speed.\If it were to chase us, we won't be able to get away.\However, the Black Smoke is scattered all about right now.\Maybe it would be possible to force our way through.\The tower has been lifted halfway.\If we brace ourselves for some damage, we might be able to squeeze through.\Indeed, it does seem worth the gamble.\Wait.. but... response:	Of course we are!
context: If it were to chase us, we won't be able to get away.\However, the Black Smoke is scattered all about right now.\Maybe it would be possible to force our way through.\The tower has been lifted halfway.\If we brace ourselves for some damage, we might be able to squeeze through.\Indeed, it does seem worth the gamble.\Wait.. but...\Of course we are! response:	According to you, that foolish Corpseless girl charged in without thinking!
context: However, the Black Smoke is scattered all about right now.\Maybe it would be possible to force our way through.\The tower has been lifted halfway.\If we brace ourselves for some damage, we might be able to squeeze through.\Indeed, it does seem worth the gamble.\Wait.. but...\Of course we are!\According to you, that foolish Corpseless girl charged in without thinking! response:	She provoked the Corpses and drew the Black Smoke to us!
context: Maybe it would be possible to force our way through.\The tower has been lifted halfway.\If we brace ourselves for some damage, we might be able to squeeze through.\Indeed, it does seem worth the gamble.\Wait.. but...\Of course we are!\According to you, that foolish Corpseless girl charged in without thinking!\She provoked the Corpses and drew the Black Smoke to us! response:	What's more, the other one abandoned his task halfway through!
context: The tower has been lifted halfway.\If we brace ourselves for some damage, we might be able to squeeze through.\Indeed, it does seem worth the gamble.\Wait.. but...\Of course we are!\According to you, that foolish Corpseless girl charged in without thinking!\She provoked the Corpses and drew the Black Smoke to us!\What's more, the other one abandoned his task halfway through! response:	They deserve what's coming!
context: If we brace ourselves for some damage, we might be able to squeeze through.\Indeed, it does seem worth the gamble.\Wait.. but...\Of course we are!\According to you, that foolish Corpseless girl charged in without thinking!\She provoked the Corpses and drew the Black Smoke to us!\What's more, the other one abandoned his task halfway through!\They deserve what's coming! response:	I think that's taking it too far.
context: Indeed, it does seem worth the gamble.\Wait.. but...\Of course we are!\According to you, that foolish Corpseless girl charged in without thinking!\She provoked the Corpses and drew the Black Smoke to us!\What's more, the other one abandoned his task halfway through!\They deserve what's coming!\I think that's taking it too far. response:	Yes.
context: Wait.. but...\Of course we are!\According to you, that foolish Corpseless girl charged in without thinking!\She provoked the Corpses and drew the Black Smoke to us!\What's more, the other one abandoned his task halfway through!\They deserve what's coming!\I think that's taking it too far.\Yes. response:	We cannot just ignore the threat of the Black Smoke.
context: Of course we are!\According to you, that foolish Corpseless girl charged in without thinking!\She provoked the Corpses and drew the Black Smoke to us!\What's more, the other one abandoned his task halfway through!\They deserve what's coming!\I think that's taking it too far.\Yes.\We cannot just ignore the threat of the Black Smoke. response:	There has to be some better way.
context: According to you, that foolish Corpseless girl charged in without thinking!\She provoked the Corpses and drew the Black Smoke to us!\What's more, the other one abandoned his task halfway through!\They deserve what's coming!\I think that's taking it too far.\Yes.\We cannot just ignore the threat of the Black Smoke.\There has to be some better way. response:	Damn it!
context: She provoked the Corpses and drew the Black Smoke to us!\What's more, the other one abandoned his task halfway through!\They deserve what's coming!\I think that's taking it too far.\Yes.\We cannot just ignore the threat of the Black Smoke.\There has to be some better way.\Damn it! response:	Just leave me already.
context: What's more, the other one abandoned his task halfway through!\They deserve what's coming!\I think that's taking it too far.\Yes.\We cannot just ignore the threat of the Black Smoke.\There has to be some better way.\Damn it!\Just leave me already. response:	Only the strong get to survive.
context: They deserve what's coming!\I think that's taking it too far.\Yes.\We cannot just ignore the threat of the Black Smoke.\There has to be some better way.\Damn it!\Just leave me already.\Only the strong get to survive. response:	The weak just die.
context: I think that's taking it too far.\Yes.\We cannot just ignore the threat of the Black Smoke.\There has to be some better way.\Damn it!\Just leave me already.\Only the strong get to survive.\The weak just die. response:	What is that?
context: Yes.\We cannot just ignore the threat of the Black Smoke.\There has to be some better way.\Damn it!\Just leave me already.\Only the strong get to survive.\The weak just die.\What is that? response:	Then when can the weak become strong?
context: We cannot just ignore the threat of the Black Smoke.\There has to be some better way.\Damn it!\Just leave me already.\Only the strong get to survive.\The weak just die.\What is that?\Then when can the weak become strong? response:	I said leave me!
context: There has to be some better way.\Damn it!\Just leave me already.\Only the strong get to survive.\The weak just die.\What is that?\Then when can the weak become strong?\I said leave me! response:	You don't have to help me.
context: Damn it!\Just leave me already.\Only the strong get to survive.\The weak just die.\What is that?\Then when can the weak become strong?\I said leave me!\You don't have to help me. response:	I don't even want to be saved by you.
context: Just leave me already.\Only the strong get to survive.\The weak just die.\What is that?\Then when can the weak become strong?\I said leave me!\You don't have to help me.\I don't even want to be saved by you. response:	So are you saying you're fine being left like this?!
context: Only the strong get to survive.\The weak just die.\What is that?\Then when can the weak become strong?\I said leave me!\You don't have to help me.\I don't even want to be saved by you.\So are you saying you're fine being left like this?! response:	I didn't say that.
context: The weak just die.\What is that?\Then when can the weak become strong?\I said leave me!\You don't have to help me.\I don't even want to be saved by you.\So are you saying you're fine being left like this?!\I didn't say that. response:	I'm saying I'll figure it out on my own.
context: What is that?\Then when can the weak become strong?\I said leave me!\You don't have to help me.\I don't even want to be saved by you.\So are you saying you're fine being left like this?!\I didn't say that.\I'm saying I'll figure it out on my own. response:	Earlier...
context: Then when can the weak become strong?\I said leave me!\You don't have to help me.\I don't even want to be saved by you.\So are you saying you're fine being left like this?!\I didn't say that.\I'm saying I'll figure it out on my own.\Earlier... response:	I'll get myself out of here...
context: I said leave me!\You don't have to help me.\I don't even want to be saved by you.\So are you saying you're fine being left like this?!\I didn't say that.\I'm saying I'll figure it out on my own.\Earlier...\I'll get myself out of here... response:	I've never even been bitten by a Corpses before.
context: You don't have to help me.\I don't even want to be saved by you.\So are you saying you're fine being left like this?!\I didn't say that.\I'm saying I'll figure it out on my own.\Earlier...\I'll get myself out of here...\I've never even been bitten by a Corpses before. response:	I'm...
context: I don't even want to be saved by you.\So are you saying you're fine being left like this?!\I didn't say that.\I'm saying I'll figure it out on my own.\Earlier...\I'll get myself out of here...\I've never even been bitten by a Corpses before.\I'm... response:	Damn it!
context: So are you saying you're fine being left like this?!\I didn't say that.\I'm saying I'll figure it out on my own.\Earlier...\I'll get myself out of here...\I've never even been bitten by a Corpses before.\I'm...\Damn it! response:	What are you talking about?
context: I didn't say that.\I'm saying I'll figure it out on my own.\Earlier...\I'll get myself out of here...\I've never even been bitten by a Corpses before.\I'm...\Damn it!\What are you talking about? response:	You clearly are weak right now.
context: I'm saying I'll figure it out on my own.\Earlier...\I'll get myself out of here...\I've never even been bitten by a Corpses before.\I'm...\Damn it!\What are you talking about?\You clearly are weak right now. response:	You're completely trapped under these rocks.
context: Earlier...\I'll get myself out of here...\I've never even been bitten by a Corpses before.\I'm...\Damn it!\What are you talking about?\You clearly are weak right now.\You're completely trapped under these rocks. response:	I'm not weak.
context: I'll get myself out of here...\I've never even been bitten by a Corpses before.\I'm...\Damn it!\What are you talking about?\You clearly are weak right now.\You're completely trapped under these rocks.\I'm not weak. response:	You are.
context: I've never even been bitten by a Corpses before.\I'm...\Damn it!\What are you talking about?\You clearly are weak right now.\You're completely trapped under these rocks.\I'm not weak.\You are. response:	I'm not weak!
context: I'm...\Damn it!\What are you talking about?\You clearly are weak right now.\You're completely trapped under these rocks.\I'm not weak.\You are.\I'm not weak! response:	No!
context: Damn it!\What are you talking about?\You clearly are weak right now.\You're completely trapped under these rocks.\I'm not weak.\You are.\I'm not weak!\No! response:	Nameless?!
context: What are you talking about?\You clearly are weak right now.\You're completely trapped under these rocks.\I'm not weak.\You are.\I'm not weak!\No!\Nameless?! response:	I'm turning into a Corpse.
context: You clearly are weak right now.\You're completely trapped under these rocks.\I'm not weak.\You are.\I'm not weak!\No!\Nameless?!\I'm turning into a Corpse. response:	No way... is this the end already?
context: You're completely trapped under these rocks.\I'm not weak.\You are.\I'm not weak!\No!\Nameless?!\I'm turning into a Corpse.\No way... is this the end already? response:	Even though I'm not weak!
context: I'm not weak.\You are.\I'm not weak!\No!\Nameless?!\I'm turning into a Corpse.\No way... is this the end already?\Even though I'm not weak! response:	No, I don't want to become a Corpse!
context: You are.\I'm not weak!\No!\Nameless?!\I'm turning into a Corpse.\No way... is this the end already?\Even though I'm not weak!\No, I don't want to become a Corpse! response:	I brought some with me.
context: I'm not weak!\No!\Nameless?!\I'm turning into a Corpse.\No way... is this the end already?\Even though I'm not weak!\No, I don't want to become a Corpse!\I brought some with me. response:	I'm glad I didn't drop it earlier.
context: No!\Nameless?!\I'm turning into a Corpse.\No way... is this the end already?\Even though I'm not weak!\No, I don't want to become a Corpse!\I brought some with me.\I'm glad I didn't drop it earlier. response:	You need to calm down.
context: Nameless?!\I'm turning into a Corpse.\No way... is this the end already?\Even though I'm not weak!\No, I don't want to become a Corpse!\I brought some with me.\I'm glad I didn't drop it earlier.\You need to calm down. response:	You're just a little hungry, that's all.
context: I'm turning into a Corpse.\No way... is this the end already?\Even though I'm not weak!\No, I don't want to become a Corpse!\I brought some with me.\I'm glad I didn't drop it earlier.\You need to calm down.\You're just a little hungry, that's all. response:	When we get hungry, will we eventually turn into a Corpses?
context: No way... is this the end already?\Even though I'm not weak!\No, I don't want to become a Corpse!\I brought some with me.\I'm glad I didn't drop it earlier.\You need to calm down.\You're just a little hungry, that's all.\When we get hungry, will we eventually turn into a Corpses? response:	I don't know.
context: Even though I'm not weak!\No, I don't want to become a Corpse!\I brought some with me.\I'm glad I didn't drop it earlier.\You need to calm down.\You're just a little hungry, that's all.\When we get hungry, will we eventually turn into a Corpses?\I don't know. response:	But...
context: No, I don't want to become a Corpse!\I brought some with me.\I'm glad I didn't drop it earlier.\You need to calm down.\You're just a little hungry, that's all.\When we get hungry, will we eventually turn into a Corpses?\I don't know.\But... response:	I'll dig you out later.
context: I brought some with me.\I'm glad I didn't drop it earlier.\You need to calm down.\You're just a little hungry, that's all.\When we get hungry, will we eventually turn into a Corpses?\I don't know.\But...\I'll dig you out later. response:	First, I need to take care of the Corpses!
context: I'm glad I didn't drop it earlier.\You need to calm down.\You're just a little hungry, that's all.\When we get hungry, will we eventually turn into a Corpses?\I don't know.\But...\I'll dig you out later.\First, I need to take care of the Corpses! response:	Don't.
context: You need to calm down.\You're just a little hungry, that's all.\When we get hungry, will we eventually turn into a Corpses?\I don't know.\But...\I'll dig you out later.\First, I need to take care of the Corpses!\Don't. response:	There are too many of them.
context: You're just a little hungry, that's all.\When we get hungry, will we eventually turn into a Corpses?\I don't know.\But...\I'll dig you out later.\First, I need to take care of the Corpses!\Don't.\There are too many of them. response:	You won't be able to take
context: When we get hungry, will we eventually turn into a Corpses?\I don't know.\But...\I'll dig you out later.\First, I need to take care of the Corpses!\Don't.\There are too many of them.\You won't be able to take response:	Quiet.
context: I don't know.\But...\I'll dig you out later.\First, I need to take care of the Corpses!\Don't.\There are too many of them.\You won't be able to take\Quiet. response:	About what you said earlier...
context: But...\I'll dig you out later.\First, I need to take care of the Corpses!\Don't.\There are too many of them.\You won't be able to take\Quiet.\About what you said earlier... response:	We are weak after all... Nameless.
context: I'll dig you out later.\First, I need to take care of the Corpses!\Don't.\There are too many of them.\You won't be able to take\Quiet.\About what you said earlier...\We are weak after all... Nameless. response:	But...
context: First, I need to take care of the Corpses!\Don't.\There are too many of them.\You won't be able to take\Quiet.\About what you said earlier...\We are weak after all... Nameless.\But... response:	Over here, come over here!
context: Don't.\There are too many of them.\You won't be able to take\Quiet.\About what you said earlier...\We are weak after all... Nameless.\But...\Over here, come over here! response:	Run!
context: There are too many of them.\You won't be able to take\Quiet.\About what you said earlier...\We are weak after all... Nameless.\But...\Over here, come over here!\Run! response:	They're coming this way!
context: You won't be able to take\Quiet.\About what you said earlier...\We are weak after all... Nameless.\But...\Over here, come over here!\Run!\They're coming this way! response:	Get to the Railfort!
context: Quiet.\About what you said earlier...\We are weak after all... Nameless.\But...\Over here, come over here!\Run!\They're coming this way!\Get to the Railfort! response:	You have been bitten haven't you?!
context: About what you said earlier...\We are weak after all... Nameless.\But...\Over here, come over here!\Run!\They're coming this way!\Get to the Railfort!\You have been bitten haven't you?! response:	What are you doing?
context: We are weak after all... Nameless.\But...\Over here, come over here!\Run!\They're coming this way!\Get to the Railfort!\You have been bitten haven't you?!\What are you doing? response:	One of you already turned into a Corpse!
context: But...\Over here, come over here!\Run!\They're coming this way!\Get to the Railfort!\You have been bitten haven't you?!\What are you doing?\One of you already turned into a Corpse! response:	That means all of you are Corpse s!
context: Over here, come over here!\Run!\They're coming this way!\Get to the Railfort!\You have been bitten haven't you?!\What are you doing?\One of you already turned into a Corpse!\That means all of you are Corpse s! response:	Don't
context: Run!\They're coming this way!\Get to the Railfort!\You have been bitten haven't you?!\What are you doing?\One of you already turned into a Corpse!\That means all of you are Corpse s!\Don't response:	The Corpses...
context: They're coming this way!\Get to the Railfort!\You have been bitten haven't you?!\What are you doing?\One of you already turned into a Corpse!\That means all of you are Corpse s!\Don't\The Corpses... response:	Get out!
context: Get to the Railfort!\You have been bitten haven't you?!\What are you doing?\One of you already turned into a Corpse!\That means all of you are Corpse s!\Don't\The Corpses...\Get out! response:	Mother?
context: You have been bitten haven't you?!\What are you doing?\One of you already turned into a Corpse!\That means all of you are Corpse s!\Don't\The Corpses...\Get out!\Mother? response:	Mother!
context: What are you doing?\One of you already turned into a Corpse!\That means all of you are Corpse s!\Don't\The Corpses...\Get out!\Mother?\Mother! response:	No...
context: One of you already turned into a Corpse!\That means all of you are Corpse s!\Don't\The Corpses...\Get out!\Mother?\Mother!\No... response:	No!
context: That means all of you are Corpse s!\Don't\The Corpses...\Get out!\Mother?\Mother!\No...\No! response:	No!!!
context: Don't\The Corpses...\Get out!\Mother?\Mother!\No...\No!\No!!! response:	Found her! Over here!
context: The Corpses...\Get out!\Mother?\Mother!\No...\No!\No!!!\Found her! Over here! response:	All right, pull it up!
context: Get out!\Mother?\Mother!\No...\No!\No!!!\Found her! Over here!\All right, pull it up! response:	Keep pulling!
context: Mother?\Mother!\No...\No!\No!!!\Found her! Over here!\All right, pull it up!\Keep pulling! response:	Huh?
context: Mother!\No...\No!\No!!!\Found her! Over here!\All right, pull it up!\Keep pulling!\Huh? response:	Where am I?
context: No...\No!\No!!!\Found her! Over here!\All right, pull it up!\Keep pulling!\Huh?\Where am I? response:	An underground tunnel.
context: No!\No!!!\Found her! Over here!\All right, pull it up!\Keep pulling!\Huh?\Where am I?\An underground tunnel. response:	I'm glad we found you.
context: No!!!\Found her! Over here!\All right, pull it up!\Keep pulling!\Huh?\Where am I?\An underground tunnel.\I'm glad we found you. response:	We'll get you treated soon.
context: Found her! Over here!\All right, pull it up!\Keep pulling!\Huh?\Where am I?\An underground tunnel.\I'm glad we found you.\We'll get you treated soon. response:	What about him?!
context: All right, pull it up!\Keep pulling!\Huh?\Where am I?\An underground tunnel.\I'm glad we found you.\We'll get you treated soon.\What about him?! response:	You mean Ikoma?
context: Keep pulling!\Huh?\Where am I?\An underground tunnel.\I'm glad we found you.\We'll get you treated soon.\What about him?!\You mean Ikoma? response:	We're still
context: Huh?\Where am I?\An underground tunnel.\I'm glad we found you.\We'll get you treated soon.\What about him?!\You mean Ikoma?\We're still response:	Hey!
context: Where am I?\An underground tunnel.\I'm glad we found you.\We'll get you treated soon.\What about him?!\You mean Ikoma?\We're still\Hey! response:	What is this?
context: An underground tunnel.\I'm glad we found you.\We'll get you treated soon.\What about him?!\You mean Ikoma?\We're still\Hey!\What is this? response:	No way... Ikoma did this?
context: I'm glad we found you.\We'll get you treated soon.\What about him?!\You mean Ikoma?\We're still\Hey!\What is this?\No way... Ikoma did this? response:	You have to be kidding me.
context: We'll get you treated soon.\What about him?!\You mean Ikoma?\We're still\Hey!\What is this?\No way... Ikoma did this?\You have to be kidding me. response:	No, their hearts have all been pierced with one shot.
context: What about him?!\You mean Ikoma?\We're still\Hey!\What is this?\No way... Ikoma did this?\You have to be kidding me.\No, their hearts have all been pierced with one shot. response:	That would not be possible without jet bullets.
context: You mean Ikoma?\We're still\Hey!\What is this?\No way... Ikoma did this?\You have to be kidding me.\No, their hearts have all been pierced with one shot.\That would not be possible without jet bullets. response:	Ikoma.
context: We're still\Hey!\What is this?\No way... Ikoma did this?\You have to be kidding me.\No, their hearts have all been pierced with one shot.\That would not be possible without jet bullets.\Ikoma. response:	Hey, Ikoma!
context: Hey!\What is this?\No way... Ikoma did this?\You have to be kidding me.\No, their hearts have all been pierced with one shot.\That would not be possible without jet bullets.\Ikoma.\Hey, Ikoma! response:	Ouch.
context: What is this?\No way... Ikoma did this?\You have to be kidding me.\No, their hearts have all been pierced with one shot.\That would not be possible without jet bullets.\Ikoma.\Hey, Ikoma!\Ouch. response:	Stop rocking me.
context: No way... Ikoma did this?\You have to be kidding me.\No, their hearts have all been pierced with one shot.\That would not be possible without jet bullets.\Ikoma.\Hey, Ikoma!\Ouch.\Stop rocking me. response:	Damn it.
context: You have to be kidding me.\No, their hearts have all been pierced with one shot.\That would not be possible without jet bullets.\Ikoma.\Hey, Ikoma!\Ouch.\Stop rocking me.\Damn it. response:	Those bastards... bit right through my stomach.
context: No, their hearts have all been pierced with one shot.\That would not be possible without jet bullets.\Ikoma.\Hey, Ikoma!\Ouch.\Stop rocking me.\Damn it.\Those bastards... bit right through my stomach. response:	Why...?
context: That would not be possible without jet bullets.\Ikoma.\Hey, Ikoma!\Ouch.\Stop rocking me.\Damn it.\Those bastards... bit right through my stomach.\Why...? response:	Even though we're not strong...
context: Ikoma.\Hey, Ikoma!\Ouch.\Stop rocking me.\Damn it.\Those bastards... bit right through my stomach.\Why...?\Even though we're not strong... response:	Even though we're not strong!
context: Hey, Ikoma!\Ouch.\Stop rocking me.\Damn it.\Those bastards... bit right through my stomach.\Why...?\Even though we're not strong...\Even though we're not strong! response:	What is this?
context: Ouch.\Stop rocking me.\Damn it.\Those bastards... bit right through my stomach.\Why...?\Even though we're not strong...\Even though we're not strong!\What is this? response:	I'm in a lot of pain here, so I can do without the difficult talks...!
context: Stop rocking me.\Damn it.\Those bastards... bit right through my stomach.\Why...?\Even though we're not strong...\Even though we're not strong!\What is this?\I'm in a lot of pain here, so I can do without the difficult talks...! response:	Damn it...
context: Damn it.\Those bastards... bit right through my stomach.\Why...?\Even though we're not strong...\Even though we're not strong!\What is this?\I'm in a lot of pain here, so I can do without the difficult talks...!\Damn it... response:	Can you move?!
context: Those bastards... bit right through my stomach.\Why...?\Even though we're not strong...\Even though we're not strong!\What is this?\I'm in a lot of pain here, so I can do without the difficult talks...!\Damn it...\Can you move?! response:	Y-Yes.
context: Why...?\Even though we're not strong...\Even though we're not strong!\What is this?\I'm in a lot of pain here, so I can do without the difficult talks...!\Damn it...\Can you move?!\Y-Yes. response:	It's still dangerous here.
context: Even though we're not strong...\Even though we're not strong!\What is this?\I'm in a lot of pain here, so I can do without the difficult talks...!\Damn it...\Can you move?!\Y-Yes.\It's still dangerous here. response:	We need to get back!
context: Even though we're not strong!\What is this?\I'm in a lot of pain here, so I can do without the difficult talks...!\Damn it...\Can you move?!\Y-Yes.\It's still dangerous here.\We need to get back! response:	What is that?
context: What is this?\I'm in a lot of pain here, so I can do without the difficult talks...!\Damn it...\Can you move?!\Y-Yes.\It's still dangerous here.\We need to get back!\What is that? response:	A fused colony.
context: I'm in a lot of pain here, so I can do without the difficult talks...!\Damn it...\Can you move?!\Y-Yes.\It's still dangerous here.\We need to get back!\What is that?\A fused colony. response:	You know what it is?
context: Damn it...\Can you move?!\Y-Yes.\It's still dangerous here.\We need to get back!\What is that?\A fused colony.\You know what it is? response:	We can talk later!
context: Can you move?!\Y-Yes.\It's still dangerous here.\We need to get back!\What is that?\A fused colony.\You know what it is?\We can talk later! response:	It's coming!
context: Y-Yes.\It's still dangerous here.\We need to get back!\What is that?\A fused colony.\You know what it is?\We can talk later!\It's coming! response:	Hurry! Hurry!
context: It's still dangerous here.\We need to get back!\What is that?\A fused colony.\You know what it is?\We can talk later!\It's coming!\Hurry! Hurry! response:	What is it doing?
context: We need to get back!\What is that?\A fused colony.\You know what it is?\We can talk later!\It's coming!\Hurry! Hurry!\What is it doing? response:	It's absorbing the bodies.
context: What is that?\A fused colony.\You know what it is?\We can talk later!\It's coming!\Hurry! Hurry!\What is it doing?\It's absorbing the bodies. response:	Of other Corpse s?
context: A fused colony.\You know what it is?\We can talk later!\It's coming!\Hurry! Hurry!\What is it doing?\It's absorbing the bodies.\Of other Corpse s? response:	Yeah...
context: You know what it is?\We can talk later!\It's coming!\Hurry! Hurry!\What is it doing?\It's absorbing the bodies.\Of other Corpse s?\Yeah... response:	I've heard they're greedy.
context: We can talk later!\It's coming!\Hurry! Hurry!\What is it doing?\It's absorbing the bodies.\Of other Corpse s?\Yeah...\I've heard they're greedy. response:	They don't care if you're human or Corpse...
