context: Why do I feel this way? response:	It's the first time this has ever happened.
context: Let's decide on our class officers for the second term!\Class Representative Asst. Class Representative Treasurer Secretary\I'll take volunteers,\but we don't have any so nominate away!\First come, first serve!\Let's start!\Ooh! I think Shimoyanagi-kun would make a good class rep!\Wait! Hey! response:	Okay, we have our man!
context: Class Representative Asst. Class Representative Treasurer Secretary\I'll take volunteers,\but we don't have any so nominate away!\First come, first serve!\Let's start!\Ooh! I think Shimoyanagi-kun would make a good class rep!\Wait! Hey!\Okay, we have our man! response:	Yay!
context: I'll take volunteers,\but we don't have any so nominate away!\First come, first serve!\Let's start!\Ooh! I think Shimoyanagi-kun would make a good class rep!\Wait! Hey!\Okay, we have our man!\Yay! response:	Good luck!
context: but we don't have any so nominate away!\First come, first serve!\Let's start!\Ooh! I think Shimoyanagi-kun would make a good class rep!\Wait! Hey!\Okay, we have our man!\Yay!\Good luck! response:	Next up is the assistant class rep!
context: First come, first serve!\Let's start!\Ooh! I think Shimoyanagi-kun would make a good class rep!\Wait! Hey!\Okay, we have our man!\Yay!\Good luck!\Next up is the assistant class rep! response:	Any takers?
context: Let's start!\Ooh! I think Shimoyanagi-kun would make a good class rep!\Wait! Hey!\Okay, we have our man!\Yay!\Good luck!\Next up is the assistant class rep!\Any takers? response:	Shizuku!
context: Ooh! I think Shimoyanagi-kun would make a good class rep!\Wait! Hey!\Okay, we have our man!\Yay!\Good luck!\Next up is the assistant class rep!\Any takers?\Shizuku! response:	Shizuku.
context: Wait! Hey!\Okay, we have our man!\Yay!\Good luck!\Next up is the assistant class rep!\Any takers?\Shizuku!\Shizuku. response:	Expand Domestic Demand -Yoshida Haru
context: Okay, we have our man!\Yay!\Good luck!\Next up is the assistant class rep!\Any takers?\Shizuku!\Shizuku.\Expand Domestic Demand -Yoshida Haru response:	Why is he talking politics?
context: Yay!\Good luck!\Next up is the assistant class rep!\Any takers?\Shizuku!\Shizuku.\Expand Domestic Demand -Yoshida Haru\Why is he talking politics? response:	And I'm pretty sure that reforms and spending cuts come first.
context: Good luck!\Next up is the assistant class rep!\Any takers?\Shizuku!\Shizuku.\Expand Domestic Demand -Yoshida Haru\Why is he talking politics?\And I'm pretty sure that reforms and spending cuts come first. response:	Okay!
context: Next up is the assistant class rep!\Any takers?\Shizuku!\Shizuku.\Expand Domestic Demand -Yoshida Haru\Why is he talking politics?\And I'm pretty sure that reforms and spending cuts come first.\Okay! response:	We have our secretary!
context: Any takers?\Shizuku!\Shizuku.\Expand Domestic Demand -Yoshida Haru\Why is he talking politics?\And I'm pretty sure that reforms and spending cuts come first.\Okay!\We have our secretary! response:	All done!
context: Shizuku!\Shizuku.\Expand Domestic Demand -Yoshida Haru\Why is he talking politics?\And I'm pretty sure that reforms and spending cuts come first.\Okay!\We have our secretary!\All done! response:	EXPAND DOMESTIC DEMAND!! Class Representative: Shimoyanagi Assistant Class Representative: Hachigasaki Treasurer: Inokuma Secretary: Sato
context: Shizuku.\Expand Domestic Demand -Yoshida Haru\Why is he talking politics?\And I'm pretty sure that reforms and spending cuts come first.\Okay!\We have our secretary!\All done!\EXPAND DOMESTIC DEMAND!! Class Representative: Shimoyanagi Assistant Class Representative: Hachigasaki Treasurer: Inokuma Secretary: Sato response:	Huh? Where did Haru-kun go?
context: Expand Domestic Demand -Yoshida Haru\Why is he talking politics?\And I'm pretty sure that reforms and spending cuts come first.\Okay!\We have our secretary!\All done!\EXPAND DOMESTIC DEMAND!! Class Representative: Shimoyanagi Assistant Class Representative: Hachigasaki Treasurer: Inokuma Secretary: Sato\Huh? Where did Haru-kun go? response:	Yoshida walked out with a sad look on his face.
context: Why is he talking politics?\And I'm pretty sure that reforms and spending cuts come first.\Okay!\We have our secretary!\All done!\EXPAND DOMESTIC DEMAND!! Class Representative: Shimoyanagi Assistant Class Representative: Hachigasaki Treasurer: Inokuma Secretary: Sato\Huh? Where did Haru-kun go?\Yoshida walked out with a sad look on his face. response:	Did he want someone to nominate him?
context: And I'm pretty sure that reforms and spending cuts come first.\Okay!\We have our secretary!\All done!\EXPAND DOMESTIC DEMAND!! Class Representative: Shimoyanagi Assistant Class Representative: Hachigasaki Treasurer: Inokuma Secretary: Sato\Huh? Where did Haru-kun go?\Yoshida walked out with a sad look on his face.\Did he want someone to nominate him? response:	No way!
context: Okay!\We have our secretary!\All done!\EXPAND DOMESTIC DEMAND!! Class Representative: Shimoyanagi Assistant Class Representative: Hachigasaki Treasurer: Inokuma Secretary: Sato\Huh? Where did Haru-kun go?\Yoshida walked out with a sad look on his face.\Did he want someone to nominate him?\No way! response:	So...
context: We have our secretary!\All done!\EXPAND DOMESTIC DEMAND!! Class Representative: Shimoyanagi Assistant Class Representative: Hachigasaki Treasurer: Inokuma Secretary: Sato\Huh? Where did Haru-kun go?\Yoshida walked out with a sad look on his face.\Did he want someone to nominate him?\No way!\So... response:	What do you think about that little encounter?
context: All done!\EXPAND DOMESTIC DEMAND!! Class Representative: Shimoyanagi Assistant Class Representative: Hachigasaki Treasurer: Inokuma Secretary: Sato\Huh? Where did Haru-kun go?\Yoshida walked out with a sad look on his face.\Did he want someone to nominate him?\No way!\So...\What do you think about that little encounter? response:	I knew this was coming.
context: EXPAND DOMESTIC DEMAND!! Class Representative: Shimoyanagi Assistant Class Representative: Hachigasaki Treasurer: Inokuma Secretary: Sato\Huh? Where did Haru-kun go?\Yoshida walked out with a sad look on his face.\Did he want someone to nominate him?\No way!\So...\What do you think about that little encounter?\I knew this was coming. response:	Those were the eyes of a girl in love.
context: Huh? Where did Haru-kun go?\Yoshida walked out with a sad look on his face.\Did he want someone to nominate him?\No way!\So...\What do you think about that little encounter?\I knew this was coming.\Those were the eyes of a girl in love. response:	When did Haru-kun manage to make that happen?
context: Yoshida walked out with a sad look on his face.\Did he want someone to nominate him?\No way!\So...\What do you think about that little encounter?\I knew this was coming.\Those were the eyes of a girl in love.\When did Haru-kun manage to make that happen? response:	What's this?
context: Did he want someone to nominate him?\No way!\So...\What do you think about that little encounter?\I knew this was coming.\Those were the eyes of a girl in love.\When did Haru-kun manage to make that happen?\What's this? response:	Someone making a move on Yoshida?
context: No way!\So...\What do you think about that little encounter?\I knew this was coming.\Those were the eyes of a girl in love.\When did Haru-kun manage to make that happen?\What's this?\Someone making a move on Yoshida? response:	It was a girl from class A with long black hair and glasses.
context: So...\What do you think about that little encounter?\I knew this was coming.\Those were the eyes of a girl in love.\When did Haru-kun manage to make that happen?\What's this?\Someone making a move on Yoshida?\It was a girl from class A with long black hair and glasses. response:	Oh, that's Oshima-san.
context: What do you think about that little encounter?\I knew this was coming.\Those were the eyes of a girl in love.\When did Haru-kun manage to make that happen?\What's this?\Someone making a move on Yoshida?\It was a girl from class A with long black hair and glasses.\Oh, that's Oshima-san. response:	Everyone in my club was talking about her.
context: I knew this was coming.\Those were the eyes of a girl in love.\When did Haru-kun manage to make that happen?\What's this?\Someone making a move on Yoshida?\It was a girl from class A with long black hair and glasses.\Oh, that's Oshima-san.\Everyone in my club was talking about her. response:	She's quiet but cute, apparently.
context: Those were the eyes of a girl in love.\When did Haru-kun manage to make that happen?\What's this?\Someone making a move on Yoshida?\It was a girl from class A with long black hair and glasses.\Oh, that's Oshima-san.\Everyone in my club was talking about her.\She's quiet but cute, apparently. response:	Did you hear that, Mitty?!
context: When did Haru-kun manage to make that happen?\What's this?\Someone making a move on Yoshida?\It was a girl from class A with long black hair and glasses.\Oh, that's Oshima-san.\Everyone in my club was talking about her.\She's quiet but cute, apparently.\Did you hear that, Mitty?! response:	I couldn't care less.
context: What's this?\Someone making a move on Yoshida?\It was a girl from class A with long black hair and glasses.\Oh, that's Oshima-san.\Everyone in my club was talking about her.\She's quiet but cute, apparently.\Did you hear that, Mitty?!\I couldn't care less. response:	Top National Mock Exam Scores 29 Mizutani Shizuku
context: Someone making a move on Yoshida?\It was a girl from class A with long black hair and glasses.\Oh, that's Oshima-san.\Everyone in my club was talking about her.\She's quiet but cute, apparently.\Did you hear that, Mitty?!\I couldn't care less.\Top National Mock Exam Scores 29 Mizutani Shizuku response:	Right now, I'm concerned with
context: It was a girl from class A with long black hair and glasses.\Oh, that's Oshima-san.\Everyone in my club was talking about her.\She's quiet but cute, apparently.\Did you hear that, Mitty?!\I couldn't care less.\Top National Mock Exam Scores 29 Mizutani Shizuku\Right now, I'm concerned with response:	my disappointing mock exam scores.
context: Oh, that's Oshima-san.\Everyone in my club was talking about her.\She's quiet but cute, apparently.\Did you hear that, Mitty?!\I couldn't care less.\Top National Mock Exam Scores 29 Mizutani Shizuku\Right now, I'm concerned with\my disappointing mock exam scores. response:	I'm going to the faculty office.
context: Everyone in my club was talking about her.\She's quiet but cute, apparently.\Did you hear that, Mitty?!\I couldn't care less.\Top National Mock Exam Scores 29 Mizutani Shizuku\Right now, I'm concerned with\my disappointing mock exam scores.\I'm going to the faculty office. response:	She finally gets herself a rival, but she isn't excited at all.
context: She's quiet but cute, apparently.\Did you hear that, Mitty?!\I couldn't care less.\Top National Mock Exam Scores 29 Mizutani Shizuku\Right now, I'm concerned with\my disappointing mock exam scores.\I'm going to the faculty office.\She finally gets herself a rival, but she isn't excited at all. response:	Maybe she's mad because you were teasing her?
context: Did you hear that, Mitty?!\I couldn't care less.\Top National Mock Exam Scores 29 Mizutani Shizuku\Right now, I'm concerned with\my disappointing mock exam scores.\I'm going to the faculty office.\She finally gets herself a rival, but she isn't excited at all.\Maybe she's mad because you were teasing her? response:	I can no longer look Haru in the eye.
context: I couldn't care less.\Top National Mock Exam Scores 29 Mizutani Shizuku\Right now, I'm concerned with\my disappointing mock exam scores.\I'm going to the faculty office.\She finally gets herself a rival, but she isn't excited at all.\Maybe she's mad because you were teasing her?\I can no longer look Haru in the eye. response:	I must be flustered.
context: Top National Mock Exam Scores 29 Mizutani Shizuku\Right now, I'm concerned with\my disappointing mock exam scores.\I'm going to the faculty office.\She finally gets herself a rival, but she isn't excited at all.\Maybe she's mad because you were teasing her?\I can no longer look Haru in the eye.\I must be flustered. response:	It's the first time I've wanted something so badly
context: Right now, I'm concerned with\my disappointing mock exam scores.\I'm going to the faculty office.\She finally gets herself a rival, but she isn't excited at all.\Maybe she's mad because you were teasing her?\I can no longer look Haru in the eye.\I must be flustered.\It's the first time I've wanted something so badly response:	that isn't related to studying.
context: my disappointing mock exam scores.\I'm going to the faculty office.\She finally gets herself a rival, but she isn't excited at all.\Maybe she's mad because you were teasing her?\I can no longer look Haru in the eye.\I must be flustered.\It's the first time I've wanted something so badly\that isn't related to studying. response:	Mizutani Shizuku
context: I'm going to the faculty office.\She finally gets herself a rival, but she isn't excited at all.\Maybe she's mad because you were teasing her?\I can no longer look Haru in the eye.\I must be flustered.\It's the first time I've wanted something so badly\that isn't related to studying.\Mizutani Shizuku response:	This won't work.
context: She finally gets herself a rival, but she isn't excited at all.\Maybe she's mad because you were teasing her?\I can no longer look Haru in the eye.\I must be flustered.\It's the first time I've wanted something so badly\that isn't related to studying.\Mizutani Shizuku\This won't work. response:	It can't work...
context: Maybe she's mad because you were teasing her?\I can no longer look Haru in the eye.\I must be flustered.\It's the first time I've wanted something so badly\that isn't related to studying.\Mizutani Shizuku\This won't work.\It can't work... response:	Lovely weather...
context: I can no longer look Haru in the eye.\I must be flustered.\It's the first time I've wanted something so badly\that isn't related to studying.\Mizutani Shizuku\This won't work.\It can't work...\Lovely weather... response:	Hey.
context: I must be flustered.\It's the first time I've wanted something so badly\that isn't related to studying.\Mizutani Shizuku\This won't work.\It can't work...\Lovely weather...\Hey. response:	Yo-Yoshida-kun!
context: It's the first time I've wanted something so badly\that isn't related to studying.\Mizutani Shizuku\This won't work.\It can't work...\Lovely weather...\Hey.\Yo-Yoshida-kun! response:	You said that glasses were the key to becoming class rep.
context: that isn't related to studying.\Mizutani Shizuku\This won't work.\It can't work...\Lovely weather...\Hey.\Yo-Yoshida-kun!\You said that glasses were the key to becoming class rep. response:	Huh?!
context: Mizutani Shizuku\This won't work.\It can't work...\Lovely weather...\Hey.\Yo-Yoshida-kun!\You said that glasses were the key to becoming class rep.\Huh?! response:	Oh. Er, gla
context: This won't work.\It can't work...\Lovely weather...\Hey.\Yo-Yoshida-kun!\You said that glasses were the key to becoming class rep.\Huh?!\Oh. Er, gla response:	Nobody nominated me!
context: It can't work...\Lovely weather...\Hey.\Yo-Yoshida-kun!\You said that glasses were the key to becoming class rep.\Huh?!\Oh. Er, gla\Nobody nominated me! response:	Sorry...
context: Lovely weather...\Hey.\Yo-Yoshida-kun!\You said that glasses were the key to becoming class rep.\Huh?!\Oh. Er, gla\Nobody nominated me!\Sorry... response:	It was such a good idea...
context: Hey.\Yo-Yoshida-kun!\You said that glasses were the key to becoming class rep.\Huh?!\Oh. Er, gla\Nobody nominated me!\Sorry...\It was such a good idea... response:	Hey.
context: Yo-Yoshida-kun!\You said that glasses were the key to becoming class rep.\Huh?!\Oh. Er, gla\Nobody nominated me!\Sorry...\It was such a good idea...\Hey. response:	Yes?!
context: You said that glasses were the key to becoming class rep.\Huh?!\Oh. Er, gla\Nobody nominated me!\Sorry...\It was such a good idea...\Hey.\Yes?! response:	Do you always eat lunch out here?
context: Huh?!\Oh. Er, gla\Nobody nominated me!\Sorry...\It was such a good idea...\Hey.\Yes?!\Do you always eat lunch out here? response:	Don't you have any friends?
context: Oh. Er, gla\Nobody nominated me!\Sorry...\It was such a good idea...\Hey.\Yes?!\Do you always eat lunch out here?\Don't you have any friends? response:	A class rep without friends?
context: Nobody nominated me!\Sorry...\It was such a good idea...\Hey.\Yes?!\Do you always eat lunch out here?\Don't you have any friends?\A class rep without friends? response:	Because you look so gloomy?
context: Sorry...\It was such a good idea...\Hey.\Yes?!\Do you always eat lunch out here?\Don't you have any friends?\A class rep without friends?\Because you look so gloomy? response:	H-Hard to say...
context: It was such a good idea...\Hey.\Yes?!\Do you always eat lunch out here?\Don't you have any friends?\A class rep without friends?\Because you look so gloomy?\H-Hard to say... response:	Well, I didn't have any friends,
context: Hey.\Yes?!\Do you always eat lunch out here?\Don't you have any friends?\A class rep without friends?\Because you look so gloomy?\H-Hard to say...\Well, I didn't have any friends, response:	but now I do.
context: Yes?!\Do you always eat lunch out here?\Don't you have any friends?\A class rep without friends?\Because you look so gloomy?\H-Hard to say...\Well, I didn't have any friends,\but now I do. response:	Cheer up.
context: Do you always eat lunch out here?\Don't you have any friends?\A class rep without friends?\Because you look so gloomy?\H-Hard to say...\Well, I didn't have any friends,\but now I do.\Cheer up. response:	D-Do you mean
context: Don't you have any friends?\A class rep without friends?\Because you look so gloomy?\H-Hard to say...\Well, I didn't have any friends,\but now I do.\Cheer up.\D-Do you mean response:	the girl who's always with you?
context: A class rep without friends?\Because you look so gloomy?\H-Hard to say...\Well, I didn't have any friends,\but now I do.\Cheer up.\D-Do you mean\the girl who's always with you? response:	Sh-She's very cute. It's, um...
context: Because you look so gloomy?\H-Hard to say...\Well, I didn't have any friends,\but now I do.\Cheer up.\D-Do you mean\the girl who's always with you?\Sh-She's very cute. It's, um... response:	Natsume-san.
context: H-Hard to say...\Well, I didn't have any friends,\but now I do.\Cheer up.\D-Do you mean\the girl who's always with you?\Sh-She's very cute. It's, um...\Natsume-san. response:	Natsume?
context: Well, I didn't have any friends,\but now I do.\Cheer up.\D-Do you mean\the girl who's always with you?\Sh-She's very cute. It's, um...\Natsume-san.\Natsume? response:	Natsume is a nice person.
