context: Weird' response:	I was pretty sure'
context: ' Ah, I feel Clow's aura.' No good!\I can't transform!\What?\I can't transform to Yukito.\Now what will you do,\Sakura-san?\Why don't you fold your wings?\I'm totally soaked' response:	Don't do that! Here'
context: I can't transform!\What?\I can't transform to Yukito.\Now what will you do,\Sakura-san?\Why don't you fold your wings?\I'm totally soaked'\Don't do that! Here' response:	What's going on??
context: What?\I can't transform to Yukito.\Now what will you do,\Sakura-san?\Why don't you fold your wings?\I'm totally soaked'\Don't do that! Here'\What's going on?? response:	I felt Claw's aura again
context: I can't transform to Yukito.\Now what will you do,\Sakura-san?\Why don't you fold your wings?\I'm totally soaked'\Don't do that! Here'\What's going on??\I felt Claw's aura again response:	and then'
context: Now what will you do,\Sakura-san?\Why don't you fold your wings?\I'm totally soaked'\Don't do that! Here'\What's going on??\I felt Claw's aura again\and then' response:	We can no longer transform.
context: Sakura-san?\Why don't you fold your wings?\I'm totally soaked'\Don't do that! Here'\What's going on??\I felt Claw's aura again\and then'\We can no longer transform. response:	What shall we do?
context: Why don't you fold your wings?\I'm totally soaked'\Don't do that! Here'\What's going on??\I felt Claw's aura again\and then'\We can no longer transform.\What shall we do? response:	Hmm' I don't know'
context: I'm totally soaked'\Don't do that! Here'\What's going on??\I felt Claw's aura again\and then'\We can no longer transform.\What shall we do?\Hmm' I don't know' response:	I can't think of anything.
context: Don't do that! Here'\What's going on??\I felt Claw's aura again\and then'\We can no longer transform.\What shall we do?\Hmm' I don't know'\I can't think of anything. response:	Me neither.
context: What's going on??\I felt Claw's aura again\and then'\We can no longer transform.\What shall we do?\Hmm' I don't know'\I can't think of anything.\Me neither. response:	Why don't we try it one more time?
context: I felt Claw's aura again\and then'\We can no longer transform.\What shall we do?\Hmm' I don't know'\I can't think of anything.\Me neither.\Why don't we try it one more time? response:	I guess.
context: and then'\We can no longer transform.\What shall we do?\Hmm' I don't know'\I can't think of anything.\Me neither.\Why don't we try it one more time?\I guess. response:	It' it is no good'
context: We can no longer transform.\What shall we do?\Hmm' I don't know'\I can't think of anything.\Me neither.\Why don't we try it one more time?\I guess.\It' it is no good' response:	Now what
context: What shall we do?\Hmm' I don't know'\I can't think of anything.\Me neither.\Why don't we try it one more time?\I guess.\It' it is no good'\Now what response:	Now what' now what now what??
context: Hmm' I don't know'\I can't think of anything.\Me neither.\Why don't we try it one more time?\I guess.\It' it is no good'\Now what\Now what' now what now what?? response:	What was that noise?
context: I can't think of anything.\Me neither.\Why don't we try it one more time?\I guess.\It' it is no good'\Now what\Now what' now what now what??\What was that noise? response:	No' Nothing'
context: Me neither.\Why don't we try it one more time?\I guess.\It' it is no good'\Now what\Now what' now what now what??\What was that noise?\No' Nothing' response:	It was me'
context: Why don't we try it one more time?\I guess.\It' it is no good'\Now what\Now what' now what now what??\What was that noise?\No' Nothing'\It was me' response:	Now what' now what' haaao.
context: I guess.\It' it is no good'\Now what\Now what' now what now what??\What was that noise?\No' Nothing'\It was me'\Now what' now what' haaao. response:	Now what. Now what. Now what'
context: It' it is no good'\Now what\Now what' now what now what??\What was that noise?\No' Nothing'\It was me'\Now what' now what' haaao.\Now what. Now what. Now what' response:	Now go to bed'
context: Now what\Now what' now what now what??\What was that noise?\No' Nothing'\It was me'\Now what' now what' haaao.\Now what. Now what. Now what'\Now go to bed' response:	Since we can't do much about it now,
context: Now what' now what now what??\What was that noise?\No' Nothing'\It was me'\Now what' now what' haaao.\Now what. Now what. Now what'\Now go to bed'\Since we can't do much about it now, response:	anyway, shall we get some rest?
context: What was that noise?\No' Nothing'\It was me'\Now what' now what' haaao.\Now what. Now what. Now what'\Now go to bed'\Since we can't do much about it now,\anyway, shall we get some rest? response:	Maybe tomorrow morning,
context: No' Nothing'\It was me'\Now what' now what' haaao.\Now what. Now what. Now what'\Now go to bed'\Since we can't do much about it now,\anyway, shall we get some rest?\Maybe tomorrow morning, response:	you can transform back.
context: It was me'\Now what' now what' haaao.\Now what. Now what. Now what'\Now go to bed'\Since we can't do much about it now,\anyway, shall we get some rest?\Maybe tomorrow morning,\you can transform back. response:	Yeah'
context: Now what' now what' haaao.\Now what. Now what. Now what'\Now go to bed'\Since we can't do much about it now,\anyway, shall we get some rest?\Maybe tomorrow morning,\you can transform back.\Yeah' response:	Yue-san, Please sleep on the bed.
context: Now what. Now what. Now what'\Now go to bed'\Since we can't do much about it now,\anyway, shall we get some rest?\Maybe tomorrow morning,\you can transform back.\Yeah'\Yue-san, Please sleep on the bed. response:	No. I'm fine.
context: Now go to bed'\Since we can't do much about it now,\anyway, shall we get some rest?\Maybe tomorrow morning,\you can transform back.\Yeah'\Yue-san, Please sleep on the bed.\No. I'm fine. response:	' But'' No problem.
context: Since we can't do much about it now,\anyway, shall we get some rest?\Maybe tomorrow morning,\you can transform back.\Yeah'\Yue-san, Please sleep on the bed.\No. I'm fine.\' But'' No problem. response:	How come you don't ask me,
context: anyway, shall we get some rest?\Maybe tomorrow morning,\you can transform back.\Yeah'\Yue-san, Please sleep on the bed.\No. I'm fine.\' But'' No problem.\How come you don't ask me, response:	Sakura?
context: Maybe tomorrow morning,\you can transform back.\Yeah'\Yue-san, Please sleep on the bed.\No. I'm fine.\' But'' No problem.\How come you don't ask me,\Sakura? response:	Huh?
context: you can transform back.\Yeah'\Yue-san, Please sleep on the bed.\No. I'm fine.\' But'' No problem.\How come you don't ask me,\Sakura?\Huh? response:	But Kero-chan,
context: Yeah'\Yue-san, Please sleep on the bed.\No. I'm fine.\' But'' No problem.\How come you don't ask me,\Sakura?\Huh?\But Kero-chan, response:	you are' well'
context: Yue-san, Please sleep on the bed.\No. I'm fine.\' But'' No problem.\How come you don't ask me,\Sakura?\Huh?\But Kero-chan,\you are' well' response:	Goodnight.
context: No. I'm fine.\' But'' No problem.\How come you don't ask me,\Sakura?\Huh?\But Kero-chan,\you are' well'\Goodnight. response:	I definitely
context: ' But'' No problem.\How come you don't ask me,\Sakura?\Huh?\But Kero-chan,\you are' well'\Goodnight.\I definitely response:	can't think of Yukito-san
context: How come you don't ask me,\Sakura?\Huh?\But Kero-chan,\you are' well'\Goodnight.\I definitely\can't think of Yukito-san response:	and Yue-san being the same person.
context: Sakura?\Huh?\But Kero-chan,\you are' well'\Goodnight.\I definitely\can't think of Yukito-san\and Yue-san being the same person. response:	But,
context: Huh?\But Kero-chan,\you are' well'\Goodnight.\I definitely\can't think of Yukito-san\and Yue-san being the same person.\But, response:	if Yue-san can't transform back,
context: But Kero-chan,\you are' well'\Goodnight.\I definitely\can't think of Yukito-san\and Yue-san being the same person.\But,\if Yue-san can't transform back, response:	then what happens to Yukito-san
context: you are' well'\Goodnight.\I definitely\can't think of Yukito-san\and Yue-san being the same person.\But,\if Yue-san can't transform back,\then what happens to Yukito-san response:	Sakura-chan.
context: Goodnight.\I definitely\can't think of Yukito-san\and Yue-san being the same person.\But,\if Yue-san can't transform back,\then what happens to Yukito-san\Sakura-chan. response:	To make sure that doesn't happen,
context: I definitely\can't think of Yukito-san\and Yue-san being the same person.\But,\if Yue-san can't transform back,\then what happens to Yukito-san\Sakura-chan.\To make sure that doesn't happen, response:	we have to think of something tomorrow.
context: can't think of Yukito-san\and Yue-san being the same person.\But,\if Yue-san can't transform back,\then what happens to Yukito-san\Sakura-chan.\To make sure that doesn't happen,\we have to think of something tomorrow. response:	Shall we try again?
context: and Yue-san being the same person.\But,\if Yue-san can't transform back,\then what happens to Yukito-san\Sakura-chan.\To make sure that doesn't happen,\we have to think of something tomorrow.\Shall we try again? response:	It's still not working.
context: But,\if Yue-san can't transform back,\then what happens to Yukito-san\Sakura-chan.\To make sure that doesn't happen,\we have to think of something tomorrow.\Shall we try again?\It's still not working. response:	What about Yue-san?
context: if Yue-san can't transform back,\then what happens to Yukito-san\Sakura-chan.\To make sure that doesn't happen,\we have to think of something tomorrow.\Shall we try again?\It's still not working.\What about Yue-san? response:	It really doesn't work?
context: then what happens to Yukito-san\Sakura-chan.\To make sure that doesn't happen,\we have to think of something tomorrow.\Shall we try again?\It's still not working.\What about Yue-san?\It really doesn't work? response:	Sakura-san, breakfast is ready'
context: Sakura-chan.\To make sure that doesn't happen,\we have to think of something tomorrow.\Shall we try again?\It's still not working.\What about Yue-san?\It really doesn't work?\Sakura-san, breakfast is ready' response:	Yes' yes'
context: To make sure that doesn't happen,\we have to think of something tomorrow.\Shall we try again?\It's still not working.\What about Yue-san?\It really doesn't work?\Sakura-san, breakfast is ready'\Yes' yes' response:	Just wait for me.
context: we have to think of something tomorrow.\Shall we try again?\It's still not working.\What about Yue-san?\It really doesn't work?\Sakura-san, breakfast is ready'\Yes' yes'\Just wait for me. response:	Thank you for the food.
context: Shall we try again?\It's still not working.\What about Yue-san?\It really doesn't work?\Sakura-san, breakfast is ready'\Yes' yes'\Just wait for me.\Thank you for the food. response:	It's sunday' I'm sorry.
context: It's still not working.\What about Yue-san?\It really doesn't work?\Sakura-san, breakfast is ready'\Yes' yes'\Just wait for me.\Thank you for the food.\It's sunday' I'm sorry. response:	No, that's fine'
context: What about Yue-san?\It really doesn't work?\Sakura-san, breakfast is ready'\Yes' yes'\Just wait for me.\Thank you for the food.\It's sunday' I'm sorry.\No, that's fine' response:	Well then, I'll be back'
context: It really doesn't work?\Sakura-san, breakfast is ready'\Yes' yes'\Just wait for me.\Thank you for the food.\It's sunday' I'm sorry.\No, that's fine'\Well then, I'll be back' response:	See you then.
context: Sakura-san, breakfast is ready'\Yes' yes'\Just wait for me.\Thank you for the food.\It's sunday' I'm sorry.\No, that's fine'\Well then, I'll be back'\See you then. response:	' I'm leaving too'' See you when you get back'
context: Yes' yes'\Just wait for me.\Thank you for the food.\It's sunday' I'm sorry.\No, that's fine'\Well then, I'll be back'\See you then.\' I'm leaving too'' See you when you get back' response:	But what can we do to
context: Just wait for me.\Thank you for the food.\It's sunday' I'm sorry.\No, that's fine'\Well then, I'll be back'\See you then.\' I'm leaving too'' See you when you get back'\But what can we do to response:	bring Kero-chan and Yue-san back?
context: Thank you for the food.\It's sunday' I'm sorry.\No, that's fine'\Well then, I'll be back'\See you then.\' I'm leaving too'' See you when you get back'\But what can we do to\bring Kero-chan and Yue-san back? response:	Stop eating snacks
context: It's sunday' I'm sorry.\No, that's fine'\Well then, I'll be back'\See you then.\' I'm leaving too'' See you when you get back'\But what can we do to\bring Kero-chan and Yue-san back?\Stop eating snacks response:	so mindlessly
context: No, that's fine'\Well then, I'll be back'\See you then.\' I'm leaving too'' See you when you get back'\But what can we do to\bring Kero-chan and Yue-san back?\Stop eating snacks\so mindlessly response:	and think of what we can do.
context: Well then, I'll be back'\See you then.\' I'm leaving too'' See you when you get back'\But what can we do to\bring Kero-chan and Yue-san back?\Stop eating snacks\so mindlessly\and think of what we can do. response:	Even if we are in a hurry,
context: See you then.\' I'm leaving too'' See you when you get back'\But what can we do to\bring Kero-chan and Yue-san back?\Stop eating snacks\so mindlessly\and think of what we can do.\Even if we are in a hurry, response:	it won't do anything
context: ' I'm leaving too'' See you when you get back'\But what can we do to\bring Kero-chan and Yue-san back?\Stop eating snacks\so mindlessly\and think of what we can do.\Even if we are in a hurry,\it won't do anything response:	Oh yeah, tonight is
context: But what can we do to\bring Kero-chan and Yue-san back?\Stop eating snacks\so mindlessly\and think of what we can do.\Even if we are in a hurry,\it won't do anything\Oh yeah, tonight is response:	your turn to cook dinner, right?
context: bring Kero-chan and Yue-san back?\Stop eating snacks\so mindlessly\and think of what we can do.\Even if we are in a hurry,\it won't do anything\Oh yeah, tonight is\your turn to cook dinner, right? response:	Don't you have
context: Stop eating snacks\so mindlessly\and think of what we can do.\Even if we are in a hurry,\it won't do anything\Oh yeah, tonight is\your turn to cook dinner, right?\Don't you have response:	a lot of things to do?
context: so mindlessly\and think of what we can do.\Even if we are in a hurry,\it won't do anything\Oh yeah, tonight is\your turn to cook dinner, right?\Don't you have\a lot of things to do? response:	But'
context: and think of what we can do.\Even if we are in a hurry,\it won't do anything\Oh yeah, tonight is\your turn to cook dinner, right?\Don't you have\a lot of things to do?\But' response:	Then should we not think about
context: Even if we are in a hurry,\it won't do anything\Oh yeah, tonight is\your turn to cook dinner, right?\Don't you have\a lot of things to do?\But'\Then should we not think about response:	this after you finish your chores?
context: it won't do anything\Oh yeah, tonight is\your turn to cook dinner, right?\Don't you have\a lot of things to do?\But'\Then should we not think about\this after you finish your chores? response:	If you don't do them,
context: Oh yeah, tonight is\your turn to cook dinner, right?\Don't you have\a lot of things to do?\But'\Then should we not think about\this after you finish your chores?\If you don't do them, response:	your big brother will nag at you.
context: your turn to cook dinner, right?\Don't you have\a lot of things to do?\But'\Then should we not think about\this after you finish your chores?\If you don't do them,\your big brother will nag at you. response:	I don't know how to say.
context: Don't you have\a lot of things to do?\But'\Then should we not think about\this after you finish your chores?\If you don't do them,\your big brother will nag at you.\I don't know how to say. response:	I guess so,
context: a lot of things to do?\But'\Then should we not think about\this after you finish your chores?\If you don't do them,\your big brother will nag at you.\I don't know how to say.\I guess so, response:	ok let's finish them.
context: But'\Then should we not think about\this after you finish your chores?\If you don't do them,\your big brother will nag at you.\I don't know how to say.\I guess so,\ok let's finish them. response:	Help me, Kero.
context: Then should we not think about\this after you finish your chores?\If you don't do them,\your big brother will nag at you.\I don't know how to say.\I guess so,\ok let's finish them.\Help me, Kero. response:	Huh? Why me?
context: this after you finish your chores?\If you don't do them,\your big brother will nag at you.\I don't know how to say.\I guess so,\ok let's finish them.\Help me, Kero.\Huh? Why me? response:	Doing things together will finish sooner.
context: If you don't do them,\your big brother will nag at you.\I don't know how to say.\I guess so,\ok let's finish them.\Help me, Kero.\Huh? Why me?\Doing things together will finish sooner. response:	Otherwise,
context: your big brother will nag at you.\I don't know how to say.\I guess so,\ok let's finish them.\Help me, Kero.\Huh? Why me?\Doing things together will finish sooner.\Otherwise, response:	my big brother will be back.
context: I don't know how to say.\I guess so,\ok let's finish them.\Help me, Kero.\Huh? Why me?\Doing things together will finish sooner.\Otherwise,\my big brother will be back. response:	I can't handle delicate objects
context: I guess so,\ok let's finish them.\Help me, Kero.\Huh? Why me?\Doing things together will finish sooner.\Otherwise,\my big brother will be back.\I can't handle delicate objects response:	with hands like this, in this form.
context: ok let's finish them.\Help me, Kero.\Huh? Why me?\Doing things together will finish sooner.\Otherwise,\my big brother will be back.\I can't handle delicate objects\with hands like this, in this form. response:	Would you please?
context: Help me, Kero.\Huh? Why me?\Doing things together will finish sooner.\Otherwise,\my big brother will be back.\I can't handle delicate objects\with hands like this, in this form.\Would you please? response:	Ok,
context: Huh? Why me?\Doing things together will finish sooner.\Otherwise,\my big brother will be back.\I can't handle delicate objects\with hands like this, in this form.\Would you please?\Ok, response:	then ask Yue too!
context: Doing things together will finish sooner.\Otherwise,\my big brother will be back.\I can't handle delicate objects\with hands like this, in this form.\Would you please?\Ok,\then ask Yue too! response:	It is unfair
context: Otherwise,\my big brother will be back.\I can't handle delicate objects\with hands like this, in this form.\Would you please?\Ok,\then ask Yue too!\It is unfair response:	to just ask me.
context: my big brother will be back.\I can't handle delicate objects\with hands like this, in this form.\Would you please?\Ok,\then ask Yue too!\It is unfair\to just ask me. response:	please take a rest here.
context: I can't handle delicate objects\with hands like this, in this form.\Would you please?\Ok,\then ask Yue too!\It is unfair\to just ask me.\please take a rest here. response:	Ahhh! Why are you saying that!?
context: with hands like this, in this form.\Would you please?\Ok,\then ask Yue too!\It is unfair\to just ask me.\please take a rest here.\Ahhh! Why are you saying that!? response:	Why do I have to help you day after day?
context: Would you please?\Ok,\then ask Yue too!\It is unfair\to just ask me.\please take a rest here.\Ahhh! Why are you saying that!?\Why do I have to help you day after day? response:	Things you won't make Yue do, I won't do either.
context: Ok,\then ask Yue too!\It is unfair\to just ask me.\please take a rest here.\Ahhh! Why are you saying that!?\Why do I have to help you day after day?\Things you won't make Yue do, I won't do either. response:	It would be better to ask for Yue's help too.
context: then ask Yue too!\It is unfair\to just ask me.\please take a rest here.\Ahhh! Why are you saying that!?\Why do I have to help you day after day?\Things you won't make Yue do, I won't do either.\It would be better to ask for Yue's help too. response:	Rice washing Yue,
context: It is unfair\to just ask me.\please take a rest here.\Ahhh! Why are you saying that!?\Why do I have to help you day after day?\Things you won't make Yue do, I won't do either.\It would be better to ask for Yue's help too.\Rice washing Yue, response:	bathtub cleaning Yue,
context: to just ask me.\please take a rest here.\Ahhh! Why are you saying that!?\Why do I have to help you day after day?\Things you won't make Yue do, I won't do either.\It would be better to ask for Yue's help too.\Rice washing Yue,\bathtub cleaning Yue, response:	laudry laying Yue, dusting Yue!
context: please take a rest here.\Ahhh! Why are you saying that!?\Why do I have to help you day after day?\Things you won't make Yue do, I won't do either.\It would be better to ask for Yue's help too.\Rice washing Yue,\bathtub cleaning Yue,\laudry laying Yue, dusting Yue! response:	I think you should help out with household chores too.
context: Ahhh! Why are you saying that!?\Why do I have to help you day after day?\Things you won't make Yue do, I won't do either.\It would be better to ask for Yue's help too.\Rice washing Yue,\bathtub cleaning Yue,\laudry laying Yue, dusting Yue!\I think you should help out with household chores too. response:	Hrm? I'm ok.
context: Why do I have to help you day after day?\Things you won't make Yue do, I won't do either.\It would be better to ask for Yue's help too.\Rice washing Yue,\bathtub cleaning Yue,\laudry laying Yue, dusting Yue!\I think you should help out with household chores too.\Hrm? I'm ok. response:	Since I'm cute!
context: Things you won't make Yue do, I won't do either.\It would be better to ask for Yue's help too.\Rice washing Yue,\bathtub cleaning Yue,\laudry laying Yue, dusting Yue!\I think you should help out with household chores too.\Hrm? I'm ok.\Since I'm cute! response:	Coming!
context: It would be better to ask for Yue's help too.\Rice washing Yue,\bathtub cleaning Yue,\laudry laying Yue, dusting Yue!\I think you should help out with household chores too.\Hrm? I'm ok.\Since I'm cute!\Coming! response:	Kinomoto-san, package.
context: Rice washing Yue,\bathtub cleaning Yue,\laudry laying Yue, dusting Yue!\I think you should help out with household chores too.\Hrm? I'm ok.\Since I'm cute!\Coming!\Kinomoto-san, package. response:	Do you have a stamp?
context: bathtub cleaning Yue,\laudry laying Yue, dusting Yue!\I think you should help out with household chores too.\Hrm? I'm ok.\Since I'm cute!\Coming!\Kinomoto-san, package.\Do you have a stamp? response:	Ah, please wait a moment.
context: laudry laying Yue, dusting Yue!\I think you should help out with household chores too.\Hrm? I'm ok.\Since I'm cute!\Coming!\Kinomoto-san, package.\Do you have a stamp?\Ah, please wait a moment. response:	Here you go!
context: I think you should help out with household chores too.\Hrm? I'm ok.\Since I'm cute!\Coming!\Kinomoto-san, package.\Do you have a stamp?\Ah, please wait a moment.\Here you go! response:	Here'
context: Hrm? I'm ok.\Since I'm cute!\Coming!\Kinomoto-san, package.\Do you have a stamp?\Ah, please wait a moment.\Here you go!\Here' response:	It will go bad,
context: Since I'm cute!\Coming!\Kinomoto-san, package.\Do you have a stamp?\Ah, please wait a moment.\Here you go!\Here'\It will go bad, response:	so put it in the fridge.
context: Coming!\Kinomoto-san, package.\Do you have a stamp?\Ah, please wait a moment.\Here you go!\Here'\It will go bad,\so put it in the fridge. response:	Ok. Understand.
context: Kinomoto-san, package.\Do you have a stamp?\Ah, please wait a moment.\Here you go!\Here'\It will go bad,\so put it in the fridge.\Ok. Understand. response:	Keep up the good work.
context: Do you have a stamp?\Ah, please wait a moment.\Here you go!\Here'\It will go bad,\so put it in the fridge.\Ok. Understand.\Keep up the good work. response:	Thank you.
context: Ah, please wait a moment.\Here you go!\Here'\It will go bad,\so put it in the fridge.\Ok. Understand.\Keep up the good work.\Thank you. response:	What were you thinking?
context: Here you go!\Here'\It will go bad,\so put it in the fridge.\Ok. Understand.\Keep up the good work.\Thank you.\What were you thinking? response:	I had something to ask you'
context: Here'\It will go bad,\so put it in the fridge.\Ok. Understand.\Keep up the good work.\Thank you.\What were you thinking?\I had something to ask you' response:	Dumping this I guess'
context: It will go bad,\so put it in the fridge.\Ok. Understand.\Keep up the good work.\Thank you.\What were you thinking?\I had something to ask you'\Dumping this I guess' response:	It is difficult to hold it.
context: so put it in the fridge.\Ok. Understand.\Keep up the good work.\Thank you.\What were you thinking?\I had something to ask you'\Dumping this I guess'\It is difficult to hold it. response:	I started the laundry.
context: Ok. Understand.\Keep up the good work.\Thank you.\What were you thinking?\I had something to ask you'\Dumping this I guess'\It is difficult to hold it.\I started the laundry. response:	Well done.
context: Keep up the good work.\Thank you.\What were you thinking?\I had something to ask you'\Dumping this I guess'\It is difficult to hold it.\I started the laundry.\Well done. response:	Why aren't you making Yue do anything?
context: Thank you.\What were you thinking?\I had something to ask you'\Dumping this I guess'\It is difficult to hold it.\I started the laundry.\Well done.\Why aren't you making Yue do anything? response:	Clow and you
context: What were you thinking?\I had something to ask you'\Dumping this I guess'\It is difficult to hold it.\I started the laundry.\Well done.\Why aren't you making Yue do anything?\Clow and you response:	both treat Yue too nice'
context: I had something to ask you'\Dumping this I guess'\It is difficult to hold it.\I started the laundry.\Well done.\Why aren't you making Yue do anything?\Clow and you\both treat Yue too nice' response:	Take this'
context: Dumping this I guess'\It is difficult to hold it.\I started the laundry.\Well done.\Why aren't you making Yue do anything?\Clow and you\both treat Yue too nice'\Take this' response:	No! Don't do it!!!
context: It is difficult to hold it.\I started the laundry.\Well done.\Why aren't you making Yue do anything?\Clow and you\both treat Yue too nice'\Take this'\No! Don't do it!!! response:	Hrm, how can we get you cleaned up?
context: I started the laundry.\Well done.\Why aren't you making Yue do anything?\Clow and you\both treat Yue too nice'\Take this'\No! Don't do it!!!\Hrm, how can we get you cleaned up? response:	Do you have the Bubble card?
context: Well done.\Why aren't you making Yue do anything?\Clow and you\both treat Yue too nice'\Take this'\No! Don't do it!!!\Hrm, how can we get you cleaned up?\Do you have the Bubble card? response:	' Yeah.' Use that card on me'
context: Why aren't you making Yue do anything?\Clow and you\both treat Yue too nice'\Take this'\No! Don't do it!!!\Hrm, how can we get you cleaned up?\Do you have the Bubble card?\' Yeah.' Use that card on me' response:	' Is that ok?' But
context: Clow and you\both treat Yue too nice'\Take this'\No! Don't do it!!!\Hrm, how can we get you cleaned up?\Do you have the Bubble card?\' Yeah.' Use that card on me'\' Is that ok?' But response:	since you shouldn't overdo it,
context: both treat Yue too nice'\Take this'\No! Don't do it!!!\Hrm, how can we get you cleaned up?\Do you have the Bubble card?\' Yeah.' Use that card on me'\' Is that ok?' But\since you shouldn't overdo it, response:	make sure you wish sincerely
context: Take this'\No! Don't do it!!!\Hrm, how can we get you cleaned up?\Do you have the Bubble card?\' Yeah.' Use that card on me'\' Is that ok?' But\since you shouldn't overdo it,\make sure you wish sincerely response:	that you want to clean me before using it.
context: No! Don't do it!!!\Hrm, how can we get you cleaned up?\Do you have the Bubble card?\' Yeah.' Use that card on me'\' Is that ok?' But\since you shouldn't overdo it,\make sure you wish sincerely\that you want to clean me before using it. response:	I get it.
