context: This is the first meeting of the Council of 101 in ten years. response:	Members of the Council. Why have you brought us here?
context: True Calendar year 71.\It's been two months since Module 77 withstood Dorssia's attacks\and arrived at the neutral territory of the Moon.\They appealed to the international community, denouncing the Dorssian occupation of JIOR as unjust\and proclaiming themselves to be the legitimate representatives of JIOR.\The world celebrated them as tragic heroes.\Haruto Tokishima became the symbol of the struggle against Dorssian oppression.\Saki Rukino's songs became bestsellers that were sung response:	around the world as anthems directed towards students.
context: It's been two months since Module 77 withstood Dorssia's attacks\and arrived at the neutral territory of the Moon.\They appealed to the international community, denouncing the Dorssian occupation of JIOR as unjust\and proclaiming themselves to be the legitimate representatives of JIOR.\The world celebrated them as tragic heroes.\Haruto Tokishima became the symbol of the struggle against Dorssian oppression.\Saki Rukino's songs became bestsellers that were sung\around the world as anthems directed towards students. response:	They collected historic amounts of material aid and funding,
context: and arrived at the neutral territory of the Moon.\They appealed to the international community, denouncing the Dorssian occupation of JIOR as unjust\and proclaiming themselves to be the legitimate representatives of JIOR.\The world celebrated them as tragic heroes.\Haruto Tokishima became the symbol of the struggle against Dorssian oppression.\Saki Rukino's songs became bestsellers that were sung\around the world as anthems directed towards students.\They collected historic amounts of material aid and funding, response:	and had finally found peace for the time being.
context: They appealed to the international community, denouncing the Dorssian occupation of JIOR as unjust\and proclaiming themselves to be the legitimate representatives of JIOR.\The world celebrated them as tragic heroes.\Haruto Tokishima became the symbol of the struggle against Dorssian oppression.\Saki Rukino's songs became bestsellers that were sung\around the world as anthems directed towards students.\They collected historic amounts of material aid and funding,\and had finally found peace for the time being. response:	However...
context: and proclaiming themselves to be the legitimate representatives of JIOR.\The world celebrated them as tragic heroes.\Haruto Tokishima became the symbol of the struggle against Dorssian oppression.\Saki Rukino's songs became bestsellers that were sung\around the world as anthems directed towards students.\They collected historic amounts of material aid and funding,\and had finally found peace for the time being.\However... response:	Given the position ARUS is in, we cannot allow it.
context: The world celebrated them as tragic heroes.\Haruto Tokishima became the symbol of the struggle against Dorssian oppression.\Saki Rukino's songs became bestsellers that were sung\around the world as anthems directed towards students.\They collected historic amounts of material aid and funding,\and had finally found peace for the time being.\However...\Given the position ARUS is in, we cannot allow it. response:	Why not? We're only sending out the call for
context: Haruto Tokishima became the symbol of the struggle against Dorssian oppression.\Saki Rukino's songs became bestsellers that were sung\around the world as anthems directed towards students.\They collected historic amounts of material aid and funding,\and had finally found peace for the time being.\However...\Given the position ARUS is in, we cannot allow it.\Why not? We're only sending out the call for response:	all JIORans who were stranded to come to this Module.
context: Saki Rukino's songs became bestsellers that were sung\around the world as anthems directed towards students.\They collected historic amounts of material aid and funding,\and had finally found peace for the time being.\However...\Given the position ARUS is in, we cannot allow it.\Why not? We're only sending out the call for\all JIORans who were stranded to come to this Module. response:	There is a risk that Dorssian spies would be mingled among them.
context: around the world as anthems directed towards students.\They collected historic amounts of material aid and funding,\and had finally found peace for the time being.\However...\Given the position ARUS is in, we cannot allow it.\Why not? We're only sending out the call for\all JIORans who were stranded to come to this Module.\There is a risk that Dorssian spies would be mingled among them. response:	For that reason, we will continue to oversee customs control.
context: They collected historic amounts of material aid and funding,\and had finally found peace for the time being.\However...\Given the position ARUS is in, we cannot allow it.\Why not? We're only sending out the call for\all JIORans who were stranded to come to this Module.\There is a risk that Dorssian spies would be mingled among them.\For that reason, we will continue to oversee customs control. response:	At the very least, let us bring in doctors and government officials!
context: and had finally found peace for the time being.\However...\Given the position ARUS is in, we cannot allow it.\Why not? We're only sending out the call for\all JIORans who were stranded to come to this Module.\There is a risk that Dorssian spies would be mingled among them.\For that reason, we will continue to oversee customs control.\At the very least, let us bring in doctors and government officials! response:	We will provide all necessary personnel.
context: However...\Given the position ARUS is in, we cannot allow it.\Why not? We're only sending out the call for\all JIORans who were stranded to come to this Module.\There is a risk that Dorssian spies would be mingled among them.\For that reason, we will continue to oversee customs control.\At the very least, let us bring in doctors and government officials!\We will provide all necessary personnel. response:	Please don't worry.
context: Given the position ARUS is in, we cannot allow it.\Why not? We're only sending out the call for\all JIORans who were stranded to come to this Module.\There is a risk that Dorssian spies would be mingled among them.\For that reason, we will continue to oversee customs control.\At the very least, let us bring in doctors and government officials!\We will provide all necessary personnel.\Please don't worry. response:	Up next is the management of overseas assets.
context: Why not? We're only sending out the call for\all JIORans who were stranded to come to this Module.\There is a risk that Dorssian spies would be mingled among them.\For that reason, we will continue to oversee customs control.\At the very least, let us bring in doctors and government officials!\We will provide all necessary personnel.\Please don't worry.\Up next is the management of overseas assets. response:	I assume that none of you have gotten around to it?
context: all JIORans who were stranded to come to this Module.\There is a risk that Dorssian spies would be mingled among them.\For that reason, we will continue to oversee customs control.\At the very least, let us bring in doctors and government officials!\We will provide all necessary personnel.\Please don't worry.\Up next is the management of overseas assets.\I assume that none of you have gotten around to it? response:	Well, we...
context: There is a risk that Dorssian spies would be mingled among them.\For that reason, we will continue to oversee customs control.\At the very least, let us bring in doctors and government officials!\We will provide all necessary personnel.\Please don't worry.\Up next is the management of overseas assets.\I assume that none of you have gotten around to it?\Well, we... response:	Are any of you qualified to perform an audit? Even real-world work experience would be fine.
context: For that reason, we will continue to oversee customs control.\At the very least, let us bring in doctors and government officials!\We will provide all necessary personnel.\Please don't worry.\Up next is the management of overseas assets.\I assume that none of you have gotten around to it?\Well, we...\Are any of you qualified to perform an audit? Even real-world work experience would be fine. response:	That isn't...
context: At the very least, let us bring in doctors and government officials!\We will provide all necessary personnel.\Please don't worry.\Up next is the management of overseas assets.\I assume that none of you have gotten around to it?\Well, we...\Are any of you qualified to perform an audit? Even real-world work experience would be fine.\That isn't... response:	In that case, let's move on to the next order of business.
context: We will provide all necessary personnel.\Please don't worry.\Up next is the management of overseas assets.\I assume that none of you have gotten around to it?\Well, we...\Are any of you qualified to perform an audit? Even real-world work experience would be fine.\That isn't...\In that case, let's move on to the next order of business. response:	If you would turn to page 314...
context: Please don't worry.\Up next is the management of overseas assets.\I assume that none of you have gotten around to it?\Well, we...\Are any of you qualified to perform an audit? Even real-world work experience would be fine.\That isn't...\In that case, let's move on to the next order of business.\If you would turn to page 314... response:	Regarding the hygiene management of imported goods, we will act on your behalf in this matter, as well.
context: Up next is the management of overseas assets.\I assume that none of you have gotten around to it?\Well, we...\Are any of you qualified to perform an audit? Even real-world work experience would be fine.\That isn't...\In that case, let's move on to the next order of business.\If you would turn to page 314...\Regarding the hygiene management of imported goods, we will act on your behalf in this matter, as well. response:	Is that amenable to you?
context: I assume that none of you have gotten around to it?\Well, we...\Are any of you qualified to perform an audit? Even real-world work experience would be fine.\That isn't...\In that case, let's move on to the next order of business.\If you would turn to page 314...\Regarding the hygiene management of imported goods, we will act on your behalf in this matter, as well.\Is that amenable to you? response:	The interval between attacks is getting shorter.
context: Well, we...\Are any of you qualified to perform an audit? Even real-world work experience would be fine.\That isn't...\In that case, let's move on to the next order of business.\If you would turn to page 314...\Regarding the hygiene management of imported goods, we will act on your behalf in this matter, as well.\Is that amenable to you?\The interval between attacks is getting shorter. response:	Is it proportional to the amount of time spent at a Valvrave's controls, as I thought?
context: Are any of you qualified to perform an audit? Even real-world work experience would be fine.\That isn't...\In that case, let's move on to the next order of business.\If you would turn to page 314...\Regarding the hygiene management of imported goods, we will act on your behalf in this matter, as well.\Is that amenable to you?\The interval between attacks is getting shorter.\Is it proportional to the amount of time spent at a Valvrave's controls, as I thought? response:	The conclusion this leads me to is that Runes actually exist.
context: That isn't...\In that case, let's move on to the next order of business.\If you would turn to page 314...\Regarding the hygiene management of imported goods, we will act on your behalf in this matter, as well.\Is that amenable to you?\The interval between attacks is getting shorter.\Is it proportional to the amount of time spent at a Valvrave's controls, as I thought?\The conclusion this leads me to is that Runes actually exist. response:	Working under that assumption, it would explain all the phenomena.
context: In that case, let's move on to the next order of business.\If you would turn to page 314...\Regarding the hygiene management of imported goods, we will act on your behalf in this matter, as well.\Is that amenable to you?\The interval between attacks is getting shorter.\Is it proportional to the amount of time spent at a Valvrave's controls, as I thought?\The conclusion this leads me to is that Runes actually exist.\Working under that assumption, it would explain all the phenomena. response:	What about Unit 1's avatar?
context: If you would turn to page 314...\Regarding the hygiene management of imported goods, we will act on your behalf in this matter, as well.\Is that amenable to you?\The interval between attacks is getting shorter.\Is it proportional to the amount of time spent at a Valvrave's controls, as I thought?\The conclusion this leads me to is that Runes actually exist.\Working under that assumption, it would explain all the phenomena.\What about Unit 1's avatar? response:	Her lips are sealed. She really spoke?
context: Regarding the hygiene management of imported goods, we will act on your behalf in this matter, as well.\Is that amenable to you?\The interval between attacks is getting shorter.\Is it proportional to the amount of time spent at a Valvrave's controls, as I thought?\The conclusion this leads me to is that Runes actually exist.\Working under that assumption, it would explain all the phenomena.\What about Unit 1's avatar?\Her lips are sealed. She really spoke? response:	What are you doing?!
context: Is that amenable to you?\The interval between attacks is getting shorter.\Is it proportional to the amount of time spent at a Valvrave's controls, as I thought?\The conclusion this leads me to is that Runes actually exist.\Working under that assumption, it would explain all the phenomena.\What about Unit 1's avatar?\Her lips are sealed. She really spoke?\What are you doing?! response:	Haruto? Are you okay?
context: The interval between attacks is getting shorter.\Is it proportional to the amount of time spent at a Valvrave's controls, as I thought?\The conclusion this leads me to is that Runes actually exist.\Working under that assumption, it would explain all the phenomena.\What about Unit 1's avatar?\Her lips are sealed. She really spoke?\What are you doing?!\Haruto? Are you okay? response:	Haruto! Haruto!
context: Is it proportional to the amount of time spent at a Valvrave's controls, as I thought?\The conclusion this leads me to is that Runes actually exist.\Working under that assumption, it would explain all the phenomena.\What about Unit 1's avatar?\Her lips are sealed. She really spoke?\What are you doing?!\Haruto? Are you okay?\Haruto! Haruto! response:	You liars! You said you'd just run some tests, but he's locked up like a lab rat!
context: The conclusion this leads me to is that Runes actually exist.\Working under that assumption, it would explain all the phenomena.\What about Unit 1's avatar?\Her lips are sealed. She really spoke?\What are you doing?!\Haruto? Are you okay?\Haruto! Haruto!\You liars! You said you'd just run some tests, but he's locked up like a lab rat! response:	Stop... it...
context: Working under that assumption, it would explain all the phenomena.\What about Unit 1's avatar?\Her lips are sealed. She really spoke?\What are you doing?!\Haruto? Are you okay?\Haruto! Haruto!\You liars! You said you'd just run some tests, but he's locked up like a lab rat!\Stop... it... response:	I asked... them to...
context: What about Unit 1's avatar?\Her lips are sealed. She really spoke?\What are you doing?!\Haruto? Are you okay?\Haruto! Haruto!\You liars! You said you'd just run some tests, but he's locked up like a lab rat!\Stop... it...\I asked... them to... response:	It was Haruto Tokishima who proposed conducting these human experiments.
context: Her lips are sealed. She really spoke?\What are you doing?!\Haruto? Are you okay?\Haruto! Haruto!\You liars! You said you'd just run some tests, but he's locked up like a lab rat!\Stop... it...\I asked... them to...\It was Haruto Tokishima who proposed conducting these human experiments. response:	It's vital that we learn more about the Valvraves and Kamitsuki.
context: What are you doing?!\Haruto? Are you okay?\Haruto! Haruto!\You liars! You said you'd just run some tests, but he's locked up like a lab rat!\Stop... it...\I asked... them to...\It was Haruto Tokishima who proposed conducting these human experiments.\It's vital that we learn more about the Valvraves and Kamitsuki. response:	Even so, that doesn't mean you have to lock him in here!
context: Haruto? Are you okay?\Haruto! Haruto!\You liars! You said you'd just run some tests, but he's locked up like a lab rat!\Stop... it...\I asked... them to...\It was Haruto Tokishima who proposed conducting these human experiments.\It's vital that we learn more about the Valvraves and Kamitsuki.\Even so, that doesn't mean you have to lock him in here! response:	It was also Haruto Tokishima who asked us to lock him up so that he wouldn't attack anyone.
context: Haruto! Haruto!\You liars! You said you'd just run some tests, but he's locked up like a lab rat!\Stop... it...\I asked... them to...\It was Haruto Tokishima who proposed conducting these human experiments.\It's vital that we learn more about the Valvraves and Kamitsuki.\Even so, that doesn't mean you have to lock him in here!\It was also Haruto Tokishima who asked us to lock him up so that he wouldn't attack anyone. response:	I can't let anything like that happen again... So I...
context: You liars! You said you'd just run some tests, but he's locked up like a lab rat!\Stop... it...\I asked... them to...\It was Haruto Tokishima who proposed conducting these human experiments.\It's vital that we learn more about the Valvraves and Kamitsuki.\Even so, that doesn't mean you have to lock him in here!\It was also Haruto Tokishima who asked us to lock him up so that he wouldn't attack anyone.\I can't let anything like that happen again... So I... response:	Haruto...
context: Stop... it...\I asked... them to...\It was Haruto Tokishima who proposed conducting these human experiments.\It's vital that we learn more about the Valvraves and Kamitsuki.\Even so, that doesn't mean you have to lock him in here!\It was also Haruto Tokishima who asked us to lock him up so that he wouldn't attack anyone.\I can't let anything like that happen again... So I...\Haruto... response:	As time passes, their popularity will wane and the masses will lose interest.
