context: It couldn't be... Is she Earthland's... response:	She's... Edolas's me?
context: It's totally working! Keep attacking!\Wool Shot!\Even though we're getting beat...\It feels good...\Do me more...\Wool Wall!\I could get used to this...\Now's our chance, everyone! response:	Did I do a good job?
context: Wool Shot!\Even though we're getting beat...\It feels good...\Do me more...\Wool Wall!\I could get used to this...\Now's our chance, everyone!\Did I do a good job? response:	I'm sorry...
context: Even though we're getting beat...\It feels good...\Do me more...\Wool Wall!\I could get used to this...\Now's our chance, everyone!\Did I do a good job?\I'm sorry... response:	Poofy is the best!
context: It feels good...\Do me more...\Wool Wall!\I could get used to this...\Now's our chance, everyone!\Did I do a good job?\I'm sorry...\Poofy is the best! response:	Nice, Lucy!
context: Do me more...\Wool Wall!\I could get used to this...\Now's our chance, everyone!\Did I do a good job?\I'm sorry...\Poofy is the best!\Nice, Lucy! response:	Ah, I think I feel good, too!
context: Wool Wall!\I could get used to this...\Now's our chance, everyone!\Did I do a good job?\I'm sorry...\Poofy is the best!\Nice, Lucy!\Ah, I think I feel good, too! response:	This is Earthland's magic?
context: I could get used to this...\Now's our chance, everyone!\Did I do a good job?\I'm sorry...\Poofy is the best!\Nice, Lucy!\Ah, I think I feel good, too!\This is Earthland's magic? response:	We should be okay after running this far, right?
context: Now's our chance, everyone!\Did I do a good job?\I'm sorry...\Poofy is the best!\Nice, Lucy!\Ah, I think I feel good, too!\This is Earthland's magic?\We should be okay after running this far, right? response:	But, how did you get to Edolas?
context: Did I do a good job?\I'm sorry...\Poofy is the best!\Nice, Lucy!\Ah, I think I feel good, too!\This is Earthland's magic?\We should be okay after running this far, right?\But, how did you get to Edolas? response:	We were all worried that you'd been turned into a lacrima, Lucy-san.
context: I'm sorry...\Poofy is the best!\Nice, Lucy!\Ah, I think I feel good, too!\This is Earthland's magic?\We should be okay after running this far, right?\But, how did you get to Edolas?\We were all worried that you'd been turned into a lacrima, Lucy-san. response:	Horologium and Mystogan saved me.
context: Poofy is the best!\Nice, Lucy!\Ah, I think I feel good, too!\This is Earthland's magic?\We should be okay after running this far, right?\But, how did you get to Edolas?\We were all worried that you'd been turned into a lacrima, Lucy-san.\Horologium and Mystogan saved me. response:	Horologium?
context: Nice, Lucy!\Ah, I think I feel good, too!\This is Earthland's magic?\We should be okay after running this far, right?\But, how did you get to Edolas?\We were all worried that you'd been turned into a lacrima, Lucy-san.\Horologium and Mystogan saved me.\Horologium? response:	Mystogan?
context: Ah, I think I feel good, too!\This is Earthland's magic?\We should be okay after running this far, right?\But, how did you get to Edolas?\We were all worried that you'd been turned into a lacrima, Lucy-san.\Horologium and Mystogan saved me.\Horologium?\Mystogan? response:	What happened?
context: This is Earthland's magic?\We should be okay after running this far, right?\But, how did you get to Edolas?\We were all worried that you'd been turned into a lacrima, Lucy-san.\Horologium and Mystogan saved me.\Horologium?\Mystogan?\What happened? response:	Is this... Magnolia?
context: We should be okay after running this far, right?\But, how did you get to Edolas?\We were all worried that you'd been turned into a lacrima, Lucy-san.\Horologium and Mystogan saved me.\Horologium?\Mystogan?\What happened?\Is this... Magnolia? response:	It was quite sudden, and I did not have time to explain.
context: But, how did you get to Edolas?\We were all worried that you'd been turned into a lacrima, Lucy-san.\Horologium and Mystogan saved me.\Horologium?\Mystogan?\What happened?\Is this... Magnolia?\It was quite sudden, and I did not have time to explain. response:	I am the one who saved you, Lucy-sama.
context: We were all worried that you'd been turned into a lacrima, Lucy-san.\Horologium and Mystogan saved me.\Horologium?\Mystogan?\What happened?\Is this... Magnolia?\It was quite sudden, and I did not have time to explain.\I am the one who saved you, Lucy-sama. response:	Saved me? What do you mean?
context: Horologium and Mystogan saved me.\Horologium?\Mystogan?\What happened?\Is this... Magnolia?\It was quite sudden, and I did not have time to explain.\I am the one who saved you, Lucy-sama.\Saved me? What do you mean? response:	I sensed a fluctuation in space-time.
context: Horologium?\Mystogan?\What happened?\Is this... Magnolia?\It was quite sudden, and I did not have time to explain.\I am the one who saved you, Lucy-sama.\Saved me? What do you mean?\I sensed a fluctuation in space-time. response:	I appeared without you summoning me,
context: Mystogan?\What happened?\Is this... Magnolia?\It was quite sudden, and I did not have time to explain.\I am the one who saved you, Lucy-sama.\Saved me? What do you mean?\I sensed a fluctuation in space-time.\I appeared without you summoning me, response:	and took you inside of me.
context: What happened?\Is this... Magnolia?\It was quite sudden, and I did not have time to explain.\I am the one who saved you, Lucy-sama.\Saved me? What do you mean?\I sensed a fluctuation in space-time.\I appeared without you summoning me,\and took you inside of me. response:	What about everyone else?
context: Is this... Magnolia?\It was quite sudden, and I did not have time to explain.\I am the one who saved you, Lucy-sama.\Saved me? What do you mean?\I sensed a fluctuation in space-time.\I appeared without you summoning me,\and took you inside of me.\What about everyone else? response:	Where's Natsu, Erza, Gray, Wendy, and the others?
context: It was quite sudden, and I did not have time to explain.\I am the one who saved you, Lucy-sama.\Saved me? What do you mean?\I sensed a fluctuation in space-time.\I appeared without you summoning me,\and took you inside of me.\What about everyone else?\Where's Natsu, Erza, Gray, Wendy, and the others? response:	I apologize, but I do not understand what has happened myself.
context: I am the one who saved you, Lucy-sama.\Saved me? What do you mean?\I sensed a fluctuation in space-time.\I appeared without you summoning me,\and took you inside of me.\What about everyone else?\Where's Natsu, Erza, Gray, Wendy, and the others?\I apologize, but I do not understand what has happened myself. response:	Lucy, you are safe?
context: Saved me? What do you mean?\I sensed a fluctuation in space-time.\I appeared without you summoning me,\and took you inside of me.\What about everyone else?\Where's Natsu, Erza, Gray, Wendy, and the others?\I apologize, but I do not understand what has happened myself.\Lucy, you are safe? response:	I am Mystogan.
context: I sensed a fluctuation in space-time.\I appeared without you summoning me,\and took you inside of me.\What about everyone else?\Where's Natsu, Erza, Gray, Wendy, and the others?\I apologize, but I do not understand what has happened myself.\Lucy, you are safe?\I am Mystogan. response:	Mystogan?
context: I appeared without you summoning me,\and took you inside of me.\What about everyone else?\Where's Natsu, Erza, Gray, Wendy, and the others?\I apologize, but I do not understand what has happened myself.\Lucy, you are safe?\I am Mystogan.\Mystogan? response:	This is the first time we've greeted each other, yes?
context: and took you inside of me.\What about everyone else?\Where's Natsu, Erza, Gray, Wendy, and the others?\I apologize, but I do not understand what has happened myself.\Lucy, you are safe?\I am Mystogan.\Mystogan?\This is the first time we've greeted each other, yes? response:	Mystogan?
context: What about everyone else?\Where's Natsu, Erza, Gray, Wendy, and the others?\I apologize, but I do not understand what has happened myself.\Lucy, you are safe?\I am Mystogan.\Mystogan?\This is the first time we've greeted each other, yes?\Mystogan? response:	So that means he's safe, too?
context: Where's Natsu, Erza, Gray, Wendy, and the others?\I apologize, but I do not understand what has happened myself.\Lucy, you are safe?\I am Mystogan.\Mystogan?\This is the first time we've greeted each other, yes?\Mystogan?\So that means he's safe, too? response:	Then, he explained what was going on to me.
context: I apologize, but I do not understand what has happened myself.\Lucy, you are safe?\I am Mystogan.\Mystogan?\This is the first time we've greeted each other, yes?\Mystogan?\So that means he's safe, too?\Then, he explained what was going on to me. response:	Edolas? Another world?!
context: Lucy, you are safe?\I am Mystogan.\Mystogan?\This is the first time we've greeted each other, yes?\Mystogan?\So that means he's safe, too?\Then, he explained what was going on to me.\Edolas? Another world?! response:	What the heck are you talking about?
context: I am Mystogan.\Mystogan?\This is the first time we've greeted each other, yes?\Mystogan?\So that means he's safe, too?\Then, he explained what was going on to me.\Edolas? Another world?!\What the heck are you talking about? response:	There is not time for a thorough explanation.
context: Mystogan?\This is the first time we've greeted each other, yes?\Mystogan?\So that means he's safe, too?\Then, he explained what was going on to me.\Edolas? Another world?!\What the heck are you talking about?\There is not time for a thorough explanation. response:	If we do not hurry, the entrance to Edolas will seal off.
context: This is the first time we've greeted each other, yes?\Mystogan?\So that means he's safe, too?\Then, he explained what was going on to me.\Edolas? Another world?!\What the heck are you talking about?\There is not time for a thorough explanation.\If we do not hurry, the entrance to Edolas will seal off. response:	Wait a sec! You want me to go to this Edolas place?
context: Mystogan?\So that means he's safe, too?\Then, he explained what was going on to me.\Edolas? Another world?!\What the heck are you talking about?\There is not time for a thorough explanation.\If we do not hurry, the entrance to Edolas will seal off.\Wait a sec! You want me to go to this Edolas place? response:	Yes. I want you to save our friends.
context: So that means he's safe, too?\Then, he explained what was going on to me.\Edolas? Another world?!\What the heck are you talking about?\There is not time for a thorough explanation.\If we do not hurry, the entrance to Edolas will seal off.\Wait a sec! You want me to go to this Edolas place?\Yes. I want you to save our friends. response:	I will search for anyone else who may have survived.
context: Then, he explained what was going on to me.\Edolas? Another world?!\What the heck are you talking about?\There is not time for a thorough explanation.\If we do not hurry, the entrance to Edolas will seal off.\Wait a sec! You want me to go to this Edolas place?\Yes. I want you to save our friends.\I will search for anyone else who may have survived. response:	Eat this.
context: Edolas? Another world?!\What the heck are you talking about?\There is not time for a thorough explanation.\If we do not hurry, the entrance to Edolas will seal off.\Wait a sec! You want me to go to this Edolas place?\Yes. I want you to save our friends.\I will search for anyone else who may have survived.\Eat this. response:	What's that?
context: What the heck are you talking about?\There is not time for a thorough explanation.\If we do not hurry, the entrance to Edolas will seal off.\Wait a sec! You want me to go to this Edolas place?\Yes. I want you to save our friends.\I will search for anyone else who may have survived.\Eat this.\What's that? response:	I don't have time to explain.
context: There is not time for a thorough explanation.\If we do not hurry, the entrance to Edolas will seal off.\Wait a sec! You want me to go to this Edolas place?\Yes. I want you to save our friends.\I will search for anyone else who may have survived.\Eat this.\What's that?\I don't have time to explain. response:	Hurry!
context: If we do not hurry, the entrance to Edolas will seal off.\Wait a sec! You want me to go to this Edolas place?\Yes. I want you to save our friends.\I will search for anyone else who may have survived.\Eat this.\What's that?\I don't have time to explain.\Hurry! response:	Wait a sec!
context: Wait a sec! You want me to go to this Edolas place?\Yes. I want you to save our friends.\I will search for anyone else who may have survived.\Eat this.\What's that?\I don't have time to explain.\Hurry!\Wait a sec! response:	Give me more details!
context: Yes. I want you to save our friends.\I will search for anyone else who may have survived.\Eat this.\What's that?\I don't have time to explain.\Hurry!\Wait a sec!\Give me more details! response:	I'm counting on you, Lucy...
context: I will search for anyone else who may have survived.\Eat this.\What's that?\I don't have time to explain.\Hurry!\Wait a sec!\Give me more details!\I'm counting on you, Lucy... response:	This is... Edolas?
context: Eat this.\What's that?\I don't have time to explain.\Hurry!\Wait a sec!\Give me more details!\I'm counting on you, Lucy...\This is... Edolas? response:	Since then, I've been searching the whole time for someone I know.
context: What's that?\I don't have time to explain.\Hurry!\Wait a sec!\Give me more details!\I'm counting on you, Lucy...\This is... Edolas?\Since then, I've been searching the whole time for someone I know. response:	I wonder why Mystogan-san knew about Edolas?
context: I don't have time to explain.\Hurry!\Wait a sec!\Give me more details!\I'm counting on you, Lucy...\This is... Edolas?\Since then, I've been searching the whole time for someone I know.\I wonder why Mystogan-san knew about Edolas? response:	Who exactly is he?
context: Hurry!\Wait a sec!\Give me more details!\I'm counting on you, Lucy...\This is... Edolas?\Since then, I've been searching the whole time for someone I know.\I wonder why Mystogan-san knew about Edolas?\Who exactly is he? response:	He didn't say anything at all...
context: Wait a sec!\Give me more details!\I'm counting on you, Lucy...\This is... Edolas?\Since then, I've been searching the whole time for someone I know.\I wonder why Mystogan-san knew about Edolas?\Who exactly is he?\He didn't say anything at all... response:	Why is it that you're the only one who can use magic here, Lucy?
context: Give me more details!\I'm counting on you, Lucy...\This is... Edolas?\Since then, I've been searching the whole time for someone I know.\I wonder why Mystogan-san knew about Edolas?\Who exactly is he?\He didn't say anything at all...\Why is it that you're the only one who can use magic here, Lucy? response:	Maybe it's because I'm like, the legendary chosen warrior!
context: I'm counting on you, Lucy...\This is... Edolas?\Since then, I've been searching the whole time for someone I know.\I wonder why Mystogan-san knew about Edolas?\Who exactly is he?\He didn't say anything at all...\Why is it that you're the only one who can use magic here, Lucy?\Maybe it's because I'm like, the legendary chosen warrior! response:	Not seeing it.
context: This is... Edolas?\Since then, I've been searching the whole time for someone I know.\I wonder why Mystogan-san knew about Edolas?\Who exactly is he?\He didn't say anything at all...\Why is it that you're the only one who can use magic here, Lucy?\Maybe it's because I'm like, the legendary chosen warrior!\Not seeing it. response:	So much for self-confidence...
context: Since then, I've been searching the whole time for someone I know.\I wonder why Mystogan-san knew about Edolas?\Who exactly is he?\He didn't say anything at all...\Why is it that you're the only one who can use magic here, Lucy?\Maybe it's because I'm like, the legendary chosen warrior!\Not seeing it.\So much for self-confidence... response:	Honestly, I don't know.
context: I wonder why Mystogan-san knew about Edolas?\Who exactly is he?\He didn't say anything at all...\Why is it that you're the only one who can use magic here, Lucy?\Maybe it's because I'm like, the legendary chosen warrior!\Not seeing it.\So much for self-confidence...\Honestly, I don't know. response:	If you can't use magic, Natsu, then we're going to be at a real disadvantage...
context: Who exactly is he?\He didn't say anything at all...\Why is it that you're the only one who can use magic here, Lucy?\Maybe it's because I'm like, the legendary chosen warrior!\Not seeing it.\So much for self-confidence...\Honestly, I don't know.\If you can't use magic, Natsu, then we're going to be at a real disadvantage... response:	You people seriously plan to go against the Kingdom?
context: He didn't say anything at all...\Why is it that you're the only one who can use magic here, Lucy?\Maybe it's because I'm like, the legendary chosen warrior!\Not seeing it.\So much for self-confidence...\Honestly, I don't know.\If you can't use magic, Natsu, then we're going to be at a real disadvantage...\You people seriously plan to go against the Kingdom? response:	Of course.
context: Why is it that you're the only one who can use magic here, Lucy?\Maybe it's because I'm like, the legendary chosen warrior!\Not seeing it.\So much for self-confidence...\Honestly, I don't know.\If you can't use magic, Natsu, then we're going to be at a real disadvantage...\You people seriously plan to go against the Kingdom?\Of course. response:	We'll do it for our friends!
context: Maybe it's because I'm like, the legendary chosen warrior!\Not seeing it.\So much for self-confidence...\Honestly, I don't know.\If you can't use magic, Natsu, then we're going to be at a real disadvantage...\You people seriously plan to go against the Kingdom?\Of course.\We'll do it for our friends! response:	Is that really me?
context: Not seeing it.\So much for self-confidence...\Honestly, I don't know.\If you can't use magic, Natsu, then we're going to be at a real disadvantage...\You people seriously plan to go against the Kingdom?\Of course.\We'll do it for our friends!\Is that really me? response:	You can't even use magic for real, and you're fighting the Kingdom?
context: So much for self-confidence...\Honestly, I don't know.\If you can't use magic, Natsu, then we're going to be at a real disadvantage...\You people seriously plan to go against the Kingdom?\Of course.\We'll do it for our friends!\Is that really me?\You can't even use magic for real, and you're fighting the Kingdom? response:	Hey, I can use it!
context: Honestly, I don't know.\If you can't use magic, Natsu, then we're going to be at a real disadvantage...\You people seriously plan to go against the Kingdom?\Of course.\We'll do it for our friends!\Is that really me?\You can't even use magic for real, and you're fighting the Kingdom?\Hey, I can use it! response:	Leave everything to Fairy Tail's (Currently) Strongest Wizard!
context: If you can't use magic, Natsu, then we're going to be at a real disadvantage...\You people seriously plan to go against the Kingdom?\Of course.\We'll do it for our friends!\Is that really me?\You can't even use magic for real, and you're fighting the Kingdom?\Hey, I can use it!\Leave everything to Fairy Tail's (Currently) Strongest Wizard! response:	I'm all fired up!
context: You people seriously plan to go against the Kingdom?\Of course.\We'll do it for our friends!\Is that really me?\You can't even use magic for real, and you're fighting the Kingdom?\Hey, I can use it!\Leave everything to Fairy Tail's (Currently) Strongest Wizard!\I'm all fired up! response:	I can't believe I'm saying this...
context: Of course.\We'll do it for our friends!\Is that really me?\You can't even use magic for real, and you're fighting the Kingdom?\Hey, I can use it!\Leave everything to Fairy Tail's (Currently) Strongest Wizard!\I'm all fired up!\I can't believe I'm saying this... response:	Aye!
context: We'll do it for our friends!\Is that really me?\You can't even use magic for real, and you're fighting the Kingdom?\Hey, I can use it!\Leave everything to Fairy Tail's (Currently) Strongest Wizard!\I'm all fired up!\I can't believe I'm saying this...\Aye! response:	You can do it, Lucy-san!
context: Is that really me?\You can't even use magic for real, and you're fighting the Kingdom?\Hey, I can use it!\Leave everything to Fairy Tail's (Currently) Strongest Wizard!\I'm all fired up!\I can't believe I'm saying this...\Aye!\You can do it, Lucy-san! response:	What a bunch of weirdos...
context: You can't even use magic for real, and you're fighting the Kingdom?\Hey, I can use it!\Leave everything to Fairy Tail's (Currently) Strongest Wizard!\I'm all fired up!\I can't believe I'm saying this...\Aye!\You can do it, Lucy-san!\What a bunch of weirdos... response:	Maybe these guys can actually change the world?
context: Hey, I can use it!\Leave everything to Fairy Tail's (Currently) Strongest Wizard!\I'm all fired up!\I can't believe I'm saying this...\Aye!\You can do it, Lucy-san!\What a bunch of weirdos...\Maybe these guys can actually change the world? response:	I get that feeling...
context: Leave everything to Fairy Tail's (Currently) Strongest Wizard!\I'm all fired up!\I can't believe I'm saying this...\Aye!\You can do it, Lucy-san!\What a bunch of weirdos...\Maybe these guys can actually change the world?\I get that feeling... response:	This is a map of Edolas I borrowed from the hotel.
context: I'm all fired up!\I can't believe I'm saying this...\Aye!\You can do it, Lucy-san!\What a bunch of weirdos...\Maybe these guys can actually change the world?\I get that feeling...\This is a map of Edolas I borrowed from the hotel. response:	The geography isn't all that different from Earthland...
context: I can't believe I'm saying this...\Aye!\You can do it, Lucy-san!\What a bunch of weirdos...\Maybe these guys can actually change the world?\I get that feeling...\This is a map of Edolas I borrowed from the hotel.\The geography isn't all that different from Earthland... response:	Edolas's Fairy Tail is here.
context: Aye!\You can do it, Lucy-san!\What a bunch of weirdos...\Maybe these guys can actually change the world?\I get that feeling...\This is a map of Edolas I borrowed from the hotel.\The geography isn't all that different from Earthland...\Edolas's Fairy Tail is here. response:	We were chased by the frog around here...
context: You can do it, Lucy-san!\What a bunch of weirdos...\Maybe these guys can actually change the world?\I get that feeling...\This is a map of Edolas I borrowed from the hotel.\The geography isn't all that different from Earthland...\Edolas's Fairy Tail is here.\We were chased by the frog around here... response:	We ran into Lucy in the city of Louen.
context: What a bunch of weirdos...\Maybe these guys can actually change the world?\I get that feeling...\This is a map of Edolas I borrowed from the hotel.\The geography isn't all that different from Earthland...\Edolas's Fairy Tail is here.\We were chased by the frog around here...\We ran into Lucy in the city of Louen. response:	And this is the city we're in now, Sycca.
context: Maybe these guys can actually change the world?\I get that feeling...\This is a map of Edolas I borrowed from the hotel.\The geography isn't all that different from Earthland...\Edolas's Fairy Tail is here.\We were chased by the frog around here...\We ran into Lucy in the city of Louen.\And this is the city we're in now, Sycca. response:	Over here is the Royal City we are heading toward.
context: I get that feeling...\This is a map of Edolas I borrowed from the hotel.\The geography isn't all that different from Earthland...\Edolas's Fairy Tail is here.\We were chased by the frog around here...\We ran into Lucy in the city of Louen.\And this is the city we're in now, Sycca.\Over here is the Royal City we are heading toward. response:	It's still quite a long way...
context: This is a map of Edolas I borrowed from the hotel.\The geography isn't all that different from Earthland...\Edolas's Fairy Tail is here.\We were chased by the frog around here...\We ran into Lucy in the city of Louen.\And this is the city we're in now, Sycca.\Over here is the Royal City we are heading toward.\It's still quite a long way... response:	Plus, we have to be careful not to be discovered by the Royal Army...
context: The geography isn't all that different from Earthland...\Edolas's Fairy Tail is here.\We were chased by the frog around here...\We ran into Lucy in the city of Louen.\And this is the city we're in now, Sycca.\Over here is the Royal City we are heading toward.\It's still quite a long way...\Plus, we have to be careful not to be discovered by the Royal Army... response:	How long will it take to get there?
context: Edolas's Fairy Tail is here.\We were chased by the frog around here...\We ran into Lucy in the city of Louen.\And this is the city we're in now, Sycca.\Over here is the Royal City we are heading toward.\It's still quite a long way...\Plus, we have to be careful not to be discovered by the Royal Army...\How long will it take to get there? response:	Hey, look at this!
context: We were chased by the frog around here...\We ran into Lucy in the city of Louen.\And this is the city we're in now, Sycca.\Over here is the Royal City we are heading toward.\It's still quite a long way...\Plus, we have to be careful not to be discovered by the Royal Army...\How long will it take to get there?\Hey, look at this! response:	She's exactly the same as me! Our bodies are identical!
context: We ran into Lucy in the city of Louen.\And this is the city we're in now, Sycca.\Over here is the Royal City we are heading toward.\It's still quite a long way...\Plus, we have to be careful not to be discovered by the Royal Army...\How long will it take to get there?\Hey, look at this!\She's exactly the same as me! Our bodies are identical! response:	Don't go prancing around in a towel!
context: And this is the city we're in now, Sycca.\Over here is the Royal City we are heading toward.\It's still quite a long way...\Plus, we have to be careful not to be discovered by the Royal Army...\How long will it take to get there?\Hey, look at this!\She's exactly the same as me! Our bodies are identical!\Don't go prancing around in a towel! response:	Edo-Lucy-san, Natsu-san is here, you know!
context: Over here is the Royal City we are heading toward.\It's still quite a long way...\Plus, we have to be careful not to be discovered by the Royal Army...\How long will it take to get there?\Hey, look at this!\She's exactly the same as me! Our bodies are identical!\Don't go prancing around in a towel!\Edo-Lucy-san, Natsu-san is here, you know! response:	And I should care, why?
context: It's still quite a long way...\Plus, we have to be careful not to be discovered by the Royal Army...\How long will it take to get there?\Hey, look at this!\She's exactly the same as me! Our bodies are identical!\Don't go prancing around in a towel!\Edo-Lucy-san, Natsu-san is here, you know!\And I should care, why? response:	Care, damn it!
context: Plus, we have to be careful not to be discovered by the Royal Army...\How long will it take to get there?\Hey, look at this!\She's exactly the same as me! Our bodies are identical!\Don't go prancing around in a towel!\Edo-Lucy-san, Natsu-san is here, you know!\And I should care, why?\Care, damn it! response:	You're in high spirits, Doublucy!
