context: Poems by Wakayama Bokusui response:	Was that Nishizono-san?
context: I'm sure that will be strength in itself,\kitto sore ga ikusen no chikara ni mo nari\I'm sure that will be strength in itself,\donna yume mo tateru ki ga surunda\Enough to end any dream we have\donna yume mo tateru ki ga surunda\Enough to end any dream we have\takaku tobe takaku sora he response:	Fly high, high into the sky,
context: kitto sore ga ikusen no chikara ni mo nari\I'm sure that will be strength in itself,\donna yume mo tateru ki ga surunda\Enough to end any dream we have\donna yume mo tateru ki ga surunda\Enough to end any dream we have\takaku tobe takaku sora he\Fly high, high into the sky, response:	takaku tobe takaku sora he
context: I'm sure that will be strength in itself,\donna yume mo tateru ki ga surunda\Enough to end any dream we have\donna yume mo tateru ki ga surunda\Enough to end any dream we have\takaku tobe takaku sora he\Fly high, high into the sky,\takaku tobe takaku sora he response:	Fly high, high into the sky,
context: donna yume mo tateru ki ga surunda\Enough to end any dream we have\donna yume mo tateru ki ga surunda\Enough to end any dream we have\takaku tobe takaku sora he\Fly high, high into the sky,\takaku tobe takaku sora he\Fly high, high into the sky, response:	takaku kere takaku koe wo age
context: Enough to end any dream we have\donna yume mo tateru ki ga surunda\Enough to end any dream we have\takaku tobe takaku sora he\Fly high, high into the sky,\takaku tobe takaku sora he\Fly high, high into the sky,\takaku kere takaku koe wo age response:	Jump high, and raise your voice high,
context: donna yume mo tateru ki ga surunda\Enough to end any dream we have\takaku tobe takaku sora he\Fly high, high into the sky,\takaku tobe takaku sora he\Fly high, high into the sky,\takaku kere takaku koe wo age\Jump high, and raise your voice high, response:	takaku kere takaku koe wo age
context: Enough to end any dream we have\takaku tobe takaku sora he\Fly high, high into the sky,\takaku tobe takaku sora he\Fly high, high into the sky,\takaku kere takaku koe wo age\Jump high, and raise your voice high,\takaku kere takaku koe wo age response:	Jump high, and raise your voice high,
context: takaku tobe takaku sora he\Fly high, high into the sky,\takaku tobe takaku sora he\Fly high, high into the sky,\takaku kere takaku koe wo age\Jump high, and raise your voice high,\takaku kere takaku koe wo age\Jump high, and raise your voice high, response:	itsuka kujiketa sono hi no mukou made
context: Fly high, high into the sky,\takaku tobe takaku sora he\Fly high, high into the sky,\takaku kere takaku koe wo age\Jump high, and raise your voice high,\takaku kere takaku koe wo age\Jump high, and raise your voice high,\itsuka kujiketa sono hi no mukou made response:	Until you can move on past the day we'll have died
context: takaku tobe takaku sora he\Fly high, high into the sky,\takaku kere takaku koe wo age\Jump high, and raise your voice high,\takaku kere takaku koe wo age\Jump high, and raise your voice high,\itsuka kujiketa sono hi no mukou made\Until you can move on past the day we'll have died response:	itsuka kujiketa sono hi no mukou made
context: Fly high, high into the sky,\takaku kere takaku koe wo age\Jump high, and raise your voice high,\takaku kere takaku koe wo age\Jump high, and raise your voice high,\itsuka kujiketa sono hi no mukou made\Until you can move on past the day we'll have died\itsuka kujiketa sono hi no mukou made response:	Until you can move on past the day we'll have died
context: takaku kere takaku koe wo age\Jump high, and raise your voice high,\takaku kere takaku koe wo age\Jump high, and raise your voice high,\itsuka kujiketa sono hi no mukou made\Until you can move on past the day we'll have died\itsuka kujiketa sono hi no mukou made\Until you can move on past the day we'll have died response:	kimi no koe wasurenai namida mo wasurenai
context: Jump high, and raise your voice high,\takaku kere takaku koe wo age\Jump high, and raise your voice high,\itsuka kujiketa sono hi no mukou made\Until you can move on past the day we'll have died\itsuka kujiketa sono hi no mukou made\Until you can move on past the day we'll have died\kimi no koe wasurenai namida mo wasurenai response:	I'll never forget your voice, and I'll never forget your tears
context: takaku kere takaku koe wo age\Jump high, and raise your voice high,\itsuka kujiketa sono hi no mukou made\Until you can move on past the day we'll have died\itsuka kujiketa sono hi no mukou made\Until you can move on past the day we'll have died\kimi no koe wasurenai namida mo wasurenai\I'll never forget your voice, and I'll never forget your tears response:	kimi no koe wasurenai namida mo wasurenai
context: Jump high, and raise your voice high,\itsuka kujiketa sono hi no mukou made\Until you can move on past the day we'll have died\itsuka kujiketa sono hi no mukou made\Until you can move on past the day we'll have died\kimi no koe wasurenai namida mo wasurenai\I'll never forget your voice, and I'll never forget your tears\kimi no koe wasurenai namida mo wasurenai response:	I'll never forget your voice, and I'll never forget your tears
context: itsuka kujiketa sono hi no mukou made\Until you can move on past the day we'll have died\itsuka kujiketa sono hi no mukou made\Until you can move on past the day we'll have died\kimi no koe wasurenai namida mo wasurenai\I'll never forget your voice, and I'll never forget your tears\kimi no koe wasurenai namida mo wasurenai\I'll never forget your voice, and I'll never forget your tears response:	kore kara hajimaru kibou to iu na no mirai wo
context: Until you can move on past the day we'll have died\itsuka kujiketa sono hi no mukou made\Until you can move on past the day we'll have died\kimi no koe wasurenai namida mo wasurenai\I'll never forget your voice, and I'll never forget your tears\kimi no koe wasurenai namida mo wasurenai\I'll never forget your voice, and I'll never forget your tears\kore kara hajimaru kibou to iu na no mirai wo response:	The future, what we call hope, begins now
context: itsuka kujiketa sono hi no mukou made\Until you can move on past the day we'll have died\kimi no koe wasurenai namida mo wasurenai\I'll never forget your voice, and I'll never forget your tears\kimi no koe wasurenai namida mo wasurenai\I'll never forget your voice, and I'll never forget your tears\kore kara hajimaru kibou to iu na no mirai wo\The future, what we call hope, begins now response:	kore kara hajimaru kibou to iu na no mirai wo
context: Until you can move on past the day we'll have died\kimi no koe wasurenai namida mo wasurenai\I'll never forget your voice, and I'll never forget your tears\kimi no koe wasurenai namida mo wasurenai\I'll never forget your voice, and I'll never forget your tears\kore kara hajimaru kibou to iu na no mirai wo\The future, what we call hope, begins now\kore kara hajimaru kibou to iu na no mirai wo response:	The future, what we call hope, begins now
context: kimi no koe wasurenai namida mo wasurenai\I'll never forget your voice, and I'll never forget your tears\kimi no koe wasurenai namida mo wasurenai\I'll never forget your voice, and I'll never forget your tears\kore kara hajimaru kibou to iu na no mirai wo\The future, what we call hope, begins now\kore kara hajimaru kibou to iu na no mirai wo\The future, what we call hope, begins now response:	sono ashi wa arukidasu
context: I'll never forget your voice, and I'll never forget your tears\kimi no koe wasurenai namida mo wasurenai\I'll never forget your voice, and I'll never forget your tears\kore kara hajimaru kibou to iu na no mirai wo\The future, what we call hope, begins now\kore kara hajimaru kibou to iu na no mirai wo\The future, what we call hope, begins now\sono ashi wa arukidasu response:	Those legs will keep on moving forward,
context: kimi no koe wasurenai namida mo wasurenai\I'll never forget your voice, and I'll never forget your tears\kore kara hajimaru kibou to iu na no mirai wo\The future, what we call hope, begins now\kore kara hajimaru kibou to iu na no mirai wo\The future, what we call hope, begins now\sono ashi wa arukidasu\Those legs will keep on moving forward, response:	sono ashi wa arukidasu
context: I'll never forget your voice, and I'll never forget your tears\kore kara hajimaru kibou to iu na no mirai wo\The future, what we call hope, begins now\kore kara hajimaru kibou to iu na no mirai wo\The future, what we call hope, begins now\sono ashi wa arukidasu\Those legs will keep on moving forward,\sono ashi wa arukidasu response:	Those legs will keep on moving forward,
context: kore kara hajimaru kibou to iu na no mirai wo\The future, what we call hope, begins now\kore kara hajimaru kibou to iu na no mirai wo\The future, what we call hope, begins now\sono ashi wa arukidasu\Those legs will keep on moving forward,\sono ashi wa arukidasu\Those legs will keep on moving forward, response:	yagate kuru kakoku mo
context: The future, what we call hope, begins now\kore kara hajimaru kibou to iu na no mirai wo\The future, what we call hope, begins now\sono ashi wa arukidasu\Those legs will keep on moving forward,\sono ashi wa arukidasu\Those legs will keep on moving forward,\yagate kuru kakoku mo response:	Even in the face of the oncoming grief
context: kore kara hajimaru kibou to iu na no mirai wo\The future, what we call hope, begins now\sono ashi wa arukidasu\Those legs will keep on moving forward,\sono ashi wa arukidasu\Those legs will keep on moving forward,\yagate kuru kakoku mo\Even in the face of the oncoming grief response:	yagate kuru kakoku mo
context: The future, what we call hope, begins now\sono ashi wa arukidasu\Those legs will keep on moving forward,\sono ashi wa arukidasu\Those legs will keep on moving forward,\yagate kuru kakoku mo\Even in the face of the oncoming grief\yagate kuru kakoku mo response:	Even in the face of the oncoming grief
context: sono ashi wa arukidasu\Those legs will keep on moving forward,\sono ashi wa arukidasu\Those legs will keep on moving forward,\yagate kuru kakoku mo\Even in the face of the oncoming grief\yagate kuru kakoku mo\Even in the face of the oncoming grief response:	Nishizono-san hasn't come to school these last few days.
context: Those legs will keep on moving forward,\sono ashi wa arukidasu\Those legs will keep on moving forward,\yagate kuru kakoku mo\Even in the face of the oncoming grief\yagate kuru kakoku mo\Even in the face of the oncoming grief\Nishizono-san hasn't come to school these last few days. response:	No one even talks about her absence.
context: sono ashi wa arukidasu\Those legs will keep on moving forward,\yagate kuru kakoku mo\Even in the face of the oncoming grief\yagate kuru kakoku mo\Even in the face of the oncoming grief\Nishizono-san hasn't come to school these last few days.\No one even talks about her absence. response:	It's almost like she never existed in the first place.
context: Those legs will keep on moving forward,\yagate kuru kakoku mo\Even in the face of the oncoming grief\yagate kuru kakoku mo\Even in the face of the oncoming grief\Nishizono-san hasn't come to school these last few days.\No one even talks about her absence.\It's almost like she never existed in the first place. response:	Naoe-san, what's wrong?
context: yagate kuru kakoku mo\Even in the face of the oncoming grief\yagate kuru kakoku mo\Even in the face of the oncoming grief\Nishizono-san hasn't come to school these last few days.\No one even talks about her absence.\It's almost like she never existed in the first place.\Naoe-san, what's wrong? response:	Are you thinking about something?
context: Even in the face of the oncoming grief\yagate kuru kakoku mo\Even in the face of the oncoming grief\Nishizono-san hasn't come to school these last few days.\No one even talks about her absence.\It's almost like she never existed in the first place.\Naoe-san, what's wrong?\Are you thinking about something? response:	I was wondering how Nishizono-san's doing.
context: yagate kuru kakoku mo\Even in the face of the oncoming grief\Nishizono-san hasn't come to school these last few days.\No one even talks about her absence.\It's almost like she never existed in the first place.\Naoe-san, what's wrong?\Are you thinking about something?\I was wondering how Nishizono-san's doing. response:	I sent her a few texts, but she hasn't replied.
context: Even in the face of the oncoming grief\Nishizono-san hasn't come to school these last few days.\No one even talks about her absence.\It's almost like she never existed in the first place.\Naoe-san, what's wrong?\Are you thinking about something?\I was wondering how Nishizono-san's doing.\I sent her a few texts, but she hasn't replied. response:	Maybe she's still feeling unwell?
context: Nishizono-san hasn't come to school these last few days.\No one even talks about her absence.\It's almost like she never existed in the first place.\Naoe-san, what's wrong?\Are you thinking about something?\I was wondering how Nishizono-san's doing.\I sent her a few texts, but she hasn't replied.\Maybe she's still feeling unwell? response:	Was Nishizono-san sick?
context: No one even talks about her absence.\It's almost like she never existed in the first place.\Naoe-san, what's wrong?\Are you thinking about something?\I was wondering how Nishizono-san's doing.\I sent her a few texts, but she hasn't replied.\Maybe she's still feeling unwell?\Was Nishizono-san sick? response:	Oh, right...
context: It's almost like she never existed in the first place.\Naoe-san, what's wrong?\Are you thinking about something?\I was wondering how Nishizono-san's doing.\I sent her a few texts, but she hasn't replied.\Maybe she's still feeling unwell?\Was Nishizono-san sick?\Oh, right... response:	Oh, sorry. You're right.
context: Naoe-san, what's wrong?\Are you thinking about something?\I was wondering how Nishizono-san's doing.\I sent her a few texts, but she hasn't replied.\Maybe she's still feeling unwell?\Was Nishizono-san sick?\Oh, right...\Oh, sorry. You're right. response:	Yeah, she was.
context: Are you thinking about something?\I was wondering how Nishizono-san's doing.\I sent her a few texts, but she hasn't replied.\Maybe she's still feeling unwell?\Was Nishizono-san sick?\Oh, right...\Oh, sorry. You're right.\Yeah, she was. response:	Sorry.
context: I was wondering how Nishizono-san's doing.\I sent her a few texts, but she hasn't replied.\Maybe she's still feeling unwell?\Was Nishizono-san sick?\Oh, right...\Oh, sorry. You're right.\Yeah, she was.\Sorry. response:	I wonder why I forgot.
context: I sent her a few texts, but she hasn't replied.\Maybe she's still feeling unwell?\Was Nishizono-san sick?\Oh, right...\Oh, sorry. You're right.\Yeah, she was.\Sorry.\I wonder why I forgot. response:	Seriously, we can't practice in this rain.
context: Maybe she's still feeling unwell?\Was Nishizono-san sick?\Oh, right...\Oh, sorry. You're right.\Yeah, she was.\Sorry.\I wonder why I forgot.\Seriously, we can't practice in this rain. response:	Nishizono-san left her thermos here.
context: Was Nishizono-san sick?\Oh, right...\Oh, sorry. You're right.\Yeah, she was.\Sorry.\I wonder why I forgot.\Seriously, we can't practice in this rain.\Nishizono-san left her thermos here. response:	Who's Nishizono?
context: Oh, right...\Oh, sorry. You're right.\Yeah, she was.\Sorry.\I wonder why I forgot.\Seriously, we can't practice in this rain.\Nishizono-san left her thermos here.\Who's Nishizono? response:	Nishizono-san!
context: Oh, sorry. You're right.\Yeah, she was.\Sorry.\I wonder why I forgot.\Seriously, we can't practice in this rain.\Nishizono-san left her thermos here.\Who's Nishizono?\Nishizono-san! response:	She's the Little Busters' manager!
context: Yeah, she was.\Sorry.\I wonder why I forgot.\Seriously, we can't practice in this rain.\Nishizono-san left her thermos here.\Who's Nishizono?\Nishizono-san!\She's the Little Busters' manager! response:	We wrote tanka together!
context: Sorry.\I wonder why I forgot.\Seriously, we can't practice in this rain.\Nishizono-san left her thermos here.\Who's Nishizono?\Nishizono-san!\She's the Little Busters' manager!\We wrote tanka together! response:	Oh, right...
context: I wonder why I forgot.\Seriously, we can't practice in this rain.\Nishizono-san left her thermos here.\Who's Nishizono?\Nishizono-san!\She's the Little Busters' manager!\We wrote tanka together!\Oh, right... response:	Did we?
context: Seriously, we can't practice in this rain.\Nishizono-san left her thermos here.\Who's Nishizono?\Nishizono-san!\She's the Little Busters' manager!\We wrote tanka together!\Oh, right...\Did we? response:	Something wasn't right.
context: Nishizono-san left her thermos here.\Who's Nishizono?\Nishizono-san!\She's the Little Busters' manager!\We wrote tanka together!\Oh, right...\Did we?\Something wasn't right. response:	I couldn't explain it, but something was off.
context: Who's Nishizono?\Nishizono-san!\She's the Little Busters' manager!\We wrote tanka together!\Oh, right...\Did we?\Something wasn't right.\I couldn't explain it, but something was off. response:	It felt like the world itself was dreaming.
context: Nishizono-san!\She's the Little Busters' manager!\We wrote tanka together!\Oh, right...\Did we?\Something wasn't right.\I couldn't explain it, but something was off.\It felt like the world itself was dreaming. response:	Like Nishizono-san's existence was slowly fading.
context: She's the Little Busters' manager!\We wrote tanka together!\Oh, right...\Did we?\Something wasn't right.\I couldn't explain it, but something was off.\It felt like the world itself was dreaming.\Like Nishizono-san's existence was slowly fading. response:	Everyone had begun to forget that she existed.
context: We wrote tanka together!\Oh, right...\Did we?\Something wasn't right.\I couldn't explain it, but something was off.\It felt like the world itself was dreaming.\Like Nishizono-san's existence was slowly fading.\Everyone had begun to forget that she existed. response:	Nishizono-san!
context: Oh, right...\Did we?\Something wasn't right.\I couldn't explain it, but something was off.\It felt like the world itself was dreaming.\Like Nishizono-san's existence was slowly fading.\Everyone had begun to forget that she existed.\Nishizono-san! response:	Thank goodness!
context: Did we?\Something wasn't right.\I couldn't explain it, but something was off.\It felt like the world itself was dreaming.\Like Nishizono-san's existence was slowly fading.\Everyone had begun to forget that she existed.\Nishizono-san!\Thank goodness! response:	Are you feeling better?
context: Something wasn't right.\I couldn't explain it, but something was off.\It felt like the world itself was dreaming.\Like Nishizono-san's existence was slowly fading.\Everyone had begun to forget that she existed.\Nishizono-san!\Thank goodness!\Are you feeling better? response:	I thought about going to visit you,
context: I couldn't explain it, but something was off.\It felt like the world itself was dreaming.\Like Nishizono-san's existence was slowly fading.\Everyone had begun to forget that she existed.\Nishizono-san!\Thank goodness!\Are you feeling better?\I thought about going to visit you, response:	but it's hard for me to get into the girls' dorm.
context: It felt like the world itself was dreaming.\Like Nishizono-san's existence was slowly fading.\Everyone had begun to forget that she existed.\Nishizono-san!\Thank goodness!\Are you feeling better?\I thought about going to visit you,\but it's hard for me to get into the girls' dorm. response:	You'd come to see me?
context: Like Nishizono-san's existence was slowly fading.\Everyone had begun to forget that she existed.\Nishizono-san!\Thank goodness!\Are you feeling better?\I thought about going to visit you,\but it's hard for me to get into the girls' dorm.\You'd come to see me? response:	Did you want to see me sleeping that badly?
context: Everyone had begun to forget that she existed.\Nishizono-san!\Thank goodness!\Are you feeling better?\I thought about going to visit you,\but it's hard for me to get into the girls' dorm.\You'd come to see me?\Did you want to see me sleeping that badly? response:	You wanted to force yourself on me while I was sick.
context: Nishizono-san!\Thank goodness!\Are you feeling better?\I thought about going to visit you,\but it's hard for me to get into the girls' dorm.\You'd come to see me?\Did you want to see me sleeping that badly?\You wanted to force yourself on me while I was sick. response:	Your ulterior motive, I presume.
context: Thank goodness!\Are you feeling better?\I thought about going to visit you,\but it's hard for me to get into the girls' dorm.\You'd come to see me?\Did you want to see me sleeping that badly?\You wanted to force yourself on me while I was sick.\Your ulterior motive, I presume. response:	You shameless man.
context: Are you feeling better?\I thought about going to visit you,\but it's hard for me to get into the girls' dorm.\You'd come to see me?\Did you want to see me sleeping that badly?\You wanted to force yourself on me while I was sick.\Your ulterior motive, I presume.\You shameless man. response:	U-Um...
context: I thought about going to visit you,\but it's hard for me to get into the girls' dorm.\You'd come to see me?\Did you want to see me sleeping that badly?\You wanted to force yourself on me while I was sick.\Your ulterior motive, I presume.\You shameless man.\U-Um... response:	You brute.
context: but it's hard for me to get into the girls' dorm.\You'd come to see me?\Did you want to see me sleeping that badly?\You wanted to force yourself on me while I was sick.\Your ulterior motive, I presume.\You shameless man.\U-Um...\You brute. response:	No, I had no intention of...
context: You'd come to see me?\Did you want to see me sleeping that badly?\You wanted to force yourself on me while I was sick.\Your ulterior motive, I presume.\You shameless man.\U-Um...\You brute.\No, I had no intention of... response:	I just...
context: Did you want to see me sleeping that badly?\You wanted to force yourself on me while I was sick.\Your ulterior motive, I presume.\You shameless man.\U-Um...\You brute.\No, I had no intention of...\I just... response:	I'm just kidding.
context: You wanted to force yourself on me while I was sick.\Your ulterior motive, I presume.\You shameless man.\U-Um...\You brute.\No, I had no intention of...\I just...\I'm just kidding. response:	I-I see.
context: Your ulterior motive, I presume.\You shameless man.\U-Um...\You brute.\No, I had no intention of...\I just...\I'm just kidding.\I-I see. response:	That's a relief.
context: You shameless man.\U-Um...\You brute.\No, I had no intention of...\I just...\I'm just kidding.\I-I see.\That's a relief. response:	I was pretty worried about you.
context: U-Um...\You brute.\No, I had no intention of...\I just...\I'm just kidding.\I-I see.\That's a relief.\I was pretty worried about you. response:	I had this feeling you might suddenly disappear.
context: You brute.\No, I had no intention of...\I just...\I'm just kidding.\I-I see.\That's a relief.\I was pretty worried about you.\I had this feeling you might suddenly disappear. response:	If I were to disappear from this world,
context: No, I had no intention of...\I just...\I'm just kidding.\I-I see.\That's a relief.\I was pretty worried about you.\I had this feeling you might suddenly disappear.\If I were to disappear from this world, response:	everyone would forget that I once lived.
context: I just...\I'm just kidding.\I-I see.\That's a relief.\I was pretty worried about you.\I had this feeling you might suddenly disappear.\If I were to disappear from this world,\everyone would forget that I once lived. response:	I wouldn't remain in anyone's memories.
context: I'm just kidding.\I-I see.\That's a relief.\I was pretty worried about you.\I had this feeling you might suddenly disappear.\If I were to disappear from this world,\everyone would forget that I once lived.\I wouldn't remain in anyone's memories. response:	Of course you
context: I-I see.\That's a relief.\I was pretty worried about you.\I had this feeling you might suddenly disappear.\If I were to disappear from this world,\everyone would forget that I once lived.\I wouldn't remain in anyone's memories.\Of course you response:	Me feeding the birds under the tree...
context: That's a relief.\I was pretty worried about you.\I had this feeling you might suddenly disappear.\If I were to disappear from this world,\everyone would forget that I once lived.\I wouldn't remain in anyone's memories.\Of course you\Me feeding the birds under the tree... response:	Me reading my favorite book so much that it's all worn out...
context: I was pretty worried about you.\I had this feeling you might suddenly disappear.\If I were to disappear from this world,\everyone would forget that I once lived.\I wouldn't remain in anyone's memories.\Of course you\Me feeding the birds under the tree...\Me reading my favorite book so much that it's all worn out... response:	Poems by Wakayama Bokusui
context: I had this feeling you might suddenly disappear.\If I were to disappear from this world,\everyone would forget that I once lived.\I wouldn't remain in anyone's memories.\Of course you\Me feeding the birds under the tree...\Me reading my favorite book so much that it's all worn out...\Poems by Wakayama Bokusui response:	Poems by Wakayama Bokusui
context: If I were to disappear from this world,\everyone would forget that I once lived.\I wouldn't remain in anyone's memories.\Of course you\Me feeding the birds under the tree...\Me reading my favorite book so much that it's all worn out...\Poems by Wakayama Bokusui\Poems by Wakayama Bokusui response:	Poems by Wakayama Bokusui
context: everyone would forget that I once lived.\I wouldn't remain in anyone's memories.\Of course you\Me feeding the birds under the tree...\Me reading my favorite book so much that it's all worn out...\Poems by Wakayama Bokusui\Poems by Wakayama Bokusui\Poems by Wakayama Bokusui response:	Poems by Wakayama Bokusui
context: I wouldn't remain in anyone's memories.\Of course you\Me feeding the birds under the tree...\Me reading my favorite book so much that it's all worn out...\Poems by Wakayama Bokusui\Poems by Wakayama Bokusui\Poems by Wakayama Bokusui\Poems by Wakayama Bokusui response:	Poems by Wakayama Bokusui
context: Of course you\Me feeding the birds under the tree...\Me reading my favorite book so much that it's all worn out...\Poems by Wakayama Bokusui\Poems by Wakayama Bokusui\Poems by Wakayama Bokusui\Poems by Wakayama Bokusui\Poems by Wakayama Bokusui response:	Poems by Wakayama Bokusui
context: Me feeding the birds under the tree...\Me reading my favorite book so much that it's all worn out...\Poems by Wakayama Bokusui\Poems by Wakayama Bokusui\Poems by Wakayama Bokusui\Poems by Wakayama Bokusui\Poems by Wakayama Bokusui\Poems by Wakayama Bokusui response:	Poems by Wakayama Bokusui
context: Me reading my favorite book so much that it's all worn out...\Poems by Wakayama Bokusui\Poems by Wakayama Bokusui\Poems by Wakayama Bokusui\Poems by Wakayama Bokusui\Poems by Wakayama Bokusui\Poems by Wakayama Bokusui\Poems by Wakayama Bokusui response:	Poems by Wakayama Bokusui
context: Poems by Wakayama Bokusui\Poems by Wakayama Bokusui\Poems by Wakayama Bokusui\Poems by Wakayama Bokusui\Poems by Wakayama Bokusui\Poems by Wakayama Bokusui\Poems by Wakayama Bokusui\Poems by Wakayama Bokusui response:	Poems by Wakayama Bokusui
