context: The High School National Ogura Hundred Poets Karuta Championship begins. response:	We'll win every match
context: So this year, we'll make sure the heat isn't an issue.\It's okay.\I'm not wearing a hakama this year.\But...\Plus, this is my second time at Omi Jingu.\We're back.\This is our second national championship.\What kinds of matches will we play? response:	How strong are the other teams?
context: It's okay.\I'm not wearing a hakama this year.\But...\Plus, this is my second time at Omi Jingu.\We're back.\This is our second national championship.\What kinds of matches will we play?\How strong are the other teams? response:	Hey, Tsukuba!
context: I'm not wearing a hakama this year.\But...\Plus, this is my second time at Omi Jingu.\We're back.\This is our second national championship.\What kinds of matches will we play?\How strong are the other teams?\Hey, Tsukuba! response:	Stop sneaking pictures of girls!
context: But...\Plus, this is my second time at Omi Jingu.\We're back.\This is our second national championship.\What kinds of matches will we play?\How strong are the other teams?\Hey, Tsukuba!\Stop sneaking pictures of girls! response:	They'll arrest you!
context: Plus, this is my second time at Omi Jingu.\We're back.\This is our second national championship.\What kinds of matches will we play?\How strong are the other teams?\Hey, Tsukuba!\Stop sneaking pictures of girls!\They'll arrest you! response:	Don't insult me!
context: We're back.\This is our second national championship.\What kinds of matches will we play?\How strong are the other teams?\Hey, Tsukuba!\Stop sneaking pictures of girls!\They'll arrest you!\Don't insult me! response:	I'm taking pictures of the pretty Akita ladies
context: This is our second national championship.\What kinds of matches will we play?\How strong are the other teams?\Hey, Tsukuba!\Stop sneaking pictures of girls!\They'll arrest you!\Don't insult me!\I'm taking pictures of the pretty Akita ladies response:	while taking pictures of the karuta holy land, the Omi Learning Center!
context: What kinds of matches will we play?\How strong are the other teams?\Hey, Tsukuba!\Stop sneaking pictures of girls!\They'll arrest you!\Don't insult me!\I'm taking pictures of the pretty Akita ladies\while taking pictures of the karuta holy land, the Omi Learning Center! response:	Y-You're not supposed to admit it...
context: How strong are the other teams?\Hey, Tsukuba!\Stop sneaking pictures of girls!\They'll arrest you!\Don't insult me!\I'm taking pictures of the pretty Akita ladies\while taking pictures of the karuta holy land, the Omi Learning Center!\Y-You're not supposed to admit it... response:	Ooh, I've seen this area in pictures before!
context: Hey, Tsukuba!\Stop sneaking pictures of girls!\They'll arrest you!\Don't insult me!\I'm taking pictures of the pretty Akita ladies\while taking pictures of the karuta holy land, the Omi Learning Center!\Y-You're not supposed to admit it...\Ooh, I've seen this area in pictures before! response:	The Master match takes place up here every year!
context: Stop sneaking pictures of girls!\They'll arrest you!\Don't insult me!\I'm taking pictures of the pretty Akita ladies\while taking pictures of the karuta holy land, the Omi Learning Center!\Y-You're not supposed to admit it...\Ooh, I've seen this area in pictures before!\The Master match takes place up here every year! response:	Where do they put the TV cameras?!
context: They'll arrest you!\Don't insult me!\I'm taking pictures of the pretty Akita ladies\while taking pictures of the karuta holy land, the Omi Learning Center!\Y-You're not supposed to admit it...\Ooh, I've seen this area in pictures before!\The Master match takes place up here every year!\Where do they put the TV cameras?! response:	Cut it out already!
context: Don't insult me!\I'm taking pictures of the pretty Akita ladies\while taking pictures of the karuta holy land, the Omi Learning Center!\Y-You're not supposed to admit it...\Ooh, I've seen this area in pictures before!\The Master match takes place up here every year!\Where do they put the TV cameras?!\Cut it out already! response:	This is the first national championship for our first-years.
context: I'm taking pictures of the pretty Akita ladies\while taking pictures of the karuta holy land, the Omi Learning Center!\Y-You're not supposed to admit it...\Ooh, I've seen this area in pictures before!\The Master match takes place up here every year!\Where do they put the TV cameras?!\Cut it out already!\This is the first national championship for our first-years. response:	Okay, let's all get changed...
context: while taking pictures of the karuta holy land, the Omi Learning Center!\Y-You're not supposed to admit it...\Ooh, I've seen this area in pictures before!\The Master match takes place up here every year!\Where do they put the TV cameras?!\Cut it out already!\This is the first national championship for our first-years.\Okay, let's all get changed... response:	Into the new T-shirts my sister made!
context: Y-You're not supposed to admit it...\Ooh, I've seen this area in pictures before!\The Master match takes place up here every year!\Where do they put the TV cameras?!\Cut it out already!\This is the first national championship for our first-years.\Okay, let's all get changed...\Into the new T-shirts my sister made! response:	Winners
context: Ooh, I've seen this area in pictures before!\The Master match takes place up here every year!\Where do they put the TV cameras?!\Cut it out already!\This is the first national championship for our first-years.\Okay, let's all get changed...\Into the new T-shirts my sister made!\Winners response:	Winners
context: The Master match takes place up here every year!\Where do they put the TV cameras?!\Cut it out already!\This is the first national championship for our first-years.\Okay, let's all get changed...\Into the new T-shirts my sister made!\Winners\Winners response:	Wow!
context: Where do they put the TV cameras?!\Cut it out already!\This is the first national championship for our first-years.\Okay, let's all get changed...\Into the new T-shirts my sister made!\Winners\Winners\Wow! response:	It's got punch!
context: Cut it out already!\This is the first national championship for our first-years.\Okay, let's all get changed...\Into the new T-shirts my sister made!\Winners\Winners\Wow!\It's got punch! response:	So cool!
context: This is the first national championship for our first-years.\Okay, let's all get changed...\Into the new T-shirts my sister made!\Winners\Winners\Wow!\It's got punch!\So cool! response:	That's a lovely blue.
context: Okay, let's all get changed...\Into the new T-shirts my sister made!\Winners\Winners\Wow!\It's got punch!\So cool!\That's a lovely blue. response:	Huh? Wait...
context: Into the new T-shirts my sister made!\Winners\Winners\Wow!\It's got punch!\So cool!\That's a lovely blue.\Huh? Wait... response:	I can see something in the dots...
context: Winners\Winners\Wow!\It's got punch!\So cool!\That's a lovely blue.\Huh? Wait...\I can see something in the dots... response:	Second Place
context: Winners\Wow!\It's got punch!\So cool!\That's a lovely blue.\Huh? Wait...\I can see something in the dots...\Second Place response:	Second place...
context: Wow!\It's got punch!\So cool!\That's a lovely blue.\Huh? Wait...\I can see something in the dots...\Second Place\Second place... response:	Second place winners?!
context: It's got punch!\So cool!\That's a lovely blue.\Huh? Wait...\I can see something in the dots...\Second Place\Second place...\Second place winners?! response:	Huh?
context: So cool!\That's a lovely blue.\Huh? Wait...\I can see something in the dots...\Second Place\Second place...\Second place winners?!\Huh? response:	What did you expect?
context: That's a lovely blue.\Huh? Wait...\I can see something in the dots...\Second Place\Second place...\Second place winners?!\Huh?\What did you expect? response:	The champions will be Retro-kun's Hokuo.
context: Huh? Wait...\I can see something in the dots...\Second Place\Second place...\Second place winners?!\Huh?\What did you expect?\The champions will be Retro-kun's Hokuo. response:	Sorry, everyone.
context: I can see something in the dots...\Second Place\Second place...\Second place winners?!\Huh?\What did you expect?\The champions will be Retro-kun's Hokuo.\Sorry, everyone. response:	Let's wear our regular T-shirts.
context: Second Place\Second place...\Second place winners?!\Huh?\What did you expect?\The champions will be Retro-kun's Hokuo.\Sorry, everyone.\Let's wear our regular T-shirts. response:	All ready.
context: Second place...\Second place winners?!\Huh?\What did you expect?\The champions will be Retro-kun's Hokuo.\Sorry, everyone.\Let's wear our regular T-shirts.\All ready. response:	Sorry. We ended up having to wear our usual T-shirts.
context: Second place winners?!\Huh?\What did you expect?\The champions will be Retro-kun's Hokuo.\Sorry, everyone.\Let's wear our regular T-shirts.\All ready.\Sorry. We ended up having to wear our usual T-shirts. response:	That's okay. We can focus better when we're in familiar gear.
context: Huh?\What did you expect?\The champions will be Retro-kun's Hokuo.\Sorry, everyone.\Let's wear our regular T-shirts.\All ready.\Sorry. We ended up having to wear our usual T-shirts.\That's okay. We can focus better when we're in familiar gear. response:	Hey, Hanano! Take a picture!
context: What did you expect?\The champions will be Retro-kun's Hokuo.\Sorry, everyone.\Let's wear our regular T-shirts.\All ready.\Sorry. We ended up having to wear our usual T-shirts.\That's okay. We can focus better when we're in familiar gear.\Hey, Hanano! Take a picture! response:	Geez, what now?
context: The champions will be Retro-kun's Hokuo.\Sorry, everyone.\Let's wear our regular T-shirts.\All ready.\Sorry. We ended up having to wear our usual T-shirts.\That's okay. We can focus better when we're in familiar gear.\Hey, Hanano! Take a picture!\Geez, what now? response:	My brothers are waiting at home!
context: Sorry, everyone.\Let's wear our regular T-shirts.\All ready.\Sorry. We ended up having to wear our usual T-shirts.\That's okay. We can focus better when we're in familiar gear.\Hey, Hanano! Take a picture!\Geez, what now?\My brothers are waiting at home! response:	I'm a starter for the national championship, of course!
context: Let's wear our regular T-shirts.\All ready.\Sorry. We ended up having to wear our usual T-shirts.\That's okay. We can focus better when we're in familiar gear.\Hey, Hanano! Take a picture!\Geez, what now?\My brothers are waiting at home!\I'm a starter for the national championship, of course! response:	Your bro's gonna knock them out!
context: All ready.\Sorry. We ended up having to wear our usual T-shirts.\That's okay. We can focus better when we're in familiar gear.\Hey, Hanano! Take a picture!\Geez, what now?\My brothers are waiting at home!\I'm a starter for the national championship, of course!\Your bro's gonna knock them out! response:	You're lying again!
context: Sorry. We ended up having to wear our usual T-shirts.\That's okay. We can focus better when we're in familiar gear.\Hey, Hanano! Take a picture!\Geez, what now?\My brothers are waiting at home!\I'm a starter for the national championship, of course!\Your bro's gonna knock them out!\You're lying again! response:	Why would you be a starting member?
context: That's okay. We can focus better when we're in familiar gear.\Hey, Hanano! Take a picture!\Geez, what now?\My brothers are waiting at home!\I'm a starter for the national championship, of course!\Your bro's gonna knock them out!\You're lying again!\Why would you be a starting member? response:	We're heading down!
context: Hey, Hanano! Take a picture!\Geez, what now?\My brothers are waiting at home!\I'm a starter for the national championship, of course!\Your bro's gonna knock them out!\You're lying again!\Why would you be a starting member?\We're heading down! response:	Oh, okay.
context: Geez, what now?\My brothers are waiting at home!\I'm a starter for the national championship, of course!\Your bro's gonna knock them out!\You're lying again!\Why would you be a starting member?\We're heading down!\Oh, okay. response:	I want to be a starter!
context: My brothers are waiting at home!\I'm a starter for the national championship, of course!\Your bro's gonna knock them out!\You're lying again!\Why would you be a starting member?\We're heading down!\Oh, okay.\I want to be a starter! response:	I've given up Second Verse Karuta
context: I'm a starter for the national championship, of course!\Your bro's gonna knock them out!\You're lying again!\Why would you be a starting member?\We're heading down!\Oh, okay.\I want to be a starter!\I've given up Second Verse Karuta response:	to focus on mainstream karuta since spring!
context: Your bro's gonna knock them out!\You're lying again!\Why would you be a starting member?\We're heading down!\Oh, okay.\I want to be a starter!\I've given up Second Verse Karuta\to focus on mainstream karuta since spring! response:	I've learned a lot at the Shiranami society!
context: You're lying again!\Why would you be a starting member?\We're heading down!\Oh, okay.\I want to be a starter!\I've given up Second Verse Karuta\to focus on mainstream karuta since spring!\I've learned a lot at the Shiranami society! response:	This time, I'll successfully change the order, show my true skill, and become a regular!
context: Why would you be a starting member?\We're heading down!\Oh, okay.\I want to be a starter!\I've given up Second Verse Karuta\to focus on mainstream karuta since spring!\I've learned a lot at the Shiranami society!\This time, I'll successfully change the order, show my true skill, and become a regular! response:	Tsukuba!
context: We're heading down!\Oh, okay.\I want to be a starter!\I've given up Second Verse Karuta\to focus on mainstream karuta since spring!\I've learned a lot at the Shiranami society!\This time, I'll successfully change the order, show my true skill, and become a regular!\Tsukuba! response:	The lineups for the first round are up.
context: Oh, okay.\I want to be a starter!\I've given up Second Verse Karuta\to focus on mainstream karuta since spring!\I've learned a lot at the Shiranami society!\This time, I'll successfully change the order, show my true skill, and become a regular!\Tsukuba!\The lineups for the first round are up. response:	What? They already chose the starting members?
context: I want to be a starter!\I've given up Second Verse Karuta\to focus on mainstream karuta since spring!\I've learned a lot at the Shiranami society!\This time, I'll successfully change the order, show my true skill, and become a regular!\Tsukuba!\The lineups for the first round are up.\What? They already chose the starting members? response:	Huh?
context: I've given up Second Verse Karuta\to focus on mainstream karuta since spring!\I've learned a lot at the Shiranami society!\This time, I'll successfully change the order, show my true skill, and become a regular!\Tsukuba!\The lineups for the first round are up.\What? They already chose the starting members?\Huh? response:	1 Nishida Yusei 2 Oe Kana 3 Ayase Chihaya 4 Mashima Taichi 5 Tsukuba Akihiro
context: to focus on mainstream karuta since spring!\I've learned a lot at the Shiranami society!\This time, I'll successfully change the order, show my true skill, and become a regular!\Tsukuba!\The lineups for the first round are up.\What? They already chose the starting members?\Huh?\1 Nishida Yusei 2 Oe Kana 3 Ayase Chihaya 4 Mashima Taichi 5 Tsukuba Akihiro response:	What?! Tsukuba's really a starter!
context: I've learned a lot at the Shiranami society!\This time, I'll successfully change the order, show my true skill, and become a regular!\Tsukuba!\The lineups for the first round are up.\What? They already chose the starting members?\Huh?\1 Nishida Yusei 2 Oe Kana 3 Ayase Chihaya 4 Mashima Taichi 5 Tsukuba Akihiro\What?! Tsukuba's really a starter! response:	That's amazing!
context: This time, I'll successfully change the order, show my true skill, and become a regular!\Tsukuba!\The lineups for the first round are up.\What? They already chose the starting members?\Huh?\1 Nishida Yusei 2 Oe Kana 3 Ayase Chihaya 4 Mashima Taichi 5 Tsukuba Akihiro\What?! Tsukuba's really a starter!\That's amazing! response:	Starter...
context: Tsukuba!\The lineups for the first round are up.\What? They already chose the starting members?\Huh?\1 Nishida Yusei 2 Oe Kana 3 Ayase Chihaya 4 Mashima Taichi 5 Tsukuba Akihiro\What?! Tsukuba's really a starter!\That's amazing!\Starter... response:	The group stage match-ups were drawn yesterday,
context: The lineups for the first round are up.\What? They already chose the starting members?\Huh?\1 Nishida Yusei 2 Oe Kana 3 Ayase Chihaya 4 Mashima Taichi 5 Tsukuba Akihiro\What?! Tsukuba's really a starter!\That's amazing!\Starter...\The group stage match-ups were drawn yesterday, response:	so Komano and I already came up with the order for the first round.
context: What? They already chose the starting members?\Huh?\1 Nishida Yusei 2 Oe Kana 3 Ayase Chihaya 4 Mashima Taichi 5 Tsukuba Akihiro\What?! Tsukuba's really a starter!\That's amazing!\Starter...\The group stage match-ups were drawn yesterday,\so Komano and I already came up with the order for the first round. response:	Why me? Isn't Komano-senpai a starter?
context: Huh?\1 Nishida Yusei 2 Oe Kana 3 Ayase Chihaya 4 Mashima Taichi 5 Tsukuba Akihiro\What?! Tsukuba's really a starter!\That's amazing!\Starter...\The group stage match-ups were drawn yesterday,\so Komano and I already came up with the order for the first round.\Why me? Isn't Komano-senpai a starter? response:	For the National Tournament
context: 1 Nishida Yusei 2 Oe Kana 3 Ayase Chihaya 4 Mashima Taichi 5 Tsukuba Akihiro\What?! Tsukuba's really a starter!\That's amazing!\Starter...\The group stage match-ups were drawn yesterday,\so Komano and I already came up with the order for the first round.\Why me? Isn't Komano-senpai a starter?\For the National Tournament response:	A month has passed since the Tokyo regional.
context: What?! Tsukuba's really a starter!\That's amazing!\Starter...\The group stage match-ups were drawn yesterday,\so Komano and I already came up with the order for the first round.\Why me? Isn't Komano-senpai a starter?\For the National Tournament\A month has passed since the Tokyo regional. response:	You've worked very hard.
context: That's amazing!\Starter...\The group stage match-ups were drawn yesterday,\so Komano and I already came up with the order for the first round.\Why me? Isn't Komano-senpai a starter?\For the National Tournament\A month has passed since the Tokyo regional.\You've worked very hard. response:	In terms of skill, you're even with me.
context: Starter...\The group stage match-ups were drawn yesterday,\so Komano and I already came up with the order for the first round.\Why me? Isn't Komano-senpai a starter?\For the National Tournament\A month has passed since the Tokyo regional.\You've worked very hard.\In terms of skill, you're even with me. response:	Don't forget that our goal is to become number one in Japan!
context: The group stage match-ups were drawn yesterday,\so Komano and I already came up with the order for the first round.\Why me? Isn't Komano-senpai a starter?\For the National Tournament\A month has passed since the Tokyo regional.\You've worked very hard.\In terms of skill, you're even with me.\Don't forget that our goal is to become number one in Japan! response:	While the two rounds in the group stage are taking place,
context: so Komano and I already came up with the order for the first round.\Why me? Isn't Komano-senpai a starter?\For the National Tournament\A month has passed since the Tokyo regional.\You've worked very hard.\In terms of skill, you're even with me.\Don't forget that our goal is to become number one in Japan!\While the two rounds in the group stage are taking place, response:	I'll be scouting the other top schools
context: Why me? Isn't Komano-senpai a starter?\For the National Tournament\A month has passed since the Tokyo regional.\You've worked very hard.\In terms of skill, you're even with me.\Don't forget that our goal is to become number one in Japan!\While the two rounds in the group stage are taking place,\I'll be scouting the other top schools response:	to prepare for the championship bracket!
context: For the National Tournament\A month has passed since the Tokyo regional.\You've worked very hard.\In terms of skill, you're even with me.\Don't forget that our goal is to become number one in Japan!\While the two rounds in the group stage are taking place,\I'll be scouting the other top schools\to prepare for the championship bracket! response:	The five of you have to get us there!
context: A month has passed since the Tokyo regional.\You've worked very hard.\In terms of skill, you're even with me.\Don't forget that our goal is to become number one in Japan!\While the two rounds in the group stage are taking place,\I'll be scouting the other top schools\to prepare for the championship bracket!\The five of you have to get us there! response:	Does that mean you're not playing in the group stage?!
context: You've worked very hard.\In terms of skill, you're even with me.\Don't forget that our goal is to become number one in Japan!\While the two rounds in the group stage are taking place,\I'll be scouting the other top schools\to prepare for the championship bracket!\The five of you have to get us there!\Does that mean you're not playing in the group stage?! response:	Are you really okay with that?!
context: In terms of skill, you're even with me.\Don't forget that our goal is to become number one in Japan!\While the two rounds in the group stage are taking place,\I'll be scouting the other top schools\to prepare for the championship bracket!\The five of you have to get us there!\Does that mean you're not playing in the group stage?!\Are you really okay with that?! response:	Yeah.
context: Don't forget that our goal is to become number one in Japan!\While the two rounds in the group stage are taking place,\I'll be scouting the other top schools\to prepare for the championship bracket!\The five of you have to get us there!\Does that mean you're not playing in the group stage?!\Are you really okay with that?!\Yeah. response:	I'll need Hanano to help me scout.
context: While the two rounds in the group stage are taking place,\I'll be scouting the other top schools\to prepare for the championship bracket!\The five of you have to get us there!\Does that mean you're not playing in the group stage?!\Are you really okay with that?!\Yeah.\I'll need Hanano to help me scout. response:	What?
context: I'll be scouting the other top schools\to prepare for the championship bracket!\The five of you have to get us there!\Does that mean you're not playing in the group stage?!\Are you really okay with that?!\Yeah.\I'll need Hanano to help me scout.\What? response:	Check groups H and I for us.
context: to prepare for the championship bracket!\The five of you have to get us there!\Does that mean you're not playing in the group stage?!\Are you really okay with that?!\Yeah.\I'll need Hanano to help me scout.\What?\Check groups H and I for us. response:	Geez...
context: The five of you have to get us there!\Does that mean you're not playing in the group stage?!\Are you really okay with that?!\Yeah.\I'll need Hanano to help me scout.\What?\Check groups H and I for us.\Geez... response:	Fine.
context: Does that mean you're not playing in the group stage?!\Are you really okay with that?!\Yeah.\I'll need Hanano to help me scout.\What?\Check groups H and I for us.\Geez...\Fine. response:	I'm impressed.
context: Are you really okay with that?!\Yeah.\I'll need Hanano to help me scout.\What?\Check groups H and I for us.\Geez...\Fine.\I'm impressed. response:	You brought your own notepad.
context: Yeah.\I'll need Hanano to help me scout.\What?\Check groups H and I for us.\Geez...\Fine.\I'm impressed.\You brought your own notepad. response:	I-It's no big deal...
context: I'll need Hanano to help me scout.\What?\Check groups H and I for us.\Geez...\Fine.\I'm impressed.\You brought your own notepad.\I-It's no big deal... response:	Then I'll show you which room you'll be in.
context: What?\Check groups H and I for us.\Geez...\Fine.\I'm impressed.\You brought your own notepad.\I-It's no big deal...\Then I'll show you which room you'll be in. response:	O-Okay.
context: Check groups H and I for us.\Geez...\Fine.\I'm impressed.\You brought your own notepad.\I-It's no big deal...\Then I'll show you which room you'll be in.\O-Okay. response:	He's so cool...
context: Geez...\Fine.\I'm impressed.\You brought your own notepad.\I-It's no big deal...\Then I'll show you which room you'll be in.\O-Okay.\He's so cool... response:	Desktomu-kun worked just as hard as the rest of us.
context: Fine.\I'm impressed.\You brought your own notepad.\I-It's no big deal...\Then I'll show you which room you'll be in.\O-Okay.\He's so cool...\Desktomu-kun worked just as hard as the rest of us. response:	Could I do what he did?
context: I'm impressed.\You brought your own notepad.\I-It's no big deal...\Then I'll show you which room you'll be in.\O-Okay.\He's so cool...\Desktomu-kun worked just as hard as the rest of us.\Could I do what he did? response:	After putting in so much hard work,
context: You brought your own notepad.\I-It's no big deal...\Then I'll show you which room you'll be in.\O-Okay.\He's so cool...\Desktomu-kun worked just as hard as the rest of us.\Could I do what he did?\After putting in so much hard work, response:	could I accept that someone who started later
context: I-It's no big deal...\Then I'll show you which room you'll be in.\O-Okay.\He's so cool...\Desktomu-kun worked just as hard as the rest of us.\Could I do what he did?\After putting in so much hard work,\could I accept that someone who started later response:	had caught up to me?
context: Then I'll show you which room you'll be in.\O-Okay.\He's so cool...\Desktomu-kun worked just as hard as the rest of us.\Could I do what he did?\After putting in so much hard work,\could I accept that someone who started later\had caught up to me? response:	If Ayase's serious about her dream for us to become number one in Japan,
context: O-Okay.\He's so cool...\Desktomu-kun worked just as hard as the rest of us.\Could I do what he did?\After putting in so much hard work,\could I accept that someone who started later\had caught up to me?\If Ayase's serious about her dream for us to become number one in Japan, response:	we can't flounder around like usual.
context: He's so cool...\Desktomu-kun worked just as hard as the rest of us.\Could I do what he did?\After putting in so much hard work,\could I accept that someone who started later\had caught up to me?\If Ayase's serious about her dream for us to become number one in Japan,\we can't flounder around like usual. response:	There has to be someone in a support role.
context: Desktomu-kun worked just as hard as the rest of us.\Could I do what he did?\After putting in so much hard work,\could I accept that someone who started later\had caught up to me?\If Ayase's serious about her dream for us to become number one in Japan,\we can't flounder around like usual.\There has to be someone in a support role. response:	Yo, Eyebrows!
context: Could I do what he did?\After putting in so much hard work,\could I accept that someone who started later\had caught up to me?\If Ayase's serious about her dream for us to become number one in Japan,\we can't flounder around like usual.\There has to be someone in a support role.\Yo, Eyebrows! response:	Should you really be so worked up?
context: After putting in so much hard work,\could I accept that someone who started later\had caught up to me?\If Ayase's serious about her dream for us to become number one in Japan,\we can't flounder around like usual.\There has to be someone in a support role.\Yo, Eyebrows!\Should you really be so worked up? response:	Isn't tomorrow's individual tournament
context: could I accept that someone who started later\had caught up to me?\If Ayase's serious about her dream for us to become number one in Japan,\we can't flounder around like usual.\There has to be someone in a support role.\Yo, Eyebrows!\Should you really be so worked up?\Isn't tomorrow's individual tournament response:	and your chance to make Class A more important?
context: had caught up to me?\If Ayase's serious about her dream for us to become number one in Japan,\we can't flounder around like usual.\There has to be someone in a support role.\Yo, Eyebrows!\Should you really be so worked up?\Isn't tomorrow's individual tournament\and your chance to make Class A more important? response:	It doesn't matter if I lose my first match tomorrow.
context: If Ayase's serious about her dream for us to become number one in Japan,\we can't flounder around like usual.\There has to be someone in a support role.\Yo, Eyebrows!\Should you really be so worked up?\Isn't tomorrow's individual tournament\and your chance to make Class A more important?\It doesn't matter if I lose my first match tomorrow. response:	We'll win every match today.
context: we can't flounder around like usual.\There has to be someone in a support role.\Yo, Eyebrows!\Should you really be so worked up?\Isn't tomorrow's individual tournament\and your chance to make Class A more important?\It doesn't matter if I lose my first match tomorrow.\We'll win every match today. response:	I want to win...
context: There has to be someone in a support role.\Yo, Eyebrows!\Should you really be so worked up?\Isn't tomorrow's individual tournament\and your chance to make Class A more important?\It doesn't matter if I lose my first match tomorrow.\We'll win every match today.\I want to win... response:	together.
context: Yo, Eyebrows!\Should you really be so worked up?\Isn't tomorrow's individual tournament\and your chance to make Class A more important?\It doesn't matter if I lose my first match tomorrow.\We'll win every match today.\I want to win...\together. response:	Our opponent's order isn't up yet.
context: Should you really be so worked up?\Isn't tomorrow's individual tournament\and your chance to make Class A more important?\It doesn't matter if I lose my first match tomorrow.\We'll win every match today.\I want to win...\together.\Our opponent's order isn't up yet. response:	I believe we were matched up with a school from Chiba.
context: Isn't tomorrow's individual tournament\and your chance to make Class A more important?\It doesn't matter if I lose my first match tomorrow.\We'll win every match today.\I want to win...\together.\Our opponent's order isn't up yet.\I believe we were matched up with a school from Chiba. response:	It's a strange feeling.
context: and your chance to make Class A more important?\It doesn't matter if I lose my first match tomorrow.\We'll win every match today.\I want to win...\together.\Our opponent's order isn't up yet.\I believe we were matched up with a school from Chiba.\It's a strange feeling. response:	Have I been infected by Chihaya's greed?
context: It doesn't matter if I lose my first match tomorrow.\We'll win every match today.\I want to win...\together.\Our opponent's order isn't up yet.\I believe we were matched up with a school from Chiba.\It's a strange feeling.\Have I been infected by Chihaya's greed? response:	I want us to become number one in Japan together.
context: We'll win every match today.\I want to win...\together.\Our opponent's order isn't up yet.\I believe we were matched up with a school from Chiba.\It's a strange feeling.\Have I been infected by Chihaya's greed?\I want us to become number one in Japan together. response:	There it is!
context: I want to win...\together.\Our opponent's order isn't up yet.\I believe we were matched up with a school from Chiba.\It's a strange feeling.\Have I been infected by Chihaya's greed?\I want us to become number one in Japan together.\There it is! response:	Is this...
context: together.\Our opponent's order isn't up yet.\I believe we were matched up with a school from Chiba.\It's a strange feeling.\Have I been infected by Chihaya's greed?\I want us to become number one in Japan together.\There it is!\Is this... response:	Don't tell me that...
