context: In order to stop the out-of-control Laxus, response:	Erza, and even Mystogan, challenged him in battle.
context: Everyone do it!\What's this?\Those are Laxus's...\Warren, why do you know about the Thunder Palace?\That voice... Erza?\You're okay?\Gray!\I see, so it was you. response:	Yeah.
context: What's this?\Those are Laxus's...\Warren, why do you know about the Thunder Palace?\That voice... Erza?\You're okay?\Gray!\I see, so it was you.\Yeah. response:	Took me a while to find the guy.
context: Those are Laxus's...\Warren, why do you know about the Thunder Palace?\That voice... Erza?\You're okay?\Gray!\I see, so it was you.\Yeah.\Took me a while to find the guy. response:	Erza? You're not turned to stone?
context: Warren, why do you know about the Thunder Palace?\That voice... Erza?\You're okay?\Gray!\I see, so it was you.\Yeah.\Took me a while to find the guy.\Erza? You're not turned to stone? response:	So, if Erza's okay...
context: That voice... Erza?\You're okay?\Gray!\I see, so it was you.\Yeah.\Took me a while to find the guy.\Erza? You're not turned to stone?\So, if Erza's okay... response:	Everyone is safe.
context: You're okay?\Gray!\I see, so it was you.\Yeah.\Took me a while to find the guy.\Erza? You're not turned to stone?\So, if Erza's okay...\Everyone is safe. response:	Worry not.
context: Gray!\I see, so it was you.\Yeah.\Took me a while to find the guy.\Erza? You're not turned to stone?\So, if Erza's okay...\Everyone is safe.\Worry not. response:	Juvia is also okay.
context: I see, so it was you.\Yeah.\Took me a while to find the guy.\Erza? You're not turned to stone?\So, if Erza's okay...\Everyone is safe.\Worry not.\Juvia is also okay. response:	So is Bisca, Alzack.
context: Yeah.\Took me a while to find the guy.\Erza? You're not turned to stone?\So, if Erza's okay...\Everyone is safe.\Worry not.\Juvia is also okay.\So is Bisca, Alzack. response:	I see...
context: Took me a while to find the guy.\Erza? You're not turned to stone?\So, if Erza's okay...\Everyone is safe.\Worry not.\Juvia is also okay.\So is Bisca, Alzack.\I see... response:	Thank goodness... Really...
context: Erza? You're not turned to stone?\So, if Erza's okay...\Everyone is safe.\Worry not.\Juvia is also okay.\So is Bisca, Alzack.\I see...\Thank goodness... Really... response:	Sorry.
context: So, if Erza's okay...\Everyone is safe.\Worry not.\Juvia is also okay.\So is Bisca, Alzack.\I see...\Thank goodness... Really...\Sorry. response:	My telepathy can't reach all the way to the guild.
context: Everyone is safe.\Worry not.\Juvia is also okay.\So is Bisca, Alzack.\I see...\Thank goodness... Really...\Sorry.\My telepathy can't reach all the way to the guild. response:	We'll have to do it with the people who can hear me.
context: Worry not.\Juvia is also okay.\So is Bisca, Alzack.\I see...\Thank goodness... Really...\Sorry.\My telepathy can't reach all the way to the guild.\We'll have to do it with the people who can hear me. response:	Destroy those things up in the sky!
context: Juvia is also okay.\So is Bisca, Alzack.\I see...\Thank goodness... Really...\Sorry.\My telepathy can't reach all the way to the guild.\We'll have to do it with the people who can hear me.\Destroy those things up in the sky! response:	Damn you, Warren!
context: So is Bisca, Alzack.\I see...\Thank goodness... Really...\Sorry.\My telepathy can't reach all the way to the guild.\We'll have to do it with the people who can hear me.\Destroy those things up in the sky!\Damn you, Warren! response:	Did you forget what you did to me?
context: I see...\Thank goodness... Really...\Sorry.\My telepathy can't reach all the way to the guild.\We'll have to do it with the people who can hear me.\Destroy those things up in the sky!\Damn you, Warren!\Did you forget what you did to me? response:	Max?
context: Thank goodness... Really...\Sorry.\My telepathy can't reach all the way to the guild.\We'll have to do it with the people who can hear me.\Destroy those things up in the sky!\Damn you, Warren!\Did you forget what you did to me?\Max? response:	I'm sorry about that, man...
context: Sorry.\My telepathy can't reach all the way to the guild.\We'll have to do it with the people who can hear me.\Destroy those things up in the sky!\Damn you, Warren!\Did you forget what you did to me?\Max?\I'm sorry about that, man... response:	I was, like, really trying to save Erza and the others, so...
context: My telepathy can't reach all the way to the guild.\We'll have to do it with the people who can hear me.\Destroy those things up in the sky!\Damn you, Warren!\Did you forget what you did to me?\Max?\I'm sorry about that, man...\I was, like, really trying to save Erza and the others, so... response:	This is Droy!
context: We'll have to do it with the people who can hear me.\Destroy those things up in the sky!\Damn you, Warren!\Did you forget what you did to me?\Max?\I'm sorry about that, man...\I was, like, really trying to save Erza and the others, so...\This is Droy! response:	Can you hear me, Alzack?
context: Destroy those things up in the sky!\Damn you, Warren!\Did you forget what you did to me?\Max?\I'm sorry about that, man...\I was, like, really trying to save Erza and the others, so...\This is Droy!\Can you hear me, Alzack? response:	I-I hear you.
context: Damn you, Warren!\Did you forget what you did to me?\Max?\I'm sorry about that, man...\I was, like, really trying to save Erza and the others, so...\This is Droy!\Can you hear me, Alzack?\I-I hear you. response:	I'm sorry about before.
context: Did you forget what you did to me?\Max?\I'm sorry about that, man...\I was, like, really trying to save Erza and the others, so...\This is Droy!\Can you hear me, Alzack?\I-I hear you.\I'm sorry about before. response:	You think that's gonna cut it?
context: Max?\I'm sorry about that, man...\I was, like, really trying to save Erza and the others, so...\This is Droy!\Can you hear me, Alzack?\I-I hear you.\I'm sorry about before.\You think that's gonna cut it? response:	You hit me with a sneak attack!
context: I'm sorry about that, man...\I was, like, really trying to save Erza and the others, so...\This is Droy!\Can you hear me, Alzack?\I-I hear you.\I'm sorry about before.\You think that's gonna cut it?\You hit me with a sneak attack! response:	And you, Wakaba!
context: I was, like, really trying to save Erza and the others, so...\This is Droy!\Can you hear me, Alzack?\I-I hear you.\I'm sorry about before.\You think that's gonna cut it?\You hit me with a sneak attack!\And you, Wakaba! response:	We're not gonna forgive you, Laki!
context: This is Droy!\Can you hear me, Alzack?\I-I hear you.\I'm sorry about before.\You think that's gonna cut it?\You hit me with a sneak attack!\And you, Wakaba!\We're not gonna forgive you, Laki! response:	Save the fightin' for later!
context: Can you hear me, Alzack?\I-I hear you.\I'm sorry about before.\You think that's gonna cut it?\You hit me with a sneak attack!\And you, Wakaba!\We're not gonna forgive you, Laki!\Save the fightin' for later! response:	You're one to talk!
context: I-I hear you.\I'm sorry about before.\You think that's gonna cut it?\You hit me with a sneak attack!\And you, Wakaba!\We're not gonna forgive you, Laki!\Save the fightin' for later!\You're one to talk! response:	There is no time now!
context: I'm sorry about before.\You think that's gonna cut it?\You hit me with a sneak attack!\And you, Wakaba!\We're not gonna forgive you, Laki!\Save the fightin' for later!\You're one to talk!\There is no time now! response:	Destroy the things floating in the sky!
context: You think that's gonna cut it?\You hit me with a sneak attack!\And you, Wakaba!\We're not gonna forgive you, Laki!\Save the fightin' for later!\You're one to talk!\There is no time now!\Destroy the things floating in the sky! response:	You don't get it, do you?
context: You hit me with a sneak attack!\And you, Wakaba!\We're not gonna forgive you, Laki!\Save the fightin' for later!\You're one to talk!\There is no time now!\Destroy the things floating in the sky!\You don't get it, do you? response:	When I don't hold back, I'm way stronger!
context: And you, Wakaba!\We're not gonna forgive you, Laki!\Save the fightin' for later!\You're one to talk!\There is no time now!\Destroy the things floating in the sky!\You don't get it, do you?\When I don't hold back, I'm way stronger! response:	What? As if!
context: We're not gonna forgive you, Laki!\Save the fightin' for later!\You're one to talk!\There is no time now!\Destroy the things floating in the sky!\You don't get it, do you?\When I don't hold back, I'm way stronger!\What? As if! response:	You always attack first, think later!
context: Save the fightin' for later!\You're one to talk!\There is no time now!\Destroy the things floating in the sky!\You don't get it, do you?\When I don't hold back, I'm way stronger!\What? As if!\You always attack first, think later! response:	That sounds more like you!
context: You're one to talk!\There is no time now!\Destroy the things floating in the sky!\You don't get it, do you?\When I don't hold back, I'm way stronger!\What? As if!\You always attack first, think later!\That sounds more like you! response:	Everyone, listen!
context: There is no time now!\Destroy the things floating in the sky!\You don't get it, do you?\When I don't hold back, I'm way stronger!\What? As if!\You always attack first, think later!\That sounds more like you!\Everyone, listen! response:	This isn't the time to be fighting!
context: Destroy the things floating in the sky!\You don't get it, do you?\When I don't hold back, I'm way stronger!\What? As if!\You always attack first, think later!\That sounds more like you!\Everyone, listen!\This isn't the time to be fighting! response:	The people of the city are in real danger!
context: You don't get it, do you?\When I don't hold back, I'm way stronger!\What? As if!\You always attack first, think later!\That sounds more like you!\Everyone, listen!\This isn't the time to be fighting!\The people of the city are in real danger! response:	We have to all work together to protect the city of Magnolia!
context: When I don't hold back, I'm way stronger!\What? As if!\You always attack first, think later!\That sounds more like you!\Everyone, listen!\This isn't the time to be fighting!\The people of the city are in real danger!\We have to all work together to protect the city of Magnolia! response:	If we combine our powers, we can overcome anything!
context: What? As if!\You always attack first, think later!\That sounds more like you!\Everyone, listen!\This isn't the time to be fighting!\The people of the city are in real danger!\We have to all work together to protect the city of Magnolia!\If we combine our powers, we can overcome anything! response:	That's what I've learned after coming here.
context: You always attack first, think later!\That sounds more like you!\Everyone, listen!\This isn't the time to be fighting!\The people of the city are in real danger!\We have to all work together to protect the city of Magnolia!\If we combine our powers, we can overcome anything!\That's what I've learned after coming here. response:	I know I just joined Fairy Tail recently.
context: That sounds more like you!\Everyone, listen!\This isn't the time to be fighting!\The people of the city are in real danger!\We have to all work together to protect the city of Magnolia!\If we combine our powers, we can overcome anything!\That's what I've learned after coming here.\I know I just joined Fairy Tail recently. response:	But my feelings for this guild are as strong as anybody's!
context: Everyone, listen!\This isn't the time to be fighting!\The people of the city are in real danger!\We have to all work together to protect the city of Magnolia!\If we combine our powers, we can overcome anything!\That's what I've learned after coming here.\I know I just joined Fairy Tail recently.\But my feelings for this guild are as strong as anybody's! response:	Fairy Tail has been my dream since long ago...
context: This isn't the time to be fighting!\The people of the city are in real danger!\We have to all work together to protect the city of Magnolia!\If we combine our powers, we can overcome anything!\That's what I've learned after coming here.\I know I just joined Fairy Tail recently.\But my feelings for this guild are as strong as anybody's!\Fairy Tail has been my dream since long ago... response:	It's always been my goal.
context: The people of the city are in real danger!\We have to all work together to protect the city of Magnolia!\If we combine our powers, we can overcome anything!\That's what I've learned after coming here.\I know I just joined Fairy Tail recently.\But my feelings for this guild are as strong as anybody's!\Fairy Tail has been my dream since long ago...\It's always been my goal. response:	Even now.
context: We have to all work together to protect the city of Magnolia!\If we combine our powers, we can overcome anything!\That's what I've learned after coming here.\I know I just joined Fairy Tail recently.\But my feelings for this guild are as strong as anybody's!\Fairy Tail has been my dream since long ago...\It's always been my goal.\Even now. response:	So, please...
context: If we combine our powers, we can overcome anything!\That's what I've learned after coming here.\I know I just joined Fairy Tail recently.\But my feelings for this guild are as strong as anybody's!\Fairy Tail has been my dream since long ago...\It's always been my goal.\Even now.\So, please... response:	Let's all work together...
context: That's what I've learned after coming here.\I know I just joined Fairy Tail recently.\But my feelings for this guild are as strong as anybody's!\Fairy Tail has been my dream since long ago...\It's always been my goal.\Even now.\So, please...\Let's all work together... response:	Let's protect our guild...
context: I know I just joined Fairy Tail recently.\But my feelings for this guild are as strong as anybody's!\Fairy Tail has been my dream since long ago...\It's always been my goal.\Even now.\So, please...\Let's all work together...\Let's protect our guild... response:	Lucy...
context: But my feelings for this guild are as strong as anybody's!\Fairy Tail has been my dream since long ago...\It's always been my goal.\Even now.\So, please...\Let's all work together...\Let's protect our guild...\Lucy... response:	And if that won't convince you...
context: Fairy Tail has been my dream since long ago...\It's always been my goal.\Even now.\So, please...\Let's all work together...\Let's protect our guild...\Lucy...\And if that won't convince you... response:	I'll destroy all the lacrima myself!
context: It's always been my goal.\Even now.\So, please...\Let's all work together...\Let's protect our guild...\Lucy...\And if that won't convince you...\I'll destroy all the lacrima myself! response:	Listen up people!
context: Even now.\So, please...\Let's all work together...\Let's protect our guild...\Lucy...\And if that won't convince you...\I'll destroy all the lacrima myself!\Listen up people! response:	You really gonna let the newbie one up you like that?
context: So, please...\Let's all work together...\Let's protect our guild...\Lucy...\And if that won't convince you...\I'll destroy all the lacrima myself!\Listen up people!\You really gonna let the newbie one up you like that? response:	She's not new any more...
context: Let's all work together...\Let's protect our guild...\Lucy...\And if that won't convince you...\I'll destroy all the lacrima myself!\Listen up people!\You really gonna let the newbie one up you like that?\She's not new any more... response:	She's got more Fairy Tail spirit than any of us!
context: Let's protect our guild...\Lucy...\And if that won't convince you...\I'll destroy all the lacrima myself!\Listen up people!\You really gonna let the newbie one up you like that?\She's not new any more...\She's got more Fairy Tail spirit than any of us! response:	Lucy, you're exactly right.
context: Lucy...\And if that won't convince you...\I'll destroy all the lacrima myself!\Listen up people!\You really gonna let the newbie one up you like that?\She's not new any more...\She's got more Fairy Tail spirit than any of us!\Lucy, you're exactly right. response:	We'll settle things later.
context: And if that won't convince you...\I'll destroy all the lacrima myself!\Listen up people!\You really gonna let the newbie one up you like that?\She's not new any more...\She's got more Fairy Tail spirit than any of us!\Lucy, you're exactly right.\We'll settle things later. response:	I can't argue with that, now can I?
context: I'll destroy all the lacrima myself!\Listen up people!\You really gonna let the newbie one up you like that?\She's not new any more...\She's got more Fairy Tail spirit than any of us!\Lucy, you're exactly right.\We'll settle things later.\I can't argue with that, now can I? response:	Thanks to you, I'm thinking straight again.
context: Listen up people!\You really gonna let the newbie one up you like that?\She's not new any more...\She's got more Fairy Tail spirit than any of us!\Lucy, you're exactly right.\We'll settle things later.\I can't argue with that, now can I?\Thanks to you, I'm thinking straight again. response:	Are all you folks ready?
context: You really gonna let the newbie one up you like that?\She's not new any more...\She's got more Fairy Tail spirit than any of us!\Lucy, you're exactly right.\We'll settle things later.\I can't argue with that, now can I?\Thanks to you, I'm thinking straight again.\Are all you folks ready? response:	You guys...
context: She's not new any more...\She's got more Fairy Tail spirit than any of us!\Lucy, you're exactly right.\We'll settle things later.\I can't argue with that, now can I?\Thanks to you, I'm thinking straight again.\Are all you folks ready?\You guys... response:	Everyone...
context: She's got more Fairy Tail spirit than any of us!\Lucy, you're exactly right.\We'll settle things later.\I can't argue with that, now can I?\Thanks to you, I'm thinking straight again.\Are all you folks ready?\You guys...\Everyone... response:	Warren, we'll settle this after those things are destroyed.
context: Lucy, you're exactly right.\We'll settle things later.\I can't argue with that, now can I?\Thanks to you, I'm thinking straight again.\Are all you folks ready?\You guys...\Everyone...\Warren, we'll settle this after those things are destroyed. response:	Makao, you can't handle this! Take a nap!
context: We'll settle things later.\I can't argue with that, now can I?\Thanks to you, I'm thinking straight again.\Are all you folks ready?\You guys...\Everyone...\Warren, we'll settle this after those things are destroyed.\Makao, you can't handle this! Take a nap! response:	Oh, yeah? Wakaba!
context: I can't argue with that, now can I?\Thanks to you, I'm thinking straight again.\Are all you folks ready?\You guys...\Everyone...\Warren, we'll settle this after those things are destroyed.\Makao, you can't handle this! Take a nap!\Oh, yeah? Wakaba! response:	You sure prance around a lot for an old man.
context: Thanks to you, I'm thinking straight again.\Are all you folks ready?\You guys...\Everyone...\Warren, we'll settle this after those things are destroyed.\Makao, you can't handle this! Take a nap!\Oh, yeah? Wakaba!\You sure prance around a lot for an old man. response:	Let's go, Happy!
context: Are all you folks ready?\You guys...\Everyone...\Warren, we'll settle this after those things are destroyed.\Makao, you can't handle this! Take a nap!\Oh, yeah? Wakaba!\You sure prance around a lot for an old man.\Let's go, Happy! response:	They have Body Link magic protecting them!
context: You guys...\Everyone...\Warren, we'll settle this after those things are destroyed.\Makao, you can't handle this! Take a nap!\Oh, yeah? Wakaba!\You sure prance around a lot for an old man.\Let's go, Happy!\They have Body Link magic protecting them! response:	If you attack them, you'll get damaged yourself!
context: Everyone...\Warren, we'll settle this after those things are destroyed.\Makao, you can't handle this! Take a nap!\Oh, yeah? Wakaba!\You sure prance around a lot for an old man.\Let's go, Happy!\They have Body Link magic protecting them!\If you attack them, you'll get damaged yourself! response:	It's gonna hurt!
