context: Tatooin Station response:	In the days off we had after the sports festival,
context: Midoriya from the hero class!\Good job at the sports festival! You were so close!\Huh?\You were in the top eight, right?\You were so cool!\He's smaller than I expected.\He reminds me of when I was young.\Yeah, it's like he's trying really hard. response:	U.A. High School Sports Festival Katsuki Bakugo Wins First-Year Competition Final Results 1st - Katsuki Bakugo 2nd - Shoto Todoroki 3rd - Fumikage Tokoyami, Tenya Iida
context: Good job at the sports festival! You were so close!\Huh?\You were in the top eight, right?\You were so cool!\He's smaller than I expected.\He reminds me of when I was young.\Yeah, it's like he's trying really hard.\U.A. High School Sports Festival Katsuki Bakugo Wins First-Year Competition Final Results 1st - Katsuki Bakugo 2nd - Shoto Todoroki 3rd - Fumikage Tokoyami, Tenya Iida response:	Do your best, hero!
context: Huh?\You were in the top eight, right?\You were so cool!\He's smaller than I expected.\He reminds me of when I was young.\Yeah, it's like he's trying really hard.\U.A. High School Sports Festival Katsuki Bakugo Wins First-Year Competition Final Results 1st - Katsuki Bakugo 2nd - Shoto Todoroki 3rd - Fumikage Tokoyami, Tenya Iida\Do your best, hero! response:	I-I will!
context: You were in the top eight, right?\You were so cool!\He's smaller than I expected.\He reminds me of when I was young.\Yeah, it's like he's trying really hard.\U.A. High School Sports Festival Katsuki Bakugo Wins First-Year Competition Final Results 1st - Katsuki Bakugo 2nd - Shoto Todoroki 3rd - Fumikage Tokoyami, Tenya Iida\Do your best, hero!\I-I will! response:	It's only morning, but I'm already tired.
context: You were so cool!\He's smaller than I expected.\He reminds me of when I was young.\Yeah, it's like he's trying really hard.\U.A. High School Sports Festival Katsuki Bakugo Wins First-Year Competition Final Results 1st - Katsuki Bakugo 2nd - Shoto Todoroki 3rd - Fumikage Tokoyami, Tenya Iida\Do your best, hero!\I-I will!\It's only morning, but I'm already tired. response:	Good morning, Midoriya!
context: He's smaller than I expected.\He reminds me of when I was young.\Yeah, it's like he's trying really hard.\U.A. High School Sports Festival Katsuki Bakugo Wins First-Year Competition Final Results 1st - Katsuki Bakugo 2nd - Shoto Todoroki 3rd - Fumikage Tokoyami, Tenya Iida\Do your best, hero!\I-I will!\It's only morning, but I'm already tired.\Good morning, Midoriya! response:	Iida?
context: He reminds me of when I was young.\Yeah, it's like he's trying really hard.\U.A. High School Sports Festival Katsuki Bakugo Wins First-Year Competition Final Results 1st - Katsuki Bakugo 2nd - Shoto Todoroki 3rd - Fumikage Tokoyami, Tenya Iida\Do your best, hero!\I-I will!\It's only morning, but I'm already tired.\Good morning, Midoriya!\Iida? response:	Wearing a p-poncho and rain boots?
context: Yeah, it's like he's trying really hard.\U.A. High School Sports Festival Katsuki Bakugo Wins First-Year Competition Final Results 1st - Katsuki Bakugo 2nd - Shoto Todoroki 3rd - Fumikage Tokoyami, Tenya Iida\Do your best, hero!\I-I will!\It's only morning, but I'm already tired.\Good morning, Midoriya!\Iida?\Wearing a p-poncho and rain boots? response:	Why are you walking so slowly?
context: U.A. High School Sports Festival Katsuki Bakugo Wins First-Year Competition Final Results 1st - Katsuki Bakugo 2nd - Shoto Todoroki 3rd - Fumikage Tokoyami, Tenya Iida\Do your best, hero!\I-I will!\It's only morning, but I'm already tired.\Good morning, Midoriya!\Iida?\Wearing a p-poncho and rain boots?\Why are you walking so slowly? response:	You're going to be late!
context: Do your best, hero!\I-I will!\It's only morning, but I'm already tired.\Good morning, Midoriya!\Iida?\Wearing a p-poncho and rain boots?\Why are you walking so slowly?\You're going to be late! response:	Late? There are still five minutes until the first bell.
context: I-I will!\It's only morning, but I'm already tired.\Good morning, Midoriya!\Iida?\Wearing a p-poncho and rain boots?\Why are you walking so slowly?\You're going to be late!\Late? There are still five minutes until the first bell. response:	Iida, um-
context: It's only morning, but I'm already tired.\Good morning, Midoriya!\Iida?\Wearing a p-poncho and rain boots?\Why are you walking so slowly?\You're going to be late!\Late? There are still five minutes until the first bell.\Iida, um- response:	If it's about my brother, there is no need to worry.
context: Good morning, Midoriya!\Iida?\Wearing a p-poncho and rain boots?\Why are you walking so slowly?\You're going to be late!\Late? There are still five minutes until the first bell.\Iida, um-\If it's about my brother, there is no need to worry. response:	I apologize for worrying you needlessly.
context: Iida?\Wearing a p-poncho and rain boots?\Why are you walking so slowly?\You're going to be late!\Late? There are still five minutes until the first bell.\Iida, um-\If it's about my brother, there is no need to worry.\I apologize for worrying you needlessly. response:	Time to Pick Some Names
context: Wearing a p-poncho and rain boots?\Why are you walking so slowly?\You're going to be late!\Late? There are still five minutes until the first bell.\Iida, um-\If it's about my brother, there is no need to worry.\I apologize for worrying you needlessly.\Time to Pick Some Names response:	It's different when they broadcast the matches on TV after all, huh?
context: Why are you walking so slowly?\You're going to be late!\Late? There are still five minutes until the first bell.\Iida, um-\If it's about my brother, there is no need to worry.\I apologize for worrying you needlessly.\Time to Pick Some Names\It's different when they broadcast the matches on TV after all, huh? response:	So many people talked to me on my way here!
context: You're going to be late!\Late? There are still five minutes until the first bell.\Iida, um-\If it's about my brother, there is no need to worry.\I apologize for worrying you needlessly.\Time to Pick Some Names\It's different when they broadcast the matches on TV after all, huh?\So many people talked to me on my way here! response:	Yeah, me too!
context: Late? There are still five minutes until the first bell.\Iida, um-\If it's about my brother, there is no need to worry.\I apologize for worrying you needlessly.\Time to Pick Some Names\It's different when they broadcast the matches on TV after all, huh?\So many people talked to me on my way here!\Yeah, me too! response:	People were staring at me, too. It was kind of embarrassing!
context: Iida, um-\If it's about my brother, there is no need to worry.\I apologize for worrying you needlessly.\Time to Pick Some Names\It's different when they broadcast the matches on TV after all, huh?\So many people talked to me on my way here!\Yeah, me too!\People were staring at me, too. It was kind of embarrassing! response:	Isn't that normal for you, Hagakure?
context: If it's about my brother, there is no need to worry.\I apologize for worrying you needlessly.\Time to Pick Some Names\It's different when they broadcast the matches on TV after all, huh?\So many people talked to me on my way here!\Yeah, me too!\People were staring at me, too. It was kind of embarrassing!\Isn't that normal for you, Hagakure? response:	I had some elementary schoolers suddenly tell me Don't worry about it.
context: I apologize for worrying you needlessly.\Time to Pick Some Names\It's different when they broadcast the matches on TV after all, huh?\So many people talked to me on my way here!\Yeah, me too!\People were staring at me, too. It was kind of embarrassing!\Isn't that normal for you, Hagakure?\I had some elementary schoolers suddenly tell me Don't worry about it. response:	Don't worry about it!
context: Time to Pick Some Names\It's different when they broadcast the matches on TV after all, huh?\So many people talked to me on my way here!\Yeah, me too!\People were staring at me, too. It was kind of embarrassing!\Isn't that normal for you, Hagakure?\I had some elementary schoolers suddenly tell me Don't worry about it.\Don't worry about it! response:	After just one day, we've suddenly been thrust into the spotlight, huh?
context: It's different when they broadcast the matches on TV after all, huh?\So many people talked to me on my way here!\Yeah, me too!\People were staring at me, too. It was kind of embarrassing!\Isn't that normal for you, Hagakure?\I had some elementary schoolers suddenly tell me Don't worry about it.\Don't worry about it!\After just one day, we've suddenly been thrust into the spotlight, huh? response:	Morning.
context: So many people talked to me on my way here!\Yeah, me too!\People were staring at me, too. It was kind of embarrassing!\Isn't that normal for you, Hagakure?\I had some elementary schoolers suddenly tell me Don't worry about it.\Don't worry about it!\After just one day, we've suddenly been thrust into the spotlight, huh?\Morning. response:	Good morning!
context: Yeah, me too!\People were staring at me, too. It was kind of embarrassing!\Isn't that normal for you, Hagakure?\I had some elementary schoolers suddenly tell me Don't worry about it.\Don't worry about it!\After just one day, we've suddenly been thrust into the spotlight, huh?\Morning.\Good morning! response:	Ribbit?
context: People were staring at me, too. It was kind of embarrassing!\Isn't that normal for you, Hagakure?\I had some elementary schoolers suddenly tell me Don't worry about it.\Don't worry about it!\After just one day, we've suddenly been thrust into the spotlight, huh?\Morning.\Good morning!\Ribbit? response:	Mr. Aizawa, your bandages are gone.
context: Isn't that normal for you, Hagakure?\I had some elementary schoolers suddenly tell me Don't worry about it.\Don't worry about it!\After just one day, we've suddenly been thrust into the spotlight, huh?\Morning.\Good morning!\Ribbit?\Mr. Aizawa, your bandages are gone. response:	I'm glad.
context: I had some elementary schoolers suddenly tell me Don't worry about it.\Don't worry about it!\After just one day, we've suddenly been thrust into the spotlight, huh?\Morning.\Good morning!\Ribbit?\Mr. Aizawa, your bandages are gone.\I'm glad. response:	The old lady went overboard with her treatment.
context: Don't worry about it!\After just one day, we've suddenly been thrust into the spotlight, huh?\Morning.\Good morning!\Ribbit?\Mr. Aizawa, your bandages are gone.\I'm glad.\The old lady went overboard with her treatment. response:	More importantly, we're having a special hero informatics class today.
context: After just one day, we've suddenly been thrust into the spotlight, huh?\Morning.\Good morning!\Ribbit?\Mr. Aizawa, your bandages are gone.\I'm glad.\The old lady went overboard with her treatment.\More importantly, we're having a special hero informatics class today. response:	Here it is!
context: Morning.\Good morning!\Ribbit?\Mr. Aizawa, your bandages are gone.\I'm glad.\The old lady went overboard with her treatment.\More importantly, we're having a special hero informatics class today.\Here it is! response:	Special?
context: Good morning!\Ribbit?\Mr. Aizawa, your bandages are gone.\I'm glad.\The old lady went overboard with her treatment.\More importantly, we're having a special hero informatics class today.\Here it is!\Special? response:	Is it a quiz? I hope not...
context: Ribbit?\Mr. Aizawa, your bandages are gone.\I'm glad.\The old lady went overboard with her treatment.\More importantly, we're having a special hero informatics class today.\Here it is!\Special?\Is it a quiz? I hope not... response:	I'm bad at laws relating to heroes and stuff like that...
context: Mr. Aizawa, your bandages are gone.\I'm glad.\The old lady went overboard with her treatment.\More importantly, we're having a special hero informatics class today.\Here it is!\Special?\Is it a quiz? I hope not...\I'm bad at laws relating to heroes and stuff like that... response:	Code names.
context: I'm glad.\The old lady went overboard with her treatment.\More importantly, we're having a special hero informatics class today.\Here it is!\Special?\Is it a quiz? I hope not...\I'm bad at laws relating to heroes and stuff like that...\Code names. response:	You'll be coming up with hero names.
context: The old lady went overboard with her treatment.\More importantly, we're having a special hero informatics class today.\Here it is!\Special?\Is it a quiz? I hope not...\I'm bad at laws relating to heroes and stuff like that...\Code names.\You'll be coming up with hero names. response:	We're gonna do something exciting!
context: More importantly, we're having a special hero informatics class today.\Here it is!\Special?\Is it a quiz? I hope not...\I'm bad at laws relating to heroes and stuff like that...\Code names.\You'll be coming up with hero names.\We're gonna do something exciting! response:	This is related to the pro hero draft picks I mentioned the other day.
context: Here it is!\Special?\Is it a quiz? I hope not...\I'm bad at laws relating to heroes and stuff like that...\Code names.\You'll be coming up with hero names.\We're gonna do something exciting!\This is related to the pro hero draft picks I mentioned the other day. response:	The drafts begin in earnest in the second and third years,
context: Special?\Is it a quiz? I hope not...\I'm bad at laws relating to heroes and stuff like that...\Code names.\You'll be coming up with hero names.\We're gonna do something exciting!\This is related to the pro hero draft picks I mentioned the other day.\The drafts begin in earnest in the second and third years, response:	after students have gained experience and can become immediate assets to the pros.
context: Is it a quiz? I hope not...\I'm bad at laws relating to heroes and stuff like that...\Code names.\You'll be coming up with hero names.\We're gonna do something exciting!\This is related to the pro hero draft picks I mentioned the other day.\The drafts begin in earnest in the second and third years,\after students have gained experience and can become immediate assets to the pros. response:	In other words, for them to extend offers to first years like you
context: I'm bad at laws relating to heroes and stuff like that...\Code names.\You'll be coming up with hero names.\We're gonna do something exciting!\This is related to the pro hero draft picks I mentioned the other day.\The drafts begin in earnest in the second and third years,\after students have gained experience and can become immediate assets to the pros.\In other words, for them to extend offers to first years like you response:	shows that they are interested in your future potential.
context: Code names.\You'll be coming up with hero names.\We're gonna do something exciting!\This is related to the pro hero draft picks I mentioned the other day.\The drafts begin in earnest in the second and third years,\after students have gained experience and can become immediate assets to the pros.\In other words, for them to extend offers to first years like you\shows that they are interested in your future potential. response:	These offers are often cancelled if that interest dies down by graduation.
context: You'll be coming up with hero names.\We're gonna do something exciting!\This is related to the pro hero draft picks I mentioned the other day.\The drafts begin in earnest in the second and third years,\after students have gained experience and can become immediate assets to the pros.\In other words, for them to extend offers to first years like you\shows that they are interested in your future potential.\These offers are often cancelled if that interest dies down by graduation. response:	Adults are so selfish!
context: We're gonna do something exciting!\This is related to the pro hero draft picks I mentioned the other day.\The drafts begin in earnest in the second and third years,\after students have gained experience and can become immediate assets to the pros.\In other words, for them to extend offers to first years like you\shows that they are interested in your future potential.\These offers are often cancelled if that interest dies down by graduation.\Adults are so selfish! response:	So we'll have to prove ourselves once we get picked, huh?
context: This is related to the pro hero draft picks I mentioned the other day.\The drafts begin in earnest in the second and third years,\after students have gained experience and can become immediate assets to the pros.\In other words, for them to extend offers to first years like you\shows that they are interested in your future potential.\These offers are often cancelled if that interest dies down by graduation.\Adults are so selfish!\So we'll have to prove ourselves once we get picked, huh? response:	That's right.
context: The drafts begin in earnest in the second and third years,\after students have gained experience and can become immediate assets to the pros.\In other words, for them to extend offers to first years like you\shows that they are interested in your future potential.\These offers are often cancelled if that interest dies down by graduation.\Adults are so selfish!\So we'll have to prove ourselves once we get picked, huh?\That's right. response:	And here are the totals for those with offers.
context: after students have gained experience and can become immediate assets to the pros.\In other words, for them to extend offers to first years like you\shows that they are interested in your future potential.\These offers are often cancelled if that interest dies down by graduation.\Adults are so selfish!\So we'll have to prove ourselves once we get picked, huh?\That's right.\And here are the totals for those with offers. response:	Class A No. of Offers Todoroki Bakugo Tokoyami Iida
context: In other words, for them to extend offers to first years like you\shows that they are interested in your future potential.\These offers are often cancelled if that interest dies down by graduation.\Adults are so selfish!\So we'll have to prove ourselves once we get picked, huh?\That's right.\And here are the totals for those with offers.\Class A No. of Offers Todoroki Bakugo Tokoyami Iida response:	Kaminari Yaoyorozu Kirishima Uraraka Sero
context: shows that they are interested in your future potential.\These offers are often cancelled if that interest dies down by graduation.\Adults are so selfish!\So we'll have to prove ourselves once we get picked, huh?\That's right.\And here are the totals for those with offers.\Class A No. of Offers Todoroki Bakugo Tokoyami Iida\Kaminari Yaoyorozu Kirishima Uraraka Sero response:	In other years, it's been more spread out, but all eyes were on these two this year.
context: These offers are often cancelled if that interest dies down by graduation.\Adults are so selfish!\So we'll have to prove ourselves once we get picked, huh?\That's right.\And here are the totals for those with offers.\Class A No. of Offers Todoroki Bakugo Tokoyami Iida\Kaminari Yaoyorozu Kirishima Uraraka Sero\In other years, it's been more spread out, but all eyes were on these two this year. response:	Gah, there's such a big difference!
context: Adults are so selfish!\So we'll have to prove ourselves once we get picked, huh?\That's right.\And here are the totals for those with offers.\Class A No. of Offers Todoroki Bakugo Tokoyami Iida\Kaminari Yaoyorozu Kirishima Uraraka Sero\In other years, it's been more spread out, but all eyes were on these two this year.\Gah, there's such a big difference! response:	Those pros don't know a good thing when they see one!
context: So we'll have to prove ourselves once we get picked, huh?\That's right.\And here are the totals for those with offers.\Class A No. of Offers Todoroki Bakugo Tokoyami Iida\Kaminari Yaoyorozu Kirishima Uraraka Sero\In other years, it's been more spread out, but all eyes were on these two this year.\Gah, there's such a big difference!\Those pros don't know a good thing when they see one! response:	Todoroki's first, and Bakugo's second...?
context: That's right.\And here are the totals for those with offers.\Class A No. of Offers Todoroki Bakugo Tokoyami Iida\Kaminari Yaoyorozu Kirishima Uraraka Sero\In other years, it's been more spread out, but all eyes were on these two this year.\Gah, there's such a big difference!\Those pros don't know a good thing when they see one!\Todoroki's first, and Bakugo's second...? response:	It's the opposite of their placement in the sports festival.
context: And here are the totals for those with offers.\Class A No. of Offers Todoroki Bakugo Tokoyami Iida\Kaminari Yaoyorozu Kirishima Uraraka Sero\In other years, it's been more spread out, but all eyes were on these two this year.\Gah, there's such a big difference!\Those pros don't know a good thing when they see one!\Todoroki's first, and Bakugo's second...?\It's the opposite of their placement in the sports festival. response:	Some people are too scared to ask for a guy who had to be restrained on the podium.
context: Class A No. of Offers Todoroki Bakugo Tokoyami Iida\Kaminari Yaoyorozu Kirishima Uraraka Sero\In other years, it's been more spread out, but all eyes were on these two this year.\Gah, there's such a big difference!\Those pros don't know a good thing when they see one!\Todoroki's first, and Bakugo's second...?\It's the opposite of their placement in the sports festival.\Some people are too scared to ask for a guy who had to be restrained on the podium. response:	What're the pros scared of?!
context: Kaminari Yaoyorozu Kirishima Uraraka Sero\In other years, it's been more spread out, but all eyes were on these two this year.\Gah, there's such a big difference!\Those pros don't know a good thing when they see one!\Todoroki's first, and Bakugo's second...?\It's the opposite of their placement in the sports festival.\Some people are too scared to ask for a guy who had to be restrained on the podium.\What're the pros scared of?! response:	You're amazing, Todoroki.
context: In other years, it's been more spread out, but all eyes were on these two this year.\Gah, there's such a big difference!\Those pros don't know a good thing when they see one!\Todoroki's first, and Bakugo's second...?\It's the opposite of their placement in the sports festival.\Some people are too scared to ask for a guy who had to be restrained on the podium.\What're the pros scared of?!\You're amazing, Todoroki. response:	They're probably all because of my dad.
context: Gah, there's such a big difference!\Those pros don't know a good thing when they see one!\Todoroki's first, and Bakugo's second...?\It's the opposite of their placement in the sports festival.\Some people are too scared to ask for a guy who had to be restrained on the podium.\What're the pros scared of?!\You're amazing, Todoroki.\They're probably all because of my dad. response:	-Wow, we got offers! -Yes, yes.
context: Those pros don't know a good thing when they see one!\Todoroki's first, and Bakugo's second...?\It's the opposite of their placement in the sports festival.\Some people are too scared to ask for a guy who had to be restrained on the podium.\What're the pros scared of?!\You're amazing, Todoroki.\They're probably all because of my dad.\-Wow, we got offers! -Yes, yes. response:	Midoriya, you didn't get any!
context: Todoroki's first, and Bakugo's second...?\It's the opposite of their placement in the sports festival.\Some people are too scared to ask for a guy who had to be restrained on the podium.\What're the pros scared of?!\You're amazing, Todoroki.\They're probably all because of my dad.\-Wow, we got offers! -Yes, yes.\Midoriya, you didn't get any! response:	They're scared of you'cause of the crazy way you were fighting.
context: It's the opposite of their placement in the sports festival.\Some people are too scared to ask for a guy who had to be restrained on the podium.\What're the pros scared of?!\You're amazing, Todoroki.\They're probably all because of my dad.\-Wow, we got offers! -Yes, yes.\Midoriya, you didn't get any!\They're scared of you'cause of the crazy way you were fighting. response:	Yeah...
context: Some people are too scared to ask for a guy who had to be restrained on the podium.\What're the pros scared of?!\You're amazing, Todoroki.\They're probably all because of my dad.\-Wow, we got offers! -Yes, yes.\Midoriya, you didn't get any!\They're scared of you'cause of the crazy way you were fighting.\Yeah... response:	Keeping these results in mind, whether or not anyone asked for you,
context: What're the pros scared of?!\You're amazing, Todoroki.\They're probably all because of my dad.\-Wow, we got offers! -Yes, yes.\Midoriya, you didn't get any!\They're scared of you'cause of the crazy way you were fighting.\Yeah...\Keeping these results in mind, whether or not anyone asked for you, response:	you will all be participating in internships with pros.
context: You're amazing, Todoroki.\They're probably all because of my dad.\-Wow, we got offers! -Yes, yes.\Midoriya, you didn't get any!\They're scared of you'cause of the crazy way you were fighting.\Yeah...\Keeping these results in mind, whether or not anyone asked for you,\you will all be participating in internships with pros. response:	Internships?
context: They're probably all because of my dad.\-Wow, we got offers! -Yes, yes.\Midoriya, you didn't get any!\They're scared of you'cause of the crazy way you were fighting.\Yeah...\Keeping these results in mind, whether or not anyone asked for you,\you will all be participating in internships with pros.\Internships? response:	Yeah.
context: -Wow, we got offers! -Yes, yes.\Midoriya, you didn't get any!\They're scared of you'cause of the crazy way you were fighting.\Yeah...\Keeping these results in mind, whether or not anyone asked for you,\you will all be participating in internships with pros.\Internships?\Yeah. response:	At USJ, you already got to experience combat with real villains,
context: Midoriya, you didn't get any!\They're scared of you'cause of the crazy way you were fighting.\Yeah...\Keeping these results in mind, whether or not anyone asked for you,\you will all be participating in internships with pros.\Internships?\Yeah.\At USJ, you already got to experience combat with real villains, response:	but it will still be meaningful training for you to see pros at work firsthand.
context: They're scared of you'cause of the crazy way you were fighting.\Yeah...\Keeping these results in mind, whether or not anyone asked for you,\you will all be participating in internships with pros.\Internships?\Yeah.\At USJ, you already got to experience combat with real villains,\but it will still be meaningful training for you to see pros at work firsthand. response:	So that explains the hero names!
context: Yeah...\Keeping these results in mind, whether or not anyone asked for you,\you will all be participating in internships with pros.\Internships?\Yeah.\At USJ, you already got to experience combat with real villains,\but it will still be meaningful training for you to see pros at work firsthand.\So that explains the hero names! response:	Things are suddenly getting a lot more fun!
context: Keeping these results in mind, whether or not anyone asked for you,\you will all be participating in internships with pros.\Internships?\Yeah.\At USJ, you already got to experience combat with real villains,\but it will still be meaningful training for you to see pros at work firsthand.\So that explains the hero names!\Things are suddenly getting a lot more fun! response:	Well, those hero names are still temporary,
context: you will all be participating in internships with pros.\Internships?\Yeah.\At USJ, you already got to experience combat with real villains,\but it will still be meaningful training for you to see pros at work firsthand.\So that explains the hero names!\Things are suddenly getting a lot more fun!\Well, those hero names are still temporary, response:	but if you're not serious about it...
context: Internships?\Yeah.\At USJ, you already got to experience combat with real villains,\but it will still be meaningful training for you to see pros at work firsthand.\So that explains the hero names!\Things are suddenly getting a lot more fun!\Well, those hero names are still temporary,\but if you're not serious about it... response:	Because a lot of hero names used by students become recognized by society,
context: Yeah.\At USJ, you already got to experience combat with real villains,\but it will still be meaningful training for you to see pros at work firsthand.\So that explains the hero names!\Things are suddenly getting a lot more fun!\Well, those hero names are still temporary,\but if you're not serious about it...\Because a lot of hero names used by students become recognized by society, response:	and they end up becoming professional hero names!
context: At USJ, you already got to experience combat with real villains,\but it will still be meaningful training for you to see pros at work firsthand.\So that explains the hero names!\Things are suddenly getting a lot more fun!\Well, those hero names are still temporary,\but if you're not serious about it...\Because a lot of hero names used by students become recognized by society,\and they end up becoming professional hero names! response:	Midnight!
context: but it will still be meaningful training for you to see pros at work firsthand.\So that explains the hero names!\Things are suddenly getting a lot more fun!\Well, those hero names are still temporary,\but if you're not serious about it...\Because a lot of hero names used by students become recognized by society,\and they end up becoming professional hero names!\Midnight! response:	Well, that's how it is.
context: So that explains the hero names!\Things are suddenly getting a lot more fun!\Well, those hero names are still temporary,\but if you're not serious about it...\Because a lot of hero names used by students become recognized by society,\and they end up becoming professional hero names!\Midnight!\Well, that's how it is. response:	So Midnight will be making sure your names are okay.
context: Things are suddenly getting a lot more fun!\Well, those hero names are still temporary,\but if you're not serious about it...\Because a lot of hero names used by students become recognized by society,\and they end up becoming professional hero names!\Midnight!\Well, that's how it is.\So Midnight will be making sure your names are okay. response:	I can't do stuff like that.
context: Well, those hero names are still temporary,\but if you're not serious about it...\Because a lot of hero names used by students become recognized by society,\and they end up becoming professional hero names!\Midnight!\Well, that's how it is.\So Midnight will be making sure your names are okay.\I can't do stuff like that. response:	In Shota Aizawa's case
context: but if you're not serious about it...\Because a lot of hero names used by students become recognized by society,\and they end up becoming professional hero names!\Midnight!\Well, that's how it is.\So Midnight will be making sure your names are okay.\I can't do stuff like that.\In Shota Aizawa's case response:	Hizashi Yamada (Present Mic)
context: Because a lot of hero names used by students become recognized by society,\and they end up becoming professional hero names!\Midnight!\Well, that's how it is.\So Midnight will be making sure your names are okay.\I can't do stuff like that.\In Shota Aizawa's case\Hizashi Yamada (Present Mic) response:	What? You haven't decided on a hero name yet?
context: and they end up becoming professional hero names!\Midnight!\Well, that's how it is.\So Midnight will be making sure your names are okay.\I can't do stuff like that.\In Shota Aizawa's case\Hizashi Yamada (Present Mic)\What? You haven't decided on a hero name yet? response:	I don't want to be on the news, so I don't care what name I have.
context: Midnight!\Well, that's how it is.\So Midnight will be making sure your names are okay.\I can't do stuff like that.\In Shota Aizawa's case\Hizashi Yamada (Present Mic)\What? You haven't decided on a hero name yet?\I don't want to be on the news, so I don't care what name I have. response:	All right! Then...
context: Well, that's how it is.\So Midnight will be making sure your names are okay.\I can't do stuff like that.\In Shota Aizawa's case\Hizashi Yamada (Present Mic)\What? You haven't decided on a hero name yet?\I don't want to be on the news, so I don't care what name I have.\All right! Then... response:	You'll be Eraser Head!
context: So Midnight will be making sure your names are okay.\I can't do stuff like that.\In Shota Aizawa's case\Hizashi Yamada (Present Mic)\What? You haven't decided on a hero name yet?\I don't want to be on the news, so I don't care what name I have.\All right! Then...\You'll be Eraser Head! response:	I'll go with that, then.
context: I can't do stuff like that.\In Shota Aizawa's case\Hizashi Yamada (Present Mic)\What? You haven't decided on a hero name yet?\I don't want to be on the news, so I don't care what name I have.\All right! Then...\You'll be Eraser Head!\I'll go with that, then. response:	When you give yourself a name,
context: In Shota Aizawa's case\Hizashi Yamada (Present Mic)\What? You haven't decided on a hero name yet?\I don't want to be on the news, so I don't care what name I have.\All right! Then...\You'll be Eraser Head!\I'll go with that, then.\When you give yourself a name, response:	you get a more concrete image of what you want to be like in the future,
context: Hizashi Yamada (Present Mic)\What? You haven't decided on a hero name yet?\I don't want to be on the news, so I don't care what name I have.\All right! Then...\You'll be Eraser Head!\I'll go with that, then.\When you give yourself a name,\you get a more concrete image of what you want to be like in the future, response:	and you can get closer to it.
context: What? You haven't decided on a hero name yet?\I don't want to be on the news, so I don't care what name I have.\All right! Then...\You'll be Eraser Head!\I'll go with that, then.\When you give yourself a name,\you get a more concrete image of what you want to be like in the future,\and you can get closer to it. response:	This is what it means when they say, Names and natures do often agree.
context: I don't want to be on the news, so I don't care what name I have.\All right! Then...\You'll be Eraser Head!\I'll go with that, then.\When you give yourself a name,\you get a more concrete image of what you want to be like in the future,\and you can get closer to it.\This is what it means when they say, Names and natures do often agree. response:	Like All Might, for example.
context: All right! Then...\You'll be Eraser Head!\I'll go with that, then.\When you give yourself a name,\you get a more concrete image of what you want to be like in the future,\and you can get closer to it.\This is what it means when they say, Names and natures do often agree.\Like All Might, for example. response:	All Might.
context: You'll be Eraser Head!\I'll go with that, then.\When you give yourself a name,\you get a more concrete image of what you want to be like in the future,\and you can get closer to it.\This is what it means when they say, Names and natures do often agree.\Like All Might, for example.\All Might. response:	My hero name...
context: I'll go with that, then.\When you give yourself a name,\you get a more concrete image of what you want to be like in the future,\and you can get closer to it.\This is what it means when they say, Names and natures do often agree.\Like All Might, for example.\All Might.\My hero name... response:	A name for what I want to be like in the future, huh?
