context: The reality of the destruction around us fills our mind response:	The raging rain sounds like a storm of tears
context: But this time will be different!\Now, I have the Gespenst!\Tsugumi, you still can't take back control?\The defenses suddenly got stronger!\I keep trying to erase it, but it keeps coming back like a zombie!\Someone on par with Tsugumi...\Kenji...\Is that you? response:	Good morning, Triton.
context: Now, I have the Gespenst!\Tsugumi, you still can't take back control?\The defenses suddenly got stronger!\I keep trying to erase it, but it keeps coming back like a zombie!\Someone on par with Tsugumi...\Kenji...\Is that you?\Good morning, Triton. response:	I see you're awake, Mana.
context: Tsugumi, you still can't take back control?\The defenses suddenly got stronger!\I keep trying to erase it, but it keeps coming back like a zombie!\Someone on par with Tsugumi...\Kenji...\Is that you?\Good morning, Triton.\I see you're awake, Mana. response:	Shu!
context: The defenses suddenly got stronger!\I keep trying to erase it, but it keeps coming back like a zombie!\Someone on par with Tsugumi...\Kenji...\Is that you?\Good morning, Triton.\I see you're awake, Mana.\Shu! response:	I'm so happy!
context: I keep trying to erase it, but it keeps coming back like a zombie!\Someone on par with Tsugumi...\Kenji...\Is that you?\Good morning, Triton.\I see you're awake, Mana.\Shu!\I'm so happy! response:	You came for me!
context: Someone on par with Tsugumi...\Kenji...\Is that you?\Good morning, Triton.\I see you're awake, Mana.\Shu!\I'm so happy!\You came for me! response:	It was terrible!
context: Kenji...\Is that you?\Good morning, Triton.\I see you're awake, Mana.\Shu!\I'm so happy!\You came for me!\It was terrible! response:	There was this annoying woman who kept getting in my way!
context: Is that you?\Good morning, Triton.\I see you're awake, Mana.\Shu!\I'm so happy!\You came for me!\It was terrible!\There was this annoying woman who kept getting in my way! response:	But it's all right now.
context: Good morning, Triton.\I see you're awake, Mana.\Shu!\I'm so happy!\You came for me!\It was terrible!\There was this annoying woman who kept getting in my way!\But it's all right now. response:	I crushed her and took this body for my own!
context: I see you're awake, Mana.\Shu!\I'm so happy!\You came for me!\It was terrible!\There was this annoying woman who kept getting in my way!\But it's all right now.\I crushed her and took this body for my own! response:	What was she thinking?!
context: Shu!\I'm so happy!\You came for me!\It was terrible!\There was this annoying woman who kept getting in my way!\But it's all right now.\I crushed her and took this body for my own!\What was she thinking?! response:	That manmade monster.
context: I'm so happy!\You came for me!\It was terrible!\There was this annoying woman who kept getting in my way!\But it's all right now.\I crushed her and took this body for my own!\What was she thinking?!\That manmade monster. response:	Stop!
context: You came for me!\It was terrible!\There was this annoying woman who kept getting in my way!\But it's all right now.\I crushed her and took this body for my own!\What was she thinking?!\That manmade monster.\Stop! response:	Shu!
context: It was terrible!\There was this annoying woman who kept getting in my way!\But it's all right now.\I crushed her and took this body for my own!\What was she thinking?!\That manmade monster.\Stop!\Shu! response:	Inori's no monster!
context: There was this annoying woman who kept getting in my way!\But it's all right now.\I crushed her and took this body for my own!\What was she thinking?!\That manmade monster.\Stop!\Shu!\Inori's no monster! response:	She cried for me!
context: But it's all right now.\I crushed her and took this body for my own!\What was she thinking?!\That manmade monster.\Stop!\Shu!\Inori's no monster!\She cried for me! response:	You look and sound the same, but she's not like you!
context: I crushed her and took this body for my own!\What was she thinking?!\That manmade monster.\Stop!\Shu!\Inori's no monster!\She cried for me!\You look and sound the same, but she's not like you! response:	She's human!
context: What was she thinking?!\That manmade monster.\Stop!\Shu!\Inori's no monster!\She cried for me!\You look and sound the same, but she's not like you!\She's human! response:	You're mean, Shu.
context: That manmade monster.\Stop!\Shu!\Inori's no monster!\She cried for me!\You look and sound the same, but she's not like you!\She's human!\You're mean, Shu. response:	Your big sister loves you so much.
context: Stop!\Shu!\Inori's no monster!\She cried for me!\You look and sound the same, but she's not like you!\She's human!\You're mean, Shu.\Your big sister loves you so much. response:	I loved you even when my body was blown to shreds.
context: Shu!\Inori's no monster!\She cried for me!\You look and sound the same, but she's not like you!\She's human!\You're mean, Shu.\Your big sister loves you so much.\I loved you even when my body was blown to shreds. response:	And yet,
context: Inori's no monster!\She cried for me!\You look and sound the same, but she's not like you!\She's human!\You're mean, Shu.\Your big sister loves you so much.\I loved you even when my body was blown to shreds.\And yet, response:	you reject me again, Shu!
context: She cried for me!\You look and sound the same, but she's not like you!\She's human!\You're mean, Shu.\Your big sister loves you so much.\I loved you even when my body was blown to shreds.\And yet,\you reject me again, Shu! response:	Stop right there.
context: You look and sound the same, but she's not like you!\She's human!\You're mean, Shu.\Your big sister loves you so much.\I loved you even when my body was blown to shreds.\And yet,\you reject me again, Shu!\Stop right there. response:	Gai?
context: She's human!\You're mean, Shu.\Your big sister loves you so much.\I loved you even when my body was blown to shreds.\And yet,\you reject me again, Shu!\Stop right there.\Gai? response:	Leave the rest to me.
context: You're mean, Shu.\Your big sister loves you so much.\I loved you even when my body was blown to shreds.\And yet,\you reject me again, Shu!\Stop right there.\Gai?\Leave the rest to me. response:	You hurt me, Shu.
context: Your big sister loves you so much.\I loved you even when my body was blown to shreds.\And yet,\you reject me again, Shu!\Stop right there.\Gai?\Leave the rest to me.\You hurt me, Shu. response:	If you hurt someone, you must be prepared to receive the same amount in return.
context: I loved you even when my body was blown to shreds.\And yet,\you reject me again, Shu!\Stop right there.\Gai?\Leave the rest to me.\You hurt me, Shu.\If you hurt someone, you must be prepared to receive the same amount in return. response:	I won't forgive you
context: And yet,\you reject me again, Shu!\Stop right there.\Gai?\Leave the rest to me.\You hurt me, Shu.\If you hurt someone, you must be prepared to receive the same amount in return.\I won't forgive you response:	even if you apologize.
context: you reject me again, Shu!\Stop right there.\Gai?\Leave the rest to me.\You hurt me, Shu.\If you hurt someone, you must be prepared to receive the same amount in return.\I won't forgive you\even if you apologize. response:	This is...!
context: Stop right there.\Gai?\Leave the rest to me.\You hurt me, Shu.\If you hurt someone, you must be prepared to receive the same amount in return.\I won't forgive you\even if you apologize.\This is...! response:	It's started, Gai.
context: Gai?\Leave the rest to me.\You hurt me, Shu.\If you hurt someone, you must be prepared to receive the same amount in return.\I won't forgive you\even if you apologize.\This is...!\It's started, Gai. response:	What's going on?!
context: Leave the rest to me.\You hurt me, Shu.\If you hurt someone, you must be prepared to receive the same amount in return.\I won't forgive you\even if you apologize.\This is...!\It's started, Gai.\What's going on?! response:	There's genomic resonance values higher than Lost Christmas coming from Tokyo!
context: You hurt me, Shu.\If you hurt someone, you must be prepared to receive the same amount in return.\I won't forgive you\even if you apologize.\This is...!\It's started, Gai.\What's going on?!\There's genomic resonance values higher than Lost Christmas coming from Tokyo! response:	It's even affecting the Endlave remote control system!
context: If you hurt someone, you must be prepared to receive the same amount in return.\I won't forgive you\even if you apologize.\This is...!\It's started, Gai.\What's going on?!\There's genomic resonance values higher than Lost Christmas coming from Tokyo!\It's even affecting the Endlave remote control system! response:	This is...
context: I won't forgive you\even if you apologize.\This is...!\It's started, Gai.\What's going on?!\There's genomic resonance values higher than Lost Christmas coming from Tokyo!\It's even affecting the Endlave remote control system!\This is... response:	The Fourth Apocalypse has started.
context: even if you apologize.\This is...!\It's started, Gai.\What's going on?!\There's genomic resonance values higher than Lost Christmas coming from Tokyo!\It's even affecting the Endlave remote control system!\This is...\The Fourth Apocalypse has started. response:	The evolution and selection of life on this planet.
context: This is...!\It's started, Gai.\What's going on?!\There's genomic resonance values higher than Lost Christmas coming from Tokyo!\It's even affecting the Endlave remote control system!\This is...\The Fourth Apocalypse has started.\The evolution and selection of life on this planet. response:	Yahiro!
context: It's started, Gai.\What's going on?!\There's genomic resonance values higher than Lost Christmas coming from Tokyo!\It's even affecting the Endlave remote control system!\This is...\The Fourth Apocalypse has started.\The evolution and selection of life on this planet.\Yahiro! response:	Discard our weak bodies and achieve an eternal consciousness within the crystals.
context: What's going on?!\There's genomic resonance values higher than Lost Christmas coming from Tokyo!\It's even affecting the Endlave remote control system!\This is...\The Fourth Apocalypse has started.\The evolution and selection of life on this planet.\Yahiro!\Discard our weak bodies and achieve an eternal consciousness within the crystals. response:	That's the next stage.
context: There's genomic resonance values higher than Lost Christmas coming from Tokyo!\It's even affecting the Endlave remote control system!\This is...\The Fourth Apocalypse has started.\The evolution and selection of life on this planet.\Yahiro!\Discard our weak bodies and achieve an eternal consciousness within the crystals.\That's the next stage. response:	The Voids were just a sign of a new world,
context: It's even affecting the Endlave remote control system!\This is...\The Fourth Apocalypse has started.\The evolution and selection of life on this planet.\Yahiro!\Discard our weak bodies and achieve an eternal consciousness within the crystals.\That's the next stage.\The Voids were just a sign of a new world, response:	where hearts are material!
context: This is...\The Fourth Apocalypse has started.\The evolution and selection of life on this planet.\Yahiro!\Discard our weak bodies and achieve an eternal consciousness within the crystals.\That's the next stage.\The Voids were just a sign of a new world,\where hearts are material! response:	It's because you're using normal weaponry!
context: The Fourth Apocalypse has started.\The evolution and selection of life on this planet.\Yahiro!\Discard our weak bodies and achieve an eternal consciousness within the crystals.\That's the next stage.\The Voids were just a sign of a new world,\where hearts are material!\It's because you're using normal weaponry! response:	We'll crush you!
context: The evolution and selection of life on this planet.\Yahiro!\Discard our weak bodies and achieve an eternal consciousness within the crystals.\That's the next stage.\The Voids were just a sign of a new world,\where hearts are material!\It's because you're using normal weaponry!\We'll crush you! response:	We won't let you!
context: Yahiro!\Discard our weak bodies and achieve an eternal consciousness within the crystals.\That's the next stage.\The Voids were just a sign of a new world,\where hearts are material!\It's because you're using normal weaponry!\We'll crush you!\We won't let you! response:	Don't underestimate us, you son of a bitch!
context: Discard our weak bodies and achieve an eternal consciousness within the crystals.\That's the next stage.\The Voids were just a sign of a new world,\where hearts are material!\It's because you're using normal weaponry!\We'll crush you!\We won't let you!\Don't underestimate us, you son of a bitch! response:	Ayase! Connect with a cable!
context: That's the next stage.\The Voids were just a sign of a new world,\where hearts are material!\It's because you're using normal weaponry!\We'll crush you!\We won't let you!\Don't underestimate us, you son of a bitch!\Ayase! Connect with a cable! response:	Tsugumi! An evasion program!
context: The Voids were just a sign of a new world,\where hearts are material!\It's because you're using normal weaponry!\We'll crush you!\We won't let you!\Don't underestimate us, you son of a bitch!\Ayase! Connect with a cable!\Tsugumi! An evasion program! response:	Tsugumi?!
context: where hearts are material!\It's because you're using normal weaponry!\We'll crush you!\We won't let you!\Don't underestimate us, you son of a bitch!\Ayase! Connect with a cable!\Tsugumi! An evasion program!\Tsugumi?! response:	You bitch!
context: It's because you're using normal weaponry!\We'll crush you!\We won't let you!\Don't underestimate us, you son of a bitch!\Ayase! Connect with a cable!\Tsugumi! An evasion program!\Tsugumi?!\You bitch! response:	Damn!
context: We'll crush you!\We won't let you!\Don't underestimate us, you son of a bitch!\Ayase! Connect with a cable!\Tsugumi! An evasion program!\Tsugumi?!\You bitch!\Damn! response:	What?!
context: We won't let you!\Don't underestimate us, you son of a bitch!\Ayase! Connect with a cable!\Tsugumi! An evasion program!\Tsugumi?!\You bitch!\Damn!\What?! response:	Lieutenant Daryl!
context: Don't underestimate us, you son of a bitch!\Ayase! Connect with a cable!\Tsugumi! An evasion program!\Tsugumi?!\You bitch!\Damn!\What?!\Lieutenant Daryl! response:	The Void Genome Emulator is still being tested!
context: Ayase! Connect with a cable!\Tsugumi! An evasion program!\Tsugumi?!\You bitch!\Damn!\What?!\Lieutenant Daryl!\The Void Genome Emulator is still being tested! response:	Don't overuse it!
context: Tsugumi! An evasion program!\Tsugumi?!\You bitch!\Damn!\What?!\Lieutenant Daryl!\The Void Genome Emulator is still being tested!\Don't overuse it! response:	What are you talking about?
context: Tsugumi?!\You bitch!\Damn!\What?!\Lieutenant Daryl!\The Void Genome Emulator is still being tested!\Don't overuse it!\What are you talking about? response:	I won't stop until I've butchered them all!
context: You bitch!\Damn!\What?!\Lieutenant Daryl!\The Void Genome Emulator is still being tested!\Don't overuse it!\What are you talking about?\I won't stop until I've butchered them all! response:	Souta!
context: Damn!\What?!\Lieutenant Daryl!\The Void Genome Emulator is still being tested!\Don't overuse it!\What are you talking about?\I won't stop until I've butchered them all!\Souta! response:	Gai!
context: What?!\Lieutenant Daryl!\The Void Genome Emulator is still being tested!\Don't overuse it!\What are you talking about?\I won't stop until I've butchered them all!\Souta!\Gai! response:	Back in Roppongi, you said you'd save Mana!
context: Lieutenant Daryl!\The Void Genome Emulator is still being tested!\Don't overuse it!\What are you talking about?\I won't stop until I've butchered them all!\Souta!\Gai!\Back in Roppongi, you said you'd save Mana! response:	You told me to stab you to save her!
context: The Void Genome Emulator is still being tested!\Don't overuse it!\What are you talking about?\I won't stop until I've butchered them all!\Souta!\Gai!\Back in Roppongi, you said you'd save Mana!\You told me to stab you to save her! response:	How did it come to this?!
context: Don't overuse it!\What are you talking about?\I won't stop until I've butchered them all!\Souta!\Gai!\Back in Roppongi, you said you'd save Mana!\You told me to stab you to save her!\How did it come to this?! response:	You can't understand, Shu.
context: What are you talking about?\I won't stop until I've butchered them all!\Souta!\Gai!\Back in Roppongi, you said you'd save Mana!\You told me to stab you to save her!\How did it come to this?!\You can't understand, Shu. response:	You were chosen, yet you chose to let go!
context: I won't stop until I've butchered them all!\Souta!\Gai!\Back in Roppongi, you said you'd save Mana!\You told me to stab you to save her!\How did it come to this?!\You can't understand, Shu.\You were chosen, yet you chose to let go! response:	You could never understand!
context: Souta!\Gai!\Back in Roppongi, you said you'd save Mana!\You told me to stab you to save her!\How did it come to this?!\You can't understand, Shu.\You were chosen, yet you chose to let go!\You could never understand! response:	How is it, Kurosu?
context: Gai!\Back in Roppongi, you said you'd save Mana!\You told me to stab you to save her!\How did it come to this?!\You can't understand, Shu.\You were chosen, yet you chose to let go!\You could never understand!\How is it, Kurosu? response:	The girl you tried to save is ending the world.
context: Back in Roppongi, you said you'd save Mana!\You told me to stab you to save her!\How did it come to this?!\You can't understand, Shu.\You were chosen, yet you chose to let go!\You could never understand!\How is it, Kurosu?\The girl you tried to save is ending the world. response:	I win.
context: You told me to stab you to save her!\How did it come to this?!\You can't understand, Shu.\You were chosen, yet you chose to let go!\You could never understand!\How is it, Kurosu?\The girl you tried to save is ending the world.\I win. response:	You did this to the world...
context: How did it come to this?!\You can't understand, Shu.\You were chosen, yet you chose to let go!\You could never understand!\How is it, Kurosu?\The girl you tried to save is ending the world.\I win.\You did this to the world... response:	To Shu... just for that?
context: You can't understand, Shu.\You were chosen, yet you chose to let go!\You could never understand!\How is it, Kurosu?\The girl you tried to save is ending the world.\I win.\You did this to the world...\To Shu... just for that? response:	I will not deny it.
context: You were chosen, yet you chose to let go!\You could never understand!\How is it, Kurosu?\The girl you tried to save is ending the world.\I win.\You did this to the world...\To Shu... just for that?\I will not deny it. response:	Are you going to shoot me,
context: You could never understand!\How is it, Kurosu?\The girl you tried to save is ending the world.\I win.\You did this to the world...\To Shu... just for that?\I will not deny it.\Are you going to shoot me, response:	Haruka?
context: How is it, Kurosu?\The girl you tried to save is ending the world.\I win.\You did this to the world...\To Shu... just for that?\I will not deny it.\Are you going to shoot me,\Haruka? response:	I can't let them through.
context: The girl you tried to save is ending the world.\I win.\You did this to the world...\To Shu... just for that?\I will not deny it.\Are you going to shoot me,\Haruka?\I can't let them through. response:	I will hold them off.
context: I win.\You did this to the world...\To Shu... just for that?\I will not deny it.\Are you going to shoot me,\Haruka?\I can't let them through.\I will hold them off. response:	For him...
context: You did this to the world...\To Shu... just for that?\I will not deny it.\Are you going to shoot me,\Haruka?\I can't let them through.\I will hold them off.\For him... response:	How persistent!
context: To Shu... just for that?\I will not deny it.\Are you going to shoot me,\Haruka?\I can't let them through.\I will hold them off.\For him...\How persistent! response:	Damn, I can't keep up!
context: I will not deny it.\Are you going to shoot me,\Haruka?\I can't let them through.\I will hold them off.\For him...\How persistent!\Damn, I can't keep up! response:	Tsugumi.
context: Are you going to shoot me,\Haruka?\I can't let them through.\I will hold them off.\For him...\How persistent!\Damn, I can't keep up!\Tsugumi. response:	Hold out until my signal.
context: Haruka?\I can't let them through.\I will hold them off.\For him...\How persistent!\Damn, I can't keep up!\Tsugumi.\Hold out until my signal. response:	Can you do that?
context: I can't let them through.\I will hold them off.\For him...\How persistent!\Damn, I can't keep up!\Tsugumi.\Hold out until my signal.\Can you do that? response:	Who do you think you're talking to?
context: I will hold them off.\For him...\How persistent!\Damn, I can't keep up!\Tsugumi.\Hold out until my signal.\Can you do that?\Who do you think you're talking to? response:	Back then, I would've let you
context: For him...\How persistent!\Damn, I can't keep up!\Tsugumi.\Hold out until my signal.\Can you do that?\Who do you think you're talking to?\Back then, I would've let you response:	have Mana and the place of Adam.
context: How persistent!\Damn, I can't keep up!\Tsugumi.\Hold out until my signal.\Can you do that?\Who do you think you're talking to?\Back then, I would've let you\have Mana and the place of Adam. response:	But now, you're unworthy.
context: Damn, I can't keep up!\Tsugumi.\Hold out until my signal.\Can you do that?\Who do you think you're talking to?\Back then, I would've let you\have Mana and the place of Adam.\But now, you're unworthy. response:	Die, Shu.
context: Tsugumi.\Hold out until my signal.\Can you do that?\Who do you think you're talking to?\Back then, I would've let you\have Mana and the place of Adam.\But now, you're unworthy.\Die, Shu. response:	My body's numb.
context: Hold out until my signal.\Can you do that?\Who do you think you're talking to?\Back then, I would've let you\have Mana and the place of Adam.\But now, you're unworthy.\Die, Shu.\My body's numb. response:	Am I going to die here?
context: Can you do that?\Who do you think you're talking to?\Back then, I would've let you\have Mana and the place of Adam.\But now, you're unworthy.\Die, Shu.\My body's numb.\Am I going to die here? response:	With everyone's Void's in me?
context: Who do you think you're talking to?\Back then, I would've let you\have Mana and the place of Adam.\But now, you're unworthy.\Die, Shu.\My body's numb.\Am I going to die here?\With everyone's Void's in me? response:	Don't give up, Shu.
context: Back then, I would've let you\have Mana and the place of Adam.\But now, you're unworthy.\Die, Shu.\My body's numb.\Am I going to die here?\With everyone's Void's in me?\Don't give up, Shu. response:	You can still move.
context: have Mana and the place of Adam.\But now, you're unworthy.\Die, Shu.\My body's numb.\Am I going to die here?\With everyone's Void's in me?\Don't give up, Shu.\You can still move. response:	Everyone's waiting for you.
context: But now, you're unworthy.\Die, Shu.\My body's numb.\Am I going to die here?\With everyone's Void's in me?\Don't give up, Shu.\You can still move.\Everyone's waiting for you. response:	Please, everyone...
context: Die, Shu.\My body's numb.\Am I going to die here?\With everyone's Void's in me?\Don't give up, Shu.\You can still move.\Everyone's waiting for you.\Please, everyone... response:	use me!
context: My body's numb.\Am I going to die here?\With everyone's Void's in me?\Don't give up, Shu.\You can still move.\Everyone's waiting for you.\Please, everyone...\use me! response:	What?
context: Am I going to die here?\With everyone's Void's in me?\Don't give up, Shu.\You can still move.\Everyone's waiting for you.\Please, everyone...\use me!\What? response:	What's going on?
context: With everyone's Void's in me?\Don't give up, Shu.\You can still move.\Everyone's waiting for you.\Please, everyone...\use me!\What?\What's going on? response:	Kenji,
context: Don't give up, Shu.\You can still move.\Everyone's waiting for you.\Please, everyone...\use me!\What?\What's going on?\Kenji, response:	it's checkmate.
context: You can still move.\Everyone's waiting for you.\Please, everyone...\use me!\What?\What's going on?\Kenji,\it's checkmate. response:	There are people
context: Everyone's waiting for you.\Please, everyone...\use me!\What?\What's going on?\Kenji,\it's checkmate.\There are people response:	who trusted me with their lives.
context: Please, everyone...\use me!\What?\What's going on?\Kenji,\it's checkmate.\There are people\who trusted me with their lives. response:	I can't die here.
context: use me!\What?\What's going on?\Kenji,\it's checkmate.\There are people\who trusted me with their lives.\I can't die here. response:	I will get Inori back for sure.
context: What?\What's going on?\Kenji,\it's checkmate.\There are people\who trusted me with their lives.\I can't die here.\I will get Inori back for sure. response:	Now!
context: What's going on?\Kenji,\it's checkmate.\There are people\who trusted me with their lives.\I can't die here.\I will get Inori back for sure.\Now! response:	Ayase, sorry for the wait!
context: Kenji,\it's checkmate.\There are people\who trusted me with their lives.\I can't die here.\I will get Inori back for sure.\Now!\Ayase, sorry for the wait! response:	Let's go!
context: it's checkmate.\There are people\who trusted me with their lives.\I can't die here.\I will get Inori back for sure.\Now!\Ayase, sorry for the wait!\Let's go! response:	Leave remote control to me!
context: There are people\who trusted me with their lives.\I can't die here.\I will get Inori back for sure.\Now!\Ayase, sorry for the wait!\Let's go!\Leave remote control to me! response:	Gai...
context: who trusted me with their lives.\I can't die here.\I will get Inori back for sure.\Now!\Ayase, sorry for the wait!\Let's go!\Leave remote control to me!\Gai... response:	Don't get in my way.
context: I can't die here.\I will get Inori back for sure.\Now!\Ayase, sorry for the wait!\Let's go!\Leave remote control to me!\Gai...\Don't get in my way. response:	I'll defeat you with all I have!
context: I will get Inori back for sure.\Now!\Ayase, sorry for the wait!\Let's go!\Leave remote control to me!\Gai...\Don't get in my way.\I'll defeat you with all I have! response:	That voice...
context: Now!\Ayase, sorry for the wait!\Let's go!\Leave remote control to me!\Gai...\Don't get in my way.\I'll defeat you with all I have!\That voice... response:	I knew it. You're there, aren't you?!
context: Ayase, sorry for the wait!\Let's go!\Leave remote control to me!\Gai...\Don't get in my way.\I'll defeat you with all I have!\That voice...\I knew it. You're there, aren't you?! response:	Tsugumi!
context: Let's go!\Leave remote control to me!\Gai...\Don't get in my way.\I'll defeat you with all I have!\That voice...\I knew it. You're there, aren't you?!\Tsugumi! response:	Aye!
