context: Forest Exhibition response:	29th Suimei High School Culture Festival
context: blocking to do for the drama sequences.\Nyapollon Production Schedule Four days until opening!\It's so thrilling, I wish I could just pass out.\Opening!!\I feel the same way, but the demon...\who won't allow that is about to show up.\No one's sleeping on the job in here, are they?!\Here, you two! response:	Whoa...
context: Nyapollon Production Schedule Four days until opening!\It's so thrilling, I wish I could just pass out.\Opening!!\I feel the same way, but the demon...\who won't allow that is about to show up.\No one's sleeping on the job in here, are they?!\Here, you two!\Whoa... response:	Drink before you die!
context: It's so thrilling, I wish I could just pass out.\Opening!!\I feel the same way, but the demon...\who won't allow that is about to show up.\No one's sleeping on the job in here, are they?!\Here, you two!\Whoa...\Drink before you die! response:	It's a potion to restore your hit points!
context: Opening!!\I feel the same way, but the demon...\who won't allow that is about to show up.\No one's sleeping on the job in here, are they?!\Here, you two!\Whoa...\Drink before you die!\It's a potion to restore your hit points! response:	It says it'll guide us beyond our limits.
context: I feel the same way, but the demon...\who won't allow that is about to show up.\No one's sleeping on the job in here, are they?!\Here, you two!\Whoa...\Drink before you die!\It's a potion to restore your hit points!\It says it'll guide us beyond our limits. response:	Yeah, I guess it's still too early to exceed our limits.
context: who won't allow that is about to show up.\No one's sleeping on the job in here, are they?!\Here, you two!\Whoa...\Drink before you die!\It's a potion to restore your hit points!\It says it'll guide us beyond our limits.\Yeah, I guess it's still too early to exceed our limits. response:	That's not the point.
context: No one's sleeping on the job in here, are they?!\Here, you two!\Whoa...\Drink before you die!\It's a potion to restore your hit points!\It says it'll guide us beyond our limits.\Yeah, I guess it's still too early to exceed our limits.\That's not the point. response:	Okay then, let's wake ourselves up...
context: Here, you two!\Whoa...\Drink before you die!\It's a potion to restore your hit points!\It says it'll guide us beyond our limits.\Yeah, I guess it's still too early to exceed our limits.\That's not the point.\Okay then, let's wake ourselves up... response:	with something eye-opening!
context: Whoa...\Drink before you die!\It's a potion to restore your hit points!\It says it'll guide us beyond our limits.\Yeah, I guess it's still too early to exceed our limits.\That's not the point.\Okay then, let's wake ourselves up...\with something eye-opening! response:	Mashiron's wearing a cat girl suit for this year's art exhibit.
context: Drink before you die!\It's a potion to restore your hit points!\It says it'll guide us beyond our limits.\Yeah, I guess it's still too early to exceed our limits.\That's not the point.\Okay then, let's wake ourselves up...\with something eye-opening!\Mashiron's wearing a cat girl suit for this year's art exhibit. response:	You make it sound like she's a monster, but that's not right, is it?
context: It's a potion to restore your hit points!\It says it'll guide us beyond our limits.\Yeah, I guess it's still too early to exceed our limits.\That's not the point.\Okay then, let's wake ourselves up...\with something eye-opening!\Mashiron's wearing a cat girl suit for this year's art exhibit.\You make it sound like she's a monster, but that's not right, is it? response:	It's the cat version of a bunny girl suit, right?
context: It says it'll guide us beyond our limits.\Yeah, I guess it's still too early to exceed our limits.\That's not the point.\Okay then, let's wake ourselves up...\with something eye-opening!\Mashiron's wearing a cat girl suit for this year's art exhibit.\You make it sound like she's a monster, but that's not right, is it?\It's the cat version of a bunny girl suit, right? response:	Start building up your expectations.
context: Yeah, I guess it's still too early to exceed our limits.\That's not the point.\Okay then, let's wake ourselves up...\with something eye-opening!\Mashiron's wearing a cat girl suit for this year's art exhibit.\You make it sound like she's a monster, but that's not right, is it?\It's the cat version of a bunny girl suit, right?\Start building up your expectations. response:	Mashiron's so cute, it made my nose run.
context: That's not the point.\Okay then, let's wake ourselves up...\with something eye-opening!\Mashiron's wearing a cat girl suit for this year's art exhibit.\You make it sound like she's a monster, but that's not right, is it?\It's the cat version of a bunny girl suit, right?\Start building up your expectations.\Mashiron's so cute, it made my nose run. response:	It gave you a nosebleed, you mean...
context: Okay then, let's wake ourselves up...\with something eye-opening!\Mashiron's wearing a cat girl suit for this year's art exhibit.\You make it sound like she's a monster, but that's not right, is it?\It's the cat version of a bunny girl suit, right?\Start building up your expectations.\Mashiron's so cute, it made my nose run.\It gave you a nosebleed, you mean... response:	A cat girl, huh?
context: with something eye-opening!\Mashiron's wearing a cat girl suit for this year's art exhibit.\You make it sound like she's a monster, but that's not right, is it?\It's the cat version of a bunny girl suit, right?\Start building up your expectations.\Mashiron's so cute, it made my nose run.\It gave you a nosebleed, you mean...\A cat girl, huh? response:	I bet it looks good on her...
context: Mashiron's wearing a cat girl suit for this year's art exhibit.\You make it sound like she's a monster, but that's not right, is it?\It's the cat version of a bunny girl suit, right?\Start building up your expectations.\Mashiron's so cute, it made my nose run.\It gave you a nosebleed, you mean...\A cat girl, huh?\I bet it looks good on her... response:	Huh?
context: You make it sound like she's a monster, but that's not right, is it?\It's the cat version of a bunny girl suit, right?\Start building up your expectations.\Mashiron's so cute, it made my nose run.\It gave you a nosebleed, you mean...\A cat girl, huh?\I bet it looks good on her...\Huh? response:	This is the Forest Exhibition, Etc.
context: It's the cat version of a bunny girl suit, right?\Start building up your expectations.\Mashiron's so cute, it made my nose run.\It gave you a nosebleed, you mean...\A cat girl, huh?\I bet it looks good on her...\Huh?\This is the Forest Exhibition, Etc. response:	Forest Exhibition
context: Start building up your expectations.\Mashiron's so cute, it made my nose run.\It gave you a nosebleed, you mean...\A cat girl, huh?\I bet it looks good on her...\Huh?\This is the Forest Exhibition, Etc.\Forest Exhibition response:	What are you doing?
context: Mashiron's so cute, it made my nose run.\It gave you a nosebleed, you mean...\A cat girl, huh?\I bet it looks good on her...\Huh?\This is the Forest Exhibition, Etc.\Forest Exhibition\What are you doing? response:	This is the Forest Exhibition, Etc.
context: It gave you a nosebleed, you mean...\A cat girl, huh?\I bet it looks good on her...\Huh?\This is the Forest Exhibition, Etc.\Forest Exhibition\What are you doing?\This is the Forest Exhibition, Etc. response:	What are you, a mascot?
context: A cat girl, huh?\I bet it looks good on her...\Huh?\This is the Forest Exhibition, Etc.\Forest Exhibition\What are you doing?\This is the Forest Exhibition, Etc.\What are you, a mascot? response:	I'm the poster girl.
context: I bet it looks good on her...\Huh?\This is the Forest Exhibition, Etc.\Forest Exhibition\What are you doing?\This is the Forest Exhibition, Etc.\What are you, a mascot?\I'm the poster girl. response:	That's not what that means.
context: Huh?\This is the Forest Exhibition, Etc.\Forest Exhibition\What are you doing?\This is the Forest Exhibition, Etc.\What are you, a mascot?\I'm the poster girl.\That's not what that means. response:	A forest exhibit, huh?
context: This is the Forest Exhibition, Etc.\Forest Exhibition\What are you doing?\This is the Forest Exhibition, Etc.\What are you, a mascot?\I'm the poster girl.\That's not what that means.\A forest exhibit, huh? response:	Please enjoy yourselves.
context: Forest Exhibition\What are you doing?\This is the Forest Exhibition, Etc.\What are you, a mascot?\I'm the poster girl.\That's not what that means.\A forest exhibit, huh?\Please enjoy yourselves. response:	A cafe?
context: What are you doing?\This is the Forest Exhibition, Etc.\What are you, a mascot?\I'm the poster girl.\That's not what that means.\A forest exhibit, huh?\Please enjoy yourselves.\A cafe? response:	According to Misaki, it combines an exhibit, a cafe, caricatures,
context: This is the Forest Exhibition, Etc.\What are you, a mascot?\I'm the poster girl.\That's not what that means.\A forest exhibit, huh?\Please enjoy yourselves.\A cafe?\According to Misaki, it combines an exhibit, a cafe, caricatures, response:	the forest, omelet rice, and animal suits.
context: What are you, a mascot?\I'm the poster girl.\That's not what that means.\A forest exhibit, huh?\Please enjoy yourselves.\A cafe?\According to Misaki, it combines an exhibit, a cafe, caricatures,\the forest, omelet rice, and animal suits. response:	Hence, Forest Exhibition, Etc.
context: I'm the poster girl.\That's not what that means.\A forest exhibit, huh?\Please enjoy yourselves.\A cafe?\According to Misaki, it combines an exhibit, a cafe, caricatures,\the forest, omelet rice, and animal suits.\Hence, Forest Exhibition, Etc. response:	The etc. carries too much weight.
context: That's not what that means.\A forest exhibit, huh?\Please enjoy yourselves.\A cafe?\According to Misaki, it combines an exhibit, a cafe, caricatures,\the forest, omelet rice, and animal suits.\Hence, Forest Exhibition, Etc.\The etc. carries too much weight. response:	This was handcrafted by a forest bear! Boom!
context: A forest exhibit, huh?\Please enjoy yourselves.\A cafe?\According to Misaki, it combines an exhibit, a cafe, caricatures,\the forest, omelet rice, and animal suits.\Hence, Forest Exhibition, Etc.\The etc. carries too much weight.\This was handcrafted by a forest bear! Boom! response:	We'll draw your face on it in ketchup for free!
context: Please enjoy yourselves.\A cafe?\According to Misaki, it combines an exhibit, a cafe, caricatures,\the forest, omelet rice, and animal suits.\Hence, Forest Exhibition, Etc.\The etc. carries too much weight.\This was handcrafted by a forest bear! Boom!\We'll draw your face on it in ketchup for free! response:	Come on, kouhai-kun...
context: A cafe?\According to Misaki, it combines an exhibit, a cafe, caricatures,\the forest, omelet rice, and animal suits.\Hence, Forest Exhibition, Etc.\The etc. carries too much weight.\This was handcrafted by a forest bear! Boom!\We'll draw your face on it in ketchup for free!\Come on, kouhai-kun... response:	I'll do it.
context: According to Misaki, it combines an exhibit, a cafe, caricatures,\the forest, omelet rice, and animal suits.\Hence, Forest Exhibition, Etc.\The etc. carries too much weight.\This was handcrafted by a forest bear! Boom!\We'll draw your face on it in ketchup for free!\Come on, kouhai-kun...\I'll do it. response:	You're fighting me for this job?!
context: the forest, omelet rice, and animal suits.\Hence, Forest Exhibition, Etc.\The etc. carries too much weight.\This was handcrafted by a forest bear! Boom!\We'll draw your face on it in ketchup for free!\Come on, kouhai-kun...\I'll do it.\You're fighting me for this job?! response:	Kouhai-kun, who will it be? Me or Mashiron?!
context: Hence, Forest Exhibition, Etc.\The etc. carries too much weight.\This was handcrafted by a forest bear! Boom!\We'll draw your face on it in ketchup for free!\Come on, kouhai-kun...\I'll do it.\You're fighting me for this job?!\Kouhai-kun, who will it be? Me or Mashiron?! response:	You're standing too close, Senpai!
context: The etc. carries too much weight.\This was handcrafted by a forest bear! Boom!\We'll draw your face on it in ketchup for free!\Come on, kouhai-kun...\I'll do it.\You're fighting me for this job?!\Kouhai-kun, who will it be? Me or Mashiron?!\You're standing too close, Senpai! response:	We're never too close nor too far away!
context: This was handcrafted by a forest bear! Boom!\We'll draw your face on it in ketchup for free!\Come on, kouhai-kun...\I'll do it.\You're fighting me for this job?!\Kouhai-kun, who will it be? Me or Mashiron?!\You're standing too close, Senpai!\We're never too close nor too far away! response:	You draw the caricature right on the face? That's novel.
context: We'll draw your face on it in ketchup for free!\Come on, kouhai-kun...\I'll do it.\You're fighting me for this job?!\Kouhai-kun, who will it be? Me or Mashiron?!\You're standing too close, Senpai!\We're never too close nor too far away!\You draw the caricature right on the face? That's novel. response:	I messed up your face.
context: Come on, kouhai-kun...\I'll do it.\You're fighting me for this job?!\Kouhai-kun, who will it be? Me or Mashiron?!\You're standing too close, Senpai!\We're never too close nor too far away!\You draw the caricature right on the face? That's novel.\I messed up your face. response:	What are you, a rebel without a cause?
context: I'll do it.\You're fighting me for this job?!\Kouhai-kun, who will it be? Me or Mashiron?!\You're standing too close, Senpai!\We're never too close nor too far away!\You draw the caricature right on the face? That's novel.\I messed up your face.\What are you, a rebel without a cause? response:	Sorry, Senpai, but I choose Shiina.
context: You're fighting me for this job?!\Kouhai-kun, who will it be? Me or Mashiron?!\You're standing too close, Senpai!\We're never too close nor too far away!\You draw the caricature right on the face? That's novel.\I messed up your face.\What are you, a rebel without a cause?\Sorry, Senpai, but I choose Shiina. response:	I lost the battle between women!
context: Kouhai-kun, who will it be? Me or Mashiron?!\You're standing too close, Senpai!\We're never too close nor too far away!\You draw the caricature right on the face? That's novel.\I messed up your face.\What are you, a rebel without a cause?\Sorry, Senpai, but I choose Shiina.\I lost the battle between women! response:	I don't care. I have Jin...
context: You're standing too close, Senpai!\We're never too close nor too far away!\You draw the caricature right on the face? That's novel.\I messed up your face.\What are you, a rebel without a cause?\Sorry, Senpai, but I choose Shiina.\I lost the battle between women!\I don't care. I have Jin... response:	You're good at this.
context: We're never too close nor too far away!\You draw the caricature right on the face? That's novel.\I messed up your face.\What are you, a rebel without a cause?\Sorry, Senpai, but I choose Shiina.\I lost the battle between women!\I don't care. I have Jin...\You're good at this. response:	You've got such a delicate touch.
context: You draw the caricature right on the face? That's novel.\I messed up your face.\What are you, a rebel without a cause?\Sorry, Senpai, but I choose Shiina.\I lost the battle between women!\I don't care. I have Jin...\You're good at this.\You've got such a delicate touch. response:	R-Really?
context: I messed up your face.\What are you, a rebel without a cause?\Sorry, Senpai, but I choose Shiina.\I lost the battle between women!\I don't care. I have Jin...\You're good at this.\You've got such a delicate touch.\R-Really? response:	Now, now, Misaki-senpai...
context: What are you, a rebel without a cause?\Sorry, Senpai, but I choose Shiina.\I lost the battle between women!\I don't care. I have Jin...\You're good at this.\You've got such a delicate touch.\R-Really?\Now, now, Misaki-senpai... response:	Finished.
context: Sorry, Senpai, but I choose Shiina.\I lost the battle between women!\I don't care. I have Jin...\You're good at this.\You've got such a delicate touch.\R-Really?\Now, now, Misaki-senpai...\Finished. response:	That was quick.
context: I lost the battle between women!\I don't care. I have Jin...\You're good at this.\You've got such a delicate touch.\R-Really?\Now, now, Misaki-senpai...\Finished.\That was quick. response:	This isn't a caricature, it's a portrait...
context: I don't care. I have Jin...\You're good at this.\You've got such a delicate touch.\R-Really?\Now, now, Misaki-senpai...\Finished.\That was quick.\This isn't a caricature, it's a portrait... response:	There's such a thing as cannibalism.
context: You're good at this.\You've got such a delicate touch.\R-Really?\Now, now, Misaki-senpai...\Finished.\That was quick.\This isn't a caricature, it's a portrait...\There's such a thing as cannibalism. response:	You did this out of spite, didn't you?
context: You've got such a delicate touch.\R-Really?\Now, now, Misaki-senpai...\Finished.\That was quick.\This isn't a caricature, it's a portrait...\There's such a thing as cannibalism.\You did this out of spite, didn't you? response:	If you're finished eating, let's get back to work.
context: R-Really?\Now, now, Misaki-senpai...\Finished.\That was quick.\This isn't a caricature, it's a portrait...\There's such a thing as cannibalism.\You did this out of spite, didn't you?\If you're finished eating, let's get back to work. response:	Mashiron, your shift's over too, isn't it?
context: Now, now, Misaki-senpai...\Finished.\That was quick.\This isn't a caricature, it's a portrait...\There's such a thing as cannibalism.\You did this out of spite, didn't you?\If you're finished eating, let's get back to work.\Mashiron, your shift's over too, isn't it? response:	Then, let's all go back together.
context: Finished.\That was quick.\This isn't a caricature, it's a portrait...\There's such a thing as cannibalism.\You did this out of spite, didn't you?\If you're finished eating, let's get back to work.\Mashiron, your shift's over too, isn't it?\Then, let's all go back together. response:	You're coming dressed like that?!
context: That was quick.\This isn't a caricature, it's a portrait...\There's such a thing as cannibalism.\You did this out of spite, didn't you?\If you're finished eating, let's get back to work.\Mashiron, your shift's over too, isn't it?\Then, let's all go back together.\You're coming dressed like that?! response:	But it's cute.
context: This isn't a caricature, it's a portrait...\There's such a thing as cannibalism.\You did this out of spite, didn't you?\If you're finished eating, let's get back to work.\Mashiron, your shift's over too, isn't it?\Then, let's all go back together.\You're coming dressed like that?!\But it's cute. response:	Turn around. Let me see your back!
context: There's such a thing as cannibalism.\You did this out of spite, didn't you?\If you're finished eating, let's get back to work.\Mashiron, your shift's over too, isn't it?\Then, let's all go back together.\You're coming dressed like that?!\But it's cute.\Turn around. Let me see your back! response:	What?
context: You did this out of spite, didn't you?\If you're finished eating, let's get back to work.\Mashiron, your shift's over too, isn't it?\Then, let's all go back together.\You're coming dressed like that?!\But it's cute.\Turn around. Let me see your back!\What? response:	Is something wrong?
context: If you're finished eating, let's get back to work.\Mashiron, your shift's over too, isn't it?\Then, let's all go back together.\You're coming dressed like that?!\But it's cute.\Turn around. Let me see your back!\What?\Is something wrong? response:	You're the one who's got something wrong!
context: Mashiron, your shift's over too, isn't it?\Then, let's all go back together.\You're coming dressed like that?!\But it's cute.\Turn around. Let me see your back!\What?\Is something wrong?\You're the one who's got something wrong! response:	Why are you wearing a cat's skin over your birthday suit?
context: Then, let's all go back together.\You're coming dressed like that?!\But it's cute.\Turn around. Let me see your back!\What?\Is something wrong?\You're the one who's got something wrong!\Why are you wearing a cat's skin over your birthday suit? response:	Don't worry. I'm wearing panties.
context: You're coming dressed like that?!\But it's cute.\Turn around. Let me see your back!\What?\Is something wrong?\You're the one who's got something wrong!\Why are you wearing a cat's skin over your birthday suit?\Don't worry. I'm wearing panties. response:	As good as panties are, they aren't the solution to every problem...
context: But it's cute.\Turn around. Let me see your back!\What?\Is something wrong?\You're the one who's got something wrong!\Why are you wearing a cat's skin over your birthday suit?\Don't worry. I'm wearing panties.\As good as panties are, they aren't the solution to every problem... response:	I believe in panties.
context: Turn around. Let me see your back!\What?\Is something wrong?\You're the one who's got something wrong!\Why are you wearing a cat's skin over your birthday suit?\Don't worry. I'm wearing panties.\As good as panties are, they aren't the solution to every problem...\I believe in panties. response:	Sakura Hall
context: What?\Is something wrong?\You're the one who's got something wrong!\Why are you wearing a cat's skin over your birthday suit?\Don't worry. I'm wearing panties.\As good as panties are, they aren't the solution to every problem...\I believe in panties.\Sakura Hall response:	Takoyaki, ikayaki, okonomiyaki...
context: Is something wrong?\You're the one who's got something wrong!\Why are you wearing a cat's skin over your birthday suit?\Don't worry. I'm wearing panties.\As good as panties are, they aren't the solution to every problem...\I believe in panties.\Sakura Hall\Takoyaki, ikayaki, okonomiyaki... response:	I love Japanese culture festivals.
