context: I don't want you to go! response:	I'm just going to do laundry.
context: A history of the couple's romance that starts from the first kiss\You, the one who cast magic on this destiny, suddenly appeared\The sky where two moons never fade away\That's an impossibility, right?\This is the first time I've felt anything like this\I'm feeling more and more at ease with this place\Even if you trip and become depressed\I will always hold you tight with a squeeze response:	The story where we met that day stays hot with a sweet kiss
context: You, the one who cast magic on this destiny, suddenly appeared\The sky where two moons never fade away\That's an impossibility, right?\This is the first time I've felt anything like this\I'm feeling more and more at ease with this place\Even if you trip and become depressed\I will always hold you tight with a squeeze\The story where we met that day stays hot with a sweet kiss response:	See, you can cast magic, and the wishes will surely come true
context: The sky where two moons never fade away\That's an impossibility, right?\This is the first time I've felt anything like this\I'm feeling more and more at ease with this place\Even if you trip and become depressed\I will always hold you tight with a squeeze\The story where we met that day stays hot with a sweet kiss\See, you can cast magic, and the wishes will surely come true response:	A history of the couple's romance that starts from the first kiss
context: That's an impossibility, right?\This is the first time I've felt anything like this\I'm feeling more and more at ease with this place\Even if you trip and become depressed\I will always hold you tight with a squeeze\The story where we met that day stays hot with a sweet kiss\See, you can cast magic, and the wishes will surely come true\A history of the couple's romance that starts from the first kiss response:	You, the one who cast magic on this destiny, suddenly appeared
context: This is the first time I've felt anything like this\I'm feeling more and more at ease with this place\Even if you trip and become depressed\I will always hold you tight with a squeeze\The story where we met that day stays hot with a sweet kiss\See, you can cast magic, and the wishes will surely come true\A history of the couple's romance that starts from the first kiss\You, the one who cast magic on this destiny, suddenly appeared response:	Louise's Change of Heart
context: I'm feeling more and more at ease with this place\Even if you trip and become depressed\I will always hold you tight with a squeeze\The story where we met that day stays hot with a sweet kiss\See, you can cast magic, and the wishes will surely come true\A history of the couple's romance that starts from the first kiss\You, the one who cast magic on this destiny, suddenly appeared\Louise's Change of Heart response:	A love potion?!
context: Even if you trip and become depressed\I will always hold you tight with a squeeze\The story where we met that day stays hot with a sweet kiss\See, you can cast magic, and the wishes will surely come true\A history of the couple's romance that starts from the first kiss\You, the one who cast magic on this destiny, suddenly appeared\Louise's Change of Heart\A love potion?! response:	It was a slight error that Louise drank it.
context: I will always hold you tight with a squeeze\The story where we met that day stays hot with a sweet kiss\See, you can cast magic, and the wishes will surely come true\A history of the couple's romance that starts from the first kiss\You, the one who cast magic on this destiny, suddenly appeared\Louise's Change of Heart\A love potion?!\It was a slight error that Louise drank it. response:	You must have been there when the effects kicked in.
context: The story where we met that day stays hot with a sweet kiss\See, you can cast magic, and the wishes will surely come true\A history of the couple's romance that starts from the first kiss\You, the one who cast magic on this destiny, suddenly appeared\Louise's Change of Heart\A love potion?!\It was a slight error that Louise drank it.\You must have been there when the effects kicked in. response:	Montmorency!
context: See, you can cast magic, and the wishes will surely come true\A history of the couple's romance that starts from the first kiss\You, the one who cast magic on this destiny, suddenly appeared\Louise's Change of Heart\A love potion?!\It was a slight error that Louise drank it.\You must have been there when the effects kicked in.\Montmorency! response:	Can it be that you were trying to make me drink it?!
context: A history of the couple's romance that starts from the first kiss\You, the one who cast magic on this destiny, suddenly appeared\Louise's Change of Heart\A love potion?!\It was a slight error that Louise drank it.\You must have been there when the effects kicked in.\Montmorency!\Can it be that you were trying to make me drink it?! response:	Oh, how touching!
context: You, the one who cast magic on this destiny, suddenly appeared\Louise's Change of Heart\A love potion?!\It was a slight error that Louise drank it.\You must have been there when the effects kicked in.\Montmorency!\Can it be that you were trying to make me drink it?!\Oh, how touching! response:	To think you would go that far to capture my feelings.
context: Louise's Change of Heart\A love potion?!\It was a slight error that Louise drank it.\You must have been there when the effects kicked in.\Montmorency!\Can it be that you were trying to make me drink it?!\Oh, how touching!\To think you would go that far to capture my feelings. response:	It doesn't have to be you in particular.
context: A love potion?!\It was a slight error that Louise drank it.\You must have been there when the effects kicked in.\Montmorency!\Can it be that you were trying to make me drink it?!\Oh, how touching!\To think you would go that far to capture my feelings.\It doesn't have to be you in particular. response:	Seeing someone is nothing but a way to pass time.
context: It was a slight error that Louise drank it.\You must have been there when the effects kicked in.\Montmorency!\Can it be that you were trying to make me drink it?!\Oh, how touching!\To think you would go that far to capture my feelings.\It doesn't have to be you in particular.\Seeing someone is nothing but a way to pass time. response:	I just don't like being cheated on!
context: You must have been there when the effects kicked in.\Montmorency!\Can it be that you were trying to make me drink it?!\Oh, how touching!\To think you would go that far to capture my feelings.\It doesn't have to be you in particular.\Seeing someone is nothing but a way to pass time.\I just don't like being cheated on! response:	There is no way that I would cheat.
context: Montmorency!\Can it be that you were trying to make me drink it?!\Oh, how touching!\To think you would go that far to capture my feelings.\It doesn't have to be you in particular.\Seeing someone is nothing but a way to pass time.\I just don't like being cheated on!\There is no way that I would cheat. response:	I am an eternal servant of love.
context: Can it be that you were trying to make me drink it?!\Oh, how touching!\To think you would go that far to capture my feelings.\It doesn't have to be you in particular.\Seeing someone is nothing but a way to pass time.\I just don't like being cheated on!\There is no way that I would cheat.\I am an eternal servant of love. response:	Save that for later!
context: Oh, how touching!\To think you would go that far to capture my feelings.\It doesn't have to be you in particular.\Seeing someone is nothing but a way to pass time.\I just don't like being cheated on!\There is no way that I would cheat.\I am an eternal servant of love.\Save that for later! response:	You have no eye for the mood.
context: To think you would go that far to capture my feelings.\It doesn't have to be you in particular.\Seeing someone is nothing but a way to pass time.\I just don't like being cheated on!\There is no way that I would cheat.\I am an eternal servant of love.\Save that for later!\You have no eye for the mood. response:	Hey, Mon-Mon!
context: It doesn't have to be you in particular.\Seeing someone is nothing but a way to pass time.\I just don't like being cheated on!\There is no way that I would cheat.\I am an eternal servant of love.\Save that for later!\You have no eye for the mood.\Hey, Mon-Mon! response:	My name is Montmorency!
context: Seeing someone is nothing but a way to pass time.\I just don't like being cheated on!\There is no way that I would cheat.\I am an eternal servant of love.\Save that for later!\You have no eye for the mood.\Hey, Mon-Mon!\My name is Montmorency! response:	Hurry up and get Louise back to normal!
context: I just don't like being cheated on!\There is no way that I would cheat.\I am an eternal servant of love.\Save that for later!\You have no eye for the mood.\Hey, Mon-Mon!\My name is Montmorency!\Hurry up and get Louise back to normal! response:	The effects will wear off in due time.
context: There is no way that I would cheat.\I am an eternal servant of love.\Save that for later!\You have no eye for the mood.\Hey, Mon-Mon!\My name is Montmorency!\Hurry up and get Louise back to normal!\The effects will wear off in due time. response:	When is that?
context: I am an eternal servant of love.\Save that for later!\You have no eye for the mood.\Hey, Mon-Mon!\My name is Montmorency!\Hurry up and get Louise back to normal!\The effects will wear off in due time.\When is that? response:	Maybe a month from now,
context: Save that for later!\You have no eye for the mood.\Hey, Mon-Mon!\My name is Montmorency!\Hurry up and get Louise back to normal!\The effects will wear off in due time.\When is that?\Maybe a month from now, response:	or a year from now.
context: You have no eye for the mood.\Hey, Mon-Mon!\My name is Montmorency!\Hurry up and get Louise back to normal!\The effects will wear off in due time.\When is that?\Maybe a month from now,\or a year from now. response:	Wait a minute, you were planning on making me...
context: Hey, Mon-Mon!\My name is Montmorency!\Hurry up and get Louise back to normal!\The effects will wear off in due time.\When is that?\Maybe a month from now,\or a year from now.\Wait a minute, you were planning on making me... response:	You've got to be kidding!
context: My name is Montmorency!\Hurry up and get Louise back to normal!\The effects will wear off in due time.\When is that?\Maybe a month from now,\or a year from now.\Wait a minute, you were planning on making me...\You've got to be kidding! response:	Good morning.
context: Hurry up and get Louise back to normal!\The effects will wear off in due time.\When is that?\Maybe a month from now,\or a year from now.\Wait a minute, you were planning on making me...\You've got to be kidding!\Good morning. response:	Oh, Siesta...
context: The effects will wear off in due time.\When is that?\Maybe a month from now,\or a year from now.\Wait a minute, you were planning on making me...\You've got to be kidding!\Good morning.\Oh, Siesta... response:	You really were waiting for another girl!
context: When is that?\Maybe a month from now,\or a year from now.\Wait a minute, you were planning on making me...\You've got to be kidding!\Good morning.\Oh, Siesta...\You really were waiting for another girl! response:	What are you talking about?
context: Maybe a month from now,\or a year from now.\Wait a minute, you were planning on making me...\You've got to be kidding!\Good morning.\Oh, Siesta...\You really were waiting for another girl!\What are you talking about? response:	No matter how you look at it, she was just passing by!
context: or a year from now.\Wait a minute, you were planning on making me...\You've got to be kidding!\Good morning.\Oh, Siesta...\You really were waiting for another girl!\What are you talking about?\No matter how you look at it, she was just passing by! response:	I love you so much, yet you...
context: Wait a minute, you were planning on making me...\You've got to be kidding!\Good morning.\Oh, Siesta...\You really were waiting for another girl!\What are you talking about?\No matter how you look at it, she was just passing by!\I love you so much, yet you... response:	Saito, you idiot, idiot!
context: You've got to be kidding!\Good morning.\Oh, Siesta...\You really were waiting for another girl!\What are you talking about?\No matter how you look at it, she was just passing by!\I love you so much, yet you...\Saito, you idiot, idiot! response:	Come on!
context: Good morning.\Oh, Siesta...\You really were waiting for another girl!\What are you talking about?\No matter how you look at it, she was just passing by!\I love you so much, yet you...\Saito, you idiot, idiot!\Come on! response:	Don't cry...
context: Oh, Siesta...\You really were waiting for another girl!\What are you talking about?\No matter how you look at it, she was just passing by!\I love you so much, yet you...\Saito, you idiot, idiot!\Come on!\Don't cry... response:	Oh, um, this isn't what it seems to be. There's a bit of a reason...
context: You really were waiting for another girl!\What are you talking about?\No matter how you look at it, she was just passing by!\I love you so much, yet you...\Saito, you idiot, idiot!\Come on!\Don't cry...\Oh, um, this isn't what it seems to be. There's a bit of a reason... response:	What isn't what it seems to be?
context: What are you talking about?\No matter how you look at it, she was just passing by!\I love you so much, yet you...\Saito, you idiot, idiot!\Come on!\Don't cry...\Oh, um, this isn't what it seems to be. There's a bit of a reason...\What isn't what it seems to be? response:	Saito, don't you love me?
context: No matter how you look at it, she was just passing by!\I love you so much, yet you...\Saito, you idiot, idiot!\Come on!\Don't cry...\Oh, um, this isn't what it seems to be. There's a bit of a reason...\What isn't what it seems to be?\Saito, don't you love me? response:	No, nobody said such a thing...
context: I love you so much, yet you...\Saito, you idiot, idiot!\Come on!\Don't cry...\Oh, um, this isn't what it seems to be. There's a bit of a reason...\What isn't what it seems to be?\Saito, don't you love me?\No, nobody said such a thing... response:	My, aren't you popular?
context: Saito, you idiot, idiot!\Come on!\Don't cry...\Oh, um, this isn't what it seems to be. There's a bit of a reason...\What isn't what it seems to be?\Saito, don't you love me?\No, nobody said such a thing...\My, aren't you popular? response:	Siesta, I'm telling you, listen to me!
context: Come on!\Don't cry...\Oh, um, this isn't what it seems to be. There's a bit of a reason...\What isn't what it seems to be?\Saito, don't you love me?\No, nobody said such a thing...\My, aren't you popular?\Siesta, I'm telling you, listen to me! response:	Hey, Siesta!
context: Don't cry...\Oh, um, this isn't what it seems to be. There's a bit of a reason...\What isn't what it seems to be?\Saito, don't you love me?\No, nobody said such a thing...\My, aren't you popular?\Siesta, I'm telling you, listen to me!\Hey, Siesta! response:	You really love that woman after all, don't you?
context: Oh, um, this isn't what it seems to be. There's a bit of a reason...\What isn't what it seems to be?\Saito, don't you love me?\No, nobody said such a thing...\My, aren't you popular?\Siesta, I'm telling you, listen to me!\Hey, Siesta!\You really love that woman after all, don't you? response:	That's not it!
context: What isn't what it seems to be?\Saito, don't you love me?\No, nobody said such a thing...\My, aren't you popular?\Siesta, I'm telling you, listen to me!\Hey, Siesta!\You really love that woman after all, don't you?\That's not it! response:	Saito, you idiot!
context: Saito, don't you love me?\No, nobody said such a thing...\My, aren't you popular?\Siesta, I'm telling you, listen to me!\Hey, Siesta!\You really love that woman after all, don't you?\That's not it!\Saito, you idiot! response:	Sheesh!
context: No, nobody said such a thing...\My, aren't you popular?\Siesta, I'm telling you, listen to me!\Hey, Siesta!\You really love that woman after all, don't you?\That's not it!\Saito, you idiot!\Sheesh! response:	Here we go.
context: My, aren't you popular?\Siesta, I'm telling you, listen to me!\Hey, Siesta!\You really love that woman after all, don't you?\That's not it!\Saito, you idiot!\Sheesh!\Here we go. response:	You know, about earlier...
context: Siesta, I'm telling you, listen to me!\Hey, Siesta!\You really love that woman after all, don't you?\That's not it!\Saito, you idiot!\Sheesh!\Here we go.\You know, about earlier... response:	It's all right.
context: Hey, Siesta!\You really love that woman after all, don't you?\That's not it!\Saito, you idiot!\Sheesh!\Here we go.\You know, about earlier...\It's all right. response:	I don't mind at all.
context: You really love that woman after all, don't you?\That's not it!\Saito, you idiot!\Sheesh!\Here we go.\You know, about earlier...\It's all right.\I don't mind at all. response:	Besides, there was nothing there to begin with.
context: That's not it!\Saito, you idiot!\Sheesh!\Here we go.\You know, about earlier...\It's all right.\I don't mind at all.\Besides, there was nothing there to begin with. response:	In any case, just listen to me.
context: Saito, you idiot!\Sheesh!\Here we go.\You know, about earlier...\It's all right.\I don't mind at all.\Besides, there was nothing there to begin with.\In any case, just listen to me. response:	That's all because of a love potion.
context: Sheesh!\Here we go.\You know, about earlier...\It's all right.\I don't mind at all.\Besides, there was nothing there to begin with.\In any case, just listen to me.\That's all because of a love potion. response:	Love potion?
context: Here we go.\You know, about earlier...\It's all right.\I don't mind at all.\Besides, there was nothing there to begin with.\In any case, just listen to me.\That's all because of a love potion.\Love potion? response:	Yeah, apparently she mistakenly ingested one somehow last night,
context: You know, about earlier...\It's all right.\I don't mind at all.\Besides, there was nothing there to begin with.\In any case, just listen to me.\That's all because of a love potion.\Love potion?\Yeah, apparently she mistakenly ingested one somehow last night, response:	and she's been like that ever since.
context: It's all right.\I don't mind at all.\Besides, there was nothing there to begin with.\In any case, just listen to me.\That's all because of a love potion.\Love potion?\Yeah, apparently she mistakenly ingested one somehow last night,\and she's been like that ever since. response:	You don't have to tell such a lie. I really don't mind.
context: I don't mind at all.\Besides, there was nothing there to begin with.\In any case, just listen to me.\That's all because of a love potion.\Love potion?\Yeah, apparently she mistakenly ingested one somehow last night,\and she's been like that ever since.\You don't have to tell such a lie. I really don't mind. response:	A lie? It's not a lie...
context: Besides, there was nothing there to begin with.\In any case, just listen to me.\That's all because of a love potion.\Love potion?\Yeah, apparently she mistakenly ingested one somehow last night,\and she's been like that ever since.\You don't have to tell such a lie. I really don't mind.\A lie? It's not a lie... response:	Even peasants like me know.
context: In any case, just listen to me.\That's all because of a love potion.\Love potion?\Yeah, apparently she mistakenly ingested one somehow last night,\and she's been like that ever since.\You don't have to tell such a lie. I really don't mind.\A lie? It's not a lie...\Even peasants like me know. response:	Drugs to alter people's emotions are banned by law.
context: That's all because of a love potion.\Love potion?\Yeah, apparently she mistakenly ingested one somehow last night,\and she's been like that ever since.\You don't have to tell such a lie. I really don't mind.\A lie? It's not a lie...\Even peasants like me know.\Drugs to alter people's emotions are banned by law. response:	What was that?!
context: Love potion?\Yeah, apparently she mistakenly ingested one somehow last night,\and she's been like that ever since.\You don't have to tell such a lie. I really don't mind.\A lie? It's not a lie...\Even peasants like me know.\Drugs to alter people's emotions are banned by law.\What was that?! response:	I'm sorry, but I'm busy now.
context: Yeah, apparently she mistakenly ingested one somehow last night,\and she's been like that ever since.\You don't have to tell such a lie. I really don't mind.\A lie? It's not a lie...\Even peasants like me know.\Drugs to alter people's emotions are banned by law.\What was that?!\I'm sorry, but I'm busy now. response:	Hey, wait, Siesta!
context: and she's been like that ever since.\You don't have to tell such a lie. I really don't mind.\A lie? It's not a lie...\Even peasants like me know.\Drugs to alter people's emotions are banned by law.\What was that?!\I'm sorry, but I'm busy now.\Hey, wait, Siesta! response:	So that's what it was.
context: You don't have to tell such a lie. I really don't mind.\A lie? It's not a lie...\Even peasants like me know.\Drugs to alter people's emotions are banned by law.\What was that?!\I'm sorry, but I'm busy now.\Hey, wait, Siesta!\So that's what it was. response:	Damn that Mon-Mon...
context: A lie? It's not a lie...\Even peasants like me know.\Drugs to alter people's emotions are banned by law.\What was that?!\I'm sorry, but I'm busy now.\Hey, wait, Siesta!\So that's what it was.\Damn that Mon-Mon... response:	Louise must be mad.
context: Even peasants like me know.\Drugs to alter people's emotions are banned by law.\What was that?!\I'm sorry, but I'm busy now.\Hey, wait, Siesta!\So that's what it was.\Damn that Mon-Mon...\Louise must be mad. response:	What are you doing?
context: Drugs to alter people's emotions are banned by law.\What was that?!\I'm sorry, but I'm busy now.\Hey, wait, Siesta!\So that's what it was.\Damn that Mon-Mon...\Louise must be mad.\What are you doing? response:	At least put on a pair of panties!
context: What was that?!\I'm sorry, but I'm busy now.\Hey, wait, Siesta!\So that's what it was.\Damn that Mon-Mon...\Louise must be mad.\What are you doing?\At least put on a pair of panties! response:	I won't put one on!
context: I'm sorry, but I'm busy now.\Hey, wait, Siesta!\So that's what it was.\Damn that Mon-Mon...\Louise must be mad.\What are you doing?\At least put on a pair of panties!\I won't put one on! response:	Why not?
context: Hey, wait, Siesta!\So that's what it was.\Damn that Mon-Mon...\Louise must be mad.\What are you doing?\At least put on a pair of panties!\I won't put one on!\Why not? response:	Um... if you'd like, you can tell me why...
context: So that's what it was.\Damn that Mon-Mon...\Louise must be mad.\What are you doing?\At least put on a pair of panties!\I won't put one on!\Why not?\Um... if you'd like, you can tell me why... response:	Because I have no sex appeal.
context: Damn that Mon-Mon...\Louise must be mad.\What are you doing?\At least put on a pair of panties!\I won't put one on!\Why not?\Um... if you'd like, you can tell me why...\Because I have no sex appeal. response:	I know that because I was told so many times the other day.
context: Louise must be mad.\What are you doing?\At least put on a pair of panties!\I won't put one on!\Why not?\Um... if you'd like, you can tell me why...\Because I have no sex appeal.\I know that because I was told so many times the other day. response:	The other day?
context: What are you doing?\At least put on a pair of panties!\I won't put one on!\Why not?\Um... if you'd like, you can tell me why...\Because I have no sex appeal.\I know that because I was told so many times the other day.\The other day? response:	Oh, at the Fairy Cafe...
context: At least put on a pair of panties!\I won't put one on!\Why not?\Um... if you'd like, you can tell me why...\Because I have no sex appeal.\I know that because I was told so many times the other day.\The other day?\Oh, at the Fairy Cafe... response:	That's why you keep going to other girls, Saito.
context: I won't put one on!\Why not?\Um... if you'd like, you can tell me why...\Because I have no sex appeal.\I know that because I was told so many times the other day.\The other day?\Oh, at the Fairy Cafe...\That's why you keep going to other girls, Saito. response:	That's why you won't do anything to me
context: Why not?\Um... if you'd like, you can tell me why...\Because I have no sex appeal.\I know that because I was told so many times the other day.\The other day?\Oh, at the Fairy Cafe...\That's why you keep going to other girls, Saito.\That's why you won't do anything to me response:	even though we're always in the same room.
context: Um... if you'd like, you can tell me why...\Because I have no sex appeal.\I know that because I was told so many times the other day.\The other day?\Oh, at the Fairy Cafe...\That's why you keep going to other girls, Saito.\That's why you won't do anything to me\even though we're always in the same room. response:	Anything?
context: Because I have no sex appeal.\I know that because I was told so many times the other day.\The other day?\Oh, at the Fairy Cafe...\That's why you keep going to other girls, Saito.\That's why you won't do anything to me\even though we're always in the same room.\Anything? response:	Does that mean I can do something?
context: I know that because I was told so many times the other day.\The other day?\Oh, at the Fairy Cafe...\That's why you keep going to other girls, Saito.\That's why you won't do anything to me\even though we're always in the same room.\Anything?\Does that mean I can do something? response:	That's off limits!
context: The other day?\Oh, at the Fairy Cafe...\That's why you keep going to other girls, Saito.\That's why you won't do anything to me\even though we're always in the same room.\Anything?\Does that mean I can do something?\That's off limits! response:	Of course...
context: Oh, at the Fairy Cafe...\That's why you keep going to other girls, Saito.\That's why you won't do anything to me\even though we're always in the same room.\Anything?\Does that mean I can do something?\That's off limits!\Of course... response:	But if it's a little bit, I'd look the other way.
context: That's why you keep going to other girls, Saito.\That's why you won't do anything to me\even though we're always in the same room.\Anything?\Does that mean I can do something?\That's off limits!\Of course...\But if it's a little bit, I'd look the other way. response:	If it was for like an hour,
context: That's why you won't do anything to me\even though we're always in the same room.\Anything?\Does that mean I can do something?\That's off limits!\Of course...\But if it's a little bit, I'd look the other way.\If it was for like an hour, response:	I'd close my eyes and pretend I didn't know about it.
context: even though we're always in the same room.\Anything?\Does that mean I can do something?\That's off limits!\Of course...\But if it's a little bit, I'd look the other way.\If it was for like an hour,\I'd close my eyes and pretend I didn't know about it. response:	You say that, but...
context: Anything?\Does that mean I can do something?\That's off limits!\Of course...\But if it's a little bit, I'd look the other way.\If it was for like an hour,\I'd close my eyes and pretend I didn't know about it.\You say that, but... response:	Anyway...
context: Does that mean I can do something?\That's off limits!\Of course...\But if it's a little bit, I'd look the other way.\If it was for like an hour,\I'd close my eyes and pretend I didn't know about it.\You say that, but...\Anyway... response:	Please, put something on, okay?
context: That's off limits!\Of course...\But if it's a little bit, I'd look the other way.\If it was for like an hour,\I'd close my eyes and pretend I didn't know about it.\You say that, but...\Anyway...\Please, put something on, okay? response:	I was lonely for all this time!
context: Of course...\But if it's a little bit, I'd look the other way.\If it was for like an hour,\I'd close my eyes and pretend I didn't know about it.\You say that, but...\Anyway...\Please, put something on, okay?\I was lonely for all this time! response:	You idiot!
context: But if it's a little bit, I'd look the other way.\If it was for like an hour,\I'd close my eyes and pretend I didn't know about it.\You say that, but...\Anyway...\Please, put something on, okay?\I was lonely for all this time!\You idiot! response:	Look, you're acting strange because of a love potion.
context: If it was for like an hour,\I'd close my eyes and pretend I didn't know about it.\You say that, but...\Anyway...\Please, put something on, okay?\I was lonely for all this time!\You idiot!\Look, you're acting strange because of a love potion. response:	That's not true. It's not because of a love potion!
context: I'd close my eyes and pretend I didn't know about it.\You say that, but...\Anyway...\Please, put something on, okay?\I was lonely for all this time!\You idiot!\Look, you're acting strange because of a love potion.\That's not true. It's not because of a love potion! response:	When I look at you, Saito,
context: You say that, but...\Anyway...\Please, put something on, okay?\I was lonely for all this time!\You idiot!\Look, you're acting strange because of a love potion.\That's not true. It's not because of a love potion!\When I look at you, Saito, response:	my heart gets all painful, and it starts to race...
context: Anyway...\Please, put something on, okay?\I was lonely for all this time!\You idiot!\Look, you're acting strange because of a love potion.\That's not true. It's not because of a love potion!\When I look at you, Saito,\my heart gets all painful, and it starts to race... response:	Saito!
context: Please, put something on, okay?\I was lonely for all this time!\You idiot!\Look, you're acting strange because of a love potion.\That's not true. It's not because of a love potion!\When I look at you, Saito,\my heart gets all painful, and it starts to race...\Saito! response:	Ouch...
context: I was lonely for all this time!\You idiot!\Look, you're acting strange because of a love potion.\That's not true. It's not because of a love potion!\When I look at you, Saito,\my heart gets all painful, and it starts to race...\Saito!\Ouch... response:	Dammit!
context: You idiot!\Look, you're acting strange because of a love potion.\That's not true. It's not because of a love potion!\When I look at you, Saito,\my heart gets all painful, and it starts to race...\Saito!\Ouch...\Dammit! response:	What's wrong?
context: Look, you're acting strange because of a love potion.\That's not true. It's not because of a love potion!\When I look at you, Saito,\my heart gets all painful, and it starts to race...\Saito!\Ouch...\Dammit!\What's wrong? response:	Don't make faces like that!
context: That's not true. It's not because of a love potion!\When I look at you, Saito,\my heart gets all painful, and it starts to race...\Saito!\Ouch...\Dammit!\What's wrong?\Don't make faces like that! response:	You wait here. I'll make sure to turn you back to normal.
context: When I look at you, Saito,\my heart gets all painful, and it starts to race...\Saito!\Ouch...\Dammit!\What's wrong?\Don't make faces like that!\You wait here. I'll make sure to turn you back to normal. response:	Isn't it all right?
context: my heart gets all painful, and it starts to race...\Saito!\Ouch...\Dammit!\What's wrong?\Don't make faces like that!\You wait here. I'll make sure to turn you back to normal.\Isn't it all right? response:	I think it's a bit better for her to be smitten over you
context: Saito!\Ouch...\Dammit!\What's wrong?\Don't make faces like that!\You wait here. I'll make sure to turn you back to normal.\Isn't it all right?\I think it's a bit better for her to be smitten over you response:	than to be scolding you left and right like before.
context: Ouch...\Dammit!\What's wrong?\Don't make faces like that!\You wait here. I'll make sure to turn you back to normal.\Isn't it all right?\I think it's a bit better for her to be smitten over you\than to be scolding you left and right like before. response:	Shut up!
context: Dammit!\What's wrong?\Don't make faces like that!\You wait here. I'll make sure to turn you back to normal.\Isn't it all right?\I think it's a bit better for her to be smitten over you\than to be scolding you left and right like before.\Shut up! response:	I don't need the power of a love potion.
context: What's wrong?\Don't make faces like that!\You wait here. I'll make sure to turn you back to normal.\Isn't it all right?\I think it's a bit better for her to be smitten over you\than to be scolding you left and right like before.\Shut up!\I don't need the power of a love potion. response:	Am I not always at your side like this?
