context: I've been thinking this whole time. response:	What should I do for Norman's sake?
context: True intentions?\Yeah. Mom is really cautious.\Even though we weren't doing anything, Mom never stopped watching us.\But we could use that against her.\If she's watching me, I could keep her eyes away from people other than me.\Don and Gilda, huh?\Yeah. I left everything to them.\Training for the escape, and all other preparations. response:	How far along are you?
context: Yeah. Mom is really cautious.\Even though we weren't doing anything, Mom never stopped watching us.\But we could use that against her.\If she's watching me, I could keep her eyes away from people other than me.\Don and Gilda, huh?\Yeah. I left everything to them.\Training for the escape, and all other preparations.\How far along are you? response:	Everything is ready.
context: Even though we weren't doing anything, Mom never stopped watching us.\But we could use that against her.\If she's watching me, I could keep her eyes away from people other than me.\Don and Gilda, huh?\Yeah. I left everything to them.\Training for the escape, and all other preparations.\How far along are you?\Everything is ready. response:	Supplies, food, and warm clothing.
context: But we could use that against her.\If she's watching me, I could keep her eyes away from people other than me.\Don and Gilda, huh?\Yeah. I left everything to them.\Training for the escape, and all other preparations.\How far along are you?\Everything is ready.\Supplies, food, and warm clothing. response:	We can escape anytime.
context: If she's watching me, I could keep her eyes away from people other than me.\Don and Gilda, huh?\Yeah. I left everything to them.\Training for the escape, and all other preparations.\How far along are you?\Everything is ready.\Supplies, food, and warm clothing.\We can escape anytime. response:	That's pretty good.
context: Don and Gilda, huh?\Yeah. I left everything to them.\Training for the escape, and all other preparations.\How far along are you?\Everything is ready.\Supplies, food, and warm clothing.\We can escape anytime.\That's pretty good. response:	Now, how will you run away?
context: Yeah. I left everything to them.\Training for the escape, and all other preparations.\How far along are you?\Everything is ready.\Supplies, food, and warm clothing.\We can escape anytime.\That's pretty good.\Now, how will you run away? response:	I worked that out too. I have a plan.
context: Training for the escape, and all other preparations.\How far along are you?\Everything is ready.\Supplies, food, and warm clothing.\We can escape anytime.\That's pretty good.\Now, how will you run away?\I worked that out too. I have a plan. response:	Let's run away tomorrow afternoon, before you get shipped out.
context: How far along are you?\Everything is ready.\Supplies, food, and warm clothing.\We can escape anytime.\That's pretty good.\Now, how will you run away?\I worked that out too. I have a plan.\Let's run away tomorrow afternoon, before you get shipped out. response:	Wait. It's reckless to go out during the day.
context: Everything is ready.\Supplies, food, and warm clothing.\We can escape anytime.\That's pretty good.\Now, how will you run away?\I worked that out too. I have a plan.\Let's run away tomorrow afternoon, before you get shipped out.\Wait. It's reckless to go out during the day. response:	The situation's different from before.
context: Supplies, food, and warm clothing.\We can escape anytime.\That's pretty good.\Now, how will you run away?\I worked that out too. I have a plan.\Let's run away tomorrow afternoon, before you get shipped out.\Wait. It's reckless to go out during the day.\The situation's different from before. response:	We should leave at night when it's easier to hide.
context: We can escape anytime.\That's pretty good.\Now, how will you run away?\I worked that out too. I have a plan.\Let's run away tomorrow afternoon, before you get shipped out.\Wait. It's reckless to go out during the day.\The situation's different from before.\We should leave at night when it's easier to hide. response:	Hear me out.
context: That's pretty good.\Now, how will you run away?\I worked that out too. I have a plan.\Let's run away tomorrow afternoon, before you get shipped out.\Wait. It's reckless to go out during the day.\The situation's different from before.\We should leave at night when it's easier to hide.\Hear me out. response:	Sit.
context: Now, how will you run away?\I worked that out too. I have a plan.\Let's run away tomorrow afternoon, before you get shipped out.\Wait. It's reckless to go out during the day.\The situation's different from before.\We should leave at night when it's easier to hide.\Hear me out.\Sit. response:	Okay. There are two problems.
context: I worked that out too. I have a plan.\Let's run away tomorrow afternoon, before you get shipped out.\Wait. It's reckless to go out during the day.\The situation's different from before.\We should leave at night when it's easier to hide.\Hear me out.\Sit.\Okay. There are two problems. response:	First, Mom's watchful eyes.
context: Let's run away tomorrow afternoon, before you get shipped out.\Wait. It's reckless to go out during the day.\The situation's different from before.\We should leave at night when it's easier to hide.\Hear me out.\Sit.\Okay. There are two problems.\First, Mom's watchful eyes. response:	She's always watching us, and she's always holding one of the younger ones.
context: Wait. It's reckless to go out during the day.\The situation's different from before.\We should leave at night when it's easier to hide.\Hear me out.\Sit.\Okay. There are two problems.\First, Mom's watchful eyes.\She's always watching us, and she's always holding one of the younger ones. response:	She'll be doing that during the day, and at night, the babies are in her room.
context: The situation's different from before.\We should leave at night when it's easier to hide.\Hear me out.\Sit.\Okay. There are two problems.\First, Mom's watchful eyes.\She's always watching us, and she's always holding one of the younger ones.\She'll be doing that during the day, and at night, the babies are in her room. response:	In order to escape with everyone, we'll have to shake Mom off,
context: We should leave at night when it's easier to hide.\Hear me out.\Sit.\Okay. There are two problems.\First, Mom's watchful eyes.\She's always watching us, and she's always holding one of the younger ones.\She'll be doing that during the day, and at night, the babies are in her room.\In order to escape with everyone, we'll have to shake Mom off, response:	and separate her from the little ones.
context: Hear me out.\Sit.\Okay. There are two problems.\First, Mom's watchful eyes.\She's always watching us, and she's always holding one of the younger ones.\She'll be doing that during the day, and at night, the babies are in her room.\In order to escape with everyone, we'll have to shake Mom off,\and separate her from the little ones. response:	And then, past the wall is a cliff.
context: Sit.\Okay. There are two problems.\First, Mom's watchful eyes.\She's always watching us, and she's always holding one of the younger ones.\She'll be doing that during the day, and at night, the babies are in her room.\In order to escape with everyone, we'll have to shake Mom off,\and separate her from the little ones.\And then, past the wall is a cliff. response:	We can't climb down from it.
context: Okay. There are two problems.\First, Mom's watchful eyes.\She's always watching us, and she's always holding one of the younger ones.\She'll be doing that during the day, and at night, the babies are in her room.\In order to escape with everyone, we'll have to shake Mom off,\and separate her from the little ones.\And then, past the wall is a cliff.\We can't climb down from it. response:	If we're escaping, it'll be through the bridge. But there's only one.
context: First, Mom's watchful eyes.\She's always watching us, and she's always holding one of the younger ones.\She'll be doing that during the day, and at night, the babies are in her room.\In order to escape with everyone, we'll have to shake Mom off,\and separate her from the little ones.\And then, past the wall is a cliff.\We can't climb down from it.\If we're escaping, it'll be through the bridge. But there's only one. response:	I'm sure there's security to begin with,
context: She's always watching us, and she's always holding one of the younger ones.\She'll be doing that during the day, and at night, the babies are in her room.\In order to escape with everyone, we'll have to shake Mom off,\and separate her from the little ones.\And then, past the wall is a cliff.\We can't climb down from it.\If we're escaping, it'll be through the bridge. But there's only one.\I'm sure there's security to begin with, response:	and once they find out there's been an escape, the guards will rush there.
context: She'll be doing that during the day, and at night, the babies are in her room.\In order to escape with everyone, we'll have to shake Mom off,\and separate her from the little ones.\And then, past the wall is a cliff.\We can't climb down from it.\If we're escaping, it'll be through the bridge. But there's only one.\I'm sure there's security to begin with,\and once they find out there's been an escape, the guards will rush there. response:	Plus, it's near the headquarters.
context: In order to escape with everyone, we'll have to shake Mom off,\and separate her from the little ones.\And then, past the wall is a cliff.\We can't climb down from it.\If we're escaping, it'll be through the bridge. But there's only one.\I'm sure there's security to begin with,\and once they find out there's been an escape, the guards will rush there.\Plus, it's near the headquarters. response:	Those monsters should be everywhere.
context: and separate her from the little ones.\And then, past the wall is a cliff.\We can't climb down from it.\If we're escaping, it'll be through the bridge. But there's only one.\I'm sure there's security to begin with,\and once they find out there's been an escape, the guards will rush there.\Plus, it's near the headquarters.\Those monsters should be everywhere. response:	So, what are you going to do?
context: And then, past the wall is a cliff.\We can't climb down from it.\If we're escaping, it'll be through the bridge. But there's only one.\I'm sure there's security to begin with,\and once they find out there's been an escape, the guards will rush there.\Plus, it's near the headquarters.\Those monsters should be everywhere.\So, what are you going to do? response:	I think this is the best answer.
context: We can't climb down from it.\If we're escaping, it'll be through the bridge. But there's only one.\I'm sure there's security to begin with,\and once they find out there's been an escape, the guards will rush there.\Plus, it's near the headquarters.\Those monsters should be everywhere.\So, what are you going to do?\I think this is the best answer. response:	Oil?
context: If we're escaping, it'll be through the bridge. But there's only one.\I'm sure there's security to begin with,\and once they find out there's been an escape, the guards will rush there.\Plus, it's near the headquarters.\Those monsters should be everywhere.\So, what are you going to do?\I think this is the best answer.\Oil? response:	At night, we'll light the House on fire.
context: I'm sure there's security to begin with,\and once they find out there's been an escape, the guards will rush there.\Plus, it's near the headquarters.\Those monsters should be everywhere.\So, what are you going to do?\I think this is the best answer.\Oil?\At night, we'll light the House on fire. response:	You're going to start a fire?
context: and once they find out there's been an escape, the guards will rush there.\Plus, it's near the headquarters.\Those monsters should be everywhere.\So, what are you going to do?\I think this is the best answer.\Oil?\At night, we'll light the House on fire.\You're going to start a fire? response:	That's right.
context: Plus, it's near the headquarters.\Those monsters should be everywhere.\So, what are you going to do?\I think this is the best answer.\Oil?\At night, we'll light the House on fire.\You're going to start a fire?\That's right. response:	When Mom is distracted putting it out, we'll lead everyone outside, saying it's an evacuation.
context: Those monsters should be everywhere.\So, what are you going to do?\I think this is the best answer.\Oil?\At night, we'll light the House on fire.\You're going to start a fire?\That's right.\When Mom is distracted putting it out, we'll lead everyone outside, saying it's an evacuation. response:	If we seal the door to the secret room,
context: So, what are you going to do?\I think this is the best answer.\Oil?\At night, we'll light the House on fire.\You're going to start a fire?\That's right.\When Mom is distracted putting it out, we'll lead everyone outside, saying it's an evacuation.\If we seal the door to the secret room, response:	Mom can't notify headquarters, and headquarters will think it's a fire, not an escape.
context: I think this is the best answer.\Oil?\At night, we'll light the House on fire.\You're going to start a fire?\That's right.\When Mom is distracted putting it out, we'll lead everyone outside, saying it's an evacuation.\If we seal the door to the secret room,\Mom can't notify headquarters, and headquarters will think it's a fire, not an escape. response:	Then security won't go towards the bridge. We can escape through it then.
context: Oil?\At night, we'll light the House on fire.\You're going to start a fire?\That's right.\When Mom is distracted putting it out, we'll lead everyone outside, saying it's an evacuation.\If we seal the door to the secret room,\Mom can't notify headquarters, and headquarters will think it's a fire, not an escape.\Then security won't go towards the bridge. We can escape through it then. response:	As a bonus, I also hid ten Molotovs behind some rocks in the forest.
context: At night, we'll light the House on fire.\You're going to start a fire?\That's right.\When Mom is distracted putting it out, we'll lead everyone outside, saying it's an evacuation.\If we seal the door to the secret room,\Mom can't notify headquarters, and headquarters will think it's a fire, not an escape.\Then security won't go towards the bridge. We can escape through it then.\As a bonus, I also hid ten Molotovs behind some rocks in the forest. response:	Molotov bottles?
context: You're going to start a fire?\That's right.\When Mom is distracted putting it out, we'll lead everyone outside, saying it's an evacuation.\If we seal the door to the secret room,\Mom can't notify headquarters, and headquarters will think it's a fire, not an escape.\Then security won't go towards the bridge. We can escape through it then.\As a bonus, I also hid ten Molotovs behind some rocks in the forest.\Molotov bottles? response:	Don't underestimate my six years of preparations.
context: That's right.\When Mom is distracted putting it out, we'll lead everyone outside, saying it's an evacuation.\If we seal the door to the secret room,\Mom can't notify headquarters, and headquarters will think it's a fire, not an escape.\Then security won't go towards the bridge. We can escape through it then.\As a bonus, I also hid ten Molotovs behind some rocks in the forest.\Molotov bottles?\Don't underestimate my six years of preparations. response:	Throw those Molotovs into the neighboring plants on the way to the bridge.
context: When Mom is distracted putting it out, we'll lead everyone outside, saying it's an evacuation.\If we seal the door to the secret room,\Mom can't notify headquarters, and headquarters will think it's a fire, not an escape.\Then security won't go towards the bridge. We can escape through it then.\As a bonus, I also hid ten Molotovs behind some rocks in the forest.\Molotov bottles?\Don't underestimate my six years of preparations.\Throw those Molotovs into the neighboring plants on the way to the bridge. response:	If all goes well, there'll be another fire to make security even scarcer.
context: If we seal the door to the secret room,\Mom can't notify headquarters, and headquarters will think it's a fire, not an escape.\Then security won't go towards the bridge. We can escape through it then.\As a bonus, I also hid ten Molotovs behind some rocks in the forest.\Molotov bottles?\Don't underestimate my six years of preparations.\Throw those Molotovs into the neighboring plants on the way to the bridge.\If all goes well, there'll be another fire to make security even scarcer. response:	Since it's nighttime, no one will be in the forest.
context: Mom can't notify headquarters, and headquarters will think it's a fire, not an escape.\Then security won't go towards the bridge. We can escape through it then.\As a bonus, I also hid ten Molotovs behind some rocks in the forest.\Molotov bottles?\Don't underestimate my six years of preparations.\Throw those Molotovs into the neighboring plants on the way to the bridge.\If all goes well, there'll be another fire to make security even scarcer.\Since it's nighttime, no one will be in the forest. response:	No one will die.
context: Then security won't go towards the bridge. We can escape through it then.\As a bonus, I also hid ten Molotovs behind some rocks in the forest.\Molotov bottles?\Don't underestimate my six years of preparations.\Throw those Molotovs into the neighboring plants on the way to the bridge.\If all goes well, there'll be another fire to make security even scarcer.\Since it's nighttime, no one will be in the forest.\No one will die. response:	So instead of tomorrow, let's run away tonight, right now.
context: As a bonus, I also hid ten Molotovs behind some rocks in the forest.\Molotov bottles?\Don't underestimate my six years of preparations.\Throw those Molotovs into the neighboring plants on the way to the bridge.\If all goes well, there'll be another fire to make security even scarcer.\Since it's nighttime, no one will be in the forest.\No one will die.\So instead of tomorrow, let's run away tonight, right now. response:	Can you do it, Emma?
context: Molotov bottles?\Don't underestimate my six years of preparations.\Throw those Molotovs into the neighboring plants on the way to the bridge.\If all goes well, there'll be another fire to make security even scarcer.\Since it's nighttime, no one will be in the forest.\No one will die.\So instead of tomorrow, let's run away tonight, right now.\Can you do it, Emma? response:	Don't worry.
context: Don't underestimate my six years of preparations.\Throw those Molotovs into the neighboring plants on the way to the bridge.\If all goes well, there'll be another fire to make security even scarcer.\Since it's nighttime, no one will be in the forest.\No one will die.\So instead of tomorrow, let's run away tonight, right now.\Can you do it, Emma?\Don't worry. response:	This place is the farthest distance away from everyone's rooms.
context: Throw those Molotovs into the neighboring plants on the way to the bridge.\If all goes well, there'll be another fire to make security even scarcer.\Since it's nighttime, no one will be in the forest.\No one will die.\So instead of tomorrow, let's run away tonight, right now.\Can you do it, Emma?\Don't worry.\This place is the farthest distance away from everyone's rooms. response:	They can escape before the fires get to them.
context: If all goes well, there'll be another fire to make security even scarcer.\Since it's nighttime, no one will be in the forest.\No one will die.\So instead of tomorrow, let's run away tonight, right now.\Can you do it, Emma?\Don't worry.\This place is the farthest distance away from everyone's rooms.\They can escape before the fires get to them. response:	They've trained to run in formation through tag, right?
context: Since it's nighttime, no one will be in the forest.\No one will die.\So instead of tomorrow, let's run away tonight, right now.\Can you do it, Emma?\Don't worry.\This place is the farthest distance away from everyone's rooms.\They can escape before the fires get to them.\They've trained to run in formation through tag, right? response:	Or is your leg still...
context: No one will die.\So instead of tomorrow, let's run away tonight, right now.\Can you do it, Emma?\Don't worry.\This place is the farthest distance away from everyone's rooms.\They can escape before the fires get to them.\They've trained to run in formation through tag, right?\Or is your leg still... response:	It's fine!
context: So instead of tomorrow, let's run away tonight, right now.\Can you do it, Emma?\Don't worry.\This place is the farthest distance away from everyone's rooms.\They can escape before the fires get to them.\They've trained to run in formation through tag, right?\Or is your leg still...\It's fine! response:	Then it's decided.
context: Can you do it, Emma?\Don't worry.\This place is the farthest distance away from everyone's rooms.\They can escape before the fires get to them.\They've trained to run in formation through tag, right?\Or is your leg still...\It's fine!\Then it's decided. response:	Ray.
context: Don't worry.\This place is the farthest distance away from everyone's rooms.\They can escape before the fires get to them.\They've trained to run in formation through tag, right?\Or is your leg still...\It's fine!\Then it's decided.\Ray. response:	But you know, Emma...
context: This place is the farthest distance away from everyone's rooms.\They can escape before the fires get to them.\They've trained to run in formation through tag, right?\Or is your leg still...\It's fine!\Then it's decided.\Ray.\But you know, Emma... response:	To tell you the truth, I'm still against the idea of taking everyone.
context: They can escape before the fires get to them.\They've trained to run in formation through tag, right?\Or is your leg still...\It's fine!\Then it's decided.\Ray.\But you know, Emma...\To tell you the truth, I'm still against the idea of taking everyone. response:	Especially after hearing there's a cliff beyond those walls.
context: They've trained to run in formation through tag, right?\Or is your leg still...\It's fine!\Then it's decided.\Ray.\But you know, Emma...\To tell you the truth, I'm still against the idea of taking everyone.\Especially after hearing there's a cliff beyond those walls. response:	Even if you do take some, it should only be Don and Gilda.
context: Or is your leg still...\It's fine!\Then it's decided.\Ray.\But you know, Emma...\To tell you the truth, I'm still against the idea of taking everyone.\Especially after hearing there's a cliff beyond those walls.\Even if you do take some, it should only be Don and Gilda. response:	You should at least leave the babies behind.
context: It's fine!\Then it's decided.\Ray.\But you know, Emma...\To tell you the truth, I'm still against the idea of taking everyone.\Especially after hearing there's a cliff beyond those walls.\Even if you do take some, it should only be Don and Gilda.\You should at least leave the babies behind. response:	For their sake, and for yours, too.
context: Then it's decided.\Ray.\But you know, Emma...\To tell you the truth, I'm still against the idea of taking everyone.\Especially after hearing there's a cliff beyond those walls.\Even if you do take some, it should only be Don and Gilda.\You should at least leave the babies behind.\For their sake, and for yours, too. response:	But you won't listen even if I stop you.
context: Ray.\But you know, Emma...\To tell you the truth, I'm still against the idea of taking everyone.\Especially after hearing there's a cliff beyond those walls.\Even if you do take some, it should only be Don and Gilda.\You should at least leave the babies behind.\For their sake, and for yours, too.\But you won't listen even if I stop you. response:	And it's better than having you stay behind and not escape.
context: But you know, Emma...\To tell you the truth, I'm still against the idea of taking everyone.\Especially after hearing there's a cliff beyond those walls.\Even if you do take some, it should only be Don and Gilda.\You should at least leave the babies behind.\For their sake, and for yours, too.\But you won't listen even if I stop you.\And it's better than having you stay behind and not escape. response:	So I won't say anything more.
context: To tell you the truth, I'm still against the idea of taking everyone.\Especially after hearing there's a cliff beyond those walls.\Even if you do take some, it should only be Don and Gilda.\You should at least leave the babies behind.\For their sake, and for yours, too.\But you won't listen even if I stop you.\And it's better than having you stay behind and not escape.\So I won't say anything more. response:	You decide.
context: Especially after hearing there's a cliff beyond those walls.\Even if you do take some, it should only be Don and Gilda.\You should at least leave the babies behind.\For their sake, and for yours, too.\But you won't listen even if I stop you.\And it's better than having you stay behind and not escape.\So I won't say anything more.\You decide. response:	So what are you doing? Go tell Don and Gilda.
context: Even if you do take some, it should only be Don and Gilda.\You should at least leave the babies behind.\For their sake, and for yours, too.\But you won't listen even if I stop you.\And it's better than having you stay behind and not escape.\So I won't say anything more.\You decide.\So what are you doing? Go tell Don and Gilda. response:	You said...
context: You should at least leave the babies behind.\For their sake, and for yours, too.\But you won't listen even if I stop you.\And it's better than having you stay behind and not escape.\So I won't say anything more.\You decide.\So what are you doing? Go tell Don and Gilda.\You said... response:	to throw over the Molotov bottles?
context: For their sake, and for yours, too.\But you won't listen even if I stop you.\And it's better than having you stay behind and not escape.\So I won't say anything more.\You decide.\So what are you doing? Go tell Don and Gilda.\You said...\to throw over the Molotov bottles? response:	Yeah. You, or maybe Don could...
context: But you won't listen even if I stop you.\And it's better than having you stay behind and not escape.\So I won't say anything more.\You decide.\So what are you doing? Go tell Don and Gilda.\You said...\to throw over the Molotov bottles?\Yeah. You, or maybe Don could... response:	And I'm worried about one more thing.
context: And it's better than having you stay behind and not escape.\So I won't say anything more.\You decide.\So what are you doing? Go tell Don and Gilda.\You said...\to throw over the Molotov bottles?\Yeah. You, or maybe Don could...\And I'm worried about one more thing. response:	Even if we start a fire, what if Mom abandons the building?
context: So I won't say anything more.\You decide.\So what are you doing? Go tell Don and Gilda.\You said...\to throw over the Molotov bottles?\Yeah. You, or maybe Don could...\And I'm worried about one more thing.\Even if we start a fire, what if Mom abandons the building? response:	She might give up on putting out the fire and refuse to take her eyes off of us, the merchandise.
context: You decide.\So what are you doing? Go tell Don and Gilda.\You said...\to throw over the Molotov bottles?\Yeah. You, or maybe Don could...\And I'm worried about one more thing.\Even if we start a fire, what if Mom abandons the building?\She might give up on putting out the fire and refuse to take her eyes off of us, the merchandise. response:	You realized, huh?
context: So what are you doing? Go tell Don and Gilda.\You said...\to throw over the Molotov bottles?\Yeah. You, or maybe Don could...\And I'm worried about one more thing.\Even if we start a fire, what if Mom abandons the building?\She might give up on putting out the fire and refuse to take her eyes off of us, the merchandise.\You realized, huh? response:	There's a good possibility of that happening.
context: You said...\to throw over the Molotov bottles?\Yeah. You, or maybe Don could...\And I'm worried about one more thing.\Even if we start a fire, what if Mom abandons the building?\She might give up on putting out the fire and refuse to take her eyes off of us, the merchandise.\You realized, huh?\There's a good possibility of that happening. response:	That's why starting a fire won't be enough.
context: to throw over the Molotov bottles?\Yeah. You, or maybe Don could...\And I'm worried about one more thing.\Even if we start a fire, what if Mom abandons the building?\She might give up on putting out the fire and refuse to take her eyes off of us, the merchandise.\You realized, huh?\There's a good possibility of that happening.\That's why starting a fire won't be enough. response:	If we don't stop Mom, then we won't have any chances of escaping from her.
context: Yeah. You, or maybe Don could...\And I'm worried about one more thing.\Even if we start a fire, what if Mom abandons the building?\She might give up on putting out the fire and refuse to take her eyes off of us, the merchandise.\You realized, huh?\There's a good possibility of that happening.\That's why starting a fire won't be enough.\If we don't stop Mom, then we won't have any chances of escaping from her. response:	But don't worry.
context: And I'm worried about one more thing.\Even if we start a fire, what if Mom abandons the building?\She might give up on putting out the fire and refuse to take her eyes off of us, the merchandise.\You realized, huh?\There's a good possibility of that happening.\That's why starting a fire won't be enough.\If we don't stop Mom, then we won't have any chances of escaping from her.\But don't worry. response:	I just have to do this.
context: Even if we start a fire, what if Mom abandons the building?\She might give up on putting out the fire and refuse to take her eyes off of us, the merchandise.\You realized, huh?\There's a good possibility of that happening.\That's why starting a fire won't be enough.\If we don't stop Mom, then we won't have any chances of escaping from her.\But don't worry.\I just have to do this. response:	Ray?
context: She might give up on putting out the fire and refuse to take her eyes off of us, the merchandise.\You realized, huh?\There's a good possibility of that happening.\That's why starting a fire won't be enough.\If we don't stop Mom, then we won't have any chances of escaping from her.\But don't worry.\I just have to do this.\Ray? response:	Isn't this the greatest?
context: You realized, huh?\There's a good possibility of that happening.\That's why starting a fire won't be enough.\If we don't stop Mom, then we won't have any chances of escaping from her.\But don't worry.\I just have to do this.\Ray?\Isn't this the greatest? response:	The perfect scorer with the set shipment date will burn up.
context: There's a good possibility of that happening.\That's why starting a fire won't be enough.\If we don't stop Mom, then we won't have any chances of escaping from her.\But don't worry.\I just have to do this.\Ray?\Isn't this the greatest?\The perfect scorer with the set shipment date will burn up. response:	She won't be able to abandon me.
context: That's why starting a fire won't be enough.\If we don't stop Mom, then we won't have any chances of escaping from her.\But don't worry.\I just have to do this.\Ray?\Isn't this the greatest?\The perfect scorer with the set shipment date will burn up.\She won't be able to abandon me. response:	I've been waiting for this day.
context: If we don't stop Mom, then we won't have any chances of escaping from her.\But don't worry.\I just have to do this.\Ray?\Isn't this the greatest?\The perfect scorer with the set shipment date will burn up.\She won't be able to abandon me.\I've been waiting for this day. response:	I decided this a long time ago. Many, many years ago.
context: But don't worry.\I just have to do this.\Ray?\Isn't this the greatest?\The perfect scorer with the set shipment date will burn up.\She won't be able to abandon me.\I've been waiting for this day.\I decided this a long time ago. Many, many years ago. response:	It's a childish retaliation.
context: I just have to do this.\Ray?\Isn't this the greatest?\The perfect scorer with the set shipment date will burn up.\She won't be able to abandon me.\I've been waiting for this day.\I decided this a long time ago. Many, many years ago.\It's a childish retaliation. response:	You know what, Emma?
context: Ray?\Isn't this the greatest?\The perfect scorer with the set shipment date will burn up.\She won't be able to abandon me.\I've been waiting for this day.\I decided this a long time ago. Many, many years ago.\It's a childish retaliation.\You know what, Emma? response:	I've never really been interested in studying or reading.
context: Isn't this the greatest?\The perfect scorer with the set shipment date will burn up.\She won't be able to abandon me.\I've been waiting for this day.\I decided this a long time ago. Many, many years ago.\It's a childish retaliation.\You know what, Emma?\I've never really been interested in studying or reading. response:	But I endured it, and I worked hard to improve my value to the highest it could be.
