context: Saito, hurry up! response:	Come on!
context: If you can't move faster, I'll just go on without you.\Don't come crying to me if you get lost!\As a Void Mage, I am responsible for this world.\Louise... She has to contend with so much pressure...\It's so pretty!\You didn't have to buy it for me.\I do get my pay as a knight.\I can afford it. response:	Not that I could get you a real mansion.
context: Don't come crying to me if you get lost!\As a Void Mage, I am responsible for this world.\Louise... She has to contend with so much pressure...\It's so pretty!\You didn't have to buy it for me.\I do get my pay as a knight.\I can afford it.\Not that I could get you a real mansion. response:	A real mansion?
context: As a Void Mage, I am responsible for this world.\Louise... She has to contend with so much pressure...\It's so pretty!\You didn't have to buy it for me.\I do get my pay as a knight.\I can afford it.\Not that I could get you a real mansion.\A real mansion? response:	Living in a mansion, alone with Saito!
context: Louise... She has to contend with so much pressure...\It's so pretty!\You didn't have to buy it for me.\I do get my pay as a knight.\I can afford it.\Not that I could get you a real mansion.\A real mansion?\Living in a mansion, alone with Saito! response:	It's nothing, okay?!
context: It's so pretty!\You didn't have to buy it for me.\I do get my pay as a knight.\I can afford it.\Not that I could get you a real mansion.\A real mansion?\Living in a mansion, alone with Saito!\It's nothing, okay?! response:	She's not always honest, she gets jealous,
context: You didn't have to buy it for me.\I do get my pay as a knight.\I can afford it.\Not that I could get you a real mansion.\A real mansion?\Living in a mansion, alone with Saito!\It's nothing, okay?!\She's not always honest, she gets jealous, response:	and can be rather annoying.
context: I do get my pay as a knight.\I can afford it.\Not that I could get you a real mansion.\A real mansion?\Living in a mansion, alone with Saito!\It's nothing, okay?!\She's not always honest, she gets jealous,\and can be rather annoying. response:	But I'm going to protect her,
context: I can afford it.\Not that I could get you a real mansion.\A real mansion?\Living in a mansion, alone with Saito!\It's nothing, okay?!\She's not always honest, she gets jealous,\and can be rather annoying.\But I'm going to protect her, response:	no matter what.
context: Not that I could get you a real mansion.\A real mansion?\Living in a mansion, alone with Saito!\It's nothing, okay?!\She's not always honest, she gets jealous,\and can be rather annoying.\But I'm going to protect her,\no matter what. response:	Aquileia's Shrine Maiden
context: A real mansion?\Living in a mansion, alone with Saito!\It's nothing, okay?!\She's not always honest, she gets jealous,\and can be rather annoying.\But I'm going to protect her,\no matter what.\Aquileia's Shrine Maiden response:	Ladies and gentlemen!
context: Living in a mansion, alone with Saito!\It's nothing, okay?!\She's not always honest, she gets jealous,\and can be rather annoying.\But I'm going to protect her,\no matter what.\Aquileia's Shrine Maiden\Ladies and gentlemen! response:	Tomorrow, during the third anniversary celebration
context: It's nothing, okay?!\She's not always honest, she gets jealous,\and can be rather annoying.\But I'm going to protect her,\no matter what.\Aquileia's Shrine Maiden\Ladies and gentlemen!\Tomorrow, during the third anniversary celebration response:	of His Holiness' ascent here in Aquileia,
context: She's not always honest, she gets jealous,\and can be rather annoying.\But I'm going to protect her,\no matter what.\Aquileia's Shrine Maiden\Ladies and gentlemen!\Tomorrow, during the third anniversary celebration\of His Holiness' ascent here in Aquileia, response:	it will be our duty,
context: and can be rather annoying.\But I'm going to protect her,\no matter what.\Aquileia's Shrine Maiden\Ladies and gentlemen!\Tomorrow, during the third anniversary celebration\of His Holiness' ascent here in Aquileia,\it will be our duty, response:	as the Order of the Undine Knights, to ensure the safety of the streets.
context: But I'm going to protect her,\no matter what.\Aquileia's Shrine Maiden\Ladies and gentlemen!\Tomorrow, during the third anniversary celebration\of His Holiness' ascent here in Aquileia,\it will be our duty,\as the Order of the Undine Knights, to ensure the safety of the streets. response:	Without further details, that sounds somewhat important.
context: no matter what.\Aquileia's Shrine Maiden\Ladies and gentlemen!\Tomorrow, during the third anniversary celebration\of His Holiness' ascent here in Aquileia,\it will be our duty,\as the Order of the Undine Knights, to ensure the safety of the streets.\Without further details, that sounds somewhat important. response:	But in reality it's nothing more than crowd control.
context: Aquileia's Shrine Maiden\Ladies and gentlemen!\Tomorrow, during the third anniversary celebration\of His Holiness' ascent here in Aquileia,\it will be our duty,\as the Order of the Undine Knights, to ensure the safety of the streets.\Without further details, that sounds somewhat important.\But in reality it's nothing more than crowd control. response:	Forward, Undine!
context: Ladies and gentlemen!\Tomorrow, during the third anniversary celebration\of His Holiness' ascent here in Aquileia,\it will be our duty,\as the Order of the Undine Knights, to ensure the safety of the streets.\Without further details, that sounds somewhat important.\But in reality it's nothing more than crowd control.\Forward, Undine! response:	This city is so romantic.
context: Tomorrow, during the third anniversary celebration\of His Holiness' ascent here in Aquileia,\it will be our duty,\as the Order of the Undine Knights, to ensure the safety of the streets.\Without further details, that sounds somewhat important.\But in reality it's nothing more than crowd control.\Forward, Undine!\This city is so romantic. response:	It's like being on a honeymoon.
context: of His Holiness' ascent here in Aquileia,\it will be our duty,\as the Order of the Undine Knights, to ensure the safety of the streets.\Without further details, that sounds somewhat important.\But in reality it's nothing more than crowd control.\Forward, Undine!\This city is so romantic.\It's like being on a honeymoon. response:	It's pretty rude of Miss Valliere to cut out on us.
context: it will be our duty,\as the Order of the Undine Knights, to ensure the safety of the streets.\Without further details, that sounds somewhat important.\But in reality it's nothing more than crowd control.\Forward, Undine!\This city is so romantic.\It's like being on a honeymoon.\It's pretty rude of Miss Valliere to cut out on us. response:	It's too bad.
context: as the Order of the Undine Knights, to ensure the safety of the streets.\Without further details, that sounds somewhat important.\But in reality it's nothing more than crowd control.\Forward, Undine!\This city is so romantic.\It's like being on a honeymoon.\It's pretty rude of Miss Valliere to cut out on us.\It's too bad. response:	Louise and Tiffania have both...
context: Without further details, that sounds somewhat important.\But in reality it's nothing more than crowd control.\Forward, Undine!\This city is so romantic.\It's like being on a honeymoon.\It's pretty rude of Miss Valliere to cut out on us.\It's too bad.\Louise and Tiffania have both... response:	Your Grace, please ensure their safety.
context: But in reality it's nothing more than crowd control.\Forward, Undine!\This city is so romantic.\It's like being on a honeymoon.\It's pretty rude of Miss Valliere to cut out on us.\It's too bad.\Louise and Tiffania have both...\Your Grace, please ensure their safety. response:	Certainly.
context: Forward, Undine!\This city is so romantic.\It's like being on a honeymoon.\It's pretty rude of Miss Valliere to cut out on us.\It's too bad.\Louise and Tiffania have both...\Your Grace, please ensure their safety.\Certainly. response:	Something like yesterday will not happen again.
context: This city is so romantic.\It's like being on a honeymoon.\It's pretty rude of Miss Valliere to cut out on us.\It's too bad.\Louise and Tiffania have both...\Your Grace, please ensure their safety.\Certainly.\Something like yesterday will not happen again. response:	Is that not so, Julio?
context: It's like being on a honeymoon.\It's pretty rude of Miss Valliere to cut out on us.\It's too bad.\Louise and Tiffania have both...\Your Grace, please ensure their safety.\Certainly.\Something like yesterday will not happen again.\Is that not so, Julio? response:	Yes.
context: It's pretty rude of Miss Valliere to cut out on us.\It's too bad.\Louise and Tiffania have both...\Your Grace, please ensure their safety.\Certainly.\Something like yesterday will not happen again.\Is that not so, Julio?\Yes. response:	For the entire two weeks of ceremonies,
context: It's too bad.\Louise and Tiffania have both...\Your Grace, please ensure their safety.\Certainly.\Something like yesterday will not happen again.\Is that not so, Julio?\Yes.\For the entire two weeks of ceremonies, response:	we have 300 holy knights securing this area.
context: Louise and Tiffania have both...\Your Grace, please ensure their safety.\Certainly.\Something like yesterday will not happen again.\Is that not so, Julio?\Yes.\For the entire two weeks of ceremonies,\we have 300 holy knights securing this area. response:	And yet, just yesterday,
context: Your Grace, please ensure their safety.\Certainly.\Something like yesterday will not happen again.\Is that not so, Julio?\Yes.\For the entire two weeks of ceremonies,\we have 300 holy knights securing this area.\And yet, just yesterday, response:	the Founder's Round Mirror was stolen
context: Certainly.\Something like yesterday will not happen again.\Is that not so, Julio?\Yes.\For the entire two weeks of ceremonies,\we have 300 holy knights securing this area.\And yet, just yesterday,\the Founder's Round Mirror was stolen response:	by mercenaries who call themselves the Elemental Siblings.
context: Something like yesterday will not happen again.\Is that not so, Julio?\Yes.\For the entire two weeks of ceremonies,\we have 300 holy knights securing this area.\And yet, just yesterday,\the Founder's Round Mirror was stolen\by mercenaries who call themselves the Elemental Siblings. response:	What about the possibility that those
context: Is that not so, Julio?\Yes.\For the entire two weeks of ceremonies,\we have 300 holy knights securing this area.\And yet, just yesterday,\the Founder's Round Mirror was stolen\by mercenaries who call themselves the Elemental Siblings.\What about the possibility that those response:	who hired them are plotting a conspiracy?
context: Yes.\For the entire two weeks of ceremonies,\we have 300 holy knights securing this area.\And yet, just yesterday,\the Founder's Round Mirror was stolen\by mercenaries who call themselves the Elemental Siblings.\What about the possibility that those\who hired them are plotting a conspiracy? response:	We can't rule it out.
context: For the entire two weeks of ceremonies,\we have 300 holy knights securing this area.\And yet, just yesterday,\the Founder's Round Mirror was stolen\by mercenaries who call themselves the Elemental Siblings.\What about the possibility that those\who hired them are plotting a conspiracy?\We can't rule it out. response:	However, we have prepared magic detection spells throughout the city.
context: we have 300 holy knights securing this area.\And yet, just yesterday,\the Founder's Round Mirror was stolen\by mercenaries who call themselves the Elemental Siblings.\What about the possibility that those\who hired them are plotting a conspiracy?\We can't rule it out.\However, we have prepared magic detection spells throughout the city. response:	Anyone who tries to use magic will be detected immediately.
context: And yet, just yesterday,\the Founder's Round Mirror was stolen\by mercenaries who call themselves the Elemental Siblings.\What about the possibility that those\who hired them are plotting a conspiracy?\We can't rule it out.\However, we have prepared magic detection spells throughout the city.\Anyone who tries to use magic will be detected immediately. response:	There is no need for concern.
context: the Founder's Round Mirror was stolen\by mercenaries who call themselves the Elemental Siblings.\What about the possibility that those\who hired them are plotting a conspiracy?\We can't rule it out.\However, we have prepared magic detection spells throughout the city.\Anyone who tries to use magic will be detected immediately.\There is no need for concern. response:	What do you think, Agnes?
context: by mercenaries who call themselves the Elemental Siblings.\What about the possibility that those\who hired them are plotting a conspiracy?\We can't rule it out.\However, we have prepared magic detection spells throughout the city.\Anyone who tries to use magic will be detected immediately.\There is no need for concern.\What do you think, Agnes? response:	I don't like it.
context: What about the possibility that those\who hired them are plotting a conspiracy?\We can't rule it out.\However, we have prepared magic detection spells throughout the city.\Anyone who tries to use magic will be detected immediately.\There is no need for concern.\What do you think, Agnes?\I don't like it. response:	I believe we are being too careless towards
context: who hired them are plotting a conspiracy?\We can't rule it out.\However, we have prepared magic detection spells throughout the city.\Anyone who tries to use magic will be detected immediately.\There is no need for concern.\What do you think, Agnes?\I don't like it.\I believe we are being too careless towards response:	an enemy we can't read.
context: We can't rule it out.\However, we have prepared magic detection spells throughout the city.\Anyone who tries to use magic will be detected immediately.\There is no need for concern.\What do you think, Agnes?\I don't like it.\I believe we are being too careless towards\an enemy we can't read. response:	What concerns me the most is that I could sense
context: However, we have prepared magic detection spells throughout the city.\Anyone who tries to use magic will be detected immediately.\There is no need for concern.\What do you think, Agnes?\I don't like it.\I believe we are being too careless towards\an enemy we can't read.\What concerns me the most is that I could sense response:	that His Grace was not shaken by yesterday's event.
context: Anyone who tries to use magic will be detected immediately.\There is no need for concern.\What do you think, Agnes?\I don't like it.\I believe we are being too careless towards\an enemy we can't read.\What concerns me the most is that I could sense\that His Grace was not shaken by yesterday's event. response:	Are you saying he expected it?
context: There is no need for concern.\What do you think, Agnes?\I don't like it.\I believe we are being too careless towards\an enemy we can't read.\What concerns me the most is that I could sense\that His Grace was not shaken by yesterday's event.\Are you saying he expected it? response:	I hope I'm just making too much of it.
context: What do you think, Agnes?\I don't like it.\I believe we are being too careless towards\an enemy we can't read.\What concerns me the most is that I could sense\that His Grace was not shaken by yesterday's event.\Are you saying he expected it?\I hope I'm just making too much of it. response:	Isn't it possible that it was
context: I don't like it.\I believe we are being too careless towards\an enemy we can't read.\What concerns me the most is that I could sense\that His Grace was not shaken by yesterday's event.\Are you saying he expected it?\I hope I'm just making too much of it.\Isn't it possible that it was response:	Saito who was summoned back then?
context: I believe we are being too careless towards\an enemy we can't read.\What concerns me the most is that I could sense\that His Grace was not shaken by yesterday's event.\Are you saying he expected it?\I hope I'm just making too much of it.\Isn't it possible that it was\Saito who was summoned back then? response:	It's happened again!
context: an enemy we can't read.\What concerns me the most is that I could sense\that His Grace was not shaken by yesterday's event.\Are you saying he expected it?\I hope I'm just making too much of it.\Isn't it possible that it was\Saito who was summoned back then?\It's happened again! response:	Just looking at him was enough to make my heart race.
context: What concerns me the most is that I could sense\that His Grace was not shaken by yesterday's event.\Are you saying he expected it?\I hope I'm just making too much of it.\Isn't it possible that it was\Saito who was summoned back then?\It's happened again!\Just looking at him was enough to make my heart race. response:	This isn't normal!
context: that His Grace was not shaken by yesterday's event.\Are you saying he expected it?\I hope I'm just making too much of it.\Isn't it possible that it was\Saito who was summoned back then?\It's happened again!\Just looking at him was enough to make my heart race.\This isn't normal! response:	I'm back!
context: Are you saying he expected it?\I hope I'm just making too much of it.\Isn't it possible that it was\Saito who was summoned back then?\It's happened again!\Just looking at him was enough to make my heart race.\This isn't normal!\I'm back! response:	Saito.
context: I hope I'm just making too much of it.\Isn't it possible that it was\Saito who was summoned back then?\It's happened again!\Just looking at him was enough to make my heart race.\This isn't normal!\I'm back!\Saito. response:	L-Louise...
context: Isn't it possible that it was\Saito who was summoned back then?\It's happened again!\Just looking at him was enough to make my heart race.\This isn't normal!\I'm back!\Saito.\L-Louise... response:	This is my shrine maiden outfit for tomorrow.
context: Saito who was summoned back then?\It's happened again!\Just looking at him was enough to make my heart race.\This isn't normal!\I'm back!\Saito.\L-Louise...\This is my shrine maiden outfit for tomorrow. response:	I wanted to show it to you first.
context: It's happened again!\Just looking at him was enough to make my heart race.\This isn't normal!\I'm back!\Saito.\L-Louise...\This is my shrine maiden outfit for tomorrow.\I wanted to show it to you first. response:	A holy maiden...
context: Just looking at him was enough to make my heart race.\This isn't normal!\I'm back!\Saito.\L-Louise...\This is my shrine maiden outfit for tomorrow.\I wanted to show it to you first.\A holy maiden... response:	I'm in the presence of a holy maiden!
context: This isn't normal!\I'm back!\Saito.\L-Louise...\This is my shrine maiden outfit for tomorrow.\I wanted to show it to you first.\A holy maiden...\I'm in the presence of a holy maiden! response:	Louise!
context: I'm back!\Saito.\L-Louise...\This is my shrine maiden outfit for tomorrow.\I wanted to show it to you first.\A holy maiden...\I'm in the presence of a holy maiden!\Louise! response:	Louise!
context: Saito.\L-Louise...\This is my shrine maiden outfit for tomorrow.\I wanted to show it to you first.\A holy maiden...\I'm in the presence of a holy maiden!\Louise!\Louise! response:	L-Louise!
context: L-Louise...\This is my shrine maiden outfit for tomorrow.\I wanted to show it to you first.\A holy maiden...\I'm in the presence of a holy maiden!\Louise!\Louise!\L-Louise! response:	S-Saito, you mustn't!
context: This is my shrine maiden outfit for tomorrow.\I wanted to show it to you first.\A holy maiden...\I'm in the presence of a holy maiden!\Louise!\Louise!\L-Louise!\S-Saito, you mustn't! response:	I can't do that in the clothes I'm going to wear before God!
context: I wanted to show it to you first.\A holy maiden...\I'm in the presence of a holy maiden!\Louise!\Louise!\L-Louise!\S-Saito, you mustn't!\I can't do that in the clothes I'm going to wear before God! response:	It's fine. You look so cute.
context: A holy maiden...\I'm in the presence of a holy maiden!\Louise!\Louise!\L-Louise!\S-Saito, you mustn't!\I can't do that in the clothes I'm going to wear before God!\It's fine. You look so cute. response:	I'm not cute...
context: I'm in the presence of a holy maiden!\Louise!\Louise!\L-Louise!\S-Saito, you mustn't!\I can't do that in the clothes I'm going to wear before God!\It's fine. You look so cute.\I'm not cute... response:	You are!
context: Louise!\Louise!\L-Louise!\S-Saito, you mustn't!\I can't do that in the clothes I'm going to wear before God!\It's fine. You look so cute.\I'm not cute...\You are! response:	You're like a... like a...
context: Louise!\L-Louise!\S-Saito, you mustn't!\I can't do that in the clothes I'm going to wear before God!\It's fine. You look so cute.\I'm not cute...\You are!\You're like a... like a... response:	A lemon?
context: L-Louise!\S-Saito, you mustn't!\I can't do that in the clothes I'm going to wear before God!\It's fine. You look so cute.\I'm not cute...\You are!\You're like a... like a...\A lemon? response:	Your skin is smooth,
context: S-Saito, you mustn't!\I can't do that in the clothes I'm going to wear before God!\It's fine. You look so cute.\I'm not cute...\You are!\You're like a... like a...\A lemon?\Your skin is smooth, response:	your scent is soft...
context: I can't do that in the clothes I'm going to wear before God!\It's fine. You look so cute.\I'm not cute...\You are!\You're like a... like a...\A lemon?\Your skin is smooth,\your scent is soft... response:	You're a little lemon!
context: It's fine. You look so cute.\I'm not cute...\You are!\You're like a... like a...\A lemon?\Your skin is smooth,\your scent is soft...\You're a little lemon! response:	Stop!
context: I'm not cute...\You are!\You're like a... like a...\A lemon?\Your skin is smooth,\your scent is soft...\You're a little lemon!\Stop! response:	I don't like you when you get like this, Saito!
context: You are!\You're like a... like a...\A lemon?\Your skin is smooth,\your scent is soft...\You're a little lemon!\Stop!\I don't like you when you get like this, Saito! response:	Yup, you're a lemon!
context: You're like a... like a...\A lemon?\Your skin is smooth,\your scent is soft...\You're a little lemon!\Stop!\I don't like you when you get like this, Saito!\Yup, you're a lemon! response:	I can't help myself against this little lemon.
context: A lemon?\Your skin is smooth,\your scent is soft...\You're a little lemon!\Stop!\I don't like you when you get like this, Saito!\Yup, you're a lemon!\I can't help myself against this little lemon. response:	I don't understand what you're talking about, but am I really a lemon?
context: Your skin is smooth,\your scent is soft...\You're a little lemon!\Stop!\I don't like you when you get like this, Saito!\Yup, you're a lemon!\I can't help myself against this little lemon.\I don't understand what you're talking about, but am I really a lemon? response:	Yes.
context: your scent is soft...\You're a little lemon!\Stop!\I don't like you when you get like this, Saito!\Yup, you're a lemon!\I can't help myself against this little lemon.\I don't understand what you're talking about, but am I really a lemon?\Yes. response:	Try saying, I'm a shy lemon.
context: You're a little lemon!\Stop!\I don't like you when you get like this, Saito!\Yup, you're a lemon!\I can't help myself against this little lemon.\I don't understand what you're talking about, but am I really a lemon?\Yes.\Try saying, I'm a shy lemon. response:	I-I'm a shy lemon...
context: Stop!\I don't like you when you get like this, Saito!\Yup, you're a lemon!\I can't help myself against this little lemon.\I don't understand what you're talking about, but am I really a lemon?\Yes.\Try saying, I'm a shy lemon.\I-I'm a shy lemon... response:	What a cute lemon!
context: I don't like you when you get like this, Saito!\Yup, you're a lemon!\I can't help myself against this little lemon.\I don't understand what you're talking about, but am I really a lemon?\Yes.\Try saying, I'm a shy lemon.\I-I'm a shy lemon...\What a cute lemon! response:	She really is so cute!
context: Yup, you're a lemon!\I can't help myself against this little lemon.\I don't understand what you're talking about, but am I really a lemon?\Yes.\Try saying, I'm a shy lemon.\I-I'm a shy lemon...\What a cute lemon!\She really is so cute! response:	I'm so happy!
context: I can't help myself against this little lemon.\I don't understand what you're talking about, but am I really a lemon?\Yes.\Try saying, I'm a shy lemon.\I-I'm a shy lemon...\What a cute lemon!\She really is so cute!\I'm so happy! response:	This little lemon is happy, too!
context: I don't understand what you're talking about, but am I really a lemon?\Yes.\Try saying, I'm a shy lemon.\I-I'm a shy lemon...\What a cute lemon!\She really is so cute!\I'm so happy!\This little lemon is happy, too! response:	I have a message from the wind sprite.
context: Yes.\Try saying, I'm a shy lemon.\I-I'm a shy lemon...\What a cute lemon!\She really is so cute!\I'm so happy!\This little lemon is happy, too!\I have a message from the wind sprite. response:	Malicorne?
context: Try saying, I'm a shy lemon.\I-I'm a shy lemon...\What a cute lemon!\She really is so cute!\I'm so happy!\This little lemon is happy, too!\I have a message from the wind sprite.\Malicorne? response:	The walls of this abode are unexpectedly thin.
context: I-I'm a shy lemon...\What a cute lemon!\She really is so cute!\I'm so happy!\This little lemon is happy, too!\I have a message from the wind sprite.\Malicorne?\The walls of this abode are unexpectedly thin. response:	Please consider your neighbors.
context: What a cute lemon!\She really is so cute!\I'm so happy!\This little lemon is happy, too!\I have a message from the wind sprite.\Malicorne?\The walls of this abode are unexpectedly thin.\Please consider your neighbors. response:	Yes.
context: She really is so cute!\I'm so happy!\This little lemon is happy, too!\I have a message from the wind sprite.\Malicorne?\The walls of this abode are unexpectedly thin.\Please consider your neighbors.\Yes. response:	And seriously, little lemon?
context: I'm so happy!\This little lemon is happy, too!\I have a message from the wind sprite.\Malicorne?\The walls of this abode are unexpectedly thin.\Please consider your neighbors.\Yes.\And seriously, little lemon? response:	Saito, he...
context: This little lemon is happy, too!\I have a message from the wind sprite.\Malicorne?\The walls of this abode are unexpectedly thin.\Please consider your neighbors.\Yes.\And seriously, little lemon?\Saito, he... response:	He made me say it!
context: I have a message from the wind sprite.\Malicorne?\The walls of this abode are unexpectedly thin.\Please consider your neighbors.\Yes.\And seriously, little lemon?\Saito, he...\He made me say it! response:	Flame.
context: Malicorne?\The walls of this abode are unexpectedly thin.\Please consider your neighbors.\Yes.\And seriously, little lemon?\Saito, he...\He made me say it!\Flame. response:	Flame under my contract.
context: The walls of this abode are unexpectedly thin.\Please consider your neighbors.\Yes.\And seriously, little lemon?\Saito, he...\He made me say it!\Flame.\Flame under my contract. response:	Flow to the place that I indicate.
context: Please consider your neighbors.\Yes.\And seriously, little lemon?\Saito, he...\He made me say it!\Flame.\Flame under my contract.\Flow to the place that I indicate. response:	That makes it three.
context: Yes.\And seriously, little lemon?\Saito, he...\He made me say it!\Flame.\Flame under my contract.\Flow to the place that I indicate.\That makes it three. response:	Good work, Lord Bidalsha.
context: And seriously, little lemon?\Saito, he...\He made me say it!\Flame.\Flame under my contract.\Flow to the place that I indicate.\That makes it three.\Good work, Lord Bidalsha. response:	The Fire Stone.
context: Saito, he...\He made me say it!\Flame.\Flame under my contract.\Flow to the place that I indicate.\That makes it three.\Good work, Lord Bidalsha.\The Fire Stone. response:	You used the power of the sprites
context: He made me say it!\Flame.\Flame under my contract.\Flow to the place that I indicate.\That makes it three.\Good work, Lord Bidalsha.\The Fire Stone.\You used the power of the sprites response:	to seal the power of fire into this crystal?
context: Flame.\Flame under my contract.\Flow to the place that I indicate.\That makes it three.\Good work, Lord Bidalsha.\The Fire Stone.\You used the power of the sprites\to seal the power of fire into this crystal? response:	To put it simply, yes.
context: Flame under my contract.\Flow to the place that I indicate.\That makes it three.\Good work, Lord Bidalsha.\The Fire Stone.\You used the power of the sprites\to seal the power of fire into this crystal?\To put it simply, yes. response:	But it is actually much more complex and profound than that.
context: Flow to the place that I indicate.\That makes it three.\Good work, Lord Bidalsha.\The Fire Stone.\You used the power of the sprites\to seal the power of fire into this crystal?\To put it simply, yes.\But it is actually much more complex and profound than that. response:	Then I have a question for you, Lord Bidalsha.
context: That makes it three.\Good work, Lord Bidalsha.\The Fire Stone.\You used the power of the sprites\to seal the power of fire into this crystal?\To put it simply, yes.\But it is actually much more complex and profound than that.\Then I have a question for you, Lord Bidalsha. response:	How much land can a stone this size conflagrate?
context: Good work, Lord Bidalsha.\The Fire Stone.\You used the power of the sprites\to seal the power of fire into this crystal?\To put it simply, yes.\But it is actually much more complex and profound than that.\Then I have a question for you, Lord Bidalsha.\How much land can a stone this size conflagrate? response:	Excuse me?
context: The Fire Stone.\You used the power of the sprites\to seal the power of fire into this crystal?\To put it simply, yes.\But it is actually much more complex and profound than that.\Then I have a question for you, Lord Bidalsha.\How much land can a stone this size conflagrate?\Excuse me? response:	I'm asking about its potential as a weapon of mass destruction.
context: You used the power of the sprites\to seal the power of fire into this crystal?\To put it simply, yes.\But it is actually much more complex and profound than that.\Then I have a question for you, Lord Bidalsha.\How much land can a stone this size conflagrate?\Excuse me?\I'm asking about its potential as a weapon of mass destruction. response:	A weapon of destruction?
context: to seal the power of fire into this crystal?\To put it simply, yes.\But it is actually much more complex and profound than that.\Then I have a question for you, Lord Bidalsha.\How much land can a stone this size conflagrate?\Excuse me?\I'm asking about its potential as a weapon of mass destruction.\A weapon of destruction? response:	I was not told it would be used for that!
context: To put it simply, yes.\But it is actually much more complex and profound than that.\Then I have a question for you, Lord Bidalsha.\How much land can a stone this size conflagrate?\Excuse me?\I'm asking about its potential as a weapon of mass destruction.\A weapon of destruction?\I was not told it would be used for that! response:	I'm merely proposing that we discover new uses for this stone.
context: But it is actually much more complex and profound than that.\Then I have a question for you, Lord Bidalsha.\How much land can a stone this size conflagrate?\Excuse me?\I'm asking about its potential as a weapon of mass destruction.\A weapon of destruction?\I was not told it would be used for that!\I'm merely proposing that we discover new uses for this stone. response:	Why don't you come and observe?
context: Then I have a question for you, Lord Bidalsha.\How much land can a stone this size conflagrate?\Excuse me?\I'm asking about its potential as a weapon of mass destruction.\A weapon of destruction?\I was not told it would be used for that!\I'm merely proposing that we discover new uses for this stone.\Why don't you come and observe? response:	I must decline.
context: How much land can a stone this size conflagrate?\Excuse me?\I'm asking about its potential as a weapon of mass destruction.\A weapon of destruction?\I was not told it would be used for that!\I'm merely proposing that we discover new uses for this stone.\Why don't you come and observe?\I must decline. response:	I do not wish to take part in crimes.
context: Excuse me?\I'm asking about its potential as a weapon of mass destruction.\A weapon of destruction?\I was not told it would be used for that!\I'm merely proposing that we discover new uses for this stone.\Why don't you come and observe?\I must decline.\I do not wish to take part in crimes. response:	You have the nerve to say that after you locked your
context: I'm asking about its potential as a weapon of mass destruction.\A weapon of destruction?\I was not told it would be used for that!\I'm merely proposing that we discover new uses for this stone.\Why don't you come and observe?\I must decline.\I do not wish to take part in crimes.\You have the nerve to say that after you locked your response:	innocent daughter away on my orders,
context: A weapon of destruction?\I was not told it would be used for that!\I'm merely proposing that we discover new uses for this stone.\Why don't you come and observe?\I must decline.\I do not wish to take part in crimes.\You have the nerve to say that after you locked your\innocent daughter away on my orders, response:	and used secret elven magic on Jormungandr's armor?
context: I was not told it would be used for that!\I'm merely proposing that we discover new uses for this stone.\Why don't you come and observe?\I must decline.\I do not wish to take part in crimes.\You have the nerve to say that after you locked your\innocent daughter away on my orders,\and used secret elven magic on Jormungandr's armor? response:	You've already done more than take part!
