context: I didn't have the energy to come up with excuses response:	like the bed was too small or that I forgot my wallet.
context: Breath held, arms reaching out\Baby this world is different from yesterday's\You're the only one I can see\Baby my wish on a wing\This sky is torn\By a single overflowing word\Wow!\What a great vocalist! response:	Where'd you find her?
context: Baby this world is different from yesterday's\You're the only one I can see\Baby my wish on a wing\This sky is torn\By a single overflowing word\Wow!\What a great vocalist!\Where'd you find her? response:	She's Ren's girl, isn't she?
context: You're the only one I can see\Baby my wish on a wing\This sky is torn\By a single overflowing word\Wow!\What a great vocalist!\Where'd you find her?\She's Ren's girl, isn't she? response:	Yeah. But before that, she was Nobu's classmate, and...
context: Baby my wish on a wing\This sky is torn\By a single overflowing word\Wow!\What a great vocalist!\Where'd you find her?\She's Ren's girl, isn't she?\Yeah. But before that, she was Nobu's classmate, and... response:	She's great!
context: This sky is torn\By a single overflowing word\Wow!\What a great vocalist!\Where'd you find her?\She's Ren's girl, isn't she?\Yeah. But before that, she was Nobu's classmate, and...\She's great! response:	She's got the looks, and a great voice. She is so cool.
context: By a single overflowing word\Wow!\What a great vocalist!\Where'd you find her?\She's Ren's girl, isn't she?\Yeah. But before that, she was Nobu's classmate, and...\She's great!\She's got the looks, and a great voice. She is so cool. response:	I really think you've got a chance.
context: Wow!\What a great vocalist!\Where'd you find her?\She's Ren's girl, isn't she?\Yeah. But before that, she was Nobu's classmate, and...\She's great!\She's got the looks, and a great voice. She is so cool.\I really think you've got a chance. response:	I finally understand what made you decide to go pro, Yasu.
context: What a great vocalist!\Where'd you find her?\She's Ren's girl, isn't she?\Yeah. But before that, she was Nobu's classmate, and...\She's great!\She's got the looks, and a great voice. She is so cool.\I really think you've got a chance.\I finally understand what made you decide to go pro, Yasu. response:	You had this secret weapon.
context: Where'd you find her?\She's Ren's girl, isn't she?\Yeah. But before that, she was Nobu's classmate, and...\She's great!\She's got the looks, and a great voice. She is so cool.\I really think you've got a chance.\I finally understand what made you decide to go pro, Yasu.\You had this secret weapon. response:	Well, I'm not so confident we'll make it that big, but...
context: She's Ren's girl, isn't she?\Yeah. But before that, she was Nobu's classmate, and...\She's great!\She's got the looks, and a great voice. She is so cool.\I really think you've got a chance.\I finally understand what made you decide to go pro, Yasu.\You had this secret weapon.\Well, I'm not so confident we'll make it that big, but... response:	Well, depending on how it's done,
context: Yeah. But before that, she was Nobu's classmate, and...\She's great!\She's got the looks, and a great voice. She is so cool.\I really think you've got a chance.\I finally understand what made you decide to go pro, Yasu.\You had this secret weapon.\Well, I'm not so confident we'll make it that big, but...\Well, depending on how it's done, response:	Nana's got potential to be a great solo artist.
context: She's great!\She's got the looks, and a great voice. She is so cool.\I really think you've got a chance.\I finally understand what made you decide to go pro, Yasu.\You had this secret weapon.\Well, I'm not so confident we'll make it that big, but...\Well, depending on how it's done,\Nana's got potential to be a great solo artist. response:	Are you at all serious about doing this?
context: She's got the looks, and a great voice. She is so cool.\I really think you've got a chance.\I finally understand what made you decide to go pro, Yasu.\You had this secret weapon.\Well, I'm not so confident we'll make it that big, but...\Well, depending on how it's done,\Nana's got potential to be a great solo artist.\Are you at all serious about doing this? response:	Who could it be this late at night? Reira? A new scandal uncovered?!
context: I really think you've got a chance.\I finally understand what made you decide to go pro, Yasu.\You had this secret weapon.\Well, I'm not so confident we'll make it that big, but...\Well, depending on how it's done,\Nana's got potential to be a great solo artist.\Are you at all serious about doing this?\Who could it be this late at night? Reira? A new scandal uncovered?! response:	Maybe it's a neighbor complaining about the noise.
context: I finally understand what made you decide to go pro, Yasu.\You had this secret weapon.\Well, I'm not so confident we'll make it that big, but...\Well, depending on how it's done,\Nana's got potential to be a great solo artist.\Are you at all serious about doing this?\Who could it be this late at night? Reira? A new scandal uncovered?!\Maybe it's a neighbor complaining about the noise. response:	Huh? Isn't this place soundproof?
context: You had this secret weapon.\Well, I'm not so confident we'll make it that big, but...\Well, depending on how it's done,\Nana's got potential to be a great solo artist.\Are you at all serious about doing this?\Who could it be this late at night? Reira? A new scandal uncovered?!\Maybe it's a neighbor complaining about the noise.\Huh? Isn't this place soundproof? response:	What's the point of having your drums here then.
context: Well, I'm not so confident we'll make it that big, but...\Well, depending on how it's done,\Nana's got potential to be a great solo artist.\Are you at all serious about doing this?\Who could it be this late at night? Reira? A new scandal uncovered?!\Maybe it's a neighbor complaining about the noise.\Huh? Isn't this place soundproof?\What's the point of having your drums here then. response:	Hello. I'm sorry for making all this noise.
context: Well, depending on how it's done,\Nana's got potential to be a great solo artist.\Are you at all serious about doing this?\Who could it be this late at night? Reira? A new scandal uncovered?!\Maybe it's a neighbor complaining about the noise.\Huh? Isn't this place soundproof?\What's the point of having your drums here then.\Hello. I'm sorry for making all this noise. response:	Yasu,.,
context: Nana's got potential to be a great solo artist.\Are you at all serious about doing this?\Who could it be this late at night? Reira? A new scandal uncovered?!\Maybe it's a neighbor complaining about the noise.\Huh? Isn't this place soundproof?\What's the point of having your drums here then.\Hello. I'm sorry for making all this noise.\Yasu,., response:	Who is it?!
context: Are you at all serious about doing this?\Who could it be this late at night? Reira? A new scandal uncovered?!\Maybe it's a neighbor complaining about the noise.\Huh? Isn't this place soundproof?\What's the point of having your drums here then.\Hello. I'm sorry for making all this noise.\Yasu,.,\Who is it?! response:	What's the matter?
context: Who could it be this late at night? Reira? A new scandal uncovered?!\Maybe it's a neighbor complaining about the noise.\Huh? Isn't this place soundproof?\What's the point of having your drums here then.\Hello. I'm sorry for making all this noise.\Yasu,.,\Who is it?!\What's the matter? response:	Yasu, I'll be going home.
context: Maybe it's a neighbor complaining about the noise.\Huh? Isn't this place soundproof?\What's the point of having your drums here then.\Hello. I'm sorry for making all this noise.\Yasu,.,\Who is it?!\What's the matter?\Yasu, I'll be going home. response:	Yeah. Sorry.
context: Huh? Isn't this place soundproof?\What's the point of having your drums here then.\Hello. I'm sorry for making all this noise.\Yasu,.,\Who is it?!\What's the matter?\Yasu, I'll be going home.\Yeah. Sorry. response:	No, it's okay.
context: What's the point of having your drums here then.\Hello. I'm sorry for making all this noise.\Yasu,.,\Who is it?!\What's the matter?\Yasu, I'll be going home.\Yeah. Sorry.\No, it's okay. response:	Thanks for your time.
context: Hello. I'm sorry for making all this noise.\Yasu,.,\Who is it?!\What's the matter?\Yasu, I'll be going home.\Yeah. Sorry.\No, it's okay.\Thanks for your time. response:	NAOKI GREAT SCOOP!
context: Yasu,.,\Who is it?!\What's the matter?\Yasu, I'll be going home.\Yeah. Sorry.\No, it's okay.\Thanks for your time.\NAOKI GREAT SCOOP! response:	NAOKI GREAT SCOOP! Great Scoop!
context: Who is it?!\What's the matter?\Yasu, I'll be going home.\Yeah. Sorry.\No, it's okay.\Thanks for your time.\NAOKI GREAT SCOOP!\NAOKI GREAT SCOOP! Great Scoop! response:	NAOKI GREAT SCOOP!
context: What's the matter?\Yasu, I'll be going home.\Yeah. Sorry.\No, it's okay.\Thanks for your time.\NAOKI GREAT SCOOP!\NAOKI GREAT SCOOP! Great Scoop!\NAOKI GREAT SCOOP! response:	REN's WOMAN CAME To YASU'S PLACE CRYING! WHAT'S GOING ON? KYAAA! A PAPA-RAKKYO!!
context: Yasu, I'll be going home.\Yeah. Sorry.\No, it's okay.\Thanks for your time.\NAOKI GREAT SCOOP!\NAOKI GREAT SCOOP! Great Scoop!\NAOKI GREAT SCOOP!\REN's WOMAN CAME To YASU'S PLACE CRYING! WHAT'S GOING ON? KYAAA! A PAPA-RAKKYO!! response:	REN'S WOMAN CAME TO YASU'S PLACE CRYING! WHAT'S GOING ON? KYAAA! A PAPA-RAKKYO!! Ren's woman came to Yasu's place crying!
context: Yeah. Sorry.\No, it's okay.\Thanks for your time.\NAOKI GREAT SCOOP!\NAOKI GREAT SCOOP! Great Scoop!\NAOKI GREAT SCOOP!\REN's WOMAN CAME To YASU'S PLACE CRYING! WHAT'S GOING ON? KYAAA! A PAPA-RAKKYO!!\REN'S WOMAN CAME TO YASU'S PLACE CRYING! WHAT'S GOING ON? KYAAA! A PAPA-RAKKYO!! Ren's woman came to Yasu's place crying! response:	REN'S WOMAN CAME TO YASU'S PLACE CRYING! WHAT'S GOING ON? KYAAA! A PAPA-RAKKYO!!
context: No, it's okay.\Thanks for your time.\NAOKI GREAT SCOOP!\NAOKI GREAT SCOOP! Great Scoop!\NAOKI GREAT SCOOP!\REN's WOMAN CAME To YASU'S PLACE CRYING! WHAT'S GOING ON? KYAAA! A PAPA-RAKKYO!!\REN'S WOMAN CAME TO YASU'S PLACE CRYING! WHAT'S GOING ON? KYAAA! A PAPA-RAKKYO!! Ren's woman came to Yasu's place crying!\REN'S WOMAN CAME TO YASU'S PLACE CRYING! WHAT'S GOING ON? KYAAA! A PAPA-RAKKYO!! response:	REN'S WOMAN CAME TO YASU'S PLACE CRYING! WHAT'S GOING ON? KYAAA! A PAPA-RAKKYO!! What's going on? Kyaaa A papa-rakkyo!!
context: Thanks for your time.\NAOKI GREAT SCOOP!\NAOKI GREAT SCOOP! Great Scoop!\NAOKI GREAT SCOOP!\REN's WOMAN CAME To YASU'S PLACE CRYING! WHAT'S GOING ON? KYAAA! A PAPA-RAKKYO!!\REN'S WOMAN CAME TO YASU'S PLACE CRYING! WHAT'S GOING ON? KYAAA! A PAPA-RAKKYO!! Ren's woman came to Yasu's place crying!\REN'S WOMAN CAME TO YASU'S PLACE CRYING! WHAT'S GOING ON? KYAAA! A PAPA-RAKKYO!!\REN'S WOMAN CAME TO YASU'S PLACE CRYING! WHAT'S GOING ON? KYAAA! A PAPA-RAKKYO!! What's going on? Kyaaa A papa-rakkyo!! response:	Takumi got Hachi pregnant! It's gotta be Takumi's kid!
context: NAOKI GREAT SCOOP!\NAOKI GREAT SCOOP! Great Scoop!\NAOKI GREAT SCOOP!\REN's WOMAN CAME To YASU'S PLACE CRYING! WHAT'S GOING ON? KYAAA! A PAPA-RAKKYO!!\REN'S WOMAN CAME TO YASU'S PLACE CRYING! WHAT'S GOING ON? KYAAA! A PAPA-RAKKYO!! Ren's woman came to Yasu's place crying!\REN'S WOMAN CAME TO YASU'S PLACE CRYING! WHAT'S GOING ON? KYAAA! A PAPA-RAKKYO!!\REN'S WOMAN CAME TO YASU'S PLACE CRYING! WHAT'S GOING ON? KYAAA! A PAPA-RAKKYO!! What's going on? Kyaaa A papa-rakkyo!!\Takumi got Hachi pregnant! It's gotta be Takumi's kid! response:	Hachi said he would do it without a condom!
context: NAOKI GREAT SCOOP! Great Scoop!\NAOKI GREAT SCOOP!\REN's WOMAN CAME To YASU'S PLACE CRYING! WHAT'S GOING ON? KYAAA! A PAPA-RAKKYO!!\REN'S WOMAN CAME TO YASU'S PLACE CRYING! WHAT'S GOING ON? KYAAA! A PAPA-RAKKYO!! Ren's woman came to Yasu's place crying!\REN'S WOMAN CAME TO YASU'S PLACE CRYING! WHAT'S GOING ON? KYAAA! A PAPA-RAKKYO!!\REN'S WOMAN CAME TO YASU'S PLACE CRYING! WHAT'S GOING ON? KYAAA! A PAPA-RAKKYO!! What's going on? Kyaaa A papa-rakkyo!!\Takumi got Hachi pregnant! It's gotta be Takumi's kid!\Hachi said he would do it without a condom! response:	What?! Doing it without any protection is inexcusable!
context: NAOKI GREAT SCOOP!\REN's WOMAN CAME To YASU'S PLACE CRYING! WHAT'S GOING ON? KYAAA! A PAPA-RAKKYO!!\REN'S WOMAN CAME TO YASU'S PLACE CRYING! WHAT'S GOING ON? KYAAA! A PAPA-RAKKYO!! Ren's woman came to Yasu's place crying!\REN'S WOMAN CAME TO YASU'S PLACE CRYING! WHAT'S GOING ON? KYAAA! A PAPA-RAKKYO!!\REN'S WOMAN CAME TO YASU'S PLACE CRYING! WHAT'S GOING ON? KYAAA! A PAPA-RAKKYO!! What's going on? Kyaaa A papa-rakkyo!!\Takumi got Hachi pregnant! It's gotta be Takumi's kid!\Hachi said he would do it without a condom!\What?! Doing it without any protection is inexcusable! response:	DIZZY
context: REN's WOMAN CAME To YASU'S PLACE CRYING! WHAT'S GOING ON? KYAAA! A PAPA-RAKKYO!!\REN'S WOMAN CAME TO YASU'S PLACE CRYING! WHAT'S GOING ON? KYAAA! A PAPA-RAKKYO!! Ren's woman came to Yasu's place crying!\REN'S WOMAN CAME TO YASU'S PLACE CRYING! WHAT'S GOING ON? KYAAA! A PAPA-RAKKYO!!\REN'S WOMAN CAME TO YASU'S PLACE CRYING! WHAT'S GOING ON? KYAAA! A PAPA-RAKKYO!! What's going on? Kyaaa A papa-rakkyo!!\Takumi got Hachi pregnant! It's gotta be Takumi's kid!\Hachi said he would do it without a condom!\What?! Doing it without any protection is inexcusable!\DIZZY response:	DIZZY She's being a tattletale.
context: REN'S WOMAN CAME TO YASU'S PLACE CRYING! WHAT'S GOING ON? KYAAA! A PAPA-RAKKYO!! Ren's woman came to Yasu's place crying!\REN'S WOMAN CAME TO YASU'S PLACE CRYING! WHAT'S GOING ON? KYAAA! A PAPA-RAKKYO!!\REN'S WOMAN CAME TO YASU'S PLACE CRYING! WHAT'S GOING ON? KYAAA! A PAPA-RAKKYO!! What's going on? Kyaaa A papa-rakkyo!!\Takumi got Hachi pregnant! It's gotta be Takumi's kid!\Hachi said he would do it without a condom!\What?! Doing it without any protection is inexcusable!\DIZZY\DIZZY She's being a tattletale. response:	It's open.
context: REN'S WOMAN CAME TO YASU'S PLACE CRYING! WHAT'S GOING ON? KYAAA! A PAPA-RAKKYO!!\REN'S WOMAN CAME TO YASU'S PLACE CRYING! WHAT'S GOING ON? KYAAA! A PAPA-RAKKYO!! What's going on? Kyaaa A papa-rakkyo!!\Takumi got Hachi pregnant! It's gotta be Takumi's kid!\Hachi said he would do it without a condom!\What?! Doing it without any protection is inexcusable!\DIZZY\DIZZY She's being a tattletale.\It's open. response:	Nana, are you asleep?
context: REN'S WOMAN CAME TO YASU'S PLACE CRYING! WHAT'S GOING ON? KYAAA! A PAPA-RAKKYO!! What's going on? Kyaaa A papa-rakkyo!!\Takumi got Hachi pregnant! It's gotta be Takumi's kid!\Hachi said he would do it without a condom!\What?! Doing it without any protection is inexcusable!\DIZZY\DIZZY She's being a tattletale.\It's open.\Nana, are you asleep? response:	Nana...
context: Takumi got Hachi pregnant! It's gotta be Takumi's kid!\Hachi said he would do it without a condom!\What?! Doing it without any protection is inexcusable!\DIZZY\DIZZY She's being a tattletale.\It's open.\Nana, are you asleep?\Nana... response:	I'm coming in.
context: Hachi said he would do it without a condom!\What?! Doing it without any protection is inexcusable!\DIZZY\DIZZY She's being a tattletale.\It's open.\Nana, are you asleep?\Nana...\I'm coming in. response:	Nana!
context: What?! Doing it without any protection is inexcusable!\DIZZY\DIZZY She's being a tattletale.\It's open.\Nana, are you asleep?\Nana...\I'm coming in.\Nana! response:	Don't scare me like that, damn it!
context: DIZZY\DIZZY She's being a tattletale.\It's open.\Nana, are you asleep?\Nana...\I'm coming in.\Nana!\Don't scare me like that, damn it! response:	I told you, I'm a sensitive man.
context: DIZZY She's being a tattletale.\It's open.\Nana, are you asleep?\Nana...\I'm coming in.\Nana!\Don't scare me like that, damn it!\I told you, I'm a sensitive man. response:	And where's Nobu?
context: It's open.\Nana, are you asleep?\Nana...\I'm coming in.\Nana!\Don't scare me like that, damn it!\I told you, I'm a sensitive man.\And where's Nobu? response:	HACHIKO NOBUO
context: Nana, are you asleep?\Nana...\I'm coming in.\Nana!\Don't scare me like that, damn it!\I told you, I'm a sensitive man.\And where's Nobu?\HACHIKO NOBUO response:	Do you love him that much?
context: Nana...\I'm coming in.\Nana!\Don't scare me like that, damn it!\I told you, I'm a sensitive man.\And where's Nobu?\HACHIKO NOBUO\Do you love him that much? response:	Didn't you break up with him?
context: I'm coming in.\Nana!\Don't scare me like that, damn it!\I told you, I'm a sensitive man.\And where's Nobu?\HACHIKO NOBUO\Do you love him that much?\Didn't you break up with him? response:	Please make up an excuse.
context: Nana!\Don't scare me like that, damn it!\I told you, I'm a sensitive man.\And where's Nobu?\HACHIKO NOBUO\Do you love him that much?\Didn't you break up with him?\Please make up an excuse. response:	I don't care if it's a lie. I'll believe you.
context: Don't scare me like that, damn it!\I told you, I'm a sensitive man.\And where's Nobu?\HACHIKO NOBUO\Do you love him that much?\Didn't you break up with him?\Please make up an excuse.\I don't care if it's a lie. I'll believe you. response:	Who could it be at this hour?
context: I told you, I'm a sensitive man.\And where's Nobu?\HACHIKO NOBUO\Do you love him that much?\Didn't you break up with him?\Please make up an excuse.\I don't care if it's a lie. I'll believe you.\Who could it be at this hour? response:	I can only think of two insolent people
context: And where's Nobu?\HACHIKO NOBUO\Do you love him that much?\Didn't you break up with him?\Please make up an excuse.\I don't care if it's a lie. I'll believe you.\Who could it be at this hour?\I can only think of two insolent people response:	who would come by someone's place in the middle of the night unannounced.
context: HACHIKO NOBUO\Do you love him that much?\Didn't you break up with him?\Please make up an excuse.\I don't care if it's a lie. I'll believe you.\Who could it be at this hour?\I can only think of two insolent people\who would come by someone's place in the middle of the night unannounced. response:	Yeah. I wonder which one it is.
context: Do you love him that much?\Didn't you break up with him?\Please make up an excuse.\I don't care if it's a lie. I'll believe you.\Who could it be at this hour?\I can only think of two insolent people\who would come by someone's place in the middle of the night unannounced.\Yeah. I wonder which one it is. response:	Yes? Which one is it?
context: Didn't you break up with him?\Please make up an excuse.\I don't care if it's a lie. I'll believe you.\Who could it be at this hour?\I can only think of two insolent people\who would come by someone's place in the middle of the night unannounced.\Yeah. I wonder which one it is.\Yes? Which one is it? response:	WHICH ONE? Yes? Which one is it?
context: Please make up an excuse.\I don't care if it's a lie. I'll believe you.\Who could it be at this hour?\I can only think of two insolent people\who would come by someone's place in the middle of the night unannounced.\Yeah. I wonder which one it is.\Yes? Which one is it?\WHICH ONE? Yes? Which one is it? response:	WHICH ONE?
context: I don't care if it's a lie. I'll believe you.\Who could it be at this hour?\I can only think of two insolent people\who would come by someone's place in the middle of the night unannounced.\Yeah. I wonder which one it is.\Yes? Which one is it?\WHICH ONE? Yes? Which one is it?\WHICH ONE? response:	Jun-chan.
context: Who could it be at this hour?\I can only think of two insolent people\who would come by someone's place in the middle of the night unannounced.\Yeah. I wonder which one it is.\Yes? Which one is it?\WHICH ONE? Yes? Which one is it?\WHICH ONE?\Jun-chan. response:	I was suffering so badly...
context: I can only think of two insolent people\who would come by someone's place in the middle of the night unannounced.\Yeah. I wonder which one it is.\Yes? Which one is it?\WHICH ONE? Yes? Which one is it?\WHICH ONE?\Jun-chan.\I was suffering so badly... response:	I could barely breathe.
context: who would come by someone's place in the middle of the night unannounced.\Yeah. I wonder which one it is.\Yes? Which one is it?\WHICH ONE? Yes? Which one is it?\WHICH ONE?\Jun-chan.\I was suffering so badly...\I could barely breathe. response:	Before I knew it, I was here.
context: Yeah. I wonder which one it is.\Yes? Which one is it?\WHICH ONE? Yes? Which one is it?\WHICH ONE?\Jun-chan.\I was suffering so badly...\I could barely breathe.\Before I knew it, I was here. response:	I poured my entire heart out, but I'm not sure
context: Yes? Which one is it?\WHICH ONE? Yes? Which one is it?\WHICH ONE?\Jun-chan.\I was suffering so badly...\I could barely breathe.\Before I knew it, I was here.\I poured my entire heart out, but I'm not sure response:	whether or not I was able to explain myself well enough.
context: WHICH ONE? Yes? Which one is it?\WHICH ONE?\Jun-chan.\I was suffering so badly...\I could barely breathe.\Before I knew it, I was here.\I poured my entire heart out, but I'm not sure\whether or not I was able to explain myself well enough. response:	Why do I want Hachi so much?
context: WHICH ONE?\Jun-chan.\I was suffering so badly...\I could barely breathe.\Before I knew it, I was here.\I poured my entire heart out, but I'm not sure\whether or not I was able to explain myself well enough.\Why do I want Hachi so much? response:	Why do I hate Takumi so much?
context: Jun-chan.\I was suffering so badly...\I could barely breathe.\Before I knew it, I was here.\I poured my entire heart out, but I'm not sure\whether or not I was able to explain myself well enough.\Why do I want Hachi so much?\Why do I hate Takumi so much? response:	I don't even know myself.
context: I was suffering so badly...\I could barely breathe.\Before I knew it, I was here.\I poured my entire heart out, but I'm not sure\whether or not I was able to explain myself well enough.\Why do I want Hachi so much?\Why do I hate Takumi so much?\I don't even know myself. response:	Nobu said that I'm strange.
context: I could barely breathe.\Before I knew it, I was here.\I poured my entire heart out, but I'm not sure\whether or not I was able to explain myself well enough.\Why do I want Hachi so much?\Why do I hate Takumi so much?\I don't even know myself.\Nobu said that I'm strange. response:	Am I strange?
context: Before I knew it, I was here.\I poured my entire heart out, but I'm not sure\whether or not I was able to explain myself well enough.\Why do I want Hachi so much?\Why do I hate Takumi so much?\I don't even know myself.\Nobu said that I'm strange.\Am I strange? response:	What's a friend supposed to do at a time like this?
context: I poured my entire heart out, but I'm not sure\whether or not I was able to explain myself well enough.\Why do I want Hachi so much?\Why do I hate Takumi so much?\I don't even know myself.\Nobu said that I'm strange.\Am I strange?\What's a friend supposed to do at a time like this? response:	I want to become...
context: whether or not I was able to explain myself well enough.\Why do I want Hachi so much?\Why do I hate Takumi so much?\I don't even know myself.\Nobu said that I'm strange.\Am I strange?\What's a friend supposed to do at a time like this?\I want to become... response:	normal friends with Hachi.
context: Why do I want Hachi so much?\Why do I hate Takumi so much?\I don't even know myself.\Nobu said that I'm strange.\Am I strange?\What's a friend supposed to do at a time like this?\I want to become...\normal friends with Hachi. response:	Yasu listened to everything I said without saying a word.
context: Why do I hate Takumi so much?\I don't even know myself.\Nobu said that I'm strange.\Am I strange?\What's a friend supposed to do at a time like this?\I want to become...\normal friends with Hachi.\Yasu listened to everything I said without saying a word. response:	He might've said something to comfort me from time to time.
context: I don't even know myself.\Nobu said that I'm strange.\Am I strange?\What's a friend supposed to do at a time like this?\I want to become...\normal friends with Hachi.\Yasu listened to everything I said without saying a word.\He might've said something to comfort me from time to time. response:	To be honest, I don't remember.
context: Nobu said that I'm strange.\Am I strange?\What's a friend supposed to do at a time like this?\I want to become...\normal friends with Hachi.\Yasu listened to everything I said without saying a word.\He might've said something to comfort me from time to time.\To be honest, I don't remember. response:	But I remember...
context: Am I strange?\What's a friend supposed to do at a time like this?\I want to become...\normal friends with Hachi.\Yasu listened to everything I said without saying a word.\He might've said something to comfort me from time to time.\To be honest, I don't remember.\But I remember... response:	for some reason,
context: What's a friend supposed to do at a time like this?\I want to become...\normal friends with Hachi.\Yasu listened to everything I said without saying a word.\He might've said something to comfort me from time to time.\To be honest, I don't remember.\But I remember...\for some reason, response:	being enveloped by the sweet smell of Black Stone calmed me down.
context: I want to become...\normal friends with Hachi.\Yasu listened to everything I said without saying a word.\He might've said something to comfort me from time to time.\To be honest, I don't remember.\But I remember...\for some reason,\being enveloped by the sweet smell of Black Stone calmed me down. response:	Kyosuke, don't smoke!
context: normal friends with Hachi.\Yasu listened to everything I said without saying a word.\He might've said something to comfort me from time to time.\To be honest, I don't remember.\But I remember...\for some reason,\being enveloped by the sweet smell of Black Stone calmed me down.\Kyosuke, don't smoke! response:	Oh, right. I'm sorry.
context: Yasu listened to everything I said without saying a word.\He might've said something to comfort me from time to time.\To be honest, I don't remember.\But I remember...\for some reason,\being enveloped by the sweet smell of Black Stone calmed me down.\Kyosuke, don't smoke!\Oh, right. I'm sorry. response:	I'm sorry, Kyosuke.
context: He might've said something to comfort me from time to time.\To be honest, I don't remember.\But I remember...\for some reason,\being enveloped by the sweet smell of Black Stone calmed me down.\Kyosuke, don't smoke!\Oh, right. I'm sorry.\I'm sorry, Kyosuke. response:	No, it's okay. I mean, guys are pathetic.
context: To be honest, I don't remember.\But I remember...\for some reason,\being enveloped by the sweet smell of Black Stone calmed me down.\Kyosuke, don't smoke!\Oh, right. I'm sorry.\I'm sorry, Kyosuke.\No, it's okay. I mean, guys are pathetic. response:	We don't know what to do at a time like this.
context: But I remember...\for some reason,\being enveloped by the sweet smell of Black Stone calmed me down.\Kyosuke, don't smoke!\Oh, right. I'm sorry.\I'm sorry, Kyosuke.\No, it's okay. I mean, guys are pathetic.\We don't know what to do at a time like this. response:	How come you're nervous?!
context: for some reason,\being enveloped by the sweet smell of Black Stone calmed me down.\Kyosuke, don't smoke!\Oh, right. I'm sorry.\I'm sorry, Kyosuke.\No, it's okay. I mean, guys are pathetic.\We don't know what to do at a time like this.\How come you're nervous?! response:	Well, you're right, but it makes me feel bad.
