context: Spring, response:	this is the season when flowers color the Jungfrau.
context: One of them is the annual Sechselauten festival that takes place in the city of Zurich.\The other one is these blue flowers which bloom all at once here in the Jungfrau mountain region.\Incidentally, Jungfrau means young lady or virgin in German.\I suspect there are many of you who already knew that,\but are you familiar with the Kriegsjungfrauen, the fighting young ladies who live here?\That's great!\That's it, smile just like that.\Mm, you're the best! response:	Lean over just a little more.
context: The other one is these blue flowers which bloom all at once here in the Jungfrau mountain region.\Incidentally, Jungfrau means young lady or virgin in German.\I suspect there are many of you who already knew that,\but are you familiar with the Kriegsjungfrauen, the fighting young ladies who live here?\That's great!\That's it, smile just like that.\Mm, you're the best!\Lean over just a little more. response:	Okay, one more.
context: Incidentally, Jungfrau means young lady or virgin in German.\I suspect there are many of you who already knew that,\but are you familiar with the Kriegsjungfrauen, the fighting young ladies who live here?\That's great!\That's it, smile just like that.\Mm, you're the best!\Lean over just a little more.\Okay, one more. response:	Now look this way.
context: I suspect there are many of you who already knew that,\but are you familiar with the Kriegsjungfrauen, the fighting young ladies who live here?\That's great!\That's it, smile just like that.\Mm, you're the best!\Lean over just a little more.\Okay, one more.\Now look this way. response:	That's it, just like that.
context: but are you familiar with the Kriegsjungfrauen, the fighting young ladies who live here?\That's great!\That's it, smile just like that.\Mm, you're the best!\Lean over just a little more.\Okay, one more.\Now look this way.\That's it, just like that. response:	Ah, hold still.
context: That's great!\That's it, smile just like that.\Mm, you're the best!\Lean over just a little more.\Okay, one more.\Now look this way.\That's it, just like that.\Ah, hold still. response:	Great! Thank you!
context: That's it, smile just like that.\Mm, you're the best!\Lean over just a little more.\Okay, one more.\Now look this way.\That's it, just like that.\Ah, hold still.\Great! Thank you! response:	Next, if you two could hold each other... ah, that's it!
context: Mm, you're the best!\Lean over just a little more.\Okay, one more.\Now look this way.\That's it, just like that.\Ah, hold still.\Great! Thank you!\Next, if you two could hold each other... ah, that's it! response:	What are they doing?
context: Lean over just a little more.\Okay, one more.\Now look this way.\That's it, just like that.\Ah, hold still.\Great! Thank you!\Next, if you two could hold each other... ah, that's it!\What are they doing? response:	It's a photo shoot for a PR pamphlet.
context: Okay, one more.\Now look this way.\That's it, just like that.\Ah, hold still.\Great! Thank you!\Next, if you two could hold each other... ah, that's it!\What are they doing?\It's a photo shoot for a PR pamphlet. response:	Am I going to do a photo shoot too?
context: Now look this way.\That's it, just like that.\Ah, hold still.\Great! Thank you!\Next, if you two could hold each other... ah, that's it!\What are they doing?\It's a photo shoot for a PR pamphlet.\Am I going to do a photo shoot too? response:	I don't think so.
context: That's it, just like that.\Ah, hold still.\Great! Thank you!\Next, if you two could hold each other... ah, that's it!\What are they doing?\It's a photo shoot for a PR pamphlet.\Am I going to do a photo shoot too?\I don't think so. response:	Shooting photos of you would be all kinds of problematic.
context: Ah, hold still.\Great! Thank you!\Next, if you two could hold each other... ah, that's it!\What are they doing?\It's a photo shoot for a PR pamphlet.\Am I going to do a photo shoot too?\I don't think so.\Shooting photos of you would be all kinds of problematic. response:	Great! That's perfect!
context: Great! Thank you!\Next, if you two could hold each other... ah, that's it!\What are they doing?\It's a photo shoot for a PR pamphlet.\Am I going to do a photo shoot too?\I don't think so.\Shooting photos of you would be all kinds of problematic.\Great! That's perfect! response:	I wonder if it's because I'm a guy...
context: Next, if you two could hold each other... ah, that's it!\What are they doing?\It's a photo shoot for a PR pamphlet.\Am I going to do a photo shoot too?\I don't think so.\Shooting photos of you would be all kinds of problematic.\Great! That's perfect!\I wonder if it's because I'm a guy... response:	Okay, okay!
context: What are they doing?\It's a photo shoot for a PR pamphlet.\Am I going to do a photo shoot too?\I don't think so.\Shooting photos of you would be all kinds of problematic.\Great! That's perfect!\I wonder if it's because I'm a guy...\Okay, okay! response:	Come on everyone, gather'round!
context: It's a photo shoot for a PR pamphlet.\Am I going to do a photo shoot too?\I don't think so.\Shooting photos of you would be all kinds of problematic.\Great! That's perfect!\I wonder if it's because I'm a guy...\Okay, okay!\Come on everyone, gather'round! response:	TV?
context: Am I going to do a photo shoot too?\I don't think so.\Shooting photos of you would be all kinds of problematic.\Great! That's perfect!\I wonder if it's because I'm a guy...\Okay, okay!\Come on everyone, gather'round!\TV? response:	It's a documentary for Universal Naturing TV.
context: I don't think so.\Shooting photos of you would be all kinds of problematic.\Great! That's perfect!\I wonder if it's because I'm a guy...\Okay, okay!\Come on everyone, gather'round!\TV?\It's a documentary for Universal Naturing TV. response:	The Flawless Flowers of the Jungfraujoch?
context: Shooting photos of you would be all kinds of problematic.\Great! That's perfect!\I wonder if it's because I'm a guy...\Okay, okay!\Come on everyone, gather'round!\TV?\It's a documentary for Universal Naturing TV.\The Flawless Flowers of the Jungfraujoch? response:	They're referring to you.
context: Great! That's perfect!\I wonder if it's because I'm a guy...\Okay, okay!\Come on everyone, gather'round!\TV?\It's a documentary for Universal Naturing TV.\The Flawless Flowers of the Jungfraujoch?\They're referring to you. response:	But President, we shouldn't be burdening the pilots with anything besides the missions.
context: I wonder if it's because I'm a guy...\Okay, okay!\Come on everyone, gather'round!\TV?\It's a documentary for Universal Naturing TV.\The Flawless Flowers of the Jungfraujoch?\They're referring to you.\But President, we shouldn't be burdening the pilots with anything besides the missions. response:	Well, we have sponsors over there, you see...
context: Okay, okay!\Come on everyone, gather'round!\TV?\It's a documentary for Universal Naturing TV.\The Flawless Flowers of the Jungfraujoch?\They're referring to you.\But President, we shouldn't be burdening the pilots with anything besides the missions.\Well, we have sponsors over there, you see... response:	That again?
context: Come on everyone, gather'round!\TV?\It's a documentary for Universal Naturing TV.\The Flawless Flowers of the Jungfraujoch?\They're referring to you.\But President, we shouldn't be burdening the pilots with anything besides the missions.\Well, we have sponsors over there, you see...\That again? response:	They say they want to document how we at Generation Blue contribute to society.
context: TV?\It's a documentary for Universal Naturing TV.\The Flawless Flowers of the Jungfraujoch?\They're referring to you.\But President, we shouldn't be burdening the pilots with anything besides the missions.\Well, we have sponsors over there, you see...\That again?\They say they want to document how we at Generation Blue contribute to society. response:	Well, since that's how it is...
context: It's a documentary for Universal Naturing TV.\The Flawless Flowers of the Jungfraujoch?\They're referring to you.\But President, we shouldn't be burdening the pilots with anything besides the missions.\Well, we have sponsors over there, you see...\That again?\They say they want to document how we at Generation Blue contribute to society.\Well, since that's how it is... response:	Some material won't exactly be cut out for PR, but I'm counting on you as my flowery maidens!
context: The Flawless Flowers of the Jungfraujoch?\They're referring to you.\But President, we shouldn't be burdening the pilots with anything besides the missions.\Well, we have sponsors over there, you see...\That again?\They say they want to document how we at Generation Blue contribute to society.\Well, since that's how it is...\Some material won't exactly be cut out for PR, but I'm counting on you as my flowery maidens! response:	This is gonna be a handful.
context: They're referring to you.\But President, we shouldn't be burdening the pilots with anything besides the missions.\Well, we have sponsors over there, you see...\That again?\They say they want to document how we at Generation Blue contribute to society.\Well, since that's how it is...\Some material won't exactly be cut out for PR, but I'm counting on you as my flowery maidens!\This is gonna be a handful. response:	They want me too?
context: But President, we shouldn't be burdening the pilots with anything besides the missions.\Well, we have sponsors over there, you see...\That again?\They say they want to document how we at Generation Blue contribute to society.\Well, since that's how it is...\Some material won't exactly be cut out for PR, but I'm counting on you as my flowery maidens!\This is gonna be a handful.\They want me too? response:	No way!
context: Well, we have sponsors over there, you see...\That again?\They say they want to document how we at Generation Blue contribute to society.\Well, since that's how it is...\Some material won't exactly be cut out for PR, but I'm counting on you as my flowery maidens!\This is gonna be a handful.\They want me too?\No way! response:	Ookay.
context: That again?\They say they want to document how we at Generation Blue contribute to society.\Well, since that's how it is...\Some material won't exactly be cut out for PR, but I'm counting on you as my flowery maidens!\This is gonna be a handful.\They want me too?\No way!\Ookay. response:	It would lead to problems all over the place if you were in it.
context: They say they want to document how we at Generation Blue contribute to society.\Well, since that's how it is...\Some material won't exactly be cut out for PR, but I'm counting on you as my flowery maidens!\This is gonna be a handful.\They want me too?\No way!\Ookay.\It would lead to problems all over the place if you were in it. response:	That's right.
context: Well, since that's how it is...\Some material won't exactly be cut out for PR, but I'm counting on you as my flowery maidens!\This is gonna be a handful.\They want me too?\No way!\Ookay.\It would lead to problems all over the place if you were in it.\That's right. response:	Heart, technique and physique.
context: Some material won't exactly be cut out for PR, but I'm counting on you as my flowery maidens!\This is gonna be a handful.\They want me too?\No way!\Ookay.\It would lead to problems all over the place if you were in it.\That's right.\Heart, technique and physique. response:	They're perfect in all aspects, with beautiful features, unparalleled leadership skills, and gifted with natural good luck,
context: This is gonna be a handful.\They want me too?\No way!\Ookay.\It would lead to problems all over the place if you were in it.\That's right.\Heart, technique and physique.\They're perfect in all aspects, with beautiful features, unparalleled leadership skills, and gifted with natural good luck, response:	and even amongst them, Team Pied Piper monopolize the top spots of GenBleu's idol polls as the poster girls of the company!
context: They want me too?\No way!\Ookay.\It would lead to problems all over the place if you were in it.\That's right.\Heart, technique and physique.\They're perfect in all aspects, with beautiful features, unparalleled leadership skills, and gifted with natural good luck,\and even amongst them, Team Pied Piper monopolize the top spots of GenBleu's idol polls as the poster girls of the company! response:	In other words, we're super idols!
context: No way!\Ookay.\It would lead to problems all over the place if you were in it.\That's right.\Heart, technique and physique.\They're perfect in all aspects, with beautiful features, unparalleled leadership skills, and gifted with natural good luck,\and even amongst them, Team Pied Piper monopolize the top spots of GenBleu's idol polls as the poster girls of the company!\In other words, we're super idols! response:	I won't stop you if you say you wanna be an idol, though.
context: Ookay.\It would lead to problems all over the place if you were in it.\That's right.\Heart, technique and physique.\They're perfect in all aspects, with beautiful features, unparalleled leadership skills, and gifted with natural good luck,\and even amongst them, Team Pied Piper monopolize the top spots of GenBleu's idol polls as the poster girls of the company!\In other words, we're super idols!\I won't stop you if you say you wanna be an idol, though. response:	Eh? No way, no way, no way!
context: It would lead to problems all over the place if you were in it.\That's right.\Heart, technique and physique.\They're perfect in all aspects, with beautiful features, unparalleled leadership skills, and gifted with natural good luck,\and even amongst them, Team Pied Piper monopolize the top spots of GenBleu's idol polls as the poster girls of the company!\In other words, we're super idols!\I won't stop you if you say you wanna be an idol, though.\Eh? No way, no way, no way! response:	Well, maybe you should try your best at being a girl, Ao.
context: That's right.\Heart, technique and physique.\They're perfect in all aspects, with beautiful features, unparalleled leadership skills, and gifted with natural good luck,\and even amongst them, Team Pied Piper monopolize the top spots of GenBleu's idol polls as the poster girls of the company!\In other words, we're super idols!\I won't stop you if you say you wanna be an idol, though.\Eh? No way, no way, no way!\Well, maybe you should try your best at being a girl, Ao. response:	And that's why you're an idiot!
context: Heart, technique and physique.\They're perfect in all aspects, with beautiful features, unparalleled leadership skills, and gifted with natural good luck,\and even amongst them, Team Pied Piper monopolize the top spots of GenBleu's idol polls as the poster girls of the company!\In other words, we're super idols!\I won't stop you if you say you wanna be an idol, though.\Eh? No way, no way, no way!\Well, maybe you should try your best at being a girl, Ao.\And that's why you're an idiot! response:	Sorry...
context: They're perfect in all aspects, with beautiful features, unparalleled leadership skills, and gifted with natural good luck,\and even amongst them, Team Pied Piper monopolize the top spots of GenBleu's idol polls as the poster girls of the company!\In other words, we're super idols!\I won't stop you if you say you wanna be an idol, though.\Eh? No way, no way, no way!\Well, maybe you should try your best at being a girl, Ao.\And that's why you're an idiot!\Sorry... response:	Don't gimme Sorry..., idiot!
context: and even amongst them, Team Pied Piper monopolize the top spots of GenBleu's idol polls as the poster girls of the company!\In other words, we're super idols!\I won't stop you if you say you wanna be an idol, though.\Eh? No way, no way, no way!\Well, maybe you should try your best at being a girl, Ao.\And that's why you're an idiot!\Sorry...\Don't gimme Sorry..., idiot! response:	That hurt!
context: In other words, we're super idols!\I won't stop you if you say you wanna be an idol, though.\Eh? No way, no way, no way!\Well, maybe you should try your best at being a girl, Ao.\And that's why you're an idiot!\Sorry...\Don't gimme Sorry..., idiot!\That hurt! response:	Hey!
context: I won't stop you if you say you wanna be an idol, though.\Eh? No way, no way, no way!\Well, maybe you should try your best at being a girl, Ao.\And that's why you're an idiot!\Sorry...\Don't gimme Sorry..., idiot!\That hurt!\Hey! response:	Ah, I'm sorry, this guy's just... huh?
context: Eh? No way, no way, no way!\Well, maybe you should try your best at being a girl, Ao.\And that's why you're an idiot!\Sorry...\Don't gimme Sorry..., idiot!\That hurt!\Hey!\Ah, I'm sorry, this guy's just... huh? response:	Could it be... you're that newscaster, Friday?
context: Well, maybe you should try your best at being a girl, Ao.\And that's why you're an idiot!\Sorry...\Don't gimme Sorry..., idiot!\That hurt!\Hey!\Ah, I'm sorry, this guy's just... huh?\Could it be... you're that newscaster, Friday? response:	Why are you here?
context: And that's why you're an idiot!\Sorry...\Don't gimme Sorry..., idiot!\That hurt!\Hey!\Ah, I'm sorry, this guy's just... huh?\Could it be... you're that newscaster, Friday?\Why are you here? response:	Are you filming a piece? You're filming a piece, aren't you? Man, what a surprise!
context: Sorry...\Don't gimme Sorry..., idiot!\That hurt!\Hey!\Ah, I'm sorry, this guy's just... huh?\Could it be... you're that newscaster, Friday?\Why are you here?\Are you filming a piece? You're filming a piece, aren't you? Man, what a surprise! response:	I'm a big fan! Please shake my hand!
context: Don't gimme Sorry..., idiot!\That hurt!\Hey!\Ah, I'm sorry, this guy's just... huh?\Could it be... you're that newscaster, Friday?\Why are you here?\Are you filming a piece? You're filming a piece, aren't you? Man, what a surprise!\I'm a big fan! Please shake my hand! response:	Hhey...
context: That hurt!\Hey!\Ah, I'm sorry, this guy's just... huh?\Could it be... you're that newscaster, Friday?\Why are you here?\Are you filming a piece? You're filming a piece, aren't you? Man, what a surprise!\I'm a big fan! Please shake my hand!\Hhey... response:	I'm really, really sorry!
context: Hey!\Ah, I'm sorry, this guy's just... huh?\Could it be... you're that newscaster, Friday?\Why are you here?\Are you filming a piece? You're filming a piece, aren't you? Man, what a surprise!\I'm a big fan! Please shake my hand!\Hhey...\I'm really, really sorry! response:	As a symbol of my apology...
context: Ah, I'm sorry, this guy's just... huh?\Could it be... you're that newscaster, Friday?\Why are you here?\Are you filming a piece? You're filming a piece, aren't you? Man, what a surprise!\I'm a big fan! Please shake my hand!\Hhey...\I'm really, really sorry!\As a symbol of my apology... response:	Sure... thanks...
context: Could it be... you're that newscaster, Friday?\Why are you here?\Are you filming a piece? You're filming a piece, aren't you? Man, what a surprise!\I'm a big fan! Please shake my hand!\Hhey...\I'm really, really sorry!\As a symbol of my apology...\Sure... thanks... response:	Idiot! Don't get so chummy with her!
context: Why are you here?\Are you filming a piece? You're filming a piece, aren't you? Man, what a surprise!\I'm a big fan! Please shake my hand!\Hhey...\I'm really, really sorry!\As a symbol of my apology...\Sure... thanks...\Idiot! Don't get so chummy with her! response:	Come on, let's go!
context: Are you filming a piece? You're filming a piece, aren't you? Man, what a surprise!\I'm a big fan! Please shake my hand!\Hhey...\I'm really, really sorry!\As a symbol of my apology...\Sure... thanks...\Idiot! Don't get so chummy with her!\Come on, let's go! response:	Good luck with your piece!
context: I'm a big fan! Please shake my hand!\Hhey...\I'm really, really sorry!\As a symbol of my apology...\Sure... thanks...\Idiot! Don't get so chummy with her!\Come on, let's go!\Good luck with your piece! response:	Good luck with your piece!
context: Hhey...\I'm really, really sorry!\As a symbol of my apology...\Sure... thanks...\Idiot! Don't get so chummy with her!\Come on, let's go!\Good luck with your piece!\Good luck with your piece! response:	I told you not to say it at the same time...
context: I'm really, really sorry!\As a symbol of my apology...\Sure... thanks...\Idiot! Don't get so chummy with her!\Come on, let's go!\Good luck with your piece!\Good luck with your piece!\I told you not to say it at the same time... response:	Hurry, hurry!
context: As a symbol of my apology...\Sure... thanks...\Idiot! Don't get so chummy with her!\Come on, let's go!\Good luck with your piece!\Good luck with your piece!\I told you not to say it at the same time...\Hurry, hurry! response:	Why do I have to dress like this?
context: Sure... thanks...\Idiot! Don't get so chummy with her!\Come on, let's go!\Good luck with your piece!\Good luck with your piece!\I told you not to say it at the same time...\Hurry, hurry!\Why do I have to dress like this? response:	Come on, hurry, hurry!
context: Idiot! Don't get so chummy with her!\Come on, let's go!\Good luck with your piece!\Good luck with your piece!\I told you not to say it at the same time...\Hurry, hurry!\Why do I have to dress like this?\Come on, hurry, hurry! response:	Team Pied Piper?
context: Come on, let's go!\Good luck with your piece!\Good luck with your piece!\I told you not to say it at the same time...\Hurry, hurry!\Why do I have to dress like this?\Come on, hurry, hurry!\Team Pied Piper? response:	I think the president's room is this way.
context: Good luck with your piece!\Good luck with your piece!\I told you not to say it at the same time...\Hurry, hurry!\Why do I have to dress like this?\Come on, hurry, hurry!\Team Pied Piper?\I think the president's room is this way. response:	Ah, okay.
context: Good luck with your piece!\I told you not to say it at the same time...\Hurry, hurry!\Why do I have to dress like this?\Come on, hurry, hurry!\Team Pied Piper?\I think the president's room is this way.\Ah, okay. response:	A mini trip?
context: I told you not to say it at the same time...\Hurry, hurry!\Why do I have to dress like this?\Come on, hurry, hurry!\Team Pied Piper?\I think the president's room is this way.\Ah, okay.\A mini trip? response:	Let's call it a small outing.
context: Hurry, hurry!\Why do I have to dress like this?\Come on, hurry, hurry!\Team Pied Piper?\I think the president's room is this way.\Ah, okay.\A mini trip?\Let's call it a small outing. response:	I know what it is.
context: Why do I have to dress like this?\Come on, hurry, hurry!\Team Pied Piper?\I think the president's room is this way.\Ah, okay.\A mini trip?\Let's call it a small outing.\I know what it is. response:	In any event, there's no need to worry.
context: Come on, hurry, hurry!\Team Pied Piper?\I think the president's room is this way.\Ah, okay.\A mini trip?\Let's call it a small outing.\I know what it is.\In any event, there's no need to worry. response:	We can always contact them.
context: Team Pied Piper?\I think the president's room is this way.\Ah, okay.\A mini trip?\Let's call it a small outing.\I know what it is.\In any event, there's no need to worry.\We can always contact them. response:	But still, for Team Pied Piper, the poster girls of our company, to be out on a trip...
context: I think the president's room is this way.\Ah, okay.\A mini trip?\Let's call it a small outing.\I know what it is.\In any event, there's no need to worry.\We can always contact them.\But still, for Team Pied Piper, the poster girls of our company, to be out on a trip... response:	I doubt this newscaster Friday will keep quiet about it.
context: Ah, okay.\A mini trip?\Let's call it a small outing.\I know what it is.\In any event, there's no need to worry.\We can always contact them.\But still, for Team Pied Piper, the poster girls of our company, to be out on a trip...\I doubt this newscaster Friday will keep quiet about it. response:	Why did you accept their proposal to film the piece then?
context: A mini trip?\Let's call it a small outing.\I know what it is.\In any event, there's no need to worry.\We can always contact them.\But still, for Team Pied Piper, the poster girls of our company, to be out on a trip...\I doubt this newscaster Friday will keep quiet about it.\Why did you accept their proposal to film the piece then? response:	Well, the media just want a little something back in return for their sponsorship.
context: Let's call it a small outing.\I know what it is.\In any event, there's no need to worry.\We can always contact them.\But still, for Team Pied Piper, the poster girls of our company, to be out on a trip...\I doubt this newscaster Friday will keep quiet about it.\Why did you accept their proposal to film the piece then?\Well, the media just want a little something back in return for their sponsorship. response:	I was asking what you think.
context: I know what it is.\In any event, there's no need to worry.\We can always contact them.\But still, for Team Pied Piper, the poster girls of our company, to be out on a trip...\I doubt this newscaster Friday will keep quiet about it.\Why did you accept their proposal to film the piece then?\Well, the media just want a little something back in return for their sponsorship.\I was asking what you think. response:	Have our cute girls go on a journey.
context: In any event, there's no need to worry.\We can always contact them.\But still, for Team Pied Piper, the poster girls of our company, to be out on a trip...\I doubt this newscaster Friday will keep quiet about it.\Why did you accept their proposal to film the piece then?\Well, the media just want a little something back in return for their sponsorship.\I was asking what you think.\Have our cute girls go on a journey. response:	Trips have to be exciting, right?
context: We can always contact them.\But still, for Team Pied Piper, the poster girls of our company, to be out on a trip...\I doubt this newscaster Friday will keep quiet about it.\Why did you accept their proposal to film the piece then?\Well, the media just want a little something back in return for their sponsorship.\I was asking what you think.\Have our cute girls go on a journey.\Trips have to be exciting, right? response:	A mini trip, eh?
context: But still, for Team Pied Piper, the poster girls of our company, to be out on a trip...\I doubt this newscaster Friday will keep quiet about it.\Why did you accept their proposal to film the piece then?\Well, the media just want a little something back in return for their sponsorship.\I was asking what you think.\Have our cute girls go on a journey.\Trips have to be exciting, right?\A mini trip, eh? response:	Still, to think we could tap them this easily...
context: I doubt this newscaster Friday will keep quiet about it.\Why did you accept their proposal to film the piece then?\Well, the media just want a little something back in return for their sponsorship.\I was asking what you think.\Have our cute girls go on a journey.\Trips have to be exciting, right?\A mini trip, eh?\Still, to think we could tap them this easily... response:	That president... he's quite the raccoon...
context: Why did you accept their proposal to film the piece then?\Well, the media just want a little something back in return for their sponsorship.\I was asking what you think.\Have our cute girls go on a journey.\Trips have to be exciting, right?\A mini trip, eh?\Still, to think we could tap them this easily...\That president... he's quite the raccoon... response:	The president's a raccoon.
context: Well, the media just want a little something back in return for their sponsorship.\I was asking what you think.\Have our cute girls go on a journey.\Trips have to be exciting, right?\A mini trip, eh?\Still, to think we could tap them this easily...\That president... he's quite the raccoon...\The president's a raccoon. response:	Yeah...
context: I was asking what you think.\Have our cute girls go on a journey.\Trips have to be exciting, right?\A mini trip, eh?\Still, to think we could tap them this easily...\That president... he's quite the raccoon...\The president's a raccoon.\Yeah... response:	It sounds like those three are having fun...
context: Have our cute girls go on a journey.\Trips have to be exciting, right?\A mini trip, eh?\Still, to think we could tap them this easily...\That president... he's quite the raccoon...\The president's a raccoon.\Yeah...\It sounds like those three are having fun... response:	Quite the little field trip.
context: Trips have to be exciting, right?\A mini trip, eh?\Still, to think we could tap them this easily...\That president... he's quite the raccoon...\The president's a raccoon.\Yeah...\It sounds like those three are having fun...\Quite the little field trip. response:	Does that make us their supervising teachers?
context: A mini trip, eh?\Still, to think we could tap them this easily...\That president... he's quite the raccoon...\The president's a raccoon.\Yeah...\It sounds like those three are having fun...\Quite the little field trip.\Does that make us their supervising teachers? response:	All that's left is to wait for that newscaster Friday to make her move...
context: Still, to think we could tap them this easily...\That president... he's quite the raccoon...\The president's a raccoon.\Yeah...\It sounds like those three are having fun...\Quite the little field trip.\Does that make us their supervising teachers?\All that's left is to wait for that newscaster Friday to make her move... response:	Take care of our daughters and our son, my dear little troupe of spies!
context: That president... he's quite the raccoon...\The president's a raccoon.\Yeah...\It sounds like those three are having fun...\Quite the little field trip.\Does that make us their supervising teachers?\All that's left is to wait for that newscaster Friday to make her move...\Take care of our daughters and our son, my dear little troupe of spies! response:	Have you got Gazelle's lot up to no good again?
context: The president's a raccoon.\Yeah...\It sounds like those three are having fun...\Quite the little field trip.\Does that make us their supervising teachers?\All that's left is to wait for that newscaster Friday to make her move...\Take care of our daughters and our son, my dear little troupe of spies!\Have you got Gazelle's lot up to no good again? response:	Alright! This is the guidebook for our field trip.
context: Yeah...\It sounds like those three are having fun...\Quite the little field trip.\Does that make us their supervising teachers?\All that's left is to wait for that newscaster Friday to make her move...\Take care of our daughters and our son, my dear little troupe of spies!\Have you got Gazelle's lot up to no good again?\Alright! This is the guidebook for our field trip. response:	A guidebook for a field trip?
context: It sounds like those three are having fun...\Quite the little field trip.\Does that make us their supervising teachers?\All that's left is to wait for that newscaster Friday to make her move...\Take care of our daughters and our son, my dear little troupe of spies!\Have you got Gazelle's lot up to no good again?\Alright! This is the guidebook for our field trip.\A guidebook for a field trip? response:	Sure! You always make one when you go on a trip, right?
context: Quite the little field trip.\Does that make us their supervising teachers?\All that's left is to wait for that newscaster Friday to make her move...\Take care of our daughters and our son, my dear little troupe of spies!\Have you got Gazelle's lot up to no good again?\Alright! This is the guidebook for our field trip.\A guidebook for a field trip?\Sure! You always make one when you go on a trip, right? response:	I'm asking why we need a guidebook for a field trip...
context: Does that make us their supervising teachers?\All that's left is to wait for that newscaster Friday to make her move...\Take care of our daughters and our son, my dear little troupe of spies!\Have you got Gazelle's lot up to no good again?\Alright! This is the guidebook for our field trip.\A guidebook for a field trip?\Sure! You always make one when you go on a trip, right?\I'm asking why we need a guidebook for a field trip... response:	Don't worry about it.
context: All that's left is to wait for that newscaster Friday to make her move...\Take care of our daughters and our son, my dear little troupe of spies!\Have you got Gazelle's lot up to no good again?\Alright! This is the guidebook for our field trip.\A guidebook for a field trip?\Sure! You always make one when you go on a trip, right?\I'm asking why we need a guidebook for a field trip...\Don't worry about it. response:	Our positively moving tour will take us across the Swiss Alps with all their flowers in full bloom!
context: Take care of our daughters and our son, my dear little troupe of spies!\Have you got Gazelle's lot up to no good again?\Alright! This is the guidebook for our field trip.\A guidebook for a field trip?\Sure! You always make one when you go on a trip, right?\I'm asking why we need a guidebook for a field trip...\Don't worry about it.\Our positively moving tour will take us across the Swiss Alps with all their flowers in full bloom! response:	To enjoy springtime to its fullest, we'll be taking the Jungfraubahn and a gondola cruise all across Switzerland in two days!
