context: Hm... response:	Deadly Queen... is what I've named it.
context: And it looks like your Stand\is the type that has power, but can't go very far.\Looks like its range is about one to two meters, right?\If you want to die, go ahead and try to move.\I see... So individual users have their own unique powers?\Stand? Hmm... Stand, eh?\By the way, my Deadly Queen also has a special power...\He has something... Grab it! response:	What? It's just a 100-yen coin.
context: is the type that has power, but can't go very far.\Looks like its range is about one to two meters, right?\If you want to die, go ahead and try to move.\I see... So individual users have their own unique powers?\Stand? Hmm... Stand, eh?\By the way, my Deadly Queen also has a special power...\He has something... Grab it!\What? It's just a 100-yen coin. response:	What were you planning to do with this?
context: Looks like its range is about one to two meters, right?\If you want to die, go ahead and try to move.\I see... So individual users have their own unique powers?\Stand? Hmm... Stand, eh?\By the way, my Deadly Queen also has a special power...\He has something... Grab it!\What? It's just a 100-yen coin.\What were you planning to do with this? response:	Well, I thought I'd show you my Deadly Queen's special power,
context: If you want to die, go ahead and try to move.\I see... So individual users have their own unique powers?\Stand? Hmm... Stand, eh?\By the way, my Deadly Queen also has a special power...\He has something... Grab it!\What? It's just a 100-yen coin.\What were you planning to do with this?\Well, I thought I'd show you my Deadly Queen's special power, response:	seeing as how you're already as good as done for.
context: I see... So individual users have their own unique powers?\Stand? Hmm... Stand, eh?\By the way, my Deadly Queen also has a special power...\He has something... Grab it!\What? It's just a 100-yen coin.\What were you planning to do with this?\Well, I thought I'd show you my Deadly Queen's special power,\seeing as how you're already as good as done for. response:	Deadly Queen's special power
context: Stand? Hmm... Stand, eh?\By the way, my Deadly Queen also has a special power...\He has something... Grab it!\What? It's just a 100-yen coin.\What were you planning to do with this?\Well, I thought I'd show you my Deadly Queen's special power,\seeing as how you're already as good as done for.\Deadly Queen's special power response:	is that it can turn anything it touches into a bomb.
context: By the way, my Deadly Queen also has a special power...\He has something... Grab it!\What? It's just a 100-yen coin.\What were you planning to do with this?\Well, I thought I'd show you my Deadly Queen's special power,\seeing as how you're already as good as done for.\Deadly Queen's special power\is that it can turn anything it touches into a bomb. response:	Anything...
context: He has something... Grab it!\What? It's just a 100-yen coin.\What were you planning to do with this?\Well, I thought I'd show you my Deadly Queen's special power,\seeing as how you're already as good as done for.\Deadly Queen's special power\is that it can turn anything it touches into a bomb.\Anything... response:	Even a 100-yen coin.
context: What? It's just a 100-yen coin.\What were you planning to do with this?\Well, I thought I'd show you my Deadly Queen's special power,\seeing as how you're already as good as done for.\Deadly Queen's special power\is that it can turn anything it touches into a bomb.\Anything...\Even a 100-yen coin. response:	Throw away that 100-yen coin, Harvest!
context: What were you planning to do with this?\Well, I thought I'd show you my Deadly Queen's special power,\seeing as how you're already as good as done for.\Deadly Queen's special power\is that it can turn anything it touches into a bomb.\Anything...\Even a 100-yen coin.\Throw away that 100-yen coin, Harvest! response:	Now I can relax and sleep well tonight.
context: Well, I thought I'd show you my Deadly Queen's special power,\seeing as how you're already as good as done for.\Deadly Queen's special power\is that it can turn anything it touches into a bomb.\Anything...\Even a 100-yen coin.\Throw away that 100-yen coin, Harvest!\Now I can relax and sleep well tonight. response:	JoJo's Bizarre Adventure
context: seeing as how you're already as good as done for.\Deadly Queen's special power\is that it can turn anything it touches into a bomb.\Anything...\Even a 100-yen coin.\Throw away that 100-yen coin, Harvest!\Now I can relax and sleep well tonight.\JoJo's Bizarre Adventure response:	Diamond is Unbreakable
context: Deadly Queen's special power\is that it can turn anything it touches into a bomb.\Anything...\Even a 100-yen coin.\Throw away that 100-yen coin, Harvest!\Now I can relax and sleep well tonight.\JoJo's Bizarre Adventure\Diamond is Unbreakable response:	Jojo's Bizarre Adventure
context: is that it can turn anything it touches into a bomb.\Anything...\Even a 100-yen coin.\Throw away that 100-yen coin, Harvest!\Now I can relax and sleep well tonight.\JoJo's Bizarre Adventure\Diamond is Unbreakable\Jojo's Bizarre Adventure response:	Diamond is Unbreakable
context: Anything...\Even a 100-yen coin.\Throw away that 100-yen coin, Harvest!\Now I can relax and sleep well tonight.\JoJo's Bizarre Adventure\Diamond is Unbreakable\Jojo's Bizarre Adventure\Diamond is Unbreakable response:	Episode 22 Yoshikage Kira Just Wants to Live Quietly, Part 2
context: Even a 100-yen coin.\Throw away that 100-yen coin, Harvest!\Now I can relax and sleep well tonight.\JoJo's Bizarre Adventure\Diamond is Unbreakable\Jojo's Bizarre Adventure\Diamond is Unbreakable\Episode 22 Yoshikage Kira Just Wants to Live Quietly, Part 2 response:	Did you know there's a salon that'll grant you love?
context: Throw away that 100-yen coin, Harvest!\Now I can relax and sleep well tonight.\JoJo's Bizarre Adventure\Diamond is Unbreakable\Jojo's Bizarre Adventure\Diamond is Unbreakable\Episode 22 Yoshikage Kira Just Wants to Live Quietly, Part 2\Did you know there's a salon that'll grant you love? response:	Huh? Seriously? That's hilarious.
context: Now I can relax and sleep well tonight.\JoJo's Bizarre Adventure\Diamond is Unbreakable\Jojo's Bizarre Adventure\Diamond is Unbreakable\Episode 22 Yoshikage Kira Just Wants to Live Quietly, Part 2\Did you know there's a salon that'll grant you love?\Huh? Seriously? That's hilarious. response:	It's true! I hear it worked for someone in the high school!
context: JoJo's Bizarre Adventure\Diamond is Unbreakable\Jojo's Bizarre Adventure\Diamond is Unbreakable\Episode 22 Yoshikage Kira Just Wants to Live Quietly, Part 2\Did you know there's a salon that'll grant you love?\Huh? Seriously? That's hilarious.\It's true! I hear it worked for someone in the high school! response:	Looks like one blast didn't kill him...
context: Diamond is Unbreakable\Jojo's Bizarre Adventure\Diamond is Unbreakable\Episode 22 Yoshikage Kira Just Wants to Live Quietly, Part 2\Did you know there's a salon that'll grant you love?\Huh? Seriously? That's hilarious.\It's true! I hear it worked for someone in the high school!\Looks like one blast didn't kill him... response:	Wh-What happened to me? What...
context: Jojo's Bizarre Adventure\Diamond is Unbreakable\Episode 22 Yoshikage Kira Just Wants to Live Quietly, Part 2\Did you know there's a salon that'll grant you love?\Huh? Seriously? That's hilarious.\It's true! I hear it worked for someone in the high school!\Looks like one blast didn't kill him...\Wh-What happened to me? What... response:	What the...
context: Diamond is Unbreakable\Episode 22 Yoshikage Kira Just Wants to Live Quietly, Part 2\Did you know there's a salon that'll grant you love?\Huh? Seriously? That's hilarious.\It's true! I hear it worked for someone in the high school!\Looks like one blast didn't kill him...\Wh-What happened to me? What...\What the... response:	What the heck happened?!
context: Episode 22 Yoshikage Kira Just Wants to Live Quietly, Part 2\Did you know there's a salon that'll grant you love?\Huh? Seriously? That's hilarious.\It's true! I hear it worked for someone in the high school!\Looks like one blast didn't kill him...\Wh-What happened to me? What...\What the...\What the heck happened?! response:	I told you.
context: Did you know there's a salon that'll grant you love?\Huh? Seriously? That's hilarious.\It's true! I hear it worked for someone in the high school!\Looks like one blast didn't kill him...\Wh-What happened to me? What...\What the...\What the heck happened?!\I told you. response:	My Deadly Queen can turn anything it touches into a bomb.
context: Huh? Seriously? That's hilarious.\It's true! I hear it worked for someone in the high school!\Looks like one blast didn't kill him...\Wh-What happened to me? What...\What the...\What the heck happened?!\I told you.\My Deadly Queen can turn anything it touches into a bomb. response:	I turned this 100-yen coin into a bomb.
context: It's true! I hear it worked for someone in the high school!\Looks like one blast didn't kill him...\Wh-What happened to me? What...\What the...\What the heck happened?!\I told you.\My Deadly Queen can turn anything it touches into a bomb.\I turned this 100-yen coin into a bomb. response:	I can push the switch whenever I want,
context: Looks like one blast didn't kill him...\Wh-What happened to me? What...\What the...\What the heck happened?!\I told you.\My Deadly Queen can turn anything it touches into a bomb.\I turned this 100-yen coin into a bomb.\I can push the switch whenever I want, response:	and my opponent is blown to bits from the inside out.
context: Wh-What happened to me? What...\What the...\What the heck happened?!\I told you.\My Deadly Queen can turn anything it touches into a bomb.\I turned this 100-yen coin into a bomb.\I can push the switch whenever I want,\and my opponent is blown to bits from the inside out. response:	Though in your case, Shigechi,
context: What the...\What the heck happened?!\I told you.\My Deadly Queen can turn anything it touches into a bomb.\I turned this 100-yen coin into a bomb.\I can push the switch whenever I want,\and my opponent is blown to bits from the inside out.\Though in your case, Shigechi, response:	half of your face blew into your head,
context: What the heck happened?!\I told you.\My Deadly Queen can turn anything it touches into a bomb.\I turned this 100-yen coin into a bomb.\I can push the switch whenever I want,\and my opponent is blown to bits from the inside out.\Though in your case, Shigechi,\half of your face blew into your head, response:	and about a third of your brain got mixed in with the flesh of your face.
context: I told you.\My Deadly Queen can turn anything it touches into a bomb.\I turned this 100-yen coin into a bomb.\I can push the switch whenever I want,\and my opponent is blown to bits from the inside out.\Though in your case, Shigechi,\half of your face blew into your head,\and about a third of your brain got mixed in with the flesh of your face. response:	Before I deal one more blow to you, I just remembered
context: My Deadly Queen can turn anything it touches into a bomb.\I turned this 100-yen coin into a bomb.\I can push the switch whenever I want,\and my opponent is blown to bits from the inside out.\Though in your case, Shigechi,\half of your face blew into your head,\and about a third of your brain got mixed in with the flesh of your face.\Before I deal one more blow to you, I just remembered response:	there's something that I want to confirm with you.
context: I turned this 100-yen coin into a bomb.\I can push the switch whenever I want,\and my opponent is blown to bits from the inside out.\Though in your case, Shigechi,\half of your face blew into your head,\and about a third of your brain got mixed in with the flesh of your face.\Before I deal one more blow to you, I just remembered\there's something that I want to confirm with you. response:	You called this power a Stand.
context: I can push the switch whenever I want,\and my opponent is blown to bits from the inside out.\Though in your case, Shigechi,\half of your face blew into your head,\and about a third of your brain got mixed in with the flesh of your face.\Before I deal one more blow to you, I just remembered\there's something that I want to confirm with you.\You called this power a Stand. response:	That Josuke and Okuyasu also have Stand powers, don't they?
context: and my opponent is blown to bits from the inside out.\Though in your case, Shigechi,\half of your face blew into your head,\and about a third of your brain got mixed in with the flesh of your face.\Before I deal one more blow to you, I just remembered\there's something that I want to confirm with you.\You called this power a Stand.\That Josuke and Okuyasu also have Stand powers, don't they? response:	H-Help me...
context: Though in your case, Shigechi,\half of your face blew into your head,\and about a third of your brain got mixed in with the flesh of your face.\Before I deal one more blow to you, I just remembered\there's something that I want to confirm with you.\You called this power a Stand.\That Josuke and Okuyasu also have Stand powers, don't they?\H-Help me... response:	No, no, no, no, no, no, no.
context: half of your face blew into your head,\and about a third of your brain got mixed in with the flesh of your face.\Before I deal one more blow to you, I just remembered\there's something that I want to confirm with you.\You called this power a Stand.\That Josuke and Okuyasu also have Stand powers, don't they?\H-Help me...\No, no, no, no, no, no, no. response:	You must die.
context: and about a third of your brain got mixed in with the flesh of your face.\Before I deal one more blow to you, I just remembered\there's something that I want to confirm with you.\You called this power a Stand.\That Josuke and Okuyasu also have Stand powers, don't they?\H-Help me...\No, no, no, no, no, no, no.\You must die. response:	I can't leave witnesses alive.
context: Before I deal one more blow to you, I just remembered\there's something that I want to confirm with you.\You called this power a Stand.\That Josuke and Okuyasu also have Stand powers, don't they?\H-Help me...\No, no, no, no, no, no, no.\You must die.\I can't leave witnesses alive. response:	No one is allowed to know the true identity of one Yoshikage Kira.
context: there's something that I want to confirm with you.\You called this power a Stand.\That Josuke and Okuyasu also have Stand powers, don't they?\H-Help me...\No, no, no, no, no, no, no.\You must die.\I can't leave witnesses alive.\No one is allowed to know the true identity of one Yoshikage Kira. response:	But you see, I'd like to know about Stand users.
context: You called this power a Stand.\That Josuke and Okuyasu also have Stand powers, don't they?\H-Help me...\No, no, no, no, no, no, no.\You must die.\I can't leave witnesses alive.\No one is allowed to know the true identity of one Yoshikage Kira.\But you see, I'd like to know about Stand users. response:	I'm sure I'd be able to find out
context: That Josuke and Okuyasu also have Stand powers, don't they?\H-Help me...\No, no, no, no, no, no, no.\You must die.\I can't leave witnesses alive.\No one is allowed to know the true identity of one Yoshikage Kira.\But you see, I'd like to know about Stand users.\I'm sure I'd be able to find out response:	with some research, but I'd like to ask you personally.
context: H-Help me...\No, no, no, no, no, no, no.\You must die.\I can't leave witnesses alive.\No one is allowed to know the true identity of one Yoshikage Kira.\But you see, I'd like to know about Stand users.\I'm sure I'd be able to find out\with some research, but I'd like to ask you personally. response:	Josuke, Okuyasu...
context: No, no, no, no, no, no, no.\You must die.\I can't leave witnesses alive.\No one is allowed to know the true identity of one Yoshikage Kira.\But you see, I'd like to know about Stand users.\I'm sure I'd be able to find out\with some research, but I'd like to ask you personally.\Josuke, Okuyasu... response:	Who are the others?
context: You must die.\I can't leave witnesses alive.\No one is allowed to know the true identity of one Yoshikage Kira.\But you see, I'd like to know about Stand users.\I'm sure I'd be able to find out\with some research, but I'd like to ask you personally.\Josuke, Okuyasu...\Who are the others? response:	How many more are in this town?
context: I can't leave witnesses alive.\No one is allowed to know the true identity of one Yoshikage Kira.\But you see, I'd like to know about Stand users.\I'm sure I'd be able to find out\with some research, but I'd like to ask you personally.\Josuke, Okuyasu...\Who are the others?\How many more are in this town? response:	What are their powers?
context: No one is allowed to know the true identity of one Yoshikage Kira.\But you see, I'd like to know about Stand users.\I'm sure I'd be able to find out\with some research, but I'd like to ask you personally.\Josuke, Okuyasu...\Who are the others?\How many more are in this town?\What are their powers? response:	I-I don't know...
context: But you see, I'd like to know about Stand users.\I'm sure I'd be able to find out\with some research, but I'd like to ask you personally.\Josuke, Okuyasu...\Who are the others?\How many more are in this town?\What are their powers?\I-I don't know... response:	I'm certain you must know.
context: I'm sure I'd be able to find out\with some research, but I'd like to ask you personally.\Josuke, Okuyasu...\Who are the others?\How many more are in this town?\What are their powers?\I-I don't know...\I'm certain you must know. response:	Listen, if you don't tell me...
context: with some research, but I'd like to ask you personally.\Josuke, Okuyasu...\Who are the others?\How many more are in this town?\What are their powers?\I-I don't know...\I'm certain you must know.\Listen, if you don't tell me... response:	I will eliminate your parents, too.
context: Josuke, Okuyasu...\Who are the others?\How many more are in this town?\What are their powers?\I-I don't know...\I'm certain you must know.\Listen, if you don't tell me...\I will eliminate your parents, too. response:	Wha...
context: Who are the others?\How many more are in this town?\What are their powers?\I-I don't know...\I'm certain you must know.\Listen, if you don't tell me...\I will eliminate your parents, too.\Wha... response:	What?
context: How many more are in this town?\What are their powers?\I-I don't know...\I'm certain you must know.\Listen, if you don't tell me...\I will eliminate your parents, too.\Wha...\What? response:	M-My mama and papa?
context: What are their powers?\I-I don't know...\I'm certain you must know.\Listen, if you don't tell me...\I will eliminate your parents, too.\Wha...\What?\M-My mama and papa? response:	Hurry up and tell me.
context: I-I don't know...\I'm certain you must know.\Listen, if you don't tell me...\I will eliminate your parents, too.\Wha...\What?\M-My mama and papa?\Hurry up and tell me. response:	If you do, nothing will happen to them.
context: I'm certain you must know.\Listen, if you don't tell me...\I will eliminate your parents, too.\Wha...\What?\M-My mama and papa?\Hurry up and tell me.\If you do, nothing will happen to them. response:	If you take too long, someone might show up here.
context: Listen, if you don't tell me...\I will eliminate your parents, too.\Wha...\What?\M-My mama and papa?\Hurry up and tell me.\If you do, nothing will happen to them.\If you take too long, someone might show up here. response:	Just names will do. Come on, hurry it up.
context: I will eliminate your parents, too.\Wha...\What?\M-My mama and papa?\Hurry up and tell me.\If you do, nothing will happen to them.\If you take too long, someone might show up here.\Just names will do. Come on, hurry it up. response:	E-Everyone was saying they were looking for a murderer in this town!
context: Wha...\What?\M-My mama and papa?\Hurry up and tell me.\If you do, nothing will happen to them.\If you take too long, someone might show up here.\Just names will do. Come on, hurry it up.\E-Everyone was saying they were looking for a murderer in this town! response:	A murderer... They meant you!
context: What?\M-My mama and papa?\Hurry up and tell me.\If you do, nothing will happen to them.\If you take too long, someone might show up here.\Just names will do. Come on, hurry it up.\E-Everyone was saying they were looking for a murderer in this town!\A murderer... They meant you! response:	You killed Reimi Sugimoto, too!
context: M-My mama and papa?\Hurry up and tell me.\If you do, nothing will happen to them.\If you take too long, someone might show up here.\Just names will do. Come on, hurry it up.\E-Everyone was saying they were looking for a murderer in this town!\A murderer... They meant you!\You killed Reimi Sugimoto, too! response:	What? Reimi Sugimoto?!
context: Hurry up and tell me.\If you do, nothing will happen to them.\If you take too long, someone might show up here.\Just names will do. Come on, hurry it up.\E-Everyone was saying they were looking for a murderer in this town!\A murderer... They meant you!\You killed Reimi Sugimoto, too!\What? Reimi Sugimoto?! response:	You're still able to use your Stand?
context: If you do, nothing will happen to them.\If you take too long, someone might show up here.\Just names will do. Come on, hurry it up.\E-Everyone was saying they were looking for a murderer in this town!\A murderer... They meant you!\You killed Reimi Sugimoto, too!\What? Reimi Sugimoto?!\You're still able to use your Stand? response:	Deadly Queen!
context: If you take too long, someone might show up here.\Just names will do. Come on, hurry it up.\E-Everyone was saying they were looking for a murderer in this town!\A murderer... They meant you!\You killed Reimi Sugimoto, too!\What? Reimi Sugimoto?!\You're still able to use your Stand?\Deadly Queen! response:	That brat...
context: Just names will do. Come on, hurry it up.\E-Everyone was saying they were looking for a murderer in this town!\A murderer... They meant you!\You killed Reimi Sugimoto, too!\What? Reimi Sugimoto?!\You're still able to use your Stand?\Deadly Queen!\That brat... response:	He was so torn-up, too.
context: E-Everyone was saying they were looking for a murderer in this town!\A murderer... They meant you!\You killed Reimi Sugimoto, too!\What? Reimi Sugimoto?!\You're still able to use your Stand?\Deadly Queen!\That brat...\He was so torn-up, too. response:	I-I'm... gonna go to Josuke...
context: A murderer... They meant you!\You killed Reimi Sugimoto, too!\What? Reimi Sugimoto?!\You're still able to use your Stand?\Deadly Queen!\That brat...\He was so torn-up, too.\I-I'm... gonna go to Josuke... response:	Josuke's Shining Diamond...
context: You killed Reimi Sugimoto, too!\What? Reimi Sugimoto?!\You're still able to use your Stand?\Deadly Queen!\That brat...\He was so torn-up, too.\I-I'm... gonna go to Josuke...\Josuke's Shining Diamond... response:	can fix me...
context: What? Reimi Sugimoto?!\You're still able to use your Stand?\Deadly Queen!\That brat...\He was so torn-up, too.\I-I'm... gonna go to Josuke...\Josuke's Shining Diamond...\can fix me... response:	I'm... going to protect Mama and Papa...
context: You're still able to use your Stand?\Deadly Queen!\That brat...\He was so torn-up, too.\I-I'm... gonna go to Josuke...\Josuke's Shining Diamond...\can fix me...\I'm... going to protect Mama and Papa... response:	I'm gonna protect Mama and Papa from him!
context: Deadly Queen!\That brat...\He was so torn-up, too.\I-I'm... gonna go to Josuke...\Josuke's Shining Diamond...\can fix me...\I'm... going to protect Mama and Papa...\I'm gonna protect Mama and Papa from him! response:	That nasty, filthy guy
context: That brat...\He was so torn-up, too.\I-I'm... gonna go to Josuke...\Josuke's Shining Diamond...\can fix me...\I'm... going to protect Mama and Papa...\I'm gonna protect Mama and Papa from him!\That nasty, filthy guy response:	can't live in the same town as Mama and Papa!
context: He was so torn-up, too.\I-I'm... gonna go to Josuke...\Josuke's Shining Diamond...\can fix me...\I'm... going to protect Mama and Papa...\I'm gonna protect Mama and Papa from him!\That nasty, filthy guy\can't live in the same town as Mama and Papa! response:	High School Ahead No middle school students beyond this point Middle School Principal
context: I-I'm... gonna go to Josuke...\Josuke's Shining Diamond...\can fix me...\I'm... going to protect Mama and Papa...\I'm gonna protect Mama and Papa from him!\That nasty, filthy guy\can't live in the same town as Mama and Papa!\High School Ahead No middle school students beyond this point Middle School Principal response:	I have to go...
context: Josuke's Shining Diamond...\can fix me...\I'm... going to protect Mama and Papa...\I'm gonna protect Mama and Papa from him!\That nasty, filthy guy\can't live in the same town as Mama and Papa!\High School Ahead No middle school students beyond this point Middle School Principal\I have to go... response:	to Josuke...
context: can fix me...\I'm... going to protect Mama and Papa...\I'm gonna protect Mama and Papa from him!\That nasty, filthy guy\can't live in the same town as Mama and Papa!\High School Ahead No middle school students beyond this point Middle School Principal\I have to go...\to Josuke... response:	Oh, sorry.
context: I'm... going to protect Mama and Papa...\I'm gonna protect Mama and Papa from him!\That nasty, filthy guy\can't live in the same town as Mama and Papa!\High School Ahead No middle school students beyond this point Middle School Principal\I have to go...\to Josuke...\Oh, sorry. response:	Are you okay?
context: I'm gonna protect Mama and Papa from him!\That nasty, filthy guy\can't live in the same town as Mama and Papa!\High School Ahead No middle school students beyond this point Middle School Principal\I have to go...\to Josuke...\Oh, sorry.\Are you okay? response:	I have to go...
context: That nasty, filthy guy\can't live in the same town as Mama and Papa!\High School Ahead No middle school students beyond this point Middle School Principal\I have to go...\to Josuke...\Oh, sorry.\Are you okay?\I have to go... response:	You don't look so good.
context: can't live in the same town as Mama and Papa!\High School Ahead No middle school students beyond this point Middle School Principal\I have to go...\to Josuke...\Oh, sorry.\Are you okay?\I have to go...\You don't look so good. response:	He's from the middle school.
context: High School Ahead No middle school students beyond this point Middle School Principal\I have to go...\to Josuke...\Oh, sorry.\Are you okay?\I have to go...\You don't look so good.\He's from the middle school. response:	Th-There's something wrong with him.
context: I have to go...\to Josuke...\Oh, sorry.\Are you okay?\I have to go...\You don't look so good.\He's from the middle school.\Th-There's something wrong with him. response:	We should get a teacher...
context: to Josuke...\Oh, sorry.\Are you okay?\I have to go...\You don't look so good.\He's from the middle school.\Th-There's something wrong with him.\We should get a teacher... response:	No, just leave him alone. He's creepy.
context: Oh, sorry.\Are you okay?\I have to go...\You don't look so good.\He's from the middle school.\Th-There's something wrong with him.\We should get a teacher...\No, just leave him alone. He's creepy. response:	Let's go.
context: Are you okay?\I have to go...\You don't look so good.\He's from the middle school.\Th-There's something wrong with him.\We should get a teacher...\No, just leave him alone. He's creepy.\Let's go. response:	J-Josuke!
context: I have to go...\You don't look so good.\He's from the middle school.\Th-There's something wrong with him.\We should get a teacher...\No, just leave him alone. He's creepy.\Let's go.\J-Josuke! response:	J-Josuke!
context: You don't look so good.\He's from the middle school.\Th-There's something wrong with him.\We should get a teacher...\No, just leave him alone. He's creepy.\Let's go.\J-Josuke!\J-Josuke! response:	You said everyone was looking for me?
context: He's from the middle school.\Th-There's something wrong with him.\We should get a teacher...\No, just leave him alone. He's creepy.\Let's go.\J-Josuke!\J-Josuke!\You said everyone was looking for me? response:	Do you mean there's someone in this town
context: Th-There's something wrong with him.\We should get a teacher...\No, just leave him alone. He's creepy.\Let's go.\J-Josuke!\J-Josuke!\You said everyone was looking for me?\Do you mean there's someone in this town response:	who knows about Reimi Sugimoto's murder?
context: We should get a teacher...\No, just leave him alone. He's creepy.\Let's go.\J-Josuke!\J-Josuke!\You said everyone was looking for me?\Do you mean there's someone in this town\who knows about Reimi Sugimoto's murder? response:	But no one will be able to pursue me...
context: No, just leave him alone. He's creepy.\Let's go.\J-Josuke!\J-Josuke!\You said everyone was looking for me?\Do you mean there's someone in this town\who knows about Reimi Sugimoto's murder?\But no one will be able to pursue me... response:	No one knows the identity of Yoshikage Kira.
context: Let's go.\J-Josuke!\J-Josuke!\You said everyone was looking for me?\Do you mean there's someone in this town\who knows about Reimi Sugimoto's murder?\But no one will be able to pursue me...\No one knows the identity of Yoshikage Kira. response:	As long as you are out of the picture...
context: J-Josuke!\J-Josuke!\You said everyone was looking for me?\Do you mean there's someone in this town\who knows about Reimi Sugimoto's murder?\But no one will be able to pursue me...\No one knows the identity of Yoshikage Kira.\As long as you are out of the picture... response:	I'm gonna protect my Mama and Papa...
context: J-Josuke!\You said everyone was looking for me?\Do you mean there's someone in this town\who knows about Reimi Sugimoto's murder?\But no one will be able to pursue me...\No one knows the identity of Yoshikage Kira.\As long as you are out of the picture...\I'm gonna protect my Mama and Papa... response:	Deadly Queen has already touched the doorknob.
context: You said everyone was looking for me?\Do you mean there's someone in this town\who knows about Reimi Sugimoto's murder?\But no one will be able to pursue me...\No one knows the identity of Yoshikage Kira.\As long as you are out of the picture...\I'm gonna protect my Mama and Papa...\Deadly Queen has already touched the doorknob. response:	Josuke!
context: Do you mean there's someone in this town\who knows about Reimi Sugimoto's murder?\But no one will be able to pursue me...\No one knows the identity of Yoshikage Kira.\As long as you are out of the picture...\I'm gonna protect my Mama and Papa...\Deadly Queen has already touched the doorknob.\Josuke! response:	This is Deadly Queen's power.
