context: I-It's fine by me... response:	Usotsuki na anata nakimushi no atashi
context: Love kanashii namida nanka ja nai yo\Me ga kawaite hirihiri suru dake\Kono unmei bakari I love\Kimi dake wo atashi dake wo\Atsui omoi wo uketomete\Doko made mo tsunagattetai\Kawaikunai nakigao mo se mo aishiteru\Why can't things go well between response:	the liar, you, and the crybaby, me?
context: Me ga kawaite hirihiri suru dake\Kono unmei bakari I love\Kimi dake wo atashi dake wo\Atsui omoi wo uketomete\Doko made mo tsunagattetai\Kawaikunai nakigao mo se mo aishiteru\Why can't things go well between\the liar, you, and the crybaby, me? response:	You don't notice my styled hair
context: Kono unmei bakari I love\Kimi dake wo atashi dake wo\Atsui omoi wo uketomete\Doko made mo tsunagattetai\Kawaikunai nakigao mo se mo aishiteru\Why can't things go well between\the liar, you, and the crybaby, me?\You don't notice my styled hair response:	or my nice set of press-on nails.
context: Kimi dake wo atashi dake wo\Atsui omoi wo uketomete\Doko made mo tsunagattetai\Kawaikunai nakigao mo se mo aishiteru\Why can't things go well between\the liar, you, and the crybaby, me?\You don't notice my styled hair\or my nice set of press-on nails. response:	Love isn't about the unhappy tears that go along with it.
context: Atsui omoi wo uketomete\Doko made mo tsunagattetai\Kawaikunai nakigao mo se mo aishiteru\Why can't things go well between\the liar, you, and the crybaby, me?\You don't notice my styled hair\or my nice set of press-on nails.\Love isn't about the unhappy tears that go along with it. response:	Those tears only leave my eyes dry and hurt me.
context: Doko made mo tsunagattetai\Kawaikunai nakigao mo se mo aishiteru\Why can't things go well between\the liar, you, and the crybaby, me?\You don't notice my styled hair\or my nice set of press-on nails.\Love isn't about the unhappy tears that go along with it.\Those tears only leave my eyes dry and hurt me. response:	I love this destiny
context: Kawaikunai nakigao mo se mo aishiteru\Why can't things go well between\the liar, you, and the crybaby, me?\You don't notice my styled hair\or my nice set of press-on nails.\Love isn't about the unhappy tears that go along with it.\Those tears only leave my eyes dry and hurt me.\I love this destiny response:	between only you and only me.
context: Why can't things go well between\the liar, you, and the crybaby, me?\You don't notice my styled hair\or my nice set of press-on nails.\Love isn't about the unhappy tears that go along with it.\Those tears only leave my eyes dry and hurt me.\I love this destiny\between only you and only me. response:	I want to accept your hot feelings
context: the liar, you, and the crybaby, me?\You don't notice my styled hair\or my nice set of press-on nails.\Love isn't about the unhappy tears that go along with it.\Those tears only leave my eyes dry and hurt me.\I love this destiny\between only you and only me.\I want to accept your hot feelings response:	and be taken by you forever.
context: You don't notice my styled hair\or my nice set of press-on nails.\Love isn't about the unhappy tears that go along with it.\Those tears only leave my eyes dry and hurt me.\I love this destiny\between only you and only me.\I want to accept your hot feelings\and be taken by you forever. response:	Despite your uncute, tearful face and your shortness, I still love you.
context: or my nice set of press-on nails.\Love isn't about the unhappy tears that go along with it.\Those tears only leave my eyes dry and hurt me.\I love this destiny\between only you and only me.\I want to accept your hot feelings\and be taken by you forever.\Despite your uncute, tearful face and your shortness, I still love you. response:	Episode 9 ...
context: Love isn't about the unhappy tears that go along with it.\Those tears only leave my eyes dry and hurt me.\I love this destiny\between only you and only me.\I want to accept your hot feelings\and be taken by you forever.\Despite your uncute, tearful face and your shortness, I still love you.\Episode 9 ... response:	For some reason, it's come to this...
context: Those tears only leave my eyes dry and hurt me.\I love this destiny\between only you and only me.\I want to accept your hot feelings\and be taken by you forever.\Despite your uncute, tearful face and your shortness, I still love you.\Episode 9 ...\For some reason, it's come to this... response:	And I don't know how...
context: I love this destiny\between only you and only me.\I want to accept your hot feelings\and be taken by you forever.\Despite your uncute, tearful face and your shortness, I still love you.\Episode 9 ...\For some reason, it's come to this...\And I don't know how... response:	But... I really don't understand how I was the one to suggest it...
context: between only you and only me.\I want to accept your hot feelings\and be taken by you forever.\Despite your uncute, tearful face and your shortness, I still love you.\Episode 9 ...\For some reason, it's come to this...\And I don't know how...\But... I really don't understand how I was the one to suggest it... response:	Ah, geez! He's already getting naked!
context: I want to accept your hot feelings\and be taken by you forever.\Despite your uncute, tearful face and your shortness, I still love you.\Episode 9 ...\For some reason, it's come to this...\And I don't know how...\But... I really don't understand how I was the one to suggest it...\Ah, geez! He's already getting naked! response:	If I were to say something like let's stop here now...
context: and be taken by you forever.\Despite your uncute, tearful face and your shortness, I still love you.\Episode 9 ...\For some reason, it's come to this...\And I don't know how...\But... I really don't understand how I was the one to suggest it...\Ah, geez! He's already getting naked!\If I were to say something like let's stop here now... response:	I can't...
context: Despite your uncute, tearful face and your shortness, I still love you.\Episode 9 ...\For some reason, it's come to this...\And I don't know how...\But... I really don't understand how I was the one to suggest it...\Ah, geez! He's already getting naked!\If I were to say something like let's stop here now...\I can't... response:	I-It's embarrassing, so turn around.
context: Episode 9 ...\For some reason, it's come to this...\And I don't know how...\But... I really don't understand how I was the one to suggest it...\Ah, geez! He's already getting naked!\If I were to say something like let's stop here now...\I can't...\I-It's embarrassing, so turn around. response:	Okay.
context: For some reason, it's come to this...\And I don't know how...\But... I really don't understand how I was the one to suggest it...\Ah, geez! He's already getting naked!\If I were to say something like let's stop here now...\I can't...\I-It's embarrassing, so turn around.\Okay. response:	Y-You can turn around now.
context: And I don't know how...\But... I really don't understand how I was the one to suggest it...\Ah, geez! He's already getting naked!\If I were to say something like let's stop here now...\I can't...\I-It's embarrassing, so turn around.\Okay.\Y-You can turn around now. response:	You haven't taken anything off.
context: But... I really don't understand how I was the one to suggest it...\Ah, geez! He's already getting naked!\If I were to say something like let's stop here now...\I can't...\I-It's embarrassing, so turn around.\Okay.\Y-You can turn around now.\You haven't taken anything off. response:	I-It's okay like this.
context: Ah, geez! He's already getting naked!\If I were to say something like let's stop here now...\I can't...\I-It's embarrassing, so turn around.\Okay.\Y-You can turn around now.\You haven't taken anything off.\I-It's okay like this. response:	I'll take everything off one by one...
context: If I were to say something like let's stop here now...\I can't...\I-It's embarrassing, so turn around.\Okay.\Y-You can turn around now.\You haven't taken anything off.\I-It's okay like this.\I'll take everything off one by one... response:	No, instead... you undress me.
context: I can't...\I-It's embarrassing, so turn around.\Okay.\Y-You can turn around now.\You haven't taken anything off.\I-It's okay like this.\I'll take everything off one by one...\No, instead... you undress me. response:	Wow...
context: I-It's embarrassing, so turn around.\Okay.\Y-You can turn around now.\You haven't taken anything off.\I-It's okay like this.\I'll take everything off one by one...\No, instead... you undress me.\Wow... response:	I can't believe I said something as stupid...
context: Okay.\Y-You can turn around now.\You haven't taken anything off.\I-It's okay like this.\I'll take everything off one by one...\No, instead... you undress me.\Wow...\I can't believe I said something as stupid... response:	But at a time like this...
context: Y-You can turn around now.\You haven't taken anything off.\I-It's okay like this.\I'll take everything off one by one...\No, instead... you undress me.\Wow...\I can't believe I said something as stupid...\But at a time like this... response:	Takahashi.
context: You haven't taken anything off.\I-It's okay like this.\I'll take everything off one by one...\No, instead... you undress me.\Wow...\I can't believe I said something as stupid...\But at a time like this...\Takahashi. response:	Y-Yes?!
context: I-It's okay like this.\I'll take everything off one by one...\No, instead... you undress me.\Wow...\I can't believe I said something as stupid...\But at a time like this...\Takahashi.\Y-Yes?! response:	Raise your head.
context: I'll take everything off one by one...\No, instead... you undress me.\Wow...\I can't believe I said something as stupid...\But at a time like this...\Takahashi.\Y-Yes?!\Raise your head. response:	B-But... I don't know where to look.
context: No, instead... you undress me.\Wow...\I can't believe I said something as stupid...\But at a time like this...\Takahashi.\Y-Yes?!\Raise your head.\B-But... I don't know where to look. response:	Don't worry, Takahashi.
context: Wow...\I can't believe I said something as stupid...\But at a time like this...\Takahashi.\Y-Yes?!\Raise your head.\B-But... I don't know where to look.\Don't worry, Takahashi. response:	Just think of it like you're at the beach.
context: I can't believe I said something as stupid...\But at a time like this...\Takahashi.\Y-Yes?!\Raise your head.\B-But... I don't know where to look.\Don't worry, Takahashi.\Just think of it like you're at the beach. response:	This is the beach.
context: But at a time like this...\Takahashi.\Y-Yes?!\Raise your head.\B-But... I don't know where to look.\Don't worry, Takahashi.\Just think of it like you're at the beach.\This is the beach. response:	You're on the sandy dunes.
context: Takahashi.\Y-Yes?!\Raise your head.\B-But... I don't know where to look.\Don't worry, Takahashi.\Just think of it like you're at the beach.\This is the beach.\You're on the sandy dunes. response:	I'm in swimming trunks.
context: Y-Yes?!\Raise your head.\B-But... I don't know where to look.\Don't worry, Takahashi.\Just think of it like you're at the beach.\This is the beach.\You're on the sandy dunes.\I'm in swimming trunks. response:	There's nothing to be afraid of.
context: Raise your head.\B-But... I don't know where to look.\Don't worry, Takahashi.\Just think of it like you're at the beach.\This is the beach.\You're on the sandy dunes.\I'm in swimming trunks.\There's nothing to be afraid of. response:	Now, why don't you change into your bikini, Nana-chan?
context: B-But... I don't know where to look.\Don't worry, Takahashi.\Just think of it like you're at the beach.\This is the beach.\You're on the sandy dunes.\I'm in swimming trunks.\There's nothing to be afraid of.\Now, why don't you change into your bikini, Nana-chan? response:	Crap! I laughed!
context: Don't worry, Takahashi.\Just think of it like you're at the beach.\This is the beach.\You're on the sandy dunes.\I'm in swimming trunks.\There's nothing to be afraid of.\Now, why don't you change into your bikini, Nana-chan?\Crap! I laughed! response:	But... I see.
context: Just think of it like you're at the beach.\This is the beach.\You're on the sandy dunes.\I'm in swimming trunks.\There's nothing to be afraid of.\Now, why don't you change into your bikini, Nana-chan?\Crap! I laughed!\But... I see. response:	This is the beach.
context: This is the beach.\You're on the sandy dunes.\I'm in swimming trunks.\There's nothing to be afraid of.\Now, why don't you change into your bikini, Nana-chan?\Crap! I laughed!\But... I see.\This is the beach. response:	The beach.
context: You're on the sandy dunes.\I'm in swimming trunks.\There's nothing to be afraid of.\Now, why don't you change into your bikini, Nana-chan?\Crap! I laughed!\But... I see.\This is the beach.\The beach. response:	The beach!
context: I'm in swimming trunks.\There's nothing to be afraid of.\Now, why don't you change into your bikini, Nana-chan?\Crap! I laughed!\But... I see.\This is the beach.\The beach.\The beach! response:	If you're scared, we can stop here.
context: There's nothing to be afraid of.\Now, why don't you change into your bikini, Nana-chan?\Crap! I laughed!\But... I see.\This is the beach.\The beach.\The beach!\If you're scared, we can stop here. response:	I don't want to make you regret this.
context: Now, why don't you change into your bikini, Nana-chan?\Crap! I laughed!\But... I see.\This is the beach.\The beach.\The beach!\If you're scared, we can stop here.\I don't want to make you regret this. response:	Takahashi, I want to do something that will make us both happy.
context: Crap! I laughed!\But... I see.\This is the beach.\The beach.\The beach!\If you're scared, we can stop here.\I don't want to make you regret this.\Takahashi, I want to do something that will make us both happy. response:	Didn't I tell you?
context: But... I see.\This is the beach.\The beach.\The beach!\If you're scared, we can stop here.\I don't want to make you regret this.\Takahashi, I want to do something that will make us both happy.\Didn't I tell you? response:	I don't just want your body.
context: This is the beach.\The beach.\The beach!\If you're scared, we can stop here.\I don't want to make you regret this.\Takahashi, I want to do something that will make us both happy.\Didn't I tell you?\I don't just want your body. response:	If you feel like you're pushing yourself even a little, then it's wrong.
context: The beach.\The beach!\If you're scared, we can stop here.\I don't want to make you regret this.\Takahashi, I want to do something that will make us both happy.\Didn't I tell you?\I don't just want your body.\If you feel like you're pushing yourself even a little, then it's wrong. response:	Don't make a mistake.
context: The beach!\If you're scared, we can stop here.\I don't want to make you regret this.\Takahashi, I want to do something that will make us both happy.\Didn't I tell you?\I don't just want your body.\If you feel like you're pushing yourself even a little, then it's wrong.\Don't make a mistake. response:	I want love.
context: If you're scared, we can stop here.\I don't want to make you regret this.\Takahashi, I want to do something that will make us both happy.\Didn't I tell you?\I don't just want your body.\If you feel like you're pushing yourself even a little, then it's wrong.\Don't make a mistake.\I want love. response:	I know... I'm not making a mistake.
context: I don't want to make you regret this.\Takahashi, I want to do something that will make us both happy.\Didn't I tell you?\I don't just want your body.\If you feel like you're pushing yourself even a little, then it's wrong.\Don't make a mistake.\I want love.\I know... I'm not making a mistake. response:	Please make me your own.
context: Takahashi, I want to do something that will make us both happy.\Didn't I tell you?\I don't just want your body.\If you feel like you're pushing yourself even a little, then it's wrong.\Don't make a mistake.\I want love.\I know... I'm not making a mistake.\Please make me your own. response:	Hurry!
context: Didn't I tell you?\I don't just want your body.\If you feel like you're pushing yourself even a little, then it's wrong.\Don't make a mistake.\I want love.\I know... I'm not making a mistake.\Please make me your own.\Hurry! response:	Hurry...
context: I don't just want your body.\If you feel like you're pushing yourself even a little, then it's wrong.\Don't make a mistake.\I want love.\I know... I'm not making a mistake.\Please make me your own.\Hurry!\Hurry... response:	Hurry...
context: If you feel like you're pushing yourself even a little, then it's wrong.\Don't make a mistake.\I want love.\I know... I'm not making a mistake.\Please make me your own.\Hurry!\Hurry...\Hurry... response:	This is bad... even I'm starting to get nervous.
context: Don't make a mistake.\I want love.\I know... I'm not making a mistake.\Please make me your own.\Hurry!\Hurry...\Hurry...\This is bad... even I'm starting to get nervous. response:	I see... so even guys get nervous.
context: I want love.\I know... I'm not making a mistake.\Please make me your own.\Hurry!\Hurry...\Hurry...\This is bad... even I'm starting to get nervous.\I see... so even guys get nervous. response:	I see...
context: I know... I'm not making a mistake.\Please make me your own.\Hurry!\Hurry...\Hurry...\This is bad... even I'm starting to get nervous.\I see... so even guys get nervous.\I see... response:	Well... without holding back...
context: Please make me your own.\Hurry!\Hurry...\Hurry...\This is bad... even I'm starting to get nervous.\I see... so even guys get nervous.\I see...\Well... without holding back... response:	Huh? My Japanese is weird.
context: Hurry!\Hurry...\Hurry...\This is bad... even I'm starting to get nervous.\I see... so even guys get nervous.\I see...\Well... without holding back...\Huh? My Japanese is weird. response:	I'll have you.
context: Hurry...\Hurry...\This is bad... even I'm starting to get nervous.\I see... so even guys get nervous.\I see...\Well... without holding back...\Huh? My Japanese is weird.\I'll have you. response:	Well, whatever.
context: Hurry...\This is bad... even I'm starting to get nervous.\I see... so even guys get nervous.\I see...\Well... without holding back...\Huh? My Japanese is weird.\I'll have you.\Well, whatever. response:	If it hurts, please raise your right hand.
context: This is bad... even I'm starting to get nervous.\I see... so even guys get nervous.\I see...\Well... without holding back...\Huh? My Japanese is weird.\I'll have you.\Well, whatever.\If it hurts, please raise your right hand. response:	Are you a dentist or something?
context: I see... so even guys get nervous.\I see...\Well... without holding back...\Huh? My Japanese is weird.\I'll have you.\Well, whatever.\If it hurts, please raise your right hand.\Are you a dentist or something? response:	I won't regret this at all.
context: I see...\Well... without holding back...\Huh? My Japanese is weird.\I'll have you.\Well, whatever.\If it hurts, please raise your right hand.\Are you a dentist or something?\I won't regret this at all. response:	There's no way I will.
context: Well... without holding back...\Huh? My Japanese is weird.\I'll have you.\Well, whatever.\If it hurts, please raise your right hand.\Are you a dentist or something?\I won't regret this at all.\There's no way I will. response:	Mom, Dad... I'm sorry.
context: Huh? My Japanese is weird.\I'll have you.\Well, whatever.\If it hurts, please raise your right hand.\Are you a dentist or something?\I won't regret this at all.\There's no way I will.\Mom, Dad... I'm sorry. response:	I have someone I want to devote everything to.
context: I'll have you.\Well, whatever.\If it hurts, please raise your right hand.\Are you a dentist or something?\I won't regret this at all.\There's no way I will.\Mom, Dad... I'm sorry.\I have someone I want to devote everything to. response:	Everything...
context: Well, whatever.\If it hurts, please raise your right hand.\Are you a dentist or something?\I won't regret this at all.\There's no way I will.\Mom, Dad... I'm sorry.\I have someone I want to devote everything to.\Everything... response:	Encountering him must have been destiny.
context: If it hurts, please raise your right hand.\Are you a dentist or something?\I won't regret this at all.\There's no way I will.\Mom, Dad... I'm sorry.\I have someone I want to devote everything to.\Everything...\Encountering him must have been destiny. response:	And if anyone says differently, I won't believe in destiny at all.
context: Are you a dentist or something?\I won't regret this at all.\There's no way I will.\Mom, Dad... I'm sorry.\I have someone I want to devote everything to.\Everything...\Encountering him must have been destiny.\And if anyone says differently, I won't believe in destiny at all. response:	But even despite that, I wonder if I've been dreaming?
context: I won't regret this at all.\There's no way I will.\Mom, Dad... I'm sorry.\I have someone I want to devote everything to.\Everything...\Encountering him must have been destiny.\And if anyone says differently, I won't believe in destiny at all.\But even despite that, I wonder if I've been dreaming? response:	Ever since that day...
context: There's no way I will.\Mom, Dad... I'm sorry.\I have someone I want to devote everything to.\Everything...\Encountering him must have been destiny.\And if anyone says differently, I won't believe in destiny at all.\But even despite that, I wonder if I've been dreaming?\Ever since that day... response:	Or is this all just a dream that seems so realistic?
context: Mom, Dad... I'm sorry.\I have someone I want to devote everything to.\Everything...\Encountering him must have been destiny.\And if anyone says differently, I won't believe in destiny at all.\But even despite that, I wonder if I've been dreaming?\Ever since that day...\Or is this all just a dream that seems so realistic? response:	A dream?
context: I have someone I want to devote everything to.\Everything...\Encountering him must have been destiny.\And if anyone says differently, I won't believe in destiny at all.\But even despite that, I wonder if I've been dreaming?\Ever since that day...\Or is this all just a dream that seems so realistic?\A dream? response:	Ah, it's Yano.
context: Everything...\Encountering him must have been destiny.\And if anyone says differently, I won't believe in destiny at all.\But even despite that, I wonder if I've been dreaming?\Ever since that day...\Or is this all just a dream that seems so realistic?\A dream?\Ah, it's Yano. response:	Huh? Why's he wearing a happi coat?
context: Encountering him must have been destiny.\And if anyone says differently, I won't believe in destiny at all.\But even despite that, I wonder if I've been dreaming?\Ever since that day...\Or is this all just a dream that seems so realistic?\A dream?\Ah, it's Yano.\Huh? Why's he wearing a happi coat? response:	A happy dream? What's that?
context: And if anyone says differently, I won't believe in destiny at all.\But even despite that, I wonder if I've been dreaming?\Ever since that day...\Or is this all just a dream that seems so realistic?\A dream?\Ah, it's Yano.\Huh? Why's he wearing a happi coat?\A happy dream? What's that? response:	Huh? He was talking about something else when he wore the happi coat...
context: But even despite that, I wonder if I've been dreaming?\Ever since that day...\Or is this all just a dream that seems so realistic?\A dream?\Ah, it's Yano.\Huh? Why's he wearing a happi coat?\A happy dream? What's that?\Huh? He was talking about something else when he wore the happi coat... response:	The words they say at weddings sure are nice, huh?
context: Ever since that day...\Or is this all just a dream that seems so realistic?\A dream?\Ah, it's Yano.\Huh? Why's he wearing a happi coat?\A happy dream? What's that?\Huh? He was talking about something else when he wore the happi coat...\The words they say at weddings sure are nice, huh? response:	Yeah, yeah.
context: Or is this all just a dream that seems so realistic?\A dream?\Ah, it's Yano.\Huh? Why's he wearing a happi coat?\A happy dream? What's that?\Huh? He was talking about something else when he wore the happi coat...\The words they say at weddings sure are nice, huh?\Yeah, yeah. response:	For a Christmas present... give me a promise.
context: A dream?\Ah, it's Yano.\Huh? Why's he wearing a happi coat?\A happy dream? What's that?\Huh? He was talking about something else when he wore the happi coat...\The words they say at weddings sure are nice, huh?\Yeah, yeah.\For a Christmas present... give me a promise. response:	Not that, Yano...
context: Ah, it's Yano.\Huh? Why's he wearing a happi coat?\A happy dream? What's that?\Huh? He was talking about something else when he wore the happi coat...\The words they say at weddings sure are nice, huh?\Yeah, yeah.\For a Christmas present... give me a promise.\Not that, Yano... response:	Is this all just a dream?
context: Huh? Why's he wearing a happi coat?\A happy dream? What's that?\Huh? He was talking about something else when he wore the happi coat...\The words they say at weddings sure are nice, huh?\Yeah, yeah.\For a Christmas present... give me a promise.\Not that, Yano...\Is this all just a dream? response:	Or is this reali-
context: A happy dream? What's that?\Huh? He was talking about something else when he wore the happi coat...\The words they say at weddings sure are nice, huh?\Yeah, yeah.\For a Christmas present... give me a promise.\Not that, Yano...\Is this all just a dream?\Or is this reali- response:	Ow!
context: Huh? He was talking about something else when he wore the happi coat...\The words they say at weddings sure are nice, huh?\Yeah, yeah.\For a Christmas present... give me a promise.\Not that, Yano...\Is this all just a dream?\Or is this reali-\Ow! response:	It's reality!
context: The words they say at weddings sure are nice, huh?\Yeah, yeah.\For a Christmas present... give me a promise.\Not that, Yano...\Is this all just a dream?\Or is this reali-\Ow!\It's reality! response:	It's reality!
context: Yeah, yeah.\For a Christmas present... give me a promise.\Not that, Yano...\Is this all just a dream?\Or is this reali-\Ow!\It's reality!\It's reality! response:	It's reality! Thank goodness!
context: For a Christmas present... give me a promise.\Not that, Yano...\Is this all just a dream?\Or is this reali-\Ow!\It's reality!\It's reality!\It's reality! Thank goodness! response:	But... it hurts!
context: Not that, Yano...\Is this all just a dream?\Or is this reali-\Ow!\It's reality!\It's reality!\It's reality! Thank goodness!\But... it hurts! response:	I think this sorta hurts, Yano!
context: Is this all just a dream?\Or is this reali-\Ow!\It's reality!\It's reality!\It's reality! Thank goodness!\But... it hurts!\I think this sorta hurts, Yano! response:	Right hand, right hand!
context: Or is this reali-\Ow!\It's reality!\It's reality!\It's reality! Thank goodness!\But... it hurts!\I think this sorta hurts, Yano!\Right hand, right hand! response:	Ah, yeah. Sorry, Takahashi.
context: Ow!\It's reality!\It's reality!\It's reality! Thank goodness!\But... it hurts!\I think this sorta hurts, Yano!\Right hand, right hand!\Ah, yeah. Sorry, Takahashi. response:	Just stick with it for now!
context: It's reality!\It's reality!\It's reality! Thank goodness!\But... it hurts!\I think this sorta hurts, Yano!\Right hand, right hand!\Ah, yeah. Sorry, Takahashi.\Just stick with it for now! response:	Sorry.
context: It's reality!\It's reality! Thank goodness!\But... it hurts!\I think this sorta hurts, Yano!\Right hand, right hand!\Ah, yeah. Sorry, Takahashi.\Just stick with it for now!\Sorry. response:	Think of something else right now!
context: It's reality! Thank goodness!\But... it hurts!\I think this sorta hurts, Yano!\Right hand, right hand!\Ah, yeah. Sorry, Takahashi.\Just stick with it for now!\Sorry.\Think of something else right now! response:	How?!
context: But... it hurts!\I think this sorta hurts, Yano!\Right hand, right hand!\Ah, yeah. Sorry, Takahashi.\Just stick with it for now!\Sorry.\Think of something else right now!\How?! response:	Think of something fun.
context: I think this sorta hurts, Yano!\Right hand, right hand!\Ah, yeah. Sorry, Takahashi.\Just stick with it for now!\Sorry.\Think of something else right now!\How?!\Think of something fun. response:	Like what?!
context: Right hand, right hand!\Ah, yeah. Sorry, Takahashi.\Just stick with it for now!\Sorry.\Think of something else right now!\How?!\Think of something fun.\Like what?! response:	Umm... like you're cramming your mouth full of those steamed meat buns you love so much.
context: Ah, yeah. Sorry, Takahashi.\Just stick with it for now!\Sorry.\Think of something else right now!\How?!\Think of something fun.\Like what?!\Umm... like you're cramming your mouth full of those steamed meat buns you love so much. response:	Yeah, something full of happiness like that!
context: Just stick with it for now!\Sorry.\Think of something else right now!\How?!\Think of something fun.\Like what?!\Umm... like you're cramming your mouth full of those steamed meat buns you love so much.\Yeah, something full of happiness like that! response:	What's up with that?!
context: Sorry.\Think of something else right now!\How?!\Think of something fun.\Like what?!\Umm... like you're cramming your mouth full of those steamed meat buns you love so much.\Yeah, something full of happiness like that!\What's up with that?! response:	Your mom's back!
context: Think of something else right now!\How?!\Think of something fun.\Like what?!\Umm... like you're cramming your mouth full of those steamed meat buns you love so much.\Yeah, something full of happiness like that!\What's up with that?!\Your mom's back! response:	Crap! Get dressed! Get dressed!
context: How?!\Think of something fun.\Like what?!\Umm... like you're cramming your mouth full of those steamed meat buns you love so much.\Yeah, something full of happiness like that!\What's up with that?!\Your mom's back!\Crap! Get dressed! Get dressed! response:	Our study stuff is downstairs!
context: Think of something fun.\Like what?!\Umm... like you're cramming your mouth full of those steamed meat buns you love so much.\Yeah, something full of happiness like that!\What's up with that?!\Your mom's back!\Crap! Get dressed! Get dressed!\Our study stuff is downstairs! response:	I'll bring it with me, so sneak out of the house!
context: Like what?!\Umm... like you're cramming your mouth full of those steamed meat buns you love so much.\Yeah, something full of happiness like that!\What's up with that?!\Your mom's back!\Crap! Get dressed! Get dressed!\Our study stuff is downstairs!\I'll bring it with me, so sneak out of the house! response:	Ah! She must've seen my shoes!
context: Umm... like you're cramming your mouth full of those steamed meat buns you love so much.\Yeah, something full of happiness like that!\What's up with that?!\Your mom's back!\Crap! Get dressed! Get dressed!\Our study stuff is downstairs!\I'll bring it with me, so sneak out of the house!\Ah! She must've seen my shoes! response:	Hurry!
context: Yeah, something full of happiness like that!\What's up with that?!\Your mom's back!\Crap! Get dressed! Get dressed!\Our study stuff is downstairs!\I'll bring it with me, so sneak out of the house!\Ah! She must've seen my shoes!\Hurry! response:	I can never show my face in front of your mom ever again...
context: What's up with that?!\Your mom's back!\Crap! Get dressed! Get dressed!\Our study stuff is downstairs!\I'll bring it with me, so sneak out of the house!\Ah! She must've seen my shoes!\Hurry!\I can never show my face in front of your mom ever again... response:	Don't worry about it.
context: Your mom's back!\Crap! Get dressed! Get dressed!\Our study stuff is downstairs!\I'll bring it with me, so sneak out of the house!\Ah! She must've seen my shoes!\Hurry!\I can never show my face in front of your mom ever again...\Don't worry about it. response:	Shouldn't something else be bugging you more?
context: Crap! Get dressed! Get dressed!\Our study stuff is downstairs!\I'll bring it with me, so sneak out of the house!\Ah! She must've seen my shoes!\Hurry!\I can never show my face in front of your mom ever again...\Don't worry about it.\Shouldn't something else be bugging you more? response:	After all, her coming home was the worst punch line ever...
context: Our study stuff is downstairs!\I'll bring it with me, so sneak out of the house!\Ah! She must've seen my shoes!\Hurry!\I can never show my face in front of your mom ever again...\Don't worry about it.\Shouldn't something else be bugging you more?\After all, her coming home was the worst punch line ever... response:	Yeah, I guess so...
