context: People do not live for the sake of clothing! response:	Satsuki Kiryuin is rising up to overthrow Life Fibers!
context: You high school student scum...\You'd do well to not underestimate them.\Every last student here has been trained as a warrior to fight you\no, to fight Life Fibers!\Behold the power of Honnouji Academy!\Oh, so this was her plan...\I'm impressed, Satsuki! Good one!\I'm the one you're to face. response:	Blade Regalia MKIII!
context: You'd do well to not underestimate them.\Every last student here has been trained as a warrior to fight you\no, to fight Life Fibers!\Behold the power of Honnouji Academy!\Oh, so this was her plan...\I'm impressed, Satsuki! Good one!\I'm the one you're to face.\Blade Regalia MKIII! response:	THREE-STAR GOKU UNIFORM BLADE REGALIA MKIII
context: Every last student here has been trained as a warrior to fight you\no, to fight Life Fibers!\Behold the power of Honnouji Academy!\Oh, so this was her plan...\I'm impressed, Satsuki! Good one!\I'm the one you're to face.\Blade Regalia MKIII!\THREE-STAR GOKU UNIFORM BLADE REGALIA MKIII response:	I'm sorry, do I know you?
context: no, to fight Life Fibers!\Behold the power of Honnouji Academy!\Oh, so this was her plan...\I'm impressed, Satsuki! Good one!\I'm the one you're to face.\Blade Regalia MKIII!\THREE-STAR GOKU UNIFORM BLADE REGALIA MKIII\I'm sorry, do I know you? response:	Uzu Sanageyama of the Honnouji Academy Elite Four!
context: Behold the power of Honnouji Academy!\Oh, so this was her plan...\I'm impressed, Satsuki! Good one!\I'm the one you're to face.\Blade Regalia MKIII!\THREE-STAR GOKU UNIFORM BLADE REGALIA MKIII\I'm sorry, do I know you?\Uzu Sanageyama of the Honnouji Academy Elite Four! response:	I'm going to get payback for what you did to me!
context: Oh, so this was her plan...\I'm impressed, Satsuki! Good one!\I'm the one you're to face.\Blade Regalia MKIII!\THREE-STAR GOKU UNIFORM BLADE REGALIA MKIII\I'm sorry, do I know you?\Uzu Sanageyama of the Honnouji Academy Elite Four!\I'm going to get payback for what you did to me! response:	EPISODE 18 INTO THE NIGHT
context: I'm impressed, Satsuki! Good one!\I'm the one you're to face.\Blade Regalia MKIII!\THREE-STAR GOKU UNIFORM BLADE REGALIA MKIII\I'm sorry, do I know you?\Uzu Sanageyama of the Honnouji Academy Elite Four!\I'm going to get payback for what you did to me!\EPISODE 18 INTO THE NIGHT response:	Satsuki's taking out her mother?
context: I'm the one you're to face.\Blade Regalia MKIII!\THREE-STAR GOKU UNIFORM BLADE REGALIA MKIII\I'm sorry, do I know you?\Uzu Sanageyama of the Honnouji Academy Elite Four!\I'm going to get payback for what you did to me!\EPISODE 18 INTO THE NIGHT\Satsuki's taking out her mother? response:	So, this means her goal is the same as ours?
context: Blade Regalia MKIII!\THREE-STAR GOKU UNIFORM BLADE REGALIA MKIII\I'm sorry, do I know you?\Uzu Sanageyama of the Honnouji Academy Elite Four!\I'm going to get payback for what you did to me!\EPISODE 18 INTO THE NIGHT\Satsuki's taking out her mother?\So, this means her goal is the same as ours? response:	What the hell is going on?!
context: THREE-STAR GOKU UNIFORM BLADE REGALIA MKIII\I'm sorry, do I know you?\Uzu Sanageyama of the Honnouji Academy Elite Four!\I'm going to get payback for what you did to me!\EPISODE 18 INTO THE NIGHT\Satsuki's taking out her mother?\So, this means her goal is the same as ours?\What the hell is going on?! response:	I don't know, this is out of the blue for me, too.
context: I'm sorry, do I know you?\Uzu Sanageyama of the Honnouji Academy Elite Four!\I'm going to get payback for what you did to me!\EPISODE 18 INTO THE NIGHT\Satsuki's taking out her mother?\So, this means her goal is the same as ours?\What the hell is going on?!\I don't know, this is out of the blue for me, too. response:	Matoi. Lady Satsuki intended from the very beginning to fight the Life Fibers.
context: Uzu Sanageyama of the Honnouji Academy Elite Four!\I'm going to get payback for what you did to me!\EPISODE 18 INTO THE NIGHT\Satsuki's taking out her mother?\So, this means her goal is the same as ours?\What the hell is going on?!\I don't know, this is out of the blue for me, too.\Matoi. Lady Satsuki intended from the very beginning to fight the Life Fibers. response:	But to deceive Director Ragyo,
context: I'm going to get payback for what you did to me!\EPISODE 18 INTO THE NIGHT\Satsuki's taking out her mother?\So, this means her goal is the same as ours?\What the hell is going on?!\I don't know, this is out of the blue for me, too.\Matoi. Lady Satsuki intended from the very beginning to fight the Life Fibers.\But to deceive Director Ragyo, response:	she could not allow her true intentions to show in the slightest.
context: EPISODE 18 INTO THE NIGHT\Satsuki's taking out her mother?\So, this means her goal is the same as ours?\What the hell is going on?!\I don't know, this is out of the blue for me, too.\Matoi. Lady Satsuki intended from the very beginning to fight the Life Fibers.\But to deceive Director Ragyo,\she could not allow her true intentions to show in the slightest. response:	Then what the hell was you guys fighting
context: Satsuki's taking out her mother?\So, this means her goal is the same as ours?\What the hell is going on?!\I don't know, this is out of the blue for me, too.\Matoi. Lady Satsuki intended from the very beginning to fight the Life Fibers.\But to deceive Director Ragyo,\she could not allow her true intentions to show in the slightest.\Then what the hell was you guys fighting response:	me and Nudist Beach all about?!
context: So, this means her goal is the same as ours?\What the hell is going on?!\I don't know, this is out of the blue for me, too.\Matoi. Lady Satsuki intended from the very beginning to fight the Life Fibers.\But to deceive Director Ragyo,\she could not allow her true intentions to show in the slightest.\Then what the hell was you guys fighting\me and Nudist Beach all about?! response:	I have no need for half-baked allies.
context: What the hell is going on?!\I don't know, this is out of the blue for me, too.\Matoi. Lady Satsuki intended from the very beginning to fight the Life Fibers.\But to deceive Director Ragyo,\she could not allow her true intentions to show in the slightest.\Then what the hell was you guys fighting\me and Nudist Beach all about?!\I have no need for half-baked allies. response:	If my forces could defeat you,
context: I don't know, this is out of the blue for me, too.\Matoi. Lady Satsuki intended from the very beginning to fight the Life Fibers.\But to deceive Director Ragyo,\she could not allow her true intentions to show in the slightest.\Then what the hell was you guys fighting\me and Nudist Beach all about?!\I have no need for half-baked allies.\If my forces could defeat you, response:	you couldn't possibly win the war against Life Fibers.
context: Matoi. Lady Satsuki intended from the very beginning to fight the Life Fibers.\But to deceive Director Ragyo,\she could not allow her true intentions to show in the slightest.\Then what the hell was you guys fighting\me and Nudist Beach all about?!\I have no need for half-baked allies.\If my forces could defeat you,\you couldn't possibly win the war against Life Fibers. response:	Say what?!
context: But to deceive Director Ragyo,\she could not allow her true intentions to show in the slightest.\Then what the hell was you guys fighting\me and Nudist Beach all about?!\I have no need for half-baked allies.\If my forces could defeat you,\you couldn't possibly win the war against Life Fibers.\Say what?! response:	If you won't like my way, I will fight you afterward.
context: she could not allow her true intentions to show in the slightest.\Then what the hell was you guys fighting\me and Nudist Beach all about?!\I have no need for half-baked allies.\If my forces could defeat you,\you couldn't possibly win the war against Life Fibers.\Say what?!\If you won't like my way, I will fight you afterward. response:	But if your ambition is to protect humanity's freedom,
context: Then what the hell was you guys fighting\me and Nudist Beach all about?!\I have no need for half-baked allies.\If my forces could defeat you,\you couldn't possibly win the war against Life Fibers.\Say what?!\If you won't like my way, I will fight you afterward.\But if your ambition is to protect humanity's freedom, response:	fight now with every ounce of your strength!
context: me and Nudist Beach all about?!\I have no need for half-baked allies.\If my forces could defeat you,\you couldn't possibly win the war against Life Fibers.\Say what?!\If you won't like my way, I will fight you afterward.\But if your ambition is to protect humanity's freedom,\fight now with every ounce of your strength! response:	Your ambition is impressive.
context: I have no need for half-baked allies.\If my forces could defeat you,\you couldn't possibly win the war against Life Fibers.\Say what?!\If you won't like my way, I will fight you afterward.\But if your ambition is to protect humanity's freedom,\fight now with every ounce of your strength!\Your ambition is impressive. response:	You have no qualms about literally stabbing your mother in the back?
context: If my forces could defeat you,\you couldn't possibly win the war against Life Fibers.\Say what?!\If you won't like my way, I will fight you afterward.\But if your ambition is to protect humanity's freedom,\fight now with every ounce of your strength!\Your ambition is impressive.\You have no qualms about literally stabbing your mother in the back? response:	Of course not!
context: you couldn't possibly win the war against Life Fibers.\Say what?!\If you won't like my way, I will fight you afterward.\But if your ambition is to protect humanity's freedom,\fight now with every ounce of your strength!\Your ambition is impressive.\You have no qualms about literally stabbing your mother in the back?\Of course not! response:	I'll use any means necessary to defeat a monster like you!
context: Say what?!\If you won't like my way, I will fight you afterward.\But if your ambition is to protect humanity's freedom,\fight now with every ounce of your strength!\Your ambition is impressive.\You have no qualms about literally stabbing your mother in the back?\Of course not!\I'll use any means necessary to defeat a monster like you! response:	You call your own mother a monster?
context: If you won't like my way, I will fight you afterward.\But if your ambition is to protect humanity's freedom,\fight now with every ounce of your strength!\Your ambition is impressive.\You have no qualms about literally stabbing your mother in the back?\Of course not!\I'll use any means necessary to defeat a monster like you!\You call your own mother a monster? response:	A woman who is unfazed by being
context: But if your ambition is to protect humanity's freedom,\fight now with every ounce of your strength!\Your ambition is impressive.\You have no qualms about literally stabbing your mother in the back?\Of course not!\I'll use any means necessary to defeat a monster like you!\You call your own mother a monster?\A woman who is unfazed by being response:	stabbed through the heart shouldn't be saying that.
context: fight now with every ounce of your strength!\Your ambition is impressive.\You have no qualms about literally stabbing your mother in the back?\Of course not!\I'll use any means necessary to defeat a monster like you!\You call your own mother a monster?\A woman who is unfazed by being\stabbed through the heart shouldn't be saying that. response:	You monster that merged with Life Fibers and forsook her humanity!
context: Your ambition is impressive.\You have no qualms about literally stabbing your mother in the back?\Of course not!\I'll use any means necessary to defeat a monster like you!\You call your own mother a monster?\A woman who is unfazed by being\stabbed through the heart shouldn't be saying that.\You monster that merged with Life Fibers and forsook her humanity! response:	I am no monster. I am merely a being...
context: You have no qualms about literally stabbing your mother in the back?\Of course not!\I'll use any means necessary to defeat a monster like you!\You call your own mother a monster?\A woman who is unfazed by being\stabbed through the heart shouldn't be saying that.\You monster that merged with Life Fibers and forsook her humanity!\I am no monster. I am merely a being... response:	who has come closer to the truth.
context: Of course not!\I'll use any means necessary to defeat a monster like you!\You call your own mother a monster?\A woman who is unfazed by being\stabbed through the heart shouldn't be saying that.\You monster that merged with Life Fibers and forsook her humanity!\I am no monster. I am merely a being...\who has come closer to the truth. response:	What the hell?
context: I'll use any means necessary to defeat a monster like you!\You call your own mother a monster?\A woman who is unfazed by being\stabbed through the heart shouldn't be saying that.\You monster that merged with Life Fibers and forsook her humanity!\I am no monster. I am merely a being...\who has come closer to the truth.\What the hell? response:	What an amazingly durable person!
context: You call your own mother a monster?\A woman who is unfazed by being\stabbed through the heart shouldn't be saying that.\You monster that merged with Life Fibers and forsook her humanity!\I am no monster. I am merely a being...\who has come closer to the truth.\What the hell?\What an amazingly durable person! response:	A freak, more like.
context: A woman who is unfazed by being\stabbed through the heart shouldn't be saying that.\You monster that merged with Life Fibers and forsook her humanity!\I am no monster. I am merely a being...\who has come closer to the truth.\What the hell?\What an amazingly durable person!\A freak, more like. response:	This is the true nature of Life Fibers!
context: stabbed through the heart shouldn't be saying that.\You monster that merged with Life Fibers and forsook her humanity!\I am no monster. I am merely a being...\who has come closer to the truth.\What the hell?\What an amazingly durable person!\A freak, more like.\This is the true nature of Life Fibers! response:	Everyone who saw this battle, burn your REVOCS clothing!
context: You monster that merged with Life Fibers and forsook her humanity!\I am no monster. I am merely a being...\who has come closer to the truth.\What the hell?\What an amazingly durable person!\A freak, more like.\This is the true nature of Life Fibers!\Everyone who saw this battle, burn your REVOCS clothing! response:	It is for the cause of human freedom!
context: I am no monster. I am merely a being...\who has come closer to the truth.\What the hell?\What an amazingly durable person!\A freak, more like.\This is the true nature of Life Fibers!\Everyone who saw this battle, burn your REVOCS clothing!\It is for the cause of human freedom! response:	Payback? Did I lend you something?
context: who has come closer to the truth.\What the hell?\What an amazingly durable person!\A freak, more like.\This is the true nature of Life Fibers!\Everyone who saw this battle, burn your REVOCS clothing!\It is for the cause of human freedom!\Payback? Did I lend you something? response:	You've forgotten your sneak attack on me during the Naturals Election?
context: What the hell?\What an amazingly durable person!\A freak, more like.\This is the true nature of Life Fibers!\Everyone who saw this battle, burn your REVOCS clothing!\It is for the cause of human freedom!\Payback? Did I lend you something?\You've forgotten your sneak attack on me during the Naturals Election? response:	Sorry!
context: What an amazingly durable person!\A freak, more like.\This is the true nature of Life Fibers!\Everyone who saw this battle, burn your REVOCS clothing!\It is for the cause of human freedom!\Payback? Did I lend you something?\You've forgotten your sneak attack on me during the Naturals Election?\Sorry! response:	When a girl changes her underwear,
context: A freak, more like.\This is the true nature of Life Fibers!\Everyone who saw this battle, burn your REVOCS clothing!\It is for the cause of human freedom!\Payback? Did I lend you something?\You've forgotten your sneak attack on me during the Naturals Election?\Sorry!\When a girl changes her underwear, response:	she forgets the past, too!
context: This is the true nature of Life Fibers!\Everyone who saw this battle, burn your REVOCS clothing!\It is for the cause of human freedom!\Payback? Did I lend you something?\You've forgotten your sneak attack on me during the Naturals Election?\Sorry!\When a girl changes her underwear,\she forgets the past, too! response:	You think a little ol' wardrobe change will let you beat me
context: Everyone who saw this battle, burn your REVOCS clothing!\It is for the cause of human freedom!\Payback? Did I lend you something?\You've forgotten your sneak attack on me during the Naturals Election?\Sorry!\When a girl changes her underwear,\she forgets the past, too!\You think a little ol' wardrobe change will let you beat me response:	Yes, I do!
context: It is for the cause of human freedom!\Payback? Did I lend you something?\You've forgotten your sneak attack on me during the Naturals Election?\Sorry!\When a girl changes her underwear,\she forgets the past, too!\You think a little ol' wardrobe change will let you beat me\Yes, I do! response:	Did you see that?
context: Payback? Did I lend you something?\You've forgotten your sneak attack on me during the Naturals Election?\Sorry!\When a girl changes her underwear,\she forgets the past, too!\You think a little ol' wardrobe change will let you beat me\Yes, I do!\Did you see that? response:	In exchange for my sight, my blade now travels faster than light!
context: You've forgotten your sneak attack on me during the Naturals Election?\Sorry!\When a girl changes her underwear,\she forgets the past, too!\You think a little ol' wardrobe change will let you beat me\Yes, I do!\Did you see that?\In exchange for my sight, my blade now travels faster than light! response:	There you go, exaggerating again...
context: Sorry!\When a girl changes her underwear,\she forgets the past, too!\You think a little ol' wardrobe change will let you beat me\Yes, I do!\Did you see that?\In exchange for my sight, my blade now travels faster than light!\There you go, exaggerating again... response:	THREE-STAR GOKU UNIFORM PROBE REGALIA MKII
context: When a girl changes her underwear,\she forgets the past, too!\You think a little ol' wardrobe change will let you beat me\Yes, I do!\Did you see that?\In exchange for my sight, my blade now travels faster than light!\There you go, exaggerating again...\THREE-STAR GOKU UNIFORM PROBE REGALIA MKII response:	It's impossible for a human to move faster than light.
context: she forgets the past, too!\You think a little ol' wardrobe change will let you beat me\Yes, I do!\Did you see that?\In exchange for my sight, my blade now travels faster than light!\There you go, exaggerating again...\THREE-STAR GOKU UNIFORM PROBE REGALIA MKII\It's impossible for a human to move faster than light. response:	However, it is possible to appear as if you are.
context: You think a little ol' wardrobe change will let you beat me\Yes, I do!\Did you see that?\In exchange for my sight, my blade now travels faster than light!\There you go, exaggerating again...\THREE-STAR GOKU UNIFORM PROBE REGALIA MKII\It's impossible for a human to move faster than light.\However, it is possible to appear as if you are. response:	If you fix your afterimages in place and use
context: Yes, I do!\Did you see that?\In exchange for my sight, my blade now travels faster than light!\There you go, exaggerating again...\THREE-STAR GOKU UNIFORM PROBE REGALIA MKII\It's impossible for a human to move faster than light.\However, it is possible to appear as if you are.\If you fix your afterimages in place and use response:	optical camouflage to hide your real location.
context: Did you see that?\In exchange for my sight, my blade now travels faster than light!\There you go, exaggerating again...\THREE-STAR GOKU UNIFORM PROBE REGALIA MKII\It's impossible for a human to move faster than light.\However, it is possible to appear as if you are.\If you fix your afterimages in place and use\optical camouflage to hide your real location. response:	Gosh, you stay hidden and use computers, talk about nerdy!
context: In exchange for my sight, my blade now travels faster than light!\There you go, exaggerating again...\THREE-STAR GOKU UNIFORM PROBE REGALIA MKII\It's impossible for a human to move faster than light.\However, it is possible to appear as if you are.\If you fix your afterimages in place and use\optical camouflage to hide your real location.\Gosh, you stay hidden and use computers, talk about nerdy! response:	That's so creepy!
context: There you go, exaggerating again...\THREE-STAR GOKU UNIFORM PROBE REGALIA MKII\It's impossible for a human to move faster than light.\However, it is possible to appear as if you are.\If you fix your afterimages in place and use\optical camouflage to hide your real location.\Gosh, you stay hidden and use computers, talk about nerdy!\That's so creepy! response:	That's enough of your flitting around!
context: THREE-STAR GOKU UNIFORM PROBE REGALIA MKII\It's impossible for a human to move faster than light.\However, it is possible to appear as if you are.\If you fix your afterimages in place and use\optical camouflage to hide your real location.\Gosh, you stay hidden and use computers, talk about nerdy!\That's so creepy!\That's enough of your flitting around! response:	Three against one, huh?
context: It's impossible for a human to move faster than light.\However, it is possible to appear as if you are.\If you fix your afterimages in place and use\optical camouflage to hide your real location.\Gosh, you stay hidden and use computers, talk about nerdy!\That's so creepy!\That's enough of your flitting around!\Three against one, huh? response:	No, like I told you, we're called the Elite Four because there's four of us!
context: However, it is possible to appear as if you are.\If you fix your afterimages in place and use\optical camouflage to hide your real location.\Gosh, you stay hidden and use computers, talk about nerdy!\That's so creepy!\That's enough of your flitting around!\Three against one, huh?\No, like I told you, we're called the Elite Four because there's four of us! response:	THREE-STAR GOKU UNIFORM SYMPHONY REGALIA MKII
context: If you fix your afterimages in place and use\optical camouflage to hide your real location.\Gosh, you stay hidden and use computers, talk about nerdy!\That's so creepy!\That's enough of your flitting around!\Three against one, huh?\No, like I told you, we're called the Elite Four because there's four of us!\THREE-STAR GOKU UNIFORM SYMPHONY REGALIA MKII response:	Nope, you never said that.
context: optical camouflage to hide your real location.\Gosh, you stay hidden and use computers, talk about nerdy!\That's so creepy!\That's enough of your flitting around!\Three against one, huh?\No, like I told you, we're called the Elite Four because there's four of us!\THREE-STAR GOKU UNIFORM SYMPHONY REGALIA MKII\Nope, you never said that. response:	Oops, I'm sorry.
context: Gosh, you stay hidden and use computers, talk about nerdy!\That's so creepy!\That's enough of your flitting around!\Three against one, huh?\No, like I told you, we're called the Elite Four because there's four of us!\THREE-STAR GOKU UNIFORM SYMPHONY REGALIA MKII\Nope, you never said that.\Oops, I'm sorry. response:	I must warn you, we never give up.
context: That's so creepy!\That's enough of your flitting around!\Three against one, huh?\No, like I told you, we're called the Elite Four because there's four of us!\THREE-STAR GOKU UNIFORM SYMPHONY REGALIA MKII\Nope, you never said that.\Oops, I'm sorry.\I must warn you, we never give up. response:	We'll never bow down before the likes of you!
context: That's enough of your flitting around!\Three against one, huh?\No, like I told you, we're called the Elite Four because there's four of us!\THREE-STAR GOKU UNIFORM SYMPHONY REGALIA MKII\Nope, you never said that.\Oops, I'm sorry.\I must warn you, we never give up.\We'll never bow down before the likes of you! response:	How annoying... When people say stuff like that,
context: Three against one, huh?\No, like I told you, we're called the Elite Four because there's four of us!\THREE-STAR GOKU UNIFORM SYMPHONY REGALIA MKII\Nope, you never said that.\Oops, I'm sorry.\I must warn you, we never give up.\We'll never bow down before the likes of you!\How annoying... When people say stuff like that, response:	it really pisses me off!
context: No, like I told you, we're called the Elite Four because there's four of us!\THREE-STAR GOKU UNIFORM SYMPHONY REGALIA MKII\Nope, you never said that.\Oops, I'm sorry.\I must warn you, we never give up.\We'll never bow down before the likes of you!\How annoying... When people say stuff like that,\it really pisses me off! response:	Dad! Mom!
context: THREE-STAR GOKU UNIFORM SYMPHONY REGALIA MKII\Nope, you never said that.\Oops, I'm sorry.\I must warn you, we never give up.\We'll never bow down before the likes of you!\How annoying... When people say stuff like that,\it really pisses me off!\Dad! Mom! response:	I'm home!
context: Nope, you never said that.\Oops, I'm sorry.\I must warn you, we never give up.\We'll never bow down before the likes of you!\How annoying... When people say stuff like that,\it really pisses me off!\Dad! Mom!\I'm home! response:	You're alive, my daughter?
context: Oops, I'm sorry.\I must warn you, we never give up.\We'll never bow down before the likes of you!\How annoying... When people say stuff like that,\it really pisses me off!\Dad! Mom!\I'm home!\You're alive, my daughter? response:	Yep!
context: I must warn you, we never give up.\We'll never bow down before the likes of you!\How annoying... When people say stuff like that,\it really pisses me off!\Dad! Mom!\I'm home!\You're alive, my daughter?\Yep! response:	I'm not about to die without handing out these souvenirs from Osaka!
context: We'll never bow down before the likes of you!\How annoying... When people say stuff like that,\it really pisses me off!\Dad! Mom!\I'm home!\You're alive, my daughter?\Yep!\I'm not about to die without handing out these souvenirs from Osaka! response:	That's my big sister! You know how it's done!
context: How annoying... When people say stuff like that,\it really pisses me off!\Dad! Mom!\I'm home!\You're alive, my daughter?\Yep!\I'm not about to die without handing out these souvenirs from Osaka!\That's my big sister! You know how it's done! response:	Let's eat!
context: it really pisses me off!\Dad! Mom!\I'm home!\You're alive, my daughter?\Yep!\I'm not about to die without handing out these souvenirs from Osaka!\That's my big sister! You know how it's done!\Let's eat! response:	What's the matter with you, Mankanshoku?!
context: Dad! Mom!\I'm home!\You're alive, my daughter?\Yep!\I'm not about to die without handing out these souvenirs from Osaka!\That's my big sister! You know how it's done!\Let's eat!\What's the matter with you, Mankanshoku?! response:	Matter? You mean Mata?
context: I'm home!\You're alive, my daughter?\Yep!\I'm not about to die without handing out these souvenirs from Osaka!\That's my big sister! You know how it's done!\Let's eat!\What's the matter with you, Mankanshoku?!\Matter? You mean Mata? response:	If you mean Mataro, that's me!
