context: Want to commit double suicide with me? response:	Just kidding... I just thought I'd say it.
context: I just think that Kousei will cheer up if he sees Kao-chan, so...\Well, I don't think it'll kill you to dial it up a little.\For whose sake are you studying against your will?\For whose sake did you choose a higher-ranked high school?\Choosing a high school near Okutsu Music College Affiliated High...\Who'd you do that for?\Oh! W-Well, you know! Kousei's totally helpless on his own, so...\If only you'd be that honest and tell him that yourself. response:	The truth is, I wish he wouldn't go at all.
context: Well, I don't think it'll kill you to dial it up a little.\For whose sake are you studying against your will?\For whose sake did you choose a higher-ranked high school?\Choosing a high school near Okutsu Music College Affiliated High...\Who'd you do that for?\Oh! W-Well, you know! Kousei's totally helpless on his own, so...\If only you'd be that honest and tell him that yourself.\The truth is, I wish he wouldn't go at all. response:	It makes me feel anxious, and I get frustrated. I feel like being snarky to him, too...
context: For whose sake are you studying against your will?\For whose sake did you choose a higher-ranked high school?\Choosing a high school near Okutsu Music College Affiliated High...\Who'd you do that for?\Oh! W-Well, you know! Kousei's totally helpless on his own, so...\If only you'd be that honest and tell him that yourself.\The truth is, I wish he wouldn't go at all.\It makes me feel anxious, and I get frustrated. I feel like being snarky to him, too... response:	When he said he wasn't going,
context: For whose sake did you choose a higher-ranked high school?\Choosing a high school near Okutsu Music College Affiliated High...\Who'd you do that for?\Oh! W-Well, you know! Kousei's totally helpless on his own, so...\If only you'd be that honest and tell him that yourself.\The truth is, I wish he wouldn't go at all.\It makes me feel anxious, and I get frustrated. I feel like being snarky to him, too...\When he said he wasn't going, response:	I know I felt relieved. And full of guilt.
context: Choosing a high school near Okutsu Music College Affiliated High...\Who'd you do that for?\Oh! W-Well, you know! Kousei's totally helpless on his own, so...\If only you'd be that honest and tell him that yourself.\The truth is, I wish he wouldn't go at all.\It makes me feel anxious, and I get frustrated. I feel like being snarky to him, too...\When he said he wasn't going,\I know I felt relieved. And full of guilt. response:	And since I don't want him to see me like that, I'm doing my darnedest to put on an act.
context: Who'd you do that for?\Oh! W-Well, you know! Kousei's totally helpless on his own, so...\If only you'd be that honest and tell him that yourself.\The truth is, I wish he wouldn't go at all.\It makes me feel anxious, and I get frustrated. I feel like being snarky to him, too...\When he said he wasn't going,\I know I felt relieved. And full of guilt.\And since I don't want him to see me like that, I'm doing my darnedest to put on an act. response:	Have I always been so horrible?
context: Oh! W-Well, you know! Kousei's totally helpless on his own, so...\If only you'd be that honest and tell him that yourself.\The truth is, I wish he wouldn't go at all.\It makes me feel anxious, and I get frustrated. I feel like being snarky to him, too...\When he said he wasn't going,\I know I felt relieved. And full of guilt.\And since I don't want him to see me like that, I'm doing my darnedest to put on an act.\Have I always been so horrible? response:	I'm discovering all these different sides of myself that I never knew I had...
context: If only you'd be that honest and tell him that yourself.\The truth is, I wish he wouldn't go at all.\It makes me feel anxious, and I get frustrated. I feel like being snarky to him, too...\When he said he wasn't going,\I know I felt relieved. And full of guilt.\And since I don't want him to see me like that, I'm doing my darnedest to put on an act.\Have I always been so horrible?\I'm discovering all these different sides of myself that I never knew I had... response:	Facing all these different sides of me.
context: The truth is, I wish he wouldn't go at all.\It makes me feel anxious, and I get frustrated. I feel like being snarky to him, too...\When he said he wasn't going,\I know I felt relieved. And full of guilt.\And since I don't want him to see me like that, I'm doing my darnedest to put on an act.\Have I always been so horrible?\I'm discovering all these different sides of myself that I never knew I had...\Facing all these different sides of me. response:	I guess that's also... What you call...
context: It makes me feel anxious, and I get frustrated. I feel like being snarky to him, too...\When he said he wasn't going,\I know I felt relieved. And full of guilt.\And since I don't want him to see me like that, I'm doing my darnedest to put on an act.\Have I always been so horrible?\I'm discovering all these different sides of myself that I never knew I had...\Facing all these different sides of me.\I guess that's also... What you call... response:	Your head is miles away. Let's call it a day. Go on home.
context: When he said he wasn't going,\I know I felt relieved. And full of guilt.\And since I don't want him to see me like that, I'm doing my darnedest to put on an act.\Have I always been so horrible?\I'm discovering all these different sides of myself that I never knew I had...\Facing all these different sides of me.\I guess that's also... What you call...\Your head is miles away. Let's call it a day. Go on home. response:	I'm sorry.
context: I know I felt relieved. And full of guilt.\And since I don't want him to see me like that, I'm doing my darnedest to put on an act.\Have I always been so horrible?\I'm discovering all these different sides of myself that I never knew I had...\Facing all these different sides of me.\I guess that's also... What you call...\Your head is miles away. Let's call it a day. Go on home.\I'm sorry. response:	Oh! Um, Seto-sensei, I have an emergency!
context: And since I don't want him to see me like that, I'm doing my darnedest to put on an act.\Have I always been so horrible?\I'm discovering all these different sides of myself that I never knew I had...\Facing all these different sides of me.\I guess that's also... What you call...\Your head is miles away. Let's call it a day. Go on home.\I'm sorry.\Oh! Um, Seto-sensei, I have an emergency! response:	Sorry! I'm counting on you, okay?
context: Have I always been so horrible?\I'm discovering all these different sides of myself that I never knew I had...\Facing all these different sides of me.\I guess that's also... What you call...\Your head is miles away. Let's call it a day. Go on home.\I'm sorry.\Oh! Um, Seto-sensei, I have an emergency!\Sorry! I'm counting on you, okay? response:	Totsuhara University Hospital - 890m
context: I'm discovering all these different sides of myself that I never knew I had...\Facing all these different sides of me.\I guess that's also... What you call...\Your head is miles away. Let's call it a day. Go on home.\I'm sorry.\Oh! Um, Seto-sensei, I have an emergency!\Sorry! I'm counting on you, okay?\Totsuhara University Hospital - 890m response:	Huh? Arima-sensei?
context: Facing all these different sides of me.\I guess that's also... What you call...\Your head is miles away. Let's call it a day. Go on home.\I'm sorry.\Oh! Um, Seto-sensei, I have an emergency!\Sorry! I'm counting on you, okay?\Totsuhara University Hospital - 890m\Huh? Arima-sensei? response:	I was able to catch up to you just walking at a normal pace.
context: I guess that's also... What you call...\Your head is miles away. Let's call it a day. Go on home.\I'm sorry.\Oh! Um, Seto-sensei, I have an emergency!\Sorry! I'm counting on you, okay?\Totsuhara University Hospital - 890m\Huh? Arima-sensei?\I was able to catch up to you just walking at a normal pace. response:	You walk too slow. Your posture's terrible!
context: Your head is miles away. Let's call it a day. Go on home.\I'm sorry.\Oh! Um, Seto-sensei, I have an emergency!\Sorry! I'm counting on you, okay?\Totsuhara University Hospital - 890m\Huh? Arima-sensei?\I was able to catch up to you just walking at a normal pace.\You walk too slow. Your posture's terrible! response:	You need to get a grip, or you'll look like a slob!
context: I'm sorry.\Oh! Um, Seto-sensei, I have an emergency!\Sorry! I'm counting on you, okay?\Totsuhara University Hospital - 890m\Huh? Arima-sensei?\I was able to catch up to you just walking at a normal pace.\You walk too slow. Your posture's terrible!\You need to get a grip, or you'll look like a slob! response:	May your dreams come true!
context: Oh! Um, Seto-sensei, I have an emergency!\Sorry! I'm counting on you, okay?\Totsuhara University Hospital - 890m\Huh? Arima-sensei?\I was able to catch up to you just walking at a normal pace.\You walk too slow. Your posture's terrible!\You need to get a grip, or you'll look like a slob!\May your dreams come true! response:	So this Kimoto dude, he goes, I'll play my oboe for you at the culture festival, Nagi-kun.
context: Sorry! I'm counting on you, okay?\Totsuhara University Hospital - 890m\Huh? Arima-sensei?\I was able to catch up to you just walking at a normal pace.\You walk too slow. Your posture's terrible!\You need to get a grip, or you'll look like a slob!\May your dreams come true!\So this Kimoto dude, he goes, I'll play my oboe for you at the culture festival, Nagi-kun. response:	How deluded is that?
context: Totsuhara University Hospital - 890m\Huh? Arima-sensei?\I was able to catch up to you just walking at a normal pace.\You walk too slow. Your posture's terrible!\You need to get a grip, or you'll look like a slob!\May your dreams come true!\So this Kimoto dude, he goes, I'll play my oboe for you at the culture festival, Nagi-kun.\How deluded is that? response:	But wouldn't that be pretty thrilling?
context: Huh? Arima-sensei?\I was able to catch up to you just walking at a normal pace.\You walk too slow. Your posture's terrible!\You need to get a grip, or you'll look like a slob!\May your dreams come true!\So this Kimoto dude, he goes, I'll play my oboe for you at the culture festival, Nagi-kun.\How deluded is that?\But wouldn't that be pretty thrilling? response:	Depends on who.
context: I was able to catch up to you just walking at a normal pace.\You walk too slow. Your posture's terrible!\You need to get a grip, or you'll look like a slob!\May your dreams come true!\So this Kimoto dude, he goes, I'll play my oboe for you at the culture festival, Nagi-kun.\How deluded is that?\But wouldn't that be pretty thrilling?\Depends on who. response:	Comes down to... probably their face.
context: You walk too slow. Your posture's terrible!\You need to get a grip, or you'll look like a slob!\May your dreams come true!\So this Kimoto dude, he goes, I'll play my oboe for you at the culture festival, Nagi-kun.\How deluded is that?\But wouldn't that be pretty thrilling?\Depends on who.\Comes down to... probably their face. response:	You're such a realist!
context: You need to get a grip, or you'll look like a slob!\May your dreams come true!\So this Kimoto dude, he goes, I'll play my oboe for you at the culture festival, Nagi-kun.\How deluded is that?\But wouldn't that be pretty thrilling?\Depends on who.\Comes down to... probably their face.\You're such a realist! response:	Finally got you to laugh!
context: May your dreams come true!\So this Kimoto dude, he goes, I'll play my oboe for you at the culture festival, Nagi-kun.\How deluded is that?\But wouldn't that be pretty thrilling?\Depends on who.\Comes down to... probably their face.\You're such a realist!\Finally got you to laugh! response:	Thanks. Sorry to make you worry.
context: So this Kimoto dude, he goes, I'll play my oboe for you at the culture festival, Nagi-kun.\How deluded is that?\But wouldn't that be pretty thrilling?\Depends on who.\Comes down to... probably their face.\You're such a realist!\Finally got you to laugh!\Thanks. Sorry to make you worry. response:	N-N-N-Not at all! Worry about you? Are you crazy?
context: How deluded is that?\But wouldn't that be pretty thrilling?\Depends on who.\Comes down to... probably their face.\You're such a realist!\Finally got you to laugh!\Thanks. Sorry to make you worry.\N-N-N-Not at all! Worry about you? Are you crazy? response:	It would be a bore to have a wuss for an enemy, that's all.
context: But wouldn't that be pretty thrilling?\Depends on who.\Comes down to... probably their face.\You're such a realist!\Finally got you to laugh!\Thanks. Sorry to make you worry.\N-N-N-Not at all! Worry about you? Are you crazy?\It would be a bore to have a wuss for an enemy, that's all. response:	That guy, he's unbelievable, you know.
context: Depends on who.\Comes down to... probably their face.\You're such a realist!\Finally got you to laugh!\Thanks. Sorry to make you worry.\N-N-N-Not at all! Worry about you? Are you crazy?\It would be a bore to have a wuss for an enemy, that's all.\That guy, he's unbelievable, you know. response:	Everyone's freaked out because he's got the whole score memorized perfectly,
context: Comes down to... probably their face.\You're such a realist!\Finally got you to laugh!\Thanks. Sorry to make you worry.\N-N-N-Not at all! Worry about you? Are you crazy?\It would be a bore to have a wuss for an enemy, that's all.\That guy, he's unbelievable, you know.\Everyone's freaked out because he's got the whole score memorized perfectly, response:	but he doesn't even bat an eyelash.
context: You're such a realist!\Finally got you to laugh!\Thanks. Sorry to make you worry.\N-N-N-Not at all! Worry about you? Are you crazy?\It would be a bore to have a wuss for an enemy, that's all.\That guy, he's unbelievable, you know.\Everyone's freaked out because he's got the whole score memorized perfectly,\but he doesn't even bat an eyelash. response:	What is he, a gunman out of a Western?
context: Finally got you to laugh!\Thanks. Sorry to make you worry.\N-N-N-Not at all! Worry about you? Are you crazy?\It would be a bore to have a wuss for an enemy, that's all.\That guy, he's unbelievable, you know.\Everyone's freaked out because he's got the whole score memorized perfectly,\but he doesn't even bat an eyelash.\What is he, a gunman out of a Western? response:	Sounds like a die-cast robot with that heart of steel, huh?
context: Thanks. Sorry to make you worry.\N-N-N-Not at all! Worry about you? Are you crazy?\It would be a bore to have a wuss for an enemy, that's all.\That guy, he's unbelievable, you know.\Everyone's freaked out because he's got the whole score memorized perfectly,\but he doesn't even bat an eyelash.\What is he, a gunman out of a Western?\Sounds like a die-cast robot with that heart of steel, huh? response:	Like a hero, right?
context: N-N-N-Not at all! Worry about you? Are you crazy?\It would be a bore to have a wuss for an enemy, that's all.\That guy, he's unbelievable, you know.\Everyone's freaked out because he's got the whole score memorized perfectly,\but he doesn't even bat an eyelash.\What is he, a gunman out of a Western?\Sounds like a die-cast robot with that heart of steel, huh?\Like a hero, right? response:	Dammit!
context: It would be a bore to have a wuss for an enemy, that's all.\That guy, he's unbelievable, you know.\Everyone's freaked out because he's got the whole score memorized perfectly,\but he doesn't even bat an eyelash.\What is he, a gunman out of a Western?\Sounds like a die-cast robot with that heart of steel, huh?\Like a hero, right?\Dammit! response:	What am I... supposed to tell him?
context: That guy, he's unbelievable, you know.\Everyone's freaked out because he's got the whole score memorized perfectly,\but he doesn't even bat an eyelash.\What is he, a gunman out of a Western?\Sounds like a die-cast robot with that heart of steel, huh?\Like a hero, right?\Dammit!\What am I... supposed to tell him? response:	Good luck... Don't let him beat you...
context: Everyone's freaked out because he's got the whole score memorized perfectly,\but he doesn't even bat an eyelash.\What is he, a gunman out of a Western?\Sounds like a die-cast robot with that heart of steel, huh?\Like a hero, right?\Dammit!\What am I... supposed to tell him?\Good luck... Don't let him beat you... response:	How irresponsible is that?
context: but he doesn't even bat an eyelash.\What is he, a gunman out of a Western?\Sounds like a die-cast robot with that heart of steel, huh?\Like a hero, right?\Dammit!\What am I... supposed to tell him?\Good luck... Don't let him beat you...\How irresponsible is that? response:	Kousei Arima Sumitani Junior Highschool
context: What is he, a gunman out of a Western?\Sounds like a die-cast robot with that heart of steel, huh?\Like a hero, right?\Dammit!\What am I... supposed to tell him?\Good luck... Don't let him beat you...\How irresponsible is that?\Kousei Arima Sumitani Junior Highschool response:	So...
context: Sounds like a die-cast robot with that heart of steel, huh?\Like a hero, right?\Dammit!\What am I... supposed to tell him?\Good luck... Don't let him beat you...\How irresponsible is that?\Kousei Arima Sumitani Junior Highschool\So... response:	Instead of thanking him, my selfish way of compensating for being so powerless...
context: Like a hero, right?\Dammit!\What am I... supposed to tell him?\Good luck... Don't let him beat you...\How irresponsible is that?\Kousei Arima Sumitani Junior Highschool\So...\Instead of thanking him, my selfish way of compensating for being so powerless... response:	I'm an ugly phantom.
context: Dammit!\What am I... supposed to tell him?\Good luck... Don't let him beat you...\How irresponsible is that?\Kousei Arima Sumitani Junior Highschool\So...\Instead of thanking him, my selfish way of compensating for being so powerless...\I'm an ugly phantom. response:	Kimoto-kun's gonna be a great performer, you know.
context: What am I... supposed to tell him?\Good luck... Don't let him beat you...\How irresponsible is that?\Kousei Arima Sumitani Junior Highschool\So...\Instead of thanking him, my selfish way of compensating for being so powerless...\I'm an ugly phantom.\Kimoto-kun's gonna be a great performer, you know. response:	What? You think so?
context: Good luck... Don't let him beat you...\How irresponsible is that?\Kousei Arima Sumitani Junior Highschool\So...\Instead of thanking him, my selfish way of compensating for being so powerless...\I'm an ugly phantom.\Kimoto-kun's gonna be a great performer, you know.\What? You think so? response:	It's more important than you'd think, playing for someone else.
context: How irresponsible is that?\Kousei Arima Sumitani Junior Highschool\So...\Instead of thanking him, my selfish way of compensating for being so powerless...\I'm an ugly phantom.\Kimoto-kun's gonna be a great performer, you know.\What? You think so?\It's more important than you'd think, playing for someone else. response:	What are you going to play the piano for? For someone else's sake?
context: Kousei Arima Sumitani Junior Highschool\So...\Instead of thanking him, my selfish way of compensating for being so powerless...\I'm an ugly phantom.\Kimoto-kun's gonna be a great performer, you know.\What? You think so?\It's more important than you'd think, playing for someone else.\What are you going to play the piano for? For someone else's sake? response:	You said you started playing the piano for someone else, right?
context: So...\Instead of thanking him, my selfish way of compensating for being so powerless...\I'm an ugly phantom.\Kimoto-kun's gonna be a great performer, you know.\What? You think so?\It's more important than you'd think, playing for someone else.\What are you going to play the piano for? For someone else's sake?\You said you started playing the piano for someone else, right? response:	That's when you're able to play well.
context: Instead of thanking him, my selfish way of compensating for being so powerless...\I'm an ugly phantom.\Kimoto-kun's gonna be a great performer, you know.\What? You think so?\It's more important than you'd think, playing for someone else.\What are you going to play the piano for? For someone else's sake?\You said you started playing the piano for someone else, right?\That's when you're able to play well. response:	When you've shared those sounds with tons of people,
context: I'm an ugly phantom.\Kimoto-kun's gonna be a great performer, you know.\What? You think so?\It's more important than you'd think, playing for someone else.\What are you going to play the piano for? For someone else's sake?\You said you started playing the piano for someone else, right?\That's when you're able to play well.\When you've shared those sounds with tons of people, response:	when you've reached tons of people with those sounds,
context: Kimoto-kun's gonna be a great performer, you know.\What? You think so?\It's more important than you'd think, playing for someone else.\What are you going to play the piano for? For someone else's sake?\You said you started playing the piano for someone else, right?\That's when you're able to play well.\When you've shared those sounds with tons of people,\when you've reached tons of people with those sounds, response:	when your hearts come together...
context: What? You think so?\It's more important than you'd think, playing for someone else.\What are you going to play the piano for? For someone else's sake?\You said you started playing the piano for someone else, right?\That's when you're able to play well.\When you've shared those sounds with tons of people,\when you've reached tons of people with those sounds,\when your hearts come together... response:	It might be that music transcends words.
context: It's more important than you'd think, playing for someone else.\What are you going to play the piano for? For someone else's sake?\You said you started playing the piano for someone else, right?\That's when you're able to play well.\When you've shared those sounds with tons of people,\when you've reached tons of people with those sounds,\when your hearts come together...\It might be that music transcends words. response:	That's just a cliche. Women are realistic.
context: What are you going to play the piano for? For someone else's sake?\You said you started playing the piano for someone else, right?\That's when you're able to play well.\When you've shared those sounds with tons of people,\when you've reached tons of people with those sounds,\when your hearts come together...\It might be that music transcends words.\That's just a cliche. Women are realistic. response:	We only believe in words.
context: You said you started playing the piano for someone else, right?\That's when you're able to play well.\When you've shared those sounds with tons of people,\when you've reached tons of people with those sounds,\when your hearts come together...\It might be that music transcends words.\That's just a cliche. Women are realistic.\We only believe in words. response:	May your dreams come true!
context: That's when you're able to play well.\When you've shared those sounds with tons of people,\when you've reached tons of people with those sounds,\when your hearts come together...\It might be that music transcends words.\That's just a cliche. Women are realistic.\We only believe in words.\May your dreams come true! response:	Ravel...
context: When you've shared those sounds with tons of people,\when you've reached tons of people with those sounds,\when your hearts come together...\It might be that music transcends words.\That's just a cliche. Women are realistic.\We only believe in words.\May your dreams come true!\Ravel... response:	I don't want to hear it! I don't want to hear it!
context: when you've reached tons of people with those sounds,\when your hearts come together...\It might be that music transcends words.\That's just a cliche. Women are realistic.\We only believe in words.\May your dreams come true!\Ravel...\I don't want to hear it! I don't want to hear it! response:	I don't want to hear Ravel!
context: when your hearts come together...\It might be that music transcends words.\That's just a cliche. Women are realistic.\We only believe in words.\May your dreams come true!\Ravel...\I don't want to hear it! I don't want to hear it!\I don't want to hear Ravel! response:	Commit double suicide with me.
context: It might be that music transcends words.\That's just a cliche. Women are realistic.\We only believe in words.\May your dreams come true!\Ravel...\I don't want to hear it! I don't want to hear it!\I don't want to hear Ravel!\Commit double suicide with me. response:	I don't want to hear it. I don't want to think about anything!
context: That's just a cliche. Women are realistic.\We only believe in words.\May your dreams come true!\Ravel...\I don't want to hear it! I don't want to hear it!\I don't want to hear Ravel!\Commit double suicide with me.\I don't want to hear it. I don't want to think about anything! response:	I wish I could just stop hearing everything!
context: We only believe in words.\May your dreams come true!\Ravel...\I don't want to hear it! I don't want to hear it!\I don't want to hear Ravel!\Commit double suicide with me.\I don't want to hear it. I don't want to think about anything!\I wish I could just stop hearing everything! response:	Music Preparation Room
context: May your dreams come true!\Ravel...\I don't want to hear it! I don't want to hear it!\I don't want to hear Ravel!\Commit double suicide with me.\I don't want to hear it. I don't want to think about anything!\I wish I could just stop hearing everything!\Music Preparation Room response:	Yo.
context: Ravel...\I don't want to hear it! I don't want to hear it!\I don't want to hear Ravel!\Commit double suicide with me.\I don't want to hear it. I don't want to think about anything!\I wish I could just stop hearing everything!\Music Preparation Room\Yo. response:	We're on our way to visit my Kaori-chan in the hospital. Come with us.
context: I don't want to hear it! I don't want to hear it!\I don't want to hear Ravel!\Commit double suicide with me.\I don't want to hear it. I don't want to think about anything!\I wish I could just stop hearing everything!\Music Preparation Room\Yo.\We're on our way to visit my Kaori-chan in the hospital. Come with us. response:	I'm gonna pass on that.
context: I don't want to hear Ravel!\Commit double suicide with me.\I don't want to hear it. I don't want to think about anything!\I wish I could just stop hearing everything!\Music Preparation Room\Yo.\We're on our way to visit my Kaori-chan in the hospital. Come with us.\I'm gonna pass on that. response:	No need to hold back because of us. Come on, let's go.
context: Commit double suicide with me.\I don't want to hear it. I don't want to think about anything!\I wish I could just stop hearing everything!\Music Preparation Room\Yo.\We're on our way to visit my Kaori-chan in the hospital. Come with us.\I'm gonna pass on that.\No need to hold back because of us. Come on, let's go. response:	I said I'm not going!
context: I don't want to hear it. I don't want to think about anything!\I wish I could just stop hearing everything!\Music Preparation Room\Yo.\We're on our way to visit my Kaori-chan in the hospital. Come with us.\I'm gonna pass on that.\No need to hold back because of us. Come on, let's go.\I said I'm not going! response:	What's wrong with you?
context: I wish I could just stop hearing everything!\Music Preparation Room\Yo.\We're on our way to visit my Kaori-chan in the hospital. Come with us.\I'm gonna pass on that.\No need to hold back because of us. Come on, let's go.\I said I'm not going!\What's wrong with you? response:	Listen, you... don't you think you're being callous?
context: Music Preparation Room\Yo.\We're on our way to visit my Kaori-chan in the hospital. Come with us.\I'm gonna pass on that.\No need to hold back because of us. Come on, let's go.\I said I'm not going!\What's wrong with you?\Listen, you... don't you think you're being callous? response:	After Kaori-chan did so much for you, why are you running away?
context: Yo.\We're on our way to visit my Kaori-chan in the hospital. Come with us.\I'm gonna pass on that.\No need to hold back because of us. Come on, let's go.\I said I'm not going!\What's wrong with you?\Listen, you... don't you think you're being callous?\After Kaori-chan did so much for you, why are you running away? response:	Look at me!
context: We're on our way to visit my Kaori-chan in the hospital. Come with us.\I'm gonna pass on that.\No need to hold back because of us. Come on, let's go.\I said I'm not going!\What's wrong with you?\Listen, you... don't you think you're being callous?\After Kaori-chan did so much for you, why are you running away?\Look at me! response:	H-Hey... Kousei...
context: I'm gonna pass on that.\No need to hold back because of us. Come on, let's go.\I said I'm not going!\What's wrong with you?\Listen, you... don't you think you're being callous?\After Kaori-chan did so much for you, why are you running away?\Look at me!\H-Hey... Kousei... response:	Watari...
context: No need to hold back because of us. Come on, let's go.\I said I'm not going!\What's wrong with you?\Listen, you... don't you think you're being callous?\After Kaori-chan did so much for you, why are you running away?\Look at me!\H-Hey... Kousei...\Watari... response:	What am I supposed to do?
context: I said I'm not going!\What's wrong with you?\Listen, you... don't you think you're being callous?\After Kaori-chan did so much for you, why are you running away?\Look at me!\H-Hey... Kousei...\Watari...\What am I supposed to do? response:	You see, I...
context: What's wrong with you?\Listen, you... don't you think you're being callous?\After Kaori-chan did so much for you, why are you running away?\Look at me!\H-Hey... Kousei...\Watari...\What am I supposed to do?\You see, I... response:	It doesn't look good for me.
