context: Move it! response:	We've waited and waited, but she hasn't come back.
context: Not a nation where only a select few prosper.\You know?\There's no telling when the times will change.\Even so, I want to believe in them.\I want to believe in the people who chose THIS solution at THIS time.\And that includes you.\Me, I just go with the flow with those times.\Well, let's leave the question of the truth of that statement for another time, okay? response:	Today's the day of our long-awaited reunion with those dear old friends of ours.
context: You know?\There's no telling when the times will change.\Even so, I want to believe in them.\I want to believe in the people who chose THIS solution at THIS time.\And that includes you.\Me, I just go with the flow with those times.\Well, let's leave the question of the truth of that statement for another time, okay?\Today's the day of our long-awaited reunion with those dear old friends of ours. response:	What's up?
context: There's no telling when the times will change.\Even so, I want to believe in them.\I want to believe in the people who chose THIS solution at THIS time.\And that includes you.\Me, I just go with the flow with those times.\Well, let's leave the question of the truth of that statement for another time, okay?\Today's the day of our long-awaited reunion with those dear old friends of ours.\What's up? response:	Oh, damn!
context: Even so, I want to believe in them.\I want to believe in the people who chose THIS solution at THIS time.\And that includes you.\Me, I just go with the flow with those times.\Well, let's leave the question of the truth of that statement for another time, okay?\Today's the day of our long-awaited reunion with those dear old friends of ours.\What's up?\Oh, damn! response:	Don't tell me you forgot to make reservations!
context: I want to believe in the people who chose THIS solution at THIS time.\And that includes you.\Me, I just go with the flow with those times.\Well, let's leave the question of the truth of that statement for another time, okay?\Today's the day of our long-awaited reunion with those dear old friends of ours.\What's up?\Oh, damn!\Don't tell me you forgot to make reservations! response:	Sorry! Tell my secretary that I'll be late for the afternoon Cabinet meeting!
context: And that includes you.\Me, I just go with the flow with those times.\Well, let's leave the question of the truth of that statement for another time, okay?\Today's the day of our long-awaited reunion with those dear old friends of ours.\What's up?\Oh, damn!\Don't tell me you forgot to make reservations!\Sorry! Tell my secretary that I'll be late for the afternoon Cabinet meeting! response:	And tell her you're out making a reservation so important that you can't trust her to do it?
context: Me, I just go with the flow with those times.\Well, let's leave the question of the truth of that statement for another time, okay?\Today's the day of our long-awaited reunion with those dear old friends of ours.\What's up?\Oh, damn!\Don't tell me you forgot to make reservations!\Sorry! Tell my secretary that I'll be late for the afternoon Cabinet meeting!\And tell her you're out making a reservation so important that you can't trust her to do it? response:	See you tonight at the Nouveau Casino! We'll start off with a toast!
context: Well, let's leave the question of the truth of that statement for another time, okay?\Today's the day of our long-awaited reunion with those dear old friends of ours.\What's up?\Oh, damn!\Don't tell me you forgot to make reservations!\Sorry! Tell my secretary that I'll be late for the afternoon Cabinet meeting!\And tell her you're out making a reservation so important that you can't trust her to do it?\See you tonight at the Nouveau Casino! We'll start off with a toast! response:	Too bad, I came all the way down here to show him this article...
context: Today's the day of our long-awaited reunion with those dear old friends of ours.\What's up?\Oh, damn!\Don't tell me you forgot to make reservations!\Sorry! Tell my secretary that I'll be late for the afternoon Cabinet meeting!\And tell her you're out making a reservation so important that you can't trust her to do it?\See you tonight at the Nouveau Casino! We'll start off with a toast!\Too bad, I came all the way down here to show him this article... response:	Claire-Marie Eugenie's Triumphant Return to Paris!
context: What's up?\Oh, damn!\Don't tell me you forgot to make reservations!\Sorry! Tell my secretary that I'll be late for the afternoon Cabinet meeting!\And tell her you're out making a reservation so important that you can't trust her to do it?\See you tonight at the Nouveau Casino! We'll start off with a toast!\Too bad, I came all the way down here to show him this article...\Claire-Marie Eugenie's Triumphant Return to Paris! response:	Max!
context: Oh, damn!\Don't tell me you forgot to make reservations!\Sorry! Tell my secretary that I'll be late for the afternoon Cabinet meeting!\And tell her you're out making a reservation so important that you can't trust her to do it?\See you tonight at the Nouveau Casino! We'll start off with a toast!\Too bad, I came all the way down here to show him this article...\Claire-Marie Eugenie's Triumphant Return to Paris!\Max! response:	I'm home.
context: Don't tell me you forgot to make reservations!\Sorry! Tell my secretary that I'll be late for the afternoon Cabinet meeting!\And tell her you're out making a reservation so important that you can't trust her to do it?\See you tonight at the Nouveau Casino! We'll start off with a toast!\Too bad, I came all the way down here to show him this article...\Claire-Marie Eugenie's Triumphant Return to Paris!\Max!\I'm home. response:	Julie! Julie!
context: Sorry! Tell my secretary that I'll be late for the afternoon Cabinet meeting!\And tell her you're out making a reservation so important that you can't trust her to do it?\See you tonight at the Nouveau Casino! We'll start off with a toast!\Too bad, I came all the way down here to show him this article...\Claire-Marie Eugenie's Triumphant Return to Paris!\Max!\I'm home.\Julie! Julie! response:	Spare me the uncle bit, okay?
context: And tell her you're out making a reservation so important that you can't trust her to do it?\See you tonight at the Nouveau Casino! We'll start off with a toast!\Too bad, I came all the way down here to show him this article...\Claire-Marie Eugenie's Triumphant Return to Paris!\Max!\I'm home.\Julie! Julie!\Spare me the uncle bit, okay? response:	Big brother! Thank goodness you're okay!
context: See you tonight at the Nouveau Casino! We'll start off with a toast!\Too bad, I came all the way down here to show him this article...\Claire-Marie Eugenie's Triumphant Return to Paris!\Max!\I'm home.\Julie! Julie!\Spare me the uncle bit, okay?\Big brother! Thank goodness you're okay! response:	Did you behave yourselves and do what Emmanuel told you to do?
context: Too bad, I came all the way down here to show him this article...\Claire-Marie Eugenie's Triumphant Return to Paris!\Max!\I'm home.\Julie! Julie!\Spare me the uncle bit, okay?\Big brother! Thank goodness you're okay!\Did you behave yourselves and do what Emmanuel told you to do? response:	Of course we did!
context: Claire-Marie Eugenie's Triumphant Return to Paris!\Max!\I'm home.\Julie! Julie!\Spare me the uncle bit, okay?\Big brother! Thank goodness you're okay!\Did you behave yourselves and do what Emmanuel told you to do?\Of course we did! response:	You bet!
context: Max!\I'm home.\Julie! Julie!\Spare me the uncle bit, okay?\Big brother! Thank goodness you're okay!\Did you behave yourselves and do what Emmanuel told you to do?\Of course we did!\You bet! response:	That's good. I have presents waiting for children who behaved themselves!
context: I'm home.\Julie! Julie!\Spare me the uncle bit, okay?\Big brother! Thank goodness you're okay!\Did you behave yourselves and do what Emmanuel told you to do?\Of course we did!\You bet!\That's good. I have presents waiting for children who behaved themselves! response:	Yay!
context: Julie! Julie!\Spare me the uncle bit, okay?\Big brother! Thank goodness you're okay!\Did you behave yourselves and do what Emmanuel told you to do?\Of course we did!\You bet!\That's good. I have presents waiting for children who behaved themselves!\Yay! response:	That's our Uncle Max!
context: Spare me the uncle bit, okay?\Big brother! Thank goodness you're okay!\Did you behave yourselves and do what Emmanuel told you to do?\Of course we did!\You bet!\That's good. I have presents waiting for children who behaved themselves!\Yay!\That's our Uncle Max! response:	All right!
context: Big brother! Thank goodness you're okay!\Did you behave yourselves and do what Emmanuel told you to do?\Of course we did!\You bet!\That's good. I have presents waiting for children who behaved themselves!\Yay!\That's our Uncle Max!\All right! response:	Big brother...
context: Did you behave yourselves and do what Emmanuel told you to do?\Of course we did!\You bet!\That's good. I have presents waiting for children who behaved themselves!\Yay!\That's our Uncle Max!\All right!\Big brother... response:	Maximilien!
context: Of course we did!\You bet!\That's good. I have presents waiting for children who behaved themselves!\Yay!\That's our Uncle Max!\All right!\Big brother...\Maximilien! response:	Dear?
context: You bet!\That's good. I have presents waiting for children who behaved themselves!\Yay!\That's our Uncle Max!\All right!\Big brother...\Maximilien!\Dear? response:	I'm home.
context: That's good. I have presents waiting for children who behaved themselves!\Yay!\That's our Uncle Max!\All right!\Big brother...\Maximilien!\Dear?\I'm home. response:	Valentine!
context: Yay!\That's our Uncle Max!\All right!\Big brother...\Maximilien!\Dear?\I'm home.\Valentine! response:	Maximilien!
context: That's our Uncle Max!\All right!\Big brother...\Maximilien!\Dear?\I'm home.\Valentine!\Maximilien! response:	I've returned, sir.
context: All right!\Big brother...\Maximilien!\Dear?\I'm home.\Valentine!\Maximilien!\I've returned, sir. response:	The peace that you dreamed of for so long between Earth and the Empire...
context: Big brother...\Maximilien!\Dear?\I'm home.\Valentine!\Maximilien!\I've returned, sir.\The peace that you dreamed of for so long between Earth and the Empire... response:	For that reason, I resigned from the military as of today.
context: Maximilien!\Dear?\I'm home.\Valentine!\Maximilien!\I've returned, sir.\The peace that you dreamed of for so long between Earth and the Empire...\For that reason, I resigned from the military as of today. response:	The flow of goods traveling between Earth and the Empire will grow and grow.
context: Dear?\I'm home.\Valentine!\Maximilien!\I've returned, sir.\The peace that you dreamed of for so long between Earth and the Empire...\For that reason, I resigned from the military as of today.\The flow of goods traveling between Earth and the Empire will grow and grow. response:	So I intend to buy back my father's ship, the Pharaon,
context: I'm home.\Valentine!\Maximilien!\I've returned, sir.\The peace that you dreamed of for so long between Earth and the Empire...\For that reason, I resigned from the military as of today.\The flow of goods traveling between Earth and the Empire will grow and grow.\So I intend to buy back my father's ship, the Pharaon, response:	Maximilien...
context: Valentine!\Maximilien!\I've returned, sir.\The peace that you dreamed of for so long between Earth and the Empire...\For that reason, I resigned from the military as of today.\The flow of goods traveling between Earth and the Empire will grow and grow.\So I intend to buy back my father's ship, the Pharaon,\Maximilien... response:	Hey! Maximilien!
context: Maximilien!\I've returned, sir.\The peace that you dreamed of for so long between Earth and the Empire...\For that reason, I resigned from the military as of today.\The flow of goods traveling between Earth and the Empire will grow and grow.\So I intend to buy back my father's ship, the Pharaon,\Maximilien...\Hey! Maximilien! response:	Valentine!
context: I've returned, sir.\The peace that you dreamed of for so long between Earth and the Empire...\For that reason, I resigned from the military as of today.\The flow of goods traveling between Earth and the Empire will grow and grow.\So I intend to buy back my father's ship, the Pharaon,\Maximilien...\Hey! Maximilien!\Valentine! response:	If we don't get moving soon, we'll be late for the party!
context: The peace that you dreamed of for so long between Earth and the Empire...\For that reason, I resigned from the military as of today.\The flow of goods traveling between Earth and the Empire will grow and grow.\So I intend to buy back my father's ship, the Pharaon,\Maximilien...\Hey! Maximilien!\Valentine!\If we don't get moving soon, we'll be late for the party! response:	You have an eye for quality, sir!
context: For that reason, I resigned from the military as of today.\The flow of goods traveling between Earth and the Empire will grow and grow.\So I intend to buy back my father's ship, the Pharaon,\Maximilien...\Hey! Maximilien!\Valentine!\If we don't get moving soon, we'll be late for the party!\You have an eye for quality, sir! response:	That's an import item. All the way from Earth.
context: The flow of goods traveling between Earth and the Empire will grow and grow.\So I intend to buy back my father's ship, the Pharaon,\Maximilien...\Hey! Maximilien!\Valentine!\If we don't get moving soon, we'll be late for the party!\You have an eye for quality, sir!\That's an import item. All the way from Earth. response:	It's a brand that's famous in Paris.
context: So I intend to buy back my father's ship, the Pharaon,\Maximilien...\Hey! Maximilien!\Valentine!\If we don't get moving soon, we'll be late for the party!\You have an eye for quality, sir!\That's an import item. All the way from Earth.\It's a brand that's famous in Paris. response:	Would it look good on black hair?
context: Maximilien...\Hey! Maximilien!\Valentine!\If we don't get moving soon, we'll be late for the party!\You have an eye for quality, sir!\That's an import item. All the way from Earth.\It's a brand that's famous in Paris.\Would it look good on black hair? response:	These models from Earth certainly are pretty, aren't they?
context: Hey! Maximilien!\Valentine!\If we don't get moving soon, we'll be late for the party!\You have an eye for quality, sir!\That's an import item. All the way from Earth.\It's a brand that's famous in Paris.\Would it look good on black hair?\These models from Earth certainly are pretty, aren't they? response:	Ah, here we are!
context: Valentine!\If we don't get moving soon, we'll be late for the party!\You have an eye for quality, sir!\That's an import item. All the way from Earth.\It's a brand that's famous in Paris.\Would it look good on black hair?\These models from Earth certainly are pretty, aren't they?\Ah, here we are! response:	I'd say that it goes perfectly with black hair, wouldn't you?
context: If we don't get moving soon, we'll be late for the party!\You have an eye for quality, sir!\That's an import item. All the way from Earth.\It's a brand that's famous in Paris.\Would it look good on black hair?\These models from Earth certainly are pretty, aren't they?\Ah, here we are!\I'd say that it goes perfectly with black hair, wouldn't you? response:	Peppo!
context: You have an eye for quality, sir!\That's an import item. All the way from Earth.\It's a brand that's famous in Paris.\Would it look good on black hair?\These models from Earth certainly are pretty, aren't they?\Ah, here we are!\I'd say that it goes perfectly with black hair, wouldn't you?\Peppo! response:	Forget it. I'll pass.
context: That's an import item. All the way from Earth.\It's a brand that's famous in Paris.\Would it look good on black hair?\These models from Earth certainly are pretty, aren't they?\Ah, here we are!\I'd say that it goes perfectly with black hair, wouldn't you?\Peppo!\Forget it. I'll pass. response:	Wha...? But sir!
context: It's a brand that's famous in Paris.\Would it look good on black hair?\These models from Earth certainly are pretty, aren't they?\Ah, here we are!\I'd say that it goes perfectly with black hair, wouldn't you?\Peppo!\Forget it. I'll pass.\Wha...? But sir! response:	Forget it!
context: Would it look good on black hair?\These models from Earth certainly are pretty, aren't they?\Ah, here we are!\I'd say that it goes perfectly with black hair, wouldn't you?\Peppo!\Forget it. I'll pass.\Wha...? But sir!\Forget it! response:	Forget it, forget it!
context: These models from Earth certainly are pretty, aren't they?\Ah, here we are!\I'd say that it goes perfectly with black hair, wouldn't you?\Peppo!\Forget it. I'll pass.\Wha...? But sir!\Forget it!\Forget it, forget it! response:	Trinkets like that aren't good enough for our Princess!
context: Ah, here we are!\I'd say that it goes perfectly with black hair, wouldn't you?\Peppo!\Forget it. I'll pass.\Wha...? But sir!\Forget it!\Forget it, forget it!\Trinkets like that aren't good enough for our Princess! response:	It will be a whole new you...
context: I'd say that it goes perfectly with black hair, wouldn't you?\Peppo!\Forget it. I'll pass.\Wha...? But sir!\Forget it!\Forget it, forget it!\Trinkets like that aren't good enough for our Princess!\It will be a whole new you... response:	Thank you, Ali.
context: Peppo!\Forget it. I'll pass.\Wha...? But sir!\Forget it!\Forget it, forget it!\Trinkets like that aren't good enough for our Princess!\It will be a whole new you...\Thank you, Ali. response:	Would you care to join me, Bertuccio?
context: Forget it. I'll pass.\Wha...? But sir!\Forget it!\Forget it, forget it!\Trinkets like that aren't good enough for our Princess!\It will be a whole new you...\Thank you, Ali.\Would you care to join me, Bertuccio? response:	No, ma'am. I'm on guard duty.
context: Wha...? But sir!\Forget it!\Forget it, forget it!\Trinkets like that aren't good enough for our Princess!\It will be a whole new you...\Thank you, Ali.\Would you care to join me, Bertuccio?\No, ma'am. I'm on guard duty. response:	I would like to show you something.
context: Forget it!\Forget it, forget it!\Trinkets like that aren't good enough for our Princess!\It will be a whole new you...\Thank you, Ali.\Would you care to join me, Bertuccio?\No, ma'am. I'm on guard duty.\I would like to show you something. response:	What's this?
context: Forget it, forget it!\Trinkets like that aren't good enough for our Princess!\It will be a whole new you...\Thank you, Ali.\Would you care to join me, Bertuccio?\No, ma'am. I'm on guard duty.\I would like to show you something.\What's this? response:	It says that Monsieur Albert will be arriving here on the day of the coronation ceremony.
context: Trinkets like that aren't good enough for our Princess!\It will be a whole new you...\Thank you, Ali.\Would you care to join me, Bertuccio?\No, ma'am. I'm on guard duty.\I would like to show you something.\What's this?\It says that Monsieur Albert will be arriving here on the day of the coronation ceremony. response:	And that he will do so as a secretarial aide to Earth's ambassador.
context: It will be a whole new you...\Thank you, Ali.\Would you care to join me, Bertuccio?\No, ma'am. I'm on guard duty.\I would like to show you something.\What's this?\It says that Monsieur Albert will be arriving here on the day of the coronation ceremony.\And that he will do so as a secretarial aide to Earth's ambassador. response:	Bertuccio, what would you call this, if not fate?
context: Thank you, Ali.\Would you care to join me, Bertuccio?\No, ma'am. I'm on guard duty.\I would like to show you something.\What's this?\It says that Monsieur Albert will be arriving here on the day of the coronation ceremony.\And that he will do so as a secretarial aide to Earth's ambassador.\Bertuccio, what would you call this, if not fate? response:	Our old master must have guided him here.
context: Would you care to join me, Bertuccio?\No, ma'am. I'm on guard duty.\I would like to show you something.\What's this?\It says that Monsieur Albert will be arriving here on the day of the coronation ceremony.\And that he will do so as a secretarial aide to Earth's ambassador.\Bertuccio, what would you call this, if not fate?\Our old master must have guided him here. response:	So that you would be able to fulfill your duties to the best of your ability, Princess.
context: No, ma'am. I'm on guard duty.\I would like to show you something.\What's this?\It says that Monsieur Albert will be arriving here on the day of the coronation ceremony.\And that he will do so as a secretarial aide to Earth's ambassador.\Bertuccio, what would you call this, if not fate?\Our old master must have guided him here.\So that you would be able to fulfill your duties to the best of your ability, Princess. response:	Yes...
context: I would like to show you something.\What's this?\It says that Monsieur Albert will be arriving here on the day of the coronation ceremony.\And that he will do so as a secretarial aide to Earth's ambassador.\Bertuccio, what would you call this, if not fate?\Our old master must have guided him here.\So that you would be able to fulfill your duties to the best of your ability, Princess.\Yes... response:	Yes!
context: What's this?\It says that Monsieur Albert will be arriving here on the day of the coronation ceremony.\And that he will do so as a secretarial aide to Earth's ambassador.\Bertuccio, what would you call this, if not fate?\Our old master must have guided him here.\So that you would be able to fulfill your duties to the best of your ability, Princess.\Yes...\Yes! response:	I also wish to keep Janina safe, so that this peace endures for years to come.
context: It says that Monsieur Albert will be arriving here on the day of the coronation ceremony.\And that he will do so as a secretarial aide to Earth's ambassador.\Bertuccio, what would you call this, if not fate?\Our old master must have guided him here.\So that you would be able to fulfill your duties to the best of your ability, Princess.\Yes...\Yes!\I also wish to keep Janina safe, so that this peace endures for years to come. response:	That desire will never change.
context: And that he will do so as a secretarial aide to Earth's ambassador.\Bertuccio, what would you call this, if not fate?\Our old master must have guided him here.\So that you would be able to fulfill your duties to the best of your ability, Princess.\Yes...\Yes!\I also wish to keep Janina safe, so that this peace endures for years to come.\That desire will never change. response:	And we will be there with you.
context: Bertuccio, what would you call this, if not fate?\Our old master must have guided him here.\So that you would be able to fulfill your duties to the best of your ability, Princess.\Yes...\Yes!\I also wish to keep Janina safe, so that this peace endures for years to come.\That desire will never change.\And we will be there with you. response:	Thank you, Bertuccio.
context: Our old master must have guided him here.\So that you would be able to fulfill your duties to the best of your ability, Princess.\Yes...\Yes!\I also wish to keep Janina safe, so that this peace endures for years to come.\That desire will never change.\And we will be there with you.\Thank you, Bertuccio. response:	Air France flight 1027 from Galileo to Paris Spaceport...
context: So that you would be able to fulfill your duties to the best of your ability, Princess.\Yes...\Yes!\I also wish to keep Janina safe, so that this peace endures for years to come.\That desire will never change.\And we will be there with you.\Thank you, Bertuccio.\Air France flight 1027 from Galileo to Paris Spaceport... response:	Our estimated arrival time in Paris will be slightly behind schedule,
context: Yes...\Yes!\I also wish to keep Janina safe, so that this peace endures for years to come.\That desire will never change.\And we will be there with you.\Thank you, Bertuccio.\Air France flight 1027 from Galileo to Paris Spaceport...\Our estimated arrival time in Paris will be slightly behind schedule, response:	A search is underway for the two ringleaders, Benedetto and Gaspard Caderousse,
context: Yes!\I also wish to keep Janina safe, so that this peace endures for years to come.\That desire will never change.\And we will be there with you.\Thank you, Bertuccio.\Air France flight 1027 from Galileo to Paris Spaceport...\Our estimated arrival time in Paris will be slightly behind schedule,\A search is underway for the two ringleaders, Benedetto and Gaspard Caderousse, response:	In Paris, it's 2 o'clock, huh?
context: I also wish to keep Janina safe, so that this peace endures for years to come.\That desire will never change.\And we will be there with you.\Thank you, Bertuccio.\Air France flight 1027 from Galileo to Paris Spaceport...\Our estimated arrival time in Paris will be slightly behind schedule,\A search is underway for the two ringleaders, Benedetto and Gaspard Caderousse,\In Paris, it's 2 o'clock, huh? response:	Right this way, please.
context: That desire will never change.\And we will be there with you.\Thank you, Bertuccio.\Air France flight 1027 from Galileo to Paris Spaceport...\Our estimated arrival time in Paris will be slightly behind schedule,\A search is underway for the two ringleaders, Benedetto and Gaspard Caderousse,\In Paris, it's 2 o'clock, huh?\Right this way, please. response:	Are you done paying your respects, then?
context: And we will be there with you.\Thank you, Bertuccio.\Air France flight 1027 from Galileo to Paris Spaceport...\Our estimated arrival time in Paris will be slightly behind schedule,\A search is underway for the two ringleaders, Benedetto and Gaspard Caderousse,\In Paris, it's 2 o'clock, huh?\Right this way, please.\Are you done paying your respects, then? response:	Yes.
context: Thank you, Bertuccio.\Air France flight 1027 from Galileo to Paris Spaceport...\Our estimated arrival time in Paris will be slightly behind schedule,\A search is underway for the two ringleaders, Benedetto and Gaspard Caderousse,\In Paris, it's 2 o'clock, huh?\Right this way, please.\Are you done paying your respects, then?\Yes. response:	Time certainly flies, doesn't it?
