context: Sorry to call you here out of the blue. response:	It's okay...
context: Well...\That's true...\And why would I know what a middle school girl would like, anyway?\Anything you'd pick would be way better.\But then...\It wouldn't be what she wants the most.\What?\What'd you say? response:	Kirino...
context: That's true...\And why would I know what a middle school girl would like, anyway?\Anything you'd pick would be way better.\But then...\It wouldn't be what she wants the most.\What?\What'd you say?\Kirino... response:	Kirino would be happiest getting something related to her hobby.
context: And why would I know what a middle school girl would like, anyway?\Anything you'd pick would be way better.\But then...\It wouldn't be what she wants the most.\What?\What'd you say?\Kirino...\Kirino would be happiest getting something related to her hobby. response:	That's why I'm asking you for help!
context: Anything you'd pick would be way better.\But then...\It wouldn't be what she wants the most.\What?\What'd you say?\Kirino...\Kirino would be happiest getting something related to her hobby.\That's why I'm asking you for help! response:	Are you accepting Kirino's otaku hobby?
context: But then...\It wouldn't be what she wants the most.\What?\What'd you say?\Kirino...\Kirino would be happiest getting something related to her hobby.\That's why I'm asking you for help!\Are you accepting Kirino's otaku hobby? response:	I haven't accepted it.
context: It wouldn't be what she wants the most.\What?\What'd you say?\Kirino...\Kirino would be happiest getting something related to her hobby.\That's why I'm asking you for help!\Are you accepting Kirino's otaku hobby?\I haven't accepted it. response:	I haven't accepted it!
context: What?\What'd you say?\Kirino...\Kirino would be happiest getting something related to her hobby.\That's why I'm asking you for help!\Are you accepting Kirino's otaku hobby?\I haven't accepted it.\I haven't accepted it! response:	But it's a celebration for her, so I'm making an exception this time...
context: What'd you say?\Kirino...\Kirino would be happiest getting something related to her hobby.\That's why I'm asking you for help!\Are you accepting Kirino's otaku hobby?\I haven't accepted it.\I haven't accepted it!\But it's a celebration for her, so I'm making an exception this time... response:	Also, Kirino has been talking to me a little about anime...
context: Kirino...\Kirino would be happiest getting something related to her hobby.\That's why I'm asking you for help!\Are you accepting Kirino's otaku hobby?\I haven't accepted it.\I haven't accepted it!\But it's a celebration for her, so I'm making an exception this time...\Also, Kirino has been talking to me a little about anime... response:	Ones that aren't indecent, anyway.
context: Kirino would be happiest getting something related to her hobby.\That's why I'm asking you for help!\Are you accepting Kirino's otaku hobby?\I haven't accepted it.\I haven't accepted it!\But it's a celebration for her, so I'm making an exception this time...\Also, Kirino has been talking to me a little about anime...\Ones that aren't indecent, anyway. response:	But it's still not good enough for her.
context: That's why I'm asking you for help!\Are you accepting Kirino's otaku hobby?\I haven't accepted it.\I haven't accepted it!\But it's a celebration for her, so I'm making an exception this time...\Also, Kirino has been talking to me a little about anime...\Ones that aren't indecent, anyway.\But it's still not good enough for her. response:	Last time I visited...
context: Are you accepting Kirino's otaku hobby?\I haven't accepted it.\I haven't accepted it!\But it's a celebration for her, so I'm making an exception this time...\Also, Kirino has been talking to me a little about anime...\Ones that aren't indecent, anyway.\But it's still not good enough for her.\Last time I visited... response:	Look at them! Aren't they cute?!
context: I haven't accepted it.\I haven't accepted it!\But it's a celebration for her, so I'm making an exception this time...\Also, Kirino has been talking to me a little about anime...\Ones that aren't indecent, anyway.\But it's still not good enough for her.\Last time I visited...\Look at them! Aren't they cute?! response:	Why do you have so many of the same ones?
context: I haven't accepted it!\But it's a celebration for her, so I'm making an exception this time...\Also, Kirino has been talking to me a little about anime...\Ones that aren't indecent, anyway.\But it's still not good enough for her.\Last time I visited...\Look at them! Aren't they cute?!\Why do you have so many of the same ones? response:	They're all different! Look at the colors.
context: But it's a celebration for her, so I'm making an exception this time...\Also, Kirino has been talking to me a little about anime...\Ones that aren't indecent, anyway.\But it's still not good enough for her.\Last time I visited...\Look at them! Aren't they cute?!\Why do you have so many of the same ones?\They're all different! Look at the colors. response:	It's hard to collect them all.
context: Also, Kirino has been talking to me a little about anime...\Ones that aren't indecent, anyway.\But it's still not good enough for her.\Last time I visited...\Look at them! Aren't they cute?!\Why do you have so many of the same ones?\They're all different! Look at the colors.\It's hard to collect them all. response:	What do you do after you collect them?
context: Ones that aren't indecent, anyway.\But it's still not good enough for her.\Last time I visited...\Look at them! Aren't they cute?!\Why do you have so many of the same ones?\They're all different! Look at the colors.\It's hard to collect them all.\What do you do after you collect them? response:	She wouldn't talk to me for a while after that.
context: But it's still not good enough for her.\Last time I visited...\Look at them! Aren't they cute?!\Why do you have so many of the same ones?\They're all different! Look at the colors.\It's hard to collect them all.\What do you do after you collect them?\She wouldn't talk to me for a while after that. response:	I was on the verge of tears...
context: Last time I visited...\Look at them! Aren't they cute?!\Why do you have so many of the same ones?\They're all different! Look at the colors.\It's hard to collect them all.\What do you do after you collect them?\She wouldn't talk to me for a while after that.\I was on the verge of tears... response:	Those are on the top three list of things you shouldn't ask.
context: Look at them! Aren't they cute?!\Why do you have so many of the same ones?\They're all different! Look at the colors.\It's hard to collect them all.\What do you do after you collect them?\She wouldn't talk to me for a while after that.\I was on the verge of tears...\Those are on the top three list of things you shouldn't ask. response:	That's why I want to make up for it now!
context: Why do you have so many of the same ones?\They're all different! Look at the colors.\It's hard to collect them all.\What do you do after you collect them?\She wouldn't talk to me for a while after that.\I was on the verge of tears...\Those are on the top three list of things you shouldn't ask.\That's why I want to make up for it now! response:	I decided to give her something related to her hobby,
context: They're all different! Look at the colors.\It's hard to collect them all.\What do you do after you collect them?\She wouldn't talk to me for a while after that.\I was on the verge of tears...\Those are on the top three list of things you shouldn't ask.\That's why I want to make up for it now!\I decided to give her something related to her hobby, response:	so I'm asking you to help me think of what would make her the most happy!
context: It's hard to collect them all.\What do you do after you collect them?\She wouldn't talk to me for a while after that.\I was on the verge of tears...\Those are on the top three list of things you shouldn't ask.\That's why I want to make up for it now!\I decided to give her something related to her hobby,\so I'm asking you to help me think of what would make her the most happy! response:	So...
context: What do you do after you collect them?\She wouldn't talk to me for a while after that.\I was on the verge of tears...\Those are on the top three list of things you shouldn't ask.\That's why I want to make up for it now!\I decided to give her something related to her hobby,\so I'm asking you to help me think of what would make her the most happy!\So... response:	She's thinking about Kirino in her own way.
context: She wouldn't talk to me for a while after that.\I was on the verge of tears...\Those are on the top three list of things you shouldn't ask.\That's why I want to make up for it now!\I decided to give her something related to her hobby,\so I'm asking you to help me think of what would make her the most happy!\So...\She's thinking about Kirino in her own way. response:	Got it.
context: I was on the verge of tears...\Those are on the top three list of things you shouldn't ask.\That's why I want to make up for it now!\I decided to give her something related to her hobby,\so I'm asking you to help me think of what would make her the most happy!\So...\She's thinking about Kirino in her own way.\Got it. response:	I'll look into what kind of present she wants.
context: Those are on the top three list of things you shouldn't ask.\That's why I want to make up for it now!\I decided to give her something related to her hobby,\so I'm asking you to help me think of what would make her the most happy!\So...\She's thinking about Kirino in her own way.\Got it.\I'll look into what kind of present she wants. response:	Th-Thank you so much!
context: That's why I want to make up for it now!\I decided to give her something related to her hobby,\so I'm asking you to help me think of what would make her the most happy!\So...\She's thinking about Kirino in her own way.\Got it.\I'll look into what kind of present she wants.\Th-Thank you so much! response:	What?
context: I decided to give her something related to her hobby,\so I'm asking you to help me think of what would make her the most happy!\So...\She's thinking about Kirino in her own way.\Got it.\I'll look into what kind of present she wants.\Th-Thank you so much!\What? response:	Are you thinking of giving me a present or something?
context: so I'm asking you to help me think of what would make her the most happy!\So...\She's thinking about Kirino in her own way.\Got it.\I'll look into what kind of present she wants.\Th-Thank you so much!\What?\Are you thinking of giving me a present or something? response:	Ew... Gross.
context: So...\She's thinking about Kirino in her own way.\Got it.\I'll look into what kind of present she wants.\Th-Thank you so much!\What?\Are you thinking of giving me a present or something?\Ew... Gross. response:	Sorry. I can't do this, Ayase.
context: She's thinking about Kirino in her own way.\Got it.\I'll look into what kind of present she wants.\Th-Thank you so much!\What?\Are you thinking of giving me a present or something?\Ew... Gross.\Sorry. I can't do this, Ayase. response:	Hey, come on.
context: Got it.\I'll look into what kind of present she wants.\Th-Thank you so much!\What?\Are you thinking of giving me a present or something?\Ew... Gross.\Sorry. I can't do this, Ayase.\Hey, come on. response:	You made me buy stuff for you on Christmas Eve, didn't you?
context: I'll look into what kind of present she wants.\Th-Thank you so much!\What?\Are you thinking of giving me a present or something?\Ew... Gross.\Sorry. I can't do this, Ayase.\Hey, come on.\You made me buy stuff for you on Christmas Eve, didn't you? response:	That was for my research, so it doesn't count.
context: Th-Thank you so much!\What?\Are you thinking of giving me a present or something?\Ew... Gross.\Sorry. I can't do this, Ayase.\Hey, come on.\You made me buy stuff for you on Christmas Eve, didn't you?\That was for my research, so it doesn't count. response:	Don't take that the wrong way.
context: What?\Are you thinking of giving me a present or something?\Ew... Gross.\Sorry. I can't do this, Ayase.\Hey, come on.\You made me buy stuff for you on Christmas Eve, didn't you?\That was for my research, so it doesn't count.\Don't take that the wrong way. response:	And come to think of it,
context: Are you thinking of giving me a present or something?\Ew... Gross.\Sorry. I can't do this, Ayase.\Hey, come on.\You made me buy stuff for you on Christmas Eve, didn't you?\That was for my research, so it doesn't count.\Don't take that the wrong way.\And come to think of it, response:	you've been making passes at my friends recently.
context: Ew... Gross.\Sorry. I can't do this, Ayase.\Hey, come on.\You made me buy stuff for you on Christmas Eve, didn't you?\That was for my research, so it doesn't count.\Don't take that the wrong way.\And come to think of it,\you've been making passes at my friends recently. response:	You were all over Ayase.
context: Sorry. I can't do this, Ayase.\Hey, come on.\You made me buy stuff for you on Christmas Eve, didn't you?\That was for my research, so it doesn't count.\Don't take that the wrong way.\And come to think of it,\you've been making passes at my friends recently.\You were all over Ayase. response:	And you've been meeting with the black one and Saori without me.
context: Hey, come on.\You made me buy stuff for you on Christmas Eve, didn't you?\That was for my research, so it doesn't count.\Don't take that the wrong way.\And come to think of it,\you've been making passes at my friends recently.\You were all over Ayase.\And you've been meeting with the black one and Saori without me. response:	Th-They're my friends now, too!
context: You made me buy stuff for you on Christmas Eve, didn't you?\That was for my research, so it doesn't count.\Don't take that the wrong way.\And come to think of it,\you've been making passes at my friends recently.\You were all over Ayase.\And you've been meeting with the black one and Saori without me.\Th-They're my friends now, too! response:	So I can get along with them however I want!
context: That was for my research, so it doesn't count.\Don't take that the wrong way.\And come to think of it,\you've been making passes at my friends recently.\You were all over Ayase.\And you've been meeting with the black one and Saori without me.\Th-They're my friends now, too!\So I can get along with them however I want! response:	You don't deny it?
context: Don't take that the wrong way.\And come to think of it,\you've been making passes at my friends recently.\You were all over Ayase.\And you've been meeting with the black one and Saori without me.\Th-They're my friends now, too!\So I can get along with them however I want!\You don't deny it? response:	I see.
context: And come to think of it,\you've been making passes at my friends recently.\You were all over Ayase.\And you've been meeting with the black one and Saori without me.\Th-They're my friends now, too!\So I can get along with them however I want!\You don't deny it?\I see. response:	Well, whatever. I don't care.
context: you've been making passes at my friends recently.\You were all over Ayase.\And you've been meeting with the black one and Saori without me.\Th-They're my friends now, too!\So I can get along with them however I want!\You don't deny it?\I see.\Well, whatever. I don't care. response:	Why are you being so picky?
context: You were all over Ayase.\And you've been meeting with the black one and Saori without me.\Th-They're my friends now, too!\So I can get along with them however I want!\You don't deny it?\I see.\Well, whatever. I don't care.\Why are you being so picky? response:	What are you, my girlfriend?
context: And you've been meeting with the black one and Saori without me.\Th-They're my friends now, too!\So I can get along with them however I want!\You don't deny it?\I see.\Well, whatever. I don't care.\Why are you being so picky?\What are you, my girlfriend? response:	So you got into a fight and couldn't find out from her?
context: Th-They're my friends now, too!\So I can get along with them however I want!\You don't deny it?\I see.\Well, whatever. I don't care.\Why are you being so picky?\What are you, my girlfriend?\So you got into a fight and couldn't find out from her? response:	You really do lack grace.
context: So I can get along with them however I want!\You don't deny it?\I see.\Well, whatever. I don't care.\Why are you being so picky?\What are you, my girlfriend?\So you got into a fight and couldn't find out from her?\You really do lack grace. response:	More importantly, did you tell Kirino about what we did?
context: You don't deny it?\I see.\Well, whatever. I don't care.\Why are you being so picky?\What are you, my girlfriend?\So you got into a fight and couldn't find out from her?\You really do lack grace.\More importantly, did you tell Kirino about what we did? response:	It was unavoidable.
context: I see.\Well, whatever. I don't care.\Why are you being so picky?\What are you, my girlfriend?\So you got into a fight and couldn't find out from her?\You really do lack grace.\More importantly, did you tell Kirino about what we did?\It was unavoidable. response:	Actually, a few days ago...
context: Well, whatever. I don't care.\Why are you being so picky?\What are you, my girlfriend?\So you got into a fight and couldn't find out from her?\You really do lack grace.\More importantly, did you tell Kirino about what we did?\It was unavoidable.\Actually, a few days ago... response:	Hey, the restroom here is the cockpit for the Omega!
context: Why are you being so picky?\What are you, my girlfriend?\So you got into a fight and couldn't find out from her?\You really do lack grace.\More importantly, did you tell Kirino about what we did?\It was unavoidable.\Actually, a few days ago...\Hey, the restroom here is the cockpit for the Omega! response:	That's the Justeen Cafe for you.
context: What are you, my girlfriend?\So you got into a fight and couldn't find out from her?\You really do lack grace.\More importantly, did you tell Kirino about what we did?\It was unavoidable.\Actually, a few days ago...\Hey, the restroom here is the cockpit for the Omega!\That's the Justeen Cafe for you. response:	I wonder what the men's side is like.
context: So you got into a fight and couldn't find out from her?\You really do lack grace.\More importantly, did you tell Kirino about what we did?\It was unavoidable.\Actually, a few days ago...\Hey, the restroom here is the cockpit for the Omega!\That's the Justeen Cafe for you.\I wonder what the men's side is like. response:	It's the bridge.
context: You really do lack grace.\More importantly, did you tell Kirino about what we did?\It was unavoidable.\Actually, a few days ago...\Hey, the restroom here is the cockpit for the Omega!\That's the Justeen Cafe for you.\I wonder what the men's side is like.\It's the bridge. response:	How do you know?
context: More importantly, did you tell Kirino about what we did?\It was unavoidable.\Actually, a few days ago...\Hey, the restroom here is the cockpit for the Omega!\That's the Justeen Cafe for you.\I wonder what the men's side is like.\It's the bridge.\How do you know? response:	Your brother told me last
context: It was unavoidable.\Actually, a few days ago...\Hey, the restroom here is the cockpit for the Omega!\That's the Justeen Cafe for you.\I wonder what the men's side is like.\It's the bridge.\How do you know?\Your brother told me last response:	What were you thinking?!
context: Actually, a few days ago...\Hey, the restroom here is the cockpit for the Omega!\That's the Justeen Cafe for you.\I wonder what the men's side is like.\It's the bridge.\How do you know?\Your brother told me last\What were you thinking?! response:	Don't worry.
context: Hey, the restroom here is the cockpit for the Omega!\That's the Justeen Cafe for you.\I wonder what the men's side is like.\It's the bridge.\How do you know?\Your brother told me last\What were you thinking?!\Don't worry. response:	She didn't find out about the anime studio incident.
context: That's the Justeen Cafe for you.\I wonder what the men's side is like.\It's the bridge.\How do you know?\Your brother told me last\What were you thinking?!\Don't worry.\She didn't find out about the anime studio incident. response:	We said you really wanted to see us and called us here.
context: I wonder what the men's side is like.\It's the bridge.\How do you know?\Your brother told me last\What were you thinking?!\Don't worry.\She didn't find out about the anime studio incident.\We said you really wanted to see us and called us here. response:	What the hell?!
context: It's the bridge.\How do you know?\Your brother told me last\What were you thinking?!\Don't worry.\She didn't find out about the anime studio incident.\We said you really wanted to see us and called us here.\What the hell?! response:	What kind of cheap guy did you turn me into?!
context: How do you know?\Your brother told me last\What were you thinking?!\Don't worry.\She didn't find out about the anime studio incident.\We said you really wanted to see us and called us here.\What the hell?!\What kind of cheap guy did you turn me into?! response:	Now, now, now.
context: Your brother told me last\What were you thinking?!\Don't worry.\She didn't find out about the anime studio incident.\We said you really wanted to see us and called us here.\What the hell?!\What kind of cheap guy did you turn me into?!\Now, now, now. response:	Let's get back to the topic.
context: What were you thinking?!\Don't worry.\She didn't find out about the anime studio incident.\We said you really wanted to see us and called us here.\What the hell?!\What kind of cheap guy did you turn me into?!\Now, now, now.\Let's get back to the topic. response:	Basically, you want to know what Miss Kiririn wants, right?
context: Don't worry.\She didn't find out about the anime studio incident.\We said you really wanted to see us and called us here.\What the hell?!\What kind of cheap guy did you turn me into?!\Now, now, now.\Let's get back to the topic.\Basically, you want to know what Miss Kiririn wants, right? response:	Yeah.
context: She didn't find out about the anime studio incident.\We said you really wanted to see us and called us here.\What the hell?!\What kind of cheap guy did you turn me into?!\Now, now, now.\Let's get back to the topic.\Basically, you want to know what Miss Kiririn wants, right?\Yeah. response:	I figured you guys would definitely know better than me.
context: We said you really wanted to see us and called us here.\What the hell?!\What kind of cheap guy did you turn me into?!\Now, now, now.\Let's get back to the topic.\Basically, you want to know what Miss Kiririn wants, right?\Yeah.\I figured you guys would definitely know better than me. response:	I see...
context: What the hell?!\What kind of cheap guy did you turn me into?!\Now, now, now.\Let's get back to the topic.\Basically, you want to know what Miss Kiririn wants, right?\Yeah.\I figured you guys would definitely know better than me.\I see... response:	Well, we were also thinking of holding a party celebrating her anime.
context: What kind of cheap guy did you turn me into?!\Now, now, now.\Let's get back to the topic.\Basically, you want to know what Miss Kiririn wants, right?\Yeah.\I figured you guys would definitely know better than me.\I see...\Well, we were also thinking of holding a party celebrating her anime. response:	Oh? Really?
context: Now, now, now.\Let's get back to the topic.\Basically, you want to know what Miss Kiririn wants, right?\Yeah.\I figured you guys would definitely know better than me.\I see...\Well, we were also thinking of holding a party celebrating her anime.\Oh? Really? response:	Saori is just saying that.
context: Let's get back to the topic.\Basically, you want to know what Miss Kiririn wants, right?\Yeah.\I figured you guys would definitely know better than me.\I see...\Well, we were also thinking of holding a party celebrating her anime.\Oh? Really?\Saori is just saying that. response:	I've done absolutely nothing.
context: Basically, you want to know what Miss Kiririn wants, right?\Yeah.\I figured you guys would definitely know better than me.\I see...\Well, we were also thinking of holding a party celebrating her anime.\Oh? Really?\Saori is just saying that.\I've done absolutely nothing. response:	Oh, okay.
context: Yeah.\I figured you guys would definitely know better than me.\I see...\Well, we were also thinking of holding a party celebrating her anime.\Oh? Really?\Saori is just saying that.\I've done absolutely nothing.\Oh, okay. response:	Thanks.
context: I figured you guys would definitely know better than me.\I see...\Well, we were also thinking of holding a party celebrating her anime.\Oh? Really?\Saori is just saying that.\I've done absolutely nothing.\Oh, okay.\Thanks. response:	Oh no, it's nothing.
context: I see...\Well, we were also thinking of holding a party celebrating her anime.\Oh? Really?\Saori is just saying that.\I've done absolutely nothing.\Oh, okay.\Thanks.\Oh no, it's nothing. response:	I'm doing it because I want to.
context: Well, we were also thinking of holding a party celebrating her anime.\Oh? Really?\Saori is just saying that.\I've done absolutely nothing.\Oh, okay.\Thanks.\Oh no, it's nothing.\I'm doing it because I want to. response:	But now that we're ready, let us search for what Miss Kiririn desires!
context: Oh? Really?\Saori is just saying that.\I've done absolutely nothing.\Oh, okay.\Thanks.\Oh no, it's nothing.\I'm doing it because I want to.\But now that we're ready, let us search for what Miss Kiririn desires! response:	The first thing that comes to mind would probably be this kind of stuff.
context: Saori is just saying that.\I've done absolutely nothing.\Oh, okay.\Thanks.\Oh no, it's nothing.\I'm doing it because I want to.\But now that we're ready, let us search for what Miss Kiririn desires!\The first thing that comes to mind would probably be this kind of stuff. response:	It wouldn't be too hard.
context: I've done absolutely nothing.\Oh, okay.\Thanks.\Oh no, it's nothing.\I'm doing it because I want to.\But now that we're ready, let us search for what Miss Kiririn desires!\The first thing that comes to mind would probably be this kind of stuff.\It wouldn't be too hard. response:	It matches her tastes perfectly.
context: Oh, okay.\Thanks.\Oh no, it's nothing.\I'm doing it because I want to.\But now that we're ready, let us search for what Miss Kiririn desires!\The first thing that comes to mind would probably be this kind of stuff.\It wouldn't be too hard.\It matches her tastes perfectly. response:	They don't sell them either, so there's some value to it.
context: Thanks.\Oh no, it's nothing.\I'm doing it because I want to.\But now that we're ready, let us search for what Miss Kiririn desires!\The first thing that comes to mind would probably be this kind of stuff.\It wouldn't be too hard.\It matches her tastes perfectly.\They don't sell them either, so there's some value to it. response:	Yeah...
context: Oh no, it's nothing.\I'm doing it because I want to.\But now that we're ready, let us search for what Miss Kiririn desires!\The first thing that comes to mind would probably be this kind of stuff.\It wouldn't be too hard.\It matches her tastes perfectly.\They don't sell them either, so there's some value to it.\Yeah... response:	But it doesn't feel quite right...
context: I'm doing it because I want to.\But now that we're ready, let us search for what Miss Kiririn desires!\The first thing that comes to mind would probably be this kind of stuff.\It wouldn't be too hard.\It matches her tastes perfectly.\They don't sell them either, so there's some value to it.\Yeah...\But it doesn't feel quite right... response:	This seems a bit weird for what she'd want the most.
context: But now that we're ready, let us search for what Miss Kiririn desires!\The first thing that comes to mind would probably be this kind of stuff.\It wouldn't be too hard.\It matches her tastes perfectly.\They don't sell them either, so there's some value to it.\Yeah...\But it doesn't feel quite right...\This seems a bit weird for what she'd want the most. response:	Then perhaps a visual fanbook for eroge she likes?
context: The first thing that comes to mind would probably be this kind of stuff.\It wouldn't be too hard.\It matches her tastes perfectly.\They don't sell them either, so there's some value to it.\Yeah...\But it doesn't feel quite right...\This seems a bit weird for what she'd want the most.\Then perhaps a visual fanbook for eroge she likes? response:	Or perhaps rare doujinshi?
context: It wouldn't be too hard.\It matches her tastes perfectly.\They don't sell them either, so there's some value to it.\Yeah...\But it doesn't feel quite right...\This seems a bit weird for what she'd want the most.\Then perhaps a visual fanbook for eroge she likes?\Or perhaps rare doujinshi? response:	Uh... thanks for the suggestion,
context: It matches her tastes perfectly.\They don't sell them either, so there's some value to it.\Yeah...\But it doesn't feel quite right...\This seems a bit weird for what she'd want the most.\Then perhaps a visual fanbook for eroge she likes?\Or perhaps rare doujinshi?\Uh... thanks for the suggestion, response:	but the requester would murder me over this.
context: They don't sell them either, so there's some value to it.\Yeah...\But it doesn't feel quite right...\This seems a bit weird for what she'd want the most.\Then perhaps a visual fanbook for eroge she likes?\Or perhaps rare doujinshi?\Uh... thanks for the suggestion,\but the requester would murder me over this. response:	There's no point in coming here.
context: Yeah...\But it doesn't feel quite right...\This seems a bit weird for what she'd want the most.\Then perhaps a visual fanbook for eroge she likes?\Or perhaps rare doujinshi?\Uh... thanks for the suggestion,\but the requester would murder me over this.\There's no point in coming here. response:	She probably already has everything she wants from here.
context: But it doesn't feel quite right...\This seems a bit weird for what she'd want the most.\Then perhaps a visual fanbook for eroge she likes?\Or perhaps rare doujinshi?\Uh... thanks for the suggestion,\but the requester would murder me over this.\There's no point in coming here.\She probably already has everything she wants from here. response:	Yeah...
context: This seems a bit weird for what she'd want the most.\Then perhaps a visual fanbook for eroge she likes?\Or perhaps rare doujinshi?\Uh... thanks for the suggestion,\but the requester would murder me over this.\There's no point in coming here.\She probably already has everything she wants from here.\Yeah... response:	The greatest work of art ever to grace the Earth at the hands of Man, for Y980?
context: Then perhaps a visual fanbook for eroge she likes?\Or perhaps rare doujinshi?\Uh... thanks for the suggestion,\but the requester would murder me over this.\There's no point in coming here.\She probably already has everything she wants from here.\Yeah...\The greatest work of art ever to grace the Earth at the hands of Man, for Y980? response:	What will they do next?
context: Or perhaps rare doujinshi?\Uh... thanks for the suggestion,\but the requester would murder me over this.\There's no point in coming here.\She probably already has everything she wants from here.\Yeah...\The greatest work of art ever to grace the Earth at the hands of Man, for Y980?\What will they do next? response:	This please.
context: Uh... thanks for the suggestion,\but the requester would murder me over this.\There's no point in coming here.\She probably already has everything she wants from here.\Yeah...\The greatest work of art ever to grace the Earth at the hands of Man, for Y980?\What will they do next?\This please. response:	You're buying it?!
context: but the requester would murder me over this.\There's no point in coming here.\She probably already has everything she wants from here.\Yeah...\The greatest work of art ever to grace the Earth at the hands of Man, for Y980?\What will they do next?\This please.\You're buying it?! response:	Man, we can't find anything.
context: There's no point in coming here.\She probably already has everything she wants from here.\Yeah...\The greatest work of art ever to grace the Earth at the hands of Man, for Y980?\What will they do next?\This please.\You're buying it?!\Man, we can't find anything. response:	Are you sure a Meruru plushie isn't good enough?
context: She probably already has everything she wants from here.\Yeah...\The greatest work of art ever to grace the Earth at the hands of Man, for Y980?\What will they do next?\This please.\You're buying it?!\Man, we can't find anything.\Are you sure a Meruru plushie isn't good enough? response:	It's probably the best thing we've found so far,
context: Yeah...\The greatest work of art ever to grace the Earth at the hands of Man, for Y980?\What will they do next?\This please.\You're buying it?!\Man, we can't find anything.\Are you sure a Meruru plushie isn't good enough?\It's probably the best thing we've found so far, response:	but I get the feeling there's something even better out there.
context: The greatest work of art ever to grace the Earth at the hands of Man, for Y980?\What will they do next?\This please.\You're buying it?!\Man, we can't find anything.\Are you sure a Meruru plushie isn't good enough?\It's probably the best thing we've found so far,\but I get the feeling there's something even better out there. response:	It's just not coming to mind.
context: What will they do next?\This please.\You're buying it?!\Man, we can't find anything.\Are you sure a Meruru plushie isn't good enough?\It's probably the best thing we've found so far,\but I get the feeling there's something even better out there.\It's just not coming to mind. response:	It just has to be backwards compatible with that, right?
context: This please.\You're buying it?!\Man, we can't find anything.\Are you sure a Meruru plushie isn't good enough?\It's probably the best thing we've found so far,\but I get the feeling there's something even better out there.\It's just not coming to mind.\It just has to be backwards compatible with that, right? response:	Something she would like, and isn't indecent.
context: You're buying it?!\Man, we can't find anything.\Are you sure a Meruru plushie isn't good enough?\It's probably the best thing we've found so far,\but I get the feeling there's something even better out there.\It's just not coming to mind.\It just has to be backwards compatible with that, right?\Something she would like, and isn't indecent. response:	Something hard to obtain, with real value behind it.
context: Man, we can't find anything.\Are you sure a Meruru plushie isn't good enough?\It's probably the best thing we've found so far,\but I get the feeling there's something even better out there.\It's just not coming to mind.\It just has to be backwards compatible with that, right?\Something she would like, and isn't indecent.\Something hard to obtain, with real value behind it. response:	Something like that won't just pop
context: Are you sure a Meruru plushie isn't good enough?\It's probably the best thing we've found so far,\but I get the feeling there's something even better out there.\It's just not coming to mind.\It just has to be backwards compatible with that, right?\Something she would like, and isn't indecent.\Something hard to obtain, with real value behind it.\Something like that won't just pop response:	Y-You're right!
context: It's probably the best thing we've found so far,\but I get the feeling there's something even better out there.\It's just not coming to mind.\It just has to be backwards compatible with that, right?\Something she would like, and isn't indecent.\Something hard to obtain, with real value behind it.\Something like that won't just pop\Y-You're right! response:	This might be perfect!
context: but I get the feeling there's something even better out there.\It's just not coming to mind.\It just has to be backwards compatible with that, right?\Something she would like, and isn't indecent.\Something hard to obtain, with real value behind it.\Something like that won't just pop\Y-You're right!\This might be perfect! response:	Please repeat what you just said.
