context: Contact with DRAGONs established. response:	What is this?
context: Are you serious?\You only have enough fuel for one battle.\I don't know where your country is, but there's no way you'll make it.\I don't care!\If that means I won't have to go back...\What am I supposed to do?\W-Wait!\Coco. response:	Coco, you idiot.
context: You only have enough fuel for one battle.\I don't know where your country is, but there's no way you'll make it.\I don't care!\If that means I won't have to go back...\What am I supposed to do?\W-Wait!\Coco.\Coco, you idiot. response:	Magic nation, my ass.
context: I don't know where your country is, but there's no way you'll make it.\I don't care!\If that means I won't have to go back...\What am I supposed to do?\W-Wait!\Coco.\Coco, you idiot.\Magic nation, my ass. response:	What were you daydreaming about?
context: I don't care!\If that means I won't have to go back...\What am I supposed to do?\W-Wait!\Coco.\Coco, you idiot.\Magic nation, my ass.\What were you daydreaming about? response:	We're Norma.
context: If that means I won't have to go back...\What am I supposed to do?\W-Wait!\Coco.\Coco, you idiot.\Magic nation, my ass.\What were you daydreaming about?\We're Norma. response:	H-Help me!
context: What am I supposed to do?\W-Wait!\Coco.\Coco, you idiot.\Magic nation, my ass.\What were you daydreaming about?\We're Norma.\H-Help me! response:	You're the last one, you huge-ass monster.
context: W-Wait!\Coco.\Coco, you idiot.\Magic nation, my ass.\What were you daydreaming about?\We're Norma.\H-Help me!\You're the last one, you huge-ass monster. response:	All units, load freezing bullets.
context: Coco.\Coco, you idiot.\Magic nation, my ass.\What were you daydreaming about?\We're Norma.\H-Help me!\You're the last one, you huge-ass monster.\All units, load freezing bullets. response:	All units, attack!
context: Coco, you idiot.\Magic nation, my ass.\What were you daydreaming about?\We're Norma.\H-Help me!\You're the last one, you huge-ass monster.\All units, load freezing bullets.\All units, attack! response:	Here we go!
context: Magic nation, my ass.\What were you daydreaming about?\We're Norma.\H-Help me!\You're the last one, you huge-ass monster.\All units, load freezing bullets.\All units, attack!\Here we go! response:	Die!
context: What were you daydreaming about?\We're Norma.\H-Help me!\You're the last one, you huge-ass monster.\All units, load freezing bullets.\All units, attack!\Here we go!\Die! response:	This is the end!
context: We're Norma.\H-Help me!\You're the last one, you huge-ass monster.\All units, load freezing bullets.\All units, attack!\Here we go!\Die!\This is the end! response:	No!
context: H-Help me!\You're the last one, you huge-ass monster.\All units, load freezing bullets.\All units, attack!\Here we go!\Die!\This is the end!\No! response:	Help me!
context: You're the last one, you huge-ass monster.\All units, load freezing bullets.\All units, attack!\Here we go!\Die!\This is the end!\No!\Help me! response:	What the hell are you doing? Let go.
context: All units, load freezing bullets.\All units, attack!\Here we go!\Die!\This is the end!\No!\Help me!\What the hell are you doing? Let go. response:	Zola!
context: All units, attack!\Here we go!\Die!\This is the end!\No!\Help me!\What the hell are you doing? Let go.\Zola! response:	Where am I?
context: Here we go!\Die!\This is the end!\No!\Help me!\What the hell are you doing? Let go.\Zola!\Where am I? response:	What happened?
context: Die!\This is the end!\No!\Help me!\What the hell are you doing? Let go.\Zola!\Where am I?\What happened? response:	Four Para-mails destroyed. Three Mail Riders dead.
context: This is the end!\No!\Help me!\What the hell are you doing? Let go.\Zola!\Where am I?\What happened?\Four Para-mails destroyed. Three Mail Riders dead. response:	We've failed to retrieve the bodies of the two rookies.
context: No!\Help me!\What the hell are you doing? Let go.\Zola!\Where am I?\What happened?\Four Para-mails destroyed. Three Mail Riders dead.\We've failed to retrieve the bodies of the two rookies. response:	And we didn't eliminate the DRAGONs.
context: Help me!\What the hell are you doing? Let go.\Zola!\Where am I?\What happened?\Four Para-mails destroyed. Three Mail Riders dead.\We've failed to retrieve the bodies of the two rookies.\And we didn't eliminate the DRAGONs. response:	These are the consequences of your desertion.
context: What the hell are you doing? Let go.\Zola!\Where am I?\What happened?\Four Para-mails destroyed. Three Mail Riders dead.\We've failed to retrieve the bodies of the two rookies.\And we didn't eliminate the DRAGONs.\These are the consequences of your desertion. response:	How do you feel, Princess?
context: Zola!\Where am I?\What happened?\Four Para-mails destroyed. Three Mail Riders dead.\We've failed to retrieve the bodies of the two rookies.\And we didn't eliminate the DRAGONs.\These are the consequences of your desertion.\How do you feel, Princess? response:	Say something, dammit!
context: Where am I?\What happened?\Four Para-mails destroyed. Three Mail Riders dead.\We've failed to retrieve the bodies of the two rookies.\And we didn't eliminate the DRAGONs.\These are the consequences of your desertion.\How do you feel, Princess?\Say something, dammit! response:	Don't hurt her. She's wounded, after all.
context: What happened?\Four Para-mails destroyed. Three Mail Riders dead.\We've failed to retrieve the bodies of the two rookies.\And we didn't eliminate the DRAGONs.\These are the consequences of your desertion.\How do you feel, Princess?\Say something, dammit!\Don't hurt her. She's wounded, after all. response:	I only tried to go back to my nation.
context: Four Para-mails destroyed. Three Mail Riders dead.\We've failed to retrieve the bodies of the two rookies.\And we didn't eliminate the DRAGONs.\These are the consequences of your desertion.\How do you feel, Princess?\Say something, dammit!\Don't hurt her. She's wounded, after all.\I only tried to go back to my nation. response:	I did nothing wrong.
context: We've failed to retrieve the bodies of the two rookies.\And we didn't eliminate the DRAGONs.\These are the consequences of your desertion.\How do you feel, Princess?\Say something, dammit!\Don't hurt her. She's wounded, after all.\I only tried to go back to my nation.\I did nothing wrong. response:	It's your fault that Onee-sama
context: And we didn't eliminate the DRAGONs.\These are the consequences of your desertion.\How do you feel, Princess?\Say something, dammit!\Don't hurt her. She's wounded, after all.\I only tried to go back to my nation.\I did nothing wrong.\It's your fault that Onee-sama response:	You killed Onee-sama.
context: These are the consequences of your desertion.\How do you feel, Princess?\Say something, dammit!\Don't hurt her. She's wounded, after all.\I only tried to go back to my nation.\I did nothing wrong.\It's your fault that Onee-sama\You killed Onee-sama. response:	Murderer. Murderer!
context: How do you feel, Princess?\Say something, dammit!\Don't hurt her. She's wounded, after all.\I only tried to go back to my nation.\I did nothing wrong.\It's your fault that Onee-sama\You killed Onee-sama.\Murderer. Murderer! response:	Murderer?
context: Say something, dammit!\Don't hurt her. She's wounded, after all.\I only tried to go back to my nation.\I did nothing wrong.\It's your fault that Onee-sama\You killed Onee-sama.\Murderer. Murderer!\Murderer? response:	Norma aren't human.
context: Don't hurt her. She's wounded, after all.\I only tried to go back to my nation.\I did nothing wrong.\It's your fault that Onee-sama\You killed Onee-sama.\Murderer. Murderer!\Murderer?\Norma aren't human. response:	You're seriously screwed up.
context: I only tried to go back to my nation.\I did nothing wrong.\It's your fault that Onee-sama\You killed Onee-sama.\Murderer. Murderer!\Murderer?\Norma aren't human.\You're seriously screwed up. response:	You're the worst.
context: I did nothing wrong.\It's your fault that Onee-sama\You killed Onee-sama.\Murderer. Murderer!\Murderer?\Norma aren't human.\You're seriously screwed up.\You're the worst. response:	What's going to happen to us, now?
context: It's your fault that Onee-sama\You killed Onee-sama.\Murderer. Murderer!\Murderer?\Norma aren't human.\You're seriously screwed up.\You're the worst.\What's going to happen to us, now? response:	Salia.
context: You killed Onee-sama.\Murderer. Murderer!\Murderer?\Norma aren't human.\You're seriously screwed up.\You're the worst.\What's going to happen to us, now?\Salia. response:	Starting today, you're the captain of the First Troop.
context: Murderer. Murderer!\Murderer?\Norma aren't human.\You're seriously screwed up.\You're the worst.\What's going to happen to us, now?\Salia.\Starting today, you're the captain of the First Troop. response:	Hilda, you're lieutenant.
context: Murderer?\Norma aren't human.\You're seriously screwed up.\You're the worst.\What's going to happen to us, now?\Salia.\Starting today, you're the captain of the First Troop.\Hilda, you're lieutenant. response:	Got it?
context: Norma aren't human.\You're seriously screwed up.\You're the worst.\What's going to happen to us, now?\Salia.\Starting today, you're the captain of the First Troop.\Hilda, you're lieutenant.\Got it? response:	Yes.
context: You're seriously screwed up.\You're the worst.\What's going to happen to us, now?\Salia.\Starting today, you're the captain of the First Troop.\Hilda, you're lieutenant.\Got it?\Yes. response:	We move out again as soon as we find the DRAGON.
context: You're the worst.\What's going to happen to us, now?\Salia.\Starting today, you're the captain of the First Troop.\Hilda, you're lieutenant.\Got it?\Yes.\We move out again as soon as we find the DRAGON. response:	Get to it.
context: What's going to happen to us, now?\Salia.\Starting today, you're the captain of the First Troop.\Hilda, you're lieutenant.\Got it?\Yes.\We move out again as soon as we find the DRAGON.\Get to it. response:	Yes, ma'am.
context: Salia.\Starting today, you're the captain of the First Troop.\Hilda, you're lieutenant.\Got it?\Yes.\We move out again as soon as we find the DRAGON.\Get to it.\Yes, ma'am. response:	Salia, the answer to the quiz.
context: Starting today, you're the captain of the First Troop.\Hilda, you're lieutenant.\Got it?\Yes.\We move out again as soon as we find the DRAGON.\Get to it.\Yes, ma'am.\Salia, the answer to the quiz. response:	The last one alive? It was Ange!
context: Hilda, you're lieutenant.\Got it?\Yes.\We move out again as soon as we find the DRAGON.\Get to it.\Yes, ma'am.\Salia, the answer to the quiz.\The last one alive? It was Ange! response:	Be quiet.
context: Got it?\Yes.\We move out again as soon as we find the DRAGON.\Get to it.\Yes, ma'am.\Salia, the answer to the quiz.\The last one alive? It was Ange!\Be quiet. response:	Fine.
context: Yes.\We move out again as soon as we find the DRAGON.\Get to it.\Yes, ma'am.\Salia, the answer to the quiz.\The last one alive? It was Ange!\Be quiet.\Fine. response:	Princess.
context: We move out again as soon as we find the DRAGON.\Get to it.\Yes, ma'am.\Salia, the answer to the quiz.\The last one alive? It was Ange!\Be quiet.\Fine.\Princess. response:	Princess.
context: Get to it.\Yes, ma'am.\Salia, the answer to the quiz.\The last one alive? It was Ange!\Be quiet.\Fine.\Princess.\Princess. response:	Princess.
context: Yes, ma'am.\Salia, the answer to the quiz.\The last one alive? It was Ange!\Be quiet.\Fine.\Princess.\Princess.\Princess. response:	Huh?
context: Salia, the answer to the quiz.\The last one alive? It was Ange!\Be quiet.\Fine.\Princess.\Princess.\Princess.\Huh? response:	Light of Mana.
context: The last one alive? It was Ange!\Be quiet.\Fine.\Princess.\Princess.\Princess.\Huh?\Light of Mana. response:	I could do this myself.
context: Be quiet.\Fine.\Princess.\Princess.\Princess.\Huh?\Light of Mana.\I could do this myself. response:	Have you forgotten the words of His Majesty?
context: Fine.\Princess.\Princess.\Princess.\Huh?\Light of Mana.\I could do this myself.\Have you forgotten the words of His Majesty? response:	The royal family need not use Mana.
context: Princess.\Princess.\Princess.\Huh?\Light of Mana.\I could do this myself.\Have you forgotten the words of His Majesty?\The royal family need not use Mana. response:	Leave everything to me, Momoka Oginome, your principal maid.
context: Princess.\Princess.\Huh?\Light of Mana.\I could do this myself.\Have you forgotten the words of His Majesty?\The royal family need not use Mana.\Leave everything to me, Momoka Oginome, your principal maid. response:	How long do you intend to sleep?
context: Princess.\Huh?\Light of Mana.\I could do this myself.\Have you forgotten the words of His Majesty?\The royal family need not use Mana.\Leave everything to me, Momoka Oginome, your principal maid.\How long do you intend to sleep? response:	Momoka...
context: Huh?\Light of Mana.\I could do this myself.\Have you forgotten the words of His Majesty?\The royal family need not use Mana.\Leave everything to me, Momoka Oginome, your principal maid.\How long do you intend to sleep?\Momoka... response:	Did you have a nice dream?
context: Light of Mana.\I could do this myself.\Have you forgotten the words of His Majesty?\The royal family need not use Mana.\Leave everything to me, Momoka Oginome, your principal maid.\How long do you intend to sleep?\Momoka...\Did you have a nice dream? response:	The petition.
context: I could do this myself.\Have you forgotten the words of His Majesty?\The royal family need not use Mana.\Leave everything to me, Momoka Oginome, your principal maid.\How long do you intend to sleep?\Momoka...\Did you have a nice dream?\The petition. response:	Have the nations responded to my petition?
context: Have you forgotten the words of His Majesty?\The royal family need not use Mana.\Leave everything to me, Momoka Oginome, your principal maid.\How long do you intend to sleep?\Momoka...\Did you have a nice dream?\The petition.\Have the nations responded to my petition? response:	This?
context: The royal family need not use Mana.\Leave everything to me, Momoka Oginome, your principal maid.\How long do you intend to sleep?\Momoka...\Did you have a nice dream?\The petition.\Have the nations responded to my petition?\This? response:	They all refused to receive it.
context: Leave everything to me, Momoka Oginome, your principal maid.\How long do you intend to sleep?\Momoka...\Did you have a nice dream?\The petition.\Have the nations responded to my petition?\This?\They all refused to receive it. response:	They don't know of a Princess Angelise or an Empire of Misurugi.
context: How long do you intend to sleep?\Momoka...\Did you have a nice dream?\The petition.\Have the nations responded to my petition?\This?\They all refused to receive it.\They don't know of a Princess Angelise or an Empire of Misurugi. response:	What?
context: Momoka...\Did you have a nice dream?\The petition.\Have the nations responded to my petition?\This?\They all refused to receive it.\They don't know of a Princess Angelise or an Empire of Misurugi.\What? response:	Officer Emma Bronson says there is no Empire of Misurugi anymore.
context: Did you have a nice dream?\The petition.\Have the nations responded to my petition?\This?\They all refused to receive it.\They don't know of a Princess Angelise or an Empire of Misurugi.\What?\Officer Emma Bronson says there is no Empire of Misurugi anymore. response:	That's been the case since you were revealed as a Norma.
context: The petition.\Have the nations responded to my petition?\This?\They all refused to receive it.\They don't know of a Princess Angelise or an Empire of Misurugi.\What?\Officer Emma Bronson says there is no Empire of Misurugi anymore.\That's been the case since you were revealed as a Norma. response:	The citizens must have gotten pissed and revolted or something.
context: Have the nations responded to my petition?\This?\They all refused to receive it.\They don't know of a Princess Angelise or an Empire of Misurugi.\What?\Officer Emma Bronson says there is no Empire of Misurugi anymore.\That's been the case since you were revealed as a Norma.\The citizens must have gotten pissed and revolted or something. response:	That can't be possible.
context: This?\They all refused to receive it.\They don't know of a Princess Angelise or an Empire of Misurugi.\What?\Officer Emma Bronson says there is no Empire of Misurugi anymore.\That's been the case since you were revealed as a Norma.\The citizens must have gotten pissed and revolted or something.\That can't be possible. response:	My nation, Misurugi, it couldn't be gone...
context: They all refused to receive it.\They don't know of a Princess Angelise or an Empire of Misurugi.\What?\Officer Emma Bronson says there is no Empire of Misurugi anymore.\That's been the case since you were revealed as a Norma.\The citizens must have gotten pissed and revolted or something.\That can't be possible.\My nation, Misurugi, it couldn't be gone... response:	Mother?
context: They don't know of a Princess Angelise or an Empire of Misurugi.\What?\Officer Emma Bronson says there is no Empire of Misurugi anymore.\That's been the case since you were revealed as a Norma.\The citizens must have gotten pissed and revolted or something.\That can't be possible.\My nation, Misurugi, it couldn't be gone...\Mother? response:	Father and Onii-sama?
context: What?\Officer Emma Bronson says there is no Empire of Misurugi anymore.\That's been the case since you were revealed as a Norma.\The citizens must have gotten pissed and revolted or something.\That can't be possible.\My nation, Misurugi, it couldn't be gone...\Mother?\Father and Onii-sama? response:	And Sylvia?
context: Officer Emma Bronson says there is no Empire of Misurugi anymore.\That's been the case since you were revealed as a Norma.\The citizens must have gotten pissed and revolted or something.\That can't be possible.\My nation, Misurugi, it couldn't be gone...\Mother?\Father and Onii-sama?\And Sylvia? response:	They're done.
context: That's been the case since you were revealed as a Norma.\The citizens must have gotten pissed and revolted or something.\That can't be possible.\My nation, Misurugi, it couldn't be gone...\Mother?\Father and Onii-sama?\And Sylvia?\They're done. response:	Let's go.
context: The citizens must have gotten pissed and revolted or something.\That can't be possible.\My nation, Misurugi, it couldn't be gone...\Mother?\Father and Onii-sama?\And Sylvia?\They're done.\Let's go. response:	I didn't think you'd need three in one day.
context: That can't be possible.\My nation, Misurugi, it couldn't be gone...\Mother?\Father and Onii-sama?\And Sylvia?\They're done.\Let's go.\I didn't think you'd need three in one day. response:	Sorry to hurry you, Jasmine.
context: My nation, Misurugi, it couldn't be gone...\Mother?\Father and Onii-sama?\And Sylvia?\They're done.\Let's go.\I didn't think you'd need three in one day.\Sorry to hurry you, Jasmine. response:	It's fine. We have to hold a ceremony for them soon.
context: Mother?\Father and Onii-sama?\And Sylvia?\They're done.\Let's go.\I didn't think you'd need three in one day.\Sorry to hurry you, Jasmine.\It's fine. We have to hold a ceremony for them soon. response:	You're carrying them, Ange.
context: Father and Onii-sama?\And Sylvia?\They're done.\Let's go.\I didn't think you'd need three in one day.\Sorry to hurry you, Jasmine.\It's fine. We have to hold a ceremony for them soon.\You're carrying them, Ange. response:	The survivors are to make the graves of their fallen comrades,
context: And Sylvia?\They're done.\Let's go.\I didn't think you'd need three in one day.\Sorry to hurry you, Jasmine.\It's fine. We have to hold a ceremony for them soon.\You're carrying them, Ange.\The survivors are to make the graves of their fallen comrades, response:	and pay for them.
context: They're done.\Let's go.\I didn't think you'd need three in one day.\Sorry to hurry you, Jasmine.\It's fine. We have to hold a ceremony for them soon.\You're carrying them, Ange.\The survivors are to make the graves of their fallen comrades,\and pay for them. response:	It's so that you hold onto their life and never forget them.
context: Let's go.\I didn't think you'd need three in one day.\Sorry to hurry you, Jasmine.\It's fine. We have to hold a ceremony for them soon.\You're carrying them, Ange.\The survivors are to make the graves of their fallen comrades,\and pay for them.\It's so that you hold onto their life and never forget them. response:	Don't worry, you can pay in installments.
context: I didn't think you'd need three in one day.\Sorry to hurry you, Jasmine.\It's fine. We have to hold a ceremony for them soon.\You're carrying them, Ange.\The survivors are to make the graves of their fallen comrades,\and pay for them.\It's so that you hold onto their life and never forget them.\Don't worry, you can pay in installments. response:	Zola Axberg.
context: Sorry to hurry you, Jasmine.\It's fine. We have to hold a ceremony for them soon.\You're carrying them, Ange.\The survivors are to make the graves of their fallen comrades,\and pay for them.\It's so that you hold onto their life and never forget them.\Don't worry, you can pay in installments.\Zola Axberg. response:	Coco Reeve.
context: It's fine. We have to hold a ceremony for them soon.\You're carrying them, Ange.\The survivors are to make the graves of their fallen comrades,\and pay for them.\It's so that you hold onto their life and never forget them.\Don't worry, you can pay in installments.\Zola Axberg.\Coco Reeve. response:	Miranda Campbell.
context: You're carrying them, Ange.\The survivors are to make the graves of their fallen comrades,\and pay for them.\It's so that you hold onto their life and never forget them.\Don't worry, you can pay in installments.\Zola Axberg.\Coco Reeve.\Miranda Campbell. response:	They're all nice names.
context: The survivors are to make the graves of their fallen comrades,\and pay for them.\It's so that you hold onto their life and never forget them.\Don't worry, you can pay in installments.\Zola Axberg.\Coco Reeve.\Miranda Campbell.\They're all nice names. response:	Arzenal girls finally get their old names back when they die.
context: and pay for them.\It's so that you hold onto their life and never forget them.\Don't worry, you can pay in installments.\Zola Axberg.\Coco Reeve.\Miranda Campbell.\They're all nice names.\Arzenal girls finally get their old names back when they die. response:	Their real names, given to them by their parents.
context: It's so that you hold onto their life and never forget them.\Don't worry, you can pay in installments.\Zola Axberg.\Coco Reeve.\Miranda Campbell.\They're all nice names.\Arzenal girls finally get their old names back when they die.\Their real names, given to them by their parents. response:	Zola.
context: Don't worry, you can pay in installments.\Zola Axberg.\Coco Reeve.\Miranda Campbell.\They're all nice names.\Arzenal girls finally get their old names back when they die.\Their real names, given to them by their parents.\Zola. response:	Her impulsiveness was her only fault.
context: Zola Axberg.\Coco Reeve.\Miranda Campbell.\They're all nice names.\Arzenal girls finally get their old names back when they die.\Their real names, given to them by their parents.\Zola.\Her impulsiveness was her only fault. response:	She was hard-working and cared for her juniors.
context: Coco Reeve.\Miranda Campbell.\They're all nice names.\Arzenal girls finally get their old names back when they die.\Their real names, given to them by their parents.\Zola.\Her impulsiveness was her only fault.\She was hard-working and cared for her juniors. response:	More than anything, she valued her comrades.
context: Miranda Campbell.\They're all nice names.\Arzenal girls finally get their old names back when they die.\Their real names, given to them by their parents.\Zola.\Her impulsiveness was her only fault.\She was hard-working and cared for her juniors.\More than anything, she valued her comrades. response:	So she's gone.
context: They're all nice names.\Arzenal girls finally get their old names back when they die.\Their real names, given to them by their parents.\Zola.\Her impulsiveness was her only fault.\She was hard-working and cared for her juniors.\More than anything, she valued her comrades.\So she's gone. response:	What's going to happen now?
context: Arzenal girls finally get their old names back when they die.\Their real names, given to them by their parents.\Zola.\Her impulsiveness was her only fault.\She was hard-working and cared for her juniors.\More than anything, she valued her comrades.\So she's gone.\What's going to happen now? response:	What am I supposed to do?
context: Their real names, given to them by their parents.\Zola.\Her impulsiveness was her only fault.\She was hard-working and cared for her juniors.\More than anything, she valued her comrades.\So she's gone.\What's going to happen now?\What am I supposed to do? response:	Fight and kill DRAGONs.
context: Zola.\Her impulsiveness was her only fault.\She was hard-working and cared for her juniors.\More than anything, she valued her comrades.\So she's gone.\What's going to happen now?\What am I supposed to do?\Fight and kill DRAGONs. response:	That's all.
context: Her impulsiveness was her only fault.\She was hard-working and cared for her juniors.\More than anything, she valued her comrades.\So she's gone.\What's going to happen now?\What am I supposed to do?\Fight and kill DRAGONs.\That's all. response:	What are those DRAGONs?
context: She was hard-working and cared for her juniors.\More than anything, she valued her comrades.\So she's gone.\What's going to happen now?\What am I supposed to do?\Fight and kill DRAGONs.\That's all.\What are those DRAGONs? response:	Why do I have to fight them?
context: More than anything, she valued her comrades.\So she's gone.\What's going to happen now?\What am I supposed to do?\Fight and kill DRAGONs.\That's all.\What are those DRAGONs?\Why do I have to fight them? response:	Weren't you listening in class?
context: So she's gone.\What's going to happen now?\What am I supposed to do?\Fight and kill DRAGONs.\That's all.\What are those DRAGONs?\Why do I have to fight them?\Weren't you listening in class? response:	We Norma are allowed to live only as weapons to kill the DRAGON.
context: What's going to happen now?\What am I supposed to do?\Fight and kill DRAGONs.\That's all.\What are those DRAGONs?\Why do I have to fight them?\Weren't you listening in class?\We Norma are allowed to live only as weapons to kill the DRAGON. response:	Isn't that what you'd want as a princess?
context: What am I supposed to do?\Fight and kill DRAGONs.\That's all.\What are those DRAGONs?\Why do I have to fight them?\Weren't you listening in class?\We Norma are allowed to live only as weapons to kill the DRAGON.\Isn't that what you'd want as a princess? response:	You're fighting to protect the world.
context: Fight and kill DRAGONs.\That's all.\What are those DRAGONs?\Why do I have to fight them?\Weren't you listening in class?\We Norma are allowed to live only as weapons to kill the DRAGON.\Isn't that what you'd want as a princess?\You're fighting to protect the world. response:	The world?
context: That's all.\What are those DRAGONs?\Why do I have to fight them?\Weren't you listening in class?\We Norma are allowed to live only as weapons to kill the DRAGON.\Isn't that what you'd want as a princess?\You're fighting to protect the world.\The world? response:	It's because there are Norma here fighting the DRAGONs
context: What are those DRAGONs?\Why do I have to fight them?\Weren't you listening in class?\We Norma are allowed to live only as weapons to kill the DRAGON.\Isn't that what you'd want as a princess?\You're fighting to protect the world.\The world?\It's because there are Norma here fighting the DRAGONs response:	that the world of Mana is able to maintain peace.
context: Why do I have to fight them?\Weren't you listening in class?\We Norma are allowed to live only as weapons to kill the DRAGON.\Isn't that what you'd want as a princess?\You're fighting to protect the world.\The world?\It's because there are Norma here fighting the DRAGONs\that the world of Mana is able to maintain peace. response:	What?
