context: That will be 8500 yen for repairs. response:	Gotta get a part-time job.
context: You, the one who cast magic on this destiny, suddenly appeared\The sky where two moons never fade away\That's an impossibility, right?\This is the first time I've felt anything like this\I'm feeling more and more at ease with this place\Even if you trip and become depressed\I will always hold you tight with a squeeze\The story where we met that day stays hot with a sweet kiss response:	See, you can cast magic, and the wishes will surely come true
context: The sky where two moons never fade away\That's an impossibility, right?\This is the first time I've felt anything like this\I'm feeling more and more at ease with this place\Even if you trip and become depressed\I will always hold you tight with a squeeze\The story where we met that day stays hot with a sweet kiss\See, you can cast magic, and the wishes will surely come true response:	A history of the couple's romance that starts from the first kiss
context: That's an impossibility, right?\This is the first time I've felt anything like this\I'm feeling more and more at ease with this place\Even if you trip and become depressed\I will always hold you tight with a squeeze\The story where we met that day stays hot with a sweet kiss\See, you can cast magic, and the wishes will surely come true\A history of the couple's romance that starts from the first kiss response:	You, the one who cast magic on this destiny, suddenly appeared
context: This is the first time I've felt anything like this\I'm feeling more and more at ease with this place\Even if you trip and become depressed\I will always hold you tight with a squeeze\The story where we met that day stays hot with a sweet kiss\See, you can cast magic, and the wishes will surely come true\A history of the couple's romance that starts from the first kiss\You, the one who cast magic on this destiny, suddenly appeared response:	Peasant Familiar
context: I'm feeling more and more at ease with this place\Even if you trip and become depressed\I will always hold you tight with a squeeze\The story where we met that day stays hot with a sweet kiss\See, you can cast magic, and the wishes will surely come true\A history of the couple's romance that starts from the first kiss\You, the one who cast magic on this destiny, suddenly appeared\Peasant Familiar response:	Earth?
context: Even if you trip and become depressed\I will always hold you tight with a squeeze\The story where we met that day stays hot with a sweet kiss\See, you can cast magic, and the wishes will surely come true\A history of the couple's romance that starts from the first kiss\You, the one who cast magic on this destiny, suddenly appeared\Peasant Familiar\Earth? response:	Yeah, up until a few moments ago, I was in Tokyo, Japan, on Earth.
context: I will always hold you tight with a squeeze\The story where we met that day stays hot with a sweet kiss\See, you can cast magic, and the wishes will surely come true\A history of the couple's romance that starts from the first kiss\You, the one who cast magic on this destiny, suddenly appeared\Peasant Familiar\Earth?\Yeah, up until a few moments ago, I was in Tokyo, Japan, on Earth. response:	I don't believe it.
context: The story where we met that day stays hot with a sweet kiss\See, you can cast magic, and the wishes will surely come true\A history of the couple's romance that starts from the first kiss\You, the one who cast magic on this destiny, suddenly appeared\Peasant Familiar\Earth?\Yeah, up until a few moments ago, I was in Tokyo, Japan, on Earth.\I don't believe it. response:	For such a different world to exist...
context: See, you can cast magic, and the wishes will surely come true\A history of the couple's romance that starts from the first kiss\You, the one who cast magic on this destiny, suddenly appeared\Peasant Familiar\Earth?\Yeah, up until a few moments ago, I was in Tokyo, Japan, on Earth.\I don't believe it.\For such a different world to exist... response:	I don't want to believe it either!
context: A history of the couple's romance that starts from the first kiss\You, the one who cast magic on this destiny, suddenly appeared\Peasant Familiar\Earth?\Yeah, up until a few moments ago, I was in Tokyo, Japan, on Earth.\I don't believe it.\For such a different world to exist...\I don't want to believe it either! response:	Anyway, take me back to where I used to be!
context: You, the one who cast magic on this destiny, suddenly appeared\Peasant Familiar\Earth?\Yeah, up until a few moments ago, I was in Tokyo, Japan, on Earth.\I don't believe it.\For such a different world to exist...\I don't want to believe it either!\Anyway, take me back to where I used to be! response:	Impossible.
context: Peasant Familiar\Earth?\Yeah, up until a few moments ago, I was in Tokyo, Japan, on Earth.\I don't believe it.\For such a different world to exist...\I don't want to believe it either!\Anyway, take me back to where I used to be!\Impossible. response:	Don't just say that so simply!
context: Earth?\Yeah, up until a few moments ago, I was in Tokyo, Japan, on Earth.\I don't believe it.\For such a different world to exist...\I don't want to believe it either!\Anyway, take me back to where I used to be!\Impossible.\Don't just say that so simply! response:	No matter who it's with or where they're from,
context: Yeah, up until a few moments ago, I was in Tokyo, Japan, on Earth.\I don't believe it.\For such a different world to exist...\I don't want to believe it either!\Anyway, take me back to where I used to be!\Impossible.\Don't just say that so simply!\No matter who it's with or where they're from, response:	the contract is absolute!
context: I don't believe it.\For such a different world to exist...\I don't want to believe it either!\Anyway, take me back to where I used to be!\Impossible.\Don't just say that so simply!\No matter who it's with or where they're from,\the contract is absolute! response:	What are you doing?
context: For such a different world to exist...\I don't want to believe it either!\Anyway, take me back to where I used to be!\Impossible.\Don't just say that so simply!\No matter who it's with or where they're from,\the contract is absolute!\What are you doing? response:	I'm changing for bed.
context: I don't want to believe it either!\Anyway, take me back to where I used to be!\Impossible.\Don't just say that so simply!\No matter who it's with or where they're from,\the contract is absolute!\What are you doing?\I'm changing for bed. response:	Don't do that when I'm here!
context: Anyway, take me back to where I used to be!\Impossible.\Don't just say that so simply!\No matter who it's with or where they're from,\the contract is absolute!\What are you doing?\I'm changing for bed.\Don't do that when I'm here! response:	Why?
context: Impossible.\Don't just say that so simply!\No matter who it's with or where they're from,\the contract is absolute!\What are you doing?\I'm changing for bed.\Don't do that when I'm here!\Why? response:	You're fine with a guy watching you do that stuff?
context: Don't just say that so simply!\No matter who it's with or where they're from,\the contract is absolute!\What are you doing?\I'm changing for bed.\Don't do that when I'm here!\Why?\You're fine with a guy watching you do that stuff? response:	A guy?
context: No matter who it's with or where they're from,\the contract is absolute!\What are you doing?\I'm changing for bed.\Don't do that when I'm here!\Why?\You're fine with a guy watching you do that stuff?\A guy? response:	You're nothing more than a familiar.
context: the contract is absolute!\What are you doing?\I'm changing for bed.\Don't do that when I'm here!\Why?\You're fine with a guy watching you do that stuff?\A guy?\You're nothing more than a familiar. response:	What?!
context: What are you doing?\I'm changing for bed.\Don't do that when I'm here!\Why?\You're fine with a guy watching you do that stuff?\A guy?\You're nothing more than a familiar.\What?! response:	Okay, wash those for me.
context: I'm changing for bed.\Don't do that when I'm here!\Why?\You're fine with a guy watching you do that stuff?\A guy?\You're nothing more than a familiar.\What?!\Okay, wash those for me. response:	Wait...
context: Don't do that when I'm here!\Why?\You're fine with a guy watching you do that stuff?\A guy?\You're nothing more than a familiar.\What?!\Okay, wash those for me.\Wait... response:	Why do I have to wash your lingerie...
context: Why?\You're fine with a guy watching you do that stuff?\A guy?\You're nothing more than a familiar.\What?!\Okay, wash those for me.\Wait...\Why do I have to wash your lingerie... response:	I don't know whether to be happy or upset about this...
context: You're fine with a guy watching you do that stuff?\A guy?\You're nothing more than a familiar.\What?!\Okay, wash those for me.\Wait...\Why do I have to wash your lingerie...\I don't know whether to be happy or upset about this... response:	No, this is where I'm supposed to be upset!
context: A guy?\You're nothing more than a familiar.\What?!\Okay, wash those for me.\Wait...\Why do I have to wash your lingerie...\I don't know whether to be happy or upset about this...\No, this is where I'm supposed to be upset! response:	Yeah!
context: You're nothing more than a familiar.\What?!\Okay, wash those for me.\Wait...\Why do I have to wash your lingerie...\I don't know whether to be happy or upset about this...\No, this is where I'm supposed to be upset!\Yeah! response:	Hey, I'm never going to do your laundry...
context: What?!\Okay, wash those for me.\Wait...\Why do I have to wash your lingerie...\I don't know whether to be happy or upset about this...\No, this is where I'm supposed to be upset!\Yeah!\Hey, I'm never going to do your laundry... response:	And just who do you think will be taking care of you?
context: Okay, wash those for me.\Wait...\Why do I have to wash your lingerie...\I don't know whether to be happy or upset about this...\No, this is where I'm supposed to be upset!\Yeah!\Hey, I'm never going to do your laundry...\And just who do you think will be taking care of you? response:	You're my familiar, right?
context: Wait...\Why do I have to wash your lingerie...\I don't know whether to be happy or upset about this...\No, this is where I'm supposed to be upset!\Yeah!\Hey, I'm never going to do your laundry...\And just who do you think will be taking care of you?\You're my familiar, right? response:	Cleaning, laundry, errands... those are to be expected.
context: Why do I have to wash your lingerie...\I don't know whether to be happy or upset about this...\No, this is where I'm supposed to be upset!\Yeah!\Hey, I'm never going to do your laundry...\And just who do you think will be taking care of you?\You're my familiar, right?\Cleaning, laundry, errands... those are to be expected. response:	Make sure to have my clothes ready by morning.
context: I don't know whether to be happy or upset about this...\No, this is where I'm supposed to be upset!\Yeah!\Hey, I'm never going to do your laundry...\And just who do you think will be taking care of you?\You're my familiar, right?\Cleaning, laundry, errands... those are to be expected.\Make sure to have my clothes ready by morning. response:	Don't worry.
context: No, this is where I'm supposed to be upset!\Yeah!\Hey, I'm never going to do your laundry...\And just who do you think will be taking care of you?\You're my familiar, right?\Cleaning, laundry, errands... those are to be expected.\Make sure to have my clothes ready by morning.\Don't worry. response:	If you do your work right, you'll get fed.
context: Yeah!\Hey, I'm never going to do your laundry...\And just who do you think will be taking care of you?\You're my familiar, right?\Cleaning, laundry, errands... those are to be expected.\Make sure to have my clothes ready by morning.\Don't worry.\If you do your work right, you'll get fed. response:	Fed? Are you treating me like a dog or something?!
context: Hey, I'm never going to do your laundry...\And just who do you think will be taking care of you?\You're my familiar, right?\Cleaning, laundry, errands... those are to be expected.\Make sure to have my clothes ready by morning.\Don't worry.\If you do your work right, you'll get fed.\Fed? Are you treating me like a dog or something?! response:	Well, for now, I guess whatever happens, happens.
context: And just who do you think will be taking care of you?\You're my familiar, right?\Cleaning, laundry, errands... those are to be expected.\Make sure to have my clothes ready by morning.\Don't worry.\If you do your work right, you'll get fed.\Fed? Are you treating me like a dog or something?!\Well, for now, I guess whatever happens, happens. response:	So cold...
context: You're my familiar, right?\Cleaning, laundry, errands... those are to be expected.\Make sure to have my clothes ready by morning.\Don't worry.\If you do your work right, you'll get fed.\Fed? Are you treating me like a dog or something?!\Well, for now, I guess whatever happens, happens.\So cold... response:	Who are you?
context: Cleaning, laundry, errands... those are to be expected.\Make sure to have my clothes ready by morning.\Don't worry.\If you do your work right, you'll get fed.\Fed? Are you treating me like a dog or something?!\Well, for now, I guess whatever happens, happens.\So cold...\Who are you? response:	Here's your clothes.
context: Make sure to have my clothes ready by morning.\Don't worry.\If you do your work right, you'll get fed.\Fed? Are you treating me like a dog or something?!\Well, for now, I guess whatever happens, happens.\So cold...\Who are you?\Here's your clothes. response:	You're the one who told me to have it ready in the morning!
context: Don't worry.\If you do your work right, you'll get fed.\Fed? Are you treating me like a dog or something?!\Well, for now, I guess whatever happens, happens.\So cold...\Who are you?\Here's your clothes.\You're the one who told me to have it ready in the morning! response:	Oh... The familiar...
context: If you do your work right, you'll get fed.\Fed? Are you treating me like a dog or something?!\Well, for now, I guess whatever happens, happens.\So cold...\Who are you?\Here's your clothes.\You're the one who told me to have it ready in the morning!\Oh... The familiar... response:	That's right, I summoned one yesterday.
context: Fed? Are you treating me like a dog or something?!\Well, for now, I guess whatever happens, happens.\So cold...\Who are you?\Here's your clothes.\You're the one who told me to have it ready in the morning!\Oh... The familiar...\That's right, I summoned one yesterday. response:	And the underwear?
context: Well, for now, I guess whatever happens, happens.\So cold...\Who are you?\Here's your clothes.\You're the one who told me to have it ready in the morning!\Oh... The familiar...\That's right, I summoned one yesterday.\And the underwear? response:	You can get those for yourself, at least!
context: So cold...\Who are you?\Here's your clothes.\You're the one who told me to have it ready in the morning!\Oh... The familiar...\That's right, I summoned one yesterday.\And the underwear?\You can get those for yourself, at least! response:	You can go without a meal.
context: Who are you?\Here's your clothes.\You're the one who told me to have it ready in the morning!\Oh... The familiar...\That's right, I summoned one yesterday.\And the underwear?\You can get those for yourself, at least!\You can go without a meal. response:	In the bottom drawer.
context: Here's your clothes.\You're the one who told me to have it ready in the morning!\Oh... The familiar...\That's right, I summoned one yesterday.\And the underwear?\You can get those for yourself, at least!\You can go without a meal.\In the bottom drawer. response:	Dammit!
context: You're the one who told me to have it ready in the morning!\Oh... The familiar...\That's right, I summoned one yesterday.\And the underwear?\You can get those for yourself, at least!\You can go without a meal.\In the bottom drawer.\Dammit! response:	Why me...
context: Oh... The familiar...\That's right, I summoned one yesterday.\And the underwear?\You can get those for yourself, at least!\You can go without a meal.\In the bottom drawer.\Dammit!\Why me... response:	Here!
context: That's right, I summoned one yesterday.\And the underwear?\You can get those for yourself, at least!\You can go without a meal.\In the bottom drawer.\Dammit!\Why me...\Here! response:	Hey, can you take this thing off already?
context: And the underwear?\You can get those for yourself, at least!\You can go without a meal.\In the bottom drawer.\Dammit!\Why me...\Here!\Hey, can you take this thing off already? response:	No.
context: You can get those for yourself, at least!\You can go without a meal.\In the bottom drawer.\Dammit!\Why me...\Here!\Hey, can you take this thing off already?\No. response:	I won't run away!
context: You can go without a meal.\In the bottom drawer.\Dammit!\Why me...\Here!\Hey, can you take this thing off already?\No.\I won't run away! response:	I've been brought to this place that makes no sense whatsoever,
context: In the bottom drawer.\Dammit!\Why me...\Here!\Hey, can you take this thing off already?\No.\I won't run away!\I've been brought to this place that makes no sense whatsoever, response:	so where do you think I'm going to run off to?!
context: Dammit!\Why me...\Here!\Hey, can you take this thing off already?\No.\I won't run away!\I've been brought to this place that makes no sense whatsoever,\so where do you think I'm going to run off to?! response:	Shut up! Fine!
context: Why me...\Here!\Hey, can you take this thing off already?\No.\I won't run away!\I've been brought to this place that makes no sense whatsoever,\so where do you think I'm going to run off to?!\Shut up! Fine! response:	What?!
context: Here!\Hey, can you take this thing off already?\No.\I won't run away!\I've been brought to this place that makes no sense whatsoever,\so where do you think I'm going to run off to?!\Shut up! Fine!\What?! response:	Dress me.
context: Hey, can you take this thing off already?\No.\I won't run away!\I've been brought to this place that makes no sense whatsoever,\so where do you think I'm going to run off to?!\Shut up! Fine!\What?!\Dress me. response:	You can put your own clothes on.
context: No.\I won't run away!\I've been brought to this place that makes no sense whatsoever,\so where do you think I'm going to run off to?!\Shut up! Fine!\What?!\Dress me.\You can put your own clothes on. response:	Nobles that have servants never dress themselves!
context: I won't run away!\I've been brought to this place that makes no sense whatsoever,\so where do you think I'm going to run off to?!\Shut up! Fine!\What?!\Dress me.\You can put your own clothes on.\Nobles that have servants never dress themselves! response:	What do you mean, nobles?
context: I've been brought to this place that makes no sense whatsoever,\so where do you think I'm going to run off to?!\Shut up! Fine!\What?!\Dress me.\You can put your own clothes on.\Nobles that have servants never dress themselves!\What do you mean, nobles? response:	Don't go acting all...
context: so where do you think I'm going to run off to?!\Shut up! Fine!\What?!\Dress me.\You can put your own clothes on.\Nobles that have servants never dress themselves!\What do you mean, nobles?\Don't go acting all... response:	I see! Don't go acting all...
context: Shut up! Fine!\What?!\Dress me.\You can put your own clothes on.\Nobles that have servants never dress themselves!\What do you mean, nobles?\Don't go acting all...\I see! Don't go acting all... response:	I guess you won't be needing a meal then.
context: What?!\Dress me.\You can put your own clothes on.\Nobles that have servants never dress themselves!\What do you mean, nobles?\Don't go acting all...\I see! Don't go acting all...\I guess you won't be needing a meal then. response:	And you want to keep that chain on too?
context: Dress me.\You can put your own clothes on.\Nobles that have servants never dress themselves!\What do you mean, nobles?\Don't go acting all...\I see! Don't go acting all...\I guess you won't be needing a meal then.\And you want to keep that chain on too? response:	It's a promise.
context: You can put your own clothes on.\Nobles that have servants never dress themselves!\What do you mean, nobles?\Don't go acting all...\I see! Don't go acting all...\I guess you won't be needing a meal then.\And you want to keep that chain on too?\It's a promise. response:	Now take this thing off!
context: Nobles that have servants never dress themselves!\What do you mean, nobles?\Don't go acting all...\I see! Don't go acting all...\I guess you won't be needing a meal then.\And you want to keep that chain on too?\It's a promise.\Now take this thing off! response:	I guess I have no choice.
context: What do you mean, nobles?\Don't go acting all...\I see! Don't go acting all...\I guess you won't be needing a meal then.\And you want to keep that chain on too?\It's a promise.\Now take this thing off!\I guess I have no choice. response:	She'd be pretty if she kept her trap shut.
context: Don't go acting all...\I see! Don't go acting all...\I guess you won't be needing a meal then.\And you want to keep that chain on too?\It's a promise.\Now take this thing off!\I guess I have no choice.\She'd be pretty if she kept her trap shut. response:	What?
context: I see! Don't go acting all...\I guess you won't be needing a meal then.\And you want to keep that chain on too?\It's a promise.\Now take this thing off!\I guess I have no choice.\She'd be pretty if she kept her trap shut.\What? response:	No, nothing.
context: I guess you won't be needing a meal then.\And you want to keep that chain on too?\It's a promise.\Now take this thing off!\I guess I have no choice.\She'd be pretty if she kept her trap shut.\What?\No, nothing. response:	Let's go.
context: And you want to keep that chain on too?\It's a promise.\Now take this thing off!\I guess I have no choice.\She'd be pretty if she kept her trap shut.\What?\No, nothing.\Let's go. response:	Where to?
context: It's a promise.\Now take this thing off!\I guess I have no choice.\She'd be pretty if she kept her trap shut.\What?\No, nothing.\Let's go.\Where to? response:	To breakfast, of course.
context: Now take this thing off!\I guess I have no choice.\She'd be pretty if she kept her trap shut.\What?\No, nothing.\Let's go.\Where to?\To breakfast, of course. response:	They're here.
context: I guess I have no choice.\She'd be pretty if she kept her trap shut.\What?\No, nothing.\Let's go.\Where to?\To breakfast, of course.\They're here. response:	The much-rumored runaway familiar, and his master...
context: She'd be pretty if she kept her trap shut.\What?\No, nothing.\Let's go.\Where to?\To breakfast, of course.\They're here.\The much-rumored runaway familiar, and his master... response:	Man! What a feast!
context: What?\No, nothing.\Let's go.\Where to?\To breakfast, of course.\They're here.\The much-rumored runaway familiar, and his master...\Man! What a feast! response:	Hurry up and pull the chair back. You really are inconsiderate.
context: No, nothing.\Let's go.\Where to?\To breakfast, of course.\They're here.\The much-rumored runaway familiar, and his master...\Man! What a feast!\Hurry up and pull the chair back. You really are inconsiderate. response:	Yeah, sure, sure.
context: Let's go.\Where to?\To breakfast, of course.\They're here.\The much-rumored runaway familiar, and his master...\Man! What a feast!\Hurry up and pull the chair back. You really are inconsiderate.\Yeah, sure, sure. response:	Is today some kind of anniversary?
context: Where to?\To breakfast, of course.\They're here.\The much-rumored runaway familiar, and his master...\Man! What a feast!\Hurry up and pull the chair back. You really are inconsiderate.\Yeah, sure, sure.\Is today some kind of anniversary? response:	This is a feast, for so early in the morning!
context: To breakfast, of course.\They're here.\The much-rumored runaway familiar, and his master...\Man! What a feast!\Hurry up and pull the chair back. You really are inconsiderate.\Yeah, sure, sure.\Is today some kind of anniversary?\This is a feast, for so early in the morning! response:	Oh, I haven't eaten anything since yesterday, so...
context: They're here.\The much-rumored runaway familiar, and his master...\Man! What a feast!\Hurry up and pull the chair back. You really are inconsiderate.\Yeah, sure, sure.\Is today some kind of anniversary?\This is a feast, for so early in the morning!\Oh, I haven't eaten anything since yesterday, so... response:	What?
context: The much-rumored runaway familiar, and his master...\Man! What a feast!\Hurry up and pull the chair back. You really are inconsiderate.\Yeah, sure, sure.\Is today some kind of anniversary?\This is a feast, for so early in the morning!\Oh, I haven't eaten anything since yesterday, so...\What? response:	It's... a plate?
context: Man! What a feast!\Hurry up and pull the chair back. You really are inconsiderate.\Yeah, sure, sure.\Is today some kind of anniversary?\This is a feast, for so early in the morning!\Oh, I haven't eaten anything since yesterday, so...\What?\It's... a plate? response:	Only nobles can sit here.
context: Hurry up and pull the chair back. You really are inconsiderate.\Yeah, sure, sure.\Is today some kind of anniversary?\This is a feast, for so early in the morning!\Oh, I haven't eaten anything since yesterday, so...\What?\It's... a plate?\Only nobles can sit here. response:	You, peasant, sit down here.
context: Yeah, sure, sure.\Is today some kind of anniversary?\This is a feast, for so early in the morning!\Oh, I haven't eaten anything since yesterday, so...\What?\It's... a plate?\Only nobles can sit here.\You, peasant, sit down here. response:	No way!
context: Is today some kind of anniversary?\This is a feast, for so early in the morning!\Oh, I haven't eaten anything since yesterday, so...\What?\It's... a plate?\Only nobles can sit here.\You, peasant, sit down here.\No way! response:	O great founder Bremir and Her Royal Highness,
context: This is a feast, for so early in the morning!\Oh, I haven't eaten anything since yesterday, so...\What?\It's... a plate?\Only nobles can sit here.\You, peasant, sit down here.\No way!\O great founder Bremir and Her Royal Highness, response:	we are once again grateful
context: Oh, I haven't eaten anything since yesterday, so...\What?\It's... a plate?\Only nobles can sit here.\You, peasant, sit down here.\No way!\O great founder Bremir and Her Royal Highness,\we are once again grateful response:	for the humble meal that you have brought us this morning.
context: What?\It's... a plate?\Only nobles can sit here.\You, peasant, sit down here.\No way!\O great founder Bremir and Her Royal Highness,\we are once again grateful\for the humble meal that you have brought us this morning. response:	The humble meal's right here.
context: It's... a plate?\Only nobles can sit here.\You, peasant, sit down here.\No way!\O great founder Bremir and Her Royal Highness,\we are once again grateful\for the humble meal that you have brought us this morning.\The humble meal's right here. response:	Normally, familiars wait outside during a meal.
context: Only nobles can sit here.\You, peasant, sit down here.\No way!\O great founder Bremir and Her Royal Highness,\we are once again grateful\for the humble meal that you have brought us this morning.\The humble meal's right here.\Normally, familiars wait outside during a meal. response:	I specially let you stay with me.
context: You, peasant, sit down here.\No way!\O great founder Bremir and Her Royal Highness,\we are once again grateful\for the humble meal that you have brought us this morning.\The humble meal's right here.\Normally, familiars wait outside during a meal.\I specially let you stay with me. response:	If that's the case, I'd rather eat elsewhere!
context: No way!\O great founder Bremir and Her Royal Highness,\we are once again grateful\for the humble meal that you have brought us this morning.\The humble meal's right here.\Normally, familiars wait outside during a meal.\I specially let you stay with me.\If that's the case, I'd rather eat elsewhere! response:	What's everyone doing?
context: O great founder Bremir and Her Royal Highness,\we are once again grateful\for the humble meal that you have brought us this morning.\The humble meal's right here.\Normally, familiars wait outside during a meal.\I specially let you stay with me.\If that's the case, I'd rather eat elsewhere!\What's everyone doing? response:	All second-year students have the day off today.
context: we are once again grateful\for the humble meal that you have brought us this morning.\The humble meal's right here.\Normally, familiars wait outside during a meal.\I specially let you stay with me.\If that's the case, I'd rather eat elsewhere!\What's everyone doing?\All second-year students have the day off today. response:	We're all supposed to communicate
context: for the humble meal that you have brought us this morning.\The humble meal's right here.\Normally, familiars wait outside during a meal.\I specially let you stay with me.\If that's the case, I'd rather eat elsewhere!\What's everyone doing?\All second-year students have the day off today.\We're all supposed to communicate response:	with all our freshly- summoned familiars.
context: The humble meal's right here.\Normally, familiars wait outside during a meal.\I specially let you stay with me.\If that's the case, I'd rather eat elsewhere!\What's everyone doing?\All second-year students have the day off today.\We're all supposed to communicate\with all our freshly- summoned familiars. response:	I'd just as soon pass.
context: Normally, familiars wait outside during a meal.\I specially let you stay with me.\If that's the case, I'd rather eat elsewhere!\What's everyone doing?\All second-year students have the day off today.\We're all supposed to communicate\with all our freshly- summoned familiars.\I'd just as soon pass. response:	Oh?
context: I specially let you stay with me.\If that's the case, I'd rather eat elsewhere!\What's everyone doing?\All second-year students have the day off today.\We're all supposed to communicate\with all our freshly- summoned familiars.\I'd just as soon pass.\Oh? response:	It's some red thing!
context: If that's the case, I'd rather eat elsewhere!\What's everyone doing?\All second-year students have the day off today.\We're all supposed to communicate\with all our freshly- summoned familiars.\I'd just as soon pass.\Oh?\It's some red thing! response:	Is this the first time you've seen a salamander?
context: What's everyone doing?\All second-year students have the day off today.\We're all supposed to communicate\with all our freshly- summoned familiars.\I'd just as soon pass.\Oh?\It's some red thing!\Is this the first time you've seen a salamander? response:	Keep it on a leash! That was dangerous!
context: All second-year students have the day off today.\We're all supposed to communicate\with all our freshly- summoned familiars.\I'd just as soon pass.\Oh?\It's some red thing!\Is this the first time you've seen a salamander?\Keep it on a leash! That was dangerous! response:	It's all right. Familiars under contract
context: We're all supposed to communicate\with all our freshly- summoned familiars.\I'd just as soon pass.\Oh?\It's some red thing!\Is this the first time you've seen a salamander?\Keep it on a leash! That was dangerous!\It's all right. Familiars under contract response:	faithfully obey every order from their master,
context: with all our freshly- summoned familiars.\I'd just as soon pass.\Oh?\It's some red thing!\Is this the first time you've seen a salamander?\Keep it on a leash! That was dangerous!\It's all right. Familiars under contract\faithfully obey every order from their master, response:	and they never run away.
context: I'd just as soon pass.\Oh?\It's some red thing!\Is this the first time you've seen a salamander?\Keep it on a leash! That was dangerous!\It's all right. Familiars under contract\faithfully obey every order from their master,\and they never run away. response:	Isn't that right, Flame?
context: Oh?\It's some red thing!\Is this the first time you've seen a salamander?\Keep it on a leash! That was dangerous!\It's all right. Familiars under contract\faithfully obey every order from their master,\and they never run away.\Isn't that right, Flame? response:	Don't give me that!
context: It's some red thing!\Is this the first time you've seen a salamander?\Keep it on a leash! That was dangerous!\It's all right. Familiars under contract\faithfully obey every order from their master,\and they never run away.\Isn't that right, Flame?\Don't give me that! response:	You know, didn't you just sneak in
context: Is this the first time you've seen a salamander?\Keep it on a leash! That was dangerous!\It's all right. Familiars under contract\faithfully obey every order from their master,\and they never run away.\Isn't that right, Flame?\Don't give me that!\You know, didn't you just sneak in response:	a peasant that was walking around the area?
context: Keep it on a leash! That was dangerous!\It's all right. Familiars under contract\faithfully obey every order from their master,\and they never run away.\Isn't that right, Flame?\Don't give me that!\You know, didn't you just sneak in\a peasant that was walking around the area? response:	You covered it up well with that explosion.
context: It's all right. Familiars under contract\faithfully obey every order from their master,\and they never run away.\Isn't that right, Flame?\Don't give me that!\You know, didn't you just sneak in\a peasant that was walking around the area?\You covered it up well with that explosion. response:	That's not true! I made the summons properly.
context: faithfully obey every order from their master,\and they never run away.\Isn't that right, Flame?\Don't give me that!\You know, didn't you just sneak in\a peasant that was walking around the area?\You covered it up well with that explosion.\That's not true! I made the summons properly. response:	This guy just happened to show up!
context: and they never run away.\Isn't that right, Flame?\Don't give me that!\You know, didn't you just sneak in\a peasant that was walking around the area?\You covered it up well with that explosion.\That's not true! I made the summons properly.\This guy just happened to show up! response:	Well, he's very befitting of Louise the Zero.
context: Isn't that right, Flame?\Don't give me that!\You know, didn't you just sneak in\a peasant that was walking around the area?\You covered it up well with that explosion.\That's not true! I made the summons properly.\This guy just happened to show up!\Well, he's very befitting of Louise the Zero. response:	What's up with that wench?!
context: Don't give me that!\You know, didn't you just sneak in\a peasant that was walking around the area?\You covered it up well with that explosion.\That's not true! I made the summons properly.\This guy just happened to show up!\Well, he's very befitting of Louise the Zero.\What's up with that wench?! response:	Don't just stand there! Bring me some tea, at least!
