context: Long have I awaited this moment, human filth. response:	With the Subterranean and Deep Sea kings gone,
context: We'll be on top of Bravo shortly.\UNPARALLELED PERIL\And who are you?\Hello? What is it?\What do you mean, come back?!\You're the one who said some weirdo monster was waking up\and flew me out here!\Weirdo...? response:	That's right. I was just about to start.
context: UNPARALLELED PERIL\And who are you?\Hello? What is it?\What do you mean, come back?!\You're the one who said some weirdo monster was waking up\and flew me out here!\Weirdo...?\That's right. I was just about to start. response:	Listen well! I am the Ancient King.
context: And who are you?\Hello? What is it?\What do you mean, come back?!\You're the one who said some weirdo monster was waking up\and flew me out here!\Weirdo...?\That's right. I was just about to start.\Listen well! I am the Ancient King. response:	As ruler of the dinosaurs Trouble? So what?
context: Hello? What is it?\What do you mean, come back?!\You're the one who said some weirdo monster was waking up\and flew me out here!\Weirdo...?\That's right. I was just about to start.\Listen well! I am the Ancient King.\As ruler of the dinosaurs Trouble? So what? response:	who once ruled this planet, It's not my problem.
context: What do you mean, come back?!\You're the one who said some weirdo monster was waking up\and flew me out here!\Weirdo...?\That's right. I was just about to start.\Listen well! I am the Ancient King.\As ruler of the dinosaurs Trouble? So what?\who once ruled this planet, It's not my problem. response:	I stand above all other lifeforms. Hey, shut it!
context: You're the one who said some weirdo monster was waking up\and flew me out here!\Weirdo...?\That's right. I was just about to start.\Listen well! I am the Ancient King.\As ruler of the dinosaurs Trouble? So what?\who once ruled this planet, It's not my problem.\I stand above all other lifeforms. Hey, shut it! response:	Can't you see I'm on the phone here?!
context: and flew me out here!\Weirdo...?\That's right. I was just about to start.\Listen well! I am the Ancient King.\As ruler of the dinosaurs Trouble? So what?\who once ruled this planet, It's not my problem.\I stand above all other lifeforms. Hey, shut it!\Can't you see I'm on the phone here?! response:	I'm so tired of this.
context: Weirdo...?\That's right. I was just about to start.\Listen well! I am the Ancient King.\As ruler of the dinosaurs Trouble? So what?\who once ruled this planet, It's not my problem.\I stand above all other lifeforms. Hey, shut it!\Can't you see I'm on the phone here?!\I'm so tired of this. response:	Who's he think he is, ordering people about?
context: That's right. I was just about to start.\Listen well! I am the Ancient King.\As ruler of the dinosaurs Trouble? So what?\who once ruled this planet, It's not my problem.\I stand above all other lifeforms. Hey, shut it!\Can't you see I'm on the phone here?!\I'm so tired of this.\Who's he think he is, ordering people about? response:	Are you done?
context: Listen well! I am the Ancient King.\As ruler of the dinosaurs Trouble? So what?\who once ruled this planet, It's not my problem.\I stand above all other lifeforms. Hey, shut it!\Can't you see I'm on the phone here?!\I'm so tired of this.\Who's he think he is, ordering people about?\Are you done? response:	What's with the chin? Trying to be scary?
context: As ruler of the dinosaurs Trouble? So what?\who once ruled this planet, It's not my problem.\I stand above all other lifeforms. Hey, shut it!\Can't you see I'm on the phone here?!\I'm so tired of this.\Who's he think he is, ordering people about?\Are you done?\What's with the chin? Trying to be scary? response:	Should I be intimidated?
context: who once ruled this planet, It's not my problem.\I stand above all other lifeforms. Hey, shut it!\Can't you see I'm on the phone here?!\I'm so tired of this.\Who's he think he is, ordering people about?\Are you done?\What's with the chin? Trying to be scary?\Should I be intimidated? response:	Act brave while you still can, little runt.
context: I stand above all other lifeforms. Hey, shut it!\Can't you see I'm on the phone here?!\I'm so tired of this.\Who's he think he is, ordering people about?\Are you done?\What's with the chin? Trying to be scary?\Should I be intimidated?\Act brave while you still can, little runt. response:	Runt?! How dare you!
context: Can't you see I'm on the phone here?!\I'm so tired of this.\Who's he think he is, ordering people about?\Are you done?\What's with the chin? Trying to be scary?\Should I be intimidated?\Act brave while you still can, little runt.\Runt?! How dare you! response:	Ah, so you aren't helpless!
context: I'm so tired of this.\Who's he think he is, ordering people about?\Are you done?\What's with the chin? Trying to be scary?\Should I be intimidated?\Act brave while you still can, little runt.\Runt?! How dare you!\Ah, so you aren't helpless! response:	But if you intend to destroy me, a giant meteor is about the only way.
context: Who's he think he is, ordering people about?\Are you done?\What's with the chin? Trying to be scary?\Should I be intimidated?\Act brave while you still can, little runt.\Runt?! How dare you!\Ah, so you aren't helpless!\But if you intend to destroy me, a giant meteor is about the only way. response:	Fine. I'll do that then.
context: Are you done?\What's with the chin? Trying to be scary?\Should I be intimidated?\Act brave while you still can, little runt.\Runt?! How dare you!\Ah, so you aren't helpless!\But if you intend to destroy me, a giant meteor is about the only way.\Fine. I'll do that then. response:	Don't make me laugh.
context: What's with the chin? Trying to be scary?\Should I be intimidated?\Act brave while you still can, little runt.\Runt?! How dare you!\Ah, so you aren't helpless!\But if you intend to destroy me, a giant meteor is about the only way.\Fine. I'll do that then.\Don't make me laugh. response:	How about another 300,000,000 year nap?
context: Should I be intimidated?\Act brave while you still can, little runt.\Runt?! How dare you!\Ah, so you aren't helpless!\But if you intend to destroy me, a giant meteor is about the only way.\Fine. I'll do that then.\Don't make me laugh.\How about another 300,000,000 year nap? response:	Fist of Flowing Water, Crushed Rock.
context: Act brave while you still can, little runt.\Runt?! How dare you!\Ah, so you aren't helpless!\But if you intend to destroy me, a giant meteor is about the only way.\Fine. I'll do that then.\Don't make me laugh.\How about another 300,000,000 year nap?\Fist of Flowing Water, Crushed Rock. response:	It goes something like that.
context: Runt?! How dare you!\Ah, so you aren't helpless!\But if you intend to destroy me, a giant meteor is about the only way.\Fine. I'll do that then.\Don't make me laugh.\How about another 300,000,000 year nap?\Fist of Flowing Water, Crushed Rock.\It goes something like that. response:	Want to try?
context: Ah, so you aren't helpless!\But if you intend to destroy me, a giant meteor is about the only way.\Fine. I'll do that then.\Don't make me laugh.\How about another 300,000,000 year nap?\Fist of Flowing Water, Crushed Rock.\It goes something like that.\Want to try? response:	You both look like quick learners.
context: But if you intend to destroy me, a giant meteor is about the only way.\Fine. I'll do that then.\Don't make me laugh.\How about another 300,000,000 year nap?\Fist of Flowing Water, Crushed Rock.\It goes something like that.\Want to try?\You both look like quick learners. response:	I bet you'll get the hang of it in no time.
context: Fine. I'll do that then.\Don't make me laugh.\How about another 300,000,000 year nap?\Fist of Flowing Water, Crushed Rock.\It goes something like that.\Want to try?\You both look like quick learners.\I bet you'll get the hang of it in no time. response:	This is the cool thing you said you wanted to show us?
context: Don't make me laugh.\How about another 300,000,000 year nap?\Fist of Flowing Water, Crushed Rock.\It goes something like that.\Want to try?\You both look like quick learners.\I bet you'll get the hang of it in no time.\This is the cool thing you said you wanted to show us? response:	A sales pitch?
context: How about another 300,000,000 year nap?\Fist of Flowing Water, Crushed Rock.\It goes something like that.\Want to try?\You both look like quick learners.\I bet you'll get the hang of it in no time.\This is the cool thing you said you wanted to show us?\A sales pitch? response:	I'll pass. You do it, Genos.
context: Fist of Flowing Water, Crushed Rock.\It goes something like that.\Want to try?\You both look like quick learners.\I bet you'll get the hang of it in no time.\This is the cool thing you said you wanted to show us?\A sales pitch?\I'll pass. You do it, Genos. response:	No, I will pass too.
context: It goes something like that.\Want to try?\You both look like quick learners.\I bet you'll get the hang of it in no time.\This is the cool thing you said you wanted to show us?\A sales pitch?\I'll pass. You do it, Genos.\No, I will pass too. response:	What I seek is not the art of self-defense,
context: Want to try?\You both look like quick learners.\I bet you'll get the hang of it in no time.\This is the cool thing you said you wanted to show us?\A sales pitch?\I'll pass. You do it, Genos.\No, I will pass too.\What I seek is not the art of self-defense, response:	but absolute destructive power.
context: You both look like quick learners.\I bet you'll get the hang of it in no time.\This is the cool thing you said you wanted to show us?\A sales pitch?\I'll pass. You do it, Genos.\No, I will pass too.\What I seek is not the art of self-defense,\but absolute destructive power. response:	You punks!
context: I bet you'll get the hang of it in no time.\This is the cool thing you said you wanted to show us?\A sales pitch?\I'll pass. You do it, Genos.\No, I will pass too.\What I seek is not the art of self-defense,\but absolute destructive power.\You punks! response:	You dare mock our fighting style?!
context: This is the cool thing you said you wanted to show us?\A sales pitch?\I'll pass. You do it, Genos.\No, I will pass too.\What I seek is not the art of self-defense,\but absolute destructive power.\You punks!\You dare mock our fighting style?! response:	I, Charanko, the top disciple,
context: A sales pitch?\I'll pass. You do it, Genos.\No, I will pass too.\What I seek is not the art of self-defense,\but absolute destructive power.\You punks!\You dare mock our fighting style?!\I, Charanko, the top disciple, response:	challenge you
context: I'll pass. You do it, Genos.\No, I will pass too.\What I seek is not the art of self-defense,\but absolute destructive power.\You punks!\You dare mock our fighting style?!\I, Charanko, the top disciple,\challenge you response:	I give up!
context: No, I will pass too.\What I seek is not the art of self-defense,\but absolute destructive power.\You punks!\You dare mock our fighting style?!\I, Charanko, the top disciple,\challenge you\I give up! response:	Is he really your best?
context: What I seek is not the art of self-defense,\but absolute destructive power.\You punks!\You dare mock our fighting style?!\I, Charanko, the top disciple,\challenge you\I give up!\Is he really your best? response:	Yeah...
context: but absolute destructive power.\You punks!\You dare mock our fighting style?!\I, Charanko, the top disciple,\challenge you\I give up!\Is he really your best?\Yeah... response:	I heard your dojo was full of skilled fighters.
context: You punks!\You dare mock our fighting style?!\I, Charanko, the top disciple,\challenge you\I give up!\Is he really your best?\Yeah...\I heard your dojo was full of skilled fighters. response:	Well, one of my disciples went wild.
context: You dare mock our fighting style?!\I, Charanko, the top disciple,\challenge you\I give up!\Is he really your best?\Yeah...\I heard your dojo was full of skilled fighters.\Well, one of my disciples went wild. response:	He beat my most skilled students
context: I, Charanko, the top disciple,\challenge you\I give up!\Is he really your best?\Yeah...\I heard your dojo was full of skilled fighters.\Well, one of my disciples went wild.\He beat my most skilled students response:	so badly they're all out of commission.
context: challenge you\I give up!\Is he really your best?\Yeah...\I heard your dojo was full of skilled fighters.\Well, one of my disciples went wild.\He beat my most skilled students\so badly they're all out of commission. response:	The rest got scared and quit.
context: I give up!\Is he really your best?\Yeah...\I heard your dojo was full of skilled fighters.\Well, one of my disciples went wild.\He beat my most skilled students\so badly they're all out of commission.\The rest got scared and quit. response:	He's that strong? What's his name?
context: Is he really your best?\Yeah...\I heard your dojo was full of skilled fighters.\Well, one of my disciples went wild.\He beat my most skilled students\so badly they're all out of commission.\The rest got scared and quit.\He's that strong? What's his name? response:	Garo...
context: Yeah...\I heard your dojo was full of skilled fighters.\Well, one of my disciples went wild.\He beat my most skilled students\so badly they're all out of commission.\The rest got scared and quit.\He's that strong? What's his name?\Garo... response:	He was my top disciple at the time,
context: I heard your dojo was full of skilled fighters.\Well, one of my disciples went wild.\He beat my most skilled students\so badly they're all out of commission.\The rest got scared and quit.\He's that strong? What's his name?\Garo...\He was my top disciple at the time, response:	but I gave him a good beating and expelled him.
context: Well, one of my disciples went wild.\He beat my most skilled students\so badly they're all out of commission.\The rest got scared and quit.\He's that strong? What's his name?\Garo...\He was my top disciple at the time,\but I gave him a good beating and expelled him. response:	You must pack a punch, old man.
context: He beat my most skilled students\so badly they're all out of commission.\The rest got scared and quit.\He's that strong? What's his name?\Garo...\He was my top disciple at the time,\but I gave him a good beating and expelled him.\You must pack a punch, old man. response:	Hey! This is the famed hero Silverfang!
context: so badly they're all out of commission.\The rest got scared and quit.\He's that strong? What's his name?\Garo...\He was my top disciple at the time,\but I gave him a good beating and expelled him.\You must pack a punch, old man.\Hey! This is the famed hero Silverfang! response:	Class S hero, rank 3.
context: The rest got scared and quit.\He's that strong? What's his name?\Garo...\He was my top disciple at the time,\but I gave him a good beating and expelled him.\You must pack a punch, old man.\Hey! This is the famed hero Silverfang!\Class S hero, rank 3. response:	He toys with opponents as he flows like water,
context: He's that strong? What's his name?\Garo...\He was my top disciple at the time,\but I gave him a good beating and expelled him.\You must pack a punch, old man.\Hey! This is the famed hero Silverfang!\Class S hero, rank 3.\He toys with opponents as he flows like water, response:	then delivers a blow like a raging river smashing huge rocks!
context: Garo...\He was my top disciple at the time,\but I gave him a good beating and expelled him.\You must pack a punch, old man.\Hey! This is the famed hero Silverfang!\Class S hero, rank 3.\He toys with opponents as he flows like water,\then delivers a blow like a raging river smashing huge rocks! response:	A master of martial arts!
context: He was my top disciple at the time,\but I gave him a good beating and expelled him.\You must pack a punch, old man.\Hey! This is the famed hero Silverfang!\Class S hero, rank 3.\He toys with opponents as he flows like water,\then delivers a blow like a raging river smashing huge rocks!\A master of martial arts! response:	You only became a hero recently, right?
context: but I gave him a good beating and expelled him.\You must pack a punch, old man.\Hey! This is the famed hero Silverfang!\Class S hero, rank 3.\He toys with opponents as he flows like water,\then delivers a blow like a raging river smashing huge rocks!\A master of martial arts!\You only became a hero recently, right? response:	You'll regret taking Master Bang lightly!
context: You must pack a punch, old man.\Hey! This is the famed hero Silverfang!\Class S hero, rank 3.\He toys with opponents as he flows like water,\then delivers a blow like a raging river smashing huge rocks!\A master of martial arts!\You only became a hero recently, right?\You'll regret taking Master Bang lightly! response:	Enough, Charanko!
context: Hey! This is the famed hero Silverfang!\Class S hero, rank 3.\He toys with opponents as he flows like water,\then delivers a blow like a raging river smashing huge rocks!\A master of martial arts!\You only became a hero recently, right?\You'll regret taking Master Bang lightly!\Enough, Charanko! response:	Do not disgrace us.
context: Class S hero, rank 3.\He toys with opponents as he flows like water,\then delivers a blow like a raging river smashing huge rocks!\A master of martial arts!\You only became a hero recently, right?\You'll regret taking Master Bang lightly!\Enough, Charanko!\Do not disgrace us. response:	Saitama is many times stronger than me.
context: He toys with opponents as he flows like water,\then delivers a blow like a raging river smashing huge rocks!\A master of martial arts!\You only became a hero recently, right?\You'll regret taking Master Bang lightly!\Enough, Charanko!\Do not disgrace us.\Saitama is many times stronger than me. response:	Master, you can't be serious...
context: then delivers a blow like a raging river smashing huge rocks!\A master of martial arts!\You only became a hero recently, right?\You'll regret taking Master Bang lightly!\Enough, Charanko!\Do not disgrace us.\Saitama is many times stronger than me.\Master, you can't be serious... response:	Mr. Silverfang!
context: A master of martial arts!\You only became a hero recently, right?\You'll regret taking Master Bang lightly!\Enough, Charanko!\Do not disgrace us.\Saitama is many times stronger than me.\Master, you can't be serious...\Mr. Silverfang! response:	The Association sent me.
context: You only became a hero recently, right?\You'll regret taking Master Bang lightly!\Enough, Charanko!\Do not disgrace us.\Saitama is many times stronger than me.\Master, you can't be serious...\Mr. Silverfang!\The Association sent me. response:	An emergency summons has been issued to all Class S heroes!
context: You'll regret taking Master Bang lightly!\Enough, Charanko!\Do not disgrace us.\Saitama is many times stronger than me.\Master, you can't be serious...\Mr. Silverfang!\The Association sent me.\An emergency summons has been issued to all Class S heroes! response:	Please come to Association Headquarters.
context: Enough, Charanko!\Do not disgrace us.\Saitama is many times stronger than me.\Master, you can't be serious...\Mr. Silverfang!\The Association sent me.\An emergency summons has been issued to all Class S heroes!\Please come to Association Headquarters. response:	Oh! Is that you, Mr. Genos?
context: Do not disgrace us.\Saitama is many times stronger than me.\Master, you can't be serious...\Mr. Silverfang!\The Association sent me.\An emergency summons has been issued to all Class S heroes!\Please come to Association Headquarters.\Oh! Is that you, Mr. Genos? response:	Since all Class S heroes have been summoned, please come too.
context: Saitama is many times stronger than me.\Master, you can't be serious...\Mr. Silverfang!\The Association sent me.\An emergency summons has been issued to all Class S heroes!\Please come to Association Headquarters.\Oh! Is that you, Mr. Genos?\Since all Class S heroes have been summoned, please come too. response:	Is it threat level Dragon?
context: Master, you can't be serious...\Mr. Silverfang!\The Association sent me.\An emergency summons has been issued to all Class S heroes!\Please come to Association Headquarters.\Oh! Is that you, Mr. Genos?\Since all Class S heroes have been summoned, please come too.\Is it threat level Dragon? response:	Here we go...
context: Mr. Silverfang!\The Association sent me.\An emergency summons has been issued to all Class S heroes!\Please come to Association Headquarters.\Oh! Is that you, Mr. Genos?\Since all Class S heroes have been summoned, please come too.\Is it threat level Dragon?\Here we go... response:	Charanko, look after the dojo.
context: The Association sent me.\An emergency summons has been issued to all Class S heroes!\Please come to Association Headquarters.\Oh! Is that you, Mr. Genos?\Since all Class S heroes have been summoned, please come too.\Is it threat level Dragon?\Here we go...\Charanko, look after the dojo. response:	Be careful, Master!
context: An emergency summons has been issued to all Class S heroes!\Please come to Association Headquarters.\Oh! Is that you, Mr. Genos?\Since all Class S heroes have been summoned, please come too.\Is it threat level Dragon?\Here we go...\Charanko, look after the dojo.\Be careful, Master! response:	If Class S is being summoned, they may need your help too, Master.
context: Please come to Association Headquarters.\Oh! Is that you, Mr. Genos?\Since all Class S heroes have been summoned, please come too.\Is it threat level Dragon?\Here we go...\Charanko, look after the dojo.\Be careful, Master!\If Class S is being summoned, they may need your help too, Master. response:	Will you come?
context: Oh! Is that you, Mr. Genos?\Since all Class S heroes have been summoned, please come too.\Is it threat level Dragon?\Here we go...\Charanko, look after the dojo.\Be careful, Master!\If Class S is being summoned, they may need your help too, Master.\Will you come? response:	I willsince I got nothing to do.
context: Since all Class S heroes have been summoned, please come too.\Is it threat level Dragon?\Here we go...\Charanko, look after the dojo.\Be careful, Master!\If Class S is being summoned, they may need your help too, Master.\Will you come?\I willsince I got nothing to do. response:	HERO ASSOCIATION HQ
context: Is it threat level Dragon?\Here we go...\Charanko, look after the dojo.\Be careful, Master!\If Class S is being summoned, they may need your help too, Master.\Will you come?\I willsince I got nothing to do.\HERO ASSOCIATION HQ response:	Oh ho, Silverfang!
context: Here we go...\Charanko, look after the dojo.\Be careful, Master!\If Class S is being summoned, they may need your help too, Master.\Will you come?\I willsince I got nothing to do.\HERO ASSOCIATION HQ\Oh ho, Silverfang! response:	It's been a while, Atomic Samurai.
context: Charanko, look after the dojo.\Be careful, Master!\If Class S is being summoned, they may need your help too, Master.\Will you come?\I willsince I got nothing to do.\HERO ASSOCIATION HQ\Oh ho, Silverfang!\It's been a while, Atomic Samurai. response:	I knew you'd come.
context: Be careful, Master!\If Class S is being summoned, they may need your help too, Master.\Will you come?\I willsince I got nothing to do.\HERO ASSOCIATION HQ\Oh ho, Silverfang!\It's been a while, Atomic Samurai.\I knew you'd come. response:	And this is the cyborg Genos and...
context: If Class S is being summoned, they may need your help too, Master.\Will you come?\I willsince I got nothing to do.\HERO ASSOCIATION HQ\Oh ho, Silverfang!\It's been a while, Atomic Samurai.\I knew you'd come.\And this is the cyborg Genos and... response:	Hm? Who's this?
context: Will you come?\I willsince I got nothing to do.\HERO ASSOCIATION HQ\Oh ho, Silverfang!\It's been a while, Atomic Samurai.\I knew you'd come.\And this is the cyborg Genos and...\Hm? Who's this? response:	This is the Class B hero Saitama.
context: I willsince I got nothing to do.\HERO ASSOCIATION HQ\Oh ho, Silverfang!\It's been a while, Atomic Samurai.\I knew you'd come.\And this is the cyborg Genos and...\Hm? Who's this?\This is the Class B hero Saitama. response:	His exceptional talent will one day place him atop Class S, I'm sure,
context: HERO ASSOCIATION HQ\Oh ho, Silverfang!\It's been a while, Atomic Samurai.\I knew you'd come.\And this is the cyborg Genos and...\Hm? Who's this?\This is the Class B hero Saitama.\His exceptional talent will one day place him atop Class S, I'm sure, response:	so we asked him to come.
context: Oh ho, Silverfang!\It's been a while, Atomic Samurai.\I knew you'd come.\And this is the cyborg Genos and...\Hm? Who's this?\This is the Class B hero Saitama.\His exceptional talent will one day place him atop Class S, I'm sure,\so we asked him to come. response:	Hi, middle-aged hero dude!
context: It's been a while, Atomic Samurai.\I knew you'd come.\And this is the cyborg Genos and...\Hm? Who's this?\This is the Class B hero Saitama.\His exceptional talent will one day place him atop Class S, I'm sure,\so we asked him to come.\Hi, middle-aged hero dude! response:	Put'er there!
context: I knew you'd come.\And this is the cyborg Genos and...\Hm? Who's this?\This is the Class B hero Saitama.\His exceptional talent will one day place him atop Class S, I'm sure,\so we asked him to come.\Hi, middle-aged hero dude!\Put'er there! response:	No handshakes. I acknowledge only the strong.
context: And this is the cyborg Genos and...\Hm? Who's this?\This is the Class B hero Saitama.\His exceptional talent will one day place him atop Class S, I'm sure,\so we asked him to come.\Hi, middle-aged hero dude!\Put'er there!\No handshakes. I acknowledge only the strong. response:	Once you've climbed up to Class S, I'll greet you properly.
context: Hm? Who's this?\This is the Class B hero Saitama.\His exceptional talent will one day place him atop Class S, I'm sure,\so we asked him to come.\Hi, middle-aged hero dude!\Put'er there!\No handshakes. I acknowledge only the strong.\Once you've climbed up to Class S, I'll greet you properly. response:	Besides, I'm not middle-aged yet.
context: This is the Class B hero Saitama.\His exceptional talent will one day place him atop Class S, I'm sure,\so we asked him to come.\Hi, middle-aged hero dude!\Put'er there!\No handshakes. I acknowledge only the strong.\Once you've climbed up to Class S, I'll greet you properly.\Besides, I'm not middle-aged yet. response:	I'm only 37.
context: His exceptional talent will one day place him atop Class S, I'm sure,\so we asked him to come.\Hi, middle-aged hero dude!\Put'er there!\No handshakes. I acknowledge only the strong.\Once you've climbed up to Class S, I'll greet you properly.\Besides, I'm not middle-aged yet.\I'm only 37. response:	37 isn't middle-aged? I had no idea
context: so we asked him to come.\Hi, middle-aged hero dude!\Put'er there!\No handshakes. I acknowledge only the strong.\Once you've climbed up to Class S, I'll greet you properly.\Besides, I'm not middle-aged yet.\I'm only 37.\37 isn't middle-aged? I had no idea response:	Hey, who brought a Class B nobody along?
context: Hi, middle-aged hero dude!\Put'er there!\No handshakes. I acknowledge only the strong.\Once you've climbed up to Class S, I'll greet you properly.\Besides, I'm not middle-aged yet.\I'm only 37.\37 isn't middle-aged? I had no idea\Hey, who brought a Class B nobody along? response:	Don't you think it's beneath us?
context: Put'er there!\No handshakes. I acknowledge only the strong.\Once you've climbed up to Class S, I'll greet you properly.\Besides, I'm not middle-aged yet.\I'm only 37.\37 isn't middle-aged? I had no idea\Hey, who brought a Class B nobody along?\Don't you think it's beneath us? response:	And even if you were invited, a polite person would decline. The nerve!
context: No handshakes. I acknowledge only the strong.\Once you've climbed up to Class S, I'll greet you properly.\Besides, I'm not middle-aged yet.\I'm only 37.\37 isn't middle-aged? I had no idea\Hey, who brought a Class B nobody along?\Don't you think it's beneath us?\And even if you were invited, a polite person would decline. The nerve! response:	I bet you're only here for some creepy reason
context: Once you've climbed up to Class S, I'll greet you properly.\Besides, I'm not middle-aged yet.\I'm only 37.\37 isn't middle-aged? I had no idea\Hey, who brought a Class B nobody along?\Don't you think it's beneath us?\And even if you were invited, a polite person would decline. The nerve!\I bet you're only here for some creepy reason response:	like getting close to us Class S heroes.
context: Besides, I'm not middle-aged yet.\I'm only 37.\37 isn't middle-aged? I had no idea\Hey, who brought a Class B nobody along?\Don't you think it's beneath us?\And even if you were invited, a polite person would decline. The nerve!\I bet you're only here for some creepy reason\like getting close to us Class S heroes. response:	You disgust me. Leave.
context: I'm only 37.\37 isn't middle-aged? I had no idea\Hey, who brought a Class B nobody along?\Don't you think it's beneath us?\And even if you were invited, a polite person would decline. The nerve!\I bet you're only here for some creepy reason\like getting close to us Class S heroes.\You disgust me. Leave. response:	What's with this sassy... lost child?
context: 37 isn't middle-aged? I had no idea\Hey, who brought a Class B nobody along?\Don't you think it's beneath us?\And even if you were invited, a polite person would decline. The nerve!\I bet you're only here for some creepy reason\like getting close to us Class S heroes.\You disgust me. Leave.\What's with this sassy... lost child? response:	That is Tornado. Class S, rank 2.
context: Hey, who brought a Class B nobody along?\Don't you think it's beneath us?\And even if you were invited, a polite person would decline. The nerve!\I bet you're only here for some creepy reason\like getting close to us Class S heroes.\You disgust me. Leave.\What's with this sassy... lost child?\That is Tornado. Class S, rank 2. response:	That? I am not an object! She defeats monsters
context: Don't you think it's beneath us?\And even if you were invited, a polite person would decline. The nerve!\I bet you're only here for some creepy reason\like getting close to us Class S heroes.\You disgust me. Leave.\What's with this sassy... lost child?\That is Tornado. Class S, rank 2.\That? I am not an object! She defeats monsters response:	with her psychic powers.
context: And even if you were invited, a polite person would decline. The nerve!\I bet you're only here for some creepy reason\like getting close to us Class S heroes.\You disgust me. Leave.\What's with this sassy... lost child?\That is Tornado. Class S, rank 2.\That? I am not an object! She defeats monsters\with her psychic powers. response:	She is an ESPer.
context: I bet you're only here for some creepy reason\like getting close to us Class S heroes.\You disgust me. Leave.\What's with this sassy... lost child?\That is Tornado. Class S, rank 2.\That? I am not an object! She defeats monsters\with her psychic powers.\She is an ESPer. response:	Oh yeah...?
context: like getting close to us Class S heroes.\You disgust me. Leave.\What's with this sassy... lost child?\That is Tornado. Class S, rank 2.\That? I am not an object! She defeats monsters\with her psychic powers.\She is an ESPer.\Oh yeah...? response:	It appears everyone is here.
context: You disgust me. Leave.\What's with this sassy... lost child?\That is Tornado. Class S, rank 2.\That? I am not an object! She defeats monsters\with her psychic powers.\She is an ESPer.\Oh yeah...?\It appears everyone is here. response:	We should join them.
context: What's with this sassy... lost child?\That is Tornado. Class S, rank 2.\That? I am not an object! She defeats monsters\with her psychic powers.\She is an ESPer.\Oh yeah...?\It appears everyone is here.\We should join them. response:	Hey...
context: That is Tornado. Class S, rank 2.\That? I am not an object! She defeats monsters\with her psychic powers.\She is an ESPer.\Oh yeah...?\It appears everyone is here.\We should join them.\Hey... response:	Stop ignoring me!
context: That? I am not an object! She defeats monsters\with her psychic powers.\She is an ESPer.\Oh yeah...?\It appears everyone is here.\We should join them.\Hey...\Stop ignoring me! response:	CLASS S RANK 17 PURI-PURI PRISONER
context: with her psychic powers.\She is an ESPer.\Oh yeah...?\It appears everyone is here.\We should join them.\Hey...\Stop ignoring me!\CLASS S RANK 17 PURI-PURI PRISONER response:	Maybe this will be my chance to get closer to Genos... CLASS S RANK 17 PURI-PURI PRISONER
