context: You didn't think of that? response:	My spirit might not be able to hurt you, but this Double Crescent Halberd will!
context: The day my spirit returns to my body\is the day I break out of the bell and torch the Eight Far Lands\with my crimson hellfire to destroy Heaven and Earth!\It's the crimson hellfire!\The Ghost Lord has returned!\- The Ghost Lord has returned! - The Ghost Lord has returned...\Jiu'er!\Your Lordship, what happened to the Little Princess? response:	Quickly! Go to Kunlun Mountain to see Mo Yuan!
context: is the day I break out of the bell and torch the Eight Far Lands\with my crimson hellfire to destroy Heaven and Earth!\It's the crimson hellfire!\The Ghost Lord has returned!\- The Ghost Lord has returned! - The Ghost Lord has returned...\Jiu'er!\Your Lordship, what happened to the Little Princess?\Quickly! Go to Kunlun Mountain to see Mo Yuan! response:	- Yes! - No, there's no time to lose!
context: with my crimson hellfire to destroy Heaven and Earth!\It's the crimson hellfire!\The Ghost Lord has returned!\- The Ghost Lord has returned! - The Ghost Lord has returned...\Jiu'er!\Your Lordship, what happened to the Little Princess?\Quickly! Go to Kunlun Mountain to see Mo Yuan!\- Yes! - No, there's no time to lose! response:	Go to Qing Qiu!
context: It's the crimson hellfire!\The Ghost Lord has returned!\- The Ghost Lord has returned! - The Ghost Lord has returned...\Jiu'er!\Your Lordship, what happened to the Little Princess?\Quickly! Go to Kunlun Mountain to see Mo Yuan!\- Yes! - No, there's no time to lose!\Go to Qing Qiu! response:	Qing Qiu is the closest.
context: The Ghost Lord has returned!\- The Ghost Lord has returned! - The Ghost Lord has returned...\Jiu'er!\Your Lordship, what happened to the Little Princess?\Quickly! Go to Kunlun Mountain to see Mo Yuan!\- Yes! - No, there's no time to lose!\Go to Qing Qiu!\Qing Qiu is the closest. response:	Bai Qian also knows how to seal Qing Cang.
context: - The Ghost Lord has returned! - The Ghost Lord has returned...\Jiu'er!\Your Lordship, what happened to the Little Princess?\Quickly! Go to Kunlun Mountain to see Mo Yuan!\- Yes! - No, there's no time to lose!\Go to Qing Qiu!\Qing Qiu is the closest.\Bai Qian also knows how to seal Qing Cang. response:	Yes.
context: Jiu'er!\Your Lordship, what happened to the Little Princess?\Quickly! Go to Kunlun Mountain to see Mo Yuan!\- Yes! - No, there's no time to lose!\Go to Qing Qiu!\Qing Qiu is the closest.\Bai Qian also knows how to seal Qing Cang.\Yes. response:	Tian Shu, obey my command!
context: Your Lordship, what happened to the Little Princess?\Quickly! Go to Kunlun Mountain to see Mo Yuan!\- Yes! - No, there's no time to lose!\Go to Qing Qiu!\Qing Qiu is the closest.\Bai Qian also knows how to seal Qing Cang.\Yes.\Tian Shu, obey my command! response:	Present!
context: Quickly! Go to Kunlun Mountain to see Mo Yuan!\- Yes! - No, there's no time to lose!\Go to Qing Qiu!\Qing Qiu is the closest.\Bai Qian also knows how to seal Qing Cang.\Yes.\Tian Shu, obey my command!\Present! response:	Auntie...
context: - Yes! - No, there's no time to lose!\Go to Qing Qiu!\Qing Qiu is the closest.\Bai Qian also knows how to seal Qing Cang.\Yes.\Tian Shu, obey my command!\Present!\Auntie... response:	The Crown Prince is still outside the Fox Den.
context: Go to Qing Qiu!\Qing Qiu is the closest.\Bai Qian also knows how to seal Qing Cang.\Yes.\Tian Shu, obey my command!\Present!\Auntie...\The Crown Prince is still outside the Fox Den. response:	He hasn't moved an inch.
context: Qing Qiu is the closest.\Bai Qian also knows how to seal Qing Cang.\Yes.\Tian Shu, obey my command!\Present!\Auntie...\The Crown Prince is still outside the Fox Den.\He hasn't moved an inch. response:	If you mention him again...
context: Bai Qian also knows how to seal Qing Cang.\Yes.\Tian Shu, obey my command!\Present!\Auntie...\The Crown Prince is still outside the Fox Den.\He hasn't moved an inch.\If you mention him again... response:	I'll turn you back into your original form!
context: Yes.\Tian Shu, obey my command!\Present!\Auntie...\The Crown Prince is still outside the Fox Den.\He hasn't moved an inch.\If you mention him again...\I'll turn you back into your original form! response:	Why has the weather suddenly changed, Mi Gu?
context: Tian Shu, obey my command!\Present!\Auntie...\The Crown Prince is still outside the Fox Den.\He hasn't moved an inch.\If you mention him again...\I'll turn you back into your original form!\Why has the weather suddenly changed, Mi Gu? response:	Auntie...
context: Present!\Auntie...\The Crown Prince is still outside the Fox Den.\He hasn't moved an inch.\If you mention him again...\I'll turn you back into your original form!\Why has the weather suddenly changed, Mi Gu?\Auntie... response:	I don't know.
context: Auntie...\The Crown Prince is still outside the Fox Den.\He hasn't moved an inch.\If you mention him again...\I'll turn you back into your original form!\Why has the weather suddenly changed, Mi Gu?\Auntie...\I don't know. response:	Is he still outside my den?
context: The Crown Prince is still outside the Fox Den.\He hasn't moved an inch.\If you mention him again...\I'll turn you back into your original form!\Why has the weather suddenly changed, Mi Gu?\Auntie...\I don't know.\Is he still outside my den? response:	Yes, Auntie.
context: He hasn't moved an inch.\If you mention him again...\I'll turn you back into your original form!\Why has the weather suddenly changed, Mi Gu?\Auntie...\I don't know.\Is he still outside my den?\Yes, Auntie. response:	He's still out there braving the sun and rain.
context: If you mention him again...\I'll turn you back into your original form!\Why has the weather suddenly changed, Mi Gu?\Auntie...\I don't know.\Is he still outside my den?\Yes, Auntie.\He's still out there braving the sun and rain. response:	Lord Dong Hua...
context: I'll turn you back into your original form!\Why has the weather suddenly changed, Mi Gu?\Auntie...\I don't know.\Is he still outside my den?\Yes, Auntie.\He's still out there braving the sun and rain.\Lord Dong Hua... response:	If we both die here, not even the heavens could tear us apart.
context: Why has the weather suddenly changed, Mi Gu?\Auntie...\I don't know.\Is he still outside my den?\Yes, Auntie.\He's still out there braving the sun and rain.\Lord Dong Hua...\If we both die here, not even the heavens could tear us apart. response:	As long as I'm here, you won't die.
context: Auntie...\I don't know.\Is he still outside my den?\Yes, Auntie.\He's still out there braving the sun and rain.\Lord Dong Hua...\If we both die here, not even the heavens could tear us apart.\As long as I'm here, you won't die. response:	I'll use my spirit to pin him down.
context: I don't know.\Is he still outside my den?\Yes, Auntie.\He's still out there braving the sun and rain.\Lord Dong Hua...\If we both die here, not even the heavens could tear us apart.\As long as I'm here, you won't die.\I'll use my spirit to pin him down. response:	But without my powers, I could only hold him off for a while.
context: Is he still outside my den?\Yes, Auntie.\He's still out there braving the sun and rain.\Lord Dong Hua...\If we both die here, not even the heavens could tear us apart.\As long as I'm here, you won't die.\I'll use my spirit to pin him down.\But without my powers, I could only hold him off for a while. response:	You have to go to your aunt and fourth uncle immediately.
context: Yes, Auntie.\He's still out there braving the sun and rain.\Lord Dong Hua...\If we both die here, not even the heavens could tear us apart.\As long as I'm here, you won't die.\I'll use my spirit to pin him down.\But without my powers, I could only hold him off for a while.\You have to go to your aunt and fourth uncle immediately. response:	No, I won't leave.
context: He's still out there braving the sun and rain.\Lord Dong Hua...\If we both die here, not even the heavens could tear us apart.\As long as I'm here, you won't die.\I'll use my spirit to pin him down.\But without my powers, I could only hold him off for a while.\You have to go to your aunt and fourth uncle immediately.\No, I won't leave. response:	Do not disobey!
context: Lord Dong Hua...\If we both die here, not even the heavens could tear us apart.\As long as I'm here, you won't die.\I'll use my spirit to pin him down.\But without my powers, I could only hold him off for a while.\You have to go to your aunt and fourth uncle immediately.\No, I won't leave.\Do not disobey! response:	I am not!
context: If we both die here, not even the heavens could tear us apart.\As long as I'm here, you won't die.\I'll use my spirit to pin him down.\But without my powers, I could only hold him off for a while.\You have to go to your aunt and fourth uncle immediately.\No, I won't leave.\Do not disobey!\I am not! response:	I told you that I would live and die with you!
context: As long as I'm here, you won't die.\I'll use my spirit to pin him down.\But without my powers, I could only hold him off for a while.\You have to go to your aunt and fourth uncle immediately.\No, I won't leave.\Do not disobey!\I am not!\I told you that I would live and die with you! response:	No one can!
context: I'll use my spirit to pin him down.\But without my powers, I could only hold him off for a while.\You have to go to your aunt and fourth uncle immediately.\No, I won't leave.\Do not disobey!\I am not!\I told you that I would live and die with you!\No one can! response:	I've used my life to protect all lives and sacrificed my marriage.
context: But without my powers, I could only hold him off for a while.\You have to go to your aunt and fourth uncle immediately.\No, I won't leave.\Do not disobey!\I am not!\I told you that I would live and die with you!\No one can!\I've used my life to protect all lives and sacrificed my marriage. response:	If I insist on my relationship with you
context: You have to go to your aunt and fourth uncle immediately.\No, I won't leave.\Do not disobey!\I am not!\I told you that I would live and die with you!\No one can!\I've used my life to protect all lives and sacrificed my marriage.\If I insist on my relationship with you response:	it would surely cause ceaseless wars within the four seas.
context: No, I won't leave.\Do not disobey!\I am not!\I told you that I would live and die with you!\No one can!\I've used my life to protect all lives and sacrificed my marriage.\If I insist on my relationship with you\it would surely cause ceaseless wars within the four seas. response:	All shall be in misery.
context: Do not disobey!\I am not!\I told you that I would live and die with you!\No one can!\I've used my life to protect all lives and sacrificed my marriage.\If I insist on my relationship with you\it would surely cause ceaseless wars within the four seas.\All shall be in misery. response:	Neither of us will meet a peaceful end.
context: I am not!\I told you that I would live and die with you!\No one can!\I've used my life to protect all lives and sacrificed my marriage.\If I insist on my relationship with you\it would surely cause ceaseless wars within the four seas.\All shall be in misery.\Neither of us will meet a peaceful end. response:	Bai Feng Jiu, you're not some common woman.
context: I told you that I would live and die with you!\No one can!\I've used my life to protect all lives and sacrificed my marriage.\If I insist on my relationship with you\it would surely cause ceaseless wars within the four seas.\All shall be in misery.\Neither of us will meet a peaceful end.\Bai Feng Jiu, you're not some common woman. response:	You're the future Queen of Qing Qiu!
context: No one can!\I've used my life to protect all lives and sacrificed my marriage.\If I insist on my relationship with you\it would surely cause ceaseless wars within the four seas.\All shall be in misery.\Neither of us will meet a peaceful end.\Bai Feng Jiu, you're not some common woman.\You're the future Queen of Qing Qiu! response:	Don't be absurd!
context: I've used my life to protect all lives and sacrificed my marriage.\If I insist on my relationship with you\it would surely cause ceaseless wars within the four seas.\All shall be in misery.\Neither of us will meet a peaceful end.\Bai Feng Jiu, you're not some common woman.\You're the future Queen of Qing Qiu!\Don't be absurd! response:	I'm not!
context: If I insist on my relationship with you\it would surely cause ceaseless wars within the four seas.\All shall be in misery.\Neither of us will meet a peaceful end.\Bai Feng Jiu, you're not some common woman.\You're the future Queen of Qing Qiu!\Don't be absurd!\I'm not! response:	Dong Hua, if you live and so will I.
context: it would surely cause ceaseless wars within the four seas.\All shall be in misery.\Neither of us will meet a peaceful end.\Bai Feng Jiu, you're not some common woman.\You're the future Queen of Qing Qiu!\Don't be absurd!\I'm not!\Dong Hua, if you live and so will I. response:	If you die, so will I.
context: All shall be in misery.\Neither of us will meet a peaceful end.\Bai Feng Jiu, you're not some common woman.\You're the future Queen of Qing Qiu!\Don't be absurd!\I'm not!\Dong Hua, if you live and so will I.\If you die, so will I. response:	If you could fend off Qing Cang I'd never hold you back.
context: Neither of us will meet a peaceful end.\Bai Feng Jiu, you're not some common woman.\You're the future Queen of Qing Qiu!\Don't be absurd!\I'm not!\Dong Hua, if you live and so will I.\If you die, so will I.\If you could fend off Qing Cang I'd never hold you back. response:	At most, I'd just kill myself if you die.
context: Bai Feng Jiu, you're not some common woman.\You're the future Queen of Qing Qiu!\Don't be absurd!\I'm not!\Dong Hua, if you live and so will I.\If you die, so will I.\If you could fend off Qing Cang I'd never hold you back.\At most, I'd just kill myself if you die. response:	However, you're no match for him now.
context: You're the future Queen of Qing Qiu!\Don't be absurd!\I'm not!\Dong Hua, if you live and so will I.\If you die, so will I.\If you could fend off Qing Cang I'd never hold you back.\At most, I'd just kill myself if you die.\However, you're no match for him now. response:	You don't even have one tenth of his powers.
context: Don't be absurd!\I'm not!\Dong Hua, if you live and so will I.\If you die, so will I.\If you could fend off Qing Cang I'd never hold you back.\At most, I'd just kill myself if you die.\However, you're no match for him now.\You don't even have one tenth of his powers. response:	I can't let you seek your own doom.
context: I'm not!\Dong Hua, if you live and so will I.\If you die, so will I.\If you could fend off Qing Cang I'd never hold you back.\At most, I'd just kill myself if you die.\However, you're no match for him now.\You don't even have one tenth of his powers.\I can't let you seek your own doom. response:	You can't go to him!
context: Dong Hua, if you live and so will I.\If you die, so will I.\If you could fend off Qing Cang I'd never hold you back.\At most, I'd just kill myself if you die.\However, you're no match for him now.\You don't even have one tenth of his powers.\I can't let you seek your own doom.\You can't go to him! response:	Step aside!
context: If you die, so will I.\If you could fend off Qing Cang I'd never hold you back.\At most, I'd just kill myself if you die.\However, you're no match for him now.\You don't even have one tenth of his powers.\I can't let you seek your own doom.\You can't go to him!\Step aside! response:	Not unless you kill me!
context: If you could fend off Qing Cang I'd never hold you back.\At most, I'd just kill myself if you die.\However, you're no match for him now.\You don't even have one tenth of his powers.\I can't let you seek your own doom.\You can't go to him!\Step aside!\Not unless you kill me! response:	Today, I'll have all living beings buried with me.
context: At most, I'd just kill myself if you die.\However, you're no match for him now.\You don't even have one tenth of his powers.\I can't let you seek your own doom.\You can't go to him!\Step aside!\Not unless you kill me!\Today, I'll have all living beings buried with me. response:	None of you can get away!
context: However, you're no match for him now.\You don't even have one tenth of his powers.\I can't let you seek your own doom.\You can't go to him!\Step aside!\Not unless you kill me!\Today, I'll have all living beings buried with me.\None of you can get away! response:	Jiu'er!
context: You don't even have one tenth of his powers.\I can't let you seek your own doom.\You can't go to him!\Step aside!\Not unless you kill me!\Today, I'll have all living beings buried with me.\None of you can get away!\Jiu'er! response:	Jiu'er... Jiu'er!
context: I can't let you seek your own doom.\You can't go to him!\Step aside!\Not unless you kill me!\Today, I'll have all living beings buried with me.\None of you can get away!\Jiu'er!\Jiu'er... Jiu'er! response:	Auntie, take a look at him.
context: You can't go to him!\Step aside!\Not unless you kill me!\Today, I'll have all living beings buried with me.\None of you can get away!\Jiu'er!\Jiu'er... Jiu'er!\Auntie, take a look at him. response:	Just one glance will do.
context: Step aside!\Not unless you kill me!\Today, I'll have all living beings buried with me.\None of you can get away!\Jiu'er!\Jiu'er... Jiu'er!\Auntie, take a look at him.\Just one glance will do. response:	I can't take that step forward.
context: Not unless you kill me!\Today, I'll have all living beings buried with me.\None of you can get away!\Jiu'er!\Jiu'er... Jiu'er!\Auntie, take a look at him.\Just one glance will do.\I can't take that step forward. response:	Star Lord of Destiny seeks audience with Auntie!
context: Today, I'll have all living beings buried with me.\None of you can get away!\Jiu'er!\Jiu'er... Jiu'er!\Auntie, take a look at him.\Just one glance will do.\I can't take that step forward.\Star Lord of Destiny seeks audience with Auntie! response:	There's trouble in Ruoshui Riverbank!
context: None of you can get away!\Jiu'er!\Jiu'er... Jiu'er!\Auntie, take a look at him.\Just one glance will do.\I can't take that step forward.\Star Lord of Destiny seeks audience with Auntie!\There's trouble in Ruoshui Riverbank! response:	What did you say?
context: Jiu'er!\Jiu'er... Jiu'er!\Auntie, take a look at him.\Just one glance will do.\I can't take that step forward.\Star Lord of Destiny seeks audience with Auntie!\There's trouble in Ruoshui Riverbank!\What did you say? response:	There was a weird sighting at the bell.
context: Jiu'er... Jiu'er!\Auntie, take a look at him.\Just one glance will do.\I can't take that step forward.\Star Lord of Destiny seeks audience with Auntie!\There's trouble in Ruoshui Riverbank!\What did you say?\There was a weird sighting at the bell. response:	Lord Dong Hua said only Auntie could seal Qing Cang.
context: Auntie, take a look at him.\Just one glance will do.\I can't take that step forward.\Star Lord of Destiny seeks audience with Auntie!\There's trouble in Ruoshui Riverbank!\What did you say?\There was a weird sighting at the bell.\Lord Dong Hua said only Auntie could seal Qing Cang. response:	Qing Cang broke the seal?
context: Just one glance will do.\I can't take that step forward.\Star Lord of Destiny seeks audience with Auntie!\There's trouble in Ruoshui Riverbank!\What did you say?\There was a weird sighting at the bell.\Lord Dong Hua said only Auntie could seal Qing Cang.\Qing Cang broke the seal? response:	When I left, he was still sealed.
context: I can't take that step forward.\Star Lord of Destiny seeks audience with Auntie!\There's trouble in Ruoshui Riverbank!\What did you say?\There was a weird sighting at the bell.\Lord Dong Hua said only Auntie could seal Qing Cang.\Qing Cang broke the seal?\When I left, he was still sealed. response:	But it's just a matter of time now.
context: Star Lord of Destiny seeks audience with Auntie!\There's trouble in Ruoshui Riverbank!\What did you say?\There was a weird sighting at the bell.\Lord Dong Hua said only Auntie could seal Qing Cang.\Qing Cang broke the seal?\When I left, he was still sealed.\But it's just a matter of time now. response:	Mi Gu, send a message to Fourth Brother.
context: There's trouble in Ruoshui Riverbank!\What did you say?\There was a weird sighting at the bell.\Lord Dong Hua said only Auntie could seal Qing Cang.\Qing Cang broke the seal?\When I left, he was still sealed.\But it's just a matter of time now.\Mi Gu, send a message to Fourth Brother. response:	Get him to assist me in Ruoshui.
context: What did you say?\There was a weird sighting at the bell.\Lord Dong Hua said only Auntie could seal Qing Cang.\Qing Cang broke the seal?\When I left, he was still sealed.\But it's just a matter of time now.\Mi Gu, send a message to Fourth Brother.\Get him to assist me in Ruoshui. response:	- Yes. - Qian Qian...
context: There was a weird sighting at the bell.\Lord Dong Hua said only Auntie could seal Qing Cang.\Qing Cang broke the seal?\When I left, he was still sealed.\But it's just a matter of time now.\Mi Gu, send a message to Fourth Brother.\Get him to assist me in Ruoshui.\- Yes. - Qian Qian... response:	Protect Lord Dong Hua!
context: Lord Dong Hua said only Auntie could seal Qing Cang.\Qing Cang broke the seal?\When I left, he was still sealed.\But it's just a matter of time now.\Mi Gu, send a message to Fourth Brother.\Get him to assist me in Ruoshui.\- Yes. - Qian Qian...\Protect Lord Dong Hua! response:	Earth Deity!
context: Qing Cang broke the seal?\When I left, he was still sealed.\But it's just a matter of time now.\Mi Gu, send a message to Fourth Brother.\Get him to assist me in Ruoshui.\- Yes. - Qian Qian...\Protect Lord Dong Hua!\Earth Deity! response:	Not even High God Mo Yuan could defeat him.
context: When I left, he was still sealed.\But it's just a matter of time now.\Mi Gu, send a message to Fourth Brother.\Get him to assist me in Ruoshui.\- Yes. - Qian Qian...\Protect Lord Dong Hua!\Earth Deity!\Not even High God Mo Yuan could defeat him. response:	We're just minor deities.
context: But it's just a matter of time now.\Mi Gu, send a message to Fourth Brother.\Get him to assist me in Ruoshui.\- Yes. - Qian Qian...\Protect Lord Dong Hua!\Earth Deity!\Not even High God Mo Yuan could defeat him.\We're just minor deities. response:	How can we tackle him?
context: Mi Gu, send a message to Fourth Brother.\Get him to assist me in Ruoshui.\- Yes. - Qian Qian...\Protect Lord Dong Hua!\Earth Deity!\Not even High God Mo Yuan could defeat him.\We're just minor deities.\How can we tackle him? response:	I'm the Earth Deity of this area.
context: Get him to assist me in Ruoshui.\- Yes. - Qian Qian...\Protect Lord Dong Hua!\Earth Deity!\Not even High God Mo Yuan could defeat him.\We're just minor deities.\How can we tackle him?\I'm the Earth Deity of this area. response:	Even if I am no match for him I still have to give it a try!
context: - Yes. - Qian Qian...\Protect Lord Dong Hua!\Earth Deity!\Not even High God Mo Yuan could defeat him.\We're just minor deities.\How can we tackle him?\I'm the Earth Deity of this area.\Even if I am no match for him I still have to give it a try! response:	I'll risk my life to stand up to him!
context: Protect Lord Dong Hua!\Earth Deity!\Not even High God Mo Yuan could defeat him.\We're just minor deities.\How can we tackle him?\I'm the Earth Deity of this area.\Even if I am no match for him I still have to give it a try!\I'll risk my life to stand up to him! response:	- Qing Cang! - Earth Deity!
context: Earth Deity!\Not even High God Mo Yuan could defeat him.\We're just minor deities.\How can we tackle him?\I'm the Earth Deity of this area.\Even if I am no match for him I still have to give it a try!\I'll risk my life to stand up to him!\- Qing Cang! - Earth Deity! response:	I've been guarding you for 70,000 years!
context: Not even High God Mo Yuan could defeat him.\We're just minor deities.\How can we tackle him?\I'm the Earth Deity of this area.\Even if I am no match for him I still have to give it a try!\I'll risk my life to stand up to him!\- Qing Cang! - Earth Deity!\I've been guarding you for 70,000 years! response:	Don't you dare dream of leaving this place to harm anyone!
context: We're just minor deities.\How can we tackle him?\I'm the Earth Deity of this area.\Even if I am no match for him I still have to give it a try!\I'll risk my life to stand up to him!\- Qing Cang! - Earth Deity!\I've been guarding you for 70,000 years!\Don't you dare dream of leaving this place to harm anyone! response:	Earth Deity!
context: How can we tackle him?\I'm the Earth Deity of this area.\Even if I am no match for him I still have to give it a try!\I'll risk my life to stand up to him!\- Qing Cang! - Earth Deity!\I've been guarding you for 70,000 years!\Don't you dare dream of leaving this place to harm anyone!\Earth Deity! response:	- Auntie... - Step aside!
context: I'm the Earth Deity of this area.\Even if I am no match for him I still have to give it a try!\I'll risk my life to stand up to him!\- Qing Cang! - Earth Deity!\I've been guarding you for 70,000 years!\Don't you dare dream of leaving this place to harm anyone!\Earth Deity!\- Auntie... - Step aside! response:	Si Yin, is that you?
context: Even if I am no match for him I still have to give it a try!\I'll risk my life to stand up to him!\- Qing Cang! - Earth Deity!\I've been guarding you for 70,000 years!\Don't you dare dream of leaving this place to harm anyone!\Earth Deity!\- Auntie... - Step aside!\Si Yin, is that you? response:	Exactly! Qing Cang, it's me.
context: I'll risk my life to stand up to him!\- Qing Cang! - Earth Deity!\I've been guarding you for 70,000 years!\Don't you dare dream of leaving this place to harm anyone!\Earth Deity!\- Auntie... - Step aside!\Si Yin, is that you?\Exactly! Qing Cang, it's me. response:	Who knew that I've only sealed you for about 300 years
context: - Qing Cang! - Earth Deity!\I've been guarding you for 70,000 years!\Don't you dare dream of leaving this place to harm anyone!\Earth Deity!\- Auntie... - Step aside!\Si Yin, is that you?\Exactly! Qing Cang, it's me.\Who knew that I've only sealed you for about 300 years response:	and you've broken out again?
context: I've been guarding you for 70,000 years!\Don't you dare dream of leaving this place to harm anyone!\Earth Deity!\- Auntie... - Step aside!\Si Yin, is that you?\Exactly! Qing Cang, it's me.\Who knew that I've only sealed you for about 300 years\and you've broken out again? response:	I've been waiting for you and Mo Yuan!
context: Don't you dare dream of leaving this place to harm anyone!\Earth Deity!\- Auntie... - Step aside!\Si Yin, is that you?\Exactly! Qing Cang, it's me.\Who knew that I've only sealed you for about 300 years\and you've broken out again?\I've been waiting for you and Mo Yuan! response:	It was you and your mentor who had me trapped for 70,000 years.
context: Earth Deity!\- Auntie... - Step aside!\Si Yin, is that you?\Exactly! Qing Cang, it's me.\Who knew that I've only sealed you for about 300 years\and you've broken out again?\I've been waiting for you and Mo Yuan!\It was you and your mentor who had me trapped for 70,000 years. response:	I'll avenge myself today and take both your lives!
context: - Auntie... - Step aside!\Si Yin, is that you?\Exactly! Qing Cang, it's me.\Who knew that I've only sealed you for about 300 years\and you've broken out again?\I've been waiting for you and Mo Yuan!\It was you and your mentor who had me trapped for 70,000 years.\I'll avenge myself today and take both your lives! response:	How arrogant!
context: Si Yin, is that you?\Exactly! Qing Cang, it's me.\Who knew that I've only sealed you for about 300 years\and you've broken out again?\I've been waiting for you and Mo Yuan!\It was you and your mentor who had me trapped for 70,000 years.\I'll avenge myself today and take both your lives!\How arrogant! response:	What magical artifact is this?
context: Exactly! Qing Cang, it's me.\Who knew that I've only sealed you for about 300 years\and you've broken out again?\I've been waiting for you and Mo Yuan!\It was you and your mentor who had me trapped for 70,000 years.\I'll avenge myself today and take both your lives!\How arrogant!\What magical artifact is this? response:	Let go of me!
context: Who knew that I've only sealed you for about 300 years\and you've broken out again?\I've been waiting for you and Mo Yuan!\It was you and your mentor who had me trapped for 70,000 years.\I'll avenge myself today and take both your lives!\How arrogant!\What magical artifact is this?\Let go of me! response:	You can't defeat Qing Cang with your cultivation.
context: and you've broken out again?\I've been waiting for you and Mo Yuan!\It was you and your mentor who had me trapped for 70,000 years.\I'll avenge myself today and take both your lives!\How arrogant!\What magical artifact is this?\Let go of me!\You can't defeat Qing Cang with your cultivation. response:	Leave him to me.
context: I've been waiting for you and Mo Yuan!\It was you and your mentor who had me trapped for 70,000 years.\I'll avenge myself today and take both your lives!\How arrogant!\What magical artifact is this?\Let go of me!\You can't defeat Qing Cang with your cultivation.\Leave him to me. response:	You've transferred all your cultivation to my mentor so you can't defeat him!
