context: Papa fell down when he was on GALAX. response:	He's been sleeping in the hospital ever since.
context: Found you!\I've got you now!\H-Hey...\This is LOAD-kun.\Isn't he a good-looking guy?\G-G-Guy?\Way too cute!\G-G-Guy? response:	I'm gloomy...
context: I've got you now!\H-Hey...\This is LOAD-kun.\Isn't he a good-looking guy?\G-G-Guy?\Way too cute!\G-G-Guy?\I'm gloomy... response:	Let me handle this.
context: H-Hey...\This is LOAD-kun.\Isn't he a good-looking guy?\G-G-Guy?\Way too cute!\G-G-Guy?\I'm gloomy...\Let me handle this. response:	You're Utsutsu-chan?
context: This is LOAD-kun.\Isn't he a good-looking guy?\G-G-Guy?\Way too cute!\G-G-Guy?\I'm gloomy...\Let me handle this.\You're Utsutsu-chan? response:	Did it hurt?
context: Isn't he a good-looking guy?\G-G-Guy?\Way too cute!\G-G-Guy?\I'm gloomy...\Let me handle this.\You're Utsutsu-chan?\Did it hurt? response:	No...
context: G-G-Guy?\Way too cute!\G-G-Guy?\I'm gloomy...\Let me handle this.\You're Utsutsu-chan?\Did it hurt?\No... response:	Thank you.
context: Way too cute!\G-G-Guy?\I'm gloomy...\Let me handle this.\You're Utsutsu-chan?\Did it hurt?\No...\Thank you. response:	I feel much better.
context: G-G-Guy?\I'm gloomy...\Let me handle this.\You're Utsutsu-chan?\Did it hurt?\No...\Thank you.\I feel much better. response:	Please keep going, Utsutsu-chan.
context: I'm gloomy...\Let me handle this.\You're Utsutsu-chan?\Did it hurt?\No...\Thank you.\I feel much better.\Please keep going, Utsutsu-chan. response:	Okay.
context: Let me handle this.\You're Utsutsu-chan?\Did it hurt?\No...\Thank you.\I feel much better.\Please keep going, Utsutsu-chan.\Okay. response:	Yes, Gatchaman speaking.
context: You're Utsutsu-chan?\Did it hurt?\No...\Thank you.\I feel much better.\Please keep going, Utsutsu-chan.\Okay.\Yes, Gatchaman speaking. response:	TV?
context: Did it hurt?\No...\Thank you.\I feel much better.\Please keep going, Utsutsu-chan.\Okay.\Yes, Gatchaman speaking.\TV? response:	What's PON?
context: No...\Thank you.\I feel much better.\Please keep going, Utsutsu-chan.\Okay.\Yes, Gatchaman speaking.\TV?\What's PON? response:	An interview?
context: Thank you.\I feel much better.\Please keep going, Utsutsu-chan.\Okay.\Yes, Gatchaman speaking.\TV?\What's PON?\An interview? response:	Forget it!
context: I feel much better.\Please keep going, Utsutsu-chan.\Okay.\Yes, Gatchaman speaking.\TV?\What's PON?\An interview?\Forget it! response:	We're not TV celebrities!
context: Please keep going, Utsutsu-chan.\Okay.\Yes, Gatchaman speaking.\TV?\What's PON?\An interview?\Forget it!\We're not TV celebrities! response:	Unknown Caller
context: Okay.\Yes, Gatchaman speaking.\TV?\What's PON?\An interview?\Forget it!\We're not TV celebrities!\Unknown Caller response:	Call Ended
context: Yes, Gatchaman speaking.\TV?\What's PON?\An interview?\Forget it!\We're not TV celebrities!\Unknown Caller\Call Ended response:	Close
context: TV?\What's PON?\An interview?\Forget it!\We're not TV celebrities!\Unknown Caller\Call Ended\Close response:	Battery Charge: 3 Remaining Call Usage Time: 5 min
context: What's PON?\An interview?\Forget it!\We're not TV celebrities!\Unknown Caller\Call Ended\Close\Battery Charge: 3 Remaining Call Usage Time: 5 min response:	Yes, Gatcha
context: An interview?\Forget it!\We're not TV celebrities!\Unknown Caller\Call Ended\Close\Battery Charge: 3 Remaining Call Usage Time: 5 min\Yes, Gatcha response:	An event at a shopping center?
context: Forget it!\We're not TV celebrities!\Unknown Caller\Call Ended\Close\Battery Charge: 3 Remaining Call Usage Time: 5 min\Yes, Gatcha\An event at a shopping center? response:	Our transformations aren't for show!
context: We're not TV celebrities!\Unknown Caller\Call Ended\Close\Battery Charge: 3 Remaining Call Usage Time: 5 min\Yes, Gatcha\An event at a shopping center?\Our transformations aren't for show! response:	A rock festival?!
context: Unknown Caller\Call Ended\Close\Battery Charge: 3 Remaining Call Usage Time: 5 min\Yes, Gatcha\An event at a shopping center?\Our transformations aren't for show!\A rock festival?! response:	Who do you think you're calling?
context: Call Ended\Close\Battery Charge: 3 Remaining Call Usage Time: 5 min\Yes, Gatcha\An event at a shopping center?\Our transformations aren't for show!\A rock festival?!\Who do you think you're calling? response:	A festival? Sounds fun!
context: Close\Battery Charge: 3 Remaining Call Usage Time: 5 min\Yes, Gatcha\An event at a shopping center?\Our transformations aren't for show!\A rock festival?!\Who do you think you're calling?\A festival? Sounds fun! response:	I'll sing!
context: Battery Charge: 3 Remaining Call Usage Time: 5 min\Yes, Gatcha\An event at a shopping center?\Our transformations aren't for show!\A rock festival?!\Who do you think you're calling?\A festival? Sounds fun!\I'll sing! response:	Forget it!
context: Yes, Gatcha\An event at a shopping center?\Our transformations aren't for show!\A rock festival?!\Who do you think you're calling?\A festival? Sounds fun!\I'll sing!\Forget it! response:	I bet you were the one who made my cell phone number public!
context: An event at a shopping center?\Our transformations aren't for show!\A rock festival?!\Who do you think you're calling?\A festival? Sounds fun!\I'll sing!\Forget it!\I bet you were the one who made my cell phone number public! response:	Of course!
context: Our transformations aren't for show!\A rock festival?!\Who do you think you're calling?\A festival? Sounds fun!\I'll sing!\Forget it!\I bet you were the one who made my cell phone number public!\Of course! response:	Then help, Newbie.
context: A rock festival?!\Who do you think you're calling?\A festival? Sounds fun!\I'll sing!\Forget it!\I bet you were the one who made my cell phone number public!\Of course!\Then help, Newbie. response:	Sorry, I have things I need to do.
context: Who do you think you're calling?\A festival? Sounds fun!\I'll sing!\Forget it!\I bet you were the one who made my cell phone number public!\Of course!\Then help, Newbie.\Sorry, I have things I need to do. response:	You've just been shoveling food into your face the whole time!
context: A festival? Sounds fun!\I'll sing!\Forget it!\I bet you were the one who made my cell phone number public!\Of course!\Then help, Newbie.\Sorry, I have things I need to do.\You've just been shoveling food into your face the whole time! response:	Pai-Pai, good job.
context: I'll sing!\Forget it!\I bet you were the one who made my cell phone number public!\Of course!\Then help, Newbie.\Sorry, I have things I need to do.\You've just been shoveling food into your face the whole time!\Pai-Pai, good job. response:	Here you go.
context: Forget it!\I bet you were the one who made my cell phone number public!\Of course!\Then help, Newbie.\Sorry, I have things I need to do.\You've just been shoveling food into your face the whole time!\Pai-Pai, good job.\Here you go. response:	Honey Karintou
context: I bet you were the one who made my cell phone number public!\Of course!\Then help, Newbie.\Sorry, I have things I need to do.\You've just been shoveling food into your face the whole time!\Pai-Pai, good job.\Here you go.\Honey Karintou response:	Thanks.
context: Of course!\Then help, Newbie.\Sorry, I have things I need to do.\You've just been shoveling food into your face the whole time!\Pai-Pai, good job.\Here you go.\Honey Karintou\Thanks. response:	Cheers!
context: Then help, Newbie.\Sorry, I have things I need to do.\You've just been shoveling food into your face the whole time!\Pai-Pai, good job.\Here you go.\Honey Karintou\Thanks.\Cheers! response:	Yes, Gatchaman speaking.
context: Sorry, I have things I need to do.\You've just been shoveling food into your face the whole time!\Pai-Pai, good job.\Here you go.\Honey Karintou\Thanks.\Cheers!\Yes, Gatchaman speaking. response:	A nursing home?
context: You've just been shoveling food into your face the whole time!\Pai-Pai, good job.\Here you go.\Honey Karintou\Thanks.\Cheers!\Yes, Gatchaman speaking.\A nursing home? response:	What if they keel over from shock?!
context: Pai-Pai, good job.\Here you go.\Honey Karintou\Thanks.\Cheers!\Yes, Gatchaman speaking.\A nursing home?\What if they keel over from shock?! response:	I never thought I'd have to register as a new user.
context: Here you go.\Honey Karintou\Thanks.\Cheers!\Yes, Gatchaman speaking.\A nursing home?\What if they keel over from shock?!\I never thought I'd have to register as a new user. response:	So Katze took GALAX and CROWDS...
context: Honey Karintou\Thanks.\Cheers!\Yes, Gatchaman speaking.\A nursing home?\What if they keel over from shock?!\I never thought I'd have to register as a new user.\So Katze took GALAX and CROWDS... response:	Hey, everyone,
context: Thanks.\Cheers!\Yes, Gatchaman speaking.\A nursing home?\What if they keel over from shock?!\I never thought I'd have to register as a new user.\So Katze took GALAX and CROWDS...\Hey, everyone, response:	here are some sweets.
context: Cheers!\Yes, Gatchaman speaking.\A nursing home?\What if they keel over from shock?!\I never thought I'd have to register as a new user.\So Katze took GALAX and CROWDS...\Hey, everyone,\here are some sweets. response:	I'll get fat, Hajime.
context: Yes, Gatchaman speaking.\A nursing home?\What if they keel over from shock?!\I never thought I'd have to register as a new user.\So Katze took GALAX and CROWDS...\Hey, everyone,\here are some sweets.\I'll get fat, Hajime. response:	Will you start running with me tomorrow, then, Utsutsu?
context: A nursing home?\What if they keel over from shock?!\I never thought I'd have to register as a new user.\So Katze took GALAX and CROWDS...\Hey, everyone,\here are some sweets.\I'll get fat, Hajime.\Will you start running with me tomorrow, then, Utsutsu? response:	I'm gloomy...
context: What if they keel over from shock?!\I never thought I'd have to register as a new user.\So Katze took GALAX and CROWDS...\Hey, everyone,\here are some sweets.\I'll get fat, Hajime.\Will you start running with me tomorrow, then, Utsutsu?\I'm gloomy... response:	Here. You too, LOAD-kun.
context: I never thought I'd have to register as a new user.\So Katze took GALAX and CROWDS...\Hey, everyone,\here are some sweets.\I'll get fat, Hajime.\Will you start running with me tomorrow, then, Utsutsu?\I'm gloomy...\Here. You too, LOAD-kun. response:	Oh, I don't use that name anymore.
context: So Katze took GALAX and CROWDS...\Hey, everyone,\here are some sweets.\I'll get fat, Hajime.\Will you start running with me tomorrow, then, Utsutsu?\I'm gloomy...\Here. You too, LOAD-kun.\Oh, I don't use that name anymore. response:	I wonder what I should do from now on.
context: Hey, everyone,\here are some sweets.\I'll get fat, Hajime.\Will you start running with me tomorrow, then, Utsutsu?\I'm gloomy...\Here. You too, LOAD-kun.\Oh, I don't use that name anymore.\I wonder what I should do from now on. response:	Both X and my NOTE were taken from me.
context: here are some sweets.\I'll get fat, Hajime.\Will you start running with me tomorrow, then, Utsutsu?\I'm gloomy...\Here. You too, LOAD-kun.\Oh, I don't use that name anymore.\I wonder what I should do from now on.\Both X and my NOTE were taken from me. response:	How should I deal with Katze?
context: I'll get fat, Hajime.\Will you start running with me tomorrow, then, Utsutsu?\I'm gloomy...\Here. You too, LOAD-kun.\Oh, I don't use that name anymore.\I wonder what I should do from now on.\Both X and my NOTE were taken from me.\How should I deal with Katze? response:	Wh-What's this?
context: Will you start running with me tomorrow, then, Utsutsu?\I'm gloomy...\Here. You too, LOAD-kun.\Oh, I don't use that name anymore.\I wonder what I should do from now on.\Both X and my NOTE were taken from me.\How should I deal with Katze?\Wh-What's this? response:	Die for your mistakes. So sad, I believed in him so much... Give your profits back to the users!
context: I'm gloomy...\Here. You too, LOAD-kun.\Oh, I don't use that name anymore.\I wonder what I should do from now on.\Both X and my NOTE were taken from me.\How should I deal with Katze?\Wh-What's this?\Die for your mistakes. So sad, I believed in him so much... Give your profits back to the users! response:	Ninomiya Rui is responsible for the GALAX coma incident!
context: Here. You too, LOAD-kun.\Oh, I don't use that name anymore.\I wonder what I should do from now on.\Both X and my NOTE were taken from me.\How should I deal with Katze?\Wh-What's this?\Die for your mistakes. So sad, I believed in him so much... Give your profits back to the users!\Ninomiya Rui is responsible for the GALAX coma incident! response:	Rui-kun
context: Oh, I don't use that name anymore.\I wonder what I should do from now on.\Both X and my NOTE were taken from me.\How should I deal with Katze?\Wh-What's this?\Die for your mistakes. So sad, I believed in him so much... Give your profits back to the users!\Ninomiya Rui is responsible for the GALAX coma incident!\Rui-kun response:	So sad... GALAX is finished Ninomiya Rui is responsible for the GALAX coma incident! All the GALAX believers were idiots. So the Gatchaman will take center stage!
context: I wonder what I should do from now on.\Both X and my NOTE were taken from me.\How should I deal with Katze?\Wh-What's this?\Die for your mistakes. So sad, I believed in him so much... Give your profits back to the users!\Ninomiya Rui is responsible for the GALAX coma incident!\Rui-kun\So sad... GALAX is finished Ninomiya Rui is responsible for the GALAX coma incident! All the GALAX believers were idiots. So the Gatchaman will take center stage! response:	It was caused by a dangerous weaponized app that he distributed!
context: Both X and my NOTE were taken from me.\How should I deal with Katze?\Wh-What's this?\Die for your mistakes. So sad, I believed in him so much... Give your profits back to the users!\Ninomiya Rui is responsible for the GALAX coma incident!\Rui-kun\So sad... GALAX is finished Ninomiya Rui is responsible for the GALAX coma incident! All the GALAX believers were idiots. So the Gatchaman will take center stage!\It was caused by a dangerous weaponized app that he distributed! response:	Update, my ass. He was just a terrorist.
context: How should I deal with Katze?\Wh-What's this?\Die for your mistakes. So sad, I believed in him so much... Give your profits back to the users!\Ninomiya Rui is responsible for the GALAX coma incident!\Rui-kun\So sad... GALAX is finished Ninomiya Rui is responsible for the GALAX coma incident! All the GALAX believers were idiots. So the Gatchaman will take center stage!\It was caused by a dangerous weaponized app that he distributed!\Update, my ass. He was just a terrorist. response:	Update, my ass. He was just a terrorist. Helping people was just a front. He was actually plotting to undermine the government?! I really believed so I'm really sad...
context: Wh-What's this?\Die for your mistakes. So sad, I believed in him so much... Give your profits back to the users!\Ninomiya Rui is responsible for the GALAX coma incident!\Rui-kun\So sad... GALAX is finished Ninomiya Rui is responsible for the GALAX coma incident! All the GALAX believers were idiots. So the Gatchaman will take center stage!\It was caused by a dangerous weaponized app that he distributed!\Update, my ass. He was just a terrorist.\Update, my ass. He was just a terrorist. Helping people was just a front. He was actually plotting to undermine the government?! I really believed so I'm really sad... response:	Cross-dressing freak!
context: Die for your mistakes. So sad, I believed in him so much... Give your profits back to the users!\Ninomiya Rui is responsible for the GALAX coma incident!\Rui-kun\So sad... GALAX is finished Ninomiya Rui is responsible for the GALAX coma incident! All the GALAX believers were idiots. So the Gatchaman will take center stage!\It was caused by a dangerous weaponized app that he distributed!\Update, my ass. He was just a terrorist.\Update, my ass. He was just a terrorist. Helping people was just a front. He was actually plotting to undermine the government?! I really believed so I'm really sad...\Cross-dressing freak! response:	GALAX is finished!
context: Ninomiya Rui is responsible for the GALAX coma incident!\Rui-kun\So sad... GALAX is finished Ninomiya Rui is responsible for the GALAX coma incident! All the GALAX believers were idiots. So the Gatchaman will take center stage!\It was caused by a dangerous weaponized app that he distributed!\Update, my ass. He was just a terrorist.\Update, my ass. He was just a terrorist. Helping people was just a front. He was actually plotting to undermine the government?! I really believed so I'm really sad...\Cross-dressing freak!\GALAX is finished! response:	Losers.
context: Rui-kun\So sad... GALAX is finished Ninomiya Rui is responsible for the GALAX coma incident! All the GALAX believers were idiots. So the Gatchaman will take center stage!\It was caused by a dangerous weaponized app that he distributed!\Update, my ass. He was just a terrorist.\Update, my ass. He was just a terrorist. Helping people was just a front. He was actually plotting to undermine the government?! I really believed so I'm really sad...\Cross-dressing freak!\GALAX is finished!\Losers. response:	They know nothing.
context: So sad... GALAX is finished Ninomiya Rui is responsible for the GALAX coma incident! All the GALAX believers were idiots. So the Gatchaman will take center stage!\It was caused by a dangerous weaponized app that he distributed!\Update, my ass. He was just a terrorist.\Update, my ass. He was just a terrorist. Helping people was just a front. He was actually plotting to undermine the government?! I really believed so I'm really sad...\Cross-dressing freak!\GALAX is finished!\Losers.\They know nothing. response:	Rui-kun, I'm getting it, too. See?
context: It was caused by a dangerous weaponized app that he distributed!\Update, my ass. He was just a terrorist.\Update, my ass. He was just a terrorist. Helping people was just a front. He was actually plotting to undermine the government?! I really believed so I'm really sad...\Cross-dressing freak!\GALAX is finished!\Losers.\They know nothing.\Rui-kun, I'm getting it, too. See? response:	That Gatcha girl's talk is super annoying.
context: Update, my ass. He was just a terrorist.\Update, my ass. He was just a terrorist. Helping people was just a front. He was actually plotting to undermine the government?! I really believed so I'm really sad...\Cross-dressing freak!\GALAX is finished!\Losers.\They know nothing.\Rui-kun, I'm getting it, too. See?\That Gatcha girl's talk is super annoying. response:	Who talks like that nowadays?
context: Update, my ass. He was just a terrorist. Helping people was just a front. He was actually plotting to undermine the government?! I really believed so I'm really sad...\Cross-dressing freak!\GALAX is finished!\Losers.\They know nothing.\Rui-kun, I'm getting it, too. See?\That Gatcha girl's talk is super annoying.\Who talks like that nowadays? response:	What can a psycho do, anyway?
context: Cross-dressing freak!\GALAX is finished!\Losers.\They know nothing.\Rui-kun, I'm getting it, too. See?\That Gatcha girl's talk is super annoying.\Who talks like that nowadays?\What can a psycho do, anyway? response:	Who do you think you are?
context: GALAX is finished!\Losers.\They know nothing.\Rui-kun, I'm getting it, too. See?\That Gatcha girl's talk is super annoying.\Who talks like that nowadays?\What can a psycho do, anyway?\Who do you think you are? response:	Don't talk about Earth like you know anything!
context: Losers.\They know nothing.\Rui-kun, I'm getting it, too. See?\That Gatcha girl's talk is super annoying.\Who talks like that nowadays?\What can a psycho do, anyway?\Who do you think you are?\Don't talk about Earth like you know anything! response:	Riddles? Makes zero sense. .
context: They know nothing.\Rui-kun, I'm getting it, too. See?\That Gatcha girl's talk is super annoying.\Who talks like that nowadays?\What can a psycho do, anyway?\Who do you think you are?\Don't talk about Earth like you know anything!\Riddles? Makes zero sense. . response:	You're raising so much hell.
context: Rui-kun, I'm getting it, too. See?\That Gatcha girl's talk is super annoying.\Who talks like that nowadays?\What can a psycho do, anyway?\Who do you think you are?\Don't talk about Earth like you know anything!\Riddles? Makes zero sense. .\You're raising so much hell. response:	You gonna take responsibility, ugly bitch?
context: That Gatcha girl's talk is super annoying.\Who talks like that nowadays?\What can a psycho do, anyway?\Who do you think you are?\Don't talk about Earth like you know anything!\Riddles? Makes zero sense. .\You're raising so much hell.\You gonna take responsibility, ugly bitch? response:	Die!
context: Who talks like that nowadays?\What can a psycho do, anyway?\Who do you think you are?\Don't talk about Earth like you know anything!\Riddles? Makes zero sense. .\You're raising so much hell.\You gonna take responsibility, ugly bitch?\Die! response:	Are you okay with this?
context: What can a psycho do, anyway?\Who do you think you are?\Don't talk about Earth like you know anything!\Riddles? Makes zero sense. .\You're raising so much hell.\You gonna take responsibility, ugly bitch?\Die!\Are you okay with this? response:	I'm fine.
context: Who do you think you are?\Don't talk about Earth like you know anything!\Riddles? Makes zero sense. .\You're raising so much hell.\You gonna take responsibility, ugly bitch?\Die!\Are you okay with this?\I'm fine. response:	Because...
context: Don't talk about Earth like you know anything!\Riddles? Makes zero sense. .\You're raising so much hell.\You gonna take responsibility, ugly bitch?\Die!\Are you okay with this?\I'm fine.\Because... response:	Right!
context: Riddles? Makes zero sense. .\You're raising so much hell.\You gonna take responsibility, ugly bitch?\Die!\Are you okay with this?\I'm fine.\Because...\Right! response:	Okay, let's do it!
context: You're raising so much hell.\You gonna take responsibility, ugly bitch?\Die!\Are you okay with this?\I'm fine.\Because...\Right!\Okay, let's do it! response:	One, two...!
context: You gonna take responsibility, ugly bitch?\Die!\Are you okay with this?\I'm fine.\Because...\Right!\Okay, let's do it!\One, two...! response:	Oh, this photo!
context: Die!\Are you okay with this?\I'm fine.\Because...\Right!\Okay, let's do it!\One, two...!\Oh, this photo! response:	It's nostalgic! I'll save it.
context: Are you okay with this?\I'm fine.\Because...\Right!\Okay, let's do it!\One, two...!\Oh, this photo!\It's nostalgic! I'll save it. response:	Katze told me once
context: I'm fine.\Because...\Right!\Okay, let's do it!\One, two...!\Oh, this photo!\It's nostalgic! I'll save it.\Katze told me once response:	that the true culprit is the black heart.
context: Because...\Right!\Okay, let's do it!\One, two...!\Oh, this photo!\It's nostalgic! I'll save it.\Katze told me once\that the true culprit is the black heart. response:	It said that the black heart overflows
context: Right!\Okay, let's do it!\One, two...!\Oh, this photo!\It's nostalgic! I'll save it.\Katze told me once\that the true culprit is the black heart.\It said that the black heart overflows response:	and causes people to kill each other.
context: Okay, let's do it!\One, two...!\Oh, this photo!\It's nostalgic! I'll save it.\Katze told me once\that the true culprit is the black heart.\It said that the black heart overflows\and causes people to kill each other. response:	That is why these incidents will never cease.
context: One, two...!\Oh, this photo!\It's nostalgic! I'll save it.\Katze told me once\that the true culprit is the black heart.\It said that the black heart overflows\and causes people to kill each other.\That is why these incidents will never cease. response:	The black heart...
context: Oh, this photo!\It's nostalgic! I'll save it.\Katze told me once\that the true culprit is the black heart.\It said that the black heart overflows\and causes people to kill each other.\That is why these incidents will never cease.\The black heart... response:	Senpai!
context: It's nostalgic! I'll save it.\Katze told me once\that the true culprit is the black heart.\It said that the black heart overflows\and causes people to kill each other.\That is why these incidents will never cease.\The black heart...\Senpai! response:	Huh?
context: Katze told me once\that the true culprit is the black heart.\It said that the black heart overflows\and causes people to kill each other.\That is why these incidents will never cease.\The black heart...\Senpai!\Huh? response:	What would you think if I died?
context: that the true culprit is the black heart.\It said that the black heart overflows\and causes people to kill each other.\That is why these incidents will never cease.\The black heart...\Senpai!\Huh?\What would you think if I died? response:	What?
context: It said that the black heart overflows\and causes people to kill each other.\That is why these incidents will never cease.\The black heart...\Senpai!\Huh?\What would you think if I died?\What? response:	O-Of course I'd be sad.
context: and causes people to kill each other.\That is why these incidents will never cease.\The black heart...\Senpai!\Huh?\What would you think if I died?\What?\O-Of course I'd be sad. response:	I see.
context: That is why these incidents will never cease.\The black heart...\Senpai!\Huh?\What would you think if I died?\What?\O-Of course I'd be sad.\I see. response:	I'd be gloomy, too.
context: The black heart...\Senpai!\Huh?\What would you think if I died?\What?\O-Of course I'd be sad.\I see.\I'd be gloomy, too. response:	I see. Thanks.
context: Senpai!\Huh?\What would you think if I died?\What?\O-Of course I'd be sad.\I see.\I'd be gloomy, too.\I see. Thanks. response:	Me, too!
context: Huh?\What would you think if I died?\What?\O-Of course I'd be sad.\I see.\I'd be gloomy, too.\I see. Thanks.\Me, too! response:	Really?!
context: What would you think if I died?\What?\O-Of course I'd be sad.\I see.\I'd be gloomy, too.\I see. Thanks.\Me, too!\Really?! response:	Of course!
context: What?\O-Of course I'd be sad.\I see.\I'd be gloomy, too.\I see. Thanks.\Me, too!\Really?!\Of course! response:	You are the G team's sun, Hajime-chan.
context: O-Of course I'd be sad.\I see.\I'd be gloomy, too.\I see. Thanks.\Me, too!\Really?!\Of course!\You are the G team's sun, Hajime-chan. response:	Rui-kun, don't pay attention to any of that.
context: I see.\I'd be gloomy, too.\I see. Thanks.\Me, too!\Really?!\Of course!\You are the G team's sun, Hajime-chan.\Rui-kun, don't pay attention to any of that. response:	They do say people's misfortunes are as sweet as honey, though.
context: I'd be gloomy, too.\I see. Thanks.\Me, too!\Really?!\Of course!\You are the G team's sun, Hajime-chan.\Rui-kun, don't pay attention to any of that.\They do say people's misfortunes are as sweet as honey, though. response:	Honey Karintou
context: I see. Thanks.\Me, too!\Really?!\Of course!\You are the G team's sun, Hajime-chan.\Rui-kun, don't pay attention to any of that.\They do say people's misfortunes are as sweet as honey, though.\Honey Karintou response:	Right!
context: Me, too!\Really?!\Of course!\You are the G team's sun, Hajime-chan.\Rui-kun, don't pay attention to any of that.\They do say people's misfortunes are as sweet as honey, though.\Honey Karintou\Right! response:	I've solved the riddle!
context: Really?!\Of course!\You are the G team's sun, Hajime-chan.\Rui-kun, don't pay attention to any of that.\They do say people's misfortunes are as sweet as honey, though.\Honey Karintou\Right!\I've solved the riddle! response:	Wings of Six, I await you at the Spiritual Precipice.
context: Of course!\You are the G team's sun, Hajime-chan.\Rui-kun, don't pay attention to any of that.\They do say people's misfortunes are as sweet as honey, though.\Honey Karintou\Right!\I've solved the riddle!\Wings of Six, I await you at the Spiritual Precipice. response:	What?
context: You are the G team's sun, Hajime-chan.\Rui-kun, don't pay attention to any of that.\They do say people's misfortunes are as sweet as honey, though.\Honey Karintou\Right!\I've solved the riddle!\Wings of Six, I await you at the Spiritual Precipice.\What? response:	The broken children will begin a great festival.
context: Rui-kun, don't pay attention to any of that.\They do say people's misfortunes are as sweet as honey, though.\Honey Karintou\Right!\I've solved the riddle!\Wings of Six, I await you at the Spiritual Precipice.\What?\The broken children will begin a great festival. response:	The black heart that had slumbered deep within the earth
context: They do say people's misfortunes are as sweet as honey, though.\Honey Karintou\Right!\I've solved the riddle!\Wings of Six, I await you at the Spiritual Precipice.\What?\The broken children will begin a great festival.\The black heart that had slumbered deep within the earth response:	will appear before the people.
context: Honey Karintou\Right!\I've solved the riddle!\Wings of Six, I await you at the Spiritual Precipice.\What?\The broken children will begin a great festival.\The black heart that had slumbered deep within the earth\will appear before the people. response:	Oh, no!
context: Right!\I've solved the riddle!\Wings of Six, I await you at the Spiritual Precipice.\What?\The broken children will begin a great festival.\The black heart that had slumbered deep within the earth\will appear before the people.\Oh, no! response:	You can't turn this off.
context: I've solved the riddle!\Wings of Six, I await you at the Spiritual Precipice.\What?\The broken children will begin a great festival.\The black heart that had slumbered deep within the earth\will appear before the people.\Oh, no!\You can't turn this off. response:	I'm gloomy.
context: Wings of Six, I await you at the Spiritual Precipice.\What?\The broken children will begin a great festival.\The black heart that had slumbered deep within the earth\will appear before the people.\Oh, no!\You can't turn this off.\I'm gloomy. response:	Fuji Kindergarten
context: What?\The broken children will begin a great festival.\The black heart that had slumbered deep within the earth\will appear before the people.\Oh, no!\You can't turn this off.\I'm gloomy.\Fuji Kindergarten response:	Yes?
context: The broken children will begin a great festival.\The black heart that had slumbered deep within the earth\will appear before the people.\Oh, no!\You can't turn this off.\I'm gloomy.\Fuji Kindergarten\Yes? response:	In Call
