context: I am Amon Kotaro, newly assigned to Control Division One as of today! response:	Pleased to make your acquaintance!
context: I heard about you from your teachers. It's a pleasure, Amon.\I-It's a pleasure to make your acquaintance!\I'm going to place you under Mr. Mado.\Yes, sir.\Mr. Mado, huh? And you, a newbie. Tough break.\He gets a little crazy, so be sure not to let him push you around.\Mr. Mado, I'm going to have you partner up with him starting today.\Oh? All right. response:	Mado Kureo. Nice meeting you, Amon.
context: I-It's a pleasure to make your acquaintance!\I'm going to place you under Mr. Mado.\Yes, sir.\Mr. Mado, huh? And you, a newbie. Tough break.\He gets a little crazy, so be sure not to let him push you around.\Mr. Mado, I'm going to have you partner up with him starting today.\Oh? All right.\Mado Kureo. Nice meeting you, Amon. response:	It is a pleasure to meet you.
context: I'm going to place you under Mr. Mado.\Yes, sir.\Mr. Mado, huh? And you, a newbie. Tough break.\He gets a little crazy, so be sure not to let him push you around.\Mr. Mado, I'm going to have you partner up with him starting today.\Oh? All right.\Mado Kureo. Nice meeting you, Amon.\It is a pleasure to meet you. response:	Applehead, you say?
context: Yes, sir.\Mr. Mado, huh? And you, a newbie. Tough break.\He gets a little crazy, so be sure not to let him push you around.\Mr. Mado, I'm going to have you partner up with him starting today.\Oh? All right.\Mado Kureo. Nice meeting you, Amon.\It is a pleasure to meet you.\Applehead, you say? response:	Yeah. Committed fifty predatory kills in the last year.
context: Mr. Mado, huh? And you, a newbie. Tough break.\He gets a little crazy, so be sure not to let him push you around.\Mr. Mado, I'm going to have you partner up with him starting today.\Oh? All right.\Mado Kureo. Nice meeting you, Amon.\It is a pleasure to meet you.\Applehead, you say?\Yeah. Committed fifty predatory kills in the last year. response:	Do you have anyone as a suspect?
context: He gets a little crazy, so be sure not to let him push you around.\Mr. Mado, I'm going to have you partner up with him starting today.\Oh? All right.\Mado Kureo. Nice meeting you, Amon.\It is a pleasure to meet you.\Applehead, you say?\Yeah. Committed fifty predatory kills in the last year.\Do you have anyone as a suspect? response:	There is one...
context: Mr. Mado, I'm going to have you partner up with him starting today.\Oh? All right.\Mado Kureo. Nice meeting you, Amon.\It is a pleasure to meet you.\Applehead, you say?\Yeah. Committed fifty predatory kills in the last year.\Do you have anyone as a suspect?\There is one... response:	This woman, who was in the area that evening,
context: Oh? All right.\Mado Kureo. Nice meeting you, Amon.\It is a pleasure to meet you.\Applehead, you say?\Yeah. Committed fifty predatory kills in the last year.\Do you have anyone as a suspect?\There is one...\This woman, who was in the area that evening, response:	Muramatsu-Kie, age sixty-eight.
context: Mado Kureo. Nice meeting you, Amon.\It is a pleasure to meet you.\Applehead, you say?\Yeah. Committed fifty predatory kills in the last year.\Do you have anyone as a suspect?\There is one...\This woman, who was in the area that evening,\Muramatsu-Kie, age sixty-eight. response:	Huh?!
context: It is a pleasure to meet you.\Applehead, you say?\Yeah. Committed fifty predatory kills in the last year.\Do you have anyone as a suspect?\There is one...\This woman, who was in the area that evening,\Muramatsu-Kie, age sixty-eight.\Huh?! response:	Is that so strange? You think there are no sixty-eight year old ghouls?
context: Applehead, you say?\Yeah. Committed fifty predatory kills in the last year.\Do you have anyone as a suspect?\There is one...\This woman, who was in the area that evening,\Muramatsu-Kie, age sixty-eight.\Huh?!\Is that so strange? You think there are no sixty-eight year old ghouls? response:	Er, no...
context: Yeah. Committed fifty predatory kills in the last year.\Do you have anyone as a suspect?\There is one...\This woman, who was in the area that evening,\Muramatsu-Kie, age sixty-eight.\Huh?!\Is that so strange? You think there are no sixty-eight year old ghouls?\Er, no... response:	I don't think there can be any doubt that she is Applehead.
context: Do you have anyone as a suspect?\There is one...\This woman, who was in the area that evening,\Muramatsu-Kie, age sixty-eight.\Huh?!\Is that so strange? You think there are no sixty-eight year old ghouls?\Er, no...\I don't think there can be any doubt that she is Applehead. response:	Do you have any proof?
context: There is one...\This woman, who was in the area that evening,\Muramatsu-Kie, age sixty-eight.\Huh?!\Is that so strange? You think there are no sixty-eight year old ghouls?\Er, no...\I don't think there can be any doubt that she is Applehead.\Do you have any proof? response:	My instincts.
context: This woman, who was in the area that evening,\Muramatsu-Kie, age sixty-eight.\Huh?!\Is that so strange? You think there are no sixty-eight year old ghouls?\Er, no...\I don't think there can be any doubt that she is Applehead.\Do you have any proof?\My instincts. response:	I-Instincts?
context: Muramatsu-Kie, age sixty-eight.\Huh?!\Is that so strange? You think there are no sixty-eight year old ghouls?\Er, no...\I don't think there can be any doubt that she is Applehead.\Do you have any proof?\My instincts.\I-Instincts? response:	Instincts are nothing to sneeze at, Amon.
context: Huh?!\Is that so strange? You think there are no sixty-eight year old ghouls?\Er, no...\I don't think there can be any doubt that she is Applehead.\Do you have any proof?\My instincts.\I-Instincts?\Instincts are nothing to sneeze at, Amon. response:	I'm pretty sure of my instincts.
context: Is that so strange? You think there are no sixty-eight year old ghouls?\Er, no...\I don't think there can be any doubt that she is Applehead.\Do you have any proof?\My instincts.\I-Instincts?\Instincts are nothing to sneeze at, Amon.\I'm pretty sure of my instincts. response:	Is this man really all there?
context: Er, no...\I don't think there can be any doubt that she is Applehead.\Do you have any proof?\My instincts.\I-Instincts?\Instincts are nothing to sneeze at, Amon.\I'm pretty sure of my instincts.\Is this man really all there? response:	Good afternoon, Miss Muramatsu.
context: I don't think there can be any doubt that she is Applehead.\Do you have any proof?\My instincts.\I-Instincts?\Instincts are nothing to sneeze at, Amon.\I'm pretty sure of my instincts.\Is this man really all there?\Good afternoon, Miss Muramatsu. response:	Ah, good afternoon. Nice weather, isn't it?
context: Do you have any proof?\My instincts.\I-Instincts?\Instincts are nothing to sneeze at, Amon.\I'm pretty sure of my instincts.\Is this man really all there?\Good afternoon, Miss Muramatsu.\Ah, good afternoon. Nice weather, isn't it? response:	I see you have a handsome man with you today.
context: My instincts.\I-Instincts?\Instincts are nothing to sneeze at, Amon.\I'm pretty sure of my instincts.\Is this man really all there?\Good afternoon, Miss Muramatsu.\Ah, good afternoon. Nice weather, isn't it?\I see you have a handsome man with you today. response:	This is my new partner, Amon.
context: I-Instincts?\Instincts are nothing to sneeze at, Amon.\I'm pretty sure of my instincts.\Is this man really all there?\Good afternoon, Miss Muramatsu.\Ah, good afternoon. Nice weather, isn't it?\I see you have a handsome man with you today.\This is my new partner, Amon. response:	Pleased to meet you.
context: Instincts are nothing to sneeze at, Amon.\I'm pretty sure of my instincts.\Is this man really all there?\Good afternoon, Miss Muramatsu.\Ah, good afternoon. Nice weather, isn't it?\I see you have a handsome man with you today.\This is my new partner, Amon.\Pleased to meet you. response:	This benign-looking woman is a ghoul?
context: I'm pretty sure of my instincts.\Is this man really all there?\Good afternoon, Miss Muramatsu.\Ah, good afternoon. Nice weather, isn't it?\I see you have a handsome man with you today.\This is my new partner, Amon.\Pleased to meet you.\This benign-looking woman is a ghoul? response:	Thank you very much for the doctor's certificate
context: Is this man really all there?\Good afternoon, Miss Muramatsu.\Ah, good afternoon. Nice weather, isn't it?\I see you have a handsome man with you today.\This is my new partner, Amon.\Pleased to meet you.\This benign-looking woman is a ghoul?\Thank you very much for the doctor's certificate response:	you sent me the other day.
context: Good afternoon, Miss Muramatsu.\Ah, good afternoon. Nice weather, isn't it?\I see you have a handsome man with you today.\This is my new partner, Amon.\Pleased to meet you.\This benign-looking woman is a ghoul?\Thank you very much for the doctor's certificate\you sent me the other day. response:	Looking at your Rc factor, it will be plainly obvious
context: Ah, good afternoon. Nice weather, isn't it?\I see you have a handsome man with you today.\This is my new partner, Amon.\Pleased to meet you.\This benign-looking woman is a ghoul?\Thank you very much for the doctor's certificate\you sent me the other day.\Looking at your Rc factor, it will be plainly obvious response:	whether or not you are a ghoul.
context: I see you have a handsome man with you today.\This is my new partner, Amon.\Pleased to meet you.\This benign-looking woman is a ghoul?\Thank you very much for the doctor's certificate\you sent me the other day.\Looking at your Rc factor, it will be plainly obvious\whether or not you are a ghoul. response:	Your number is 231. If you were a ghoul, that would be impossible.
context: This is my new partner, Amon.\Pleased to meet you.\This benign-looking woman is a ghoul?\Thank you very much for the doctor's certificate\you sent me the other day.\Looking at your Rc factor, it will be plainly obvious\whether or not you are a ghoul.\Your number is 231. If you were a ghoul, that would be impossible. response:	I'm terribly sorry for having cast my suspicion upon you.
context: Pleased to meet you.\This benign-looking woman is a ghoul?\Thank you very much for the doctor's certificate\you sent me the other day.\Looking at your Rc factor, it will be plainly obvious\whether or not you are a ghoul.\Your number is 231. If you were a ghoul, that would be impossible.\I'm terribly sorry for having cast my suspicion upon you. response:	If you had a doctor's certificate from her, why didn't you tell me?!
context: This benign-looking woman is a ghoul?\Thank you very much for the doctor's certificate\you sent me the other day.\Looking at your Rc factor, it will be plainly obvious\whether or not you are a ghoul.\Your number is 231. If you were a ghoul, that would be impossible.\I'm terribly sorry for having cast my suspicion upon you.\If you had a doctor's certificate from her, why didn't you tell me?! response:	There are any number of ways to forge these.
context: Thank you very much for the doctor's certificate\you sent me the other day.\Looking at your Rc factor, it will be plainly obvious\whether or not you are a ghoul.\Your number is 231. If you were a ghoul, that would be impossible.\I'm terribly sorry for having cast my suspicion upon you.\If you had a doctor's certificate from her, why didn't you tell me?!\There are any number of ways to forge these. response:	It doesn't prove anything.
context: you sent me the other day.\Looking at your Rc factor, it will be plainly obvious\whether or not you are a ghoul.\Your number is 231. If you were a ghoul, that would be impossible.\I'm terribly sorry for having cast my suspicion upon you.\If you had a doctor's certificate from her, why didn't you tell me?!\There are any number of ways to forge these.\It doesn't prove anything. response:	Even so...
context: Looking at your Rc factor, it will be plainly obvious\whether or not you are a ghoul.\Your number is 231. If you were a ghoul, that would be impossible.\I'm terribly sorry for having cast my suspicion upon you.\If you had a doctor's certificate from her, why didn't you tell me?!\There are any number of ways to forge these.\It doesn't prove anything.\Even so... response:	He-he, it's part of my strategy, to get her to give herself away.
context: whether or not you are a ghoul.\Your number is 231. If you were a ghoul, that would be impossible.\I'm terribly sorry for having cast my suspicion upon you.\If you had a doctor's certificate from her, why didn't you tell me?!\There are any number of ways to forge these.\It doesn't prove anything.\Even so...\He-he, it's part of my strategy, to get her to give herself away. response:	You should learn from everything I'm doing.
context: Your number is 231. If you were a ghoul, that would be impossible.\I'm terribly sorry for having cast my suspicion upon you.\If you had a doctor's certificate from her, why didn't you tell me?!\There are any number of ways to forge these.\It doesn't prove anything.\Even so...\He-he, it's part of my strategy, to get her to give herself away.\You should learn from everything I'm doing. response:	You're still just a fledgling, after all.
context: I'm terribly sorry for having cast my suspicion upon you.\If you had a doctor's certificate from her, why didn't you tell me?!\There are any number of ways to forge these.\It doesn't prove anything.\Even so...\He-he, it's part of my strategy, to get her to give herself away.\You should learn from everything I'm doing.\You're still just a fledgling, after all. response:	Very well.
context: If you had a doctor's certificate from her, why didn't you tell me?!\There are any number of ways to forge these.\It doesn't prove anything.\Even so...\He-he, it's part of my strategy, to get her to give herself away.\You should learn from everything I'm doing.\You're still just a fledgling, after all.\Very well. response:	Oh, right! Amon, would you show me your quinque?
context: There are any number of ways to forge these.\It doesn't prove anything.\Even so...\He-he, it's part of my strategy, to get her to give herself away.\You should learn from everything I'm doing.\You're still just a fledgling, after all.\Very well.\Oh, right! Amon, would you show me your quinque? response:	Huh?
context: It doesn't prove anything.\Even so...\He-he, it's part of my strategy, to get her to give herself away.\You should learn from everything I'm doing.\You're still just a fledgling, after all.\Very well.\Oh, right! Amon, would you show me your quinque?\Huh? response:	I'm interested to see what kind of quinques
context: Even so...\He-he, it's part of my strategy, to get her to give herself away.\You should learn from everything I'm doing.\You're still just a fledgling, after all.\Very well.\Oh, right! Amon, would you show me your quinque?\Huh?\I'm interested to see what kind of quinques response:	the newbies are given these days.
context: He-he, it's part of my strategy, to get her to give herself away.\You should learn from everything I'm doing.\You're still just a fledgling, after all.\Very well.\Oh, right! Amon, would you show me your quinque?\Huh?\I'm interested to see what kind of quinques\the newbies are given these days. response:	Forgive me for saying so, Senior Investigator Mado...
context: You should learn from everything I'm doing.\You're still just a fledgling, after all.\Very well.\Oh, right! Amon, would you show me your quinque?\Huh?\I'm interested to see what kind of quinques\the newbies are given these days.\Forgive me for saying so, Senior Investigator Mado... response:	but I take this seriously.
context: You're still just a fledgling, after all.\Very well.\Oh, right! Amon, would you show me your quinque?\Huh?\I'm interested to see what kind of quinques\the newbies are given these days.\Forgive me for saying so, Senior Investigator Mado...\but I take this seriously. response:	I would prefer to refrain from anything
context: Very well.\Oh, right! Amon, would you show me your quinque?\Huh?\I'm interested to see what kind of quinques\the newbies are given these days.\Forgive me for saying so, Senior Investigator Mado...\but I take this seriously.\I would prefer to refrain from anything response:	not involving the investigation!
context: Oh, right! Amon, would you show me your quinque?\Huh?\I'm interested to see what kind of quinques\the newbies are given these days.\Forgive me for saying so, Senior Investigator Mado...\but I take this seriously.\I would prefer to refrain from anything\not involving the investigation! response:	Excuse me.
context: Huh?\I'm interested to see what kind of quinques\the newbies are given these days.\Forgive me for saying so, Senior Investigator Mado...\but I take this seriously.\I would prefer to refrain from anything\not involving the investigation!\Excuse me. response:	Of all the...
context: I'm interested to see what kind of quinques\the newbies are given these days.\Forgive me for saying so, Senior Investigator Mado...\but I take this seriously.\I would prefer to refrain from anything\not involving the investigation!\Excuse me.\Of all the... response:	What is that man thinking?
context: the newbies are given these days.\Forgive me for saying so, Senior Investigator Mado...\but I take this seriously.\I would prefer to refrain from anything\not involving the investigation!\Excuse me.\Of all the...\What is that man thinking? response:	What is someone like him doing at the home office?
context: Forgive me for saying so, Senior Investigator Mado...\but I take this seriously.\I would prefer to refrain from anything\not involving the investigation!\Excuse me.\Of all the...\What is that man thinking?\What is someone like him doing at the home office? response:	Miss Muramatsu?
context: but I take this seriously.\I would prefer to refrain from anything\not involving the investigation!\Excuse me.\Of all the...\What is that man thinking?\What is someone like him doing at the home office?\Miss Muramatsu? response:	You really are a big help.
context: I would prefer to refrain from anything\not involving the investigation!\Excuse me.\Of all the...\What is that man thinking?\What is someone like him doing at the home office?\Miss Muramatsu?\You really are a big help. response:	Oh, no.
context: not involving the investigation!\Excuse me.\Of all the...\What is that man thinking?\What is someone like him doing at the home office?\Miss Muramatsu?\You really are a big help.\Oh, no. response:	If only my own son were as kind as you are.
context: Excuse me.\Of all the...\What is that man thinking?\What is someone like him doing at the home office?\Miss Muramatsu?\You really are a big help.\Oh, no.\If only my own son were as kind as you are. response:	No, not at all.
context: Of all the...\What is that man thinking?\What is someone like him doing at the home office?\Miss Muramatsu?\You really are a big help.\Oh, no.\If only my own son were as kind as you are.\No, not at all. response:	I really am grateful.
context: What is that man thinking?\What is someone like him doing at the home office?\Miss Muramatsu?\You really are a big help.\Oh, no.\If only my own son were as kind as you are.\No, not at all.\I really am grateful. response:	To suspect a woman like this... That man must be crazy.
context: What is someone like him doing at the home office?\Miss Muramatsu?\You really are a big help.\Oh, no.\If only my own son were as kind as you are.\No, not at all.\I really am grateful.\To suspect a woman like this... That man must be crazy. response:	I must say, this is heavy. I'm surprised you got it this far alone...
context: Miss Muramatsu?\You really are a big help.\Oh, no.\If only my own son were as kind as you are.\No, not at all.\I really am grateful.\To suspect a woman like this... That man must be crazy.\I must say, this is heavy. I'm surprised you got it this far alone... response:	Don't go treating me like some old lady, kid!
context: You really are a big help.\Oh, no.\If only my own son were as kind as you are.\No, not at all.\I really am grateful.\To suspect a woman like this... That man must be crazy.\I must say, this is heavy. I'm surprised you got it this far alone...\Don't go treating me like some old lady, kid! response:	So this is where it ends?
context: Oh, no.\If only my own son were as kind as you are.\No, not at all.\I really am grateful.\To suspect a woman like this... That man must be crazy.\I must say, this is heavy. I'm surprised you got it this far alone...\Don't go treating me like some old lady, kid!\So this is where it ends? response:	That won't do, Amon.
context: If only my own son were as kind as you are.\No, not at all.\I really am grateful.\To suspect a woman like this... That man must be crazy.\I must say, this is heavy. I'm surprised you got it this far alone...\Don't go treating me like some old lady, kid!\So this is where it ends?\That won't do, Amon. response:	You can't drop your guard in front of that scum.
context: No, not at all.\I really am grateful.\To suspect a woman like this... That man must be crazy.\I must say, this is heavy. I'm surprised you got it this far alone...\Don't go treating me like some old lady, kid!\So this is where it ends?\That won't do, Amon.\You can't drop your guard in front of that scum. response:	Mr. Mado...
context: I really am grateful.\To suspect a woman like this... That man must be crazy.\I must say, this is heavy. I'm surprised you got it this far alone...\Don't go treating me like some old lady, kid!\So this is where it ends?\That won't do, Amon.\You can't drop your guard in front of that scum.\Mr. Mado... response:	I'm sorry. I...
context: To suspect a woman like this... That man must be crazy.\I must say, this is heavy. I'm surprised you got it this far alone...\Don't go treating me like some old lady, kid!\So this is where it ends?\That won't do, Amon.\You can't drop your guard in front of that scum.\Mr. Mado...\I'm sorry. I... response:	It's okay. I factored your inexperience into my planning.
context: I must say, this is heavy. I'm surprised you got it this far alone...\Don't go treating me like some old lady, kid!\So this is where it ends?\That won't do, Amon.\You can't drop your guard in front of that scum.\Mr. Mado...\I'm sorry. I...\It's okay. I factored your inexperience into my planning. response:	I highly regard that zeal of yours.
context: Don't go treating me like some old lady, kid!\So this is where it ends?\That won't do, Amon.\You can't drop your guard in front of that scum.\Mr. Mado...\I'm sorry. I...\It's okay. I factored your inexperience into my planning.\I highly regard that zeal of yours. response:	But just remember one thing, okay?
context: So this is where it ends?\That won't do, Amon.\You can't drop your guard in front of that scum.\Mr. Mado...\I'm sorry. I...\It's okay. I factored your inexperience into my planning.\I highly regard that zeal of yours.\But just remember one thing, okay? response:	Once the foe is before you,
context: That won't do, Amon.\You can't drop your guard in front of that scum.\Mr. Mado...\I'm sorry. I...\It's okay. I factored your inexperience into my planning.\I highly regard that zeal of yours.\But just remember one thing, okay?\Once the foe is before you, response:	then even if it costs your arms and legs, you fight.
context: You can't drop your guard in front of that scum.\Mr. Mado...\I'm sorry. I...\It's okay. I factored your inexperience into my planning.\I highly regard that zeal of yours.\But just remember one thing, okay?\Once the foe is before you,\then even if it costs your arms and legs, you fight. response:	That's what it is to be an investigator.
context: Mr. Mado...\I'm sorry. I...\It's okay. I factored your inexperience into my planning.\I highly regard that zeal of yours.\But just remember one thing, okay?\Once the foe is before you,\then even if it costs your arms and legs, you fight.\That's what it is to be an investigator. response:	Yes, sir!
context: I'm sorry. I...\It's okay. I factored your inexperience into my planning.\I highly regard that zeal of yours.\But just remember one thing, okay?\Once the foe is before you,\then even if it costs your arms and legs, you fight.\That's what it is to be an investigator.\Yes, sir! response:	Hey, crybaby Amon!
context: It's okay. I factored your inexperience into my planning.\I highly regard that zeal of yours.\But just remember one thing, okay?\Once the foe is before you,\then even if it costs your arms and legs, you fight.\That's what it is to be an investigator.\Yes, sir!\Hey, crybaby Amon! response:	Mr. Shinohara!
context: I highly regard that zeal of yours.\But just remember one thing, okay?\Once the foe is before you,\then even if it costs your arms and legs, you fight.\That's what it is to be an investigator.\Yes, sir!\Hey, crybaby Amon!\Mr. Shinohara! response:	Hey! Been off blubbering again?
context: But just remember one thing, okay?\Once the foe is before you,\then even if it costs your arms and legs, you fight.\That's what it is to be an investigator.\Yes, sir!\Hey, crybaby Amon!\Mr. Shinohara!\Hey! Been off blubbering again? response:	Mr. Shinohara, what are you doing in the 20th Ward?
context: Once the foe is before you,\then even if it costs your arms and legs, you fight.\That's what it is to be an investigator.\Yes, sir!\Hey, crybaby Amon!\Mr. Shinohara!\Hey! Been off blubbering again?\Mr. Shinohara, what are you doing in the 20th Ward? response:	I needed to see you.
context: then even if it costs your arms and legs, you fight.\That's what it is to be an investigator.\Yes, sir!\Hey, crybaby Amon!\Mr. Shinohara!\Hey! Been off blubbering again?\Mr. Shinohara, what are you doing in the 20th Ward?\I needed to see you. response:	What's that?
context: That's what it is to be an investigator.\Yes, sir!\Hey, crybaby Amon!\Mr. Shinohara!\Hey! Been off blubbering again?\Mr. Shinohara, what are you doing in the 20th Ward?\I needed to see you.\What's that? response:	I was going to see Mr. Mado...
context: Yes, sir!\Hey, crybaby Amon!\Mr. Shinohara!\Hey! Been off blubbering again?\Mr. Shinohara, what are you doing in the 20th Ward?\I needed to see you.\What's that?\I was going to see Mr. Mado... response:	That's right. Fourty nine days, huh?
context: Hey, crybaby Amon!\Mr. Shinohara!\Hey! Been off blubbering again?\Mr. Shinohara, what are you doing in the 20th Ward?\I needed to see you.\What's that?\I was going to see Mr. Mado...\That's right. Fourty nine days, huh? response:	Yes.
context: Mr. Shinohara!\Hey! Been off blubbering again?\Mr. Shinohara, what are you doing in the 20th Ward?\I needed to see you.\What's that?\I was going to see Mr. Mado...\That's right. Fourty nine days, huh?\Yes. response:	To think that he's dead... I still can't believe it.
context: Hey! Been off blubbering again?\Mr. Shinohara, what are you doing in the 20th Ward?\I needed to see you.\What's that?\I was going to see Mr. Mado...\That's right. Fourty nine days, huh?\Yes.\To think that he's dead... I still can't believe it. response:	Anyhow, what did you need?
context: Mr. Shinohara, what are you doing in the 20th Ward?\I needed to see you.\What's that?\I was going to see Mr. Mado...\That's right. Fourty nine days, huh?\Yes.\To think that he's dead... I still can't believe it.\Anyhow, what did you need? response:	Oh, some other day. I'll come back tomorrow.
context: I needed to see you.\What's that?\I was going to see Mr. Mado...\That's right. Fourty nine days, huh?\Yes.\To think that he's dead... I still can't believe it.\Anyhow, what did you need?\Oh, some other day. I'll come back tomorrow. response:	But...
context: What's that?\I was going to see Mr. Mado...\That's right. Fourty nine days, huh?\Yes.\To think that he's dead... I still can't believe it.\Anyhow, what did you need?\Oh, some other day. I'll come back tomorrow.\But... response:	It's okay, go on.
context: I was going to see Mr. Mado...\That's right. Fourty nine days, huh?\Yes.\To think that he's dead... I still can't believe it.\Anyhow, what did you need?\Oh, some other day. I'll come back tomorrow.\But...\It's okay, go on. response:	Say, Amon...
context: That's right. Fourty nine days, huh?\Yes.\To think that he's dead... I still can't believe it.\Anyhow, what did you need?\Oh, some other day. I'll come back tomorrow.\But...\It's okay, go on.\Say, Amon... response:	He... was really proud of you.
context: Yes.\To think that he's dead... I still can't believe it.\Anyhow, what did you need?\Oh, some other day. I'll come back tomorrow.\But...\It's okay, go on.\Say, Amon...\He... was really proud of you. response:	Right. As was I.
context: To think that he's dead... I still can't believe it.\Anyhow, what did you need?\Oh, some other day. I'll come back tomorrow.\But...\It's okay, go on.\Say, Amon...\He... was really proud of you.\Right. As was I. response:	Mado Kureo was my pride.
context: Anyhow, what did you need?\Oh, some other day. I'll come back tomorrow.\But...\It's okay, go on.\Say, Amon...\He... was really proud of you.\Right. As was I.\Mado Kureo was my pride. response:	Tell me, oh tell me, the way it works
context: Oh, some other day. I'll come back tomorrow.\But...\It's okay, go on.\Say, Amon...\He... was really proud of you.\Right. As was I.\Mado Kureo was my pride.\Tell me, oh tell me, the way it works response:	Who is that inside of me?
context: But...\It's okay, go on.\Say, Amon...\He... was really proud of you.\Right. As was I.\Mado Kureo was my pride.\Tell me, oh tell me, the way it works\Who is that inside of me? response:	Here in this broken-down, broken-down world,
context: It's okay, go on.\Say, Amon...\He... was really proud of you.\Right. As was I.\Mado Kureo was my pride.\Tell me, oh tell me, the way it works\Who is that inside of me?\Here in this broken-down, broken-down world, response:	you laugh, without seeing a thing
context: Say, Amon...\He... was really proud of you.\Right. As was I.\Mado Kureo was my pride.\Tell me, oh tell me, the way it works\Who is that inside of me?\Here in this broken-down, broken-down world,\you laugh, without seeing a thing response:	I'm just so damaged, I hold my breath and freeze
context: He... was really proud of you.\Right. As was I.\Mado Kureo was my pride.\Tell me, oh tell me, the way it works\Who is that inside of me?\Here in this broken-down, broken-down world,\you laugh, without seeing a thing\I'm just so damaged, I hold my breath and freeze response:	Breakable, unbreakable; shakable, unshakable
context: Right. As was I.\Mado Kureo was my pride.\Tell me, oh tell me, the way it works\Who is that inside of me?\Here in this broken-down, broken-down world,\you laugh, without seeing a thing\I'm just so damaged, I hold my breath and freeze\Breakable, unbreakable; shakable, unshakable response:	When I found you, it shook me
context: Mado Kureo was my pride.\Tell me, oh tell me, the way it works\Who is that inside of me?\Here in this broken-down, broken-down world,\you laugh, without seeing a thing\I'm just so damaged, I hold my breath and freeze\Breakable, unbreakable; shakable, unshakable\When I found you, it shook me response:	In this twisted world, I'm gradually growing transparent and vanishing
context: Tell me, oh tell me, the way it works\Who is that inside of me?\Here in this broken-down, broken-down world,\you laugh, without seeing a thing\I'm just so damaged, I hold my breath and freeze\Breakable, unbreakable; shakable, unshakable\When I found you, it shook me\In this twisted world, I'm gradually growing transparent and vanishing response:	Don't look for me; don't look at me
context: Who is that inside of me?\Here in this broken-down, broken-down world,\you laugh, without seeing a thing\I'm just so damaged, I hold my breath and freeze\Breakable, unbreakable; shakable, unshakable\When I found you, it shook me\In this twisted world, I'm gradually growing transparent and vanishing\Don't look for me; don't look at me response:	I don't wish to hurt you in a world
context: Here in this broken-down, broken-down world,\you laugh, without seeing a thing\I'm just so damaged, I hold my breath and freeze\Breakable, unbreakable; shakable, unshakable\When I found you, it shook me\In this twisted world, I'm gradually growing transparent and vanishing\Don't look for me; don't look at me\I don't wish to hurt you in a world response:	of someone else's imagining
