context: Beer! Get your beer! response:	Alright, it's that time of year!
context: I don't believe this,\but I'm supposed to put this on...?\That's great!\You won't fit into Wendy's outfit, huh?\The problem is your body's gotten too big.\I was jazzed to participate in this,\but is Wendy okay?\Wendy! response:	Where was she?!
context: but I'm supposed to put this on...?\That's great!\You won't fit into Wendy's outfit, huh?\The problem is your body's gotten too big.\I was jazzed to participate in this,\but is Wendy okay?\Wendy!\Where was she?! response:	Near some bushes in the palace garden.
context: That's great!\You won't fit into Wendy's outfit, huh?\The problem is your body's gotten too big.\I was jazzed to participate in this,\but is Wendy okay?\Wendy!\Where was she?!\Near some bushes in the palace garden. response:	Wendy!
context: You won't fit into Wendy's outfit, huh?\The problem is your body's gotten too big.\I was jazzed to participate in this,\but is Wendy okay?\Wendy!\Where was she?!\Near some bushes in the palace garden.\Wendy! response:	Natsu-san...
context: The problem is your body's gotten too big.\I was jazzed to participate in this,\but is Wendy okay?\Wendy!\Where was she?!\Near some bushes in the palace garden.\Wendy!\Natsu-san... response:	What happened?
context: I was jazzed to participate in this,\but is Wendy okay?\Wendy!\Where was she?!\Near some bushes in the palace garden.\Wendy!\Natsu-san...\What happened? response:	I'm sorry...
context: but is Wendy okay?\Wendy!\Where was she?!\Near some bushes in the palace garden.\Wendy!\Natsu-san...\What happened?\I'm sorry... response:	I can't... really remember...
context: Wendy!\Where was she?!\Near some bushes in the palace garden.\Wendy!\Natsu-san...\What happened?\I'm sorry...\I can't... really remember... response:	Wendy...
context: Where was she?!\Near some bushes in the palace garden.\Wendy!\Natsu-san...\What happened?\I'm sorry...\I can't... really remember...\Wendy... response:	It seems she has magic deficiency disease.
context: Near some bushes in the palace garden.\Wendy!\Natsu-san...\What happened?\I'm sorry...\I can't... really remember...\Wendy...\It seems she has magic deficiency disease. response:	Poluchka-san!
context: Wendy!\Natsu-san...\What happened?\I'm sorry...\I can't... really remember...\Wendy...\It seems she has magic deficiency disease.\Poluchka-san! response:	What are you doing here?
context: Natsu-san...\What happened?\I'm sorry...\I can't... really remember...\Wendy...\It seems she has magic deficiency disease.\Poluchka-san!\What are you doing here? response:	Something wrong with coming to cheer you on?
context: What happened?\I'm sorry...\I can't... really remember...\Wendy...\It seems she has magic deficiency disease.\Poluchka-san!\What are you doing here?\Something wrong with coming to cheer you on? response:	No!
context: I'm sorry...\I can't... really remember...\Wendy...\It seems she has magic deficiency disease.\Poluchka-san!\What are you doing here?\Something wrong with coming to cheer you on?\No! response:	You don't need to be that nervous around me.
context: I can't... really remember...\Wendy...\It seems she has magic deficiency disease.\Poluchka-san!\What are you doing here?\Something wrong with coming to cheer you on?\No!\You don't need to be that nervous around me. response:	I'm not going to eat you up.
context: Wendy...\It seems she has magic deficiency disease.\Poluchka-san!\What are you doing here?\Something wrong with coming to cheer you on?\No!\You don't need to be that nervous around me.\I'm not going to eat you up. response:	Right...
context: It seems she has magic deficiency disease.\Poluchka-san!\What are you doing here?\Something wrong with coming to cheer you on?\No!\You don't need to be that nervous around me.\I'm not going to eat you up.\Right... response:	I heard what's going on with you
context: Poluchka-san!\What are you doing here?\Something wrong with coming to cheer you on?\No!\You don't need to be that nervous around me.\I'm not going to eat you up.\Right...\I heard what's going on with you response:	and it made me worried, so here I am.
context: What are you doing here?\Something wrong with coming to cheer you on?\No!\You don't need to be that nervous around me.\I'm not going to eat you up.\Right...\I heard what's going on with you\and it made me worried, so here I am. response:	Let me have a look.
context: Something wrong with coming to cheer you on?\No!\You don't need to be that nervous around me.\I'm not going to eat you up.\Right...\I heard what's going on with you\and it made me worried, so here I am.\Let me have a look. response:	Just before, you said she has magic deficiency disease...
context: No!\You don't need to be that nervous around me.\I'm not going to eat you up.\Right...\I heard what's going on with you\and it made me worried, so here I am.\Let me have a look.\Just before, you said she has magic deficiency disease... response:	Yes.
context: You don't need to be that nervous around me.\I'm not going to eat you up.\Right...\I heard what's going on with you\and it made me worried, so here I am.\Let me have a look.\Just before, you said she has magic deficiency disease...\Yes. response:	Magic deficiency disease is when
context: I'm not going to eat you up.\Right...\I heard what's going on with you\and it made me worried, so here I am.\Let me have a look.\Just before, you said she has magic deficiency disease...\Yes.\Magic deficiency disease is when response:	the sudden loss of a great deal of magic power
context: Right...\I heard what's going on with you\and it made me worried, so here I am.\Let me have a look.\Just before, you said she has magic deficiency disease...\Yes.\Magic deficiency disease is when\the sudden loss of a great deal of magic power response:	causes all of the muscles to weaken.
context: I heard what's going on with you\and it made me worried, so here I am.\Let me have a look.\Just before, you said she has magic deficiency disease...\Yes.\Magic deficiency disease is when\the sudden loss of a great deal of magic power\causes all of the muscles to weaken. response:	If she's allowed to rest for a while, she'll recover.
context: and it made me worried, so here I am.\Let me have a look.\Just before, you said she has magic deficiency disease...\Yes.\Magic deficiency disease is when\the sudden loss of a great deal of magic power\causes all of the muscles to weaken.\If she's allowed to rest for a while, she'll recover. response:	What happened?
context: Let me have a look.\Just before, you said she has magic deficiency disease...\Yes.\Magic deficiency disease is when\the sudden loss of a great deal of magic power\causes all of the muscles to weaken.\If she's allowed to rest for a while, she'll recover.\What happened? response:	I don't really remember it clearly,
context: Just before, you said she has magic deficiency disease...\Yes.\Magic deficiency disease is when\the sudden loss of a great deal of magic power\causes all of the muscles to weaken.\If she's allowed to rest for a while, she'll recover.\What happened?\I don't really remember it clearly, response:	but there was some kind of black animal...
context: Yes.\Magic deficiency disease is when\the sudden loss of a great deal of magic power\causes all of the muscles to weaken.\If she's allowed to rest for a while, she'll recover.\What happened?\I don't really remember it clearly,\but there was some kind of black animal... response:	Wendy...
context: Magic deficiency disease is when\the sudden loss of a great deal of magic power\causes all of the muscles to weaken.\If she's allowed to rest for a while, she'll recover.\What happened?\I don't really remember it clearly,\but there was some kind of black animal...\Wendy... response:	I'm sorry, everyone...
context: the sudden loss of a great deal of magic power\causes all of the muscles to weaken.\If she's allowed to rest for a while, she'll recover.\What happened?\I don't really remember it clearly,\but there was some kind of black animal...\Wendy...\I'm sorry, everyone... response:	After all the training I did, I...
context: causes all of the muscles to weaken.\If she's allowed to rest for a while, she'll recover.\What happened?\I don't really remember it clearly,\but there was some kind of black animal...\Wendy...\I'm sorry, everyone...\After all the training I did, I... response:	I can't participate...
context: If she's allowed to rest for a while, she'll recover.\What happened?\I don't really remember it clearly,\but there was some kind of black animal...\Wendy...\I'm sorry, everyone...\After all the training I did, I...\I can't participate... response:	Elfman-san...
context: What happened?\I don't really remember it clearly,\but there was some kind of black animal...\Wendy...\I'm sorry, everyone...\After all the training I did, I...\I can't participate...\Elfman-san... response:	Please compete in my place.
context: I don't really remember it clearly,\but there was some kind of black animal...\Wendy...\I'm sorry, everyone...\After all the training I did, I...\I can't participate...\Elfman-san...\Please compete in my place. response:	Of course! Leave it to me!
context: but there was some kind of black animal...\Wendy...\I'm sorry, everyone...\After all the training I did, I...\I can't participate...\Elfman-san...\Please compete in my place.\Of course! Leave it to me! response:	Okay, everyone leave.
context: Wendy...\I'm sorry, everyone...\After all the training I did, I...\I can't participate...\Elfman-san...\Please compete in my place.\Of course! Leave it to me!\Okay, everyone leave. response:	She needs her rest now!
context: I'm sorry, everyone...\After all the training I did, I...\I can't participate...\Elfman-san...\Please compete in my place.\Of course! Leave it to me!\Okay, everyone leave.\She needs her rest now! response:	Let's go.
context: After all the training I did, I...\I can't participate...\Elfman-san...\Please compete in my place.\Of course! Leave it to me!\Okay, everyone leave.\She needs her rest now!\Let's go. response:	The only thing we can do right now is compete in the Grand Magic Games.
context: I can't participate...\Elfman-san...\Please compete in my place.\Of course! Leave it to me!\Okay, everyone leave.\She needs her rest now!\Let's go.\The only thing we can do right now is compete in the Grand Magic Games. response:	But that's not all of it, right? We have to become Fiore's number one guild!
context: Elfman-san...\Please compete in my place.\Of course! Leave it to me!\Okay, everyone leave.\She needs her rest now!\Let's go.\The only thing we can do right now is compete in the Grand Magic Games.\But that's not all of it, right? We have to become Fiore's number one guild! response:	Oh, quit crying.
context: Please compete in my place.\Of course! Leave it to me!\Okay, everyone leave.\She needs her rest now!\Let's go.\The only thing we can do right now is compete in the Grand Magic Games.\But that's not all of it, right? We have to become Fiore's number one guild!\Oh, quit crying. response:	The Grand Magic Games is a festival that lasts seven days.
context: Of course! Leave it to me!\Okay, everyone leave.\She needs her rest now!\Let's go.\The only thing we can do right now is compete in the Grand Magic Games.\But that's not all of it, right? We have to become Fiore's number one guild!\Oh, quit crying.\The Grand Magic Games is a festival that lasts seven days. response:	If you recover, you should be able to take part.
context: Okay, everyone leave.\She needs her rest now!\Let's go.\The only thing we can do right now is compete in the Grand Magic Games.\But that's not all of it, right? We have to become Fiore's number one guild!\Oh, quit crying.\The Grand Magic Games is a festival that lasts seven days.\If you recover, you should be able to take part. response:	On my honor as the advising apothecary of Fairy Tail,
context: She needs her rest now!\Let's go.\The only thing we can do right now is compete in the Grand Magic Games.\But that's not all of it, right? We have to become Fiore's number one guild!\Oh, quit crying.\The Grand Magic Games is a festival that lasts seven days.\If you recover, you should be able to take part.\On my honor as the advising apothecary of Fairy Tail, response:	I swear I'll cure you!
context: Let's go.\The only thing we can do right now is compete in the Grand Magic Games.\But that's not all of it, right? We have to become Fiore's number one guild!\Oh, quit crying.\The Grand Magic Games is a festival that lasts seven days.\If you recover, you should be able to take part.\On my honor as the advising apothecary of Fairy Tail,\I swear I'll cure you! response:	Thank you, Grandine.
context: The only thing we can do right now is compete in the Grand Magic Games.\But that's not all of it, right? We have to become Fiore's number one guild!\Oh, quit crying.\The Grand Magic Games is a festival that lasts seven days.\If you recover, you should be able to take part.\On my honor as the advising apothecary of Fairy Tail,\I swear I'll cure you!\Thank you, Grandine. response:	Don't call me by that name!
context: But that's not all of it, right? We have to become Fiore's number one guild!\Oh, quit crying.\The Grand Magic Games is a festival that lasts seven days.\If you recover, you should be able to take part.\On my honor as the advising apothecary of Fairy Tail,\I swear I'll cure you!\Thank you, Grandine.\Don't call me by that name! response:	New Guild!
context: Oh, quit crying.\The Grand Magic Games is a festival that lasts seven days.\If you recover, you should be able to take part.\On my honor as the advising apothecary of Fairy Tail,\I swear I'll cure you!\Thank you, Grandine.\Don't call me by that name!\New Guild! response:	Is the villain who harmed Wendy
context: The Grand Magic Games is a festival that lasts seven days.\If you recover, you should be able to take part.\On my honor as the advising apothecary of Fairy Tail,\I swear I'll cure you!\Thank you, Grandine.\Don't call me by that name!\New Guild!\Is the villain who harmed Wendy response:	someone connected to this tournament?
context: If you recover, you should be able to take part.\On my honor as the advising apothecary of Fairy Tail,\I swear I'll cure you!\Thank you, Grandine.\Don't call me by that name!\New Guild!\Is the villain who harmed Wendy\someone connected to this tournament? response:	It's possible.
context: On my honor as the advising apothecary of Fairy Tail,\I swear I'll cure you!\Thank you, Grandine.\Don't call me by that name!\New Guild!\Is the villain who harmed Wendy\someone connected to this tournament?\It's possible. response:	Someone trying to weaken us? Or...
context: I swear I'll cure you!\Thank you, Grandine.\Don't call me by that name!\New Guild!\Is the villain who harmed Wendy\someone connected to this tournament?\It's possible.\Someone trying to weaken us? Or... response:	All we can do now is do this!
context: Thank you, Grandine.\Don't call me by that name!\New Guild!\Is the villain who harmed Wendy\someone connected to this tournament?\It's possible.\Someone trying to weaken us? Or...\All we can do now is do this! response:	We've gotta do our best, for Wendy's sake, too!
context: Don't call me by that name!\New Guild!\Is the villain who harmed Wendy\someone connected to this tournament?\It's possible.\Someone trying to weaken us? Or...\All we can do now is do this!\We've gotta do our best, for Wendy's sake, too! response:	Alright, in just a moment, the curtain will rise on the Grand Magic Games.
context: New Guild!\Is the villain who harmed Wendy\someone connected to this tournament?\It's possible.\Someone trying to weaken us? Or...\All we can do now is do this!\We've gotta do our best, for Wendy's sake, too!\Alright, in just a moment, the curtain will rise on the Grand Magic Games. response:	I'm your emcee, Chapati Rola,
context: Is the villain who harmed Wendy\someone connected to this tournament?\It's possible.\Someone trying to weaken us? Or...\All we can do now is do this!\We've gotta do our best, for Wendy's sake, too!\Alright, in just a moment, the curtain will rise on the Grand Magic Games.\I'm your emcee, Chapati Rola, response:	and next to me is former Council member, Yajima-san, who will provide the commentary.
context: someone connected to this tournament?\It's possible.\Someone trying to weaken us? Or...\All we can do now is do this!\We've gotta do our best, for Wendy's sake, too!\Alright, in just a moment, the curtain will rise on the Grand Magic Games.\I'm your emcee, Chapati Rola,\and next to me is former Council member, Yajima-san, who will provide the commentary. response:	Yajima-san, I look forward to working together.
context: It's possible.\Someone trying to weaken us? Or...\All we can do now is do this!\We've gotta do our best, for Wendy's sake, too!\Alright, in just a moment, the curtain will rise on the Grand Magic Games.\I'm your emcee, Chapati Rola,\and next to me is former Council member, Yajima-san, who will provide the commentary.\Yajima-san, I look forward to working together. response:	Likewise.
context: Someone trying to weaken us? Or...\All we can do now is do this!\We've gotta do our best, for Wendy's sake, too!\Alright, in just a moment, the curtain will rise on the Grand Magic Games.\I'm your emcee, Chapati Rola,\and next to me is former Council member, Yajima-san, who will provide the commentary.\Yajima-san, I look forward to working together.\Likewise. response:	And I'd like to introduce our guest for day one, the current Miss Fiore,
context: All we can do now is do this!\We've gotta do our best, for Wendy's sake, too!\Alright, in just a moment, the curtain will rise on the Grand Magic Games.\I'm your emcee, Chapati Rola,\and next to me is former Council member, Yajima-san, who will provide the commentary.\Yajima-san, I look forward to working together.\Likewise.\And I'd like to introduce our guest for day one, the current Miss Fiore, response:	Blue Pegasus's Jenny Rearlight!
context: We've gotta do our best, for Wendy's sake, too!\Alright, in just a moment, the curtain will rise on the Grand Magic Games.\I'm your emcee, Chapati Rola,\and next to me is former Council member, Yajima-san, who will provide the commentary.\Yajima-san, I look forward to working together.\Likewise.\And I'd like to introduce our guest for day one, the current Miss Fiore,\Blue Pegasus's Jenny Rearlight! response:	We're gonna win this year!
context: Alright, in just a moment, the curtain will rise on the Grand Magic Games.\I'm your emcee, Chapati Rola,\and next to me is former Council member, Yajima-san, who will provide the commentary.\Yajima-san, I look forward to working together.\Likewise.\And I'd like to introduce our guest for day one, the current Miss Fiore,\Blue Pegasus's Jenny Rearlight!\We're gonna win this year! response:	Alright, let's go!
context: I'm your emcee, Chapati Rola,\and next to me is former Council member, Yajima-san, who will provide the commentary.\Yajima-san, I look forward to working together.\Likewise.\And I'd like to introduce our guest for day one, the current Miss Fiore,\Blue Pegasus's Jenny Rearlight!\We're gonna win this year!\Alright, let's go! response:	Okay, the players are about to take the field!
context: and next to me is former Council member, Yajima-san, who will provide the commentary.\Yajima-san, I look forward to working together.\Likewise.\And I'd like to introduce our guest for day one, the current Miss Fiore,\Blue Pegasus's Jenny Rearlight!\We're gonna win this year!\Alright, let's go!\Okay, the players are about to take the field! response:	Starting with the eighth-ranked team! Can they recapture their past glory?!
context: Yajima-san, I look forward to working together.\Likewise.\And I'd like to introduce our guest for day one, the current Miss Fiore,\Blue Pegasus's Jenny Rearlight!\We're gonna win this year!\Alright, let's go!\Okay, the players are about to take the field!\Starting with the eighth-ranked team! Can they recapture their past glory?! response:	The group whose name clashes with their rowdiness!
context: Likewise.\And I'd like to introduce our guest for day one, the current Miss Fiore,\Blue Pegasus's Jenny Rearlight!\We're gonna win this year!\Alright, let's go!\Okay, the players are about to take the field!\Starting with the eighth-ranked team! Can they recapture their past glory?!\The group whose name clashes with their rowdiness! response:	Fairy Tail!
context: And I'd like to introduce our guest for day one, the current Miss Fiore,\Blue Pegasus's Jenny Rearlight!\We're gonna win this year!\Alright, let's go!\Okay, the players are about to take the field!\Starting with the eighth-ranked team! Can they recapture their past glory?!\The group whose name clashes with their rowdiness!\Fairy Tail! response:	What?!
context: Blue Pegasus's Jenny Rearlight!\We're gonna win this year!\Alright, let's go!\Okay, the players are about to take the field!\Starting with the eighth-ranked team! Can they recapture their past glory?!\The group whose name clashes with their rowdiness!\Fairy Tail!\What?! response:	Booing, are they?!
context: We're gonna win this year!\Alright, let's go!\Okay, the players are about to take the field!\Starting with the eighth-ranked team! Can they recapture their past glory?!\The group whose name clashes with their rowdiness!\Fairy Tail!\What?!\Booing, are they?! response:	What the heck is this?!
context: Alright, let's go!\Okay, the players are about to take the field!\Starting with the eighth-ranked team! Can they recapture their past glory?!\The group whose name clashes with their rowdiness!\Fairy Tail!\What?!\Booing, are they?!\What the heck is this?! response:	Fairy Tail has come in last place every year, but they survived the elimination round,
context: Okay, the players are about to take the field!\Starting with the eighth-ranked team! Can they recapture their past glory?!\The group whose name clashes with their rowdiness!\Fairy Tail!\What?!\Booing, are they?!\What the heck is this?!\Fairy Tail has come in last place every year, but they survived the elimination round, response:	though even in that, they were eighth place.
context: Starting with the eighth-ranked team! Can they recapture their past glory?!\The group whose name clashes with their rowdiness!\Fairy Tail!\What?!\Booing, are they?!\What the heck is this?!\Fairy Tail has come in last place every year, but they survived the elimination round,\though even in that, they were eighth place. response:	Will the Tenrou bunch that created a sensation with their homecoming
context: The group whose name clashes with their rowdiness!\Fairy Tail!\What?!\Booing, are they?!\What the heck is this?!\Fairy Tail has come in last place every year, but they survived the elimination round,\though even in that, they were eighth place.\Will the Tenrou bunch that created a sensation with their homecoming response:	now become Fiore's number one?!
context: Fairy Tail!\What?!\Booing, are they?!\What the heck is this?!\Fairy Tail has come in last place every year, but they survived the elimination round,\though even in that, they were eighth place.\Will the Tenrou bunch that created a sensation with their homecoming\now become Fiore's number one?! response:	Don't let it get to you.
context: What?!\Booing, are they?!\What the heck is this?!\Fairy Tail has come in last place every year, but they survived the elimination round,\though even in that, they were eighth place.\Will the Tenrou bunch that created a sensation with their homecoming\now become Fiore's number one?!\Don't let it get to you. response:	I'm just glad they're back.
context: Booing, are they?!\What the heck is this?!\Fairy Tail has come in last place every year, but they survived the elimination round,\though even in that, they were eighth place.\Will the Tenrou bunch that created a sensation with their homecoming\now become Fiore's number one?!\Don't let it get to you.\I'm just glad they're back. response:	Congratulations, Fairy Tail.
context: What the heck is this?!\Fairy Tail has come in last place every year, but they survived the elimination round,\though even in that, they were eighth place.\Will the Tenrou bunch that created a sensation with their homecoming\now become Fiore's number one?!\Don't let it get to you.\I'm just glad they're back.\Congratulations, Fairy Tail. response:	Let's start cheerin''em on!
context: Fairy Tail has come in last place every year, but they survived the elimination round,\though even in that, they were eighth place.\Will the Tenrou bunch that created a sensation with their homecoming\now become Fiore's number one?!\Don't let it get to you.\I'm just glad they're back.\Congratulations, Fairy Tail.\Let's start cheerin''em on! response:	Hooray! Hooray! Hooray, Fairy Tail!
context: though even in that, they were eighth place.\Will the Tenrou bunch that created a sensation with their homecoming\now become Fiore's number one?!\Don't let it get to you.\I'm just glad they're back.\Congratulations, Fairy Tail.\Let's start cheerin''em on!\Hooray! Hooray! Hooray, Fairy Tail! response:	As long as we've got the support of our comrades. That's all that counts.
context: Will the Tenrou bunch that created a sensation with their homecoming\now become Fiore's number one?!\Don't let it get to you.\I'm just glad they're back.\Congratulations, Fairy Tail.\Let's start cheerin''em on!\Hooray! Hooray! Hooray, Fairy Tail!\As long as we've got the support of our comrades. That's all that counts. response:	Yeah.
context: now become Fiore's number one?!\Don't let it get to you.\I'm just glad they're back.\Congratulations, Fairy Tail.\Let's start cheerin''em on!\Hooray! Hooray! Hooray, Fairy Tail!\As long as we've got the support of our comrades. That's all that counts.\Yeah. response:	Hooray, hooray, Fairy Tail! Hooray, hooray, Fairy Tail!
context: Don't let it get to you.\I'm just glad they're back.\Congratulations, Fairy Tail.\Let's start cheerin''em on!\Hooray! Hooray! Hooray, Fairy Tail!\As long as we've got the support of our comrades. That's all that counts.\Yeah.\Hooray, hooray, Fairy Tail! Hooray, hooray, Fairy Tail! response:	What the heck is that?!
context: I'm just glad they're back.\Congratulations, Fairy Tail.\Let's start cheerin''em on!\Hooray! Hooray! Hooray, Fairy Tail!\As long as we've got the support of our comrades. That's all that counts.\Yeah.\Hooray, hooray, Fairy Tail! Hooray, hooray, Fairy Tail!\What the heck is that?! response:	I don't believe it!
context: Congratulations, Fairy Tail.\Let's start cheerin''em on!\Hooray! Hooray! Hooray, Fairy Tail!\As long as we've got the support of our comrades. That's all that counts.\Yeah.\Hooray, hooray, Fairy Tail! Hooray, hooray, Fairy Tail!\What the heck is that?!\I don't believe it! response:	How...?!
context: Let's start cheerin''em on!\Hooray! Hooray! Hooray, Fairy Tail!\As long as we've got the support of our comrades. That's all that counts.\Yeah.\Hooray, hooray, Fairy Tail! Hooray, hooray, Fairy Tail!\What the heck is that?!\I don't believe it!\How...?! response:	Hooray, hooray, Fairy Tail!
context: Hooray! Hooray! Hooray, Fairy Tail!\As long as we've got the support of our comrades. That's all that counts.\Yeah.\Hooray, hooray, Fairy Tail! Hooray, hooray, Fairy Tail!\What the heck is that?!\I don't believe it!\How...?!\Hooray, hooray, Fairy Tail! response:	Master Mavis!
context: As long as we've got the support of our comrades. That's all that counts.\Yeah.\Hooray, hooray, Fairy Tail! Hooray, hooray, Fairy Tail!\What the heck is that?!\I don't believe it!\How...?!\Hooray, hooray, Fairy Tail!\Master Mavis! response:	I've come to show my support.
context: Yeah.\Hooray, hooray, Fairy Tail! Hooray, hooray, Fairy Tail!\What the heck is that?!\I don't believe it!\How...?!\Hooray, hooray, Fairy Tail!\Master Mavis!\I've come to show my support. response:	You came...
context: Hooray, hooray, Fairy Tail! Hooray, hooray, Fairy Tail!\What the heck is that?!\I don't believe it!\How...?!\Hooray, hooray, Fairy Tail!\Master Mavis!\I've come to show my support.\You came... response:	It's fine!
context: What the heck is that?!\I don't believe it!\How...?!\Hooray, hooray, Fairy Tail!\Master Mavis!\I've come to show my support.\You came...\It's fine! response:	Only those bearing the guild's insignia can see me.
context: I don't believe it!\How...?!\Hooray, hooray, Fairy Tail!\Master Mavis!\I've come to show my support.\You came...\It's fine!\Only those bearing the guild's insignia can see me. response:	I, uh, don't know if that's the issue...
context: How...?!\Hooray, hooray, Fairy Tail!\Master Mavis!\I've come to show my support.\You came...\It's fine!\Only those bearing the guild's insignia can see me.\I, uh, don't know if that's the issue... response:	After all, I've got nothing to do being cooped up on Tenroujima all the time.
context: Hooray, hooray, Fairy Tail!\Master Mavis!\I've come to show my support.\You came...\It's fine!\Only those bearing the guild's insignia can see me.\I, uh, don't know if that's the issue...\After all, I've got nothing to do being cooped up on Tenroujima all the time. response:	It's encouraging having the first master here to watch us!
context: Master Mavis!\I've come to show my support.\You came...\It's fine!\Only those bearing the guild's insignia can see me.\I, uh, don't know if that's the issue...\After all, I've got nothing to do being cooped up on Tenroujima all the time.\It's encouraging having the first master here to watch us! response:	Even though she's a ghost...
context: I've come to show my support.\You came...\It's fine!\Only those bearing the guild's insignia can see me.\I, uh, don't know if that's the issue...\After all, I've got nothing to do being cooped up on Tenroujima all the time.\It's encouraging having the first master here to watch us!\Even though she's a ghost... response:	Alright! Let's move on with the team that finished seventh,
context: You came...\It's fine!\Only those bearing the guild's insignia can see me.\I, uh, don't know if that's the issue...\After all, I've got nothing to do being cooped up on Tenroujima all the time.\It's encouraging having the first master here to watch us!\Even though she's a ghost...\Alright! Let's move on with the team that finished seventh, response:	the hounds of hell, Quatro Cerberus!
context: It's fine!\Only those bearing the guild's insignia can see me.\I, uh, don't know if that's the issue...\After all, I've got nothing to do being cooped up on Tenroujima all the time.\It's encouraging having the first master here to watch us!\Even though she's a ghost...\Alright! Let's move on with the team that finished seventh,\the hounds of hell, Quatro Cerberus! response:	Wild Four!
context: Only those bearing the guild's insignia can see me.\I, uh, don't know if that's the issue...\After all, I've got nothing to do being cooped up on Tenroujima all the time.\It's encouraging having the first master here to watch us!\Even though she's a ghost...\Alright! Let's move on with the team that finished seventh,\the hounds of hell, Quatro Cerberus!\Wild Four! response:	This is the year that we win, all you bastards!
