context: Shit! response:	You fought quite well, considering your wounds.
context: This is the Criminal Investigation Department, part of the Public Safety Bureau.\Access to this block is currently restricted to ensure safety.\I-I'm sorry!\All residents of this neighborhood are expected to evacuate immediately.\Inspector\Inspector\Inspector\Inspector response:	Inspector
context: Access to this block is currently restricted to ensure safety.\I-I'm sorry!\All residents of this neighborhood are expected to evacuate immediately.\Inspector\Inspector\Inspector\Inspector\Inspector response:	Inspector
context: I-I'm sorry!\All residents of this neighborhood are expected to evacuate immediately.\Inspector\Inspector\Inspector\Inspector\Inspector\Inspector response:	Inspector
context: All residents of this neighborhood are expected to evacuate immediately.\Inspector\Inspector\Inspector\Inspector\Inspector\Inspector\Inspector response:	Inspector
context: Inspector\Inspector\Inspector\Inspector\Inspector\Inspector\Inspector\Inspector response:	Inspector
context: Inspector\Inspector\Inspector\Inspector\Inspector\Inspector\Inspector\Inspector response:	Inspector
context: Inspector\Inspector\Inspector\Inspector\Inspector\Inspector\Inspector\Inspector response:	Inspector
context: Inspector\Inspector\Inspector\Inspector\Inspector\Inspector\Inspector\Inspector response:	Inspector
context: Inspector\Inspector\Inspector\Inspector\Inspector\Inspector\Inspector\Inspector response:	Inspector
context: Inspector\Inspector\Inspector\Inspector\Inspector\Inspector\Inspector\Inspector response:	Inspector
context: Inspector\Inspector\Inspector\Inspector\Inspector\Inspector\Inspector\Inspector response:	Inspector
context: Inspector\Inspector\Inspector\Inspector\Inspector\Inspector\Inspector\Inspector response:	Inspector
context: Inspector\Inspector\Inspector\Inspector\Inspector\Inspector\Inspector\Inspector response:	Inspector
context: Inspector\Inspector\Inspector\Inspector\Inspector\Inspector\Inspector\Inspector response:	Inspector
context: Inspector\Inspector\Inspector\Inspector\Inspector\Inspector\Inspector\Inspector response:	Inspector
context: Inspector\Inspector\Inspector\Inspector\Inspector\Inspector\Inspector\Inspector response:	Inspector
context: Inspector\Inspector\Inspector\Inspector\Inspector\Inspector\Inspector\Inspector response:	Inspector
context: Inspector\Inspector\Inspector\Inspector\Inspector\Inspector\Inspector\Inspector response:	Inspector
context: Inspector\Inspector\Inspector\Inspector\Inspector\Inspector\Inspector\Inspector response:	Inspector
context: Inspector\Inspector\Inspector\Inspector\Inspector\Inspector\Inspector\Inspector response:	Inspector
context: Inspector\Inspector\Inspector\Inspector\Inspector\Inspector\Inspector\Inspector response:	Inspector
context: Inspector\Inspector\Inspector\Inspector\Inspector\Inspector\Inspector\Inspector response:	Inspector
context: Inspector\Inspector\Inspector\Inspector\Inspector\Inspector\Inspector\Inspector response:	Inspector
context: Inspector\Inspector\Inspector\Inspector\Inspector\Inspector\Inspector\Inspector response:	Inspector
context: Inspector\Inspector\Inspector\Inspector\Inspector\Inspector\Inspector\Inspector response:	Inspector
context: Inspector\Inspector\Inspector\Inspector\Inspector\Inspector\Inspector\Inspector response:	Inspector
context: Inspector\Inspector\Inspector\Inspector\Inspector\Inspector\Inspector\Inspector response:	Inspector
context: Inspector\Inspector\Inspector\Inspector\Inspector\Inspector\Inspector\Inspector response:	Inspector
context: Inspector\Inspector\Inspector\Inspector\Inspector\Inspector\Inspector\Inspector response:	Inspector
context: Inspector\Inspector\Inspector\Inspector\Inspector\Inspector\Inspector\Inspector response:	Inspector
context: Inspector\Inspector\Inspector\Inspector\Inspector\Inspector\Inspector\Inspector response:	Inspector
context: Inspector\Inspector\Inspector\Inspector\Inspector\Inspector\Inspector\Inspector response:	Inspector
context: Inspector\Inspector\Inspector\Inspector\Inspector\Inspector\Inspector\Inspector response:	Inspector
context: Inspector\Inspector\Inspector\Inspector\Inspector\Inspector\Inspector\Inspector response:	Inspector
context: Inspector\Inspector\Inspector\Inspector\Inspector\Inspector\Inspector\Inspector response:	Inspector
context: Inspector\Inspector\Inspector\Inspector\Inspector\Inspector\Inspector\Inspector response:	Inspector
context: Inspector\Inspector\Inspector\Inspector\Inspector\Inspector\Inspector\Inspector response:	Inspector
context: Inspector\Inspector\Inspector\Inspector\Inspector\Inspector\Inspector\Inspector response:	Inspector
context: Inspector\Inspector\Inspector\Inspector\Inspector\Inspector\Inspector\Inspector response:	Inspector
context: Inspector\Inspector\Inspector\Inspector\Inspector\Inspector\Inspector\Inspector response:	Inspector
context: Inspector\Inspector\Inspector\Inspector\Inspector\Inspector\Inspector\Inspector response:	Inspector
context: Inspector\Inspector\Inspector\Inspector\Inspector\Inspector\Inspector\Inspector response:	Inspector
context: Inspector\Inspector\Inspector\Inspector\Inspector\Inspector\Inspector\Inspector response:	Inspector
context: Inspector\Inspector\Inspector\Inspector\Inspector\Inspector\Inspector\Inspector response:	Inspector
context: Inspector\Inspector\Inspector\Inspector\Inspector\Inspector\Inspector\Inspector response:	Inspector
context: Inspector\Inspector\Inspector\Inspector\Inspector\Inspector\Inspector\Inspector response:	Inspector
context: Inspector\Inspector\Inspector\Inspector\Inspector\Inspector\Inspector\Inspector response:	Inspector
context: Inspector\Inspector\Inspector\Inspector\Inspector\Inspector\Inspector\Inspector response:	Inspector
context: Inspector\Inspector\Inspector\Inspector\Inspector\Inspector\Inspector\Inspector response:	Excuse me! Are you Inspector Ginoza?
context: Inspector\Inspector\Inspector\Inspector\Inspector\Inspector\Inspector\Excuse me! Are you Inspector Ginoza? response:	That's me.
context: Inspector\Inspector\Inspector\Inspector\Inspector\Inspector\Excuse me! Are you Inspector Ginoza?\That's me. response:	You've got rotten luck, having to deal with an incident right after getting posted.
context: Inspector\Inspector\Inspector\Inspector\Inspector\Excuse me! Are you Inspector Ginoza?\That's me.\You've got rotten luck, having to deal with an incident right after getting posted. response:	I'm Tsunemori Akane. I've been assigned to the CID as of today.
context: Inspector\Inspector\Inspector\Inspector\Excuse me! Are you Inspector Ginoza?\That's me.\You've got rotten luck, having to deal with an incident right after getting posted.\I'm Tsunemori Akane. I've been assigned to the CID as of today. response:	Pleased to meet
context: Inspector\Inspector\Inspector\Excuse me! Are you Inspector Ginoza?\That's me.\You've got rotten luck, having to deal with an incident right after getting posted.\I'm Tsunemori Akane. I've been assigned to the CID as of today.\Pleased to meet response:	Sorry, but the CID is very short on manpower.
context: Inspector\Inspector\Excuse me! Are you Inspector Ginoza?\That's me.\You've got rotten luck, having to deal with an incident right after getting posted.\I'm Tsunemori Akane. I've been assigned to the CID as of today.\Pleased to meet\Sorry, but the CID is very short on manpower. response:	So you'll have to hit the ground running.
context: Inspector\Excuse me! Are you Inspector Ginoza?\That's me.\You've got rotten luck, having to deal with an incident right after getting posted.\I'm Tsunemori Akane. I've been assigned to the CID as of today.\Pleased to meet\Sorry, but the CID is very short on manpower.\So you'll have to hit the ground running. response:	Our target is Okura Nobuo.
context: Excuse me! Are you Inspector Ginoza?\That's me.\You've got rotten luck, having to deal with an incident right after getting posted.\I'm Tsunemori Akane. I've been assigned to the CID as of today.\Pleased to meet\Sorry, but the CID is very short on manpower.\So you'll have to hit the ground running.\Our target is Okura Nobuo. response:	A street scanner flagged him while doing a Hue Check,
context: That's me.\You've got rotten luck, having to deal with an incident right after getting posted.\I'm Tsunemori Akane. I've been assigned to the CID as of today.\Pleased to meet\Sorry, but the CID is very short on manpower.\So you'll have to hit the ground running.\Our target is Okura Nobuo.\A street scanner flagged him while doing a Hue Check, response:	so a Security Drone ordered him to receive therapy,
context: You've got rotten luck, having to deal with an incident right after getting posted.\I'm Tsunemori Akane. I've been assigned to the CID as of today.\Pleased to meet\Sorry, but the CID is very short on manpower.\So you'll have to hit the ground running.\Our target is Okura Nobuo.\A street scanner flagged him while doing a Hue Check,\so a Security Drone ordered him to receive therapy, response:	but he refused and ran.
context: I'm Tsunemori Akane. I've been assigned to the CID as of today.\Pleased to meet\Sorry, but the CID is very short on manpower.\So you'll have to hit the ground running.\Our target is Okura Nobuo.\A street scanner flagged him while doing a Hue Check,\so a Security Drone ordered him to receive therapy,\but he refused and ran. response:	The Psycho-Pass it recorded for him was forest green.
context: Pleased to meet\Sorry, but the CID is very short on manpower.\So you'll have to hit the ground running.\Our target is Okura Nobuo.\A street scanner flagged him while doing a Hue Check,\so a Security Drone ordered him to receive therapy,\but he refused and ran.\The Psycho-Pass it recorded for him was forest green. response:	His aggression and compulsion are expected to be high.
context: Sorry, but the CID is very short on manpower.\So you'll have to hit the ground running.\Our target is Okura Nobuo.\A street scanner flagged him while doing a Hue Check,\so a Security Drone ordered him to receive therapy,\but he refused and ran.\The Psycho-Pass it recorded for him was forest green.\His aggression and compulsion are expected to be high. response:	Why would he avoid treatment long enough for his Hue to get this cloudy?
context: So you'll have to hit the ground running.\Our target is Okura Nobuo.\A street scanner flagged him while doing a Hue Check,\so a Security Drone ordered him to receive therapy,\but he refused and ran.\The Psycho-Pass it recorded for him was forest green.\His aggression and compulsion are expected to be high.\Why would he avoid treatment long enough for his Hue to get this cloudy? response:	It's also possible that he used incompatible drugs.
context: Our target is Okura Nobuo.\A street scanner flagged him while doing a Hue Check,\so a Security Drone ordered him to receive therapy,\but he refused and ran.\The Psycho-Pass it recorded for him was forest green.\His aggression and compulsion are expected to be high.\Why would he avoid treatment long enough for his Hue to get this cloudy?\It's also possible that he used incompatible drugs. response:	In any case, he's a latent criminal; one far enough gone that we don't need to wait for Sibyl Judgement.
context: A street scanner flagged him while doing a Hue Check,\so a Security Drone ordered him to receive therapy,\but he refused and ran.\The Psycho-Pass it recorded for him was forest green.\His aggression and compulsion are expected to be high.\Why would he avoid treatment long enough for his Hue to get this cloudy?\It's also possible that he used incompatible drugs.\In any case, he's a latent criminal; one far enough gone that we don't need to wait for Sibyl Judgement. response:	The problem is that the place Okura ran to...
context: so a Security Drone ordered him to receive therapy,\but he refused and ran.\The Psycho-Pass it recorded for him was forest green.\His aggression and compulsion are expected to be high.\Why would he avoid treatment long enough for his Hue to get this cloudy?\It's also possible that he used incompatible drugs.\In any case, he's a latent criminal; one far enough gone that we don't need to wait for Sibyl Judgement.\The problem is that the place Okura ran to... response:	is this block.
context: but he refused and ran.\The Psycho-Pass it recorded for him was forest green.\His aggression and compulsion are expected to be high.\Why would he avoid treatment long enough for his Hue to get this cloudy?\It's also possible that he used incompatible drugs.\In any case, he's a latent criminal; one far enough gone that we don't need to wait for Sibyl Judgement.\The problem is that the place Okura ran to...\is this block. response:	Since this is an abolition block, there's no relay device, so Drones can't come in.
context: The Psycho-Pass it recorded for him was forest green.\His aggression and compulsion are expected to be high.\Why would he avoid treatment long enough for his Hue to get this cloudy?\It's also possible that he used incompatible drugs.\In any case, he's a latent criminal; one far enough gone that we don't need to wait for Sibyl Judgement.\The problem is that the place Okura ran to...\is this block.\Since this is an abolition block, there's no relay device, so Drones can't come in. response:	In addition...
context: His aggression and compulsion are expected to be high.\Why would he avoid treatment long enough for his Hue to get this cloudy?\It's also possible that he used incompatible drugs.\In any case, he's a latent criminal; one far enough gone that we don't need to wait for Sibyl Judgement.\The problem is that the place Okura ran to...\is this block.\Since this is an abolition block, there's no relay device, so Drones can't come in.\In addition... response:	I heard Okura abducted a passerby and is holding her hostage.
context: Why would he avoid treatment long enough for his Hue to get this cloudy?\It's also possible that he used incompatible drugs.\In any case, he's a latent criminal; one far enough gone that we don't need to wait for Sibyl Judgement.\The problem is that the place Okura ran to...\is this block.\Since this is an abolition block, there's no relay device, so Drones can't come in.\In addition...\I heard Okura abducted a passerby and is holding her hostage. response:	A hostage?!
context: It's also possible that he used incompatible drugs.\In any case, he's a latent criminal; one far enough gone that we don't need to wait for Sibyl Judgement.\The problem is that the place Okura ran to...\is this block.\Since this is an abolition block, there's no relay device, so Drones can't come in.\In addition...\I heard Okura abducted a passerby and is holding her hostage.\A hostage?! response:	According to a witness, it's a young woman.
context: In any case, he's a latent criminal; one far enough gone that we don't need to wait for Sibyl Judgement.\The problem is that the place Okura ran to...\is this block.\Since this is an abolition block, there's no relay device, so Drones can't come in.\In addition...\I heard Okura abducted a passerby and is holding her hostage.\A hostage?!\According to a witness, it's a young woman. response:	We haven't been able to confirm her identity yet.
context: The problem is that the place Okura ran to...\is this block.\Since this is an abolition block, there's no relay device, so Drones can't come in.\In addition...\I heard Okura abducted a passerby and is holding her hostage.\A hostage?!\According to a witness, it's a young woman.\We haven't been able to confirm her identity yet. response:	What about evacuating the residents?
context: is this block.\Since this is an abolition block, there's no relay device, so Drones can't come in.\In addition...\I heard Okura abducted a passerby and is holding her hostage.\A hostage?!\According to a witness, it's a young woman.\We haven't been able to confirm her identity yet.\What about evacuating the residents? response:	Records state this is an uninhabited block,
context: Since this is an abolition block, there's no relay device, so Drones can't come in.\In addition...\I heard Okura abducted a passerby and is holding her hostage.\A hostage?!\According to a witness, it's a young woman.\We haven't been able to confirm her identity yet.\What about evacuating the residents?\Records state this is an uninhabited block, response:	but because of that, it's become a den of homeless people.
context: In addition...\I heard Okura abducted a passerby and is holding her hostage.\A hostage?!\According to a witness, it's a young woman.\We haven't been able to confirm her identity yet.\What about evacuating the residents?\Records state this is an uninhabited block,\but because of that, it's become a den of homeless people. response:	Be prepared.
context: I heard Okura abducted a passerby and is holding her hostage.\A hostage?!\According to a witness, it's a young woman.\We haven't been able to confirm her identity yet.\What about evacuating the residents?\Records state this is an uninhabited block,\but because of that, it's become a den of homeless people.\Be prepared. response:	A paddy wagon...
context: A hostage?!\According to a witness, it's a young woman.\We haven't been able to confirm her identity yet.\What about evacuating the residents?\Records state this is an uninhabited block,\but because of that, it's become a den of homeless people.\Be prepared.\A paddy wagon... response:	Don't think that the guys you're about to meet are human like us.
context: According to a witness, it's a young woman.\We haven't been able to confirm her identity yet.\What about evacuating the residents?\Records state this is an uninhabited block,\but because of that, it's become a den of homeless people.\Be prepared.\A paddy wagon...\Don't think that the guys you're about to meet are human like us. response:	Their Psycho-Pass Crime Coefficients all exceed a specific value.
context: We haven't been able to confirm her identity yet.\What about evacuating the residents?\Records state this is an uninhabited block,\but because of that, it's become a den of homeless people.\Be prepared.\A paddy wagon...\Don't think that the guys you're about to meet are human like us.\Their Psycho-Pass Crime Coefficients all exceed a specific value. response:	They are people of bankrupt character.
context: What about evacuating the residents?\Records state this is an uninhabited block,\but because of that, it's become a den of homeless people.\Be prepared.\A paddy wagon...\Don't think that the guys you're about to meet are human like us.\Their Psycho-Pass Crime Coefficients all exceed a specific value.\They are people of bankrupt character. response:	Normally, they would be completely isolated as latent criminals.
context: Records state this is an uninhabited block,\but because of that, it's become a den of homeless people.\Be prepared.\A paddy wagon...\Don't think that the guys you're about to meet are human like us.\Their Psycho-Pass Crime Coefficients all exceed a specific value.\They are people of bankrupt character.\Normally, they would be completely isolated as latent criminals. response:	However, they're allowed into the outside world for the sole purpose
context: but because of that, it's become a den of homeless people.\Be prepared.\A paddy wagon...\Don't think that the guys you're about to meet are human like us.\Their Psycho-Pass Crime Coefficients all exceed a specific value.\They are people of bankrupt character.\Normally, they would be completely isolated as latent criminals.\However, they're allowed into the outside world for the sole purpose response:	of flushing out criminals just like themselves.
context: Be prepared.\A paddy wagon...\Don't think that the guys you're about to meet are human like us.\Their Psycho-Pass Crime Coefficients all exceed a specific value.\They are people of bankrupt character.\Normally, they would be completely isolated as latent criminals.\However, they're allowed into the outside world for the sole purpose\of flushing out criminals just like themselves. response:	They're hunting dogs.
context: A paddy wagon...\Don't think that the guys you're about to meet are human like us.\Their Psycho-Pass Crime Coefficients all exceed a specific value.\They are people of bankrupt character.\Normally, they would be completely isolated as latent criminals.\However, they're allowed into the outside world for the sole purpose\of flushing out criminals just like themselves.\They're hunting dogs. response:	They're beasts used to hunt beasts.
context: Don't think that the guys you're about to meet are human like us.\Their Psycho-Pass Crime Coefficients all exceed a specific value.\They are people of bankrupt character.\Normally, they would be completely isolated as latent criminals.\However, they're allowed into the outside world for the sole purpose\of flushing out criminals just like themselves.\They're hunting dogs.\They're beasts used to hunt beasts. response:	They're what we call Enforcers.
context: Their Psycho-Pass Crime Coefficients all exceed a specific value.\They are people of bankrupt character.\Normally, they would be completely isolated as latent criminals.\However, they're allowed into the outside world for the sole purpose\of flushing out criminals just like themselves.\They're hunting dogs.\They're beasts used to hunt beasts.\They're what we call Enforcers. response:	They'll be your subordinates.
context: They are people of bankrupt character.\Normally, they would be completely isolated as latent criminals.\However, they're allowed into the outside world for the sole purpose\of flushing out criminals just like themselves.\They're hunting dogs.\They're beasts used to hunt beasts.\They're what we call Enforcers.\They'll be your subordinates. response:	Is that cutie the newbie that everyone's been talking about, Gino?
context: Normally, they would be completely isolated as latent criminals.\However, they're allowed into the outside world for the sole purpose\of flushing out criminals just like themselves.\They're hunting dogs.\They're beasts used to hunt beasts.\They're what we call Enforcers.\They'll be your subordinates.\Is that cutie the newbie that everyone's been talking about, Gino? response:	This is Inspector Tsunemori Akane.
context: However, they're allowed into the outside world for the sole purpose\of flushing out criminals just like themselves.\They're hunting dogs.\They're beasts used to hunt beasts.\They're what we call Enforcers.\They'll be your subordinates.\Is that cutie the newbie that everyone's been talking about, Gino?\This is Inspector Tsunemori Akane. response:	Starting today, she's your second owner.
context: of flushing out criminals just like themselves.\They're hunting dogs.\They're beasts used to hunt beasts.\They're what we call Enforcers.\They'll be your subordinates.\Is that cutie the newbie that everyone's been talking about, Gino?\This is Inspector Tsunemori Akane.\Starting today, she's your second owner. response:	P-Pleased to meet you!
context: They're hunting dogs.\They're beasts used to hunt beasts.\They're what we call Enforcers.\They'll be your subordinates.\Is that cutie the newbie that everyone's been talking about, Gino?\This is Inspector Tsunemori Akane.\Starting today, she's your second owner.\P-Pleased to meet you! response:	You guys all looked through the target's data, right?
context: They're beasts used to hunt beasts.\They're what we call Enforcers.\They'll be your subordinates.\Is that cutie the newbie that everyone's been talking about, Gino?\This is Inspector Tsunemori Akane.\Starting today, she's your second owner.\P-Pleased to meet you!\You guys all looked through the target's data, right? response:	We're gonna tighten the noose around our cornered rat.
context: They're what we call Enforcers.\They'll be your subordinates.\Is that cutie the newbie that everyone's been talking about, Gino?\This is Inspector Tsunemori Akane.\Starting today, she's your second owner.\P-Pleased to meet you!\You guys all looked through the target's data, right?\We're gonna tighten the noose around our cornered rat. response:	We'll divide into two groups and take turns.
context: They'll be your subordinates.\Is that cutie the newbie that everyone's been talking about, Gino?\This is Inspector Tsunemori Akane.\Starting today, she's your second owner.\P-Pleased to meet you!\You guys all looked through the target's data, right?\We're gonna tighten the noose around our cornered rat.\We'll divide into two groups and take turns. response:	Kunizuka and Kagari, come with me.
context: Is that cutie the newbie that everyone's been talking about, Gino?\This is Inspector Tsunemori Akane.\Starting today, she's your second owner.\P-Pleased to meet you!\You guys all looked through the target's data, right?\We're gonna tighten the noose around our cornered rat.\We'll divide into two groups and take turns.\Kunizuka and Kagari, come with me. response:	The other two...
context: This is Inspector Tsunemori Akane.\Starting today, she's your second owner.\P-Pleased to meet you!\You guys all looked through the target's data, right?\We're gonna tighten the noose around our cornered rat.\We'll divide into two groups and take turns.\Kunizuka and Kagari, come with me.\The other two... response:	will accompany Inspector Tsunemori.
context: Starting today, she's your second owner.\P-Pleased to meet you!\You guys all looked through the target's data, right?\We're gonna tighten the noose around our cornered rat.\We'll divide into two groups and take turns.\Kunizuka and Kagari, come with me.\The other two...\will accompany Inspector Tsunemori. response:	Roger.
context: P-Pleased to meet you!\You guys all looked through the target's data, right?\We're gonna tighten the noose around our cornered rat.\We'll divide into two groups and take turns.\Kunizuka and Kagari, come with me.\The other two...\will accompany Inspector Tsunemori.\Roger. response:	What?! I wanna go with the cutie!
context: You guys all looked through the target's data, right?\We're gonna tighten the noose around our cornered rat.\We'll divide into two groups and take turns.\Kunizuka and Kagari, come with me.\The other two...\will accompany Inspector Tsunemori.\Roger.\What?! I wanna go with the cutie! response:	Geez, no comeback? He's unbelievable.
context: We're gonna tighten the noose around our cornered rat.\We'll divide into two groups and take turns.\Kunizuka and Kagari, come with me.\The other two...\will accompany Inspector Tsunemori.\Roger.\What?! I wanna go with the cutie!\Geez, no comeback? He's unbelievable. response:	It wasn't funny, that's why.
context: We'll divide into two groups and take turns.\Kunizuka and Kagari, come with me.\The other two...\will accompany Inspector Tsunemori.\Roger.\What?! I wanna go with the cutie!\Geez, no comeback? He's unbelievable.\It wasn't funny, that's why. response:	Later!
context: Kunizuka and Kagari, come with me.\The other two...\will accompany Inspector Tsunemori.\Roger.\What?! I wanna go with the cutie!\Geez, no comeback? He's unbelievable.\It wasn't funny, that's why.\Later! response:	Well... Um... What should I do?
context: The other two...\will accompany Inspector Tsunemori.\Roger.\What?! I wanna go with the cutie!\Geez, no comeback? He's unbelievable.\It wasn't funny, that's why.\Later!\Well... Um... What should I do? response:	You could order us to stand by.
context: will accompany Inspector Tsunemori.\Roger.\What?! I wanna go with the cutie!\Geez, no comeback? He's unbelievable.\It wasn't funny, that's why.\Later!\Well... Um... What should I do?\You could order us to stand by. response:	We wouldn't have any problems with that.
context: Roger.\What?! I wanna go with the cutie!\Geez, no comeback? He's unbelievable.\It wasn't funny, that's why.\Later!\Well... Um... What should I do?\You could order us to stand by.\We wouldn't have any problems with that. response:	You oughta earn your paycheck, pops.
context: What?! I wanna go with the cutie!\Geez, no comeback? He's unbelievable.\It wasn't funny, that's why.\Later!\Well... Um... What should I do?\You could order us to stand by.\We wouldn't have any problems with that.\You oughta earn your paycheck, pops. response:	Hey, don't look so nervous, young lady.
context: Geez, no comeback? He's unbelievable.\It wasn't funny, that's why.\Later!\Well... Um... What should I do?\You could order us to stand by.\We wouldn't have any problems with that.\You oughta earn your paycheck, pops.\Hey, don't look so nervous, young lady. response:	You know how to use a Dominator, right?
context: It wasn't funny, that's why.\Later!\Well... Um... What should I do?\You could order us to stand by.\We wouldn't have any problems with that.\You oughta earn your paycheck, pops.\Hey, don't look so nervous, young lady.\You know how to use a Dominator, right? response:	I-I did receive training on it, more or less...
context: Later!\Well... Um... What should I do?\You could order us to stand by.\We wouldn't have any problems with that.\You oughta earn your paycheck, pops.\Hey, don't look so nervous, young lady.\You know how to use a Dominator, right?\I-I did receive training on it, more or less... response:	This is a gun that reads the Psycho-Pass of the target you're aiming at.
context: Well... Um... What should I do?\You could order us to stand by.\We wouldn't have any problems with that.\You oughta earn your paycheck, pops.\Hey, don't look so nervous, young lady.\You know how to use a Dominator, right?\I-I did receive training on it, more or less...\This is a gun that reads the Psycho-Pass of the target you're aiming at. response:	Its safety is released only when the target is a latent criminal.
context: You could order us to stand by.\We wouldn't have any problems with that.\You oughta earn your paycheck, pops.\Hey, don't look so nervous, young lady.\You know how to use a Dominator, right?\I-I did receive training on it, more or less...\This is a gun that reads the Psycho-Pass of the target you're aiming at.\Its safety is released only when the target is a latent criminal. response:	You can just do what the Dominator tells you.
