context: The Rising of the Shield Hero response:	In the Midst of Turmoil
context: Of course.\Return to the capital\and admonish the king for his unjust treatment of the Shield Hero.\Ordinarily, I would go myself, but...\You can count on me, Mother.\Couldn't you at least have given her a chance to speak?\She's right, kid.\Hey, Master. response:	Why were you so cold to Mel-chan?
context: Return to the capital\and admonish the king for his unjust treatment of the Shield Hero.\Ordinarily, I would go myself, but...\You can count on me, Mother.\Couldn't you at least have given her a chance to speak?\She's right, kid.\Hey, Master.\Why were you so cold to Mel-chan? response:	Why?
context: and admonish the king for his unjust treatment of the Shield Hero.\Ordinarily, I would go myself, but...\You can count on me, Mother.\Couldn't you at least have given her a chance to speak?\She's right, kid.\Hey, Master.\Why were you so cold to Mel-chan?\Why? response:	Tell me why!
context: Ordinarily, I would go myself, but...\You can count on me, Mother.\Couldn't you at least have given her a chance to speak?\She's right, kid.\Hey, Master.\Why were you so cold to Mel-chan?\Why?\Tell me why! response:	Listen, Filo.
context: You can count on me, Mother.\Couldn't you at least have given her a chance to speak?\She's right, kid.\Hey, Master.\Why were you so cold to Mel-chan?\Why?\Tell me why!\Listen, Filo. response:	You mustn't play with her anymore.
context: Couldn't you at least have given her a chance to speak?\She's right, kid.\Hey, Master.\Why were you so cold to Mel-chan?\Why?\Tell me why!\Listen, Filo.\You mustn't play with her anymore. response:	Naofumi-sama...
context: She's right, kid.\Hey, Master.\Why were you so cold to Mel-chan?\Why?\Tell me why!\Listen, Filo.\You mustn't play with her anymore.\Naofumi-sama... response:	Speaking as a father would isn't going to help Filo understand.
context: Hey, Master.\Why were you so cold to Mel-chan?\Why?\Tell me why!\Listen, Filo.\You mustn't play with her anymore.\Naofumi-sama...\Speaking as a father would isn't going to help Filo understand. response:	Why? Why?
context: Why were you so cold to Mel-chan?\Why?\Tell me why!\Listen, Filo.\You mustn't play with her anymore.\Naofumi-sama...\Speaking as a father would isn't going to help Filo understand.\Why? Why? response:	Mel-chan hasn't done anything wrong!
context: Why?\Tell me why!\Listen, Filo.\You mustn't play with her anymore.\Naofumi-sama...\Speaking as a father would isn't going to help Filo understand.\Why? Why?\Mel-chan hasn't done anything wrong! response:	Tell me why!
context: Tell me why!\Listen, Filo.\You mustn't play with her anymore.\Naofumi-sama...\Speaking as a father would isn't going to help Filo understand.\Why? Why?\Mel-chan hasn't done anything wrong!\Tell me why! response:	Hey, Master!
context: Listen, Filo.\You mustn't play with her anymore.\Naofumi-sama...\Speaking as a father would isn't going to help Filo understand.\Why? Why?\Mel-chan hasn't done anything wrong!\Tell me why!\Hey, Master! response:	Tell me!
context: You mustn't play with her anymore.\Naofumi-sama...\Speaking as a father would isn't going to help Filo understand.\Why? Why?\Mel-chan hasn't done anything wrong!\Tell me why!\Hey, Master!\Tell me! response:	Why?
context: Naofumi-sama...\Speaking as a father would isn't going to help Filo understand.\Why? Why?\Mel-chan hasn't done anything wrong!\Tell me why!\Hey, Master!\Tell me!\Why? response:	Naofumi-sama...
context: Speaking as a father would isn't going to help Filo understand.\Why? Why?\Mel-chan hasn't done anything wrong!\Tell me why!\Hey, Master!\Tell me!\Why?\Naofumi-sama... response:	It's because Mel-san is royalty, isn't it?
context: Why? Why?\Mel-chan hasn't done anything wrong!\Tell me why!\Hey, Master!\Tell me!\Why?\Naofumi-sama...\It's because Mel-san is royalty, isn't it? response:	I can't trust them. Any of them.
context: Mel-chan hasn't done anything wrong!\Tell me why!\Hey, Master!\Tell me!\Why?\Naofumi-sama...\It's because Mel-san is royalty, isn't it?\I can't trust them. Any of them. response:	Master...
context: Tell me why!\Hey, Master!\Tell me!\Why?\Naofumi-sama...\It's because Mel-san is royalty, isn't it?\I can't trust them. Any of them.\Master... response:	Quit peeking and just come inside.
context: Hey, Master!\Tell me!\Why?\Naofumi-sama...\It's because Mel-san is royalty, isn't it?\I can't trust them. Any of them.\Master...\Quit peeking and just come inside. response:	You have visitors.
context: Tell me!\Why?\Naofumi-sama...\It's because Mel-san is royalty, isn't it?\I can't trust them. Any of them.\Master...\Quit peeking and just come inside.\You have visitors. response:	Pardon us.
context: Why?\Naofumi-sama...\It's because Mel-san is royalty, isn't it?\I can't trust them. Any of them.\Master...\Quit peeking and just come inside.\You have visitors.\Pardon us. response:	You again?
context: Naofumi-sama...\It's because Mel-san is royalty, isn't it?\I can't trust them. Any of them.\Master...\Quit peeking and just come inside.\You have visitors.\Pardon us.\You again? response:	What the hell do you want?
context: It's because Mel-san is royalty, isn't it?\I can't trust them. Any of them.\Master...\Quit peeking and just come inside.\You have visitors.\Pardon us.\You again?\What the hell do you want? response:	Uh, well...
context: I can't trust them. Any of them.\Master...\Quit peeking and just come inside.\You have visitors.\Pardon us.\You again?\What the hell do you want?\Uh, well... response:	We want to...
context: Master...\Quit peeking and just come inside.\You have visitors.\Pardon us.\You again?\What the hell do you want?\Uh, well...\We want to... response:	Please let us accompany you, at least during the Waves!
context: Quit peeking and just come inside.\You have visitors.\Pardon us.\You again?\What the hell do you want?\Uh, well...\We want to...\Please let us accompany you, at least during the Waves! response:	We were deeply touched by the way you fought in the last Wave.
context: You have visitors.\Pardon us.\You again?\What the hell do you want?\Uh, well...\We want to...\Please let us accompany you, at least during the Waves!\We were deeply touched by the way you fought in the last Wave. response:	Everyone here wants to support your efforts.
context: Pardon us.\You again?\What the hell do you want?\Uh, well...\We want to...\Please let us accompany you, at least during the Waves!\We were deeply touched by the way you fought in the last Wave.\Everyone here wants to support your efforts. response:	Is that why you were looking for me?
context: You again?\What the hell do you want?\Uh, well...\We want to...\Please let us accompany you, at least during the Waves!\We were deeply touched by the way you fought in the last Wave.\Everyone here wants to support your efforts.\Is that why you were looking for me? response:	Yes!
context: What the hell do you want?\Uh, well...\We want to...\Please let us accompany you, at least during the Waves!\We were deeply touched by the way you fought in the last Wave.\Everyone here wants to support your efforts.\Is that why you were looking for me?\Yes! response:	We'd decided to ask you the next time we saw you here in the capital.
context: Uh, well...\We want to...\Please let us accompany you, at least during the Waves!\We were deeply touched by the way you fought in the last Wave.\Everyone here wants to support your efforts.\Is that why you were looking for me?\Yes!\We'd decided to ask you the next time we saw you here in the capital. response:	If you just want to fight the Waves,
context: We want to...\Please let us accompany you, at least during the Waves!\We were deeply touched by the way you fought in the last Wave.\Everyone here wants to support your efforts.\Is that why you were looking for me?\Yes!\We'd decided to ask you the next time we saw you here in the capital.\If you just want to fight the Waves, response:	you can do that without following me.
context: Please let us accompany you, at least during the Waves!\We were deeply touched by the way you fought in the last Wave.\Everyone here wants to support your efforts.\Is that why you were looking for me?\Yes!\We'd decided to ask you the next time we saw you here in the capital.\If you just want to fight the Waves,\you can do that without following me. response:	No, we want to fight with you, Sir Shield Hero!
context: We were deeply touched by the way you fought in the last Wave.\Everyone here wants to support your efforts.\Is that why you were looking for me?\Yes!\We'd decided to ask you the next time we saw you here in the capital.\If you just want to fight the Waves,\you can do that without following me.\No, we want to fight with you, Sir Shield Hero! response:	And what's your reason?
context: Everyone here wants to support your efforts.\Is that why you were looking for me?\Yes!\We'd decided to ask you the next time we saw you here in the capital.\If you just want to fight the Waves,\you can do that without following me.\No, we want to fight with you, Sir Shield Hero!\And what's your reason? response:	We're all from the village of Lute.
context: Is that why you were looking for me?\Yes!\We'd decided to ask you the next time we saw you here in the capital.\If you just want to fight the Waves,\you can do that without following me.\No, we want to fight with you, Sir Shield Hero!\And what's your reason?\We're all from the village of Lute. response:	Back then, you saved our families.
context: Yes!\We'd decided to ask you the next time we saw you here in the capital.\If you just want to fight the Waves,\you can do that without following me.\No, we want to fight with you, Sir Shield Hero!\And what's your reason?\We're all from the village of Lute.\Back then, you saved our families. response:	So we want to help you in any way we can.
context: We'd decided to ask you the next time we saw you here in the capital.\If you just want to fight the Waves,\you can do that without following me.\No, we want to fight with you, Sir Shield Hero!\And what's your reason?\We're all from the village of Lute.\Back then, you saved our families.\So we want to help you in any way we can. response:	We want to repay you for saving our fellow villagers' lives.
context: If you just want to fight the Waves,\you can do that without following me.\No, we want to fight with you, Sir Shield Hero!\And what's your reason?\We're all from the village of Lute.\Back then, you saved our families.\So we want to help you in any way we can.\We want to repay you for saving our fellow villagers' lives. response:	Buy this for 150 silver pieces.
context: you can do that without following me.\No, we want to fight with you, Sir Shield Hero!\And what's your reason?\We're all from the village of Lute.\Back then, you saved our families.\So we want to help you in any way we can.\We want to repay you for saving our fellow villagers' lives.\Buy this for 150 silver pieces. response:	I'll consider your offer if you can cough up the money.
context: No, we want to fight with you, Sir Shield Hero!\And what's your reason?\We're all from the village of Lute.\Back then, you saved our families.\So we want to help you in any way we can.\We want to repay you for saving our fellow villagers' lives.\Buy this for 150 silver pieces.\I'll consider your offer if you can cough up the money. response:	What's the matter?
context: And what's your reason?\We're all from the village of Lute.\Back then, you saved our families.\So we want to help you in any way we can.\We want to repay you for saving our fellow villagers' lives.\Buy this for 150 silver pieces.\I'll consider your offer if you can cough up the money.\What's the matter? response:	You can gain my trust by buying this off me.
context: We're all from the village of Lute.\Back then, you saved our families.\So we want to help you in any way we can.\We want to repay you for saving our fellow villagers' lives.\Buy this for 150 silver pieces.\I'll consider your offer if you can cough up the money.\What's the matter?\You can gain my trust by buying this off me. response:	Naofumi-sama...
context: Back then, you saved our families.\So we want to help you in any way we can.\We want to repay you for saving our fellow villagers' lives.\Buy this for 150 silver pieces.\I'll consider your offer if you can cough up the money.\What's the matter?\You can gain my trust by buying this off me.\Naofumi-sama... response:	One hundred and fifty silver pieces, huh?
context: So we want to help you in any way we can.\We want to repay you for saving our fellow villagers' lives.\Buy this for 150 silver pieces.\I'll consider your offer if you can cough up the money.\What's the matter?\You can gain my trust by buying this off me.\Naofumi-sama...\One hundred and fifty silver pieces, huh? response:	What now?
context: We want to repay you for saving our fellow villagers' lives.\Buy this for 150 silver pieces.\I'll consider your offer if you can cough up the money.\What's the matter?\You can gain my trust by buying this off me.\Naofumi-sama...\One hundred and fifty silver pieces, huh?\What now? response:	We'll have to arrange it somehow.
context: Buy this for 150 silver pieces.\I'll consider your offer if you can cough up the money.\What's the matter?\You can gain my trust by buying this off me.\Naofumi-sama...\One hundred and fifty silver pieces, huh?\What now?\We'll have to arrange it somehow. response:	We understand.
context: I'll consider your offer if you can cough up the money.\What's the matter?\You can gain my trust by buying this off me.\Naofumi-sama...\One hundred and fifty silver pieces, huh?\What now?\We'll have to arrange it somehow.\We understand. response:	We'll go gather the money right away.
context: What's the matter?\You can gain my trust by buying this off me.\Naofumi-sama...\One hundred and fifty silver pieces, huh?\What now?\We'll have to arrange it somehow.\We understand.\We'll go gather the money right away. response:	I can't believe you're pressuring them to buy a leftover accessory for that much.
context: You can gain my trust by buying this off me.\Naofumi-sama...\One hundred and fifty silver pieces, huh?\What now?\We'll have to arrange it somehow.\We understand.\We'll go gather the money right away.\I can't believe you're pressuring them to buy a leftover accessory for that much. response:	You never change, kid.
context: Naofumi-sama...\One hundred and fifty silver pieces, huh?\What now?\We'll have to arrange it somehow.\We understand.\We'll go gather the money right away.\I can't believe you're pressuring them to buy a leftover accessory for that much.\You never change, kid. response:	Meanie!
context: One hundred and fifty silver pieces, huh?\What now?\We'll have to arrange it somehow.\We understand.\We'll go gather the money right away.\I can't believe you're pressuring them to buy a leftover accessory for that much.\You never change, kid.\Meanie! response:	Fix these up, too.
context: What now?\We'll have to arrange it somehow.\We understand.\We'll go gather the money right away.\I can't believe you're pressuring them to buy a leftover accessory for that much.\You never change, kid.\Meanie!\Fix these up, too. response:	The made-to-order stuff, huh?
context: We'll have to arrange it somehow.\We understand.\We'll go gather the money right away.\I can't believe you're pressuring them to buy a leftover accessory for that much.\You never change, kid.\Meanie!\Fix these up, too.\The made-to-order stuff, huh? response:	Even if I throw in some freebie materials, it'll cost you around this much.
context: We understand.\We'll go gather the money right away.\I can't believe you're pressuring them to buy a leftover accessory for that much.\You never change, kid.\Meanie!\Fix these up, too.\The made-to-order stuff, huh?\Even if I throw in some freebie materials, it'll cost you around this much. response:	Hey, boss.
context: We'll go gather the money right away.\I can't believe you're pressuring them to buy a leftover accessory for that much.\You never change, kid.\Meanie!\Fix these up, too.\The made-to-order stuff, huh?\Even if I throw in some freebie materials, it'll cost you around this much.\Hey, boss. response:	I see an asterisk next to their level indicators now.
context: I can't believe you're pressuring them to buy a leftover accessory for that much.\You never change, kid.\Meanie!\Fix these up, too.\The made-to-order stuff, huh?\Even if I throw in some freebie materials, it'll cost you around this much.\Hey, boss.\I see an asterisk next to their level indicators now. response:	Know anything about it?
context: You never change, kid.\Meanie!\Fix these up, too.\The made-to-order stuff, huh?\Even if I throw in some freebie materials, it'll cost you around this much.\Hey, boss.\I see an asterisk next to their level indicators now.\Know anything about it? response:	Oh, you guys are ready for class upgrades?
context: Meanie!\Fix these up, too.\The made-to-order stuff, huh?\Even if I throw in some freebie materials, it'll cost you around this much.\Hey, boss.\I see an asterisk next to their level indicators now.\Know anything about it?\Oh, you guys are ready for class upgrades? response:	Class upgrades?
context: Fix these up, too.\The made-to-order stuff, huh?\Even if I throw in some freebie materials, it'll cost you around this much.\Hey, boss.\I see an asterisk next to their level indicators now.\Know anything about it?\Oh, you guys are ready for class upgrades?\Class upgrades? response:	It lets you increase your level cap.
context: The made-to-order stuff, huh?\Even if I throw in some freebie materials, it'll cost you around this much.\Hey, boss.\I see an asterisk next to their level indicators now.\Know anything about it?\Oh, you guys are ready for class upgrades?\Class upgrades?\It lets you increase your level cap. response:	Only those recognized by the court even have the option,
context: Even if I throw in some freebie materials, it'll cost you around this much.\Hey, boss.\I see an asterisk next to their level indicators now.\Know anything about it?\Oh, you guys are ready for class upgrades?\Class upgrades?\It lets you increase your level cap.\Only those recognized by the court even have the option, response:	but I guess you are a hero, after all.
context: Hey, boss.\I see an asterisk next to their level indicators now.\Know anything about it?\Oh, you guys are ready for class upgrades?\Class upgrades?\It lets you increase your level cap.\Only those recognized by the court even have the option,\but I guess you are a hero, after all. response:	You choose what path to take when you upgrade your class.
context: I see an asterisk next to their level indicators now.\Know anything about it?\Oh, you guys are ready for class upgrades?\Class upgrades?\It lets you increase your level cap.\Only those recognized by the court even have the option,\but I guess you are a hero, after all.\You choose what path to take when you upgrade your class. response:	I had a lot of trouble deciding.
context: Know anything about it?\Oh, you guys are ready for class upgrades?\Class upgrades?\It lets you increase your level cap.\Only those recognized by the court even have the option,\but I guess you are a hero, after all.\You choose what path to take when you upgrade your class.\I had a lot of trouble deciding. response:	Class Upgrade
context: Oh, you guys are ready for class upgrades?\Class upgrades?\It lets you increase your level cap.\Only those recognized by the court even have the option,\but I guess you are a hero, after all.\You choose what path to take when you upgrade your class.\I had a lot of trouble deciding.\Class Upgrade response:	Class Upgrade
context: Class upgrades?\It lets you increase your level cap.\Only those recognized by the court even have the option,\but I guess you are a hero, after all.\You choose what path to take when you upgrade your class.\I had a lot of trouble deciding.\Class Upgrade\Class Upgrade response:	You can do it at the dragon hourglass, huh?
context: It lets you increase your level cap.\Only those recognized by the court even have the option,\but I guess you are a hero, after all.\You choose what path to take when you upgrade your class.\I had a lot of trouble deciding.\Class Upgrade\Class Upgrade\You can do it at the dragon hourglass, huh? response:	What kind of upgrade do you want, Raphtalia?
context: Only those recognized by the court even have the option,\but I guess you are a hero, after all.\You choose what path to take when you upgrade your class.\I had a lot of trouble deciding.\Class Upgrade\Class Upgrade\You can do it at the dragon hourglass, huh?\What kind of upgrade do you want, Raphtalia? response:	I'm fine with whatever you decide.
context: but I guess you are a hero, after all.\You choose what path to take when you upgrade your class.\I had a lot of trouble deciding.\Class Upgrade\Class Upgrade\You can do it at the dragon hourglass, huh?\What kind of upgrade do you want, Raphtalia?\I'm fine with whatever you decide. response:	That won't do.
context: You choose what path to take when you upgrade your class.\I had a lot of trouble deciding.\Class Upgrade\Class Upgrade\You can do it at the dragon hourglass, huh?\What kind of upgrade do you want, Raphtalia?\I'm fine with whatever you decide.\That won't do. response:	Decide your future path yourself.
context: I had a lot of trouble deciding.\Class Upgrade\Class Upgrade\You can do it at the dragon hourglass, huh?\What kind of upgrade do you want, Raphtalia?\I'm fine with whatever you decide.\That won't do.\Decide your future path yourself. response:	After the Waves are over, I'll go back to my world.
context: Class Upgrade\Class Upgrade\You can do it at the dragon hourglass, huh?\What kind of upgrade do you want, Raphtalia?\I'm fine with whatever you decide.\That won't do.\Decide your future path yourself.\After the Waves are over, I'll go back to my world. response:	So pick something that'll help you survive without me.
context: Class Upgrade\You can do it at the dragon hourglass, huh?\What kind of upgrade do you want, Raphtalia?\I'm fine with whatever you decide.\That won't do.\Decide your future path yourself.\After the Waves are over, I'll go back to my world.\So pick something that'll help you survive without me. response:	You're going back home?
context: You can do it at the dragon hourglass, huh?\What kind of upgrade do you want, Raphtalia?\I'm fine with whatever you decide.\That won't do.\Decide your future path yourself.\After the Waves are over, I'll go back to my world.\So pick something that'll help you survive without me.\You're going back home? response:	We'll take a skewer, pops.
context: What kind of upgrade do you want, Raphtalia?\I'm fine with whatever you decide.\That won't do.\Decide your future path yourself.\After the Waves are over, I'll go back to my world.\So pick something that'll help you survive without me.\You're going back home?\We'll take a skewer, pops. response:	Sure.
context: I'm fine with whatever you decide.\That won't do.\Decide your future path yourself.\After the Waves are over, I'll go back to my world.\So pick something that'll help you survive without me.\You're going back home?\We'll take a skewer, pops.\Sure. response:	Are you sure, Master?
context: That won't do.\Decide your future path yourself.\After the Waves are over, I'll go back to my world.\So pick something that'll help you survive without me.\You're going back home?\We'll take a skewer, pops.\Sure.\Are you sure, Master? response:	Thank you!
context: Decide your future path yourself.\After the Waves are over, I'll go back to my world.\So pick something that'll help you survive without me.\You're going back home?\We'll take a skewer, pops.\Sure.\Are you sure, Master?\Thank you! response:	Here ya go, miss.
context: After the Waves are over, I'll go back to my world.\So pick something that'll help you survive without me.\You're going back home?\We'll take a skewer, pops.\Sure.\Are you sure, Master?\Thank you!\Here ya go, miss. response:	This looks yummy!
context: So pick something that'll help you survive without me.\You're going back home?\We'll take a skewer, pops.\Sure.\Are you sure, Master?\Thank you!\Here ya go, miss.\This looks yummy! response:	Fifteen gold pieces?!
context: You're going back home?\We'll take a skewer, pops.\Sure.\Are you sure, Master?\Thank you!\Here ya go, miss.\This looks yummy!\Fifteen gold pieces?! response:	A class upgrade costs fifteen gold pieces per person.
context: We'll take a skewer, pops.\Sure.\Are you sure, Master?\Thank you!\Here ya go, miss.\This looks yummy!\Fifteen gold pieces?!\A class upgrade costs fifteen gold pieces per person. response:	That's too much.
context: Sure.\Are you sure, Master?\Thank you!\Here ya go, miss.\This looks yummy!\Fifteen gold pieces?!\A class upgrade costs fifteen gold pieces per person.\That's too much. response:	I could get thousands of ten rolls for that much!
context: Are you sure, Master?\Thank you!\Here ya go, miss.\This looks yummy!\Fifteen gold pieces?!\A class upgrade costs fifteen gold pieces per person.\That's too much.\I could get thousands of ten rolls for that much! response:	Fine.
context: Thank you!\Here ya go, miss.\This looks yummy!\Fifteen gold pieces?!\A class upgrade costs fifteen gold pieces per person.\That's too much.\I could get thousands of ten rolls for that much!\Fine. response:	Raphtalia, you go ahead and upgrade first.
context: Here ya go, miss.\This looks yummy!\Fifteen gold pieces?!\A class upgrade costs fifteen gold pieces per person.\That's too much.\I could get thousands of ten rolls for that much!\Fine.\Raphtalia, you go ahead and upgrade first. response:	Huh? What about me?
context: This looks yummy!\Fifteen gold pieces?!\A class upgrade costs fifteen gold pieces per person.\That's too much.\I could get thousands of ten rolls for that much!\Fine.\Raphtalia, you go ahead and upgrade first.\Huh? What about me? response:	You can do it the next time we come. Be patient.
context: Fifteen gold pieces?!\A class upgrade costs fifteen gold pieces per person.\That's too much.\I could get thousands of ten rolls for that much!\Fine.\Raphtalia, you go ahead and upgrade first.\Huh? What about me?\You can do it the next time we come. Be patient. response:	Fifteen gold pieces, right?
context: A class upgrade costs fifteen gold pieces per person.\That's too much.\I could get thousands of ten rolls for that much!\Fine.\Raphtalia, you go ahead and upgrade first.\Huh? What about me?\You can do it the next time we come. Be patient.\Fifteen gold pieces, right? response:	Our apologies. We seem to have made a mistake.
context: That's too much.\I could get thousands of ten rolls for that much!\Fine.\Raphtalia, you go ahead and upgrade first.\Huh? What about me?\You can do it the next time we come. Be patient.\Fifteen gold pieces, right?\Our apologies. We seem to have made a mistake. response:	We are forbidden from providing upgrades to the Shield Hero's party.
context: I could get thousands of ten rolls for that much!\Fine.\Raphtalia, you go ahead and upgrade first.\Huh? What about me?\You can do it the next time we come. Be patient.\Fifteen gold pieces, right?\Our apologies. We seem to have made a mistake.\We are forbidden from providing upgrades to the Shield Hero's party. response:	But they just said...
context: Fine.\Raphtalia, you go ahead and upgrade first.\Huh? What about me?\You can do it the next time we come. Be patient.\Fifteen gold pieces, right?\Our apologies. We seem to have made a mistake.\We are forbidden from providing upgrades to the Shield Hero's party.\But they just said... response:	It's a direct order from His Majesty.
context: Raphtalia, you go ahead and upgrade first.\Huh? What about me?\You can do it the next time we come. Be patient.\Fifteen gold pieces, right?\Our apologies. We seem to have made a mistake.\We are forbidden from providing upgrades to the Shield Hero's party.\But they just said...\It's a direct order from His Majesty. response:	Let's go.
context: Huh? What about me?\You can do it the next time we come. Be patient.\Fifteen gold pieces, right?\Our apologies. We seem to have made a mistake.\We are forbidden from providing upgrades to the Shield Hero's party.\But they just said...\It's a direct order from His Majesty.\Let's go. response:	Are you going to sell me?
context: You can do it the next time we come. Be patient.\Fifteen gold pieces, right?\Our apologies. We seem to have made a mistake.\We are forbidden from providing upgrades to the Shield Hero's party.\But they just said...\It's a direct order from His Majesty.\Let's go.\Are you going to sell me? response:	Never. Don't worry.
context: Fifteen gold pieces, right?\Our apologies. We seem to have made a mistake.\We are forbidden from providing upgrades to the Shield Hero's party.\But they just said...\It's a direct order from His Majesty.\Let's go.\Are you going to sell me?\Never. Don't worry. response:	If it isn't Sir Hero!
context: Our apologies. We seem to have made a mistake.\We are forbidden from providing upgrades to the Shield Hero's party.\But they just said...\It's a direct order from His Majesty.\Let's go.\Are you going to sell me?\Never. Don't worry.\If it isn't Sir Hero! response:	What brings you here today?
context: We are forbidden from providing upgrades to the Shield Hero's party.\But they just said...\It's a direct order from His Majesty.\Let's go.\Are you going to sell me?\Never. Don't worry.\If it isn't Sir Hero!\What brings you here today? response:	Looks like your business is thriving.
context: But they just said...\It's a direct order from His Majesty.\Let's go.\Are you going to sell me?\Never. Don't worry.\If it isn't Sir Hero!\What brings you here today?\Looks like your business is thriving. response:	It's all thanks to you.
context: It's a direct order from His Majesty.\Let's go.\Are you going to sell me?\Never. Don't worry.\If it isn't Sir Hero!\What brings you here today?\Looks like your business is thriving.\It's all thanks to you. response:	Your traveling trade was very profitable for me as well.
context: Let's go.\Are you going to sell me?\Never. Don't worry.\If it isn't Sir Hero!\What brings you here today?\Looks like your business is thriving.\It's all thanks to you.\Your traveling trade was very profitable for me as well. response:	What do you mean?
context: Are you going to sell me?\Never. Don't worry.\If it isn't Sir Hero!\What brings you here today?\Looks like your business is thriving.\It's all thanks to you.\Your traveling trade was very profitable for me as well.\What do you mean? response:	First and foremost, your filolial queen has gained quite the reputation.
context: Never. Don't worry.\If it isn't Sir Hero!\What brings you here today?\Looks like your business is thriving.\It's all thanks to you.\Your traveling trade was very profitable for me as well.\What do you mean?\First and foremost, your filolial queen has gained quite the reputation. response:	Nobles all across Melromarc
context: If it isn't Sir Hero!\What brings you here today?\Looks like your business is thriving.\It's all thanks to you.\Your traveling trade was very profitable for me as well.\What do you mean?\First and foremost, your filolial queen has gained quite the reputation.\Nobles all across Melromarc response:	contacted me to ask how they could procure one for themselves.
context: What brings you here today?\Looks like your business is thriving.\It's all thanks to you.\Your traveling trade was very profitable for me as well.\What do you mean?\First and foremost, your filolial queen has gained quite the reputation.\Nobles all across Melromarc\contacted me to ask how they could procure one for themselves. response:	Secondly, you.
context: Looks like your business is thriving.\It's all thanks to you.\Your traveling trade was very profitable for me as well.\What do you mean?\First and foremost, your filolial queen has gained quite the reputation.\Nobles all across Melromarc\contacted me to ask how they could procure one for themselves.\Secondly, you. response:	You've helped my business gain a reputation for providing high-quality slaves.
