context: I understand it in my head, but why can't I move? response:	I say I have no reason to win, but why is it so painful when I lose?
context: Probably.\N-Now I'm getting embarrassed!\Why am I giving such a speech?\He's a middle school student whom I just met.\Blush\I see.\Only I will know my own memories of running away and slacking off.\But at critical moments, my coach often tells me to believe in myself. response:	But if you have even one memory of running away or slacking off,
context: N-Now I'm getting embarrassed!\Why am I giving such a speech?\He's a middle school student whom I just met.\Blush\I see.\Only I will know my own memories of running away and slacking off.\But at critical moments, my coach often tells me to believe in myself.\But if you have even one memory of running away or slacking off, response:	you'd think, But I slacked off that time after all.
context: Why am I giving such a speech?\He's a middle school student whom I just met.\Blush\I see.\Only I will know my own memories of running away and slacking off.\But at critical moments, my coach often tells me to believe in myself.\But if you have even one memory of running away or slacking off,\you'd think, But I slacked off that time after all. response:	Then, you can't do it.
context: He's a middle school student whom I just met.\Blush\I see.\Only I will know my own memories of running away and slacking off.\But at critical moments, my coach often tells me to believe in myself.\But if you have even one memory of running away or slacking off,\you'd think, But I slacked off that time after all.\Then, you can't do it. response:	So... I can't explain it well,
context: Blush\I see.\Only I will know my own memories of running away and slacking off.\But at critical moments, my coach often tells me to believe in myself.\But if you have even one memory of running away or slacking off,\you'd think, But I slacked off that time after all.\Then, you can't do it.\So... I can't explain it well, response:	but you wanted to get rid of things like that, right?
context: I see.\Only I will know my own memories of running away and slacking off.\But at critical moments, my coach often tells me to believe in myself.\But if you have even one memory of running away or slacking off,\you'd think, But I slacked off that time after all.\Then, you can't do it.\So... I can't explain it well,\but you wanted to get rid of things like that, right? response:	It got through.
context: Only I will know my own memories of running away and slacking off.\But at critical moments, my coach often tells me to believe in myself.\But if you have even one memory of running away or slacking off,\you'd think, But I slacked off that time after all.\Then, you can't do it.\So... I can't explain it well,\but you wanted to get rid of things like that, right?\It got through. response:	Yeah.
context: But at critical moments, my coach often tells me to believe in myself.\But if you have even one memory of running away or slacking off,\you'd think, But I slacked off that time after all.\Then, you can't do it.\So... I can't explain it well,\but you wanted to get rid of things like that, right?\It got through.\Yeah. response:	Oh, no...
context: But if you have even one memory of running away or slacking off,\you'd think, But I slacked off that time after all.\Then, you can't do it.\So... I can't explain it well,\but you wanted to get rid of things like that, right?\It got through.\Yeah.\Oh, no... response:	What is this?
context: you'd think, But I slacked off that time after all.\Then, you can't do it.\So... I can't explain it well,\but you wanted to get rid of things like that, right?\It got through.\Yeah.\Oh, no...\What is this? response:	I'm really happy.
context: Then, you can't do it.\So... I can't explain it well,\but you wanted to get rid of things like that, right?\It got through.\Yeah.\Oh, no...\What is this?\I'm really happy. response:	It felt like...
context: So... I can't explain it well,\but you wanted to get rid of things like that, right?\It got through.\Yeah.\Oh, no...\What is this?\I'm really happy.\It felt like... response:	tears would stream down my face,
context: but you wanted to get rid of things like that, right?\It got through.\Yeah.\Oh, no...\What is this?\I'm really happy.\It felt like...\tears would stream down my face, response:	so I panicked.
context: It got through.\Yeah.\Oh, no...\What is this?\I'm really happy.\It felt like...\tears would stream down my face,\so I panicked. response:	That's how happy I was.
context: Yeah.\Oh, no...\What is this?\I'm really happy.\It felt like...\tears would stream down my face,\so I panicked.\That's how happy I was. response:	Hey, Takahashi!
context: Oh, no...\What is this?\I'm really happy.\It felt like...\tears would stream down my face,\so I panicked.\That's how happy I was.\Hey, Takahashi! response:	Sorry we're late. Let's go!
context: What is this?\I'm really happy.\It felt like...\tears would stream down my face,\so I panicked.\That's how happy I was.\Hey, Takahashi!\Sorry we're late. Let's go! response:	Right. Oh, but I wanted to talk a little more...
context: I'm really happy.\It felt like...\tears would stream down my face,\so I panicked.\That's how happy I was.\Hey, Takahashi!\Sorry we're late. Let's go!\Right. Oh, but I wanted to talk a little more... response:	Um, if you don't mind, let's talk again.
context: It felt like...\tears would stream down my face,\so I panicked.\That's how happy I was.\Hey, Takahashi!\Sorry we're late. Let's go!\Right. Oh, but I wanted to talk a little more...\Um, if you don't mind, let's talk again. response:	Is that okay?
context: tears would stream down my face,\so I panicked.\That's how happy I was.\Hey, Takahashi!\Sorry we're late. Let's go!\Right. Oh, but I wanted to talk a little more...\Um, if you don't mind, let's talk again.\Is that okay? response:	You can get in touch with me through Hina... I mean Ms. Kawamoto.
context: so I panicked.\That's how happy I was.\Hey, Takahashi!\Sorry we're late. Let's go!\Right. Oh, but I wanted to talk a little more...\Um, if you don't mind, let's talk again.\Is that okay?\You can get in touch with me through Hina... I mean Ms. Kawamoto. response:	Okay, got it. I'll call you soon, Kawamoto.
context: That's how happy I was.\Hey, Takahashi!\Sorry we're late. Let's go!\Right. Oh, but I wanted to talk a little more...\Um, if you don't mind, let's talk again.\Is that okay?\You can get in touch with me through Hina... I mean Ms. Kawamoto.\Okay, got it. I'll call you soon, Kawamoto. response:	R-Right!
context: Hey, Takahashi!\Sorry we're late. Let's go!\Right. Oh, but I wanted to talk a little more...\Um, if you don't mind, let's talk again.\Is that okay?\You can get in touch with me through Hina... I mean Ms. Kawamoto.\Okay, got it. I'll call you soon, Kawamoto.\R-Right! response:	Shrivel
context: Sorry we're late. Let's go!\Right. Oh, but I wanted to talk a little more...\Um, if you don't mind, let's talk again.\Is that okay?\You can get in touch with me through Hina... I mean Ms. Kawamoto.\Okay, got it. I'll call you soon, Kawamoto.\R-Right!\Shrivel response:	Thump
context: Right. Oh, but I wanted to talk a little more...\Um, if you don't mind, let's talk again.\Is that okay?\You can get in touch with me through Hina... I mean Ms. Kawamoto.\Okay, got it. I'll call you soon, Kawamoto.\R-Right!\Shrivel\Thump response:	- Thank you, Hina! - Thank you, Kiriyama!
context: Um, if you don't mind, let's talk again.\Is that okay?\You can get in touch with me through Hina... I mean Ms. Kawamoto.\Okay, got it. I'll call you soon, Kawamoto.\R-Right!\Shrivel\Thump\- Thank you, Hina! - Thank you, Kiriyama! response:	He's kind of a cool guy.
context: Is that okay?\You can get in touch with me through Hina... I mean Ms. Kawamoto.\Okay, got it. I'll call you soon, Kawamoto.\R-Right!\Shrivel\Thump\- Thank you, Hina! - Thank you, Kiriyama!\He's kind of a cool guy. response:	I know, right? He's really got his act together.
context: You can get in touch with me through Hina... I mean Ms. Kawamoto.\Okay, got it. I'll call you soon, Kawamoto.\R-Right!\Shrivel\Thump\- Thank you, Hina! - Thank you, Kiriyama!\He's kind of a cool guy.\I know, right? He's really got his act together. response:	So what did you two talk about?
context: Okay, got it. I'll call you soon, Kawamoto.\R-Right!\Shrivel\Thump\- Thank you, Hina! - Thank you, Kiriyama!\He's kind of a cool guy.\I know, right? He's really got his act together.\So what did you two talk about? response:	Eh? Well, uh...
context: R-Right!\Shrivel\Thump\- Thank you, Hina! - Thank you, Kiriyama!\He's kind of a cool guy.\I know, right? He's really got his act together.\So what did you two talk about?\Eh? Well, uh... response:	Pshnore... Pshnore... Ps...
context: Shrivel\Thump\- Thank you, Hina! - Thank you, Kiriyama!\He's kind of a cool guy.\I know, right? He's really got his act together.\So what did you two talk about?\Eh? Well, uh...\Pshnore... Pshnore... Ps... response:	I can see time...
context: Thump\- Thank you, Hina! - Thank you, Kiriyama!\He's kind of a cool guy.\I know, right? He's really got his act together.\So what did you two talk about?\Eh? Well, uh...\Pshnore... Pshnore... Ps...\I can see time... response:	Thank you for the meal!
context: - Thank you, Hina! - Thank you, Kiriyama!\He's kind of a cool guy.\I know, right? He's really got his act together.\So what did you two talk about?\Eh? Well, uh...\Pshnore... Pshnore... Ps...\I can see time...\Thank you for the meal! response:	Let's see... I made salted rice balls out of all the rice.
context: He's kind of a cool guy.\I know, right? He's really got his act together.\So what did you two talk about?\Eh? Well, uh...\Pshnore... Pshnore... Ps...\I can see time...\Thank you for the meal!\Let's see... I made salted rice balls out of all the rice. response:	There's also tempura, a boiled egg, pickled vegetables...
context: I know, right? He's really got his act together.\So what did you two talk about?\Eh? Well, uh...\Pshnore... Pshnore... Ps...\I can see time...\Thank you for the meal!\Let's see... I made salted rice balls out of all the rice.\There's also tempura, a boiled egg, pickled vegetables... response:	Thank you. I really appreciate it.
context: So what did you two talk about?\Eh? Well, uh...\Pshnore... Pshnore... Ps...\I can see time...\Thank you for the meal!\Let's see... I made salted rice balls out of all the rice.\There's also tempura, a boiled egg, pickled vegetables...\Thank you. I really appreciate it. response:	Thanks, Rei!
context: Eh? Well, uh...\Pshnore... Pshnore... Ps...\I can see time...\Thank you for the meal!\Let's see... I made salted rice balls out of all the rice.\There's also tempura, a boiled egg, pickled vegetables...\Thank you. I really appreciate it.\Thanks, Rei! response:	See you later!
context: Pshnore... Pshnore... Ps...\I can see time...\Thank you for the meal!\Let's see... I made salted rice balls out of all the rice.\There's also tempura, a boiled egg, pickled vegetables...\Thank you. I really appreciate it.\Thanks, Rei!\See you later! response:	That night, the warm dinner and the various events of the day
context: I can see time...\Thank you for the meal!\Let's see... I made salted rice balls out of all the rice.\There's also tempura, a boiled egg, pickled vegetables...\Thank you. I really appreciate it.\Thanks, Rei!\See you later!\That night, the warm dinner and the various events of the day response:	made my stomach feel fluffy.
context: Thank you for the meal!\Let's see... I made salted rice balls out of all the rice.\There's also tempura, a boiled egg, pickled vegetables...\Thank you. I really appreciate it.\Thanks, Rei!\See you later!\That night, the warm dinner and the various events of the day\made my stomach feel fluffy. response:	I couldn't fall sleep easily...
context: Let's see... I made salted rice balls out of all the rice.\There's also tempura, a boiled egg, pickled vegetables...\Thank you. I really appreciate it.\Thanks, Rei!\See you later!\That night, the warm dinner and the various events of the day\made my stomach feel fluffy.\I couldn't fall sleep easily... response:	Suddenly, the smell of the water and the sound of the waves
context: There's also tempura, a boiled egg, pickled vegetables...\Thank you. I really appreciate it.\Thanks, Rei!\See you later!\That night, the warm dinner and the various events of the day\made my stomach feel fluffy.\I couldn't fall sleep easily...\Suddenly, the smell of the water and the sound of the waves response:	climbed up to my room on the sixth floor.
context: Thank you. I really appreciate it.\Thanks, Rei!\See you later!\That night, the warm dinner and the various events of the day\made my stomach feel fluffy.\I couldn't fall sleep easily...\Suddenly, the smell of the water and the sound of the waves\climbed up to my room on the sixth floor. response:	I wanted to ask you.
context: Thanks, Rei!\See you later!\That night, the warm dinner and the various events of the day\made my stomach feel fluffy.\I couldn't fall sleep easily...\Suddenly, the smell of the water and the sound of the waves\climbed up to my room on the sixth floor.\I wanted to ask you. response:	Just like how he asked me...
context: See you later!\That night, the warm dinner and the various events of the day\made my stomach feel fluffy.\I couldn't fall sleep easily...\Suddenly, the smell of the water and the sound of the waves\climbed up to my room on the sixth floor.\I wanted to ask you.\Just like how he asked me... response:	If a day comes when I'm able to ask someone...
context: That night, the warm dinner and the various events of the day\made my stomach feel fluffy.\I couldn't fall sleep easily...\Suddenly, the smell of the water and the sound of the waves\climbed up to my room on the sixth floor.\I wanted to ask you.\Just like how he asked me...\If a day comes when I'm able to ask someone... response:	Someday...
context: made my stomach feel fluffy.\I couldn't fall sleep easily...\Suddenly, the smell of the water and the sound of the waves\climbed up to my room on the sixth floor.\I wanted to ask you.\Just like how he asked me...\If a day comes when I'm able to ask someone...\Someday... response:	The scenery reflected in those eyes...
context: I couldn't fall sleep easily...\Suddenly, the smell of the water and the sound of the waves\climbed up to my room on the sixth floor.\I wanted to ask you.\Just like how he asked me...\If a day comes when I'm able to ask someone...\Someday...\The scenery reflected in those eyes... response:	The stories that exist on the other side of the storm...
context: Suddenly, the smell of the water and the sound of the waves\climbed up to my room on the sixth floor.\I wanted to ask you.\Just like how he asked me...\If a day comes when I'm able to ask someone...\Someday...\The scenery reflected in those eyes...\The stories that exist on the other side of the storm... response:	That's right.
context: climbed up to my room on the sixth floor.\I wanted to ask you.\Just like how he asked me...\If a day comes when I'm able to ask someone...\Someday...\The scenery reflected in those eyes...\The stories that exist on the other side of the storm...\That's right. response:	I still don't know the stories that are told on the other side of the goal.
context: I wanted to ask you.\Just like how he asked me...\If a day comes when I'm able to ask someone...\Someday...\The scenery reflected in those eyes...\The stories that exist on the other side of the storm...\That's right.\I still don't know the stories that are told on the other side of the goal. response:	Child of God (Part Three)
context: Just like how he asked me...\If a day comes when I'm able to ask someone...\Someday...\The scenery reflected in those eyes...\The stories that exist on the other side of the storm...\That's right.\I still don't know the stories that are told on the other side of the goal.\Child of God (Part Three) response:	Important Things. Important Matters.
context: If a day comes when I'm able to ask someone...\Someday...\The scenery reflected in those eyes...\The stories that exist on the other side of the storm...\That's right.\I still don't know the stories that are told on the other side of the goal.\Child of God (Part Three)\Important Things. Important Matters. response:	U-Um... Maybe we should have dinner?
context: Someday...\The scenery reflected in those eyes...\The stories that exist on the other side of the storm...\That's right.\I still don't know the stories that are told on the other side of the goal.\Child of God (Part Three)\Important Things. Important Matters.\U-Um... Maybe we should have dinner? response:	Y-Yeah...
context: The scenery reflected in those eyes...\The stories that exist on the other side of the storm...\That's right.\I still don't know the stories that are told on the other side of the goal.\Child of God (Part Three)\Important Things. Important Matters.\U-Um... Maybe we should have dinner?\Y-Yeah... response:	Right now, Hina is extremely nervous.
context: The stories that exist on the other side of the storm...\That's right.\I still don't know the stories that are told on the other side of the goal.\Child of God (Part Three)\Important Things. Important Matters.\U-Um... Maybe we should have dinner?\Y-Yeah...\Right now, Hina is extremely nervous. response:	Normally she's energetic like a ball of light,
context: That's right.\I still don't know the stories that are told on the other side of the goal.\Child of God (Part Three)\Important Things. Important Matters.\U-Um... Maybe we should have dinner?\Y-Yeah...\Right now, Hina is extremely nervous.\Normally she's energetic like a ball of light, response:	or get dejected like a dark cloud,
context: I still don't know the stories that are told on the other side of the goal.\Child of God (Part Three)\Important Things. Important Matters.\U-Um... Maybe we should have dinner?\Y-Yeah...\Right now, Hina is extremely nervous.\Normally she's energetic like a ball of light,\or get dejected like a dark cloud, response:	or angry like a bolt of lightning.
context: Child of God (Part Three)\Important Things. Important Matters.\U-Um... Maybe we should have dinner?\Y-Yeah...\Right now, Hina is extremely nervous.\Normally she's energetic like a ball of light,\or get dejected like a dark cloud,\or angry like a bolt of lightning. response:	She's lively, in more ways than one.
context: Important Things. Important Matters.\U-Um... Maybe we should have dinner?\Y-Yeah...\Right now, Hina is extremely nervous.\Normally she's energetic like a ball of light,\or get dejected like a dark cloud,\or angry like a bolt of lightning.\She's lively, in more ways than one. response:	I think of it as a good characteristic of hers.
context: U-Um... Maybe we should have dinner?\Y-Yeah...\Right now, Hina is extremely nervous.\Normally she's energetic like a ball of light,\or get dejected like a dark cloud,\or angry like a bolt of lightning.\She's lively, in more ways than one.\I think of it as a good characteristic of hers. response:	But she's as stiff as a board.
context: Y-Yeah...\Right now, Hina is extremely nervous.\Normally she's energetic like a ball of light,\or get dejected like a dark cloud,\or angry like a bolt of lightning.\She's lively, in more ways than one.\I think of it as a good characteristic of hers.\But she's as stiff as a board. response:	And that's because in front of her,
context: Right now, Hina is extremely nervous.\Normally she's energetic like a ball of light,\or get dejected like a dark cloud,\or angry like a bolt of lightning.\She's lively, in more ways than one.\I think of it as a good characteristic of hers.\But she's as stiff as a board.\And that's because in front of her, response:	Takahashi is right there.
context: Normally she's energetic like a ball of light,\or get dejected like a dark cloud,\or angry like a bolt of lightning.\She's lively, in more ways than one.\I think of it as a good characteristic of hers.\But she's as stiff as a board.\And that's because in front of her,\Takahashi is right there. response:	Nervous Nervous
context: or get dejected like a dark cloud,\or angry like a bolt of lightning.\She's lively, in more ways than one.\I think of it as a good characteristic of hers.\But she's as stiff as a board.\And that's because in front of her,\Takahashi is right there.\Nervous Nervous response:	Freeze
context: or angry like a bolt of lightning.\She's lively, in more ways than one.\I think of it as a good characteristic of hers.\But she's as stiff as a board.\And that's because in front of her,\Takahashi is right there.\Nervous Nervous\Freeze response:	Freeze
context: She's lively, in more ways than one.\I think of it as a good characteristic of hers.\But she's as stiff as a board.\And that's because in front of her,\Takahashi is right there.\Nervous Nervous\Freeze\Freeze response:	Man, it's been a while since I've come here.
context: I think of it as a good characteristic of hers.\But she's as stiff as a board.\And that's because in front of her,\Takahashi is right there.\Nervous Nervous\Freeze\Freeze\Man, it's been a while since I've come here. response:	Freeze
context: But she's as stiff as a board.\And that's because in front of her,\Takahashi is right there.\Nervous Nervous\Freeze\Freeze\Man, it's been a while since I've come here.\Freeze response:	Freeze
context: And that's because in front of her,\Takahashi is right there.\Nervous Nervous\Freeze\Freeze\Man, it's been a while since I've come here.\Freeze\Freeze response:	Since second grade?
context: Takahashi is right there.\Nervous Nervous\Freeze\Freeze\Man, it's been a while since I've come here.\Freeze\Freeze\Since second grade? response:	Freeze
context: Nervous Nervous\Freeze\Freeze\Man, it's been a while since I've come here.\Freeze\Freeze\Since second grade?\Freeze response:	Um, Hina?
context: Freeze\Freeze\Man, it's been a while since I've come here.\Freeze\Freeze\Since second grade?\Freeze\Um, Hina? response:	Freeze
context: Freeze\Man, it's been a while since I've come here.\Freeze\Freeze\Since second grade?\Freeze\Um, Hina?\Freeze response:	Hey, let's have curry already.
context: Man, it's been a while since I've come here.\Freeze\Freeze\Since second grade?\Freeze\Um, Hina?\Freeze\Hey, let's have curry already. response:	Freeze
context: Freeze\Freeze\Since second grade?\Freeze\Um, Hina?\Freeze\Hey, let's have curry already.\Freeze response:	Freeze
