context: Hey, Myoga... I hope you're not deceiving me. response:	Has this Inu-whatever really mastered the Tetsusaiga?
context: but with one swing, he killed a hundred demons.\Being accused of abandoning you...\isn't something I'll enjoy...\waking up to in the morning!\But there's been nothing ever since.\And I'm stumped as to what to do next.\Well then... maybe I should just test him...\to see whether he's deserving of the famous Tetsusaiga which I forged. response:	H-hot! H-hot!
context: Being accused of abandoning you...\isn't something I'll enjoy...\waking up to in the morning!\But there's been nothing ever since.\And I'm stumped as to what to do next.\Well then... maybe I should just test him...\to see whether he's deserving of the famous Tetsusaiga which I forged.\H-hot! H-hot! response:	What a place this is!
context: isn't something I'll enjoy...\waking up to in the morning!\But there's been nothing ever since.\And I'm stumped as to what to do next.\Well then... maybe I should just test him...\to see whether he's deserving of the famous Tetsusaiga which I forged.\H-hot! H-hot!\What a place this is! response:	Even the rocky ground is burning hot!
context: waking up to in the morning!\But there's been nothing ever since.\And I'm stumped as to what to do next.\Well then... maybe I should just test him...\to see whether he's deserving of the famous Tetsusaiga which I forged.\H-hot! H-hot!\What a place this is!\Even the rocky ground is burning hot! response:	Mmm... the smell of roasting meat.
context: But there's been nothing ever since.\And I'm stumped as to what to do next.\Well then... maybe I should just test him...\to see whether he's deserving of the famous Tetsusaiga which I forged.\H-hot! H-hot!\What a place this is!\Even the rocky ground is burning hot!\Mmm... the smell of roasting meat. response:	Hmm?
context: And I'm stumped as to what to do next.\Well then... maybe I should just test him...\to see whether he's deserving of the famous Tetsusaiga which I forged.\H-hot! H-hot!\What a place this is!\Even the rocky ground is burning hot!\Mmm... the smell of roasting meat.\Hmm? response:	Oh, this is it!
context: Well then... maybe I should just test him...\to see whether he's deserving of the famous Tetsusaiga which I forged.\H-hot! H-hot!\What a place this is!\Even the rocky ground is burning hot!\Mmm... the smell of roasting meat.\Hmm?\Oh, this is it! response:	Are you here, Totosai?
context: to see whether he's deserving of the famous Tetsusaiga which I forged.\H-hot! H-hot!\What a place this is!\Even the rocky ground is burning hot!\Mmm... the smell of roasting meat.\Hmm?\Oh, this is it!\Are you here, Totosai? response:	I hope you have completed the sword that was commissioned!
context: H-hot! H-hot!\What a place this is!\Even the rocky ground is burning hot!\Mmm... the smell of roasting meat.\Hmm?\Oh, this is it!\Are you here, Totosai?\I hope you have completed the sword that was commissioned! response:	This is the promised date of delivery!
context: What a place this is!\Even the rocky ground is burning hot!\Mmm... the smell of roasting meat.\Hmm?\Oh, this is it!\Are you here, Totosai?\I hope you have completed the sword that was commissioned!\This is the promised date of delivery! response:	Hmm?
context: Even the rocky ground is burning hot!\Mmm... the smell of roasting meat.\Hmm?\Oh, this is it!\Are you here, Totosai?\I hope you have completed the sword that was commissioned!\This is the promised date of delivery!\Hmm? response:	Hey! Come on out!
context: Mmm... the smell of roasting meat.\Hmm?\Oh, this is it!\Are you here, Totosai?\I hope you have completed the sword that was commissioned!\This is the promised date of delivery!\Hmm?\Hey! Come on out! response:	Huh?
context: Hmm?\Oh, this is it!\Are you here, Totosai?\I hope you have completed the sword that was commissioned!\This is the promised date of delivery!\Hmm?\Hey! Come on out!\Huh? response:	Moved?!
context: Oh, this is it!\Are you here, Totosai?\I hope you have completed the sword that was commissioned!\This is the promised date of delivery!\Hmm?\Hey! Come on out!\Huh?\Moved?! response:	Damn that sneaky badger! Where'd he go?!
context: Are you here, Totosai?\I hope you have completed the sword that was commissioned!\This is the promised date of delivery!\Hmm?\Hey! Come on out!\Huh?\Moved?!\Damn that sneaky badger! Where'd he go?! response:	Oh... Oops.
context: I hope you have completed the sword that was commissioned!\This is the promised date of delivery!\Hmm?\Hey! Come on out!\Huh?\Moved?!\Damn that sneaky badger! Where'd he go?!\Oh... Oops. response:	I see... So Totosai has run away.
context: This is the promised date of delivery!\Hmm?\Hey! Come on out!\Huh?\Moved?!\Damn that sneaky badger! Where'd he go?!\Oh... Oops.\I see... So Totosai has run away. response:	Please forgive me, Master Sesshomaru!
context: Hmm?\Hey! Come on out!\Huh?\Moved?!\Damn that sneaky badger! Where'd he go?!\Oh... Oops.\I see... So Totosai has run away.\Please forgive me, Master Sesshomaru! response:	The swordsmith Totosai is a man of extreme likes and dislikes.
context: Hey! Come on out!\Huh?\Moved?!\Damn that sneaky badger! Where'd he go?!\Oh... Oops.\I see... So Totosai has run away.\Please forgive me, Master Sesshomaru!\The swordsmith Totosai is a man of extreme likes and dislikes. response:	From what I have heard, he will create a sword...
context: Huh?\Moved?!\Damn that sneaky badger! Where'd he go?!\Oh... Oops.\I see... So Totosai has run away.\Please forgive me, Master Sesshomaru!\The swordsmith Totosai is a man of extreme likes and dislikes.\From what I have heard, he will create a sword... response:	only if he takes a liking to the client.
context: Moved?!\Damn that sneaky badger! Where'd he go?!\Oh... Oops.\I see... So Totosai has run away.\Please forgive me, Master Sesshomaru!\The swordsmith Totosai is a man of extreme likes and dislikes.\From what I have heard, he will create a sword...\only if he takes a liking to the client. response:	In other words, he has no intention of...
context: Damn that sneaky badger! Where'd he go?!\Oh... Oops.\I see... So Totosai has run away.\Please forgive me, Master Sesshomaru!\The swordsmith Totosai is a man of extreme likes and dislikes.\From what I have heard, he will create a sword...\only if he takes a liking to the client.\In other words, he has no intention of... response:	making a sword that suits me.
context: Oh... Oops.\I see... So Totosai has run away.\Please forgive me, Master Sesshomaru!\The swordsmith Totosai is a man of extreme likes and dislikes.\From what I have heard, he will create a sword...\only if he takes a liking to the client.\In other words, he has no intention of...\making a sword that suits me. response:	Well... How can I put it... He doesn't like you.
context: I see... So Totosai has run away.\Please forgive me, Master Sesshomaru!\The swordsmith Totosai is a man of extreme likes and dislikes.\From what I have heard, he will create a sword...\only if he takes a liking to the client.\In other words, he has no intention of...\making a sword that suits me.\Well... How can I put it... He doesn't like you. response:	Y-you're smiling!
context: Please forgive me, Master Sesshomaru!\The swordsmith Totosai is a man of extreme likes and dislikes.\From what I have heard, he will create a sword...\only if he takes a liking to the client.\In other words, he has no intention of...\making a sword that suits me.\Well... How can I put it... He doesn't like you.\Y-you're smiling! response:	Oh please!
context: The swordsmith Totosai is a man of extreme likes and dislikes.\From what I have heard, he will create a sword...\only if he takes a liking to the client.\In other words, he has no intention of...\making a sword that suits me.\Well... How can I put it... He doesn't like you.\Y-you're smiling!\Oh please! response:	Please get angry!
context: From what I have heard, he will create a sword...\only if he takes a liking to the client.\In other words, he has no intention of...\making a sword that suits me.\Well... How can I put it... He doesn't like you.\Y-you're smiling!\Oh please!\Please get angry! response:	I fear a smiling Master Sesshomaru much, much more!
context: only if he takes a liking to the client.\In other words, he has no intention of...\making a sword that suits me.\Well... How can I put it... He doesn't like you.\Y-you're smiling!\Oh please!\Please get angry!\I fear a smiling Master Sesshomaru much, much more! response:	Please I beg you!
context: In other words, he has no intention of...\making a sword that suits me.\Well... How can I put it... He doesn't like you.\Y-you're smiling!\Oh please!\Please get angry!\I fear a smiling Master Sesshomaru much, much more!\Please I beg you! response:	My life was shortened by a hundred years.
context: making a sword that suits me.\Well... How can I put it... He doesn't like you.\Y-you're smiling!\Oh please!\Please get angry!\I fear a smiling Master Sesshomaru much, much more!\Please I beg you!\My life was shortened by a hundred years. response:	My Sacred Jewel fragments were taken...
context: Well... How can I put it... He doesn't like you.\Y-you're smiling!\Oh please!\Please get angry!\I fear a smiling Master Sesshomaru much, much more!\Please I beg you!\My life was shortened by a hundred years.\My Sacred Jewel fragments were taken... response:	Don't worry about it, Kagome.
context: Y-you're smiling!\Oh please!\Please get angry!\I fear a smiling Master Sesshomaru much, much more!\Please I beg you!\My life was shortened by a hundred years.\My Sacred Jewel fragments were taken...\Don't worry about it, Kagome. response:	But...
context: Oh please!\Please get angry!\I fear a smiling Master Sesshomaru much, much more!\Please I beg you!\My life was shortened by a hundred years.\My Sacred Jewel fragments were taken...\Don't worry about it, Kagome.\But... response:	That wasn't all there is of the Sacred Jewel.
context: Please get angry!\I fear a smiling Master Sesshomaru much, much more!\Please I beg you!\My life was shortened by a hundred years.\My Sacred Jewel fragments were taken...\Don't worry about it, Kagome.\But...\That wasn't all there is of the Sacred Jewel. response:	We'll just start collecting'em one by one again.
context: I fear a smiling Master Sesshomaru much, much more!\Please I beg you!\My life was shortened by a hundred years.\My Sacred Jewel fragments were taken...\Don't worry about it, Kagome.\But...\That wasn't all there is of the Sacred Jewel.\We'll just start collecting'em one by one again. response:	That's so unlike Inuyasha. Why's he being so understanding?
context: Please I beg you!\My life was shortened by a hundred years.\My Sacred Jewel fragments were taken...\Don't worry about it, Kagome.\But...\That wasn't all there is of the Sacred Jewel.\We'll just start collecting'em one by one again.\That's so unlike Inuyasha. Why's he being so understanding? response:	Well, because the one who stole the Sacred Jewel fragments was Kikyo.
context: My life was shortened by a hundred years.\My Sacred Jewel fragments were taken...\Don't worry about it, Kagome.\But...\That wasn't all there is of the Sacred Jewel.\We'll just start collecting'em one by one again.\That's so unlike Inuyasha. Why's he being so understanding?\Well, because the one who stole the Sacred Jewel fragments was Kikyo. response:	Geez... A crime committed by the woman he loves!
context: My Sacred Jewel fragments were taken...\Don't worry about it, Kagome.\But...\That wasn't all there is of the Sacred Jewel.\We'll just start collecting'em one by one again.\That's so unlike Inuyasha. Why's he being so understanding?\Well, because the one who stole the Sacred Jewel fragments was Kikyo.\Geez... A crime committed by the woman he loves! response:	Hey you!
context: Don't worry about it, Kagome.\But...\That wasn't all there is of the Sacred Jewel.\We'll just start collecting'em one by one again.\That's so unlike Inuyasha. Why's he being so understanding?\Well, because the one who stole the Sacred Jewel fragments was Kikyo.\Geez... A crime committed by the woman he loves!\Hey you! response:	Are you implying that I'm trying to defend Kikyo?!
context: But...\That wasn't all there is of the Sacred Jewel.\We'll just start collecting'em one by one again.\That's so unlike Inuyasha. Why's he being so understanding?\Well, because the one who stole the Sacred Jewel fragments was Kikyo.\Geez... A crime committed by the woman he loves!\Hey you!\Are you implying that I'm trying to defend Kikyo?! response:	W-what?! Do you think that, too...?!
context: That wasn't all there is of the Sacred Jewel.\We'll just start collecting'em one by one again.\That's so unlike Inuyasha. Why's he being so understanding?\Well, because the one who stole the Sacred Jewel fragments was Kikyo.\Geez... A crime committed by the woman he loves!\Hey you!\Are you implying that I'm trying to defend Kikyo?!\W-what?! Do you think that, too...?! response:	If you have any complaints, just speak up!
context: We'll just start collecting'em one by one again.\That's so unlike Inuyasha. Why's he being so understanding?\Well, because the one who stole the Sacred Jewel fragments was Kikyo.\Geez... A crime committed by the woman he loves!\Hey you!\Are you implying that I'm trying to defend Kikyo?!\W-what?! Do you think that, too...?!\If you have any complaints, just speak up! response:	A cow?
context: That's so unlike Inuyasha. Why's he being so understanding?\Well, because the one who stole the Sacred Jewel fragments was Kikyo.\Geez... A crime committed by the woman he loves!\Hey you!\Are you implying that I'm trying to defend Kikyo?!\W-what?! Do you think that, too...?!\If you have any complaints, just speak up!\A cow? response:	Where is it?
context: Well, because the one who stole the Sacred Jewel fragments was Kikyo.\Geez... A crime committed by the woman he loves!\Hey you!\Are you implying that I'm trying to defend Kikyo?!\W-what?! Do you think that, too...?!\If you have any complaints, just speak up!\A cow?\Where is it? response:	Huh?
context: Geez... A crime committed by the woman he loves!\Hey you!\Are you implying that I'm trying to defend Kikyo?!\W-what?! Do you think that, too...?!\If you have any complaints, just speak up!\A cow?\Where is it?\Huh? response:	Up above?
context: Hey you!\Are you implying that I'm trying to defend Kikyo?!\W-what?! Do you think that, too...?!\If you have any complaints, just speak up!\A cow?\Where is it?\Huh?\Up above? response:	What's going on?!
context: Are you implying that I'm trying to defend Kikyo?!\W-what?! Do you think that, too...?!\If you have any complaints, just speak up!\A cow?\Where is it?\Huh?\Up above?\What's going on?! response:	Inuyasha!
context: W-what?! Do you think that, too...?!\If you have any complaints, just speak up!\A cow?\Where is it?\Huh?\Up above?\What's going on?!\Inuyasha! response:	Just who are you?!
context: If you have any complaints, just speak up!\A cow?\Where is it?\Huh?\Up above?\What's going on?!\Inuyasha!\Just who are you?! response:	I am called Totosai.
context: A cow?\Where is it?\Huh?\Up above?\What's going on?!\Inuyasha!\Just who are you?!\I am called Totosai. response:	Draw your sword, Inuyasha.
context: Where is it?\Huh?\Up above?\What's going on?!\Inuyasha!\Just who are you?!\I am called Totosai.\Draw your sword, Inuyasha. response:	The old geezer...knows me?!
context: Huh?\Up above?\What's going on?!\Inuyasha!\Just who are you?!\I am called Totosai.\Draw your sword, Inuyasha.\The old geezer...knows me?! response:	If you refuse, I'll go on the offensive!
context: Up above?\What's going on?!\Inuyasha!\Just who are you?!\I am called Totosai.\Draw your sword, Inuyasha.\The old geezer...knows me?!\If you refuse, I'll go on the offensive! response:	Get back, Kagome!
context: What's going on?!\Inuyasha!\Just who are you?!\I am called Totosai.\Draw your sword, Inuyasha.\The old geezer...knows me?!\If you refuse, I'll go on the offensive!\Get back, Kagome! response:	Uh-huh...
context: Inuyasha!\Just who are you?!\I am called Totosai.\Draw your sword, Inuyasha.\The old geezer...knows me?!\If you refuse, I'll go on the offensive!\Get back, Kagome!\Uh-huh... response:	He thwarted the Tetsusaiga with his hammer!
context: Just who are you?!\I am called Totosai.\Draw your sword, Inuyasha.\The old geezer...knows me?!\If you refuse, I'll go on the offensive!\Get back, Kagome!\Uh-huh...\He thwarted the Tetsusaiga with his hammer! response:	The resonance is way too dull.
context: I am called Totosai.\Draw your sword, Inuyasha.\The old geezer...knows me?!\If you refuse, I'll go on the offensive!\Get back, Kagome!\Uh-huh...\He thwarted the Tetsusaiga with his hammer!\The resonance is way too dull. response:	Maybe this kid isn't the right one.
context: Draw your sword, Inuyasha.\The old geezer...knows me?!\If you refuse, I'll go on the offensive!\Get back, Kagome!\Uh-huh...\He thwarted the Tetsusaiga with his hammer!\The resonance is way too dull.\Maybe this kid isn't the right one. response:	Just who are you?!
context: The old geezer...knows me?!\If you refuse, I'll go on the offensive!\Get back, Kagome!\Uh-huh...\He thwarted the Tetsusaiga with his hammer!\The resonance is way too dull.\Maybe this kid isn't the right one.\Just who are you?! response:	He stopped the sword!
context: If you refuse, I'll go on the offensive!\Get back, Kagome!\Uh-huh...\He thwarted the Tetsusaiga with his hammer!\The resonance is way too dull.\Maybe this kid isn't the right one.\Just who are you?!\He stopped the sword! response:	With a piece of leather!
context: Get back, Kagome!\Uh-huh...\He thwarted the Tetsusaiga with his hammer!\The resonance is way too dull.\Maybe this kid isn't the right one.\Just who are you?!\He stopped the sword!\With a piece of leather! response:	The blade is full of chips!
context: Uh-huh...\He thwarted the Tetsusaiga with his hammer!\The resonance is way too dull.\Maybe this kid isn't the right one.\Just who are you?!\He stopped the sword!\With a piece of leather!\The blade is full of chips! response:	You've been too rough with it!
context: He thwarted the Tetsusaiga with his hammer!\The resonance is way too dull.\Maybe this kid isn't the right one.\Just who are you?!\He stopped the sword!\With a piece of leather!\The blade is full of chips!\You've been too rough with it! response:	What a shame!
context: The resonance is way too dull.\Maybe this kid isn't the right one.\Just who are you?!\He stopped the sword!\With a piece of leather!\The blade is full of chips!\You've been too rough with it!\What a shame! response:	J-just who are you?!
context: Maybe this kid isn't the right one.\Just who are you?!\He stopped the sword!\With a piece of leather!\The blade is full of chips!\You've been too rough with it!\What a shame!\J-just who are you?! response:	Totosai, isn't that enough?
context: Just who are you?!\He stopped the sword!\With a piece of leather!\The blade is full of chips!\You've been too rough with it!\What a shame!\J-just who are you?!\Totosai, isn't that enough? response:	Myoga?!
context: He stopped the sword!\With a piece of leather!\The blade is full of chips!\You've been too rough with it!\What a shame!\J-just who are you?!\Totosai, isn't that enough?\Myoga?! response:	The swordsmith who forged the Tetsusaiga?!
context: With a piece of leather!\The blade is full of chips!\You've been too rough with it!\What a shame!\J-just who are you?!\Totosai, isn't that enough?\Myoga?!\The swordsmith who forged the Tetsusaiga?! response:	Precisely.
context: The blade is full of chips!\You've been too rough with it!\What a shame!\J-just who are you?!\Totosai, isn't that enough?\Myoga?!\The swordsmith who forged the Tetsusaiga?!\Precisely. response:	I, Totosai, forged the Tetsusaiga from a fang your father gave me.
context: You've been too rough with it!\What a shame!\J-just who are you?!\Totosai, isn't that enough?\Myoga?!\The swordsmith who forged the Tetsusaiga?!\Precisely.\I, Totosai, forged the Tetsusaiga from a fang your father gave me. response:	In the world of sword-wielding demons...
context: What a shame!\J-just who are you?!\Totosai, isn't that enough?\Myoga?!\The swordsmith who forged the Tetsusaiga?!\Precisely.\I, Totosai, forged the Tetsusaiga from a fang your father gave me.\In the world of sword-wielding demons... response:	I am famous among those who know...
context: J-just who are you?!\Totosai, isn't that enough?\Myoga?!\The swordsmith who forged the Tetsusaiga?!\Precisely.\I, Totosai, forged the Tetsusaiga from a fang your father gave me.\In the world of sword-wielding demons...\I am famous among those who know... response:	and among those who don't know, I'm not.
context: Totosai, isn't that enough?\Myoga?!\The swordsmith who forged the Tetsusaiga?!\Precisely.\I, Totosai, forged the Tetsusaiga from a fang your father gave me.\In the world of sword-wielding demons...\I am famous among those who know...\and among those who don't know, I'm not. response:	Huh? What does that mean?
context: Myoga?!\The swordsmith who forged the Tetsusaiga?!\Precisely.\I, Totosai, forged the Tetsusaiga from a fang your father gave me.\In the world of sword-wielding demons...\I am famous among those who know...\and among those who don't know, I'm not.\Huh? What does that mean? response:	Doesn't it mean that he's not very famous at all?
context: The swordsmith who forged the Tetsusaiga?!\Precisely.\I, Totosai, forged the Tetsusaiga from a fang your father gave me.\In the world of sword-wielding demons...\I am famous among those who know...\and among those who don't know, I'm not.\Huh? What does that mean?\Doesn't it mean that he's not very famous at all? response:	Whatever!
context: Precisely.\I, Totosai, forged the Tetsusaiga from a fang your father gave me.\In the world of sword-wielding demons...\I am famous among those who know...\and among those who don't know, I'm not.\Huh? What does that mean?\Doesn't it mean that he's not very famous at all?\Whatever! response:	Just what does the swordsmith want with me?
context: I, Totosai, forged the Tetsusaiga from a fang your father gave me.\In the world of sword-wielding demons...\I am famous among those who know...\and among those who don't know, I'm not.\Huh? What does that mean?\Doesn't it mean that he's not very famous at all?\Whatever!\Just what does the swordsmith want with me? response:	I took a good look at the Tetsusaiga earlier.
context: In the world of sword-wielding demons...\I am famous among those who know...\and among those who don't know, I'm not.\Huh? What does that mean?\Doesn't it mean that he's not very famous at all?\Whatever!\Just what does the swordsmith want with me?\I took a good look at the Tetsusaiga earlier. response:	It was the sword of swords, forged by a master swordsmith...
context: I am famous among those who know...\and among those who don't know, I'm not.\Huh? What does that mean?\Doesn't it mean that he's not very famous at all?\Whatever!\Just what does the swordsmith want with me?\I took a good look at the Tetsusaiga earlier.\It was the sword of swords, forged by a master swordsmith... response:	but the sound of the steel is terribly dull.
context: and among those who don't know, I'm not.\Huh? What does that mean?\Doesn't it mean that he's not very famous at all?\Whatever!\Just what does the swordsmith want with me?\I took a good look at the Tetsusaiga earlier.\It was the sword of swords, forged by a master swordsmith...\but the sound of the steel is terribly dull. response:	It's a very sad thing.
context: Huh? What does that mean?\Doesn't it mean that he's not very famous at all?\Whatever!\Just what does the swordsmith want with me?\I took a good look at the Tetsusaiga earlier.\It was the sword of swords, forged by a master swordsmith...\but the sound of the steel is terribly dull.\It's a very sad thing. response:	If you're picking a fight, just say so.
context: Doesn't it mean that he's not very famous at all?\Whatever!\Just what does the swordsmith want with me?\I took a good look at the Tetsusaiga earlier.\It was the sword of swords, forged by a master swordsmith...\but the sound of the steel is terribly dull.\It's a very sad thing.\If you're picking a fight, just say so. response:	Inuyasha!
context: Whatever!\Just what does the swordsmith want with me?\I took a good look at the Tetsusaiga earlier.\It was the sword of swords, forged by a master swordsmith...\but the sound of the steel is terribly dull.\It's a very sad thing.\If you're picking a fight, just say so.\Inuyasha! response:	Oh... it's useless.
context: Just what does the swordsmith want with me?\I took a good look at the Tetsusaiga earlier.\It was the sword of swords, forged by a master swordsmith...\but the sound of the steel is terribly dull.\It's a very sad thing.\If you're picking a fight, just say so.\Inuyasha!\Oh... it's useless. response:	Myoga, the Tetsusaiga can't be used by someone...
context: I took a good look at the Tetsusaiga earlier.\It was the sword of swords, forged by a master swordsmith...\but the sound of the steel is terribly dull.\It's a very sad thing.\If you're picking a fight, just say so.\Inuyasha!\Oh... it's useless.\Myoga, the Tetsusaiga can't be used by someone... response:	so short-tempered and so eager to fight.
context: It was the sword of swords, forged by a master swordsmith...\but the sound of the steel is terribly dull.\It's a very sad thing.\If you're picking a fight, just say so.\Inuyasha!\Oh... it's useless.\Myoga, the Tetsusaiga can't be used by someone...\so short-tempered and so eager to fight. response:	So rather than blindly relying on the Tetsusaiga's strength...
context: but the sound of the steel is terribly dull.\It's a very sad thing.\If you're picking a fight, just say so.\Inuyasha!\Oh... it's useless.\Myoga, the Tetsusaiga can't be used by someone...\so short-tempered and so eager to fight.\So rather than blindly relying on the Tetsusaiga's strength... response:	and fighting recklessly...
context: It's a very sad thing.\If you're picking a fight, just say so.\Inuyasha!\Oh... it's useless.\Myoga, the Tetsusaiga can't be used by someone...\so short-tempered and so eager to fight.\So rather than blindly relying on the Tetsusaiga's strength...\and fighting recklessly... response:	better for Inuyasha to just give up the sword, huh?
context: If you're picking a fight, just say so.\Inuyasha!\Oh... it's useless.\Myoga, the Tetsusaiga can't be used by someone...\so short-tempered and so eager to fight.\So rather than blindly relying on the Tetsusaiga's strength...\and fighting recklessly...\better for Inuyasha to just give up the sword, huh? response:	Well, the sooner the better.
context: Inuyasha!\Oh... it's useless.\Myoga, the Tetsusaiga can't be used by someone...\so short-tempered and so eager to fight.\So rather than blindly relying on the Tetsusaiga's strength...\and fighting recklessly...\better for Inuyasha to just give up the sword, huh?\Well, the sooner the better. response:	I'll just break the Tetsusaiga in two now!
context: Oh... it's useless.\Myoga, the Tetsusaiga can't be used by someone...\so short-tempered and so eager to fight.\So rather than blindly relying on the Tetsusaiga's strength...\and fighting recklessly...\better for Inuyasha to just give up the sword, huh?\Well, the sooner the better.\I'll just break the Tetsusaiga in two now! response:	What didja say?!
context: Myoga, the Tetsusaiga can't be used by someone...\so short-tempered and so eager to fight.\So rather than blindly relying on the Tetsusaiga's strength...\and fighting recklessly...\better for Inuyasha to just give up the sword, huh?\Well, the sooner the better.\I'll just break the Tetsusaiga in two now!\What didja say?! response:	You may have made the sword, but now, it belongs to me!
context: so short-tempered and so eager to fight.\So rather than blindly relying on the Tetsusaiga's strength...\and fighting recklessly...\better for Inuyasha to just give up the sword, huh?\Well, the sooner the better.\I'll just break the Tetsusaiga in two now!\What didja say?!\You may have made the sword, but now, it belongs to me! response:	Oh, I won't break it. Sorry about that.
context: So rather than blindly relying on the Tetsusaiga's strength...\and fighting recklessly...\better for Inuyasha to just give up the sword, huh?\Well, the sooner the better.\I'll just break the Tetsusaiga in two now!\What didja say?!\You may have made the sword, but now, it belongs to me!\Oh, I won't break it. Sorry about that. response:	Stop hedging. What are you going to do?
context: and fighting recklessly...\better for Inuyasha to just give up the sword, huh?\Well, the sooner the better.\I'll just break the Tetsusaiga in two now!\What didja say?!\You may have made the sword, but now, it belongs to me!\Oh, I won't break it. Sorry about that.\Stop hedging. What are you going to do? response:	At night, when everyone has settled down...
context: better for Inuyasha to just give up the sword, huh?\Well, the sooner the better.\I'll just break the Tetsusaiga in two now!\What didja say?!\You may have made the sword, but now, it belongs to me!\Oh, I won't break it. Sorry about that.\Stop hedging. What are you going to do?\At night, when everyone has settled down... response:	I will quietly steal it away.
context: Well, the sooner the better.\I'll just break the Tetsusaiga in two now!\What didja say?!\You may have made the sword, but now, it belongs to me!\Oh, I won't break it. Sorry about that.\Stop hedging. What are you going to do?\At night, when everyone has settled down...\I will quietly steal it away. response:	Oh, no... I won't steal it!
context: I'll just break the Tetsusaiga in two now!\What didja say?!\You may have made the sword, but now, it belongs to me!\Oh, I won't break it. Sorry about that.\Stop hedging. What are you going to do?\At night, when everyone has settled down...\I will quietly steal it away.\Oh, no... I won't steal it! response:	Master Inuyasha...
context: What didja say?!\You may have made the sword, but now, it belongs to me!\Oh, I won't break it. Sorry about that.\Stop hedging. What are you going to do?\At night, when everyone has settled down...\I will quietly steal it away.\Oh, no... I won't steal it!\Master Inuyasha... response:	as it is, you won't be able to master the mystery of the Tetsusaiga...
