context: I met that boring man response:	when I was going to community college.
context: I'm a woman who married without ever knowing love.\Hmph. He's home.\He only knows the words food, bath, and sleep.\That boring man...\I'm home.\Where's dinner?\Oh, you're home? I didn't even notice.\I was really busy today, so that's all there is. response:	But it's your favorite, isn't it?
context: Hmph. He's home.\He only knows the words food, bath, and sleep.\That boring man...\I'm home.\Where's dinner?\Oh, you're home? I didn't even notice.\I was really busy today, so that's all there is.\But it's your favorite, isn't it? response:	Ramen Land
context: He only knows the words food, bath, and sleep.\That boring man...\I'm home.\Where's dinner?\Oh, you're home? I didn't even notice.\I was really busy today, so that's all there is.\But it's your favorite, isn't it?\Ramen Land response:	Is he mad?
context: That boring man...\I'm home.\Where's dinner?\Oh, you're home? I didn't even notice.\I was really busy today, so that's all there is.\But it's your favorite, isn't it?\Ramen Land\Is he mad? response:	If you have the guts to get mad, then get mad.
context: I'm home.\Where's dinner?\Oh, you're home? I didn't even notice.\I was really busy today, so that's all there is.\But it's your favorite, isn't it?\Ramen Land\Is he mad?\If you have the guts to get mad, then get mad. response:	I'm sure you're just going to eat your dinner silently as usual, though.
context: Where's dinner?\Oh, you're home? I didn't even notice.\I was really busy today, so that's all there is.\But it's your favorite, isn't it?\Ramen Land\Is he mad?\If you have the guts to get mad, then get mad.\I'm sure you're just going to eat your dinner silently as usual, though. response:	Good evening! This is Morioh Radio,
context: Oh, you're home? I didn't even notice.\I was really busy today, so that's all there is.\But it's your favorite, isn't it?\Ramen Land\Is he mad?\If you have the guts to get mad, then get mad.\I'm sure you're just going to eat your dinner silently as usual, though.\Good evening! This is Morioh Radio, response:	brought to you again today by your neighbor, Kai Harada.
context: I was really busy today, so that's all there is.\But it's your favorite, isn't it?\Ramen Land\Is he mad?\If you have the guts to get mad, then get mad.\I'm sure you're just going to eat your dinner silently as usual, though.\Good evening! This is Morioh Radio,\brought to you again today by your neighbor, Kai Harada. response:	What are you doing?
context: But it's your favorite, isn't it?\Ramen Land\Is he mad?\If you have the guts to get mad, then get mad.\I'm sure you're just going to eat your dinner silently as usual, though.\Good evening! This is Morioh Radio,\brought to you again today by your neighbor, Kai Harada.\What are you doing? response:	How's your evening going so far?
context: Ramen Land\Is he mad?\If you have the guts to get mad, then get mad.\I'm sure you're just going to eat your dinner silently as usual, though.\Good evening! This is Morioh Radio,\brought to you again today by your neighbor, Kai Harada.\What are you doing?\How's your evening going so far? response:	Here's a perfect song to end the day...
context: Is he mad?\If you have the guts to get mad, then get mad.\I'm sure you're just going to eat your dinner silently as usual, though.\Good evening! This is Morioh Radio,\brought to you again today by your neighbor, Kai Harada.\What are you doing?\How's your evening going so far?\Here's a perfect song to end the day... response:	Episode 25 Heart Father
context: If you have the guts to get mad, then get mad.\I'm sure you're just going to eat your dinner silently as usual, though.\Good evening! This is Morioh Radio,\brought to you again today by your neighbor, Kai Harada.\What are you doing?\How's your evening going so far?\Here's a perfect song to end the day...\Episode 25 Heart Father response:	Fifteen minutes by car from Morioh Station...
context: I'm sure you're just going to eat your dinner silently as usual, though.\Good evening! This is Morioh Radio,\brought to you again today by your neighbor, Kai Harada.\What are you doing?\How's your evening going so far?\Here's a perfect song to end the day...\Episode 25 Heart Father\Fifteen minutes by car from Morioh Station... response:	His house was in the villa and resort area.
context: Good evening! This is Morioh Radio,\brought to you again today by your neighbor, Kai Harada.\What are you doing?\How's your evening going so far?\Here's a perfect song to end the day...\Episode 25 Heart Father\Fifteen minutes by car from Morioh Station...\His house was in the villa and resort area. response:	Morioh Station
context: brought to you again today by your neighbor, Kai Harada.\What are you doing?\How's your evening going so far?\Here's a perfect song to end the day...\Episode 25 Heart Father\Fifteen minutes by car from Morioh Station...\His house was in the villa and resort area.\Morioh Station response:	Yoshikage Kira's House
context: What are you doing?\How's your evening going so far?\Here's a perfect song to end the day...\Episode 25 Heart Father\Fifteen minutes by car from Morioh Station...\His house was in the villa and resort area.\Morioh Station\Yoshikage Kira's House response:	Rather, it was Yoshikage Kira's house when that was still who he was.
context: How's your evening going so far?\Here's a perfect song to end the day...\Episode 25 Heart Father\Fifteen minutes by car from Morioh Station...\His house was in the villa and resort area.\Morioh Station\Yoshikage Kira's House\Rather, it was Yoshikage Kira's house when that was still who he was. response:	Kira
context: Here's a perfect song to end the day...\Episode 25 Heart Father\Fifteen minutes by car from Morioh Station...\His house was in the villa and resort area.\Morioh Station\Yoshikage Kira's House\Rather, it was Yoshikage Kira's house when that was still who he was.\Kira response:	He has now gained a new face, family registry, job,
context: Episode 25 Heart Father\Fifteen minutes by car from Morioh Station...\His house was in the villa and resort area.\Morioh Station\Yoshikage Kira's House\Rather, it was Yoshikage Kira's house when that was still who he was.\Kira\He has now gained a new face, family registry, job, response:	and a different place to call home.
context: Fifteen minutes by car from Morioh Station...\His house was in the villa and resort area.\Morioh Station\Yoshikage Kira's House\Rather, it was Yoshikage Kira's house when that was still who he was.\Kira\He has now gained a new face, family registry, job,\and a different place to call home. response:	I'm sure he'll never try to come near here again.
context: His house was in the villa and resort area.\Morioh Station\Yoshikage Kira's House\Rather, it was Yoshikage Kira's house when that was still who he was.\Kira\He has now gained a new face, family registry, job,\and a different place to call home.\I'm sure he'll never try to come near here again. response:	There aren't any corpses in the fridge, are there?
context: Morioh Station\Yoshikage Kira's House\Rather, it was Yoshikage Kira's house when that was still who he was.\Kira\He has now gained a new face, family registry, job,\and a different place to call home.\I'm sure he'll never try to come near here again.\There aren't any corpses in the fridge, are there? response:	But we had to search the place.
context: Yoshikage Kira's House\Rather, it was Yoshikage Kira's house when that was still who he was.\Kira\He has now gained a new face, family registry, job,\and a different place to call home.\I'm sure he'll never try to come near here again.\There aren't any corpses in the fridge, are there?\But we had to search the place. response:	Because now that he's someone else,
context: Rather, it was Yoshikage Kira's house when that was still who he was.\Kira\He has now gained a new face, family registry, job,\and a different place to call home.\I'm sure he'll never try to come near here again.\There aren't any corpses in the fridge, are there?\But we had to search the place.\Because now that he's someone else, response:	the only clues we could possibly find on him would be in this house.
context: Kira\He has now gained a new face, family registry, job,\and a different place to call home.\I'm sure he'll never try to come near here again.\There aren't any corpses in the fridge, are there?\But we had to search the place.\Because now that he's someone else,\the only clues we could possibly find on him would be in this house. response:	Is that his album?
context: He has now gained a new face, family registry, job,\and a different place to call home.\I'm sure he'll never try to come near here again.\There aren't any corpses in the fridge, are there?\But we had to search the place.\Because now that he's someone else,\the only clues we could possibly find on him would be in this house.\Is that his album? response:	That totally looks like him.
context: and a different place to call home.\I'm sure he'll never try to come near here again.\There aren't any corpses in the fridge, are there?\But we had to search the place.\Because now that he's someone else,\the only clues we could possibly find on him would be in this house.\Is that his album?\That totally looks like him. response:	Third Grade Summer Summer Camp 7-25-1974
context: I'm sure he'll never try to come near here again.\There aren't any corpses in the fridge, are there?\But we had to search the place.\Because now that he's someone else,\the only clues we could possibly find on him would be in this house.\Is that his album?\That totally looks like him.\Third Grade Summer Summer Camp 7-25-1974 response:	Yoshikage Kira...
context: There aren't any corpses in the fridge, are there?\But we had to search the place.\Because now that he's someone else,\the only clues we could possibly find on him would be in this house.\Is that his album?\That totally looks like him.\Third Grade Summer Summer Camp 7-25-1974\Yoshikage Kira... response:	Born in Morioh Town on January 30th, 1966.
context: But we had to search the place.\Because now that he's someone else,\the only clues we could possibly find on him would be in this house.\Is that his album?\That totally looks like him.\Third Grade Summer Summer Camp 7-25-1974\Yoshikage Kira...\Born in Morioh Town on January 30th, 1966. response:	His height is 175 centimeters, weight is 65 kilograms,
context: Because now that he's someone else,\the only clues we could possibly find on him would be in this house.\Is that his album?\That totally looks like him.\Third Grade Summer Summer Camp 7-25-1974\Yoshikage Kira...\Born in Morioh Town on January 30th, 1966.\His height is 175 centimeters, weight is 65 kilograms, response:	and his blood type is A.
context: the only clues we could possibly find on him would be in this house.\Is that his album?\That totally looks like him.\Third Grade Summer Summer Camp 7-25-1974\Yoshikage Kira...\Born in Morioh Town on January 30th, 1966.\His height is 175 centimeters, weight is 65 kilograms,\and his blood type is A. response:	He was born to parents of advanced age.
context: Is that his album?\That totally looks like him.\Third Grade Summer Summer Camp 7-25-1974\Yoshikage Kira...\Born in Morioh Town on January 30th, 1966.\His height is 175 centimeters, weight is 65 kilograms,\and his blood type is A.\He was born to parents of advanced age. response:	His father, Yoshihiro, died of illness when Yoshikage was 21,
context: That totally looks like him.\Third Grade Summer Summer Camp 7-25-1974\Yoshikage Kira...\Born in Morioh Town on January 30th, 1966.\His height is 175 centimeters, weight is 65 kilograms,\and his blood type is A.\He was born to parents of advanced age.\His father, Yoshihiro, died of illness when Yoshikage was 21, response:	and his mother died of old age not long after.
context: Third Grade Summer Summer Camp 7-25-1974\Yoshikage Kira...\Born in Morioh Town on January 30th, 1966.\His height is 175 centimeters, weight is 65 kilograms,\and his blood type is A.\He was born to parents of advanced age.\His father, Yoshihiro, died of illness when Yoshikage was 21,\and his mother died of old age not long after. response:	In 1988, he graduated from D Academy's Department of Literature.
context: Yoshikage Kira...\Born in Morioh Town on January 30th, 1966.\His height is 175 centimeters, weight is 65 kilograms,\and his blood type is A.\He was born to parents of advanced age.\His father, Yoshihiro, died of illness when Yoshikage was 21,\and his mother died of old age not long after.\In 1988, he graduated from D Academy's Department of Literature. response:	That same year, he started working for S City's Kame Yu department store.
context: Born in Morioh Town on January 30th, 1966.\His height is 175 centimeters, weight is 65 kilograms,\and his blood type is A.\He was born to parents of advanced age.\His father, Yoshihiro, died of illness when Yoshikage was 21,\and his mother died of old age not long after.\In 1988, he graduated from D Academy's Department of Literature.\That same year, he started working for S City's Kame Yu department store. response:	He transferred to the Morioh branch in 1993.
context: His height is 175 centimeters, weight is 65 kilograms,\and his blood type is A.\He was born to parents of advanced age.\His father, Yoshihiro, died of illness when Yoshikage was 21,\and his mother died of old age not long after.\In 1988, he graduated from D Academy's Department of Literature.\That same year, he started working for S City's Kame Yu department store.\He transferred to the Morioh branch in 1993. response:	No previous criminal record. No record of getting married. No close friends.
context: and his blood type is A.\He was born to parents of advanced age.\His father, Yoshihiro, died of illness when Yoshikage was 21,\and his mother died of old age not long after.\In 1988, he graduated from D Academy's Department of Literature.\That same year, he started working for S City's Kame Yu department store.\He transferred to the Morioh branch in 1993.\No previous criminal record. No record of getting married. No close friends. response:	No girlfriend. No surgeries.
context: He was born to parents of advanced age.\His father, Yoshihiro, died of illness when Yoshikage was 21,\and his mother died of old age not long after.\In 1988, he graduated from D Academy's Department of Literature.\That same year, he started working for S City's Kame Yu department store.\He transferred to the Morioh branch in 1993.\No previous criminal record. No record of getting married. No close friends.\No girlfriend. No surgeries. response:	It's impossible to find him using fingerprints, teeth, or surgery scars.
context: His father, Yoshihiro, died of illness when Yoshikage was 21,\and his mother died of old age not long after.\In 1988, he graduated from D Academy's Department of Literature.\That same year, he started working for S City's Kame Yu department store.\He transferred to the Morioh branch in 1993.\No previous criminal record. No record of getting married. No close friends.\No girlfriend. No surgeries.\It's impossible to find him using fingerprints, teeth, or surgery scars. response:	That's all rather vague information.
context: and his mother died of old age not long after.\In 1988, he graduated from D Academy's Department of Literature.\That same year, he started working for S City's Kame Yu department store.\He transferred to the Morioh branch in 1993.\No previous criminal record. No record of getting married. No close friends.\No girlfriend. No surgeries.\It's impossible to find him using fingerprints, teeth, or surgery scars.\That's all rather vague information. response:	Look. These trophies and awards...
context: In 1988, he graduated from D Academy's Department of Literature.\That same year, he started working for S City's Kame Yu department store.\He transferred to the Morioh branch in 1993.\No previous criminal record. No record of getting married. No close friends.\No girlfriend. No surgeries.\It's impossible to find him using fingerprints, teeth, or surgery scars.\That's all rather vague information.\Look. These trophies and awards... response:	High School Music Recital Violin 3rd Place Yoshikage Kira
context: That same year, he started working for S City's Kame Yu department store.\He transferred to the Morioh branch in 1993.\No previous criminal record. No record of getting married. No close friends.\No girlfriend. No surgeries.\It's impossible to find him using fingerprints, teeth, or surgery scars.\That's all rather vague information.\Look. These trophies and awards...\High School Music Recital Violin 3rd Place Yoshikage Kira response:	They're all third place.
context: He transferred to the Morioh branch in 1993.\No previous criminal record. No record of getting married. No close friends.\No girlfriend. No surgeries.\It's impossible to find him using fingerprints, teeth, or surgery scars.\That's all rather vague information.\Look. These trophies and awards...\High School Music Recital Violin 3rd Place Yoshikage Kira\They're all third place. response:	Middle School Track Meet 200 Meter Hurdles 3rd Place Yoshikage Kira
context: No previous criminal record. No record of getting married. No close friends.\No girlfriend. No surgeries.\It's impossible to find him using fingerprints, teeth, or surgery scars.\That's all rather vague information.\Look. These trophies and awards...\High School Music Recital Violin 3rd Place Yoshikage Kira\They're all third place.\Middle School Track Meet 200 Meter Hurdles 3rd Place Yoshikage Kira response:	He definitely wasn't the school hero.
context: No girlfriend. No surgeries.\It's impossible to find him using fingerprints, teeth, or surgery scars.\That's all rather vague information.\Look. These trophies and awards...\High School Music Recital Violin 3rd Place Yoshikage Kira\They're all third place.\Middle School Track Meet 200 Meter Hurdles 3rd Place Yoshikage Kira\He definitely wasn't the school hero. response:	Award Grade School Writing Contest Overall 3rd Place
context: It's impossible to find him using fingerprints, teeth, or surgery scars.\That's all rather vague information.\Look. These trophies and awards...\High School Music Recital Violin 3rd Place Yoshikage Kira\They're all third place.\Middle School Track Meet 200 Meter Hurdles 3rd Place Yoshikage Kira\He definitely wasn't the school hero.\Award Grade School Writing Contest Overall 3rd Place response:	And it's hard to tell what he was good at.
context: That's all rather vague information.\Look. These trophies and awards...\High School Music Recital Violin 3rd Place Yoshikage Kira\They're all third place.\Middle School Track Meet 200 Meter Hurdles 3rd Place Yoshikage Kira\He definitely wasn't the school hero.\Award Grade School Writing Contest Overall 3rd Place\And it's hard to tell what he was good at. response:	Sports? Music? Writing?
context: Look. These trophies and awards...\High School Music Recital Violin 3rd Place Yoshikage Kira\They're all third place.\Middle School Track Meet 200 Meter Hurdles 3rd Place Yoshikage Kira\He definitely wasn't the school hero.\Award Grade School Writing Contest Overall 3rd Place\And it's hard to tell what he was good at.\Sports? Music? Writing? response:	Even in this photo, he's positioned so he doesn't stand out.
context: High School Music Recital Violin 3rd Place Yoshikage Kira\They're all third place.\Middle School Track Meet 200 Meter Hurdles 3rd Place Yoshikage Kira\He definitely wasn't the school hero.\Award Grade School Writing Contest Overall 3rd Place\And it's hard to tell what he was good at.\Sports? Music? Writing?\Even in this photo, he's positioned so he doesn't stand out. response:	No one envied him or ridiculed him...
context: They're all third place.\Middle School Track Meet 200 Meter Hurdles 3rd Place Yoshikage Kira\He definitely wasn't the school hero.\Award Grade School Writing Contest Overall 3rd Place\And it's hard to tell what he was good at.\Sports? Music? Writing?\Even in this photo, he's positioned so he doesn't stand out.\No one envied him or ridiculed him... response:	He's a man who doesn't show his strengths or weaknesses to anyone.
context: Middle School Track Meet 200 Meter Hurdles 3rd Place Yoshikage Kira\He definitely wasn't the school hero.\Award Grade School Writing Contest Overall 3rd Place\And it's hard to tell what he was good at.\Sports? Music? Writing?\Even in this photo, he's positioned so he doesn't stand out.\No one envied him or ridiculed him...\He's a man who doesn't show his strengths or weaknesses to anyone. response:	Which means...
context: He definitely wasn't the school hero.\Award Grade School Writing Contest Overall 3rd Place\And it's hard to tell what he was good at.\Sports? Music? Writing?\Even in this photo, he's positioned so he doesn't stand out.\No one envied him or ridiculed him...\He's a man who doesn't show his strengths or weaknesses to anyone.\Which means... response:	Of course, all this was deliberate.
context: Award Grade School Writing Contest Overall 3rd Place\And it's hard to tell what he was good at.\Sports? Music? Writing?\Even in this photo, he's positioned so he doesn't stand out.\No one envied him or ridiculed him...\He's a man who doesn't show his strengths or weaknesses to anyone.\Which means...\Of course, all this was deliberate. response:	He was hiding his high intellect and abilities.
context: And it's hard to tell what he was good at.\Sports? Music? Writing?\Even in this photo, he's positioned so he doesn't stand out.\No one envied him or ridiculed him...\He's a man who doesn't show his strengths or weaknesses to anyone.\Which means...\Of course, all this was deliberate.\He was hiding his high intellect and abilities. response:	He knew that was the best way to stay out of trouble.
context: Sports? Music? Writing?\Even in this photo, he's positioned so he doesn't stand out.\No one envied him or ridiculed him...\He's a man who doesn't show his strengths or weaknesses to anyone.\Which means...\Of course, all this was deliberate.\He was hiding his high intellect and abilities.\He knew that was the best way to stay out of trouble. response:	I came here hoping we could possibly find one of his hobbies, but...
context: Even in this photo, he's positioned so he doesn't stand out.\No one envied him or ridiculed him...\He's a man who doesn't show his strengths or weaknesses to anyone.\Which means...\Of course, all this was deliberate.\He was hiding his high intellect and abilities.\He knew that was the best way to stay out of trouble.\I came here hoping we could possibly find one of his hobbies, but... response:	Hobbies? Come to think of it,
context: No one envied him or ridiculed him...\He's a man who doesn't show his strengths or weaknesses to anyone.\Which means...\Of course, all this was deliberate.\He was hiding his high intellect and abilities.\He knew that was the best way to stay out of trouble.\I came here hoping we could possibly find one of his hobbies, but...\Hobbies? Come to think of it, response:	he seems to have kept several jars in a drawer.
context: He's a man who doesn't show his strengths or weaknesses to anyone.\Which means...\Of course, all this was deliberate.\He was hiding his high intellect and abilities.\He knew that was the best way to stay out of trouble.\I came here hoping we could possibly find one of his hobbies, but...\Hobbies? Come to think of it,\he seems to have kept several jars in a drawer. response:	See?
context: Which means...\Of course, all this was deliberate.\He was hiding his high intellect and abilities.\He knew that was the best way to stay out of trouble.\I came here hoping we could possibly find one of his hobbies, but...\Hobbies? Come to think of it,\he seems to have kept several jars in a drawer.\See? response:	It looks like some sort of scrapings in them.
context: Of course, all this was deliberate.\He was hiding his high intellect and abilities.\He knew that was the best way to stay out of trouble.\I came here hoping we could possibly find one of his hobbies, but...\Hobbies? Come to think of it,\he seems to have kept several jars in a drawer.\See?\It looks like some sort of scrapings in them. response:	And what are these numbers?
context: He was hiding his high intellect and abilities.\He knew that was the best way to stay out of trouble.\I came here hoping we could possibly find one of his hobbies, but...\Hobbies? Come to think of it,\he seems to have kept several jars in a drawer.\See?\It looks like some sort of scrapings in them.\And what are these numbers? response:	1983... Maybe it's the year.
context: He knew that was the best way to stay out of trouble.\I came here hoping we could possibly find one of his hobbies, but...\Hobbies? Come to think of it,\he seems to have kept several jars in a drawer.\See?\It looks like some sort of scrapings in them.\And what are these numbers?\1983... Maybe it's the year. response:	They have a faint smell. What do you think they are?
context: I came here hoping we could possibly find one of his hobbies, but...\Hobbies? Come to think of it,\he seems to have kept several jars in a drawer.\See?\It looks like some sort of scrapings in them.\And what are these numbers?\1983... Maybe it's the year.\They have a faint smell. What do you think they are? response:	They appear to be nail clippings.
context: Hobbies? Come to think of it,\he seems to have kept several jars in a drawer.\See?\It looks like some sort of scrapings in them.\And what are these numbers?\1983... Maybe it's the year.\They have a faint smell. What do you think they are?\They appear to be nail clippings. response:	Huh?
context: he seems to have kept several jars in a drawer.\See?\It looks like some sort of scrapings in them.\And what are these numbers?\1983... Maybe it's the year.\They have a faint smell. What do you think they are?\They appear to be nail clippings.\Huh? response:	Wh-Whose nails are they?!
context: See?\It looks like some sort of scrapings in them.\And what are these numbers?\1983... Maybe it's the year.\They have a faint smell. What do you think they are?\They appear to be nail clippings.\Huh?\Wh-Whose nails are they?! response:	Th-They couldn't be...
context: It looks like some sort of scrapings in them.\And what are these numbers?\1983... Maybe it's the year.\They have a faint smell. What do you think they are?\They appear to be nail clippings.\Huh?\Wh-Whose nails are they?!\Th-They couldn't be... response:	No, they're his own nails. They're not from his victims.
context: And what are these numbers?\1983... Maybe it's the year.\They have a faint smell. What do you think they are?\They appear to be nail clippings.\Huh?\Wh-Whose nails are they?!\Th-They couldn't be...\No, they're his own nails. They're not from his victims. response:	He's kept very meticulous data in his notebook.
context: 1983... Maybe it's the year.\They have a faint smell. What do you think they are?\They appear to be nail clippings.\Huh?\Wh-Whose nails are they?!\Th-They couldn't be...\No, they're his own nails. They're not from his victims.\He's kept very meticulous data in his notebook. response:	Data? You mean the numbers on the jars?
context: They have a faint smell. What do you think they are?\They appear to be nail clippings.\Huh?\Wh-Whose nails are they?!\Th-They couldn't be...\No, they're his own nails. They're not from his victims.\He's kept very meticulous data in his notebook.\Data? You mean the numbers on the jars? response:	Does that mean he's been collecting them since 1983?
context: They appear to be nail clippings.\Huh?\Wh-Whose nails are they?!\Th-They couldn't be...\No, they're his own nails. They're not from his victims.\He's kept very meticulous data in his notebook.\Data? You mean the numbers on the jars?\Does that mean he's been collecting them since 1983? response:	For the last fifteen years?
context: Huh?\Wh-Whose nails are they?!\Th-They couldn't be...\No, they're his own nails. They're not from his victims.\He's kept very meticulous data in his notebook.\Data? You mean the numbers on the jars?\Does that mean he's been collecting them since 1983?\For the last fifteen years? response:	Thumb Index Finger Middle Finger Ring Finger Pinky
context: Wh-Whose nails are they?!\Th-They couldn't be...\No, they're his own nails. They're not from his victims.\He's kept very meticulous data in his notebook.\Data? You mean the numbers on the jars?\Does that mean he's been collecting them since 1983?\For the last fifteen years?\Thumb Index Finger Middle Finger Ring Finger Pinky response:	Gah! He recorded every finger! He's so detailed!
context: Th-They couldn't be...\No, they're his own nails. They're not from his victims.\He's kept very meticulous data in his notebook.\Data? You mean the numbers on the jars?\Does that mean he's been collecting them since 1983?\For the last fifteen years?\Thumb Index Finger Middle Finger Ring Finger Pinky\Gah! He recorded every finger! He's so detailed! response:	Right Hand Measurements
context: No, they're his own nails. They're not from his victims.\He's kept very meticulous data in his notebook.\Data? You mean the numbers on the jars?\Does that mean he's been collecting them since 1983?\For the last fifteen years?\Thumb Index Finger Middle Finger Ring Finger Pinky\Gah! He recorded every finger! He's so detailed!\Right Hand Measurements response:	Does this mean that in 1983, his thumbnail on
context: He's kept very meticulous data in his notebook.\Data? You mean the numbers on the jars?\Does that mean he's been collecting them since 1983?\For the last fifteen years?\Thumb Index Finger Middle Finger Ring Finger Pinky\Gah! He recorded every finger! He's so detailed!\Right Hand Measurements\Does this mean that in 1983, his thumbnail on response:	his right hand grew 31.5 centimeters?
context: Data? You mean the numbers on the jars?\Does that mean he's been collecting them since 1983?\For the last fifteen years?\Thumb Index Finger Middle Finger Ring Finger Pinky\Gah! He recorded every finger! He's so detailed!\Right Hand Measurements\Does this mean that in 1983, his thumbnail on\his right hand grew 31.5 centimeters? response:	1983 was the year Reimi Sugimoto was killed.
context: Does that mean he's been collecting them since 1983?\For the last fifteen years?\Thumb Index Finger Middle Finger Ring Finger Pinky\Gah! He recorded every finger! He's so detailed!\Right Hand Measurements\Does this mean that in 1983, his thumbnail on\his right hand grew 31.5 centimeters?\1983 was the year Reimi Sugimoto was killed. response:	The records begin in that year.
context: For the last fifteen years?\Thumb Index Finger Middle Finger Ring Finger Pinky\Gah! He recorded every finger! He's so detailed!\Right Hand Measurements\Does this mean that in 1983, his thumbnail on\his right hand grew 31.5 centimeters?\1983 was the year Reimi Sugimoto was killed.\The records begin in that year. response:	He probably reached the point
context: Thumb Index Finger Middle Finger Ring Finger Pinky\Gah! He recorded every finger! He's so detailed!\Right Hand Measurements\Does this mean that in 1983, his thumbnail on\his right hand grew 31.5 centimeters?\1983 was the year Reimi Sugimoto was killed.\The records begin in that year.\He probably reached the point response:	where he couldn't contain his murderous instincts any longer.
context: Gah! He recorded every finger! He's so detailed!\Right Hand Measurements\Does this mean that in 1983, his thumbnail on\his right hand grew 31.5 centimeters?\1983 was the year Reimi Sugimoto was killed.\The records begin in that year.\He probably reached the point\where he couldn't contain his murderous instincts any longer. response:	Whoa! He's got his toenail lengths on the next page!
