context: Interviews with Monster Girls response:	Thank you for taking the time to visit.
context: and I was hoping for a chance to talk to you.\The Takanashi Sisters Are Undeniable\Oh, no... I'm the one who's grateful.\Thank you for inviting me over.\My wife is the bread winner in our family,\so I'm in charge of the housework.\Oh, is that right?\At one time, both of us had jobs. response:	But since we have Hikari, we thought one of us should stay near her.
context: The Takanashi Sisters Are Undeniable\Oh, no... I'm the one who's grateful.\Thank you for inviting me over.\My wife is the bread winner in our family,\so I'm in charge of the housework.\Oh, is that right?\At one time, both of us had jobs.\But since we have Hikari, we thought one of us should stay near her. response:	Lately, we've been in touch with Machi-san and Kusakabe-san's parents, too.
context: Oh, no... I'm the one who's grateful.\Thank you for inviting me over.\My wife is the bread winner in our family,\so I'm in charge of the housework.\Oh, is that right?\At one time, both of us had jobs.\But since we have Hikari, we thought one of us should stay near her.\Lately, we've been in touch with Machi-san and Kusakabe-san's parents, too. response:	Oh? Networking among parents, huh?
context: Thank you for inviting me over.\My wife is the bread winner in our family,\so I'm in charge of the housework.\Oh, is that right?\At one time, both of us had jobs.\But since we have Hikari, we thought one of us should stay near her.\Lately, we've been in touch with Machi-san and Kusakabe-san's parents, too.\Oh? Networking among parents, huh? response:	That does sound nice.
context: My wife is the bread winner in our family,\so I'm in charge of the housework.\Oh, is that right?\At one time, both of us had jobs.\But since we have Hikari, we thought one of us should stay near her.\Lately, we've been in touch with Machi-san and Kusakabe-san's parents, too.\Oh? Networking among parents, huh?\That does sound nice. response:	I heard it was thanks to your help that those girls became friends.
context: so I'm in charge of the housework.\Oh, is that right?\At one time, both of us had jobs.\But since we have Hikari, we thought one of us should stay near her.\Lately, we've been in touch with Machi-san and Kusakabe-san's parents, too.\Oh? Networking among parents, huh?\That does sound nice.\I heard it was thanks to your help that those girls became friends. response:	Nah, I didn't do anything special.
context: Oh, is that right?\At one time, both of us had jobs.\But since we have Hikari, we thought one of us should stay near her.\Lately, we've been in touch with Machi-san and Kusakabe-san's parents, too.\Oh? Networking among parents, huh?\That does sound nice.\I heard it was thanks to your help that those girls became friends.\Nah, I didn't do anything special. response:	Knowing there's someone like you, who's knowledgeable about demis,
context: At one time, both of us had jobs.\But since we have Hikari, we thought one of us should stay near her.\Lately, we've been in touch with Machi-san and Kusakabe-san's parents, too.\Oh? Networking among parents, huh?\That does sound nice.\I heard it was thanks to your help that those girls became friends.\Nah, I didn't do anything special.\Knowing there's someone like you, who's knowledgeable about demis, response:	makes me feel at ease sending them to school.
context: But since we have Hikari, we thought one of us should stay near her.\Lately, we've been in touch with Machi-san and Kusakabe-san's parents, too.\Oh? Networking among parents, huh?\That does sound nice.\I heard it was thanks to your help that those girls became friends.\Nah, I didn't do anything special.\Knowing there's someone like you, who's knowledgeable about demis,\makes me feel at ease sending them to school. response:	I'm sure Hikari-san and Himari-san have such good sense
context: Lately, we've been in touch with Machi-san and Kusakabe-san's parents, too.\Oh? Networking among parents, huh?\That does sound nice.\I heard it was thanks to your help that those girls became friends.\Nah, I didn't do anything special.\Knowing there's someone like you, who's knowledgeable about demis,\makes me feel at ease sending them to school.\I'm sure Hikari-san and Himari-san have such good sense response:	because they had good parents to raise them right.
context: Oh? Networking among parents, huh?\That does sound nice.\I heard it was thanks to your help that those girls became friends.\Nah, I didn't do anything special.\Knowing there's someone like you, who's knowledgeable about demis,\makes me feel at ease sending them to school.\I'm sure Hikari-san and Himari-san have such good sense\because they had good parents to raise them right. response:	Hikari-san, however...
context: That does sound nice.\I heard it was thanks to your help that those girls became friends.\Nah, I didn't do anything special.\Knowing there's someone like you, who's knowledgeable about demis,\makes me feel at ease sending them to school.\I'm sure Hikari-san and Himari-san have such good sense\because they had good parents to raise them right.\Hikari-san, however... response:	I just wish she'd put a little more effort into her studies.
context: I heard it was thanks to your help that those girls became friends.\Nah, I didn't do anything special.\Knowing there's someone like you, who's knowledgeable about demis,\makes me feel at ease sending them to school.\I'm sure Hikari-san and Himari-san have such good sense\because they had good parents to raise them right.\Hikari-san, however...\I just wish she'd put a little more effort into her studies. response:	Y-You're right.
context: Nah, I didn't do anything special.\Knowing there's someone like you, who's knowledgeable about demis,\makes me feel at ease sending them to school.\I'm sure Hikari-san and Himari-san have such good sense\because they had good parents to raise them right.\Hikari-san, however...\I just wish she'd put a little more effort into her studies.\Y-You're right. response:	Himari is very responsible about that, but...
context: Knowing there's someone like you, who's knowledgeable about demis,\makes me feel at ease sending them to school.\I'm sure Hikari-san and Himari-san have such good sense\because they had good parents to raise them right.\Hikari-san, however...\I just wish she'd put a little more effort into her studies.\Y-You're right.\Himari is very responsible about that, but... response:	I'm home.
context: makes me feel at ease sending them to school.\I'm sure Hikari-san and Himari-san have such good sense\because they had good parents to raise them right.\Hikari-san, however...\I just wish she'd put a little more effort into her studies.\Y-You're right.\Himari is very responsible about that, but...\I'm home. response:	Hey.
context: I'm sure Hikari-san and Himari-san have such good sense\because they had good parents to raise them right.\Hikari-san, however...\I just wish she'd put a little more effort into her studies.\Y-You're right.\Himari is very responsible about that, but...\I'm home.\Hey. response:	Takahashi-sensei?
context: because they had good parents to raise them right.\Hikari-san, however...\I just wish she'd put a little more effort into her studies.\Y-You're right.\Himari is very responsible about that, but...\I'm home.\Hey.\Takahashi-sensei? response:	I did promise, right?
context: Hikari-san, however...\I just wish she'd put a little more effort into her studies.\Y-You're right.\Himari is very responsible about that, but...\I'm home.\Hey.\Takahashi-sensei?\I did promise, right? response:	Thank you for coming.
context: I just wish she'd put a little more effort into her studies.\Y-You're right.\Himari is very responsible about that, but...\I'm home.\Hey.\Takahashi-sensei?\I did promise, right?\Thank you for coming. response:	And... I'm sorry about the other day.
context: Y-You're right.\Himari is very responsible about that, but...\I'm home.\Hey.\Takahashi-sensei?\I did promise, right?\Thank you for coming.\And... I'm sorry about the other day. response:	Huh?
context: Himari is very responsible about that, but...\I'm home.\Hey.\Takahashi-sensei?\I did promise, right?\Thank you for coming.\And... I'm sorry about the other day.\Huh? response:	About the e-mail my sister sent me.
context: I'm home.\Hey.\Takahashi-sensei?\I did promise, right?\Thank you for coming.\And... I'm sorry about the other day.\Huh?\About the e-mail my sister sent me. response:	The one that said you hugged her.
context: Hey.\Takahashi-sensei?\I did promise, right?\Thank you for coming.\And... I'm sorry about the other day.\Huh?\About the e-mail my sister sent me.\The one that said you hugged her. response:	Hugged?
context: Takahashi-sensei?\I did promise, right?\Thank you for coming.\And... I'm sorry about the other day.\Huh?\About the e-mail my sister sent me.\The one that said you hugged her.\Hugged? response:	Oh, that?! It's fine!
context: I did promise, right?\Thank you for coming.\And... I'm sorry about the other day.\Huh?\About the e-mail my sister sent me.\The one that said you hugged her.\Hugged?\Oh, that?! It's fine! response:	Hikari explained everything later.
context: Thank you for coming.\And... I'm sorry about the other day.\Huh?\About the e-mail my sister sent me.\The one that said you hugged her.\Hugged?\Oh, that?! It's fine!\Hikari explained everything later. response:	As long as the misunderstanding was cleared up, it's fine.
context: And... I'm sorry about the other day.\Huh?\About the e-mail my sister sent me.\The one that said you hugged her.\Hugged?\Oh, that?! It's fine!\Hikari explained everything later.\As long as the misunderstanding was cleared up, it's fine. response:	That's the kind of person my sister is.
context: Huh?\About the e-mail my sister sent me.\The one that said you hugged her.\Hugged?\Oh, that?! It's fine!\Hikari explained everything later.\As long as the misunderstanding was cleared up, it's fine.\That's the kind of person my sister is. response:	You have my blessing to be strict and not coddle her.
context: About the e-mail my sister sent me.\The one that said you hugged her.\Hugged?\Oh, that?! It's fine!\Hikari explained everything later.\As long as the misunderstanding was cleared up, it's fine.\That's the kind of person my sister is.\You have my blessing to be strict and not coddle her. response:	Right.
context: The one that said you hugged her.\Hugged?\Oh, that?! It's fine!\Hikari explained everything later.\As long as the misunderstanding was cleared up, it's fine.\That's the kind of person my sister is.\You have my blessing to be strict and not coddle her.\Right. response:	Is something wrong?
context: Hugged?\Oh, that?! It's fine!\Hikari explained everything later.\As long as the misunderstanding was cleared up, it's fine.\That's the kind of person my sister is.\You have my blessing to be strict and not coddle her.\Right.\Is something wrong? response:	They're twins, but they're completely different...
context: Oh, that?! It's fine!\Hikari explained everything later.\As long as the misunderstanding was cleared up, it's fine.\That's the kind of person my sister is.\You have my blessing to be strict and not coddle her.\Right.\Is something wrong?\They're twins, but they're completely different... response:	Oh, I'm sor
context: Hikari explained everything later.\As long as the misunderstanding was cleared up, it's fine.\That's the kind of person my sister is.\You have my blessing to be strict and not coddle her.\Right.\Is something wrong?\They're twins, but they're completely different...\Oh, I'm sor response:	I'm home!
context: As long as the misunderstanding was cleared up, it's fine.\That's the kind of person my sister is.\You have my blessing to be strict and not coddle her.\Right.\Is something wrong?\They're twins, but they're completely different...\Oh, I'm sor\I'm home! response:	Sensei!
context: That's the kind of person my sister is.\You have my blessing to be strict and not coddle her.\Right.\Is something wrong?\They're twins, but they're completely different...\Oh, I'm sor\I'm home!\Sensei! response:	There, she is.
context: You have my blessing to be strict and not coddle her.\Right.\Is something wrong?\They're twins, but they're completely different...\Oh, I'm sor\I'm home!\Sensei!\There, she is. response:	Why are you here? A home visit?
context: Right.\Is something wrong?\They're twins, but they're completely different...\Oh, I'm sor\I'm home!\Sensei!\There, she is.\Why are you here? A home visit? response:	I wanted to talk to him,
context: Is something wrong?\They're twins, but they're completely different...\Oh, I'm sor\I'm home!\Sensei!\There, she is.\Why are you here? A home visit?\I wanted to talk to him, response:	so I asked him over.
context: They're twins, but they're completely different...\Oh, I'm sor\I'm home!\Sensei!\There, she is.\Why are you here? A home visit?\I wanted to talk to him,\so I asked him over. response:	Wow, really?
context: Oh, I'm sor\I'm home!\Sensei!\There, she is.\Why are you here? A home visit?\I wanted to talk to him,\so I asked him over.\Wow, really? response:	Wait, whoa...
context: I'm home!\Sensei!\There, she is.\Why are you here? A home visit?\I wanted to talk to him,\so I asked him over.\Wow, really?\Wait, whoa... response:	Sensei, you're wearing a necktie.
context: Sensei!\There, she is.\Why are you here? A home visit?\I wanted to talk to him,\so I asked him over.\Wow, really?\Wait, whoa...\Sensei, you're wearing a necktie. response:	That's unusual!
context: There, she is.\Why are you here? A home visit?\I wanted to talk to him,\so I asked him over.\Wow, really?\Wait, whoa...\Sensei, you're wearing a necktie.\That's unusual! response:	Hey, can I take a picture?
context: Why are you here? A home visit?\I wanted to talk to him,\so I asked him over.\Wow, really?\Wait, whoa...\Sensei, you're wearing a necktie.\That's unusual!\Hey, can I take a picture? response:	Click, click
context: I wanted to talk to him,\so I asked him over.\Wow, really?\Wait, whoa...\Sensei, you're wearing a necktie.\That's unusual!\Hey, can I take a picture?\Click, click response:	Onee-chan!
context: so I asked him over.\Wow, really?\Wait, whoa...\Sensei, you're wearing a necktie.\That's unusual!\Hey, can I take a picture?\Click, click\Onee-chan! response:	H-Himari?
context: Wow, really?\Wait, whoa...\Sensei, you're wearing a necktie.\That's unusual!\Hey, can I take a picture?\Click, click\Onee-chan!\H-Himari? response:	You put your blood pack in this fridge again!
context: Wait, whoa...\Sensei, you're wearing a necktie.\That's unusual!\Hey, can I take a picture?\Click, click\Onee-chan!\H-Himari?\You put your blood pack in this fridge again! response:	Keep them in your own fridge!
context: Sensei, you're wearing a necktie.\That's unusual!\Hey, can I take a picture?\Click, click\Onee-chan!\H-Himari?\You put your blood pack in this fridge again!\Keep them in your own fridge! response:	You have your own refrigerator?
context: That's unusual!\Hey, can I take a picture?\Click, click\Onee-chan!\H-Himari?\You put your blood pack in this fridge again!\Keep them in your own fridge!\You have your own refrigerator? response:	Yeah, it seemed wrong to put my blood where everyone would see it,
context: Hey, can I take a picture?\Click, click\Onee-chan!\H-Himari?\You put your blood pack in this fridge again!\Keep them in your own fridge!\You have your own refrigerator?\Yeah, it seemed wrong to put my blood where everyone would see it, response:	so I got my own.
context: Click, click\Onee-chan!\H-Himari?\You put your blood pack in this fridge again!\Keep them in your own fridge!\You have your own refrigerator?\Yeah, it seemed wrong to put my blood where everyone would see it,\so I got my own. response:	That doesn't even matter. We're used to seeing it!
context: Onee-chan!\H-Himari?\You put your blood pack in this fridge again!\Keep them in your own fridge!\You have your own refrigerator?\Yeah, it seemed wrong to put my blood where everyone would see it,\so I got my own.\That doesn't even matter. We're used to seeing it! response:	Th-Then...
context: H-Himari?\You put your blood pack in this fridge again!\Keep them in your own fridge!\You have your own refrigerator?\Yeah, it seemed wrong to put my blood where everyone would see it,\so I got my own.\That doesn't even matter. We're used to seeing it!\Th-Then... response:	But the deal was that, as long as you had your own fridge,
context: You put your blood pack in this fridge again!\Keep them in your own fridge!\You have your own refrigerator?\Yeah, it seemed wrong to put my blood where everyone would see it,\so I got my own.\That doesn't even matter. We're used to seeing it!\Th-Then...\But the deal was that, as long as you had your own fridge, response:	you'd follow the rules!
context: Keep them in your own fridge!\You have your own refrigerator?\Yeah, it seemed wrong to put my blood where everyone would see it,\so I got my own.\That doesn't even matter. We're used to seeing it!\Th-Then...\But the deal was that, as long as you had your own fridge,\you'd follow the rules! response:	It's probably something dumb, like you couldn't be bothered
context: You have your own refrigerator?\Yeah, it seemed wrong to put my blood where everyone would see it,\so I got my own.\That doesn't even matter. We're used to seeing it!\Th-Then...\But the deal was that, as long as you had your own fridge,\you'd follow the rules!\It's probably something dumb, like you couldn't be bothered response:	to take them upstairs, right?
context: Yeah, it seemed wrong to put my blood where everyone would see it,\so I got my own.\That doesn't even matter. We're used to seeing it!\Th-Then...\But the deal was that, as long as you had your own fridge,\you'd follow the rules!\It's probably something dumb, like you couldn't be bothered\to take them upstairs, right? response:	Sensei, please say something to this cold-blooded sister of mine...
context: so I got my own.\That doesn't even matter. We're used to seeing it!\Th-Then...\But the deal was that, as long as you had your own fridge,\you'd follow the rules!\It's probably something dumb, like you couldn't be bothered\to take them upstairs, right?\Sensei, please say something to this cold-blooded sister of mine... response:	It's important to question the rules,
context: That doesn't even matter. We're used to seeing it!\Th-Then...\But the deal was that, as long as you had your own fridge,\you'd follow the rules!\It's probably something dumb, like you couldn't be bothered\to take them upstairs, right?\Sensei, please say something to this cold-blooded sister of mine...\It's important to question the rules, response:	but you should really stick to rules that you set for yourself.
context: Th-Then...\But the deal was that, as long as you had your own fridge,\you'd follow the rules!\It's probably something dumb, like you couldn't be bothered\to take them upstairs, right?\Sensei, please say something to this cold-blooded sister of mine...\It's important to question the rules,\but you should really stick to rules that you set for yourself. response:	The gentle way he worded that stabs right through my heart...
context: But the deal was that, as long as you had your own fridge,\you'd follow the rules!\It's probably something dumb, like you couldn't be bothered\to take them upstairs, right?\Sensei, please say something to this cold-blooded sister of mine...\It's important to question the rules,\but you should really stick to rules that you set for yourself.\The gentle way he worded that stabs right through my heart... response:	Just listen to this, Sensei.
context: you'd follow the rules!\It's probably something dumb, like you couldn't be bothered\to take them upstairs, right?\Sensei, please say something to this cold-blooded sister of mine...\It's important to question the rules,\but you should really stick to rules that you set for yourself.\The gentle way he worded that stabs right through my heart...\Just listen to this, Sensei. response:	She does what she wants, just because she has her own fridge!
context: It's probably something dumb, like you couldn't be bothered\to take them upstairs, right?\Sensei, please say something to this cold-blooded sister of mine...\It's important to question the rules,\but you should really stick to rules that you set for yourself.\The gentle way he worded that stabs right through my heart...\Just listen to this, Sensei.\She does what she wants, just because she has her own fridge! response:	She hides the desserts she wants to eat in it,
context: to take them upstairs, right?\Sensei, please say something to this cold-blooded sister of mine...\It's important to question the rules,\but you should really stick to rules that you set for yourself.\The gentle way he worded that stabs right through my heart...\Just listen to this, Sensei.\She does what she wants, just because she has her own fridge!\She hides the desserts she wants to eat in it, response:	sticks her feet in it while reading manga,
context: Sensei, please say something to this cold-blooded sister of mine...\It's important to question the rules,\but you should really stick to rules that you set for yourself.\The gentle way he worded that stabs right through my heart...\Just listen to this, Sensei.\She does what she wants, just because she has her own fridge!\She hides the desserts she wants to eat in it,\sticks her feet in it while reading manga, response:	and worst, sleeps with her head in it and gets sick!
context: It's important to question the rules,\but you should really stick to rules that you set for yourself.\The gentle way he worded that stabs right through my heart...\Just listen to this, Sensei.\She does what she wants, just because she has her own fridge!\She hides the desserts she wants to eat in it,\sticks her feet in it while reading manga,\and worst, sleeps with her head in it and gets sick! response:	What do you think of that?
context: but you should really stick to rules that you set for yourself.\The gentle way he worded that stabs right through my heart...\Just listen to this, Sensei.\She does what she wants, just because she has her own fridge!\She hides the desserts she wants to eat in it,\sticks her feet in it while reading manga,\and worst, sleeps with her head in it and gets sick!\What do you think of that? response:	D-Did you have to say all that?
context: The gentle way he worded that stabs right through my heart...\Just listen to this, Sensei.\She does what she wants, just because she has her own fridge!\She hides the desserts she wants to eat in it,\sticks her feet in it while reading manga,\and worst, sleeps with her head in it and gets sick!\What do you think of that?\D-Did you have to say all that? response:	You're making the blood drain from my face.
context: Just listen to this, Sensei.\She does what she wants, just because she has her own fridge!\She hides the desserts she wants to eat in it,\sticks her feet in it while reading manga,\and worst, sleeps with her head in it and gets sick!\What do you think of that?\D-Did you have to say all that?\You're making the blood drain from my face. response:	Himari, say another word, and you'll regret it.
context: She does what she wants, just because she has her own fridge!\She hides the desserts she wants to eat in it,\sticks her feet in it while reading manga,\and worst, sleeps with her head in it and gets sick!\What do you think of that?\D-Did you have to say all that?\You're making the blood drain from my face.\Himari, say another word, and you'll regret it. response:	What? Want to fight me?
context: She hides the desserts she wants to eat in it,\sticks her feet in it while reading manga,\and worst, sleeps with her head in it and gets sick!\What do you think of that?\D-Did you have to say all that?\You're making the blood drain from my face.\Himari, say another word, and you'll regret it.\What? Want to fight me? response:	When we were kids, we used to hit each other all the time.
context: sticks her feet in it while reading manga,\and worst, sleeps with her head in it and gets sick!\What do you think of that?\D-Did you have to say all that?\You're making the blood drain from my face.\Himari, say another word, and you'll regret it.\What? Want to fight me?\When we were kids, we used to hit each other all the time. response:	It makes my blood boil.
context: and worst, sleeps with her head in it and gets sick!\What do you think of that?\D-Did you have to say all that?\You're making the blood drain from my face.\Himari, say another word, and you'll regret it.\What? Want to fight me?\When we were kids, we used to hit each other all the time.\It makes my blood boil. response:	Are you ready?
context: What do you think of that?\D-Did you have to say all that?\You're making the blood drain from my face.\Himari, say another word, and you'll regret it.\What? Want to fight me?\When we were kids, we used to hit each other all the time.\It makes my blood boil.\Are you ready? response:	This is gonna be a bloodbath!
context: D-Did you have to say all that?\You're making the blood drain from my face.\Himari, say another word, and you'll regret it.\What? Want to fight me?\When we were kids, we used to hit each other all the time.\It makes my blood boil.\Are you ready?\This is gonna be a bloodbath! response:	Why do you keep working in idioms that involve blood?
context: You're making the blood drain from my face.\Himari, say another word, and you'll regret it.\What? Want to fight me?\When we were kids, we used to hit each other all the time.\It makes my blood boil.\Are you ready?\This is gonna be a bloodbath!\Why do you keep working in idioms that involve blood? response:	Since I have the chance,
context: Himari, say another word, and you'll regret it.\What? Want to fight me?\When we were kids, we used to hit each other all the time.\It makes my blood boil.\Are you ready?\This is gonna be a bloodbath!\Why do you keep working in idioms that involve blood?\Since I have the chance, response:	I thought I'd let Sensei and Dad see my vampire intelligence
context: What? Want to fight me?\When we were kids, we used to hit each other all the time.\It makes my blood boil.\Are you ready?\This is gonna be a bloodbath!\Why do you keep working in idioms that involve blood?\Since I have the chance,\I thought I'd let Sensei and Dad see my vampire intelligence response:	You always try too hard to make yourself look good!
context: When we were kids, we used to hit each other all the time.\It makes my blood boil.\Are you ready?\This is gonna be a bloodbath!\Why do you keep working in idioms that involve blood?\Since I have the chance,\I thought I'd let Sensei and Dad see my vampire intelligence\You always try too hard to make yourself look good! response:	What the heck is with this hairstyle that takes so maddeningly long to do?!
context: It makes my blood boil.\Are you ready?\This is gonna be a bloodbath!\Why do you keep working in idioms that involve blood?\Since I have the chance,\I thought I'd let Sensei and Dad see my vampire intelligence\You always try too hard to make yourself look good!\What the heck is with this hairstyle that takes so maddeningly long to do?! response:	Ow, ow, ow!
context: Are you ready?\This is gonna be a bloodbath!\Why do you keep working in idioms that involve blood?\Since I have the chance,\I thought I'd let Sensei and Dad see my vampire intelligence\You always try too hard to make yourself look good!\What the heck is with this hairstyle that takes so maddeningly long to do?!\Ow, ow, ow! response:	I don't see why you have to bring up my hair
context: This is gonna be a bloodbath!\Why do you keep working in idioms that involve blood?\Since I have the chance,\I thought I'd let Sensei and Dad see my vampire intelligence\You always try too hard to make yourself look good!\What the heck is with this hairstyle that takes so maddeningly long to do?!\Ow, ow, ow!\I don't see why you have to bring up my hair response:	But I do!
context: Why do you keep working in idioms that involve blood?\Since I have the chance,\I thought I'd let Sensei and Dad see my vampire intelligence\You always try too hard to make yourself look good!\What the heck is with this hairstyle that takes so maddeningly long to do?!\Ow, ow, ow!\I don't see why you have to bring up my hair\But I do! response:	Do you know how often helping you with your hair has made me late?
context: Since I have the chance,\I thought I'd let Sensei and Dad see my vampire intelligence\You always try too hard to make yourself look good!\What the heck is with this hairstyle that takes so maddeningly long to do?!\Ow, ow, ow!\I don't see why you have to bring up my hair\But I do!\Do you know how often helping you with your hair has made me late? response:	Ow! Ow! Ow!
context: I thought I'd let Sensei and Dad see my vampire intelligence\You always try too hard to make yourself look good!\What the heck is with this hairstyle that takes so maddeningly long to do?!\Ow, ow, ow!\I don't see why you have to bring up my hair\But I do!\Do you know how often helping you with your hair has made me late?\Ow! Ow! Ow! response:	Sensei, say something to her!
context: You always try too hard to make yourself look good!\What the heck is with this hairstyle that takes so maddeningly long to do?!\Ow, ow, ow!\I don't see why you have to bring up my hair\But I do!\Do you know how often helping you with your hair has made me late?\Ow! Ow! Ow!\Sensei, say something to her! response:	Huh?
context: What the heck is with this hairstyle that takes so maddeningly long to do?!\Ow, ow, ow!\I don't see why you have to bring up my hair\But I do!\Do you know how often helping you with your hair has made me late?\Ow! Ow! Ow!\Sensei, say something to her!\Huh? response:	I think that hairstyle looks pretty cute.
context: Ow, ow, ow!\I don't see why you have to bring up my hair\But I do!\Do you know how often helping you with your hair has made me late?\Ow! Ow! Ow!\Sensei, say something to her!\Huh?\I think that hairstyle looks pretty cute. response:	Did you see?
context: I don't see why you have to bring up my hair\But I do!\Do you know how often helping you with your hair has made me late?\Ow! Ow! Ow!\Sensei, say something to her!\Huh?\I think that hairstyle looks pretty cute.\Did you see? response:	Your face is red.
context: But I do!\Do you know how often helping you with your hair has made me late?\Ow! Ow! Ow!\Sensei, say something to her!\Huh?\I think that hairstyle looks pretty cute.\Did you see?\Your face is red. response:	It is not.
context: Do you know how often helping you with your hair has made me late?\Ow! Ow! Ow!\Sensei, say something to her!\Huh?\I think that hairstyle looks pretty cute.\Did you see?\Your face is red.\It is not. response:	Why are you so happy?
context: Ow! Ow! Ow!\Sensei, say something to her!\Huh?\I think that hairstyle looks pretty cute.\Did you see?\Your face is red.\It is not.\Why are you so happy? response:	I'm not happy.
context: Sensei, say something to her!\Huh?\I think that hairstyle looks pretty cute.\Did you see?\Your face is red.\It is not.\Why are you so happy?\I'm not happy. response:	That's a problem for me, as it is!
context: Huh?\I think that hairstyle looks pretty cute.\Did you see?\Your face is red.\It is not.\Why are you so happy?\I'm not happy.\That's a problem for me, as it is! response:	How is it a problem?
context: I think that hairstyle looks pretty cute.\Did you see?\Your face is red.\It is not.\Why are you so happy?\I'm not happy.\That's a problem for me, as it is!\How is it a problem? response:	Are they always like this?
context: Did you see?\Your face is red.\It is not.\Why are you so happy?\I'm not happy.\That's a problem for me, as it is!\How is it a problem?\Are they always like this? response:	Yeah.
context: Your face is red.\It is not.\Why are you so happy?\I'm not happy.\That's a problem for me, as it is!\How is it a problem?\Are they always like this?\Yeah. response:	Well, I'm embarrassed to say it,
context: It is not.\Why are you so happy?\I'm not happy.\That's a problem for me, as it is!\How is it a problem?\Are they always like this?\Yeah.\Well, I'm embarrassed to say it, response:	but they make such a fuss, I don't know what to do.
context: Why are you so happy?\I'm not happy.\That's a problem for me, as it is!\How is it a problem?\Are they always like this?\Yeah.\Well, I'm embarrassed to say it,\but they make such a fuss, I don't know what to do. response:	I see.
context: I'm not happy.\That's a problem for me, as it is!\How is it a problem?\Are they always like this?\Yeah.\Well, I'm embarrassed to say it,\but they make such a fuss, I don't know what to do.\I see. response:	It's clear they're very close, though.
context: That's a problem for me, as it is!\How is it a problem?\Are they always like this?\Yeah.\Well, I'm embarrassed to say it,\but they make such a fuss, I don't know what to do.\I see.\It's clear they're very close, though. response:	Yes.
context: How is it a problem?\Are they always like this?\Yeah.\Well, I'm embarrassed to say it,\but they make such a fuss, I don't know what to do.\I see.\It's clear they're very close, though.\Yes. response:	Oh, by the way, Sensei...
context: Are they always like this?\Yeah.\Well, I'm embarrassed to say it,\but they make such a fuss, I don't know what to do.\I see.\It's clear they're very close, though.\Yes.\Oh, by the way, Sensei... response:	If you don't have plans after this, would you care to stay for dinner?
context: Yeah.\Well, I'm embarrassed to say it,\but they make such a fuss, I don't know what to do.\I see.\It's clear they're very close, though.\Yes.\Oh, by the way, Sensei...\If you don't have plans after this, would you care to stay for dinner? response:	What? Wow, really?
context: Well, I'm embarrassed to say it,\but they make such a fuss, I don't know what to do.\I see.\It's clear they're very close, though.\Yes.\Oh, by the way, Sensei...\If you don't have plans after this, would you care to stay for dinner?\What? Wow, really? response:	I'd appreciate that.
context: but they make such a fuss, I don't know what to do.\I see.\It's clear they're very close, though.\Yes.\Oh, by the way, Sensei...\If you don't have plans after this, would you care to stay for dinner?\What? Wow, really?\I'd appreciate that. response:	You two.
context: I see.\It's clear they're very close, though.\Yes.\Oh, by the way, Sensei...\If you don't have plans after this, would you care to stay for dinner?\What? Wow, really?\I'd appreciate that.\You two. response:	Sensei is having dinner with us.
context: It's clear they're very close, though.\Yes.\Oh, by the way, Sensei...\If you don't have plans after this, would you care to stay for dinner?\What? Wow, really?\I'd appreciate that.\You two.\Sensei is having dinner with us. response:	What do you want to eat?
context: Yes.\Oh, by the way, Sensei...\If you don't have plans after this, would you care to stay for dinner?\What? Wow, really?\I'd appreciate that.\You two.\Sensei is having dinner with us.\What do you want to eat? response:	Liver and onions!
