context: Give alien weapons to Earth! response:	Give them to Earth!
context: Not if each midboss trashes all of our units.\Repairs are only 28 done for mine...\Mine is in similar shape.\You two have it good!\They said mine's smashed like a water flea.\What's a water flea?\A crustacean of the Branchiopoda class,\Diplostraca order, Cladocera suborder, response:	Anomopoda suborder, Daphniidae family, Daphnia genus.
context: Repairs are only 28 done for mine...\Mine is in similar shape.\You two have it good!\They said mine's smashed like a water flea.\What's a water flea?\A crustacean of the Branchiopoda class,\Diplostraca order, Cladocera suborder,\Anomopoda suborder, Daphniidae family, Daphnia genus. response:	In layman's terms, it's a type of plankton.
context: Mine is in similar shape.\You two have it good!\They said mine's smashed like a water flea.\What's a water flea?\A crustacean of the Branchiopoda class,\Diplostraca order, Cladocera suborder,\Anomopoda suborder, Daphniidae family, Daphnia genus.\In layman's terms, it's a type of plankton. response:	Oh, okay! But what does that have to do with your AHSMB?
context: You two have it good!\They said mine's smashed like a water flea.\What's a water flea?\A crustacean of the Branchiopoda class,\Diplostraca order, Cladocera suborder,\Anomopoda suborder, Daphniidae family, Daphnia genus.\In layman's terms, it's a type of plankton.\Oh, okay! But what does that have to do with your AHSMB? response:	Beats me.
context: They said mine's smashed like a water flea.\What's a water flea?\A crustacean of the Branchiopoda class,\Diplostraca order, Cladocera suborder,\Anomopoda suborder, Daphniidae family, Daphnia genus.\In layman's terms, it's a type of plankton.\Oh, okay! But what does that have to do with your AHSMB?\Beats me. response:	Didn't you pay attention?!
context: What's a water flea?\A crustacean of the Branchiopoda class,\Diplostraca order, Cladocera suborder,\Anomopoda suborder, Daphniidae family, Daphnia genus.\In layman's terms, it's a type of plankton.\Oh, okay! But what does that have to do with your AHSMB?\Beats me.\Didn't you pay attention?! response:	Anyway, doesn't vanquishing a midboss unlock
context: A crustacean of the Branchiopoda class,\Diplostraca order, Cladocera suborder,\Anomopoda suborder, Daphniidae family, Daphnia genus.\In layman's terms, it's a type of plankton.\Oh, okay! But what does that have to do with your AHSMB?\Beats me.\Didn't you pay attention?!\Anyway, doesn't vanquishing a midboss unlock response:	an event that leads to power ups?
context: Diplostraca order, Cladocera suborder,\Anomopoda suborder, Daphniidae family, Daphnia genus.\In layman's terms, it's a type of plankton.\Oh, okay! But what does that have to do with your AHSMB?\Beats me.\Didn't you pay attention?!\Anyway, doesn't vanquishing a midboss unlock\an event that leads to power ups? response:	No, heroes are supposed to train next!
context: Anomopoda suborder, Daphniidae family, Daphnia genus.\In layman's terms, it's a type of plankton.\Oh, okay! But what does that have to do with your AHSMB?\Beats me.\Didn't you pay attention?!\Anyway, doesn't vanquishing a midboss unlock\an event that leads to power ups?\No, heroes are supposed to train next! response:	I don't wanna train.
context: In layman's terms, it's a type of plankton.\Oh, okay! But what does that have to do with your AHSMB?\Beats me.\Didn't you pay attention?!\Anyway, doesn't vanquishing a midboss unlock\an event that leads to power ups?\No, heroes are supposed to train next!\I don't wanna train. response:	Here! Thanks for waiting for Meal Set A.
context: Oh, okay! But what does that have to do with your AHSMB?\Beats me.\Didn't you pay attention?!\Anyway, doesn't vanquishing a midboss unlock\an event that leads to power ups?\No, heroes are supposed to train next!\I don't wanna train.\Here! Thanks for waiting for Meal Set A. response:	Asagi, I gave you an extra serving.
context: Beats me.\Didn't you pay attention?!\Anyway, doesn't vanquishing a midboss unlock\an event that leads to power ups?\No, heroes are supposed to train next!\I don't wanna train.\Here! Thanks for waiting for Meal Set A.\Asagi, I gave you an extra serving. response:	I can't eat all of this.
context: Didn't you pay attention?!\Anyway, doesn't vanquishing a midboss unlock\an event that leads to power ups?\No, heroes are supposed to train next!\I don't wanna train.\Here! Thanks for waiting for Meal Set A.\Asagi, I gave you an extra serving.\I can't eat all of this. response:	Then I'll he-
context: Anyway, doesn't vanquishing a midboss unlock\an event that leads to power ups?\No, heroes are supposed to train next!\I don't wanna train.\Here! Thanks for waiting for Meal Set A.\Asagi, I gave you an extra serving.\I can't eat all of this.\Then I'll he- response:	You can have half of mine.
context: an event that leads to power ups?\No, heroes are supposed to train next!\I don't wanna train.\Here! Thanks for waiting for Meal Set A.\Asagi, I gave you an extra serving.\I can't eat all of this.\Then I'll he-\You can have half of mine. response:	Nah, I'll pass...
context: No, heroes are supposed to train next!\I don't wanna train.\Here! Thanks for waiting for Meal Set A.\Asagi, I gave you an extra serving.\I can't eat all of this.\Then I'll he-\You can have half of mine.\Nah, I'll pass... response:	What's wrong?
context: I don't wanna train.\Here! Thanks for waiting for Meal Set A.\Asagi, I gave you an extra serving.\I can't eat all of this.\Then I'll he-\You can have half of mine.\Nah, I'll pass...\What's wrong? response:	I'm not feeling terribly hungry.
context: Here! Thanks for waiting for Meal Set A.\Asagi, I gave you an extra serving.\I can't eat all of this.\Then I'll he-\You can have half of mine.\Nah, I'll pass...\What's wrong?\I'm not feeling terribly hungry. response:	That's not cool!
context: Asagi, I gave you an extra serving.\I can't eat all of this.\Then I'll he-\You can have half of mine.\Nah, I'll pass...\What's wrong?\I'm not feeling terribly hungry.\That's not cool! response:	A hero must always eat well and sleep well, remember?
context: I can't eat all of this.\Then I'll he-\You can have half of mine.\Nah, I'll pass...\What's wrong?\I'm not feeling terribly hungry.\That's not cool!\A hero must always eat well and sleep well, remember? response:	Randy! And Officer Ange, too.
context: Then I'll he-\You can have half of mine.\Nah, I'll pass...\What's wrong?\I'm not feeling terribly hungry.\That's not cool!\A hero must always eat well and sleep well, remember?\Randy! And Officer Ange, too. response:	Yep! Mr. Cool is in the house!
context: You can have half of mine.\Nah, I'll pass...\What's wrong?\I'm not feeling terribly hungry.\That's not cool!\A hero must always eat well and sleep well, remember?\Randy! And Officer Ange, too.\Yep! Mr. Cool is in the house! response:	I heard you had a rough fight.
context: Nah, I'll pass...\What's wrong?\I'm not feeling terribly hungry.\That's not cool!\A hero must always eat well and sleep well, remember?\Randy! And Officer Ange, too.\Yep! Mr. Cool is in the house!\I heard you had a rough fight. response:	I know how to perk ya back up.
context: What's wrong?\I'm not feeling terribly hungry.\That's not cool!\A hero must always eat well and sleep well, remember?\Randy! And Officer Ange, too.\Yep! Mr. Cool is in the house!\I heard you had a rough fight.\I know how to perk ya back up. response:	Why do we have to watch this in my room?!
context: I'm not feeling terribly hungry.\That's not cool!\A hero must always eat well and sleep well, remember?\Randy! And Officer Ange, too.\Yep! Mr. Cool is in the house!\I heard you had a rough fight.\I know how to perk ya back up.\Why do we have to watch this in my room?! response:	Like it matters!
context: That's not cool!\A hero must always eat well and sleep well, remember?\Randy! And Officer Ange, too.\Yep! Mr. Cool is in the house!\I heard you had a rough fight.\I know how to perk ya back up.\Why do we have to watch this in my room?!\Like it matters! response:	So whadda ya think of this one?
context: A hero must always eat well and sleep well, remember?\Randy! And Officer Ange, too.\Yep! Mr. Cool is in the house!\I heard you had a rough fight.\I know how to perk ya back up.\Why do we have to watch this in my room?!\Like it matters!\So whadda ya think of this one? response:	Where are you going?!
context: Randy! And Officer Ange, too.\Yep! Mr. Cool is in the house!\I heard you had a rough fight.\I know how to perk ya back up.\Why do we have to watch this in my room?!\Like it matters!\So whadda ya think of this one?\Where are you going?! response:	M-man, I've only got eyes for guns...
context: Yep! Mr. Cool is in the house!\I heard you had a rough fight.\I know how to perk ya back up.\Why do we have to watch this in my room?!\Like it matters!\So whadda ya think of this one?\Where are you going?!\M-man, I've only got eyes for guns... response:	You won't know until you try.
context: I heard you had a rough fight.\I know how to perk ya back up.\Why do we have to watch this in my room?!\Like it matters!\So whadda ya think of this one?\Where are you going?!\M-man, I've only got eyes for guns...\You won't know until you try. response:	He's right!
context: I know how to perk ya back up.\Why do we have to watch this in my room?!\Like it matters!\So whadda ya think of this one?\Where are you going?!\M-man, I've only got eyes for guns...\You won't know until you try.\He's right! response:	Isn't it nice how girls are so cute and soft?
context: Why do we have to watch this in my room?!\Like it matters!\So whadda ya think of this one?\Where are you going?!\M-man, I've only got eyes for guns...\You won't know until you try.\He's right!\Isn't it nice how girls are so cute and soft? response:	I like'em firm!
context: Like it matters!\So whadda ya think of this one?\Where are you going?!\M-man, I've only got eyes for guns...\You won't know until you try.\He's right!\Isn't it nice how girls are so cute and soft?\I like'em firm! response:	I don't see it. You must have rather unusual taste.
context: So whadda ya think of this one?\Where are you going?!\M-man, I've only got eyes for guns...\You won't know until you try.\He's right!\Isn't it nice how girls are so cute and soft?\I like'em firm!\I don't see it. You must have rather unusual taste. response:	Say, doesn't this actress kinda resemble Captain Amane?
context: Where are you going?!\M-man, I've only got eyes for guns...\You won't know until you try.\He's right!\Isn't it nice how girls are so cute and soft?\I like'em firm!\I don't see it. You must have rather unusual taste.\Say, doesn't this actress kinda resemble Captain Amane? response:	You really have a thing for your superior officers, don't you?
context: M-man, I've only got eyes for guns...\You won't know until you try.\He's right!\Isn't it nice how girls are so cute and soft?\I like'em firm!\I don't see it. You must have rather unusual taste.\Say, doesn't this actress kinda resemble Captain Amane?\You really have a thing for your superior officers, don't you? response:	Randy is definitely the type that loves to get stepped on!
context: You won't know until you try.\He's right!\Isn't it nice how girls are so cute and soft?\I like'em firm!\I don't see it. You must have rather unusual taste.\Say, doesn't this actress kinda resemble Captain Amane?\You really have a thing for your superior officers, don't you?\Randy is definitely the type that loves to get stepped on! response:	Is that what turns you on, Randy?
context: He's right!\Isn't it nice how girls are so cute and soft?\I like'em firm!\I don't see it. You must have rather unusual taste.\Say, doesn't this actress kinda resemble Captain Amane?\You really have a thing for your superior officers, don't you?\Randy is definitely the type that loves to get stepped on!\Is that what turns you on, Randy? response:	Yeah! Aren't the kinda strict big sister types awesome?
context: Isn't it nice how girls are so cute and soft?\I like'em firm!\I don't see it. You must have rather unusual taste.\Say, doesn't this actress kinda resemble Captain Amane?\You really have a thing for your superior officers, don't you?\Randy is definitely the type that loves to get stepped on!\Is that what turns you on, Randy?\Yeah! Aren't the kinda strict big sister types awesome? response:	I quiver with delight each time they order me around.
context: I like'em firm!\I don't see it. You must have rather unusual taste.\Say, doesn't this actress kinda resemble Captain Amane?\You really have a thing for your superior officers, don't you?\Randy is definitely the type that loves to get stepped on!\Is that what turns you on, Randy?\Yeah! Aren't the kinda strict big sister types awesome?\I quiver with delight each time they order me around. response:	Masochistic freak.
context: I don't see it. You must have rather unusual taste.\Say, doesn't this actress kinda resemble Captain Amane?\You really have a thing for your superior officers, don't you?\Randy is definitely the type that loves to get stepped on!\Is that what turns you on, Randy?\Yeah! Aren't the kinda strict big sister types awesome?\I quiver with delight each time they order me around.\Masochistic freak. response:	Officer... Ange?! How long have you been here?
context: Say, doesn't this actress kinda resemble Captain Amane?\You really have a thing for your superior officers, don't you?\Randy is definitely the type that loves to get stepped on!\Is that what turns you on, Randy?\Yeah! Aren't the kinda strict big sister types awesome?\I quiver with delight each time they order me around.\Masochistic freak.\Officer... Ange?! How long have you been here? response:	From the start.
context: You really have a thing for your superior officers, don't you?\Randy is definitely the type that loves to get stepped on!\Is that what turns you on, Randy?\Yeah! Aren't the kinda strict big sister types awesome?\I quiver with delight each time they order me around.\Masochistic freak.\Officer... Ange?! How long have you been here?\From the start. response:	Crap!
context: Randy is definitely the type that loves to get stepped on!\Is that what turns you on, Randy?\Yeah! Aren't the kinda strict big sister types awesome?\I quiver with delight each time they order me around.\Masochistic freak.\Officer... Ange?! How long have you been here?\From the start.\Crap! response:	What the hell?! Why'd you turn it off?
context: Is that what turns you on, Randy?\Yeah! Aren't the kinda strict big sister types awesome?\I quiver with delight each time they order me around.\Masochistic freak.\Officer... Ange?! How long have you been here?\From the start.\Crap!\What the hell?! Why'd you turn it off? response:	Why is he in Violent Mode?
context: Yeah! Aren't the kinda strict big sister types awesome?\I quiver with delight each time they order me around.\Masochistic freak.\Officer... Ange?! How long have you been here?\From the start.\Crap!\What the hell?! Why'd you turn it off?\Why is he in Violent Mode? response:	Listen up!
context: I quiver with delight each time they order me around.\Masochistic freak.\Officer... Ange?! How long have you been here?\From the start.\Crap!\What the hell?! Why'd you turn it off?\Why is he in Violent Mode?\Listen up! response:	Nothing pisses me off more than when someone kills
context: Masochistic freak.\Officer... Ange?! How long have you been here?\From the start.\Crap!\What the hell?! Why'd you turn it off?\Why is he in Violent Mode?\Listen up!\Nothing pisses me off more than when someone kills response:	a video when I'm watching it.
context: Officer... Ange?! How long have you been here?\From the start.\Crap!\What the hell?! Why'd you turn it off?\Why is he in Violent Mode?\Listen up!\Nothing pisses me off more than when someone kills\a video when I'm watching it. response:	You'd better remember that!
context: From the start.\Crap!\What the hell?! Why'd you turn it off?\Why is he in Violent Mode?\Listen up!\Nothing pisses me off more than when someone kills\a video when I'm watching it.\You'd better remember that! response:	Doesn't watching this give you the same sense of elation
context: Crap!\What the hell?! Why'd you turn it off?\Why is he in Violent Mode?\Listen up!\Nothing pisses me off more than when someone kills\a video when I'm watching it.\You'd better remember that!\Doesn't watching this give you the same sense of elation response:	as when we're fighting?
context: What the hell?! Why'd you turn it off?\Why is he in Violent Mode?\Listen up!\Nothing pisses me off more than when someone kills\a video when I'm watching it.\You'd better remember that!\Doesn't watching this give you the same sense of elation\as when we're fighting? response:	That's because the content is meant to arouse you.
context: Why is he in Violent Mode?\Listen up!\Nothing pisses me off more than when someone kills\a video when I'm watching it.\You'd better remember that!\Doesn't watching this give you the same sense of elation\as when we're fighting?\That's because the content is meant to arouse you. response:	That's not what I meant.
context: Listen up!\Nothing pisses me off more than when someone kills\a video when I'm watching it.\You'd better remember that!\Doesn't watching this give you the same sense of elation\as when we're fighting?\That's because the content is meant to arouse you.\That's not what I meant. response:	The realization that I'm alive
context: Nothing pisses me off more than when someone kills\a video when I'm watching it.\You'd better remember that!\Doesn't watching this give you the same sense of elation\as when we're fighting?\That's because the content is meant to arouse you.\That's not what I meant.\The realization that I'm alive response:	gushes up from the bottom of my heart.
context: a video when I'm watching it.\You'd better remember that!\Doesn't watching this give you the same sense of elation\as when we're fighting?\That's because the content is meant to arouse you.\That's not what I meant.\The realization that I'm alive\gushes up from the bottom of my heart. response:	It's like someone is telling me that I must
context: You'd better remember that!\Doesn't watching this give you the same sense of elation\as when we're fighting?\That's because the content is meant to arouse you.\That's not what I meant.\The realization that I'm alive\gushes up from the bottom of my heart.\It's like someone is telling me that I must response:	defeat more foes and survive!
context: Doesn't watching this give you the same sense of elation\as when we're fighting?\That's because the content is meant to arouse you.\That's not what I meant.\The realization that I'm alive\gushes up from the bottom of my heart.\It's like someone is telling me that I must\defeat more foes and survive! response:	That is precisely why I watch these videos.
context: as when we're fighting?\That's because the content is meant to arouse you.\That's not what I meant.\The realization that I'm alive\gushes up from the bottom of my heart.\It's like someone is telling me that I must\defeat more foes and survive!\That is precisely why I watch these videos. response:	When I watch them, I feel as though I am truly alive.
context: That's because the content is meant to arouse you.\That's not what I meant.\The realization that I'm alive\gushes up from the bottom of my heart.\It's like someone is telling me that I must\defeat more foes and survive!\That is precisely why I watch these videos.\When I watch them, I feel as though I am truly alive. response:	By experiencing the ritual related to the creation and birth of new life,
context: That's not what I meant.\The realization that I'm alive\gushes up from the bottom of my heart.\It's like someone is telling me that I must\defeat more foes and survive!\That is precisely why I watch these videos.\When I watch them, I feel as though I am truly alive.\By experiencing the ritual related to the creation and birth of new life, response:	my resolve to fight to protect the next generation...
context: The realization that I'm alive\gushes up from the bottom of my heart.\It's like someone is telling me that I must\defeat more foes and survive!\That is precisely why I watch these videos.\When I watch them, I feel as though I am truly alive.\By experiencing the ritual related to the creation and birth of new life,\my resolve to fight to protect the next generation... response:	Uh, what was I gonna say?
context: gushes up from the bottom of my heart.\It's like someone is telling me that I must\defeat more foes and survive!\That is precisely why I watch these videos.\When I watch them, I feel as though I am truly alive.\By experiencing the ritual related to the creation and birth of new life,\my resolve to fight to protect the next generation...\Uh, what was I gonna say? response:	You were trying to sound cool and failed!
context: It's like someone is telling me that I must\defeat more foes and survive!\That is precisely why I watch these videos.\When I watch them, I feel as though I am truly alive.\By experiencing the ritual related to the creation and birth of new life,\my resolve to fight to protect the next generation...\Uh, what was I gonna say?\You were trying to sound cool and failed! response:	No surprise coming from a failure at life.
context: defeat more foes and survive!\That is precisely why I watch these videos.\When I watch them, I feel as though I am truly alive.\By experiencing the ritual related to the creation and birth of new life,\my resolve to fight to protect the next generation...\Uh, what was I gonna say?\You were trying to sound cool and failed!\No surprise coming from a failure at life. response:	Who'd you call a failure?!
context: That is precisely why I watch these videos.\When I watch them, I feel as though I am truly alive.\By experiencing the ritual related to the creation and birth of new life,\my resolve to fight to protect the next generation...\Uh, what was I gonna say?\You were trying to sound cool and failed!\No surprise coming from a failure at life.\Who'd you call a failure?! response:	That's your nickname!
context: When I watch them, I feel as though I am truly alive.\By experiencing the ritual related to the creation and birth of new life,\my resolve to fight to protect the next generation...\Uh, what was I gonna say?\You were trying to sound cool and failed!\No surprise coming from a failure at life.\Who'd you call a failure?!\That's your nickname! response:	I'm a bummer!
context: By experiencing the ritual related to the creation and birth of new life,\my resolve to fight to protect the next generation...\Uh, what was I gonna say?\You were trying to sound cool and failed!\No surprise coming from a failure at life.\Who'd you call a failure?!\That's your nickname!\I'm a bummer! response:	I can't hear a thing! I can't see a thing!
context: my resolve to fight to protect the next generation...\Uh, what was I gonna say?\You were trying to sound cool and failed!\No surprise coming from a failure at life.\Who'd you call a failure?!\That's your nickname!\I'm a bummer!\I can't hear a thing! I can't see a thing! response:	Don't call yourself that!
context: Uh, what was I gonna say?\You were trying to sound cool and failed!\No surprise coming from a failure at life.\Who'd you call a failure?!\That's your nickname!\I'm a bummer!\I can't hear a thing! I can't see a thing!\Don't call yourself that! response:	I-I know!
context: You were trying to sound cool and failed!\No surprise coming from a failure at life.\Who'd you call a failure?!\That's your nickname!\I'm a bummer!\I can't hear a thing! I can't see a thing!\Don't call yourself that!\I-I know! response:	Guys, what do you plan on doing once the war is over?
context: No surprise coming from a failure at life.\Who'd you call a failure?!\That's your nickname!\I'm a bummer!\I can't hear a thing! I can't see a thing!\Don't call yourself that!\I-I know!\Guys, what do you plan on doing once the war is over? response:	To be honest, there is something I'd like to do.
context: Who'd you call a failure?!\That's your nickname!\I'm a bummer!\I can't hear a thing! I can't see a thing!\Don't call yourself that!\I-I know!\Guys, what do you plan on doing once the war is over?\To be honest, there is something I'd like to do. response:	Huh? Did I say something wrong?
context: That's your nickname!\I'm a bummer!\I can't hear a thing! I can't see a thing!\Don't call yourself that!\I-I know!\Guys, what do you plan on doing once the war is over?\To be honest, there is something I'd like to do.\Huh? Did I say something wrong? response:	Nah, not really.
context: I'm a bummer!\I can't hear a thing! I can't see a thing!\Don't call yourself that!\I-I know!\Guys, what do you plan on doing once the war is over?\To be honest, there is something I'd like to do.\Huh? Did I say something wrong?\Nah, not really. response:	Just wonderin', is Patrick an airhead?
context: I can't hear a thing! I can't see a thing!\Don't call yourself that!\I-I know!\Guys, what do you plan on doing once the war is over?\To be honest, there is something I'd like to do.\Huh? Did I say something wrong?\Nah, not really.\Just wonderin', is Patrick an airhead? response:	That's right.
context: Don't call yourself that!\I-I know!\Guys, what do you plan on doing once the war is over?\To be honest, there is something I'd like to do.\Huh? Did I say something wrong?\Nah, not really.\Just wonderin', is Patrick an airhead?\That's right. response:	Then I shouldn't hold it against him.
context: I-I know!\Guys, what do you plan on doing once the war is over?\To be honest, there is something I'd like to do.\Huh? Did I say something wrong?\Nah, not really.\Just wonderin', is Patrick an airhead?\That's right.\Then I shouldn't hold it against him. response:	Oh, yeah! I ordered a new video, so you can have this one.
context: Guys, what do you plan on doing once the war is over?\To be honest, there is something I'd like to do.\Huh? Did I say something wrong?\Nah, not really.\Just wonderin', is Patrick an airhead?\That's right.\Then I shouldn't hold it against him.\Oh, yeah! I ordered a new video, so you can have this one. response:	Thank you very much!
context: To be honest, there is something I'd like to do.\Huh? Did I say something wrong?\Nah, not really.\Just wonderin', is Patrick an airhead?\That's right.\Then I shouldn't hold it against him.\Oh, yeah! I ordered a new video, so you can have this one.\Thank you very much! response:	Don't wind up makin' that girl cry with all these videos!
context: Huh? Did I say something wrong?\Nah, not really.\Just wonderin', is Patrick an airhead?\That's right.\Then I shouldn't hold it against him.\Oh, yeah! I ordered a new video, so you can have this one.\Thank you very much!\Don't wind up makin' that girl cry with all these videos! response:	Who is that girl?
context: Nah, not really.\Just wonderin', is Patrick an airhead?\That's right.\Then I shouldn't hold it against him.\Oh, yeah! I ordered a new video, so you can have this one.\Thank you very much!\Don't wind up makin' that girl cry with all these videos!\Who is that girl? response:	Meh, forget it.
context: Just wonderin', is Patrick an airhead?\That's right.\Then I shouldn't hold it against him.\Oh, yeah! I ordered a new video, so you can have this one.\Thank you very much!\Don't wind up makin' that girl cry with all these videos!\Who is that girl?\Meh, forget it. response:	This? I have a fiancee back on Earth.
context: That's right.\Then I shouldn't hold it against him.\Oh, yeah! I ordered a new video, so you can have this one.\Thank you very much!\Don't wind up makin' that girl cry with all these videos!\Who is that girl?\Meh, forget it.\This? I have a fiancee back on Earth. response:	A fiancee?
context: Then I shouldn't hold it against him.\Oh, yeah! I ordered a new video, so you can have this one.\Thank you very much!\Don't wind up makin' that girl cry with all these videos!\Who is that girl?\Meh, forget it.\This? I have a fiancee back on Earth.\A fiancee? response:	Yeah. My parents picked her out back when I was a kid.
context: Oh, yeah! I ordered a new video, so you can have this one.\Thank you very much!\Don't wind up makin' that girl cry with all these videos!\Who is that girl?\Meh, forget it.\This? I have a fiancee back on Earth.\A fiancee?\Yeah. My parents picked her out back when I was a kid. response:	But when I met her, she was just so cute and kind!
context: Thank you very much!\Don't wind up makin' that girl cry with all these videos!\Who is that girl?\Meh, forget it.\This? I have a fiancee back on Earth.\A fiancee?\Yeah. My parents picked her out back when I was a kid.\But when I met her, she was just so cute and kind! response:	She's also very kind hearted, domestic and understanding!
context: Don't wind up makin' that girl cry with all these videos!\Who is that girl?\Meh, forget it.\This? I have a fiancee back on Earth.\A fiancee?\Yeah. My parents picked her out back when I was a kid.\But when I met her, she was just so cute and kind!\She's also very kind hearted, domestic and understanding! response:	I fell in love at first sight.
context: Who is that girl?\Meh, forget it.\This? I have a fiancee back on Earth.\A fiancee?\Yeah. My parents picked her out back when I was a kid.\But when I met her, she was just so cute and kind!\She's also very kind hearted, domestic and understanding!\I fell in love at first sight. response:	Aren't you getting married when the war is over?
