context: A whole colony of Demon Bats! response:	They're the Demon Bats!
context: The village...\Don't grieve over them, Shiori.\They're the ones who harassed you and your mother.\Don't worry.\If you protect me with the barrier,\I will spare your mother's life.\No need to hold back.\Annihilate the entire village! response:	Hold it!
context: Don't grieve over them, Shiori.\They're the ones who harassed you and your mother.\Don't worry.\If you protect me with the barrier,\I will spare your mother's life.\No need to hold back.\Annihilate the entire village!\Hold it! response:	Iron-reaver, Soul-stealer!
context: They're the ones who harassed you and your mother.\Don't worry.\If you protect me with the barrier,\I will spare your mother's life.\No need to hold back.\Annihilate the entire village!\Hold it!\Iron-reaver, Soul-stealer! response:	You old bastard! You won't get away with this!
context: Don't worry.\If you protect me with the barrier,\I will spare your mother's life.\No need to hold back.\Annihilate the entire village!\Hold it!\Iron-reaver, Soul-stealer!\You old bastard! You won't get away with this! response:	You're an eyesore, kid!
context: If you protect me with the barrier,\I will spare your mother's life.\No need to hold back.\Annihilate the entire village!\Hold it!\Iron-reaver, Soul-stealer!\You old bastard! You won't get away with this!\You're an eyesore, kid! response:	Why you!
context: I will spare your mother's life.\No need to hold back.\Annihilate the entire village!\Hold it!\Iron-reaver, Soul-stealer!\You old bastard! You won't get away with this!\You're an eyesore, kid!\Why you! response:	Inuyasha!
context: No need to hold back.\Annihilate the entire village!\Hold it!\Iron-reaver, Soul-stealer!\You old bastard! You won't get away with this!\You're an eyesore, kid!\Why you!\Inuyasha! response:	Attaway, Miroku! Let'em have it!
context: Annihilate the entire village!\Hold it!\Iron-reaver, Soul-stealer!\You old bastard! You won't get away with this!\You're an eyesore, kid!\Why you!\Inuyasha!\Attaway, Miroku! Let'em have it! response:	Keep it up!
context: Hold it!\Iron-reaver, Soul-stealer!\You old bastard! You won't get away with this!\You're an eyesore, kid!\Why you!\Inuyasha!\Attaway, Miroku! Let'em have it!\Keep it up! response:	Inuyasha!
context: Iron-reaver, Soul-stealer!\You old bastard! You won't get away with this!\You're an eyesore, kid!\Why you!\Inuyasha!\Attaway, Miroku! Let'em have it!\Keep it up!\Inuyasha! response:	You're late! Where were you dawdling!
context: You old bastard! You won't get away with this!\You're an eyesore, kid!\Why you!\Inuyasha!\Attaway, Miroku! Let'em have it!\Keep it up!\Inuyasha!\You're late! Where were you dawdling! response:	How many of'em are there anyway?
context: You're an eyesore, kid!\Why you!\Inuyasha!\Attaway, Miroku! Let'em have it!\Keep it up!\Inuyasha!\You're late! Where were you dawdling!\How many of'em are there anyway? response:	There's no end to this!
context: Why you!\Inuyasha!\Attaway, Miroku! Let'em have it!\Keep it up!\Inuyasha!\You're late! Where were you dawdling!\How many of'em are there anyway?\There's no end to this! response:	I'll get the small fry!
context: Inuyasha!\Attaway, Miroku! Let'em have it!\Keep it up!\Inuyasha!\You're late! Where were you dawdling!\How many of'em are there anyway?\There's no end to this!\I'll get the small fry! response:	Hiraikotsu!
context: Attaway, Miroku! Let'em have it!\Keep it up!\Inuyasha!\You're late! Where were you dawdling!\How many of'em are there anyway?\There's no end to this!\I'll get the small fry!\Hiraikotsu! response:	The barrier!
context: Keep it up!\Inuyasha!\You're late! Where were you dawdling!\How many of'em are there anyway?\There's no end to this!\I'll get the small fry!\Hiraikotsu!\The barrier! response:	It turned back the Hiraikotsu!
context: Inuyasha!\You're late! Where were you dawdling!\How many of'em are there anyway?\There's no end to this!\I'll get the small fry!\Hiraikotsu!\The barrier!\It turned back the Hiraikotsu! response:	This isn't good.
context: You're late! Where were you dawdling!\How many of'em are there anyway?\There's no end to this!\I'll get the small fry!\Hiraikotsu!\The barrier!\It turned back the Hiraikotsu!\This isn't good. response:	As long as Shiori is around, I cannot use my Wind Tunnel.
context: How many of'em are there anyway?\There's no end to this!\I'll get the small fry!\Hiraikotsu!\The barrier!\It turned back the Hiraikotsu!\This isn't good.\As long as Shiori is around, I cannot use my Wind Tunnel. response:	What's the matter? Can't make a move?
context: There's no end to this!\I'll get the small fry!\Hiraikotsu!\The barrier!\It turned back the Hiraikotsu!\This isn't good.\As long as Shiori is around, I cannot use my Wind Tunnel.\What's the matter? Can't make a move? response:	Damn!
context: I'll get the small fry!\Hiraikotsu!\The barrier!\It turned back the Hiraikotsu!\This isn't good.\As long as Shiori is around, I cannot use my Wind Tunnel.\What's the matter? Can't make a move?\Damn! response:	Isn't there some way to separate Shiori from Taigokumaru?
context: Hiraikotsu!\The barrier!\It turned back the Hiraikotsu!\This isn't good.\As long as Shiori is around, I cannot use my Wind Tunnel.\What's the matter? Can't make a move?\Damn!\Isn't there some way to separate Shiori from Taigokumaru? response:	If there is, please do it!
context: The barrier!\It turned back the Hiraikotsu!\This isn't good.\As long as Shiori is around, I cannot use my Wind Tunnel.\What's the matter? Can't make a move?\Damn!\Isn't there some way to separate Shiori from Taigokumaru?\If there is, please do it! response:	Huh?
context: It turned back the Hiraikotsu!\This isn't good.\As long as Shiori is around, I cannot use my Wind Tunnel.\What's the matter? Can't make a move?\Damn!\Isn't there some way to separate Shiori from Taigokumaru?\If there is, please do it!\Huh? response:	Please! Do something about them!
context: This isn't good.\As long as Shiori is around, I cannot use my Wind Tunnel.\What's the matter? Can't make a move?\Damn!\Isn't there some way to separate Shiori from Taigokumaru?\If there is, please do it!\Huh?\Please! Do something about them! response:	We'll all be killed!
context: As long as Shiori is around, I cannot use my Wind Tunnel.\What's the matter? Can't make a move?\Damn!\Isn't there some way to separate Shiori from Taigokumaru?\If there is, please do it!\Huh?\Please! Do something about them!\We'll all be killed! response:	The villagers!
context: What's the matter? Can't make a move?\Damn!\Isn't there some way to separate Shiori from Taigokumaru?\If there is, please do it!\Huh?\Please! Do something about them!\We'll all be killed!\The villagers! response:	But that's only after I get Shiori back.
context: Damn!\Isn't there some way to separate Shiori from Taigokumaru?\If there is, please do it!\Huh?\Please! Do something about them!\We'll all be killed!\The villagers!\But that's only after I get Shiori back. response:	That's crazy!
context: Isn't there some way to separate Shiori from Taigokumaru?\If there is, please do it!\Huh?\Please! Do something about them!\We'll all be killed!\The villagers!\But that's only after I get Shiori back.\That's crazy! response:	Besides, Shiori is on their side!
context: If there is, please do it!\Huh?\Please! Do something about them!\We'll all be killed!\The villagers!\But that's only after I get Shiori back.\That's crazy!\Besides, Shiori is on their side! response:	You want me to kill her, too?
context: Huh?\Please! Do something about them!\We'll all be killed!\The villagers!\But that's only after I get Shiori back.\That's crazy!\Besides, Shiori is on their side!\You want me to kill her, too? response:	l-It can't be helped.
context: Please! Do something about them!\We'll all be killed!\The villagers!\But that's only after I get Shiori back.\That's crazy!\Besides, Shiori is on their side!\You want me to kill her, too?\l-It can't be helped. response:	Shiori is a demon's child, after all.
context: We'll all be killed!\The villagers!\But that's only after I get Shiori back.\That's crazy!\Besides, Shiori is on their side!\You want me to kill her, too?\l-It can't be helped.\Shiori is a demon's child, after all. response:	How cruel!
context: The villagers!\But that's only after I get Shiori back.\That's crazy!\Besides, Shiori is on their side!\You want me to kill her, too?\l-It can't be helped.\Shiori is a demon's child, after all.\How cruel! response:	Shiori was given up by her mother to the Demon Bats
context: But that's only after I get Shiori back.\That's crazy!\Besides, Shiori is on their side!\You want me to kill her, too?\l-It can't be helped.\Shiori is a demon's child, after all.\How cruel!\Shiori was given up by her mother to the Demon Bats response:	to save your village!
context: That's crazy!\Besides, Shiori is on their side!\You want me to kill her, too?\l-It can't be helped.\Shiori is a demon's child, after all.\How cruel!\Shiori was given up by her mother to the Demon Bats\to save your village! response:	So selfish!
context: Besides, Shiori is on their side!\You want me to kill her, too?\l-It can't be helped.\Shiori is a demon's child, after all.\How cruel!\Shiori was given up by her mother to the Demon Bats\to save your village!\So selfish! response:	Miroku, doesn't Inuyasha despise people like them?
context: You want me to kill her, too?\l-It can't be helped.\Shiori is a demon's child, after all.\How cruel!\Shiori was given up by her mother to the Demon Bats\to save your village!\So selfish!\Miroku, doesn't Inuyasha despise people like them? response:	Well, he's been through the same experience.
context: l-It can't be helped.\Shiori is a demon's child, after all.\How cruel!\Shiori was given up by her mother to the Demon Bats\to save your village!\So selfish!\Miroku, doesn't Inuyasha despise people like them?\Well, he's been through the same experience. response:	Did you hear, Shiori?
context: Shiori is a demon's child, after all.\How cruel!\Shiori was given up by her mother to the Demon Bats\to save your village!\So selfish!\Miroku, doesn't Inuyasha despise people like them?\Well, he's been through the same experience.\Did you hear, Shiori? response:	What do you want?
context: How cruel!\Shiori was given up by her mother to the Demon Bats\to save your village!\So selfish!\Miroku, doesn't Inuyasha despise people like them?\Well, he's been through the same experience.\Did you hear, Shiori?\What do you want? response:	Huh?
context: Shiori was given up by her mother to the Demon Bats\to save your village!\So selfish!\Miroku, doesn't Inuyasha despise people like them?\Well, he's been through the same experience.\Did you hear, Shiori?\What do you want?\Huh? response:	Even if you return to a village like this,
context: to save your village!\So selfish!\Miroku, doesn't Inuyasha despise people like them?\Well, he's been through the same experience.\Did you hear, Shiori?\What do you want?\Huh?\Even if you return to a village like this, response:	no good may come of it.
context: So selfish!\Miroku, doesn't Inuyasha despise people like them?\Well, he's been through the same experience.\Did you hear, Shiori?\What do you want?\Huh?\Even if you return to a village like this,\no good may come of it. response:	Do you still want to return?
context: Miroku, doesn't Inuyasha despise people like them?\Well, he's been through the same experience.\Did you hear, Shiori?\What do you want?\Huh?\Even if you return to a village like this,\no good may come of it.\Do you still want to return? response:	He came earlier to the nest today with Mommy.
context: Well, he's been through the same experience.\Did you hear, Shiori?\What do you want?\Huh?\Even if you return to a village like this,\no good may come of it.\Do you still want to return?\He came earlier to the nest today with Mommy. response:	If you still want to return home, I will help you!
context: Did you hear, Shiori?\What do you want?\Huh?\Even if you return to a village like this,\no good may come of it.\Do you still want to return?\He came earlier to the nest today with Mommy.\If you still want to return home, I will help you! response:	Help?
context: What do you want?\Huh?\Even if you return to a village like this,\no good may come of it.\Do you still want to return?\He came earlier to the nest today with Mommy.\If you still want to return home, I will help you!\Help? response:	You brat!
context: Huh?\Even if you return to a village like this,\no good may come of it.\Do you still want to return?\He came earlier to the nest today with Mommy.\If you still want to return home, I will help you!\Help?\You brat! response:	You think you can defeat me, Taigokumaru?!
context: Even if you return to a village like this,\no good may come of it.\Do you still want to return?\He came earlier to the nest today with Mommy.\If you still want to return home, I will help you!\Help?\You brat!\You think you can defeat me, Taigokumaru?! response:	You reek with the smell of a half-demon!
context: no good may come of it.\Do you still want to return?\He came earlier to the nest today with Mommy.\If you still want to return home, I will help you!\Help?\You brat!\You think you can defeat me, Taigokumaru?!\You reek with the smell of a half-demon! response:	Shaddup!
context: Do you still want to return?\He came earlier to the nest today with Mommy.\If you still want to return home, I will help you!\Help?\You brat!\You think you can defeat me, Taigokumaru?!\You reek with the smell of a half-demon!\Shaddup! response:	So what of it?
context: He came earlier to the nest today with Mommy.\If you still want to return home, I will help you!\Help?\You brat!\You think you can defeat me, Taigokumaru?!\You reek with the smell of a half-demon!\Shaddup!\So what of it? response:	You're thinking of your own situation
context: If you still want to return home, I will help you!\Help?\You brat!\You think you can defeat me, Taigokumaru?!\You reek with the smell of a half-demon!\Shaddup!\So what of it?\You're thinking of your own situation response:	and feeling sorry for Shiori.
context: Help?\You brat!\You think you can defeat me, Taigokumaru?!\You reek with the smell of a half-demon!\Shaddup!\So what of it?\You're thinking of your own situation\and feeling sorry for Shiori. response:	I hate old rotten bats like you, is all!
context: You brat!\You think you can defeat me, Taigokumaru?!\You reek with the smell of a half-demon!\Shaddup!\So what of it?\You're thinking of your own situation\and feeling sorry for Shiori.\I hate old rotten bats like you, is all! response:	Half-demon? He's the same as me.
context: You think you can defeat me, Taigokumaru?!\You reek with the smell of a half-demon!\Shaddup!\So what of it?\You're thinking of your own situation\and feeling sorry for Shiori.\I hate old rotten bats like you, is all!\Half-demon? He's the same as me. response:	Shiori! Make up your mind!
context: You reek with the smell of a half-demon!\Shaddup!\So what of it?\You're thinking of your own situation\and feeling sorry for Shiori.\I hate old rotten bats like you, is all!\Half-demon? He's the same as me.\Shiori! Make up your mind! response:	Do you want to stay or return home?
context: Shaddup!\So what of it?\You're thinking of your own situation\and feeling sorry for Shiori.\I hate old rotten bats like you, is all!\Half-demon? He's the same as me.\Shiori! Make up your mind!\Do you want to stay or return home? response:	I want to go home.
context: So what of it?\You're thinking of your own situation\and feeling sorry for Shiori.\I hate old rotten bats like you, is all!\Half-demon? He's the same as me.\Shiori! Make up your mind!\Do you want to stay or return home?\I want to go home. response:	To Mommy.
context: You're thinking of your own situation\and feeling sorry for Shiori.\I hate old rotten bats like you, is all!\Half-demon? He's the same as me.\Shiori! Make up your mind!\Do you want to stay or return home?\I want to go home.\To Mommy. response:	But...
context: and feeling sorry for Shiori.\I hate old rotten bats like you, is all!\Half-demon? He's the same as me.\Shiori! Make up your mind!\Do you want to stay or return home?\I want to go home.\To Mommy.\But... response:	Huh?
context: I hate old rotten bats like you, is all!\Half-demon? He's the same as me.\Shiori! Make up your mind!\Do you want to stay or return home?\I want to go home.\To Mommy.\But...\Huh? response:	Mommy...
context: Half-demon? He's the same as me.\Shiori! Make up your mind!\Do you want to stay or return home?\I want to go home.\To Mommy.\But...\Huh?\Mommy... response:	Shiori!
context: Shiori! Make up your mind!\Do you want to stay or return home?\I want to go home.\To Mommy.\But...\Huh?\Mommy...\Shiori! response:	Huh?! Mommy!
context: Do you want to stay or return home?\I want to go home.\To Mommy.\But...\Huh?\Mommy...\Shiori!\Huh?! Mommy! response:	You understand, don't you, Shiori?
context: I want to go home.\To Mommy.\But...\Huh?\Mommy...\Shiori!\Huh?! Mommy!\You understand, don't you, Shiori? response:	Unless you continue to protect me by guarding the barrier,
context: To Mommy.\But...\Huh?\Mommy...\Shiori!\Huh?! Mommy!\You understand, don't you, Shiori?\Unless you continue to protect me by guarding the barrier, response:	your mother will die.
context: But...\Huh?\Mommy...\Shiori!\Huh?! Mommy!\You understand, don't you, Shiori?\Unless you continue to protect me by guarding the barrier,\your mother will die. response:	I don't know.
context: Huh?\Mommy...\Shiori!\Huh?! Mommy!\You understand, don't you, Shiori?\Unless you continue to protect me by guarding the barrier,\your mother will die.\I don't know. response:	I don't know what to do!
context: Mommy...\Shiori!\Huh?! Mommy!\You understand, don't you, Shiori?\Unless you continue to protect me by guarding the barrier,\your mother will die.\I don't know.\I don't know what to do! response:	Brat! Don't confuse Shiori!
context: Shiori!\Huh?! Mommy!\You understand, don't you, Shiori?\Unless you continue to protect me by guarding the barrier,\your mother will die.\I don't know.\I don't know what to do!\Brat! Don't confuse Shiori! response:	Shiori!
context: Huh?! Mommy!\You understand, don't you, Shiori?\Unless you continue to protect me by guarding the barrier,\your mother will die.\I don't know.\I don't know what to do!\Brat! Don't confuse Shiori!\Shiori! response:	Just protect yourself!
context: You understand, don't you, Shiori?\Unless you continue to protect me by guarding the barrier,\your mother will die.\I don't know.\I don't know what to do!\Brat! Don't confuse Shiori!\Shiori!\Just protect yourself! response:	You brat!
context: Unless you continue to protect me by guarding the barrier,\your mother will die.\I don't know.\I don't know what to do!\Brat! Don't confuse Shiori!\Shiori!\Just protect yourself!\You brat! response:	Is that the power of the barrier?
context: your mother will die.\I don't know.\I don't know what to do!\Brat! Don't confuse Shiori!\Shiori!\Just protect yourself!\You brat!\Is that the power of the barrier? response:	Good work, Shiori!
context: I don't know.\I don't know what to do!\Brat! Don't confuse Shiori!\Shiori!\Just protect yourself!\You brat!\Is that the power of the barrier?\Good work, Shiori! response:	That's what you must do.
context: I don't know what to do!\Brat! Don't confuse Shiori!\Shiori!\Just protect yourself!\You brat!\Is that the power of the barrier?\Good work, Shiori!\That's what you must do. response:	If just a part of Taigokumaru's body goes outside the barrier,
context: Brat! Don't confuse Shiori!\Shiori!\Just protect yourself!\You brat!\Is that the power of the barrier?\Good work, Shiori!\That's what you must do.\If just a part of Taigokumaru's body goes outside the barrier, response:	I thought I'd have a chance.
context: Shiori!\Just protect yourself!\You brat!\Is that the power of the barrier?\Good work, Shiori!\That's what you must do.\If just a part of Taigokumaru's body goes outside the barrier,\I thought I'd have a chance. response:	But doesn't Shiori have the power to adjust the size of the barrier?
context: Just protect yourself!\You brat!\Is that the power of the barrier?\Good work, Shiori!\That's what you must do.\If just a part of Taigokumaru's body goes outside the barrier,\I thought I'd have a chance.\But doesn't Shiori have the power to adjust the size of the barrier? response:	Watch out, everyone! Get away!
context: You brat!\Is that the power of the barrier?\Good work, Shiori!\That's what you must do.\If just a part of Taigokumaru's body goes outside the barrier,\I thought I'd have a chance.\But doesn't Shiori have the power to adjust the size of the barrier?\Watch out, everyone! Get away! response:	The village...
context: Is that the power of the barrier?\Good work, Shiori!\That's what you must do.\If just a part of Taigokumaru's body goes outside the barrier,\I thought I'd have a chance.\But doesn't Shiori have the power to adjust the size of the barrier?\Watch out, everyone! Get away!\The village... response:	H-Help!
context: Good work, Shiori!\That's what you must do.\If just a part of Taigokumaru's body goes outside the barrier,\I thought I'd have a chance.\But doesn't Shiori have the power to adjust the size of the barrier?\Watch out, everyone! Get away!\The village...\H-Help! response:	I have no use for this village any longer.
context: That's what you must do.\If just a part of Taigokumaru's body goes outside the barrier,\I thought I'd have a chance.\But doesn't Shiori have the power to adjust the size of the barrier?\Watch out, everyone! Get away!\The village...\H-Help!\I have no use for this village any longer. response:	Get rid of all of them.
context: If just a part of Taigokumaru's body goes outside the barrier,\I thought I'd have a chance.\But doesn't Shiori have the power to adjust the size of the barrier?\Watch out, everyone! Get away!\The village...\H-Help!\I have no use for this village any longer.\Get rid of all of them. response:	Taigokumaru!
context: I thought I'd have a chance.\But doesn't Shiori have the power to adjust the size of the barrier?\Watch out, everyone! Get away!\The village...\H-Help!\I have no use for this village any longer.\Get rid of all of them.\Taigokumaru! response:	Stop this now!
context: But doesn't Shiori have the power to adjust the size of the barrier?\Watch out, everyone! Get away!\The village...\H-Help!\I have no use for this village any longer.\Get rid of all of them.\Taigokumaru!\Stop this now! response:	Missus...
context: Watch out, everyone! Get away!\The village...\H-Help!\I have no use for this village any longer.\Get rid of all of them.\Taigokumaru!\Stop this now!\Missus... response:	This village was peaceful when your son, Tsukuyomaru, was alive.
context: The village...\H-Help!\I have no use for this village any longer.\Get rid of all of them.\Taigokumaru!\Stop this now!\Missus...\This village was peaceful when your son, Tsukuyomaru, was alive. response:	Because Tsukuyomaru protected us!
context: H-Help!\I have no use for this village any longer.\Get rid of all of them.\Taigokumaru!\Stop this now!\Missus...\This village was peaceful when your son, Tsukuyomaru, was alive.\Because Tsukuyomaru protected us! response:	He wished a happy life for Shiori and me,
context: I have no use for this village any longer.\Get rid of all of them.\Taigokumaru!\Stop this now!\Missus...\This village was peaceful when your son, Tsukuyomaru, was alive.\Because Tsukuyomaru protected us!\He wished a happy life for Shiori and me, response:	so he prevented attacks on our village.
context: Get rid of all of them.\Taigokumaru!\Stop this now!\Missus...\This village was peaceful when your son, Tsukuyomaru, was alive.\Because Tsukuyomaru protected us!\He wished a happy life for Shiori and me,\so he prevented attacks on our village. response:	Please!
context: Taigokumaru!\Stop this now!\Missus...\This village was peaceful when your son, Tsukuyomaru, was alive.\Because Tsukuyomaru protected us!\He wished a happy life for Shiori and me,\so he prevented attacks on our village.\Please! response:	Please honor Tsukuyomaru's wish!
context: Stop this now!\Missus...\This village was peaceful when your son, Tsukuyomaru, was alive.\Because Tsukuyomaru protected us!\He wished a happy life for Shiori and me,\so he prevented attacks on our village.\Please!\Please honor Tsukuyomaru's wish! response:	Honor his wish?!
context: Missus...\This village was peaceful when your son, Tsukuyomaru, was alive.\Because Tsukuyomaru protected us!\He wished a happy life for Shiori and me,\so he prevented attacks on our village.\Please!\Please honor Tsukuyomaru's wish!\Honor his wish?! response:	How absurd!
context: This village was peaceful when your son, Tsukuyomaru, was alive.\Because Tsukuyomaru protected us!\He wished a happy life for Shiori and me,\so he prevented attacks on our village.\Please!\Please honor Tsukuyomaru's wish!\Honor his wish?!\How absurd! response:	Tsukuyomaru was my son, but he was a fool!
context: Because Tsukuyomaru protected us!\He wished a happy life for Shiori and me,\so he prevented attacks on our village.\Please!\Please honor Tsukuyomaru's wish!\Honor his wish?!\How absurd!\Tsukuyomaru was my son, but he was a fool! response:	Falling in love with a mortal only hastened his death!
context: He wished a happy life for Shiori and me,\so he prevented attacks on our village.\Please!\Please honor Tsukuyomaru's wish!\Honor his wish?!\How absurd!\Tsukuyomaru was my son, but he was a fool!\Falling in love with a mortal only hastened his death! response:	What do you mean?
context: so he prevented attacks on our village.\Please!\Please honor Tsukuyomaru's wish!\Honor his wish?!\How absurd!\Tsukuyomaru was my son, but he was a fool!\Falling in love with a mortal only hastened his death!\What do you mean? response:	Just as you said,
context: Please!\Please honor Tsukuyomaru's wish!\Honor his wish?!\How absurd!\Tsukuyomaru was my son, but he was a fool!\Falling in love with a mortal only hastened his death!\What do you mean?\Just as you said, response:	Tsukuyomaru swore he would protect this village.
context: Please honor Tsukuyomaru's wish!\Honor his wish?!\How absurd!\Tsukuyomaru was my son, but he was a fool!\Falling in love with a mortal only hastened his death!\What do you mean?\Just as you said,\Tsukuyomaru swore he would protect this village. response:	And if he could not,
context: Honor his wish?!\How absurd!\Tsukuyomaru was my son, but he was a fool!\Falling in love with a mortal only hastened his death!\What do you mean?\Just as you said,\Tsukuyomaru swore he would protect this village.\And if he could not, response:	he threatened to abandon his duties as guardian of the barrier
context: How absurd!\Tsukuyomaru was my son, but he was a fool!\Falling in love with a mortal only hastened his death!\What do you mean?\Just as you said,\Tsukuyomaru swore he would protect this village.\And if he could not,\he threatened to abandon his duties as guardian of the barrier response:	and leave the tribe!
context: Tsukuyomaru was my son, but he was a fool!\Falling in love with a mortal only hastened his death!\What do you mean?\Just as you said,\Tsukuyomaru swore he would protect this village.\And if he could not,\he threatened to abandon his duties as guardian of the barrier\and leave the tribe! response:	Even his heart had been stolen by a mortal woman!
context: Falling in love with a mortal only hastened his death!\What do you mean?\Just as you said,\Tsukuyomaru swore he would protect this village.\And if he could not,\he threatened to abandon his duties as guardian of the barrier\and leave the tribe!\Even his heart had been stolen by a mortal woman! response:	That's why...
context: What do you mean?\Just as you said,\Tsukuyomaru swore he would protect this village.\And if he could not,\he threatened to abandon his duties as guardian of the barrier\and leave the tribe!\Even his heart had been stolen by a mortal woman!\That's why... response:	That's why?
context: Just as you said,\Tsukuyomaru swore he would protect this village.\And if he could not,\he threatened to abandon his duties as guardian of the barrier\and leave the tribe!\Even his heart had been stolen by a mortal woman!\That's why...\That's why? response:	Why what?
context: Tsukuyomaru swore he would protect this village.\And if he could not,\he threatened to abandon his duties as guardian of the barrier\and leave the tribe!\Even his heart had been stolen by a mortal woman!\That's why...\That's why?\Why what? response:	You didn't?!
context: And if he could not,\he threatened to abandon his duties as guardian of the barrier\and leave the tribe!\Even his heart had been stolen by a mortal woman!\That's why...\That's why?\Why what?\You didn't?! response:	Kill your own flesh and blood?
context: he threatened to abandon his duties as guardian of the barrier\and leave the tribe!\Even his heart had been stolen by a mortal woman!\That's why...\That's why?\Why what?\You didn't?!\Kill your own flesh and blood? response:	Exactly.
context: and leave the tribe!\Even his heart had been stolen by a mortal woman!\That's why...\That's why?\Why what?\You didn't?!\Kill your own flesh and blood?\Exactly. response:	I sent Tsukuyomaru to the netherworld.
context: Even his heart had been stolen by a mortal woman!\That's why...\That's why?\Why what?\You didn't?!\Kill your own flesh and blood?\Exactly.\I sent Tsukuyomaru to the netherworld. response:	Huh?!
context: That's why...\That's why?\Why what?\You didn't?!\Kill your own flesh and blood?\Exactly.\I sent Tsukuyomaru to the netherworld.\Huh?! response:	As long as I had Shiori, he was of no use.
context: That's why?\Why what?\You didn't?!\Kill your own flesh and blood?\Exactly.\I sent Tsukuyomaru to the netherworld.\Huh?!\As long as I had Shiori, he was of no use. response:	Missus!
context: Why what?\You didn't?!\Kill your own flesh and blood?\Exactly.\I sent Tsukuyomaru to the netherworld.\Huh?!\As long as I had Shiori, he was of no use.\Missus! response:	Hang on!
context: You didn't?!\Kill your own flesh and blood?\Exactly.\I sent Tsukuyomaru to the netherworld.\Huh?!\As long as I had Shiori, he was of no use.\Missus!\Hang on! response:	Taigokumaru, you're unforgivable!
context: Kill your own flesh and blood?\Exactly.\I sent Tsukuyomaru to the netherworld.\Huh?!\As long as I had Shiori, he was of no use.\Missus!\Hang on!\Taigokumaru, you're unforgivable! response:	I'll kill you!
context: Exactly.\I sent Tsukuyomaru to the netherworld.\Huh?!\As long as I had Shiori, he was of no use.\Missus!\Hang on!\Taigokumaru, you're unforgivable!\I'll kill you! response:	Just try it.
context: I sent Tsukuyomaru to the netherworld.\Huh?!\As long as I had Shiori, he was of no use.\Missus!\Hang on!\Taigokumaru, you're unforgivable!\I'll kill you!\Just try it. response:	However, as you can see,
context: Huh?!\As long as I had Shiori, he was of no use.\Missus!\Hang on!\Taigokumaru, you're unforgivable!\I'll kill you!\Just try it.\However, as you can see, response:	Shiori doesn't have the power to control the barrier.
context: As long as I had Shiori, he was of no use.\Missus!\Hang on!\Taigokumaru, you're unforgivable!\I'll kill you!\Just try it.\However, as you can see,\Shiori doesn't have the power to control the barrier. response:	And if somehow, your sword breaks through the barrier,
context: Missus!\Hang on!\Taigokumaru, you're unforgivable!\I'll kill you!\Just try it.\However, as you can see,\Shiori doesn't have the power to control the barrier.\And if somehow, your sword breaks through the barrier, response:	Shiori will die with me.
context: Hang on!\Taigokumaru, you're unforgivable!\I'll kill you!\Just try it.\However, as you can see,\Shiori doesn't have the power to control the barrier.\And if somehow, your sword breaks through the barrier,\Shiori will die with me. response:	Why you!
context: Taigokumaru, you're unforgivable!\I'll kill you!\Just try it.\However, as you can see,\Shiori doesn't have the power to control the barrier.\And if somehow, your sword breaks through the barrier,\Shiori will die with me.\Why you! response:	Are you confident of success, Inuyasha?
