context: By joining our revolt, Princess, you will strengthen our solidarity. response:	There will be a victory prayer service today at the new Royal Cathedral.
context: The colonies are ruled by the Kingdom, and their people make up most of the workforce,\but they are only granted the bare minimum of human rights.\Their outrage was inevitable.\Princess Charlotte, I swear this revolution will succeed.\Immigration, poverty, classism.\Those are the reasons you fight.\But I can't let you do it.\Not a revolution. response:	Zelda has set out for the new royal cathedral.
context: but they are only granted the bare minimum of human rights.\Their outrage was inevitable.\Princess Charlotte, I swear this revolution will succeed.\Immigration, poverty, classism.\Those are the reasons you fight.\But I can't let you do it.\Not a revolution.\Zelda has set out for the new royal cathedral. response:	In eight hours, the government will have changed hands.
context: Their outrage was inevitable.\Princess Charlotte, I swear this revolution will succeed.\Immigration, poverty, classism.\Those are the reasons you fight.\But I can't let you do it.\Not a revolution.\Zelda has set out for the new royal cathedral.\In eight hours, the government will have changed hands. response:	Just as we planned.
context: Princess Charlotte, I swear this revolution will succeed.\Immigration, poverty, classism.\Those are the reasons you fight.\But I can't let you do it.\Not a revolution.\Zelda has set out for the new royal cathedral.\In eight hours, the government will have changed hands.\Just as we planned. response:	I knew the old-fashioned intelligence committees' methods were outdated.
context: Immigration, poverty, classism.\Those are the reasons you fight.\But I can't let you do it.\Not a revolution.\Zelda has set out for the new royal cathedral.\In eight hours, the government will have changed hands.\Just as we planned.\I knew the old-fashioned intelligence committees' methods were outdated. response:	What happened to Seven?
context: Those are the reasons you fight.\But I can't let you do it.\Not a revolution.\Zelda has set out for the new royal cathedral.\In eight hours, the government will have changed hands.\Just as we planned.\I knew the old-fashioned intelligence committees' methods were outdated.\What happened to Seven? response:	What?
context: But I can't let you do it.\Not a revolution.\Zelda has set out for the new royal cathedral.\In eight hours, the government will have changed hands.\Just as we planned.\I knew the old-fashioned intelligence committees' methods were outdated.\What happened to Seven?\What? response:	Oh, she's out skiving off.
context: Not a revolution.\Zelda has set out for the new royal cathedral.\In eight hours, the government will have changed hands.\Just as we planned.\I knew the old-fashioned intelligence committees' methods were outdated.\What happened to Seven?\What?\Oh, she's out skiving off. response:	I have good news.
context: Zelda has set out for the new royal cathedral.\In eight hours, the government will have changed hands.\Just as we planned.\I knew the old-fashioned intelligence committees' methods were outdated.\What happened to Seven?\What?\Oh, she's out skiving off.\I have good news. response:	With Zelda's assistance,
context: In eight hours, the government will have changed hands.\Just as we planned.\I knew the old-fashioned intelligence committees' methods were outdated.\What happened to Seven?\What?\Oh, she's out skiving off.\I have good news.\With Zelda's assistance, response:	we've gained a powerful ally.
context: Just as we planned.\I knew the old-fashioned intelligence committees' methods were outdated.\What happened to Seven?\What?\Oh, she's out skiving off.\I have good news.\With Zelda's assistance,\we've gained a powerful ally. response:	The more people are around, the harder it will be to make any moves.
context: I knew the old-fashioned intelligence committees' methods were outdated.\What happened to Seven?\What?\Oh, she's out skiving off.\I have good news.\With Zelda's assistance,\we've gained a powerful ally.\The more people are around, the harder it will be to make any moves. response:	I have to do something while they still think I'm on their side.
context: What happened to Seven?\What?\Oh, she's out skiving off.\I have good news.\With Zelda's assistance,\we've gained a powerful ally.\The more people are around, the harder it will be to make any moves.\I have to do something while they still think I'm on their side. response:	I'm betting the odds of this revolution's success are less than one in ten.
context: What?\Oh, she's out skiving off.\I have good news.\With Zelda's assistance,\we've gained a powerful ally.\The more people are around, the harder it will be to make any moves.\I have to do something while they still think I'm on their side.\I'm betting the odds of this revolution's success are less than one in ten. response:	But that will be good enough.
context: Oh, she's out skiving off.\I have good news.\With Zelda's assistance,\we've gained a powerful ally.\The more people are around, the harder it will be to make any moves.\I have to do something while they still think I'm on their side.\I'm betting the odds of this revolution's success are less than one in ten.\But that will be good enough. response:	It will cause enough strife within the Kingdom
context: I have good news.\With Zelda's assistance,\we've gained a powerful ally.\The more people are around, the harder it will be to make any moves.\I have to do something while they still think I'm on their side.\I'm betting the odds of this revolution's success are less than one in ten.\But that will be good enough.\It will cause enough strife within the Kingdom response:	to give the Commonwealth's forces the perfect chance to invade.
context: With Zelda's assistance,\we've gained a powerful ally.\The more people are around, the harder it will be to make any moves.\I have to do something while they still think I'm on their side.\I'm betting the odds of this revolution's success are less than one in ten.\But that will be good enough.\It will cause enough strife within the Kingdom\to give the Commonwealth's forces the perfect chance to invade. response:	Control is backing this revolution, knowing it will fail?
context: we've gained a powerful ally.\The more people are around, the harder it will be to make any moves.\I have to do something while they still think I'm on their side.\I'm betting the odds of this revolution's success are less than one in ten.\But that will be good enough.\It will cause enough strife within the Kingdom\to give the Commonwealth's forces the perfect chance to invade.\Control is backing this revolution, knowing it will fail? response:	Does it hurt to think of your people?
context: The more people are around, the harder it will be to make any moves.\I have to do something while they still think I'm on their side.\I'm betting the odds of this revolution's success are less than one in ten.\But that will be good enough.\It will cause enough strife within the Kingdom\to give the Commonwealth's forces the perfect chance to invade.\Control is backing this revolution, knowing it will fail?\Does it hurt to think of your people? response:	I'd expect nothing less of the REAL princess.
context: I have to do something while they still think I'm on their side.\I'm betting the odds of this revolution's success are less than one in ten.\But that will be good enough.\It will cause enough strife within the Kingdom\to give the Commonwealth's forces the perfect chance to invade.\Control is backing this revolution, knowing it will fail?\Does it hurt to think of your people?\I'd expect nothing less of the REAL princess. response:	You were brilliant. At first, you even had me fooled.
context: I'm betting the odds of this revolution's success are less than one in ten.\But that will be good enough.\It will cause enough strife within the Kingdom\to give the Commonwealth's forces the perfect chance to invade.\Control is backing this revolution, knowing it will fail?\Does it hurt to think of your people?\I'd expect nothing less of the REAL princess.\You were brilliant. At first, you even had me fooled. response:	How did you dupe Ange?
context: But that will be good enough.\It will cause enough strife within the Kingdom\to give the Commonwealth's forces the perfect chance to invade.\Control is backing this revolution, knowing it will fail?\Does it hurt to think of your people?\I'd expect nothing less of the REAL princess.\You were brilliant. At first, you even had me fooled.\How did you dupe Ange? response:	I don't understand what you're saying.
context: It will cause enough strife within the Kingdom\to give the Commonwealth's forces the perfect chance to invade.\Control is backing this revolution, knowing it will fail?\Does it hurt to think of your people?\I'd expect nothing less of the REAL princess.\You were brilliant. At first, you even had me fooled.\How did you dupe Ange?\I don't understand what you're saying. response:	If you're thinking about stopping the revolution,
context: to give the Commonwealth's forces the perfect chance to invade.\Control is backing this revolution, knowing it will fail?\Does it hurt to think of your people?\I'd expect nothing less of the REAL princess.\You were brilliant. At first, you even had me fooled.\How did you dupe Ange?\I don't understand what you're saying.\If you're thinking about stopping the revolution, response:	you're wasting your energy.
context: Control is backing this revolution, knowing it will fail?\Does it hurt to think of your people?\I'd expect nothing less of the REAL princess.\You were brilliant. At first, you even had me fooled.\How did you dupe Ange?\I don't understand what you're saying.\If you're thinking about stopping the revolution,\you're wasting your energy. response:	If it comes down to it, I'll kill you myself.
context: Does it hurt to think of your people?\I'd expect nothing less of the REAL princess.\You were brilliant. At first, you even had me fooled.\How did you dupe Ange?\I don't understand what you're saying.\If you're thinking about stopping the revolution,\you're wasting your energy.\If it comes down to it, I'll kill you myself. response:	We're going to turn this revolution into a revenge war.
context: I'd expect nothing less of the REAL princess.\You were brilliant. At first, you even had me fooled.\How did you dupe Ange?\I don't understand what you're saying.\If you're thinking about stopping the revolution,\you're wasting your energy.\If it comes down to it, I'll kill you myself.\We're going to turn this revolution into a revenge war. response:	If you were going to run away anyway, I wish you'd left me out of this from the start!
context: You were brilliant. At first, you even had me fooled.\How did you dupe Ange?\I don't understand what you're saying.\If you're thinking about stopping the revolution,\you're wasting your energy.\If it comes down to it, I'll kill you myself.\We're going to turn this revolution into a revenge war.\If you were going to run away anyway, I wish you'd left me out of this from the start! response:	My life is not yours to play with!
context: How did you dupe Ange?\I don't understand what you're saying.\If you're thinking about stopping the revolution,\you're wasting your energy.\If it comes down to it, I'll kill you myself.\We're going to turn this revolution into a revenge war.\If you were going to run away anyway, I wish you'd left me out of this from the start!\My life is not yours to play with! response:	Princess?!
context: I don't understand what you're saying.\If you're thinking about stopping the revolution,\you're wasting your energy.\If it comes down to it, I'll kill you myself.\We're going to turn this revolution into a revenge war.\If you were going to run away anyway, I wish you'd left me out of this from the start!\My life is not yours to play with!\Princess?! response:	Wait!
context: If you're thinking about stopping the revolution,\you're wasting your energy.\If it comes down to it, I'll kill you myself.\We're going to turn this revolution into a revenge war.\If you were going to run away anyway, I wish you'd left me out of this from the start!\My life is not yours to play with!\Princess?!\Wait! response:	If Operation: Changeling means that one of us has to disappear,
context: you're wasting your energy.\If it comes down to it, I'll kill you myself.\We're going to turn this revolution into a revenge war.\If you were going to run away anyway, I wish you'd left me out of this from the start!\My life is not yours to play with!\Princess?!\Wait!\If Operation: Changeling means that one of us has to disappear, response:	then you can disappear without me.
context: If it comes down to it, I'll kill you myself.\We're going to turn this revolution into a revenge war.\If you were going to run away anyway, I wish you'd left me out of this from the start!\My life is not yours to play with!\Princess?!\Wait!\If Operation: Changeling means that one of us has to disappear,\then you can disappear without me. response:	From the day we met, I've always hated that about you.
context: We're going to turn this revolution into a revenge war.\If you were going to run away anyway, I wish you'd left me out of this from the start!\My life is not yours to play with!\Princess?!\Wait!\If Operation: Changeling means that one of us has to disappear,\then you can disappear without me.\From the day we met, I've always hated that about you. response:	Goodbye, Ange.
context: If you were going to run away anyway, I wish you'd left me out of this from the start!\My life is not yours to play with!\Princess?!\Wait!\If Operation: Changeling means that one of us has to disappear,\then you can disappear without me.\From the day we met, I've always hated that about you.\Goodbye, Ange. response:	Never let me see you again.
context: My life is not yours to play with!\Princess?!\Wait!\If Operation: Changeling means that one of us has to disappear,\then you can disappear without me.\From the day we met, I've always hated that about you.\Goodbye, Ange.\Never let me see you again. response:	No!
context: Princess?!\Wait!\If Operation: Changeling means that one of us has to disappear,\then you can disappear without me.\From the day we met, I've always hated that about you.\Goodbye, Ange.\Never let me see you again.\No! response:	This is...
context: Wait!\If Operation: Changeling means that one of us has to disappear,\then you can disappear without me.\From the day we met, I've always hated that about you.\Goodbye, Ange.\Never let me see you again.\No!\This is... response:	But it's the old you that I love so much.
context: If Operation: Changeling means that one of us has to disappear,\then you can disappear without me.\From the day we met, I've always hated that about you.\Goodbye, Ange.\Never let me see you again.\No!\This is...\But it's the old you that I love so much. response:	Princess?
context: then you can disappear without me.\From the day we met, I've always hated that about you.\Goodbye, Ange.\Never let me see you again.\No!\This is...\But it's the old you that I love so much.\Princess? response:	Mobilize the firefighters!
context: From the day we met, I've always hated that about you.\Goodbye, Ange.\Never let me see you again.\No!\This is...\But it's the old you that I love so much.\Princess?\Mobilize the firefighters! response:	Prepare to land, just in case!
context: Goodbye, Ange.\Never let me see you again.\No!\This is...\But it's the old you that I love so much.\Princess?\Mobilize the firefighters!\Prepare to land, just in case! response:	In here!
context: Never let me see you again.\No!\This is...\But it's the old you that I love so much.\Princess?\Mobilize the firefighters!\Prepare to land, just in case!\In here! response:	What's going on?
context: No!\This is...\But it's the old you that I love so much.\Princess?\Mobilize the firefighters!\Prepare to land, just in case!\In here!\What's going on? response:	Unbolt this door!
context: This is...\But it's the old you that I love so much.\Princess?\Mobilize the firefighters!\Prepare to land, just in case!\In here!\What's going on?\Unbolt this door! response:	Who are you?
context: But it's the old you that I love so much.\Princess?\Mobilize the firefighters!\Prepare to land, just in case!\In here!\What's going on?\Unbolt this door!\Who are you? response:	Hey, wait!
context: Princess?\Mobilize the firefighters!\Prepare to land, just in case!\In here!\What's going on?\Unbolt this door!\Who are you?\Hey, wait! response:	I have to be sure!
context: Mobilize the firefighters!\Prepare to land, just in case!\In here!\What's going on?\Unbolt this door!\Who are you?\Hey, wait!\I have to be sure! response:	That idiot!
context: Prepare to land, just in case!\In here!\What's going on?\Unbolt this door!\Who are you?\Hey, wait!\I have to be sure!\That idiot! response:	An ox?
context: In here!\What's going on?\Unbolt this door!\Who are you?\Hey, wait!\I have to be sure!\That idiot!\An ox? response:	Chancellor of the Realm
context: What's going on?\Unbolt this door!\Who are you?\Hey, wait!\I have to be sure!\That idiot!\An ox?\Chancellor of the Realm response:	and Ambassador Extraordinary and Plenipotentiary of the Eastern Land of Japan,
context: Unbolt this door!\Who are you?\Hey, wait!\I have to be sure!\That idiot!\An ox?\Chancellor of the Realm\and Ambassador Extraordinary and Plenipotentiary of the Eastern Land of Japan, response:	Lord Horikawa Masayasu desires to attend your nation's victory prayer service.
context: Who are you?\Hey, wait!\I have to be sure!\That idiot!\An ox?\Chancellor of the Realm\and Ambassador Extraordinary and Plenipotentiary of the Eastern Land of Japan,\Lord Horikawa Masayasu desires to attend your nation's victory prayer service. response:	First I have to figure out where Princess is.
context: Hey, wait!\I have to be sure!\That idiot!\An ox?\Chancellor of the Realm\and Ambassador Extraordinary and Plenipotentiary of the Eastern Land of Japan,\Lord Horikawa Masayasu desires to attend your nation's victory prayer service.\First I have to figure out where Princess is. response:	Yes.
context: I have to be sure!\That idiot!\An ox?\Chancellor of the Realm\and Ambassador Extraordinary and Plenipotentiary of the Eastern Land of Japan,\Lord Horikawa Masayasu desires to attend your nation's victory prayer service.\First I have to figure out where Princess is.\Yes. response:	Once the people find out that Princess was involved with the assassination of the Queen,
context: That idiot!\An ox?\Chancellor of the Realm\and Ambassador Extraordinary and Plenipotentiary of the Eastern Land of Japan,\Lord Horikawa Masayasu desires to attend your nation's victory prayer service.\First I have to figure out where Princess is.\Yes.\Once the people find out that Princess was involved with the assassination of the Queen, response:	the whole Kingdom will fall into chaos.
context: An ox?\Chancellor of the Realm\and Ambassador Extraordinary and Plenipotentiary of the Eastern Land of Japan,\Lord Horikawa Masayasu desires to attend your nation's victory prayer service.\First I have to figure out where Princess is.\Yes.\Once the people find out that Princess was involved with the assassination of the Queen,\the whole Kingdom will fall into chaos. response:	And we'll be finished with her as soon as the operation is over?
context: Chancellor of the Realm\and Ambassador Extraordinary and Plenipotentiary of the Eastern Land of Japan,\Lord Horikawa Masayasu desires to attend your nation's victory prayer service.\First I have to figure out where Princess is.\Yes.\Once the people find out that Princess was involved with the assassination of the Queen,\the whole Kingdom will fall into chaos.\And we'll be finished with her as soon as the operation is over? response:	What a pity.
context: and Ambassador Extraordinary and Plenipotentiary of the Eastern Land of Japan,\Lord Horikawa Masayasu desires to attend your nation's victory prayer service.\First I have to figure out where Princess is.\Yes.\Once the people find out that Princess was involved with the assassination of the Queen,\the whole Kingdom will fall into chaos.\And we'll be finished with her as soon as the operation is over?\What a pity. response:	What's wrong? What was that sound?
context: Lord Horikawa Masayasu desires to attend your nation's victory prayer service.\First I have to figure out where Princess is.\Yes.\Once the people find out that Princess was involved with the assassination of the Queen,\the whole Kingdom will fall into chaos.\And we'll be finished with her as soon as the operation is over?\What a pity.\What's wrong? What was that sound? response:	What happened?
context: First I have to figure out where Princess is.\Yes.\Once the people find out that Princess was involved with the assassination of the Queen,\the whole Kingdom will fall into chaos.\And we'll be finished with her as soon as the operation is over?\What a pity.\What's wrong? What was that sound?\What happened? response:	Where is Princess?
context: Yes.\Once the people find out that Princess was involved with the assassination of the Queen,\the whole Kingdom will fall into chaos.\And we'll be finished with her as soon as the operation is over?\What a pity.\What's wrong? What was that sound?\What happened?\Where is Princess? response:	Answer my question if you don't want to die.
context: Once the people find out that Princess was involved with the assassination of the Queen,\the whole Kingdom will fall into chaos.\And we'll be finished with her as soon as the operation is over?\What a pity.\What's wrong? What was that sound?\What happened?\Where is Princess?\Answer my question if you don't want to die. response:	The new... royal cathedral.
context: the whole Kingdom will fall into chaos.\And we'll be finished with her as soon as the operation is over?\What a pity.\What's wrong? What was that sound?\What happened?\Where is Princess?\Answer my question if you don't want to die.\The new... royal cathedral. response:	What are your plans?
context: And we'll be finished with her as soon as the operation is over?\What a pity.\What's wrong? What was that sound?\What happened?\Where is Princess?\Answer my question if you don't want to die.\The new... royal cathedral.\What are your plans? response:	T-to assassinate the Queen!
context: What a pity.\What's wrong? What was that sound?\What happened?\Where is Princess?\Answer my question if you don't want to die.\The new... royal cathedral.\What are your plans?\T-to assassinate the Queen! response:	To what end?
context: What's wrong? What was that sound?\What happened?\Where is Princess?\Answer my question if you don't want to die.\The new... royal cathedral.\What are your plans?\T-to assassinate the Queen!\To what end? response:	To put Princess at the center of the assassination...
context: What happened?\Where is Princess?\Answer my question if you don't want to die.\The new... royal cathedral.\What are your plans?\T-to assassinate the Queen!\To what end?\To put Princess at the center of the assassination... response:	And provoke the rebel army to action.
context: Where is Princess?\Answer my question if you don't want to die.\The new... royal cathedral.\What are your plans?\T-to assassinate the Queen!\To what end?\To put Princess at the center of the assassination...\And provoke the rebel army to action. response:	And that's where Zelda is?
context: Answer my question if you don't want to die.\The new... royal cathedral.\What are your plans?\T-to assassinate the Queen!\To what end?\To put Princess at the center of the assassination...\And provoke the rebel army to action.\And that's where Zelda is? response:	Yes.
context: The new... royal cathedral.\What are your plans?\T-to assassinate the Queen!\To what end?\To put Princess at the center of the assassination...\And provoke the rebel army to action.\And that's where Zelda is?\Yes. response:	Do you really think you can get away with this?
context: What are your plans?\T-to assassinate the Queen!\To what end?\To put Princess at the center of the assassination...\And provoke the rebel army to action.\And that's where Zelda is?\Yes.\Do you really think you can get away with this? response:	I'll be fine.
context: T-to assassinate the Queen!\To what end?\To put Princess at the center of the assassination...\And provoke the rebel army to action.\And that's where Zelda is?\Yes.\Do you really think you can get away with this?\I'll be fine. response:	As long as you don't talk.
context: To what end?\To put Princess at the center of the assassination...\And provoke the rebel army to action.\And that's where Zelda is?\Yes.\Do you really think you can get away with this?\I'll be fine.\As long as you don't talk. response:	Wait!
context: To put Princess at the center of the assassination...\And provoke the rebel army to action.\And that's where Zelda is?\Yes.\Do you really think you can get away with this?\I'll be fine.\As long as you don't talk.\Wait! response:	Goodbye.
context: And provoke the rebel army to action.\And that's where Zelda is?\Yes.\Do you really think you can get away with this?\I'll be fine.\As long as you don't talk.\Wait!\Goodbye. response:	You idiot!
context: And that's where Zelda is?\Yes.\Do you really think you can get away with this?\I'll be fine.\As long as you don't talk.\Wait!\Goodbye.\You idiot! response:	I was trying so hard to be discreet here!
context: Yes.\Do you really think you can get away with this?\I'll be fine.\As long as you don't talk.\Wait!\Goodbye.\You idiot!\I was trying so hard to be discreet here! response:	Dorothy? How...?
context: Do you really think you can get away with this?\I'll be fine.\As long as you don't talk.\Wait!\Goodbye.\You idiot!\I was trying so hard to be discreet here!\Dorothy? How...? response:	The government ordered me here to figure out Zelda's plot.
context: I'll be fine.\As long as you don't talk.\Wait!\Goodbye.\You idiot!\I was trying so hard to be discreet here!\Dorothy? How...?\The government ordered me here to figure out Zelda's plot. response:	They're playing musical chairs with the military and we got stuck in the middle.
context: As long as you don't talk.\Wait!\Goodbye.\You idiot!\I was trying so hard to be discreet here!\Dorothy? How...?\The government ordered me here to figure out Zelda's plot.\They're playing musical chairs with the military and we got stuck in the middle. response:	Things are pretty tense in the Commonwealth right now.
context: Wait!\Goodbye.\You idiot!\I was trying so hard to be discreet here!\Dorothy? How...?\The government ordered me here to figure out Zelda's plot.\They're playing musical chairs with the military and we got stuck in the middle.\Things are pretty tense in the Commonwealth right now. response:	Beatrice. Get over here.
context: Goodbye.\You idiot!\I was trying so hard to be discreet here!\Dorothy? How...?\The government ordered me here to figure out Zelda's plot.\They're playing musical chairs with the military and we got stuck in the middle.\Things are pretty tense in the Commonwealth right now.\Beatrice. Get over here. response:	It was Ange. She ruined our whole operation.
context: You idiot!\I was trying so hard to be discreet here!\Dorothy? How...?\The government ordered me here to figure out Zelda's plot.\They're playing musical chairs with the military and we got stuck in the middle.\Things are pretty tense in the Commonwealth right now.\Beatrice. Get over here.\It was Ange. She ruined our whole operation. response:	Dorothy.
context: I was trying so hard to be discreet here!\Dorothy? How...?\The government ordered me here to figure out Zelda's plot.\They're playing musical chairs with the military and we got stuck in the middle.\Things are pretty tense in the Commonwealth right now.\Beatrice. Get over here.\It was Ange. She ruined our whole operation.\Dorothy. response:	We have to go help Princess.
context: Dorothy? How...?\The government ordered me here to figure out Zelda's plot.\They're playing musical chairs with the military and we got stuck in the middle.\Things are pretty tense in the Commonwealth right now.\Beatrice. Get over here.\It was Ange. She ruined our whole operation.\Dorothy.\We have to go help Princess. response:	Rescuing Princess was not part of my mission directive.
context: The government ordered me here to figure out Zelda's plot.\They're playing musical chairs with the military and we got stuck in the middle.\Things are pretty tense in the Commonwealth right now.\Beatrice. Get over here.\It was Ange. She ruined our whole operation.\Dorothy.\We have to go help Princess.\Rescuing Princess was not part of my mission directive. response:	Oh.
context: They're playing musical chairs with the military and we got stuck in the middle.\Things are pretty tense in the Commonwealth right now.\Beatrice. Get over here.\It was Ange. She ruined our whole operation.\Dorothy.\We have to go help Princess.\Rescuing Princess was not part of my mission directive.\Oh. response:	We are spies.
context: Things are pretty tense in the Commonwealth right now.\Beatrice. Get over here.\It was Ange. She ruined our whole operation.\Dorothy.\We have to go help Princess.\Rescuing Princess was not part of my mission directive.\Oh.\We are spies. response:	I can't assist with anything outside of my mission.
context: Beatrice. Get over here.\It was Ange. She ruined our whole operation.\Dorothy.\We have to go help Princess.\Rescuing Princess was not part of my mission directive.\Oh.\We are spies.\I can't assist with anything outside of my mission. response:	But...
context: It was Ange. She ruined our whole operation.\Dorothy.\We have to go help Princess.\Rescuing Princess was not part of my mission directive.\Oh.\We are spies.\I can't assist with anything outside of my mission.\But... response:	If you ask me for a favor, as a friend...
context: Dorothy.\We have to go help Princess.\Rescuing Princess was not part of my mission directive.\Oh.\We are spies.\I can't assist with anything outside of my mission.\But...\If you ask me for a favor, as a friend... response:	I'll do everything in my power to help you.
context: We have to go help Princess.\Rescuing Princess was not part of my mission directive.\Oh.\We are spies.\I can't assist with anything outside of my mission.\But...\If you ask me for a favor, as a friend...\I'll do everything in my power to help you. response:	Thank you.
context: Rescuing Princess was not part of my mission directive.\Oh.\We are spies.\I can't assist with anything outside of my mission.\But...\If you ask me for a favor, as a friend...\I'll do everything in my power to help you.\Thank you. response:	Miss Ange is back?
context: Oh.\We are spies.\I can't assist with anything outside of my mission.\But...\If you ask me for a favor, as a friend...\I'll do everything in my power to help you.\Thank you.\Miss Ange is back? response:	Yup. She just got here.
context: We are spies.\I can't assist with anything outside of my mission.\But...\If you ask me for a favor, as a friend...\I'll do everything in my power to help you.\Thank you.\Miss Ange is back?\Yup. She just got here. response:	Where have you been?!
context: I can't assist with anything outside of my mission.\But...\If you ask me for a favor, as a friend...\I'll do everything in my power to help you.\Thank you.\Miss Ange is back?\Yup. She just got here.\Where have you been?! response:	We've been ready and waiting for ages!
context: But...\If you ask me for a favor, as a friend...\I'll do everything in my power to help you.\Thank you.\Miss Ange is back?\Yup. She just got here.\Where have you been?!\We've been ready and waiting for ages! response:	Waiting?
context: If you ask me for a favor, as a friend...\I'll do everything in my power to help you.\Thank you.\Miss Ange is back?\Yup. She just got here.\Where have you been?!\We've been ready and waiting for ages!\Waiting? response:	Yes! We know exactly where Her Highness is, but Dorothy said we had to wait until-
context: I'll do everything in my power to help you.\Thank you.\Miss Ange is back?\Yup. She just got here.\Where have you been?!\We've been ready and waiting for ages!\Waiting?\Yes! We know exactly where Her Highness is, but Dorothy said we had to wait until- response:	Liar!
context: Thank you.\Miss Ange is back?\Yup. She just got here.\Where have you been?!\We've been ready and waiting for ages!\Waiting?\Yes! We know exactly where Her Highness is, but Dorothy said we had to wait until-\Liar! response:	You can forgive a little white lie.
