context: So this is the city of Tokyo... response:	What a beautiful place.
context: I'd better not say anything that would offend someone from Tokyo...\A scarecrow?\Once again, I wasn't able to speak well.\I've always been bad at talking, so I've practiced a lot, but...\Hello, tanukis, bunnies, birds!\Which story should I read today?\Do you like Cinderella?\Animals sure do love you, Hina-chan. response:	That keeps the birds out of my fields, so I appreciate it.
context: A scarecrow?\Once again, I wasn't able to speak well.\I've always been bad at talking, so I've practiced a lot, but...\Hello, tanukis, bunnies, birds!\Which story should I read today?\Do you like Cinderella?\Animals sure do love you, Hina-chan.\That keeps the birds out of my fields, so I appreciate it. response:	I don't even need a scarecrow anymore.
context: Once again, I wasn't able to speak well.\I've always been bad at talking, so I've practiced a lot, but...\Hello, tanukis, bunnies, birds!\Which story should I read today?\Do you like Cinderella?\Animals sure do love you, Hina-chan.\That keeps the birds out of my fields, so I appreciate it.\I don't even need a scarecrow anymore. response:	U-Um...
context: I've always been bad at talking, so I've practiced a lot, but...\Hello, tanukis, bunnies, birds!\Which story should I read today?\Do you like Cinderella?\Animals sure do love you, Hina-chan.\That keeps the birds out of my fields, so I appreciate it.\I don't even need a scarecrow anymore.\U-Um... response:	Oh, my! You froze up!
context: Hello, tanukis, bunnies, birds!\Which story should I read today?\Do you like Cinderella?\Animals sure do love you, Hina-chan.\That keeps the birds out of my fields, so I appreciate it.\I don't even need a scarecrow anymore.\U-Um...\Oh, my! You froze up! response:	You look just like a scarecrow.
context: Which story should I read today?\Do you like Cinderella?\Animals sure do love you, Hina-chan.\That keeps the birds out of my fields, so I appreciate it.\I don't even need a scarecrow anymore.\U-Um...\Oh, my! You froze up!\You look just like a scarecrow. response:	For some reason, I was always being put to work as a scarecrow.
context: Do you like Cinderella?\Animals sure do love you, Hina-chan.\That keeps the birds out of my fields, so I appreciate it.\I don't even need a scarecrow anymore.\U-Um...\Oh, my! You froze up!\You look just like a scarecrow.\For some reason, I was always being put to work as a scarecrow. response:	I finally got into the high school of my dreams.
context: Animals sure do love you, Hina-chan.\That keeps the birds out of my fields, so I appreciate it.\I don't even need a scarecrow anymore.\U-Um...\Oh, my! You froze up!\You look just like a scarecrow.\For some reason, I was always being put to work as a scarecrow.\I finally got into the high school of my dreams. response:	I want to at least try to not freeze up in front of people,
context: That keeps the birds out of my fields, so I appreciate it.\I don't even need a scarecrow anymore.\U-Um...\Oh, my! You froze up!\You look just like a scarecrow.\For some reason, I was always being put to work as a scarecrow.\I finally got into the high school of my dreams.\I want to at least try to not freeze up in front of people, response:	-Japanese There's a quiz tomorrow We covered most of it yesterday -PE is basketball, so prepare gym shoes
context: I don't even need a scarecrow anymore.\U-Um...\Oh, my! You froze up!\You look just like a scarecrow.\For some reason, I was always being put to work as a scarecrow.\I finally got into the high school of my dreams.\I want to at least try to not freeze up in front of people,\-Japanese There's a quiz tomorrow We covered most of it yesterday -PE is basketball, so prepare gym shoes response:	-We're going to be doing oil painting in art, so wear clothes and an apron that can get dirty Preparations are necessary, so get to the art room early
context: U-Um...\Oh, my! You froze up!\You look just like a scarecrow.\For some reason, I was always being put to work as a scarecrow.\I finally got into the high school of my dreams.\I want to at least try to not freeze up in front of people,\-Japanese There's a quiz tomorrow We covered most of it yesterday -PE is basketball, so prepare gym shoes\-We're going to be doing oil painting in art, so wear clothes and an apron that can get dirty Preparations are necessary, so get to the art room early response:	and be able to talk easily with others.
context: Oh, my! You froze up!\You look just like a scarecrow.\For some reason, I was always being put to work as a scarecrow.\I finally got into the high school of my dreams.\I want to at least try to not freeze up in front of people,\-Japanese There's a quiz tomorrow We covered most of it yesterday -PE is basketball, so prepare gym shoes\-We're going to be doing oil painting in art, so wear clothes and an apron that can get dirty Preparations are necessary, so get to the art room early\and be able to talk easily with others. response:	And while I was worrying about that, I made it here...
context: You look just like a scarecrow.\For some reason, I was always being put to work as a scarecrow.\I finally got into the high school of my dreams.\I want to at least try to not freeze up in front of people,\-Japanese There's a quiz tomorrow We covered most of it yesterday -PE is basketball, so prepare gym shoes\-We're going to be doing oil painting in art, so wear clothes and an apron that can get dirty Preparations are necessary, so get to the art room early\and be able to talk easily with others.\And while I was worrying about that, I made it here... response:	Used Bookstore Hitotose
context: For some reason, I was always being put to work as a scarecrow.\I finally got into the high school of my dreams.\I want to at least try to not freeze up in front of people,\-Japanese There's a quiz tomorrow We covered most of it yesterday -PE is basketball, so prepare gym shoes\-We're going to be doing oil painting in art, so wear clothes and an apron that can get dirty Preparations are necessary, so get to the art room early\and be able to talk easily with others.\And while I was worrying about that, I made it here...\Used Bookstore Hitotose response:	This is where I'm staying?
context: I finally got into the high school of my dreams.\I want to at least try to not freeze up in front of people,\-Japanese There's a quiz tomorrow We covered most of it yesterday -PE is basketball, so prepare gym shoes\-We're going to be doing oil painting in art, so wear clothes and an apron that can get dirty Preparations are necessary, so get to the art room early\and be able to talk easily with others.\And while I was worrying about that, I made it here...\Used Bookstore Hitotose\This is where I'm staying? response:	I'm pretty sure it's the right address, but...
context: I want to at least try to not freeze up in front of people,\-Japanese There's a quiz tomorrow We covered most of it yesterday -PE is basketball, so prepare gym shoes\-We're going to be doing oil painting in art, so wear clothes and an apron that can get dirty Preparations are necessary, so get to the art room early\and be able to talk easily with others.\And while I was worrying about that, I made it here...\Used Bookstore Hitotose\This is where I'm staying?\I'm pretty sure it's the right address, but... response:	That employee is so pretty.
context: -Japanese There's a quiz tomorrow We covered most of it yesterday -PE is basketball, so prepare gym shoes\-We're going to be doing oil painting in art, so wear clothes and an apron that can get dirty Preparations are necessary, so get to the art room early\and be able to talk easily with others.\And while I was worrying about that, I made it here...\Used Bookstore Hitotose\This is where I'm staying?\I'm pretty sure it's the right address, but...\That employee is so pretty. response:	Is she reading?
context: -We're going to be doing oil painting in art, so wear clothes and an apron that can get dirty Preparations are necessary, so get to the art room early\and be able to talk easily with others.\And while I was worrying about that, I made it here...\Used Bookstore Hitotose\This is where I'm staying?\I'm pretty sure it's the right address, but...\That employee is so pretty.\Is she reading? response:	Or... eating?
context: and be able to talk easily with others.\And while I was worrying about that, I made it here...\Used Bookstore Hitotose\This is where I'm staying?\I'm pretty sure it's the right address, but...\That employee is so pretty.\Is she reading?\Or... eating? response:	Can I help you?
context: And while I was worrying about that, I made it here...\Used Bookstore Hitotose\This is where I'm staying?\I'm pretty sure it's the right address, but...\That employee is so pretty.\Is she reading?\Or... eating?\Can I help you? response:	U-Um...
context: Used Bookstore Hitotose\This is where I'm staying?\I'm pretty sure it's the right address, but...\That employee is so pretty.\Is she reading?\Or... eating?\Can I help you?\U-Um... response:	Um, I...
context: This is where I'm staying?\I'm pretty sure it's the right address, but...\That employee is so pretty.\Is she reading?\Or... eating?\Can I help you?\U-Um...\Um, I... response:	I was told that I could stay here...
context: I'm pretty sure it's the right address, but...\That employee is so pretty.\Is she reading?\Or... eating?\Can I help you?\U-Um...\Um, I...\I was told that I could stay here... response:	Oh!
context: That employee is so pretty.\Is she reading?\Or... eating?\Can I help you?\U-Um...\Um, I...\I was told that I could stay here...\Oh! response:	You're Hinako-chan, right?
context: Is she reading?\Or... eating?\Can I help you?\U-Um...\Um, I...\I was told that I could stay here...\Oh!\You're Hinako-chan, right? response:	The landlady's told me all about you!
context: Or... eating?\Can I help you?\U-Um...\Um, I...\I was told that I could stay here...\Oh!\You're Hinako-chan, right?\The landlady's told me all about you! response:	The second floor is used for apartments.
context: Can I help you?\U-Um...\Um, I...\I was told that I could stay here...\Oh!\You're Hinako-chan, right?\The landlady's told me all about you!\The second floor is used for apartments. response:	That's where I live, too.
context: U-Um...\Um, I...\I was told that I could stay here...\Oh!\You're Hinako-chan, right?\The landlady's told me all about you!\The second floor is used for apartments.\That's where I live, too. response:	Um... I...
context: Um, I...\I was told that I could stay here...\Oh!\You're Hinako-chan, right?\The landlady's told me all about you!\The second floor is used for apartments.\That's where I live, too.\Um... I... response:	My name's Kuina.
context: I was told that I could stay here...\Oh!\You're Hinako-chan, right?\The landlady's told me all about you!\The second floor is used for apartments.\That's where I live, too.\Um... I...\My name's Kuina. response:	I'll go get the landlady!
context: Oh!\You're Hinako-chan, right?\The landlady's told me all about you!\The second floor is used for apartments.\That's where I live, too.\Um... I...\My name's Kuina.\I'll go get the landlady! response:	-Thank you for letting me borrow the textbook yesterday! -The book I borrowed is inside the desk. -Sorry I couldn't return it to you in person. -You're a lifesaver!
context: You're Hinako-chan, right?\The landlady's told me all about you!\The second floor is used for apartments.\That's where I live, too.\Um... I...\My name's Kuina.\I'll go get the landlady!\-Thank you for letting me borrow the textbook yesterday! -The book I borrowed is inside the desk. -Sorry I couldn't return it to you in person. -You're a lifesaver! response:	-If you ever need anything let me know. -Thank you so much! Lets hang out again!
context: The landlady's told me all about you!\The second floor is used for apartments.\That's where I live, too.\Um... I...\My name's Kuina.\I'll go get the landlady!\-Thank you for letting me borrow the textbook yesterday! -The book I borrowed is inside the desk. -Sorry I couldn't return it to you in person. -You're a lifesaver!\-If you ever need anything let me know. -Thank you so much! Lets hang out again! response:	Some of these books look so old.
context: The second floor is used for apartments.\That's where I live, too.\Um... I...\My name's Kuina.\I'll go get the landlady!\-Thank you for letting me borrow the textbook yesterday! -The book I borrowed is inside the desk. -Sorry I couldn't return it to you in person. -You're a lifesaver!\-If you ever need anything let me know. -Thank you so much! Lets hang out again!\Some of these books look so old. response:	This shop has such a nice atmosphere.
context: That's where I live, too.\Um... I...\My name's Kuina.\I'll go get the landlady!\-Thank you for letting me borrow the textbook yesterday! -The book I borrowed is inside the desk. -Sorry I couldn't return it to you in person. -You're a lifesaver!\-If you ever need anything let me know. -Thank you so much! Lets hang out again!\Some of these books look so old.\This shop has such a nice atmosphere. response:	In the Forest, Under Cherries in Full Bloom Sakaguchi Ango
context: Um... I...\My name's Kuina.\I'll go get the landlady!\-Thank you for letting me borrow the textbook yesterday! -The book I borrowed is inside the desk. -Sorry I couldn't return it to you in person. -You're a lifesaver!\-If you ever need anything let me know. -Thank you so much! Lets hang out again!\Some of these books look so old.\This shop has such a nice atmosphere.\In the Forest, Under Cherries in Full Bloom Sakaguchi Ango response:	Sorry, it looks like the landlady's out right now...
context: My name's Kuina.\I'll go get the landlady!\-Thank you for letting me borrow the textbook yesterday! -The book I borrowed is inside the desk. -Sorry I couldn't return it to you in person. -You're a lifesaver!\-If you ever need anything let me know. -Thank you so much! Lets hang out again!\Some of these books look so old.\This shop has such a nice atmosphere.\In the Forest, Under Cherries in Full Bloom Sakaguchi Ango\Sorry, it looks like the landlady's out right now... response:	Why won't you look me in the eye?
context: I'll go get the landlady!\-Thank you for letting me borrow the textbook yesterday! -The book I borrowed is inside the desk. -Sorry I couldn't return it to you in person. -You're a lifesaver!\-If you ever need anything let me know. -Thank you so much! Lets hang out again!\Some of these books look so old.\This shop has such a nice atmosphere.\In the Forest, Under Cherries in Full Bloom Sakaguchi Ango\Sorry, it looks like the landlady's out right now...\Why won't you look me in the eye? response:	I've never seen someone eating a book before...
context: -Thank you for letting me borrow the textbook yesterday! -The book I borrowed is inside the desk. -Sorry I couldn't return it to you in person. -You're a lifesaver!\-If you ever need anything let me know. -Thank you so much! Lets hang out again!\Some of these books look so old.\This shop has such a nice atmosphere.\In the Forest, Under Cherries in Full Bloom Sakaguchi Ango\Sorry, it looks like the landlady's out right now...\Why won't you look me in the eye?\I've never seen someone eating a book before... response:	That was... um...
context: -If you ever need anything let me know. -Thank you so much! Lets hang out again!\Some of these books look so old.\This shop has such a nice atmosphere.\In the Forest, Under Cherries in Full Bloom Sakaguchi Ango\Sorry, it looks like the landlady's out right now...\Why won't you look me in the eye?\I've never seen someone eating a book before...\That was... um... response:	I love reading,
context: Some of these books look so old.\This shop has such a nice atmosphere.\In the Forest, Under Cherries in Full Bloom Sakaguchi Ango\Sorry, it looks like the landlady's out right now...\Why won't you look me in the eye?\I've never seen someone eating a book before...\That was... um...\I love reading, response:	and books are basically my friends.
context: This shop has such a nice atmosphere.\In the Forest, Under Cherries in Full Bloom Sakaguchi Ango\Sorry, it looks like the landlady's out right now...\Why won't you look me in the eye?\I've never seen someone eating a book before...\That was... um...\I love reading,\and books are basically my friends. response:	I adore them so much, I want to eat them up.
context: In the Forest, Under Cherries in Full Bloom Sakaguchi Ango\Sorry, it looks like the landlady's out right now...\Why won't you look me in the eye?\I've never seen someone eating a book before...\That was... um...\I love reading,\and books are basically my friends.\I adore them so much, I want to eat them up. response:	D-Don't eat your friends!
context: Sorry, it looks like the landlady's out right now...\Why won't you look me in the eye?\I've never seen someone eating a book before...\That was... um...\I love reading,\and books are basically my friends.\I adore them so much, I want to eat them up.\D-Don't eat your friends! response:	A-Anyway, I'll show you to your room.
context: Why won't you look me in the eye?\I've never seen someone eating a book before...\That was... um...\I love reading,\and books are basically my friends.\I adore them so much, I want to eat them up.\D-Don't eat your friends!\A-Anyway, I'll show you to your room. response:	This room is yours.
context: I've never seen someone eating a book before...\That was... um...\I love reading,\and books are basically my friends.\I adore them so much, I want to eat them up.\D-Don't eat your friends!\A-Anyway, I'll show you to your room.\This room is yours. response:	What a beautiful room!
context: That was... um...\I love reading,\and books are basically my friends.\I adore them so much, I want to eat them up.\D-Don't eat your friends!\A-Anyway, I'll show you to your room.\This room is yours.\What a beautiful room! response:	It's like I'm in a hotel!
context: I love reading,\and books are basically my friends.\I adore them so much, I want to eat them up.\D-Don't eat your friends!\A-Anyway, I'll show you to your room.\This room is yours.\What a beautiful room!\It's like I'm in a hotel! response:	A chest with its own atmosphere,
context: and books are basically my friends.\I adore them so much, I want to eat them up.\D-Don't eat your friends!\A-Anyway, I'll show you to your room.\This room is yours.\What a beautiful room!\It's like I'm in a hotel!\A chest with its own atmosphere, response:	a cute bed...
context: I adore them so much, I want to eat them up.\D-Don't eat your friends!\A-Anyway, I'll show you to your room.\This room is yours.\What a beautiful room!\It's like I'm in a hotel!\A chest with its own atmosphere,\a cute bed... response:	and even a maid!
context: D-Don't eat your friends!\A-Anyway, I'll show you to your room.\This room is yours.\What a beautiful room!\It's like I'm in a hotel!\A chest with its own atmosphere,\a cute bed...\and even a maid! response:	Wait... a maid?
context: A-Anyway, I'll show you to your room.\This room is yours.\What a beautiful room!\It's like I'm in a hotel!\A chest with its own atmosphere,\a cute bed...\and even a maid!\Wait... a maid? response:	Oh?
context: This room is yours.\What a beautiful room!\It's like I'm in a hotel!\A chest with its own atmosphere,\a cute bed...\and even a maid!\Wait... a maid?\Oh? response:	Wh-Why is there a maid in my room?
context: What a beautiful room!\It's like I'm in a hotel!\A chest with its own atmosphere,\a cute bed...\and even a maid!\Wait... a maid?\Oh?\Wh-Why is there a maid in my room? response:	Nice to meet you. I'm Mayuki.
context: It's like I'm in a hotel!\A chest with its own atmosphere,\a cute bed...\and even a maid!\Wait... a maid?\Oh?\Wh-Why is there a maid in my room?\Nice to meet you. I'm Mayuki. response:	Huh?
context: A chest with its own atmosphere,\a cute bed...\and even a maid!\Wait... a maid?\Oh?\Wh-Why is there a maid in my room?\Nice to meet you. I'm Mayuki.\Huh? response:	I live and work here.
context: a cute bed...\and even a maid!\Wait... a maid?\Oh?\Wh-Why is there a maid in my room?\Nice to meet you. I'm Mayuki.\Huh?\I live and work here. response:	You can call me Mayu.
context: and even a maid!\Wait... a maid?\Oh?\Wh-Why is there a maid in my room?\Nice to meet you. I'm Mayuki.\Huh?\I live and work here.\You can call me Mayu. response:	You live here?
context: Wait... a maid?\Oh?\Wh-Why is there a maid in my room?\Nice to meet you. I'm Mayuki.\Huh?\I live and work here.\You can call me Mayu.\You live here? response:	She's a resident here.
context: Oh?\Wh-Why is there a maid in my room?\Nice to meet you. I'm Mayuki.\Huh?\I live and work here.\You can call me Mayu.\You live here?\She's a resident here. response:	All residents work here. That's the rule.
context: Wh-Why is there a maid in my room?\Nice to meet you. I'm Mayuki.\Huh?\I live and work here.\You can call me Mayu.\You live here?\She's a resident here.\All residents work here. That's the rule. response:	Schoolwork comes first, though, so it's only on weekends.
context: Nice to meet you. I'm Mayuki.\Huh?\I live and work here.\You can call me Mayu.\You live here?\She's a resident here.\All residents work here. That's the rule.\Schoolwork comes first, though, so it's only on weekends. response:	I see!
context: Huh?\I live and work here.\You can call me Mayu.\You live here?\She's a resident here.\All residents work here. That's the rule.\Schoolwork comes first, though, so it's only on weekends.\I see! response:	So that's why Mayu-chan is a maid?
context: I live and work here.\You can call me Mayu.\You live here?\She's a resident here.\All residents work here. That's the rule.\Schoolwork comes first, though, so it's only on weekends.\I see!\So that's why Mayu-chan is a maid? response:	No.
context: You can call me Mayu.\You live here?\She's a resident here.\All residents work here. That's the rule.\Schoolwork comes first, though, so it's only on weekends.\I see!\So that's why Mayu-chan is a maid?\No. response:	I'm an employee in the coffee shop.
context: You live here?\She's a resident here.\All residents work here. That's the rule.\Schoolwork comes first, though, so it's only on weekends.\I see!\So that's why Mayu-chan is a maid?\No.\I'm an employee in the coffee shop. response:	This is just what I always wear.
context: She's a resident here.\All residents work here. That's the rule.\Schoolwork comes first, though, so it's only on weekends.\I see!\So that's why Mayu-chan is a maid?\No.\I'm an employee in the coffee shop.\This is just what I always wear. response:	Huh? They're your own clothes?!
context: All residents work here. That's the rule.\Schoolwork comes first, though, so it's only on weekends.\I see!\So that's why Mayu-chan is a maid?\No.\I'm an employee in the coffee shop.\This is just what I always wear.\Huh? They're your own clothes?! response:	I-I heard that someone new was moving in today,
context: Schoolwork comes first, though, so it's only on weekends.\I see!\So that's why Mayu-chan is a maid?\No.\I'm an employee in the coffee shop.\This is just what I always wear.\Huh? They're your own clothes?!\I-I heard that someone new was moving in today, response:	so I was just cleaning up this room!
context: I see!\So that's why Mayu-chan is a maid?\No.\I'm an employee in the coffee shop.\This is just what I always wear.\Huh? They're your own clothes?!\I-I heard that someone new was moving in today,\so I was just cleaning up this room! response:	Mayu-chan wants to be a princess. Right?
context: So that's why Mayu-chan is a maid?\No.\I'm an employee in the coffee shop.\This is just what I always wear.\Huh? They're your own clothes?!\I-I heard that someone new was moving in today,\so I was just cleaning up this room!\Mayu-chan wants to be a princess. Right? response:	You like frills.
context: No.\I'm an employee in the coffee shop.\This is just what I always wear.\Huh? They're your own clothes?!\I-I heard that someone new was moving in today,\so I was just cleaning up this room!\Mayu-chan wants to be a princess. Right?\You like frills. response:	N-No, I don't!
context: I'm an employee in the coffee shop.\This is just what I always wear.\Huh? They're your own clothes?!\I-I heard that someone new was moving in today,\so I was just cleaning up this room!\Mayu-chan wants to be a princess. Right?\You like frills.\N-No, I don't! response:	Don't treat me like a child!
context: This is just what I always wear.\Huh? They're your own clothes?!\I-I heard that someone new was moving in today,\so I was just cleaning up this room!\Mayu-chan wants to be a princess. Right?\You like frills.\N-No, I don't!\Don't treat me like a child! response:	I'm just rehearsing for when I'm invited to dances in the future,
context: Huh? They're your own clothes?!\I-I heard that someone new was moving in today,\so I was just cleaning up this room!\Mayu-chan wants to be a princess. Right?\You like frills.\N-No, I don't!\Don't treat me like a child!\I'm just rehearsing for when I'm invited to dances in the future, response:	so I won't step on the hem of my dress!
context: I-I heard that someone new was moving in today,\so I was just cleaning up this room!\Mayu-chan wants to be a princess. Right?\You like frills.\N-No, I don't!\Don't treat me like a child!\I'm just rehearsing for when I'm invited to dances in the future,\so I won't step on the hem of my dress! response:	She's like a child...
context: so I was just cleaning up this room!\Mayu-chan wants to be a princess. Right?\You like frills.\N-No, I don't!\Don't treat me like a child!\I'm just rehearsing for when I'm invited to dances in the future,\so I won't step on the hem of my dress!\She's like a child... response:	Hina-chan, you're starting at Fujimiya High in spring, right?
context: Mayu-chan wants to be a princess. Right?\You like frills.\N-No, I don't!\Don't treat me like a child!\I'm just rehearsing for when I'm invited to dances in the future,\so I won't step on the hem of my dress!\She's like a child...\Hina-chan, you're starting at Fujimiya High in spring, right? response:	I'm so glad I'll have a kouhai there now!
context: You like frills.\N-No, I don't!\Don't treat me like a child!\I'm just rehearsing for when I'm invited to dances in the future,\so I won't step on the hem of my dress!\She's like a child...\Hina-chan, you're starting at Fujimiya High in spring, right?\I'm so glad I'll have a kouhai there now! response:	Huh? A kouhai?
context: N-No, I don't!\Don't treat me like a child!\I'm just rehearsing for when I'm invited to dances in the future,\so I won't step on the hem of my dress!\She's like a child...\Hina-chan, you're starting at Fujimiya High in spring, right?\I'm so glad I'll have a kouhai there now!\Huh? A kouhai? response:	Did you think I was a first-year like you?
context: Don't treat me like a child!\I'm just rehearsing for when I'm invited to dances in the future,\so I won't step on the hem of my dress!\She's like a child...\Hina-chan, you're starting at Fujimiya High in spring, right?\I'm so glad I'll have a kouhai there now!\Huh? A kouhai?\Did you think I was a first-year like you? response:	I may not look it, but I'm a second-year!
context: I'm just rehearsing for when I'm invited to dances in the future,\so I won't step on the hem of my dress!\She's like a child...\Hina-chan, you're starting at Fujimiya High in spring, right?\I'm so glad I'll have a kouhai there now!\Huh? A kouhai?\Did you think I was a first-year like you?\I may not look it, but I'm a second-year! response:	I'm sorry!
