context: They're going to choose the Moon Princess response:	by her looks, athletic ability and gracefulness?!
context: Moon Princess Contest Executive Committee will be held in the moonlight.\Will be held in the moonlight.\Oh...\Moon Princess\It sure does sound romantic.\Don't you think so?!\We don't mind, but won't Luna make a fuss about it again?\You don't have to worry about that. We'll just tell Luna response:	that we're going to the snowy mountains for special training.
context: Will be held in the moonlight.\Oh...\Moon Princess\It sure does sound romantic.\Don't you think so?!\We don't mind, but won't Luna make a fuss about it again?\You don't have to worry about that. We'll just tell Luna\that we're going to the snowy mountains for special training. response:	It's a little surprising to hear that coming from you.
context: Oh...\Moon Princess\It sure does sound romantic.\Don't you think so?!\We don't mind, but won't Luna make a fuss about it again?\You don't have to worry about that. We'll just tell Luna\that we're going to the snowy mountains for special training.\It's a little surprising to hear that coming from you. response:	Huh? You think so?
context: Moon Princess\It sure does sound romantic.\Don't you think so?!\We don't mind, but won't Luna make a fuss about it again?\You don't have to worry about that. We'll just tell Luna\that we're going to the snowy mountains for special training.\It's a little surprising to hear that coming from you.\Huh? You think so? response:	But if you tell Luna and Artemis, I'm sure they'll be satisfied.
context: It sure does sound romantic.\Don't you think so?!\We don't mind, but won't Luna make a fuss about it again?\You don't have to worry about that. We'll just tell Luna\that we're going to the snowy mountains for special training.\It's a little surprising to hear that coming from you.\Huh? You think so?\But if you tell Luna and Artemis, I'm sure they'll be satisfied. response:	Then, we're all going?!
context: Don't you think so?!\We don't mind, but won't Luna make a fuss about it again?\You don't have to worry about that. We'll just tell Luna\that we're going to the snowy mountains for special training.\It's a little surprising to hear that coming from you.\Huh? You think so?\But if you tell Luna and Artemis, I'm sure they'll be satisfied.\Then, we're all going?! response:	But I wonder if we can get hotel reservations now?
context: We don't mind, but won't Luna make a fuss about it again?\You don't have to worry about that. We'll just tell Luna\that we're going to the snowy mountains for special training.\It's a little surprising to hear that coming from you.\Huh? You think so?\But if you tell Luna and Artemis, I'm sure they'll be satisfied.\Then, we're all going?!\But I wonder if we can get hotel reservations now? response:	If you'd like, I'll arrange something for you.
context: You don't have to worry about that. We'll just tell Luna\that we're going to the snowy mountains for special training.\It's a little surprising to hear that coming from you.\Huh? You think so?\But if you tell Luna and Artemis, I'm sure they'll be satisfied.\Then, we're all going?!\But I wonder if we can get hotel reservations now?\If you'd like, I'll arrange something for you. response:	Yuichiro.
context: that we're going to the snowy mountains for special training.\It's a little surprising to hear that coming from you.\Huh? You think so?\But if you tell Luna and Artemis, I'm sure they'll be satisfied.\Then, we're all going?!\But I wonder if we can get hotel reservations now?\If you'd like, I'll arrange something for you.\Yuichiro. response:	My parents live right near that place.
context: It's a little surprising to hear that coming from you.\Huh? You think so?\But if you tell Luna and Artemis, I'm sure they'll be satisfied.\Then, we're all going?!\But I wonder if we can get hotel reservations now?\If you'd like, I'll arrange something for you.\Yuichiro.\My parents live right near that place. response:	Really?! Then, please! We're counting on you!
context: Huh? You think so?\But if you tell Luna and Artemis, I'm sure they'll be satisfied.\Then, we're all going?!\But I wonder if we can get hotel reservations now?\If you'd like, I'll arrange something for you.\Yuichiro.\My parents live right near that place.\Really?! Then, please! We're counting on you! response:	Sure! Then, Miss Rei, I will ask for some days off as well and...
context: But if you tell Luna and Artemis, I'm sure they'll be satisfied.\Then, we're all going?!\But I wonder if we can get hotel reservations now?\If you'd like, I'll arrange something for you.\Yuichiro.\My parents live right near that place.\Really?! Then, please! We're counting on you!\Sure! Then, Miss Rei, I will ask for some days off as well and... response:	What? You're planning on coming with us?
context: Then, we're all going?!\But I wonder if we can get hotel reservations now?\If you'd like, I'll arrange something for you.\Yuichiro.\My parents live right near that place.\Really?! Then, please! We're counting on you!\Sure! Then, Miss Rei, I will ask for some days off as well and...\What? You're planning on coming with us? response:	Would that be wrong?
context: But I wonder if we can get hotel reservations now?\If you'd like, I'll arrange something for you.\Yuichiro.\My parents live right near that place.\Really?! Then, please! We're counting on you!\Sure! Then, Miss Rei, I will ask for some days off as well and...\What? You're planning on coming with us?\Would that be wrong? response:	Come on, it's okay, Rei.
context: If you'd like, I'll arrange something for you.\Yuichiro.\My parents live right near that place.\Really?! Then, please! We're counting on you!\Sure! Then, Miss Rei, I will ask for some days off as well and...\What? You're planning on coming with us?\Would that be wrong?\Come on, it's okay, Rei. response:	Even a chance meeting is due
context: Yuichiro.\My parents live right near that place.\Really?! Then, please! We're counting on you!\Sure! Then, Miss Rei, I will ask for some days off as well and...\What? You're planning on coming with us?\Would that be wrong?\Come on, it's okay, Rei.\Even a chance meeting is due response:	to a kindness in a previous life, you know?
context: My parents live right near that place.\Really?! Then, please! We're counting on you!\Sure! Then, Miss Rei, I will ask for some days off as well and...\What? You're planning on coming with us?\Would that be wrong?\Come on, it's okay, Rei.\Even a chance meeting is due\to a kindness in a previous life, you know? response:	Mako, that should be due to your karma from a previous life.
context: Really?! Then, please! We're counting on you!\Sure! Then, Miss Rei, I will ask for some days off as well and...\What? You're planning on coming with us?\Would that be wrong?\Come on, it's okay, Rei.\Even a chance meeting is due\to a kindness in a previous life, you know?\Mako, that should be due to your karma from a previous life. response:	But either way, I'm not sure
context: Sure! Then, Miss Rei, I will ask for some days off as well and...\What? You're planning on coming with us?\Would that be wrong?\Come on, it's okay, Rei.\Even a chance meeting is due\to a kindness in a previous life, you know?\Mako, that should be due to your karma from a previous life.\But either way, I'm not sure response:	that proverb applies for this situation.
context: What? You're planning on coming with us?\Would that be wrong?\Come on, it's okay, Rei.\Even a chance meeting is due\to a kindness in a previous life, you know?\Mako, that should be due to your karma from a previous life.\But either way, I'm not sure\that proverb applies for this situation. response:	Moon Princess Contest Executive Committee
context: Would that be wrong?\Come on, it's okay, Rei.\Even a chance meeting is due\to a kindness in a previous life, you know?\Mako, that should be due to your karma from a previous life.\But either way, I'm not sure\that proverb applies for this situation.\Moon Princess Contest Executive Committee response:	They are a girly bunch.
context: Come on, it's okay, Rei.\Even a chance meeting is due\to a kindness in a previous life, you know?\Mako, that should be due to your karma from a previous life.\But either way, I'm not sure\that proverb applies for this situation.\Moon Princess Contest Executive Committee\They are a girly bunch. response:	They are certain to buy into this event.
context: Even a chance meeting is due\to a kindness in a previous life, you know?\Mako, that should be due to your karma from a previous life.\But either way, I'm not sure\that proverb applies for this situation.\Moon Princess Contest Executive Committee\They are a girly bunch.\They are certain to buy into this event. response:	Kunzite.
context: to a kindness in a previous life, you know?\Mako, that should be due to your karma from a previous life.\But either way, I'm not sure\that proverb applies for this situation.\Moon Princess Contest Executive Committee\They are a girly bunch.\They are certain to buy into this event.\Kunzite. response:	Do you not think you are underestimating them a little?
context: Mako, that should be due to your karma from a previous life.\But either way, I'm not sure\that proverb applies for this situation.\Moon Princess Contest Executive Committee\They are a girly bunch.\They are certain to buy into this event.\Kunzite.\Do you not think you are underestimating them a little? response:	What?!
context: But either way, I'm not sure\that proverb applies for this situation.\Moon Princess Contest Executive Committee\They are a girly bunch.\They are certain to buy into this event.\Kunzite.\Do you not think you are underestimating them a little?\What?! response:	Every last one of your previous tactics failed.
context: that proverb applies for this situation.\Moon Princess Contest Executive Committee\They are a girly bunch.\They are certain to buy into this event.\Kunzite.\Do you not think you are underestimating them a little?\What?!\Every last one of your previous tactics failed. response:	My analysis shows that is entirely due
context: Moon Princess Contest Executive Committee\They are a girly bunch.\They are certain to buy into this event.\Kunzite.\Do you not think you are underestimating them a little?\What?!\Every last one of your previous tactics failed.\My analysis shows that is entirely due response:	to you underestimating your opponents.
context: They are a girly bunch.\They are certain to buy into this event.\Kunzite.\Do you not think you are underestimating them a little?\What?!\Every last one of your previous tactics failed.\My analysis shows that is entirely due\to you underestimating your opponents. response:	I believe knowing your enemy and knowing yourself
context: They are certain to buy into this event.\Kunzite.\Do you not think you are underestimating them a little?\What?!\Every last one of your previous tactics failed.\My analysis shows that is entirely due\to you underestimating your opponents.\I believe knowing your enemy and knowing yourself response:	is the first step in building a strategy.
context: Kunzite.\Do you not think you are underestimating them a little?\What?!\Every last one of your previous tactics failed.\My analysis shows that is entirely due\to you underestimating your opponents.\I believe knowing your enemy and knowing yourself\is the first step in building a strategy. response:	Do you not agree?
context: Do you not think you are underestimating them a little?\What?!\Every last one of your previous tactics failed.\My analysis shows that is entirely due\to you underestimating your opponents.\I believe knowing your enemy and knowing yourself\is the first step in building a strategy.\Do you not agree? response:	You impress me, Endymion.
context: What?!\Every last one of your previous tactics failed.\My analysis shows that is entirely due\to you underestimating your opponents.\I believe knowing your enemy and knowing yourself\is the first step in building a strategy.\Do you not agree?\You impress me, Endymion. response:	The long time you spent fighting with Sailor Moon
context: Every last one of your previous tactics failed.\My analysis shows that is entirely due\to you underestimating your opponents.\I believe knowing your enemy and knowing yourself\is the first step in building a strategy.\Do you not agree?\You impress me, Endymion.\The long time you spent fighting with Sailor Moon response:	certainly shows.
context: My analysis shows that is entirely due\to you underestimating your opponents.\I believe knowing your enemy and knowing yourself\is the first step in building a strategy.\Do you not agree?\You impress me, Endymion.\The long time you spent fighting with Sailor Moon\certainly shows. response:	You must know a great deal about them.
context: to you underestimating your opponents.\I believe knowing your enemy and knowing yourself\is the first step in building a strategy.\Do you not agree?\You impress me, Endymion.\The long time you spent fighting with Sailor Moon\certainly shows.\You must know a great deal about them. response:	But this is none of your business!
context: I believe knowing your enemy and knowing yourself\is the first step in building a strategy.\Do you not agree?\You impress me, Endymion.\The long time you spent fighting with Sailor Moon\certainly shows.\You must know a great deal about them.\But this is none of your business! response:	I will defeat the sailor warriors without fail.
context: is the first step in building a strategy.\Do you not agree?\You impress me, Endymion.\The long time you spent fighting with Sailor Moon\certainly shows.\You must know a great deal about them.\But this is none of your business!\I will defeat the sailor warriors without fail. response:	Zoisite...
context: Do you not agree?\You impress me, Endymion.\The long time you spent fighting with Sailor Moon\certainly shows.\You must know a great deal about them.\But this is none of your business!\I will defeat the sailor warriors without fail.\Zoisite... response:	Wow, it's so beautiful!
context: You impress me, Endymion.\The long time you spent fighting with Sailor Moon\certainly shows.\You must know a great deal about them.\But this is none of your business!\I will defeat the sailor warriors without fail.\Zoisite...\Wow, it's so beautiful! response:	It really feels like we're here!
context: The long time you spent fighting with Sailor Moon\certainly shows.\You must know a great deal about them.\But this is none of your business!\I will defeat the sailor warriors without fail.\Zoisite...\Wow, it's so beautiful!\It really feels like we're here! response:	I feel bad for having left Luna and Artemis behind.
context: certainly shows.\You must know a great deal about them.\But this is none of your business!\I will defeat the sailor warriors without fail.\Zoisite...\Wow, it's so beautiful!\It really feels like we're here!\I feel bad for having left Luna and Artemis behind. response:	You don't have to worry about that.
context: You must know a great deal about them.\But this is none of your business!\I will defeat the sailor warriors without fail.\Zoisite...\Wow, it's so beautiful!\It really feels like we're here!\I feel bad for having left Luna and Artemis behind.\You don't have to worry about that. response:	As they say, The cat curls up on the heated table.
context: But this is none of your business!\I will defeat the sailor warriors without fail.\Zoisite...\Wow, it's so beautiful!\It really feels like we're here!\I feel bad for having left Luna and Artemis behind.\You don't have to worry about that.\As they say, The cat curls up on the heated table. response:	The heated table is the best thing in winter.
context: I will defeat the sailor warriors without fail.\Zoisite...\Wow, it's so beautiful!\It really feels like we're here!\I feel bad for having left Luna and Artemis behind.\You don't have to worry about that.\As they say, The cat curls up on the heated table.\The heated table is the best thing in winter. response:	Don't you think so, Artemis?
context: Zoisite...\Wow, it's so beautiful!\It really feels like we're here!\I feel bad for having left Luna and Artemis behind.\You don't have to worry about that.\As they say, The cat curls up on the heated table.\The heated table is the best thing in winter.\Don't you think so, Artemis? response:	He looks so peaceful.
context: Wow, it's so beautiful!\It really feels like we're here!\I feel bad for having left Luna and Artemis behind.\You don't have to worry about that.\As they say, The cat curls up on the heated table.\The heated table is the best thing in winter.\Don't you think so, Artemis?\He looks so peaceful. response:	But I can't believe they went for training in such a cold place.
context: It really feels like we're here!\I feel bad for having left Luna and Artemis behind.\You don't have to worry about that.\As they say, The cat curls up on the heated table.\The heated table is the best thing in winter.\Don't you think so, Artemis?\He looks so peaceful.\But I can't believe they went for training in such a cold place. response:	I'm so impressed.
context: I feel bad for having left Luna and Artemis behind.\You don't have to worry about that.\As they say, The cat curls up on the heated table.\The heated table is the best thing in winter.\Don't you think so, Artemis?\He looks so peaceful.\But I can't believe they went for training in such a cold place.\I'm so impressed. response:	My parents are at their vacation home in Switzerland.
context: You don't have to worry about that.\As they say, The cat curls up on the heated table.\The heated table is the best thing in winter.\Don't you think so, Artemis?\He looks so peaceful.\But I can't believe they went for training in such a cold place.\I'm so impressed.\My parents are at their vacation home in Switzerland. response:	Excuse me, Yuichiro...
context: As they say, The cat curls up on the heated table.\The heated table is the best thing in winter.\Don't you think so, Artemis?\He looks so peaceful.\But I can't believe they went for training in such a cold place.\I'm so impressed.\My parents are at their vacation home in Switzerland.\Excuse me, Yuichiro... response:	Why is a rich boy...
context: The heated table is the best thing in winter.\Don't you think so, Artemis?\He looks so peaceful.\But I can't believe they went for training in such a cold place.\I'm so impressed.\My parents are at their vacation home in Switzerland.\Excuse me, Yuichiro...\Why is a rich boy... response:	Oh, I mean, the son of good family like you,
context: Don't you think so, Artemis?\He looks so peaceful.\But I can't believe they went for training in such a cold place.\I'm so impressed.\My parents are at their vacation home in Switzerland.\Excuse me, Yuichiro...\Why is a rich boy...\Oh, I mean, the son of good family like you, response:	training at our shrine?
context: He looks so peaceful.\But I can't believe they went for training in such a cold place.\I'm so impressed.\My parents are at their vacation home in Switzerland.\Excuse me, Yuichiro...\Why is a rich boy...\Oh, I mean, the son of good family like you,\training at our shrine? response:	To become a better person, of course.
context: But I can't believe they went for training in such a cold place.\I'm so impressed.\My parents are at their vacation home in Switzerland.\Excuse me, Yuichiro...\Why is a rich boy...\Oh, I mean, the son of good family like you,\training at our shrine?\To become a better person, of course. response:	Oh, I see...
context: I'm so impressed.\My parents are at their vacation home in Switzerland.\Excuse me, Yuichiro...\Why is a rich boy...\Oh, I mean, the son of good family like you,\training at our shrine?\To become a better person, of course.\Oh, I see... response:	Rei, I hear there are a lot of weird people among the rich.
context: My parents are at their vacation home in Switzerland.\Excuse me, Yuichiro...\Why is a rich boy...\Oh, I mean, the son of good family like you,\training at our shrine?\To become a better person, of course.\Oh, I see...\Rei, I hear there are a lot of weird people among the rich. response:	That might be true.
context: Excuse me, Yuichiro...\Why is a rich boy...\Oh, I mean, the son of good family like you,\training at our shrine?\To become a better person, of course.\Oh, I see...\Rei, I hear there are a lot of weird people among the rich.\That might be true. response:	Anyway, whatever! Come on, let's go ski!
context: Why is a rich boy...\Oh, I mean, the son of good family like you,\training at our shrine?\To become a better person, of course.\Oh, I see...\Rei, I hear there are a lot of weird people among the rich.\That might be true.\Anyway, whatever! Come on, let's go ski! response:	Yeah!
context: Oh, I mean, the son of good family like you,\training at our shrine?\To become a better person, of course.\Oh, I see...\Rei, I hear there are a lot of weird people among the rich.\That might be true.\Anyway, whatever! Come on, let's go ski!\Yeah! response:	Yay!
context: training at our shrine?\To become a better person, of course.\Oh, I see...\Rei, I hear there are a lot of weird people among the rich.\That might be true.\Anyway, whatever! Come on, let's go ski!\Yeah!\Yay! response:	It's snow, it's snow! Yay! Yay!
context: To become a better person, of course.\Oh, I see...\Rei, I hear there are a lot of weird people among the rich.\That might be true.\Anyway, whatever! Come on, let's go ski!\Yeah!\Yay!\It's snow, it's snow! Yay! Yay! response:	It's a perfect day for skiing.
context: Oh, I see...\Rei, I hear there are a lot of weird people among the rich.\That might be true.\Anyway, whatever! Come on, let's go ski!\Yeah!\Yay!\It's snow, it's snow! Yay! Yay!\It's a perfect day for skiing. response:	It really is!
context: Rei, I hear there are a lot of weird people among the rich.\That might be true.\Anyway, whatever! Come on, let's go ski!\Yeah!\Yay!\It's snow, it's snow! Yay! Yay!\It's a perfect day for skiing.\It really is! response:	Come to think of it, where did Rei and Yuichiro go?
context: That might be true.\Anyway, whatever! Come on, let's go ski!\Yeah!\Yay!\It's snow, it's snow! Yay! Yay!\It's a perfect day for skiing.\It really is!\Come to think of it, where did Rei and Yuichiro go? response:	Let's go up higher instead of skiing in this flat area.
context: Anyway, whatever! Come on, let's go ski!\Yeah!\Yay!\It's snow, it's snow! Yay! Yay!\It's a perfect day for skiing.\It really is!\Come to think of it, where did Rei and Yuichiro go?\Let's go up higher instead of skiing in this flat area. response:	No, that's all right.
context: Yeah!\Yay!\It's snow, it's snow! Yay! Yay!\It's a perfect day for skiing.\It really is!\Come to think of it, where did Rei and Yuichiro go?\Let's go up higher instead of skiing in this flat area.\No, that's all right. response:	You and Yuichiro can feel free to go on up there.
context: Yay!\It's snow, it's snow! Yay! Yay!\It's a perfect day for skiing.\It really is!\Come to think of it, where did Rei and Yuichiro go?\Let's go up higher instead of skiing in this flat area.\No, that's all right.\You and Yuichiro can feel free to go on up there. response:	We're having plenty of fun right here.
context: It's snow, it's snow! Yay! Yay!\It's a perfect day for skiing.\It really is!\Come to think of it, where did Rei and Yuichiro go?\Let's go up higher instead of skiing in this flat area.\No, that's all right.\You and Yuichiro can feel free to go on up there.\We're having plenty of fun right here. response:	That's right!
context: It's a perfect day for skiing.\It really is!\Come to think of it, where did Rei and Yuichiro go?\Let's go up higher instead of skiing in this flat area.\No, that's all right.\You and Yuichiro can feel free to go on up there.\We're having plenty of fun right here.\That's right! response:	But Miss Usagi,
context: It really is!\Come to think of it, where did Rei and Yuichiro go?\Let's go up higher instead of skiing in this flat area.\No, that's all right.\You and Yuichiro can feel free to go on up there.\We're having plenty of fun right here.\That's right!\But Miss Usagi, response:	you're participating in the Moon Princess Contest, right?
context: Come to think of it, where did Rei and Yuichiro go?\Let's go up higher instead of skiing in this flat area.\No, that's all right.\You and Yuichiro can feel free to go on up there.\We're having plenty of fun right here.\That's right!\But Miss Usagi,\you're participating in the Moon Princess Contest, right? response:	Because the contest hall is at the top of this mountain.
context: Let's go up higher instead of skiing in this flat area.\No, that's all right.\You and Yuichiro can feel free to go on up there.\We're having plenty of fun right here.\That's right!\But Miss Usagi,\you're participating in the Moon Princess Contest, right?\Because the contest hall is at the top of this mountain. response:	What?!
context: No, that's all right.\You and Yuichiro can feel free to go on up there.\We're having plenty of fun right here.\That's right!\But Miss Usagi,\you're participating in the Moon Princess Contest, right?\Because the contest hall is at the top of this mountain.\What?! response:	That contest requires beauty in face and figure, of course,
context: You and Yuichiro can feel free to go on up there.\We're having plenty of fun right here.\That's right!\But Miss Usagi,\you're participating in the Moon Princess Contest, right?\Because the contest hall is at the top of this mountain.\What?!\That contest requires beauty in face and figure, of course, response:	but you can't be chosen unless you're also a good skier.
context: We're having plenty of fun right here.\That's right!\But Miss Usagi,\you're participating in the Moon Princess Contest, right?\Because the contest hall is at the top of this mountain.\What?!\That contest requires beauty in face and figure, of course,\but you can't be chosen unless you're also a good skier. response:	No way...
