context: Lady Marrine. response:	I've received word that Sayid, the King of Dartania, has died,
context: Regarding Lord Lassic, who now rules Sievis and Forbes,\Give him my order to invade Ozerl.\Being constantly attacked has to be irritating.\Let's give him a chance to wreak as much havoc as he wants.\What would you like to do about Theo Cornaro of the Forest of Eternal Darkness?\The Bultava forces are heading towards Theo's castle.\Tell him my order is to join the battle there.\Understood. response:	I'm taking just the cavalry for now, and heading to Brother Villar.
context: Give him my order to invade Ozerl.\Being constantly attacked has to be irritating.\Let's give him a chance to wreak as much havoc as he wants.\What would you like to do about Theo Cornaro of the Forest of Eternal Darkness?\The Bultava forces are heading towards Theo's castle.\Tell him my order is to join the battle there.\Understood.\I'm taking just the cavalry for now, and heading to Brother Villar. response:	Igor, take charge of the infantry, and catch up with us later.
context: Being constantly attacked has to be irritating.\Let's give him a chance to wreak as much havoc as he wants.\What would you like to do about Theo Cornaro of the Forest of Eternal Darkness?\The Bultava forces are heading towards Theo's castle.\Tell him my order is to join the battle there.\Understood.\I'm taking just the cavalry for now, and heading to Brother Villar.\Igor, take charge of the infantry, and catch up with us later. response:	Please hold a moment, Brother!
context: Let's give him a chance to wreak as much havoc as he wants.\What would you like to do about Theo Cornaro of the Forest of Eternal Darkness?\The Bultava forces are heading towards Theo's castle.\Tell him my order is to join the battle there.\Understood.\I'm taking just the cavalry for now, and heading to Brother Villar.\Igor, take charge of the infantry, and catch up with us later.\Please hold a moment, Brother! response:	You can't help Lord Villar with just the cavalry in tow!
context: What would you like to do about Theo Cornaro of the Forest of Eternal Darkness?\The Bultava forces are heading towards Theo's castle.\Tell him my order is to join the battle there.\Understood.\I'm taking just the cavalry for now, and heading to Brother Villar.\Igor, take charge of the infantry, and catch up with us later.\Please hold a moment, Brother!\You can't help Lord Villar with just the cavalry in tow! response:	Be patient for now, wait for Lord Solon's army,
context: The Bultava forces are heading towards Theo's castle.\Tell him my order is to join the battle there.\Understood.\I'm taking just the cavalry for now, and heading to Brother Villar.\Igor, take charge of the infantry, and catch up with us later.\Please hold a moment, Brother!\You can't help Lord Villar with just the cavalry in tow!\Be patient for now, wait for Lord Solon's army, response:	then proceed after bolstering your forces
context: Tell him my order is to join the battle there.\Understood.\I'm taking just the cavalry for now, and heading to Brother Villar.\Igor, take charge of the infantry, and catch up with us later.\Please hold a moment, Brother!\You can't help Lord Villar with just the cavalry in tow!\Be patient for now, wait for Lord Solon's army,\then proceed after bolstering your forces response:	Never knowing what might happen is what war is all about!
context: Understood.\I'm taking just the cavalry for now, and heading to Brother Villar.\Igor, take charge of the infantry, and catch up with us later.\Please hold a moment, Brother!\You can't help Lord Villar with just the cavalry in tow!\Be patient for now, wait for Lord Solon's army,\then proceed after bolstering your forces\Never knowing what might happen is what war is all about! response:	If anything should happen to Brother Villar,
context: I'm taking just the cavalry for now, and heading to Brother Villar.\Igor, take charge of the infantry, and catch up with us later.\Please hold a moment, Brother!\You can't help Lord Villar with just the cavalry in tow!\Be patient for now, wait for Lord Solon's army,\then proceed after bolstering your forces\Never knowing what might happen is what war is all about!\If anything should happen to Brother Villar, response:	Regalia... rather, the entire Union will be wiped out!
context: Igor, take charge of the infantry, and catch up with us later.\Please hold a moment, Brother!\You can't help Lord Villar with just the cavalry in tow!\Be patient for now, wait for Lord Solon's army,\then proceed after bolstering your forces\Never knowing what might happen is what war is all about!\If anything should happen to Brother Villar,\Regalia... rather, the entire Union will be wiped out! response:	I'm going now!
context: Please hold a moment, Brother!\You can't help Lord Villar with just the cavalry in tow!\Be patient for now, wait for Lord Solon's army,\then proceed after bolstering your forces\Never knowing what might happen is what war is all about!\If anything should happen to Brother Villar,\Regalia... rather, the entire Union will be wiped out!\I'm going now! response:	Full speed to Altirk!
context: You can't help Lord Villar with just the cavalry in tow!\Be patient for now, wait for Lord Solon's army,\then proceed after bolstering your forces\Never knowing what might happen is what war is all about!\If anything should happen to Brother Villar,\Regalia... rather, the entire Union will be wiped out!\I'm going now!\Full speed to Altirk! response:	Brother...
context: Be patient for now, wait for Lord Solon's army,\then proceed after bolstering your forces\Never knowing what might happen is what war is all about!\If anything should happen to Brother Villar,\Regalia... rather, the entire Union will be wiped out!\I'm going now!\Full speed to Altirk!\Brother... response:	I've been left behind.
context: then proceed after bolstering your forces\Never knowing what might happen is what war is all about!\If anything should happen to Brother Villar,\Regalia... rather, the entire Union will be wiped out!\I'm going now!\Full speed to Altirk!\Brother...\I've been left behind. response:	What are you doing, Ellet?
context: Never knowing what might happen is what war is all about!\If anything should happen to Brother Villar,\Regalia... rather, the entire Union will be wiped out!\I'm going now!\Full speed to Altirk!\Brother...\I've been left behind.\What are you doing, Ellet? response:	Aren't you my brother's contracted mage?
context: If anything should happen to Brother Villar,\Regalia... rather, the entire Union will be wiped out!\I'm going now!\Full speed to Altirk!\Brother...\I've been left behind.\What are you doing, Ellet?\Aren't you my brother's contracted mage? response:	Indeed, I am, but...
context: Regalia... rather, the entire Union will be wiped out!\I'm going now!\Full speed to Altirk!\Brother...\I've been left behind.\What are you doing, Ellet?\Aren't you my brother's contracted mage?\Indeed, I am, but... response:	Lord Selge never listens to a word I say.
context: I'm going now!\Full speed to Altirk!\Brother...\I've been left behind.\What are you doing, Ellet?\Aren't you my brother's contracted mage?\Indeed, I am, but...\Lord Selge never listens to a word I say. response:	Brother is just too terrified at the prospect of losing Lord Villar.
context: Full speed to Altirk!\Brother...\I've been left behind.\What are you doing, Ellet?\Aren't you my brother's contracted mage?\Indeed, I am, but...\Lord Selge never listens to a word I say.\Brother is just too terrified at the prospect of losing Lord Villar. response:	Well, Lord Selge does worship the ground Lord Villar walks on.
context: Brother...\I've been left behind.\What are you doing, Ellet?\Aren't you my brother's contracted mage?\Indeed, I am, but...\Lord Selge never listens to a word I say.\Brother is just too terrified at the prospect of losing Lord Villar.\Well, Lord Selge does worship the ground Lord Villar walks on. response:	No wonder he can't keep his head.
context: I've been left behind.\What are you doing, Ellet?\Aren't you my brother's contracted mage?\Indeed, I am, but...\Lord Selge never listens to a word I say.\Brother is just too terrified at the prospect of losing Lord Villar.\Well, Lord Selge does worship the ground Lord Villar walks on.\No wonder he can't keep his head. response:	I'm sure he'll make some kind of trouble.
context: What are you doing, Ellet?\Aren't you my brother's contracted mage?\Indeed, I am, but...\Lord Selge never listens to a word I say.\Brother is just too terrified at the prospect of losing Lord Villar.\Well, Lord Selge does worship the ground Lord Villar walks on.\No wonder he can't keep his head.\I'm sure he'll make some kind of trouble. response:	If you think so, why don't you go after him right now?
context: Aren't you my brother's contracted mage?\Indeed, I am, but...\Lord Selge never listens to a word I say.\Brother is just too terrified at the prospect of losing Lord Villar.\Well, Lord Selge does worship the ground Lord Villar walks on.\No wonder he can't keep his head.\I'm sure he'll make some kind of trouble.\If you think so, why don't you go after him right now? response:	Oh, I think I will.
context: Indeed, I am, but...\Lord Selge never listens to a word I say.\Brother is just too terrified at the prospect of losing Lord Villar.\Well, Lord Selge does worship the ground Lord Villar walks on.\No wonder he can't keep his head.\I'm sure he'll make some kind of trouble.\If you think so, why don't you go after him right now?\Oh, I think I will. response:	After all, if anything happens to Lord Selge,
context: Lord Selge never listens to a word I say.\Brother is just too terrified at the prospect of losing Lord Villar.\Well, Lord Selge does worship the ground Lord Villar walks on.\No wonder he can't keep his head.\I'm sure he'll make some kind of trouble.\If you think so, why don't you go after him right now?\Oh, I think I will.\After all, if anything happens to Lord Selge, response:	I'll have to look for a new contractor.
context: Brother is just too terrified at the prospect of losing Lord Villar.\Well, Lord Selge does worship the ground Lord Villar walks on.\No wonder he can't keep his head.\I'm sure he'll make some kind of trouble.\If you think so, why don't you go after him right now?\Oh, I think I will.\After all, if anything happens to Lord Selge,\I'll have to look for a new contractor. response:	Edokia.
context: Well, Lord Selge does worship the ground Lord Villar walks on.\No wonder he can't keep his head.\I'm sure he'll make some kind of trouble.\If you think so, why don't you go after him right now?\Oh, I think I will.\After all, if anything happens to Lord Selge,\I'll have to look for a new contractor.\Edokia. response:	What is it?
context: No wonder he can't keep his head.\I'm sure he'll make some kind of trouble.\If you think so, why don't you go after him right now?\Oh, I think I will.\After all, if anything happens to Lord Selge,\I'll have to look for a new contractor.\Edokia.\What is it? response:	We've received a request for aid from Lord Villar, the Earl of Altirk.
context: I'm sure he'll make some kind of trouble.\If you think so, why don't you go after him right now?\Oh, I think I will.\After all, if anything happens to Lord Selge,\I'll have to look for a new contractor.\Edokia.\What is it?\We've received a request for aid from Lord Villar, the Earl of Altirk. response:	He's asking us to send our naval forces.
context: If you think so, why don't you go after him right now?\Oh, I think I will.\After all, if anything happens to Lord Selge,\I'll have to look for a new contractor.\Edokia.\What is it?\We've received a request for aid from Lord Villar, the Earl of Altirk.\He's asking us to send our naval forces. response:	Our naval forces?
context: Oh, I think I will.\After all, if anything happens to Lord Selge,\I'll have to look for a new contractor.\Edokia.\What is it?\We've received a request for aid from Lord Villar, the Earl of Altirk.\He's asking us to send our naval forces.\Our naval forces? response:	It's all right to send the palace, yes?
context: After all, if anything happens to Lord Selge,\I'll have to look for a new contractor.\Edokia.\What is it?\We've received a request for aid from Lord Villar, the Earl of Altirk.\He's asking us to send our naval forces.\Our naval forces?\It's all right to send the palace, yes? response:	Not like our navy boasts any other warships...
context: I'll have to look for a new contractor.\Edokia.\What is it?\We've received a request for aid from Lord Villar, the Earl of Altirk.\He's asking us to send our naval forces.\Our naval forces?\It's all right to send the palace, yes?\Not like our navy boasts any other warships... response:	That's because we only need the one ship.
context: Edokia.\What is it?\We've received a request for aid from Lord Villar, the Earl of Altirk.\He's asking us to send our naval forces.\Our naval forces?\It's all right to send the palace, yes?\Not like our navy boasts any other warships...\That's because we only need the one ship. response:	It's just for bombarding the enemy fleet.
context: What is it?\We've received a request for aid from Lord Villar, the Earl of Altirk.\He's asking us to send our naval forces.\Our naval forces?\It's all right to send the palace, yes?\Not like our navy boasts any other warships...\That's because we only need the one ship.\It's just for bombarding the enemy fleet. response:	Right, Joachim?
context: We've received a request for aid from Lord Villar, the Earl of Altirk.\He's asking us to send our naval forces.\Our naval forces?\It's all right to send the palace, yes?\Not like our navy boasts any other warships...\That's because we only need the one ship.\It's just for bombarding the enemy fleet.\Right, Joachim? response:	Leave it to me.
context: He's asking us to send our naval forces.\Our naval forces?\It's all right to send the palace, yes?\Not like our navy boasts any other warships...\That's because we only need the one ship.\It's just for bombarding the enemy fleet.\Right, Joachim?\Leave it to me. response:	I'll be taking part as well. Along with all my beloved men!
context: Our naval forces?\It's all right to send the palace, yes?\Not like our navy boasts any other warships...\That's because we only need the one ship.\It's just for bombarding the enemy fleet.\Right, Joachim?\Leave it to me.\I'll be taking part as well. Along with all my beloved men! response:	I'm leaving you in charge while I'm gone.
context: It's all right to send the palace, yes?\Not like our navy boasts any other warships...\That's because we only need the one ship.\It's just for bombarding the enemy fleet.\Right, Joachim?\Leave it to me.\I'll be taking part as well. Along with all my beloved men!\I'm leaving you in charge while I'm gone. response:	Understood.
context: Not like our navy boasts any other warships...\That's because we only need the one ship.\It's just for bombarding the enemy fleet.\Right, Joachim?\Leave it to me.\I'll be taking part as well. Along with all my beloved men!\I'm leaving you in charge while I'm gone.\Understood. response:	Gentlemen!
context: That's because we only need the one ship.\It's just for bombarding the enemy fleet.\Right, Joachim?\Leave it to me.\I'll be taking part as well. Along with all my beloved men!\I'm leaving you in charge while I'm gone.\Understood.\Gentlemen! response:	We're heading to Altirk to help Lord Villar out of the dire straits he has found himself in.
context: It's just for bombarding the enemy fleet.\Right, Joachim?\Leave it to me.\I'll be taking part as well. Along with all my beloved men!\I'm leaving you in charge while I'm gone.\Understood.\Gentlemen!\We're heading to Altirk to help Lord Villar out of the dire straits he has found himself in. response:	Now! Raise your goblets!
context: Right, Joachim?\Leave it to me.\I'll be taking part as well. Along with all my beloved men!\I'm leaving you in charge while I'm gone.\Understood.\Gentlemen!\We're heading to Altirk to help Lord Villar out of the dire straits he has found himself in.\Now! Raise your goblets! response:	This ale will invigorate us on the battlefield,
context: Leave it to me.\I'll be taking part as well. Along with all my beloved men!\I'm leaving you in charge while I'm gone.\Understood.\Gentlemen!\We're heading to Altirk to help Lord Villar out of the dire straits he has found himself in.\Now! Raise your goblets!\This ale will invigorate us on the battlefield, response:	and give us a pleasant rush of adrenaline and courage!
context: I'll be taking part as well. Along with all my beloved men!\I'm leaving you in charge while I'm gone.\Understood.\Gentlemen!\We're heading to Altirk to help Lord Villar out of the dire straits he has found himself in.\Now! Raise your goblets!\This ale will invigorate us on the battlefield,\and give us a pleasant rush of adrenaline and courage! response:	You'll all be playing leading roles in this war, with zero chance you'll die!
context: I'm leaving you in charge while I'm gone.\Understood.\Gentlemen!\We're heading to Altirk to help Lord Villar out of the dire straits he has found himself in.\Now! Raise your goblets!\This ale will invigorate us on the battlefield,\and give us a pleasant rush of adrenaline and courage!\You'll all be playing leading roles in this war, with zero chance you'll die! response:	Lord Solon!
context: Understood.\Gentlemen!\We're heading to Altirk to help Lord Villar out of the dire straits he has found himself in.\Now! Raise your goblets!\This ale will invigorate us on the battlefield,\and give us a pleasant rush of adrenaline and courage!\You'll all be playing leading roles in this war, with zero chance you'll die!\Lord Solon! response:	What if I do happen to die?
context: Gentlemen!\We're heading to Altirk to help Lord Villar out of the dire straits he has found himself in.\Now! Raise your goblets!\This ale will invigorate us on the battlefield,\and give us a pleasant rush of adrenaline and courage!\You'll all be playing leading roles in this war, with zero chance you'll die!\Lord Solon!\What if I do happen to die? response:	Then you were no more than a bit player. So give it up!
context: We're heading to Altirk to help Lord Villar out of the dire straits he has found himself in.\Now! Raise your goblets!\This ale will invigorate us on the battlefield,\and give us a pleasant rush of adrenaline and courage!\You'll all be playing leading roles in this war, with zero chance you'll die!\Lord Solon!\What if I do happen to die?\Then you were no more than a bit player. So give it up! response:	Now, bottoms up, men! Then don your masks!
context: Now! Raise your goblets!\This ale will invigorate us on the battlefield,\and give us a pleasant rush of adrenaline and courage!\You'll all be playing leading roles in this war, with zero chance you'll die!\Lord Solon!\What if I do happen to die?\Then you were no more than a bit player. So give it up!\Now, bottoms up, men! Then don your masks! response:	The role you play is that of the Invincible Hero!
context: This ale will invigorate us on the battlefield,\and give us a pleasant rush of adrenaline and courage!\You'll all be playing leading roles in this war, with zero chance you'll die!\Lord Solon!\What if I do happen to die?\Then you were no more than a bit player. So give it up!\Now, bottoms up, men! Then don your masks!\The role you play is that of the Invincible Hero! response:	No arrow on earth, nor any blade shall harm you!
context: and give us a pleasant rush of adrenaline and courage!\You'll all be playing leading roles in this war, with zero chance you'll die!\Lord Solon!\What if I do happen to die?\Then you were no more than a bit player. So give it up!\Now, bottoms up, men! Then don your masks!\The role you play is that of the Invincible Hero!\No arrow on earth, nor any blade shall harm you! response:	Will this battle turn out to be a comedy or a tragedy?
context: You'll all be playing leading roles in this war, with zero chance you'll die!\Lord Solon!\What if I do happen to die?\Then you were no more than a bit player. So give it up!\Now, bottoms up, men! Then don your masks!\The role you play is that of the Invincible Hero!\No arrow on earth, nor any blade shall harm you!\Will this battle turn out to be a comedy or a tragedy? response:	Let the curtain rise!
context: Lord Solon!\What if I do happen to die?\Then you were no more than a bit player. So give it up!\Now, bottoms up, men! Then don your masks!\The role you play is that of the Invincible Hero!\No arrow on earth, nor any blade shall harm you!\Will this battle turn out to be a comedy or a tragedy?\Let the curtain rise! response:	Let the curtain rise!
context: What if I do happen to die?\Then you were no more than a bit player. So give it up!\Now, bottoms up, men! Then don your masks!\The role you play is that of the Invincible Hero!\No arrow on earth, nor any blade shall harm you!\Will this battle turn out to be a comedy or a tragedy?\Let the curtain rise!\Let the curtain rise! response:	The Bultava forces are five thousand strong.
context: Then you were no more than a bit player. So give it up!\Now, bottoms up, men! Then don your masks!\The role you play is that of the Invincible Hero!\No arrow on earth, nor any blade shall harm you!\Will this battle turn out to be a comedy or a tragedy?\Let the curtain rise!\Let the curtain rise!\The Bultava forces are five thousand strong. response:	We have a team of Artists on our side, but only two hundred.
context: Now, bottoms up, men! Then don your masks!\The role you play is that of the Invincible Hero!\No arrow on earth, nor any blade shall harm you!\Will this battle turn out to be a comedy or a tragedy?\Let the curtain rise!\Let the curtain rise!\The Bultava forces are five thousand strong.\We have a team of Artists on our side, but only two hundred. response:	We're recruiting soldiers from the Forest of Eternal Darkness, but...
context: The role you play is that of the Invincible Hero!\No arrow on earth, nor any blade shall harm you!\Will this battle turn out to be a comedy or a tragedy?\Let the curtain rise!\Let the curtain rise!\The Bultava forces are five thousand strong.\We have a team of Artists on our side, but only two hundred.\We're recruiting soldiers from the Forest of Eternal Darkness, but... response:	I don't know how many will join.
context: No arrow on earth, nor any blade shall harm you!\Will this battle turn out to be a comedy or a tragedy?\Let the curtain rise!\Let the curtain rise!\The Bultava forces are five thousand strong.\We have a team of Artists on our side, but only two hundred.\We're recruiting soldiers from the Forest of Eternal Darkness, but...\I don't know how many will join. response:	Neither do I.
context: Will this battle turn out to be a comedy or a tragedy?\Let the curtain rise!\Let the curtain rise!\The Bultava forces are five thousand strong.\We have a team of Artists on our side, but only two hundred.\We're recruiting soldiers from the Forest of Eternal Darkness, but...\I don't know how many will join.\Neither do I. response:	Holing up might be better...
context: Let the curtain rise!\Let the curtain rise!\The Bultava forces are five thousand strong.\We have a team of Artists on our side, but only two hundred.\We're recruiting soldiers from the Forest of Eternal Darkness, but...\I don't know how many will join.\Neither do I.\Holing up might be better... response:	We can't turn this place into a battlefield.
context: Let the curtain rise!\The Bultava forces are five thousand strong.\We have a team of Artists on our side, but only two hundred.\We're recruiting soldiers from the Forest of Eternal Darkness, but...\I don't know how many will join.\Neither do I.\Holing up might be better...\We can't turn this place into a battlefield. response:	Understood.
context: The Bultava forces are five thousand strong.\We have a team of Artists on our side, but only two hundred.\We're recruiting soldiers from the Forest of Eternal Darkness, but...\I don't know how many will join.\Neither do I.\Holing up might be better...\We can't turn this place into a battlefield.\Understood. response:	All right, let's mobilize.
context: We have a team of Artists on our side, but only two hundred.\We're recruiting soldiers from the Forest of Eternal Darkness, but...\I don't know how many will join.\Neither do I.\Holing up might be better...\We can't turn this place into a battlefield.\Understood.\All right, let's mobilize. response:	Before the Bultava forces enter the forest.
context: We're recruiting soldiers from the Forest of Eternal Darkness, but...\I don't know how many will join.\Neither do I.\Holing up might be better...\We can't turn this place into a battlefield.\Understood.\All right, let's mobilize.\Before the Bultava forces enter the forest. response:	Come on, let's go!
