context: Fixed Synced by bozxphd.Enjoy The Flick response:	Dropping troops at rally point.
context: Ready!\Go! Go! Go! Go! Go! Go! Go! Go! Go! Go!\All units have landed. Incoming transmissions from the units.\Five meters till they reach the target.\Three meters.\Two.\One.\Hey! Cease fire! response:	Cease fire! Stop!
context: Go! Go! Go! Go! Go! Go! Go! Go! Go! Go!\All units have landed. Incoming transmissions from the units.\Five meters till they reach the target.\Three meters.\Two.\One.\Hey! Cease fire!\Cease fire! Stop! response:	Cease fire! Hey!
context: All units have landed. Incoming transmissions from the units.\Five meters till they reach the target.\Three meters.\Two.\One.\Hey! Cease fire!\Cease fire! Stop!\Cease fire! Hey! response:	Even if we look at things in a global scale, it would be the same thing.
context: Five meters till they reach the target.\Three meters.\Two.\One.\Hey! Cease fire!\Cease fire! Stop!\Cease fire! Hey!\Even if we look at things in a global scale, it would be the same thing. response:	There are people living in low wages around the world.
context: Three meters.\Two.\One.\Hey! Cease fire!\Cease fire! Stop!\Cease fire! Hey!\Even if we look at things in a global scale, it would be the same thing.\There are people living in low wages around the world. response:	But they have their reasons why they are forced to live that way.
context: Two.\One.\Hey! Cease fire!\Cease fire! Stop!\Cease fire! Hey!\Even if we look at things in a global scale, it would be the same thing.\There are people living in low wages around the world.\But they have their reasons why they are forced to live that way. response:	That is because only these people
context: One.\Hey! Cease fire!\Cease fire! Stop!\Cease fire! Hey!\Even if we look at things in a global scale, it would be the same thing.\There are people living in low wages around the world.\But they have their reasons why they are forced to live that way.\That is because only these people response:	are the ones supporting the rich.
context: Hey! Cease fire!\Cease fire! Stop!\Cease fire! Hey!\Even if we look at things in a global scale, it would be the same thing.\There are people living in low wages around the world.\But they have their reasons why they are forced to live that way.\That is because only these people\are the ones supporting the rich. response:	That's precisely why the weak exists so the strong can live.
context: Cease fire! Stop!\Cease fire! Hey!\Even if we look at things in a global scale, it would be the same thing.\There are people living in low wages around the world.\But they have their reasons why they are forced to live that way.\That is because only these people\are the ones supporting the rich.\That's precisely why the weak exists so the strong can live. response:	That's the reason they exist to maintain the high quality of this school.
context: Cease fire! Hey!\Even if we look at things in a global scale, it would be the same thing.\There are people living in low wages around the world.\But they have their reasons why they are forced to live that way.\That is because only these people\are the ones supporting the rich.\That's precisely why the weak exists so the strong can live.\That's the reason they exist to maintain the high quality of this school. response:	That's the purpose of the Class 3-E.
context: Even if we look at things in a global scale, it would be the same thing.\There are people living in low wages around the world.\But they have their reasons why they are forced to live that way.\That is because only these people\are the ones supporting the rich.\That's precisely why the weak exists so the strong can live.\That's the reason they exist to maintain the high quality of this school.\That's the purpose of the Class 3-E. response:	Stand!
context: There are people living in low wages around the world.\But they have their reasons why they are forced to live that way.\That is because only these people\are the ones supporting the rich.\That's precisely why the weak exists so the strong can live.\That's the reason they exist to maintain the high quality of this school.\That's the purpose of the Class 3-E.\Stand! response:	Attention!
context: But they have their reasons why they are forced to live that way.\That is because only these people\are the ones supporting the rich.\That's precisely why the weak exists so the strong can live.\That's the reason they exist to maintain the high quality of this school.\That's the purpose of the Class 3-E.\Stand!\Attention! response:	Bow!
context: That is because only these people\are the ones supporting the rich.\That's precisely why the weak exists so the strong can live.\That's the reason they exist to maintain the high quality of this school.\That's the purpose of the Class 3-E.\Stand!\Attention!\Bow! response:	We are killers.
context: are the ones supporting the rich.\That's precisely why the weak exists so the strong can live.\That's the reason they exist to maintain the high quality of this school.\That's the purpose of the Class 3-E.\Stand!\Attention!\Bow!\We are killers. response:	And our target...
context: That's precisely why the weak exists so the strong can live.\That's the reason they exist to maintain the high quality of this school.\That's the purpose of the Class 3-E.\Stand!\Attention!\Bow!\We are killers.\And our target... response:	is our teacher.
context: That's the reason they exist to maintain the high quality of this school.\That's the purpose of the Class 3-E.\Stand!\Attention!\Bow!\We are killers.\And our target...\is our teacher. response:	I'll be taking attendance, so please, fire all you like.
context: That's the purpose of the Class 3-E.\Stand!\Attention!\Bow!\We are killers.\And our target...\is our teacher.\I'll be taking attendance, so please, fire all you like. response:	Yuuma Isogai.
context: Stand!\Attention!\Bow!\We are killers.\And our target...\is our teacher.\I'll be taking attendance, so please, fire all you like.\Yuuma Isogai. response:	Present.
context: Attention!\Bow!\We are killers.\And our target...\is our teacher.\I'll be taking attendance, so please, fire all you like.\Yuuma Isogai.\Present. response:	Taiga Okajima.
context: Bow!\We are killers.\And our target...\is our teacher.\I'll be taking attendance, so please, fire all you like.\Yuuma Isogai.\Present.\Taiga Okajima. response:	Present!
context: We are killers.\And our target...\is our teacher.\I'll be taking attendance, so please, fire all you like.\Yuuma Isogai.\Present.\Taiga Okajima.\Present! response:	Hinata Okano.
context: And our target...\is our teacher.\I'll be taking attendance, so please, fire all you like.\Yuuma Isogai.\Present.\Taiga Okajima.\Present!\Hinata Okano. response:	Present.
context: is our teacher.\I'll be taking attendance, so please, fire all you like.\Yuuma Isogai.\Present.\Taiga Okajima.\Present!\Hinata Okano.\Present. response:	Manami Okuda.
context: I'll be taking attendance, so please, fire all you like.\Yuuma Isogai.\Present.\Taiga Okajima.\Present!\Hinata Okano.\Present.\Manami Okuda. response:	Present.
context: Yuuma Isogai.\Present.\Taiga Okajima.\Present!\Hinata Okano.\Present.\Manami Okuda.\Present. response:	How did we end up in this mess?
context: Present.\Taiga Okajima.\Present!\Hinata Okano.\Present.\Manami Okuda.\Present.\How did we end up in this mess? response:	It started when we just entered our third year.
context: Taiga Okajima.\Present!\Hinata Okano.\Present.\Manami Okuda.\Present.\How did we end up in this mess?\It started when we just entered our third year. response:	I say this especially to the third years.
context: Present!\Hinata Okano.\Present.\Manami Okuda.\Present.\How did we end up in this mess?\It started when we just entered our third year.\I say this especially to the third years. response:	You should thoroughly think how you should undertake your studies.
context: Hinata Okano.\Present.\Manami Okuda.\Present.\How did we end up in this mess?\It started when we just entered our third year.\I say this especially to the third years.\You should thoroughly think how you should undertake your studies. response:	The results will decide what will happen to the rest of your life.
context: Present.\Manami Okuda.\Present.\How did we end up in this mess?\It started when we just entered our third year.\I say this especially to the third years.\You should thoroughly think how you should undertake your studies.\The results will decide what will happen to the rest of your life. response:	I'm not exaggerating here.
context: Manami Okuda.\Present.\How did we end up in this mess?\It started when we just entered our third year.\I say this especially to the third years.\You should thoroughly think how you should undertake your studies.\The results will decide what will happen to the rest of your life.\I'm not exaggerating here. response:	Best to take it by heart.
context: Present.\How did we end up in this mess?\It started when we just entered our third year.\I say this especially to the third years.\You should thoroughly think how you should undertake your studies.\The results will decide what will happen to the rest of your life.\I'm not exaggerating here.\Best to take it by heart. response:	So that you would not end up like Class 3-E.
context: How did we end up in this mess?\It started when we just entered our third year.\I say this especially to the third years.\You should thoroughly think how you should undertake your studies.\The results will decide what will happen to the rest of your life.\I'm not exaggerating here.\Best to take it by heart.\So that you would not end up like Class 3-E. response:	My apologies. Forgot they're here.
context: It started when we just entered our third year.\I say this especially to the third years.\You should thoroughly think how you should undertake your studies.\The results will decide what will happen to the rest of your life.\I'm not exaggerating here.\Best to take it by heart.\So that you would not end up like Class 3-E.\My apologies. Forgot they're here. response:	The Class E students should at least do their best not interfere with the students of the main building as much as possible.
context: I say this especially to the third years.\You should thoroughly think how you should undertake your studies.\The results will decide what will happen to the rest of your life.\I'm not exaggerating here.\Best to take it by heart.\So that you would not end up like Class 3-E.\My apologies. Forgot they're here.\The Class E students should at least do their best not interfere with the students of the main building as much as possible. response:	The students that are not at Class E are the chosen ones. The elite.
context: You should thoroughly think how you should undertake your studies.\The results will decide what will happen to the rest of your life.\I'm not exaggerating here.\Best to take it by heart.\So that you would not end up like Class 3-E.\My apologies. Forgot they're here.\The Class E students should at least do their best not interfere with the students of the main building as much as possible.\The students that are not at Class E are the chosen ones. The elite. response:	Face this year having that in mind.
context: The results will decide what will happen to the rest of your life.\I'm not exaggerating here.\Best to take it by heart.\So that you would not end up like Class 3-E.\My apologies. Forgot they're here.\The Class E students should at least do their best not interfere with the students of the main building as much as possible.\The students that are not at Class E are the chosen ones. The elite.\Face this year having that in mind. response:	Starting today, we are the E for End Class, huh?
context: I'm not exaggerating here.\Best to take it by heart.\So that you would not end up like Class 3-E.\My apologies. Forgot they're here.\The Class E students should at least do their best not interfere with the students of the main building as much as possible.\The students that are not at Class E are the chosen ones. The elite.\Face this year having that in mind.\Starting today, we are the E for End Class, huh? response:	So that means our End is soon too.
context: Best to take it by heart.\So that you would not end up like Class 3-E.\My apologies. Forgot they're here.\The Class E students should at least do their best not interfere with the students of the main building as much as possible.\The students that are not at Class E are the chosen ones. The elite.\Face this year having that in mind.\Starting today, we are the E for End Class, huh?\So that means our End is soon too. response:	Yes. We are the drop out class who failed to meet the high level of the elite Kunugigaoka Middle School.
context: So that you would not end up like Class 3-E.\My apologies. Forgot they're here.\The Class E students should at least do their best not interfere with the students of the main building as much as possible.\The students that are not at Class E are the chosen ones. The elite.\Face this year having that in mind.\Starting today, we are the E for End Class, huh?\So that means our End is soon too.\Yes. We are the drop out class who failed to meet the high level of the elite Kunugigaoka Middle School. response:	Also known as E for End Class.
context: My apologies. Forgot they're here.\The Class E students should at least do their best not interfere with the students of the main building as much as possible.\The students that are not at Class E are the chosen ones. The elite.\Face this year having that in mind.\Starting today, we are the E for End Class, huh?\So that means our End is soon too.\Yes. We are the drop out class who failed to meet the high level of the elite Kunugigaoka Middle School.\Also known as E for End Class. response:	Our class is hidden in an old building at a mountaintop.
context: The Class E students should at least do their best not interfere with the students of the main building as much as possible.\The students that are not at Class E are the chosen ones. The elite.\Face this year having that in mind.\Starting today, we are the E for End Class, huh?\So that means our End is soon too.\Yes. We are the drop out class who failed to meet the high level of the elite Kunugigaoka Middle School.\Also known as E for End Class.\Our class is hidden in an old building at a mountaintop. response:	And we are always made fun of the other classes.
context: The students that are not at Class E are the chosen ones. The elite.\Face this year having that in mind.\Starting today, we are the E for End Class, huh?\So that means our End is soon too.\Yes. We are the drop out class who failed to meet the high level of the elite Kunugigaoka Middle School.\Also known as E for End Class.\Our class is hidden in an old building at a mountaintop.\And we are always made fun of the other classes. response:	And what suddenly appeared before us was...
context: Face this year having that in mind.\Starting today, we are the E for End Class, huh?\So that means our End is soon too.\Yes. We are the drop out class who failed to meet the high level of the elite Kunugigaoka Middle School.\Also known as E for End Class.\Our class is hidden in an old building at a mountaintop.\And we are always made fun of the other classes.\And what suddenly appeared before us was... response:	I am the one who tore the chunk out of your moon.
context: Starting today, we are the E for End Class, huh?\So that means our End is soon too.\Yes. We are the drop out class who failed to meet the high level of the elite Kunugigaoka Middle School.\Also known as E for End Class.\Our class is hidden in an old building at a mountaintop.\And we are always made fun of the other classes.\And what suddenly appeared before us was...\I am the one who tore the chunk out of your moon. response:	I plan to do the same to the Earth by March next year.
context: So that means our End is soon too.\Yes. We are the drop out class who failed to meet the high level of the elite Kunugigaoka Middle School.\Also known as E for End Class.\Our class is hidden in an old building at a mountaintop.\And we are always made fun of the other classes.\And what suddenly appeared before us was...\I am the one who tore the chunk out of your moon.\I plan to do the same to the Earth by March next year. response:	But until then, I will be your firm teacher.
context: Yes. We are the drop out class who failed to meet the high level of the elite Kunugigaoka Middle School.\Also known as E for End Class.\Our class is hidden in an old building at a mountaintop.\And we are always made fun of the other classes.\And what suddenly appeared before us was...\I am the one who tore the chunk out of your moon.\I plan to do the same to the Earth by March next year.\But until then, I will be your firm teacher. response:	Nice to meet all of you.
context: Also known as E for End Class.\Our class is hidden in an old building at a mountaintop.\And we are always made fun of the other classes.\And what suddenly appeared before us was...\I am the one who tore the chunk out of your moon.\I plan to do the same to the Earth by March next year.\But until then, I will be your firm teacher.\Nice to meet all of you. response:	What do you mean?
context: Our class is hidden in an old building at a mountaintop.\And we are always made fun of the other classes.\And what suddenly appeared before us was...\I am the one who tore the chunk out of your moon.\I plan to do the same to the Earth by March next year.\But until then, I will be your firm teacher.\Nice to meet all of you.\What do you mean? response:	Move!
context: And we are always made fun of the other classes.\And what suddenly appeared before us was...\I am the one who tore the chunk out of your moon.\I plan to do the same to the Earth by March next year.\But until then, I will be your firm teacher.\Nice to meet all of you.\What do you mean?\Move! response:	I'm Karasuma, from the Ministry of Defense.
context: And what suddenly appeared before us was...\I am the one who tore the chunk out of your moon.\I plan to do the same to the Earth by March next year.\But until then, I will be your firm teacher.\Nice to meet all of you.\What do you mean?\Move!\I'm Karasuma, from the Ministry of Defense. response:	You might not fully grasp what he's saying. Let me explain.
context: I am the one who tore the chunk out of your moon.\I plan to do the same to the Earth by March next year.\But until then, I will be your firm teacher.\Nice to meet all of you.\What do you mean?\Move!\I'm Karasuma, from the Ministry of Defense.\You might not fully grasp what he's saying. Let me explain. response:	Please understand that what I'm about to say is classified information.
context: I plan to do the same to the Earth by March next year.\But until then, I will be your firm teacher.\Nice to meet all of you.\What do you mean?\Move!\I'm Karasuma, from the Ministry of Defense.\You might not fully grasp what he's saying. Let me explain.\Please understand that what I'm about to say is classified information. response:	I want you to kill this creature.
context: But until then, I will be your firm teacher.\Nice to meet all of you.\What do you mean?\Move!\I'm Karasuma, from the Ministry of Defense.\You might not fully grasp what he's saying. Let me explain.\Please understand that what I'm about to say is classified information.\I want you to kill this creature. response:	I still don't get what you're saying.
context: Nice to meet all of you.\What do you mean?\Move!\I'm Karasuma, from the Ministry of Defense.\You might not fully grasp what he's saying. Let me explain.\Please understand that what I'm about to say is classified information.\I want you to kill this creature.\I still don't get what you're saying. response:	What he said is the truth.
context: What do you mean?\Move!\I'm Karasuma, from the Ministry of Defense.\You might not fully grasp what he's saying. Let me explain.\Please understand that what I'm about to say is classified information.\I want you to kill this creature.\I still don't get what you're saying.\What he said is the truth. response:	This creature who destroyed the moon, will also destroy Earth by March next year.
context: Move!\I'm Karasuma, from the Ministry of Defense.\You might not fully grasp what he's saying. Let me explain.\Please understand that what I'm about to say is classified information.\I want you to kill this creature.\I still don't get what you're saying.\What he said is the truth.\This creature who destroyed the moon, will also destroy Earth by March next year. response:	Only the world's leaders know about this.
context: I'm Karasuma, from the Ministry of Defense.\You might not fully grasp what he's saying. Let me explain.\Please understand that what I'm about to say is classified information.\I want you to kill this creature.\I still don't get what you're saying.\What he said is the truth.\This creature who destroyed the moon, will also destroy Earth by March next year.\Only the world's leaders know about this. response:	We would like to ask all of you to secretly cooperate before there would be global panic.
context: You might not fully grasp what he's saying. Let me explain.\Please understand that what I'm about to say is classified information.\I want you to kill this creature.\I still don't get what you're saying.\What he said is the truth.\This creature who destroyed the moon, will also destroy Earth by March next year.\Only the world's leaders know about this.\We would like to ask all of you to secretly cooperate before there would be global panic. response:	IN OTHER WORDS: An assassination.
context: Please understand that what I'm about to say is classified information.\I want you to kill this creature.\I still don't get what you're saying.\What he said is the truth.\This creature who destroyed the moon, will also destroy Earth by March next year.\Only the world's leaders know about this.\We would like to ask all of you to secretly cooperate before there would be global panic.\IN OTHER WORDS: An assassination. response:	But here's the catch: His speed is unmatched.
context: I want you to kill this creature.\I still don't get what you're saying.\What he said is the truth.\This creature who destroyed the moon, will also destroy Earth by March next year.\Only the world's leaders know about this.\We would like to ask all of you to secretly cooperate before there would be global panic.\IN OTHER WORDS: An assassination.\But here's the catch: His speed is unmatched. response:	As you can see, when you try to kill him, he ends up grooming your hair instead - immaculately.
context: I still don't get what you're saying.\What he said is the truth.\This creature who destroyed the moon, will also destroy Earth by March next year.\Only the world's leaders know about this.\We would like to ask all of you to secretly cooperate before there would be global panic.\IN OTHER WORDS: An assassination.\But here's the catch: His speed is unmatched.\As you can see, when you try to kill him, he ends up grooming your hair instead - immaculately. response:	That's because his speed tops out at Mach 20.
context: What he said is the truth.\This creature who destroyed the moon, will also destroy Earth by March next year.\Only the world's leaders know about this.\We would like to ask all of you to secretly cooperate before there would be global panic.\IN OTHER WORDS: An assassination.\But here's the catch: His speed is unmatched.\As you can see, when you try to kill him, he ends up grooming your hair instead - immaculately.\That's because his speed tops out at Mach 20. response:	In short, if he actually wanted to get away from us, before the Earth's destruction,
context: This creature who destroyed the moon, will also destroy Earth by March next year.\Only the world's leaders know about this.\We would like to ask all of you to secretly cooperate before there would be global panic.\IN OTHER WORDS: An assassination.\But here's the catch: His speed is unmatched.\As you can see, when you try to kill him, he ends up grooming your hair instead - immaculately.\That's because his speed tops out at Mach 20.\In short, if he actually wanted to get away from us, before the Earth's destruction, response:	we wouldn't be able to do a thing to stop him.
context: Only the world's leaders know about this.\We would like to ask all of you to secretly cooperate before there would be global panic.\IN OTHER WORDS: An assassination.\But here's the catch: His speed is unmatched.\As you can see, when you try to kill him, he ends up grooming your hair instead - immaculately.\That's because his speed tops out at Mach 20.\In short, if he actually wanted to get away from us, before the Earth's destruction,\we wouldn't be able to do a thing to stop him. response:	Since there is no fun in that,
context: We would like to ask all of you to secretly cooperate before there would be global panic.\IN OTHER WORDS: An assassination.\But here's the catch: His speed is unmatched.\As you can see, when you try to kill him, he ends up grooming your hair instead - immaculately.\That's because his speed tops out at Mach 20.\In short, if he actually wanted to get away from us, before the Earth's destruction,\we wouldn't be able to do a thing to stop him.\Since there is no fun in that, response:	I made your government an offer.
context: IN OTHER WORDS: An assassination.\But here's the catch: His speed is unmatched.\As you can see, when you try to kill him, he ends up grooming your hair instead - immaculately.\That's because his speed tops out at Mach 20.\In short, if he actually wanted to get away from us, before the Earth's destruction,\we wouldn't be able to do a thing to stop him.\Since there is no fun in that,\I made your government an offer. response:	I don't mind being killed as long as I became a firm teacher of this Kunigigaoka Middle School's Class 3-E.
context: But here's the catch: His speed is unmatched.\As you can see, when you try to kill him, he ends up grooming your hair instead - immaculately.\That's because his speed tops out at Mach 20.\In short, if he actually wanted to get away from us, before the Earth's destruction,\we wouldn't be able to do a thing to stop him.\Since there is no fun in that,\I made your government an offer.\I don't mind being killed as long as I became a firm teacher of this Kunigigaoka Middle School's Class 3-E. response:	That is the situation.
context: As you can see, when you try to kill him, he ends up grooming your hair instead - immaculately.\That's because his speed tops out at Mach 20.\In short, if he actually wanted to get away from us, before the Earth's destruction,\we wouldn't be able to do a thing to stop him.\Since there is no fun in that,\I made your government an offer.\I don't mind being killed as long as I became a firm teacher of this Kunigigaoka Middle School's Class 3-E.\That is the situation. response:	In order to kill him, you're going to use these specially made BB pellets and knives that the Ministry of Defense produced.
context: That's because his speed tops out at Mach 20.\In short, if he actually wanted to get away from us, before the Earth's destruction,\we wouldn't be able to do a thing to stop him.\Since there is no fun in that,\I made your government an offer.\I don't mind being killed as long as I became a firm teacher of this Kunigigaoka Middle School's Class 3-E.\That is the situation.\In order to kill him, you're going to use these specially made BB pellets and knives that the Ministry of Defense produced. response:	Pellets and knives are not that dangerous for middle school students like you to use.
context: In short, if he actually wanted to get away from us, before the Earth's destruction,\we wouldn't be able to do a thing to stop him.\Since there is no fun in that,\I made your government an offer.\I don't mind being killed as long as I became a firm teacher of this Kunigigaoka Middle School's Class 3-E.\That is the situation.\In order to kill him, you're going to use these specially made BB pellets and knives that the Ministry of Defense produced.\Pellets and knives are not that dangerous for middle school students like you to use. response:	That's why we chose these weapons.
context: we wouldn't be able to do a thing to stop him.\Since there is no fun in that,\I made your government an offer.\I don't mind being killed as long as I became a firm teacher of this Kunigigaoka Middle School's Class 3-E.\That is the situation.\In order to kill him, you're going to use these specially made BB pellets and knives that the Ministry of Defense produced.\Pellets and knives are not that dangerous for middle school students like you to use.\That's why we chose these weapons. response:	These are particularly harmless to most humans.
context: Since there is no fun in that,\I made your government an offer.\I don't mind being killed as long as I became a firm teacher of this Kunigigaoka Middle School's Class 3-E.\That is the situation.\In order to kill him, you're going to use these specially made BB pellets and knives that the Ministry of Defense produced.\Pellets and knives are not that dangerous for middle school students like you to use.\That's why we chose these weapons.\These are particularly harmless to most humans. response:	But these weapons have especially a lethal effect against him.
context: I made your government an offer.\I don't mind being killed as long as I became a firm teacher of this Kunigigaoka Middle School's Class 3-E.\That is the situation.\In order to kill him, you're going to use these specially made BB pellets and knives that the Ministry of Defense produced.\Pellets and knives are not that dangerous for middle school students like you to use.\That's why we chose these weapons.\These are particularly harmless to most humans.\But these weapons have especially a lethal effect against him. response:	I'll regenerate after a few seconds anyway.
context: I don't mind being killed as long as I became a firm teacher of this Kunigigaoka Middle School's Class 3-E.\That is the situation.\In order to kill him, you're going to use these specially made BB pellets and knives that the Ministry of Defense produced.\Pellets and knives are not that dangerous for middle school students like you to use.\That's why we chose these weapons.\These are particularly harmless to most humans.\But these weapons have especially a lethal effect against him.\I'll regenerate after a few seconds anyway. response:	He made an agreement with the government to never harm you.
context: That is the situation.\In order to kill him, you're going to use these specially made BB pellets and knives that the Ministry of Defense produced.\Pellets and knives are not that dangerous for middle school students like you to use.\That's why we chose these weapons.\These are particularly harmless to most humans.\But these weapons have especially a lethal effect against him.\I'll regenerate after a few seconds anyway.\He made an agreement with the government to never harm you. response:	We don't know his reasons but we agreed to his conditions.
context: In order to kill him, you're going to use these specially made BB pellets and knives that the Ministry of Defense produced.\Pellets and knives are not that dangerous for middle school students like you to use.\That's why we chose these weapons.\These are particularly harmless to most humans.\But these weapons have especially a lethal effect against him.\I'll regenerate after a few seconds anyway.\He made an agreement with the government to never harm you.\We don't know his reasons but we agreed to his conditions. response:	In other words, the thirty of you as his pupils have an opportunity to kill him from extremely close range.
context: Pellets and knives are not that dangerous for middle school students like you to use.\That's why we chose these weapons.\These are particularly harmless to most humans.\But these weapons have especially a lethal effect against him.\I'll regenerate after a few seconds anyway.\He made an agreement with the government to never harm you.\We don't know his reasons but we agreed to his conditions.\In other words, the thirty of you as his pupils have an opportunity to kill him from extremely close range. response:	The reward for a successful assassination is 10 billion yen.
context: That's why we chose these weapons.\These are particularly harmless to most humans.\But these weapons have especially a lethal effect against him.\I'll regenerate after a few seconds anyway.\He made an agreement with the government to never harm you.\We don't know his reasons but we agreed to his conditions.\In other words, the thirty of you as his pupils have an opportunity to kill him from extremely close range.\The reward for a successful assassination is 10 billion yen. response:	10 billion yen?!
context: These are particularly harmless to most humans.\But these weapons have especially a lethal effect against him.\I'll regenerate after a few seconds anyway.\He made an agreement with the government to never harm you.\We don't know his reasons but we agreed to his conditions.\In other words, the thirty of you as his pupils have an opportunity to kill him from extremely close range.\The reward for a successful assassination is 10 billion yen.\10 billion yen?! response:	Nagisa Shiota.
context: But these weapons have especially a lethal effect against him.\I'll regenerate after a few seconds anyway.\He made an agreement with the government to never harm you.\We don't know his reasons but we agreed to his conditions.\In other words, the thirty of you as his pupils have an opportunity to kill him from extremely close range.\The reward for a successful assassination is 10 billion yen.\10 billion yen?!\Nagisa Shiota. response:	Present.
context: I'll regenerate after a few seconds anyway.\He made an agreement with the government to never harm you.\We don't know his reasons but we agreed to his conditions.\In other words, the thirty of you as his pupils have an opportunity to kill him from extremely close range.\The reward for a successful assassination is 10 billion yen.\10 billion yen?!\Nagisa Shiota.\Present. response:	Since then, Mr Karasuma from the Ministry of Defense,
context: He made an agreement with the government to never harm you.\We don't know his reasons but we agreed to his conditions.\In other words, the thirty of you as his pupils have an opportunity to kill him from extremely close range.\The reward for a successful assassination is 10 billion yen.\10 billion yen?!\Nagisa Shiota.\Present.\Since then, Mr Karasuma from the Ministry of Defense, response:	became the assistant firm teacher
context: We don't know his reasons but we agreed to his conditions.\In other words, the thirty of you as his pupils have an opportunity to kill him from extremely close range.\The reward for a successful assassination is 10 billion yen.\10 billion yen?!\Nagisa Shiota.\Present.\Since then, Mr Karasuma from the Ministry of Defense,\became the assistant firm teacher response:	to train us in our assassination.
context: In other words, the thirty of you as his pupils have an opportunity to kill him from extremely close range.\The reward for a successful assassination is 10 billion yen.\10 billion yen?!\Nagisa Shiota.\Present.\Since then, Mr Karasuma from the Ministry of Defense,\became the assistant firm teacher\to train us in our assassination. response:	Furthermore, someone was also hired to support Mr Karasuma.
context: The reward for a successful assassination is 10 billion yen.\10 billion yen?!\Nagisa Shiota.\Present.\Since then, Mr Karasuma from the Ministry of Defense,\became the assistant firm teacher\to train us in our assassination.\Furthermore, someone was also hired to support Mr Karasuma. response:	Ms Irina Jelavic.
context: 10 billion yen?!\Nagisa Shiota.\Present.\Since then, Mr Karasuma from the Ministry of Defense,\became the assistant firm teacher\to train us in our assassination.\Furthermore, someone was also hired to support Mr Karasuma.\Ms Irina Jelavic. response:	I heard that
context: Nagisa Shiota.\Present.\Since then, Mr Karasuma from the Ministry of Defense,\became the assistant firm teacher\to train us in our assassination.\Furthermore, someone was also hired to support Mr Karasuma.\Ms Irina Jelavic.\I heard that response:	she is a highly skilled professional assassin.
context: Present.\Since then, Mr Karasuma from the Ministry of Defense,\became the assistant firm teacher\to train us in our assassination.\Furthermore, someone was also hired to support Mr Karasuma.\Ms Irina Jelavic.\I heard that\she is a highly skilled professional assassin. response:	At first, she was sent to kill this powerful creature but...
context: Since then, Mr Karasuma from the Ministry of Defense,\became the assistant firm teacher\to train us in our assassination.\Furthermore, someone was also hired to support Mr Karasuma.\Ms Irina Jelavic.\I heard that\she is a highly skilled professional assassin.\At first, she was sent to kill this powerful creature but... response:	She was changed into a wholesome, retro PE outfit.
