context: Um... response:	Experiment Result: Human is dead,
context: What is this?\Some kind of program code, I think.\An Introduction to Character Code Engineering\I don't get it!\Daru-kun?\This doesn't make any sense!\Die! Damn it!\We should stop. response:	This is the first time I've had an
context: Some kind of program code, I think.\An Introduction to Character Code Engineering\I don't get it!\Daru-kun?\This doesn't make any sense!\Die! Damn it!\We should stop.\This is the first time I've had an response:	I was this close to getting it! experience.
context: An Introduction to Character Code Engineering\I don't get it!\Daru-kun?\This doesn't make any sense!\Die! Damn it!\We should stop.\This is the first time I've had an\I was this close to getting it! experience. response:	Good job.
context: I don't get it!\Daru-kun?\This doesn't make any sense!\Die! Damn it!\We should stop.\This is the first time I've had an\I was this close to getting it! experience.\Good job. response:	Take a break.
context: Daru-kun?\This doesn't make any sense!\Die! Damn it!\We should stop.\This is the first time I've had an\I was this close to getting it! experience.\Good job.\Take a break. response:	You don't have to tell me. I'm done.
context: This doesn't make any sense!\Die! Damn it!\We should stop.\This is the first time I've had an\I was this close to getting it! experience.\Good job.\Take a break.\You don't have to tell me. I'm done. response:	Daru-kun, I've got canned oden.
context: Die! Damn it!\We should stop.\This is the first time I've had an\I was this close to getting it! experience.\Good job.\Take a break.\You don't have to tell me. I'm done.\Daru-kun, I've got canned oden. response:	Thanks.
context: We should stop.\This is the first time I've had an\I was this close to getting it! experience.\Good job.\Take a break.\You don't have to tell me. I'm done.\Daru-kun, I've got canned oden.\Thanks. response:	Program code...
context: This is the first time I've had an\I was this close to getting it! experience.\Good job.\Take a break.\You don't have to tell me. I'm done.\Daru-kun, I've got canned oden.\Thanks.\Program code... response:	The IBN 5100 was created before BASIC,
context: I was this close to getting it! experience.\Good job.\Take a break.\You don't have to tell me. I'm done.\Daru-kun, I've got canned oden.\Thanks.\Program code...\The IBN 5100 was created before BASIC, response:	So it can read IBN's proprietary programming languages or something...
context: Good job.\Take a break.\You don't have to tell me. I'm done.\Daru-kun, I've got canned oden.\Thanks.\Program code...\The IBN 5100 was created before BASIC,\So it can read IBN's proprietary programming languages or something... response:	I need the IBN 5100's abilities to stop their plans.
context: Take a break.\You don't have to tell me. I'm done.\Daru-kun, I've got canned oden.\Thanks.\Program code...\The IBN 5100 was created before BASIC,\So it can read IBN's proprietary programming languages or something...\I need the IBN 5100's abilities to stop their plans. response:	I'd like to talk to you in detail.
context: You don't have to tell me. I'm done.\Daru-kun, I've got canned oden.\Thanks.\Program code...\The IBN 5100 was created before BASIC,\So it can read IBN's proprietary programming languages or something...\I need the IBN 5100's abilities to stop their plans.\I'd like to talk to you in detail. response:	This is my address.
context: Daru-kun, I've got canned oden.\Thanks.\Program code...\The IBN 5100 was created before BASIC,\So it can read IBN's proprietary programming languages or something...\I need the IBN 5100's abilities to stop their plans.\I'd like to talk to you in detail.\This is my address. response:	If you contact me, I'll answer.
context: Thanks.\Program code...\The IBN 5100 was created before BASIC,\So it can read IBN's proprietary programming languages or something...\I need the IBN 5100's abilities to stop their plans.\I'd like to talk to you in detail.\This is my address.\If you contact me, I'll answer. response:	There's something I want to ask you.
context: Program code...\The IBN 5100 was created before BASIC,\So it can read IBN's proprietary programming languages or something...\I need the IBN 5100's abilities to stop their plans.\I'd like to talk to you in detail.\This is my address.\If you contact me, I'll answer.\There's something I want to ask you. response:	Contact : John Titor
context: The IBN 5100 was created before BASIC,\So it can read IBN's proprietary programming languages or something...\I need the IBN 5100's abilities to stop their plans.\I'd like to talk to you in detail.\This is my address.\If you contact me, I'll answer.\There's something I want to ask you.\Contact : John Titor response:	There's something I want to ask you.
context: So it can read IBN's proprietary programming languages or something...\I need the IBN 5100's abilities to stop their plans.\I'd like to talk to you in detail.\This is my address.\If you contact me, I'll answer.\There's something I want to ask you.\Contact : John Titor\There's something I want to ask you. response:	OP
context: I need the IBN 5100's abilities to stop their plans.\I'd like to talk to you in detail.\This is my address.\If you contact me, I'll answer.\There's something I want to ask you.\Contact : John Titor\There's something I want to ask you.\OP response:	suujuuoku mono kodou no kazu sae
context: I'd like to talk to you in detail.\This is my address.\If you contact me, I'll answer.\There's something I want to ask you.\Contact : John Titor\There's something I want to ask you.\OP\suujuuoku mono kodou no kazu sae response:	Even the world's billions of heartbeats
context: This is my address.\If you contact me, I'll answer.\There's something I want to ask you.\Contact : John Titor\There's something I want to ask you.\OP\suujuuoku mono kodou no kazu sae\Even the world's billions of heartbeats response:	anata ni wa matataki teido no saji na toukyuu
context: If you contact me, I'll answer.\There's something I want to ask you.\Contact : John Titor\There's something I want to ask you.\OP\suujuuoku mono kodou no kazu sae\Even the world's billions of heartbeats\anata ni wa matataki teido no saji na toukyuu response:	Are nothing to you but a fleeting and insignificant question
context: There's something I want to ask you.\Contact : John Titor\There's something I want to ask you.\OP\suujuuoku mono kodou no kazu sae\Even the world's billions of heartbeats\anata ni wa matataki teido no saji na toukyuu\Are nothing to you but a fleeting and insignificant question response:	kako ni torawarete mirai wo nageku mo
context: Contact : John Titor\There's something I want to ask you.\OP\suujuuoku mono kodou no kazu sae\Even the world's billions of heartbeats\anata ni wa matataki teido no saji na toukyuu\Are nothing to you but a fleeting and insignificant question\kako ni torawarete mirai wo nageku mo response:	We may be trapped in the past or lament the future
context: There's something I want to ask you.\OP\suujuuoku mono kodou no kazu sae\Even the world's billions of heartbeats\anata ni wa matataki teido no saji na toukyuu\Are nothing to you but a fleeting and insignificant question\kako ni torawarete mirai wo nageku mo\We may be trapped in the past or lament the future response:	chiri hitotsu gosan wo yurusanu hitsuzen
context: OP\suujuuoku mono kodou no kazu sae\Even the world's billions of heartbeats\anata ni wa matataki teido no saji na toukyuu\Are nothing to you but a fleeting and insignificant question\kako ni torawarete mirai wo nageku mo\We may be trapped in the past or lament the future\chiri hitotsu gosan wo yurusanu hitsuzen response:	But predetermination does not allow the slightest mistake
context: suujuuoku mono kodou no kazu sae\Even the world's billions of heartbeats\anata ni wa matataki teido no saji na toukyuu\Are nothing to you but a fleeting and insignificant question\kako ni torawarete mirai wo nageku mo\We may be trapped in the past or lament the future\chiri hitotsu gosan wo yurusanu hitsuzen\But predetermination does not allow the slightest mistake response:	mugen ni hirogaru yume mo egaku mirai mo
context: Even the world's billions of heartbeats\anata ni wa matataki teido no saji na toukyuu\Are nothing to you but a fleeting and insignificant question\kako ni torawarete mirai wo nageku mo\We may be trapped in the past or lament the future\chiri hitotsu gosan wo yurusanu hitsuzen\But predetermination does not allow the slightest mistake\mugen ni hirogaru yume mo egaku mirai mo response:	The infinite dreams and imagined futures before us
context: anata ni wa matataki teido no saji na toukyuu\Are nothing to you but a fleeting and insignificant question\kako ni torawarete mirai wo nageku mo\We may be trapped in the past or lament the future\chiri hitotsu gosan wo yurusanu hitsuzen\But predetermination does not allow the slightest mistake\mugen ni hirogaru yume mo egaku mirai mo\The infinite dreams and imagined futures before us response:	bokutachi ni yurusareta kyoei no genri
context: Are nothing to you but a fleeting and insignificant question\kako ni torawarete mirai wo nageku mo\We may be trapped in the past or lament the future\chiri hitotsu gosan wo yurusanu hitsuzen\But predetermination does not allow the slightest mistake\mugen ni hirogaru yume mo egaku mirai mo\The infinite dreams and imagined futures before us\bokutachi ni yurusareta kyoei no genri response:	Are naught but vain theories we may hold
context: kako ni torawarete mirai wo nageku mo\We may be trapped in the past or lament the future\chiri hitotsu gosan wo yurusanu hitsuzen\But predetermination does not allow the slightest mistake\mugen ni hirogaru yume mo egaku mirai mo\The infinite dreams and imagined futures before us\bokutachi ni yurusareta kyoei no genri\Are naught but vain theories we may hold response:	yuugen sore wa futatsu no hari ga shimesu
context: We may be trapped in the past or lament the future\chiri hitotsu gosan wo yurusanu hitsuzen\But predetermination does not allow the slightest mistake\mugen ni hirogaru yume mo egaku mirai mo\The infinite dreams and imagined futures before us\bokutachi ni yurusareta kyoei no genri\Are naught but vain theories we may hold\yuugen sore wa futatsu no hari ga shimesu response:	Finitude is what the two clock hands show
context: chiri hitotsu gosan wo yurusanu hitsuzen\But predetermination does not allow the slightest mistake\mugen ni hirogaru yume mo egaku mirai mo\The infinite dreams and imagined futures before us\bokutachi ni yurusareta kyoei no genri\Are naught but vain theories we may hold\yuugen sore wa futatsu no hari ga shimesu\Finitude is what the two clock hands show response:	zankoku na yakujou to sentaku e
context: But predetermination does not allow the slightest mistake\mugen ni hirogaru yume mo egaku mirai mo\The infinite dreams and imagined futures before us\bokutachi ni yurusareta kyoei no genri\Are naught but vain theories we may hold\yuugen sore wa futatsu no hari ga shimesu\Finitude is what the two clock hands show\zankoku na yakujou to sentaku e response:	As they point toward a cruel destiny and choice
context: mugen ni hirogaru yume mo egaku mirai mo\The infinite dreams and imagined futures before us\bokutachi ni yurusareta kyoei no genri\Are naught but vain theories we may hold\yuugen sore wa futatsu no hari ga shimesu\Finitude is what the two clock hands show\zankoku na yakujou to sentaku e\As they point toward a cruel destiny and choice response:	Hacking to the Gate
context: The infinite dreams and imagined futures before us\bokutachi ni yurusareta kyoei no genri\Are naught but vain theories we may hold\yuugen sore wa futatsu no hari ga shimesu\Finitude is what the two clock hands show\zankoku na yakujou to sentaku e\As they point toward a cruel destiny and choice\Hacking to the Gate response:	dakara ima ichibyou goto ni sekaisen wo koete
context: bokutachi ni yurusareta kyoei no genri\Are naught but vain theories we may hold\yuugen sore wa futatsu no hari ga shimesu\Finitude is what the two clock hands show\zankoku na yakujou to sentaku e\As they point toward a cruel destiny and choice\Hacking to the Gate\dakara ima ichibyou goto ni sekaisen wo koete response:	And now I cross the boundary between worlds each second
context: Are naught but vain theories we may hold\yuugen sore wa futatsu no hari ga shimesu\Finitude is what the two clock hands show\zankoku na yakujou to sentaku e\As they point toward a cruel destiny and choice\Hacking to the Gate\dakara ima ichibyou goto ni sekaisen wo koete\And now I cross the boundary between worlds each second response:	kimi no sono egao mamoritai no sa
context: yuugen sore wa futatsu no hari ga shimesu\Finitude is what the two clock hands show\zankoku na yakujou to sentaku e\As they point toward a cruel destiny and choice\Hacking to the Gate\dakara ima ichibyou goto ni sekaisen wo koete\And now I cross the boundary between worlds each second\kimi no sono egao mamoritai no sa response:	Because I want to protect that smile of yours
context: Finitude is what the two clock hands show\zankoku na yakujou to sentaku e\As they point toward a cruel destiny and choice\Hacking to the Gate\dakara ima ichibyou goto ni sekaisen wo koete\And now I cross the boundary between worlds each second\kimi no sono egao mamoritai no sa\Because I want to protect that smile of yours response:	soshite mata kanashimi no nai jikan no ruupu e to
context: zankoku na yakujou to sentaku e\As they point toward a cruel destiny and choice\Hacking to the Gate\dakara ima ichibyou goto ni sekaisen wo koete\And now I cross the boundary between worlds each second\kimi no sono egao mamoritai no sa\Because I want to protect that smile of yours\soshite mata kanashimi no nai jikan no ruupu e to response:	And a loop in time without sadness will once again
context: As they point toward a cruel destiny and choice\Hacking to the Gate\dakara ima ichibyou goto ni sekaisen wo koete\And now I cross the boundary between worlds each second\kimi no sono egao mamoritai no sa\Because I want to protect that smile of yours\soshite mata kanashimi no nai jikan no ruupu e to\And a loop in time without sadness will once again response:	nomikomarete yuku kodoku no kansokusha
context: Hacking to the Gate\dakara ima ichibyou goto ni sekaisen wo koete\And now I cross the boundary between worlds each second\kimi no sono egao mamoritai no sa\Because I want to protect that smile of yours\soshite mata kanashimi no nai jikan no ruupu e to\And a loop in time without sadness will once again\nomikomarete yuku kodoku no kansokusha response:	Engulf me, a lonely observer
context: dakara ima ichibyou goto ni sekaisen wo koete\And now I cross the boundary between worlds each second\kimi no sono egao mamoritai no sa\Because I want to protect that smile of yours\soshite mata kanashimi no nai jikan no ruupu e to\And a loop in time without sadness will once again\nomikomarete yuku kodoku no kansokusha\Engulf me, a lonely observer response:	Interpreter
context: And now I cross the boundary between worlds each second\kimi no sono egao mamoritai no sa\Because I want to protect that smile of yours\soshite mata kanashimi no nai jikan no ruupu e to\And a loop in time without sadness will once again\nomikomarete yuku kodoku no kansokusha\Engulf me, a lonely observer\Interpreter response:	Rendezvous
context: kimi no sono egao mamoritai no sa\Because I want to protect that smile of yours\soshite mata kanashimi no nai jikan no ruupu e to\And a loop in time without sadness will once again\nomikomarete yuku kodoku no kansokusha\Engulf me, a lonely observer\Interpreter\Rendezvous response:	Interpreter
context: Because I want to protect that smile of yours\soshite mata kanashimi no nai jikan no ruupu e to\And a loop in time without sadness will once again\nomikomarete yuku kodoku no kansokusha\Engulf me, a lonely observer\Interpreter\Rendezvous\Interpreter response:	Interpreter
context: soshite mata kanashimi no nai jikan no ruupu e to\And a loop in time without sadness will once again\nomikomarete yuku kodoku no kansokusha\Engulf me, a lonely observer\Interpreter\Rendezvous\Interpreter\Interpreter response:	Interpreter
context: And a loop in time without sadness will once again\nomikomarete yuku kodoku no kansokusha\Engulf me, a lonely observer\Interpreter\Rendezvous\Interpreter\Interpreter\Interpreter response:	Interpreter
context: nomikomarete yuku kodoku no kansokusha\Engulf me, a lonely observer\Interpreter\Rendezvous\Interpreter\Interpreter\Interpreter\Interpreter response:	Interpreter
context: Engulf me, a lonely observer\Interpreter\Rendezvous\Interpreter\Interpreter\Interpreter\Interpreter\Interpreter response:	Interpreter
context: Interpreter\Rendezvous\Interpreter\Interpreter\Interpreter\Interpreter\Interpreter\Interpreter response:	Interpreter
context: Rendezvous\Interpreter\Interpreter\Interpreter\Interpreter\Interpreter\Interpreter\Interpreter response:	Rendezvous
context: Interpreter\Interpreter\Interpreter\Interpreter\Interpreter\Interpreter\Interpreter\Rendezvous response:	Rendezvous
context: Interpreter\Interpreter\Interpreter\Interpreter\Interpreter\Interpreter\Rendezvous\Rendezvous response:	Rendezvous
context: Interpreter\Interpreter\Interpreter\Interpreter\Interpreter\Rendezvous\Rendezvous\Rendezvous response:	Rendezvous
context: Interpreter\Interpreter\Interpreter\Interpreter\Rendezvous\Rendezvous\Rendezvous\Rendezvous response:	Rendezvous
context: Interpreter\Interpreter\Interpreter\Rendezvous\Rendezvous\Rendezvous\Rendezvous\Rendezvous response:	Rendezvous
context: Interpreter\Interpreter\Rendezvous\Rendezvous\Rendezvous\Rendezvous\Rendezvous\Rendezvous response:	Rendezvous
context: Interpreter\Rendezvous\Rendezvous\Rendezvous\Rendezvous\Rendezvous\Rendezvous\Rendezvous response:	There's a lot here.
context: Rendezvous\Rendezvous\Rendezvous\Rendezvous\Rendezvous\Rendezvous\Rendezvous\There's a lot here. response:	Both Daru and I have been working all night
context: Rendezvous\Rendezvous\Rendezvous\Rendezvous\Rendezvous\Rendezvous\There's a lot here.\Both Daru and I have been working all night response:	and haven't been home.
context: Rendezvous\Rendezvous\Rendezvous\Rendezvous\Rendezvous\There's a lot here.\Both Daru and I have been working all night\and haven't been home. response:	And everything Daru wears,
context: Rendezvous\Rendezvous\Rendezvous\Rendezvous\There's a lot here.\Both Daru and I have been working all night\and haven't been home.\And everything Daru wears, response:	from his T-shirts to his underwear, is XXXL.
context: Rendezvous\Rendezvous\Rendezvous\There's a lot here.\Both Daru and I have been working all night\and haven't been home.\And everything Daru wears,\from his T-shirts to his underwear, is XXXL. response:	It's Feyris-chan!
context: Rendezvous\Rendezvous\There's a lot here.\Both Daru and I have been working all night\and haven't been home.\And everything Daru wears,\from his T-shirts to his underwear, is XXXL.\It's Feyris-chan! response:	I see Okabe Rintarou!
context: Rendezvous\There's a lot here.\Both Daru and I have been working all night\and haven't been home.\And everything Daru wears,\from his T-shirts to his underwear, is XXXL.\It's Feyris-chan!\I see Okabe Rintarou! response:	'Sup!
context: There's a lot here.\Both Daru and I have been working all night\and haven't been home.\And everything Daru wears,\from his T-shirts to his underwear, is XXXL.\It's Feyris-chan!\I see Okabe Rintarou!\'Sup! response:	I'll warn you.
context: Both Daru and I have been working all night\and haven't been home.\And everything Daru wears,\from his T-shirts to his underwear, is XXXL.\It's Feyris-chan!\I see Okabe Rintarou!\'Sup!\I'll warn you. response:	One, my name is Hououin Kyouma.
context: and haven't been home.\And everything Daru wears,\from his T-shirts to his underwear, is XXXL.\It's Feyris-chan!\I see Okabe Rintarou!\'Sup!\I'll warn you.\One, my name is Hououin Kyouma. response:	Two, that greeting is dangero
context: And everything Daru wears,\from his T-shirts to his underwear, is XXXL.\It's Feyris-chan!\I see Okabe Rintarou!\'Sup!\I'll warn you.\One, my name is Hououin Kyouma.\Two, that greeting is dangero response:	'Sup, Suzu-san!
context: from his T-shirts to his underwear, is XXXL.\It's Feyris-chan!\I see Okabe Rintarou!\'Sup!\I'll warn you.\One, my name is Hououin Kyouma.\Two, that greeting is dangero\'Sup, Suzu-san! response:	You, too?
context: It's Feyris-chan!\I see Okabe Rintarou!\'Sup!\I'll warn you.\One, my name is Hououin Kyouma.\Two, that greeting is dangero\'Sup, Suzu-san!\You, too? response:	Actually, when did you two meet?
context: I see Okabe Rintarou!\'Sup!\I'll warn you.\One, my name is Hououin Kyouma.\Two, that greeting is dangero\'Sup, Suzu-san!\You, too?\Actually, when did you two meet? response:	We're in the same building.
context: 'Sup!\I'll warn you.\One, my name is Hououin Kyouma.\Two, that greeting is dangero\'Sup, Suzu-san!\You, too?\Actually, when did you two meet?\We're in the same building. response:	Naturally, we'd at least know each other's face.
context: I'll warn you.\One, my name is Hououin Kyouma.\Two, that greeting is dangero\'Sup, Suzu-san!\You, too?\Actually, when did you two meet?\We're in the same building.\Naturally, we'd at least know each other's face. response:	Suzu-san gave me this Rai-Net card.
context: One, my name is Hououin Kyouma.\Two, that greeting is dangero\'Sup, Suzu-san!\You, too?\Actually, when did you two meet?\We're in the same building.\Naturally, we'd at least know each other's face.\Suzu-san gave me this Rai-Net card. response:	Gold!
context: Two, that greeting is dangero\'Sup, Suzu-san!\You, too?\Actually, when did you two meet?\We're in the same building.\Naturally, we'd at least know each other's face.\Suzu-san gave me this Rai-Net card.\Gold! response:	Where are you going?
context: 'Sup, Suzu-san!\You, too?\Actually, when did you two meet?\We're in the same building.\Naturally, we'd at least know each other's face.\Suzu-san gave me this Rai-Net card.\Gold!\Where are you going? response:	To do the laundry.
context: You, too?\Actually, when did you two meet?\We're in the same building.\Naturally, we'd at least know each other's face.\Suzu-san gave me this Rai-Net card.\Gold!\Where are you going?\To do the laundry. response:	Okarin and Daru-kun have been up all night, for days.
context: Actually, when did you two meet?\We're in the same building.\Naturally, we'd at least know each other's face.\Suzu-san gave me this Rai-Net card.\Gold!\Where are you going?\To do the laundry.\Okarin and Daru-kun have been up all night, for days. response:	Part-timer!
context: We're in the same building.\Naturally, we'd at least know each other's face.\Suzu-san gave me this Rai-Net card.\Gold!\Where are you going?\To do the laundry.\Okarin and Daru-kun have been up all night, for days.\Part-timer! response:	If you don't do your job, I'll fire you.
context: Naturally, we'd at least know each other's face.\Suzu-san gave me this Rai-Net card.\Gold!\Where are you going?\To do the laundry.\Okarin and Daru-kun have been up all night, for days.\Part-timer!\If you don't do your job, I'll fire you. response:	Oh, no...
context: Suzu-san gave me this Rai-Net card.\Gold!\Where are you going?\To do the laundry.\Okarin and Daru-kun have been up all night, for days.\Part-timer!\If you don't do your job, I'll fire you.\Oh, no... response:	You, too, Okabe.
context: Gold!\Where are you going?\To do the laundry.\Okarin and Daru-kun have been up all night, for days.\Part-timer!\If you don't do your job, I'll fire you.\Oh, no...\You, too, Okabe. response:	Keep your hands off my part-timer.
context: Where are you going?\To do the laundry.\Okarin and Daru-kun have been up all night, for days.\Part-timer!\If you don't do your job, I'll fire you.\Oh, no...\You, too, Okabe.\Keep your hands off my part-timer. response:	Don't you think you're the one in love, Mr. Braun?
context: To do the laundry.\Okarin and Daru-kun have been up all night, for days.\Part-timer!\If you don't do your job, I'll fire you.\Oh, no...\You, too, Okabe.\Keep your hands off my part-timer.\Don't you think you're the one in love, Mr. Braun? response:	Say that when Nae's around. I dare you.
context: Okarin and Daru-kun have been up all night, for days.\Part-timer!\If you don't do your job, I'll fire you.\Oh, no...\You, too, Okabe.\Keep your hands off my part-timer.\Don't you think you're the one in love, Mr. Braun?\Say that when Nae's around. I dare you. response:	I'll seriously kill you.
context: Part-timer!\If you don't do your job, I'll fire you.\Oh, no...\You, too, Okabe.\Keep your hands off my part-timer.\Don't you think you're the one in love, Mr. Braun?\Say that when Nae's around. I dare you.\I'll seriously kill you. response:	Nae?
context: If you don't do your job, I'll fire you.\Oh, no...\You, too, Okabe.\Keep your hands off my part-timer.\Don't you think you're the one in love, Mr. Braun?\Say that when Nae's around. I dare you.\I'll seriously kill you.\Nae? response:	The little squirrel?
context: Oh, no...\You, too, Okabe.\Keep your hands off my part-timer.\Don't you think you're the one in love, Mr. Braun?\Say that when Nae's around. I dare you.\I'll seriously kill you.\Nae?\The little squirrel? response:	Don't call my daughter a squirrel!
context: You, too, Okabe.\Keep your hands off my part-timer.\Don't you think you're the one in love, Mr. Braun?\Say that when Nae's around. I dare you.\I'll seriously kill you.\Nae?\The little squirrel?\Don't call my daughter a squirrel! response:	How could I be in love with a little kid like that, anyway?
context: Keep your hands off my part-timer.\Don't you think you're the one in love, Mr. Braun?\Say that when Nae's around. I dare you.\I'll seriously kill you.\Nae?\The little squirrel?\Don't call my daughter a squirrel!\How could I be in love with a little kid like that, anyway? response:	I'm not a kid.
context: Don't you think you're the one in love, Mr. Braun?\Say that when Nae's around. I dare you.\I'll seriously kill you.\Nae?\The little squirrel?\Don't call my daughter a squirrel!\How could I be in love with a little kid like that, anyway?\I'm not a kid. response:	I'm a grown-up and a soldier!
context: Say that when Nae's around. I dare you.\I'll seriously kill you.\Nae?\The little squirrel?\Don't call my daughter a squirrel!\How could I be in love with a little kid like that, anyway?\I'm not a kid.\I'm a grown-up and a soldier! response:	I like that look, part-time soldier.
context: I'll seriously kill you.\Nae?\The little squirrel?\Don't call my daughter a squirrel!\How could I be in love with a little kid like that, anyway?\I'm not a kid.\I'm a grown-up and a soldier!\I like that look, part-time soldier. response:	Always remember that look.
context: Nae?\The little squirrel?\Don't call my daughter a squirrel!\How could I be in love with a little kid like that, anyway?\I'm not a kid.\I'm a grown-up and a soldier!\I like that look, part-time soldier.\Always remember that look. response:	If you do,
context: The little squirrel?\Don't call my daughter a squirrel!\How could I be in love with a little kid like that, anyway?\I'm not a kid.\I'm a grown-up and a soldier!\I like that look, part-time soldier.\Always remember that look.\If you do, response:	someday, you'll be able to change classes to a true soldier
context: Don't call my daughter a squirrel!\How could I be in love with a little kid like that, anyway?\I'm not a kid.\I'm a grown-up and a soldier!\I like that look, part-time soldier.\Always remember that look.\If you do,\someday, you'll be able to change classes to a true soldier response:	You, shut up.
context: How could I be in love with a little kid like that, anyway?\I'm not a kid.\I'm a grown-up and a soldier!\I like that look, part-time soldier.\Always remember that look.\If you do,\someday, you'll be able to change classes to a true soldier\You, shut up. response:	When you talk, it
context: I'm not a kid.\I'm a grown-up and a soldier!\I like that look, part-time soldier.\Always remember that look.\If you do,\someday, you'll be able to change classes to a true soldier\You, shut up.\When you talk, it response:	I'm already a soldier!
context: I'm a grown-up and a soldier!\I like that look, part-time soldier.\Always remember that look.\If you do,\someday, you'll be able to change classes to a true soldier\You, shut up.\When you talk, it\I'm already a soldier! response:	Why do I get all the weirdos?
context: I like that look, part-time soldier.\Always remember that look.\If you do,\someday, you'll be able to change classes to a true soldier\You, shut up.\When you talk, it\I'm already a soldier!\Why do I get all the weirdos? response:	Bye.
context: Always remember that look.\If you do,\someday, you'll be able to change classes to a true soldier\You, shut up.\When you talk, it\I'm already a soldier!\Why do I get all the weirdos?\Bye. response:	We, too...
context: If you do,\someday, you'll be able to change classes to a true soldier\You, shut up.\When you talk, it\I'm already a soldier!\Why do I get all the weirdos?\Bye.\We, too... response:	That's a Mayuri habit.
context: someday, you'll be able to change classes to a true soldier\You, shut up.\When you talk, it\I'm already a soldier!\Why do I get all the weirdos?\Bye.\We, too...\That's a Mayuri habit. response:	I've taken to calling it the Stardust Shake Hand.
context: You, shut up.\When you talk, it\I'm already a soldier!\Why do I get all the weirdos?\Bye.\We, too...\That's a Mayuri habit.\I've taken to calling it the Stardust Shake Hand. response:	I was wondering if I could reach the stars...
context: When you talk, it\I'm already a soldier!\Why do I get all the weirdos?\Bye.\We, too...\That's a Mayuri habit.\I've taken to calling it the Stardust Shake Hand.\I was wondering if I could reach the stars... response:	You can't even see the stars.
context: I'm already a soldier!\Why do I get all the weirdos?\Bye.\We, too...\That's a Mayuri habit.\I've taken to calling it the Stardust Shake Hand.\I was wondering if I could reach the stars...\You can't even see the stars. response:	You know, even in the daytime, the stars are still there.
context: Why do I get all the weirdos?\Bye.\We, too...\That's a Mayuri habit.\I've taken to calling it the Stardust Shake Hand.\I was wondering if I could reach the stars...\You can't even see the stars.\You know, even in the daytime, the stars are still there. response:	Those were powerful EM waves.
context: Bye.\We, too...\That's a Mayuri habit.\I've taken to calling it the Stardust Shake Hand.\I was wondering if I could reach the stars...\You can't even see the stars.\You know, even in the daytime, the stars are still there.\Those were powerful EM waves. response:	A cell phone malfunction is a real possibility.
context: We, too...\That's a Mayuri habit.\I've taken to calling it the Stardust Shake Hand.\I was wondering if I could reach the stars...\You can't even see the stars.\You know, even in the daytime, the stars are still there.\Those were powerful EM waves.\A cell phone malfunction is a real possibility. response:	But I saw that banana.
