context: Japanese language: Zero. response:	Math: Zero.
context: Art.\What about math and science?\I've never studied those.\There's no saving this one...\Looks like you've got it rough right from the first day of summer break.\Jin-san, help me!\Her makeup exams are tomorrow,\but she's not ready at all! response:	What about Chihiro-sensei?
context: What about math and science?\I've never studied those.\There's no saving this one...\Looks like you've got it rough right from the first day of summer break.\Jin-san, help me!\Her makeup exams are tomorrow,\but she's not ready at all!\What about Chihiro-sensei? response:	She left it up to me and went to a mixer instead.
context: I've never studied those.\There's no saving this one...\Looks like you've got it rough right from the first day of summer break.\Jin-san, help me!\Her makeup exams are tomorrow,\but she's not ready at all!\What about Chihiro-sensei?\She left it up to me and went to a mixer instead. response:	And Shiina isn't even worried about it
context: There's no saving this one...\Looks like you've got it rough right from the first day of summer break.\Jin-san, help me!\Her makeup exams are tomorrow,\but she's not ready at all!\What about Chihiro-sensei?\She left it up to me and went to a mixer instead.\And Shiina isn't even worried about it response:	Hey!
context: Looks like you've got it rough right from the first day of summer break.\Jin-san, help me!\Her makeup exams are tomorrow,\but she's not ready at all!\What about Chihiro-sensei?\She left it up to me and went to a mixer instead.\And Shiina isn't even worried about it\Hey! response:	What did I just say?!
context: Jin-san, help me!\Her makeup exams are tomorrow,\but she's not ready at all!\What about Chihiro-sensei?\She left it up to me and went to a mixer instead.\And Shiina isn't even worried about it\Hey!\What did I just say?! response:	I need to do some storyboards for a serialized manga.
context: Her makeup exams are tomorrow,\but she's not ready at all!\What about Chihiro-sensei?\She left it up to me and went to a mixer instead.\And Shiina isn't even worried about it\Hey!\What did I just say?!\I need to do some storyboards for a serialized manga. response:	My goal is to have them ready by next month's meeting.
context: but she's not ready at all!\What about Chihiro-sensei?\She left it up to me and went to a mixer instead.\And Shiina isn't even worried about it\Hey!\What did I just say?!\I need to do some storyboards for a serialized manga.\My goal is to have them ready by next month's meeting. response:	Did Ayano-san tell you to do that?
context: What about Chihiro-sensei?\She left it up to me and went to a mixer instead.\And Shiina isn't even worried about it\Hey!\What did I just say?!\I need to do some storyboards for a serialized manga.\My goal is to have them ready by next month's meeting.\Did Ayano-san tell you to do that? response:	Yes.
context: She left it up to me and went to a mixer instead.\And Shiina isn't even worried about it\Hey!\What did I just say?!\I need to do some storyboards for a serialized manga.\My goal is to have them ready by next month's meeting.\Did Ayano-san tell you to do that?\Yes. response:	Then you'd better pass those makeup exams quick!
context: And Shiina isn't even worried about it\Hey!\What did I just say?!\I need to do some storyboards for a serialized manga.\My goal is to have them ready by next month's meeting.\Did Ayano-san tell you to do that?\Yes.\Then you'd better pass those makeup exams quick! response:	Kouhai-kun!
context: Hey!\What did I just say?!\I need to do some storyboards for a serialized manga.\My goal is to have them ready by next month's meeting.\Did Ayano-san tell you to do that?\Yes.\Then you'd better pass those makeup exams quick!\Kouhai-kun! response:	Let's play!
context: What did I just say?!\I need to do some storyboards for a serialized manga.\My goal is to have them ready by next month's meeting.\Did Ayano-san tell you to do that?\Yes.\Then you'd better pass those makeup exams quick!\Kouhai-kun!\Let's play! response:	Where did you come in from?!
context: I need to do some storyboards for a serialized manga.\My goal is to have them ready by next month's meeting.\Did Ayano-san tell you to do that?\Yes.\Then you'd better pass those makeup exams quick!\Kouhai-kun!\Let's play!\Where did you come in from?! response:	My own personal elevator.
context: My goal is to have them ready by next month's meeting.\Did Ayano-san tell you to do that?\Yes.\Then you'd better pass those makeup exams quick!\Kouhai-kun!\Let's play!\Where did you come in from?!\My own personal elevator. response:	Now I can come directly to this room without using the stairs.
context: Did Ayano-san tell you to do that?\Yes.\Then you'd better pass those makeup exams quick!\Kouhai-kun!\Let's play!\Where did you come in from?!\My own personal elevator.\Now I can come directly to this room without using the stairs. response:	Convenient and comfortable, it's a victory for technology.
context: Yes.\Then you'd better pass those makeup exams quick!\Kouhai-kun!\Let's play!\Where did you come in from?!\My own personal elevator.\Now I can come directly to this room without using the stairs.\Convenient and comfortable, it's a victory for technology. response:	And how do you get back?
context: Then you'd better pass those makeup exams quick!\Kouhai-kun!\Let's play!\Where did you come in from?!\My own personal elevator.\Now I can come directly to this room without using the stairs.\Convenient and comfortable, it's a victory for technology.\And how do you get back? response:	What's all this you're doing behind my back?
context: Kouhai-kun!\Let's play!\Where did you come in from?!\My own personal elevator.\Now I can come directly to this room without using the stairs.\Convenient and comfortable, it's a victory for technology.\And how do you get back?\What's all this you're doing behind my back? response:	What's going on? What's going on?!
context: Let's play!\Where did you come in from?!\My own personal elevator.\Now I can come directly to this room without using the stairs.\Convenient and comfortable, it's a victory for technology.\And how do you get back?\What's all this you're doing behind my back?\What's going on? What's going on?! response:	We're helping Shiina with her makeup exams.
context: Where did you come in from?!\My own personal elevator.\Now I can come directly to this room without using the stairs.\Convenient and comfortable, it's a victory for technology.\And how do you get back?\What's all this you're doing behind my back?\What's going on? What's going on?!\We're helping Shiina with her makeup exams. response:	Misaki-senpai, why don't you help out?
context: My own personal elevator.\Now I can come directly to this room without using the stairs.\Convenient and comfortable, it's a victory for technology.\And how do you get back?\What's all this you're doing behind my back?\What's going on? What's going on?!\We're helping Shiina with her makeup exams.\Misaki-senpai, why don't you help out? response:	Just memorize the info.
context: Now I can come directly to this room without using the stairs.\Convenient and comfortable, it's a victory for technology.\And how do you get back?\What's all this you're doing behind my back?\What's going on? What's going on?!\We're helping Shiina with her makeup exams.\Misaki-senpai, why don't you help out?\Just memorize the info. response:	What?!
context: Convenient and comfortable, it's a victory for technology.\And how do you get back?\What's all this you're doing behind my back?\What's going on? What's going on?!\We're helping Shiina with her makeup exams.\Misaki-senpai, why don't you help out?\Just memorize the info.\What?! response:	It's the only way...
context: And how do you get back?\What's all this you're doing behind my back?\What's going on? What's going on?!\We're helping Shiina with her makeup exams.\Misaki-senpai, why don't you help out?\Just memorize the info.\What?!\It's the only way... response:	Huh?
context: What's all this you're doing behind my back?\What's going on? What's going on?!\We're helping Shiina with her makeup exams.\Misaki-senpai, why don't you help out?\Just memorize the info.\What?!\It's the only way...\Huh? response:	The music and art makeup exams...
context: What's going on? What's going on?!\We're helping Shiina with her makeup exams.\Misaki-senpai, why don't you help out?\Just memorize the info.\What?!\It's the only way...\Huh?\The music and art makeup exams... response:	are the same as the original test.
context: We're helping Shiina with her makeup exams.\Misaki-senpai, why don't you help out?\Just memorize the info.\What?!\It's the only way...\Huh?\The music and art makeup exams...\are the same as the original test. response:	Unlike General Studies students,
context: Misaki-senpai, why don't you help out?\Just memorize the info.\What?!\It's the only way...\Huh?\The music and art makeup exams...\are the same as the original test.\Unlike General Studies students, response:	the school has different expectations for art students.
context: Just memorize the info.\What?!\It's the only way...\Huh?\The music and art makeup exams...\are the same as the original test.\Unlike General Studies students,\the school has different expectations for art students. response:	Mashiro-chan, you got a sample answer sheet, didn't you?
context: What?!\It's the only way...\Huh?\The music and art makeup exams...\are the same as the original test.\Unlike General Studies students,\the school has different expectations for art students.\Mashiro-chan, you got a sample answer sheet, didn't you? response:	Yes.
context: It's the only way...\Huh?\The music and art makeup exams...\are the same as the original test.\Unlike General Studies students,\the school has different expectations for art students.\Mashiro-chan, you got a sample answer sheet, didn't you?\Yes. response:	You say to memorize the answers,
context: Huh?\The music and art makeup exams...\are the same as the original test.\Unlike General Studies students,\the school has different expectations for art students.\Mashiro-chan, you got a sample answer sheet, didn't you?\Yes.\You say to memorize the answers, response:	but she can't do it in a day
context: The music and art makeup exams...\are the same as the original test.\Unlike General Studies students,\the school has different expectations for art students.\Mashiro-chan, you got a sample answer sheet, didn't you?\Yes.\You say to memorize the answers,\but she can't do it in a day response:	I've memorized them.
context: are the same as the original test.\Unlike General Studies students,\the school has different expectations for art students.\Mashiro-chan, you got a sample answer sheet, didn't you?\Yes.\You say to memorize the answers,\but she can't do it in a day\I've memorized them. response:	What?!
context: Unlike General Studies students,\the school has different expectations for art students.\Mashiro-chan, you got a sample answer sheet, didn't you?\Yes.\You say to memorize the answers,\but she can't do it in a day\I've memorized them.\What?! response:	I only have to see them once to memorize them.
context: the school has different expectations for art students.\Mashiro-chan, you got a sample answer sheet, didn't you?\Yes.\You say to memorize the answers,\but she can't do it in a day\I've memorized them.\What?!\I only have to see them once to memorize them. response:	I imagine them as pictures.
context: Mashiro-chan, you got a sample answer sheet, didn't you?\Yes.\You say to memorize the answers,\but she can't do it in a day\I've memorized them.\What?!\I only have to see them once to memorize them.\I imagine them as pictures. response:	Who was the ancient Egyptian pharaoh who rejected polytheism?
context: Yes.\You say to memorize the answers,\but she can't do it in a day\I've memorized them.\What?!\I only have to see them once to memorize them.\I imagine them as pictures.\Who was the ancient Egyptian pharaoh who rejected polytheism? response:	Amenhotep IV.
context: You say to memorize the answers,\but she can't do it in a day\I've memorized them.\What?!\I only have to see them once to memorize them.\I imagine them as pictures.\Who was the ancient Egyptian pharaoh who rejected polytheism?\Amenhotep IV. response:	What is the formula to solve quadratic equations?
context: but she can't do it in a day\I've memorized them.\What?!\I only have to see them once to memorize them.\I imagine them as pictures.\Who was the ancient Egyptian pharaoh who rejected polytheism?\Amenhotep IV.\What is the formula to solve quadratic equations? response:	X equals minus b, plus or minus the square root...
context: I've memorized them.\What?!\I only have to see them once to memorize them.\I imagine them as pictures.\Who was the ancient Egyptian pharaoh who rejected polytheism?\Amenhotep IV.\What is the formula to solve quadratic equations?\X equals minus b, plus or minus the square root... response:	of b squared minus 4ac, divided by 2a.
context: What?!\I only have to see them once to memorize them.\I imagine them as pictures.\Who was the ancient Egyptian pharaoh who rejected polytheism?\Amenhotep IV.\What is the formula to solve quadratic equations?\X equals minus b, plus or minus the square root...\of b squared minus 4ac, divided by 2a. response:	Startling...
context: I only have to see them once to memorize them.\I imagine them as pictures.\Who was the ancient Egyptian pharaoh who rejected polytheism?\Amenhotep IV.\What is the formula to solve quadratic equations?\X equals minus b, plus or minus the square root...\of b squared minus 4ac, divided by 2a.\Startling... response:	This almost smells like a scam...
context: I imagine them as pictures.\Who was the ancient Egyptian pharaoh who rejected polytheism?\Amenhotep IV.\What is the formula to solve quadratic equations?\X equals minus b, plus or minus the square root...\of b squared minus 4ac, divided by 2a.\Startling...\This almost smells like a scam... response:	Hey, if you're finished now, let's play!
context: Who was the ancient Egyptian pharaoh who rejected polytheism?\Amenhotep IV.\What is the formula to solve quadratic equations?\X equals minus b, plus or minus the square root...\of b squared minus 4ac, divided by 2a.\Startling...\This almost smells like a scam...\Hey, if you're finished now, let's play! response:	We'll have a makeup-passing party!
context: Amenhotep IV.\What is the formula to solve quadratic equations?\X equals minus b, plus or minus the square root...\of b squared minus 4ac, divided by 2a.\Startling...\This almost smells like a scam...\Hey, if you're finished now, let's play!\We'll have a makeup-passing party! response:	She hasn't passed the exams yet!
context: What is the formula to solve quadratic equations?\X equals minus b, plus or minus the square root...\of b squared minus 4ac, divided by 2a.\Startling...\This almost smells like a scam...\Hey, if you're finished now, let's play!\We'll have a makeup-passing party!\She hasn't passed the exams yet! response:	Okay, okay! Mashiron, take this, hold on, and push!
context: X equals minus b, plus or minus the square root...\of b squared minus 4ac, divided by 2a.\Startling...\This almost smells like a scam...\Hey, if you're finished now, let's play!\We'll have a makeup-passing party!\She hasn't passed the exams yet!\Okay, okay! Mashiron, take this, hold on, and push! response:	I've never played a game before...
context: of b squared minus 4ac, divided by 2a.\Startling...\This almost smells like a scam...\Hey, if you're finished now, let's play!\We'll have a makeup-passing party!\She hasn't passed the exams yet!\Okay, okay! Mashiron, take this, hold on, and push!\I've never played a game before... response:	Don't just go along with it!
context: Startling...\This almost smells like a scam...\Hey, if you're finished now, let's play!\We'll have a makeup-passing party!\She hasn't passed the exams yet!\Okay, okay! Mashiron, take this, hold on, and push!\I've never played a game before...\Don't just go along with it! response:	I can't take it anymore.
context: This almost smells like a scam...\Hey, if you're finished now, let's play!\We'll have a makeup-passing party!\She hasn't passed the exams yet!\Okay, okay! Mashiron, take this, hold on, and push!\I've never played a game before...\Don't just go along with it!\I can't take it anymore. response:	Their level of focus is extraordinary.
context: Hey, if you're finished now, let's play!\We'll have a makeup-passing party!\She hasn't passed the exams yet!\Okay, okay! Mashiron, take this, hold on, and push!\I've never played a game before...\Don't just go along with it!\I can't take it anymore.\Their level of focus is extraordinary. response:	If they're not careful, they'll stay up all night.
context: We'll have a makeup-passing party!\She hasn't passed the exams yet!\Okay, okay! Mashiron, take this, hold on, and push!\I've never played a game before...\Don't just go along with it!\I can't take it anymore.\Their level of focus is extraordinary.\If they're not careful, they'll stay up all night. response:	I can't believe I lost to Shiina even though she's never played before...
context: She hasn't passed the exams yet!\Okay, okay! Mashiron, take this, hold on, and push!\I've never played a game before...\Don't just go along with it!\I can't take it anymore.\Their level of focus is extraordinary.\If they're not careful, they'll stay up all night.\I can't believe I lost to Shiina even though she's never played before... response:	So, you're not going home, then?
context: Okay, okay! Mashiron, take this, hold on, and push!\I've never played a game before...\Don't just go along with it!\I can't take it anymore.\Their level of focus is extraordinary.\If they're not careful, they'll stay up all night.\I can't believe I lost to Shiina even though she's never played before...\So, you're not going home, then? response:	Given the situation, I don't think I can.
context: I've never played a game before...\Don't just go along with it!\I can't take it anymore.\Their level of focus is extraordinary.\If they're not careful, they'll stay up all night.\I can't believe I lost to Shiina even though she's never played before...\So, you're not going home, then?\Given the situation, I don't think I can. response:	Chihiro-sensei told me to look after Shiina.
context: Don't just go along with it!\I can't take it anymore.\Their level of focus is extraordinary.\If they're not careful, they'll stay up all night.\I can't believe I lost to Shiina even though she's never played before...\So, you're not going home, then?\Given the situation, I don't think I can.\Chihiro-sensei told me to look after Shiina. response:	I'm staying, too. I haven't finished my new script yet...
context: I can't take it anymore.\Their level of focus is extraordinary.\If they're not careful, they'll stay up all night.\I can't believe I lost to Shiina even though she's never played before...\So, you're not going home, then?\Given the situation, I don't think I can.\Chihiro-sensei told me to look after Shiina.\I'm staying, too. I haven't finished my new script yet... response:	Well, I'll do everything I can.
context: Their level of focus is extraordinary.\If they're not careful, they'll stay up all night.\I can't believe I lost to Shiina even though she's never played before...\So, you're not going home, then?\Given the situation, I don't think I can.\Chihiro-sensei told me to look after Shiina.\I'm staying, too. I haven't finished my new script yet...\Well, I'll do everything I can. response:	I can't just throw it all away.
context: If they're not careful, they'll stay up all night.\I can't believe I lost to Shiina even though she's never played before...\So, you're not going home, then?\Given the situation, I don't think I can.\Chihiro-sensei told me to look after Shiina.\I'm staying, too. I haven't finished my new script yet...\Well, I'll do everything I can.\I can't just throw it all away. response:	What are you going to do over summer break?
context: I can't believe I lost to Shiina even though she's never played before...\So, you're not going home, then?\Given the situation, I don't think I can.\Chihiro-sensei told me to look after Shiina.\I'm staying, too. I haven't finished my new script yet...\Well, I'll do everything I can.\I can't just throw it all away.\What are you going to do over summer break? response:	I saw a game development audition in a magazine,
context: So, you're not going home, then?\Given the situation, I don't think I can.\Chihiro-sensei told me to look after Shiina.\I'm staying, too. I haven't finished my new script yet...\Well, I'll do everything I can.\I can't just throw it all away.\What are you going to do over summer break?\I saw a game development audition in a magazine, response:	so I'm hoping to finish my pitch.
context: Given the situation, I don't think I can.\Chihiro-sensei told me to look after Shiina.\I'm staying, too. I haven't finished my new script yet...\Well, I'll do everything I can.\I can't just throw it all away.\What are you going to do over summer break?\I saw a game development audition in a magazine,\so I'm hoping to finish my pitch. response:	Hey!
context: Chihiro-sensei told me to look after Shiina.\I'm staying, too. I haven't finished my new script yet...\Well, I'll do everything I can.\I can't just throw it all away.\What are you going to do over summer break?\I saw a game development audition in a magazine,\so I'm hoping to finish my pitch.\Hey! response:	Hey, hey, hey!
context: I'm staying, too. I haven't finished my new script yet...\Well, I'll do everything I can.\I can't just throw it all away.\What are you going to do over summer break?\I saw a game development audition in a magazine,\so I'm hoping to finish my pitch.\Hey!\Hey, hey, hey! response:	What do you think you're doing in here?!
context: Well, I'll do everything I can.\I can't just throw it all away.\What are you going to do over summer break?\I saw a game development audition in a magazine,\so I'm hoping to finish my pitch.\Hey!\Hey, hey, hey!\What do you think you're doing in here?! response:	I can't believe you're both into gay stuff like...
context: I can't just throw it all away.\What are you going to do over summer break?\I saw a game development audition in a magazine,\so I'm hoping to finish my pitch.\Hey!\Hey, hey, hey!\What do you think you're doing in here?!\I can't believe you're both into gay stuff like... response:	pouring your sweet nectar down each others' throats!
context: What are you going to do over summer break?\I saw a game development audition in a magazine,\so I'm hoping to finish my pitch.\Hey!\Hey, hey, hey!\What do you think you're doing in here?!\I can't believe you're both into gay stuff like...\pouring your sweet nectar down each others' throats! response:	Nectar?
context: I saw a game development audition in a magazine,\so I'm hoping to finish my pitch.\Hey!\Hey, hey, hey!\What do you think you're doing in here?!\I can't believe you're both into gay stuff like...\pouring your sweet nectar down each others' throats!\Nectar? response:	Please don't say weird things like that!
context: so I'm hoping to finish my pitch.\Hey!\Hey, hey, hey!\What do you think you're doing in here?!\I can't believe you're both into gay stuff like...\pouring your sweet nectar down each others' throats!\Nectar?\Please don't say weird things like that! response:	Kouhai-kun, it's time for revenge!
context: Hey!\Hey, hey, hey!\What do you think you're doing in here?!\I can't believe you're both into gay stuff like...\pouring your sweet nectar down each others' throats!\Nectar?\Please don't say weird things like that!\Kouhai-kun, it's time for revenge! response:	What?
context: Hey, hey, hey!\What do you think you're doing in here?!\I can't believe you're both into gay stuff like...\pouring your sweet nectar down each others' throats!\Nectar?\Please don't say weird things like that!\Kouhai-kun, it's time for revenge!\What? response:	You gonna let Mashiron beat you like that?!
context: What do you think you're doing in here?!\I can't believe you're both into gay stuff like...\pouring your sweet nectar down each others' throats!\Nectar?\Please don't say weird things like that!\Kouhai-kun, it's time for revenge!\What?\You gonna let Mashiron beat you like that?! response:	Hey, wait!
context: I can't believe you're both into gay stuff like...\pouring your sweet nectar down each others' throats!\Nectar?\Please don't say weird things like that!\Kouhai-kun, it's time for revenge!\What?\You gonna let Mashiron beat you like that?!\Hey, wait! response:	You call yourself a man?!
context: pouring your sweet nectar down each others' throats!\Nectar?\Please don't say weird things like that!\Kouhai-kun, it's time for revenge!\What?\You gonna let Mashiron beat you like that?!\Hey, wait!\You call yourself a man?! response:	Come on, Jin! Hurry up!
context: Nectar?\Please don't say weird things like that!\Kouhai-kun, it's time for revenge!\What?\You gonna let Mashiron beat you like that?!\Hey, wait!\You call yourself a man?!\Come on, Jin! Hurry up! response:	Her makeup exams start tomorrow morning!
context: Please don't say weird things like that!\Kouhai-kun, it's time for revenge!\What?\You gonna let Mashiron beat you like that?!\Hey, wait!\You call yourself a man?!\Come on, Jin! Hurry up!\Her makeup exams start tomorrow morning! response:	Okay, okay.
context: Kouhai-kun, it's time for revenge!\What?\You gonna let Mashiron beat you like that?!\Hey, wait!\You call yourself a man?!\Come on, Jin! Hurry up!\Her makeup exams start tomorrow morning!\Okay, okay. response:	Misaki-senpai!
context: What?\You gonna let Mashiron beat you like that?!\Hey, wait!\You call yourself a man?!\Come on, Jin! Hurry up!\Her makeup exams start tomorrow morning!\Okay, okay.\Misaki-senpai! response:	Don't fall asleep during your test.
context: You gonna let Mashiron beat you like that?!\Hey, wait!\You call yourself a man?!\Come on, Jin! Hurry up!\Her makeup exams start tomorrow morning!\Okay, okay.\Misaki-senpai!\Don't fall asleep during your test. response:	I'll be waiting for you in the classroom.
context: Hey, wait!\You call yourself a man?!\Come on, Jin! Hurry up!\Her makeup exams start tomorrow morning!\Okay, okay.\Misaki-senpai!\Don't fall asleep during your test.\I'll be waiting for you in the classroom. response:	Okay.
context: You call yourself a man?!\Come on, Jin! Hurry up!\Her makeup exams start tomorrow morning!\Okay, okay.\Misaki-senpai!\Don't fall asleep during your test.\I'll be waiting for you in the classroom.\Okay. response:	It'll probably take about three hours...
context: Come on, Jin! Hurry up!\Her makeup exams start tomorrow morning!\Okay, okay.\Misaki-senpai!\Don't fall asleep during your test.\I'll be waiting for you in the classroom.\Okay.\It'll probably take about three hours... response:	Huh?
context: Her makeup exams start tomorrow morning!\Okay, okay.\Misaki-senpai!\Don't fall asleep during your test.\I'll be waiting for you in the classroom.\Okay.\It'll probably take about three hours...\Huh? response:	You Have One New Message. One Missed Call
context: Okay, okay.\Misaki-senpai!\Don't fall asleep during your test.\I'll be waiting for you in the classroom.\Okay.\It'll probably take about three hours...\Huh?\You Have One New Message. One Missed Call response:	Onii-chan, you said you'd come home over summer break!
context: Misaki-senpai!\Don't fall asleep during your test.\I'll be waiting for you in the classroom.\Okay.\It'll probably take about three hours...\Huh?\You Have One New Message. One Missed Call\Onii-chan, you said you'd come home over summer break! response:	Why haven't you called me?!
context: Don't fall asleep during your test.\I'll be waiting for you in the classroom.\Okay.\It'll probably take about three hours...\Huh?\You Have One New Message. One Missed Call\Onii-chan, you said you'd come home over summer break!\Why haven't you called me?! response:	If you don't decide to come home,
context: I'll be waiting for you in the classroom.\Okay.\It'll probably take about three hours...\Huh?\You Have One New Message. One Missed Call\Onii-chan, you said you'd come home over summer break!\Why haven't you called me?!\If you don't decide to come home, response:	my summer vacation plans will be ruined
context: Okay.\It'll probably take about three hours...\Huh?\You Have One New Message. One Missed Call\Onii-chan, you said you'd come home over summer break!\Why haven't you called me?!\If you don't decide to come home,\my summer vacation plans will be ruined response:	Play Stop
context: It'll probably take about three hours...\Huh?\You Have One New Message. One Missed Call\Onii-chan, you said you'd come home over summer break!\Why haven't you called me?!\If you don't decide to come home,\my summer vacation plans will be ruined\Play Stop response:	Oh, crap. I forgot.
context: Huh?\You Have One New Message. One Missed Call\Onii-chan, you said you'd come home over summer break!\Why haven't you called me?!\If you don't decide to come home,\my summer vacation plans will be ruined\Play Stop\Oh, crap. I forgot. response:	Go for the Game Grand Prize! Fujisawa Kazuki
context: You Have One New Message. One Missed Call\Onii-chan, you said you'd come home over summer break!\Why haven't you called me?!\If you don't decide to come home,\my summer vacation plans will be ruined\Play Stop\Oh, crap. I forgot.\Go for the Game Grand Prize! Fujisawa Kazuki response:	Huh?
context: Onii-chan, you said you'd come home over summer break!\Why haven't you called me?!\If you don't decide to come home,\my summer vacation plans will be ruined\Play Stop\Oh, crap. I forgot.\Go for the Game Grand Prize! Fujisawa Kazuki\Huh? response:	Kanda-kun, what are you doing?
context: Why haven't you called me?!\If you don't decide to come home,\my summer vacation plans will be ruined\Play Stop\Oh, crap. I forgot.\Go for the Game Grand Prize! Fujisawa Kazuki\Huh?\Kanda-kun, what are you doing? response:	Oh, Shiina's taking makeup exams, so I tagged along.
context: If you don't decide to come home,\my summer vacation plans will be ruined\Play Stop\Oh, crap. I forgot.\Go for the Game Grand Prize! Fujisawa Kazuki\Huh?\Kanda-kun, what are you doing?\Oh, Shiina's taking makeup exams, so I tagged along. response:	I'm just passing the time.
context: my summer vacation plans will be ruined\Play Stop\Oh, crap. I forgot.\Go for the Game Grand Prize! Fujisawa Kazuki\Huh?\Kanda-kun, what are you doing?\Oh, Shiina's taking makeup exams, so I tagged along.\I'm just passing the time. response:	She still needs someone to chaperon her?
context: Play Stop\Oh, crap. I forgot.\Go for the Game Grand Prize! Fujisawa Kazuki\Huh?\Kanda-kun, what are you doing?\Oh, Shiina's taking makeup exams, so I tagged along.\I'm just passing the time.\She still needs someone to chaperon her? response:	It's been four months since she arrived here.
context: Oh, crap. I forgot.\Go for the Game Grand Prize! Fujisawa Kazuki\Huh?\Kanda-kun, what are you doing?\Oh, Shiina's taking makeup exams, so I tagged along.\I'm just passing the time.\She still needs someone to chaperon her?\It's been four months since she arrived here. response:	Let's just say we're doing some dorm buddy bonding...
context: Go for the Game Grand Prize! Fujisawa Kazuki\Huh?\Kanda-kun, what are you doing?\Oh, Shiina's taking makeup exams, so I tagged along.\I'm just passing the time.\She still needs someone to chaperon her?\It's been four months since she arrived here.\Let's just say we're doing some dorm buddy bonding... response:	I see.
context: Huh?\Kanda-kun, what are you doing?\Oh, Shiina's taking makeup exams, so I tagged along.\I'm just passing the time.\She still needs someone to chaperon her?\It's been four months since she arrived here.\Let's just say we're doing some dorm buddy bonding...\I see. response:	Anyway, what are you doing?
context: Kanda-kun, what are you doing?\Oh, Shiina's taking makeup exams, so I tagged along.\I'm just passing the time.\She still needs someone to chaperon her?\It's been four months since she arrived here.\Let's just say we're doing some dorm buddy bonding...\I see.\Anyway, what are you doing? response:	I was asked to.
context: Oh, Shiina's taking makeup exams, so I tagged along.\I'm just passing the time.\She still needs someone to chaperon her?\It's been four months since she arrived here.\Let's just say we're doing some dorm buddy bonding...\I see.\Anyway, what are you doing?\I was asked to. response:	You were? Why?
context: I'm just passing the time.\She still needs someone to chaperon her?\It's been four months since she arrived here.\Let's just say we're doing some dorm buddy bonding...\I see.\Anyway, what are you doing?\I was asked to.\You were? Why? response:	I was late paying my rent.
context: She still needs someone to chaperon her?\It's been four months since she arrived here.\Let's just say we're doing some dorm buddy bonding...\I see.\Anyway, what are you doing?\I was asked to.\You were? Why?\I was late paying my rent. response:	They said they'd contact my parents...
context: It's been four months since she arrived here.\Let's just say we're doing some dorm buddy bonding...\I see.\Anyway, what are you doing?\I was asked to.\You were? Why?\I was late paying my rent.\They said they'd contact my parents... response:	if I was late again this month.
context: Let's just say we're doing some dorm buddy bonding...\I see.\Anyway, what are you doing?\I was asked to.\You were? Why?\I was late paying my rent.\They said they'd contact my parents...\if I was late again this month. response:	Are you okay?
context: I see.\Anyway, what are you doing?\I was asked to.\You were? Why?\I was late paying my rent.\They said they'd contact my parents...\if I was late again this month.\Are you okay? response:	I'm fine, don't worry.
