context: Ah, yes, that way, please. response:	Be careful.
context: Its design is taken from the English royal train,\and these first-class cars, which are usually in the rear,\are said to be up front because the sculpting complements all the ornamentation.\Still, it does feel a little ostentatious, huh?\Let's not get on.\Why not?\Something not right is going to happen. This train is cursed.\Hey, now, is this the same sixth sense you always get? response:	Has it ever been wrong?
context: and these first-class cars, which are usually in the rear,\are said to be up front because the sculpting complements all the ornamentation.\Still, it does feel a little ostentatious, huh?\Let's not get on.\Why not?\Something not right is going to happen. This train is cursed.\Hey, now, is this the same sixth sense you always get?\Has it ever been wrong? response:	It's going to be terrible. A lot of people are going to die.
context: are said to be up front because the sculpting complements all the ornamentation.\Still, it does feel a little ostentatious, huh?\Let's not get on.\Why not?\Something not right is going to happen. This train is cursed.\Hey, now, is this the same sixth sense you always get?\Has it ever been wrong?\It's going to be terrible. A lot of people are going to die. response:	The only ones who will survive are those with fairly good luck, and...
context: Still, it does feel a little ostentatious, huh?\Let's not get on.\Why not?\Something not right is going to happen. This train is cursed.\Hey, now, is this the same sixth sense you always get?\Has it ever been wrong?\It's going to be terrible. A lot of people are going to die.\The only ones who will survive are those with fairly good luck, and... response:	And?
context: Let's not get on.\Why not?\Something not right is going to happen. This train is cursed.\Hey, now, is this the same sixth sense you always get?\Has it ever been wrong?\It's going to be terrible. A lot of people are going to die.\The only ones who will survive are those with fairly good luck, and...\And? response:	Probably...
context: Why not?\Something not right is going to happen. This train is cursed.\Hey, now, is this the same sixth sense you always get?\Has it ever been wrong?\It's going to be terrible. A lot of people are going to die.\The only ones who will survive are those with fairly good luck, and...\And?\Probably... response:	Hey, Isaac?
context: Something not right is going to happen. This train is cursed.\Hey, now, is this the same sixth sense you always get?\Has it ever been wrong?\It's going to be terrible. A lot of people are going to die.\The only ones who will survive are those with fairly good luck, and...\And?\Probably...\Hey, Isaac? response:	What, Miria?
context: Hey, now, is this the same sixth sense you always get?\Has it ever been wrong?\It's going to be terrible. A lot of people are going to die.\The only ones who will survive are those with fairly good luck, and...\And?\Probably...\Hey, Isaac?\What, Miria? response:	What are we doing here?
context: Has it ever been wrong?\It's going to be terrible. A lot of people are going to die.\The only ones who will survive are those with fairly good luck, and...\And?\Probably...\Hey, Isaac?\What, Miria?\What are we doing here? response:	We're digging for kin, Miria.
context: It's going to be terrible. A lot of people are going to die.\The only ones who will survive are those with fairly good luck, and...\And?\Probably...\Hey, Isaac?\What, Miria?\What are we doing here?\We're digging for kin, Miria. response:	By kin, you mean, gold, right?
context: The only ones who will survive are those with fairly good luck, and...\And?\Probably...\Hey, Isaac?\What, Miria?\What are we doing here?\We're digging for kin, Miria.\By kin, you mean, gold, right? response:	Yeah, that's right, Miria.
context: And?\Probably...\Hey, Isaac?\What, Miria?\What are we doing here?\We're digging for kin, Miria.\By kin, you mean, gold, right?\Yeah, that's right, Miria. response:	This is a once-in-a-lifetime big job for us!
context: Probably...\Hey, Isaac?\What, Miria?\What are we doing here?\We're digging for kin, Miria.\By kin, you mean, gold, right?\Yeah, that's right, Miria.\This is a once-in-a-lifetime big job for us! response:	After all, we're stealing kin from the earth.
context: Hey, Isaac?\What, Miria?\What are we doing here?\We're digging for kin, Miria.\By kin, you mean, gold, right?\Yeah, that's right, Miria.\This is a once-in-a-lifetime big job for us!\After all, we're stealing kin from the earth. response:	By earth, you mean, this planet, right?
context: What, Miria?\What are we doing here?\We're digging for kin, Miria.\By kin, you mean, gold, right?\Yeah, that's right, Miria.\This is a once-in-a-lifetime big job for us!\After all, we're stealing kin from the earth.\By earth, you mean, this planet, right? response:	Yeah, that's right, Miria.
context: What are we doing here?\We're digging for kin, Miria.\By kin, you mean, gold, right?\Yeah, that's right, Miria.\This is a once-in-a-lifetime big job for us!\After all, we're stealing kin from the earth.\By earth, you mean, this planet, right?\Yeah, that's right, Miria. response:	No one has ever tried to steal from the earth before!
context: We're digging for kin, Miria.\By kin, you mean, gold, right?\Yeah, that's right, Miria.\This is a once-in-a-lifetime big job for us!\After all, we're stealing kin from the earth.\By earth, you mean, this planet, right?\Yeah, that's right, Miria.\No one has ever tried to steal from the earth before! response:	By which I mean, our names are going to go down in history, Miria!
context: By kin, you mean, gold, right?\Yeah, that's right, Miria.\This is a once-in-a-lifetime big job for us!\After all, we're stealing kin from the earth.\By earth, you mean, this planet, right?\Yeah, that's right, Miria.\No one has ever tried to steal from the earth before!\By which I mean, our names are going to go down in history, Miria! response:	Incredible!
context: Yeah, that's right, Miria.\This is a once-in-a-lifetime big job for us!\After all, we're stealing kin from the earth.\By earth, you mean, this planet, right?\Yeah, that's right, Miria.\No one has ever tried to steal from the earth before!\By which I mean, our names are going to go down in history, Miria!\Incredible! response:	All right, let's go, Miria!
context: This is a once-in-a-lifetime big job for us!\After all, we're stealing kin from the earth.\By earth, you mean, this planet, right?\Yeah, that's right, Miria.\No one has ever tried to steal from the earth before!\By which I mean, our names are going to go down in history, Miria!\Incredible!\All right, let's go, Miria! response:	Let's go!
context: After all, we're stealing kin from the earth.\By earth, you mean, this planet, right?\Yeah, that's right, Miria.\No one has ever tried to steal from the earth before!\By which I mean, our names are going to go down in history, Miria!\Incredible!\All right, let's go, Miria!\Let's go! response:	Ready, set...
context: By earth, you mean, this planet, right?\Yeah, that's right, Miria.\No one has ever tried to steal from the earth before!\By which I mean, our names are going to go down in history, Miria!\Incredible!\All right, let's go, Miria!\Let's go!\Ready, set... response:	Hey, Isaac?
context: Yeah, that's right, Miria.\No one has ever tried to steal from the earth before!\By which I mean, our names are going to go down in history, Miria!\Incredible!\All right, let's go, Miria!\Let's go!\Ready, set...\Hey, Isaac? response:	What, Miria?
context: No one has ever tried to steal from the earth before!\By which I mean, our names are going to go down in history, Miria!\Incredible!\All right, let's go, Miria!\Let's go!\Ready, set...\Hey, Isaac?\What, Miria? response:	People usually take gold out of the river,
context: By which I mean, our names are going to go down in history, Miria!\Incredible!\All right, let's go, Miria!\Let's go!\Ready, set...\Hey, Isaac?\What, Miria?\People usually take gold out of the river, response:	so why are we digging a hole?
context: Incredible!\All right, let's go, Miria!\Let's go!\Ready, set...\Hey, Isaac?\What, Miria?\People usually take gold out of the river,\so why are we digging a hole? response:	That's something that hopeless amateurs who don't know better do.
context: All right, let's go, Miria!\Let's go!\Ready, set...\Hey, Isaac?\What, Miria?\People usually take gold out of the river,\so why are we digging a hole?\That's something that hopeless amateurs who don't know better do. response:	But then, when we tried to pan out a little gold dust there,
context: Let's go!\Ready, set...\Hey, Isaac?\What, Miria?\People usually take gold out of the river,\so why are we digging a hole?\That's something that hopeless amateurs who don't know better do.\But then, when we tried to pan out a little gold dust there, response:	some men made a lot of noise about us being on their turf,
context: Ready, set...\Hey, Isaac?\What, Miria?\People usually take gold out of the river,\so why are we digging a hole?\That's something that hopeless amateurs who don't know better do.\But then, when we tried to pan out a little gold dust there,\some men made a lot of noise about us being on their turf, response:	That was humiliating, huh?
context: Hey, Isaac?\What, Miria?\People usually take gold out of the river,\so why are we digging a hole?\That's something that hopeless amateurs who don't know better do.\But then, when we tried to pan out a little gold dust there,\some men made a lot of noise about us being on their turf,\That was humiliating, huh? response:	However, I saw a centipede out in front of this abandoned mine.
context: What, Miria?\People usually take gold out of the river,\so why are we digging a hole?\That's something that hopeless amateurs who don't know better do.\But then, when we tried to pan out a little gold dust there,\some men made a lot of noise about us being on their turf,\That was humiliating, huh?\However, I saw a centipede out in front of this abandoned mine. response:	A huge one, that had many hundreds of legs!
context: People usually take gold out of the river,\so why are we digging a hole?\That's something that hopeless amateurs who don't know better do.\But then, when we tried to pan out a little gold dust there,\some men made a lot of noise about us being on their turf,\That was humiliating, huh?\However, I saw a centipede out in front of this abandoned mine.\A huge one, that had many hundreds of legs! response:	Word is that in the Orient, centipedes are the gods of gold mining.
context: so why are we digging a hole?\That's something that hopeless amateurs who don't know better do.\But then, when we tried to pan out a little gold dust there,\some men made a lot of noise about us being on their turf,\That was humiliating, huh?\However, I saw a centipede out in front of this abandoned mine.\A huge one, that had many hundreds of legs!\Word is that in the Orient, centipedes are the gods of gold mining. response:	That's when I became convinced
context: That's something that hopeless amateurs who don't know better do.\But then, when we tried to pan out a little gold dust there,\some men made a lot of noise about us being on their turf,\That was humiliating, huh?\However, I saw a centipede out in front of this abandoned mine.\A huge one, that had many hundreds of legs!\Word is that in the Orient, centipedes are the gods of gold mining.\That's when I became convinced response:	that a whole bunch of gold was coming out of here!
context: But then, when we tried to pan out a little gold dust there,\some men made a lot of noise about us being on their turf,\That was humiliating, huh?\However, I saw a centipede out in front of this abandoned mine.\A huge one, that had many hundreds of legs!\Word is that in the Orient, centipedes are the gods of gold mining.\That's when I became convinced\that a whole bunch of gold was coming out of here! response:	Wow! We haven't found a single nugget yet, but
context: some men made a lot of noise about us being on their turf,\That was humiliating, huh?\However, I saw a centipede out in front of this abandoned mine.\A huge one, that had many hundreds of legs!\Word is that in the Orient, centipedes are the gods of gold mining.\That's when I became convinced\that a whole bunch of gold was coming out of here!\Wow! We haven't found a single nugget yet, but response:	that's incredible!!
context: That was humiliating, huh?\However, I saw a centipede out in front of this abandoned mine.\A huge one, that had many hundreds of legs!\Word is that in the Orient, centipedes are the gods of gold mining.\That's when I became convinced\that a whole bunch of gold was coming out of here!\Wow! We haven't found a single nugget yet, but\that's incredible!! response:	Oh, yeah, Isaac...
context: However, I saw a centipede out in front of this abandoned mine.\A huge one, that had many hundreds of legs!\Word is that in the Orient, centipedes are the gods of gold mining.\That's when I became convinced\that a whole bunch of gold was coming out of here!\Wow! We haven't found a single nugget yet, but\that's incredible!!\Oh, yeah, Isaac... response:	What, Miria?
context: A huge one, that had many hundreds of legs!\Word is that in the Orient, centipedes are the gods of gold mining.\That's when I became convinced\that a whole bunch of gold was coming out of here!\Wow! We haven't found a single nugget yet, but\that's incredible!!\Oh, yeah, Isaac...\What, Miria? response:	We got a letter from Ennis.
context: Word is that in the Orient, centipedes are the gods of gold mining.\That's when I became convinced\that a whole bunch of gold was coming out of here!\Wow! We haven't found a single nugget yet, but\that's incredible!!\Oh, yeah, Isaac...\What, Miria?\We got a letter from Ennis. response:	Oh, and what does it say?
context: That's when I became convinced\that a whole bunch of gold was coming out of here!\Wow! We haven't found a single nugget yet, but\that's incredible!!\Oh, yeah, Isaac...\What, Miria?\We got a letter from Ennis.\Oh, and what does it say? response:	Dear Isaac- san and Miria- san,
context: that a whole bunch of gold was coming out of here!\Wow! We haven't found a single nugget yet, but\that's incredible!!\Oh, yeah, Isaac...\What, Miria?\We got a letter from Ennis.\Oh, and what does it say?\Dear Isaac- san and Miria- san, response:	Almost a year has passed since you left New York.
context: Wow! We haven't found a single nugget yet, but\that's incredible!!\Oh, yeah, Isaac...\What, Miria?\We got a letter from Ennis.\Oh, and what does it say?\Dear Isaac- san and Miria- san,\Almost a year has passed since you left New York. response:	Everything is the same here,
context: that's incredible!!\Oh, yeah, Isaac...\What, Miria?\We got a letter from Ennis.\Oh, and what does it say?\Dear Isaac- san and Miria- san,\Almost a year has passed since you left New York.\Everything is the same here, response:	but we sure do miss having the lively pair of you around.
context: Oh, yeah, Isaac...\What, Miria?\We got a letter from Ennis.\Oh, and what does it say?\Dear Isaac- san and Miria- san,\Almost a year has passed since you left New York.\Everything is the same here,\but we sure do miss having the lively pair of you around. response:	Why not knock off your unsuccessful gold mining for now,
context: What, Miria?\We got a letter from Ennis.\Oh, and what does it say?\Dear Isaac- san and Miria- san,\Almost a year has passed since you left New York.\Everything is the same here,\but we sure do miss having the lively pair of you around.\Why not knock off your unsuccessful gold mining for now, response:	and come this way to visit us?
context: We got a letter from Ennis.\Oh, and what does it say?\Dear Isaac- san and Miria- san,\Almost a year has passed since you left New York.\Everything is the same here,\but we sure do miss having the lively pair of you around.\Why not knock off your unsuccessful gold mining for now,\and come this way to visit us? response:	Isaac- san and Miria- san,
context: Oh, and what does it say?\Dear Isaac- san and Miria- san,\Almost a year has passed since you left New York.\Everything is the same here,\but we sure do miss having the lively pair of you around.\Why not knock off your unsuccessful gold mining for now,\and come this way to visit us?\Isaac- san and Miria- san, response:	I feel like you two are my own brother and sister.
context: Dear Isaac- san and Miria- san,\Almost a year has passed since you left New York.\Everything is the same here,\but we sure do miss having the lively pair of you around.\Why not knock off your unsuccessful gold mining for now,\and come this way to visit us?\Isaac- san and Miria- san,\I feel like you two are my own brother and sister. response:	The real brother and sister that I never got to meet.
context: Almost a year has passed since you left New York.\Everything is the same here,\but we sure do miss having the lively pair of you around.\Why not knock off your unsuccessful gold mining for now,\and come this way to visit us?\Isaac- san and Miria- san,\I feel like you two are my own brother and sister.\The real brother and sister that I never got to meet. response:	When I think of everyone that was created before I was,
context: Everything is the same here,\but we sure do miss having the lively pair of you around.\Why not knock off your unsuccessful gold mining for now,\and come this way to visit us?\Isaac- san and Miria- san,\I feel like you two are my own brother and sister.\The real brother and sister that I never got to meet.\When I think of everyone that was created before I was, response:	I feel very sorrowful,
context: but we sure do miss having the lively pair of you around.\Why not knock off your unsuccessful gold mining for now,\and come this way to visit us?\Isaac- san and Miria- san,\I feel like you two are my own brother and sister.\The real brother and sister that I never got to meet.\When I think of everyone that was created before I was,\I feel very sorrowful, response:	but thanks to you, Isaac- san and Miria- san, I am able to get past it.
context: Why not knock off your unsuccessful gold mining for now,\and come this way to visit us?\Isaac- san and Miria- san,\I feel like you two are my own brother and sister.\The real brother and sister that I never got to meet.\When I think of everyone that was created before I was,\I feel very sorrowful,\but thanks to you, Isaac- san and Miria- san, I am able to get past it. response:	Hey, Isaac?
context: and come this way to visit us?\Isaac- san and Miria- san,\I feel like you two are my own brother and sister.\The real brother and sister that I never got to meet.\When I think of everyone that was created before I was,\I feel very sorrowful,\but thanks to you, Isaac- san and Miria- san, I am able to get past it.\Hey, Isaac? response:	What, Miria?
context: Isaac- san and Miria- san,\I feel like you two are my own brother and sister.\The real brother and sister that I never got to meet.\When I think of everyone that was created before I was,\I feel very sorrowful,\but thanks to you, Isaac- san and Miria- san, I am able to get past it.\Hey, Isaac?\What, Miria? response:	Does Ennis mean that her older siblings are already dead?
context: I feel like you two are my own brother and sister.\The real brother and sister that I never got to meet.\When I think of everyone that was created before I was,\I feel very sorrowful,\but thanks to you, Isaac- san and Miria- san, I am able to get past it.\Hey, Isaac?\What, Miria?\Does Ennis mean that her older siblings are already dead? response:	No, no, you're wrong. You're wrong, Miria.
context: The real brother and sister that I never got to meet.\When I think of everyone that was created before I was,\I feel very sorrowful,\but thanks to you, Isaac- san and Miria- san, I am able to get past it.\Hey, Isaac?\What, Miria?\Does Ennis mean that her older siblings are already dead?\No, no, you're wrong. You're wrong, Miria. response:	Um, was made? Never got to meet?
context: When I think of everyone that was created before I was,\I feel very sorrowful,\but thanks to you, Isaac- san and Miria- san, I am able to get past it.\Hey, Isaac?\What, Miria?\Does Ennis mean that her older siblings are already dead?\No, no, you're wrong. You're wrong, Miria.\Um, was made? Never got to meet? response:	You see, what she means is...
context: I feel very sorrowful,\but thanks to you, Isaac- san and Miria- san, I am able to get past it.\Hey, Isaac?\What, Miria?\Does Ennis mean that her older siblings are already dead?\No, no, you're wrong. You're wrong, Miria.\Um, was made? Never got to meet?\You see, what she means is... response:	Yeah, that's it!
context: but thanks to you, Isaac- san and Miria- san, I am able to get past it.\Hey, Isaac?\What, Miria?\Does Ennis mean that her older siblings are already dead?\No, no, you're wrong. You're wrong, Miria.\Um, was made? Never got to meet?\You see, what she means is...\Yeah, that's it! response:	She wants a younger brother!
context: Hey, Isaac?\What, Miria?\Does Ennis mean that her older siblings are already dead?\No, no, you're wrong. You're wrong, Miria.\Um, was made? Never got to meet?\You see, what she means is...\Yeah, that's it!\She wants a younger brother! response:	So you mean, she's like a happy little problem child, pestering her mother?
context: What, Miria?\Does Ennis mean that her older siblings are already dead?\No, no, you're wrong. You're wrong, Miria.\Um, was made? Never got to meet?\You see, what she means is...\Yeah, that's it!\She wants a younger brother!\So you mean, she's like a happy little problem child, pestering her mother? response:	Yeah, that's right, Miria.
context: Does Ennis mean that her older siblings are already dead?\No, no, you're wrong. You're wrong, Miria.\Um, was made? Never got to meet?\You see, what she means is...\Yeah, that's it!\She wants a younger brother!\So you mean, she's like a happy little problem child, pestering her mother?\Yeah, that's right, Miria. response:	That's it. Ennis is happy, you see?
context: No, no, you're wrong. You're wrong, Miria.\Um, was made? Never got to meet?\You see, what she means is...\Yeah, that's it!\She wants a younger brother!\So you mean, she's like a happy little problem child, pestering her mother?\Yeah, that's right, Miria.\That's it. Ennis is happy, you see? response:	Well, Isaac, we're not Ennis's mama, so we can't do anything, huh?
context: Um, was made? Never got to meet?\You see, what she means is...\Yeah, that's it!\She wants a younger brother!\So you mean, she's like a happy little problem child, pestering her mother?\Yeah, that's right, Miria.\That's it. Ennis is happy, you see?\Well, Isaac, we're not Ennis's mama, so we can't do anything, huh? response:	Nope. Unfortunately, you're right, Miria.
context: You see, what she means is...\Yeah, that's it!\She wants a younger brother!\So you mean, she's like a happy little problem child, pestering her mother?\Yeah, that's right, Miria.\That's it. Ennis is happy, you see?\Well, Isaac, we're not Ennis's mama, so we can't do anything, huh?\Nope. Unfortunately, you're right, Miria. response:	Instead, let's come up with some amazing gift, and go to New York!
context: Yeah, that's it!\She wants a younger brother!\So you mean, she's like a happy little problem child, pestering her mother?\Yeah, that's right, Miria.\That's it. Ennis is happy, you see?\Well, Isaac, we're not Ennis's mama, so we can't do anything, huh?\Nope. Unfortunately, you're right, Miria.\Instead, let's come up with some amazing gift, and go to New York! response:	But Isaac, we don't have any money at all.
context: She wants a younger brother!\So you mean, she's like a happy little problem child, pestering her mother?\Yeah, that's right, Miria.\That's it. Ennis is happy, you see?\Well, Isaac, we're not Ennis's mama, so we can't do anything, huh?\Nope. Unfortunately, you're right, Miria.\Instead, let's come up with some amazing gift, and go to New York!\But Isaac, we don't have any money at all. response:	Well then, let's commit a train robbery.
context: So you mean, she's like a happy little problem child, pestering her mother?\Yeah, that's right, Miria.\That's it. Ennis is happy, you see?\Well, Isaac, we're not Ennis's mama, so we can't do anything, huh?\Nope. Unfortunately, you're right, Miria.\Instead, let's come up with some amazing gift, and go to New York!\But Isaac, we don't have any money at all.\Well then, let's commit a train robbery. response:	Ah, fantastic!
context: Yeah, that's right, Miria.\That's it. Ennis is happy, you see?\Well, Isaac, we're not Ennis's mama, so we can't do anything, huh?\Nope. Unfortunately, you're right, Miria.\Instead, let's come up with some amazing gift, and go to New York!\But Isaac, we don't have any money at all.\Well then, let's commit a train robbery.\Ah, fantastic! response:	By the way, a train robbery is where
context: That's it. Ennis is happy, you see?\Well, Isaac, we're not Ennis's mama, so we can't do anything, huh?\Nope. Unfortunately, you're right, Miria.\Instead, let's come up with some amazing gift, and go to New York!\But Isaac, we don't have any money at all.\Well then, let's commit a train robbery.\Ah, fantastic!\By the way, a train robbery is where response:	you take the train to a destination, do the robbery,
context: Well, Isaac, we're not Ennis's mama, so we can't do anything, huh?\Nope. Unfortunately, you're right, Miria.\Instead, let's come up with some amazing gift, and go to New York!\But Isaac, we don't have any money at all.\Well then, let's commit a train robbery.\Ah, fantastic!\By the way, a train robbery is where\you take the train to a destination, do the robbery, response:	then get on the train again and flee,
context: Nope. Unfortunately, you're right, Miria.\Instead, let's come up with some amazing gift, and go to New York!\But Isaac, we don't have any money at all.\Well then, let's commit a train robbery.\Ah, fantastic!\By the way, a train robbery is where\you take the train to a destination, do the robbery,\then get on the train again and flee, response:	isn't it?
context: Instead, let's come up with some amazing gift, and go to New York!\But Isaac, we don't have any money at all.\Well then, let's commit a train robbery.\Ah, fantastic!\By the way, a train robbery is where\you take the train to a destination, do the robbery,\then get on the train again and flee,\isn't it? response:	That's right, Isaac!
context: But Isaac, we don't have any money at all.\Well then, let's commit a train robbery.\Ah, fantastic!\By the way, a train robbery is where\you take the train to a destination, do the robbery,\then get on the train again and flee,\isn't it?\That's right, Isaac! response:	All right! Then, like we've done before...
context: Well then, let's commit a train robbery.\Ah, fantastic!\By the way, a train robbery is where\you take the train to a destination, do the robbery,\then get on the train again and flee,\isn't it?\That's right, Isaac!\All right! Then, like we've done before... response:	Let's steal some money from the Mafia, who do bad things!
context: Ah, fantastic!\By the way, a train robbery is where\you take the train to a destination, do the robbery,\then get on the train again and flee,\isn't it?\That's right, Isaac!\All right! Then, like we've done before...\Let's steal some money from the Mafia, who do bad things! response:	Strike! The count is 2-and-2.
context: By the way, a train robbery is where\you take the train to a destination, do the robbery,\then get on the train again and flee,\isn't it?\That's right, Isaac!\All right! Then, like we've done before...\Let's steal some money from the Mafia, who do bad things!\Strike! The count is 2-and-2. response:	Will the batter be able to come from behind and deliver?
context: you take the train to a destination, do the robbery,\then get on the train again and flee,\isn't it?\That's right, Isaac!\All right! Then, like we've done before...\Let's steal some money from the Mafia, who do bad things!\Strike! The count is 2-and-2.\Will the batter be able to come from behind and deliver? response:	Yes, he'd certainly want to go for broke here.
context: then get on the train again and flee,\isn't it?\That's right, Isaac!\All right! Then, like we've done before...\Let's steal some money from the Mafia, who do bad things!\Strike! The count is 2-and-2.\Will the batter be able to come from behind and deliver?\Yes, he'd certainly want to go for broke here. response:	The pitcher winds up... and throws!
context: isn't it?\That's right, Isaac!\All right! Then, like we've done before...\Let's steal some money from the Mafia, who do bad things!\Strike! The count is 2-and-2.\Will the batter be able to come from behind and deliver?\Yes, he'd certainly want to go for broke here.\The pitcher winds up... and throws! response:	Wham!
context: That's right, Isaac!\All right! Then, like we've done before...\Let's steal some money from the Mafia, who do bad things!\Strike! The count is 2-and-2.\Will the batter be able to come from behind and deliver?\Yes, he'd certainly want to go for broke here.\The pitcher winds up... and throws!\Wham! response:	He hits it!
context: All right! Then, like we've done before...\Let's steal some money from the Mafia, who do bad things!\Strike! The count is 2-and-2.\Will the batter be able to come from behind and deliver?\Yes, he'd certainly want to go for broke here.\The pitcher winds up... and throws!\Wham!\He hits it! response:	Wham!
context: Let's steal some money from the Mafia, who do bad things!\Strike! The count is 2-and-2.\Will the batter be able to come from behind and deliver?\Yes, he'd certainly want to go for broke here.\The pitcher winds up... and throws!\Wham!\He hits it!\Wham! response:	It's going... it's going...
context: Strike! The count is 2-and-2.\Will the batter be able to come from behind and deliver?\Yes, he'd certainly want to go for broke here.\The pitcher winds up... and throws!\Wham!\He hits it!\Wham!\It's going... it's going... response:	it's gone! A home run!
context: Will the batter be able to come from behind and deliver?\Yes, he'd certainly want to go for broke here.\The pitcher winds up... and throws!\Wham!\He hits it!\Wham!\It's going... it's going...\it's gone! A home run! response:	Hold it-
context: Yes, he'd certainly want to go for broke here.\The pitcher winds up... and throws!\Wham!\He hits it!\Wham!\It's going... it's going...\it's gone! A home run!\Hold it- response:	The crowd is cheering wildly!
context: The pitcher winds up... and throws!\Wham!\He hits it!\Wham!\It's going... it's going...\it's gone! A home run!\Hold it-\The crowd is cheering wildly! response:	What do you think, Miria?!
context: Wham!\He hits it!\Wham!\It's going... it's going...\it's gone! A home run!\Hold it-\The crowd is cheering wildly!\What do you think, Miria?! response:	It's incredible, Isaac! We're champions of justice!
context: He hits it!\Wham!\It's going... it's going...\it's gone! A home run!\Hold it-\The crowd is cheering wildly!\What do you think, Miria?!\It's incredible, Isaac! We're champions of justice! response:	Wow, incredible!
context: Wham!\It's going... it's going...\it's gone! A home run!\Hold it-\The crowd is cheering wildly!\What do you think, Miria?!\It's incredible, Isaac! We're champions of justice!\Wow, incredible! response:	J-Just a minute...
context: It's going... it's going...\it's gone! A home run!\Hold it-\The crowd is cheering wildly!\What do you think, Miria?!\It's incredible, Isaac! We're champions of justice!\Wow, incredible!\J-Just a minute... response:	J-Just a minute... Look at that, Miria.
context: it's gone! A home run!\Hold it-\The crowd is cheering wildly!\What do you think, Miria?!\It's incredible, Isaac! We're champions of justice!\Wow, incredible!\J-Just a minute...\J-Just a minute... Look at that, Miria. response:	Oh, what's that?
context: Hold it-\The crowd is cheering wildly!\What do you think, Miria?!\It's incredible, Isaac! We're champions of justice!\Wow, incredible!\J-Just a minute...\J-Just a minute... Look at that, Miria.\Oh, what's that? response:	Just to be safe, the orchestra will be riding in the freight hold, if that's all right with you.
context: The crowd is cheering wildly!\What do you think, Miria?!\It's incredible, Isaac! We're champions of justice!\Wow, incredible!\J-Just a minute...\J-Just a minute... Look at that, Miria.\Oh, what's that?\Just to be safe, the orchestra will be riding in the freight hold, if that's all right with you. response:	No, that's out of my hands-
context: What do you think, Miria?!\It's incredible, Isaac! We're champions of justice!\Wow, incredible!\J-Just a minute...\J-Just a minute... Look at that, Miria.\Oh, what's that?\Just to be safe, the orchestra will be riding in the freight hold, if that's all right with you.\No, that's out of my hands- response:	We have received permission.
context: It's incredible, Isaac! We're champions of justice!\Wow, incredible!\J-Just a minute...\J-Just a minute... Look at that, Miria.\Oh, what's that?\Just to be safe, the orchestra will be riding in the freight hold, if that's all right with you.\No, that's out of my hands-\We have received permission. response:	Ah, in that case, there is no problem.
context: Wow, incredible!\J-Just a minute...\J-Just a minute... Look at that, Miria.\Oh, what's that?\Just to be safe, the orchestra will be riding in the freight hold, if that's all right with you.\No, that's out of my hands-\We have received permission.\Ah, in that case, there is no problem. response:	Our instruments are delicate, you understand.
context: J-Just a minute...\J-Just a minute... Look at that, Miria.\Oh, what's that?\Just to be safe, the orchestra will be riding in the freight hold, if that's all right with you.\No, that's out of my hands-\We have received permission.\Ah, in that case, there is no problem.\Our instruments are delicate, you understand. response:	Carry them in.
