context: Ryu! response:	So much force!
context: traveling a distance of only two or three meters.\There's no way you can save them all.\Oh...\However...\It's important to know that getting blocked isn't the end.\I'll save them, one after another, so don't worry about getting blocked.\Knowing your teammates are there to back you up,\Come on, he's an ace. Every one of his spikes will score. response:	can set your mind at ease.
context: There's no way you can save them all.\Oh...\However...\It's important to know that getting blocked isn't the end.\I'll save them, one after another, so don't worry about getting blocked.\Knowing your teammates are there to back you up,\Come on, he's an ace. Every one of his spikes will score.\can set your mind at ease. response:	What?
context: Oh...\However...\It's important to know that getting blocked isn't the end.\I'll save them, one after another, so don't worry about getting blocked.\Knowing your teammates are there to back you up,\Come on, he's an ace. Every one of his spikes will score.\can set your mind at ease.\What? response:	I see.
context: However...\It's important to know that getting blocked isn't the end.\I'll save them, one after another, so don't worry about getting blocked.\Knowing your teammates are there to back you up,\Come on, he's an ace. Every one of his spikes will score.\can set your mind at ease.\What?\I see. response:	Karasuno Neighborhood Assoc.
context: It's important to know that getting blocked isn't the end.\I'll save them, one after another, so don't worry about getting blocked.\Knowing your teammates are there to back you up,\Come on, he's an ace. Every one of his spikes will score.\can set your mind at ease.\What?\I see.\Karasuno Neighborhood Assoc. response:	Nice serve.
context: I'll save them, one after another, so don't worry about getting blocked.\Knowing your teammates are there to back you up,\Come on, he's an ace. Every one of his spikes will score.\can set your mind at ease.\What?\I see.\Karasuno Neighborhood Assoc.\Nice serve. response:	Ennoshita.
context: Knowing your teammates are there to back you up,\Come on, he's an ace. Every one of his spikes will score.\can set your mind at ease.\What?\I see.\Karasuno Neighborhood Assoc.\Nice serve.\Ennoshita. response:	Cover.
context: Come on, he's an ace. Every one of his spikes will score.\can set your mind at ease.\What?\I see.\Karasuno Neighborhood Assoc.\Nice serve.\Ennoshita.\Cover. response:	Overall, their receiving needs a lot of work.
context: can set your mind at ease.\What?\I see.\Karasuno Neighborhood Assoc.\Nice serve.\Ennoshita.\Cover.\Overall, their receiving needs a lot of work. response:	Sorry. Kageyama, cover for me.
context: What?\I see.\Karasuno Neighborhood Assoc.\Nice serve.\Ennoshita.\Cover.\Overall, their receiving needs a lot of work.\Sorry. Kageyama, cover for me. response:	Right.
context: I see.\Karasuno Neighborhood Assoc.\Nice serve.\Ennoshita.\Cover.\Overall, their receiving needs a lot of work.\Sorry. Kageyama, cover for me.\Right. response:	He discerns the dropping point quickly and without hesitation.
context: Karasuno Neighborhood Assoc.\Nice serve.\Ennoshita.\Cover.\Overall, their receiving needs a lot of work.\Sorry. Kageyama, cover for me.\Right.\He discerns the dropping point quickly and without hesitation. response:	That setter is a first-year,
context: Nice serve.\Ennoshita.\Cover.\Overall, their receiving needs a lot of work.\Sorry. Kageyama, cover for me.\Right.\He discerns the dropping point quickly and without hesitation.\That setter is a first-year, response:	so who am I going to pick for
context: Ennoshita.\Cover.\Overall, their receiving needs a lot of work.\Sorry. Kageyama, cover for me.\Right.\He discerns the dropping point quickly and without hesitation.\That setter is a first-year,\so who am I going to pick for response:	Nice, Hinata, Kageyama.
context: Cover.\Overall, their receiving needs a lot of work.\Sorry. Kageyama, cover for me.\Right.\He discerns the dropping point quickly and without hesitation.\That setter is a first-year,\so who am I going to pick for\Nice, Hinata, Kageyama. response:	Thanks.
context: Overall, their receiving needs a lot of work.\Sorry. Kageyama, cover for me.\Right.\He discerns the dropping point quickly and without hesitation.\That setter is a first-year,\so who am I going to pick for\Nice, Hinata, Kageyama.\Thanks. response:	But now I have this guy tossing to me,
context: Sorry. Kageyama, cover for me.\Right.\He discerns the dropping point quickly and without hesitation.\That setter is a first-year,\so who am I going to pick for\Nice, Hinata, Kageyama.\Thanks.\But now I have this guy tossing to me, response:	so I can get past any blocker.
context: Right.\He discerns the dropping point quickly and without hesitation.\That setter is a first-year,\so who am I going to pick for\Nice, Hinata, Kageyama.\Thanks.\But now I have this guy tossing to me,\so I can get past any blocker. response:	I guess he wasn't exaggerating.
context: He discerns the dropping point quickly and without hesitation.\That setter is a first-year,\so who am I going to pick for\Nice, Hinata, Kageyama.\Thanks.\But now I have this guy tossing to me,\so I can get past any blocker.\I guess he wasn't exaggerating. response:	That was amazing, Shoyo!
context: That setter is a first-year,\so who am I going to pick for\Nice, Hinata, Kageyama.\Thanks.\But now I have this guy tossing to me,\so I can get past any blocker.\I guess he wasn't exaggerating.\That was amazing, Shoyo! response:	What was that? Did I really just see that?
context: so who am I going to pick for\Nice, Hinata, Kageyama.\Thanks.\But now I have this guy tossing to me,\so I can get past any blocker.\I guess he wasn't exaggerating.\That was amazing, Shoyo!\What was that? Did I really just see that? response:	He didn't even signal. He didn't vocalize anything, so how...
context: Nice, Hinata, Kageyama.\Thanks.\But now I have this guy tossing to me,\so I can get past any blocker.\I guess he wasn't exaggerating.\That was amazing, Shoyo!\What was that? Did I really just see that?\He didn't even signal. He didn't vocalize anything, so how... response:	Hey!
context: Thanks.\But now I have this guy tossing to me,\so I can get past any blocker.\I guess he wasn't exaggerating.\That was amazing, Shoyo!\What was that? Did I really just see that?\He didn't even signal. He didn't vocalize anything, so how...\Hey! response:	Why did you jump there, shrimpy?
context: But now I have this guy tossing to me,\so I can get past any blocker.\I guess he wasn't exaggerating.\That was amazing, Shoyo!\What was that? Did I really just see that?\He didn't even signal. He didn't vocalize anything, so how...\Hey!\Why did you jump there, shrimpy? response:	Shrimpy...
context: so I can get past any blocker.\I guess he wasn't exaggerating.\That was amazing, Shoyo!\What was that? Did I really just see that?\He didn't even signal. He didn't vocalize anything, so how...\Hey!\Why did you jump there, shrimpy?\Shrimpy... response:	B-Because the toss will come to wherever I jump.
context: I guess he wasn't exaggerating.\That was amazing, Shoyo!\What was that? Did I really just see that?\He didn't even signal. He didn't vocalize anything, so how...\Hey!\Why did you jump there, shrimpy?\Shrimpy...\B-Because the toss will come to wherever I jump. response:	Clearly, Shrimpy jumped without watching for the toss.
context: That was amazing, Shoyo!\What was that? Did I really just see that?\He didn't even signal. He didn't vocalize anything, so how...\Hey!\Why did you jump there, shrimpy?\Shrimpy...\B-Because the toss will come to wherever I jump.\Clearly, Shrimpy jumped without watching for the toss. response:	Did that first-year setter perfectly coordinate with shrimpy's motion?
context: What was that? Did I really just see that?\He didn't even signal. He didn't vocalize anything, so how...\Hey!\Why did you jump there, shrimpy?\Shrimpy...\B-Because the toss will come to wherever I jump.\Clearly, Shrimpy jumped without watching for the toss.\Did that first-year setter perfectly coordinate with shrimpy's motion? response:	And how could he be so certain the toss would be there?
context: He didn't even signal. He didn't vocalize anything, so how...\Hey!\Why did you jump there, shrimpy?\Shrimpy...\B-Because the toss will come to wherever I jump.\Clearly, Shrimpy jumped without watching for the toss.\Did that first-year setter perfectly coordinate with shrimpy's motion?\And how could he be so certain the toss would be there? response:	Who makes a full swing on that alone, without looking for the toss at all?
context: Hey!\Why did you jump there, shrimpy?\Shrimpy...\B-Because the toss will come to wherever I jump.\Clearly, Shrimpy jumped without watching for the toss.\Did that first-year setter perfectly coordinate with shrimpy's motion?\And how could he be so certain the toss would be there?\Who makes a full swing on that alone, without looking for the toss at all? response:	What's the matter with you guys? Are you freaks?
context: Why did you jump there, shrimpy?\Shrimpy...\B-Because the toss will come to wherever I jump.\Clearly, Shrimpy jumped without watching for the toss.\Did that first-year setter perfectly coordinate with shrimpy's motion?\And how could he be so certain the toss would be there?\Who makes a full swing on that alone, without looking for the toss at all?\What's the matter with you guys? Are you freaks? response:	What?
context: Shrimpy...\B-Because the toss will come to wherever I jump.\Clearly, Shrimpy jumped without watching for the toss.\Did that first-year setter perfectly coordinate with shrimpy's motion?\And how could he be so certain the toss would be there?\Who makes a full swing on that alone, without looking for the toss at all?\What's the matter with you guys? Are you freaks?\What? response:	Freaks?
context: B-Because the toss will come to wherever I jump.\Clearly, Shrimpy jumped without watching for the toss.\Did that first-year setter perfectly coordinate with shrimpy's motion?\And how could he be so certain the toss would be there?\Who makes a full swing on that alone, without looking for the toss at all?\What's the matter with you guys? Are you freaks?\What?\Freaks? response:	But why?
context: Clearly, Shrimpy jumped without watching for the toss.\Did that first-year setter perfectly coordinate with shrimpy's motion?\And how could he be so certain the toss would be there?\Who makes a full swing on that alone, without looking for the toss at all?\What's the matter with you guys? Are you freaks?\What?\Freaks?\But why? response:	How would I know?
context: Did that first-year setter perfectly coordinate with shrimpy's motion?\And how could he be so certain the toss would be there?\Who makes a full swing on that alone, without looking for the toss at all?\What's the matter with you guys? Are you freaks?\What?\Freaks?\But why?\How would I know? response:	Tsukishima, what's so funny?
context: And how could he be so certain the toss would be there?\Who makes a full swing on that alone, without looking for the toss at all?\What's the matter with you guys? Are you freaks?\What?\Freaks?\But why?\How would I know?\Tsukishima, what's so funny? response:	I was preoccupied arranging the match, so I didn't understand what he meant..
context: Who makes a full swing on that alone, without looking for the toss at all?\What's the matter with you guys? Are you freaks?\What?\Freaks?\But why?\How would I know?\Tsukishima, what's so funny?\I was preoccupied arranging the match, so I didn't understand what he meant.. response:	So I hid behind Kageyama's overwhelming abilities,
context: What's the matter with you guys? Are you freaks?\What?\Freaks?\But why?\How would I know?\Tsukishima, what's so funny?\I was preoccupied arranging the match, so I didn't understand what he meant..\So I hid behind Kageyama's overwhelming abilities, response:	and enjoyed the relief.
context: What?\Freaks?\But why?\How would I know?\Tsukishima, what's so funny?\I was preoccupied arranging the match, so I didn't understand what he meant..\So I hid behind Kageyama's overwhelming abilities,\and enjoyed the relief. response:	I guess that first-year setter is what you'd call a genius.
context: Freaks?\But why?\How would I know?\Tsukishima, what's so funny?\I was preoccupied arranging the match, so I didn't understand what he meant..\So I hid behind Kageyama's overwhelming abilities,\and enjoyed the relief.\I guess that first-year setter is what you'd call a genius. response:	Hinata, let's score again.
context: But why?\How would I know?\Tsukishima, what's so funny?\I was preoccupied arranging the match, so I didn't understand what he meant..\So I hid behind Kageyama's overwhelming abilities,\and enjoyed the relief.\I guess that first-year setter is what you'd call a genius.\Hinata, let's score again. response:	Yeah.
context: How would I know?\Tsukishima, what's so funny?\I was preoccupied arranging the match, so I didn't understand what he meant..\So I hid behind Kageyama's overwhelming abilities,\and enjoyed the relief.\I guess that first-year setter is what you'd call a genius.\Hinata, let's score again.\Yeah. response:	He can't be compared to a normal person.
context: Tsukishima, what's so funny?\I was preoccupied arranging the match, so I didn't understand what he meant..\So I hid behind Kageyama's overwhelming abilities,\and enjoyed the relief.\I guess that first-year setter is what you'd call a genius.\Hinata, let's score again.\Yeah.\He can't be compared to a normal person. response:	Nice serve.
context: I was preoccupied arranging the match, so I didn't understand what he meant..\So I hid behind Kageyama's overwhelming abilities,\and enjoyed the relief.\I guess that first-year setter is what you'd call a genius.\Hinata, let's score again.\Yeah.\He can't be compared to a normal person.\Nice serve. response:	But...
context: So I hid behind Kageyama's overwhelming abilities,\and enjoyed the relief.\I guess that first-year setter is what you'd call a genius.\Hinata, let's score again.\Yeah.\He can't be compared to a normal person.\Nice serve.\But... response:	Wow, a parallel toss.
context: and enjoyed the relief.\I guess that first-year setter is what you'd call a genius.\Hinata, let's score again.\Yeah.\He can't be compared to a normal person.\Nice serve.\But...\Wow, a parallel toss. response:	Damn! Even in his first game in a month, his timing's perfect!
context: I guess that first-year setter is what you'd call a genius.\Hinata, let's score again.\Yeah.\He can't be compared to a normal person.\Nice serve.\But...\Wow, a parallel toss.\Damn! Even in his first game in a month, his timing's perfect! response:	Tanaka, you're way too happy.
context: Hinata, let's score again.\Yeah.\He can't be compared to a normal person.\Nice serve.\But...\Wow, a parallel toss.\Damn! Even in his first game in a month, his timing's perfect!\Tanaka, you're way too happy. response:	The timing of that toss and spike...
context: Yeah.\He can't be compared to a normal person.\Nice serve.\But...\Wow, a parallel toss.\Damn! Even in his first game in a month, his timing's perfect!\Tanaka, you're way too happy.\The timing of that toss and spike... response:	That's only possible after lots of training and time.
context: He can't be compared to a normal person.\Nice serve.\But...\Wow, a parallel toss.\Damn! Even in his first game in a month, his timing's perfect!\Tanaka, you're way too happy.\The timing of that toss and spike...\That's only possible after lots of training and time. response:	Yes.
context: Nice serve.\But...\Wow, a parallel toss.\Damn! Even in his first game in a month, his timing's perfect!\Tanaka, you're way too happy.\The timing of that toss and spike...\That's only possible after lots of training and time.\Yes. response:	But you can't build up the trust it takes overnight.
context: But...\Wow, a parallel toss.\Damn! Even in his first game in a month, his timing's perfect!\Tanaka, you're way too happy.\The timing of that toss and spike...\That's only possible after lots of training and time.\Yes.\But you can't build up the trust it takes overnight. response:	That first-year setter has amazing talent,
context: Wow, a parallel toss.\Damn! Even in his first game in a month, his timing's perfect!\Tanaka, you're way too happy.\The timing of that toss and spike...\That's only possible after lots of training and time.\Yes.\But you can't build up the trust it takes overnight.\That first-year setter has amazing talent, response:	and the other guy is both trustworthy and dependable.
context: Damn! Even in his first game in a month, his timing's perfect!\Tanaka, you're way too happy.\The timing of that toss and spike...\That's only possible after lots of training and time.\Yes.\But you can't build up the trust it takes overnight.\That first-year setter has amazing talent,\and the other guy is both trustworthy and dependable. response:	All right!
context: Tanaka, you're way too happy.\The timing of that toss and spike...\That's only possible after lots of training and time.\Yes.\But you can't build up the trust it takes overnight.\That first-year setter has amazing talent,\and the other guy is both trustworthy and dependable.\All right! response:	Karasuno is pretty good right now.
context: The timing of that toss and spike...\That's only possible after lots of training and time.\Yes.\But you can't build up the trust it takes overnight.\That first-year setter has amazing talent,\and the other guy is both trustworthy and dependable.\All right!\Karasuno is pretty good right now. response:	Why didn't you tell me sooner, sensei?
context: That's only possible after lots of training and time.\Yes.\But you can't build up the trust it takes overnight.\That first-year setter has amazing talent,\and the other guy is both trustworthy and dependable.\All right!\Karasuno is pretty good right now.\Why didn't you tell me sooner, sensei? response:	I did tell you, repeatedly.
context: Yes.\But you can't build up the trust it takes overnight.\That first-year setter has amazing talent,\and the other guy is both trustworthy and dependable.\All right!\Karasuno is pretty good right now.\Why didn't you tell me sooner, sensei?\I did tell you, repeatedly. response:	Karasuno Neighborhood Assoc.
context: But you can't build up the trust it takes overnight.\That first-year setter has amazing talent,\and the other guy is both trustworthy and dependable.\All right!\Karasuno is pretty good right now.\Why didn't you tell me sooner, sensei?\I did tell you, repeatedly.\Karasuno Neighborhood Assoc. response:	All right.
context: That first-year setter has amazing talent,\and the other guy is both trustworthy and dependable.\All right!\Karasuno is pretty good right now.\Why didn't you tell me sooner, sensei?\I did tell you, repeatedly.\Karasuno Neighborhood Assoc.\All right. response:	But I'm surprised that Shrimpy is the middle blocker.
context: and the other guy is both trustworthy and dependable.\All right!\Karasuno is pretty good right now.\Why didn't you tell me sooner, sensei?\I did tell you, repeatedly.\Karasuno Neighborhood Assoc.\All right.\But I'm surprised that Shrimpy is the middle blocker. response:	His fast attack is amazing, sure, but how's he at blocking?
context: All right!\Karasuno is pretty good right now.\Why didn't you tell me sooner, sensei?\I did tell you, repeatedly.\Karasuno Neighborhood Assoc.\All right.\But I'm surprised that Shrimpy is the middle blocker.\His fast attack is amazing, sure, but how's he at blocking? response:	Huh?
context: Karasuno is pretty good right now.\Why didn't you tell me sooner, sensei?\I did tell you, repeatedly.\Karasuno Neighborhood Assoc.\All right.\But I'm surprised that Shrimpy is the middle blocker.\His fast attack is amazing, sure, but how's he at blocking?\Huh? response:	He's watching me.
context: Why didn't you tell me sooner, sensei?\I did tell you, repeatedly.\Karasuno Neighborhood Assoc.\All right.\But I'm surprised that Shrimpy is the middle blocker.\His fast attack is amazing, sure, but how's he at blocking?\Huh?\He's watching me. response:	Speaking of, Hinata-kun's now battling the ace,
context: I did tell you, repeatedly.\Karasuno Neighborhood Assoc.\All right.\But I'm surprised that Shrimpy is the middle blocker.\His fast attack is amazing, sure, but how's he at blocking?\Huh?\He's watching me.\Speaking of, Hinata-kun's now battling the ace, response:	and that's what he wants to become.
context: Karasuno Neighborhood Assoc.\All right.\But I'm surprised that Shrimpy is the middle blocker.\His fast attack is amazing, sure, but how's he at blocking?\Huh?\He's watching me.\Speaking of, Hinata-kun's now battling the ace,\and that's what he wants to become. response:	Huh?
context: All right.\But I'm surprised that Shrimpy is the middle blocker.\His fast attack is amazing, sure, but how's he at blocking?\Huh?\He's watching me.\Speaking of, Hinata-kun's now battling the ace,\and that's what he wants to become.\Huh? response:	Hinata-kun idolizes an ace called the Little Giant.
context: But I'm surprised that Shrimpy is the middle blocker.\His fast attack is amazing, sure, but how's he at blocking?\Huh?\He's watching me.\Speaking of, Hinata-kun's now battling the ace,\and that's what he wants to become.\Huh?\Hinata-kun idolizes an ace called the Little Giant. response:	That's why he came to Karasuno.
context: His fast attack is amazing, sure, but how's he at blocking?\Huh?\He's watching me.\Speaking of, Hinata-kun's now battling the ace,\and that's what he wants to become.\Huh?\Hinata-kun idolizes an ace called the Little Giant.\That's why he came to Karasuno. response:	Oh, that guy?
context: Huh?\He's watching me.\Speaking of, Hinata-kun's now battling the ace,\and that's what he wants to become.\Huh?\Hinata-kun idolizes an ace called the Little Giant.\That's why he came to Karasuno.\Oh, that guy? response:	That's why he says he'll become the ace,
