context: In the summer when I was 16, response:	I changed my brand of cigarettes to Seven Stars.
context: Then come out after you get changed.\It won't take much time.\And put out that cigarette, okay? It's bad for the baby.\Calm down.\I've decided to watch over Hachi gently no matter what she decides to do.\You want something to drink?\We've decided to get married.\Married? response:	So, I've gotta first talk this over with my agent
context: It won't take much time.\And put out that cigarette, okay? It's bad for the baby.\Calm down.\I've decided to watch over Hachi gently no matter what she decides to do.\You want something to drink?\We've decided to get married.\Married?\So, I've gotta first talk this over with my agent response:	on how we should proceed with this,
context: And put out that cigarette, okay? It's bad for the baby.\Calm down.\I've decided to watch over Hachi gently no matter what she decides to do.\You want something to drink?\We've decided to get married.\Married?\So, I've gotta first talk this over with my agent\on how we should proceed with this, response:	but I wanna hurry and find a new place for her.
context: Calm down.\I've decided to watch over Hachi gently no matter what she decides to do.\You want something to drink?\We've decided to get married.\Married?\So, I've gotta first talk this over with my agent\on how we should proceed with this,\but I wanna hurry and find a new place for her. response:	This place has no elevator, which is hard on a pregnant woman.
context: I've decided to watch over Hachi gently no matter what she decides to do.\You want something to drink?\We've decided to get married.\Married?\So, I've gotta first talk this over with my agent\on how we should proceed with this,\but I wanna hurry and find a new place for her.\This place has no elevator, which is hard on a pregnant woman. response:	And she has a tendency to be careless,
context: You want something to drink?\We've decided to get married.\Married?\So, I've gotta first talk this over with my agent\on how we should proceed with this,\but I wanna hurry and find a new place for her.\This place has no elevator, which is hard on a pregnant woman.\And she has a tendency to be careless, response:	so it's gotta be a place with security.
context: We've decided to get married.\Married?\So, I've gotta first talk this over with my agent\on how we should proceed with this,\but I wanna hurry and find a new place for her.\This place has no elevator, which is hard on a pregnant woman.\And she has a tendency to be careless,\so it's gotta be a place with security. response:	So, I'm sorry but... could you find a new roommate?
context: Married?\So, I've gotta first talk this over with my agent\on how we should proceed with this,\but I wanna hurry and find a new place for her.\This place has no elevator, which is hard on a pregnant woman.\And she has a tendency to be careless,\so it's gotta be a place with security.\So, I'm sorry but... could you find a new roommate? response:	What's that?
context: So, I've gotta first talk this over with my agent\on how we should proceed with this,\but I wanna hurry and find a new place for her.\This place has no elevator, which is hard on a pregnant woman.\And she has a tendency to be careless,\so it's gotta be a place with security.\So, I'm sorry but... could you find a new roommate?\What's that? response:	Why are things jumping forward so quickly?
context: on how we should proceed with this,\but I wanna hurry and find a new place for her.\This place has no elevator, which is hard on a pregnant woman.\And she has a tendency to be careless,\so it's gotta be a place with security.\So, I'm sorry but... could you find a new roommate?\What's that?\Why are things jumping forward so quickly? response:	I wasn't even aware that you were pregnant.
context: but I wanna hurry and find a new place for her.\This place has no elevator, which is hard on a pregnant woman.\And she has a tendency to be careless,\so it's gotta be a place with security.\So, I'm sorry but... could you find a new roommate?\What's that?\Why are things jumping forward so quickly?\I wasn't even aware that you were pregnant. response:	And what about Nobu?
context: This place has no elevator, which is hard on a pregnant woman.\And she has a tendency to be careless,\so it's gotta be a place with security.\So, I'm sorry but... could you find a new roommate?\What's that?\Why are things jumping forward so quickly?\I wasn't even aware that you were pregnant.\And what about Nobu? response:	Why are you keeping quiet?
context: And she has a tendency to be careless,\so it's gotta be a place with security.\So, I'm sorry but... could you find a new roommate?\What's that?\Why are things jumping forward so quickly?\I wasn't even aware that you were pregnant.\And what about Nobu?\Why are you keeping quiet? response:	I don't get it.
context: so it's gotta be a place with security.\So, I'm sorry but... could you find a new roommate?\What's that?\Why are things jumping forward so quickly?\I wasn't even aware that you were pregnant.\And what about Nobu?\Why are you keeping quiet?\I don't get it. response:	But sure, that's not fair to you having her move out so suddenly,
context: So, I'm sorry but... could you find a new roommate?\What's that?\Why are things jumping forward so quickly?\I wasn't even aware that you were pregnant.\And what about Nobu?\Why are you keeping quiet?\I don't get it.\But sure, that's not fair to you having her move out so suddenly, response:	so I'll pay half the rent until you find a new roommate.
context: What's that?\Why are things jumping forward so quickly?\I wasn't even aware that you were pregnant.\And what about Nobu?\Why are you keeping quiet?\I don't get it.\But sure, that's not fair to you having her move out so suddenly,\so I'll pay half the rent until you find a new roommate. response:	I don't need it!
context: Why are things jumping forward so quickly?\I wasn't even aware that you were pregnant.\And what about Nobu?\Why are you keeping quiet?\I don't get it.\But sure, that's not fair to you having her move out so suddenly,\so I'll pay half the rent until you find a new roommate.\I don't need it! response:	Really? But we created these circumstances.
context: I wasn't even aware that you were pregnant.\And what about Nobu?\Why are you keeping quiet?\I don't get it.\But sure, that's not fair to you having her move out so suddenly,\so I'll pay half the rent until you find a new roommate.\I don't need it!\Really? But we created these circumstances. response:	Actually the timing's perfect.
context: And what about Nobu?\Why are you keeping quiet?\I don't get it.\But sure, that's not fair to you having her move out so suddenly,\so I'll pay half the rent until you find a new roommate.\I don't need it!\Really? But we created these circumstances.\Actually the timing's perfect. response:	I was planning on moving in with Ren anyway.
context: Why are you keeping quiet?\I don't get it.\But sure, that's not fair to you having her move out so suddenly,\so I'll pay half the rent until you find a new roommate.\I don't need it!\Really? But we created these circumstances.\Actually the timing's perfect.\I was planning on moving in with Ren anyway. response:	If that's the case, we'll just stop renting this place.
context: I don't get it.\But sure, that's not fair to you having her move out so suddenly,\so I'll pay half the rent until you find a new roommate.\I don't need it!\Really? But we created these circumstances.\Actually the timing's perfect.\I was planning on moving in with Ren anyway.\If that's the case, we'll just stop renting this place. response:	No wait...
context: But sure, that's not fair to you having her move out so suddenly,\so I'll pay half the rent until you find a new roommate.\I don't need it!\Really? But we created these circumstances.\Actually the timing's perfect.\I was planning on moving in with Ren anyway.\If that's the case, we'll just stop renting this place.\No wait... response:	I wanted to talk to you about that too.
context: so I'll pay half the rent until you find a new roommate.\I don't need it!\Really? But we created these circumstances.\Actually the timing's perfect.\I was planning on moving in with Ren anyway.\If that's the case, we'll just stop renting this place.\No wait...\I wanted to talk to you about that too. response:	You need to think about Ren's situation a bit.
context: I don't need it!\Really? But we created these circumstances.\Actually the timing's perfect.\I was planning on moving in with Ren anyway.\If that's the case, we'll just stop renting this place.\No wait...\I wanted to talk to you about that too.\You need to think about Ren's situation a bit. response:	Huh?
context: Really? But we created these circumstances.\Actually the timing's perfect.\I was planning on moving in with Ren anyway.\If that's the case, we'll just stop renting this place.\No wait...\I wanted to talk to you about that too.\You need to think about Ren's situation a bit.\Huh? response:	About your relationship.
context: Actually the timing's perfect.\I was planning on moving in with Ren anyway.\If that's the case, we'll just stop renting this place.\No wait...\I wanted to talk to you about that too.\You need to think about Ren's situation a bit.\Huh?\About your relationship. response:	If everything from your past to present comes to light,
context: I was planning on moving in with Ren anyway.\If that's the case, we'll just stop renting this place.\No wait...\I wanted to talk to you about that too.\You need to think about Ren's situation a bit.\Huh?\About your relationship.\If everything from your past to present comes to light, response:	it's the kinda thing the tabloids go after.
context: If that's the case, we'll just stop renting this place.\No wait...\I wanted to talk to you about that too.\You need to think about Ren's situation a bit.\Huh?\About your relationship.\If everything from your past to present comes to light,\it's the kinda thing the tabloids go after. response:	So what? If Trapnest is gonna fail because of some scandal,
context: No wait...\I wanted to talk to you about that too.\You need to think about Ren's situation a bit.\Huh?\About your relationship.\If everything from your past to present comes to light,\it's the kinda thing the tabloids go after.\So what? If Trapnest is gonna fail because of some scandal, response:	then it's not much of a band to begin with.
context: I wanted to talk to you about that too.\You need to think about Ren's situation a bit.\Huh?\About your relationship.\If everything from your past to present comes to light,\it's the kinda thing the tabloids go after.\So what? If Trapnest is gonna fail because of some scandal,\then it's not much of a band to begin with. response:	No, in fact, I'm more worried about us receiving more attention.
context: You need to think about Ren's situation a bit.\Huh?\About your relationship.\If everything from your past to present comes to light,\it's the kinda thing the tabloids go after.\So what? If Trapnest is gonna fail because of some scandal,\then it's not much of a band to begin with.\No, in fact, I'm more worried about us receiving more attention. response:	When a band becomes as popular as ours,
context: Huh?\About your relationship.\If everything from your past to present comes to light,\it's the kinda thing the tabloids go after.\So what? If Trapnest is gonna fail because of some scandal,\then it's not much of a band to begin with.\No, in fact, I'm more worried about us receiving more attention.\When a band becomes as popular as ours, response:	the public gradually shows more interest in things other than the band's music.
context: About your relationship.\If everything from your past to present comes to light,\it's the kinda thing the tabloids go after.\So what? If Trapnest is gonna fail because of some scandal,\then it's not much of a band to begin with.\No, in fact, I'm more worried about us receiving more attention.\When a band becomes as popular as ours,\the public gradually shows more interest in things other than the band's music. response:	It can't be helped. And we can take advantage of it, too.
context: If everything from your past to present comes to light,\it's the kinda thing the tabloids go after.\So what? If Trapnest is gonna fail because of some scandal,\then it's not much of a band to begin with.\No, in fact, I'm more worried about us receiving more attention.\When a band becomes as popular as ours,\the public gradually shows more interest in things other than the band's music.\It can't be helped. And we can take advantage of it, too. response:	But honestly, I'd hate for us to be judged
context: it's the kinda thing the tabloids go after.\So what? If Trapnest is gonna fail because of some scandal,\then it's not much of a band to begin with.\No, in fact, I'm more worried about us receiving more attention.\When a band becomes as popular as ours,\the public gradually shows more interest in things other than the band's music.\It can't be helped. And we can take advantage of it, too.\But honestly, I'd hate for us to be judged response:	because of stuff unrelated to our music.
context: So what? If Trapnest is gonna fail because of some scandal,\then it's not much of a band to begin with.\No, in fact, I'm more worried about us receiving more attention.\When a band becomes as popular as ours,\the public gradually shows more interest in things other than the band's music.\It can't be helped. And we can take advantage of it, too.\But honestly, I'd hate for us to be judged\because of stuff unrelated to our music. response:	So I want to avoid the chance of scandal encouraging that.
context: then it's not much of a band to begin with.\No, in fact, I'm more worried about us receiving more attention.\When a band becomes as popular as ours,\the public gradually shows more interest in things other than the band's music.\It can't be helped. And we can take advantage of it, too.\But honestly, I'd hate for us to be judged\because of stuff unrelated to our music.\So I want to avoid the chance of scandal encouraging that. response:	As someone involved in the music business,
context: No, in fact, I'm more worried about us receiving more attention.\When a band becomes as popular as ours,\the public gradually shows more interest in things other than the band's music.\It can't be helped. And we can take advantage of it, too.\But honestly, I'd hate for us to be judged\because of stuff unrelated to our music.\So I want to avoid the chance of scandal encouraging that.\As someone involved in the music business, response:	I'm sure you'd understand.
context: When a band becomes as popular as ours,\the public gradually shows more interest in things other than the band's music.\It can't be helped. And we can take advantage of it, too.\But honestly, I'd hate for us to be judged\because of stuff unrelated to our music.\So I want to avoid the chance of scandal encouraging that.\As someone involved in the music business,\I'm sure you'd understand. response:	How are you okay with getting married?
context: the public gradually shows more interest in things other than the band's music.\It can't be helped. And we can take advantage of it, too.\But honestly, I'd hate for us to be judged\because of stuff unrelated to our music.\So I want to avoid the chance of scandal encouraging that.\As someone involved in the music business,\I'm sure you'd understand.\How are you okay with getting married? response:	Me getting married won't attract much attention from the public.
context: It can't be helped. And we can take advantage of it, too.\But honestly, I'd hate for us to be judged\because of stuff unrelated to our music.\So I want to avoid the chance of scandal encouraging that.\As someone involved in the music business,\I'm sure you'd understand.\How are you okay with getting married?\Me getting married won't attract much attention from the public. response:	I'm not nearly as recognized as Ren.
context: But honestly, I'd hate for us to be judged\because of stuff unrelated to our music.\So I want to avoid the chance of scandal encouraging that.\As someone involved in the music business,\I'm sure you'd understand.\How are you okay with getting married?\Me getting married won't attract much attention from the public.\I'm not nearly as recognized as Ren. response:	Besides, I don't think
context: because of stuff unrelated to our music.\So I want to avoid the chance of scandal encouraging that.\As someone involved in the music business,\I'm sure you'd understand.\How are you okay with getting married?\Me getting married won't attract much attention from the public.\I'm not nearly as recognized as Ren.\Besides, I don't think response:	you wanna draw attention in that way before your debut.
context: So I want to avoid the chance of scandal encouraging that.\As someone involved in the music business,\I'm sure you'd understand.\How are you okay with getting married?\Me getting married won't attract much attention from the public.\I'm not nearly as recognized as Ren.\Besides, I don't think\you wanna draw attention in that way before your debut. response:	Of course not! I couldn't stand it.
context: As someone involved in the music business,\I'm sure you'd understand.\How are you okay with getting married?\Me getting married won't attract much attention from the public.\I'm not nearly as recognized as Ren.\Besides, I don't think\you wanna draw attention in that way before your debut.\Of course not! I couldn't stand it. response:	Then you need to be more cautious with your actions.
context: I'm sure you'd understand.\How are you okay with getting married?\Me getting married won't attract much attention from the public.\I'm not nearly as recognized as Ren.\Besides, I don't think\you wanna draw attention in that way before your debut.\Of course not! I couldn't stand it.\Then you need to be more cautious with your actions. response:	I'm not telling you not to see him.
context: How are you okay with getting married?\Me getting married won't attract much attention from the public.\I'm not nearly as recognized as Ren.\Besides, I don't think\you wanna draw attention in that way before your debut.\Of course not! I couldn't stand it.\Then you need to be more cautious with your actions.\I'm not telling you not to see him. response:	I get it. I'll be more careful.
context: Me getting married won't attract much attention from the public.\I'm not nearly as recognized as Ren.\Besides, I don't think\you wanna draw attention in that way before your debut.\Of course not! I couldn't stand it.\Then you need to be more cautious with your actions.\I'm not telling you not to see him.\I get it. I'll be more careful. response:	I'm glad you get it.
context: I'm not nearly as recognized as Ren.\Besides, I don't think\you wanna draw attention in that way before your debut.\Of course not! I couldn't stand it.\Then you need to be more cautious with your actions.\I'm not telling you not to see him.\I get it. I'll be more careful.\I'm glad you get it. response:	I tried to talk to Ren about this, but he refuses to listen to me,
context: Besides, I don't think\you wanna draw attention in that way before your debut.\Of course not! I couldn't stand it.\Then you need to be more cautious with your actions.\I'm not telling you not to see him.\I get it. I'll be more careful.\I'm glad you get it.\I tried to talk to Ren about this, but he refuses to listen to me, response:	so it was bothering me.
context: you wanna draw attention in that way before your debut.\Of course not! I couldn't stand it.\Then you need to be more cautious with your actions.\I'm not telling you not to see him.\I get it. I'll be more careful.\I'm glad you get it.\I tried to talk to Ren about this, but he refuses to listen to me,\so it was bothering me. response:	That's all I have to talk about. I should be heading back.
context: Of course not! I couldn't stand it.\Then you need to be more cautious with your actions.\I'm not telling you not to see him.\I get it. I'll be more careful.\I'm glad you get it.\I tried to talk to Ren about this, but he refuses to listen to me,\so it was bothering me.\That's all I have to talk about. I should be heading back. response:	What's with her?
context: Then you need to be more cautious with your actions.\I'm not telling you not to see him.\I get it. I'll be more careful.\I'm glad you get it.\I tried to talk to Ren about this, but he refuses to listen to me,\so it was bothering me.\That's all I have to talk about. I should be heading back.\What's with her? response:	She's like Takumi's faithful dog.
context: I'm not telling you not to see him.\I get it. I'll be more careful.\I'm glad you get it.\I tried to talk to Ren about this, but he refuses to listen to me,\so it was bothering me.\That's all I have to talk about. I should be heading back.\What's with her?\She's like Takumi's faithful dog. response:	I won't be able to come during our recording...
context: I get it. I'll be more careful.\I'm glad you get it.\I tried to talk to Ren about this, but he refuses to listen to me,\so it was bothering me.\That's all I have to talk about. I should be heading back.\What's with her?\She's like Takumi's faithful dog.\I won't be able to come during our recording... response:	but when we're done, we'll go and meet your parents.
context: I'm glad you get it.\I tried to talk to Ren about this, but he refuses to listen to me,\so it was bothering me.\That's all I have to talk about. I should be heading back.\What's with her?\She's like Takumi's faithful dog.\I won't be able to come during our recording...\but when we're done, we'll go and meet your parents. response:	So don't worry unnecessarily and get lots of rest.
context: I tried to talk to Ren about this, but he refuses to listen to me,\so it was bothering me.\That's all I have to talk about. I should be heading back.\What's with her?\She's like Takumi's faithful dog.\I won't be able to come during our recording...\but when we're done, we'll go and meet your parents.\So don't worry unnecessarily and get lots of rest. response:	But I don't feel that ill that I need to stay in bed.
context: so it was bothering me.\That's all I have to talk about. I should be heading back.\What's with her?\She's like Takumi's faithful dog.\I won't be able to come during our recording...\but when we're done, we'll go and meet your parents.\So don't worry unnecessarily and get lots of rest.\But I don't feel that ill that I need to stay in bed. response:	While you're away, I'll go see a real estate agent.
context: That's all I have to talk about. I should be heading back.\What's with her?\She's like Takumi's faithful dog.\I won't be able to come during our recording...\but when we're done, we'll go and meet your parents.\So don't worry unnecessarily and get lots of rest.\But I don't feel that ill that I need to stay in bed.\While you're away, I'll go see a real estate agent. response:	What kinda place should I be looking for?
context: What's with her?\She's like Takumi's faithful dog.\I won't be able to come during our recording...\but when we're done, we'll go and meet your parents.\So don't worry unnecessarily and get lots of rest.\But I don't feel that ill that I need to stay in bed.\While you're away, I'll go see a real estate agent.\What kinda place should I be looking for? response:	You're even hastier than I am.
context: She's like Takumi's faithful dog.\I won't be able to come during our recording...\but when we're done, we'll go and meet your parents.\So don't worry unnecessarily and get lots of rest.\But I don't feel that ill that I need to stay in bed.\While you're away, I'll go see a real estate agent.\What kinda place should I be looking for?\You're even hastier than I am. response:	You that eager to play newlyweds?
context: I won't be able to come during our recording...\but when we're done, we'll go and meet your parents.\So don't worry unnecessarily and get lots of rest.\But I don't feel that ill that I need to stay in bed.\While you're away, I'll go see a real estate agent.\What kinda place should I be looking for?\You're even hastier than I am.\You that eager to play newlyweds? response:	I was just thinking you're really busy,
context: but when we're done, we'll go and meet your parents.\So don't worry unnecessarily and get lots of rest.\But I don't feel that ill that I need to stay in bed.\While you're away, I'll go see a real estate agent.\What kinda place should I be looking for?\You're even hastier than I am.\You that eager to play newlyweds?\I was just thinking you're really busy, response:	so I wanted to help in any way that I can.
