context: Higashinohashi High School response:	Well then, any suggestions for the cultural festival next month?
context: Huh?!\Huh?!\Agree! Totally agree! Boy maids!\Screw off! Who would benefit from that?\Come on, it'll be fun!\Topic\Ideas for the cultural festival Cafe?\So, after much debate, response:	the class decided on a cosplay cafe as a compromise!
context: Huh?!\Agree! Totally agree! Boy maids!\Screw off! Who would benefit from that?\Come on, it'll be fun!\Topic\Ideas for the cultural festival Cafe?\So, after much debate,\the class decided on a cosplay cafe as a compromise! response:	I'm so pumped!
context: Agree! Totally agree! Boy maids!\Screw off! Who would benefit from that?\Come on, it'll be fun!\Topic\Ideas for the cultural festival Cafe?\So, after much debate,\the class decided on a cosplay cafe as a compromise!\I'm so pumped! response:	Kiss Him, Not Me
context: Screw off! Who would benefit from that?\Come on, it'll be fun!\Topic\Ideas for the cultural festival Cafe?\So, after much debate,\the class decided on a cosplay cafe as a compromise!\I'm so pumped!\Kiss Him, Not Me response:	The Clear and Blue Autumn Sky, and Passionate Otome
context: Come on, it'll be fun!\Topic\Ideas for the cultural festival Cafe?\So, after much debate,\the class decided on a cosplay cafe as a compromise!\I'm so pumped!\Kiss Him, Not Me\The Clear and Blue Autumn Sky, and Passionate Otome response:	I'm definitely not excited about it. It's annoying that we all have to do it.
context: Topic\Ideas for the cultural festival Cafe?\So, after much debate,\the class decided on a cosplay cafe as a compromise!\I'm so pumped!\Kiss Him, Not Me\The Clear and Blue Autumn Sky, and Passionate Otome\I'm definitely not excited about it. It's annoying that we all have to do it. response:	I think it sounds fun.
context: Ideas for the cultural festival Cafe?\So, after much debate,\the class decided on a cosplay cafe as a compromise!\I'm so pumped!\Kiss Him, Not Me\The Clear and Blue Autumn Sky, and Passionate Otome\I'm definitely not excited about it. It's annoying that we all have to do it.\I think it sounds fun. response:	What should I wear?
context: So, after much debate,\the class decided on a cosplay cafe as a compromise!\I'm so pumped!\Kiss Him, Not Me\The Clear and Blue Autumn Sky, and Passionate Otome\I'm definitely not excited about it. It's annoying that we all have to do it.\I think it sounds fun.\What should I wear? response:	So you're up for it?
context: the class decided on a cosplay cafe as a compromise!\I'm so pumped!\Kiss Him, Not Me\The Clear and Blue Autumn Sky, and Passionate Otome\I'm definitely not excited about it. It's annoying that we all have to do it.\I think it sounds fun.\What should I wear?\So you're up for it? response:	Um, Nanashima-kun...
context: I'm so pumped!\Kiss Him, Not Me\The Clear and Blue Autumn Sky, and Passionate Otome\I'm definitely not excited about it. It's annoying that we all have to do it.\I think it sounds fun.\What should I wear?\So you're up for it?\Um, Nanashima-kun... response:	I've got the perfect idea idea for your costume.
context: Kiss Him, Not Me\The Clear and Blue Autumn Sky, and Passionate Otome\I'm definitely not excited about it. It's annoying that we all have to do it.\I think it sounds fun.\What should I wear?\So you're up for it?\Um, Nanashima-kun...\I've got the perfect idea idea for your costume. response:	Just leave the design and everything to me!
context: The Clear and Blue Autumn Sky, and Passionate Otome\I'm definitely not excited about it. It's annoying that we all have to do it.\I think it sounds fun.\What should I wear?\So you're up for it?\Um, Nanashima-kun...\I've got the perfect idea idea for your costume.\Just leave the design and everything to me! response:	You, too, Igarashi-kun!
context: I'm definitely not excited about it. It's annoying that we all have to do it.\I think it sounds fun.\What should I wear?\So you're up for it?\Um, Nanashima-kun...\I've got the perfect idea idea for your costume.\Just leave the design and everything to me!\You, too, Igarashi-kun! response:	Design the costumes?
context: I think it sounds fun.\What should I wear?\So you're up for it?\Um, Nanashima-kun...\I've got the perfect idea idea for your costume.\Just leave the design and everything to me!\You, too, Igarashi-kun!\Design the costumes? response:	Does that mean you intend to make them?
context: What should I wear?\So you're up for it?\Um, Nanashima-kun...\I've got the perfect idea idea for your costume.\Just leave the design and everything to me!\You, too, Igarashi-kun!\Design the costumes?\Does that mean you intend to make them? response:	Our club has an exhibit, too. Will you have time?
context: So you're up for it?\Um, Nanashima-kun...\I've got the perfect idea idea for your costume.\Just leave the design and everything to me!\You, too, Igarashi-kun!\Design the costumes?\Does that mean you intend to make them?\Our club has an exhibit, too. Will you have time? response:	I'll take care of everything the at history club, too!
context: Um, Nanashima-kun...\I've got the perfect idea idea for your costume.\Just leave the design and everything to me!\You, too, Igarashi-kun!\Design the costumes?\Does that mean you intend to make them?\Our club has an exhibit, too. Will you have time?\I'll take care of everything the at history club, too! response:	It's a festival! I'm going all out!
context: I've got the perfect idea idea for your costume.\Just leave the design and everything to me!\You, too, Igarashi-kun!\Design the costumes?\Does that mean you intend to make them?\Our club has an exhibit, too. Will you have time?\I'll take care of everything the at history club, too!\It's a festival! I'm going all out! response:	Shinomiya-kun, what's your class going to be doing?
context: Just leave the design and everything to me!\You, too, Igarashi-kun!\Design the costumes?\Does that mean you intend to make them?\Our club has an exhibit, too. Will you have time?\I'll take care of everything the at history club, too!\It's a festival! I'm going all out!\Shinomiya-kun, what's your class going to be doing? response:	Huh? Uh... Um...
context: You, too, Igarashi-kun!\Design the costumes?\Does that mean you intend to make them?\Our club has an exhibit, too. Will you have time?\I'll take care of everything the at history club, too!\It's a festival! I'm going all out!\Shinomiya-kun, what's your class going to be doing?\Huh? Uh... Um... response:	Oh? What kind of play? Do you have a part?
context: Design the costumes?\Does that mean you intend to make them?\Our club has an exhibit, too. Will you have time?\I'll take care of everything the at history club, too!\It's a festival! I'm going all out!\Shinomiya-kun, what's your class going to be doing?\Huh? Uh... Um...\Oh? What kind of play? Do you have a part? response:	Yeah, well... yeah...
context: Does that mean you intend to make them?\Our club has an exhibit, too. Will you have time?\I'll take care of everything the at history club, too!\It's a festival! I'm going all out!\Shinomiya-kun, what's your class going to be doing?\Huh? Uh... Um...\Oh? What kind of play? Do you have a part?\Yeah, well... yeah... response:	What's the deal? Spit it out!
context: Our club has an exhibit, too. Will you have time?\I'll take care of everything the at history club, too!\It's a festival! I'm going all out!\Shinomiya-kun, what's your class going to be doing?\Huh? Uh... Um...\Oh? What kind of play? Do you have a part?\Yeah, well... yeah...\What's the deal? Spit it out! response:	I-I'm playing the princess.
context: I'll take care of everything the at history club, too!\It's a festival! I'm going all out!\Shinomiya-kun, what's your class going to be doing?\Huh? Uh... Um...\Oh? What kind of play? Do you have a part?\Yeah, well... yeah...\What's the deal? Spit it out!\I-I'm playing the princess. response:	Princess?
context: It's a festival! I'm going all out!\Shinomiya-kun, what's your class going to be doing?\Huh? Uh... Um...\Oh? What kind of play? Do you have a part?\Yeah, well... yeah...\What's the deal? Spit it out!\I-I'm playing the princess.\Princess? response:	Seriously?!
context: Shinomiya-kun, what's your class going to be doing?\Huh? Uh... Um...\Oh? What kind of play? Do you have a part?\Yeah, well... yeah...\What's the deal? Spit it out!\I-I'm playing the princess.\Princess?\Seriously?! response:	I-I lost at rock-paper-scissors!
context: Huh? Uh... Um...\Oh? What kind of play? Do you have a part?\Yeah, well... yeah...\What's the deal? Spit it out!\I-I'm playing the princess.\Princess?\Seriously?!\I-I lost at rock-paper-scissors! response:	Score!
context: Oh? What kind of play? Do you have a part?\Yeah, well... yeah...\What's the deal? Spit it out!\I-I'm playing the princess.\Princess?\Seriously?!\I-I lost at rock-paper-scissors!\Score! response:	A pretty boy dressed as a girl!
context: Yeah, well... yeah...\What's the deal? Spit it out!\I-I'm playing the princess.\Princess?\Seriously?!\I-I lost at rock-paper-scissors!\Score!\A pretty boy dressed as a girl! response:	Shinomiya-kun.
context: What's the deal? Spit it out!\I-I'm playing the princess.\Princess?\Seriously?!\I-I lost at rock-paper-scissors!\Score!\A pretty boy dressed as a girl!\Shinomiya-kun. response:	I know you can pull this off.
context: I-I'm playing the princess.\Princess?\Seriously?!\I-I lost at rock-paper-scissors!\Score!\A pretty boy dressed as a girl!\Shinomiya-kun.\I know you can pull this off. response:	You can be the best princess ever!
context: Princess?\Seriously?!\I-I lost at rock-paper-scissors!\Score!\A pretty boy dressed as a girl!\Shinomiya-kun.\I know you can pull this off.\You can be the best princess ever! response:	It'll be okay!
context: Seriously?!\I-I lost at rock-paper-scissors!\Score!\A pretty boy dressed as a girl!\Shinomiya-kun.\I know you can pull this off.\You can be the best princess ever!\It'll be okay! response:	Allow me to be in charge of your production!
context: I-I lost at rock-paper-scissors!\Score!\A pretty boy dressed as a girl!\Shinomiya-kun.\I know you can pull this off.\You can be the best princess ever!\It'll be okay!\Allow me to be in charge of your production! response:	I'll be sure to make you shine!
context: Score!\A pretty boy dressed as a girl!\Shinomiya-kun.\I know you can pull this off.\You can be the best princess ever!\It'll be okay!\Allow me to be in charge of your production!\I'll be sure to make you shine! response:	Shi
context: A pretty boy dressed as a girl!\Shinomiya-kun.\I know you can pull this off.\You can be the best princess ever!\It'll be okay!\Allow me to be in charge of your production!\I'll be sure to make you shine!\Shi response:	B-But, Senpai, you're already so busy with your class and club,
context: Shinomiya-kun.\I know you can pull this off.\You can be the best princess ever!\It'll be okay!\Allow me to be in charge of your production!\I'll be sure to make you shine!\Shi\B-But, Senpai, you're already so busy with your class and club, response:	I couldn't possibly
context: I know you can pull this off.\You can be the best princess ever!\It'll be okay!\Allow me to be in charge of your production!\I'll be sure to make you shine!\Shi\B-But, Senpai, you're already so busy with your class and club,\I couldn't possibly response:	It's fine! One more costume is no problem!
context: You can be the best princess ever!\It'll be okay!\Allow me to be in charge of your production!\I'll be sure to make you shine!\Shi\B-But, Senpai, you're already so busy with your class and club,\I couldn't possibly\It's fine! One more costume is no problem! response:	I-Is that so?
context: It'll be okay!\Allow me to be in charge of your production!\I'll be sure to make you shine!\Shi\B-But, Senpai, you're already so busy with your class and club,\I couldn't possibly\It's fine! One more costume is no problem!\I-Is that so? response:	Nanashima-kun, Igarashi-kun and Shinomiya-kun.
context: Allow me to be in charge of your production!\I'll be sure to make you shine!\Shi\B-But, Senpai, you're already so busy with your class and club,\I couldn't possibly\It's fine! One more costume is no problem!\I-Is that so?\Nanashima-kun, Igarashi-kun and Shinomiya-kun. response:	I can't believe I'm in charge of making costumes for them!
context: I'll be sure to make you shine!\Shi\B-But, Senpai, you're already so busy with your class and club,\I couldn't possibly\It's fine! One more costume is no problem!\I-Is that so?\Nanashima-kun, Igarashi-kun and Shinomiya-kun.\I can't believe I'm in charge of making costumes for them! response:	This is the chance of a lifetime!
context: Shi\B-But, Senpai, you're already so busy with your class and club,\I couldn't possibly\It's fine! One more costume is no problem!\I-Is that so?\Nanashima-kun, Igarashi-kun and Shinomiya-kun.\I can't believe I'm in charge of making costumes for them!\This is the chance of a lifetime! response:	Looks like I'm gonna be busy!
context: B-But, Senpai, you're already so busy with your class and club,\I couldn't possibly\It's fine! One more costume is no problem!\I-Is that so?\Nanashima-kun, Igarashi-kun and Shinomiya-kun.\I can't believe I'm in charge of making costumes for them!\This is the chance of a lifetime!\Looks like I'm gonna be busy! response:	You sure are excited, Serinuma-san.
context: I couldn't possibly\It's fine! One more costume is no problem!\I-Is that so?\Nanashima-kun, Igarashi-kun and Shinomiya-kun.\I can't believe I'm in charge of making costumes for them!\This is the chance of a lifetime!\Looks like I'm gonna be busy!\You sure are excited, Serinuma-san. response:	10 Days Until the Festival
context: It's fine! One more costume is no problem!\I-Is that so?\Nanashima-kun, Igarashi-kun and Shinomiya-kun.\I can't believe I'm in charge of making costumes for them!\This is the chance of a lifetime!\Looks like I'm gonna be busy!\You sure are excited, Serinuma-san.\10 Days Until the Festival response:	Excuse me!
context: I-Is that so?\Nanashima-kun, Igarashi-kun and Shinomiya-kun.\I can't believe I'm in charge of making costumes for them!\This is the chance of a lifetime!\Looks like I'm gonna be busy!\You sure are excited, Serinuma-san.\10 Days Until the Festival\Excuse me! response:	Shoulder width is... 45 cm.
context: Nanashima-kun, Igarashi-kun and Shinomiya-kun.\I can't believe I'm in charge of making costumes for them!\This is the chance of a lifetime!\Looks like I'm gonna be busy!\You sure are excited, Serinuma-san.\10 Days Until the Festival\Excuse me!\Shoulder width is... 45 cm. response:	Measurement Points
context: I can't believe I'm in charge of making costumes for them!\This is the chance of a lifetime!\Looks like I'm gonna be busy!\You sure are excited, Serinuma-san.\10 Days Until the Festival\Excuse me!\Shoulder width is... 45 cm.\Measurement Points response:	Shoulder width Chest circumference Arm circumference Inseam
context: This is the chance of a lifetime!\Looks like I'm gonna be busy!\You sure are excited, Serinuma-san.\10 Days Until the Festival\Excuse me!\Shoulder width is... 45 cm.\Measurement Points\Shoulder width Chest circumference Arm circumference Inseam response:	Just a second, sorry.
context: Looks like I'm gonna be busy!\You sure are excited, Serinuma-san.\10 Days Until the Festival\Excuse me!\Shoulder width is... 45 cm.\Measurement Points\Shoulder width Chest circumference Arm circumference Inseam\Just a second, sorry. response:	Chest is...
context: You sure are excited, Serinuma-san.\10 Days Until the Festival\Excuse me!\Shoulder width is... 45 cm.\Measurement Points\Shoulder width Chest circumference Arm circumference Inseam\Just a second, sorry.\Chest is... response:	Let's see...
context: 10 Days Until the Festival\Excuse me!\Shoulder width is... 45 cm.\Measurement Points\Shoulder width Chest circumference Arm circumference Inseam\Just a second, sorry.\Chest is...\Let's see... response:	Serinuma-san, you have a visitor!
context: Excuse me!\Shoulder width is... 45 cm.\Measurement Points\Shoulder width Chest circumference Arm circumference Inseam\Just a second, sorry.\Chest is...\Let's see...\Serinuma-san, you have a visitor! response:	Measurement Points
context: Shoulder width is... 45 cm.\Measurement Points\Shoulder width Chest circumference Arm circumference Inseam\Just a second, sorry.\Chest is...\Let's see...\Serinuma-san, you have a visitor!\Measurement Points response:	Shoulder width Chest circumference Arm circumference Inseam
context: Measurement Points\Shoulder width Chest circumference Arm circumference Inseam\Just a second, sorry.\Chest is...\Let's see...\Serinuma-san, you have a visitor!\Measurement Points\Shoulder width Chest circumference Arm circumference Inseam response:	Okay!
context: Shoulder width Chest circumference Arm circumference Inseam\Just a second, sorry.\Chest is...\Let's see...\Serinuma-san, you have a visitor!\Measurement Points\Shoulder width Chest circumference Arm circumference Inseam\Okay! response:	Wow, he's so cute!
context: Just a second, sorry.\Chest is...\Let's see...\Serinuma-san, you have a visitor!\Measurement Points\Shoulder width Chest circumference Arm circumference Inseam\Okay!\Wow, he's so cute! response:	You're going to play the princess?
context: Chest is...\Let's see...\Serinuma-san, you have a visitor!\Measurement Points\Shoulder width Chest circumference Arm circumference Inseam\Okay!\Wow, he's so cute!\You're going to play the princess? response:	You totally look the part!
context: Let's see...\Serinuma-san, you have a visitor!\Measurement Points\Shoulder width Chest circumference Arm circumference Inseam\Okay!\Wow, he's so cute!\You're going to play the princess?\You totally look the part! response:	Okay, okay, that's enough, all of you.
context: Serinuma-san, you have a visitor!\Measurement Points\Shoulder width Chest circumference Arm circumference Inseam\Okay!\Wow, he's so cute!\You're going to play the princess?\You totally look the part!\Okay, okay, that's enough, all of you. response:	Okay!
context: Measurement Points\Shoulder width Chest circumference Arm circumference Inseam\Okay!\Wow, he's so cute!\You're going to play the princess?\You totally look the part!\Okay, okay, that's enough, all of you.\Okay! response:	See you later, First-Year-kun!
context: Shoulder width Chest circumference Arm circumference Inseam\Okay!\Wow, he's so cute!\You're going to play the princess?\You totally look the part!\Okay, okay, that's enough, all of you.\Okay!\See you later, First-Year-kun! response:	Wh-Why does everyone know?
context: Okay!\Wow, he's so cute!\You're going to play the princess?\You totally look the part!\Okay, okay, that's enough, all of you.\Okay!\See you later, First-Year-kun!\Wh-Why does everyone know? response:	Oh, sorry. I kind of let it slip.
context: Wow, he's so cute!\You're going to play the princess?\You totally look the part!\Okay, okay, that's enough, all of you.\Okay!\See you later, First-Year-kun!\Wh-Why does everyone know?\Oh, sorry. I kind of let it slip. response:	Please don't!
context: You're going to play the princess?\You totally look the part!\Okay, okay, that's enough, all of you.\Okay!\See you later, First-Year-kun!\Wh-Why does everyone know?\Oh, sorry. I kind of let it slip.\Please don't! response:	Sorry! But I just can't help feeling that
context: You totally look the part!\Okay, okay, that's enough, all of you.\Okay!\See you later, First-Year-kun!\Wh-Why does everyone know?\Oh, sorry. I kind of let it slip.\Please don't!\Sorry! But I just can't help feeling that response:	you're going to be the cutest princess!
context: Okay, okay, that's enough, all of you.\Okay!\See you later, First-Year-kun!\Wh-Why does everyone know?\Oh, sorry. I kind of let it slip.\Please don't!\Sorry! But I just can't help feeling that\you're going to be the cutest princess! response:	Cute? Senpai...
context: Okay!\See you later, First-Year-kun!\Wh-Why does everyone know?\Oh, sorry. I kind of let it slip.\Please don't!\Sorry! But I just can't help feeling that\you're going to be the cutest princess!\Cute? Senpai... response:	I'm a man, too, you know.
context: See you later, First-Year-kun!\Wh-Why does everyone know?\Oh, sorry. I kind of let it slip.\Please don't!\Sorry! But I just can't help feeling that\you're going to be the cutest princess!\Cute? Senpai...\I'm a man, too, you know. response:	Shinomiya-kun...
context: Wh-Why does everyone know?\Oh, sorry. I kind of let it slip.\Please don't!\Sorry! But I just can't help feeling that\you're going to be the cutest princess!\Cute? Senpai...\I'm a man, too, you know.\Shinomiya-kun... response:	If only I could say that...
context: Oh, sorry. I kind of let it slip.\Please don't!\Sorry! But I just can't help feeling that\you're going to be the cutest princess!\Cute? Senpai...\I'm a man, too, you know.\Shinomiya-kun...\If only I could say that... response:	Wow, Shinomiya-kun.
context: Please don't!\Sorry! But I just can't help feeling that\you're going to be the cutest princess!\Cute? Senpai...\I'm a man, too, you know.\Shinomiya-kun...\If only I could say that...\Wow, Shinomiya-kun. response:	You look very delicate, but you really are a man, huh?
context: Sorry! But I just can't help feeling that\you're going to be the cutest princess!\Cute? Senpai...\I'm a man, too, you know.\Shinomiya-kun...\If only I could say that...\Wow, Shinomiya-kun.\You look very delicate, but you really are a man, huh? response:	Your shoulders are broad, and your hands are big, too.
context: you're going to be the cutest princess!\Cute? Senpai...\I'm a man, too, you know.\Shinomiya-kun...\If only I could say that...\Wow, Shinomiya-kun.\You look very delicate, but you really are a man, huh?\Your shoulders are broad, and your hands are big, too. response:	S-Senpai!
context: Cute? Senpai...\I'm a man, too, you know.\Shinomiya-kun...\If only I could say that...\Wow, Shinomiya-kun.\You look very delicate, but you really are a man, huh?\Your shoulders are broad, and your hands are big, too.\S-Senpai! response:	Hey, you're right! He's got a thick neck, too!
context: I'm a man, too, you know.\Shinomiya-kun...\If only I could say that...\Wow, Shinomiya-kun.\You look very delicate, but you really are a man, huh?\Your shoulders are broad, and your hands are big, too.\S-Senpai!\Hey, you're right! He's got a thick neck, too! response:	What do you want?
context: Shinomiya-kun...\If only I could say that...\Wow, Shinomiya-kun.\You look very delicate, but you really are a man, huh?\Your shoulders are broad, and your hands are big, too.\S-Senpai!\Hey, you're right! He's got a thick neck, too!\What do you want? response:	I'm complimenting you here. I said you have a manly neck.
context: If only I could say that...\Wow, Shinomiya-kun.\You look very delicate, but you really are a man, huh?\Your shoulders are broad, and your hands are big, too.\S-Senpai!\Hey, you're right! He's got a thick neck, too!\What do you want?\I'm complimenting you here. I said you have a manly neck. response:	Serinuma, I'm up next. Thanks!
context: Wow, Shinomiya-kun.\You look very delicate, but you really are a man, huh?\Your shoulders are broad, and your hands are big, too.\S-Senpai!\Hey, you're right! He's got a thick neck, too!\What do you want?\I'm complimenting you here. I said you have a manly neck.\Serinuma, I'm up next. Thanks! response:	She's not done with me yet! Back off!
context: You look very delicate, but you really are a man, huh?\Your shoulders are broad, and your hands are big, too.\S-Senpai!\Hey, you're right! He's got a thick neck, too!\What do you want?\I'm complimenting you here. I said you have a manly neck.\Serinuma, I'm up next. Thanks!\She's not done with me yet! Back off! response:	Well, too bad! Her classmate comes first!
context: Your shoulders are broad, and your hands are big, too.\S-Senpai!\Hey, you're right! He's got a thick neck, too!\What do you want?\I'm complimenting you here. I said you have a manly neck.\Serinuma, I'm up next. Thanks!\She's not done with me yet! Back off!\Well, too bad! Her classmate comes first! response:	What?!
context: S-Senpai!\Hey, you're right! He's got a thick neck, too!\What do you want?\I'm complimenting you here. I said you have a manly neck.\Serinuma, I'm up next. Thanks!\She's not done with me yet! Back off!\Well, too bad! Her classmate comes first!\What?! response:	What's wrong with you? Are you in elementary school?!
context: Hey, you're right! He's got a thick neck, too!\What do you want?\I'm complimenting you here. I said you have a manly neck.\Serinuma, I'm up next. Thanks!\She's not done with me yet! Back off!\Well, too bad! Her classmate comes first!\What?!\What's wrong with you? Are you in elementary school?! response:	You're such a child!
context: What do you want?\I'm complimenting you here. I said you have a manly neck.\Serinuma, I'm up next. Thanks!\She's not done with me yet! Back off!\Well, too bad! Her classmate comes first!\What?!\What's wrong with you? Are you in elementary school?!\You're such a child! response:	Haunted House
context: I'm complimenting you here. I said you have a manly neck.\Serinuma, I'm up next. Thanks!\She's not done with me yet! Back off!\Well, too bad! Her classmate comes first!\What?!\What's wrong with you? Are you in elementary school?!\You're such a child!\Haunted House response:	5 Days Until the Festival
context: Serinuma, I'm up next. Thanks!\She's not done with me yet! Back off!\Well, too bad! Her classmate comes first!\What?!\What's wrong with you? Are you in elementary school?!\You're such a child!\Haunted House\5 Days Until the Festival response:	Kae-chan! About the costumes!
context: She's not done with me yet! Back off!\Well, too bad! Her classmate comes first!\What?!\What's wrong with you? Are you in elementary school?!\You're such a child!\Haunted House\5 Days Until the Festival\Kae-chan! About the costumes! response:	Wha... This is horrible.
context: Well, too bad! Her classmate comes first!\What?!\What's wrong with you? Are you in elementary school?!\You're such a child!\Haunted House\5 Days Until the Festival\Kae-chan! About the costumes!\Wha... This is horrible. response:	Are you okay? Maybe you bit off more than you can chew.
context: What?!\What's wrong with you? Are you in elementary school?!\You're such a child!\Haunted House\5 Days Until the Festival\Kae-chan! About the costumes!\Wha... This is horrible.\Are you okay? Maybe you bit off more than you can chew. response:	Yeah... but I'm in charge of this.
context: What's wrong with you? Are you in elementary school?!\You're such a child!\Haunted House\5 Days Until the Festival\Kae-chan! About the costumes!\Wha... This is horrible.\Are you okay? Maybe you bit off more than you can chew.\Yeah... but I'm in charge of this. response:	I'll do my beouch!
context: You're such a child!\Haunted House\5 Days Until the Festival\Kae-chan! About the costumes!\Wha... This is horrible.\Are you okay? Maybe you bit off more than you can chew.\Yeah... but I'm in charge of this.\I'll do my beouch! response:	Hey! I'm free, so let me help.
context: Haunted House\5 Days Until the Festival\Kae-chan! About the costumes!\Wha... This is horrible.\Are you okay? Maybe you bit off more than you can chew.\Yeah... but I'm in charge of this.\I'll do my beouch!\Hey! I'm free, so let me help. response:	Igarashi-kun!
context: 5 Days Until the Festival\Kae-chan! About the costumes!\Wha... This is horrible.\Are you okay? Maybe you bit off more than you can chew.\Yeah... but I'm in charge of this.\I'll do my beouch!\Hey! I'm free, so let me help.\Igarashi-kun! response:	But...
context: Kae-chan! About the costumes!\Wha... This is horrible.\Are you okay? Maybe you bit off more than you can chew.\Yeah... but I'm in charge of this.\I'll do my beouch!\Hey! I'm free, so let me help.\Igarashi-kun!\But... response:	It's okay, really!
context: Wha... This is horrible.\Are you okay? Maybe you bit off more than you can chew.\Yeah... but I'm in charge of this.\I'll do my beouch!\Hey! I'm free, so let me help.\Igarashi-kun!\But...\It's okay, really! response:	Rely on me. Okay?
context: Are you okay? Maybe you bit off more than you can chew.\Yeah... but I'm in charge of this.\I'll do my beouch!\Hey! I'm free, so let me help.\Igarashi-kun!\But...\It's okay, really!\Rely on me. Okay? response:	Thanks!
context: Yeah... but I'm in charge of this.\I'll do my beouch!\Hey! I'm free, so let me help.\Igarashi-kun!\But...\It's okay, really!\Rely on me. Okay?\Thanks! response:	Well, then
context: I'll do my beouch!\Hey! I'm free, so let me help.\Igarashi-kun!\But...\It's okay, really!\Rely on me. Okay?\Thanks!\Well, then response:	Hey!
context: Hey! I'm free, so let me help.\Igarashi-kun!\But...\It's okay, really!\Rely on me. Okay?\Thanks!\Well, then\Hey! response:	You can count on me, too, ya know?
context: Igarashi-kun!\But...\It's okay, really!\Rely on me. Okay?\Thanks!\Well, then\Hey!\You can count on me, too, ya know? response:	Nanashima-kun!
context: But...\It's okay, really!\Rely on me. Okay?\Thanks!\Well, then\Hey!\You can count on me, too, ya know?\Nanashima-kun! response:	Senpai! I came by to help out!
context: It's okay, really!\Rely on me. Okay?\Thanks!\Well, then\Hey!\You can count on me, too, ya know?\Nanashima-kun!\Senpai! I came by to help out! response:	You, too, Shinomiya-kun?
