context: Kishou... Kishou Yanagihara... response:	How long do you think you can remain in Class A?
context: What should I do?\What should I...\There it is. Lance to 2-5!\Brother, what will you do?\Please!\Bishop to 1-4!\He defended with the Bishop he just captured?\But this is... response:	Yeah, but...
context: What should I...\There it is. Lance to 2-5!\Brother, what will you do?\Please!\Bishop to 1-4!\He defended with the Bishop he just captured?\But this is...\Yeah, but... response:	Certainly...
context: There it is. Lance to 2-5!\Brother, what will you do?\Please!\Bishop to 1-4!\He defended with the Bishop he just captured?\But this is...\Yeah, but...\Certainly... response:	Was that the right move?
context: Brother, what will you do?\Please!\Bishop to 1-4!\He defended with the Bishop he just captured?\But this is...\Yeah, but...\Certainly...\Was that the right move? response:	But my only defense against the 2-3 square was dropping this bishop.
context: Please!\Bishop to 1-4!\He defended with the Bishop he just captured?\But this is...\Yeah, but...\Certainly...\Was that the right move?\But my only defense against the 2-3 square was dropping this bishop. response:	He dropped the bishop right away.
context: Bishop to 1-4!\He defended with the Bishop he just captured?\But this is...\Yeah, but...\Certainly...\Was that the right move?\But my only defense against the 2-3 square was dropping this bishop.\He dropped the bishop right away. response:	However...
context: He defended with the Bishop he just captured?\But this is...\Yeah, but...\Certainly...\Was that the right move?\But my only defense against the 2-3 square was dropping this bishop.\He dropped the bishop right away.\However... response:	I'm sure if you leave Shimada alone, he'll just start winning again.
context: But this is...\Yeah, but...\Certainly...\Was that the right move?\But my only defense against the 2-3 square was dropping this bishop.\He dropped the bishop right away.\However...\I'm sure if you leave Shimada alone, he'll just start winning again. response:	That's right, Gotou. It's just as you said.
context: Yeah, but...\Certainly...\Was that the right move?\But my only defense against the 2-3 square was dropping this bishop.\He dropped the bishop right away.\However...\I'm sure if you leave Shimada alone, he'll just start winning again.\That's right, Gotou. It's just as you said. response:	Plainly, simply...
context: Certainly...\Was that the right move?\But my only defense against the 2-3 square was dropping this bishop.\He dropped the bishop right away.\However...\I'm sure if you leave Shimada alone, he'll just start winning again.\That's right, Gotou. It's just as you said.\Plainly, simply... response:	He steadily built himself up and came back, one layer thicker.
context: Was that the right move?\But my only defense against the 2-3 square was dropping this bishop.\He dropped the bishop right away.\However...\I'm sure if you leave Shimada alone, he'll just start winning again.\That's right, Gotou. It's just as you said.\Plainly, simply...\He steadily built himself up and came back, one layer thicker. response:	Yes, he must be...
context: But my only defense against the 2-3 square was dropping this bishop.\He dropped the bishop right away.\However...\I'm sure if you leave Shimada alone, he'll just start winning again.\That's right, Gotou. It's just as you said.\Plainly, simply...\He steadily built himself up and came back, one layer thicker.\Yes, he must be... response:	a zelkova tree.
context: He dropped the bishop right away.\However...\I'm sure if you leave Shimada alone, he'll just start winning again.\That's right, Gotou. It's just as you said.\Plainly, simply...\He steadily built himself up and came back, one layer thicker.\Yes, he must be...\a zelkova tree. response:	It takes a long time for them to grow big,
context: However...\I'm sure if you leave Shimada alone, he'll just start winning again.\That's right, Gotou. It's just as you said.\Plainly, simply...\He steadily built himself up and came back, one layer thicker.\Yes, he must be...\a zelkova tree.\It takes a long time for them to grow big, response:	but they're resistant to wind and rain,
context: I'm sure if you leave Shimada alone, he'll just start winning again.\That's right, Gotou. It's just as you said.\Plainly, simply...\He steadily built himself up and came back, one layer thicker.\Yes, he must be...\a zelkova tree.\It takes a long time for them to grow big,\but they're resistant to wind and rain, response:	and eventually become huge, tough trees.
context: That's right, Gotou. It's just as you said.\Plainly, simply...\He steadily built himself up and came back, one layer thicker.\Yes, he must be...\a zelkova tree.\It takes a long time for them to grow big,\but they're resistant to wind and rain,\and eventually become huge, tough trees. response:	Then what am I?
context: Plainly, simply...\He steadily built himself up and came back, one layer thicker.\Yes, he must be...\a zelkova tree.\It takes a long time for them to grow big,\but they're resistant to wind and rain,\and eventually become huge, tough trees.\Then what am I? response:	If I had to compare myself,
context: He steadily built himself up and came back, one layer thicker.\Yes, he must be...\a zelkova tree.\It takes a long time for them to grow big,\but they're resistant to wind and rain,\and eventually become huge, tough trees.\Then what am I?\If I had to compare myself, response:	what would I have been?
context: Yes, he must be...\a zelkova tree.\It takes a long time for them to grow big,\but they're resistant to wind and rain,\and eventually become huge, tough trees.\Then what am I?\If I had to compare myself,\what would I have been? response:	Yeah.
context: a zelkova tree.\It takes a long time for them to grow big,\but they're resistant to wind and rain,\and eventually become huge, tough trees.\Then what am I?\If I had to compare myself,\what would I have been?\Yeah. response:	I just don't know.
context: It takes a long time for them to grow big,\but they're resistant to wind and rain,\and eventually become huge, tough trees.\Then what am I?\If I had to compare myself,\what would I have been?\Yeah.\I just don't know. response:	I don't have a single predecessor left
context: but they're resistant to wind and rain,\and eventually become huge, tough trees.\Then what am I?\If I had to compare myself,\what would I have been?\Yeah.\I just don't know.\I don't have a single predecessor left response:	who would compare me to something.
context: and eventually become huge, tough trees.\Then what am I?\If I had to compare myself,\what would I have been?\Yeah.\I just don't know.\I don't have a single predecessor left\who would compare me to something. response:	Huh? Crap.
context: Then what am I?\If I had to compare myself,\what would I have been?\Yeah.\I just don't know.\I don't have a single predecessor left\who would compare me to something.\Huh? Crap. response:	I can't let my mind drift in the middle of a match.
context: If I had to compare myself,\what would I have been?\Yeah.\I just don't know.\I don't have a single predecessor left\who would compare me to something.\Huh? Crap.\I can't let my mind drift in the middle of a match. response:	Man, my back hurts.
context: what would I have been?\Yeah.\I just don't know.\I don't have a single predecessor left\who would compare me to something.\Huh? Crap.\I can't let my mind drift in the middle of a match.\Man, my back hurts. response:	And my vision is starting to blur.
context: Yeah.\I just don't know.\I don't have a single predecessor left\who would compare me to something.\Huh? Crap.\I can't let my mind drift in the middle of a match.\Man, my back hurts.\And my vision is starting to blur. response:	But still, I feel much better than usual.
context: I just don't know.\I don't have a single predecessor left\who would compare me to something.\Huh? Crap.\I can't let my mind drift in the middle of a match.\Man, my back hurts.\And my vision is starting to blur.\But still, I feel much better than usual. response:	I felt terrible during our first match.
context: I don't have a single predecessor left\who would compare me to something.\Huh? Crap.\I can't let my mind drift in the middle of a match.\Man, my back hurts.\And my vision is starting to blur.\But still, I feel much better than usual.\I felt terrible during our first match. response:	They called it aged pneumonia. I thought I was going to die.
context: who would compare me to something.\Huh? Crap.\I can't let my mind drift in the middle of a match.\Man, my back hurts.\And my vision is starting to blur.\But still, I feel much better than usual.\I felt terrible during our first match.\They called it aged pneumonia. I thought I was going to die. response:	I'm surprised I won that one.
context: Huh? Crap.\I can't let my mind drift in the middle of a match.\Man, my back hurts.\And my vision is starting to blur.\But still, I feel much better than usual.\I felt terrible during our first match.\They called it aged pneumonia. I thought I was going to die.\I'm surprised I won that one. response:	Whoops, he's glaring at me.
context: I can't let my mind drift in the middle of a match.\Man, my back hurts.\And my vision is starting to blur.\But still, I feel much better than usual.\I felt terrible during our first match.\They called it aged pneumonia. I thought I was going to die.\I'm surprised I won that one.\Whoops, he's glaring at me. response:	How scary. There's no need to make that kind of face.
context: Man, my back hurts.\And my vision is starting to blur.\But still, I feel much better than usual.\I felt terrible during our first match.\They called it aged pneumonia. I thought I was going to die.\I'm surprised I won that one.\Whoops, he's glaring at me.\How scary. There's no need to make that kind of face. response:	You've got the advantage right now.
context: And my vision is starting to blur.\But still, I feel much better than usual.\I felt terrible during our first match.\They called it aged pneumonia. I thought I was going to die.\I'm surprised I won that one.\Whoops, he's glaring at me.\How scary. There's no need to make that kind of face.\You've got the advantage right now. response:	You're the one who...
context: But still, I feel much better than usual.\I felt terrible during our first match.\They called it aged pneumonia. I thought I was going to die.\I'm surprised I won that one.\Whoops, he's glaring at me.\How scary. There's no need to make that kind of face.\You've got the advantage right now.\You're the one who... response:	I see. So am I going...
context: I felt terrible during our first match.\They called it aged pneumonia. I thought I was going to die.\I'm surprised I won that one.\Whoops, he's glaring at me.\How scary. There's no need to make that kind of face.\You've got the advantage right now.\You're the one who...\I see. So am I going... response:	to lose?
context: They called it aged pneumonia. I thought I was going to die.\I'm surprised I won that one.\Whoops, he's glaring at me.\How scary. There's no need to make that kind of face.\You've got the advantage right now.\You're the one who...\I see. So am I going...\to lose? response:	I thought about it all this time.
context: I'm surprised I won that one.\Whoops, he's glaring at me.\How scary. There's no need to make that kind of face.\You've got the advantage right now.\You're the one who...\I see. So am I going...\to lose?\I thought about it all this time. response:	If shogi is taken away from me, what would be left?
context: Whoops, he's glaring at me.\How scary. There's no need to make that kind of face.\You've got the advantage right now.\You're the one who...\I see. So am I going...\to lose?\I thought about it all this time.\If shogi is taken away from me, what would be left? response:	Kai Shimada 8th-Dan, has defended against Kishou Yanagihara's attacks with Lance to 2-5.
context: How scary. There's no need to make that kind of face.\You've got the advantage right now.\You're the one who...\I see. So am I going...\to lose?\I thought about it all this time.\If shogi is taken away from me, what would be left?\Kai Shimada 8th-Dan, has defended against Kishou Yanagihara's attacks with Lance to 2-5. response:	Now, the advantage has been reversed.
context: You've got the advantage right now.\You're the one who...\I see. So am I going...\to lose?\I thought about it all this time.\If shogi is taken away from me, what would be left?\Kai Shimada 8th-Dan, has defended against Kishou Yanagihara's attacks with Lance to 2-5.\Now, the advantage has been reversed. response:	Will he finally attain his first title?
context: You're the one who...\I see. So am I going...\to lose?\I thought about it all this time.\If shogi is taken away from me, what would be left?\Kai Shimada 8th-Dan, has defended against Kishou Yanagihara's attacks with Lance to 2-5.\Now, the advantage has been reversed.\Will he finally attain his first title? response:	Meanwhile, Kishou Yanagihara seems more fatigued
context: I see. So am I going...\to lose?\I thought about it all this time.\If shogi is taken away from me, what would be left?\Kai Shimada 8th-Dan, has defended against Kishou Yanagihara's attacks with Lance to 2-5.\Now, the advantage has been reversed.\Will he finally attain his first title?\Meanwhile, Kishou Yanagihara seems more fatigued response:	as Shimada 8th-Dan puts pressure on him.
context: to lose?\I thought about it all this time.\If shogi is taken away from me, what would be left?\Kai Shimada 8th-Dan, has defended against Kishou Yanagihara's attacks with Lance to 2-5.\Now, the advantage has been reversed.\Will he finally attain his first title?\Meanwhile, Kishou Yanagihara seems more fatigued\as Shimada 8th-Dan puts pressure on him. response:	It looks like he's struggling and can't concentrate.
context: I thought about it all this time.\If shogi is taken away from me, what would be left?\Kai Shimada 8th-Dan, has defended against Kishou Yanagihara's attacks with Lance to 2-5.\Now, the advantage has been reversed.\Will he finally attain his first title?\Meanwhile, Kishou Yanagihara seems more fatigued\as Shimada 8th-Dan puts pressure on him.\It looks like he's struggling and can't concentrate. response:	Kishou Yanagihara is close to the Eternal Kishou, which requires ten Kishou Championship wins,
context: If shogi is taken away from me, what would be left?\Kai Shimada 8th-Dan, has defended against Kishou Yanagihara's attacks with Lance to 2-5.\Now, the advantage has been reversed.\Will he finally attain his first title?\Meanwhile, Kishou Yanagihara seems more fatigued\as Shimada 8th-Dan puts pressure on him.\It looks like he's struggling and can't concentrate.\Kishou Yanagihara is close to the Eternal Kishou, which requires ten Kishou Championship wins, response:	but is it beyond his reach?
context: Kai Shimada 8th-Dan, has defended against Kishou Yanagihara's attacks with Lance to 2-5.\Now, the advantage has been reversed.\Will he finally attain his first title?\Meanwhile, Kishou Yanagihara seems more fatigued\as Shimada 8th-Dan puts pressure on him.\It looks like he's struggling and can't concentrate.\Kishou Yanagihara is close to the Eternal Kishou, which requires ten Kishou Championship wins,\but is it beyond his reach? response:	Saku, is this as far as you go?
context: Now, the advantage has been reversed.\Will he finally attain his first title?\Meanwhile, Kishou Yanagihara seems more fatigued\as Shimada 8th-Dan puts pressure on him.\It looks like he's struggling and can't concentrate.\Kishou Yanagihara is close to the Eternal Kishou, which requires ten Kishou Championship wins,\but is it beyond his reach?\Saku, is this as far as you go? response:	Just one more! You just need one more win!
context: Will he finally attain his first title?\Meanwhile, Kishou Yanagihara seems more fatigued\as Shimada 8th-Dan puts pressure on him.\It looks like he's struggling and can't concentrate.\Kishou Yanagihara is close to the Eternal Kishou, which requires ten Kishou Championship wins,\but is it beyond his reach?\Saku, is this as far as you go?\Just one more! You just need one more win! response:	No, you did great, Saku.
context: Meanwhile, Kishou Yanagihara seems more fatigued\as Shimada 8th-Dan puts pressure on him.\It looks like he's struggling and can't concentrate.\Kishou Yanagihara is close to the Eternal Kishou, which requires ten Kishou Championship wins,\but is it beyond his reach?\Saku, is this as far as you go?\Just one more! You just need one more win!\No, you did great, Saku. response:	In fact, you did great making it this far!
context: as Shimada 8th-Dan puts pressure on him.\It looks like he's struggling and can't concentrate.\Kishou Yanagihara is close to the Eternal Kishou, which requires ten Kishou Championship wins,\but is it beyond his reach?\Saku, is this as far as you go?\Just one more! You just need one more win!\No, you did great, Saku.\In fact, you did great making it this far! response:	I'm going to retire.
context: It looks like he's struggling and can't concentrate.\Kishou Yanagihara is close to the Eternal Kishou, which requires ten Kishou Championship wins,\but is it beyond his reach?\Saku, is this as far as you go?\Just one more! You just need one more win!\No, you did great, Saku.\In fact, you did great making it this far!\I'm going to retire. response:	Saku, I'm being demoted.
context: Kishou Yanagihara is close to the Eternal Kishou, which requires ten Kishou Championship wins,\but is it beyond his reach?\Saku, is this as far as you go?\Just one more! You just need one more win!\No, you did great, Saku.\In fact, you did great making it this far!\I'm going to retire.\Saku, I'm being demoted. response:	It's frustrating, but I'll look for another path.
context: but is it beyond his reach?\Saku, is this as far as you go?\Just one more! You just need one more win!\No, you did great, Saku.\In fact, you did great making it this far!\I'm going to retire.\Saku, I'm being demoted.\It's frustrating, but I'll look for another path. response:	Saku, it's over for me.
context: Saku, is this as far as you go?\Just one more! You just need one more win!\No, you did great, Saku.\In fact, you did great making it this far!\I'm going to retire.\Saku, I'm being demoted.\It's frustrating, but I'll look for another path.\Saku, it's over for me. response:	I've accepted that this is the right time.
context: Just one more! You just need one more win!\No, you did great, Saku.\In fact, you did great making it this far!\I'm going to retire.\Saku, I'm being demoted.\It's frustrating, but I'll look for another path.\Saku, it's over for me.\I've accepted that this is the right time. response:	Saku, I'm moving back to the countryside.
context: No, you did great, Saku.\In fact, you did great making it this far!\I'm going to retire.\Saku, I'm being demoted.\It's frustrating, but I'll look for another path.\Saku, it's over for me.\I've accepted that this is the right time.\Saku, I'm moving back to the countryside. response:	I'm scared.
context: In fact, you did great making it this far!\I'm going to retire.\Saku, I'm being demoted.\It's frustrating, but I'll look for another path.\Saku, it's over for me.\I've accepted that this is the right time.\Saku, I'm moving back to the countryside.\I'm scared. response:	I'm scared, Saku.
context: I'm going to retire.\Saku, I'm being demoted.\It's frustrating, but I'll look for another path.\Saku, it's over for me.\I've accepted that this is the right time.\Saku, I'm moving back to the countryside.\I'm scared.\I'm scared, Saku. response:	I feel like I'm in a burnt field.
context: Saku, I'm being demoted.\It's frustrating, but I'll look for another path.\Saku, it's over for me.\I've accepted that this is the right time.\Saku, I'm moving back to the countryside.\I'm scared.\I'm scared, Saku.\I feel like I'm in a burnt field. response:	No!
context: It's frustrating, but I'll look for another path.\Saku, it's over for me.\I've accepted that this is the right time.\Saku, I'm moving back to the countryside.\I'm scared.\I'm scared, Saku.\I feel like I'm in a burnt field.\No! response:	I don't know why, but...
context: Saku, it's over for me.\I've accepted that this is the right time.\Saku, I'm moving back to the countryside.\I'm scared.\I'm scared, Saku.\I feel like I'm in a burnt field.\No!\I don't know why, but... response:	but I'm not supposed to...
context: I've accepted that this is the right time.\Saku, I'm moving back to the countryside.\I'm scared.\I'm scared, Saku.\I feel like I'm in a burnt field.\No!\I don't know why, but...\but I'm not supposed to... response:	I'll shoulder this burden and deliver it!
context: Saku, I'm moving back to the countryside.\I'm scared.\I'm scared, Saku.\I feel like I'm in a burnt field.\No!\I don't know why, but...\but I'm not supposed to...\I'll shoulder this burden and deliver it! response:	So for the people who tried with all their might can arrive at a place...
context: I'm scared.\I'm scared, Saku.\I feel like I'm in a burnt field.\No!\I don't know why, but...\but I'm not supposed to...\I'll shoulder this burden and deliver it!\So for the people who tried with all their might can arrive at a place... response:	will not be some burnt field!
context: I'm scared, Saku.\I feel like I'm in a burnt field.\No!\I don't know why, but...\but I'm not supposed to...\I'll shoulder this burden and deliver it!\So for the people who tried with all their might can arrive at a place...\will not be some burnt field! response:	King to 1-7?
context: I feel like I'm in a burnt field.\No!\I don't know why, but...\but I'm not supposed to...\I'll shoulder this burden and deliver it!\So for the people who tried with all their might can arrive at a place...\will not be some burnt field!\King to 1-7? response:	He's bringing up the King?
context: No!\I don't know why, but...\but I'm not supposed to...\I'll shoulder this burden and deliver it!\So for the people who tried with all their might can arrive at a place...\will not be some burnt field!\King to 1-7?\He's bringing up the King? response:	King to 1-6? I've never heard of King to 1-6!
context: I don't know why, but...\but I'm not supposed to...\I'll shoulder this burden and deliver it!\So for the people who tried with all their might can arrive at a place...\will not be some burnt field!\King to 1-7?\He's bringing up the King?\King to 1-6? I've never heard of King to 1-6! response:	A climbing king?
context: but I'm not supposed to...\I'll shoulder this burden and deliver it!\So for the people who tried with all their might can arrive at a place...\will not be some burnt field!\King to 1-7?\He's bringing up the King?\King to 1-6? I've never heard of King to 1-6!\A climbing king? response:	What is this?
context: I'll shoulder this burden and deliver it!\So for the people who tried with all their might can arrive at a place...\will not be some burnt field!\King to 1-7?\He's bringing up the King?\King to 1-6? I've never heard of King to 1-6!\A climbing king?\What is this? response:	C-Can he even do that?
context: So for the people who tried with all their might can arrive at a place...\will not be some burnt field!\King to 1-7?\He's bringing up the King?\King to 1-6? I've never heard of King to 1-6!\A climbing king?\What is this?\C-Can he even do that? response:	Yeah, but...
context: will not be some burnt field!\King to 1-7?\He's bringing up the King?\King to 1-6? I've never heard of King to 1-6!\A climbing king?\What is this?\C-Can he even do that?\Yeah, but... response:	- Saku! - Saku, you can do it!
context: King to 1-7?\He's bringing up the King?\King to 1-6? I've never heard of King to 1-6!\A climbing king?\What is this?\C-Can he even do that?\Yeah, but...\- Saku! - Saku, you can do it! response:	True...
context: He's bringing up the King?\King to 1-6? I've never heard of King to 1-6!\A climbing king?\What is this?\C-Can he even do that?\Yeah, but...\- Saku! - Saku, you can do it!\True... response:	I have no move to rebuke that.
context: King to 1-6? I've never heard of King to 1-6!\A climbing king?\What is this?\C-Can he even do that?\Yeah, but...\- Saku! - Saku, you can do it!\True...\I have no move to rebuke that. response:	Old man...
context: A climbing king?\What is this?\C-Can he even do that?\Yeah, but...\- Saku! - Saku, you can do it!\True...\I have no move to rebuke that.\Old man... response:	You're too old to make that move.
context: What is this?\C-Can he even do that?\Yeah, but...\- Saku! - Saku, you can do it!\True...\I have no move to rebuke that.\Old man...\You're too old to make that move. response:	With time, grass will grow again on a burnt field, whether we like it or not.
context: C-Can he even do that?\Yeah, but...\- Saku! - Saku, you can do it!\True...\I have no move to rebuke that.\Old man...\You're too old to make that move.\With time, grass will grow again on a burnt field, whether we like it or not. response:	It'll become a field of green.
context: Yeah, but...\- Saku! - Saku, you can do it!\True...\I have no move to rebuke that.\Old man...\You're too old to make that move.\With time, grass will grow again on a burnt field, whether we like it or not.\It'll become a field of green. response:	And we'll see it...
context: - Saku! - Saku, you can do it!\True...\I have no move to rebuke that.\Old man...\You're too old to make that move.\With time, grass will grow again on a burnt field, whether we like it or not.\It'll become a field of green.\And we'll see it... response:	together!
context: True...\I have no move to rebuke that.\Old man...\You're too old to make that move.\With time, grass will grow again on a burnt field, whether we like it or not.\It'll become a field of green.\And we'll see it...\together! response:	Burnt Field (Part 3)
context: I have no move to rebuke that.\Old man...\You're too old to make that move.\With time, grass will grow again on a burnt field, whether we like it or not.\It'll become a field of green.\And we'll see it...\together!\Burnt Field (Part 3) response:	Burnt Field (Part 4)
context: Old man...\You're too old to make that move.\With time, grass will grow again on a burnt field, whether we like it or not.\It'll become a field of green.\And we'll see it...\together!\Burnt Field (Part 3)\Burnt Field (Part 4) response:	He had gone far beyond his limits.
context: You're too old to make that move.\With time, grass will grow again on a burnt field, whether we like it or not.\It'll become a field of green.\And we'll see it...\together!\Burnt Field (Part 3)\Burnt Field (Part 4)\He had gone far beyond his limits. response:	Anyone watching could see that.
context: With time, grass will grow again on a burnt field, whether we like it or not.\It'll become a field of green.\And we'll see it...\together!\Burnt Field (Part 3)\Burnt Field (Part 4)\He had gone far beyond his limits.\Anyone watching could see that. response:	His body leaned heavily on the armrest,
context: It'll become a field of green.\And we'll see it...\together!\Burnt Field (Part 3)\Burnt Field (Part 4)\He had gone far beyond his limits.\Anyone watching could see that.\His body leaned heavily on the armrest, response:	just staring at the board as if he were going to fall forward.
