context: It's no good if yer always lookin' up. response:	Wait patiently...
context: It's broken!\What'll I do now?!\I doubt this island has a place that will fix computers.\Oh! Kawafuji!\Damn!\It hasn't worked right since I dropped it in the ocean...\It's finally busted completely?\No computer, no cell phone, no landline... response:	How can I contact anyone from a place like this?!
context: What'll I do now?!\I doubt this island has a place that will fix computers.\Oh! Kawafuji!\Damn!\It hasn't worked right since I dropped it in the ocean...\It's finally busted completely?\No computer, no cell phone, no landline...\How can I contact anyone from a place like this?! response:	Barakamon
context: I doubt this island has a place that will fix computers.\Oh! Kawafuji!\Damn!\It hasn't worked right since I dropped it in the ocean...\It's finally busted completely?\No computer, no cell phone, no landline...\How can I contact anyone from a place like this?!\Barakamon response:	Shiman Ontsandon
context: Oh! Kawafuji!\Damn!\It hasn't worked right since I dropped it in the ocean...\It's finally busted completely?\No computer, no cell phone, no landline...\How can I contact anyone from a place like this?!\Barakamon\Shiman Ontsandon response:	Translation: Island Dads
context: Damn!\It hasn't worked right since I dropped it in the ocean...\It's finally busted completely?\No computer, no cell phone, no landline...\How can I contact anyone from a place like this?!\Barakamon\Shiman Ontsandon\Translation: Island Dads response:	A whole month has passed since I came to this island.
context: It hasn't worked right since I dropped it in the ocean...\It's finally busted completely?\No computer, no cell phone, no landline...\How can I contact anyone from a place like this?!\Barakamon\Shiman Ontsandon\Translation: Island Dads\A whole month has passed since I came to this island. response:	Contrary to the slow life I expected, my days are unexpectedly busy.
context: It's finally busted completely?\No computer, no cell phone, no landline...\How can I contact anyone from a place like this?!\Barakamon\Shiman Ontsandon\Translation: Island Dads\A whole month has passed since I came to this island.\Contrary to the slow life I expected, my days are unexpectedly busy. response:	Amidst all that,
context: No computer, no cell phone, no landline...\How can I contact anyone from a place like this?!\Barakamon\Shiman Ontsandon\Translation: Island Dads\A whole month has passed since I came to this island.\Contrary to the slow life I expected, my days are unexpectedly busy.\Amidst all that, response:	there is one place that always heals my heart.
context: How can I contact anyone from a place like this?!\Barakamon\Shiman Ontsandon\Translation: Island Dads\A whole month has passed since I came to this island.\Contrary to the slow life I expected, my days are unexpectedly busy.\Amidst all that,\there is one place that always heals my heart. response:	There you are!
context: Barakamon\Shiman Ontsandon\Translation: Island Dads\A whole month has passed since I came to this island.\Contrary to the slow life I expected, my days are unexpectedly busy.\Amidst all that,\there is one place that always heals my heart.\There you are! response:	Yes...
context: Shiman Ontsandon\Translation: Island Dads\A whole month has passed since I came to this island.\Contrary to the slow life I expected, my days are unexpectedly busy.\Amidst all that,\there is one place that always heals my heart.\There you are!\Yes... response:	This place is a paradise for cat lovers.
context: Translation: Island Dads\A whole month has passed since I came to this island.\Contrary to the slow life I expected, my days are unexpectedly busy.\Amidst all that,\there is one place that always heals my heart.\There you are!\Yes...\This place is a paradise for cat lovers. response:	So cute...
context: A whole month has passed since I came to this island.\Contrary to the slow life I expected, my days are unexpectedly busy.\Amidst all that,\there is one place that always heals my heart.\There you are!\Yes...\This place is a paradise for cat lovers.\So cute... response:	I want to pet them...
context: Contrary to the slow life I expected, my days are unexpectedly busy.\Amidst all that,\there is one place that always heals my heart.\There you are!\Yes...\This place is a paradise for cat lovers.\So cute...\I want to pet them... response:	But this is someone else's property.
context: Amidst all that,\there is one place that always heals my heart.\There you are!\Yes...\This place is a paradise for cat lovers.\So cute...\I want to pet them...\But this is someone else's property. response:	C'mon, come closer!
context: there is one place that always heals my heart.\There you are!\Yes...\This place is a paradise for cat lovers.\So cute...\I want to pet them...\But this is someone else's property.\C'mon, come closer! response:	Shoo! Shoo! You filchin' felines!
context: There you are!\Yes...\This place is a paradise for cat lovers.\So cute...\I want to pet them...\But this is someone else's property.\C'mon, come closer!\Shoo! Shoo! You filchin' felines! response:	Damn things broke into the fridge again!
context: Yes...\This place is a paradise for cat lovers.\So cute...\I want to pet them...\But this is someone else's property.\C'mon, come closer!\Shoo! Shoo! You filchin' felines!\Damn things broke into the fridge again! response:	Landsakes, no need to get so mad.
context: This place is a paradise for cat lovers.\So cute...\I want to pet them...\But this is someone else's property.\C'mon, come closer!\Shoo! Shoo! You filchin' felines!\Damn things broke into the fridge again!\Landsakes, no need to get so mad. response:	Anyone'd be mad, if their sashimi dinner got eaten up!
context: So cute...\I want to pet them...\But this is someone else's property.\C'mon, come closer!\Shoo! Shoo! You filchin' felines!\Damn things broke into the fridge again!\Landsakes, no need to get so mad.\Anyone'd be mad, if their sashimi dinner got eaten up! response:	Oh, Sensei, you need somethin'?
context: I want to pet them...\But this is someone else's property.\C'mon, come closer!\Shoo! Shoo! You filchin' felines!\Damn things broke into the fridge again!\Landsakes, no need to get so mad.\Anyone'd be mad, if their sashimi dinner got eaten up!\Oh, Sensei, you need somethin'? response:	Ah, so you like cats, too.
context: But this is someone else's property.\C'mon, come closer!\Shoo! Shoo! You filchin' felines!\Damn things broke into the fridge again!\Landsakes, no need to get so mad.\Anyone'd be mad, if their sashimi dinner got eaten up!\Oh, Sensei, you need somethin'?\Ah, so you like cats, too. response:	Well, come see'em anytime you like.
context: C'mon, come closer!\Shoo! Shoo! You filchin' felines!\Damn things broke into the fridge again!\Landsakes, no need to get so mad.\Anyone'd be mad, if their sashimi dinner got eaten up!\Oh, Sensei, you need somethin'?\Ah, so you like cats, too.\Well, come see'em anytime you like. response:	What?! Can I really?
context: Shoo! Shoo! You filchin' felines!\Damn things broke into the fridge again!\Landsakes, no need to get so mad.\Anyone'd be mad, if their sashimi dinner got eaten up!\Oh, Sensei, you need somethin'?\Ah, so you like cats, too.\Well, come see'em anytime you like.\What?! Can I really? response:	They're all strays that settled here before I realized.
context: Damn things broke into the fridge again!\Landsakes, no need to get so mad.\Anyone'd be mad, if their sashimi dinner got eaten up!\Oh, Sensei, you need somethin'?\Ah, so you like cats, too.\Well, come see'em anytime you like.\What?! Can I really?\They're all strays that settled here before I realized. response:	Th-Then, I won't hold back.
context: Landsakes, no need to get so mad.\Anyone'd be mad, if their sashimi dinner got eaten up!\Oh, Sensei, you need somethin'?\Ah, so you like cats, too.\Well, come see'em anytime you like.\What?! Can I really?\They're all strays that settled here before I realized.\Th-Then, I won't hold back. response:	Here, kitties!
context: Anyone'd be mad, if their sashimi dinner got eaten up!\Oh, Sensei, you need somethin'?\Ah, so you like cats, too.\Well, come see'em anytime you like.\What?! Can I really?\They're all strays that settled here before I realized.\Th-Then, I won't hold back.\Here, kitties! response:	I told ya, they're strays. They don't come near people.
context: Oh, Sensei, you need somethin'?\Ah, so you like cats, too.\Well, come see'em anytime you like.\What?! Can I really?\They're all strays that settled here before I realized.\Th-Then, I won't hold back.\Here, kitties!\I told ya, they're strays. They don't come near people. response:	Please say so sooner.
context: Ah, so you like cats, too.\Well, come see'em anytime you like.\What?! Can I really?\They're all strays that settled here before I realized.\Th-Then, I won't hold back.\Here, kitties!\I told ya, they're strays. They don't come near people.\Please say so sooner. response:	What am I supposed to do with my arms now?
context: Well, come see'em anytime you like.\What?! Can I really?\They're all strays that settled here before I realized.\Th-Then, I won't hold back.\Here, kitties!\I told ya, they're strays. They don't come near people.\Please say so sooner.\What am I supposed to do with my arms now? response:	We could tempt'em with this.
context: What?! Can I really?\They're all strays that settled here before I realized.\Th-Then, I won't hold back.\Here, kitties!\I told ya, they're strays. They don't come near people.\Please say so sooner.\What am I supposed to do with my arms now?\We could tempt'em with this. response:	Stew left over from lunch.
context: They're all strays that settled here before I realized.\Th-Then, I won't hold back.\Here, kitties!\I told ya, they're strays. They don't come near people.\Please say so sooner.\What am I supposed to do with my arms now?\We could tempt'em with this.\Stew left over from lunch. response:	C'mere, Whitey!
context: Th-Then, I won't hold back.\Here, kitties!\I told ya, they're strays. They don't come near people.\Please say so sooner.\What am I supposed to do with my arms now?\We could tempt'em with this.\Stew left over from lunch.\C'mere, Whitey! response:	Wow, a bunch came over!
context: Here, kitties!\I told ya, they're strays. They don't come near people.\Please say so sooner.\What am I supposed to do with my arms now?\We could tempt'em with this.\Stew left over from lunch.\C'mere, Whitey!\Wow, a bunch came over! response:	With the sashimi gone,
context: I told ya, they're strays. They don't come near people.\Please say so sooner.\What am I supposed to do with my arms now?\We could tempt'em with this.\Stew left over from lunch.\C'mere, Whitey!\Wow, a bunch came over!\With the sashimi gone, response:	those leftovers from lunch should be my dinner...
context: Please say so sooner.\What am I supposed to do with my arms now?\We could tempt'em with this.\Stew left over from lunch.\C'mere, Whitey!\Wow, a bunch came over!\With the sashimi gone,\those leftovers from lunch should be my dinner... response:	Wow, a bunch came over!
context: What am I supposed to do with my arms now?\We could tempt'em with this.\Stew left over from lunch.\C'mere, Whitey!\Wow, a bunch came over!\With the sashimi gone,\those leftovers from lunch should be my dinner...\Wow, a bunch came over! response:	So you named one Whitey?
context: We could tempt'em with this.\Stew left over from lunch.\C'mere, Whitey!\Wow, a bunch came over!\With the sashimi gone,\those leftovers from lunch should be my dinner...\Wow, a bunch came over!\So you named one Whitey? response:	I just call'em that when I call'em.
context: Stew left over from lunch.\C'mere, Whitey!\Wow, a bunch came over!\With the sashimi gone,\those leftovers from lunch should be my dinner...\Wow, a bunch came over!\So you named one Whitey?\I just call'em that when I call'em. response:	They're just strays.
context: C'mere, Whitey!\Wow, a bunch came over!\With the sashimi gone,\those leftovers from lunch should be my dinner...\Wow, a bunch came over!\So you named one Whitey?\I just call'em that when I call'em.\They're just strays. response:	Society would consider these pet cats, though.
context: Wow, a bunch came over!\With the sashimi gone,\those leftovers from lunch should be my dinner...\Wow, a bunch came over!\So you named one Whitey?\I just call'em that when I call'em.\They're just strays.\Society would consider these pet cats, though. response:	What about that tabby cat?
context: With the sashimi gone,\those leftovers from lunch should be my dinner...\Wow, a bunch came over!\So you named one Whitey?\I just call'em that when I call'em.\They're just strays.\Society would consider these pet cats, though.\What about that tabby cat? response:	C'mere, Blackie!
context: those leftovers from lunch should be my dinner...\Wow, a bunch came over!\So you named one Whitey?\I just call'em that when I call'em.\They're just strays.\Society would consider these pet cats, though.\What about that tabby cat?\C'mere, Blackie! response:	Not Tabby?
context: Wow, a bunch came over!\So you named one Whitey?\I just call'em that when I call'em.\They're just strays.\Society would consider these pet cats, though.\What about that tabby cat?\C'mere, Blackie!\Not Tabby? response:	Blackie's the one that's closest to people.
context: So you named one Whitey?\I just call'em that when I call'em.\They're just strays.\Society would consider these pet cats, though.\What about that tabby cat?\C'mere, Blackie!\Not Tabby?\Blackie's the one that's closest to people. response:	The other strays won't let you pet'em,
context: I just call'em that when I call'em.\They're just strays.\Society would consider these pet cats, though.\What about that tabby cat?\C'mere, Blackie!\Not Tabby?\Blackie's the one that's closest to people.\The other strays won't let you pet'em, response:	but Blackie's a smart cookie.
context: They're just strays.\Society would consider these pet cats, though.\What about that tabby cat?\C'mere, Blackie!\Not Tabby?\Blackie's the one that's closest to people.\The other strays won't let you pet'em,\but Blackie's a smart cookie. response:	*Smart Cookie = Good Kitty
context: Society would consider these pet cats, though.\What about that tabby cat?\C'mere, Blackie!\Not Tabby?\Blackie's the one that's closest to people.\The other strays won't let you pet'em,\but Blackie's a smart cookie.\*Smart Cookie = Good Kitty response:	Wanna hold one, Sensei?
context: What about that tabby cat?\C'mere, Blackie!\Not Tabby?\Blackie's the one that's closest to people.\The other strays won't let you pet'em,\but Blackie's a smart cookie.\*Smart Cookie = Good Kitty\Wanna hold one, Sensei? response:	Can I really?
context: C'mere, Blackie!\Not Tabby?\Blackie's the one that's closest to people.\The other strays won't let you pet'em,\but Blackie's a smart cookie.\*Smart Cookie = Good Kitty\Wanna hold one, Sensei?\Can I really? response:	I do! Please let me hold one!
context: Not Tabby?\Blackie's the one that's closest to people.\The other strays won't let you pet'em,\but Blackie's a smart cookie.\*Smart Cookie = Good Kitty\Wanna hold one, Sensei?\Can I really?\I do! Please let me hold one! response:	All right...
context: Blackie's the one that's closest to people.\The other strays won't let you pet'em,\but Blackie's a smart cookie.\*Smart Cookie = Good Kitty\Wanna hold one, Sensei?\Can I really?\I do! Please let me hold one!\All right... response:	Hurry up an' take it! I can't hold it long!
context: The other strays won't let you pet'em,\but Blackie's a smart cookie.\*Smart Cookie = Good Kitty\Wanna hold one, Sensei?\Can I really?\I do! Please let me hold one!\All right...\Hurry up an' take it! I can't hold it long! response:	I don't know how!
context: but Blackie's a smart cookie.\*Smart Cookie = Good Kitty\Wanna hold one, Sensei?\Can I really?\I do! Please let me hold one!\All right...\Hurry up an' take it! I can't hold it long!\I don't know how! response:	Make a bold grab!
context: *Smart Cookie = Good Kitty\Wanna hold one, Sensei?\Can I really?\I do! Please let me hold one!\All right...\Hurry up an' take it! I can't hold it long!\I don't know how!\Make a bold grab! response:	Then hold on tight with both hands!
context: Wanna hold one, Sensei?\Can I really?\I do! Please let me hold one!\All right...\Hurry up an' take it! I can't hold it long!\I don't know how!\Make a bold grab!\Then hold on tight with both hands! response:	All right!
context: Can I really?\I do! Please let me hold one!\All right...\Hurry up an' take it! I can't hold it long!\I don't know how!\Make a bold grab!\Then hold on tight with both hands!\All right! response:	I got it!
context: I do! Please let me hold one!\All right...\Hurry up an' take it! I can't hold it long!\I don't know how!\Make a bold grab!\Then hold on tight with both hands!\All right!\I got it! response:	Nothing to it.
context: All right...\Hurry up an' take it! I can't hold it long!\I don't know how!\Make a bold grab!\Then hold on tight with both hands!\All right!\I got it!\Nothing to it. response:	Even a stray kitten is still cute.
context: Hurry up an' take it! I can't hold it long!\I don't know how!\Make a bold grab!\Then hold on tight with both hands!\All right!\I got it!\Nothing to it.\Even a stray kitten is still cute. response:	I told ya to hold on tight!
context: I don't know how!\Make a bold grab!\Then hold on tight with both hands!\All right!\I got it!\Nothing to it.\Even a stray kitten is still cute.\I told ya to hold on tight! response:	Say, are you all right?
context: Make a bold grab!\Then hold on tight with both hands!\All right!\I got it!\Nothing to it.\Even a stray kitten is still cute.\I told ya to hold on tight!\Say, are you all right? response:	Sensei, you got a rash on yer neck!
context: Then hold on tight with both hands!\All right!\I got it!\Nothing to it.\Even a stray kitten is still cute.\I told ya to hold on tight!\Say, are you all right?\Sensei, you got a rash on yer neck! response:	What is this?
context: All right!\I got it!\Nothing to it.\Even a stray kitten is still cute.\I told ya to hold on tight!\Say, are you all right?\Sensei, you got a rash on yer neck!\What is this? response:	It itches!
context: I got it!\Nothing to it.\Even a stray kitten is still cute.\I told ya to hold on tight!\Say, are you all right?\Sensei, you got a rash on yer neck!\What is this?\It itches! response:	My eyes itch, too!
context: Nothing to it.\Even a stray kitten is still cute.\I told ya to hold on tight!\Say, are you all right?\Sensei, you got a rash on yer neck!\What is this?\It itches!\My eyes itch, too! response:	Sensei, think ya might be allergic to cats?
context: Even a stray kitten is still cute.\I told ya to hold on tight!\Say, are you all right?\Sensei, you got a rash on yer neck!\What is this?\It itches!\My eyes itch, too!\Sensei, think ya might be allergic to cats? response:	Allergic to cats?
context: I told ya to hold on tight!\Say, are you all right?\Sensei, you got a rash on yer neck!\What is this?\It itches!\My eyes itch, too!\Sensei, think ya might be allergic to cats?\Allergic to cats? response:	Oh, a cat!
context: Say, are you all right?\Sensei, you got a rash on yer neck!\What is this?\It itches!\My eyes itch, too!\Sensei, think ya might be allergic to cats?\Allergic to cats?\Oh, a cat! response:	Don't, Sei.
context: Sensei, you got a rash on yer neck!\What is this?\It itches!\My eyes itch, too!\Sensei, think ya might be allergic to cats?\Allergic to cats?\Oh, a cat!\Don't, Sei. response:	You shouldn't approach animals carelessly.
context: What is this?\It itches!\My eyes itch, too!\Sensei, think ya might be allergic to cats?\Allergic to cats?\Oh, a cat!\Don't, Sei.\You shouldn't approach animals carelessly. response:	You don't want to be itchy, do you?
context: It itches!\My eyes itch, too!\Sensei, think ya might be allergic to cats?\Allergic to cats?\Oh, a cat!\Don't, Sei.\You shouldn't approach animals carelessly.\You don't want to be itchy, do you? response:	If that happens, I can't take the itching from you.
context: My eyes itch, too!\Sensei, think ya might be allergic to cats?\Allergic to cats?\Oh, a cat!\Don't, Sei.\You shouldn't approach animals carelessly.\You don't want to be itchy, do you?\If that happens, I can't take the itching from you. response:	So I can never have a cat...
context: Sensei, think ya might be allergic to cats?\Allergic to cats?\Oh, a cat!\Don't, Sei.\You shouldn't approach animals carelessly.\You don't want to be itchy, do you?\If that happens, I can't take the itching from you.\So I can never have a cat... response:	I never would've known if I hadn't touched one.
context: Allergic to cats?\Oh, a cat!\Don't, Sei.\You shouldn't approach animals carelessly.\You don't want to be itchy, do you?\If that happens, I can't take the itching from you.\So I can never have a cat...\I never would've known if I hadn't touched one. response:	Excuse me!
context: Oh, a cat!\Don't, Sei.\You shouldn't approach animals carelessly.\You don't want to be itchy, do you?\If that happens, I can't take the itching from you.\So I can never have a cat...\I never would've known if I hadn't touched one.\Excuse me! response:	Shopkeeper, the phone
context: Don't, Sei.\You shouldn't approach animals carelessly.\You don't want to be itchy, do you?\If that happens, I can't take the itching from you.\So I can never have a cat...\I never would've known if I hadn't touched one.\Excuse me!\Shopkeeper, the phone response:	It's Sensei!
context: You shouldn't approach animals carelessly.\You don't want to be itchy, do you?\If that happens, I can't take the itching from you.\So I can never have a cat...\I never would've known if I hadn't touched one.\Excuse me!\Shopkeeper, the phone\It's Sensei! response:	What'd you come for?
context: You don't want to be itchy, do you?\If that happens, I can't take the itching from you.\So I can never have a cat...\I never would've known if I hadn't touched one.\Excuse me!\Shopkeeper, the phone\It's Sensei!\What'd you come for? response:	For shoppin'?
context: If that happens, I can't take the itching from you.\So I can never have a cat...\I never would've known if I hadn't touched one.\Excuse me!\Shopkeeper, the phone\It's Sensei!\What'd you come for?\For shoppin'? response:	You kids are everywhere...
context: So I can never have a cat...\I never would've known if I hadn't touched one.\Excuse me!\Shopkeeper, the phone\It's Sensei!\What'd you come for?\For shoppin'?\You kids are everywhere... response:	Oh, Sensei, you got a rash on your neck.
context: I never would've known if I hadn't touched one.\Excuse me!\Shopkeeper, the phone\It's Sensei!\What'd you come for?\For shoppin'?\You kids are everywhere...\Oh, Sensei, you got a rash on your neck. response:	Don't remind me...
context: Excuse me!\Shopkeeper, the phone\It's Sensei!\What'd you come for?\For shoppin'?\You kids are everywhere...\Oh, Sensei, you got a rash on your neck.\Don't remind me... response:	Where's the shopkeeper?
context: Shopkeeper, the phone\It's Sensei!\What'd you come for?\For shoppin'?\You kids are everywhere...\Oh, Sensei, you got a rash on your neck.\Don't remind me...\Where's the shopkeeper? response:	She went to the senior center.
context: It's Sensei!\What'd you come for?\For shoppin'?\You kids are everywhere...\Oh, Sensei, you got a rash on your neck.\Don't remind me...\Where's the shopkeeper?\She went to the senior center. response:	You may shop if you like.
context: What'd you come for?\For shoppin'?\You kids are everywhere...\Oh, Sensei, you got a rash on your neck.\Don't remind me...\Where's the shopkeeper?\She went to the senior center.\You may shop if you like. response:	No, I just need to borrow the phone.
context: For shoppin'?\You kids are everywhere...\Oh, Sensei, you got a rash on your neck.\Don't remind me...\Where's the shopkeeper?\She went to the senior center.\You may shop if you like.\No, I just need to borrow the phone. response:	Sensei, d'ya know Akki?
context: You kids are everywhere...\Oh, Sensei, you got a rash on your neck.\Don't remind me...\Where's the shopkeeper?\She went to the senior center.\You may shop if you like.\No, I just need to borrow the phone.\Sensei, d'ya know Akki? response:	Akki?
context: Oh, Sensei, you got a rash on your neck.\Don't remind me...\Where's the shopkeeper?\She went to the senior center.\You may shop if you like.\No, I just need to borrow the phone.\Sensei, d'ya know Akki?\Akki? response:	Yeah, Akki!
context: Don't remind me...\Where's the shopkeeper?\She went to the senior center.\You may shop if you like.\No, I just need to borrow the phone.\Sensei, d'ya know Akki?\Akki?\Yeah, Akki! response:	I am Akki.
context: Where's the shopkeeper?\She went to the senior center.\You may shop if you like.\No, I just need to borrow the phone.\Sensei, d'ya know Akki?\Akki?\Yeah, Akki!\I am Akki. response:	Akki's amazin'!
context: She went to the senior center.\You may shop if you like.\No, I just need to borrow the phone.\Sensei, d'ya know Akki?\Akki?\Yeah, Akki!\I am Akki.\Akki's amazin'! response:	He's real good at video games!
context: You may shop if you like.\No, I just need to borrow the phone.\Sensei, d'ya know Akki?\Akki?\Yeah, Akki!\I am Akki.\Akki's amazin'!\He's real good at video games! response:	He's like Master Takahashi!
context: No, I just need to borrow the phone.\Sensei, d'ya know Akki?\Akki?\Yeah, Akki!\I am Akki.\Akki's amazin'!\He's real good at video games!\He's like Master Takahashi! response:	Who's Takahashi?
context: Sensei, d'ya know Akki?\Akki?\Yeah, Akki!\I am Akki.\Akki's amazin'!\He's real good at video games!\He's like Master Takahashi!\Who's Takahashi? response:	Play For Just One Hour Each Day
context: Akki?\Yeah, Akki!\I am Akki.\Akki's amazin'!\He's real good at video games!\He's like Master Takahashi!\Who's Takahashi?\Play For Just One Hour Each Day response:	Ya don't know Master Takahashi?
context: Yeah, Akki!\I am Akki.\Akki's amazin'!\He's real good at video games!\He's like Master Takahashi!\Who's Takahashi?\Play For Just One Hour Each Day\Ya don't know Master Takahashi? response:	Huh?! Is he really that famous?!
context: I am Akki.\Akki's amazin'!\He's real good at video games!\He's like Master Takahashi!\Who's Takahashi?\Play For Just One Hour Each Day\Ya don't know Master Takahashi?\Huh?! Is he really that famous?! response:	16 Hits
context: Akki's amazin'!\He's real good at video games!\He's like Master Takahashi!\Who's Takahashi?\Play For Just One Hour Each Day\Ya don't know Master Takahashi?\Huh?! Is he really that famous?!\16 Hits response:	Is he a kyogen performer or something?
context: He's real good at video games!\He's like Master Takahashi!\Who's Takahashi?\Play For Just One Hour Each Day\Ya don't know Master Takahashi?\Huh?! Is he really that famous?!\16 Hits\Is he a kyogen performer or something? response:	He's a master at video games.
context: He's like Master Takahashi!\Who's Takahashi?\Play For Just One Hour Each Day\Ya don't know Master Takahashi?\Huh?! Is he really that famous?!\16 Hits\Is he a kyogen performer or something?\He's a master at video games. response:	You need the telephone, right?
context: Who's Takahashi?\Play For Just One Hour Each Day\Ya don't know Master Takahashi?\Huh?! Is he really that famous?!\16 Hits\Is he a kyogen performer or something?\He's a master at video games.\You need the telephone, right? response:	Yeah.
context: Play For Just One Hour Each Day\Ya don't know Master Takahashi?\Huh?! Is he really that famous?!\16 Hits\Is he a kyogen performer or something?\He's a master at video games.\You need the telephone, right?\Yeah. response:	Akki, huh...
context: Ya don't know Master Takahashi?\Huh?! Is he really that famous?!\16 Hits\Is he a kyogen performer or something?\He's a master at video games.\You need the telephone, right?\Yeah.\Akki, huh... response:	I feel like I've seen him somewhere before...
context: Huh?! Is he really that famous?!\16 Hits\Is he a kyogen performer or something?\He's a master at video games.\You need the telephone, right?\Yeah.\Akki, huh...\I feel like I've seen him somewhere before... response:	Are you Tama's younger brother?!
context: 16 Hits\Is he a kyogen performer or something?\He's a master at video games.\You need the telephone, right?\Yeah.\Akki, huh...\I feel like I've seen him somewhere before...\Are you Tama's younger brother?! response:	Well... yes, I am...
context: Is he a kyogen performer or something?\He's a master at video games.\You need the telephone, right?\Yeah.\Akki, huh...\I feel like I've seen him somewhere before...\Are you Tama's younger brother?!\Well... yes, I am... response:	Wow, you look so much like her!
