context: In a pig's ass! response:	I was wrong about you, traitor!
context: As my worthless shadow grows\It's like an endless summer vacation\Feels like sneakin' into the swimming pool\Hey, let's swim with our clothes on, jump in!!\A shocking seductive spiral\This beat that pierces my heart is strange\(It flares up, then vanishes)\Every miserable day is swell, response:	dress it up
context: It's like an endless summer vacation\Feels like sneakin' into the swimming pool\Hey, let's swim with our clothes on, jump in!!\A shocking seductive spiral\This beat that pierces my heart is strange\(It flares up, then vanishes)\Every miserable day is swell,\dress it up response:	A high-speed swing surrounds us
context: Feels like sneakin' into the swimming pool\Hey, let's swim with our clothes on, jump in!!\A shocking seductive spiral\This beat that pierces my heart is strange\(It flares up, then vanishes)\Every miserable day is swell,\dress it up\A high-speed swing surrounds us response:	(What's this dance called? I can't stop)
context: Hey, let's swim with our clothes on, jump in!!\A shocking seductive spiral\This beat that pierces my heart is strange\(It flares up, then vanishes)\Every miserable day is swell,\dress it up\A high-speed swing surrounds us\(What's this dance called? I can't stop) response:	Don't you go, it's twined around my ears
context: A shocking seductive spiral\This beat that pierces my heart is strange\(It flares up, then vanishes)\Every miserable day is swell,\dress it up\A high-speed swing surrounds us\(What's this dance called? I can't stop)\Don't you go, it's twined around my ears response:	and won't leave me ever again
context: This beat that pierces my heart is strange\(It flares up, then vanishes)\Every miserable day is swell,\dress it up\A high-speed swing surrounds us\(What's this dance called? I can't stop)\Don't you go, it's twined around my ears\and won't leave me ever again response:	This melody...
context: (It flares up, then vanishes)\Every miserable day is swell,\dress it up\A high-speed swing surrounds us\(What's this dance called? I can't stop)\Don't you go, it's twined around my ears\and won't leave me ever again\This melody... response:	My feet feel heavy.
context: Every miserable day is swell,\dress it up\A high-speed swing surrounds us\(What's this dance called? I can't stop)\Don't you go, it's twined around my ears\and won't leave me ever again\This melody...\My feet feel heavy. response:	It's just like the first time I climbed this slope...
context: dress it up\A high-speed swing surrounds us\(What's this dance called? I can't stop)\Don't you go, it's twined around my ears\and won't leave me ever again\This melody...\My feet feel heavy.\It's just like the first time I climbed this slope... response:	Kaoru-san...
context: A high-speed swing surrounds us\(What's this dance called? I can't stop)\Don't you go, it's twined around my ears\and won't leave me ever again\This melody...\My feet feel heavy.\It's just like the first time I climbed this slope...\Kaoru-san... response:	Would you like to have this onigiri?
context: (What's this dance called? I can't stop)\Don't you go, it's twined around my ears\and won't leave me ever again\This melody...\My feet feel heavy.\It's just like the first time I climbed this slope...\Kaoru-san...\Would you like to have this onigiri? response:	Why? I'm fine.
context: Don't you go, it's twined around my ears\and won't leave me ever again\This melody...\My feet feel heavy.\It's just like the first time I climbed this slope...\Kaoru-san...\Would you like to have this onigiri?\Why? I'm fine. response:	I'm already stuffed.
context: and won't leave me ever again\This melody...\My feet feel heavy.\It's just like the first time I climbed this slope...\Kaoru-san...\Would you like to have this onigiri?\Why? I'm fine.\I'm already stuffed. response:	Just eating half a thing of bread isn't enough to give you energy.
context: This melody...\My feet feel heavy.\It's just like the first time I climbed this slope...\Kaoru-san...\Would you like to have this onigiri?\Why? I'm fine.\I'm already stuffed.\Just eating half a thing of bread isn't enough to give you energy. response:	Then I'll have just one...
context: My feet feel heavy.\It's just like the first time I climbed this slope...\Kaoru-san...\Would you like to have this onigiri?\Why? I'm fine.\I'm already stuffed.\Just eating half a thing of bread isn't enough to give you energy.\Then I'll have just one... response:	This is good. What's in it?
context: It's just like the first time I climbed this slope...\Kaoru-san...\Would you like to have this onigiri?\Why? I'm fine.\I'm already stuffed.\Just eating half a thing of bread isn't enough to give you energy.\Then I'll have just one...\This is good. What's in it? response:	Let's see... Clams boiled in soy sauce...
context: Kaoru-san...\Would you like to have this onigiri?\Why? I'm fine.\I'm already stuffed.\Just eating half a thing of bread isn't enough to give you energy.\Then I'll have just one...\This is good. What's in it?\Let's see... Clams boiled in soy sauce... response:	I shouldn't have said that! I'm such an idiot!
context: Would you like to have this onigiri?\Why? I'm fine.\I'm already stuffed.\Just eating half a thing of bread isn't enough to give you energy.\Then I'll have just one...\This is good. What's in it?\Let's see... Clams boiled in soy sauce...\I shouldn't have said that! I'm such an idiot! response:	Me and my big mouth!
context: Why? I'm fine.\I'm already stuffed.\Just eating half a thing of bread isn't enough to give you energy.\Then I'll have just one...\This is good. What's in it?\Let's see... Clams boiled in soy sauce...\I shouldn't have said that! I'm such an idiot!\Me and my big mouth! response:	Say, Ri-chan, I can't help but notice
context: I'm already stuffed.\Just eating half a thing of bread isn't enough to give you energy.\Then I'll have just one...\This is good. What's in it?\Let's see... Clams boiled in soy sauce...\I shouldn't have said that! I'm such an idiot!\Me and my big mouth!\Say, Ri-chan, I can't help but notice response:	that you're on really good terms with Nishimi-san lately!
context: Just eating half a thing of bread isn't enough to give you energy.\Then I'll have just one...\This is good. What's in it?\Let's see... Clams boiled in soy sauce...\I shouldn't have said that! I'm such an idiot!\Me and my big mouth!\Say, Ri-chan, I can't help but notice\that you're on really good terms with Nishimi-san lately! response:	Tell me the truth, are you two going steady?
context: Then I'll have just one...\This is good. What's in it?\Let's see... Clams boiled in soy sauce...\I shouldn't have said that! I'm such an idiot!\Me and my big mouth!\Say, Ri-chan, I can't help but notice\that you're on really good terms with Nishimi-san lately!\Tell me the truth, are you two going steady? response:	N-No!
context: This is good. What's in it?\Let's see... Clams boiled in soy sauce...\I shouldn't have said that! I'm such an idiot!\Me and my big mouth!\Say, Ri-chan, I can't help but notice\that you're on really good terms with Nishimi-san lately!\Tell me the truth, are you two going steady?\N-No! response:	Look at her, she's blushing!
context: Let's see... Clams boiled in soy sauce...\I shouldn't have said that! I'm such an idiot!\Me and my big mouth!\Say, Ri-chan, I can't help but notice\that you're on really good terms with Nishimi-san lately!\Tell me the truth, are you two going steady?\N-No!\Look at her, she's blushing! response:	You don't have to hide it from us!
context: I shouldn't have said that! I'm such an idiot!\Me and my big mouth!\Say, Ri-chan, I can't help but notice\that you're on really good terms with Nishimi-san lately!\Tell me the truth, are you two going steady?\N-No!\Look at her, she's blushing!\You don't have to hide it from us! response:	We're in your corner!
context: Me and my big mouth!\Say, Ri-chan, I can't help but notice\that you're on really good terms with Nishimi-san lately!\Tell me the truth, are you two going steady?\N-No!\Look at her, she's blushing!\You don't have to hide it from us!\We're in your corner! response:	But we're not...
context: Say, Ri-chan, I can't help but notice\that you're on really good terms with Nishimi-san lately!\Tell me the truth, are you two going steady?\N-No!\Look at her, she's blushing!\You don't have to hide it from us!\We're in your corner!\But we're not... response:	U-Um...
context: that you're on really good terms with Nishimi-san lately!\Tell me the truth, are you two going steady?\N-No!\Look at her, she's blushing!\You don't have to hide it from us!\We're in your corner!\But we're not...\U-Um... response:	Honestly... we're not dating.
context: Tell me the truth, are you two going steady?\N-No!\Look at her, she's blushing!\You don't have to hide it from us!\We're in your corner!\But we're not...\U-Um...\Honestly... we're not dating. response:	Mukae-san and I... are just friends.
context: N-No!\Look at her, she's blushing!\You don't have to hide it from us!\We're in your corner!\But we're not...\U-Um...\Honestly... we're not dating.\Mukae-san and I... are just friends. response:	So... please don't get the wrong idea.
context: Look at her, she's blushing!\You don't have to hide it from us!\We're in your corner!\But we're not...\U-Um...\Honestly... we're not dating.\Mukae-san and I... are just friends.\So... please don't get the wrong idea. response:	Crap. What did I butt in for...?
context: You don't have to hide it from us!\We're in your corner!\But we're not...\U-Um...\Honestly... we're not dating.\Mukae-san and I... are just friends.\So... please don't get the wrong idea.\Crap. What did I butt in for...? response:	This is a surprise...
context: We're in your corner!\But we're not...\U-Um...\Honestly... we're not dating.\Mukae-san and I... are just friends.\So... please don't get the wrong idea.\Crap. What did I butt in for...?\This is a surprise... response:	Nishimi-san, you hardly ever talk and I had you pegged as unapproachable.
context: But we're not...\U-Um...\Honestly... we're not dating.\Mukae-san and I... are just friends.\So... please don't get the wrong idea.\Crap. What did I butt in for...?\This is a surprise...\Nishimi-san, you hardly ever talk and I had you pegged as unapproachable. response:	For a second there, I could've sworn you were going to blow your stack at us.
context: U-Um...\Honestly... we're not dating.\Mukae-san and I... are just friends.\So... please don't get the wrong idea.\Crap. What did I butt in for...?\This is a surprise...\Nishimi-san, you hardly ever talk and I had you pegged as unapproachable.\For a second there, I could've sworn you were going to blow your stack at us. response:	M-Me too...
context: Honestly... we're not dating.\Mukae-san and I... are just friends.\So... please don't get the wrong idea.\Crap. What did I butt in for...?\This is a surprise...\Nishimi-san, you hardly ever talk and I had you pegged as unapproachable.\For a second there, I could've sworn you were going to blow your stack at us.\M-Me too... response:	Hey, tell us something. What's the trick to getting good scores on tests?
context: Mukae-san and I... are just friends.\So... please don't get the wrong idea.\Crap. What did I butt in for...?\This is a surprise...\Nishimi-san, you hardly ever talk and I had you pegged as unapproachable.\For a second there, I could've sworn you were going to blow your stack at us.\M-Me too...\Hey, tell us something. What's the trick to getting good scores on tests? response:	Yeah, I wanted to ask the same thing.
context: So... please don't get the wrong idea.\Crap. What did I butt in for...?\This is a surprise...\Nishimi-san, you hardly ever talk and I had you pegged as unapproachable.\For a second there, I could've sworn you were going to blow your stack at us.\M-Me too...\Hey, tell us something. What's the trick to getting good scores on tests?\Yeah, I wanted to ask the same thing. response:	Oh, I don't...
context: Crap. What did I butt in for...?\This is a surprise...\Nishimi-san, you hardly ever talk and I had you pegged as unapproachable.\For a second there, I could've sworn you were going to blow your stack at us.\M-Me too...\Hey, tell us something. What's the trick to getting good scores on tests?\Yeah, I wanted to ask the same thing.\Oh, I don't... response:	Oh, we've put him on the spot...
context: This is a surprise...\Nishimi-san, you hardly ever talk and I had you pegged as unapproachable.\For a second there, I could've sworn you were going to blow your stack at us.\M-Me too...\Hey, tell us something. What's the trick to getting good scores on tests?\Yeah, I wanted to ask the same thing.\Oh, I don't...\Oh, we've put him on the spot... response:	Huh? What do you know? I don't feel sick at all...
context: Nishimi-san, you hardly ever talk and I had you pegged as unapproachable.\For a second there, I could've sworn you were going to blow your stack at us.\M-Me too...\Hey, tell us something. What's the trick to getting good scores on tests?\Yeah, I wanted to ask the same thing.\Oh, I don't...\Oh, we've put him on the spot...\Huh? What do you know? I don't feel sick at all... response:	Hey, Richie...
context: For a second there, I could've sworn you were going to blow your stack at us.\M-Me too...\Hey, tell us something. What's the trick to getting good scores on tests?\Yeah, I wanted to ask the same thing.\Oh, I don't...\Oh, we've put him on the spot...\Huh? What do you know? I don't feel sick at all...\Hey, Richie... response:	Don't ignore me! Would you just listen to me, you blockhead?!
context: M-Me too...\Hey, tell us something. What's the trick to getting good scores on tests?\Yeah, I wanted to ask the same thing.\Oh, I don't...\Oh, we've put him on the spot...\Huh? What do you know? I don't feel sick at all...\Hey, Richie...\Don't ignore me! Would you just listen to me, you blockhead?! response:	Wow, what a pad, Yamaoka-kun!
context: Hey, tell us something. What's the trick to getting good scores on tests?\Yeah, I wanted to ask the same thing.\Oh, I don't...\Oh, we've put him on the spot...\Huh? What do you know? I don't feel sick at all...\Hey, Richie...\Don't ignore me! Would you just listen to me, you blockhead?!\Wow, what a pad, Yamaoka-kun! response:	And set apart from your house...
context: Yeah, I wanted to ask the same thing.\Oh, I don't...\Oh, we've put him on the spot...\Huh? What do you know? I don't feel sick at all...\Hey, Richie...\Don't ignore me! Would you just listen to me, you blockhead?!\Wow, what a pad, Yamaoka-kun!\And set apart from your house... response:	This is where we're gonna practice every day from now on!
context: Oh, I don't...\Oh, we've put him on the spot...\Huh? What do you know? I don't feel sick at all...\Hey, Richie...\Don't ignore me! Would you just listen to me, you blockhead?!\Wow, what a pad, Yamaoka-kun!\And set apart from your house...\This is where we're gonna practice every day from now on! response:	Huh? Kawabuchi-kun, you look kind of glum.
context: Oh, we've put him on the spot...\Huh? What do you know? I don't feel sick at all...\Hey, Richie...\Don't ignore me! Would you just listen to me, you blockhead?!\Wow, what a pad, Yamaoka-kun!\And set apart from your house...\This is where we're gonna practice every day from now on!\Huh? Kawabuchi-kun, you look kind of glum. response:	Don't tell me you're having second thoughts?
context: Huh? What do you know? I don't feel sick at all...\Hey, Richie...\Don't ignore me! Would you just listen to me, you blockhead?!\Wow, what a pad, Yamaoka-kun!\And set apart from your house...\This is where we're gonna practice every day from now on!\Huh? Kawabuchi-kun, you look kind of glum.\Don't tell me you're having second thoughts? response:	Don't be stupid. Once I decide I'm gonna do somethin', I see it through.
context: Hey, Richie...\Don't ignore me! Would you just listen to me, you blockhead?!\Wow, what a pad, Yamaoka-kun!\And set apart from your house...\This is where we're gonna practice every day from now on!\Huh? Kawabuchi-kun, you look kind of glum.\Don't tell me you're having second thoughts?\Don't be stupid. Once I decide I'm gonna do somethin', I see it through. response:	That's the way to be.
context: Don't ignore me! Would you just listen to me, you blockhead?!\Wow, what a pad, Yamaoka-kun!\And set apart from your house...\This is where we're gonna practice every day from now on!\Huh? Kawabuchi-kun, you look kind of glum.\Don't tell me you're having second thoughts?\Don't be stupid. Once I decide I'm gonna do somethin', I see it through.\That's the way to be. response:	We better hurry up an' decide what songs we're gonna do. What's it gonna be?
context: Wow, what a pad, Yamaoka-kun!\And set apart from your house...\This is where we're gonna practice every day from now on!\Huh? Kawabuchi-kun, you look kind of glum.\Don't tell me you're having second thoughts?\Don't be stupid. Once I decide I'm gonna do somethin', I see it through.\That's the way to be.\We better hurry up an' decide what songs we're gonna do. What's it gonna be? response:	Well, I wanna get the Spiders in there.
context: And set apart from your house...\This is where we're gonna practice every day from now on!\Huh? Kawabuchi-kun, you look kind of glum.\Don't tell me you're having second thoughts?\Don't be stupid. Once I decide I'm gonna do somethin', I see it through.\That's the way to be.\We better hurry up an' decide what songs we're gonna do. What's it gonna be?\Well, I wanna get the Spiders in there. response:	And the Ventures, of course. And then...
context: This is where we're gonna practice every day from now on!\Huh? Kawabuchi-kun, you look kind of glum.\Don't tell me you're having second thoughts?\Don't be stupid. Once I decide I'm gonna do somethin', I see it through.\That's the way to be.\We better hurry up an' decide what songs we're gonna do. What's it gonna be?\Well, I wanna get the Spiders in there.\And the Ventures, of course. And then... response:	Hey, what about the Beatles?! What's with all the different genres?
context: Huh? Kawabuchi-kun, you look kind of glum.\Don't tell me you're having second thoughts?\Don't be stupid. Once I decide I'm gonna do somethin', I see it through.\That's the way to be.\We better hurry up an' decide what songs we're gonna do. What's it gonna be?\Well, I wanna get the Spiders in there.\And the Ventures, of course. And then...\Hey, what about the Beatles?! What's with all the different genres? response:	I think the girls will dig it more if we play a variety.
context: Don't tell me you're having second thoughts?\Don't be stupid. Once I decide I'm gonna do somethin', I see it through.\That's the way to be.\We better hurry up an' decide what songs we're gonna do. What's it gonna be?\Well, I wanna get the Spiders in there.\And the Ventures, of course. And then...\Hey, what about the Beatles?! What's with all the different genres?\I think the girls will dig it more if we play a variety. response:	That isn't what you said before!
context: Don't be stupid. Once I decide I'm gonna do somethin', I see it through.\That's the way to be.\We better hurry up an' decide what songs we're gonna do. What's it gonna be?\Well, I wanna get the Spiders in there.\And the Ventures, of course. And then...\Hey, what about the Beatles?! What's with all the different genres?\I think the girls will dig it more if we play a variety.\That isn't what you said before! response:	Ryunosuke...
context: That's the way to be.\We better hurry up an' decide what songs we're gonna do. What's it gonna be?\Well, I wanna get the Spiders in there.\And the Ventures, of course. And then...\Hey, what about the Beatles?! What's with all the different genres?\I think the girls will dig it more if we play a variety.\That isn't what you said before!\Ryunosuke... response:	We just got a roll cake. Why don't you share it with your friends?
context: We better hurry up an' decide what songs we're gonna do. What's it gonna be?\Well, I wanna get the Spiders in there.\And the Ventures, of course. And then...\Hey, what about the Beatles?! What's with all the different genres?\I think the girls will dig it more if we play a variety.\That isn't what you said before!\Ryunosuke...\We just got a roll cake. Why don't you share it with your friends? response:	Mama! Don't bug us!
context: Well, I wanna get the Spiders in there.\And the Ventures, of course. And then...\Hey, what about the Beatles?! What's with all the different genres?\I think the girls will dig it more if we play a variety.\That isn't what you said before!\Ryunosuke...\We just got a roll cake. Why don't you share it with your friends?\Mama! Don't bug us! response:	We'd love to have some roll cake, Ma'am.
context: And the Ventures, of course. And then...\Hey, what about the Beatles?! What's with all the different genres?\I think the girls will dig it more if we play a variety.\That isn't what you said before!\Ryunosuke...\We just got a roll cake. Why don't you share it with your friends?\Mama! Don't bug us!\We'd love to have some roll cake, Ma'am. response:	Let's discuss this over a snack, okay, Ryunosuke-kun?
context: Hey, what about the Beatles?! What's with all the different genres?\I think the girls will dig it more if we play a variety.\That isn't what you said before!\Ryunosuke...\We just got a roll cake. Why don't you share it with your friends?\Mama! Don't bug us!\We'd love to have some roll cake, Ma'am.\Let's discuss this over a snack, okay, Ryunosuke-kun? response:	Kawabuchi-kun, aren't you coming?
context: I think the girls will dig it more if we play a variety.\That isn't what you said before!\Ryunosuke...\We just got a roll cake. Why don't you share it with your friends?\Mama! Don't bug us!\We'd love to have some roll cake, Ma'am.\Let's discuss this over a snack, okay, Ryunosuke-kun?\Kawabuchi-kun, aren't you coming? response:	Nah. I'm gonna stay here an' practice a little by myself.
context: That isn't what you said before!\Ryunosuke...\We just got a roll cake. Why don't you share it with your friends?\Mama! Don't bug us!\We'd love to have some roll cake, Ma'am.\Let's discuss this over a snack, okay, Ryunosuke-kun?\Kawabuchi-kun, aren't you coming?\Nah. I'm gonna stay here an' practice a little by myself. response:	Oh...
context: Ryunosuke...\We just got a roll cake. Why don't you share it with your friends?\Mama! Don't bug us!\We'd love to have some roll cake, Ma'am.\Let's discuss this over a snack, okay, Ryunosuke-kun?\Kawabuchi-kun, aren't you coming?\Nah. I'm gonna stay here an' practice a little by myself.\Oh... response:	Pops...
context: We just got a roll cake. Why don't you share it with your friends?\Mama! Don't bug us!\We'd love to have some roll cake, Ma'am.\Let's discuss this over a snack, okay, Ryunosuke-kun?\Kawabuchi-kun, aren't you coming?\Nah. I'm gonna stay here an' practice a little by myself.\Oh...\Pops... response:	What are you doin' wearin' a tie on a hot day like today?
context: Mama! Don't bug us!\We'd love to have some roll cake, Ma'am.\Let's discuss this over a snack, okay, Ryunosuke-kun?\Kawabuchi-kun, aren't you coming?\Nah. I'm gonna stay here an' practice a little by myself.\Oh...\Pops...\What are you doin' wearin' a tie on a hot day like today? response:	Oh... I'm in mourning.
context: We'd love to have some roll cake, Ma'am.\Let's discuss this over a snack, okay, Ryunosuke-kun?\Kawabuchi-kun, aren't you coming?\Nah. I'm gonna stay here an' practice a little by myself.\Oh...\Pops...\What are you doin' wearin' a tie on a hot day like today?\Oh... I'm in mourning. response:	For who?
context: Let's discuss this over a snack, okay, Ryunosuke-kun?\Kawabuchi-kun, aren't you coming?\Nah. I'm gonna stay here an' practice a little by myself.\Oh...\Pops...\What are you doin' wearin' a tie on a hot day like today?\Oh... I'm in mourning.\For who? response:	John Coltrane.
context: Kawabuchi-kun, aren't you coming?\Nah. I'm gonna stay here an' practice a little by myself.\Oh...\Pops...\What are you doin' wearin' a tie on a hot day like today?\Oh... I'm in mourning.\For who?\John Coltrane. response:	C-Coltrane died?!
context: Nah. I'm gonna stay here an' practice a little by myself.\Oh...\Pops...\What are you doin' wearin' a tie on a hot day like today?\Oh... I'm in mourning.\For who?\John Coltrane.\C-Coltrane died?! response:	You didn't know? Well, I guess it's only natural
context: Oh...\Pops...\What are you doin' wearin' a tie on a hot day like today?\Oh... I'm in mourning.\For who?\John Coltrane.\C-Coltrane died?!\You didn't know? Well, I guess it's only natural response:	that a rock and roller wouldn't get word of it...
context: Pops...\What are you doin' wearin' a tie on a hot day like today?\Oh... I'm in mourning.\For who?\John Coltrane.\C-Coltrane died?!\You didn't know? Well, I guess it's only natural\that a rock and roller wouldn't get word of it... response:	Please don't bust my chops about that, Pops.
context: What are you doin' wearin' a tie on a hot day like today?\Oh... I'm in mourning.\For who?\John Coltrane.\C-Coltrane died?!\You didn't know? Well, I guess it's only natural\that a rock and roller wouldn't get word of it...\Please don't bust my chops about that, Pops. response:	That aside, have a look in the shop.
context: Oh... I'm in mourning.\For who?\John Coltrane.\C-Coltrane died?!\You didn't know? Well, I guess it's only natural\that a rock and roller wouldn't get word of it...\Please don't bust my chops about that, Pops.\That aside, have a look in the shop. response:	There's a beauty girl in there I've seen around before.
context: For who?\John Coltrane.\C-Coltrane died?!\You didn't know? Well, I guess it's only natural\that a rock and roller wouldn't get word of it...\Please don't bust my chops about that, Pops.\That aside, have a look in the shop.\There's a beauty girl in there I've seen around before. response:	Y-Yurika-san...?
context: John Coltrane.\C-Coltrane died?!\You didn't know? Well, I guess it's only natural\that a rock and roller wouldn't get word of it...\Please don't bust my chops about that, Pops.\That aside, have a look in the shop.\There's a beauty girl in there I've seen around before.\Y-Yurika-san...? response:	Oh my. I haven't seen you in a while, Sentaro-kun...
context: C-Coltrane died?!\You didn't know? Well, I guess it's only natural\that a rock and roller wouldn't get word of it...\Please don't bust my chops about that, Pops.\That aside, have a look in the shop.\There's a beauty girl in there I've seen around before.\Y-Yurika-san...?\Oh my. I haven't seen you in a while, Sentaro-kun... response:	I heard that you're going to be in a rock band for the school festival.
context: You didn't know? Well, I guess it's only natural\that a rock and roller wouldn't get word of it...\Please don't bust my chops about that, Pops.\That aside, have a look in the shop.\There's a beauty girl in there I've seen around before.\Y-Yurika-san...?\Oh my. I haven't seen you in a while, Sentaro-kun...\I heard that you're going to be in a rock band for the school festival. response:	I'm looking forward to it.
context: that a rock and roller wouldn't get word of it...\Please don't bust my chops about that, Pops.\That aside, have a look in the shop.\There's a beauty girl in there I've seen around before.\Y-Yurika-san...?\Oh my. I haven't seen you in a while, Sentaro-kun...\I heard that you're going to be in a rock band for the school festival.\I'm looking forward to it. response:	Yurika-san... Chet Baker...
context: Please don't bust my chops about that, Pops.\That aside, have a look in the shop.\There's a beauty girl in there I've seen around before.\Y-Yurika-san...?\Oh my. I haven't seen you in a while, Sentaro-kun...\I heard that you're going to be in a rock band for the school festival.\I'm looking forward to it.\Yurika-san... Chet Baker... response:	If you're interested, wanna hear it?
context: That aside, have a look in the shop.\There's a beauty girl in there I've seen around before.\Y-Yurika-san...?\Oh my. I haven't seen you in a while, Sentaro-kun...\I heard that you're going to be in a rock band for the school festival.\I'm looking forward to it.\Yurika-san... Chet Baker...\If you're interested, wanna hear it? response:	Sentaro-kun... I...
context: There's a beauty girl in there I've seen around before.\Y-Yurika-san...?\Oh my. I haven't seen you in a while, Sentaro-kun...\I heard that you're going to be in a rock band for the school festival.\I'm looking forward to it.\Yurika-san... Chet Baker...\If you're interested, wanna hear it?\Sentaro-kun... I... response:	Please... don't say anythin'.
context: Y-Yurika-san...?\Oh my. I haven't seen you in a while, Sentaro-kun...\I heard that you're going to be in a rock band for the school festival.\I'm looking forward to it.\Yurika-san... Chet Baker...\If you're interested, wanna hear it?\Sentaro-kun... I...\Please... don't say anythin'. response:	I can't...
context: Oh my. I haven't seen you in a while, Sentaro-kun...\I heard that you're going to be in a rock band for the school festival.\I'm looking forward to it.\Yurika-san... Chet Baker...\If you're interested, wanna hear it?\Sentaro-kun... I...\Please... don't say anythin'.\I can't... response:	Because... I...
context: I heard that you're going to be in a rock band for the school festival.\I'm looking forward to it.\Yurika-san... Chet Baker...\If you're interested, wanna hear it?\Sentaro-kun... I...\Please... don't say anythin'.\I can't...\Because... I... response:	W-Who's down there?!
context: I'm looking forward to it.\Yurika-san... Chet Baker...\If you're interested, wanna hear it?\Sentaro-kun... I...\Please... don't say anythin'.\I can't...\Because... I...\W-Who's down there?! response:	Oh, sorry. Didn't mean to interrupt, Sen-boy.
context: Yurika-san... Chet Baker...\If you're interested, wanna hear it?\Sentaro-kun... I...\Please... don't say anythin'.\I can't...\Because... I...\W-Who's down there?!\Oh, sorry. Didn't mean to interrupt, Sen-boy. response:	Brother... Jun...?
context: If you're interested, wanna hear it?\Sentaro-kun... I...\Please... don't say anythin'.\I can't...\Because... I...\W-Who's down there?!\Oh, sorry. Didn't mean to interrupt, Sen-boy.\Brother... Jun...? response:	Don't pay no attention to me. Go on with what you were doing.
context: Sentaro-kun... I...\Please... don't say anythin'.\I can't...\Because... I...\W-Who's down there?!\Oh, sorry. Didn't mean to interrupt, Sen-boy.\Brother... Jun...?\Don't pay no attention to me. Go on with what you were doing. response:	Dammit! I forgot to tell him about Junichi!
context: Please... don't say anythin'.\I can't...\Because... I...\W-Who's down there?!\Oh, sorry. Didn't mean to interrupt, Sen-boy.\Brother... Jun...?\Don't pay no attention to me. Go on with what you were doing.\Dammit! I forgot to tell him about Junichi! response:	Yurika-san!
