context: TSUMUGU KINAGASE response:	What do you want?
context: I guess that wraps it up.\Thanks, Ryuko!\You can change the size of your scissor now, too!\Pretty much. It's no big deal.\Your blood has been salty lately.\Don't you think you're getting a little cocky?\You can tell that from how my blood tastes?\I can immediately spot any change in your physiology. response:	Everything from your weight to your BMI.
context: Thanks, Ryuko!\You can change the size of your scissor now, too!\Pretty much. It's no big deal.\Your blood has been salty lately.\Don't you think you're getting a little cocky?\You can tell that from how my blood tastes?\I can immediately spot any change in your physiology.\Everything from your weight to your BMI. response:	Butt out of private stuff like that!
context: You can change the size of your scissor now, too!\Pretty much. It's no big deal.\Your blood has been salty lately.\Don't you think you're getting a little cocky?\You can tell that from how my blood tastes?\I can immediately spot any change in your physiology.\Everything from your weight to your BMI.\Butt out of private stuff like that! response:	You've been eating too many of those croquettes, Ryuko.
context: Pretty much. It's no big deal.\Your blood has been salty lately.\Don't you think you're getting a little cocky?\You can tell that from how my blood tastes?\I can immediately spot any change in your physiology.\Everything from your weight to your BMI.\Butt out of private stuff like that!\You've been eating too many of those croquettes, Ryuko. response:	No, that's called butting in where you're not wanted!
context: Your blood has been salty lately.\Don't you think you're getting a little cocky?\You can tell that from how my blood tastes?\I can immediately spot any change in your physiology.\Everything from your weight to your BMI.\Butt out of private stuff like that!\You've been eating too many of those croquettes, Ryuko.\No, that's called butting in where you're not wanted! response:	I can't waste my time on chumps like these guys!
context: Don't you think you're getting a little cocky?\You can tell that from how my blood tastes?\I can immediately spot any change in your physiology.\Everything from your weight to your BMI.\Butt out of private stuff like that!\You've been eating too many of those croquettes, Ryuko.\No, that's called butting in where you're not wanted!\I can't waste my time on chumps like these guys! response:	Calm yourself.
context: You can tell that from how my blood tastes?\I can immediately spot any change in your physiology.\Everything from your weight to your BMI.\Butt out of private stuff like that!\You've been eating too many of those croquettes, Ryuko.\No, that's called butting in where you're not wanted!\I can't waste my time on chumps like these guys!\Calm yourself. response:	Impatience is bad for you. As is greasy food.
context: I can immediately spot any change in your physiology.\Everything from your weight to your BMI.\Butt out of private stuff like that!\You've been eating too many of those croquettes, Ryuko.\No, that's called butting in where you're not wanted!\I can't waste my time on chumps like these guys!\Calm yourself.\Impatience is bad for you. As is greasy food. response:	Give it a rest, damn it! Wipe that smug look off your face!
context: Everything from your weight to your BMI.\Butt out of private stuff like that!\You've been eating too many of those croquettes, Ryuko.\No, that's called butting in where you're not wanted!\I can't waste my time on chumps like these guys!\Calm yourself.\Impatience is bad for you. As is greasy food.\Give it a rest, damn it! Wipe that smug look off your face! response:	I'm incapable of having a smug look on my face.
context: Butt out of private stuff like that!\You've been eating too many of those croquettes, Ryuko.\No, that's called butting in where you're not wanted!\I can't waste my time on chumps like these guys!\Calm yourself.\Impatience is bad for you. As is greasy food.\Give it a rest, damn it! Wipe that smug look off your face!\I'm incapable of having a smug look on my face. response:	Because I don't have one.
context: You've been eating too many of those croquettes, Ryuko.\No, that's called butting in where you're not wanted!\I can't waste my time on chumps like these guys!\Calm yourself.\Impatience is bad for you. As is greasy food.\Give it a rest, damn it! Wipe that smug look off your face!\I'm incapable of having a smug look on my face.\Because I don't have one. response:	Quit nitpicking every little thing I say!
context: No, that's called butting in where you're not wanted!\I can't waste my time on chumps like these guys!\Calm yourself.\Impatience is bad for you. As is greasy food.\Give it a rest, damn it! Wipe that smug look off your face!\I'm incapable of having a smug look on my face.\Because I don't have one.\Quit nitpicking every little thing I say! response:	Wow, that's amazing!
context: I can't waste my time on chumps like these guys!\Calm yourself.\Impatience is bad for you. As is greasy food.\Give it a rest, damn it! Wipe that smug look off your face!\I'm incapable of having a smug look on my face.\Because I don't have one.\Quit nitpicking every little thing I say!\Wow, that's amazing! response:	You're doing a comedy duo act all by yourself!
context: Calm yourself.\Impatience is bad for you. As is greasy food.\Give it a rest, damn it! Wipe that smug look off your face!\I'm incapable of having a smug look on my face.\Because I don't have one.\Quit nitpicking every little thing I say!\Wow, that's amazing!\You're doing a comedy duo act all by yourself! response:	Oh, you were talking to Senketsu, weren't you?
context: Impatience is bad for you. As is greasy food.\Give it a rest, damn it! Wipe that smug look off your face!\I'm incapable of having a smug look on my face.\Because I don't have one.\Quit nitpicking every little thing I say!\Wow, that's amazing!\You're doing a comedy duo act all by yourself!\Oh, you were talking to Senketsu, weren't you? response:	Sorry, sorry!
context: Give it a rest, damn it! Wipe that smug look off your face!\I'm incapable of having a smug look on my face.\Because I don't have one.\Quit nitpicking every little thing I say!\Wow, that's amazing!\You're doing a comedy duo act all by yourself!\Oh, you were talking to Senketsu, weren't you?\Sorry, sorry! response:	Still, that was a close call!
context: I'm incapable of having a smug look on my face.\Because I don't have one.\Quit nitpicking every little thing I say!\Wow, that's amazing!\You're doing a comedy duo act all by yourself!\Oh, you were talking to Senketsu, weren't you?\Sorry, sorry!\Still, that was a close call! response:	If they had sliced open my belly, my lunch would have spilled out,
context: Because I don't have one.\Quit nitpicking every little thing I say!\Wow, that's amazing!\You're doing a comedy duo act all by yourself!\Oh, you were talking to Senketsu, weren't you?\Sorry, sorry!\Still, that was a close call!\If they had sliced open my belly, my lunch would have spilled out, response:	and I would've had to eat it all over again!
context: Quit nitpicking every little thing I say!\Wow, that's amazing!\You're doing a comedy duo act all by yourself!\Oh, you were talking to Senketsu, weren't you?\Sorry, sorry!\Still, that was a close call!\If they had sliced open my belly, my lunch would have spilled out,\and I would've had to eat it all over again! response:	Worry about your life more than your lunch.
context: Wow, that's amazing!\You're doing a comedy duo act all by yourself!\Oh, you were talking to Senketsu, weren't you?\Sorry, sorry!\Still, that was a close call!\If they had sliced open my belly, my lunch would have spilled out,\and I would've had to eat it all over again!\Worry about your life more than your lunch. response:	Time to dig in
context: You're doing a comedy duo act all by yourself!\Oh, you were talking to Senketsu, weren't you?\Sorry, sorry!\Still, that was a close call!\If they had sliced open my belly, my lunch would have spilled out,\and I would've had to eat it all over again!\Worry about your life more than your lunch.\Time to dig in response:	You're gonna get fatally wounded one of these days, so
context: Oh, you were talking to Senketsu, weren't you?\Sorry, sorry!\Still, that was a close call!\If they had sliced open my belly, my lunch would have spilled out,\and I would've had to eat it all over again!\Worry about your life more than your lunch.\Time to dig in\You're gonna get fatally wounded one of these days, so response:	Mako!
context: Sorry, sorry!\Still, that was a close call!\If they had sliced open my belly, my lunch would have spilled out,\and I would've had to eat it all over again!\Worry about your life more than your lunch.\Time to dig in\You're gonna get fatally wounded one of these days, so\Mako! response:	Hey, Mako! Say something!
context: Still, that was a close call!\If they had sliced open my belly, my lunch would have spilled out,\and I would've had to eat it all over again!\Worry about your life more than your lunch.\Time to dig in\You're gonna get fatally wounded one of these days, so\Mako!\Hey, Mako! Say something! response:	I got her out of our hair for a while.
context: If they had sliced open my belly, my lunch would have spilled out,\and I would've had to eat it all over again!\Worry about your life more than your lunch.\Time to dig in\You're gonna get fatally wounded one of these days, so\Mako!\Hey, Mako! Say something!\I got her out of our hair for a while. response:	She is unharmed.
context: and I would've had to eat it all over again!\Worry about your life more than your lunch.\Time to dig in\You're gonna get fatally wounded one of these days, so\Mako!\Hey, Mako! Say something!\I got her out of our hair for a while.\She is unharmed. response:	Thanks to the effects of the needles, when she wakes up
context: Worry about your life more than your lunch.\Time to dig in\You're gonna get fatally wounded one of these days, so\Mako!\Hey, Mako! Say something!\I got her out of our hair for a while.\She is unharmed.\Thanks to the effects of the needles, when she wakes up response:	any fatigue she had will be alleviated, any sickness cured,
context: Time to dig in\You're gonna get fatally wounded one of these days, so\Mako!\Hey, Mako! Say something!\I got her out of our hair for a while.\She is unharmed.\Thanks to the effects of the needles, when she wakes up\any fatigue she had will be alleviated, any sickness cured, response:	and she will be full of vim and vigor.
context: You're gonna get fatally wounded one of these days, so\Mako!\Hey, Mako! Say something!\I got her out of our hair for a while.\She is unharmed.\Thanks to the effects of the needles, when she wakes up\any fatigue she had will be alleviated, any sickness cured,\and she will be full of vim and vigor. response:	Oh. Thanks for that.
context: Mako!\Hey, Mako! Say something!\I got her out of our hair for a while.\She is unharmed.\Thanks to the effects of the needles, when she wakes up\any fatigue she had will be alleviated, any sickness cured,\and she will be full of vim and vigor.\Oh. Thanks for that. response:	Your uniform, however, will get no mercy!
context: Hey, Mako! Say something!\I got her out of our hair for a while.\She is unharmed.\Thanks to the effects of the needles, when she wakes up\any fatigue she had will be alleviated, any sickness cured,\and she will be full of vim and vigor.\Oh. Thanks for that.\Your uniform, however, will get no mercy! response:	Run, Ryuko!
context: I got her out of our hair for a while.\She is unharmed.\Thanks to the effects of the needles, when she wakes up\any fatigue she had will be alleviated, any sickness cured,\and she will be full of vim and vigor.\Oh. Thanks for that.\Your uniform, however, will get no mercy!\Run, Ryuko! response:	You bastard, what club do you belong to?
context: She is unharmed.\Thanks to the effects of the needles, when she wakes up\any fatigue she had will be alleviated, any sickness cured,\and she will be full of vim and vigor.\Oh. Thanks for that.\Your uniform, however, will get no mercy!\Run, Ryuko!\You bastard, what club do you belong to? response:	Take off your clothes.
context: Thanks to the effects of the needles, when she wakes up\any fatigue she had will be alleviated, any sickness cured,\and she will be full of vim and vigor.\Oh. Thanks for that.\Your uniform, however, will get no mercy!\Run, Ryuko!\You bastard, what club do you belong to?\Take off your clothes. response:	Huh? What kind of thing is that to say?!
context: any fatigue she had will be alleviated, any sickness cured,\and she will be full of vim and vigor.\Oh. Thanks for that.\Your uniform, however, will get no mercy!\Run, Ryuko!\You bastard, what club do you belong to?\Take off your clothes.\Huh? What kind of thing is that to say?! response:	I know, you're from the Pervert Club! You're from the Pervert Club, aren't you?
context: and she will be full of vim and vigor.\Oh. Thanks for that.\Your uniform, however, will get no mercy!\Run, Ryuko!\You bastard, what club do you belong to?\Take off your clothes.\Huh? What kind of thing is that to say?!\I know, you're from the Pervert Club! You're from the Pervert Club, aren't you? response:	The way you're built, you've GOT to be in the Pervert Club.
context: Oh. Thanks for that.\Your uniform, however, will get no mercy!\Run, Ryuko!\You bastard, what club do you belong to?\Take off your clothes.\Huh? What kind of thing is that to say?!\I know, you're from the Pervert Club! You're from the Pervert Club, aren't you?\The way you're built, you've GOT to be in the Pervert Club. response:	Let me tell you two useful pieces of information.
context: Your uniform, however, will get no mercy!\Run, Ryuko!\You bastard, what club do you belong to?\Take off your clothes.\Huh? What kind of thing is that to say?!\I know, you're from the Pervert Club! You're from the Pervert Club, aren't you?\The way you're built, you've GOT to be in the Pervert Club.\Let me tell you two useful pieces of information. response:	One: I'm not a pervert.
context: Run, Ryuko!\You bastard, what club do you belong to?\Take off your clothes.\Huh? What kind of thing is that to say?!\I know, you're from the Pervert Club! You're from the Pervert Club, aren't you?\The way you're built, you've GOT to be in the Pervert Club.\Let me tell you two useful pieces of information.\One: I'm not a pervert. response:	Keep telling yourself that, pervert!
context: You bastard, what club do you belong to?\Take off your clothes.\Huh? What kind of thing is that to say?!\I know, you're from the Pervert Club! You're from the Pervert Club, aren't you?\The way you're built, you've GOT to be in the Pervert Club.\Let me tell you two useful pieces of information.\One: I'm not a pervert.\Keep telling yourself that, pervert! response:	Two: You are unable to transform in front of me.
context: Take off your clothes.\Huh? What kind of thing is that to say?!\I know, you're from the Pervert Club! You're from the Pervert Club, aren't you?\The way you're built, you've GOT to be in the Pervert Club.\Let me tell you two useful pieces of information.\One: I'm not a pervert.\Keep telling yourself that, pervert!\Two: You are unable to transform in front of me. response:	If I fire at this range, you'll die. Take off your clothes.
context: Huh? What kind of thing is that to say?!\I know, you're from the Pervert Club! You're from the Pervert Club, aren't you?\The way you're built, you've GOT to be in the Pervert Club.\Let me tell you two useful pieces of information.\One: I'm not a pervert.\Keep telling yourself that, pervert!\Two: You are unable to transform in front of me.\If I fire at this range, you'll die. Take off your clothes. response:	You leave me no choice, then.
context: I know, you're from the Pervert Club! You're from the Pervert Club, aren't you?\The way you're built, you've GOT to be in the Pervert Club.\Let me tell you two useful pieces of information.\One: I'm not a pervert.\Keep telling yourself that, pervert!\Two: You are unable to transform in front of me.\If I fire at this range, you'll die. Take off your clothes.\You leave me no choice, then. response:	Come back here, damn it!
context: The way you're built, you've GOT to be in the Pervert Club.\Let me tell you two useful pieces of information.\One: I'm not a pervert.\Keep telling yourself that, pervert!\Two: You are unable to transform in front of me.\If I fire at this range, you'll die. Take off your clothes.\You leave me no choice, then.\Come back here, damn it! response:	I'll be back... to strip you tomorrow.
context: Let me tell you two useful pieces of information.\One: I'm not a pervert.\Keep telling yourself that, pervert!\Two: You are unable to transform in front of me.\If I fire at this range, you'll die. Take off your clothes.\You leave me no choice, then.\Come back here, damn it!\I'll be back... to strip you tomorrow. response:	I hate being interrupted.
context: One: I'm not a pervert.\Keep telling yourself that, pervert!\Two: You are unable to transform in front of me.\If I fire at this range, you'll die. Take off your clothes.\You leave me no choice, then.\Come back here, damn it!\I'll be back... to strip you tomorrow.\I hate being interrupted. response:	That's what you wanted to say, right, Tsumugu?
context: Keep telling yourself that, pervert!\Two: You are unable to transform in front of me.\If I fire at this range, you'll die. Take off your clothes.\You leave me no choice, then.\Come back here, damn it!\I'll be back... to strip you tomorrow.\I hate being interrupted.\That's what you wanted to say, right, Tsumugu? response:	Why did you call me?
context: Two: You are unable to transform in front of me.\If I fire at this range, you'll die. Take off your clothes.\You leave me no choice, then.\Come back here, damn it!\I'll be back... to strip you tomorrow.\I hate being interrupted.\That's what you wanted to say, right, Tsumugu?\Why did you call me? response:	Pull up a seat! The Kiryuins don't have eyes down here.
context: If I fire at this range, you'll die. Take off your clothes.\You leave me no choice, then.\Come back here, damn it!\I'll be back... to strip you tomorrow.\I hate being interrupted.\That's what you wanted to say, right, Tsumugu?\Why did you call me?\Pull up a seat! The Kiryuins don't have eyes down here. response:	Why did you call me?
context: You leave me no choice, then.\Come back here, damn it!\I'll be back... to strip you tomorrow.\I hate being interrupted.\That's what you wanted to say, right, Tsumugu?\Why did you call me?\Pull up a seat! The Kiryuins don't have eyes down here.\Why did you call me? response:	Leave Matoi alone.
context: Come back here, damn it!\I'll be back... to strip you tomorrow.\I hate being interrupted.\That's what you wanted to say, right, Tsumugu?\Why did you call me?\Pull up a seat! The Kiryuins don't have eyes down here.\Why did you call me?\Leave Matoi alone. response:	This is a crucial period.
context: I'll be back... to strip you tomorrow.\I hate being interrupted.\That's what you wanted to say, right, Tsumugu?\Why did you call me?\Pull up a seat! The Kiryuins don't have eyes down here.\Why did you call me?\Leave Matoi alone.\This is a crucial period. response:	I can't do that.
context: I hate being interrupted.\That's what you wanted to say, right, Tsumugu?\Why did you call me?\Pull up a seat! The Kiryuins don't have eyes down here.\Why did you call me?\Leave Matoi alone.\This is a crucial period.\I can't do that. response:	Satsuki Kiryuin's national school conquest
context: That's what you wanted to say, right, Tsumugu?\Why did you call me?\Pull up a seat! The Kiryuins don't have eyes down here.\Why did you call me?\Leave Matoi alone.\This is a crucial period.\I can't do that.\Satsuki Kiryuin's national school conquest response:	is complete, except for Kansai.
context: Why did you call me?\Pull up a seat! The Kiryuins don't have eyes down here.\Why did you call me?\Leave Matoi alone.\This is a crucial period.\I can't do that.\Satsuki Kiryuin's national school conquest\is complete, except for Kansai. response:	Thwart the ambitions of the Kiryuins by using the Kamui.
context: Pull up a seat! The Kiryuins don't have eyes down here.\Why did you call me?\Leave Matoi alone.\This is a crucial period.\I can't do that.\Satsuki Kiryuin's national school conquest\is complete, except for Kansai.\Thwart the ambitions of the Kiryuins by using the Kamui. response:	That was Dr. Matoi's goal, and that's
context: Why did you call me?\Leave Matoi alone.\This is a crucial period.\I can't do that.\Satsuki Kiryuin's national school conquest\is complete, except for Kansai.\Thwart the ambitions of the Kiryuins by using the Kamui.\That was Dr. Matoi's goal, and that's response:	the path that we of Nudist Beach have chosen.
context: Leave Matoi alone.\This is a crucial period.\I can't do that.\Satsuki Kiryuin's national school conquest\is complete, except for Kansai.\Thwart the ambitions of the Kiryuins by using the Kamui.\That was Dr. Matoi's goal, and that's\the path that we of Nudist Beach have chosen. response:	You're interfering with that path.
context: This is a crucial period.\I can't do that.\Satsuki Kiryuin's national school conquest\is complete, except for Kansai.\Thwart the ambitions of the Kiryuins by using the Kamui.\That was Dr. Matoi's goal, and that's\the path that we of Nudist Beach have chosen.\You're interfering with that path. response:	That uniform is too dangerous.
context: I can't do that.\Satsuki Kiryuin's national school conquest\is complete, except for Kansai.\Thwart the ambitions of the Kiryuins by using the Kamui.\That was Dr. Matoi's goal, and that's\the path that we of Nudist Beach have chosen.\You're interfering with that path.\That uniform is too dangerous. response:	What if Matoi proves herself to be a powerful ally?
