context: Five minutes to curtain! response:	What should I name the way I'm feeling right now?
context: Episode 20 - Showtime\Episode 20 - Showtime\Episode 20 - Showtime\Episode 20 - Showtime\Episode 20 - Showtime\Episode 20 - Showtime\Episode 20 - Showtime\Episode 20 - Showtime response:	Episode 20 - Showtime
context: Episode 20 - Showtime\Episode 20 - Showtime\Episode 20 - Showtime\Episode 20 - Showtime\Episode 20 - Showtime\Episode 20 - Showtime\Episode 20 - Showtime\Episode 20 - Showtime response:	Episode 20 - Showtime
context: Episode 20 - Showtime\Episode 20 - Showtime\Episode 20 - Showtime\Episode 20 - Showtime\Episode 20 - Showtime\Episode 20 - Showtime\Episode 20 - Showtime\Episode 20 - Showtime response:	Episode 20 - Showtime
context: Episode 20 - Showtime\Episode 20 - Showtime\Episode 20 - Showtime\Episode 20 - Showtime\Episode 20 - Showtime\Episode 20 - Showtime\Episode 20 - Showtime\Episode 20 - Showtime response:	Episode 20 - Showtime
context: Episode 20 - Showtime\Episode 20 - Showtime\Episode 20 - Showtime\Episode 20 - Showtime\Episode 20 - Showtime\Episode 20 - Showtime\Episode 20 - Showtime\Episode 20 - Showtime response:	Episode 20 - Showtime
context: Episode 20 - Showtime\Episode 20 - Showtime\Episode 20 - Showtime\Episode 20 - Showtime\Episode 20 - Showtime\Episode 20 - Showtime\Episode 20 - Showtime\Episode 20 - Showtime response:	Episode 20 - Showtime
context: Episode 20 - Showtime\Episode 20 - Showtime\Episode 20 - Showtime\Episode 20 - Showtime\Episode 20 - Showtime\Episode 20 - Showtime\Episode 20 - Showtime\Episode 20 - Showtime response:	Episode 20 - Showtime
context: Episode 20 - Showtime\Episode 20 - Showtime\Episode 20 - Showtime\Episode 20 - Showtime\Episode 20 - Showtime\Episode 20 - Showtime\Episode 20 - Showtime\Episode 20 - Showtime response:	Episode 20 - Showtime
context: Episode 20 - Showtime\Episode 20 - Showtime\Episode 20 - Showtime\Episode 20 - Showtime\Episode 20 - Showtime\Episode 20 - Showtime\Episode 20 - Showtime\Episode 20 - Showtime response:	Episode 20 - Showtime
context: Episode 20 - Showtime\Episode 20 - Showtime\Episode 20 - Showtime\Episode 20 - Showtime\Episode 20 - Showtime\Episode 20 - Showtime\Episode 20 - Showtime\Episode 20 - Showtime response:	Episode 20 - Showtime
context: Episode 20 - Showtime\Episode 20 - Showtime\Episode 20 - Showtime\Episode 20 - Showtime\Episode 20 - Showtime\Episode 20 - Showtime\Episode 20 - Showtime\Episode 20 - Showtime response:	Episode 20 - Showtime
context: Episode 20 - Showtime\Episode 20 - Showtime\Episode 20 - Showtime\Episode 20 - Showtime\Episode 20 - Showtime\Episode 20 - Showtime\Episode 20 - Showtime\Episode 20 - Showtime response:	Episode 20 - Showtime
context: Episode 20 - Showtime\Episode 20 - Showtime\Episode 20 - Showtime\Episode 20 - Showtime\Episode 20 - Showtime\Episode 20 - Showtime\Episode 20 - Showtime\Episode 20 - Showtime response:	Episode 20 - Showtime
context: Episode 20 - Showtime\Episode 20 - Showtime\Episode 20 - Showtime\Episode 20 - Showtime\Episode 20 - Showtime\Episode 20 - Showtime\Episode 20 - Showtime\Episode 20 - Showtime response:	Episode 20 - Showtime
context: Episode 20 - Showtime\Episode 20 - Showtime\Episode 20 - Showtime\Episode 20 - Showtime\Episode 20 - Showtime\Episode 20 - Showtime\Episode 20 - Showtime\Episode 20 - Showtime response:	Episode 20 - Showtime
context: Episode 20 - Showtime\Episode 20 - Showtime\Episode 20 - Showtime\Episode 20 - Showtime\Episode 20 - Showtime\Episode 20 - Showtime\Episode 20 - Showtime\Episode 20 - Showtime response:	Episode 20 - Showtime
context: Episode 20 - Showtime\Episode 20 - Showtime\Episode 20 - Showtime\Episode 20 - Showtime\Episode 20 - Showtime\Episode 20 - Showtime\Episode 20 - Showtime\Episode 20 - Showtime response:	Episode 20 - Showtime
context: Episode 20 - Showtime\Episode 20 - Showtime\Episode 20 - Showtime\Episode 20 - Showtime\Episode 20 - Showtime\Episode 20 - Showtime\Episode 20 - Showtime\Episode 20 - Showtime response:	Episode 20 - Showtime
context: Episode 20 - Showtime\Episode 20 - Showtime\Episode 20 - Showtime\Episode 20 - Showtime\Episode 20 - Showtime\Episode 20 - Showtime\Episode 20 - Showtime\Episode 20 - Showtime response:	Episode 20 - Showtime
context: Episode 20 - Showtime\Episode 20 - Showtime\Episode 20 - Showtime\Episode 20 - Showtime\Episode 20 - Showtime\Episode 20 - Showtime\Episode 20 - Showtime\Episode 20 - Showtime response:	Episode 20 - Showtime
context: Episode 20 - Showtime\Episode 20 - Showtime\Episode 20 - Showtime\Episode 20 - Showtime\Episode 20 - Showtime\Episode 20 - Showtime\Episode 20 - Showtime\Episode 20 - Showtime response:	Episode 20 - Showtime
context: Episode 20 - Showtime\Episode 20 - Showtime\Episode 20 - Showtime\Episode 20 - Showtime\Episode 20 - Showtime\Episode 20 - Showtime\Episode 20 - Showtime\Episode 20 - Showtime response:	Episode 20 - Showtime
context: Episode 20 - Showtime\Episode 20 - Showtime\Episode 20 - Showtime\Episode 20 - Showtime\Episode 20 - Showtime\Episode 20 - Showtime\Episode 20 - Showtime\Episode 20 - Showtime response:	Episode 20 - Showtime
context: Episode 20 - Showtime\Episode 20 - Showtime\Episode 20 - Showtime\Episode 20 - Showtime\Episode 20 - Showtime\Episode 20 - Showtime\Episode 20 - Showtime\Episode 20 - Showtime response:	Episode 20 - Showtime
context: Episode 20 - Showtime\Episode 20 - Showtime\Episode 20 - Showtime\Episode 20 - Showtime\Episode 20 - Showtime\Episode 20 - Showtime\Episode 20 - Showtime\Episode 20 - Showtime response:	Episode 20 - Showtime
context: Episode 20 - Showtime\Episode 20 - Showtime\Episode 20 - Showtime\Episode 20 - Showtime\Episode 20 - Showtime\Episode 20 - Showtime\Episode 20 - Showtime\Episode 20 - Showtime response:	Episode 20 - Showtime
context: Episode 20 - Showtime\Episode 20 - Showtime\Episode 20 - Showtime\Episode 20 - Showtime\Episode 20 - Showtime\Episode 20 - Showtime\Episode 20 - Showtime\Episode 20 - Showtime response:	Episode 20 - Showtime
context: Episode 20 - Showtime\Episode 20 - Showtime\Episode 20 - Showtime\Episode 20 - Showtime\Episode 20 - Showtime\Episode 20 - Showtime\Episode 20 - Showtime\Episode 20 - Showtime response:	Episode 20 - Showtime
context: Episode 20 - Showtime\Episode 20 - Showtime\Episode 20 - Showtime\Episode 20 - Showtime\Episode 20 - Showtime\Episode 20 - Showtime\Episode 20 - Showtime\Episode 20 - Showtime response:	Episode 20 - Showtime
context: Episode 20 - Showtime\Episode 20 - Showtime\Episode 20 - Showtime\Episode 20 - Showtime\Episode 20 - Showtime\Episode 20 - Showtime\Episode 20 - Showtime\Episode 20 - Showtime response:	Episode 20 - Showtime
context: Episode 20 - Showtime\Episode 20 - Showtime\Episode 20 - Showtime\Episode 20 - Showtime\Episode 20 - Showtime\Episode 20 - Showtime\Episode 20 - Showtime\Episode 20 - Showtime response:	Episode 20 - Showtime
context: Episode 20 - Showtime\Episode 20 - Showtime\Episode 20 - Showtime\Episode 20 - Showtime\Episode 20 - Showtime\Episode 20 - Showtime\Episode 20 - Showtime\Episode 20 - Showtime response:	Episode 20 - Showtime
context: Episode 20 - Showtime\Episode 20 - Showtime\Episode 20 - Showtime\Episode 20 - Showtime\Episode 20 - Showtime\Episode 20 - Showtime\Episode 20 - Showtime\Episode 20 - Showtime response:	Ladies and gentlemen, thank you for your patience.
context: Episode 20 - Showtime\Episode 20 - Showtime\Episode 20 - Showtime\Episode 20 - Showtime\Episode 20 - Showtime\Episode 20 - Showtime\Episode 20 - Showtime\Ladies and gentlemen, thank you for your patience. response:	The next program will be a play performed by Class 1-C...
context: Episode 20 - Showtime\Episode 20 - Showtime\Episode 20 - Showtime\Episode 20 - Showtime\Episode 20 - Showtime\Episode 20 - Showtime\Ladies and gentlemen, thank you for your patience.\The next program will be a play performed by Class 1-C... response:	Romeo and Juliet!
context: Episode 20 - Showtime\Episode 20 - Showtime\Episode 20 - Showtime\Episode 20 - Showtime\Episode 20 - Showtime\Ladies and gentlemen, thank you for your patience.\The next program will be a play performed by Class 1-C...\Romeo and Juliet! response:	The story we're about to tell is a tragic love story.
context: Episode 20 - Showtime\Episode 20 - Showtime\Episode 20 - Showtime\Episode 20 - Showtime\Ladies and gentlemen, thank you for your patience.\The next program will be a play performed by Class 1-C...\Romeo and Juliet!\The story we're about to tell is a tragic love story. response:	Two families, locked in a deadly feud...
context: Episode 20 - Showtime\Episode 20 - Showtime\Episode 20 - Showtime\Ladies and gentlemen, thank you for your patience.\The next program will be a play performed by Class 1-C...\Romeo and Juliet!\The story we're about to tell is a tragic love story.\Two families, locked in a deadly feud... response:	The Montagues and the Capulets.
context: Episode 20 - Showtime\Episode 20 - Showtime\Ladies and gentlemen, thank you for your patience.\The next program will be a play performed by Class 1-C...\Romeo and Juliet!\The story we're about to tell is a tragic love story.\Two families, locked in a deadly feud...\The Montagues and the Capulets. response:	Young Master!
context: Episode 20 - Showtime\Ladies and gentlemen, thank you for your patience.\The next program will be a play performed by Class 1-C...\Romeo and Juliet!\The story we're about to tell is a tragic love story.\Two families, locked in a deadly feud...\The Montagues and the Capulets.\Young Master! response:	Mistress!
context: Ladies and gentlemen, thank you for your patience.\The next program will be a play performed by Class 1-C...\Romeo and Juliet!\The story we're about to tell is a tragic love story.\Two families, locked in a deadly feud...\The Montagues and the Capulets.\Young Master!\Mistress! response:	Born into these families, Romeo and Juliet,
context: The next program will be a play performed by Class 1-C...\Romeo and Juliet!\The story we're about to tell is a tragic love story.\Two families, locked in a deadly feud...\The Montagues and the Capulets.\Young Master!\Mistress!\Born into these families, Romeo and Juliet, response:	in a cruel twist of fate, happen to fall in love!
context: Romeo and Juliet!\The story we're about to tell is a tragic love story.\Two families, locked in a deadly feud...\The Montagues and the Capulets.\Young Master!\Mistress!\Born into these families, Romeo and Juliet,\in a cruel twist of fate, happen to fall in love! response:	O Romeo, why do our parents fight with such bitter hatred?
context: The story we're about to tell is a tragic love story.\Two families, locked in a deadly feud...\The Montagues and the Capulets.\Young Master!\Mistress!\Born into these families, Romeo and Juliet,\in a cruel twist of fate, happen to fall in love!\O Romeo, why do our parents fight with such bitter hatred? response:	Normally, I'm sure that like us, they could take each other by the hand, and love one another.
context: Two families, locked in a deadly feud...\The Montagues and the Capulets.\Young Master!\Mistress!\Born into these families, Romeo and Juliet,\in a cruel twist of fate, happen to fall in love!\O Romeo, why do our parents fight with such bitter hatred?\Normally, I'm sure that like us, they could take each other by the hand, and love one another. response:	If they could only understand half of my love for you, Romeo-sama, I'm sure...
context: The Montagues and the Capulets.\Young Master!\Mistress!\Born into these families, Romeo and Juliet,\in a cruel twist of fate, happen to fall in love!\O Romeo, why do our parents fight with such bitter hatred?\Normally, I'm sure that like us, they could take each other by the hand, and love one another.\If they could only understand half of my love for you, Romeo-sama, I'm sure... response:	Amazing. All she did was look over the script a minute ago.
context: Young Master!\Mistress!\Born into these families, Romeo and Juliet,\in a cruel twist of fate, happen to fall in love!\O Romeo, why do our parents fight with such bitter hatred?\Normally, I'm sure that like us, they could take each other by the hand, and love one another.\If they could only understand half of my love for you, Romeo-sama, I'm sure...\Amazing. All she did was look over the script a minute ago. response:	She's definitely...
context: Mistress!\Born into these families, Romeo and Juliet,\in a cruel twist of fate, happen to fall in love!\O Romeo, why do our parents fight with such bitter hatred?\Normally, I'm sure that like us, they could take each other by the hand, and love one another.\If they could only understand half of my love for you, Romeo-sama, I'm sure...\Amazing. All she did was look over the script a minute ago.\She's definitely... response:	What was my next line, Romeo-sama?
context: Born into these families, Romeo and Juliet,\in a cruel twist of fate, happen to fall in love!\O Romeo, why do our parents fight with such bitter hatred?\Normally, I'm sure that like us, they could take each other by the hand, and love one another.\If they could only understand half of my love for you, Romeo-sama, I'm sure...\Amazing. All she did was look over the script a minute ago.\She's definitely...\What was my next line, Romeo-sama? response:	Hey, come on, Juliet!
context: in a cruel twist of fate, happen to fall in love!\O Romeo, why do our parents fight with such bitter hatred?\Normally, I'm sure that like us, they could take each other by the hand, and love one another.\If they could only understand half of my love for you, Romeo-sama, I'm sure...\Amazing. All she did was look over the script a minute ago.\She's definitely...\What was my next line, Romeo-sama?\Hey, come on, Juliet! response:	That's a crucial line!
context: O Romeo, why do our parents fight with such bitter hatred?\Normally, I'm sure that like us, they could take each other by the hand, and love one another.\If they could only understand half of my love for you, Romeo-sama, I'm sure...\Amazing. All she did was look over the script a minute ago.\She's definitely...\What was my next line, Romeo-sama?\Hey, come on, Juliet!\That's a crucial line! response:	Well, what can I do? I have to start off with such tedious lines!
context: Normally, I'm sure that like us, they could take each other by the hand, and love one another.\If they could only understand half of my love for you, Romeo-sama, I'm sure...\Amazing. All she did was look over the script a minute ago.\She's definitely...\What was my next line, Romeo-sama?\Hey, come on, Juliet!\That's a crucial line!\Well, what can I do? I have to start off with such tedious lines! response:	How am I supposed to remember them?
context: If they could only understand half of my love for you, Romeo-sama, I'm sure...\Amazing. All she did was look over the script a minute ago.\She's definitely...\What was my next line, Romeo-sama?\Hey, come on, Juliet!\That's a crucial line!\Well, what can I do? I have to start off with such tedious lines!\How am I supposed to remember them? response:	Don't trash the script!
context: Amazing. All she did was look over the script a minute ago.\She's definitely...\What was my next line, Romeo-sama?\Hey, come on, Juliet!\That's a crucial line!\Well, what can I do? I have to start off with such tedious lines!\How am I supposed to remember them?\Don't trash the script! response:	What's going on? Are they allowed to say that?
context: She's definitely...\What was my next line, Romeo-sama?\Hey, come on, Juliet!\That's a crucial line!\Well, what can I do? I have to start off with such tedious lines!\How am I supposed to remember them?\Don't trash the script!\What's going on? Are they allowed to say that? response:	But it's funnier this way, you know!
context: What was my next line, Romeo-sama?\Hey, come on, Juliet!\That's a crucial line!\Well, what can I do? I have to start off with such tedious lines!\How am I supposed to remember them?\Don't trash the script!\What's going on? Are they allowed to say that?\But it's funnier this way, you know! response:	Hey, the crowd loves it!
context: Hey, come on, Juliet!\That's a crucial line!\Well, what can I do? I have to start off with such tedious lines!\How am I supposed to remember them?\Don't trash the script!\What's going on? Are they allowed to say that?\But it's funnier this way, you know!\Hey, the crowd loves it! response:	This just might work out for them!
context: That's a crucial line!\Well, what can I do? I have to start off with such tedious lines!\How am I supposed to remember them?\Don't trash the script!\What's going on? Are they allowed to say that?\But it's funnier this way, you know!\Hey, the crowd loves it!\This just might work out for them! response:	Way to go, Young Master!
context: Well, what can I do? I have to start off with such tedious lines!\How am I supposed to remember them?\Don't trash the script!\What's going on? Are they allowed to say that?\But it's funnier this way, you know!\Hey, the crowd loves it!\This just might work out for them!\Way to go, Young Master! response:	Mistress! Give it all you've got!
context: How am I supposed to remember them?\Don't trash the script!\What's going on? Are they allowed to say that?\But it's funnier this way, you know!\Hey, the crowd loves it!\This just might work out for them!\Way to go, Young Master!\Mistress! Give it all you've got! response:	Whoa! You're the star of the show!
context: Don't trash the script!\What's going on? Are they allowed to say that?\But it's funnier this way, you know!\Hey, the crowd loves it!\This just might work out for them!\Way to go, Young Master!\Mistress! Give it all you've got!\Whoa! You're the star of the show! response:	Young Master, you're a stud!
context: What's going on? Are they allowed to say that?\But it's funnier this way, you know!\Hey, the crowd loves it!\This just might work out for them!\Way to go, Young Master!\Mistress! Give it all you've got!\Whoa! You're the star of the show!\Young Master, you're a stud! response:	We're recording this, all right?
context: But it's funnier this way, you know!\Hey, the crowd loves it!\This just might work out for them!\Way to go, Young Master!\Mistress! Give it all you've got!\Whoa! You're the star of the show!\Young Master, you're a stud!\We're recording this, all right? response:	Those fools! I told them not to come!
context: Hey, the crowd loves it!\This just might work out for them!\Way to go, Young Master!\Mistress! Give it all you've got!\Whoa! You're the star of the show!\Young Master, you're a stud!\We're recording this, all right?\Those fools! I told them not to come! response:	Crap! Now we can't afford to screw this up at all!
context: This just might work out for them!\Way to go, Young Master!\Mistress! Give it all you've got!\Whoa! You're the star of the show!\Young Master, you're a stud!\We're recording this, all right?\Those fools! I told them not to come!\Crap! Now we can't afford to screw this up at all! response:	A-All right, Juliet!
context: Way to go, Young Master!\Mistress! Give it all you've got!\Whoa! You're the star of the show!\Young Master, you're a stud!\We're recording this, all right?\Those fools! I told them not to come!\Crap! Now we can't afford to screw this up at all!\A-All right, Juliet! response:	I get that you're nervous, so let's take it from the top! Okay?
context: Mistress! Give it all you've got!\Whoa! You're the star of the show!\Young Master, you're a stud!\We're recording this, all right?\Those fools! I told them not to come!\Crap! Now we can't afford to screw this up at all!\A-All right, Juliet!\I get that you're nervous, so let's take it from the top! Okay? response:	O-Of course!
context: Whoa! You're the star of the show!\Young Master, you're a stud!\We're recording this, all right?\Those fools! I told them not to come!\Crap! Now we can't afford to screw this up at all!\A-All right, Juliet!\I get that you're nervous, so let's take it from the top! Okay?\O-Of course! response:	Come on, show me the money!
context: Young Master, you're a stud!\We're recording this, all right?\Those fools! I told them not to come!\Crap! Now we can't afford to screw this up at all!\A-All right, Juliet!\I get that you're nervous, so let's take it from the top! Okay?\O-Of course!\Come on, show me the money! response:	Juliet doesn't talk like that!
context: We're recording this, all right?\Those fools! I told them not to come!\Crap! Now we can't afford to screw this up at all!\A-All right, Juliet!\I get that you're nervous, so let's take it from the top! Okay?\O-Of course!\Come on, show me the money!\Juliet doesn't talk like that! response:	Do your best, guys!
context: Those fools! I told them not to come!\Crap! Now we can't afford to screw this up at all!\A-All right, Juliet!\I get that you're nervous, so let's take it from the top! Okay?\O-Of course!\Come on, show me the money!\Juliet doesn't talk like that!\Do your best, guys! response:	Come on! You can do it!
context: Crap! Now we can't afford to screw this up at all!\A-All right, Juliet!\I get that you're nervous, so let's take it from the top! Okay?\O-Of course!\Come on, show me the money!\Juliet doesn't talk like that!\Do your best, guys!\Come on! You can do it! response:	All righty, they're on a roll!
context: A-All right, Juliet!\I get that you're nervous, so let's take it from the top! Okay?\O-Of course!\Come on, show me the money!\Juliet doesn't talk like that!\Do your best, guys!\Come on! You can do it!\All righty, they're on a roll! response:	Romeo is about to sneak out of his mansion.
context: I get that you're nervous, so let's take it from the top! Okay?\O-Of course!\Come on, show me the money!\Juliet doesn't talk like that!\Do your best, guys!\Come on! You can do it!\All righty, they're on a roll!\Romeo is about to sneak out of his mansion. response:	Not heeding the servant who tries to stop him,
context: O-Of course!\Come on, show me the money!\Juliet doesn't talk like that!\Do your best, guys!\Come on! You can do it!\All righty, they're on a roll!\Romeo is about to sneak out of his mansion.\Not heeding the servant who tries to stop him, response:	he is trying to go see Juliet.
context: Come on, show me the money!\Juliet doesn't talk like that!\Do your best, guys!\Come on! You can do it!\All righty, they're on a roll!\Romeo is about to sneak out of his mansion.\Not heeding the servant who tries to stop him,\he is trying to go see Juliet. response:	Are you really going, then?
context: Juliet doesn't talk like that!\Do your best, guys!\Come on! You can do it!\All righty, they're on a roll!\Romeo is about to sneak out of his mansion.\Not heeding the servant who tries to stop him,\he is trying to go see Juliet.\Are you really going, then? response:	The Capulet family is out to kill you.
context: Do your best, guys!\Come on! You can do it!\All righty, they're on a roll!\Romeo is about to sneak out of his mansion.\Not heeding the servant who tries to stop him,\he is trying to go see Juliet.\Are you really going, then?\The Capulet family is out to kill you. response:	No matter how grave the danger, I still must go.
context: Come on! You can do it!\All righty, they're on a roll!\Romeo is about to sneak out of his mansion.\Not heeding the servant who tries to stop him,\he is trying to go see Juliet.\Are you really going, then?\The Capulet family is out to kill you.\No matter how grave the danger, I still must go. response:	Even as we speak, she awaits me on that balcony.
context: All righty, they're on a roll!\Romeo is about to sneak out of his mansion.\Not heeding the servant who tries to stop him,\he is trying to go see Juliet.\Are you really going, then?\The Capulet family is out to kill you.\No matter how grave the danger, I still must go.\Even as we speak, she awaits me on that balcony. response:	Romeo cannot be stopped.
context: Romeo is about to sneak out of his mansion.\Not heeding the servant who tries to stop him,\he is trying to go see Juliet.\Are you really going, then?\The Capulet family is out to kill you.\No matter how grave the danger, I still must go.\Even as we speak, she awaits me on that balcony.\Romeo cannot be stopped. response:	However, it is at this moment that the servant makes a decision.
context: Not heeding the servant who tries to stop him,\he is trying to go see Juliet.\Are you really going, then?\The Capulet family is out to kill you.\No matter how grave the danger, I still must go.\Even as we speak, she awaits me on that balcony.\Romeo cannot be stopped.\However, it is at this moment that the servant makes a decision. response:	The truth is, this servant is in love with Romeo!
context: he is trying to go see Juliet.\Are you really going, then?\The Capulet family is out to kill you.\No matter how grave the danger, I still must go.\Even as we speak, she awaits me on that balcony.\Romeo cannot be stopped.\However, it is at this moment that the servant makes a decision.\The truth is, this servant is in love with Romeo! response:	The servant, believing this to be the last time she'll ever see Romeo alive,
