context: Virus symptoms response:	begin
context: Don't let yourselves be so much as grazed.\I'll take care of Fyodor.\Don't let that gifted out of your sight.\Damn, I can't reach.\Weretiger!\Akutagawa!\Neither the wretched dog nor the weretiger live up to their reputations.\What the hell is that? response:	Go faster than him!
context: I'll take care of Fyodor.\Don't let that gifted out of your sight.\Damn, I can't reach.\Weretiger!\Akutagawa!\Neither the wretched dog nor the weretiger live up to their reputations.\What the hell is that?\Go faster than him! response:	Also, you're an uncomfortable ride.
context: Don't let that gifted out of your sight.\Damn, I can't reach.\Weretiger!\Akutagawa!\Neither the wretched dog nor the weretiger live up to their reputations.\What the hell is that?\Go faster than him!\Also, you're an uncomfortable ride. response:	Shut up.
context: Damn, I can't reach.\Weretiger!\Akutagawa!\Neither the wretched dog nor the weretiger live up to their reputations.\What the hell is that?\Go faster than him!\Also, you're an uncomfortable ride.\Shut up. response:	Left!
context: Weretiger!\Akutagawa!\Neither the wretched dog nor the weretiger live up to their reputations.\What the hell is that?\Go faster than him!\Also, you're an uncomfortable ride.\Shut up.\Left! response:	Right!
context: Akutagawa!\Neither the wretched dog nor the weretiger live up to their reputations.\What the hell is that?\Go faster than him!\Also, you're an uncomfortable ride.\Shut up.\Left!\Right! response:	What?
context: Neither the wretched dog nor the weretiger live up to their reputations.\What the hell is that?\Go faster than him!\Also, you're an uncomfortable ride.\Shut up.\Left!\Right!\What? response:	Forward!
context: What the hell is that?\Go faster than him!\Also, you're an uncomfortable ride.\Shut up.\Left!\Right!\What?\Forward! response:	Don't think. Just run, fool!
context: Go faster than him!\Also, you're an uncomfortable ride.\Shut up.\Left!\Right!\What?\Forward!\Don't think. Just run, fool! response:	Shut up! You're not paying for this ride!
context: Also, you're an uncomfortable ride.\Shut up.\Left!\Right!\What?\Forward!\Don't think. Just run, fool!\Shut up! You're not paying for this ride! response:	Got you!
context: Shut up.\Left!\Right!\What?\Forward!\Don't think. Just run, fool!\Shut up! You're not paying for this ride!\Got you! response:	You're too late.
context: Left!\Right!\What?\Forward!\Don't think. Just run, fool!\Shut up! You're not paying for this ride!\Got you!\You're too late. response:	Weretiger!
context: Right!\What?\Forward!\Don't think. Just run, fool!\Shut up! You're not paying for this ride!\Got you!\You're too late.\Weretiger! response:	What is that?
context: What?\Forward!\Don't think. Just run, fool!\Shut up! You're not paying for this ride!\Got you!\You're too late.\Weretiger!\What is that? response:	Later!
context: Forward!\Don't think. Just run, fool!\Shut up! You're not paying for this ride!\Got you!\You're too late.\Weretiger!\What is that?\Later! response:	He's getting away.
context: Don't think. Just run, fool!\Shut up! You're not paying for this ride!\Got you!\You're too late.\Weretiger!\What is that?\Later!\He's getting away. response:	I'm so blessed.
context: Shut up! You're not paying for this ride!\Got you!\You're too late.\Weretiger!\What is that?\Later!\He's getting away.\I'm so blessed. response:	My master, Fyodor-sama,
context: Got you!\You're too late.\Weretiger!\What is that?\Later!\He's getting away.\I'm so blessed.\My master, Fyodor-sama, response:	has tasked me with something more important than guarding him.
context: You're too late.\Weretiger!\What is that?\Later!\He's getting away.\I'm so blessed.\My master, Fyodor-sama,\has tasked me with something more important than guarding him. response:	Rats in the House of the Dead Agent Ivan G.
context: Weretiger!\What is that?\Later!\He's getting away.\I'm so blessed.\My master, Fyodor-sama,\has tasked me with something more important than guarding him.\Rats in the House of the Dead Agent Ivan G. response:	Special Ability: The Precipice
context: What is that?\Later!\He's getting away.\I'm so blessed.\My master, Fyodor-sama,\has tasked me with something more important than guarding him.\Rats in the House of the Dead Agent Ivan G.\Special Ability: The Precipice response:	Prepare yourself, weretiger.
context: Later!\He's getting away.\I'm so blessed.\My master, Fyodor-sama,\has tasked me with something more important than guarding him.\Rats in the House of the Dead Agent Ivan G.\Special Ability: The Precipice\Prepare yourself, weretiger. response:	We're going to take him down within a minute and go after the tram.
context: He's getting away.\I'm so blessed.\My master, Fyodor-sama,\has tasked me with something more important than guarding him.\Rats in the House of the Dead Agent Ivan G.\Special Ability: The Precipice\Prepare yourself, weretiger.\We're going to take him down within a minute and go after the tram. response:	They're on the move.
context: I'm so blessed.\My master, Fyodor-sama,\has tasked me with something more important than guarding him.\Rats in the House of the Dead Agent Ivan G.\Special Ability: The Precipice\Prepare yourself, weretiger.\We're going to take him down within a minute and go after the tram.\They're on the move. response:	Dazai-san, three cars just left the abandoned mines from the north.
context: My master, Fyodor-sama,\has tasked me with something more important than guarding him.\Rats in the House of the Dead Agent Ivan G.\Special Ability: The Precipice\Prepare yourself, weretiger.\We're going to take him down within a minute and go after the tram.\They're on the move.\Dazai-san, three cars just left the abandoned mines from the north. response:	Contact the surface team and follow them.
context: has tasked me with something more important than guarding him.\Rats in the House of the Dead Agent Ivan G.\Special Ability: The Precipice\Prepare yourself, weretiger.\We're going to take him down within a minute and go after the tram.\They're on the move.\Dazai-san, three cars just left the abandoned mines from the north.\Contact the surface team and follow them. response:	Ignore them.
context: Rats in the House of the Dead Agent Ivan G.\Special Ability: The Precipice\Prepare yourself, weretiger.\We're going to take him down within a minute and go after the tram.\They're on the move.\Dazai-san, three cars just left the abandoned mines from the north.\Contact the surface team and follow them.\Ignore them. response:	Those are decoys meant to slow us down.
context: Special Ability: The Precipice\Prepare yourself, weretiger.\We're going to take him down within a minute and go after the tram.\They're on the move.\Dazai-san, three cars just left the abandoned mines from the north.\Contact the surface team and follow them.\Ignore them.\Those are decoys meant to slow us down. response:	How can you be sure?
context: Prepare yourself, weretiger.\We're going to take him down within a minute and go after the tram.\They're on the move.\Dazai-san, three cars just left the abandoned mines from the north.\Contact the surface team and follow them.\Ignore them.\Those are decoys meant to slow us down.\How can you be sure? response:	Because that's what I would do.
context: We're going to take him down within a minute and go after the tram.\They're on the move.\Dazai-san, three cars just left the abandoned mines from the north.\Contact the surface team and follow them.\Ignore them.\Those are decoys meant to slow us down.\How can you be sure?\Because that's what I would do. response:	Understood.
context: They're on the move.\Dazai-san, three cars just left the abandoned mines from the north.\Contact the surface team and follow them.\Ignore them.\Those are decoys meant to slow us down.\How can you be sure?\Because that's what I would do.\Understood. response:	Tanizaki-san, there's a cargo truck leaving from the west of the mines.
context: Dazai-san, three cars just left the abandoned mines from the north.\Contact the surface team and follow them.\Ignore them.\Those are decoys meant to slow us down.\How can you be sure?\Because that's what I would do.\Understood.\Tanizaki-san, there's a cargo truck leaving from the west of the mines. response:	Is that the one?
context: Contact the surface team and follow them.\Ignore them.\Those are decoys meant to slow us down.\How can you be sure?\Because that's what I would do.\Understood.\Tanizaki-san, there's a cargo truck leaving from the west of the mines.\Is that the one? response:	No, it's not.
context: Ignore them.\Those are decoys meant to slow us down.\How can you be sure?\Because that's what I would do.\Understood.\Tanizaki-san, there's a cargo truck leaving from the west of the mines.\Is that the one?\No, it's not. response:	Ignore that one, too.
context: Those are decoys meant to slow us down.\How can you be sure?\Because that's what I would do.\Understood.\Tanizaki-san, there's a cargo truck leaving from the west of the mines.\Is that the one?\No, it's not.\Ignore that one, too. response:	Now we're seeing several armed soldiers moving to the southeast.
context: How can you be sure?\Because that's what I would do.\Understood.\Tanizaki-san, there's a cargo truck leaving from the west of the mines.\Is that the one?\No, it's not.\Ignore that one, too.\Now we're seeing several armed soldiers moving to the southeast. response:	They're escorting someone in a hood.
context: Because that's what I would do.\Understood.\Tanizaki-san, there's a cargo truck leaving from the west of the mines.\Is that the one?\No, it's not.\Ignore that one, too.\Now we're seeing several armed soldiers moving to the southeast.\They're escorting someone in a hood. response:	Ignore them.
context: Understood.\Tanizaki-san, there's a cargo truck leaving from the west of the mines.\Is that the one?\No, it's not.\Ignore that one, too.\Now we're seeing several armed soldiers moving to the southeast.\They're escorting someone in a hood.\Ignore them. response:	But...
context: Tanizaki-san, there's a cargo truck leaving from the west of the mines.\Is that the one?\No, it's not.\Ignore that one, too.\Now we're seeing several armed soldiers moving to the southeast.\They're escorting someone in a hood.\Ignore them.\But... response:	We're trying to capture a demon.
context: Is that the one?\No, it's not.\Ignore that one, too.\Now we're seeing several armed soldiers moving to the southeast.\They're escorting someone in a hood.\Ignore them.\But...\We're trying to capture a demon. response:	We need every hand we can spare.
context: No, it's not.\Ignore that one, too.\Now we're seeing several armed soldiers moving to the southeast.\They're escorting someone in a hood.\Ignore them.\But...\We're trying to capture a demon.\We need every hand we can spare. response:	Ignore them.
context: Ignore that one, too.\Now we're seeing several armed soldiers moving to the southeast.\They're escorting someone in a hood.\Ignore them.\But...\We're trying to capture a demon.\We need every hand we can spare.\Ignore them. response:	You're wasting your time.
context: Now we're seeing several armed soldiers moving to the southeast.\They're escorting someone in a hood.\Ignore them.\But...\We're trying to capture a demon.\We need every hand we can spare.\Ignore them.\You're wasting your time. response:	My ability is to control earth.
context: They're escorting someone in a hood.\Ignore them.\But...\We're trying to capture a demon.\We need every hand we can spare.\Ignore them.\You're wasting your time.\My ability is to control earth. response:	No amount of cutting or crushing will defeat my stone giant.
context: Ignore them.\But...\We're trying to capture a demon.\We need every hand we can spare.\Ignore them.\You're wasting your time.\My ability is to control earth.\No amount of cutting or crushing will defeat my stone giant. response:	Weretiger!
context: But...\We're trying to capture a demon.\We need every hand we can spare.\Ignore them.\You're wasting your time.\My ability is to control earth.\No amount of cutting or crushing will defeat my stone giant.\Weretiger! response:	Don't forget that you're in the belly of my ability.
context: We're trying to capture a demon.\We need every hand we can spare.\Ignore them.\You're wasting your time.\My ability is to control earth.\No amount of cutting or crushing will defeat my stone giant.\Weretiger!\Don't forget that you're in the belly of my ability. response:	Even the ground you stand on is your enemy.
context: We need every hand we can spare.\Ignore them.\You're wasting your time.\My ability is to control earth.\No amount of cutting or crushing will defeat my stone giant.\Weretiger!\Don't forget that you're in the belly of my ability.\Even the ground you stand on is your enemy. response:	I'm impressed that you survived my blow, man with the ability of the weretiger.
context: Ignore them.\You're wasting your time.\My ability is to control earth.\No amount of cutting or crushing will defeat my stone giant.\Weretiger!\Don't forget that you're in the belly of my ability.\Even the ground you stand on is your enemy.\I'm impressed that you survived my blow, man with the ability of the weretiger. response:	It seems there'll be a lot of pain to be had before my bliss.
context: You're wasting your time.\My ability is to control earth.\No amount of cutting or crushing will defeat my stone giant.\Weretiger!\Don't forget that you're in the belly of my ability.\Even the ground you stand on is your enemy.\I'm impressed that you survived my blow, man with the ability of the weretiger.\It seems there'll be a lot of pain to be had before my bliss. response:	If we can't defeat the stone giant,
context: My ability is to control earth.\No amount of cutting or crushing will defeat my stone giant.\Weretiger!\Don't forget that you're in the belly of my ability.\Even the ground you stand on is your enemy.\I'm impressed that you survived my blow, man with the ability of the weretiger.\It seems there'll be a lot of pain to be had before my bliss.\If we can't defeat the stone giant, response:	we have no choice but to go after the gifted himself.
context: No amount of cutting or crushing will defeat my stone giant.\Weretiger!\Don't forget that you're in the belly of my ability.\Even the ground you stand on is your enemy.\I'm impressed that you survived my blow, man with the ability of the weretiger.\It seems there'll be a lot of pain to be had before my bliss.\If we can't defeat the stone giant,\we have no choice but to go after the gifted himself. response:	But if this ground is in the field of his special ability,
context: Weretiger!\Don't forget that you're in the belly of my ability.\Even the ground you stand on is your enemy.\I'm impressed that you survived my blow, man with the ability of the weretiger.\It seems there'll be a lot of pain to be had before my bliss.\If we can't defeat the stone giant,\we have no choice but to go after the gifted himself.\But if this ground is in the field of his special ability, response:	even getting close will be difficult.
context: Don't forget that you're in the belly of my ability.\Even the ground you stand on is your enemy.\I'm impressed that you survived my blow, man with the ability of the weretiger.\It seems there'll be a lot of pain to be had before my bliss.\If we can't defeat the stone giant,\we have no choice but to go after the gifted himself.\But if this ground is in the field of his special ability,\even getting close will be difficult. response:	Then our only choice...
context: Even the ground you stand on is your enemy.\I'm impressed that you survived my blow, man with the ability of the weretiger.\It seems there'll be a lot of pain to be had before my bliss.\If we can't defeat the stone giant,\we have no choice but to go after the gifted himself.\But if this ground is in the field of his special ability,\even getting close will be difficult.\Then our only choice... response:	Akutagawa.
context: I'm impressed that you survived my blow, man with the ability of the weretiger.\It seems there'll be a lot of pain to be had before my bliss.\If we can't defeat the stone giant,\we have no choice but to go after the gifted himself.\But if this ground is in the field of his special ability,\even getting close will be difficult.\Then our only choice...\Akutagawa. response:	Yeah.
context: It seems there'll be a lot of pain to be had before my bliss.\If we can't defeat the stone giant,\we have no choice but to go after the gifted himself.\But if this ground is in the field of his special ability,\even getting close will be difficult.\Then our only choice...\Akutagawa.\Yeah. response:	Are you thinking what I'm thinking?
context: If we can't defeat the stone giant,\we have no choice but to go after the gifted himself.\But if this ground is in the field of his special ability,\even getting close will be difficult.\Then our only choice...\Akutagawa.\Yeah.\Are you thinking what I'm thinking? response:	Of course.
context: we have no choice but to go after the gifted himself.\But if this ground is in the field of his special ability,\even getting close will be difficult.\Then our only choice...\Akutagawa.\Yeah.\Are you thinking what I'm thinking?\Of course. response:	How many times do you think we've tried to kill each other?
context: But if this ground is in the field of his special ability,\even getting close will be difficult.\Then our only choice...\Akutagawa.\Yeah.\Are you thinking what I'm thinking?\Of course.\How many times do you think we've tried to kill each other? response:	Stay put, sickly man.
context: even getting close will be difficult.\Then our only choice...\Akutagawa.\Yeah.\Are you thinking what I'm thinking?\Of course.\How many times do you think we've tried to kill each other?\Stay put, sickly man. response:	Keep running, fool.
context: Then our only choice...\Akutagawa.\Yeah.\Are you thinking what I'm thinking?\Of course.\How many times do you think we've tried to kill each other?\Stay put, sickly man.\Keep running, fool. response:	Give it up!
context: Akutagawa.\Yeah.\Are you thinking what I'm thinking?\Of course.\How many times do you think we've tried to kill each other?\Stay put, sickly man.\Keep running, fool.\Give it up! response:	What?
context: Yeah.\Are you thinking what I'm thinking?\Of course.\How many times do you think we've tried to kill each other?\Stay put, sickly man.\Keep running, fool.\Give it up!\What? response:	This is...
context: Are you thinking what I'm thinking?\Of course.\How many times do you think we've tried to kill each other?\Stay put, sickly man.\Keep running, fool.\Give it up!\What?\This is... response:	Is he jumping on the black cloth of that ability to avoid touching the earth?
context: Of course.\How many times do you think we've tried to kill each other?\Stay put, sickly man.\Keep running, fool.\Give it up!\What?\This is...\Is he jumping on the black cloth of that ability to avoid touching the earth? response:	I can't tell where he is!
context: How many times do you think we've tried to kill each other?\Stay put, sickly man.\Keep running, fool.\Give it up!\What?\This is...\Is he jumping on the black cloth of that ability to avoid touching the earth?\I can't tell where he is! response:	Got you!
context: Stay put, sickly man.\Keep running, fool.\Give it up!\What?\This is...\Is he jumping on the black cloth of that ability to avoid touching the earth?\I can't tell where he is!\Got you! response:	An fully-enclosed defense using fast-spinning rocks.
context: Keep running, fool.\Give it up!\What?\This is...\Is he jumping on the black cloth of that ability to avoid touching the earth?\I can't tell where he is!\Got you!\An fully-enclosed defense using fast-spinning rocks. response:	If I can't tell where you're coming from, I just need to protect myself in all directions.
context: Give it up!\What?\This is...\Is he jumping on the black cloth of that ability to avoid touching the earth?\I can't tell where he is!\Got you!\An fully-enclosed defense using fast-spinning rocks.\If I can't tell where you're coming from, I just need to protect myself in all directions. response:	Now, wretched dog, it's your turn.
context: What?\This is...\Is he jumping on the black cloth of that ability to avoid touching the earth?\I can't tell where he is!\Got you!\An fully-enclosed defense using fast-spinning rocks.\If I can't tell where you're coming from, I just need to protect myself in all directions.\Now, wretched dog, it's your turn. response:	Even the ground that you stand on is your enemy.
context: This is...\Is he jumping on the black cloth of that ability to avoid touching the earth?\I can't tell where he is!\Got you!\An fully-enclosed defense using fast-spinning rocks.\If I can't tell where you're coming from, I just need to protect myself in all directions.\Now, wretched dog, it's your turn.\Even the ground that you stand on is your enemy. response:	I'm afraid to say, those words have been directed at my enemies countless times.
context: Is he jumping on the black cloth of that ability to avoid touching the earth?\I can't tell where he is!\Got you!\An fully-enclosed defense using fast-spinning rocks.\If I can't tell where you're coming from, I just need to protect myself in all directions.\Now, wretched dog, it's your turn.\Even the ground that you stand on is your enemy.\I'm afraid to say, those words have been directed at my enemies countless times. response:	Damn it, using me as bait...
context: I can't tell where he is!\Got you!\An fully-enclosed defense using fast-spinning rocks.\If I can't tell where you're coming from, I just need to protect myself in all directions.\Now, wretched dog, it's your turn.\Even the ground that you stand on is your enemy.\I'm afraid to say, those words have been directed at my enemies countless times.\Damn it, using me as bait... response:	You're the one who charged in knowing you were bait.
context: Got you!\An fully-enclosed defense using fast-spinning rocks.\If I can't tell where you're coming from, I just need to protect myself in all directions.\Now, wretched dog, it's your turn.\Even the ground that you stand on is your enemy.\I'm afraid to say, those words have been directed at my enemies countless times.\Damn it, using me as bait...\You're the one who charged in knowing you were bait. response:	Of course I knew.
context: An fully-enclosed defense using fast-spinning rocks.\If I can't tell where you're coming from, I just need to protect myself in all directions.\Now, wretched dog, it's your turn.\Even the ground that you stand on is your enemy.\I'm afraid to say, those words have been directed at my enemies countless times.\Damn it, using me as bait...\You're the one who charged in knowing you were bait.\Of course I knew. response:	How many times do you think we've tried to kill each other?
context: If I can't tell where you're coming from, I just need to protect myself in all directions.\Now, wretched dog, it's your turn.\Even the ground that you stand on is your enemy.\I'm afraid to say, those words have been directed at my enemies countless times.\Damn it, using me as bait...\You're the one who charged in knowing you were bait.\Of course I knew.\How many times do you think we've tried to kill each other? response:	Let's go after the tram, weretiger.
context: Now, wretched dog, it's your turn.\Even the ground that you stand on is your enemy.\I'm afraid to say, those words have been directed at my enemies countless times.\Damn it, using me as bait...\You're the one who charged in knowing you were bait.\Of course I knew.\How many times do you think we've tried to kill each other?\Let's go after the tram, weretiger. response:	Be my horse.
context: Even the ground that you stand on is your enemy.\I'm afraid to say, those words have been directed at my enemies countless times.\Damn it, using me as bait...\You're the one who charged in knowing you were bait.\Of course I knew.\How many times do you think we've tried to kill each other?\Let's go after the tram, weretiger.\Be my horse. response:	Come on, that's
context: I'm afraid to say, those words have been directed at my enemies countless times.\Damn it, using me as bait...\You're the one who charged in knowing you were bait.\Of course I knew.\How many times do you think we've tried to kill each other?\Let's go after the tram, weretiger.\Be my horse.\Come on, that's response:	Weretiger!
context: Damn it, using me as bait...\You're the one who charged in knowing you were bait.\Of course I knew.\How many times do you think we've tried to kill each other?\Let's go after the tram, weretiger.\Be my horse.\Come on, that's\Weretiger! response:	A golem...
context: You're the one who charged in knowing you were bait.\Of course I knew.\How many times do you think we've tried to kill each other?\Let's go after the tram, weretiger.\Be my horse.\Come on, that's\Weretiger!\A golem... response:	It's a fake!
context: Of course I knew.\How many times do you think we've tried to kill each other?\Let's go after the tram, weretiger.\Be my horse.\Come on, that's\Weretiger!\A golem...\It's a fake! response:	This is the virus'...
context: How many times do you think we've tried to kill each other?\Let's go after the tram, weretiger.\Be my horse.\Come on, that's\Weretiger!\A golem...\It's a fake!\This is the virus'... response:	My master brings joy to this godless world.
context: Let's go after the tram, weretiger.\Be my horse.\Come on, that's\Weretiger!\A golem...\It's a fake!\This is the virus'...\My master brings joy to this godless world. response:	Evil is the one who stands in his way.
context: Be my horse.\Come on, that's\Weretiger!\A golem...\It's a fake!\This is the virus'...\My master brings joy to this godless world.\Evil is the one who stands in his way. response:	I've infected you with the virus through your wound.
context: Come on, that's\Weretiger!\A golem...\It's a fake!\This is the virus'...\My master brings joy to this godless world.\Evil is the one who stands in his way.\I've infected you with the virus through your wound. response:	I have no strength.
context: Weretiger!\A golem...\It's a fake!\This is the virus'...\My master brings joy to this godless world.\Evil is the one who stands in his way.\I've infected you with the virus through your wound.\I have no strength. response:	I won't be able to go after the tram, even if we beat him.
context: A golem...\It's a fake!\This is the virus'...\My master brings joy to this godless world.\Evil is the one who stands in his way.\I've infected you with the virus through your wound.\I have no strength.\I won't be able to go after the tram, even if we beat him. response:	Dazai-san, there's a helicopter of unknown nationality approaching from the east.
context: It's a fake!\This is the virus'...\My master brings joy to this godless world.\Evil is the one who stands in his way.\I've infected you with the virus through your wound.\I have no strength.\I won't be able to go after the tram, even if we beat him.\Dazai-san, there's a helicopter of unknown nationality approaching from the east. response:	We can't fight it off with our equipment.
context: This is the virus'...\My master brings joy to this godless world.\Evil is the one who stands in his way.\I've infected you with the virus through your wound.\I have no strength.\I won't be able to go after the tram, even if we beat him.\Dazai-san, there's a helicopter of unknown nationality approaching from the east.\We can't fight it off with our equipment. response:	Call for the military police to back us up.
