context: Huh? When did I happen to get down from that cliff? response:	Last night, I was looking at the moon, and then...
context: Mister!\It's no good going that way!\Y- you fool! Don't talk so loudly!\I can't get down from there.\Is that any of my concern?\But...\I told you not to turn on my switch, didn't I? I wish to remain asleep.\But still... response:	Hurry up and go.
context: It's no good going that way!\Y- you fool! Don't talk so loudly!\I can't get down from there.\Is that any of my concern?\But...\I told you not to turn on my switch, didn't I? I wish to remain asleep.\But still...\Hurry up and go. response:	I can't get down from there! I'll die!
context: Y- you fool! Don't talk so loudly!\I can't get down from there.\Is that any of my concern?\But...\I told you not to turn on my switch, didn't I? I wish to remain asleep.\But still...\Hurry up and go.\I can't get down from there! I'll die! response:	Don't cry!
context: I can't get down from there.\Is that any of my concern?\But...\I told you not to turn on my switch, didn't I? I wish to remain asleep.\But still...\Hurry up and go.\I can't get down from there! I'll die!\Don't cry! response:	Don't cry. That exit is the only one.
context: Is that any of my concern?\But...\I told you not to turn on my switch, didn't I? I wish to remain asleep.\But still...\Hurry up and go.\I can't get down from there! I'll die!\Don't cry!\Don't cry. That exit is the only one. response:	If you want to survive, jump down from there.
context: But...\I told you not to turn on my switch, didn't I? I wish to remain asleep.\But still...\Hurry up and go.\I can't get down from there! I'll die!\Don't cry!\Don't cry. That exit is the only one.\If you want to survive, jump down from there. response:	You don't mean it!
context: I told you not to turn on my switch, didn't I? I wish to remain asleep.\But still...\Hurry up and go.\I can't get down from there! I'll die!\Don't cry!\Don't cry. That exit is the only one.\If you want to survive, jump down from there.\You don't mean it! response:	Why are you acting like such a baby?
context: But still...\Hurry up and go.\I can't get down from there! I'll die!\Don't cry!\Don't cry. That exit is the only one.\If you want to survive, jump down from there.\You don't mean it!\Why are you acting like such a baby? response:	If you stay here, you'll just be buried in sand.
context: Hurry up and go.\I can't get down from there! I'll die!\Don't cry!\Don't cry. That exit is the only one.\If you want to survive, jump down from there.\You don't mean it!\Why are you acting like such a baby?\If you stay here, you'll just be buried in sand. response:	Hurry up and go.
context: I can't get down from there! I'll die!\Don't cry!\Don't cry. That exit is the only one.\If you want to survive, jump down from there.\You don't mean it!\Why are you acting like such a baby?\If you stay here, you'll just be buried in sand.\Hurry up and go. response:	Are you gone?
context: Don't cry!\Don't cry. That exit is the only one.\If you want to survive, jump down from there.\You don't mean it!\Why are you acting like such a baby?\If you stay here, you'll just be buried in sand.\Hurry up and go.\Are you gone? response:	Ah, Son Gohan! My switch! Turn off my switch before you go!
context: Don't cry. That exit is the only one.\If you want to survive, jump down from there.\You don't mean it!\Why are you acting like such a baby?\If you stay here, you'll just be buried in sand.\Hurry up and go.\Are you gone?\Ah, Son Gohan! My switch! Turn off my switch before you go! response:	He left without turning off my switch. I'm just wasting my energy like this.
context: If you want to survive, jump down from there.\You don't mean it!\Why are you acting like such a baby?\If you stay here, you'll just be buried in sand.\Hurry up and go.\Are you gone?\Ah, Son Gohan! My switch! Turn off my switch before you go!\He left without turning off my switch. I'm just wasting my energy like this. response:	Mister?
context: You don't mean it!\Why are you acting like such a baby?\If you stay here, you'll just be buried in sand.\Hurry up and go.\Are you gone?\Ah, Son Gohan! My switch! Turn off my switch before you go!\He left without turning off my switch. I'm just wasting my energy like this.\Mister? response:	Y- you're still there?
context: Why are you acting like such a baby?\If you stay here, you'll just be buried in sand.\Hurry up and go.\Are you gone?\Ah, Son Gohan! My switch! Turn off my switch before you go!\He left without turning off my switch. I'm just wasting my energy like this.\Mister?\Y- you're still there? response:	Mister, your visual sensors are damaged, huh?
context: If you stay here, you'll just be buried in sand.\Hurry up and go.\Are you gone?\Ah, Son Gohan! My switch! Turn off my switch before you go!\He left without turning off my switch. I'm just wasting my energy like this.\Mister?\Y- you're still there?\Mister, your visual sensors are damaged, huh? response:	I'll fix them for you.
context: Hurry up and go.\Are you gone?\Ah, Son Gohan! My switch! Turn off my switch before you go!\He left without turning off my switch. I'm just wasting my energy like this.\Mister?\Y- you're still there?\Mister, your visual sensors are damaged, huh?\I'll fix them for you. response:	S- stop it!
context: Are you gone?\Ah, Son Gohan! My switch! Turn off my switch before you go!\He left without turning off my switch. I'm just wasting my energy like this.\Mister?\Y- you're still there?\Mister, your visual sensors are damaged, huh?\I'll fix them for you.\S- stop it! response:	Stop! Mind your own business! I don't need visual sensors any more! S- stop!
context: Ah, Son Gohan! My switch! Turn off my switch before you go!\He left without turning off my switch. I'm just wasting my energy like this.\Mister?\Y- you're still there?\Mister, your visual sensors are damaged, huh?\I'll fix them for you.\S- stop it!\Stop! Mind your own business! I don't need visual sensors any more! S- stop! response:	Can you see now?
context: He left without turning off my switch. I'm just wasting my energy like this.\Mister?\Y- you're still there?\Mister, your visual sensors are damaged, huh?\I'll fix them for you.\S- stop it!\Stop! Mind your own business! I don't need visual sensors any more! S- stop!\Can you see now? response:	There's no point in you doing this. Hmm, you're still a child, aren't you?
context: Mister?\Y- you're still there?\Mister, your visual sensors are damaged, huh?\I'll fix them for you.\S- stop it!\Stop! Mind your own business! I don't need visual sensors any more! S- stop!\Can you see now?\There's no point in you doing this. Hmm, you're still a child, aren't you? response:	I'm surprised that someone like you would be in a dangerous place like this.
context: Y- you're still there?\Mister, your visual sensors are damaged, huh?\I'll fix them for you.\S- stop it!\Stop! Mind your own business! I don't need visual sensors any more! S- stop!\Can you see now?\There's no point in you doing this. Hmm, you're still a child, aren't you?\I'm surprised that someone like you would be in a dangerous place like this. response:	Right, see? There's no way I could jump down from that place, you see?
context: Mister, your visual sensors are damaged, huh?\I'll fix them for you.\S- stop it!\Stop! Mind your own business! I don't need visual sensors any more! S- stop!\Can you see now?\There's no point in you doing this. Hmm, you're still a child, aren't you?\I'm surprised that someone like you would be in a dangerous place like this.\Right, see? There's no way I could jump down from that place, you see? response:	Unless you want to die here, you should be able to.
context: I'll fix them for you.\S- stop it!\Stop! Mind your own business! I don't need visual sensors any more! S- stop!\Can you see now?\There's no point in you doing this. Hmm, you're still a child, aren't you?\I'm surprised that someone like you would be in a dangerous place like this.\Right, see? There's no way I could jump down from that place, you see?\Unless you want to die here, you should be able to. response:	But Mister, if you'd just cooperate with me!
context: S- stop it!\Stop! Mind your own business! I don't need visual sensors any more! S- stop!\Can you see now?\There's no point in you doing this. Hmm, you're still a child, aren't you?\I'm surprised that someone like you would be in a dangerous place like this.\Right, see? There's no way I could jump down from that place, you see?\Unless you want to die here, you should be able to.\But Mister, if you'd just cooperate with me! response:	Do not turn to me!
context: Stop! Mind your own business! I don't need visual sensors any more! S- stop!\Can you see now?\There's no point in you doing this. Hmm, you're still a child, aren't you?\I'm surprised that someone like you would be in a dangerous place like this.\Right, see? There's no way I could jump down from that place, you see?\Unless you want to die here, you should be able to.\But Mister, if you'd just cooperate with me!\Do not turn to me! response:	And don't turn on my switch again. You got that?
context: Can you see now?\There's no point in you doing this. Hmm, you're still a child, aren't you?\I'm surprised that someone like you would be in a dangerous place like this.\Right, see? There's no way I could jump down from that place, you see?\Unless you want to die here, you should be able to.\But Mister, if you'd just cooperate with me!\Do not turn to me!\And don't turn on my switch again. You got that? response:	Now, turn off my switch, and then get out of here. I wish to sleep quietly.
context: There's no point in you doing this. Hmm, you're still a child, aren't you?\I'm surprised that someone like you would be in a dangerous place like this.\Right, see? There's no way I could jump down from that place, you see?\Unless you want to die here, you should be able to.\But Mister, if you'd just cooperate with me!\Do not turn to me!\And don't turn on my switch again. You got that?\Now, turn off my switch, and then get out of here. I wish to sleep quietly. response:	Hurry now, turn off my switch.
context: I'm surprised that someone like you would be in a dangerous place like this.\Right, see? There's no way I could jump down from that place, you see?\Unless you want to die here, you should be able to.\But Mister, if you'd just cooperate with me!\Do not turn to me!\And don't turn on my switch again. You got that?\Now, turn off my switch, and then get out of here. I wish to sleep quietly.\Hurry now, turn off my switch. response:	Mother...
context: Right, see? There's no way I could jump down from that place, you see?\Unless you want to die here, you should be able to.\But Mister, if you'd just cooperate with me!\Do not turn to me!\And don't turn on my switch again. You got that?\Now, turn off my switch, and then get out of here. I wish to sleep quietly.\Hurry now, turn off my switch.\Mother... response:	Is it okay if I eat all of this?
context: Unless you want to die here, you should be able to.\But Mister, if you'd just cooperate with me!\Do not turn to me!\And don't turn on my switch again. You got that?\Now, turn off my switch, and then get out of here. I wish to sleep quietly.\Hurry now, turn off my switch.\Mother...\Is it okay if I eat all of this? response:	I can still eat more and more!
context: But Mister, if you'd just cooperate with me!\Do not turn to me!\And don't turn on my switch again. You got that?\Now, turn off my switch, and then get out of here. I wish to sleep quietly.\Hurry now, turn off my switch.\Mother...\Is it okay if I eat all of this?\I can still eat more and more! response:	Mister!
context: Do not turn to me!\And don't turn on my switch again. You got that?\Now, turn off my switch, and then get out of here. I wish to sleep quietly.\Hurry now, turn off my switch.\Mother...\Is it okay if I eat all of this?\I can still eat more and more!\Mister! response:	Wake up!
context: And don't turn on my switch again. You got that?\Now, turn off my switch, and then get out of here. I wish to sleep quietly.\Hurry now, turn off my switch.\Mother...\Is it okay if I eat all of this?\I can still eat more and more!\Mister!\Wake up! response:	Again? I told you not to wake me.
context: Now, turn off my switch, and then get out of here. I wish to sleep quietly.\Hurry now, turn off my switch.\Mother...\Is it okay if I eat all of this?\I can still eat more and more!\Mister!\Wake up!\Again? I told you not to wake me. response:	T- there's a scorpion!
context: Hurry now, turn off my switch.\Mother...\Is it okay if I eat all of this?\I can still eat more and more!\Mister!\Wake up!\Again? I told you not to wake me.\T- there's a scorpion! response:	There's bound to be one or two scorpions around.
context: Mother...\Is it okay if I eat all of this?\I can still eat more and more!\Mister!\Wake up!\Again? I told you not to wake me.\T- there's a scorpion!\There's bound to be one or two scorpions around. response:	I'm scared.
context: Is it okay if I eat all of this?\I can still eat more and more!\Mister!\Wake up!\Again? I told you not to wake me.\T- there's a scorpion!\There's bound to be one or two scorpions around.\I'm scared. response:	Turn off my switch. Don't make me say the same thing over and over.
context: I can still eat more and more!\Mister!\Wake up!\Again? I told you not to wake me.\T- there's a scorpion!\There's bound to be one or two scorpions around.\I'm scared.\Turn off my switch. Don't make me say the same thing over and over. response:	-But... -Hurry up.
context: Mister!\Wake up!\Again? I told you not to wake me.\T- there's a scorpion!\There's bound to be one or two scorpions around.\I'm scared.\Turn off my switch. Don't make me say the same thing over and over.\-But... -Hurry up. response:	Oh, I am so hungry!
context: Wake up!\Again? I told you not to wake me.\T- there's a scorpion!\There's bound to be one or two scorpions around.\I'm scared.\Turn off my switch. Don't make me say the same thing over and over.\-But... -Hurry up.\Oh, I am so hungry! response:	I wonder if I can eat these clouds.
context: Again? I told you not to wake me.\T- there's a scorpion!\There's bound to be one or two scorpions around.\I'm scared.\Turn off my switch. Don't make me say the same thing over and over.\-But... -Hurry up.\Oh, I am so hungry!\I wonder if I can eat these clouds. response:	It's me. I'm hungry.
context: T- there's a scorpion!\There's bound to be one or two scorpions around.\I'm scared.\Turn off my switch. Don't make me say the same thing over and over.\-But... -Hurry up.\Oh, I am so hungry!\I wonder if I can eat these clouds.\It's me. I'm hungry. response:	Cut it out already. Don't turn on my switch over such trivial things!
context: There's bound to be one or two scorpions around.\I'm scared.\Turn off my switch. Don't make me say the same thing over and over.\-But... -Hurry up.\Oh, I am so hungry!\I wonder if I can eat these clouds.\It's me. I'm hungry.\Cut it out already. Don't turn on my switch over such trivial things! response:	But...
context: I'm scared.\Turn off my switch. Don't make me say the same thing over and over.\-But... -Hurry up.\Oh, I am so hungry!\I wonder if I can eat these clouds.\It's me. I'm hungry.\Cut it out already. Don't turn on my switch over such trivial things!\But... response:	There's no reason for there to be anything to eat here, is there?
context: Turn off my switch. Don't make me say the same thing over and over.\-But... -Hurry up.\Oh, I am so hungry!\I wonder if I can eat these clouds.\It's me. I'm hungry.\Cut it out already. Don't turn on my switch over such trivial things!\But...\There's no reason for there to be anything to eat here, is there? response:	Scorpions and snakes are about all the things you can eat around here.
context: -But... -Hurry up.\Oh, I am so hungry!\I wonder if I can eat these clouds.\It's me. I'm hungry.\Cut it out already. Don't turn on my switch over such trivial things!\But...\There's no reason for there to be anything to eat here, is there?\Scorpions and snakes are about all the things you can eat around here. response:	Don't cry!
context: Oh, I am so hungry!\I wonder if I can eat these clouds.\It's me. I'm hungry.\Cut it out already. Don't turn on my switch over such trivial things!\But...\There's no reason for there to be anything to eat here, is there?\Scorpions and snakes are about all the things you can eat around here.\Don't cry! response:	I'm hungry!
context: I wonder if I can eat these clouds.\It's me. I'm hungry.\Cut it out already. Don't turn on my switch over such trivial things!\But...\There's no reason for there to be anything to eat here, is there?\Scorpions and snakes are about all the things you can eat around here.\Don't cry!\I'm hungry! response:	Don't use such a loud voice! You'll be buried too.
context: It's me. I'm hungry.\Cut it out already. Don't turn on my switch over such trivial things!\But...\There's no reason for there to be anything to eat here, is there?\Scorpions and snakes are about all the things you can eat around here.\Don't cry!\I'm hungry!\Don't use such a loud voice! You'll be buried too. response:	A- all right, but just this once.
context: Cut it out already. Don't turn on my switch over such trivial things!\But...\There's no reason for there to be anything to eat here, is there?\Scorpions and snakes are about all the things you can eat around here.\Don't cry!\I'm hungry!\Don't use such a loud voice! You'll be buried too.\A- all right, but just this once. response:	Let's see. At this time of year, inside this cave...
context: But...\There's no reason for there to be anything to eat here, is there?\Scorpions and snakes are about all the things you can eat around here.\Don't cry!\I'm hungry!\Don't use such a loud voice! You'll be buried too.\A- all right, but just this once.\Let's see. At this time of year, inside this cave... response:	Go search all the deeper corners.
context: There's no reason for there to be anything to eat here, is there?\Scorpions and snakes are about all the things you can eat around here.\Don't cry!\I'm hungry!\Don't use such a loud voice! You'll be buried too.\A- all right, but just this once.\Let's see. At this time of year, inside this cave...\Go search all the deeper corners. response:	Right.
context: Scorpions and snakes are about all the things you can eat around here.\Don't cry!\I'm hungry!\Don't use such a loud voice! You'll be buried too.\A- all right, but just this once.\Let's see. At this time of year, inside this cave...\Go search all the deeper corners.\Right. response:	Ah, I've eaten! I've eaten!
context: Don't cry!\I'm hungry!\Don't use such a loud voice! You'll be buried too.\A- all right, but just this once.\Let's see. At this time of year, inside this cave...\Go search all the deeper corners.\Right.\Ah, I've eaten! I've eaten! response:	I found some, I found some!
context: I'm hungry!\Don't use such a loud voice! You'll be buried too.\A- all right, but just this once.\Let's see. At this time of year, inside this cave...\Go search all the deeper corners.\Right.\Ah, I've eaten! I've eaten!\I found some, I found some! response:	All of this.
context: Don't use such a loud voice! You'll be buried too.\A- all right, but just this once.\Let's see. At this time of year, inside this cave...\Go search all the deeper corners.\Right.\Ah, I've eaten! I've eaten!\I found some, I found some!\All of this. response:	Then you don't need me anymore, right? Turn off my switch.
context: A- all right, but just this once.\Let's see. At this time of year, inside this cave...\Go search all the deeper corners.\Right.\Ah, I've eaten! I've eaten!\I found some, I found some!\All of this.\Then you don't need me anymore, right? Turn off my switch. response:	But I can't eat these raw.
context: Let's see. At this time of year, inside this cave...\Go search all the deeper corners.\Right.\Ah, I've eaten! I've eaten!\I found some, I found some!\All of this.\Then you don't need me anymore, right? Turn off my switch.\But I can't eat these raw. response:	You won't be able to survive in these plains like that.
context: Go search all the deeper corners.\Right.\Ah, I've eaten! I've eaten!\I found some, I found some!\All of this.\Then you don't need me anymore, right? Turn off my switch.\But I can't eat these raw.\You won't be able to survive in these plains like that. response:	Mister, you have a cooking system, huh?
context: Right.\Ah, I've eaten! I've eaten!\I found some, I found some!\All of this.\Then you don't need me anymore, right? Turn off my switch.\But I can't eat these raw.\You won't be able to survive in these plains like that.\Mister, you have a cooking system, huh? response:	I read so in a robot picture book.
context: Ah, I've eaten! I've eaten!\I found some, I found some!\All of this.\Then you don't need me anymore, right? Turn off my switch.\But I can't eat these raw.\You won't be able to survive in these plains like that.\Mister, you have a cooking system, huh?\I read so in a robot picture book. response:	You're a 3-S type all-purpose capsule robot C-6, right Mister?
context: I found some, I found some!\All of this.\Then you don't need me anymore, right? Turn off my switch.\But I can't eat these raw.\You won't be able to survive in these plains like that.\Mister, you have a cooking system, huh?\I read so in a robot picture book.\You're a 3-S type all-purpose capsule robot C-6, right Mister? response:	It says in my picture book that you're quite a superior robot.
context: All of this.\Then you don't need me anymore, right? Turn off my switch.\But I can't eat these raw.\You won't be able to survive in these plains like that.\Mister, you have a cooking system, huh?\I read so in a robot picture book.\You're a 3-S type all-purpose capsule robot C-6, right Mister?\It says in my picture book that you're quite a superior robot. response:	W- well, I guess so. Shall I fry those up for you?
context: Then you don't need me anymore, right? Turn off my switch.\But I can't eat these raw.\You won't be able to survive in these plains like that.\Mister, you have a cooking system, huh?\I read so in a robot picture book.\You're a 3-S type all-purpose capsule robot C-6, right Mister?\It says in my picture book that you're quite a superior robot.\W- well, I guess so. Shall I fry those up for you? response:	Open up my head.
context: But I can't eat these raw.\You won't be able to survive in these plains like that.\Mister, you have a cooking system, huh?\I read so in a robot picture book.\You're a 3-S type all-purpose capsule robot C-6, right Mister?\It says in my picture book that you're quite a superior robot.\W- well, I guess so. Shall I fry those up for you?\Open up my head. response:	Right.
context: You won't be able to survive in these plains like that.\Mister, you have a cooking system, huh?\I read so in a robot picture book.\You're a 3-S type all-purpose capsule robot C-6, right Mister?\It says in my picture book that you're quite a superior robot.\W- well, I guess so. Shall I fry those up for you?\Open up my head.\Right. response:	Set it down inside.
context: Mister, you have a cooking system, huh?\I read so in a robot picture book.\You're a 3-S type all-purpose capsule robot C-6, right Mister?\It says in my picture book that you're quite a superior robot.\W- well, I guess so. Shall I fry those up for you?\Open up my head.\Right.\Set it down inside. response:	Right.
context: I read so in a robot picture book.\You're a 3-S type all-purpose capsule robot C-6, right Mister?\It says in my picture book that you're quite a superior robot.\W- well, I guess so. Shall I fry those up for you?\Open up my head.\Right.\Set it down inside.\Right. response:	-Close it. -Right.
context: You're a 3-S type all-purpose capsule robot C-6, right Mister?\It says in my picture book that you're quite a superior robot.\W- well, I guess so. Shall I fry those up for you?\Open up my head.\Right.\Set it down inside.\Right.\-Close it. -Right. response:	What kind of flavor do you want? Chinese-style? Western-style?
context: It says in my picture book that you're quite a superior robot.\W- well, I guess so. Shall I fry those up for you?\Open up my head.\Right.\Set it down inside.\Right.\-Close it. -Right.\What kind of flavor do you want? Chinese-style? Western-style? response:	My mother's style!
