context: Grade 1, Class 3 Nana Komatsu response:	Grade 1, Class 3 Nana Komatsu I am straying from the subject, but please bear with me.
context: I'm a broken rose\Oh baby, help me from frozen pain\With your smile, your eyes, and sing me, just for me\I wanna need your love\I'm a broken rose\I wanna need your love\Wedding funds?!\That's right. response:	Listen, a wedding is a major event, so it's gonna cost money.
context: Oh baby, help me from frozen pain\With your smile, your eyes, and sing me, just for me\I wanna need your love\I'm a broken rose\I wanna need your love\Wedding funds?!\That's right.\Listen, a wedding is a major event, so it's gonna cost money. response:	So a bit at a time, I had saved money for that special day.
context: With your smile, your eyes, and sing me, just for me\I wanna need your love\I'm a broken rose\I wanna need your love\Wedding funds?!\That's right.\Listen, a wedding is a major event, so it's gonna cost money.\So a bit at a time, I had saved money for that special day. response:	It's not easy for a parent with three daughters, you know.
context: I wanna need your love\I'm a broken rose\I wanna need your love\Wedding funds?!\That's right.\Listen, a wedding is a major event, so it's gonna cost money.\So a bit at a time, I had saved money for that special day.\It's not easy for a parent with three daughters, you know. response:	So why are you suddenly depositing such important funds
context: I'm a broken rose\I wanna need your love\Wedding funds?!\That's right.\Listen, a wedding is a major event, so it's gonna cost money.\So a bit at a time, I had saved money for that special day.\It's not easy for a parent with three daughters, you know.\So why are you suddenly depositing such important funds response:	into my account?
context: I wanna need your love\Wedding funds?!\That's right.\Listen, a wedding is a major event, so it's gonna cost money.\So a bit at a time, I had saved money for that special day.\It's not easy for a parent with three daughters, you know.\So why are you suddenly depositing such important funds\into my account? response:	Well, you eloped, didn't you?
context: Wedding funds?!\That's right.\Listen, a wedding is a major event, so it's gonna cost money.\So a bit at a time, I had saved money for that special day.\It's not easy for a parent with three daughters, you know.\So why are you suddenly depositing such important funds\into my account?\Well, you eloped, didn't you? response:	Huh?!
context: That's right.\Listen, a wedding is a major event, so it's gonna cost money.\So a bit at a time, I had saved money for that special day.\It's not easy for a parent with three daughters, you know.\So why are you suddenly depositing such important funds\into my account?\Well, you eloped, didn't you?\Huh?! response:	I'm home.
context: Listen, a wedding is a major event, so it's gonna cost money.\So a bit at a time, I had saved money for that special day.\It's not easy for a parent with three daughters, you know.\So why are you suddenly depositing such important funds\into my account?\Well, you eloped, didn't you?\Huh?!\I'm home. response:	Hey, Nami.
context: So a bit at a time, I had saved money for that special day.\It's not easy for a parent with three daughters, you know.\So why are you suddenly depositing such important funds\into my account?\Well, you eloped, didn't you?\Huh?!\I'm home.\Hey, Nami. response:	- Where have you been - Mom.
context: It's not easy for a parent with three daughters, you know.\So why are you suddenly depositing such important funds\into my account?\Well, you eloped, didn't you?\Huh?!\I'm home.\Hey, Nami.\- Where have you been - Mom. response:	- until this hour? - Mom!
context: So why are you suddenly depositing such important funds\into my account?\Well, you eloped, didn't you?\Huh?!\I'm home.\Hey, Nami.\- Where have you been - Mom.\- until this hour? - Mom! response:	I was at, like, a karaoke bar.
context: into my account?\Well, you eloped, didn't you?\Huh?!\I'm home.\Hey, Nami.\- Where have you been - Mom.\- until this hour? - Mom!\I was at, like, a karaoke bar. response:	- Come on! - Mom!
context: Well, you eloped, didn't you?\Huh?!\I'm home.\Hey, Nami.\- Where have you been - Mom.\- until this hour? - Mom!\I was at, like, a karaoke bar.\- Come on! - Mom! response:	Can't you at least call
context: Huh?!\I'm home.\Hey, Nami.\- Where have you been - Mom.\- until this hour? - Mom!\I was at, like, a karaoke bar.\- Come on! - Mom!\Can't you at least call response:	- if you're gonna be late?! - Mom!
context: I'm home.\Hey, Nami.\- Where have you been - Mom.\- until this hour? - Mom!\I was at, like, a karaoke bar.\- Come on! - Mom!\Can't you at least call\- if you're gonna be late?! - Mom! response:	Hello, Nana?
context: Hey, Nami.\- Where have you been - Mom.\- until this hour? - Mom!\I was at, like, a karaoke bar.\- Come on! - Mom!\Can't you at least call\- if you're gonna be late?! - Mom!\Hello, Nana? response:	Mom, what makes you think I eloped?!
context: - Where have you been - Mom.\- until this hour? - Mom!\I was at, like, a karaoke bar.\- Come on! - Mom!\Can't you at least call\- if you're gonna be late?! - Mom!\Hello, Nana?\Mom, what makes you think I eloped?! response:	Hello, Sis?
context: - until this hour? - Mom!\I was at, like, a karaoke bar.\- Come on! - Mom!\Can't you at least call\- if you're gonna be late?! - Mom!\Hello, Nana?\Mom, what makes you think I eloped?!\Hello, Sis? response:	Nami?
context: I was at, like, a karaoke bar.\- Come on! - Mom!\Can't you at least call\- if you're gonna be late?! - Mom!\Hello, Nana?\Mom, what makes you think I eloped?!\Hello, Sis?\Nami? response:	How are you? How's life in Tokyo treating you?
context: - Come on! - Mom!\Can't you at least call\- if you're gonna be late?! - Mom!\Hello, Nana?\Mom, what makes you think I eloped?!\Hello, Sis?\Nami?\How are you? How's life in Tokyo treating you? response:	How are things with your boyfriend?
context: Can't you at least call\- if you're gonna be late?! - Mom!\Hello, Nana?\Mom, what makes you think I eloped?!\Hello, Sis?\Nami?\How are you? How's life in Tokyo treating you?\How are things with your boyfriend? response:	Nami! It's you, isn't it?
context: - if you're gonna be late?! - Mom!\Hello, Nana?\Mom, what makes you think I eloped?!\Hello, Sis?\Nami?\How are you? How's life in Tokyo treating you?\How are things with your boyfriend?\Nami! It's you, isn't it? response:	You're the one giving Mom strange ideas, aren't you?
context: Hello, Nana?\Mom, what makes you think I eloped?!\Hello, Sis?\Nami?\How are you? How's life in Tokyo treating you?\How are things with your boyfriend?\Nami! It's you, isn't it?\You're the one giving Mom strange ideas, aren't you? response:	What? Not really.
context: Mom, what makes you think I eloped?!\Hello, Sis?\Nami?\How are you? How's life in Tokyo treating you?\How are things with your boyfriend?\Nami! It's you, isn't it?\You're the one giving Mom strange ideas, aren't you?\What? Not really. response:	All I said was you had gone to Tokyo to live with a guy.
context: Hello, Sis?\Nami?\How are you? How's life in Tokyo treating you?\How are things with your boyfriend?\Nami! It's you, isn't it?\You're the one giving Mom strange ideas, aren't you?\What? Not really.\All I said was you had gone to Tokyo to live with a guy. response:	You're wrong!
context: Nami?\How are you? How's life in Tokyo treating you?\How are things with your boyfriend?\Nami! It's you, isn't it?\You're the one giving Mom strange ideas, aren't you?\What? Not really.\All I said was you had gone to Tokyo to live with a guy.\You're wrong! response:	There's no need to hide it. I envy you.
context: How are you? How's life in Tokyo treating you?\How are things with your boyfriend?\Nami! It's you, isn't it?\You're the one giving Mom strange ideas, aren't you?\What? Not really.\All I said was you had gone to Tokyo to live with a guy.\You're wrong!\There's no need to hide it. I envy you. response:	You get to have sex every day, right?
context: How are things with your boyfriend?\Nami! It's you, isn't it?\You're the one giving Mom strange ideas, aren't you?\What? Not really.\All I said was you had gone to Tokyo to live with a guy.\You're wrong!\There's no need to hide it. I envy you.\You get to have sex every day, right? response:	Goodness, will you watch what you say?
context: Nami! It's you, isn't it?\You're the one giving Mom strange ideas, aren't you?\What? Not really.\All I said was you had gone to Tokyo to live with a guy.\You're wrong!\There's no need to hide it. I envy you.\You get to have sex every day, right?\Goodness, will you watch what you say? response:	Go on and take a bath.
context: You're the one giving Mom strange ideas, aren't you?\What? Not really.\All I said was you had gone to Tokyo to live with a guy.\You're wrong!\There's no need to hide it. I envy you.\You get to have sex every day, right?\Goodness, will you watch what you say?\Go on and take a bath. response:	Huh? But I wanna talk some more.
context: What? Not really.\All I said was you had gone to Tokyo to live with a guy.\You're wrong!\There's no need to hide it. I envy you.\You get to have sex every day, right?\Goodness, will you watch what you say?\Go on and take a bath.\Huh? But I wanna talk some more. response:	- Y-Young women - I took a bath already.
context: All I said was you had gone to Tokyo to live with a guy.\You're wrong!\There's no need to hide it. I envy you.\You get to have sex every day, right?\Goodness, will you watch what you say?\Go on and take a bath.\Huh? But I wanna talk some more.\- Y-Young women - I took a bath already. response:	- today will - Where?
context: You're wrong!\There's no need to hide it. I envy you.\You get to have sex every day, right?\Goodness, will you watch what you say?\Go on and take a bath.\Huh? But I wanna talk some more.\- Y-Young women - I took a bath already.\- today will - Where? response:	- talk about s-sex - That hurt!
context: There's no need to hide it. I envy you.\You get to have sex every day, right?\Goodness, will you watch what you say?\Go on and take a bath.\Huh? But I wanna talk some more.\- Y-Young women - I took a bath already.\- today will - Where?\- talk about s-sex - That hurt! response:	- in front of their parents? - You kicked me!
context: You get to have sex every day, right?\Goodness, will you watch what you say?\Go on and take a bath.\Huh? But I wanna talk some more.\- Y-Young women - I took a bath already.\- today will - Where?\- talk about s-sex - That hurt!\- in front of their parents? - You kicked me! response:	Hello, Nana?
context: Goodness, will you watch what you say?\Go on and take a bath.\Huh? But I wanna talk some more.\- Y-Young women - I took a bath already.\- today will - Where?\- talk about s-sex - That hurt!\- in front of their parents? - You kicked me!\Hello, Nana? response:	- Anyway, you're legally an adult now, - This sucks. I should've
context: Go on and take a bath.\Huh? But I wanna talk some more.\- Y-Young women - I took a bath already.\- today will - Where?\- talk about s-sex - That hurt!\- in front of their parents? - You kicked me!\Hello, Nana?\- Anyway, you're legally an adult now, - This sucks. I should've response:	- so do whatever you wish - applied to a university
context: Huh? But I wanna talk some more.\- Y-Young women - I took a bath already.\- today will - Where?\- talk about s-sex - That hurt!\- in front of their parents? - You kicked me!\Hello, Nana?\- Anyway, you're legally an adult now, - This sucks. I should've\- so do whatever you wish - applied to a university response:	- with that money. - in Tokyo, too.
context: - Y-Young women - I took a bath already.\- today will - Where?\- talk about s-sex - That hurt!\- in front of their parents? - You kicked me!\Hello, Nana?\- Anyway, you're legally an adult now, - This sucks. I should've\- so do whatever you wish - applied to a university\- with that money. - in Tokyo, too. response:	Just don't get divorced and come running home.
context: - today will - Where?\- talk about s-sex - That hurt!\- in front of their parents? - You kicked me!\Hello, Nana?\- Anyway, you're legally an adult now, - This sucks. I should've\- so do whatever you wish - applied to a university\- with that money. - in Tokyo, too.\Just don't get divorced and come running home. response:	D-Divorced?!
context: - talk about s-sex - That hurt!\- in front of their parents? - You kicked me!\Hello, Nana?\- Anyway, you're legally an adult now, - This sucks. I should've\- so do whatever you wish - applied to a university\- with that money. - in Tokyo, too.\Just don't get divorced and come running home.\D-Divorced?! response:	Don't cause me any more trouble than you already have. Bye.
context: - in front of their parents? - You kicked me!\Hello, Nana?\- Anyway, you're legally an adult now, - This sucks. I should've\- so do whatever you wish - applied to a university\- with that money. - in Tokyo, too.\Just don't get divorced and come running home.\D-Divorced?!\Don't cause me any more trouble than you already have. Bye. response:	Mom?
context: Hello, Nana?\- Anyway, you're legally an adult now, - This sucks. I should've\- so do whatever you wish - applied to a university\- with that money. - in Tokyo, too.\Just don't get divorced and come running home.\D-Divorced?!\Don't cause me any more trouble than you already have. Bye.\Mom? response:	This is no laughing matter!
context: - Anyway, you're legally an adult now, - This sucks. I should've\- so do whatever you wish - applied to a university\- with that money. - in Tokyo, too.\Just don't get divorced and come running home.\D-Divorced?!\Don't cause me any more trouble than you already have. Bye.\Mom?\This is no laughing matter! response:	I thought she would ask me to return home
context: - so do whatever you wish - applied to a university\- with that money. - in Tokyo, too.\Just don't get divorced and come running home.\D-Divorced?!\Don't cause me any more trouble than you already have. Bye.\Mom?\This is no laughing matter!\I thought she would ask me to return home response:	because she was worried or something.
context: - with that money. - in Tokyo, too.\Just don't get divorced and come running home.\D-Divorced?!\Don't cause me any more trouble than you already have. Bye.\Mom?\This is no laughing matter!\I thought she would ask me to return home\because she was worried or something. response:	But don't come running home? Would a parent say that?
context: Just don't get divorced and come running home.\D-Divorced?!\Don't cause me any more trouble than you already have. Bye.\Mom?\This is no laughing matter!\I thought she would ask me to return home\because she was worried or something.\But don't come running home? Would a parent say that? response:	I'm not even married yet!
context: D-Divorced?!\Don't cause me any more trouble than you already have. Bye.\Mom?\This is no laughing matter!\I thought she would ask me to return home\because she was worried or something.\But don't come running home? Would a parent say that?\I'm not even married yet! response:	Way to go, Natsuko! What a cool mother!
context: Don't cause me any more trouble than you already have. Bye.\Mom?\This is no laughing matter!\I thought she would ask me to return home\because she was worried or something.\But don't come running home? Would a parent say that?\I'm not even married yet!\Way to go, Natsuko! What a cool mother! response:	Are you drunk, Nana?
context: Mom?\This is no laughing matter!\I thought she would ask me to return home\because she was worried or something.\But don't come running home? Would a parent say that?\I'm not even married yet!\Way to go, Natsuko! What a cool mother!\Are you drunk, Nana? response:	No, I'm not drunk.
context: This is no laughing matter!\I thought she would ask me to return home\because she was worried or something.\But don't come running home? Would a parent say that?\I'm not even married yet!\Way to go, Natsuko! What a cool mother!\Are you drunk, Nana?\No, I'm not drunk. response:	Why even ask?
context: I thought she would ask me to return home\because she was worried or something.\But don't come running home? Would a parent say that?\I'm not even married yet!\Way to go, Natsuko! What a cool mother!\Are you drunk, Nana?\No, I'm not drunk.\Why even ask? response:	I'm back. I bought you cigarettes, Nana.
context: because she was worried or something.\But don't come running home? Would a parent say that?\I'm not even married yet!\Way to go, Natsuko! What a cool mother!\Are you drunk, Nana?\No, I'm not drunk.\Why even ask?\I'm back. I bought you cigarettes, Nana. response:	You've had a few, I see.
context: But don't come running home? Would a parent say that?\I'm not even married yet!\Way to go, Natsuko! What a cool mother!\Are you drunk, Nana?\No, I'm not drunk.\Why even ask?\I'm back. I bought you cigarettes, Nana.\You've had a few, I see. response:	I love you!
context: I'm not even married yet!\Way to go, Natsuko! What a cool mother!\Are you drunk, Nana?\No, I'm not drunk.\Why even ask?\I'm back. I bought you cigarettes, Nana.\You've had a few, I see.\I love you! response:	I get it. So don't jump on me.
context: Way to go, Natsuko! What a cool mother!\Are you drunk, Nana?\No, I'm not drunk.\Why even ask?\I'm back. I bought you cigarettes, Nana.\You've had a few, I see.\I love you!\I get it. So don't jump on me. response:	Wh-What about Nobu and Shin?
context: Are you drunk, Nana?\No, I'm not drunk.\Why even ask?\I'm back. I bought you cigarettes, Nana.\You've had a few, I see.\I love you!\I get it. So don't jump on me.\Wh-What about Nobu and Shin? response:	Yeah.
context: No, I'm not drunk.\Why even ask?\I'm back. I bought you cigarettes, Nana.\You've had a few, I see.\I love you!\I get it. So don't jump on me.\Wh-What about Nobu and Shin?\Yeah. response:	Nobu passed out on the sidewalk, so Shin took him home.
context: Why even ask?\I'm back. I bought you cigarettes, Nana.\You've had a few, I see.\I love you!\I get it. So don't jump on me.\Wh-What about Nobu and Shin?\Yeah.\Nobu passed out on the sidewalk, so Shin took him home. response:	I-I see. Nobu was drinking a lot, after all.
context: I'm back. I bought you cigarettes, Nana.\You've had a few, I see.\I love you!\I get it. So don't jump on me.\Wh-What about Nobu and Shin?\Yeah.\Nobu passed out on the sidewalk, so Shin took him home.\I-I see. Nobu was drinking a lot, after all. response:	That Shin. Surprisingly, he just doesn't get drunk.
context: You've had a few, I see.\I love you!\I get it. So don't jump on me.\Wh-What about Nobu and Shin?\Yeah.\Nobu passed out on the sidewalk, so Shin took him home.\I-I see. Nobu was drinking a lot, after all.\That Shin. Surprisingly, he just doesn't get drunk. response:	Is it only water to him?
context: I love you!\I get it. So don't jump on me.\Wh-What about Nobu and Shin?\Yeah.\Nobu passed out on the sidewalk, so Shin took him home.\I-I see. Nobu was drinking a lot, after all.\That Shin. Surprisingly, he just doesn't get drunk.\Is it only water to him? response:	Don't fall asleep.
context: I get it. So don't jump on me.\Wh-What about Nobu and Shin?\Yeah.\Nobu passed out on the sidewalk, so Shin took him home.\I-I see. Nobu was drinking a lot, after all.\That Shin. Surprisingly, he just doesn't get drunk.\Is it only water to him?\Don't fall asleep. response:	Give me a break.
context: Wh-What about Nobu and Shin?\Yeah.\Nobu passed out on the sidewalk, so Shin took him home.\I-I see. Nobu was drinking a lot, after all.\That Shin. Surprisingly, he just doesn't get drunk.\Is it only water to him?\Don't fall asleep.\Give me a break. response:	Come on, Nana.
context: Yeah.\Nobu passed out on the sidewalk, so Shin took him home.\I-I see. Nobu was drinking a lot, after all.\That Shin. Surprisingly, he just doesn't get drunk.\Is it only water to him?\Don't fall asleep.\Give me a break.\Come on, Nana. response:	It's the first time I saw Nana with her guard down and drunk like that.
context: Nobu passed out on the sidewalk, so Shin took him home.\I-I see. Nobu was drinking a lot, after all.\That Shin. Surprisingly, he just doesn't get drunk.\Is it only water to him?\Don't fall asleep.\Give me a break.\Come on, Nana.\It's the first time I saw Nana with her guard down and drunk like that. response:	She's kinda cute.
context: I-I see. Nobu was drinking a lot, after all.\That Shin. Surprisingly, he just doesn't get drunk.\Is it only water to him?\Don't fall asleep.\Give me a break.\Come on, Nana.\It's the first time I saw Nana with her guard down and drunk like that.\She's kinda cute. response:	She must be really happy that Yasu has come.
context: That Shin. Surprisingly, he just doesn't get drunk.\Is it only water to him?\Don't fall asleep.\Give me a break.\Come on, Nana.\It's the first time I saw Nana with her guard down and drunk like that.\She's kinda cute.\She must be really happy that Yasu has come. response:	She even kissed him in the mix of things.
context: Is it only water to him?\Don't fall asleep.\Give me a break.\Come on, Nana.\It's the first time I saw Nana with her guard down and drunk like that.\She's kinda cute.\She must be really happy that Yasu has come.\She even kissed him in the mix of things. response:	And on top of that, telling him I love you?
context: Don't fall asleep.\Give me a break.\Come on, Nana.\It's the first time I saw Nana with her guard down and drunk like that.\She's kinda cute.\She must be really happy that Yasu has come.\She even kissed him in the mix of things.\And on top of that, telling him I love you? response:	But it wasn't as if Yasu was at all surprised by it.
context: Give me a break.\Come on, Nana.\It's the first time I saw Nana with her guard down and drunk like that.\She's kinda cute.\She must be really happy that Yasu has come.\She even kissed him in the mix of things.\And on top of that, telling him I love you?\But it wasn't as if Yasu was at all surprised by it. response:	Those two could be dating, after all.
context: Come on, Nana.\It's the first time I saw Nana with her guard down and drunk like that.\She's kinda cute.\She must be really happy that Yasu has come.\She even kissed him in the mix of things.\And on top of that, telling him I love you?\But it wasn't as if Yasu was at all surprised by it.\Those two could be dating, after all. response:	What are they doing with the door open?
context: It's the first time I saw Nana with her guard down and drunk like that.\She's kinda cute.\She must be really happy that Yasu has come.\She even kissed him in the mix of things.\And on top of that, telling him I love you?\But it wasn't as if Yasu was at all surprised by it.\Those two could be dating, after all.\What are they doing with the door open? response:	Oh, sorry, Nana.
context: She's kinda cute.\She must be really happy that Yasu has come.\She even kissed him in the mix of things.\And on top of that, telling him I love you?\But it wasn't as if Yasu was at all surprised by it.\Those two could be dating, after all.\What are they doing with the door open?\Oh, sorry, Nana. response:	Having you clean up all by yourself. Let me help you.
context: She must be really happy that Yasu has come.\She even kissed him in the mix of things.\And on top of that, telling him I love you?\But it wasn't as if Yasu was at all surprised by it.\Those two could be dating, after all.\What are they doing with the door open?\Oh, sorry, Nana.\Having you clean up all by yourself. Let me help you. response:	It's okay. I just have to rinse.
context: She even kissed him in the mix of things.\And on top of that, telling him I love you?\But it wasn't as if Yasu was at all surprised by it.\Those two could be dating, after all.\What are they doing with the door open?\Oh, sorry, Nana.\Having you clean up all by yourself. Let me help you.\It's okay. I just have to rinse. response:	Then give me a towel. I'll wipe the dishes.
context: And on top of that, telling him I love you?\But it wasn't as if Yasu was at all surprised by it.\Those two could be dating, after all.\What are they doing with the door open?\Oh, sorry, Nana.\Having you clean up all by yourself. Let me help you.\It's okay. I just have to rinse.\Then give me a towel. I'll wipe the dishes. response:	Yasu is a great guy.
context: But it wasn't as if Yasu was at all surprised by it.\Those two could be dating, after all.\What are they doing with the door open?\Oh, sorry, Nana.\Having you clean up all by yourself. Let me help you.\It's okay. I just have to rinse.\Then give me a towel. I'll wipe the dishes.\Yasu is a great guy. response:	He doesn't look it, but he's kind, considerate, and reliable,
context: Those two could be dating, after all.\What are they doing with the door open?\Oh, sorry, Nana.\Having you clean up all by yourself. Let me help you.\It's okay. I just have to rinse.\Then give me a towel. I'll wipe the dishes.\Yasu is a great guy.\He doesn't look it, but he's kind, considerate, and reliable, response:	but doesn't brag.
context: What are they doing with the door open?\Oh, sorry, Nana.\Having you clean up all by yourself. Let me help you.\It's okay. I just have to rinse.\Then give me a towel. I'll wipe the dishes.\Yasu is a great guy.\He doesn't look it, but he's kind, considerate, and reliable,\but doesn't brag. response:	And he's a lawyer too.
context: Oh, sorry, Nana.\Having you clean up all by yourself. Let me help you.\It's okay. I just have to rinse.\Then give me a towel. I'll wipe the dishes.\Yasu is a great guy.\He doesn't look it, but he's kind, considerate, and reliable,\but doesn't brag.\And he's a lawyer too. response:	If I were to marry someone, I'd prefer a guy like him.
context: Having you clean up all by yourself. Let me help you.\It's okay. I just have to rinse.\Then give me a towel. I'll wipe the dishes.\Yasu is a great guy.\He doesn't look it, but he's kind, considerate, and reliable,\but doesn't brag.\And he's a lawyer too.\If I were to marry someone, I'd prefer a guy like him. response:	What am I thinking? Yasu belongs to Nana.
context: It's okay. I just have to rinse.\Then give me a towel. I'll wipe the dishes.\Yasu is a great guy.\He doesn't look it, but he's kind, considerate, and reliable,\but doesn't brag.\And he's a lawyer too.\If I were to marry someone, I'd prefer a guy like him.\What am I thinking? Yasu belongs to Nana. response:	Come to think of it, I have Shoji.
context: Then give me a towel. I'll wipe the dishes.\Yasu is a great guy.\He doesn't look it, but he's kind, considerate, and reliable,\but doesn't brag.\And he's a lawyer too.\If I were to marry someone, I'd prefer a guy like him.\What am I thinking? Yasu belongs to Nana.\Come to think of it, I have Shoji. response:	Oh, are you done?
context: Yasu is a great guy.\He doesn't look it, but he's kind, considerate, and reliable,\but doesn't brag.\And he's a lawyer too.\If I were to marry someone, I'd prefer a guy like him.\What am I thinking? Yasu belongs to Nana.\Come to think of it, I have Shoji.\Oh, are you done? response:	Thanks for doing the dishes. I'll be on my way.
context: He doesn't look it, but he's kind, considerate, and reliable,\but doesn't brag.\And he's a lawyer too.\If I were to marry someone, I'd prefer a guy like him.\What am I thinking? Yasu belongs to Nana.\Come to think of it, I have Shoji.\Oh, are you done?\Thanks for doing the dishes. I'll be on my way. response:	Huh?
context: but doesn't brag.\And he's a lawyer too.\If I were to marry someone, I'd prefer a guy like him.\What am I thinking? Yasu belongs to Nana.\Come to think of it, I have Shoji.\Oh, are you done?\Thanks for doing the dishes. I'll be on my way.\Huh? response:	Thanks for the meal.
context: And he's a lawyer too.\If I were to marry someone, I'd prefer a guy like him.\What am I thinking? Yasu belongs to Nana.\Come to think of it, I have Shoji.\Oh, are you done?\Thanks for doing the dishes. I'll be on my way.\Huh?\Thanks for the meal. response:	Where are you going?
context: If I were to marry someone, I'd prefer a guy like him.\What am I thinking? Yasu belongs to Nana.\Come to think of it, I have Shoji.\Oh, are you done?\Thanks for doing the dishes. I'll be on my way.\Huh?\Thanks for the meal.\Where are you going? response:	I think I'll stay in a hotel until I find my own place.
